simplified	TH	example_TH
而已	เท่านั้น	ฉันก็แค่พูดเล่นๆ เท่านั้น
二氧化碳	คาร์บอนไดออกไซด์	พืชดูดซับคาร์บอนไดออกไซด์
发布	ประกาศเผยแพร่	บริษัทจะประกาศเผยแพร่ผลิตภัณฑ์ใหม่พรุ่งนี้
发财	ร่ำรวย	เขาหวังว่าจะร่ำรวยด้วยความพยายาม
发呆	เหม่อลอย	เธอนั่งเหม่อลอยอยู่ริมหน้าต่าง
发动	ระดม	อาสาสมัครระดมชาวบ้านทำความสะอาดถนน
发觉	สังเกตพบ	ฉันสังเกตพบว่าเขาวันนี้ตื่นเต้นนิดหน่อย
发射	ปล่อย	จรวดจะถูกปล่อยในตอนกลางคืน
发誓	สาบาน	เขาสาบานว่าจะไม่โกหกอีก
发行	ออกฉาย	ภาพยนตร์เรื่องนี้จะออกฉายในเดือนหน้า
发炎	อักเสบ	แผลอักเสบนิดหน่อย
发扬	ส่งเสริมให้เด่นชัด	พวกเราควรส่งเสริมจิตวิญญาณการทำงานเป็นทีมให้เด่นชัด
发育	การเจริญเติบโต	การเจริญเติบโตทางร่างกายของเด็กต้องการสารอาหารเพียงพอ
法人	นิติบุคคล	บริษัทนี้เป็นนิติบุคคลอิสระ
番	คำพูดชุดหนึ่ง	คำพูดชุดนี้ทำให้ฉันได้รับแรงบันดาลใจมาก
凡是	ทุกคนที่	ทุกคนที่สมัครต้องเข้าร่วมการอบรม
繁华	คึกคักเจริญรุ่งเรือง	ถนนสายนี้เมื่อก่อนคึกคักเจริญรุ่งเรืองมาก
繁忙	ยุ่งมาก	สนามบินยุ่งมากเป็นพิเศษในช่วงวันหยุด
繁体字	ตัวอักษรจีนตัวเต็ม	พื้นที่ไต้หวันมักใช้ตัวอักษรจีนตัวเต็ม
繁殖	ขยายพันธุ์	พืชชนิดนี้ขยายพันธุ์ได้ง่ายมาก
反驳	โต้แย้ง	เขาใช้ข้อมูลโต้แย้งมุมมองนี้
反常	ผิดปกติ	อากาศวันนี้ผิดปกตินิดหน่อย
反感	รังเกียจ	ฉันรังเกียจโฆษณาแบบนี้มาก
反抗	ต่อต้าน	ผู้คนเริ่มต่อต้านกฎที่ไม่เป็นธรรม
反馈	ข้อเสนอแนะ	ลูกค้าให้ข้อเสนอแนะว่าระบบเสถียรมาก
反面	ด้านหลัง	กรุณาพลิกกระดาษไปด้านหลัง
反射	สะท้อน	กระจกจะสะท้อนแสง
反思	ทบทวน	หลังล้มเหลว เขาทบทวนสาเหตุอย่างจริงจัง
反问	ย้อนถาม	เขาไม่ตอบ แต่ย้อนถามฉันหนึ่งประโยค
反之	กลับกัน	ราคาสูงเกินไปจะลดความต้องการ และกลับกันก็เช่นเดียวกัน
泛滥	ล้นท่วม	ฝนตกหนักทำให้น้ำในแม่น้ำล้นท่วม
范畴	ขอบเขต	ปัญหานี้อยู่ในขอบเขตของกฎหมาย
贩卖	ค้าขายผิดกฎหมาย	กฎหมายห้ามค้าขายยาปลอม
方位	ตำแหน่งทิศทาง	บนแผนที่ระบุตำแหน่งทิศทางอย่างแม่นยำ
方言	ภาษาถิ่น	เขาฟังภาษาถิ่นท้องถิ่นเข้าใจ
方圆	รัศมีโดยรอบ	ในรัศมีสิบกิโลเมตรไม่มีโรงพยาบาล
方针	แนวทางนโยบาย	บริษัทกำหนดแนวทางการพัฒนาใหม่
防守	การป้องกัน	การป้องกันของทีมนี้มั่นคงมาก
防御	ป้องกัน	กำแพงเมืองเคยใช้ป้องกันศัตรู
防止	ป้องกัน	กรุณาคาดเข็มขัดนิรภัยเพื่อป้องกันการบาดเจ็บ
防治	ป้องกันและรักษา	แพทย์อธิบายวิธีป้องกันและรักษาโรค
纺织	สิ่งทอ	เมืองนี้มีชื่อเสียงด้านอุตสาหกรรมสิ่งทอ
访问	เยี่ยมเยียน	นักข่าวจะไปเยี่ยมเยียนนักเขียนท่านนี้พรุ่งนี้
放大	ขยาย	กรุณาขยายรูปภาพขึ้นอีกหน่อย
放射	แผ่รังสี	วัสดุชนิดนี้จะแผ่ความร้อน
非法	ผิดกฎหมาย	การซื้อขายผิดกฎหมายจะถูกลงโทษ
飞禽走兽	นกและสัตว์ป่า	ในป่ามีนกและสัตว์ป่าหลากหลายชนิดอาศัยอยู่
飞翔	บิน	นกนางนวลบินอยู่เหนือผิวน้ำทะเล
飞跃	ก้าวกระโดด	การพัฒนาเทคโนโลยีเกิดความก้าวหน้าแบบก้าวกระโดด
肥沃	อุดมสมบูรณ์	ผืนดินนี้อุดมสมบูรณ์มาก
诽谤	หมิ่นประมาท	การหมิ่นประมาทผู้อื่นต้องรับผิดทางกฎหมาย
废除	ยกเลิก	กฎเก่าเรื่องนี้ถูกยกเลิกแล้ว
废寝忘食	ทุ่มเทจนลืมกินลืมนอน	เขาทุ่มเทงานวิจัยจนลืมกินลืมนอน
废墟	ซากปรักหักพัง	หลังแผ่นดินไหว ที่นั่นกลายเป็นซากปรักหักพัง
沸腾	เดือด	น้ำเดือดแล้ว
肺	ปอด	การสูบบุหรี่ทำร้ายปอด
分辨	แยกแยะ	ฉันแยกแยะสีสองสีนี้ได้ยาก
分寸	ความพอดี	แม้แต่ล้อเล่นก็ต้องรู้ความพอดี
分红	เงินปันผล	ผู้ถือหุ้นสามารถรับเงินปันผลปลายปี
分解	แยกย่อย	ครูแยกย่อยปัญหาซับซ้อนออกเป็นหลายขั้นตอน
分裂	แตกแยก	ความขัดแย้งภายในทำให้องค์กรแตกแยก
分泌	หลั่ง	ต่อมชนิดนี้จะหลั่งฮอร์โมน
分明	ชัดเจน	ข้อเท็จจริงชัดเจนมากแล้ว
分歧	ความเห็นต่าง	ทั้งสองฝ่ายมีความเห็นต่างเรื่องราคา
分散	กระจาย	กรุณากระจายความเสี่ยงไปยังโครงการต่างๆ
吩咐	สั่ง	เจ้านายสั่งให้ฉันจัดเอกสาร
坟墓	สุสาน	บนเนินเขามีสุสานเก่าแห่งหนึ่ง
粉末	ผง	กรุณาบดเม็ดยาให้เป็นผง
粉色	สีชมพู	เธอซื้อผ้าพันคอสีชมพูผืนหนึ่ง
粉碎	ทำลายล้าง	ตำรวจทำลายล้างแก๊งอาชญากรรมนี้
分量	น้ำหนักความสำคัญ	ประโยคนี้มีน้ำหนักความสำคัญมาก
愤怒	โกรธ	น้ำเสียงของเขาเต็มไปด้วยความโกรธ
丰满	สมบูรณ์	เนื้อหาของบทความนี้ยังไม่สมบูรณ์พอ
丰盛	อุดมสมบูรณ์	พวกเขาเตรียมอาหารเย็นเต็มโต๊ะอย่างอุดมสมบูรณ์
丰收	เก็บเกี่ยวได้ดี	ปีนี้ชาวนาเก็บเกี่ยวได้ดี
封闭	ปิด	ระหว่างก่อสร้าง ถนนสายนี้จะปิด
封建	ศักดินา	ความคิดแบบศักดินานี้ควรเปลี่ยนไปนานแล้ว
封锁	ปิดล้อม	ตำรวจปิดล้อมที่เกิดเหตุ
锋利	คม	มีดเล่มนี้คมมาก
风暴	พายุ	บนทะเลเกิดพายุขึ้นอย่างกะทันหัน
风度	บุคลิกสง่างาม	เขาดูมีบุคลิกสง่างามบนเวที
风光	ทิวทัศน์	ทิวทัศน์ธรรมชาติที่นี่สวยมาก
风气	บรรยากาศทั่วไป	โรงเรียนสร้างบรรยากาศการเรียนที่ดีขึ้น
风趣	มีอารมณ์ขัน	เขาพูดจามีอารมณ์ขันมาก
风土人情	ขนบธรรมเนียมท้องถิ่น	การเดินทางช่วยให้เข้าใจขนบธรรมเนียมท้องถิ่น
风味	รสชาติท้องถิ่น	ร้านนี้มีรสชาติท้องถิ่นเข้มข้น
逢	ทุกครั้งที่	ทุกครั้งที่ถึงสุดสัปดาห์ สวนสาธารณะจะคึกคักมาก
奉献	อุทิศ	แพทย์อุทิศเวลาให้ผู้ป่วยมากมาย
否决	ปฏิเสธ	คณะกรรมการปฏิเสธข้อเสนอนี้
夫妇	คู่สามีภรรยา	คู่สามีภรรยาคู่นี้บริหารร้านเล็กๆ แห่งหนึ่ง
夫人	ภรรยา	คุณหวังและภรรยาเข้าร่วมงานเลี้ยงค่ำด้วยกัน
敷衍	ตอบส่งๆ	เขาเพียงตอบส่งๆ ไม่กี่คำ
俘虏	เชลย	หลังสงครามจบ เชลยถูกปล่อยตัว
幅度	ขนาดการเปลี่ยนแปลง	การลดราคาครั้งนี้มีขนาดการเปลี่ยนแปลงมาก
服从	เชื่อฟัง	ทหารต้องเชื่อฟังคำสั่ง
服气	ยอมรับ	เขาแพ้การแข่งขัน แต่ในใจยังไม่ยอมรับ
福利	สวัสดิการ	พนักงานให้ความสำคัญกับสวัสดิการของบริษัทมาก
福气	โชคดี	การได้พบครูที่ดีเป็นโชคดีของเขา
符号	สัญลักษณ์	สัญลักษณ์นี้แทนอันตราย
辐射	รังสี	แพทย์เตือนให้เขาอยู่ห่างจากรังสีแรง
俯视	มองลงมา	จากยอดเขาสามารถมองลงมาเห็นทั้งเมือง
抚摸	ลูบเบาๆ	เธอลูบศีรษะเด็กเบาๆ
抚养	เลี้ยงดู	ปู่ย่าตายายช่วยเลี้ยงดูเด็ก
腐败	การทุจริต	รัฐบาลกำลังปราบปรามการทุจริต
腐烂	เน่า	ผลไม้จะเน่าถ้าทิ้งไว้นานเกินไป
腐蚀	กัดกร่อน	กรดสามารถกัดกร่อนผิวโลหะได้
腐朽	เสื่อมโทรม	พวกเขาวิจารณ์ระบบที่เสื่อมโทรม
辅助	ช่วยเสริม	เครื่องมือนี้ช่วยเสริมการสอนได้
副	รอง	เธอได้รับแต่งตั้งเป็นรองผู้จัดการ
复活	ฟื้นคืน	เทศกาลดั้งเดิมนี้กำลังฟื้นคืน
复兴	ฟื้นฟู	การฟื้นฟูวัฒนธรรมต้องใช้ความพยายามระยะยาว
富裕	มั่งคั่ง	หมู่บ้านนี้กำลังมั่งคั่งขึ้นเรื่อยๆ
腹泻	ท้องเสีย	เขาท้องเสียรุนแรงและต้องไปพบแพทย์
覆盖	ปกคลุม	หิมะหนักปกคลุมหุบเขาทั้งหมด
负担	ภาระ	ค่าเช่ากลายเป็นภาระหลักของเขา
赋予	มอบให้	กฎหมายมอบสิทธิขั้นพื้นฐานแก่พลเมือง
附和	เออออตาม	เขาไม่มีความเห็นของตัวเอง ได้แต่เออออตามคนอื่น
附件	ไฟล์แนบ	กรุณาตรวจดูไฟล์แนบในอีเมล
附属	ในสังกัด	โรงพยาบาลแห่งนี้เป็นโรงพยาบาลในสังกัดมหาวิทยาลัย
改良	ปรับปรุง	ผู้เชี่ยวชาญกำลังปรับปรุงพันธุ์ข้าวชนิดนี้
盖章	ประทับตรา	หลังเซ็นสัญญาแล้วต้องประทับตรา
钙	แคลเซียม	นมมีแคลเซียมอยู่มาก
尴尬	กระอักกระอ่วน	ในการประชุมเกิดความเงียบที่กระอักกระอ่วน
干旱	ภัยแล้ง	ภัยแล้งยาวนานส่งผลต่อพืชผล
干扰	รบกวน	เสียงดังจะรบกวนการทำงานของฉัน
干涉	แทรกแซง	พ่อแม่ไม่ควรแทรกแซงการเลือกของลูกมากเกินไป
干预	เข้าแทรกแซง	รัฐบาลเข้าแทรกแซงความเสี่ยงของตลาดได้ทันเวลา
感慨	สะเทือนใจ	เมื่อเห็นรูปเก่า เขารู้สึกสะเทือนใจมาก
感染	ติดเชื้อ	ไวรัสชนิดนี้ทำให้เด็กติดเชื้อได้ง่าย
干劲	ความกระตือรือร้น	ทุกคนทำงานด้วยความกระตือรือร้นมาก
扛	ยกขึ้นแบก	ตำนานเล่าว่าเขาแข็งแรงมากจนยกหม้อสำริดหนักได้
纲领	แนวทางปฏิบัติ	ที่ประชุมผ่านแนวทางปฏิบัติใหม่
岗位	ตำแหน่งงาน	เธอปรับตัวเข้ากับตำแหน่งงานใหม่ได้อย่างรวดเร็ว
港口	ท่าเรือ	เรือบรรทุกสินค้าจอดเทียบท่าเรือ
港湾	อ่าวท่าเรือ	เรือลำเล็กแล่นเข้าสู่อ่าวท่าเรือที่เงียบสงบ
杠杆	แรงงัดทางการเงิน	การลงทุนนี้ใช้แรงงัดทางการเงินสูง
高超	ยอดเยี่ยม	ทักษะการซ่อมรถของเขายอดเยี่ยมมาก
高潮	จุดสูงสุด	การแข่งขันถึงจุดสูงสุดในสิบนาทีสุดท้าย
高峰	ช่วงสูงสุด	แปดโมงเช้าเป็นช่วงสูงสุดของการจราจร
高明	เฉียบแหลม	วิธีนี้เฉียบแหลมจริงๆ
高尚	สูงส่ง	จิตวิญญาณวิชาชีพของแพทย์นั้นสูงส่ง
高涨	เพิ่มสูงขึ้น	ความกระตือรือร้นของผู้ชมเพิ่มสูงขึ้นเรื่อยๆ
稿件	ต้นฉบับ	บรรณาธิการกำลังแก้ไขต้นฉบับ
告辞	ขอตัวลา	ฟ้ามืดแล้ว พวกเราขอตัวลาก่อน
告诫	ตักเตือน	ครูตักเตือนนักเรียนว่าอย่าทุจริต
割	บาด	เขาบาดนิ้วโดยไม่ระวัง
搁	วางไว้	กรุณาวางเอกสารไว้บนโต๊ะ
歌颂	สรรเสริญ	บทกวีนี้สรรเสริญผู้ใช้แรงงาน
疙瘩	ก้อนนูน	มีตุ่มนูนขึ้นที่แขนของเขา
鸽子	นกพิราบ	ที่จัตุรัสมีนกพิราบจำนวนมาก
格局	ผังโครงสร้าง	ผังโครงสร้างของอพาร์ตเมนต์นี้เหมาะสมมาก
格式	รูปแบบ	กรุณากรอกแบบฟอร์มตามรูปแบบที่กำหนด
隔阂	ความหมางเมิน	ความเข้าใจผิดทำให้ความหมางเมินระหว่างพวกเขาลึกขึ้น
隔离	แยกกัก	ผู้ป่วยต้องถูกแยกกักชั่วคราว
革命	การปฏิวัติ	การปฏิวัติครั้งนี้เปลี่ยนชะตากรรมของประเทศ
个体	ปัจเจกบุคคล	ปัจเจกบุคคลแต่ละคนมีความต้องการต่างกัน
各抒己见	ต่างแสดงความเห็นของตน	ในที่ประชุม ทุกคนต่างแสดงความเห็นของตน
根深蒂固	ฝังรากลึก	ความคิดแบบนี้ฝังรากลึกไปแล้ว
根源	รากเหง้า	รากเหง้าของความยากจนนั้นซับซ้อนมาก
跟前	ตรงหน้า	เด็กวิ่งไปตรงหน้าแม่
跟随	ติดตาม	นักข่าวติดตามคณะเข้าไปในพื้นที่ภูเขา
跟踪	ติดตามร่องรอย	ตำรวจกำลังติดตามร่องรอยการเคลื่อนไหวของผู้ต้องสงสัย
更新	อัปเดต	คืนนี้ระบบจะอัปเดตอัตโนมัติ
更正	แก้ไขให้ถูกต้อง	หนังสือพิมพ์แก้ไขข้อผิดพลาดในวันถัดมา
耕地	ไถนา	ชาวนากำลังไถนาในฤดูใบไม้ผลิ
供不应求	อุปทานไม่พอความต้องการ	ยาชนิดนี้ขณะนี้อุปทานไม่พอความต้องการ
供给	การจัดหา	เมืองต้องการการจัดหาน้ำและไฟฟ้าที่มั่นคง
公安局	สถานีตำรวจ	เขาไปสถานีตำรวจเพื่อแจ้งความ
公道	ความเป็นธรรม	ทุกคนหวังว่าจะได้รับการจัดการอย่างเป็นธรรม
公告	ประกาศ	โรงเรียนออกประกาศหยุดเรียน
公关	ประชาสัมพันธ์	บริษัทจ้างทีมประชาสัมพันธ์มืออาชีพ
公民	พลเมือง	พลเมืองทุกคนควรปฏิบัติตามกฎหมาย
公然	อย่างเปิดเผย	เขาฝ่าฝืนกติกาการแข่งขันอย่างเปิดเผย
公认	เป็นที่ยอมรับ	เธอเป็นครูดีเด่นที่ทุกคนยอมรับ
公式	สูตร	กรุณาจดสูตรคณิตศาสตร์นี้ไว้
公务	งานราชการ	เขาเดินทางไปทำงานราชการสามวัน
公正	ยุติธรรม	ผู้พิพากษาต้องรักษาความยุติธรรม
公证	การรับรองเอกสาร	เอกสารฉบับนี้ต้องได้รับการรับรอง
功劳	ความดีความชอบ	ความสำเร็จครั้งนี้มีความดีความชอบของทุกคน
功效	ประสิทธิผล	ประสิทธิผลของยาชนิดนี้ยังต้องตรวจสอบ
宫殿	พระราชวัง	นักท่องเที่ยวเข้าชมพระราชวังโบราณ
工艺品	งานหัตถกรรม	งานหัตถกรรมชิ้นนี้ทำด้วยมือ
恭敬	อย่างเคารพ	เขาทักทายผู้สูงอายุอย่างเคารพ
攻击	โจมตี	แฮกเกอร์โจมตีเว็บไซต์ของบริษัท
攻克	เอาชนะ	ทีมวิจัยเอาชนะปัญหาทางเทคนิคได้
巩固	ทำให้มั่นคง	การทบทวนช่วยทำให้ความรู้ที่เรียนมามั่นคง
共和国	สาธารณรัฐ	สาธารณรัฐนี้ก่อตั้งขึ้นในศตวรรษที่แล้ว
共计	รวมทั้งหมด	สินค้าชุดนี้รวมทั้งหมดสามร้อยกล่อง
共鸣	ความรู้สึกร่วม	เพลงนี้ก่อให้เกิดความรู้สึกร่วมในหมู่คนจำนวนมาก
勾结	สมคบคิด	พวกเขาสมคบคิดกับคนนอกเพื่อหลอกเอาเงิน
钩子	ตะขอ	บนผนังแขวนตะขอไว้หลายอัน
构思	วางโครงคิด	นักเขียนกำลังวางโครงคิดนิยายเรื่องใหม่
姑且	ชั่วคราว	แผนนี้ลองทำไปก่อนหนึ่งสัปดาห์ชั่วคราว
孤独	โดดเดี่ยว	หลังย้ายไปเมืองใหม่ เขารู้สึกโดดเดี่ยว
孤立	แยกโดดเดี่ยว	อย่ามองปัญหานี้แบบแยกโดดเดี่ยว
辜负	ทำให้ผิดหวัง	ฉันไม่อยากทำให้ความคาดหวังของพ่อแม่ผิดหวัง
古董	ของเก่า	คุณปู่สะสมของเก่าไว้หลายชิ้น
古怪	แปลกประหลาด	ความคิดของเขาแปลกประหลาดเล็กน้อย
股东	ผู้ถือหุ้น	การประชุมผู้ถือหุ้นจะจัดขึ้นสัปดาห์หน้า
股份	หุ้น	เขาถือหุ้นของบริษัท
骨干	แกนหลัก	วิศวกรเหล่านี้เป็นแกนหลักของทีม
鼓动	ปลุกปั่น	มีคนปลุกปั่นประชาชนให้ออกมาประท้วง
固然	ก็จริง	วิธีนี้ง่ายก็จริง แต่ความเสี่ยงไม่น้อย
固体	ของแข็ง	น้ำแข็งเป็นรูปของแข็งของน้ำ
固有	โดยเนื้อแท้	วัฒนธรรมแต่ละแบบล้วนมีลักษณะเฉพาะโดยเนื้อแท้
固执	ดื้อรั้น	เขาดื้อรั้นเกินไปและไม่ยอมฟังคำแนะนำ
故乡	บ้านเกิด	หลายปีต่อมา เขากลับไปยังบ้านเกิด
故障	ขัดข้อง	ลิฟต์ขัดข้องและหยุดใช้งานชั่วคราว
雇佣	จ้าง	บริษัทตัดสินใจจ้างบุคลากรด้านเทคนิคเพิ่ม
顾虑	ความกังวล	คุณมีความกังวลอะไรก็พูดได้ตรงๆ
顾问	ที่ปรึกษา	พวกเราจ้างที่ปรึกษากฎหมายคนหนึ่ง
拐杖	ไม้เท้า	ผู้สูงอายุมักพกไม้เท้าเวลาออกจากบ้าน
关怀	ความเอาใจใส่	ครูให้ความเอาใจใส่นักเรียนมาก
关照	ดูแลเอาใจใส่	ระหว่างทางช่วยดูแลเด็กให้มากหน่อย
官方	ทางการ	ข่าวจากทางการจะประกาศพรุ่งนี้
观光	ท่องเที่ยวชมวิว	นักท่องเที่ยวนั่งเรือท่องเที่ยวชมวิว
管辖	อยู่ภายใต้การปกครอง	พื้นที่นี้อยู่ภายใต้การปกครองของเทศบาล
惯例	ธรรมเนียมปฏิบัติ	การแนะนำแขกก่อนเริ่มประชุมเป็นธรรมเนียมปฏิบัติ
灌溉	ชลประทาน	ชาวนาใช้น้ำจากแม่น้ำชลประทานไร่นา
罐	กระป๋อง	บนโต๊ะมีกระป๋องใบชาหนึ่งใบ
贯彻	นำไปปฏิบัติ	บริษัทต้องนำมาตรฐานความปลอดภัยใหม่ไปปฏิบัติ
光彩	ความเปล่งประกาย	เสื้อผ้าชุดนี้ทำให้เธอดูเปล่งประกายมาก
光辉	ความรุ่งโรจน์	ความสำเร็จของเขาทิ้งหน้าที่รุ่งโรจน์ไว้หน้าหนึ่ง
光芒	แสงรัศมี	แสงรัศมีของดวงอาทิตย์ส่องสว่างหุบเขา
光荣	มีเกียรติ	การรับใช้ประเทศเป็นสิ่งมีเกียรติ
广阔	กว้างใหญ่	ทุ่งหญ้ากว้างสุดสายตาและกว้างใหญ่มาก
归根到底	โดยสรุปแล้ว	โดยสรุปแล้ว ปัญหาอยู่ที่การบริหาร
归还	คืน	กรุณาคืนหนังสือตามเวลา
规范	กฎเกณฑ์	โรงเรียนกำหนดกฎเกณฑ์เพื่อจัดการห้องทดลอง
规格	ข้อกำหนด	ข้อกำหนดของชิ้นส่วนชุดนี้ไม่ตรงกัน
规划	การวางแผน	การวางแผนเมืองต้องคำนึงถึงการจราจร
规章	ระเบียบข้อบังคับ	พนักงานต้องปฏิบัติตามระเบียบข้อบังคับของบริษัท
轨道	ราง	รถไฟแล่นไปตามราง
贵族	ชนชั้นสูง	คฤหาสน์แห่งนี้เคยเป็นของชนชั้นสูง
跪	คุกเข่า	เขาคุกเข่าต่อหน้ารูปเคารพ
棍棒	ไม้กระบอง	ตำรวจยึดไม้กระบองในที่เกิดเหตุ
国防	การป้องกันประเทศ	การสร้างการป้องกันประเทศต้องใช้การลงทุนระยะยาว
国务院	สภาแห่งรัฐ	สภาแห่งรัฐออกประกาศใหม่
果断	เด็ดขาด	ผู้นำตัดสินใจอย่างเด็ดขาด
过度	มากเกินไป	การใช้โทรศัพท์มือถือมากเกินไปส่งผลต่อการนอน
过渡	การเปลี่ยนผ่าน	บริษัทกำลังอยู่ในช่วงการเปลี่ยนผ่านของการปรับรูปแบบ
过奖	ชมเกินไป	คุณชมเกินไปแล้ว ฉันยังต้องเรียนรู้อีก
过滤	กรอง	อุปกรณ์นี้สามารถกรองสิ่งเจือปนได้
过失	ความผิดพลาด	อุบัติเหตุครั้งนี้เกิดจากความผิดพลาดของมนุษย์
过问	ยุ่งเกี่ยวสอบถาม	ผู้จัดการแทบไม่ยุ่งเกี่ยวสอบถามเรื่องเล็กเหล่านี้
过瘾	สะใจ	การแข่งขันครั้งนี้ดูแล้วสะใจจริงๆ
过于	เกินไป	แผนนี้ซับซ้อนเกินไป
嗨	เฮ้	เฮ้ ทำไมคุณก็มาด้วยล่ะ
海拔	ระดับความสูงเหนือทะเล	หมู่บ้านนี้มีระดับความสูงเหนือทะเลมาก
海滨	ชายทะเล	พวกเขาใช้เวลาสุดสัปดาห์ที่ชายทะเล
含糊	คลุมเครือ	คำตอบของเขาคลุมเครือมาก
含义	ความหมาย	คำนี้มีความหมายพิเศษ
寒暄	ทักทายปราศรัย	หลังพบกัน พวกเขาทักทายปราศรัยกันสองสามคำก่อน
罕见	พบได้น้อย	โรคชนิดนี้พบได้น้อยมาก
捍卫	ปกป้อง	ทนายความพยายามปกป้องสิทธิของคู่ความ
航空	การบิน	สายการบินยกเลิกเที่ยวบิน
航天	การบินอวกาศ	กิจการการบินอวกาศของจีนพัฒนาอย่างรวดเร็ว
航行	เดินเรือ	เรือเดินทะเลกำลังเดินเรืออยู่ในทะเล
行列	กลุ่ม	เธอเข้าร่วมกลุ่มอาสาสมัคร
毫米	มิลลิเมตร	กระจกแผ่นนี้หนาห้ามิลลิเมตร
毫无	ไม่มีเลย	คำอธิบายของเขาไม่มีหลักฐานเลย
豪迈	ห้าวหาญ	เสียงร้องเพลงของเขาห้าวหาญและทรงพลัง
号召	เรียกร้อง	รัฐบาลเรียกร้องให้ทุกคนประหยัดน้ำ
耗费	สิ้นเปลือง	โครงการนี้สิ้นเปลืองเงินจำนวนมาก
呵	ส่งเสียงดุ	พ่อส่งเสียงดุหนึ่งครั้ง เด็กก็หยุดทันที
合并	รวมกิจการ	บริษัทสองแห่งวางแผนจะรวมกิจการปีหน้า
合成	สังเคราะห์	วัสดุชนิดนี้สามารถสังเคราะห์ขึ้นได้
合伙	ร่วมหุ้น	พวกเขาร่วมหุ้นเปิดร้านอาหารแห่งหนึ่ง
合算	คุ้มค่า	นั่งรถประจำทางคุ้มค่ากว่าเรียกรถ
和蔼	ใจดี	หมอคนนี้พูดจาใจดีมาก
和解	ประนีประนอม	ทั้งสองฝ่ายบรรลุการประนีประนอมในที่สุด
和睦	กลมเกลียว	เพื่อนบ้านอยู่ร่วมกันอย่างกลมเกลียวมาก
和气	เป็นมิตร	เจ้านายปฏิบัติต่อผู้คนอย่างเป็นมิตร
和谐	กลมกลืน	ดนตรีทำให้บรรยากาศกลมกลืนยิ่งขึ้น
嘿	เฮ้	เฮ้ คุณได้ยินไหม
痕迹	ร่องรอย	บนพื้นมีร่องรอยล้อรถเหลืออยู่
狠心	ใจแข็ง	เขาใจแข็งปฏิเสธคำขอของเพื่อน
恨不得	อยากจะทันที	ฉันอยากกลับบ้านไปพักผ่อนทันที
哼	ฮึ	เขาฮึออกมาอย่างไม่พอใจ
横	แนวนอน	กรุณาวาดเส้นแนวนอนหนึ่งเส้นบนกระดาษ
哄	ฮือ	ทุกคนหัวเราะฮือขึ้นมาพร้อมกัน
烘	อบ	ขนมปังกำลังอบอยู่ในเตา
轰动	ฮือฮา	ข่าวนี้ฮือฮาไปทั่วประเทศ
宏观	มหภาค	เราต้องวิเคราะห์เศรษฐกิจจากมุมมองมหภาค
宏伟	ยิ่งใหญ่	การออกแบบสะพานแห่งนี้ยิ่งใหญ่มาก
洪水	น้ำท่วม	น้ำท่วมพัดสะพานพังไปหลายแห่ง
喉咙	ลำคอ	เขาพูดมากเกินไปจนลำคอเจ็บเล็กน้อย
吼	ตะโกนคำราม	เขาตะโกนคำรามไปทางที่ไกลออกไป
候选	ผู้สมัคร	เธอเป็นผู้สมัครตัวแทนปีนี้
后代	ลูกหลาน	เราต้องปกป้องสิ่งแวดล้อมเพื่อลูกหลาน
后顾之忧	ความกังวลภายหลัง	รายได้ที่มั่นคงทำให้เขาไม่มีความกังวลภายหลัง
后勤	งานสนับสนุน	ฝ่ายงานสนับสนุนรับผิดชอบการจัดหาวัสดุ
呼唤	เรียกหา	แม่เรียกหาลูกอยู่ที่หน้าประตู
呼啸	ส่งเสียงหวีดหวิว	ลมหนาวส่งเสียงหวีดหวิวอยู่นอกหน้าต่าง
呼吁	เรียกร้อง	ผู้เชี่ยวชาญเรียกร้องให้ทุกคนลดความสิ้นเปลือง
忽略	มองข้าม	กรุณาอย่ามองข้ามรายละเอียดนี้
湖泊	ทะเลสาบ	พื้นที่นี้มีทะเลสาบธรรมชาติจำนวนมาก
胡乱	สะเปะสะปะ	อย่าวางของไว้บนพื้นอย่างสะเปะสะปะ
胡须	หนวดเครา	หนวดเคราของเขากลายเป็นสีขาวแล้ว
花瓣	กลีบดอกไม้	หลังฝนตก กลีบดอกไม้ร่วงเต็มพื้น
花蕾	ดอกตูม	ฤดูใบไม้ผลิมีดอกตูมงอกบนกิ่งไม้
华丽	หรูหรา	เครื่องแต่งกายบนเวทีหรูหรามาก
华侨	ชาวจีนโพ้นทะเล	ชาวจีนโพ้นทะเลจำนวนมากกลับบ้านเกิดเพื่อลงทุน
划分	แบ่ง	ครูแบ่งนักเรียนออกเป็นสี่กลุ่ม
化肥	ปุ๋ยเคมี	ชาวนาใส่ปุ๋ยเคมีให้พืชผล
化石	ซากดึกดำบรรพ์	พิพิธภัณฑ์จัดแสดงซากดึกดำบรรพ์ของไดโนเสาร์
化验	ตรวจวิเคราะห์	หมอให้เขาไปตรวจวิเคราะห์เลือด
化妆	แต่งหน้า	เธอกำลังแต่งหน้าก่อนขึ้นเวที
画蛇添足	เติมแต่งเกินจำเป็น	ถ้าเพิ่มคำอธิบายอีกกลับจะเป็นการเติมแต่งเกินจำเป็น
话筒	ไมโครโฟน	พิธีกรส่งไมโครโฟนให้ผู้ชม
欢乐	ความรื่นเริง	จัตุรัสในเทศกาลเต็มไปด้วยความรื่นเริง
