source_headword	BN	example_BN
imagery	চিত্রকল্প	কবিতাটিতে প্রাণবন্ত চিত্রকল্প ব্যবহার করা হয়েছে।
immense	অপরিসীম	প্রকল্পটির জন্য অপরিসীম প্রচেষ্টার প্রয়োজন ছিল।
imminent	আসন্ন	একটি ঝড় আসন্ন বলে মনে হয়েছিল।
implementation	বাস্তবায়ন	আইনটির বাস্তবায়ন ধীর ছিল।
imprison	কারারুদ্ধ করা	সরকার সমালোচকদের কারারুদ্ধ করার চেষ্টা করেছিল।
imprisonment	কারাদণ্ড	তার কারাদণ্ড পাঁচ বছর স্থায়ী হয়েছিল।
inability	অক্ষমতা	তার মনোযোগ দিতে অক্ষমতা শিক্ষকদের চিন্তিত করেছিল।
inadequate	অপর্যাপ্ত	আশ্রয়কেন্দ্রে অপর্যাপ্ত হিটিং ব্যবস্থা ছিল।
inappropriate	অনুপযুক্ত	তার কৌতুকটি অনুপযুক্ত ছিল।
incidence	প্রাদুর্ভাব	ফ্লু এর প্রাদুর্ভাব বেড়েছে।
inclined	ইচ্ছুক	সে একমত হতে ইচ্ছুক।
inclusion	অন্তর্ভুক্তি	স্কুলটি অন্তর্ভুক্তি প্রচার করে।
