hsk_key	source_word	simplified	TR	example_TR	SW	example_SW	AZ	example_AZ	UZ	example_UZ
5182:引入	引入	引入	tanıtmak; uygulamaya sokmak	Okul yeni bir öğretim yöntemini uygulamaya sokmayı planlıyor.	kuanzisha; kuleta	Shule inapanga kuanzisha mbinu mpya ya kufundisha.	daxil etmək; tətbiq etmək	Məktəb yeni tədris metodunu tətbiq etməyi planlaşdırır.	joriy etmoq; olib kirmoq	Maktab yangi o‘qitish usulini joriy etishni rejalashtirmoqda.
5184:饮用水	饮用水	饮用水	içme suyu	Buradaki içme suyu sıkı testlerden geçti.	maji ya kunywa	Maji ya kunywa hapa yamepita ukaguzi mkali.	içməli su	Buradakı içməli su ciddi yoxlamadan keçib.	ichimlik suvi	Bu yerdagi ichimlik suvi qat’iy tekshiruvdan o‘tgan.
5185:印	印	印	basmak; mühürlemek	Lütfen şirket logosunu buraya basın.	kuchapisha; kugonga muhuri	Tafadhali chapisha nembo ya kampuni hapa.	çap etmək; möhür vurmaq	Zəhmət olmasa şirkətin loqosunu burada çap edin.	chop etmoq; muhr bosmoq	Iltimos, kompaniya belgisini shu yerga chop eting.
5192:用餐	用餐	用餐	yemek yemek	Konuklar restoranda yemek yiyor.	kula chakula	Wageni wanakula chakula mgahawani.	yemək yemək	Qonaqlar restoranda yemək yeyirlər.	ovqatlanmoq	Mehmonlar restoranda ovqatlanmoqda.
5193:用处	用处	用处	kullanım; fayda	Bu küçük bıçağın birçok kullanımı var.	matumizi; manufaa	Kisu hiki kidogo kina matumizi mengi.	istifadə; fayda	Bu kiçik bıçağın çox istifadəsi var.	foyda; ishlatilish	Bu kichik pichoqning ko‘p foydasi bor.
5195:用人	用人	用人	personel almak; insan çalıştırmak	Bu şirket personel alırken çok dikkatli davranır.	kuajiri watu	Kampuni hii huwa makini sana inapowaajiri watu.	işçi götürmək; insanları işə almaq	Bu şirkət işçi götürərkən çox ehtiyatlı davranır.	odam yollamoq; xodim ishga olish	Bu kompaniya xodim ishga olayotganda juda ehtiyotkor bo‘ladi.
5196:用心	用心	用心	özenli; dikkatle	Bu hediyeye çok özen gösterildiği belli oluyor.	kwa makini; kwa kujali	Inaonekana wazi kuwa zawadi hii iliandaliwa kwa uangalifu mkubwa.	diqqətli; qayğı ilə	Bu hədiyyəyə çox diqqət verildiyi görünür.	e’tiborli; puxta	Bu sovg‘aga katta e’tibor berilgani ko‘rinib turibdi.
5197:优化	优化	优化	iyileştirmek; optimize etmek	Mühendis sistem hızını optimize ediyor.	kuboresha	Mhandisi anaboresha kasi ya mfumo.	optimallaşdırmaq	Mühəndis sistemin sürətini optimallaşdırır.	optimallashtirmoq	Muhandis tizim tezligini optimallashtirmoqda.
5200:由来	由来	由来	köken; neden	Bu geleneğin kökeni çok ilginç.	asili; chanzo	Asili ya desturi hii inavutia sana.	mənşə; səbəb	Bu adətin mənşəyi çox maraqlıdır.	kelib chiqish; sabab	Bu odatning kelib chiqishi juda qiziq.
5201:游人	游人	游人	turist; ziyaretçi	İlkbaharda parkta özellikle çok ziyaretçi olur.	mtalii; mgeni	Wakati wa masika, bustanini huwa na wageni wengi sana.	turist; ziyarətçi	Yazda parkda xüsusilə çox ziyarətçi olur.	sayyoh; tashrif buyuruvchi	Bahorda bog‘da ayniqsa ko‘p tashrif buyuruvchi bo‘ladi.
5203:有机	有机	有机	organik	Bu çiftlik sadece organik sebze satıyor.	kikaboni	Shamba hili huuza mboga za kikaboni tu.	orqanik	Bu ferma yalnız orqanik tərəvəz satır.	organik	Bu ferma faqat organik sabzavot sotadi.
5204:有劲	有劲	有劲	enerjik; ilgi çekici	Bu film izledikçe daha da ilgi çekici oluyor.	wenye nguvu; wenye kuvutia	Filamu hii inazidi kuvutia kadiri unavyoitazama.	enerjili; maraqlı	Bu film baxdıqca daha maraqlı olur.	kuchli; qiziqarli	Bu film ko‘rgan sari yanada qiziqarli bo‘ladi.
5205:有序	有序	有序	düzenli	Seyirciler salona düzenli bir şekilde girdi.	kwa mpangilio	Watazamaji waliingia ukumbini kwa mpangilio.	nizamlı; qaydalı	Tamaşaçılar zala nizamlı şəkildə daxil oldular.	tartibli	Tomoshabinlar zalga tartibli ravishda kirdi.
5206:于	于	于	-de; -da; -e doğru	Toplantı sabah saat dokuzda başlıyor.	katika; kwa	Mkutano unaanza saa tatu asubuhi.	-da; -də; üçün	İclas səhər saat doqquzda başlayır.	-da; ga	Yig‘ilish ertalab soat to‘qqizda boshlanadi.
5207:余额	余额	余额	bakiye; kalan tutar	Lütfen önce banka kartı bakiyesini kontrol edin.	salio; kiasi kilichobaki	Tafadhali angalia kwanza salio la kadi ya benki.	qalıq; balans	Zəhmət olmasa əvvəlcə bank kartının balansını yoxlayın.	qoldiq; balans	Iltimos, avval bank karti balansini tekshiring.
5210:预定	预定	预定	rezerve etmek; önceden ayarlamak	Yarın akşam için koltukları ayırttım.	kuhifadhi; kupanga mapema	Tayari nimehifadhi viti vya kesho usiku.	rezerv etmək; əvvəlcədən müəyyənləşdirmək	Sabah axşam üçün yerləri artıq rezerv etmişəm.	band qilmoq; oldindan belgilamoq	Men ertaga kechqurungi joylarni allaqachon band qildim.
5213:浴室	浴室	浴室	banyo	Banyonun zemini biraz kaygan.	bafuni	Sakafu ya bafu inateleza kidogo.	hamam otağı	Hamam otağının döşəməsi bir az sürüşkəndir.	hammom	Hammomning poli biroz sirpanchiq.
5215:原本	原本	原本	aslen; başlangıçta	Aslında hafta sonu Pekin'e gitmeyi planlamıştım.	awali; hapo mwanzo	Awali nilipanga kwenda Beijing mwishoni mwa wiki.	əvvəlcə; əslində	Mən əvvəlcə həftəsonu Pekinə getməyi planlaşdırırdım.	avvaliga; aslida	Men avvaliga dam olish kunlari Pekinga borishni rejalashtirgandim.
5216:原材料	原材料	原材料	ham madde	Fabrikanın istikrarlı ham madde tedarikine ihtiyacı var.	malighafi	Kiwanda kinahitaji usambazaji thabiti wa malighafi.	xammal	Zavodun sabit xammal təchizatına ehtiyacı var.	xomashyo	Zavodga barqaror xomashyo ta’minoti kerak.
5224:元宵	元宵	元宵	yuanxiao; Fener Bayramı tatlı pirinç topu	Fener Bayramı günü yuanxiao yedik.	yuanxiao; kitumbua cha mchele mtamu cha Tamasha la Taa	Siku ya Tamasha la Taa tulikula yuanxiao.	yuanxiao; Fənər bayramı üçün şirin düyü kökəsi	Fənər bayramı günü yuanxiao yedik.	yuanxiao; Chiroqlar bayramidagi shirin guruch chuchvarasi	Chiroqlar bayrami kuni yuanxiao yedik.
5225:源于	源于	源于	-den kaynaklanmak; köken almak	Bu gelenek eski bir bayramdan kaynaklanır.	kutokana na; kuanzia	Mila hii inatokana na sikukuu ya kale.	-dən qaynaqlanmaq; mənşə almaq	Bu ənənə qədim bir bayramdan qaynaqlanır.	kelib chiqmoq	Bu an’ana qadimiy bayramdan kelib chiqqan.
5226:远程	远程	远程	uzaktan; uzun mesafeli	Şirket uzaktan mülakat ayarladı.	wa mbali; kwa umbali	Kampuni ilipanga usaili wa mbali.	uzaqdan; məsafəli	Şirkət uzaqdan müsahibə təşkil etdi.	masofaviy; uzoq masofali	Kompaniya masofaviy suhbat tashkil qildi.
5227:远方	远方	远方	uzak yer	O sık sık uzaktaki ailesini düşünür.	mahali pa mbali	Mara nyingi huwakumbuka familia yake walio mbali.	uzaq yer	O, tez-tez uzaqdakı ailəsini xatırlayır.	olis joy	U tez-tez olisdagi oilasini eslaydi.
5229:月光	月光	月光	ay ışığı	Ay ışığı sessiz gölün yüzeyine vurdu.	mwangaza wa mwezi	Mwangaza wa mwezi uliangaza juu ya ziwa tulivu.	ay işığı	Ay işığı sakit gölün səthinə düşdü.	oy nuri	Oy nuri sokin ko‘l yuzasiga tushdi.
5231:月球	月球	月球	Ay; ay küresi	Bilim insanları Ay yüzeyini inceliyor.	mwezi	Wanasayansi wanachunguza uso wa mwezi.	Ay; Ay kürəsi	Alimlər Ayın səthini tədqiq edirlər.	Oy	Olimlar Oy yuzasini o‘rganmoqda.
5232:乐曲	乐曲	乐曲	müzik eseri	Bu müzik eseri kulağa çok güzel geliyor.	kazi ya muziki	Kipande hiki cha muziki kinasikika kizuri sana.	musiqi əsəri	Bu musiqi əsəri çox gözəl səslənir.	musiqiy asar	Bu musiqiy asar juda chiroyli eshitiladi.
5234:晕车	晕车	晕车	arabada midesi bulanmak	Uzun otobüs yolculuklarında kolayca midesi bulanır.	gari kumsumbua; kupata kizunguzungu garini	Yeye hupata kizunguzungu kwa urahisi kwenye safari ndefu za basi.	maşında ürəyi bulanmaq	Uzun avtobus səfərlərində onun ürəyi tez bulanır.	mashinada ko‘ngli aynimoq	Uzoq avtobus safarlarida uning tez ko‘ngli ayniydi.
5235:运送	运送	运送	taşımak; teslim etmek	Bu malzemeler afet bölgesine taşınacak.	kusafirisha; kupeleka	Vifaa hivi vitasafirishwa hadi eneo la maafa.	daşımaq; çatdırmaq	Bu ləvazimatlar fəlakət bölgəsinə daşınacaq.	tashimoq; yetkazmoq	Bu materiallar ofat hududiga yetkaziladi.
5237:运营	运营	运营	işletmek; yönetmek	Bu platform profesyonel bir ekip tarafından işletiliyor.	kuendesha; kusimamia	Jukwaa hili linaendeshwa na timu ya wataalamu.	idarə etmək; işlətmək	Bu platforma peşəkar komanda tərəfindən idarə olunur.	boshqarmoq; yuritmoq	Bu platformani professional jamoa boshqaradi.
5238:杂	杂	杂	karışık; çeşitli	Bu çekmecede birçok çeşitli eşya var.	mchanganyiko; mbalimbali	Kuna vitu vingi vya aina mbalimbali kwenye droo hii.	qarışıq; müxtəlif	Bu siyirmədə çoxlu müxtəlif əşya var.	aralash; turli	Bu tortmada ko‘p turli buyumlar bor.
5239:灾	灾	灾	felaket; afet	Bu felaket köye büyük zarar verdi.	janga; maafa	Janga hili lilisababisha hasara kubwa kijijini.	fəlakət; bəla	Bu fəlakət kəndə böyük ziyan vurdu.	ofat; falokat	Bu ofat qishloqqa katta zarar yetkazdi.
5242:灾区	灾区	灾区	afet bölgesi	Gönüllüler yiyecekleri afet bölgesine ulaştırdı.	eneo la maafa	Wajitoleaji walipeleka chakula eneo la maafa.	fəlakət bölgəsi	Könüllülər ərzağı fəlakət bölgəsinə çatdırdılar.	ofat hududi	Ko‘ngillilar oziq-ovqatni ofat hududiga yetkazdi.
5244:再生	再生	再生	yeniden üretmek; geri dönüştürmek	Bu malzemeler geri dönüştürülüp tekrar kullanılabilir.	kuzalisha upya; kuchakata	Vifaa hivi vinaweza kuchakatwa na kutumiwa tena.	bərpa etmək; təkrar emal etmək	Bu materiallar təkrar emal edilərək istifadə oluna bilər.	qayta tiklamoq; qayta ishlamoq	Bu materiallarni qayta ishlab yana foydalanish mumkin.
5246:赞赏	赞赏	赞赏	takdir etmek; hayranlık duymak	Öğretmen onun ciddi tutumunu takdir etti.	kuthamini; kupongeza	Mwalimu alithamini mtazamo wake wa umakini.	təqdir etmək; bəyənmək	Müəllim onun ciddi münasibətini təqdir etdi.	qadrlamoq; ma’qullamoq	O‘qituvchi uning jiddiy munosabatini qadrladi.
5247:赞同	赞同	赞同	katılmak; onaylamak	Üyelerin çoğu bu karara katılıyor.	kukubaliana na	Wanachama wengi wanakubaliana na uamuzi huu.	razılaşmaq; dəstəkləmək	Üzvlərin əksəriyyəti bu qərarla razılaşır.	rozi bo‘lmoq; qo‘llab-quvvatlamoq	A’zolarning ko‘pchiligi bu qarorga rozi.
5248:遭到	遭到	遭到	maruz kalmak; karşılaşmak	Bu plan bazı itirazlarla karşılaştı.	kukumbwa na; kupata	Mpango huu ulikumbwa na upinzani fulani.	məruz qalmaq; qarşılaşmaq	Bu plan bəzi etirazlarla qarşılaşdı.	duch kelmoq; boshidan kechirmoq	Bu reja ayrim qarshiliklarga duch keldi.
5251:噪声	噪声	噪声	gürültü	İnşaat gürültüsü yakındaki sakinleri etkiledi.	kelele	Kelele za ujenzi ziliwaathiri wakazi wa karibu.	səs-küy	Tikinti səs-küyü yaxınlıqdakı sakinlərə təsir etdi.	shovqin	Qurilish shovqini yaqin atrofdagi aholiga ta’sir qildi.
5255:炸	炸	炸	patlamak	Havai fişek aniden patladı, herkes irkildi.	kulipuka	Baruti ililipuka ghafla, na kila mtu alishtuka.	partlamaq	Fişəng qəfil partladı və hamı diksindi.	portlamoq	Petarda to‘satdan portladi, hamma cho‘chib ketdi.
5256:粘	粘	粘	yapışmak; yapıştırmak	Tutkal kâğıtları birbirine yapıştırdı.	kubandika; kushikamana	Gundi ilibandika karatasi pamoja.	yapışmaq; yapışdırmaq	Yapışqan kağızları bir-birinə yapışdırdı.	yopishmoq; yopishtirmoq	Yelim qog‘ozlarni bir-biriga yopishtirdi.
5259:占比	占比	占比	oran; pay	Çevrim içi satışların payı yarıyı geçti.	uwiano; sehemu	Sehemu ya mauzo ya mtandaoni tayari imezidi nusu.	pay; nisbət	Onlayn satışların payı artıq yarıdan çoxdur.	ulush; nisbat	Onlayn savdo ulushi allaqachon yarmidan oshdi.
5262:战胜	战胜	战胜	yenmek; üstesinden gelmek	Sonunda tüm zorlukların üstesinden geldiler.	kushinda; kuishinda	Hatimaye walishinda matatizo yote.	qalib gəlmək; öhdəsindən gəlmək	Onlar nəhayət bütün çətinliklərin öhdəsindən gəldilər.	yengmoq; ustidan g‘alaba qozonmoq	Ular nihoyat barcha qiyinchiliklarni yengdi.
5263:占有	占有	占有	sahip olmak; işgal etmek	Bu şirket büyük bir pazar payına sahip.	kumiliki; kushikilia	Kampuni hii inashikilia sehemu kubwa ya soko.	sahib olmaq; tutmaq	Bu şirkət böyük bazar payına sahibdir.	egallamoq; ega bo‘lmoq	Bu kompaniya katta bozor ulushiga ega.
5265:章	章	章	bölüm; kısım	Lütfen üçüncü bölümün içeriğini okuyun.	sura; sehemu	Tafadhali soma maudhui ya sura ya tatu.	fəsil; bölmə	Zəhmət olmasa üçüncü fəslin məzmununu oxuyun.	bob; bo‘lim	Iltimos, uchinchi bob mazmunini o‘qing.
5268:账单	账单	账单	hesap; fatura	Garson hesabı masanın üzerine koydu.	bili; ankara	Mhudumu aliweka bili mezani.	hesab; faktura	Ofisiant hesabı masanın üstünə qoydu.	hisob; to‘lov varaqasi	Ofitsiant hisobni stol ustiga qo‘ydi.
5269:招	招	招	işe almak; çekmek	Şirket yeni çalışanlar alıyor.	kuajiri; kuvutia	Kampuni inaajiri wafanyakazi wapya.	işə götürmək; cəlb etmək	Şirkət yeni işçilər işə götürür.	ishga olmoq; jalb qilmoq	Kompaniya yangi xodimlarni ishga olmoqda.
5271:招生	招生	招生	öğrenci almak; kayıt yapmak	Bu okul bu yıl beş yüz öğrenci almayı planlıyor.	kuandikisha wanafunzi	Shule hii inapanga kuandikisha wanafunzi mia tano mwaka huu.	tələbə qəbul etmək	Bu məktəb bu il beş yüz tələbə qəbul etməyi planlaşdırır.	o‘quvchi qabul qilmoq	Bu maktab bu yil besh yuz o‘quvchi qabul qilishni rejalashtirmoqda.
5272:招手	招手	招手	el sallamak	İstasyonda bize el salladı.	kupunga mkono	Alitupungia mkono kituoni.	əl yelləmək	O, stansiyada bizə əl yellədi.	qo‘l silkitmoq	U bekatda bizga qo‘l silkitdi.
5274:照明	照明	照明	aydınlatma	Bu odanın aydınlatması çok iyi.	mwangaza; taa	Mwangaza wa chumba hiki ni mzuri sana.	işıqlandırma	Bu otağın işıqlandırması çox yaxşıdır.	yoritish	Bu xonaning yoritilishi juda yaxshi.
5276:针	针	针	iğne; enjeksiyon	Hemşire hastaya iğne yaptı.	sindano	Muuguzi alimchoma mgonjwa sindano.	iynə	Tibb bacısı xəstəyə iynə vurdu.	igna; ukol	Hamshira bemorga ukol qildi.
5280:镇	镇	镇	kasaba; yatıştırmak	Bu kasaba deniz kenarına yakın.	mji mdogo; kutuliza	Mji huu mdogo uko karibu na bahari.	qəsəbə; sakitləşdirmək	Bu qəsəbə dənizə yaxındır.	shaharcha; tinchlantirmoq	Bu shaharcha dengizga yaqin.
5281:阵雨	阵雨	阵雨	sağanak; kısa yağmur	Öğleden sonra sağanak olabilir.	mvua ya manyunyu; mvua ya muda mfupi	Mchana huenda kukawa na manyunyu.	leysan; qısamüddətli yağış	Günortadan sonra qısamüddətli yağış ola bilər.	qisqa yomg‘ir; jala	Kunning ikkinchi yarmida qisqa yomg‘ir bo‘lishi mumkin.
5283:争吵	争吵	争吵	tartışmak; kavga etmek	Küçük bir mesele yüzünden tartışmaya başladılar.	kugombana; kubishana	Walianza kugombana kwa jambo dogo.	mübahisə etmək; dalaşmaq	Onlar xırda məsələ üstündə mübahisə etməyə başladılar.	janjallashmoq; bahslashmoq	Ular arzimas narsa sabab janjallasha boshladi.
5290:正面	正面	正面	ön yüz; olumlu taraf	Lütfen fotoğrafın ön yüzünü yukarı bakacak şekilde koyun.	upande wa mbele; upande mzuri	Tafadhali weka upande wa mbele wa picha ukiangalia juu.	ön tərəf; müsbət tərəf	Zəhmət olmasa şəklin ön tərəfini yuxarı qoyun.	old tomon; ijobiy tomon	Iltimos, suratning old tomonini yuqoriga qaratib qo‘ying.
5299:之所以	之所以	之所以	sebebi; nedeni	Geç kalmasının nedeni yolda trafik olmasıydı.	sababu ya	Sababu ya kuchelewa kwake ni msongamano barabarani.	səbəbi odur ki	Onun gecikməsinin səbəbi yolda tıxac olması idi.	sababi shuki	Uning kechikish sababi yo‘lda tirbandlik borligi edi.
5303:职员	职员	职员	personel; çalışan	Şirket çalışanlarının hepsi eğitime katıldı.	mfanyakazi; mtumishi	Wafanyakazi wote wa kampuni walihudhuria mafunzo.	əməkdaş; işçi	Şirkətin bütün əməkdaşları təlimdə iştirak etdi.	xodim; ishchi	Kompaniya xodimlarining hammasi treningda qatnashdi.
5304:职责	职责	职责	görev; sorumluluk	Doktorun görevi hastaların sağlığını korumaktır.	wajibu; jukumu	Wajibu wa daktari ni kulinda afya ya wagonjwa.	vəzifə; məsuliyyət	Həkimin vəzifəsi xəstələrin sağlamlığını qorumaqdır.	vazifa; mas’uliyat	Shifokorning vazifasi bemorlar sog‘lig‘ini himoya qilishdir.
5306:只得	只得	只得	başka çaresi olmamak; mecbur kalmak	Yağmur çok şiddetliydi, etkinliği iptal etmek zorunda kaldık.	kulazimika; kukosa budi	Mvua ilikuwa kubwa sana, kwa hiyo tulilazimika kufuta shughuli.	məcbur qalmaq; başqa çarəsi olmamaq	Yağış çox güclü idi, buna görə tədbiri ləğv etməyə məcbur olduq.	majbur bo‘lmoq; boshqa chorasi qolmaslik	Yomg‘ir juda kuchli edi, tadbirni bekor qilishga majbur bo‘ldik.
5308:只顾	只顾	只顾	sadece ilgilenmek; dalıp gitmek	Sadece telefonuna bakıyordu, ne dediğimi duymadı.	fikiria tu; kujishughulisha tu	Alikuwa anatazama simu yake tu, hakusikia nilichosema.	yalnız qayğısına qalmaq; başı qarışmaq	O, yalnız telefonuna baxırdı və dediyimi eşitmədi.	faqat o‘ylamoq; berilib ketmoq	U faqat telefoniga qarab, gapimni eshitmadi.
5312:制	制	制	yapmak; sistem	Bu ilaç yerel bir ilaç fabrikasında üretiliyor.	kutengeneza; mfumo	Dawa hii imetengenezwa na kiwanda cha dawa cha eneo hilo.	hazırlamaq; sistem	Bu dərman yerli dərman zavodu tərəfindən hazırlanır.	tayyorlamoq; tizim	Bu dori mahalliy farmatsevtika zavodida tayyorlanadi.
5313:至关重要	至关重要	至关重要	son derece önemli	Güvenlik eğitimi yeni çalışanlar için son derece önemlidir.	muhimu sana	Mafunzo ya usalama ni muhimu sana kwa wafanyakazi wapya.	son dərəcə vacib	Təhlükəsizlik təlimi yeni işçilər üçün son dərəcə vacibdir.	juda muhim	Xavfsizlik bo‘yicha trening yangi xodimlar uchun juda muhim.
5316:制品	制品	制品	ürün; mamul	Bu dükkân çeşitli ahşap ürünler satıyor.	bidhaa; vitu vilivyotengenezwa	Duka hili huuza bidhaa mbalimbali za mbao.	məhsul; hazır məmulat	Bu mağaza müxtəlif taxta məmulatları satır.	mahsulot; tayyor buyum	Bu do‘kon turli yog‘och buyumlar sotadi.
5318:质疑	质疑	质疑	sorgulamak; kuşku duymak	Gazeteci bu rapordaki verileri sorguladı.	kuhoji; kutilia shaka	Mwandishi alihoji data katika ripoti hii.	sual altına almaq; şübhə etmək	Jurnalist bu hesabatdakı məlumatları sual altına aldı.	shubha qilmoq; savol ostiga olmoq	Jurnalist bu hisobotdagi ma’lumotlarni savol ostiga oldi.
5320:中等	中等	中等	orta; ortalama	Bu kıyafet orta bedendir.	wa kati; wastani	Vazi hili ni saizi ya kati.	orta; ortabab	Bu geyim orta ölçüdədir.	o‘rta; o‘rtacha	Bu kiyim o‘rta o‘lchamda.
5324:钟头	钟头	钟头	saat	İki saat bekledik.	saa	Tulingoja kwa saa mbili.	saat	Biz iki saat gözlədik.	soat	Biz ikki soat kutdik.
5327:肿	肿	肿	şişmek; şiş	Ayak bileği şişti.	kuvimba; uvimbe	Kifundo chake cha mguu kilivimba.	şişmək; şiş	Onun topuğu şişdi.	shishmoq; shishgan	Uning to‘pig‘i shishib ketdi.
5328:中	中	中	isabet etmek; kazanmak; etkilenmek	Ödül kazandı, sevinçten konuşamadı.	kupata; kushinda	Alishinda tuzo na alifurahi sana hata hakuweza kuzungumza.	dəymək; udmaq; tutulmaq	O, mükafat qazandı və sevincindən danışa bilmədi.	tegmoq; yutmoq	U sovrin yutdi va xursandligidan gapira olmadi.
5329:种地	种地	种地	çiftçilik yapmak; toprak işlemek	Dedem gençken köyde çiftçilik yapardı.	kulima ardhi	Babu alipokuwa kijana alilima kijijini.	əkinçilik etmək; torpaq becərmək	Babam gənc olanda kənddə əkinçilik edirdi.	dehqonchilik qilmoq; yer ishlamoq	Buvam yoshligida qishloqda dehqonchilik qilgan.
5330:中毒	中毒	中毒	zehirlenmek	Bozuk yiyecekler zehirlenmeye yol açabilir.	kupata sumu	Chakula kilichoharibika kinaweza kusababisha mtu kupata sumu.	zəhərlənmək	Xarab olmuş yemək zəhərlənməyə səbəb ola bilər.	zaharlanmoq	Buzilgan ovqat zaharlanishga olib kelishi mumkin.
5331:中奖	中奖	中奖	ödül kazanmak; piyango çıkmak	İlk kez piyango bileti aldığında ödül kazandı.	kushinda zawadi	Alishinda zawadi mara ya kwanza aliponunua tiketi ya bahati nasibu.	mükafat udmaq; lotereyada udmaq	O, ilk dəfə lotereya bileti alanda uddu.	yutuq yutmoq	U lotereya chiptasini birinchi marta olgandayoq yutuq yutdi.
5332:众人	众人	众人	herkes; kalabalık	Herkes haberi duyunca çok şaşırdı.	kila mtu; umati	Kila mtu alishangaa baada ya kusikia habari hiyo.	hamı; izdiham	Hamı xəbəri eşidəndən sonra çox təəccübləndi.	hamma; olomon	Hamma xabarni eshitgach juda hayron qoldi.
5333:中暑	中暑	中暑	güneş çarpması; sıcak çarpması yaşamak	Hava çok sıcak olduğunda yaşlılar kolayca sıcak çarpması yaşayabilir.	kiharusi cha joto; kupata joto kupita kiasi	Hali ya hewa ikiwa ya joto sana, wazee hupata kiharusi cha joto kwa urahisi.	isti vurmaq; günvurma	Hava çox isti olanda yaşlıları asanlıqla isti vurur.	oftob urishi; issiq urmoq	Havo juda issiq bo‘lsa, keksalarni oson issiq uradi.
5342:珠宝	珠宝	珠宝	mücevher; takı	Bu mağaza mücevher tasarımında uzmanlaşmıştır.	vito; johari	Duka hili limebobea katika kubuni vito.	zərgərlik məmulatı; zinət əşyası	Bu mağaza zərgərlik məmulatı dizaynı üzrə ixtisaslaşıb.	zargarlik buyumlari	Bu do‘kon zargarlik buyumlarini loyihalashga ixtisoslashgan.
5343:诸多	诸多	诸多	çok sayıda; pek çok	Bu proje çok sayıda zorlukla karşı karşıya.	nyingi; kadhaa	Mradi huu unakabiliwa na changamoto nyingi.	çoxsaylı; bir çox	Bu layihə çoxsaylı çətinliklərlə üzləşir.	ko‘plab; juda ko‘p	Bu loyiha ko‘plab qiyinchiliklarga duch kelmoqda.
5345:主播	主播	主播	sunucu; canlı yayıncı	O bu programın sunucusu.	mtangazaji; mtiririshaji wa moja kwa moja	Yeye ndiye mtangazaji wa kipindi hiki.	aparıcı; canlı yayımçı	O, bu verilişin aparıcısıdır.	boshlovchi; strimer	U bu dasturning boshlovchisi.
5348:主角	主角	主角	ana karakter; başrol	Bu filmin ana karakteri bir doktordur.	mhusika mkuu; nafasi kuu	Mhusika mkuu wa filamu hii ni daktari.	baş qəhrəman; baş rol	Bu filmin baş qəhrəmanı həkimdir.	bosh qahramon; bosh rol	Bu filmning bosh qahramoni shifokor.
5350:主演	主演	主演	başrolde oynamak; başrol oyuncusu	Bu tiyatro oyununda genç oyuncular başrolde oynuyor.	kuigiza kama mhusika mkuu; mwigizaji mkuu	Tamthilia hii inaigizwa na waigizaji vijana kama wahusika wakuu.	baş rolda oynamaq; baş rol ifaçısı	Bu tamaşada gənc aktyorlar baş rolda oynayır.	bosh rolda o‘ynamoq; bosh aktyor	Bu spektaklda yosh aktyorlar bosh rolda o‘ynaydi.
5355:祝愿	祝愿	祝愿	dilemek	Size içtenlikle mutluluk dilerim.	kutakia	Ninawatakia furaha kwa dhati.	arzulamaq; diləmək	Sizə səmimi qəlbdən xoşbəxtlik arzulayıram.	tilamoq	Sizlarga chin dildan baxt tilayman.
5359:专科	专科	专科	uzmanlık dalı; meslek yüksekokulu	Bu hastanede göz hastalıkları uzmanlık kliniği var.	taaluma maalum; chuo cha diploma	Hospitali hii ina kliniki maalum ya macho.	ixtisas sahəsi; kollec	Bu xəstəxanada göz xəstəlikləri üzrə ixtisaslaşmış ambulatoriya var.	ixtisoslik; kollej	Bu shifoxonada ko‘z kasalliklari bo‘yicha ixtisoslashgan klinika bor.
5362:专用	专用	专用	özel kullanım için; tahsisli	Bu geçit sadece personel kullanımı içindir.	maalum kwa matumizi fulani; iliyotengwa	Njia hii ni ya wafanyakazi pekee.	xüsusi istifadə üçün; ayrılmış	Bu keçid yalnız işçilər üçün nəzərdə tutulub.	maxsus; ajratilgan	Bu yo‘lak faqat xodimlar uchun mo‘ljallangan.
5363:专注	专注	专注	odaklanmış; yoğunlaşmak	Deney yaparken çok odaklanmış olur.	kuzingatia; makini	Anafanya majaribio akiwa makini sana.	diqqətini cəmləmək; fokuslanmış	O, təcrübə aparanda çox diqqətli olur.	diqqatni jamlamoq; e’tiborli	U tajriba qilayotganda juda e’tiborli bo‘ladi.
5364:转换	转换	转换	dönüştürmek; değiştirmek	Lütfen dosyayı PDF biçimine dönüştürün.	kubadilisha	Tafadhali badilisha faili liwe umbizo la PDF.	çevirmək; dəyişdirmək	Zəhmət olmasa faylı PDF formatına çevirin.	aylantirmoq; o‘zgartirmoq	Iltimos, faylni PDF formatiga aylantiring.
5365:转交	转交	转交	iletmek; devretmek	Lütfen bu mektubu müdüre iletin.	kukabidhi; kupeleka	Tafadhali mkabidhi meneja barua hii.	təhvil vermək; çatdırmaq	Zəhmət olmasa bu məktubu menecerə çatdırın.	yetkazib bermoq; topshirmoq	Iltimos, bu xatni menejerga yetkazib bering.
5367:转身	转身	转身	arkasına dönmek; dönmek	Sesi duyunca hemen arkasına döndü.	kugeuka	Aliposikia sauti, aligeuka mara moja.	dönmək; arxaya çevrilmək	Səsi eşidəndən sonra dərhal arxaya döndü.	o‘girilib qaramoq	U ovozni eshitgach darhol o‘girildi.
5370:转动	转动	转动	dönmek; döndürmek	Makinenin tekerleği dönmeye başladı.	kuzunguka; kuzungusha	Gurudumu la mashine lilianza kuzunguka.	fırlanmaq; döndürmək	Maşının təkəri fırlanmağa başladı.	aylanmoq; aylantirmoq	Mashinaning g‘ildiragi aylana boshladi.
