simplified	TR	example_TR
坚决	kararlı; kesin	Bu karara kesinlikle katılmıyor.
坚强	güçlü	O güçlü bir insandır.
肩膀	omuz	Omzu yaralandı.
艰巨	çok zor; ağır	Bu çok zor bir görevdir.
艰苦	zorlu	Onlar zorlu bir hayat yaşadı.
剪刀	makas	Lütfen makası bana uzat.
捡	yerden almak	Yerdeki cüzdanı aldı.
简历	özgeçmiş	İşe başvurmadan önce özgeçmiş hazırlamak gerekir.
简直	gerçekten; düpedüz	Bu haber gerçekten şaşırtıcı.
健身	spor yapmak; formda kalmak	Haftada üç kez spor yapmaya gidiyor.
建立	kurmak	Yeni bir ilişki kurduk.
建设	inşa etmek; yapılaşma	Şehir inşaatı hızla gelişiyor.
建筑	bina; yapı	Bu binanın kendine özgü özellikleri var.
键盘	klavye	Klavyemin temizlenmesi gerekiyor.
讲究	özen göstermek	Çinliler yemek konusunda çok özen gösterir.
讲座	seminer; konferans	Bu akşam bir Çince semineri var.
酱油	soya sosu	Yemeğe biraz soya sosu ekle.
交换	değiş tokuş etmek	Telefon numaralarımızı değiştirdik.
交际	iletişim; sosyal ilişki	Dil öğrenirken iletişim pratiği de yapmak gerekir.
交往	görüşmek; ilişki sürdürmek	İki yıldır görüşüyorlar.
浇	sulamak	Lütfen çiçekleri her gün sula.
胶水	yapıştırıcı	Fotoğrafı yapıştırıcıyla yapıştırdım.
狡猾	kurnaz	O tilki çok kurnaz.
角度	açı; bakış açısı	Soruna başka bir açıdan bakalım.
教材	ders kitabı; eğitim materyali	Bu ders kitabı çok kullanışlı.
教练	antrenör	Antrenör zamanında gelmemizi istiyor.
教训	ders; ibret	Bu başarısızlık bir derstir.
接触	temas; tanışmak	Çin kültürüyle ilk kez tanışıyorum.
接待	karşılamak	Şirket konukları karşılamak için özel birini ayarladı.
接近	yaklaşmak	Bahar Bayramı giderek yaklaşıyor.
结实	sağlam	Bu bavul çok sağlam.
阶段	aşama	Öğrenme üç aşamaya ayrılır.
结构	yapı	Bu makalenin yapısı açıktır.
结合	birleştirmek; ilişkilendirmek	Öğrenme uygulamayla birleştirilmelidir.
结论	sonuç; çıkarım	Onun sonucu çok ikna edici.
结账	hesabı ödemek	Yemekten sonra hesabı ödemeye gittik.
节省	tasarruf etmek	Metroya binmek zaman kazandırır.
借口	bahane	Bahane aramayı bırak.
届	dönem; kez	Bu üçüncü yarışmadır.
戒	bırakmak; sakınmak	Doktor ona sigarayı bırakmasını önerdi.
戒指	yüzük	O bir yüzük takıyor.
金属	metal	Demir bir metal türüdür.
尽快	en kısa zamanda	Lütfen e-postaya en kısa zamanda cevap verin.
紧急	acil	Bu acil bir durum.
谨慎	dikkatli; temkinli	Yatırım yapmadan önce dikkatli olmak gerekir.
尽力	elinden geleni yapmak	Sana yardım etmek için elimden geleni yapacağım.
尽量	mümkün olduğunca	Lütfen mümkün olduğunca erken gelmeye çalışın.
近代	yakın çağ; modern dönem	Yakın çağ Çin'inde çok değişiklik oldu.
进步	ilerleme; gelişmek	Onun Çincesi hızla gelişiyor.
进口	ithal etmek; ithal	Bu araba ithaldir.
精力	enerji	Çocukların enerjisi çok yüksek.
精神	ruh hali; zihin	Bugün keyfi çok yerinde.
经典	klasik	Bu klasik bir film.
经商	ticaret yapmak	Babası yurt dışında ticaret yapıyor.
经营	işletmek	O küçük bir dükkan işletiyor.
酒吧	içki mekanı	Akşam içki mekanına gittiler.
救	kurtarmak	Doktor onun hayatını kurtardı.
救护车	ambulans	Ambulans çok çabuk geldi.
舅舅	dayı	Dayım Nanjing'de yaşıyor.
居然	meğer; beklenmedik şekilde	Kendi doğum gününü bile unutmuş.
桔子	mandalina	Masanın üzerinde birkaç mandalina var.
俱乐部	kulüp	Yüzme kulübüne katıldı.
具备	sahip olmak	Yönetim deneyimine sahip.
具体	somut; belirli	Lütfen biraz daha somut konuşun.
巨大	çok büyük	Bu proje çok büyük yatırım gerektiriyor.
据说	duyduğuma göre	Duyduğuma göre ülkesine dönmüş.
捐	bağışlamak	Herkes para bağışlamak istiyor.
决赛	son maç	Yarın futbolun son maçı var.
决心	kararlılık	Çinceyi iyi öğrenmeye karar verdi.
绝对	kesinlikle	Bu mesele kesinlikle unutulmamalı.
角色	rol	Filmde önemli bir rol oynuyor.
军事	askeri; askeri işler	Askeri tarihe çok ilgi duyuyor.
均匀	eşit; dengeli	Lütfen rengi eşit şekilde sürün.
卡车	kamyon	Kapının önünde bir kamyon duruyor.
开发	geliştirmek	Şirket yeni ürün geliştiriyor.
开放	açılmak; halka açık olmak	Park her sabah saat altıda açılır.
开幕式	açılış töreni	Açılış töreni yarın akşam yapılacak.
开水	kaynamış su	Lütfen bana bir bardak kaynamış su verin.
砍	kesmek	İşçi ağaç dallarını kesiyor.
看不起	küçümsemek	Hiç kimseyi küçümseme.
看望	ziyaret etmek	Hafta sonu büyükanne ve büyükbabamı ziyaret edeceğim.
靠	yaslanmak	Duvara yaslanıp dinlendi.
颗	adet; tane	Gece gökyüzünde bir yıldız var.
可见	görülebilir; belli ki	Belli ki bu yöntem çok etkili.
可靠	güvenilir	O güvenilir bir arkadaş.
可怕	korkunç	Bu rüya çok korkunçtu.
克	gram	Lütfen iki gram tuz ekleyin.
克服	üstesinden gelmek	Zorlukların üstesinden gelmeliyiz.
刻苦	çalışkan; gayretli	Çok gayretli çalışıyor.
客观	nesnel	Lütfen sorunu nesnel biçimde analiz edin.
课程	ders; kurs	Bu ders çok yararlı.
空间	alan; yer	Bu odada çok yer var.
控制	kontrol etmek	Sürücü aracın hızını kontrol etti.
空闲	boş zaman	Yarın öğleden sonra boş zamanın var mı?
口味	damak zevki; tat	Onun damak zevki daha hafiftir.
夸	övmek	Öğretmen onu büyük ilerleme kaydettiği için övdü.
夸张	abartılı	Onun yüz ifadesi biraz abartılı.
会计	muhasebeci	O şirkette muhasebeci olarak çalışıyor.
宽	geniş	Bu yol çok geniş.
昆虫	böcek	Çocuklar böcekleri gözlemliyor.
扩大	genişletmek	Okul kütüphaneyi genişletmeyi planlıyor.
辣椒	acı biber	Yemeğe çok acı biber kondu.
拦	durdurmak; engellemek	Polis bir arabayı durdurdu.
烂	çürük; bozulmuş	Bu elma çoktan çürümüş.
朗读	sesli okumak	Lütfen metni yüksek sesle okuyun.
劳动	emek; çalışma	Çalışmak insana doluluk hissi verir.
劳驾	affedersiniz	Affedersiniz, metro istasyonu nerede?
姥姥	anneanne	Anneannem çok lezzetli yemek yapar.
老百姓	sıradan insanlar	Sıradan insanlar yaşam maliyetini önemser.
老板	patron	Patron bugün ofiste değil.
老婆	eş; karı	O eşine çiçek aldı.
老实	dürüst	O dürüst bir insandır.
老鼠	fare	Mutfakta bir fare var.
乐观	iyimser	O geleceğe karşı çok iyimser.
雷	gök gürültüsü	Dün gece gök gürültüsü çok yüksekti.
类型	tür; kategori	Bu tür film hangi kategoriye girer?
冷淡	soğuk; ilgisiz	Tavrı biraz soğuk.
厘米	santimetre	Bu kalem on beş santimetre uzunluğunda.
梨	armut	Birkaç armut aldım.
离婚	boşanmak	Geçen yıl boşandılar.
理论	kuram	Bu kuram çok karmaşık.
理由	neden	Geç kalmak için ne nedenin var?
利润	kâr	Şirketin kârı bu yıl arttı.
利息	faiz	Banka faizi yüksek değil.
利益	çıkar; yarar	Herkesin çıkarlarını korumalıyız.
利用	yararlanmak	Hafta sonunu Çince öğrenmek için kullanıyor.
力量	güç	Birlik güçtür.
立即	hemen	Lütfen buradan hemen ayrılın.
立刻	derhal	Haberi duyunca derhal yola çıktı.
联合	birleşmek; ortaklaşa yapmak	İki şirket ürünü ortaklaşa geliştirdi.
连忙	hemen; çabucak	Telefon sesini duyunca hemen açtı.
连续	arka arkaya; kesintisiz	Arka arkaya on saat çalıştı.
恋爱	aşk ilişkisi yaşamak	Onlar bir aşk ilişkisi yaşıyor.
粮食	tahıl; gıda maddesi	Bu yıl tahıl üretimi arttı.
良好	iyi; olumlu	Onun iyi çalışma alışkanlıkları var.
亮	parlak	Odadaki lamba çok parlak.
了不起	harika; olağanüstü	O olağanüstü başarılar elde etti.
列车	tren	Tren birazdan hareket edecek.
临时	geçici	Bu geçici bir karar.
灵活	esnek	Çalışma yöntemleri esnek olmalı.
铃	zil	Ders zili çaldı.
零件	parça	Makinede bir parça eksik.
零食	atıştırmalık	Çocuklar atıştırmalık yemeyi sever.
领导	lider; yönetmek	Lider toplantıda.
领域	alan	Eğitim alanında çalışıyor.
流传	aktarılmak; yayılmak	Bu hikaye uzun süredir aktarılıyor.
流泪	gözyaşı dökmek	Bu haberi duyunca gözyaşı döktü.
浏览	göz gezdirmek	Önce web sayfasına göz gezdireceğim.
龙	ejderha	Çin kültüründe ejderha vardır.
漏	sızmak; kaçırmak	Çatı yağmur geçiriyor.
录取	kabul etmek; kabul edilmek	Üniversiteye kabul edildi.
录音	ses kaydı yapmak	Lütfen ses kaydına başlayın.
陆地	kara	Deniz kaplumbağası karaya çıktı.
陆续	arka arkaya; birer birer	Konuklar birer birer geldi.
轮流	sırayla yapmak	Sınıfı sırayla temizliyoruz.
论文	tez; makale	Mezuniyet tezini yazıyor.
逻辑	mantık	Onun mantığı çok açık.
落后	geri kalmak	Başkalarından geri kalamayız.
骂	azarlamak	Lütfen çocuğu azarlamayın.
麦克风	mikrofon	Lütfen mikrofonu ona uzatın.
馒头	buharda pişmiş ekmek	Kahvaltıda bir buharda pişmiş ekmek yedim.
满足	karşılamak; memnun etmek	Bu cevap gereksinimleri karşılamıyor.
毛病	sorun; kusur	Bu bilgisayarda küçük bir sorun var.
矛盾	çelişki; anlaşmazlık	Aralarında bazı anlaşmazlıklar var.
冒险	risk almak	Tek başına oraya gitmek çok riskli.
贸易	ticaret	Uluslararası ticaret hızla gelişiyor.
媒体	medya	Medya bu olayı haber yaptı.
煤炭	kömür	Bu bölge kömür üretir.
眉毛	kaş	Onun kaşları çok gür.
美术	güzel sanatlar	Kız kardeşim güzel sanatları sever.
魅力	çekicilik	Bu şehir çok çekici.
梦想	hayal; düşlemek	Onun hayali doktor olmak.
密切	yakın	Yakın teması sürdürüyoruz.
秘密	sır	Bu bizim sırrımız.
秘书	sekreter	Sekreter toplantı saatini ayarladı.
蜜蜂	arı	Çiçeklerin arasında çok arı var.
面对	yüzleşmek	Zorluklarla cesurca yüzleşmeliyiz.
面积	alan	Bu odanın alanı büyük değil.
面临	karşı karşıya kalmak	Şirket yeni zorluklarla karşı karşıya.
描写	betimlemek	Yazar kırsal yaşamı betimledi.
苗条	ince; zarif	Onun vücudu çok ince.
敏感	hassas	Bu konu oldukça hassas.
名牌	ünlü marka	O ünlü marka bir saat aldı.
名片	kartvizit	Lütfen bana bir kartvizit verin.
名胜古迹	tarihi ve turistik yerler	Pekin'de çok tarihi ve turistik yer var.
明确	açık; net	Öğretmen gereksinimleri net biçimde açıkladı.
明显	belirgin	Onun ilerlemesi çok belirgin.
明星	yıldız; ünlü	O film yıldızı olmak istiyor.
命令	emir	Askerler emirlere uymalıdır.
命运	kader	O kaderin değişebileceğine inanıyor.
摸	dokunmak	Lütfen bu tabloya dokunmayın.
摩托车	motosiklet	İşe motosikletle gidiyor.
模仿	taklit etmek	Çocuklar yetişkinlerin konuşmasını taklit etmeyi sever.
模糊	bulanık	Bu fotoğraf biraz bulanık.
模特	manken	O bir giyim mankenidir.
陌生	yabancı; tanıdık olmayan	Bu şehir bana çok yabancı.
某	belirli bir; falanca	Bir öğretmen beni aradı.
木头	ahşap; odun	Bu masa ahşaptan yapılmış.
目标	hedef	Hedefim sınavı geçmek.
目录	içindekiler; dizin	Lütfen önce kitabın başındaki içindekiler bölümüne bakın.
目前	şu anda	Şu anda durum oldukça istikrarlı.
哪怕	olsa bile	Çok meşgul olsa bile çalışmayı sürdürüyor.
难怪	şaşmamalı	Bugün bu kadar mutlu olmana şaşmamalı.
难免	kaçınılmaz	İlk kez yaparken hata yapmak kaçınılmazdır.
脑袋	baş	Başı biraz ağrıyor.
内部	iç; dahili	Bu şirketin dahili belgesidir.
内科	dahiliye	Bugün dahiliyeye gidecek.
嫩	körpe; yumuşak	Bu et çok yumuşak.
能干	yetenekli	O çok yetenekli bir insan.
能源	enerji kaynağı	Güneş enerjisi temiz bir enerji kaynağıdır.
嗯	hı hı; evet	Hı hı, anladım.
年代	dönem; yıllar	Bu fotoğraf seksenli yıllarda çekildi.
年纪	yaş	Yaşı büyük değil ama deneyimi çok.
念	okumak	Lütfen metni bir kez oku.
宁可	tercih etmek	Otobüs beklemektense yürümeyi tercih ederim.
牛仔裤	kot pantolon	O bir kot pantolon giyiyor.
农村	kırsal bölge	O kırsal bölgede büyüdü.
农民	çiftçi	Çiftçiler tarlada çalışıyor.
农业	tarım	Tarım bu bölge için çok önemlidir.
浓	yoğun; sert	Bu kahve çok sert.
女士	hanımefendi	O hanımefendi otobüs bekliyor.
欧洲	Avrupa	Gelecek ay Avrupa'ya seyahat edecek.
偶然	tesadüfen	Eski bir sınıf arkadaşımla tesadüfen karşılaştım.
拍	fotoğraf çekmek	Lütfen benim için bir fotoğraf çek.
派	göndermek	Şirket onu iş gezisi için Şanghay'a gönderdi.
盼望	dört gözle beklemek	Seni en kısa zamanda görmeyi dört gözle bekliyorum.
培训	eğitim	Yeni çalışanların eğitime katılması gerekiyor.
培养	yetiştirmek; geliştirmek	Okul öğrencilerin yeteneklerini geliştirmeye önem verir.
赔偿	tazmin etmek	Şirket zararı tazmin etmeyi kabul etti.
佩服	hayran olmak	Onun cesaretine çok hayranım.
配合	iş birliği yapmak	Lütfen herkes öğretmenin düzenlemesiyle iş birliği yapsın.
盆	saksı; leğen	Balkonda bir saksı çiçek var.
碰	dokunmak; çarpmak	Dikkat et, sıcak suya dokunma.
批	parti; grup	Bu parti mal bugün geldi.
批准	onaylamak	Müdür bu planı onayladı.
披	omuzuna almak	Omuzuna bir palto almıştı.
疲劳	yorgunluk	Uzun süre çalışmak yorgun hissettirir.
匹	adet	Çimenlikte bir at var.
片	dilim	Lütfen bana bir dilim ekmek verin.
片面	tek yanlı	Bu görüş fazla tek yanlı.
飘	uçuşmak	Kar taneleri havada uçuşuyor.
拼音	pinyin	Lütfen Çince karakterlerin yanına pinyin yazın.
频道	kanal	Lütfen haber kanalına geçin.
凭	ile; dayanarak	Biletle içeri girilebilir.
平均	ortalama	Kişi başı ortalama on yuan harcandı.
平	düz	Bu yol çok düz.
平安	güvenli; esen	Sana güvenli bir yolculuk dilerim.
平常	genellikle; sıradan	Normalde nadiren geç kalır.
平等	eşit	Herkese eşit davranılmalıdır.
平方	kare	Bu oda yirmi metrekaredir.
平衡	denge	İş ve yaşam arasında denge gerekir.
平静	sakin	Gölün yüzeyi çok sakin.
评价	değerlendirmek; değerlendirme	Öğretmen çok yüksek bir değerlendirme yaptı.
破产	iflas etmek	O şirket geçen yıl iflas etti.
破坏	zarar vermek	Lütfen kamu malına zarar vermeyin.
迫切	acil; çok gerekli	Daha fazla doktora acilen ihtiyacımız var.
期待	dört gözle beklemek	Bu seyahati dört gözle bekliyorum.
期间	sırasında	Toplantı sırasında lütfen telefonunuzu kapatın.
其余	geri kalan	Geri kalan sorunları yarın tartışacağız.
奇迹	mucize	Doktor bunun bir mucize olduğunu söyledi.
企业	işletme	Bu işletme hızla gelişiyor.
启发	ilham; esin vermek	Bu kitap bana çok ilham verdi.
气氛	atmosfer; hava	Sınıftaki hava çok rahat.
汽油	benzin	Arabaya benzin almak gerekiyor.
签	imzalamak	Lütfen buraya adınızı imzalayın.
谦虚	alçakgönüllü	O çok başarılı ve aynı zamanda alçakgönüllü.
前途	gelecek; umut vadetmek	Bu bölümün geleceği parlak.
浅	sığ; açık renk	Bu nehir çok sığ.
欠	borçlu olmak	Bana hâlâ yirmi yuan borcu var.
枪	silah	Polisin elinde silah var.
墙	duvar	Duvarda bir tablo asılı.
强调	vurgulamak	Öğretmen güvenlik konusunu vurguladı.
强烈	güçlü; yoğun	Onda güçlü bir sorumluluk duygusu var.
抢	kapışmak; kapmak	Başkalarıyla koltuk kapışmayın.
悄悄	sessizce	O sessizce odaya girdi.
瞧	bakmak	Bak, dışarıda kar yağıyor.
巧妙	ustaca; zekice	Bu yöntem çok zekice.
切	kesmek	Lütfen meyveyi küçük parçalara kesin.
亲爱	sevgili	Sevgili dostum, teşekkür ederim.
亲切	içten; nazik	Öğretmen çok nazik konuşuyor.
亲自	bizzat	Müdür konukları bizzat karşıladı.
勤奋	çalışkan	Çalışkan insanlar daha kolay başarılı olur.
清淡	hafif	Ben hafif yemekleri seviyorum.
轻视	küçümsemek	Bu küçük sorunu küçümsemeyin.
轻易	kolayca	O kolay kolay vazgeçmez.
青	mavi-yeşil	Bu giysi mavi-yeşil renkte.
青春	gençlik	Gençlik değerlidir.
青少年	genç; ergen	Gençlerin yeterince uykuya ihtiyacı vardır.
情景	sahne; durum	Filmdeki sahne çok dokunaklı.
情绪	duygu durumu	Onun duygu durumu pek istikrarlı değil.
请求	istek; rica etmek	Bir istekte bulundu.
庆祝	kutlamak	Onun doğum gününü kutladık.
球迷	taraftar	Maçı izlemeye çok taraftar geldi.
趋势	eğilim	Bu eğilim giderek daha belirgin hale geliyor.
取消	iptal etmek	Yağmur nedeniyle etkinlik iptal edildi.
娶	evlenmek	Önümüzdeki yıl onunla evlenmeyi planlıyor.
去世	vefat etmek	Dedesi geçen yıl vefat etti.
圈	daire içine almak	Lütfen doğru cevabı daire içine alın.
全面	kapsamlı	Durumu kapsamlı biçimde anlamamız gerekiyor.
权利	hak	Herkesin eğitim alma hakkı vardır.
权力	yetki; güç	Yetki denetlenmelidir.
劝	öğüt vermek	Arkadaşım erken dinlenmemi öğütledi.
缺乏	eksik olmak; yoksun olmak	Bu bölgede temiz su eksik.
确定	belirlemek; emin olmak	Zamanı hâlâ belirleyemiyorum.
确认	onaylamak	Lütfen adresinizi onaylayın.
群	grup	Bir grup çocuk oyun alanında oynuyor.
燃烧	yanmak	Odun yanıyor.
绕	etrafında dolaşmak	Gölün etrafında bir tur yürüdük.
热爱	çok sevmek	O işini çok seviyor.
热烈	coşkulu	Herkes konukları coşkuyla karşıladı.
热心	yardımsever	Komşuların hepsi çok yardımsever.
人才	yetenekli kişi	Şirketin daha fazla yetenekli kişiye ihtiyacı var.
人口	nüfus	Bu şehrin nüfusu çok fazla.
人类	insanlık	İnsanlık Dünya'yı korumalı.
人民币	renminbi	Biraz renminbi bozdurdum.
人生	hayat	Hayatta birçok seçenek vardır.
人事	insan kaynakları	O insan kaynakları bölümünde çalışıyor.
人物	karakter	Romandaki karakterler çok gerçekçi.
人员	personel	Personelin tamamı geldi.
忍不住	kendini tutamamak	Fıkrayı duyunca gülmeden duramadı.
日常	günlük	Bu benim günlük işim.
日程	program	Bugünün programı çok dolu.
日历	takvim	Duvarda bir takvim asılı.
日期	tarih	Lütfen tarihi açıkça yazın.
日用品	günlük ihtiyaç malzemeleri	Süpermarkette birçok günlük ihtiyaç malzemesi satılır.
日子	günler; zaman	Bu günlerde çok meşgul.
如何	nasıl	Bu sorunu nasıl çözmeliyiz?
如今	günümüzde	Günümüzde ulaşım çok daha kolay.
软	yumuşak	Bu yatak çok yumuşak.
软件	yazılım	Bu yazılımın kullanımı çok kolay.
弱	zayıf	Onun bedeni nispeten zayıf.
洒	dökmek	Suyu yanlışlıkla döktü.
嗓子	boğaz	Boğazım biraz ağrıyor.
色彩	renk	Bu tablonun renkleri çok zengin.
杀	öldürmek	Bu filmde öldürme sahnesi yok.
沙漠	çöl	Çöldeki su çok değerlidir.
沙滩	kumsal	Çocuklar kumsalda oynuyor.
傻	aptalca	Aptalca şeyler yapma.
晒	güneşte kurutmak	Çamaşırlar balkonda güneşte kuruyor.
删除	silmek	Lütfen bu e-postayı silin.
闪电	şimşek	Gece şimşek çaktı.
善良	iyi kalpli	O iyi kalpli bir insandır.
善于	iyi olmak	Sorun çözmede iyidir.
扇子	yelpaze	Yazın sık sık yelpaze kullanırım.
伤害	incitmek; zarar vermek	Başkalarının duygularını incitme.
商品	mal; ürün	Bu mağazada çok ürün var.
商务	ticari işler	Yarın ticari bir toplantıya katılacak.
商业	ticaret	Bu bölgede ticaret çok gelişmiş.
上当	kandırılmak	Neredeyse kandırılıyordu.
蛇	yılan	Otların arasında bir yılan var.
舍不得	ayrılmaya kıyamamak	Buradan ayrılmaya kıyamıyorum.
射击	ateş etmek; atıcılık	Atıcılık eğitimi alıyor.
摄影	fotoğrafçılık	Fotoğrafçılığa çok ilgi duyuyor.
设备	donanım; ekipman	Laboratuvardaki ekipman çok gelişmiş.
设计	tasarım; tasarlamak	Bu tasarım çok yaratıcı.
设施	tesis; olanaklar	Okulun spor tesisleri iyidir.
伸	uzatmak	Lütfen elini uzat.
深刻	derin	Bu deneyim bende derin iz bıraktı.
身材	vücut yapısı	Onun vücut yapısı sağlıklı.
身份	kimlik	Lütfen kimlik belgenizi gösterin.
神话	mit; efsane	Çocuklar mitolojik hikayeler dinlemeyi sever.
神秘	gizemli	Bu antik şehir çok gizemli.
升	litre	Benzin fiyatı litre başına biraz arttı.
声调	ton	Çincede dört temel ton vardır.
生产	üretmek	Bu fabrika cep telefonu üretiyor.
生动	canlı; etkileyici	Öğretmen çok canlı anlatıyor.
生长	büyümek	Bu bitki çok hızlı büyür.
绳子	ip	Lütfen kutuyu iple bağlayın.
省略	atlamak; çıkarmak	Burada bir karakter çıkarılabilir.
胜利	zafer	Sonunda zafer kazandılar.
失眠	uykusuzluk çekmek	Son zamanlarda sık sık uykusuzluk çekiyor.
失去	kaybetmek	Özgüvenini kaybetme.
失业	işsiz kalmak	İşsiz kaldıktan sonra yeni beceriler öğrenmeye başladı.
湿润	nemli	Yağmurdan sonra hava çok nemli.
狮子	aslan	Hayvanat bahçesinde iki aslan var.
诗	şiir	Bir şiir yazdı.
实话	gerçek	Lütfen gerçeği söyle.
实践	pratik; uygulama	Kuram pratikle sınanmalıdır.
实习	staj yapmak	Yaz tatilinde hastanede staj yapacak.
实现	gerçekleştirmek	Sonunda hayalini gerçekleştirdi.
实验	deney	Öğrenciler deney yapıyor.
实用	pratik	Bu araç çok pratiktir.
时差	saat farkı	Henüz saat farkına uyum sağlayamadı.
时代	çağ; dönem	Bilgi çağında yaşıyoruz.
时刻	an; zaman	Lütfen bu önemli anı hatırla.
时髦	moda; şık	Bu kıyafet çok şık.
时期	dönem	Üniversite dönemi onu çok etkiledi.
时尚	moda	Modaya çok ilgi duyuyor.
石头	taş	Yol kenarında bir taş var.
食物	yiyecek	Lütfen yiyecekleri buzdolabına koyun.
使劲儿	güç kullanmak	Bu şişeyi açmak için güç kullanmak gerekir.
始终	başından sonuna kadar	Kendisinin başarabileceğine hep inandı.
事实	gerçek	Gerçekler onun haklı olduğunu kanıtladı.
事物	şey; nesne	Çocuklar yeni şeylere çok meraklıdır.
事先	önceden	Lütfen zamanı bana önceden söyle.
似的	gibi	Öyle yorgundu ki tek kelime bile söylemek istemiyor gibiydi.
士兵	asker	Askerler eğitim yapıyor.
市场	pazar	Bu pazar çok canlı.
试卷	sınav kağıdı	Öğretmen sınav kağıtlarını değerlendiriyor.
收获	kazanım	Bu seyahatten çok şey kazandım.
收据	makbuz	Ödeme yaptıktan sonra lütfen makbuzu saklayın.
手工	el işi	Bu hediye el yapımıdır.
手术	ameliyat	Doktor yarın onu ameliyat edecek.
手套	eldiven	Kışın dışarı çıkarken eldiven takmak gerekir.
手续	işlem	İşlem yapmak için kimlik kartı gerekir.
手指	parmak	Parmağı yaralandı.
首	adet	Bir şarkı söyledi.
受伤	yaralanmak	Maç sırasında yaralandı.
寿命	ömür; kullanım süresi	Bu tür makinenin kullanım süresi uzundur.
书架	kitaplık	Kitaplık kitaplarla dolu.
梳子	tarak	Saçını tarakla tarıyor.
舒适	rahat	Bu oda çok rahat.
蔬菜	sebze	Daha çok sebze yemek sağlığa iyidir.
输入	girmek	Lütfen şifreyi bilgisayara girin.
熟练	usta; yetkin	Bilgisayarı yetkin biçimde kullanabiliyor.
属于	ait olmak	Bu kitap kütüphaneye aittir.
数	saymak	Lütfen kaç kişi olduğunu say.
鼠标	fare	Farem bozuldu.
数据	veri	Bu veriler çok önemlidir.
数码	dijital	O bir dijital kamera aldı.
摔倒	düşmek	Yolda düştü.
甩	silkelemek	Elindeki suyu silkeledi.
双方	iki taraf	İki taraf da bu planı kabul etti.
税	vergi	Bir şey satın alırken vergi ödemek gerekir.
说不定	belki	Belki yarın kar yağar.
说服	ikna etmek	Sonunda anne babasını ikna etti.
丝绸	ipek	Bu atkı ipekten yapılmış.
丝毫	hiç; zerre kadar	Fikrini hiç değiştirmedi.
思考	düşünmek	Lütfen bu sorun üzerine ciddi ciddi düşün.
思想	düşünce	Onun düşüncesi çok açık fikirlidir.
撕	yırtmak	Lütfen bu kağıdı yırtmayın.
私人	özel	Bu benim özel alanım.
似乎	görünüşe göre	Görünüşe göre pek mutlu değil.
搜索	aramak	İnternette bilgi aradım.
宿舍	yurt	Öğrenciler okul yurdunda kalıyor.
随身	yanında taşımak	Lütfen pasaportunu yanında taşı.
随时	her zaman	Beni her zaman arayabilirsin.
随手	yaparken beraber	Ayrılırken kapıyı da kapat lütfen.
碎	kırılmak	Bardak yere düşüp kırıldı.
损失	kayıp; zarar	Bu kaza büyük zarara yol açtı.
缩短	kısaltmak	Yeni rota yolu kısalttı.
所	adet; kurum	Bu okul çok ünlü.
锁	kilitlemek	Dışarı çıkmadan önce lütfen kapıyı kilitle.
台阶	basamak	Yaşlı kişi basamakları yavaşça çıktı.
太极拳	Çin gölge boksu	Parkta Çin gölge boksu yapan insanlar var.
太太	bayan; eş	Bayan Wang yemek yapıyor.
谈判	müzakere	İki taraf müzakere ediyor.
坦率	açık sözlü	Düşüncelerini açıkça söyledi.
烫	çok sıcak	Bu çay çok sıcak.
桃	şeftali	Ağaçta çok şeftali yetişti.
淘气	yaramaz	Bu çocuk biraz yaramaz.
逃	kaçmak	Yavru köpek bahçeden kaçtı.
逃避	kaçınmak	Sorumluluktan kaçma.
讨价还价	pazarlık etmek	Alışveriş yaparken pazarlık etmeyi sever.
套	takım; set	Yeni bir takım elbise aldı.
特色	özellik	Bu restoranın yerel özellikleri var.
特殊	özel	Bugün özel bir gün.
特征	özellik	Bu hayvanın belirgin özellikleri var.
疼爱	çok sevmek	Büyükanne ve büyükbaba çocuğu çok sever.
提倡	teşvik etmek	Okul su tasarrufunu teşvik ediyor.
提纲	taslak	Makale yazmadan önce taslak çıkar.
提问	soru sormak	Öğrenciler her zaman soru sorabilir.
题目	soru; konu	Bu soru pek zor değil.
体会	kavrayış; deneyim	Seyahat sayesinde yeni bir kavrayış edindim.
体贴	düşünceli	Ailesine karşı çok düşüncelidir.
体现	yansıtmak	Bu olay takım ruhunu yansıtıyor.
体验	deneyimlemek	Yerel yaşamı deneyimlemek istiyorum.
天空	gökyüzü	Bugün gökyüzü çok mavi.
天真	saf	Çocuğun fikri çok saf.
调皮	yaramaz	O kedi çok yaramaz.
调整	ayarlamak	Planı ayarlamamız gerekiyor.
挑战	zorluk	Bu çok büyük bir zorluk.
通常	genellikle	Genellikle saat yedide kalkar.
统一	birleştirmek; ortaklaştırmak	Herkesin görüşlerinin ortaklaştırılması gerekiyor.
痛苦	acı; üzüntü	Arkadaşını kaybetmek ona büyük acı verdi.
痛快	keyifli	Bugün gerçekten çok keyifli vakit geçirdik.
偷	çalmak	Başkalarının eşyalarını çalma.
投入	odaklanmış; yatırım yapmak	İşine büyük bir dikkatle odaklanıyor.
投资	yatırım yapmak	Yeni bir projeye yatırım yaptılar.
透明	şeffaf	Bu bardak şeffaftır.
突出	belirgin; öne çıkan	Onun güçlü yönleri çok belirgin.
土地	toprak; arazi	Bu arazi çok verimli.
土豆	patates	Birkaç patates aldım.
兔子	tavşan	Çocuk bir tavşan besliyor.
