hsk_key	source_word	simplified	SR	example_SR	SL	example_SL	LT	example_LT	LV	example_LV	ET	example_ET	IS	example_IS
3884:得知	得知	得知	saznati; biti obavešten	Upravo sam saznao da je vreme sastanka promenjeno.	izvedeti; biti obveščen	Pravkar sem izvedel, da se je ura sestanka spremenila.	sužinoti; būti informuotam	Ką tik sužinojau, kad susitikimo laikas pakeistas.	uzzināt; tikt informētam	Es tikko uzzināju, ka sapulces laiks ir mainīts.	teada saama; informeeritud olema	Sain just teada, et koosoleku aeg muutus.	komast að; fá að vita	Ég var rétt að komast að því að fundartímanum var breytt.
3888:低碳	低碳	低碳	niskougljenični; sa malo emisija	Niskougljenični način života postaje sve popularniji.	nizkoogljičen	Nizkoogljični način življenja postaja vse bolj priljubljen.	mažai anglies dioksido išskiriantis	Mažai anglies dioksido išskiriantis gyvenimo būdas tampa vis populiaresnis.	ar zemām oglekļa emisijām	Dzīvesveids ar zemām oglekļa emisijām kļūst arvien populārāks.	vähese süsinikuheitega	Vähese süsinikuheitega eluviis muutub üha populaarsemaks.	kolefnissnauður; með litla losun	Kolefnissnauður lífsstíll verður sífellt vinsælli.
3893:地形	地形	地形	teren; reljef	Teren je ovde složen i nije pogodan za noćno putovanje.	teren; relief	Teren je tukaj zahteven in ni primeren za nočno pot.	reljefas; vietovė	Čia reljefas sudėtingas ir netinka keliauti naktį.	reljefs; apvidus	Šeit reljefs ir sarežģīts un nav piemērots pārvietoties naktī.	maastik; pinnamood	Siinne maastik on keeruline ega sobi öiseks liikumiseks.	landslag; landsvæði	Landslagið hér er flókið og hentar ekki ferðalagi að næturlagi.
3894:地域	地域	地域	region; oblast	Različiti regioni imaju različite navike u ishrani.	regija; območje	Različne regije imajo različne prehranjevalne navade.	regionas; sritis	Skirtingi regionai turi skirtingus mitybos įpročius.	reģions; apvidus	Dažādos reģionos ir atšķirīgi ēšanas paradumi.	piirkond; regioon	Eri piirkondades on erinevad söömisharjumused.	svæði; hérað	Mismunandi svæði hafa mismunandi matarvenjur.
3896:点击	点击	点击	kliknuti	Molim te, klikni dugme u gornjem desnom uglu.	klikniti	Prosim, kliknite gumb v zgornjem desnem kotu.	spustelėti; paspausti	Prašome spustelėti mygtuką viršutiniame dešiniajame kampe.	noklikšķināt	Lūdzu, noklikšķiniet pogu augšējā labajā stūrī.	klõpsama	Palun klõpsa paremas ülanurgas nuppu.	smella; ýta	Vinsamlegast smelltu á hnappinn efst í hægra horninu.
3898:点燃	点燃	点燃	zapaliti; upaliti	Zapalio je rođendanske svećice.	prižgati; zanetiti	Prižgal je rojstnodnevne svečke.	uždegti	Jis uždegė gimtadienio žvakutes.	aizdedzināt; iedegt	Viņš aizdedzināja dzimšanas dienas sveces.	süütama	Ta süütas sünnipäevaküünlad.	kveikja á; tendra	Hann kveikti á afmæliskertunum.
3900:电饭锅	电饭锅	电饭锅	kuvalo za pirinač; aparat za pirinač	U aparatu za pirinač još ima pirinča.	kuhalnik za riž	V kuhalniku za riž je še riž.	ryžių viryklė	Ryžių viryklėje dar yra ryžių.	rīsu vārītājs	Rīsu vārītājā vēl ir rīsi.	riisikeetja	Riisikeetjas on veel riisi.	hrísgrjónapottur	Það eru enn hrísgrjón í hrísgrjónapottinum.
3901:电力	电力	电力	električna energija; struja	Snabdevanje strujom u ovom regionu je stabilno.	električna energija	Oskrba z električno energijo je na tem območju stabilna.	elektros energija	Elektros tiekimas šiame rajone yra stabilus.	elektroenerģija	Šajā reģionā elektroenerģijas piegāde ir stabila.	elektrienergia	Elektrivarustus selles piirkonnas on stabiilne.	raforka	Raforkuafhending á þessu svæði er stöðug.
3902:店铺	店铺	店铺	radnja; prodavnica	U ovoj ulici ima mnogo malih radnji.	trgovina; prodajalna	Na tej ulici je veliko majhnih trgovin.	parduotuvė; krautuvė	Šioje gatvėje yra daug mažų parduotuvių.	veikals; tirdzniecības vieta	Šajā ielā ir daudz mazu veikalu.	pood; kauplus	Sellel tänaval on palju väikseid poode.	verslun; búð	Það eru margar litlar verslanir við þessa götu.
3906:钓鱼	钓鱼	钓鱼	pecati; ići na pecanje	Vikendom voli da peca pored reke.	ribariti; iti na ribolov	Ob koncih tedna rad lovi ribe ob reki.	žvejoti; eiti žvejoti	Savaitgaliais jis mėgsta žvejoti prie upės.	makšķerēt	Nedēļas nogalēs viņam patīk makšķerēt pie upes.	kala püüdma; kalastama	Nädalavahetustel meeldib talle jõe ääres kala püüda.	veiða fisk; fara að veiða	Um helgar finnst honum gaman að veiða við ána.
3909:订单	订单	订单	porudžbina; narudžbina	Kupac je već potvrdio porudžbinu.	naročilo	Stranka je že potrdila naročilo.	užsakymas	Klientas jau patvirtino užsakymą.	pasūtījums	Klients jau ir apstiprinājis pasūtījumu.	tellimus	Klient on tellimuse juba kinnitanud.	pöntun	Viðskiptavinurinn hefur þegar staðfest pöntunina.
3910:订婚	订婚	订婚	veriti se	Planiraju da se vere sledeće godine.	zaročiti se	Načrtujeta, da se bosta zaročila prihodnje leto.	susižadėti	Jie planuoja susižadėti kitais metais.	saderināties	Viņi plāno saderināties nākamgad.	kihluma	Nad plaanivad järgmisel aastal kihluda.	trúlofast	Þau ætla að trúlofast á næsta ári.
3911:定价	定价	定价	odrediti cenu; određivanje cene	Novi proizvod još nema određenu cenu.	določiti ceno; oblikovanje cene	Novi izdelek še nima določene cene.	nustatyti kainą; kainodara	Naujam produktui dar nenustatyta kaina.	noteikt cenu; cenu noteikšana	Jaunajam produktam vēl nav noteikta cena.	hinda määrama; hinnastamine	Uuele tootele ei ole veel hinda määratud.	verðleggja; verðlagning	Nýja varan hefur ekki enn verið verðlögð.
3912:定时	定时	定时	zakazati; vremenski podesiti	Ovaj softver može automatski da isključi računar u zadato vreme.	časovno nastaviti; načrtovan	Ta programska oprema lahko ob določenem času izklopi računalnik.	nustatyti laiką; suplanuotas	Ši programa gali nustatytu laiku išjungti kompiuterį.	iestatīt laiku; ieplānots	Šī programma var noteiktā laikā izslēgt datoru.	ajastama; ajastatud	See tarkvara saab arvuti ajastatult välja lülitada.	tímasetja; á áætlun	Þessi hugbúnaður getur slökkt á tölvunni á ákveðnum tíma.
3913:定位	定位	定位	locirati; pozicioniranje	Telefon može brzo da locira položaj vozila.	locirati; določanje položaja	Telefon lahko hitro določi položaj vozila.	nustatyti vietą; padėties nustatymas	Telefonas gali greitai nustatyti transporto priemonės vietą.	noteikt atrašanās vietu; pozicionēšana	Tālrunis var ātri noteikt transportlīdzekļa atrašanās vietu.	asukohta määrama; positsioneerimine	Telefon saab sõiduki asukoha kiiresti määrata.	staðsetja; staðsetning	Sími getur fljótt staðsett bílinn.
3915:定制	定制	定制	prilagoditi; izraditi po meri	Kupac je naručio komplet nameštaja po meri.	prilagoditi; izdelati po meri	Stranka je naročila komplet pohištva po meri.	pritaikyti; gaminti pagal užsakymą	Klientas užsisakė pagal užsakymą pagamintą baldų komplektą.	pielāgot; izgatavot pēc pasūtījuma	Klients pasūtīja pēc pasūtījuma izgatavotu mēbeļu komplektu.	kohandama; eritellimusel valmistama	Klient tellis eritellimusel mööblikomplekti.	sérsníða; gera eftir pöntun	Viðskiptavinurinn pantaði sérsmíðað húsgagnasett.
3919:动漫	动漫	动漫	animacija i stripovi	Vikendom voli da gleda animirane serije i čita stripove.	animacija in stripi	Ob koncih tedna rad gleda animacije in bere stripe.	animacija ir komiksai	Savaitgaliais jis mėgsta žiūrėti animaciją ir skaityti komiksus.	animācija un komiksi	Nedēļas nogalēs viņam patīk skatīties animāciju un lasīt komiksus.	animatsioon ja koomiksid	Nädalavahetustel meeldib talle animatsiooni vaadata ja koomikseid lugeda.	teiknimyndir og myndasögur	Um helgar finnst honum gaman að horfa á teiknimyndir og lesa myndasögur.
3921:动听	动听	动听	prijatan za slušanje; milozvučan	Njen glas je veoma prijatan za slušanje.	prijeten za poslušanje	Njen pevski glas je zelo prijeten.	malonus klausytis; skambus	Jos dainavimo balsas labai malonus klausytis.	patīkams dzirdēšanai; skanīgs	Viņas dziedāšanas balss ir ļoti patīkama.	meeldiv kuulata; kõlav	Tema lauluhääl on väga meeldiv kuulata.	þægilegt að hlusta á; hljómfagurt	Söngrödd hennar er mjög þægileg að hlusta á.
3924:都市	都市	都市	metropola; veliki grad	Šangaj je moderna metropola.	velemesto; metropola	Šanghaj je sodobno velemesto.	didmiestis; metropolis	Šanchajus yra modernus didmiestis.	lielpilsēta; metropole	Šanhaja ir moderna lielpilsēta.	suurlinn; metropol	Shanghai on nüüdisaegne suurlinn.	stórborg; heimsborg	Sjanghæ er nútímaleg stórborg.
3925:毒	毒	毒	otrov; otrovan	Ova vrsta zmije je otrovna.	strup; strupen	Ta vrsta kače je strupena.	nuodai; nuodingas	Šios rūšies gyvatė yra nuodinga.	inde; indīgs	Šī čūsku suga ir indīga.	mürk; mürgine	See maoliik on mürgine.	eitur; eitraður	Þessi tegund snáks er eitruð.
3926:渡	渡	渡	preći; prevesti se preko	Čamcem smo prešli ovu reku.	prečkati; prepeljati čez	S čolnom smo prečkali to reko.	persikelti; perplaukti	Laivu persikėlėme per šią upę.	šķērsot; pārcelties pāri	Mēs ar laivu šķērsojām šo upi.	ületama; üle vedama	Ületasime selle jõe paadiga.	fara yfir; ferja yfir	Við fórum yfir þessa á með báti.
3928:短缺	短缺	短缺	nestašica; nedostatak	U ovom gradu zimi nedostaje vode.	pomanjkanje; primanjkljaj	V tem mestu pozimi primanjkuje vode.	trūkumas; stygius	Šiame mieste žiemą trūksta vandens.	trūkums; deficīts	Šajā pilsētā ziemā trūkst ūdens.	puudus; nappus	Selles linnas on talvel veepuudus.	skortur; vöntun	Í þessari borg er vatnsskortur á veturna.
3930:对接	对接	对接	povezati; uskladiti	Dva sistema se trenutno povezuju.	povezati; uskladiti	Sistema se trenutno povezujeta.	sujungti; suderinti	Dvi sistemos šiuo metu jungiamos.	savienot; saskaņot	Abas sistēmas pašlaik tiek savienotas.	ühendama; koordineerima	Kahte süsteemi ühendatakse praegu.	tengja; samræma	Verið er að tengja kerfin tvö.
3936:多才多艺	多才多艺	多才多艺	svestran; nadaren za više stvari	Ona je svestrana, ume da slika i da svira klavir.	vsestransko nadarjen	Je vsestransko nadarjena, zna slikati in igrati klavir.	daug talentų turintis	Ji turi daug talentų, moka tapyti ir groti pianinu.	daudzpusīgi talantīgs	Viņa ir daudzpusīgi talantīga, prot gleznot un spēlēt klavieres.	mitmekülgselt andekas	Ta on mitmekülgselt andekas, oskab maalida ja klaverit mängida.	fjölhæfur	Hún er fjölhæf, getur málað og spilað á píanó.
3938:多媒体	多媒体	多媒体	multimedija	U učionici postoji multimedijalna oprema.	večpredstavnost; multimedija	V učilnici je multimedijska oprema.	multimedija	Klasėje yra multimedijos įranga.	multivide	Klasē ir multivides aprīkojums.	multimeedia	Klassiruumis on multimeediaseadmed.	margmiðlun	Í kennslustofunni er margmiðlunarbúnaður.
3940:多元	多元	多元	raznolik; pluralan	Škola podstiče raznoliku kulturnu razmenu.	raznolik; večplasten	Šola spodbuja raznoliko kulturno izmenjavo.	įvairus; pliuralistinis	Mokykla skatina įvairius kultūrinius mainus.	daudzveidīgs; plurālistisks	Skola veicina daudzveidīgu kultūras apmaiņu.	mitmekesine; pluralistlik	Kool soodustab mitmekesist kultuurivahetust.	fjölbreyttur; margþættur	Skólinn hvetur til fjölbreyttra menningarsamskipta.
3941:夺	夺	夺	oteti; osvojiti	U poslednjoj sekundi je oteo loptu.	zgrabiti; osvojiti	V zadnji sekundi je zgrabil žogo.	užgrobti; pagriebti	Paskutinę sekundę jis perėmė kamuolį.	sagrābt; atņemt	Pēdējā sekundē viņš atņēma bumbu.	haarama; jõuga võtma	Viimasel sekundil haaras ta palli endale.	grípa; taka með valdi	Hann greip boltann á síðustu sekúndu.
3942:夺取	夺取	夺取	osvojiti; izboriti	Sportista se trudio da osvoji prvenstvo.	osvojiti; doseči	Športnik se je trudil osvojiti prvenstvo.	laimėti; užimti	Sportininkas stengėsi laimėti čempionatą.	iegūt; izcīnīt	Sportists centās izcīnīt čempiona titulu.	võitma; enda kätte saama	Sportlane pingutas meistritiitli võitmiseks.	vinna; ná	Íþróttamaðurinn lagði sig fram við að vinna meistaratitilinn.
3943:躲避	躲避	躲避	izbegavati; skloniti se od	Pešaci su se sklonili od iznenadne jake kiše.	izogibati se; umakniti se	Pešci so se umaknili nenadnemu nalivu.	vengti; išsisukti	Pėstieji slėpėsi nuo staigios liūties.	izvairīties; paglābties	Gājēji izvairījās no pēkšņās stiprās lietusgāzes.	vältima; kõrvale hoidma	Jalakäijad hoidusid äkilise paduvihma eest.	forðast; víkja undan	Vegfarendur forðuðust skyndilega úrhellisrigningu.
3946:儿科	儿科	儿科	pedijatrija	Pedijatrija u ovoj bolnici je veoma poznata.	pediatrija	Pediatrija v tej bolnišnici je zelo znana.	pediatrija	Šios ligoninės pediatrijos skyrius yra gerai žinomas.	pediatrija	Šīs slimnīcas pediatrijas nodaļa ir ļoti pazīstama.	pediaatria	Selle haigla pediaatriaosakond on hästi tuntud.	barnalækningar	Barnalækningadeild þessa sjúkrahúss er vel þekkt.
3949:发病	发病	发病	razboleti se; pojava bolesti	Ova bolest se obično javlja u proleće.	zboleti; izbruhniti	Ta bolezen se običajno pojavi spomladi.	susirgti; liga prasidėti	Ši liga paprastai pasireiškia pavasarį.	saslimt; slimībai sākties	Šī slimība parasti sākas pavasarī.	haigestuma; avalduma	See haigus avaldub tavaliselt kevadel.	fá sjúkdóm; veikjast	Þessi sjúkdómur kemur venjulega fram á vorin.
3951:发电	发电	发电	proizvoditi struju	Vetroturbine se mogu koristiti za proizvodnju struje.	proizvajati elektriko	Vetrne turbine se lahko uporabljajo za proizvodnjo elektrike.	gaminti elektrą	Vėjo turbinos gali būti naudojamos elektrai gaminti.	ražot elektroenerģiju	Vēja turbīnas var izmantot elektroenerģijas ražošanai.	elektrit tootma	Tuulikuid saab kasutada elektri tootmiseks.	framleiða rafmagn	Vindmyllur má nota til að framleiða rafmagn.
3953:发放	发放	发放	podeliti; izdati	Škola će sutra podeliti nove udžbenike.	razdeliti; izdati	Šola bo jutri razdelila nove učbenike.	išdalyti; išduoti	Mokykla rytoj išdalys naujus vadovėlius.	izdalīt; izsniegt	Skola rīt izdalīs jaunās mācību grāmatas.	jagama; välja andma	Kool jagab homme uued õpikud välja.	dreifa; afhenda	Skólinn mun afhenda nýjar kennslubækur á morgun.
3954:发光	发光	发光	svetleti; zračiti svetlost	Ovi mali insekti svetle noću.	svetiti; oddajati svetlobo	Te majhne žuželke ponoči svetijo.	šviesti; skleisti šviesą	Šie maži vabzdžiai naktį šviečia.	spīdēt; izstarot gaismu	Šie mazie kukaiņi naktī spīd.	helendama; valgust kiirgama	Need väikesed putukad helendavad öösel.	lýsa; gefa frá sér ljós	Þessi litlu skordýr lýsa á nóttunni.
3959:法定	法定	法定	zakonski; pravno određen	Na zakonske praznike svi mogu da odmaraju.	zakonski; pravno določen	Ob zakonskih praznikih lahko vsi počivajo.	teisėtas; įstatyminis	Per įstatymu nustatytas šventes visi gali ilsėtis.	likumā noteikts; juridisks	Likumā noteiktajās brīvdienās visi var atpūsties.	seaduslik; õigusjärgne	Riiklikel pühadel saavad kõik puhata.	lögbundinn; lagalegur	Á lögbundnum frídögum geta allir hvílt sig.
3960:法官	法官	法官	sudija	Sudija je objavio presudu.	sodnik	Sodnik je razglasil sodbo.	teisėjas	Teisėjas paskelbė nuosprendį.	tiesnesis	Tiesnesis pasludināja spriedumu.	kohtunik	Kohtunik kuulutas otsuse välja.	dómari	Dómarinn tilkynnti dóminn.
3961:法规	法规	法规	propisi; zakoni i pravila	Preduzeća moraju poštovati propise o zaštiti životne sredine.	predpisi; zakoni in uredbe	Podjetja morajo upoštevati okoljske predpise.	teisės aktai; reglamentai	Įmonės privalo laikytis aplinkosaugos reglamentų.	normatīvie akti; noteikumi	Uzņēmumiem jāievēro vides aizsardzības noteikumi.	õigusaktid; eeskirjad	Ettevõtted peavad järgima keskkonnaeeskirju.	lög og reglur	Fyrirtæki verða að fylgja umhverfisreglum.
3968:犯	犯	犯	počiniti; napraviti	Napravio je ozbiljnu grešku.	storiti; zagrešiti	Naredil je resno napako.	padaryti; pažeisti	Jis padarė rimtą klaidą.	izdarīt; pārkāpt	Viņš pieļāva nopietnu kļūdu.	toime panema; eksima	Ta tegi tõsise vea.	fremja; brjóta	Hann gerði alvarleg mistök.
3969:方方面面	方方面面	方方面面	svi aspekti; svaka strana	Ova reforma utiče na sve aspekte društva.	vsi vidiki	Ta reforma vpliva na vse vidike družbe.	visi aspektai; visos pusės	Ši reforma veikia visus visuomenės aspektus.	visi aspekti; visas puses	Šī reforma ietekmē visus sabiedrības aspektus.	kõik küljed; kõik aspektid	See reform mõjutab ühiskonna kõiki aspekte.	allir þættir	Þessi umbót hefur áhrif á alla þætti samfélagsins.
3973:房价	房价	房价	cene stanova; cene nekretnina	Cene stanova u ovom gradu su visoke.	cene stanovanj; cene nepremičnin	Cene stanovanj v tem mestu so visoke.	būsto kainos	Būsto kainos šiame mieste yra aukštos.	mājokļu cenas	Mājokļu cenas šajā pilsētā ir augstas.	eluasemehinnad	Selle linna eluasemehinnad on kõrged.	húsnæðisverð	Húsnæðisverð í þessari borg er hátt.
3975:访谈	访谈	访谈	intervju; razgovor	Novinar vodi intervju sa piscem.	intervju; pogovor	Novinar opravlja intervju s pisateljem.	interviu; apklausa	Žurnalistas kalbina rašytoją interviu.	intervija; intervēt	Žurnālists veic interviju ar rakstnieku.	intervjuu; intervjueerima	Ajakirjanik teeb kirjanikuga intervjuud.	viðtal; taka viðtal	Blaðamaðurinn tekur viðtal við rithöfundinn.
3977:放飞	放飞	放飞	pustiti da poleti	Deca puštaju zmajeve na travi.	spustiti v zrak; spuščati	Otroci na travniku spuščajo zmaje.	paleisti skristi	Vaikai pievoje leidžia aitvarus.	palaist gaisā	Bērni zālienā laiž gaisā pūķus.	lendu laskma	Lapsed lasevad murul tuulelohesid lendu.	láta fljúga; sleppa	Börnin fljúga flugdrekum á grasinu.
3978:飞速	飞速	飞速	munjevito; veoma brzo	Tehnologija se razvija veoma brzo.	bliskovito; zelo hitro	Tehnologija se bliskovito razvija.	labai greitai; žaibiškai	Technologijos labai greitai vystosi.	ļoti ātri; strauji	Tehnoloģijas strauji attīstās.	ülikiiresti; kiiresti	Tehnoloogia areneb väga kiiresti.	mjög hratt; á miklum hraða	Tæknin þróast mjög hratt.
3979:肥	肥	肥	plodan; debeo	Ova zemlja je plodna i pogodna za povrće.	rodoviten; debel	Ta zemlja je rodovitna in primerna za zelenjavo.	derlingas; riebus	Ši žemė derlinga ir tinka daržovėms auginti.	auglīgs; resns	Šī zeme ir auglīga un piemērota dārzeņu audzēšanai.	viljakas; paks	See maa on viljakas ja sobib köögiviljade kasvatamiseks.	frjósamur; feitur	Þessi jarðvegur er frjósamur og hentar til grænmetisræktunar.
3980:肥胖	肥胖	肥胖	gojazan; gojaznost	Gojaznost povećava zdravstvene rizike.	debelost; prekomerna telesna teža	Debelost povečuje zdravstvena tveganja.	nutukimas; nutukęs	Nutukimas didina sveikatos riziką.	aptaukošanās; aptaukojies	Aptaukošanās palielina veselības riskus.	rasvumine; rasvunud	Rasvumine suurendab terviseriske.	offita; offeitur	Offita eykur heilsufarsáhættu.
3983:肺炎	肺炎	肺炎	upala pluća; pneumonija	Lekar je rekao da ima upalu pluća.	pljučnica	Zdravnik je rekel, da ima pljučnico.	plaučių uždegimas; pneumonija	Gydytojas pasakė, kad jis serga plaučių uždegimu.	pneimonija; plaušu karsonis	Ārsts teica, ka viņam ir pneimonija.	kopsupõletik	Arst ütles, et tal on kopsupõletik.	lungnabólga	Læknirinn sagði að hann væri með lungnabólgu.
3984:分工	分工	分工	podela posla; podela rada	Podela posla među članovima tima je jasna.	delitev dela	Delitev dela med člani ekipe je zelo jasna.	darbo pasidalijimas	Komandos narių darbo pasidalijimas yra labai aiškus.	darba dalīšana	Komandas locekļu darba dalīšana ir ļoti skaidra.	tööjaotus	Meeskonnaliikmete tööjaotus on väga selge.	verkaskipting	Verkaskipting liðsmanna er mjög skýr.
3985:分级	分级	分级	razvrstati po nivou; stepenovati	Ove materijale treba razvrstati po težini.	razvrstiti po stopnjah	To gradivo je treba razvrstiti po težavnosti.	suskirstyti pagal lygį	Šią medžiagą reikia suskirstyti pagal sudėtingumą.	klasificēt pēc līmeņa	Šie materiāli jāklasificē pēc grūtības pakāpes.	taseme järgi liigitama	Need materjalid tuleb raskusastme järgi liigitada.	flokka eftir stigi	Þessi gögn þarf að flokka eftir erfiðleikastigi.
3986:分期	分期	分期	na rate; po fazama	Izabrao je plaćanje na rate.	na obroke; po fazah	Izbral je plačilo na obroke.	dalimis; etapais	Jis pasirinko mokėti dalimis.	pa daļām; pa posmiem	Viņš izvēlējās maksāt pa daļām.	osamaksetena; etappide kaupa	Ta valis osamaksetega maksmise.	í afborgunum; í áföngum	Hann valdi að borga í afborgunum.
3988:氛围	氛围	氛围	atmosfera; ozračje	Atmosfera u kancelariji je opuštena.	vzdušje; atmosfera	Vzdušje v pisarni je sproščeno.	atmosfera; nuotaika	Atmosfera biure yra rami.	atmosfēra; gaisotne	Atmosfēra birojā ir nepiespiesta.	õhkkond; atmosfäär	Kontori õhkkond on pingevaba.	andrúmsloft; stemning	Andrúmsloftið á skrifstofunni er afslappað.
3989:粉	粉	粉	prah; brašno; roze	Ovaj prah može da se koristi za kolače.	prah; moka; rožnat	Ta prah se lahko uporabi za pecivo.	milteliai; miltai; rožinė	Šiuos miltelius galima naudoti pyragams.	pulveris; milti; rozā	Šo pulveri var izmantot kūkām.	pulber; jahu; roosa	Seda pulbrit saab kasutada kookide tegemiseks.	duft; mjöl; bleikur	Þetta duft má nota í kökur.
3993:风力	风力	风力	snaga vetra; vetroenergija	Danas je vetar pored mora veoma jak.	moč vetra; vetrna energija	Danes je ob morju veter zelo močan.	vėjo stiprumas; vėjo energija	Šiandien prie jūros vėjas labai stiprus.	vēja spēks; vēja enerģija	Šodien pie jūras vējš ir ļoti stiprs.	tuulejõud; tuuleenergia	Täna on mere ääres tuul väga tugev.	vindstyrkur; vindorka	Í dag er vindurinn við sjóinn mjög sterkur.
3995:风雨	风雨	风雨	vetar i kiša; teškoće	Koliko god vetar i kiša bili jaki, stigao je na vreme.	veter in dež; težave	Ne glede na močan veter in dež je prišel pravočasno.	vėjas ir lietus; sunkumai	Kad ir koks stiprus buvo vėjas ir lietus, jis atvyko laiku.	vējš un lietus; grūtības	Lai cik stiprs bija vējš un lietus, viņš ieradās laikā.	tuul ja vihm; raskused	Kui tugev tuul ja vihm ka polnud, jõudis ta õigeks ajaks kohale.	vindur og rigning; erfiðleikar	Sama hversu mikill vindur og rigning var, kom hann á réttum tíma.
3998:服	服	服	priznati; biti ubeđen	Svi priznaju njegovu sposobnost.	priznati; biti prepričan	Vsi priznavajo njegove sposobnosti.	pripažinti; būti įtikintam	Visi pripažįsta jo gebėjimus.	atzīt; būt pārliecinātam	Visi atzīst viņa spējas.	tunnustama; veendunud olema	Kõik tunnustavad tema võimeid.	sannfærast; viðurkenna	Allir viðurkenna hæfileika hans.
3999:浮	浮	浮	plutati	Lišće pluta na površini vode.	plavati; lebdeti na vodi	Listje plava na vodni gladini.	plūduriuoti	Lapai plūduriuoja vandens paviršiuje.	peldēt; uzpeldēt	Lapas peld uz ūdens virsmas.	hõljuma; pinnal püsima	Lehed hõljuvad veepinnal.	fljóta	Laufin fljóta á yfirborði vatnsins.
4004:服用	服用	服用	uzimati; piti lek	Molim vas, uzimajte lek prema uputstvu.	jemati; zaužiti	Prosimo, jemljite zdravilo po navodilih.	vartoti vaistus	Prašome vartoti vaistus pagal instrukciją.	lietot zāles	Lūdzu, lietojiet zāles saskaņā ar norādījumiem.	ravimit võtma	Palun võtke ravimit juhiste järgi.	taka lyf	Vinsamlegast taktu lyfið samkvæmt leiðbeiningunum.
4010:负面	负面	负面	negativan	Ova vest je donela negativan uticaj.	negativen	Ta novica je imela negativen vpliv.	neigiamas	Ši naujiena turėjo neigiamą poveikį.	negatīvs	Šī ziņa radīja negatīvu ietekmi.	negatiivne	See uudis avaldas negatiivset mõju.	neikvæður	Þessi frétt hafði neikvæð áhrif.
4013:该2	该2	该	taj; navedeni	Taj projekat je već završen.	ta; omenjeni	Ta projekt je že končan.	šis; minėtas	Šis projektas jau baigtas.	šis; minētais	Šis projekts jau ir beidzies.	see; nimetatud	See projekt on juba lõppenud.	þessi; fyrrnefndur	Þetta verkefni er þegar lokið.
4014:改编	改编	改编	adaptirati; preraditi	Ovaj film je adaptiran prema romanu.	prirediti; predelati	Ta film je prirejen po romanu.	adaptuoti; perrašyti	Šis filmas adaptuotas pagal romaną.	adaptēt; pārstrādāt	Šī filma ir adaptēta no romāna.	kohandama; ümber kirjutama	See film on kohandatud romaani põhjal.	aðlaga; endursemja	Þessi kvikmynd er byggð á skáldsögu.
4015:改造	改造	改造	preurediti; transformisati	Stara fabrika je pretvorena u biblioteku.	preoblikovati; prenoviti	Stara tovarna je bila preurejena v knjižnico.	pertvarkyti; renovuoti	Sena gamykla buvo paversta biblioteka.	pārveidot; renovēt	Vecā rūpnīca tika pārveidota par bibliotēku.	ümber kujundama; renoveerima	Vana tehas muudeti raamatukoguks.	umbreyta; endurnýja	Gömlu verksmiðjunni var breytt í bókasafn.
4016:概率	概率	概率	verovatnoća	Verovatnoća uspeha nije velika.	verjetnost	Verjetnost uspeha ni velika.	tikimybė	Sėkmės tikimybė nėra didelė.	varbūtība	Panākumu varbūtība nav liela.	tõenäosus	Edu tõenäosus ei ole suur.	líkur; sannlíkur	Líkurnar á árangri eru ekki miklar.
4017:肝	肝	肝	jetra	Previše alkohola može da ošteti jetru.	jetra	Preveč alkohola lahko poškoduje jetra.	kepenys	Per daug alkoholio gali pakenkti kepenims.	aknas	Pārāk daudz alkohola var kaitēt aknām.	maks	Liiga palju alkoholi võib maksa kahjustada.	lifur	Of mikið áfengi getur skaðað lifrina.
4024:赶忙	赶忙	赶忙	žuriti; brzo	Kad je čuo zvono, brzo je istrčao.	pohiteti; naglo	Ko je zaslišal zvonec, je hitro stekel ven.	skubėti; skubiai	Išgirdęs skambutį, jis skubiai išbėgo.	steigties; steidzami	Izdzirdējis zvanu, viņš steidzīgi izskrēja ārā.	kiirustama; rutates	Kella kuuldes jooksis ta kiiresti välja.	flýta sér; í flýti	Þegar hann heyrði bjölluna hljóp hann í flýti út.
4027:钢笔	钢笔	钢笔	nalivpero	Pisao je pismo nalivperom.	nalivno pero	Z nalivnim peresom piše pisma.	plunksnakotis	Jis rašo laiškus plunksnakočiu.	tintes pildspalva	Viņš raksta vēstules ar tintes pildspalvu.	täitesulepea	Ta kirjutab kirju täitesulepeaga.	sjálfblekungur	Hann skrifar bréf með sjálfblekungi.
4030:高层	高层	高层	viši nivo; rukovodstvo	Rukovodstvo kompanije raspravlja o novoj strategiji.	vodstvo; višja raven	Vodstvo podjetja razpravlja o novi strategiji.	aukščiausias lygis; vadovybė	Įmonės vadovybė aptaria naują strategiją.	augstākā vadība; augstākais līmenis	Uzņēmuma augstākā vadība apspriež jaunu stratēģiju.	juhtkond; kõrgtase	Ettevõtte juhtkond arutab uut strateegiat.	æðsta stjórn; háhýsi	Æðsta stjórn fyrirtækisins ræðir nýja stefnu.
4032:高等	高等	高等	viši; napredan	On stiče visoko obrazovanje.	višji; napreden	Prejema visokošolsko izobrazbo.	aukštasis; pažangus	Jis gauna aukštąjį išsilavinimą.	augstāks; padziļināts	Viņš iegūst augstāko izglītību.	kõrgem; edasijõudnud	Ta omandab kõrgharidust.	æðri; framhalds-	Hann stundar æðri menntun.
