source_headword	KN	example_KN
dislike	ಇಷ್ಟಪಡು	ನನಗೆ ತುಂಬಾ ಜೋರಾದ ಸಂಗೀತ ಇಷ್ಟವಿಲ್ಲ.
divide	ವಿಭಜಿಸು	ಕೇಕ್ ಅನ್ನು ತುಂಡುಗಳಾಗಿ ವಿಭಜಿಸಿ.
documentary	ದಾಖಲೆಚಿತ್ರ	ನಾವು ಅಂತರಿಕ್ಷದ ಬಗ್ಗೆ ದಾಖಲೆಚಿತ್ರ ನೋಡಿದೆವು.
donate	ದಾನಮಾಡು	ಬಹಳ ಜನರು ಹಳೆಯ ಬಟ್ಟೆಗಳನ್ನು ದಾನಮಾಡುತ್ತಾರೆ.
doubt	ಸಂಶಯ	ನನಗೆ ಅದರ ಬಗ್ಗೆ ಯಾವುದೇ ಸಂಶಯ ಇಲ್ಲ.
dressed	ಉಡುಪು ಧರಿಸಿದ	ಅವನು ಕಪ್ಪು ಉಡುಪು ಧರಿಸಿದ್ದನು.
drum	ಡೊಳ್ಳು	ಡೊಳ್ಳಿನ ಶಬ್ದ ಕೋಣೆಯಾಚೆ ಕೇಳಿಸಿತು.
drunk	ಮದ್ಯಪಾನ ಮಾಡಿದ	ಚಾಲಕ ಮದ್ಯಪಾನ ಮಾಡಿದ್ದನು.
due	ಗಡುವಿನ	ವರದಿ ನಾಳೆಗೆ ಗಡುವಿನಲ್ಲಿದೆ.
dust	ಧೂಳು	ಹಳೆಯ ಪುಸ್ತಕಗಳನ್ನು ಧೂಳು ಮುಚ್ಚಿತ್ತು.
duty	ಕರ್ತವ್ಯ	ಸಹಾಯಮಾಡುವುದು ನನ್ನ ಕರ್ತವ್ಯ.
earthquake	ಭೂಕಂಪ	ಭೂಕಂಪ ಸೇತುವೆಗೆ ಹಾನಿ ಮಾಡಿತು.
eastern	ಪೂರ್ವದ	ಪೂರ್ವದ ಕರಾವಳಿ ಗಾಳಿಯಾಗಿದೆ.
economic	ಆರ್ಥಿಕ	ದೇಶವು ಆರ್ಥಿಕ ಸಮಸ್ಯೆಗಳನ್ನು ಎದುರಿಸುತ್ತಿದೆ.
economy	ಆರ್ಥಿಕತೆ	ಈ ವರ್ಷ ಆರ್ಥಿಕತೆ ಬೆಳೆಯಿತು.
edge	ಅಂಚು	ಅಂಚಿನಿಂದ ದೂರ ನಿಲ್ಲಿ.
editor	ಸಂಪಾದಕ	ಸಂಪಾದಕ ಲೇಖನವನ್ನು ಪರಿಶೀಲಿಸಿದರು.
educate	ಶಿಕ್ಷಣ ನೀಡು	ಶಾಲೆಗಳು ಯುವಕರಿಗೆ ಶಿಕ್ಷಣ ನೀಡುತ್ತವೆ.
educated	ಶಿಕ್ಷಿತ	ಅವಳು ಬಹಳ ಶಿಕ್ಷಣ ಪಡೆದವಳು.
educational	ಶೈಕ್ಷಣಿಕ	ಆ ಆಟ ಶೈಕ್ಷಣಿಕವಾಗಿದೆ.
effective	ಪರಿಣಾಮಕಾರಿ	ಈ ಔಷಧ ಪರಿಣಾಮಕಾರಿಯಾಗಿದೆ.
effectively	ಪರಿಣಾಮಕಾರಿಯಾಗಿ	ಅವಳು ನಿಯಮವನ್ನು ಪರಿಣಾಮಕಾರಿಯಾಗಿ ವಿವರಿಸಿದಳು.
effort	ಪ್ರಯತ್ನ	ನಿಮ್ಮ ಪ್ರಯತ್ನ ಬದಲಾವಣೆ ತಂದಿತು.
election	ಚುನಾವಣೆ	ಚುನಾವಣೆಯ ಫಲಿತಾಂಶ ಹತ್ತಿರವಾಗಿತ್ತು.
element	ಅಂಶ	ನಂಬಿಕೆ ಒಂದು ಮುಖ್ಯ ಅಂಶ.
embarrassed	ಸಂಕೋಚಗೊಂಡ	ಬಿದ್ದ ನಂತರ ಅವನು ಸಂಕೋಚಗೊಂಡನು.
embarrassing	ಸಂಕೋಚಕರ	ಅದು ಸಂಕೋಚಕರ ತಪ್ಪಾಗಿತ್ತು.
emergency	ತುರ್ತುಸ್ಥಿತಿ	ತುರ್ತುಸ್ಥಿತಿಯಲ್ಲಿ ಈ ಸಂಖ್ಯೆಗೆ ಕರೆಮಾಡಿ.
emotion	ಭಾವನೆ	ಭಯ ಒಂದು ಬಲವಾದ ಭಾವನೆ.
employment	ಉದ್ಯೋಗ	ಈ ತಿಂಗಳು ಉದ್ಯೋಗ ಹೆಚ್ಚಾಯಿತು.
encourage	ಪ್ರೋತ್ಸಾಹಿಸು	ಶಿಕ್ಷಕರು ವಿದ್ಯಾರ್ಥಿಗಳನ್ನು ಓದಲು ಪ್ರೋತ್ಸಾಹಿಸುತ್ತಾರೆ.
enemy	ಶತ್ರು	ಎರಡು ದೇಶಗಳು ಶತ್ರುಗಳಾಗಿದ್ದವು.
engaged	ನಿಶ್ಚಿತಾರ್ಥವಾದ	ಅವರಿಗೆ ಕಳೆದ ವಸಂತದಲ್ಲಿ ನಿಶ್ಚಿತಾರ್ಥವಾಯಿತು.
engineering	ಅಭಿಯಾಂತ್ರಿಕೆ	ಅವಳು ವಿಶ್ವವಿದ್ಯಾಲಯದಲ್ಲಿ ಅಭಿಯಾಂತ್ರಿಕೆ ಓದುತ್ತಾಳೆ.
entertain	ಮನರಂಜಿಸು	ಗಾಯಕ ಅತಿಥಿಗಳನ್ನು ಮನರಂಜಿಸುವನು.
entertainment	ಮನರಂಜನೆ	ನಗರವು ಸಂಜೆ ಮನರಂಜನೆ ಒದಗಿಸುತ್ತದೆ.
entrance	ಪ್ರವೇಶದ್ವಾರ	ಪ್ರವೇಶದ್ವಾರದಲ್ಲಿ ನನ್ನನ್ನು ಭೇಟಿ ಮಾಡಿ.
entry	ಪ್ರವೇಶ	ಮಕ್ಕಳಿಗೆ ಪ್ರವೇಶ ಉಚಿತ.
environmental	ಪರಿಸರ ಸಂಬಂಧಿತ	ನಾವು ಪರಿಸರ ಸಂಬಂಧಿತ ಸಮಸ್ಯೆಗಳನ್ನು ಚರ್ಚಿಸಿದೆವು.
episode	ಕಂತು	ಅಂತಿಮ ಕಂತು ರೋಚಕವಾಗಿತ್ತು.
equal	ಸಮಾನ	ಅವರಿಗೆ ಸಮಾನ ವೇತನ ಸಿಗುತ್ತದೆ.
equally	ಸಮಾನವಾಗಿ	ಕೆಲಸವನ್ನು ಸಮಾನವಾಗಿ ಹಂಚಿಕೊಳ್ಳಲಾಗಿದೆ.
escape	ಪಾರಾಗು	ಬಂಧಿಗಳು ಪಾರಾಗಲು ಪ್ರಯತ್ನಿಸಿದರು.
essential	ಅಗತ್ಯ	ನೀರು ಜೀವನಕ್ಕೆ ಅಗತ್ಯ.
eventually	ಕೊನೆಗೆ	ಕೊನೆಗೆ ನಾವು ಹೋಟೆಲ್ ಕಂಡುಕೊಂಡೆವು.
examine	ಪರಿಶೀಲಿಸು	ವೈದ್ಯರು ನನ್ನ ಕೈ ಪರಿಶೀಲಿಸಿದರು.
exchange	ವಿನಿಮಯ	ನಾವು ಅಂಗಡಿಯಲ್ಲಿ ವಿನಿಮಯ ಮಾಡಿದೆವು.
excitement	ಉತ್ಸಾಹ	ಆಟ ಉತ್ಸಾಹದಿಂದ ತುಂಬಿತ್ತು.
exhibition	ಪ್ರದರ್ಶನ	ಕಲಾ ಪ್ರದರ್ಶನ ನಾಳೆ ಆರಂಭವಾಗುತ್ತದೆ.
expand	ವಿಸ್ತರಿಸು	ಕಂಪನಿ ವಿಸ್ತರಿಸಲು ಯೋಜಿಸುತ್ತಿದೆ.
expected	ನಿರೀಕ್ಷಿತ	ನಿರೀಕ್ಷಿತ ವೆಚ್ಚ ಹೆಚ್ಚು.
expedition	ಅಭಿಯಾನ	ಅಭಿಯಾನ ಮರುಭೂಮಿಯನ್ನು ದಾಟಿತು.
experienced	ಅನುಭವಿಯ	ಅವಳು ಅನುಭವಿಯ ನರ್ಸ್.
explode	ಸ್ಫೋಟಿಸು	ಬಾಟಲಿ ಬಿಸಿಯಲ್ಲಿ ಸ್ಫೋಟಿಸಬಹುದು.
explore	ಅನ್ವೇಷಿಸು	ನಾವು ಹಳೆಯ ಪಟ್ಟಣವನ್ನು ಅನ್ವೇಷಿಸಿದೆವು.
explosion	ಸ್ಫೋಟ	ಸ್ಫೋಟ ಹಲವಾರು ಕಿಟಕಿಗಳನ್ನು ಒಡೆದಿತು.
export	ರಫ್ತು	ಕಾಫಿ ಒಂದು ಪ್ರಮುಖ ರಫ್ತು.
fairly	ಸಾಕಷ್ಟು	ಪರೀಕ್ಷೆ ಸಾಕಷ್ಟು ಸುಲಭವಾಗಿತ್ತು.
familiar	ಪರಿಚಿತ	ಅವಳ ಮುಖ ಪರಿಚಿತವಾಗಿ ಕಂಡಿತು.
fancy	ಇಷ್ಟಪಡು	ನಿಮಗೆ ಕಾಫಿ ಇಷ್ಟವೇ.
fascinating	ಆಕರ್ಷಕ	ಕಥೆ ಆಕರ್ಷಕವಾಗಿತ್ತು.
fashionable	ಫ್ಯಾಷನ್‌ಯುಕ್ತ	ಆ ಬೂಟುಗಳು ಫ್ಯಾಷನ್‌ಯುಕ್ತವಾಗಿವೆ.
fasten	ಕಟ್ಟಿ ಬಿಗಿಸು	ನಿಮ್ಮ ಸೀಟ್ ಬೆಲ್ಟ್ ಕಟ್ಟಿ ಬಿಗಿಸಿ.
favour	ಉಪಕಾರ	ನೀವು ನನಗೆ ಒಂದು ಉಪಕಾರ ಮಾಡಬಹುದೇ.
fence	ಬೆಲಿ	ಬೆಲಿ ತೋಟವನ್ನು ಸುತ್ತುವರಿದಿದೆ.
fighting	ಹೋರಾಟ	ಬೆಳಗಾಗುವಾಗ ಹೋರಾಟ ನಿಂತಿತು.
file	ಫೈಲ್	ಮುಚ್ಚುವ ಮೊದಲು ಫೈಲ್ ಉಳಿಸಿ.
financial	ಹಣಕಾಸಿನ	ಅವಳಿಗೆ ಹಣಕಾಸಿನ ಸಲಹೆ ಬೇಕು.
fitness	ದೈಹಿಕ ಸಾಮರ್ಥ್ಯ	ಓಡುವುದು ನಿಮ್ಮ ದೈಹಿಕ ಸಾಮರ್ಥ್ಯವನ್ನು ಸುಧಾರಿಸುತ್ತದೆ.
fixed	ನಿಗದಿತ	ಬೆಲೆ ನಿಗದಿತವಾಗಿದೆ.
flag	ಧ್ವಜ	ಧ್ವಜ ಶಾಲೆಯ ಮೇಲೆ ಹಾರಿತು.
flood	ಪ್ರವಾಹ	ಪ್ರವಾಹ ಅನೇಕ ಮನೆಗಳಿಗೆ ಹಾನಿ ಮಾಡಿತು.
flour	ಹಿಟ್ಟು	ಬಟ್ಟಲಿಗೆ ಹಿಟ್ಟು ಸೇರಿಸಿ.
flow	ಹರಿವು	ನದಿ ಪಟ್ಟಣದ ಮೂಲಕ ಹರಿಯುತ್ತದೆ.
fold	ಮಡಚು	ಕಾಗದವನ್ನು ಅರ್ಧಕ್ಕೆ ಮಡಚಿ.
folk	ಜನಪದ	ಜನಪದ ಸಂಗೀತ ಸಭಾಂಗಣವನ್ನು ತುಂಬಿತು.
force	ಬಲ	ಗಾಳಿಗೆ ದೊಡ್ಡ ಬಲ ಇತ್ತು.
forever	ಎಂದೆಂದಿಗೂ	ನಾನು ಇದನ್ನು ಎಂದೆಂದಿಗೂ ನೆನಪಿಡುತ್ತೇನೆ.
frame	ಚೌಕಟ್ಟು	ಫೋಟೋಗೆ ಚೌಕಟ್ಟು ಬೇಕು.
freeze	ಹಿಮವಾಗು	ನೀರು ರಾತ್ರಿ ಹಿಮವಾಗುತ್ತದೆ.
frequently	ಆಗಾಗ್ಗೆ	ಅವನು ತನ್ನ ಪೋಷಕರನ್ನು ಆಗಾಗ್ಗೆ ಭೇಟಿ ಮಾಡುತ್ತಾನೆ.
friendship	ಸ್ನೇಹ	ಅವರ ಸ್ನೇಹ ವರ್ಷಗಳವರೆಗೆ ಉಳಿಯಿತು.
frighten	ಭಯಪಡಿಸು	ಜೋರಾದ ಶಬ್ದಗಳು ಮಗುವನ್ನು ಭಯಪಡಿಸುತ್ತವೆ.
frightened	ಭಯಗೊಂಡ	ಮಗು ಭಯಗೊಂಡಂತೆ ಕಂಡಿತು.
frightening	ಭಯಾನಕ	ಬಿರುಗಾಳಿ ಭಯಾನಕವಾಗಿತ್ತು.
frozen	ಹಿಮಗೊಂಡ	ಸರೋವರ ಹಿಮಗೊಂಡಿತ್ತು.
fry	ಹುರಿ	ಈರುಳ್ಳಿಯನ್ನು ಐದು ನಿಮಿಷ ಹುರಿಯಿರಿ.
fuel	ಇಂಧನ	ಕಾರಿಗೆ ಇನ್ನಷ್ಟು ಇಂಧನ ಬೇಕು.
function	ಕಾರ್ಯ	ಈ ಬಟನ್‌ಗೆ ಒಂದು ಕಾರ್ಯ ಇದೆ.
fur	ತುಪ್ಪಳು	ಬೆಕ್ಕಿಗೆ ಮೃದುವಾದ ತುಪ್ಪಳು ಇದೆ.
garage	ಗ್ಯಾರೇಜ್	ಕಾರು ಗ್ಯಾರೇಜ್‌ನಲ್ಲಿದೆ.
gather	ಸೇರು	ನಾವು ಮೇಜಿನ ಸುತ್ತ ಸೇರಿದೆವು.
generally	ಸಾಮಾನ್ಯವಾಗಿ	ಅವಳು ಸಾಮಾನ್ಯವಾಗಿ ಬೇಗ ಬರುತ್ತಾಳೆ.
generation	ಪೀಳಿಗೆ	ಪ್ರತಿ ಪೀಳಿಗೆ ಹೊಸ ಸಮಸ್ಯೆಗಳನ್ನು ಎದುರಿಸುತ್ತದೆ.
generous	ಉದಾರ	ಅವನು ತನ್ನ ಸಮಯದಲ್ಲಿ ಉದಾರನಾಗಿದ್ದಾನೆ.
gentle	ಮೃದು	ಮೃದು ಧ್ವನಿಯನ್ನು ಬಳಸಿ.
gentleman	ಸಜ್ಜನ	ಸಜ್ಜನನು ಬಾಗಿಲು ತೆರೆದನು.
ghost	ಭೂತ	ಕಥೆಯಲ್ಲಿ ಭೂತದ ಉಲ್ಲೇಖ ಇದೆ.
giant	ದೈತ್ಯ	ದೈತ್ಯ ಪರದೆ ವೇದಿಕೆಯನ್ನು ತುಂಬಿತು.
glad	ಸಂತೋಷವಾದ	ನೀವು ಬಂದಿದ್ದಕ್ಕೆ ನನಗೆ ಸಂತೋಷವಾಗಿದೆ.
global	ಜಾಗತಿಕ	ಹವಾಮಾನ ಬದಲಾವಣೆ ಜಾಗತಿಕ ಸಮಸ್ಯೆ.
glove	ಕೈಗವಸು	ನಾನು ಒಂದು ಕೈಗವಸು ಕಳೆದುಕೊಂಡೆ.
goods	ಸರಕುಗಳು	ಸರಕುಗಳು ತಡವಾಗಿ ಬಂದವು.
grade	ಶ್ರೇಣಿ	ಅವಳಿಗೆ ಉನ್ನತ ಶ್ರೇಣಿ ಸಿಕ್ಕಿತು.
graduate	ಪದವೀಧರ	ಅವನು ಇತ್ತೀಚಿನ ಪದವೀಧರ.
grain	ಧಾನ್ಯಕಣ	ಒಂದು ಅಕ್ಕಿಯ ಧಾನ್ಯಕಣ ಬಿತ್ತು.
grateful	ಕೃತಜ್ಞ	ನಿಮ್ಮ ಬೆಂಬಲಕ್ಕೆ ನಾನು ಕೃತಜ್ಞನಾಗಿದ್ದೇನೆ.
growth	ಬೆಳವಣಿಗೆ	ಸಸ್ಯವು ಸ್ಥಿರ ಬೆಳವಣಿಗೆ ತೋರಿಸಿತು.
guard	ಕಾವಲುಗಾರ	ಕಾವಲುಗಾರ ನಮ್ಮ ಟಿಕೆಟ್‌ಗಳನ್ನು ಪರಿಶೀಲಿಸಿದನು.
guilty	ದೋಷಿ	ಸುಳ್ಳು ಹೇಳಿದ್ದಕ್ಕಾಗಿ ಅವನು ದೋಷಿಯಂತೆ ಭಾಸಪಟ್ಟನು.
hang	ತೂಗುಹಾಕು	ನಿಮ್ಮ ಕೋಟನ್ನು ಇಲ್ಲಿ ತೂಗುಹಾಕಿ.
happiness	ಸಂತೋಷ	ಹಣ ಸಂತೋಷವನ್ನು ಖರೀದಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ.
hardly	ಕಷ್ಟಪಟ್ಟು	ನಾನು ನಿಮಗೆ ಕಷ್ಟಪಟ್ಟು ಕೇಳಿದೆ.
headline	ಶೀರ್ಷಿಕೆ	ಶೀರ್ಷಿಕೆ ನನ್ನ ಗಮನ ಸೆಳೆಯಿತು.
heating	ತಾಪನ	ತಾಪನ ಕೆಲಸ ನಿಲ್ಲಿಸಿತು.
heavily	ಭಾರಿಯಾಗಿ	ರಾತ್ರಿ ಪೂರಾ ಭಾರಿಯಾಗಿ ಮಳೆ ಬಂತು.
helicopter	ಹೆಲಿಕಾಪ್ಟರ್	ಹತ್ತಿರದಲ್ಲಿ ಹೆಲಿಕಾಪ್ಟರ್ ಇಳಿಯಿತು.
highlight	ಹೈಲೈಟ್ ಮಾಡು	ದಯವಿಟ್ಟು ಮುಖ್ಯ ಆಲೋಚನೆಯನ್ನು ಹೈಲೈಟ್ ಮಾಡಿ.
highly	ಬಹಳವಾಗಿ	ಅವಳನ್ನು ಬಹಳವಾಗಿ ಗೌರವಿಸಲಾಗುತ್ತದೆ.
hire	ಬಾಡಿಗೆಗೆ ತೆಗೆದುಕೊಳ್ಳು	ನಾವು ಕಾರನ್ನು ಬಾಡಿಗೆಗೆ ತೆಗೆದುಕೊಳ್ಳಬೇಕು.
historic	ಐತಿಹಾಸಿಕ ಮಹತ್ವದ	ನಾವು ಐತಿಹಾಸಿಕ ಮಹತ್ವದ ಕಟ್ಟಡಕ್ಕೆ ಭೇಟಿ ನೀಡಿದೆವು.
historical	ಇತಿಹಾಸ ಸಂಬಂಧಿತ	ಅವಳು ಇತಿಹಾಸ ಸಂಬಂಧಿತ ಕಾದಂಬರಿಗಳನ್ನು ಪ್ರೀತಿಸುತ್ತಾಳೆ.
honest	ಪ್ರಾಮಾಣಿಕ	ದಯವಿಟ್ಟು ಪ್ರಾಮಾಣಿಕ ಉತ್ತರ ನೀಡಿ.
horrible	ಭಯಂಕರ	ವಾಸನೆ ಭಯಂಕರವಾಗಿತ್ತು.
horror	ಭಯಾನಕತೆ	ಅವನು ಭಯಾನಕ ಚಿತ್ರಗಳನ್ನು ಆನಂದಿಸುತ್ತಾನೆ.
host	ಆತಿಥೇಯ	ಆತಿಥೇಯನು ಪ್ರತಿಯೊಬ್ಬ ಅತಿಥಿಯನ್ನು ಸ್ವಾಗತಿಸಿದನು.
