hsk_key	source_word	simplified	gloss	example_zh	example_pinyin	example_en
1530:内心	内心	内心	inner heart; feelings	他内心其实很紧张。	Tā nèi xīn qí shí hěn jǐn zhāng.	Inside, he is actually very nervous.
1531:能否	能否	能否	whether one can	请问能否提前报名？	Qǐng wèn néng fǒu tí qián bào míng?	May I ask whether I can register in advance?
1532:能够	能够	能够	to be able to	他能够独立完成工作。	Tā néng gòu dú lì wán chéng gōng zuò.	He is able to complete the work independently.
1535:年底	年底	年底	end of the year	公司年底会举行聚餐。	Gōng sī nián dǐ huì jǔ xíng jù cān.	The company will hold a group meal at the end of the year.
1539:女性	女性	女性	female; woman	这家店有很多女性顾客。	Zhè jiā diàn yǒu hěn duō nǚ xìng gù kè.	This shop has many female customers.
1543:排	排	排	to line up; row	大家在门口排队。	Dà jiā zài mén kǒu pái duì.	Everyone is lining up at the door.
1544:牌	牌	牌	sign; card; brand	门口的牌写着营业时间。	Mén kǒu de pái xiě zhe yíng yè shí jiān.	The sign at the door shows the business hours.
1546:排球	排球	排球	volleyball	我们下午打排球。	Wǒ men xià wǔ dǎ pái qiú.	We are playing volleyball this afternoon.
1547:牌子	牌子	牌子	brand; sign	这个牌子的包很受欢迎。	Zhè ge pái zi de bāo hěn shòu huān yíng.	Bags from this brand are very popular.
1560:葡萄酒	葡萄酒	葡萄酒	wine	晚饭时他们喝了一点葡萄酒。	Wǎn fàn shí tā men hē le yì diǎn pú tao jiǔ.	They drank a little wine at dinner.
1562:普通	普通	普通	ordinary; common	这是一家普通饭馆。	Zhè shì yì jiā pǔ tōng fàn guǎn.	This is an ordinary restaurant.
1564:期	期	期	period; issue; phase	这个课程分为三期。	Zhè ge kè chéng fēn wéi sān qī.	This course is divided into three phases.
1565:期末	期末	期末	end of term	期末考试快到了。	Qī mò kǎo shì kuài dào le.	The end-of-term exam is coming soon.
1566:期中	期中	期中	midterm	期中考试在下周。	Qī zhōng kǎo shì zài xià zhōu.	The midterm exam is next week.
1569:起到	起到	起到	to play a role; to have an effect	这个活动起到了很好的作用。	Zhè ge huó dòng qǐ dào le hěn hǎo de zuò yòng.	This activity had a very good effect.
1570:气	气	气	air; gas	自行车轮胎没气了。	Zì xíng chē lún tāi méi qì le.	The bicycle tire has no air.
1572:汽水	汽水	汽水	soda	孩子们喜欢喝汽水。	Hái zi men xǐ huān hē qì shuǐ.	Children like drinking soda.
1573:气温	气温	气温	air temperature	今天气温高于昨天。	Jīn tiān qì wēn gāo yú zuó tiān.	Today's temperature is higher than yesterday's.
1574:千克	千克	千克	kilogram	这袋米重五千克。	Zhè dài mǐ zhòng wǔ qiān kè.	This bag of rice weighs five kilograms.
1577:前方	前方	前方	ahead; front	前方有一个路口。	Qián fāng yǒu yí ge lù kǒu.	There is an intersection ahead.
1578:前后	前后	前后	around; before and after	会议前后共用了两个小时。	Huì yì qián hòu gòng yòng le liǎng ge xiǎo shí.	The meeting took about two hours in total.
1579:强	强	强	strong	这支球队很强。	Zhè zhī qiú duì hěn qiáng.	This team is very strong.
1582:巧	巧	巧	coincidental; skillful	真巧，我们又见面了。	Zhēn qiǎo, wǒ men yòu jiàn miàn le.	What a coincidence; we meet again.
1585:琴	琴	琴	musical instrument	她从小学习弹琴。	Tā cóng xiǎo xué xí tán qín.	She has studied playing an instrument since childhood.
1587:青年	青年	青年	young person; youth	很多青年喜欢这项运动。	Hěn duō qīng nián xǐ huān zhè xiàng yùn dòng.	Many young people like this sport.
1591:球队	球队	球队	sports team	这支球队有很多新队员。	Zhè zhī qiú duì yǒu hěn duō xīn duì yuán.	This team has many new members.
1593:区	区	区	district; area	这个区有很多学校。	Zhè ge qū yǒu hěn duō xué xiào.	This district has many schools.
1596:取得	取得	取得	to obtain; to achieve	他取得了好成绩。	Tā qǔ dé le hǎo chéng jì.	He achieved good results.
1598:全	全	全	whole; all	全班都参加了比赛。	Quán bān dōu cān jiā le bǐ sài.	The whole class took part in the competition.
1600:全都	全都	全都	all; entirely	这些问题全都解决了。	Zhè xiē wèn tí quán dōu jiě jué le.	All these problems have been solved.
1601:全球	全球	全球	global; the whole world	全球游客都喜欢这个景点。	Quán qiú yóu kè dōu xǐ huān zhè ge jǐng diǎn.	Tourists from around the world like this scenic spot.
1602:全身	全身	全身	whole body	跑完步后他全身都是汗。	Pǎo wán bù hòu tā quán shēn dōu shì hàn.	After running, his whole body was covered in sweat.
1603:缺	缺	缺	to lack; to be short of	我们还缺一把椅子。	Wǒ men hái quē yì bǎ yǐ zi.	We are still short one chair.
1611:人数	人数	人数	number of people	这次活动人数不多。	Zhè cì huó dòng rén shù bù duō.	There are not many people at this activity.
1616:仍	仍	仍	still	他仍在学习中文。	Tā réng zài xué xí zhōng wén.	He is still studying Chinese.
1622:入	入	入	to enter	请从南门入场。	Qǐng cóng nán mén rù chǎng.	Please enter through the south gate.
1624:入学	入学	入学	to enter school	孩子今年九月入学。	Hái zi jīn nián jiǔ yuè rù xué.	The child will enter school this September.
1625:入住	入住	入住	to check in; to move in	我们下午两点可以入住。	Wǒ men xià wǔ liǎng diǎn kě yǐ rù zhù.	We can check in at two in the afternoon.
1627:扫码	扫码	扫码	to scan a code	买票前需要扫码。	Mǎi piào qián xū yào sǎo mǎ.	You need to scan a code before buying a ticket.
1632:上门	上门	上门	to visit at home; door-to-door	医生可以上门服务。	Yī shēng kě yǐ shàng mén fú wù.	The doctor can provide service at home.
1633:稍	稍	稍	slightly; a little	请稍等一下。	Qǐng shāo děng yí xià.	Please wait a moment.
1635:少见	少见	少见	rare; seldom seen	这种情况比较少见。	Zhè zhǒng qíng kuàng bǐ jiào shǎo jiàn.	This kind of situation is relatively rare.
1636:少量	少量	少量	small amount	请加入少量盐。	Qǐng jiā rù shǎo liàng yán.	Please add a small amount of salt.
1637:少数	少数	少数	small number; minority	少数学生选择走路上学。	Shǎo shù xué shēng xuǎn zé zǒu lù shàng xué.	A small number of students choose to walk to school.
1638:少年	少年	少年	teenager; youth	这个少年喜欢打篮球。	Zhè ge shào nián xǐ huan dǎ lán qiú.	This teenager likes playing basketball.
1641:身	身	身	body; measure word for a suit of clothes	他穿了一身黑衣服。	Tā chuān le yì shēn hēi yī fu.	He wore a full set of black clothes.
1643:身份证	身份证	身份证	identity card	办卡时需要身份证。	Bàn kǎ shí xū yào shēn fèn zhèng.	An identity card is needed when applying for the card.
1646:生1	生1	生	give birth; grow	她昨天生了一个女儿。	Tā zuó tiān shēng le yí ge nǚ ér.	She gave birth to a daughter yesterday.
1647:生2	生2	生	raw; uncooked	这块肉还是生的。	Zhè kuài ròu hái shì shēng de.	This piece of meat is still raw.
1655:师生	师生	师生	teachers and students	全校师生参加了活动。	Quán xiào shī shēng cān jiā le huó dòng.	All teachers and students at the school joined the activity.
1659:时间表	时间表	时间表	timetable; schedule	请把时间表发给我。	Qǐng bǎ shí jiān biǎo fā gěi wǒ.	Please send me the timetable.
1660:实际上	实际上	实际上	actually; in fact	实际上，他早就知道答案。	Shí jì shàng, tā zǎo jiù zhī dào dá àn.	Actually, he knew the answer long ago.
1661:食品	食品	食品	food product	这家店卖进口食品。	Zhè jiā diàn mài jìn kǒu shí pǐn.	This shop sells imported food products.
1662:食堂	食堂	食堂	cafeteria; dining hall	我们中午在食堂吃饭。	Wǒ men zhōng wǔ zài shí táng chī fàn.	We eat lunch in the cafeteria at noon.
1665:十字路口	十字路口	十字路口	intersection; crossroads	在十字路口向左走。	Zài shí zì lù kǒu xiàng zuǒ zǒu.	Turn left at the intersection.
1667:使馆	使馆	使馆	embassy	他去使馆办理签证。	Tā qù shǐ guǎn bàn lǐ qiān zhèng.	He went to the embassy to handle his visa.
1674:市区	市区	市区	urban area; downtown	市区的交通很方便。	Shì qū de jiāo tōng hěn fāng biàn.	Transportation in the urban area is very convenient.
1675:试题	试题	试题	exam question	这道试题有点难。	Zhè dào shì tí yǒu diǎn nán.	This exam question is a little difficult.
1677:收费	收费	收费	charge a fee	这个停车场按小时收费。	Zhè ge tíng chē chǎng àn xiǎo shí shōu fèi.	This parking lot charges by the hour.
1680:收听	收听	收听	listen to a broadcast	欢迎收听今天的节目。	Huān yíng shōu tīng jīn tiān de jié mù.	Welcome to today's program.
1685:售票员	售票员	售票员	ticket seller; ticket clerk	售票员告诉我们末班车时间。	Shòu piào yuán gào sù wǒ men mò bān chē shí jiān.	The ticket clerk told us the time of the last bus.
1688:熟	熟	熟	familiar; cooked	这条路我很熟。	Zhè tiáo lù wǒ hěn shú.	I know this road very well.
1690:暑假	暑假	暑假	summer vacation	暑假我想去海边。	Shǔ jià wǒ xiǎng qù hǎi biān.	I want to go to the seaside during summer vacation.
1693:树林	树林	树林	woods; grove	孩子们在树林边玩。	Hái zi men zài shù lín biān wán.	The children are playing by the woods.
1699:说法	说法	说法	way of saying; explanation	这种说法不太准确。	Zhè zhǒng shuō fǎ bú tài zhǔn què.	This way of saying it is not very accurate.
1701:说明书	说明书	说明书	instruction manual	请先看说明书再使用。	Qǐng xiān kàn shuō míng shū zài shǐ yòng.	Please read the instruction manual before using it.
1705:塑料	塑料	塑料	plastic	这个盒子是塑料做的。	Zhè ge hé zi shì sù liào zuò de.	This box is made of plastic.
1707:酸奶	酸奶	酸奶	yogurt	我早餐喝了一杯酸奶。	Wǒ zǎo cān hē le yì bēi suān nǎi.	I had a cup of yogurt for breakfast.
1708:算	算	算	calculate; count as	这道题我算错了。	Zhè dào tí wǒ suàn cuò le.	I calculated this problem incorrectly.
1711:孙女	孙女	孙女	granddaughter	奶奶常给孙女讲故事。	Nǎi nai cháng gěi sūn nǚ jiǎng gù shi.	Grandma often tells stories to her granddaughter.
1716:抬头	抬头	抬头	raise one's head; look up	请抬头看黑板。	Qǐng tái tóu kàn hēi bǎn.	Please look up at the blackboard.
1718:弹	弹	弹	play a stringed or keyboard instrument	她会弹钢琴。	Tā huì tán gāng qín.	She can play the piano.
1727:提出	提出	提出	put forward; raise	他提出了一个新问题。	Tā tí chū le yí ge xīn wèn tí.	He raised a new question.
1728:提到	提到	提到	mention	老师在课上提到这本书。	Lǎo shī zài kè shàng tí dào zhè běn shū.	The teacher mentioned this book in class.
1732:体检	体检	体检	physical examination	公司每年安排一次体检。	Gōng sī měi nián ān pái yí cì tǐ jiǎn.	The company arranges a physical examination every year.
1733:体温	体温	体温	body temperature	护士正在量体温。	Hù shi zhèng zài liáng tǐ wēn.	The nurse is taking a body temperature.
1734:体重	体重	体重	body weight	他的体重增加了两公斤。	Tā de tǐ zhòng zēng jiā le liǎng gōng jīn.	His body weight increased by two kilograms.
1735:填写	填写	填写	fill in; complete	请填写这张报名表。	Qǐng tián xiě zhè zhāng bào míng biǎo.	Please fill in this registration form.
1737:听力	听力	听力	listening ability	他的汉语听力进步很快。	Tā de Hàn yǔ tīng lì jìn bù hěn kuài.	His Chinese listening ability is improving quickly.
1738:听众	听众	听众	audience; listeners	今天的听众特别多。	Jīn tiān de tīng zhòng tè bié duō.	There are especially many listeners today.
1740:停车	停车	停车	park a vehicle; stop	这里不允许停车。	Zhè lǐ bù yǔn xǔ tíng chē.	Parking is not allowed here.
1741:停车场	停车场	停车场	parking lot	商场后面有停车场。	Shāng chǎng hòu mian yǒu tíng chē chǎng.	There is a parking lot behind the shopping mall.
1742:停止	停止	停止	stop; cease	雨停止后，我们出发。	Yǔ tíng zhǐ hòu, wǒ men chū fā.	After the rain stops, we will set out.
1743:通	通	通	pass through; be open	这条路已经通了。	Zhè tiáo lù yǐ jīng tōng le.	This road is already open.
1746:童年	童年	童年	childhood	我的童年在乡下度过。	Wǒ de tóng nián zài xiāng xià dù guò.	I spent my childhood in the countryside.
1748:同样	同样	同样	same; alike	他也犯了同样的错误。	Tā yě fàn le tóng yàng de cuò wù.	He also made the same mistake.
1749:桶	桶	桶	bucket; barrel	门口放着一个水桶。	Mén kǒu fàng zhe yí ge shuǐ tǒng.	There is a water bucket by the door.
1750:痛	痛	痛	painful; ache	我的手有点痛。	Wǒ de shǒu yǒu diǎn tòng.	My hand hurts a little.
1751:头痛	头痛	头痛	headache	他昨晚睡得少，今天头痛。	Tā zuó wǎn shuì de shǎo, jīn tiān tóu tòng.	He slept little last night and has a headache today.
1752:图	图	图	picture; chart; map	请看书上的图。	Qǐng kàn shū shàng de tú.	Please look at the picture in the book.
1753:图片	图片	图片	image; picture	这张图片很清楚。	Zhè zhāng tú piàn hěn qīng chu.	This image is very clear.
1754:土	土	土	soil; earth	花盆里的土太干了。	Huā pén lǐ de tǔ tài gān le.	The soil in the flowerpot is too dry.
1757:推出	推出	推出	launch; introduce	公司推出了新产品。	Gōng sī tuī chū le xīn chǎn pǐn.	The company launched a new product.
1760:外出	外出	外出	go out	周末外出前请关好门窗。	Zhōu mò wài chū qián qǐng guān hǎo mén chuāng.	Before going out on the weekend, please close the doors and windows.
1761:外套	外套	外套	coat; jacket	天气冷，记得穿外套。	Tiān qì lěng, jì de chuān wài tào.	It is cold, so remember to wear a coat.
1763:晚安	晚安	晚安	good night	睡觉前，妈妈对孩子说晚安。	Shuì jiào qián, mā ma duì hái zi shuō wǎn ān.	Before bedtime, the mother says good night to the child.
1764:晚餐	晚餐	晚餐	dinner	今晚的晚餐很简单。	Jīn wǎn de wǎn cān hěn jiǎn dān.	Tonight's dinner is very simple.
1765:网购	网购	网购	shop online	她喜欢网购衣服。	Tā xǐ huan wǎng gòu yī fu.	She likes shopping online for clothes.
1767:网页	网页	网页	webpage	这个网页打开得很慢。	Zhè ge wǎng yè dǎ kāi de hěn màn.	This webpage opens very slowly.
1768:网友	网友	网友	online friend; netizen	他和网友讨论学习方法。	Tā hé wǎng yǒu tǎo lùn xué xí fāng fǎ.	He discusses study methods with online friends.
1769:网址	网址	网址	website address; URL	请把网址发给我。	Qǐng bǎ wǎng zhǐ fā gěi wǒ.	Please send me the website address.
1772:味	味	味	taste; flavor	这道菜有点辣味。	Zhè dào cài yǒu diǎn là wèi.	This dish has a bit of a spicy flavor.
1774:卫生	卫生	卫生	hygiene; sanitary	餐厅的卫生很重要。	Cān tīng de wèi shēng hěn zhòng yào.	Hygiene in a restaurant is very important.
1782:无法	无法	无法	unable to; have no way to	雨太大，我们无法出门。	Yǔ tài dà, wǒ men wú fǎ chū mén.	The rain is too heavy, so we are unable to go out.
1785:午餐	午餐	午餐	lunch	我们十二点吃午餐。	Wǒ men shí èr diǎn chī wǔ cān.	We eat lunch at twelve o'clock.
1787:吸	吸	吸	inhale; suck	请不要在这里吸烟。	Qǐng bú yào zài zhè lǐ xī yān.	Please do not smoke here.
1788:西部	西部	西部	western part	中国西部有很多高山。	Zhōng guó xī bù yǒu hěn duō gāo shān.	Western China has many high mountains.
1791:细	细	细	thin; fine	这支笔写出的线很细。	Zhè zhī bǐ xiě chū de xiàn hěn xì.	The line written by this pen is very fine.
1792:细心	细心	细心	careful; attentive	她做事很细心。	Tā zuò shì hěn xì xīn.	She is very careful in her work.
1793:下降	下降	下降	decrease; drop	气温明天会下降。	Qì wēn míng tiān huì xià jiàng.	The temperature will drop tomorrow.
1794:鲜	鲜	鲜	fresh	这条鱼很鲜。	Zhè tiáo yú hěn xiān.	This fish is very fresh.
1795:鲜花	鲜花	鲜花	fresh flowers	桌上放着一束鲜花。	Zhuō shàng fàng zhe yí shù xiān huā.	There is a bouquet of fresh flowers on the table.
1799:线上	线上	线上	online	这个课程可以线上学习。	Zhè ge kè chéng kě yǐ xiàn shàng xué xí.	This course can be studied online.
1800:线下	线下	线下	offline; in person	线下活动下周开始。	Xiàn xià huó dòng xià zhōu kāi shǐ.	The in-person activity starts next week.
1801:现有	现有	现有	currently existing	我们会先使用现有设备。	Wǒ men huì xiān shǐ yòng xiàn yǒu shè bèi.	We will use the existing equipment first.
1803:相比	相比	相比	compare with	和去年相比，今年更忙。	Hé qù nián xiāng bǐ, jīn nián gèng máng.	Compared with last year, this year is busier.
1805:相互	相互	相互	mutually; each other	同学之间应该相互帮助。	Tóng xué zhī jiān yīng gāi xiāng hù bāng zhù.	Classmates should help each other.
1809:想法	想法	想法	idea; opinion	我想听听你的想法。	Wǒ xiǎng tīng ting nǐ de xiǎng fǎ.	I want to hear your ideas.
1815:小组	小组	小组	small group	我们小组有四个人。	Wǒ men xiǎo zǔ yǒu sì ge rén.	There are four people in our group.
1818:血	血	血	blood	纸上有一点血。	Zhǐ shàng yǒu yì diǎn xiě.	There is a little blood on the paper.
1819:心	心	心	heart; mind	她的心跳得很快。	Tā de xīn tiào de hěn kuài.	Her heart is beating very fast.
1826:星星	星星	星星	stars	今晚的星星很亮。	Jīn wǎn de xīng xing hěn liàng.	The stars are bright tonight.
1828:性	性	性	suffix for nature or quality	学习需要主动性。	Xué xí xū yào zhǔ dòng xìng.	Learning requires initiative.
1833:熊	熊	熊	bear	动物园里有一只熊。	Dòng wù yuán lǐ yǒu yì zhī xióng.	There is a bear in the zoo.
1834:修	修	修	repair; fix	师傅正在修空调。	Shī fu zhèng zài xiū kōng tiáo.	The technician is repairing the air conditioner.
1837:学费	学费	学费	tuition	这个学期的学费已经交了。	Zhè ge xué qī de xué fèi yǐ jīng jiāo le.	The tuition for this semester has already been paid.
1838:学院	学院	学院	college; institute	她在外语学院学习。	Tā zài wài yǔ xué yuàn xué xí.	She studies at the foreign languages college.
1839:压	压	压	press; hold down	请用手压住这张纸。	Qǐng yòng shǒu yā zhù zhè zhāng zhǐ.	Please hold down this sheet of paper with your hand.
1843:烟	烟	烟	smoke; cigarette	房间里有烟味。	Fáng jiān lǐ yǒu yān wèi.	There is a smell of smoke in the room.
1847:研究生	研究生	研究生	graduate student	他是一名研究生。	Tā shì yì míng yán jiū shēng.	He is a graduate student.
1849:演	演	演	act; perform	他在电影里演医生。	Tā zài diàn yǐng lǐ yǎn yī shēng.	He plays a doctor in the movie.
1850:演唱	演唱	演唱	sing; perform a song	歌手今晚演唱新歌。	Gē shǒu jīn wǎn yǎn chàng xīn gē.	The singer will perform a new song tonight.
1853:眼前	眼前	眼前	before one's eyes; at present	机会就在眼前。	Jī huì jiù zài yǎn qián.	The opportunity is right before our eyes.
1863:夜晚	夜晚	夜晚	night; evening	夏天的夜晚很安静。	Xià tiān de yè wǎn hěn ān jìng.	Summer nights are very quiet.
1866:已	已	已	already	报名人数已满。	Bào míng rén shù yǐ mǎn.	The number of registrations is already full.
1867:以内	以内	以内	within	请在三天以内回复。	Qǐng zài sān tiān yǐ nèi huí fù.	Please reply within three days.
1869:一生	一生	一生	lifetime	他一生都热爱音乐。	Tā yì shēng dōu rè ài yīn yuè.	He loved music throughout his life.
1875:赢得	赢得	赢得	win; gain	球队赢得了比赛。	Qiú duì yíng dé le bǐ sài.	The team won the game.
1879:用来	用来	用来	used to; used for	这把刀用来切水果。	Zhè bǎ dāo yòng lái qiē shuǐ guǒ.	This knife is used to cut fruit.
1880:用于	用于	用于	used for	这笔钱用于买书。	Zhè bǐ qián yòng yú mǎi shū.	This money is used for buying books.
1885:油	油	油	oil	锅里放一点油。	Guō lǐ fàng yì diǎn yóu.	Put a little oil in the pan.
1887:游玩	游玩	游玩	go sightseeing; have fun	周末我们去公园游玩。	Zhōu mò wǒ men qù gōng yuán yóu wán.	On the weekend, we will go to the park for fun.
1890:友情	友情	友情	friendship	他们的友情很深。	Tā men de yǒu qíng hěn shēn.	Their friendship is very deep.
1892:有效	有效	有效	effective; valid	这张票今天仍然有效。	Zhè zhāng piào jīn tiān réng rán yǒu xiào.	This ticket is still valid today.
1894:有着	有着	有着	have; possess	这座城市有着悠久的历史。	Zhè zuò chéng shì yǒu zhe yōu jiǔ de lì shǐ.	This city has a long history.
1903:远离	远离	远离	stay away from	请远离危险区域。	Qǐng yuǎn lí wēi xiǎn qū yù.	Please stay away from the dangerous area.
1904:院长	院长	院长	dean; director	院长今天参加会议。	Yuàn zhǎng jīn tiān cān jiā huì yì.	The dean is attending a meeting today.
1905:院子	院子	院子	courtyard; yard	院子里种了很多花。	Yuàn zi lǐ zhòng le hěn duō huā.	Many flowers are planted in the yard.
1906:约	约	约	make an appointment; arrange	我约了朋友一起吃晚饭。	Wǒ yuē le péng yǒu yì qǐ chī wǎn fàn.	I arranged to have dinner with a friend.
1908:月饼	月饼	月饼	mooncake	中秋节我们吃月饼。	Zhōng qiū jié wǒ men chī yuè bing.	We eat mooncakes during the Mid-Autumn Festival.
1910:月份	月份	月份	month	七月份天气很热。	Qī yuè fèn tiān qì hěn rè.	The weather is very hot in July.
1914:再次	再次	再次	again; once more	欢迎你再次来到北京。	Huān yíng nǐ zài cì lái dào Běi jīng.	Welcome to Beijing again.
1915:再说	再说	再说	talk about later	这件事明天再说吧。	Zhè jiàn shì míng tiān zài shuō ba.	Let's talk about this matter tomorrow.
1917:暂停	暂停	暂停	pause; suspend	比赛因大雨暂停。	Bǐ sài yīn dà yǔ zàn tíng.	The game was suspended because of heavy rain.
1918:早餐	早餐	早餐	breakfast	早餐我吃了鸡蛋和面包。	Zǎo cān wǒ chī le jī dàn hé miàn bāo.	For breakfast, I ate eggs and bread.
1919:早晨	早晨	早晨	morning	早晨的空气很新鲜。	Zǎo chen de kōng qì hěn xīn xiān.	The morning air is very fresh.
1922:增长	增长	增长	grow; increase	今年收入增长很快。	Jīn nián shōu rù zēng zhǎng hěn kuài.	Income has grown quickly this year.
1924:着	着	着	fall asleep; catch	孩子很快睡着了。	Hái zi hěn kuài shuì zháo le.	The child fell asleep quickly.
1926:者	者	者	suffix for a person	作者介绍了自己的经历。	Zuò zhě jiè shào le zì jǐ de jīng lì.	The author introduced his own experience.
1928:整	整	整	whole; entire	整节课他都很认真。	Zhěng jié kè tā dōu hěn rèn zhēn.	He was serious for the entire class.
1931:证	证	证	certificate; proof	请出示你的工作证。	Qǐng chū shì nǐ de gōng zuò zhèng.	Please show your work ID.
1940:支付	支付	支付	pay; payment	我用手机支付了车费。	Wǒ yòng shǒu jī zhī fù le chē fèi.	I paid the fare with my phone.
1941:之后	之后	之后	after; afterward	考试之后，我们去吃饭。	Kǎo shì zhī hòu, wǒ men qù chī fàn.	After the exam, we will go eat.
1942:之间	之间	之间	between	他们之间没有误会。	Tā men zhī jiān méi yǒu wù huì.	There is no misunderstanding between them.
1943:之前	之前	之前	before	开会之前，请先看材料。	Kāi huì zhī qián, qǐng xiān kàn cái liào.	Before the meeting, please read the materials first.
1945:之中	之中	之中	among; in the middle of	这些人之中，他最年轻。	Zhè xiē rén zhī zhōng, tā zuì nián qīng.	Among these people, he is the youngest.
1946:值	值	值	be worth; value	这张票值一百元。	Zhè zhāng piào zhí yì bǎi yuán.	This ticket is worth one hundred yuan.
1952:指出	指出	指出	point out	老师指出了我的错误。	Lǎo shī zhǐ chū le wǒ de cuò wù.	The teacher pointed out my mistake.
1954:纸巾	纸巾	纸巾	tissue	请给我一张纸巾。	Qǐng gěi wǒ yì zhāng zhǐ jīn.	Please give me a tissue.
1957:中餐	中餐	中餐	Chinese food	这家饭店的中餐很好吃。	Zhè jiā fàn diàn de zhōng cān hěn hǎo chī.	The Chinese food at this restaurant is very tasty.
1958:中年	中年	中年	middle age	他已经到了中年。	Tā yǐ jīng dào le zhōng nián.	He has already reached middle age.
1965:祝	祝	祝	wish; congratulate	祝你生日快乐！	Zhù nǐ shēng rì kuài lè!	I wish you a happy birthday!
1971:转发	转发	转发	forward; repost	请把通知转发给大家。	Qǐng bǎ tōng zhī zhuǎn fā gěi dà jiā.	Please forward the notice to everyone.
1972:转机1	转机1	转机	change planes; transfer	我们要在上海转机。	Wǒ men yào zài Shàng hǎi zhuǎn jī.	We need to change planes in Shanghai.
1975:准	准	准	accurate; exact	他的答案很准。	Tā de dá àn hěn zhǔn.	His answer is very accurate.
1980:自	自	自	from; since	自去年起，他住在北京。	Zì qù nián qǐ, tā zhù zài Běi jīng.	Since last year, he has lived in Beijing.
1982:自习	自习	自习	self-study	晚上七点我们去教室自习。	Wǎn shang qī diǎn wǒ men qù jiào shì zì xí.	At seven in the evening, we go to the classroom for self-study.
1984:自学	自学	自学	study by oneself	他通过视频自学中文。	Tā tōng guò shì pín zì xué Zhōng wén.	He studies Chinese by himself through videos.
1988:最终	最终	最终	eventually; final	最终，他决定留下来。	Zuì zhōng, tā jué dìng liú xià lái.	Eventually, he decided to stay.
1992:做法	做法	做法	way of doing; method	这个做法很简单。	Zhè ge zuò fǎ hěn jiǎn dān.	This method is very simple.
1994:做梦	做梦	做梦	dream	我昨晚做梦梦见了朋友。	Wǒ zuó wǎn zuò mèng mèng jiàn le péng yǒu.	I dreamed about a friend last night.
