simplified	IT	example_IT
电源	l'alimentazione elettrica	Per favore spegni l'alimentazione prima di uscire.
叼	tenere in bocca	Quel cane tiene un osso in bocca.
雕刻	intagliare; incidere	Gli piace intagliare motivi nel legno.
雕塑	la scultura	Al centro della piazza c'è una scultura.
吊	sollevare; appendere	Gli operai hanno usato una macchina per sollevare la trave d'acciaio.
调动	trasferire; mobilitare	L'azienda lo ha trasferito a lavorare a Shanghai.
跌	cadere; scendere	Il prezzo delle azioni è sceso di nuovo oggi.
丁	il dadino	Nella ricetta c'è scritto di tagliare le patate a dadini.
叮嘱	raccomandare ripetutamente	L'insegnante ci ha raccomandato più volte di fare attenzione alla sicurezza.
盯	fissare	Per favore non continuare a fissare gli altri.
定期	regolarmente	Il medico gli ha consigliato di fare controlli regolari.
定义	la definizione	Per favore spiega prima la definizione di questo concetto.
丢人	perdere la faccia	Mentire in pubblico è davvero imbarazzante.
丢三落四	smemorato; distratto	È sempre smemorato e spesso dimentica le chiavi quando esce.
东道主	il padrone di casa; l'ospite	Come padroni di casa, dobbiamo prenderci cura degli ospiti.
东张西望	guardarsi intorno	Non guardarti intorno durante la lezione.
董事长	il presidente del consiglio	Il presidente del consiglio ha partecipato alla riunione oggi.
冻结	congelare; bloccare	La banca ha temporaneamente bloccato questo conto.
动荡	turbolento; instabile	La guerra ha mantenuto questa regione instabile per molto tempo.
动机	il motivo	La polizia sta indagando sul suo motivo.
动静	il rumore; il movimento	Nella stanza non c'era il minimo rumore.
动力	la motivazione; la forza motrice	L'interesse è la motivazione per imparare.
动脉	l'arteria	Il medico ha esaminato la sua arteria.
动身	partire	Domani mattina presto partiremo per l'aeroporto.
动手	mettere le mani addosso; iniziare	La questione non è ancora chiara, quindi nessuno deve mettere le mani addosso a nessuno.
动态	lo sviluppo; l'andamento	Per favore segui sempre l'andamento del progetto.
动员	mobilitare	La scuola ha mobilitato gli studenti per partecipare alle attività di volontariato.
栋	classificatore per edifici	Questo edificio ha venti piani.
兜	la tasca	Ha messo le chiavi nella tasca del cappotto.
陡峭	ripido	Questo sentiero di montagna è molto ripido.
斗争	la lotta	Lottano per proteggere l'ambiente.
督促	sollecitare; spronare	Il direttore ha sollecitato tutti a completare il compito in tempo.
毒品	la droga; gli stupefacenti	La dogana ha sequestrato una partita di stupefacenti.
独裁	la dittatura	La gente si oppone al regime dittatoriale.
堵塞	bloccare; l'ostruzione	La spazzatura ha ostruito la fogna.
赌博	giocare d'azzardo	Il gioco d'azzardo può portare conseguenze gravi.
杜绝	porre fine a	L'azienda richiede di porre fine agli sprechi.
端	portare; l'estremità	È entrato portando una tazza di tè caldo.
端午节	la Festa delle Barche Drago	Durante la Festa delle Barche Drago mangiamo zongzi.
端正	correggere; retto	Gli studenti dovrebbero correggere il proprio atteggiamento verso lo studio.
短促	breve	Ha emesso un breve sospiro.
断定	concludere; stabilire	Ora non si può ancora stabilire chi abbia ragione e chi torto.
断绝	interrompere; troncare	Dopo l'incidente il villaggio ha perso i contatti con l'esterno.
堆积	accumularsi	La neve si è accumulata sul bordo della strada.
兑现	mantenere; realizzare	Alla fine ha mantenuto la promessa.
对策	la contromisura	Di fronte ai rischi abbiamo bisogno di contromisure.
对称	simmetrico	I lati sinistro e destro di questo edificio sono molto simmetrici.
对付	affrontare; gestire	Questo problema non è facile da affrontare.
对抗	contrapporsi; resistere	Le due squadre si affronteranno in finale.
对立	opporsi; essere in contrasto	Le posizioni delle due parti sono completamente opposte.
对联	il distico	Durante la Festa di Primavera hanno attaccato i distici alla porta.
对应	corrispondere	Ogni numero corrisponde a un posto.
对照	confrontare	Per favore confronta la traduzione con il testo originale.
队伍	la fila; il corteo	Il corteo della parata avanzava lentamente.
顿时	immediatamente	Appena sentita la notizia, si è bloccato immediatamente.
哆嗦	tremare	Faceva così freddo che tremava continuamente.
多元化	la diversificazione	L'azienda sta promuovendo la diversificazione delle attività.
堕落	decadere moralmente	Non vuole lasciarsi decadere ancora.
额外	aggiuntivo	Questo servizio richiede un costo aggiuntivo.
恶心	nauseato; la nausea	Sentendo quell'odore, mi sono sentito un po' nauseato.
恶化	peggiorare	Se non viene curata, la malattia potrebbe peggiorare.
遏制	contenere; frenare	Il governo ha adottato misure per contenere l'inquinamento.
恩怨	il rancore	Il rancore tra le due aziende esiste da molto tempo.
而已	tutto qui	Stavo solo dicendo una cosa a caso, tutto qui.
二氧化碳	l'anidride carbonica	Le piante assorbono anidride carbonica.
发布	pubblicare; annunciare	L'azienda presenterà un nuovo prodotto domani.
发财	arricchirsi	Spera di arricchirsi con il duro lavoro.
发呆	restare assorto; imbambolarsi	È rimasta seduta vicino alla finestra imbambolata.
发动	lanciare; mobilitare	I volontari hanno mobilitato i residenti per pulire la strada.
发觉	accorgersi; scoprire	Mi sono accorto che oggi era un po' nervoso.
发射	lanciare	Il razzo sarà lanciato di sera.
发誓	giurare	Ha giurato che non avrebbe mai più mentito.
发行	distribuire; pubblicare	Questo film uscirà il mese prossimo.
发炎	infiammarsi	La ferita è un po' infiammata.
发扬	portare avanti; valorizzare	Dobbiamo portare avanti lo spirito di collaborazione di squadra.
发育	lo sviluppo; svilupparsi	Lo sviluppo fisico dei bambini richiede nutrimento sufficiente.
法人	la persona giuridica	Questa azienda è una persona giuridica indipendente.
番	le parole; il turno	Queste parole mi hanno ispirato molto.
凡是	chiunque; tutto	Chiunque si iscriva deve partecipare alla formazione.
繁华	animato; prospero	Questa strada un tempo era molto animata.
繁忙	occupato; intenso	L'aeroporto è particolarmente affollato durante le vacanze.
繁体字	il carattere tradizionale	A Taiwan si usano spesso i caratteri tradizionali.
繁殖	riprodursi	Questa pianta si riproduce facilmente.
反驳	confutare	Ha confutato questo punto di vista con i dati.
反常	anomalo; insolito	Il tempo oggi è un po' anomalo.
反感	provare antipatia	Questo tipo di pubblicità mi dà molto fastidio.
反抗	resistere; ribellarsi	La gente ha iniziato a resistere alla regola ingiusta.
反馈	il riscontro; riferire	I clienti hanno riferito che il sistema è molto stabile.
反面	il retro; il lato opposto	Per favore gira il foglio sul retro.
反射	riflettere; la riflessione	Lo specchio riflette la luce.
反思	riflettere	Dopo il fallimento ha riflettuto seriamente sui motivi.
反问	rispondere con una domanda	Non ha risposto e mi ha fatto una domanda a sua volta.
反之	al contrario	Un prezzo troppo alto riduce la domanda, e vale anche il contrario.
泛滥	straripare	La pioggia intensa ha fatto straripare il fiume.
范畴	la categoria	Questa questione rientra nella categoria giuridica.
贩卖	vendere illegalmente; trafficare	La legge vieta la vendita di medicinali falsi.
方位	la direzione	Sulla mappa è indicata la direzione precisa.
方言	il dialetto	Capisce il dialetto locale.
方圆	nel raggio di	Nel raggio di dieci chilometri non c'è nessun ospedale.
方针	la politica; la linea guida	L'azienda ha definito una nuova linea di sviluppo.
防守	la difesa	La difesa di questa squadra è molto solida.
防御	la difesa	Le mura della città un tempo servivano a difendersi dai nemici.
防止	prevenire	Per favore allaccia la cintura per prevenire lesioni.
防治	prevenzione e cura	Il medico ha spiegato i metodi di prevenzione e cura della malattia.
纺织	la tessitura; il tessile	Questa città è famosa per l'industria tessile.
访问	visitare; intervistare	Il giornalista intervisterà questo scrittore domani.
放大	ingrandire	Per favore ingrandisci un po' l'immagine.
放射	irradiare	Questo materiale irradia calore.
非法	illegale	Le transazioni illegali saranno punite.
飞禽走兽	uccelli e animali	Nella foresta vivono uccelli e animali di ogni tipo.
飞翔	volare	I gabbiani volano sopra il mare.
飞跃	il balzo; salto in avanti	Lo sviluppo tecnologico ha compiuto un enorme balzo.
肥沃	fertile	Questa terra è molto fertile.
诽谤	la diffamazione	Diffamare gli altri comporta responsabilità legale.
废除	abolire	Questa vecchia regola è già stata abolita.
废寝忘食	dimenticare sonno e pasti	Era così preso dalla ricerca da dimenticare sonno e pasti.
废墟	le rovine	Dopo il terremoto quel luogo è diventato un cumulo di rovine.
沸腾	bollire	L'acqua è già arrivata a ebollizione.
肺	il polmone	Fumare può danneggiare i polmoni.
分辨	distinguere	Per me è difficile distinguere questi due colori.
分寸	il senso del limite	Anche quando si scherza bisogna avere senso del limite.
分红	il dividendo	Gli azionisti possono ricevere dividendi alla fine dell'anno.
分解	scomporre; decomporre	L'insegnante ha scomposto il problema complesso in vari passaggi.
分裂	dividersi; spaccarsi	I conflitti interni hanno portato alla divisione dell'organizzazione.
分泌	secernere	Questo tipo di ghiandola secerne ormoni.
分明	chiaro; netto	I fatti sono già molto chiari.
分歧	la divergenza	Le due parti hanno divergenze sul prezzo.
分散	disperdere; distribuire	Per favore distribuisci il rischio tra progetti diversi.
吩咐	ordinare; incaricare	Il capo mi ha incaricato di sistemare i documenti.
坟墓	la tomba	Sul pendio c'è una tomba antica.
粉末	la polvere fine	Per favore riduci le compresse in polvere.
粉色	rosa chiaro	Ha comprato una sciarpa rosa.
粉碎	distruggere; sgominare	La polizia ha sgominato questa banda criminale.
分量	il peso	Questa frase ha un peso notevole.
愤怒	la rabbia; arrabbiato	Il suo tono era pieno di rabbia.
丰满	ricco; pieno	Il contenuto di questo articolo non è ancora abbastanza ricco.
丰盛	ricco; abbondante	Hanno preparato una cena abbondante.
丰收	il buon raccolto	Quest'anno i contadini hanno avuto un buon raccolto.
封闭	chiudere; sigillare	Durante i lavori questa strada sarà chiusa.
封建	feudale	Questo pensiero feudale avrebbe dovuto cambiare da tempo.
封锁	isolare; bloccare	La polizia ha isolato il luogo dell'incidente.
锋利	affilato	Questo coltello è molto affilato.
风暴	la tempesta	All'improvviso è comparsa una tempesta sul mare.
风度	l'eleganza; il portamento	Sul palco appariva molto elegante.
风光	il paesaggio	Il paesaggio naturale qui è molto bello.
风气	l'atmosfera; il costume	La scuola ha creato una buona atmosfera di studio.
风趣	spiritoso; l'umorismo	Parla in modo molto spiritoso.
风土人情	usi e costumi locali	Viaggiare aiuta a conoscere gli usi e costumi locali.
风味	il sapore locale	Questo negozio ha un forte sapore locale.
逢	incontrare; ogni volta che	Ogni fine settimana il parco è molto vivace.
奉献	dedicare	Il medico ha dedicato molto tempo ai pazienti.
否决	respingere; porre il veto	Il consiglio ha respinto questa proposta.
夫妇	la coppia; marito e moglie	Questa coppia gestisce un piccolo negozio.
夫人	la signora; la moglie	Il signor Wang e sua moglie hanno partecipato insieme al banchetto.
敷衍	sbrigativo; superficiale	Ha dato solo qualche risposta sbrigativa.
俘虏	il prigioniero	Dopo la fine della guerra, i prigionieri furono liberati.
幅度	l'entità; l'ampiezza	L'entità di questa riduzione di prezzo è grande.
服从	obbedire	I soldati devono obbedire agli ordini.
服气	essere convinto; accettare	Ha perso la partita, ma dentro di sé non era convinto.
福利	i benefit; il welfare	I dipendenti danno molta importanza ai benefit dell'azienda.
福气	la fortuna	Incontrare un buon insegnante è stata la sua fortuna.
符号	il simbolo	Questo simbolo rappresenta il pericolo.
辐射	la radiazione	Il medico gli ha ricordato di stare lontano dalle radiazioni forti.
俯视	dominare dall'alto; guardare dall'alto	Dalla cima della montagna si può vedere tutta la città dall'alto.
抚摸	accarezzare	Ha accarezzato dolcemente la testa del bambino.
抚养	crescere; allevare	I nonni hanno aiutato a crescere il bambino.
腐败	la corruzione; corrotto	Il governo sta combattendo la corruzione.
腐烂	marcire	La frutta marcisce se viene lasciata troppo a lungo.
腐蚀	corrodere	L'acido può corrodere la superficie del metallo.
腐朽	marcio; decadente	Hanno criticato il sistema decadente.
辅助	assistere; ausiliario	Questo strumento può aiutare l'insegnamento.
副	vice; ausiliario	È stata nominata vice direttrice.
复活	rivivere; rinascere	Questa festa tradizionale sta rinascendo.
复兴	la rinascita; rilanciare	La rinascita culturale richiede uno sforzo di lungo periodo.
富裕	benestante; prospero	Questo villaggio sta diventando sempre più benestante.
腹泻	la diarrea	Ha una diarrea grave e deve vedere un medico.
覆盖	coprire	La neve abbondante ha coperto tutta la valle.
负担	il peso; il carico	L'affitto è diventato il suo principale peso.
赋予	conferire; attribuire	La legge conferisce ai cittadini diritti fondamentali.
附和	assecondare; fare eco	Non ha opinioni proprie e sa solo assecondare gli altri.
附件	l'allegato	Per favore controlla l'allegato nell'e-mail.
附属	affiliato; annesso	Questo ospedale è affiliato all'università.
改良	migliorare	Gli esperti stanno migliorando questa varietà di riso.
盖章	apporre un timbro	Dopo la firma, il contratto deve essere timbrato.
钙	il calcio	Il latte contiene molto calcio.
尴尬	imbarazzante; imbarazzato	Durante la riunione è calato un silenzio imbarazzante.
干旱	la siccità; arido	La lunga siccità ha danneggiato i raccolti.
干扰	interferire; disturbare	Il rumore disturba il mio lavoro.
干涉	interferire; intromettersi	I genitori non dovrebbero interferire troppo nelle scelte dei figli.
干预	intervenire	Il governo è intervenuto in tempo sui rischi del mercato.
感慨	essere pieno di emozione	Vedendo le vecchie foto, si è molto emozionato.
感染	infettare; l'infezione	Questo virus infetta facilmente i bambini.
干劲	l'entusiasmo	Tutti lavorano con molto entusiasmo.
扛	sollevare con forza	La leggenda dice che era abbastanza forte da sollevare un pesante calderone.
纲领	il programma; il principio guida	La riunione ha approvato un nuovo programma d'azione.
岗位	il posto; la posizione	Si è adattata rapidamente al nuovo posto.
港口	il porto	La nave cargo è attraccata al porto.
港湾	la baia; il porto naturale	La piccola barca è entrata nella baia tranquilla.
杠杆	la leva	Questo investimento ha usato una leva elevata.
高超	eccellente; superiore	La sua abilità nel riparare auto è eccellente.
高潮	il culmine; il climax	La partita ha raggiunto il culmine negli ultimi dieci minuti.
高峰	il picco	Le otto del mattino sono l'ora di punta del traffico.
高明	brillante; ingegnoso	Questo metodo è davvero brillante.
高尚	nobile	Lo spirito professionale del medico è nobile.
高涨	crescere; aumentare	L'entusiasmo del pubblico continuava a crescere.
稿件	il manoscritto; la bozza	L'editore sta correggendo il manoscritto.
告辞	congedarsi	È già tardi, quindi ci congediamo per primi.
告诫	avvertire; ammonire	L'insegnante ha avvertito gli studenti di non copiare.
割	tagliare	Si è tagliato accidentalmente un dito.
搁	posare; mettere da parte	Per favore posa i documenti sul tavolo.
歌颂	elogiare; celebrare	Questa poesia celebra i lavoratori.
疙瘩	il nodulo; il bernoccolo	Gli è comparso un nodulo sul braccio.
鸽子	il piccione; la colomba	In piazza ci sono molte colombe.
格局	la disposizione; la struttura	La disposizione di questo appartamento è molto razionale.
格式	il formato	Per favore compila il modulo nel formato richiesto.
隔阂	la distanza; l'estraneità	Il malinteso ha approfondito la distanza tra loro.
隔离	isolare	Il paziente deve essere isolato temporaneamente.
革命	la rivoluzione	Questa rivoluzione ha cambiato il destino del paese.
个体	l'individuo	Ogni individuo ha bisogni diversi.
各抒己见	esprimere ognuno la propria opinione	Alla riunione tutti hanno espresso la propria opinione.
根深蒂固	profondamente radicato	Questa idea è già profondamente radicata.
根源	la radice; l'origine	Le radici della povertà sono complesse.
跟前	davanti; vicino	Il bambino corse vicino alla madre.
跟随	seguire	Il giornalista ha seguito la squadra nella zona montuosa.
跟踪	seguire le tracce; pedinare	La polizia sta seguendo i movimenti del sospettato.
更新	aggiornare	Il sistema si aggiornerà automaticamente questa sera.
更正	correggere	Il giornale ha corretto l'errore il giorno dopo.
耕地	arare; la terra coltivabile	I contadini stanno arando i campi in primavera.
供不应求	la domanda supera l'offerta	Questo medicinale al momento è scarso perché la domanda supera l'offerta.
供给	la fornitura; fornire	Una città ha bisogno di una fornitura stabile di acqua ed elettricità.
公安局	l'ufficio di pubblica sicurezza	È andato all'ufficio di pubblica sicurezza per denunciare il caso.
公道	giusto; equo	Tutti sperano di ricevere un trattamento equo.
公告	l'avviso; l'annuncio	La scuola ha pubblicato un avviso di sospensione delle lezioni.
公关	le pubbliche relazioni	L'azienda ha assunto un team professionale di pubbliche relazioni.
公民	il cittadino	Ogni cittadino deve rispettare la legge.
公然	apertamente	Ha violato apertamente le regole della competizione.
公认	riconosciuto	È riconosciuta come un'insegnante eccellente.
公式	la formula	Per favore annota questa formula matematica.
公务	gli affari ufficiali	È andato in viaggio per tre giorni per affari ufficiali.
公正	giusto; imparziale	Un giudice deve restare imparziale.
公证	la notarizzazione	Questo documento richiede una notarizzazione.
功劳	il merito; il contributo	In questo successo c'è il merito di tutti.
功效	l'efficacia	L'efficacia di questo medicinale deve ancora essere verificata.
宫殿	il palazzo	I turisti hanno visitato l'antico palazzo.
工艺品	l'oggetto artigianale	Questo oggetto artigianale è fatto a mano.
恭敬	rispettoso	Ha salutato rispettosamente l'anziano.
攻击	attaccare	Gli hacker hanno attaccato il sito dell'azienda.
攻克	superare; conquistare	Il gruppo di ricerca ha superato il problema tecnico.
巩固	consolidare	Ripassare può consolidare le conoscenze apprese.
共和国	la repubblica	Questa repubblica è stata fondata nel secolo scorso.
共计	ammontare a	Questa partita di merci ammonta in totale a trecento casse.
共鸣	la risonanza; l'empatia	Questa canzone ha suscitato empatia in molte persone.
勾结	colludere	Hanno colluso con esterni per ottenere fondi con la frode.
钩子	il gancio	Al muro sono appesi alcuni ganci.
构思	ideare; progettare	Lo scrittore sta ideando un nuovo romanzo.
姑且	per il momento	Proviamo questo piano per una settimana, per il momento.
孤独	solo; solitario	Dopo essersi trasferito in una nuova città, si sentiva solo.
孤立	isolato; isolare	Non guardare questo problema in modo isolato.
辜负	deludere	Non voglio deludere le aspettative dei miei genitori.
古董	l'antiquariato; l'oggetto antico	Il nonno ha collezionato alcuni oggetti antichi.
古怪	strano; eccentrico	La sua idea è un po' strana.
股东	l'azionista	L'assemblea degli azionisti si terrà la settimana prossima.
股份	la quota; le azioni	Possiede quote dell'azienda.
骨干	la spina dorsale; il nucleo	Questi ingegneri sono il nucleo della squadra.
鼓动	incitare	Qualcuno ha incitato la folla a protestare.
固然	certo; indubbiamente	Questo metodo è certo semplice, ma il rischio non è piccolo.
固体	il solido	Il ghiaccio è la forma solida dell'acqua.
固有	intrinseco; proprio	Ogni cultura ha caratteristiche proprie.
固执	ostinato	È troppo ostinato e rifiuta di ascoltare i consigli.
故乡	la terra natale; il paese natale	Dopo molti anni è tornato nella sua terra natale.
故障	il guasto	L'ascensore ha avuto un guasto ed è temporaneamente fuori servizio.
雇佣	assumere	L'azienda ha deciso di assumere più tecnici.
顾虑	la preoccupazione	Puoi dire direttamente quali preoccupazioni hai.
顾问	il consulente	Abbiamo assunto un consulente legale.
拐杖	il bastone	Quando esce, l'anziano porta spesso un bastone.
关怀	la cura; l'attenzione	L'insegnante ha dato agli studenti molta attenzione.
关照	prendersi cura; badare a	Per favore bada di più al bambino durante il tragitto.
官方	ufficiale	La notizia ufficiale sarà annunciata domani.
观光	fare turismo; la visita turistica	I turisti hanno fatto un giro in barca.
管辖	amministrare; avere giurisdizione	Questa zona è sotto la giurisdizione del governo municipale.
惯例	la consuetudine	Presentare gli ospiti prima dell'inizio della riunione è una consuetudine.
灌溉	irrigare	I contadini usano l'acqua del fiume per irrigare i campi.
罐	il barattolo; il vaso	Sul tavolo c'è un barattolo di tè.
贯彻	attuare; mettere in pratica	L'azienda deve attuare i nuovi standard di sicurezza.
光彩	lo splendore; la luminosità	Questo vestito la faceva apparire radiosa.
光辉	la gloria; lo splendore	I suoi risultati hanno lasciato una pagina gloriosa.
光芒	i raggi; la luce	I raggi del sole hanno illuminato la valle.
光荣	onorevole	Servire il paese è onorevole.
广阔	vasto	La prateria si estende all'infinito ed è molto vasta.
归根到底	in fin dei conti	In fin dei conti, il problema sta nella gestione.
归还	restituire	Per favore restituisci i libri in tempo.
规范	la norma; lo standard	La scuola ha stabilito norme per gestire il laboratorio.
规格	la specifica	Le specifiche di questa partita di pezzi non sono uniformi.
规划	la pianificazione	La pianificazione urbana deve considerare il traffico.
规章	le regole; il regolamento	I dipendenti devono rispettare il regolamento aziendale.
轨道	il binario; l'orbita	Il treno avanza lungo i binari.
贵族	la nobiltà	Questa tenuta un tempo apparteneva alla nobiltà.
跪	inginocchiarsi	Si è inginocchiato davanti alla statua.
棍棒	il bastone; il manganello	La polizia ha sequestrato i bastoni sul posto.
国防	la difesa nazionale	La costruzione della difesa nazionale richiede investimenti a lungo termine.
国务院	il Consiglio di Stato	Il Consiglio di Stato ha pubblicato un nuovo avviso.
果断	deciso	Il leader ha preso una decisione decisa.
过度	eccessivo	L'uso eccessivo del telefono può influire sul sonno.
过渡	la transizione	L'azienda è in una fase di transizione della trasformazione.
过奖	esagerare con le lodi	Mi lusinghi, devo ancora imparare.
过滤	filtrare	Questo dispositivo può filtrare le impurità.
过失	la colpa; l'errore	Questo incidente è stato causato da errore umano.
过问	interessarsi; intervenire	Il direttore si occupa raramente di queste piccole cose.
过瘾	appagante	Guardare questa partita è stato davvero appagante.
过于	troppo; eccessivamente	Questo piano è troppo complicato.
嗨	ehi	Ehi, perché sei venuto anche tu?
海拔	l'altitudine	Questo villaggio si trova a un'altitudine elevata.
海滨	il mare; la costa	Hanno trascorso il fine settimana al mare.
含糊	vago; ambiguo	La sua risposta era molto vaga.
含义	il significato	Questa parola ha un significato speciale.
寒暄	scambiarsi convenevoli	Dopo essersi incontrati, hanno prima scambiato qualche convenevole.
罕见	raro	Questa malattia è molto rara.
捍卫	difendere	L'avvocato si è impegnato a difendere i diritti del cliente.
航空	l'aviazione	La compagnia aerea ha cancellato il volo.
航天	l'astronautica	Il programma spaziale cinese si sta sviluppando rapidamente.
航行	navigare; salpare	La nave sta navigando in mare.
行列	le file; i ranghi	Si è unita alle file dei volontari.
毫米	il millimetro	Questo pezzo di vetro ha uno spessore di cinque millimetri.
毫无	senza alcun	La sua spiegazione non ha alcun fondamento.
豪迈	impetuoso; eroico	La sua voce nel canto era impetuosa e potente.
号召	appellarsi; chiamare	Il governo ha invitato tutti a risparmiare acqua.
耗费	consumare; spendere	Questo progetto ha consumato molti fondi.
呵	gridare; rimproverare	Il padre ha gridato una volta e il bambino si è fermato subito.
合并	fondersi; unire	Le due aziende prevedono di fondersi l'anno prossimo.
合成	sintetizzare	Questo materiale può essere sintetizzato artificialmente.
合伙	mettersi in società	Hanno aperto un ristorante in società.
合算	conveniente	Prendere l'autobus è più conveniente che prendere un taxi.
和蔼	gentile; affabile	Questo medico parla in modo molto gentile.
和解	la conciliazione	Le due parti alla fine hanno raggiunto una conciliazione.
和睦	armonioso	I vicini vanno molto d'accordo.
和气	cordiale; gentile	Il capo tratta le persone in modo cordiale.
和谐	armonioso	La musica ha reso l'atmosfera più armoniosa.
嘿	ehi	Ehi, hai sentito?
痕迹	la traccia	Sul terreno sono rimaste tracce di ruote.
狠心	crudele; senza cuore	Ha rifiutato crudelmente la richiesta dell'amico.
恨不得	desiderare ardentemente	Vorrei tornare subito a casa a riposare.
哼	sbuffare; mugugnare	Ha sbuffato scontento.
横	orizzontale	Per favore traccia una linea orizzontale sul foglio.
哄	scoppiare in una risata	Tutti sono scoppiati a ridere.
烘	cuocere al forno; riscaldare	Il pane sta cuocendo nel forno.
轰动	suscitare scalpore	Questa notizia ha suscitato scalpore in tutto il paese.
宏观	macroeconomico; macro	Abbiamo bisogno di analizzare l'economia da una prospettiva macro.
宏伟	grandioso	Il progetto di questo ponte è molto grandioso.
洪水	l'alluvione	L'alluvione ha distrutto diversi ponti.
喉咙	la gola	Ha parlato troppo e gli fa un po' male la gola.
吼	ruggire; urlare	Ha urlato forte verso lontano.
候选	il candidato	È una candidata rappresentante di quest'anno.
后代	le generazioni future	Dobbiamo proteggere l'ambiente per le generazioni future.
后顾之忧	le preoccupazioni per il futuro	Un reddito stabile lo ha lasciato senza preoccupazioni per il futuro.
后勤	la logistica	Il reparto logistico è responsabile della fornitura dei materiali.
呼唤	chiamare	La madre chiamava il bambino alla porta.
呼啸	ululare	Il vento freddo ululava fuori dalla finestra.
呼吁	appellarsi	Gli esperti hanno invitato tutti a ridurre gli sprechi.
忽略	trascurare; ignorare	Per favore non trascurare questo dettaglio.
湖泊	il lago	In questa zona ci sono molti laghi naturali.
胡乱	a caso; disordinatamente	Non mettere le cose a caso per terra.
胡须	la barba	La sua barba è già diventata bianca.
花瓣	il petalo	Dopo la pioggia, i petali sono caduti dappertutto.
花蕾	il bocciolo	In primavera sui rami spuntano boccioli.
华丽	splendido; sontuoso	I costumi sul palco erano molto splendidi.
华侨	il cinese d'oltremare	Molti cinesi d'oltremare sono tornati al paese natale per investire.
划分	dividere	L'insegnante ha diviso gli studenti in quattro gruppi.
化肥	il fertilizzante chimico	I contadini applicano fertilizzante chimico alle colture.
化石	il fossile	Il museo ha esposto fossili di dinosauro.
化验	l'analisi di laboratorio	Il medico gli ha chiesto di fare un esame del sangue.
化妆	truccarsi	Si stava truccando prima di salire sul palco.
画蛇添足	rovinare aggiungendo il superfluo	Aggiungere altre spiegazioni sarebbe superfluo.
话筒	il microfono	Il presentatore ha passato il microfono al pubblico.
欢乐	la gioia	La piazza della festa era piena di gioia.
环节	la fase; il segmento	Ogni fase della formazione è importante.
还原	ripristinare	Per favore ripristina le impostazioni allo stato predefinito.
缓和	allentarsi; attenuare	I rapporti tra le due parti si sono gradualmente allentati.
患者	il paziente	Il medico sta chiedendo informazioni sulle condizioni del paziente.
荒凉	desolato	Questa terra sembra molto desolata.
荒谬	assurdo	Questa spiegazione sembra assurda.
荒唐	ridicolo; assurdo	La sua decisione era troppo ridicola.
皇帝	l'imperatore	L'imperatore viveva in un palazzo grandioso.
皇后	l'imperatrice	L'imperatrice ha partecipato alla celebrazione.
黄昏	il crepuscolo	Al crepuscolo si sono accesi i lampioni.
恍然大悟	capire all'improvviso	Dopo aver ascoltato la spiegazione, ha capito all'improvviso.
晃	ondeggiare; balenare	In un attimo gli è passato davanti agli occhi ed è sparito.
挥霍	sperperare	Non dovrebbe sperperare i soldi dei genitori.
辉煌	glorioso; splendido	Questa città ha una storia gloriosa.
回报	il ritorno; la ricompensa	Il duro lavoro alla fine porterà una ricompensa.
回避	evitare	Ha continuato a evitare questa questione.
回顾	ripercorrere; rivedere	Alla fine la riunione ha ripercorso il lavoro dell'anno.
回收	riciclare; recuperare	Il quartiere ha iniziato a riciclare le vecchie batterie.
悔恨	il rimorso	Prova rimorso per gli errori del passato.
毁灭	distruggere	La guerra ha quasi distrutto questa città.
会晤	incontrarsi; l'incontro	I leader dei due paesi si incontreranno domani.
汇报	riferire; fare rapporto	Ha riferito i progressi al direttore.
贿赂	la corruzione; corrompere	Il funzionario è stato indagato per corruzione.
昏迷	il coma; perdere conoscenza	Il paziente è ancora in coma.
荤	a base di carne	Questo piatto contiene carne e non è adatto ai vegetariani.
浑身	tutto il corpo	Dopo aver corso, era sudato su tutto il corpo.
混合	mescolare	Per favore mescola uniformemente i due materiali.
混乱	il caos	La scena per un periodo è stata molto caotica.
混淆	confondere	Non confondere questi due concetti.
混浊	torbido; fangoso	Dopo la pioggia l'acqua del fiume è diventata torbida.
活该	meritarselo	Non ha ascoltato i consigli, quindi si è meritato il fallimento.
活力	la vitalità	Questa città è piena di vitalità.
火箭	il razzo	Il razzo è entrato con successo nell'orbita prevista.
火焰	la fiamma	Il vento ha fatto alzare ancora di più le fiamme.
火药	la polvere da sparo	La polvere da sparo cambiò il modo di fare la guerra nell'antichità.
货币	la valuta; monetario	La politica monetaria influenza lo sviluppo economico.
基地	la base	Questo un tempo era un'importante base di addestramento.
基金	il fondo	La scuola ha istituito un fondo per borse di studio.
基因	il gene	Gli scienziati stanno studiando questo gene.
机动	mobile; motorizzato	Questa squadra mantiene un'elevata mobilità.
机构	l'istituzione; l'organizzazione	Questa istituzione è responsabile del controllo qualità.
机灵	sveglio; furbo	Questo bambino è molto sveglio.
机密	segreto; riservato	Questi materiali sono riservati.
机械	i macchinari; meccanico	La fabbrica ha introdotto nuovi macchinari.
机遇	l'opportunità	I giovani devono cogliere le opportunità.
机智	pronto di spirito	La sua risposta è stata molto pronta di spirito.
激发	stimolare	L'insegnante ha stimolato l'interesse degli studenti.
激励	incoraggiare	Questo successo ha incoraggiato tutta la squadra.
激情	la passione	Era pieno di passione mentre parlava.
