simplified	TE	example_TE
雇佣	నియమించుకోవడం	కంపెనీ మరిన్ని సాంకేతిక సిబ్బందిని నియమించుకోవాలని నిర్ణయించింది.
顾虑	ఆందోళన; సంకోచం	నీకు ఏ ఆందోళన ఉన్నా నేరుగా చెప్పవచ్చు.
顾问	సలహాదారు	మేము ఒక న్యాయ సలహాదారును నియమించుకున్నాము.
拐杖	నడక కర్ర	వృద్ధుడు బయటకు వెళ్లేటప్పుడు తరచూ నడక కర్ర తీసుకెళ్తాడు.
关怀	శ్రద్ధ; పరామర్శ	గురువు విద్యార్థులకు చాలా శ్రద్ధ చూపించాడు.
关照	జాగ్రత్తగా చూసుకోవడం	దయచేసి మార్గంలో పిల్లవాడిని జాగ్రత్తగా చూసుకోండి.
官方	అధికారిక; ప్రభుత్వ	అధికారిక వార్త రేపు ప్రకటించబడుతుంది.
观光	పర్యాటక దర్శనం	పర్యాటకులు పడవలో దర్శనానికి వెళ్లారు.
管辖	అధికార పరిధిలో ఉంచడం; పాలించడం	ఈ ప్రాంతం నగర ప్రభుత్వ అధికార పరిధిలో ఉంది.
惯例	సంప్రదాయ పద్ధతి; ఆచారం	సమావేశం మొదలయ్యే ముందు అతిథులను పరిచయం చేయడం ఆచారం.
灌溉	పారుదల చేయడం	రైతులు నది నీటితో పొలాలకు పారుదల చేస్తున్నారు.
罐	డబ్బా; సీసా; జారు	బల్లపై టీ ఆకుల జారు ఉంది.
贯彻	అమలు చేయడం	కంపెనీ కొత్త భద్రతా ప్రమాణాలను అమలు చేయాలి.
光彩	కాంతి; మెరుగు	ఈ దుస్తులు ఆమెను కాంతివంతంగా చూపించాయి.
光辉	ప్రకాశం; ఘనత	అతని విజయాలు ఘనమైన పుటను మిగిల్చాయి.
光芒	కిరణాలు; ప్రకాశం	సూర్యకిరణాలు లోయను వెలిగించాయి.
光荣	గౌరవప్రదమైన	దేశానికి సేవ చేయడం గౌరవప్రదమైనది.
广阔	విశాలమైన	గడ్డి మైదానం అంతులేకుండా విస్తరించి చాలా విశాలంగా ఉంది.
归根到底	మొత్తానికి; చివరికి	మొత్తానికి సమస్య నిర్వహణలో ఉంది.
归还	తిరిగి ఇవ్వడం	దయచేసి పుస్తకాలను సమయానికి తిరిగి ఇవ్వండి.
规范	ప్రమాణం; నియమబద్ధం చేయడం	పాఠశాల ప్రయోగశాలను నిర్వహించడానికి ప్రమాణాలు రూపొందించింది.
规格	స్పెసిఫికేషన్; ప్రమాణ పరిమాణం	ఈ భాగాల స్పెసిఫికేషన్లు ఒకేలా లేవు.
规划	ప్రణాళిక; ప్రణాళిక చేయడం	పట్టణ ప్రణాళికలో రవాణాను పరిగణించాలి.
规章	నియమాలు; విధానాలు	ఉద్యోగులు కంపెనీ నియమాలను పాటించాలి.
轨道	పట్టాలు; కక్ష్య	రైలు పట్టాలపై ముందుకు సాగుతోంది.
贵族	అరిస్టోక్రసీ; రాజవంశీయ వర్గం	ఈ భూమి ఒకప్పుడు రాజవంశీయ వర్గానికి చెందినది.
跪	మోకాళ్లపై కూర్చోవడం	అతను విగ్రహం ముందు మోకాళ్లపై కూర్చున్నాడు.
棍棒	దండు; కర్ర ఆయుధం	పోలీసులు సంఘటన స్థలంలోని దండులను స్వాధీనం చేసుకున్నారు.
国防	జాతీయ రక్షణ	జాతీయ రక్షణ నిర్మాణానికి దీర్ఘకాలిక పెట్టుబడి అవసరం.
国务院	రాష్ట్ర మండలి	రాష్ట్ర మండలి కొత్త నోటీసు జారీ చేసింది.
果断	దృఢమైన; నిర్ణయాత్మకమైన	నాయకుడు నిర్ణయాత్మకంగా నిర్ణయం తీసుకున్నాడు.
过度	అధికమైన	మొబైల్ ఫోన్‌ను అధికంగా ఉపయోగించడం నిద్రను ప్రభావితం చేస్తుంది.
过渡	మార్పు దశ; పరివర్తన	కంపెనీ మార్పు పరివర్తన దశలో ఉంది.
过奖	అతి ప్రశంసించడం	మీరు అతిగా ప్రశంసిస్తున్నారు, నాకు ఇంకా నేర్చుకోవాలి.
过滤	వడకట్టడం	ఈ పరికరం మలినాలను వడకట్టగలదు.
过失	పొరపాటు; తప్పు	ఈ ప్రమాదం మానవ పొరపాటు వల్ల జరిగింది.
过问	జోక్యం చేసుకుని పట్టించుకోవడం	మేనేజర్ ఇలాంటి చిన్న విషయాల్లో అరుదుగా జోక్యం చేసుకుంటాడు.
过瘾	బాగా తృప్తి కలిగించడం	ఈ మ్యాచ్ చూడటం నిజంగా బాగా తృప్తినిచ్చింది.
过于	అతి ఎక్కువగా	ఈ ప్రణాళిక అతి ఎక్కువగా క్లిష్టంగా ఉంది.
嗨	హే; నమస్కారం	హే, నువ్వూ ఎలా వచ్చావు?
海拔	సముద్రమట్టానికి ఎత్తు	ఈ గ్రామం సముద్రమట్టానికి చాలా ఎత్తులో ఉంది.
海滨	సముద్రతీరం	వారు వారాంతాన్ని సముద్రతీరంలో గడిపారు.
含糊	అస్పష్టమైన	అతని సమాధానం చాలా అస్పష్టంగా ఉంది.
含义	అర్థం; అంతర్లీన అర్థం	ఈ పదానికి ప్రత్యేక అర్థం ఉంది.
寒暄	మర్యాదపూర్వక పలకరింపులు మార్చుకోవడం	కలిసిన తర్వాత వారు ముందుగా కొన్ని మర్యాదపూర్వక మాటలు మాట్లాడారు.
罕见	అరుదైన	ఈ వ్యాధి చాలా అరుదైనది.
捍卫	రక్షించడం; కాపాడడం	న్యాయవాది క్లయింట్ హక్కులను రక్షించేందుకు శ్రమించాడు.
航空	విమానయానం	విమాన సంస్థ విమానాన్ని రద్దు చేసింది.
航天	అంతరిక్ష ప్రయాణం	చైనా అంతరిక్ష కార్యక్రమం వేగంగా అభివృద్ధి చెందుతోంది.
航行	నౌకాయానం చేయడం; ప్రయాణించడం	నౌక సముద్రంలో ప్రయాణిస్తోంది.
行列	వరుస; వర్గం	ఆమె స్వచ్ఛంద సేవకుల వరుసలో చేరింది.
毫米	మిల్లీమీటరు	ఈ గాజు ముక్క ఐదు మిల్లీమీటర్ల మందం ఉంది.
毫无	ఏ మాత్రం లేని	అతని వివరణకు ఏ మాత్రం ఆధారం లేదు.
豪迈	ధైర్యమైన; వీరోచితమైన	అతని గానం ధైర్యంగా, శక్తివంతంగా ఉంది.
号召	పిలుపునివ్వడం	ప్రభుత్వం అందరినీ నీటిని ఆదా చేయాలని పిలుపునిచ్చింది.
耗费	ఖర్చు చేయడం; వినియోగించడం	ఈ ప్రాజెక్టు భారీ మొత్తంలో నిధులను ఖర్చు చేసింది.
呵	గట్టిగా మందలించడం	తండ్రి ఒక్కసారి గట్టిగా మందలించగానే పిల్లవాడు వెంటనే ఆగిపోయాడు.
合并	విలీనం చేయడం	రెండు కంపెనీలు వచ్చే ఏడాది విలీనం కావాలని యోచిస్తున్నాయి.
合成	సంయోజించడం; కృత్రిమంగా తయారు చేయడం	ఈ పదార్థాన్ని కృత్రిమంగా తయారు చేయవచ్చు.
合伙	భాగస్వామ్యం చేయడం	వారు భాగస్వామ్యంగా ఒక రెస్టారెంట్ ప్రారంభించారు.
合算	లాభదాయకమైన; చవకైన	టాక్సీ కంటే బస్సులో వెళ్లడం మరింత చవకగా ఉంటుంది.
和蔼	స్నేహపూర్వకమైన; మృదువైన	ఈ డాక్టర్ చాలా మృదువుగా మాట్లాడుతాడు.
和解	రాజీ; రాజీకి రావడం	రెండు పక్షాలు చివరికి రాజీకి వచ్చాయి.
和睦	సఖ్యతగల; సామరస్యమైన	పక్కింటివారు పరస్పరం సఖ్యతగా ఉంటారు.
和气	స్నేహపూర్వకమైన; మర్యాదగల	యజమాని అందరితో స్నేహపూర్వకంగా ఉంటాడు.
和谐	సామరస్యమైన	సంగీతం వాతావరణాన్ని మరింత సామరస్యంగా చేసింది.
嘿	హే	హే, నువ్వు విన్నావా?
痕迹	చిహ్నం; జాడ	నేలపై చక్రాల జాడలు మిగిలాయి.
狠心	నిర్దయమైన	అతను స్నేహితుడి అభ్యర్థనను నిర్దయగా తిరస్కరించాడు.
恨不得	వెంటనే చేయాలని బలంగా కోరుకోవడం	నేను వెంటనే ఇంటికి వెళ్లి విశ్రాంతి తీసుకోవాలని ఉంది.
哼	ముక్కుతో శబ్దం చేయడం; గుసగుసలాడడం	అతను అసంతృప్తిగా ముక్కుతో ఒక శబ్దం చేశాడు.
横	అడ్డం; సమాంతరమైన	దయచేసి కాగితంపై ఒక అడ్డ గీత గీయండి.
哄	ఒక్కసారిగా నవ్వులు చెలరేగడం	అందరూ ఒక్కసారిగా నవ్వేశారు.
烘	వేడి చేసి కాల్చడం	రొట్టె పొయ్యిలో కాలుతోంది.
轰动	సంచలనం కలిగించడం	ఈ వార్త దేశమంతటా సంచలనం కలిగించింది.
宏观	విస్తృత దృష్టి; స్థూల	మనం ఆర్థిక వ్యవస్థను స్థూల కోణంలో విశ్లేషించాలి.
宏伟	భవ్యమైన; వైభవమైన	ఈ వంతెన రూపకల్పన చాలా భవ్యంగా ఉంది.
洪水	వరద	వరద కొన్ని వంతెనలను కొట్టుకుపోయింది.
喉咙	గొంతు	అతను ఎక్కువగా మాట్లాడి గొంతు కొంచెం నొప్పిగా ఉంది.
吼	గర్జించడం; అరవడం	అతను దూరంగా బిగ్గరగా అరిచాడు.
候选	అభ్యర్థి	ఆమె ఈ సంవత్సరపు ప్రతినిధి అభ్యర్థి.
后代	భవిష్యత్ తరాలు	మనము భవిష్యత్ తరాల కోసం పర్యావరణాన్ని రక్షించాలి.
后顾之忧	భవిష్యత్తుపై ఆందోళన	స్థిరమైన ఆదాయం అతనికి భవిష్యత్తుపై ఆందోళన లేకుండా చేసింది.
后勤	లాజిస్టిక్స్; సరఫరా విభాగం	లాజిస్టిక్స్ విభాగం సామగ్రి సరఫరాకు బాధ్యత వహిస్తుంది.
呼唤	పిలవడం	తల్లి తలుపు దగ్గర పిల్లవాడిని పిలిచింది.
呼啸	వూగుతూ గర్జించడం	చల్లని గాలి కిటికీ బయట గర్జిస్తూ వీచింది.
呼吁	పిలుపునివ్వడం; విజ్ఞప్తి చేయడం	నిపుణులు అందరిని వ్యర్థాన్ని తగ్గించాలని పిలుపునిచ్చారు.
忽略	పట్టించుకోకపోవడం; విస్మరించడం	దయచేసి ఈ వివరాన్ని విస్మరించవద్దు.
湖泊	సరస్సు	ఈ ప్రాంతంలో అనేక సహజ సరస్సులు ఉన్నాయి.
胡乱	అస్తవ్యస్తంగా; యాదృచ్ఛికంగా	వస్తువులను నేలపై అస్తవ్యస్తంగా పెట్టవద్దు.
胡须	గడ్డం	అతని గడ్డం ఇప్పటికే తెల్లబడింది.
花瓣	పూల రేకు	వర్షం తర్వాత పూల రేకులు నేలంతా పడ్డాయి.
花蕾	పువ్వు మొగ్గ	వసంతంలో కొమ్మలపై పువ్వు మొగ్గలు వచ్చాయి.
华丽	వైభవమైన; అద్భుతమైన	వేదికపై దుస్తులు చాలా వైభవంగా ఉన్నాయి.
华侨	విదేశీ చైనీయులు	అనేక విదేశీ చైనీయులు స్వగ్రామానికి పెట్టుబడి పెట్టడానికి తిరిగివచ్చారు.
划分	విభజించడం	గురువు విద్యార్థులను నాలుగు గుంపులుగా విభజించాడు.
化肥	రసాయన ఎరువు	రైతులు పంటలకు రసాయన ఎరువు వేశారు.
化石	శిలాజం	మ్యూజియంలో డైనోసార్ శిలాజాలు ప్రదర్శించారు.
化验	ప్రయోగశాల పరీక్ష	డాక్టర్ అతనికి రక్త పరీక్ష చేయించమన్నాడు.
化妆	మేకప్ పెట్టుకోవడం	వేదికపైకి వెళ్లే ముందు ఆమె మేకప్ పెట్టుకుంటోంది.
画蛇添足	అవసరం లేని అదనంతో పని చెడగొట్టడం	ఇంకా వివరణ జోడిస్తే అవసరం లేని అదనంగా మారుతుంది.
话筒	మైక్రోఫోన్	నిర్వాహకుడు మైక్రోఫోన్‌ను ప్రేక్షకుడికి ఇచ్చాడు.
欢乐	ఆనందం; సంతోషం	పండుగ చౌరస్తా ఆనందంతో నిండిపోయింది.
环节	భాగం; దశ	శిక్షణలో ప్రతి భాగం చాలా ముఖ్యమైనది.
还原	మూల స్థితికి తిరిగి పెట్టడం	దయచేసి సెట్టింగులను డిఫాల్ట్ స్థితికి తిరిగి పెట్టండి.
缓和	సడలించడం; తగ్గడం	రెండు పక్షాల సంబంధాలు క్రమంగా సడలాయి.
患者	రోగి	డాక్టర్ రోగి పరిస్థితి గురించి అడుగుతున్నాడు.
荒凉	నిర్జనమైన; పాడుబడ్డ	ఈ భూమి చాలా నిర్జనంగా కనిపిస్తోంది.
荒谬	అసంబద్ధమైన; హాస్యాస్పదమైన	ఈ వివరణ చాలా అసంబద్ధంగా వినిపిస్తోంది.
荒唐	అసంభవమైన; హాస్యాస్పదమైన	అతని నిర్ణయం చాలా హాస్యాస్పదంగా ఉంది.
皇帝	చక్రవర్తి	చక్రవర్తి భవ్యమైన రాజభవనంలో నివసించేవాడు.
皇后	చక్రవర్తిని	చక్రవర్తిని వేడుకలో పాల్గొన్నారు.
黄昏	సంధ్యాసమయం	సంధ్యాసమయంలో వీధి దీపాలు వెలిగాయి.
恍然大悟	అకస్మాత్తుగా అర్థం కావడం	వివరణ విన్న తర్వాత అతనికి అకస్మాత్తుగా అర్థమైంది.
晃	అలమటించడం; కదలడం	కళ్ల ముందే ఒక్కసారి కదిలినట్లు అనిపించి అతను కనిపించలేదు.
挥霍	వృథాగా ఖర్చు చేయడం	అతను తల్లిదండ్రుల డబ్బును వృథాగా ఖర్చు చేయకూడదు.
辉煌	వైభవమైన; ఘనమైన	ఈ నగరానికి వైభవమైన చరిత్ర ఉంది.
回报	ప్రతిఫలం; ఫలితం	కష్టపడి పని చేస్తే చివరకు ప్రతిఫలం వస్తుంది.
回避	తప్పించుకోవడం	అతను ఈ సమస్యను ఎప్పటికప్పుడు తప్పించుకుంటున్నాడు.
回顾	వెనక్కి చూసి సమీక్షించడం	సమావేశం చివరలో ఏడాది పనిని సమీక్షించింది.
回收	పునర్వినియోగం కోసం సేకరించడం	వసతి సముదాయం పాత బ్యాటరీలను సేకరించడం ప్రారంభించింది.
悔恨	పశ్చాత్తాపం	గత తప్పుల గురించి అతనికి పశ్చాత్తాపం కలిగింది.
毁灭	నాశనం చేయడం	యుద్ధం ఈ నగరాన్ని దాదాపు నాశనం చేసింది.
会晤	సమావేశం; కలవడం	రెండు దేశాల నాయకులు రేపు కలుస్తారు.
汇报	నివేదించడం	అతను మేనేజర్‌కు పురోగతిని నివేదించాడు.
贿赂	లంచం; లంచం ఇవ్వడం	లంచం కారణంగా ఆ అధికారి విచారణకు గురయ్యాడు.
昏迷	స్పృహ కోల్పోవడం; కోమాలో ఉండటం	రోగి ఇంకా కోమా స్థితిలో ఉన్నాడు.
荤	మాంసాహారమైన	ఈ వంటకం మాంసాహారమైనది, శాకాహారులకు సరిపోదు.
浑身	శరీరం అంతా	పరుగెత్తిన తర్వాత అతని శరీరం అంతా చెమటతో నిండిపోయింది.
混合	కలపడం	దయచేసి రెండు పదార్థాలను సమంగా కలపండి.
混乱	గందరగోళం	సంఘటన స్థలం కొంతసేపు చాలా గందరగోళంగా మారింది.
混淆	గందరగోళపరచడం; కలగలపడం	ఈ రెండు భావాలను గందరగోళపరచవద్దు.
混浊	మసకగా; మురికిగా	వర్షం తర్వాత నది నీరు మసకబారింది.
活该	తగిన ఫలితం పొందడం	అతను సలహా వినలేదు, విఫలం కావడం అతనికే తగినది.
活力	ఉత్సాహశక్తి; జీవం	ఈ నగరం జీవంతో నిండిపోయింది.
火箭	రాకెట్	రాకెట్ విజయవంతంగా నిర్ణయించిన కక్ష్యలోకి ప్రవేశించింది.
火焰	మంట; జ్వాల	గాలి మంటలను మరింత ఎత్తుకు ఎగరేసింది.
火药	తుపాకీ పొడి	తుపాకీ పొడి పురాతన యుద్ధ విధానాలను మార్చింది.
货币	కరెన్సీ; ద్రవ్యము	ద్రవ్య విధానం ఆర్థిక అభివృద్ధిని ప్రభావితం చేస్తుంది.
基地	స్థావరం	ఇక్కడ ఒకప్పుడు ముఖ్యమైన శిక్షణ స్థావరం ఉండేది.
基金	నిధి	పాఠశాల విద్యార్థి వేతన నిధిని ఏర్పాటు చేసింది.
基因	జన్యువు	శాస్త్రవేత్తలు ఈ జన్యువును పరిశోధిస్తున్నారు.
机动	చలించగల; చురుకైన	ఈ బృందం అధిక చలన సామర్థ్యాన్ని నిలుపుకుంది.
机构	సంస్థ; వ్యవస్థ	ఈ సంస్థ నాణ్యత తనిఖీకి బాధ్యత వహిస్తుంది.
机灵	చురుకైన; తెలివైన	ఈ పిల్లవాడు చాలా చురుకుగా ఉన్నాడు.
机密	రహస్యమైన	ఈ పత్రాలు రహస్యమైనవిగా పరిగణించబడతాయి.
机械	యంత్రాలు; యాంత్రిక	కర్మాగారం కొత్త యంత్రాలను ప్రవేశపెట్టింది.
机遇	అవకాశం	యువకులు అవకాశాలను అందిపుచ్చుకోవాలి.
机智	చాకచక్యమైన; సమయోచితమైన	అతని సమాధానం చాలా చాకచక్యంగా ఉంది.
激发	రేకెత్తించడం	గురువు విద్యార్థుల ఆసక్తిని రేకెత్తించాడు.
激励	ప్రోత్సహించడం	ఈ విజయం మొత్తం బృందాన్ని ప్రోత్సహించింది.
激情	ఉత్సాహభరితమైన భావం	అతను ప్రసంగిస్తున్నప్పుడు ఉత్సాహంతో నిండిపోయాడు.
讥笑	ఎగతాళి చేయడం	ఇతరుల తప్పులను ఎగతాళి చేయవద్దు.
饥饿	ఆకలి; పస్తి	దీర్ఘకాలిక ఆకలి ఆరోగ్యాన్ని ప్రభావితం చేస్తుంది.
即便	అయినా సరే	వర్షం పడినా సరే, మేము సమయానికి బయలుదేరుతాము.
即将	త్వరలోనే జరగబోవడం	సమావేశం త్వరలో ప్రారంభం కానుంది.
及早	సాధ్యమైనంత త్వరగా	సమస్య కనిపిస్తే సాధ్యమైనంత త్వరగా పరిష్కరించాలి.
吉祥	శుభప్రదమైన	చైనాలో ఎరుపు రంగు తరచుగా శుభాన్ని సూచిస్తుంది.
嫉妒	ఈర్ష్యపడడం	సహోద్యోగి విజయంపై అతను ఈర్ష్యపడకూడదు.
急功近利	తక్షణ లాభం కోసం ఆతురపడడం	పరిశోధనలో తక్షణ లాభం కోసం ఆతురపడకూడదు.
急剧	తీవ్రంగా; వేగంగా	అమ్మకాలు తీవ్రంగా తగ్గాయి.
急切	ఆత్రుతగల	ఆమె వార్త కోసం ఆత్రుతగా ఎదురుచూసింది.
急于求成	త్వరగా ఫలితం కోరుకోవడం	భాష నేర్చుకోవడంలో త్వరగా ఫలితం కోరుకోకూడదు.
急躁	ఆతురపడే; చిరాకు పడే	కష్టాలు ఎదురైనప్పుడు ఆతురపడవద్దు.
极端	తీవ్రమైన	ఇలాంటి తీవ్రమైన వాతావరణం మరింత సాధారణమవుతోంది.
极限	పరిమితి	ఈ శిక్షణ అతని పరిమితులను పరీక్షించింది.
疾病	వ్యాధి	మంచి అలవాట్లు వ్యాధులను నివారించగలవు.
籍贯	పూర్వీకుల స్వస్థలం	ఫారంలో పూర్వీకుల స్వస్థలం నింపాలి.
级别	స్థాయి; ర్యాంకు	ఈ పోటీ మూడు స్థాయిలుగా విభజించబడింది.
集团	సమూహం; కార్పొరేట్ సంస్థ	ఈ సమూహానికి విదేశాల్లో శాఖలు ఉన్నాయి.
给予	ఇవ్వడం; అందించడం	పాఠశాల పేద విద్యార్థులకు సహాయం అందిస్తుంది.
季军	మూడో స్థానం పొందినవాడు	అతను పోటీలో మూడో స్థానం సాధించాడు.
季度	త్రైమాసికం	కంపెనీ ప్రతి త్రైమాసికం ఆర్థిక నివేదిక విడుదల చేస్తుంది.
寂静	నిశ్శబ్దమైన	రాత్రి లోయ ప్రత్యేకంగా నిశ్శబ్దంగా ఉంది.
寄托	ఆశను పెట్టడం; అప్పగించడం	ఆమె తన ఆశలను పిల్లవాడిపై పెట్టుకుంది.
忌讳	నిషిద్ధంగా భావించడం	స్థానికులు భోజన పట్టిక వద్ద ఈ విషయం మాట్లాడటాన్ని నిషిద్ధంగా భావిస్తారు.
技巧	నైపుణ్యం; పద్ధతి	నైపుణ్యాన్ని సాధిస్తే సామర్థ్యం పెరుగుతుంది.
纪要	సమావేశ సారాంశం	కార్యదర్శి సమావేశ సారాంశాన్ని సిద్ధం చేశాడు.
继承	వారసత్వంగా పొందడం; కొనసాగించడం	అతను తండ్రి వృత్తిని వారసత్వంగా స్వీకరించాడు.
计较	చిన్న విషయంపై పట్టుబడడం	ఈ చిన్న విషయంపై పట్టుబడవద్దు.
记性	జ్ఞాపకశక్తి	అతనికి జ్ఞాపకశక్తి చాలా బాగుంది.
记载	నమోదు చేయడం; లిఖిత రికార్డు	చరిత్ర పుస్తకాలు ఈ యుద్ధాన్ని నమోదు చేశాయి.
迹象	సూచన; సంకేతం	ప్రస్తుతం మెరుగుదల సంకేతాలు లేవు.
佳肴	రుచికరమైన వంటకాలు	బల్ల రుచికరమైన వంటకాలతో నిండిపోయింది.
加工	ప్రాసెస్ చేయడం	ఈ ముడి పదార్థాలకు మరింత ప్రాసెసింగ్ అవసరం.
加剧	తీవ్రతరమవడం	విరోధం మరింత తీవ్రతరమవుతోంది.
夹杂	కలిసివుండడం	వర్ష శబ్దంలో మెరుపు గర్జన కలిసింది.
家常	ఇంటి సాధారణ జీవనానికి సంబంధించిన	నాకు ఇంటి వంటకాలు తినడం ఇష్టం.
家伙	వ్యక్తి; వాడు	ఆ వాడు ఎప్పుడూ ఆలస్యంగా వస్తాడు.
家属	కుటుంబ సభ్యులు	డాక్టర్ రోగి కుటుంబ సభ్యులకు సమాచారం ఇచ్చాడు.
家喻户晓	ప్రతి ఇంటికీ తెలిసిన	ఈ కథ ప్రతి ఇంటికీ తెలిసినది.
坚定	దృఢమైన	ఆమె ధోరణి చాలా దృఢంగా ఉంది.
坚固	బలమైన; దృఢమైన	ఈ వంతెన చాలా బలంగా ఉంది.
坚韧	దృఢసహనమైన	అతనికి దృఢసహన స్వభావం ఉంది.
坚实	బలమైన; పటిష్ఠమైన	ఈ పరిశోధనకు పటిష్ఠమైన పునాది ఉంది.
坚硬	కఠినమైన; గట్టి	ఈ రాయి చాలా గట్టిగా ఉంది.
尖端	అత్యాధునిక; అగ్రస్థాయి	కంపెనీ అత్యాధునిక సాంకేతికతలో పెట్టుబడి పెడుతోంది.
尖锐	పదునైన; తీవ్రమైన	ఈ సమస్య చాలా తీవ్రమైనది.
煎	తవా మీద వేయించడం	వంటకుడు చేపను తవా మీద వేయిస్తున్నాడు.
监督	పర్యవేక్షించడం	ప్రజా పర్యవేక్షణ పని మెరుగుపడేందుకు సహాయపడుతుంది.
监视	గమనిస్తూ పర్యవేక్షించడం	పోలీసులు అనుమానితుడిని గమనిస్తున్నారు.
监狱	జైలు	అతను జైలులో శిక్ష అనుభవిస్తున్నాడు.
艰难	కష్టమైన	వ్యాపారం ప్రారంభ దశ చాలా కష్టంగా ఉంటుంది.
剪彩	రిబ్బన్ కత్తిరించడం	మేయర్ కొత్త గ్రంథాలయానికి రిబ్బన్ కత్తిరించాడు.
拣	ఎంచుకోవడం; వేరు చేయడం	ఆమె బుట్టలో నుంచి కొన్ని ఆపిల్లు ఎంచుకుంది.
检讨	సమీక్షించడం; స్వీయ విమర్శ	అతను తన తప్పులను గంభీరంగా సమీక్షించాడు.
检验	పరీక్షించడం; తనిఖీ చేయడం	ప్రయోగం ఈ ఊహను పరీక్షించగలదు.
简化	సరళీకరించడం	దయచేసి ప్రక్రియను ఇంకా సరళీకరించండి.
简陋	సాదాసీదా; తక్కువ సౌకర్యాలున్న	వారు తక్కువ సౌకర్యాలున్న చిన్న గుడిసెలో నివసించారు.
简体字	సరళీకృత చైనీస్ అక్షరాలు	ఈ పాఠ్యపుస్తకం సరళీకృత చైనీస్ అక్షరాలను ఉపయోగిస్తుంది.
简要	సంక్షిప్తమైన	దయచేసి మీ అభిప్రాయాన్ని సంక్షిప్తంగా వివరించండి.
健全	సమగ్రంగా బలపరచడం	కంపెనీ నిర్వహణ వ్యవస్థను బలపరచాలి.
剑	ఖడ్గం	గోడపై ఒక పురాతన ఖడ్గం వేలాడుతోంది.
溅	చిందడం	వర్షపు నీరు అతని ప్యాంటుపై చిందింది.
舰艇	నౌకాదళ యుద్ధనౌక	అనేక నౌకాదళ యుద్ధనౌకలు విన్యాసంలో పాల్గొన్నాయి.
见多识广	అనుభవజ్ఞుడూ విస్తృత జ్ఞానం కలవాడు	ఈ వృద్ధుడు అనుభవజ్ఞుడూ విస్తృత జ్ఞానం కలవాడు.
见解	అభిప్రాయం; అవగాహన	ఈ సమస్యపై అతనికి ప్రత్యేకమైన అభిప్రాయం ఉంది.
见闻	చూసి విన్న జ్ఞానం	ప్రయాణం అతని జ్ఞానానుభవాన్ని పెంచింది.
见义勇为	న్యాయం కోసం ధైర్యంగా వ్యవహరించడం	న్యాయం కోసం ధైర్యంగా వ్యవహరించినందుకు అతను ప్రశంసించబడ్డాడు.
践踏	తొక్కడం	గడ్డి మైదానాన్ని తొక్కవద్దు.
鉴别	వేరు చేసి గుర్తించడం	నిపుణులు ఈ చిత్రము నిజమో కాదో గుర్తించగలరు.
鉴定	పరీక్షించి నిర్ధారించడం	పోలీసులు వేలిముద్రలను పరీక్షిస్తున్నారు.
鉴于	దృష్ట్యా	చెడు వాతావరణాన్ని దృష్టిలో ఉంచుకుని కార్యక్రమం వాయిదా పడింది.
间谍	గూఢచారి	ఈ సినిమా గూఢచారి కథను చెబుతుంది.
间隔	విరామం; అంతరం	రెండు సమావేశాల మధ్య ఒక వారం అంతరం ఉంది.
间接	పరోక్షమైన	ఈ విధానం పరోక్ష ప్రభావం కలిగిస్తుంది.
僵硬	గట్టిగా; కృత్రిమంగా	అతని చిరునవ్వు కృత్రిమంగా కనిపించింది.
将军	సేనాధిపతి	సేనాధిపతి ఆజ్ఞ జారీ చేశాడు.
将近	దాదాపు	ఈ ప్రాజెక్టు దాదాపు రెండు సంవత్సరాలు కొనసాగింది.
将就	సరిపెట్టుకోవడం	పరిస్థితులు బాగోలేవు, కాబట్టి కొద్దిగా సరిపెట్టుకోవాలి.
奖励	బహుమతి ఇవ్వడం	పాఠశాల ప్రతిభావంతులైన విద్యార్థులను బహుమతిచ్చింది.
奖赏	బహుమతి; పురస్కారం	రాజు వీరుడికి ఉదారమైన బహుమతి ఇచ్చాడు.
桨	తెప్ప దండు	పడవవాడు తెప్ప దండుతో పడవను తీరానికి నడిపించాడు.
降临	క్రమంగా దిగివచ్చడం	రాత్రి నగరంపై క్రమంగా దిగివచ్చింది.
交叉	దాటుకోవడం; ఖండించడం	రెండు రహదారులు ఇక్కడ దాటుకుంటాయి.
交代	స్పష్టంగా వివరించడం; అప్పగించడం	దయచేసి పనిని స్పష్టంగా వివరించండి.
交涉	చర్చలు జరపడం	రెండు పక్షాలు పరిహారం గురించి చర్చలు జరుపుతున్నాయి.
交易	లావాదేవీ	ఈ లావాదేవీ ఇప్పటికే పూర్తయింది.
娇气	అతి సున్నితంగా ఉండే	అంత అతి సున్నితంగా ఉండవద్దు, వాతావరణం చల్లగా లేదు.
焦点	కేంద్ర బిందువు	ఉద్యోగ సమస్య చర్చకు కేంద్ర బిందువైంది.
焦急	ఆందోళనతో కూడిన ఆత్రం	తల్లి పిల్లవాడు తిరిగి రావాలని ఆందోళనగా ఎదురు చూసింది.
侥幸	అదృష్టవశాత్తు తప్పించుకోవడం	అతను అదృష్టవశాత్తు ఆ ప్రమాదం నుండి తప్పించుకున్నాడు.
搅拌	కలియబెట్టడం	దయచేసి పిండిమిశ్రమాన్ని సమంగా కలియబెట్టండి.
缴纳	చెల్లించడం	నివాసులు నీటి బిల్లును సమయానికి చెల్లించాలి.
角落	మూల	పిల్లి గది మూలలో దాక్కుంది.
