simplified	HI	example_HI
哈	हा	हा, अब मुझे आखिरकार समझ आ गया।
海关	सीमा शुल्क	हम सीमा शुल्क जाँच के लिए कतार में लगे।
海鲜	समुद्री भोजन	इस रेस्तराँ का समुद्री भोजन बहुत ताज़ा है।
喊	चिल्लाना	कक्षा में ज़ोर से मत चिल्लाओ।
行业	उद्योग; क्षेत्र	पर्यटन उद्योग तेज़ी से विकसित हो रहा है।
豪华	शानदार; विलासितापूर्ण	वे एक शानदार होटल में ठहरे हैं।
好客	मेहमाननवाज़	स्थानीय लोग बहुत मेहमाननवाज़ हैं।
好奇	जिज्ञासु	बच्चे दुनिया के बारे में बहुत जिज्ञासु होते हैं।
何必	क्या ज़रूरत है	छोटी-सी बात पर गुस्सा होने की क्या ज़रूरत है?
何况	ऊपर से; यह तो और भी	आज ठंड है, ऊपर से बारिश भी हो रही है।
合法	कानूनी	यह अनुबंध कानूनी है।
合理	उचित	यह कीमत बहुत उचित है।
合同	अनुबंध	उन्होंने एक अनुबंध पर हस्ताक्षर किए।
合影	समूह फ़ोटो	स्नातक होने पर हमने समूह फ़ोटो खिंचवाई।
合作	सहयोग करना	हमने सहयोग से परियोजना पूरी की।
和平	शांति	हर कोई शांति चाहता है।
核心	मुख्य भाग; केंद्र	विश्वास सहयोग का केंद्र है।
恨	पछताना; नफ़रत करना	उसे पछतावा है कि उसने पहले मेहनत नहीं की।
猴子	बंदर	चिड़ियाघर में कई बंदर हैं।
后背	पीठ	उसकी पीठ में थोड़ा दर्द है।
后果	परिणाम	तुम्हें परिणामों पर विचार करना चाहिए।
呼吸	साँस लेना	कृपया गहरी साँस लीजिए।
忽然	अचानक	आसमान अचानक अँधेरा हो गया।
忽视	नज़रअंदाज़ करना	इस समस्या को नज़रअंदाज़ मत करो।
壶	केतली; चायदानी	मेज़ पर एक चायदानी चाय रखी है।
糊涂	उलझन में; भ्रमित	मैं आज थोड़ा उलझन में हूँ।
胡说	बकवास करना	बकवास मत करो, यह सच नहीं है।
胡同	पुरानी गली	बीजिंग में बहुत सी पुरानी गलियाँ हैं।
蝴蝶	तितली	बगीचे में एक तितली है।
花生	मूँगफली	उसे मूँगफली खाना पसंद है।
华裔	चीनी मूल का	वह चीनी मूल की लेखिका है।
滑	फिसलन भरा	फ़र्श फिसलन भरा है, ज़रा सावधान रहो।
划	चप्पू चलाना	नाव में बैठते समय वह नाव खेने की ज़िम्मेदारी लेता है।
化学	रसायन विज्ञान	उसने विश्वविद्यालय में रसायन विज्ञान पढ़ा।
话题	विषय	यह विषय बहुत रोचक है।
怀念	याद करना	मुझे विश्वविद्यालय जीवन बहुत याद आता है।
怀孕	गर्भवती होना	वह तीन महीने की गर्भवती है।
缓解	कम करना; राहत देना	आराम तनाव कम कर सकता है।
幻想	कल्पना करना	वह अक्सर अंतरिक्ष यात्रा की कल्पना करता है।
慌张	घबराया हुआ	समस्या आने पर घबराओ मत।
黄金	सोना	सोने की कीमत फिर बढ़ गई है।
恢复	ठीक होना; बहाल होना	उसका शरीर धीरे-धीरे ठीक हो रहा है।
挥	हिलाना; लहराना	उसने हाथ हिलाया।
灰	धूसर	आसमान धूसर है।
灰尘	धूल	मेज़ पर बहुत धूल है।
灰心	हिम्मत हारना	असफल होने पर भी हिम्मत मत हारो।
汇率	विनिमय दर	आज की विनिमय दर क्या है?
婚礼	शादी समारोह	उनकी शादी बहुत सादी थी।
婚姻	विवाह	विवाह में आपसी समझ की ज़रूरत होती है।
活跃	सक्रिय	वह कक्षा में बहुत सक्रिय रहता है।
伙伴	साथी	वह मेरा सबसे अच्छा साथी है।
火柴	माचिस की तीली	डिब्बे में केवल एक माचिस की तीली बची है।
或许	शायद	शायद कल बारिश हो।
基本	बुनियादी	ये बुनियादी आवश्यकताएँ हैं।
机器	मशीन	यह मशीन खराब हो गई है।
激烈	तीव्र; ज़ोरदार	प्रतियोगिता बहुत तीव्र रही।
肌肉	मांसपेशी	व्यायाम के बाद मेरी मांसपेशियों में थोड़ा दर्द है।
及格	पास होना	वह इस परीक्षा में पास हो गया।
急忙	जल्दी-जल्दी	वह जल्दी-जल्दी कक्षा से बाहर भागा।
急诊	आपातकालीन विभाग	मरीज़ को आपातकालीन विभाग में भेजा गया।
极其	अत्यंत	यह मुद्दा अत्यंत महत्वपूर्ण है।
集合	इकट्ठा होना	कृपया सब लोग आठ बजे प्रवेश द्वार पर इकट्ठा हों।
集体	सामूहिक	यह एक सामूहिक गतिविधि है।
集中	एकाग्र करना	कक्षा में ध्यान एकाग्र करना चाहिए।
寂寞	अकेलापन; अकेला	अकेले रहना कभी-कभी अकेलापन दे सकता है।
系领带	टाई बाँधना	वह रोज़ काम पर जाने से पहले टाई बाँधता है।
纪录	रिकॉर्ड	उसने स्कूल का रिकॉर्ड तोड़ दिया।
纪律	अनुशासन	कक्षा का अनुशासन बहुत महत्वपूर्ण है।
纪念	स्मरण करना	हमने इस दिन की याद में तस्वीरें लीं।
计算	गणना करना	कृपया कुल खर्च की गणना करें।
记录	लिखना; दर्ज करना	कृपया बैठक की बातें दर्ज करें।
记忆	स्मृति	यह स्मृति बहुत अनमोल है।
嘉宾	अतिथि	आज के अतिथि एक लेखक हैं।
夹子	क्लिप	कृपया दस्तावेज़ों को क्लिप से पकड़ दें।
家庭	परिवार	बच्चों के लिए परिवार बहुत महत्वपूर्ण है।
家务	घर का काम	सप्ताहांत में मुझे घर का काम करना है।
家乡	जन्मस्थान; अपना शहर	मुझे अपना शहर बहुत याद आता है।
假如	यदि	यदि कल बारिश हुई, तो हम नहीं जाएँगे।
假设	मान लेना; कल्पना करना	मान लो तुम शिक्षक हो, तो तुम क्या करोगे?
假装	नाटक करना	उसने सुनाई न देने का नाटक किया।
甲	पहला पक्ष	पहले पक्ष को समय पर भुगतान करना होगा।
价值	मूल्य	यह किताब बहुत मूल्यवान है।
嫁	विवाह करके जाना	वह अगले साल अपने प्रेमी से विवाह करेगी।
驾驶	वाहन चलाना	गाड़ी चलाते समय सावधानी से चलाओ।
兼职	अंशकालिक काम	वह शाम को अंशकालिक काम करता है।
坚决	दृढ़	वह इस निर्णय से दृढ़ता से असहमत है।
坚强	मज़बूत	वह एक मज़बूत इंसान है।
肩膀	कंधा	उसका कंधा घायल हो गया।
艰巨	कठिन; भारी	यह एक कठिन काम है।
艰苦	कठिन; कष्टपूर्ण	उन्होंने कठिन जीवन देखा है।
剪刀	कैंची	कृपया कैंची मुझे दे दीजिए।
捡	उठाना	उसने ज़मीन से बटुआ उठा लिया।
简历	जीवन-वृत्त	नौकरी के लिए आवेदन करने से पहले जीवन-वृत्त तैयार करना चाहिए।
简直	सचमुच; बिल्कुल	यह ख़बर सचमुच चौंकाने वाली है।
健身	व्यायाम करना	वह हर हफ़्ते तीन बार व्यायाम करने जाता है।
建立	स्थापित करना	हमने नया संबंध स्थापित किया।
建设	निर्माण	शहर का निर्माण तेज़ी से विकसित हो रहा है।
建筑	इमारत; वास्तुकला	इस इमारत की अपनी विशेषता है।
键盘	कीबोर्ड	मेरे कीबोर्ड को साफ़ करने की ज़रूरत है।
讲究	ध्यान देना; परिष्कृत होना	चीनी लोग खाने-पीने पर बहुत ध्यान देते हैं।
讲座	व्याख्यान	आज रात चीनी भाषा पर एक व्याख्यान है।
酱油	सोया सॉस	सब्ज़ी में थोड़ा सोया सॉस डालो।
交换	अदला-बदली करना	हमने फ़ोन नंबरों की अदला-बदली की।
交际	सामाजिक संपर्क	भाषा सीखते समय सामाजिक संपर्क का अभ्यास भी करना चाहिए।
交往	मेलजोल रखना; प्रेम संबंध में होना	वे दो साल से प्रेम संबंध में हैं।
浇	पानी देना	कृपया रोज़ फूलों को पानी दें।
胶水	गोंद	मैंने तस्वीर चिपकाने के लिए गोंद का इस्तेमाल किया।
狡猾	चालाक	वह लोमड़ी बहुत चालाक है।
角度	कोण; दृष्टिकोण	आओ समस्या को दूसरे दृष्टिकोण से देखें।
教材	पाठ्यपुस्तक; शिक्षण सामग्री	यह पाठ्यपुस्तक बहुत उपयोगी है।
教练	कोच	कोच चाहता है कि हम समय पर पहुँचें।
教训	सबक	यह असफलता एक सबक है।
接触	संपर्क में आना	चीनी संस्कृति से मेरा यह पहला संपर्क है।
接待	स्वागत करना	कंपनी ने मेहमानों के स्वागत के लिए अलग व्यक्ति रखा।
接近	पास आना	वसंत त्योहार नज़दीक आता जा रहा है।
结实	मज़बूत	यह सूटकेस बहुत मज़बूत है।
阶段	चरण	पढ़ाई को तीन चरणों में बाँटा गया है।
结构	संरचना	इस लेख की संरचना स्पष्ट है।
结合	जोड़ना; मिलाना	पढ़ाई को अभ्यास के साथ जोड़ना चाहिए।
结论	निष्कर्ष	उसका निष्कर्ष बहुत प्रभावशाली है।
结账	बिल चुकाना	खाना खाने के बाद हम बिल चुकाने गए।
节省	बचाना	मेट्रो लेने से समय बच सकता है।
借口	बहाना	अब और बहाने मत बनाओ।
届	आयोजन के लिए क्रमसूचक	यह तीसरी प्रतियोगिता है।
戒	छोड़ना; त्यागना	डॉक्टर ने उसे धूम्रपान छोड़ने की सलाह दी।
戒指	अंगूठी	उसने एक अंगूठी पहनी है।
金属	धातु	लोहा एक प्रकार की धातु है।
尽快	जितनी जल्दी हो सके	कृपया ईमेल का उत्तर जितनी जल्दी हो सके दें।
紧急	आपात; अत्यावश्यक	यह एक आपात स्थिति है।
谨慎	सावधान; सतर्क	निवेश से पहले सावधान रहना चाहिए।
尽力	पूरी कोशिश करना	मैं तुम्हारी मदद करने की पूरी कोशिश करूँगा।
尽量	यथासंभव	कृपया यथासंभव जल्दी पहुँचें।
近代	आधुनिक युग	आधुनिक चीन में बहुत बदलाव हुए।
进步	प्रगति	उसकी चीनी भाषा में तेज़ी से प्रगति हो रही है।
进口	आयातित	यह गाड़ी आयातित है।
精力	ऊर्जा	बच्चों में बहुत ऊर्जा होती है।
精神	मनःस्थिति; उत्साह	आज उसका मन बहुत अच्छा है।
经典	क्लासिक	यह एक क्लासिक फ़िल्म है।
经商	व्यापार करना	उसके पिता विदेश में व्यापार करते हैं।
经营	चलाना; प्रबंधन करना	वह एक छोटी दुकान चलाती है।
酒吧	बार	रात को वे बार गए।
救	बचाना	डॉक्टर ने उसकी जान बचाई।
救护车	एम्बुलेंस	एम्बुलेंस बहुत जल्दी आ गई।
舅舅	मामा	मेरे मामा नानजिंग में रहते हैं।
居然	वास्तव में; हैरानी की बात है	वह अपना जन्मदिन ही भूल गया।
桔子	संतरा; किन्नू	मेज़ पर कुछ संतरे रखे हैं।
俱乐部	क्लब	वह तैराकी क्लब में शामिल हुई।
具备	होना; से युक्त होना	उसके पास प्रबंधन का अनुभव है।
具体	ठोस; विशिष्ट	कृपया थोड़ा और स्पष्ट रूप से बताइए।
巨大	विशाल	इस परियोजना को भारी निवेश की ज़रूरत है।
据说	कहा जाता है	कहा जाता है कि वह अपने देश लौट चुका है।
捐	दान करना	सब लोग पैसे दान करने को तैयार हैं।
决赛	फ़ाइनल	कल फ़ुटबॉल का फ़ाइनल है।
决心	संकल्प	उसने चीनी अच्छी तरह सीखने का संकल्प लिया।
绝对	बिलकुल; निश्चित रूप से	यह बात बिलकुल नहीं भूलनी चाहिए।
角色	भूमिका	वह फ़िल्म में महत्वपूर्ण भूमिका निभाती है।
军事	सैन्य	उसे सैन्य इतिहास में बहुत रुचि है।
均匀	समान रूप से	कृपया रंग समान रूप से लगाइए।
卡车	ट्रक	दरवाज़े पर एक ट्रक खड़ा है।
开发	विकसित करना	कंपनी नया उत्पाद विकसित कर रही है।
开放	खुलना; खुला होना	पार्क हर सुबह छह बजे खुलता है।
开幕式	उद्घाटन समारोह	उद्घाटन समारोह कल रात होगा।
开水	उबला पानी	कृपया मुझे एक कप उबला पानी दीजिए।
砍	काटना	मज़दूर पेड़ की डालियाँ काट रहा है।
看不起	तुच्छ समझना	किसी को भी तुच्छ मत समझो।
看望	मिलने जाना	सप्ताहांत में मैं दादा-दादी से मिलने जाऊँगा।
靠	टेक लगाना; निर्भर होना	वह आराम करने के लिए दीवार से टेक लगाकर खड़ा हुआ।
颗	दानेदार चीज़ के लिए वर्गसूचक	रात के आसमान में एक तारा है।
可见	इससे साफ़ है	इससे साफ़ है कि यह तरीका बहुत प्रभावी है।
可靠	भरोसेमंद	वह एक भरोसेमंद दोस्त है।
可怕	डरावना	यह सपना बहुत डरावना था।
克	ग्राम	कृपया दो ग्राम नमक डालें।
克服	काबू पाना	हमें कठिनाइयों पर काबू पाना होगा।
刻苦	मेहनती; लगन से	वह बहुत लगन से पढ़ाई करता है।
客观	वस्तुनिष्ठ	कृपया समस्या का वस्तुनिष्ठ विश्लेषण करें।
课程	पाठ्यक्रम	यह पाठ्यक्रम बहुत उपयोगी है।
空间	स्थान; जगह	इस कमरे में बहुत जगह है।
控制	नियंत्रित करना	चालक ने गाड़ी की रफ़्तार नियंत्रित कर ली।
空闲	खाली समय	क्या कल दोपहर तुम्हारे पास खाली समय है?
口味	स्वाद	उसका स्वाद अपेक्षाकृत हल्का है।
夸	प्रशंसा करना	शिक्षक ने उसकी बड़ी प्रगति की प्रशंसा की।
夸张	बढ़ा-चढ़ाकर कहना	उसके चेहरे का भाव थोड़ा बढ़ा-चढ़ा हुआ है।
会计	लेखाकार	वह कंपनी में लेखाकार का काम करती है।
宽	चौड़ा	यह सड़क बहुत चौड़ी है।
昆虫	कीड़ा; कीट	बच्चे कीटों का निरीक्षण कर रहे हैं।
扩大	विस्तार करना	स्कूल पुस्तकालय का विस्तार करने की योजना बना रहा है।
辣椒	मिर्च	सब्ज़ी में बहुत सारी मिर्च डाली गई है।
拦	रोकना	पुलिस ने एक गाड़ी रोक ली।
烂	सड़ जाना	यह सेब पहले ही सड़ चुका है।
朗读	ज़ोर से पढ़ना	कृपया पाठ को ज़ोर से पढ़िए।
劳动	श्रम; काम	काम करने से व्यक्ति को संतोष महसूस होता है।
劳驾	कष्ट कीजिए; क्षमा कीजिए	क्षमा कीजिए, मेट्रो स्टेशन कहाँ है?
姥姥	नानी	मेरी नानी बहुत स्वादिष्ट खाना बनाती हैं।
老百姓	आम लोग	आम लोग जीवन-यापन की लागत की चिंता करते हैं।
老板	मालिक; बॉस	मालिक आज दफ़्तर में नहीं है।
老婆	पत्नी	उसने अपनी पत्नी के लिए फूल खरीदे।
老实	ईमानदार; सीधा	वह एक ईमानदार आदमी है।
老鼠	चूहा	रसोई में एक चूहा है।
乐观	आशावादी	वह भविष्य को लेकर बहुत आशावादी है।
雷	गरज	कल रात गरज बहुत तेज़ थी।
类型	प्रकार	इस तरह की फ़िल्म किस प्रकार में आती है?
冷淡	ठंडा; उदासीन	उसका रवैया थोड़ा उदासीन है।
厘米	सेंटीमीटर	यह कलम पंद्रह सेंटीमीटर लंबी है।
梨	नाशपाती	मैंने कुछ नाशपातियाँ खरीदीं।
离婚	तलाक लेना	उनका पिछले साल तलाक हो गया।
理论	सिद्धांत	यह सिद्धांत बहुत जटिल है।
理由	कारण	देर से आने का तुम्हारे पास क्या कारण है?
利润	लाभ	इस साल कंपनी का लाभ बढ़ा।
利息	ब्याज	बैंक का ब्याज ज़्यादा नहीं है।
利益	हित	हमें सबके हितों की रक्षा करनी चाहिए।
利用	उपयोग करना	वह सप्ताहांत का उपयोग चीनी पढ़ने में करता है।
力量	शक्ति	एकता ही शक्ति है।
立即	तुरंत	कृपया तुरंत यहाँ से चले जाइए।
立刻	फ़ौरन	ख़बर सुनते ही वह फ़ौरन निकल पड़ा।
联合	मिलकर; संयुक्त	दोनों कंपनियों ने मिलकर उत्पाद विकसित किया।
连忙	जल्दी से	फ़ोन की आवाज़ सुनकर उसने जल्दी से उठा लिया।
连续	लगातार	उसने लगातार दस घंटे काम किया।
恋爱	प्रेम संबंध	वे प्रेम संबंध में हैं।
粮食	अनाज	इस साल अनाज का उत्पादन बढ़ा है।
良好	अच्छा; उत्तम	उसकी पढ़ाई की आदतें अच्छी हैं।
亮	चमकीला; रोशन	कमरे की बत्ती बहुत तेज़ है।
了不起	कमाल का; उल्लेखनीय	उसने उल्लेखनीय उपलब्धि हासिल की।
列车	रेलगाड़ी	रेलगाड़ी अभी रवाना होने वाली है।
临时	अस्थायी	यह एक अस्थायी निर्णय है।
灵活	लचीला	पढ़ाई के तरीक़े लचीले होने चाहिए।
铃	घंटी	कक्षा की घंटी बज गई।
零件	पुर्जा	मशीन में एक पुर्जा कम है।
零食	नाश्ता; स्नैक	बच्चों को स्नैक्स खाना पसंद है।
领导	नेता; वरिष्ठ अधिकारी	वरिष्ठ अधिकारी बैठक में हैं।
领域	क्षेत्र	वह शिक्षा के क्षेत्र में काम करती है।
流传	पीढ़ी-दर-पीढ़ी चलना	यह कहानी बहुत समय से चली आ रही है।
流泪	आँसू बहाना	यह ख़बर सुनकर उसकी आँखों में आँसू आ गए।
浏览	देखना; ब्राउज़ करना	मैं पहले वेबपेज ज़रा देख लूँगा।
龙	ड्रैगन	चीनी संस्कृति में ड्रैगन होता है।
漏	लीक होना; टपकना	छत से बारिश का पानी टपक रहा है।
录取	प्रवेश मिलना	उसे विश्वविद्यालय में प्रवेश मिल गया।
录音	रिकॉर्डिंग	कृपया रिकॉर्डिंग शुरू करें।
陆地	ज़मीन; स्थल	समुद्री कछुआ ज़मीन पर चढ़ आया।
陆续	एक-एक करके	मेहमान एक-एक करके पहुँच गए।
轮流	बारी-बारी से	हम बारी-बारी से कक्षा साफ़ करते हैं।
论文	शोध-पत्र; निबंध	वह अपना स्नातक शोध-पत्र लिख रही है।
逻辑	तर्क	उसका तर्क बहुत स्पष्ट है।
落后	पीछे रहना	हम दूसरों से पीछे नहीं रह सकते।
骂	डाँटना; गाली देना	कृपया बच्चे को मत डाँटिए।
麦克风	माइक्रोफ़ोन	कृपया माइक्रोफ़ोन उसे दे दीजिए।
馒头	भाप में पका बन	नाश्ते में मैंने एक भाप में पका बन खाया।
满足	पूरा करना; संतुष्ट करना	यह उत्तर आवश्यकताओं को पूरा नहीं करता।
毛病	खराबी; समस्या	इस कंप्यूटर में थोड़ी खराबी है।
矛盾	विरोधाभास; टकराव	उनके बीच कुछ टकराव हैं।
冒险	जोखिम उठाना	अकेले वहाँ जाना बहुत जोखिम भरा है।
贸易	व्यापार	अंतरराष्ट्रीय व्यापार तेज़ी से बढ़ रहा है।
媒体	मीडिया	मीडिया ने इस घटना की रिपोर्ट की।
煤炭	कोयला	यह क्षेत्र कोयला पैदा करता है।
眉毛	भौंह	उसकी भौंहें घनी हैं।
美术	कला	मेरी छोटी बहन को कला पसंद है।
魅力	आकर्षण	इस शहर में बहुत आकर्षण है।
梦想	सपना	उसका सपना डॉक्टर बनना है।
密切	घनिष्ठ	हम घनिष्ठ संपर्क बनाए रखते हैं।
秘密	रहस्य	यह हमारा रहस्य है।
秘书	सचिव	सचिव ने बैठक का समय तय किया।
蜜蜂	मधुमक्खी	फूलों के बीच बहुत सारी मधुमक्खियाँ हैं।
面对	सामना करना	हमें कठिनाइयों का बहादुरी से सामना करना चाहिए।
面积	क्षेत्रफल	इस कमरे का क्षेत्रफल बड़ा नहीं है।
面临	सामना करना; के सामने होना	कंपनी नई चुनौती का सामना कर रही है।
描写	वर्णन करना	लेखक ने ग्रामीण जीवन का वर्णन किया।
苗条	पतला-दुबला	उसका शरीर बहुत पतला-दुबला है।
敏感	संवेदनशील	यह विषय काफ़ी संवेदनशील है।
名牌	मशहूर ब्रांड	उसने मशहूर ब्रांड की घड़ी खरीदी।
名片	विज़िटिंग कार्ड	कृपया मुझे एक विज़िटिंग कार्ड दीजिए।
名胜古迹	प्रसिद्ध स्थल और ऐतिहासिक स्मारक	बीजिंग में बहुत से प्रसिद्ध स्थल और ऐतिहासिक स्मारक हैं।
明确	स्पष्ट	शिक्षक ने आवश्यकताओं को स्पष्ट रूप से समझाया।
明显	स्पष्ट; साफ़	उसकी प्रगति साफ़ दिखाई देती है।
明星	सितारा; प्रसिद्ध अभिनेता	वह फ़िल्म सितारा बनना चाहती है।
命令	आदेश	सैनिकों को आदेश मानना पड़ता है।
命运	भाग्य	वह मानता है कि भाग्य बदला जा सकता है।
摸	छूना	कृपया इस चित्र को न छुएँ।
摩托车	मोटरसाइकिल	वह मोटरसाइकिल से काम पर जाता है।
模仿	नकल करना	बच्चे बड़ों की बोलचाल की नकल करना पसंद करते हैं।
模糊	धुंधला	यह तस्वीर थोड़ी धुंधली है।
模特	मॉडल	वह कपड़ों की मॉडल है।
陌生	अपरिचित	यह शहर मेरे लिए बहुत अपरिचित है।
某	कोई; अमुक	किसी शिक्षक ने मुझे फ़ोन किया।
木头	लकड़ी	यह मेज़ लकड़ी की बनी है।
目标	लक्ष्य	मेरा लक्ष्य परीक्षा पास करना है।
目录	विषय-सूची	कृपया पहले किताब की शुरुआत में दी विषय-सूची देखें।
目前	इस समय; वर्तमान में	इस समय स्थिति काफ़ी स्थिर है।
哪怕	भले ही	भले ही वह बहुत व्यस्त हो, वह पढ़ाई जारी रखता है।
难怪	तभी तो	तभी तो तुम आज इतने खुश हो।
难免	बचना मुश्किल होना	पहली बार करते समय गलती होना स्वाभाविक है।
脑袋	सिर	उसके सिर में थोड़ा दर्द है।
内部	आंतरिक	यह कंपनी की आंतरिक सामग्री है।
内科	आंतरिक चिकित्सा विभाग	वह आज आंतरिक चिकित्सा विभाग में दिखाने जा रहा है।
嫩	नरम; कोमल	मांस का यह टुकड़ा बहुत नरम है।
能干	काबिल	वह बहुत काबिल व्यक्ति है।
能源	ऊर्जा स्रोत	सौर ऊर्जा एक स्वच्छ ऊर्जा स्रोत है।
嗯	हूँ	हूँ, मुझे समझ आ गया।
年代	दशक; काल	यह तस्वीर अस्सी के दशक में ली गई थी।
年纪	उम्र	उसकी उम्र ज़्यादा नहीं है, पर अनुभव बहुत है।
念	पढ़ना; ज़ोर से पढ़ना	कृपया पाठ एक बार पढ़िए।
宁可	बेहतर समझना	मैं बस का इंतज़ार करने के बजाय पैदल चलना बेहतर समझूँगा।
牛仔裤	जीन्स	उसने जीन्स पहनी है।
农村	गाँव; ग्रामीण इलाक़ा	वह गाँव में पली-बढ़ी।
农民	किसान	किसान खेत में काम कर रहे हैं।
农业	कृषि	कृषि इस क्षेत्र के लिए बहुत महत्वपूर्ण है।
浓	गाढ़ा; तेज़	यह कॉफ़ी बहुत गाढ़ी है।
女士	महिला	वह महिला बस का इंतज़ार कर रही है।
欧洲	यूरोप	वह अगले महीने यूरोप यात्रा पर जा रहा है।
偶然	संयोग से	मैं संयोग से पुराने सहपाठी से मिला।
拍	फ़ोटो लेना; थपथपाना	कृपया मेरी एक तस्वीर खींच दीजिए।
派	भेजना	कंपनी ने उसे काम से शंघाई भेजा।
盼望	आशा करना; इंतज़ार करना	मुझे तुमसे जल्द मिलने की आशा है।
培训	प्रशिक्षण	नए कर्मचारियों को प्रशिक्षण में भाग लेना होगा।
培养	विकसित करना; प्रशिक्षण देना	स्कूल छात्रों की क्षमता विकसित करने पर ज़ोर देता है।
赔偿	मुआवज़ा देना	कंपनी नुकसान का मुआवज़ा देने पर सहमत हुई।
佩服	प्रशंसा करना; सम्मान करना	मैं उसकी हिम्मत की बहुत प्रशंसा करता हूँ।
配合	सहयोग करना	कृपया शिक्षक की व्यवस्था में सहयोग करें।
盆	गमला; पात्र	बालकनी में फूलों का एक गमला है।
碰	छूना; टकराना	सावधान, गरम पानी को मत छूना।
批	खेप; समूह	यह खेप आज पहुँची।
批准	मंज़ूरी देना	मैनेजर ने इस योजना को मंज़ूरी दी।
披	ओढ़ना; कंधे पर डालना	उसने कंधों पर एक कोट डाल रखा है।
疲劳	थकान	लंबे समय तक काम करने से थकान महसूस होती है।
匹	घोड़े के लिए वर्गसूचक	घास पर एक घोड़ा है।
片	टुकड़ा; पतली चीज़ के लिए वर्गसूचक	कृपया मुझे ब्रेड का एक टुकड़ा दीजिए।
片面	एकतरफ़ा	यह दृष्टिकोण बहुत एकतरफ़ा है।
飘	तैरना; उड़ना	बर्फ़ के फाहे हवा में तैर रहे हैं।
拼音	पिनयिन	कृपया चीनी अक्षरों के पास पिनयिन लिखिए।
频道	चैनल	कृपया समाचार चैनल पर बदल दीजिए।
凭	के आधार पर	टिकट के आधार पर प्रवेश किया जा सकता है।
平均	औसतन	औसतन हर व्यक्ति ने दस युआन खर्च किए।
平	समतल	यह सड़क बहुत समतल है।
平安	सुरक्षित	तुम्हारी यात्रा सुरक्षित हो।
平常	आम तौर पर	वह आम तौर पर बहुत कम देर से आता है।
平等	बराबर	हर व्यक्ति के साथ बराबरी का व्यवहार होना चाहिए।
平方	वर्ग	यह कमरा बीस वर्ग मीटर का है।
平衡	संतुलन	काम और जीवन में संतुलन चाहिए।
平静	शांत	झील की सतह बहुत शांत है।
评价	मूल्यांकन	शिक्षक ने बहुत अच्छा मूल्यांकन दिया।
破产	दिवालिया होना	वह कंपनी पिछले साल दिवालिया हो गई।
破坏	नुकसान पहुँचाना; नष्ट करना	कृपया सार्वजनिक संपत्ति को नुकसान न पहुँचाएँ।
迫切	तत्काल; बेहद ज़रूरी	हमें तत्काल और डॉक्टरों की ज़रूरत है।
期待	उम्मीद करना; इंतज़ार करना	मुझे इस यात्रा का बहुत इंतज़ार है।
期间	के दौरान	बैठक के दौरान कृपया मोबाइल बंद रखें।
其余	बाक़ी	बाक़ी सवालों पर कल चर्चा होगी।
奇迹	चमत्कार	डॉक्टर ने कहा कि यह एक चमत्कार है।
企业	उद्यम; कंपनी	यह कंपनी तेज़ी से विकसित हो रही है।
启发	प्रेरणा; संकेत	इस किताब से मुझे बहुत प्रेरणा मिली।
气氛	माहौल	कक्षा का माहौल बहुत सहज है।
汽油	पेट्रोल	गाड़ी में पेट्रोल भरवाना है।
签	हस्ताक्षर करना	कृपया यहाँ अपना नाम लिखकर हस्ताक्षर करें।
谦虚	विनम्र	वह उत्कृष्ट है और बहुत विनम्र भी।
前途	भविष्य; संभावनाएँ	इस विषय का भविष्य अच्छा है।
浅	उथला; हल्का	यह नदी बहुत उथली है।
欠	देना बाकी होना	उस पर अभी भी मेरे बीस युआन बकाया हैं।
枪	बंदूक	पुलिसवाले के हाथ में बंदूक है।
墙	दीवार	दीवार पर एक चित्र टँगा है।
强调	ज़ोर देना	शिक्षक ने सुरक्षा के मुद्दे पर ज़ोर दिया।
强烈	तीव्र; मज़बूत	उसमें ज़िम्मेदारी की बहुत मज़बूत भावना है।
抢	छीनना; झपटना	सीट के लिए दूसरों से छीना-झपटी मत करो।
悄悄	चुपचाप	वह चुपचाप कमरे में चली गई।
瞧	देखना	देखो, बाहर बर्फ़ गिर रही है।
巧妙	चतुर; कुशल	यह तरीका बहुत चतुर है।
切	काटना	कृपया फल को छोटे टुकड़ों में काट दें।
亲爱	प्रिय	प्रिय मित्र, धन्यवाद।
亲切	स्नेहपूर्ण; आत्मीय	शिक्षक बहुत आत्मीय ढंग से बोलते हैं।
亲自	स्वयं	मैनेजर ने स्वयं मेहमानों का स्वागत किया।
勤奋	मेहनती	मेहनती लोग ज़्यादा आसानी से सफल होते हैं।
清淡	हल्का	मुझे हल्के स्वाद वाले व्यंजन पसंद हैं।
轻视	कम समझना	इस छोटी समस्या को कम मत समझो।
轻易	आसानी से	वह आसानी से हार नहीं मानेगा।
青	नीला-हरा	यह कपड़ा नीला-हरा है।
青春	यौवन	यौवन अनमोल होता है।
青少年	किशोर	किशोरों को पर्याप्त नींद चाहिए।
情景	दृश्य; परिस्थिति	फ़िल्म का दृश्य बहुत भावुक है।
情绪	भावना; मनोदशा	उसकी मनोदशा बहुत स्थिर नहीं है।
请求	अनुरोध	उसने एक अनुरोध किया।
庆祝	मनाना	हमने उसका जन्मदिन मनाया।
球迷	खेल-प्रेमी; प्रशंसक	बहुत से प्रशंसक मैच देखने आए।
