hsk_key	source_word	simplified	CS	example_CS	SK	example_SK	HU	example_HU	RO	example_RO	BG	example_BG	HR	example_HR
5164:一帆风顺	一帆风顺	一帆风顺	jít hladce; dařit se bez překážek	Přeji ti, aby ti v nové práci všechno šlo hladce.	ísť hladko; dariť sa bez prekážok	Želám ti, aby ti v novej práci všetko išlo hladko.	simán menni; akadály nélkül sikerülni	Kívánom, hogy minden simán menjen az új munkádban.	a merge bine; fără obstacole	Îți doresc să meargă totul bine la noul serviciu.	върви гладко; без препятствия	Пожелавам ти всичко да върви гладко на новата работа.	ići glatko; bez prepreka	Želim ti da ti na novom poslu sve ide glatko.
5165:一口气	一口气	一口气	jedním dechem; bez přestávky	Vyběhl na vrchol hory bez přestávky.	jedným dychom; bez prestávky	Vybehol na vrchol hory bez prestávky.	egy szuszra; megállás nélkül	Megállás nélkül futott fel a hegy tetejére.	dintr-o suflare; fără oprire	A alergat până în vârful muntelui fără oprire.	на един дъх; без спиране	Той изтича до върха на планината без спиране.	u jednom dahu; bez zaustavljanja	Otrčao je do vrha planine bez zaustavljanja.
5167:一模一样	一模一样	一模一样	úplně stejný	Tyto dvě fotografie vypadají úplně stejně.	úplne rovnaký	Tieto dve fotografie vyzerajú úplne rovnako.	teljesen ugyanolyan	Ez a két fénykép teljesen ugyanolyan.	exact la fel	Aceste două fotografii arată exact la fel.	съвсем еднакъв	Тези две снимки изглеждат съвсем еднакви.	potpuno isti	Ove dvije fotografije izgledaju potpuno isto.
5168:艺人	艺人	艺人	umělec; účinkující	Tento umělec je na jevišti velmi sebejistý.	umelec; účinkujúci	Tento umelec je na javisku veľmi sebavedomý.	előadóművész; művész	Ez az előadóművész nagyon magabiztos a színpadon.	artist; interpret	Acest artist este foarte încrezător pe scenă.	артист; изпълнител	Този артист е много уверен на сцената.	izvođač; umjetnik	Ovaj je izvođač vrlo samouvjeren na pozornici.
5169:一身	一身	一身	celý; od hlavy k patě	Byl celý oblečený v černém.	celý; od hlavy po päty	Bol celý oblečený v čiernom.	teljesen; tetőtől talpig	Teljesen feketébe volt öltözve.	complet; din cap până în picioare	Era îmbrăcat complet în negru.	изцяло; от глава до пети	Той беше облечен изцяло в черно.	cijeli; od glave do pete	Bio je odjeven sav u crno.
5170:一时	一时	一时	na chvíli; dočasně	Na chvíli jsem si nemohl vzpomenout na jeho jméno.	na chvíľu; dočasne	Na chvíľu som si nevedel spomenúť na jeho meno.	egy ideig; átmenetileg	Egy pillanatra nem jutott eszembe a neve.	pentru moment; temporar	Pentru moment nu mi-am putut aminti numele lui.	за момент; временно	За момент не можах да си спомня името му.	na trenutak; privremeno	Na trenutak se nisam mogao sjetiti njegova imena.
5171:一同	一同	一同	společně; spolu	Tento projekt jsme dokončili společně.	spoločne; spolu	Tento projekt sme dokončili spolu.	együtt	Ezt a projektet együtt fejeztük be.	împreună	Am finalizat acest proiect împreună.	заедно	Завършихме този проект заедно.	zajedno	Zajedno smo dovršili ovaj projekt.
5172:易于	易于	易于	snadný k	Tento software se snadno ovládá.	ľahký na	Tento softvér sa ľahko používa.	könnyű	Ezt a szoftvert könnyű kezelni.	ușor de	Acest program este ușor de utilizat.	лесен за	Този софтуер е лесен за използване.	lak za	Ovaj je softver lak za upotrebu.
5173:抑制	抑制	抑制	potlačit; tlumit	Tento lék může tlumit bolest.	potlačiť; tlmiť	Tento liek môže tlmiť bolesť.	elnyomni; csillapítani	Ez a gyógyszer csillapíthatja a fájdalmat.	a reduce; a suprima	Acest medicament poate reduce durerea.	потискам; облекчавам	Това лекарство може да облекчи болката.	suzbiti; ublažiti	Ovaj lijek može ublažiti bol.
5174:因	因	因	kvůli; z důvodu	Schůzka byla odložena kvůli silnému dešti.	kvôli; z dôvodu	Stretnutie bolo odložené pre silný dážď.	miatt	Az értekezletet a nagy eső miatt elhalasztották.	din cauza; datorită	Ședința a fost amânată din cauza ploii puternice.	поради; заради	Срещата беше отложена заради силния дъжд.	zbog	Sastanak je odgođen zbog jake kiše.
5175:音节	音节	音节	slabika	Toto slovo má tři slabiky.	slabika	Toto slovo má tri slabiky.	szótag	Ebben a szóban három szótag van.	silabă	Acest cuvânt are trei silabe.	сричка	Тази дума има три срички.	slog	Ova riječ ima tri sloga.
5177:银牌	银牌	银牌	stříbrná medaile	V soutěži získala stříbrnou medaili.	strieborná medaila	V súťaži získala striebornú medailu.	ezüstérem	A versenyen ezüstérmet nyert.	medalie de argint	A câștigat o medalie de argint la concurs.	сребърен медал	Тя спечели сребърен медал в състезанието.	srebrna medalja	Osvojila je srebrnu medalju na natjecanju.
5178:引	引	引	citovat; uvést	Učitel citoval starou báseň, aby vysvětlil pointu.	citovať; uviesť	Učiteľ citoval starú báseň, aby vysvetlil pointu.	idézni; hivatkozni	A tanár egy régi verset idézett, hogy elmagyarázza a lényeget.	a cita; a menționa	Profesorul a citat o poezie veche pentru a explica ideea.	цитирам; посочвам	Учителят цитира старо стихотворение, за да обясни идеята.	citirati; navesti	Učitelj je citirao staru pjesmu kako bi objasnio poantu.
5179:隐藏	隐藏	隐藏	skrýt	Soubor byl skrytý v systémové složce.	skryť	Súbor bol skrytý v systémovom priečinku.	elrejteni	A fájl a rendszermappában volt elrejtve.	a ascunde	Fișierul era ascuns în folderul de sistem.	скривам	Файлът беше скрит в системната папка.	sakriti	Datoteka je bila skrivena u sistemskoj mapi.
5181:引发	引发	引发	vyvolat; způsobit	Tato zpráva vyvolala živou diskusi.	vyvolať; spôsobiť	Táto správa vyvolala živú diskusiu.	kiváltani; okozni	Ez a hír heves vitát váltott ki.	a declanșa; a provoca	Această știre a declanșat o discuție aprinsă.	предизвиквам	Тази новина предизвика оживена дискусия.	izazvati	Ova je vijest izazvala žustru raspravu.
5182:引入	引入	引入	zavést	Škola plánuje zavést novou vyučovací metodu.	zaviesť	Škola plánuje zaviesť novú vyučovaciu metódu.	bevezetni	Az iskola új tanítási módszert tervez bevezetni.	a introduce	Școala intenționează să introducă o nouă metodă de predare.	въвеждам	Училището планира да въведе нов метод на преподаване.	uvesti	Škola planira uvesti novu nastavnu metodu.
5184:饮用水	饮用水	饮用水	pitná voda	Zdejší pitná voda prošla přísnými testy.	pitná voda	Tunajšia pitná voda prešla prísnymi testami.	ivóvíz	Az itteni ivóvíz szigorú vizsgálatokon ment át.	apă potabilă	Apa potabilă de aici a trecut teste stricte.	питейна вода	Питейната вода тук е преминала строги тестове.	pitka voda	Ovdašnja pitka voda prošla je stroge testove.
5185:印	印	印	vytisknout; natisknout	Prosím, natiskněte sem firemní logo.	vytlačiť; natlačiť	Prosím, vytlačte sem logo firmy.	nyomtatni; rányomni	Kérlek, nyomtasd ide a cég logóját.	a imprima; a tipări	Vă rog să imprimați aici sigla companiei.	печатам; отпечатвам	Моля, отпечатайте тук логото на компанията.	tiskati; otisnuti	Molim vas, ovdje otisnite logotip tvrtke.
5192:用餐	用餐	用餐	jíst; stolovat	Hosté stolují v restauraci.	stolovať; jesť	Hostia stolujú v reštaurácii.	étkezni	A vendégek az étteremben étkeznek.	a lua masa	Oaspeții iau masa la restaurant.	храня се; хранене	Гостите се хранят в ресторанта.	objedovati; jesti	Gosti objeduju u restoranu.
5193:用处	用处	用处	využití; užitek	Tento malý nůž má mnoho využití.	využitie; úžitok	Tento malý nôž má veľa využití.	haszon; felhasználás	Ennek a kis késnek sokféle felhasználása van.	utilitate; folos	Acest cuțit mic are multe utilizări.	полза; употреба	Този малък нож има много приложения.	korist; upotreba	Ovaj mali nož ima mnogo upotreba.
5195:用人	用人	用人	nábor zaměstnanců; práce s lidmi	Tato firma je při náboru zaměstnanců velmi opatrná.	nábor zamestnancov; práca s ľuďmi	Táto firma je pri nábore zamestnancov veľmi opatrná.	munkaerő-felvétel; emberek alkalmazása	Ez a cég nagyon óvatos a munkaerő-felvételnél.	angajarea oamenilor; personal	Compania este foarte atentă când angajează oameni.	подбор на кадри; назначаване	Тази компания е много внимателна при подбора на кадри.	zapošljavanje; odabir kadra	Ova je tvrtka vrlo pažljiva pri zapošljavanju ljudi.
5196:用心	用心	用心	dát si záležet; péče	Je vidět, že si s tímto dárkem někdo dal hodně záležet.	dať si záležať; starostlivosť	Vidno, že si niekto na tomto darčeku veľmi dal záležať.	gondosság; szívvel-lélekkel csinálni	Látszik, hogy sok gondosság van ebben az ajándékban.	grijă; atenție	Se vede că s-a pus multă grijă în acest cadou.	влагам старание; грижа	Личи си, че в този подарък е вложено много старание.	uložiti pažnju; trud	Vidi se da je u ovaj dar uloženo mnogo pažnje.
5197:优化	优化	优化	optimalizovat	Inženýr optimalizuje rychlost systému.	optimalizovať	Inžinier optimalizuje rýchlosť systému.	optimalizálni	A mérnök optimalizálja a rendszer sebességét.	a optimiza	Inginerul optimizează viteza sistemului.	оптимизирам	Инженерът оптимизира скоростта на системата.	optimizirati	Inženjer optimizira brzinu sustava.
5200:由来	由来	由来	původ; vznik	Původ tohoto zvyku je velmi zajímavý.	pôvod; vznik	Pôvod tohto zvyku je veľmi zaujímavý.	eredet	Ennek a szokásnak az eredete nagyon érdekes.	origine; proveniență	Originea acestui obicei este foarte interesantă.	произход	Произходът на този обичай е много интересен.	podrijetlo	Podrijetlo ovog običaja vrlo je zanimljivo.
5201:游人	游人	游人	návštěvníci; turisté	Na jaře je v parku obzvlášť mnoho návštěvníků.	návštevníci; turisti	Na jar je v parku obzvlášť veľa návštevníkov.	látogatók; turisták	Tavasszal különösen sok látogató van a parkban.	vizitatori; turiști	Primăvara sunt deosebit de mulți vizitatori în parc.	посетители; туристи	През пролетта в парка има особено много посетители.	posjetitelji; turisti	U proljeće u parku ima osobito mnogo posjetitelja.
5203:有机	有机	有机	biologický; ekologický	Tato farma prodává pouze ekologickou zeleninu.	biologický; ekologický	Táto farma predáva iba ekologickú zeleninu.	bio; organikus	Ez a gazdaság csak biozöldségeket árul.	organic; ecologic	Această fermă vinde doar legume organice.	органичен; екологичен	Тази ферма продава само органични зеленчуци.	ekološki; organski	Ova farma prodaje samo ekološko povrće.
5204:有劲	有劲	有劲	zajímavý; plný energie	Čím déle se tento film sleduje, tím je zajímavější.	zaujímavý; plný energie	Čím dlhšie tento film sledujete, tým je zaujímavejší.	érdekes; lendületes	Ez a film annál érdekesebb, minél tovább nézi az ember.	interesant; plin de energie	Acest film devine tot mai interesant pe măsură ce îl urmărești.	интересен; енергичен	Този филм става все по-интересен, колкото повече го гледаш.	zanimljiv; pun energije	Ovaj film postaje sve zanimljiviji što ga dulje gledaš.
5205:有序	有序	有序	uspořádaný; v pořádku	Publikum vstoupilo do sálu spořádaně.	usporiadaný; v poriadku	Publikum vstúpilo do sály usporiadane.	rendezett	A közönség rendezetten ment be a helyszínre.	ordonat	Publicul a intrat în sală în mod ordonat.	подреден; организиран	Публиката влезе в залата подредено.	uredan; organiziran	Publika je uredno ušla u dvoranu.
5206:于	于	于	v; při	Schůzka začíná v devět hodin ráno.	o; pri	Stretnutie sa začína o deviatej ráno.	-kor; -ban/-ben	Az értekezlet reggel kilenc órakor kezdődik.	la; în	Ședința începe la ora nouă dimineața.	в; при	Срещата започва в девет сутринта.	u; na	Sastanak počinje u devet ujutro.
5207:余额	余额	余额	zůstatek	Nejprve prosím zkontrolujte zůstatek na bankovní kartě.	zostatok	Najprv prosím skontrolujte zostatok na bankovej karte.	egyenleg	Először ellenőrizd a bankkártya egyenlegét.	sold	Vă rog să verificați mai întâi soldul cardului bancar.	салдо	Моля, първо проверете салдото по банковата карта.	stanje računa	Prvo provjerite stanje na bankovnoj kartici.
5210:预定	预定	预定	rezervovat	Už jsem rezervoval místa na zítřejší večer.	rezervovať	Už som rezervoval miesta na zajtrajší večer.	lefoglalni	Már lefoglaltam a helyeket holnap estére.	a rezerva	Am rezervat deja locuri pentru mâine seară.	резервирам	Вече резервирах места за утре вечер.	rezervirati	Već sam rezervirao mjesta za sutra navečer.
5213:浴室	浴室	浴室	koupelna	Podlaha v koupelně je trochu kluzká.	kúpeľňa	Podlaha v kúpeľni je trochu šmykľavá.	fürdőszoba	A fürdőszoba padlója kissé csúszós.	baie	Podeaua din baie este puțin alunecoasă.	баня	Подът в банята е малко хлъзгав.	kupaonica	Pod kupaonice je malo sklizak.
5215:原本	原本	原本	původně; zpočátku	Původně jsem plánoval jet o víkendu do Pekingu.	pôvodne; spočiatku	Pôvodne som plánoval ísť cez víkend do Pekingu.	eredetileg	Eredetileg azt terveztem, hogy hétvégén Pekingbe megyek.	inițial; la început	Inițial plănuiam să merg la Beijing în weekend.	първоначално	Първоначално планирах да отида в Пекин през уикенда.	izvorno; prvotno	Prvotno sam planirao za vikend otići u Peking.
5216:原材料	原材料	原材料	suroviny	Továrna potřebuje stabilní dodávky surovin.	suroviny	Továreň potrebuje stabilné dodávky surovín.	alapanyagok	A gyárnak stabil alapanyag-ellátásra van szüksége.	materii prime	Fabrica are nevoie de o aprovizionare stabilă cu materii prime.	суровини	Фабриката се нуждае от стабилни доставки на суровини.	sirovine	Tvornici je potrebna stabilna opskrba sirovinama.
5224:元宵	元宵	元宵	yuanxiao; rýžové kuličky na Svátek lampionů	Na Svátek lampionů jsme jedli yuanxiao.	yuanxiao; ryžové guľky na Sviatok lampiónov	Na Sviatok lampiónov sme jedli yuanxiao.	yuanxiao; rizsgombóc a lampionünnepre	A lampionünnep napján yuanxiaót ettünk.	yuanxiao; bile de orez pentru Festivalul Lampioanelor	Am mâncat yuanxiao în ziua Festivalului Lampioanelor.	юансяо; оризови топчета за Фестивала на фенерите	На Фестивала на фенерите ядохме юансяо.	yuanxiao; rižine kuglice za Festival lampiona	Na dan Festivala lampiona jeli smo yuanxiao.
5225:源于	源于	源于	pocházet z; vycházet z	Tato tradice pochází ze starověkého svátku.	pochádzať z; vychádzať z	Táto tradícia pochádza zo starovekého sviatku.	eredni valamiből	Ez a hagyomány egy ősi ünnepből ered.	a proveni din; a izvorî din	Această tradiție provine dintr-un festival antic.	произхождам от	Тази традиция произхожда от древен празник.	poticati iz	Ova tradicija potječe iz drevnog blagdana.
5226:远程	远程	远程	vzdálený; na dálku	Firma zařídila pohovor na dálku.	vzdialený; na diaľku	Firma zariadila pohovor na diaľku.	távoli; online	A cég távoli interjút szervezett.	la distanță	Compania a organizat un interviu la distanță.	дистанционен	Компанията организира дистанционно интервю.	na daljinu; udaljen	Tvrtka je organizirala razgovor na daljinu.
5227:远方	远方	远方	dálka; vzdálené místo	Často myslí na svou rodinu daleko odtud.	diaľka; vzdialené miesto	Často myslí na svoju rodinu ďaleko odtiaľto.	távol; távoli hely	Gyakran gondol a távol élő családjára.	depărtare; loc îndepărtat	Se gândește adesea la familia lui aflată departe.	далечина; далечно място	Той често мисли за семейството си в далечината.	daljina; udaljeno mjesto	Često misli na svoju obitelj daleko odavde.
5229:月光	月光	月光	měsíční světlo	Měsíční světlo svítilo na tiché jezero.	mesačné svetlo	Mesačné svetlo svietilo na tiché jazero.	holdfény	A holdfény a csendes tóra sütött.	lumina lunii	Lumina lunii strălucea pe lacul liniștit.	лунна светлина	Лунната светлина огряваше тихото езеро.	mjesečina	Mjesečina je obasjavala mirno jezero.
5231:月球	月球	月球	Měsíc; měsíční těleso	Vědci zkoumají povrch Měsíce.	Mesiac; mesačné teleso	Vedci skúmajú povrch Mesiaca.	Hold; égitest	A tudósok a Hold felszínét tanulmányozzák.	Lună; glob lunar	Oamenii de știință studiază suprafața Lunii.	Луна; лунно тяло	Учените изследват повърхността на Луната.	Mjesec; mjesečevo tijelo	Znanstvenici proučavaju površinu Mjeseca.
5232:乐曲	乐曲	乐曲	hudební skladba	Tato hudební skladba zní velmi krásně.	hudobná skladba	Táto hudobná skladba znie veľmi krásne.	zenemű; zenei darab	Ez a zenemű nagyon szépen szól.	piesă muzicală	Această piesă muzicală sună foarte frumos.	музикална пиеса	Тази музикална пиеса звучи много красиво.	glazbena skladba	Ova glazbena skladba zvuči vrlo lijepo.
5234:晕车	晕车	晕车	trpět nevolností z jízdy	Při dlouhých cestách autobusem se jí snadno dělá špatně.	trpieť nevoľnosťou z jazdy	Pri dlhých cestách autobusom jej ľahko býva zle.	rosszul lenni járműben; utazási rosszullét	Hosszú buszutakon könnyen rosszul lesz.	a avea rău de mașină	Pe drumurile lungi cu autobuzul i se face ușor rău.	прилошава ми при пътуване	На дълги пътувания с автобус лесно ѝ прилошава.	patiti od mučnine u vožnji	Lako joj pozli na dugim vožnjama autobusom.
5235:运送	运送	运送	přepravit; dopravit	Tyto zásoby budou dopraveny do oblasti katastrofy.	prepraviť; dopraviť	Tieto zásoby budú dopravené do oblasti katastrofy.	szállítani	Ezeket a készleteket a katasztrófa sújtotta területre szállítják.	a transporta	Aceste provizii vor fi transportate în zona dezastrului.	превозвам; транспортирам	Тези доставки ще бъдат транспортирани до бедствената зона.	prevoziti; dostaviti	Ove će zalihe biti prevezene u područje katastrofe.
5237:运营	运营	运营	provoz; provozovat	Tuto platformu provozuje profesionální tým.	prevádzka; prevádzkovať	Túto platformu prevádzkuje profesionálny tím.	üzemeltetés; működtetés	Ezt a platformot egy profi csapat üzemelteti.	operare; administrare	Această platformă este operată de o echipă profesionistă.	операция; управление	Тази платформа се управлява от професионален екип.	operativno upravljanje; voditi	Ovom platformom upravlja profesionalni tim.
5238:杂	杂	杂	různý; smíšený	V této zásuvce je mnoho různých drobností.	rôzny; zmiešaný	V tejto zásuvke je veľa rôznych drobností.	vegyes; különféle	Ebben a fiókban sok vegyes holmi van.	divers; amestecat	În acest sertar sunt multe obiecte diverse.	различен; смесен	В това чекмедже има много различни вещи.	raznolik; miješan	U ovoj ladici ima mnogo raznih stvari.
5239:灾	灾	灾	katastrofa; pohroma	Tato katastrofa způsobila vesnici velké ztráty.	katastrofa; pohroma	Táto katastrofa spôsobila dedine veľké straty.	katasztrófa; csapás	Ez a katasztrófa nagy veszteségeket okozott a falunak.	dezastru; nenorocire	Acest dezastru a provocat pierderi mari satului.	бедствие; катастрофа	Това бедствие причини големи загуби на селото.	katastrofa; nesreća	Ova je katastrofa nanijela selu velike gubitke.
5242:灾区	灾区	灾区	oblast katastrofy	Dobrovolníci dopravili jídlo do oblasti katastrofy.	oblasť katastrofy	Dobrovoľníci dopravili jedlo do oblasti katastrofy.	katasztrófa sújtotta terület	Az önkéntesek élelmiszert vittek a katasztrófa sújtotta területre.	zonă de dezastru	Voluntarii au livrat alimente în zona dezastrului.	бедствена зона	Доброволците доставиха храна в бедствената зона.	područje katastrofe	Volonteri su dostavili hranu u područje katastrofe.
5244:再生	再生	再生	recyklace; opětovné využití	Tyto materiály lze recyklovat a znovu použít.	recyklácia; opätovné využitie	Tieto materiály sa dajú recyklovať a znovu použiť.	újrahasznosítás; újjáteremtés	Ezek az anyagok újrahasznosíthatók és ismét felhasználhatók.	reciclare; regenerare	Aceste materiale pot fi reciclate și reutilizate.	рециклиране; повторна употреба	Тези материали могат да се рециклират и използват повторно.	recikliranje; ponovna upotreba	Ovi se materijali mogu reciklirati i ponovno upotrijebiti.
5246:赞赏	赞赏	赞赏	oceňovat; obdivovat	Učitel ocenil jeho seriózní přístup.	oceňovať; obdivovať	Učiteľ ocenil jeho seriózny prístup.	értékelni; elismerni	A tanár értékelte a komoly hozzáállását.	a aprecia; a admira	Profesorul a apreciat atitudinea lui serioasă.	оценявам; възхищавам се	Учителят оцени сериозното му отношение.	cijeniti; diviti se	Učitelj je cijenio njegov ozbiljan pristup.
5247:赞同	赞同	赞同	souhlasit; podporovat	Většina členů s tímto rozhodnutím souhlasí.	súhlasiť; podporovať	Väčšina členov s týmto rozhodnutím súhlasí.	egyetérteni; támogatni	A legtöbb tag egyetért ezzel a döntéssel.	a fi de acord; a susține	Majoritatea membrilor sunt de acord cu această decizie.	съгласявам се; подкрепям	Повечето членове са съгласни с това решение.	slagati se; podržavati	Većina članova slaže se s ovom odlukom.
5248:遭到	遭到	遭到	setkat se s; utrpět	Tento plán se setkal s určitým odporem.	stretnúť sa s; utrpieť	Tento plán sa stretol s určitým odporom.	érni; elszenvedni	Ez a terv némi ellenállásba ütközött.	a întâmpina; a suferi	Acest plan a întâmpinat o anumită opoziție.	срещам; подложен съм на	Този план срещна известна съпротива.	naići na; pretrpjeti	Ovaj je plan naišao na određeno protivljenje.
5251:噪声	噪声	噪声	hluk	Hluk ze stavby ovlivnil okolní obyvatele.	hluk	Hluk zo stavby ovplyvnil okolitých obyvateľov.	zaj; lárma	Az építkezési zaj hatott a környék lakóira.	zgomot	Zgomotul construcției i-a afectat pe locuitorii din apropiere.	шум	Строителният шум засегна близките жители.	buka	Građevinska buka utjecala je na obližnje stanovnike.
5255:炸	炸	炸	vybuchnout	Petarda náhle vybuchla a všichni se lekli.	vybuchnúť	Petarda náhle vybuchla a všetci sa zľakli.	felrobbanni; robbantani	A petárda hirtelen felrobbant, és mindenki megijedt.	a exploda	Petarda a explodat brusc și toată lumea s-a speriat.	избухвам; експлодирам	Пиратката внезапно избухна и всички се стреснаха.	eksplodirati	Petarda je iznenada eksplodirala i svi su se prestrašili.
5256:粘	粘	粘	přilepit; lepit	Lepidlo slepilo papíry dohromady.	prilepiť; lepiť	Lepidlo zlepilo papiere dokopy.	ragasztani; tapadni	A ragasztó összeragasztotta a papírokat.	a lipi; a se lipi	Adezivul a lipit hârtiile între ele.	залепвам	Лепилото залепи хартията заедно.	zalijepiti; lijepiti	Ljepilo je zalijepilo papire zajedno.
5259:占比	占比	占比	podíl; procentuální zastoupení	Podíl online prodeje už přesáhl polovinu.	podiel; percentuálne zastúpenie	Podiel online predaja už presiahol polovicu.	arány; részarány	Az online értékesítés aránya már meghaladta az ötven százalékot.	pondere; proporție	Ponderea vânzărilor online a depășit deja jumătate.	дял; процентно съотношение	Делът на онлайн продажбите вече надхвърли половината.	udio; postotak	Udio internetske prodaje već je premašio polovicu.
5262:战胜	战胜	战胜	překonat; zvítězit nad	Nakonec překonali všechny obtíže.	prekonať; zvíťaziť nad	Nakoniec prekonali všetky ťažkosti.	legyőzni; leküzdeni	Végül minden nehézséget leküzdöttek.	a învinge; a depăși	În cele din urmă au depășit toate dificultățile.	побеждавам; преодолявам	Накрая те преодоляха всички трудности.	pobijediti; prevladati	Na kraju su prevladali sve poteškoće.
5263:占有	占有	占有	vlastnit; zaujímat	Tato firma má velký podíl na trhu.	vlastniť; zaberať	Táto firma má veľký podiel na trhu.	birtokolni; elfoglalni	Ez a vállalat nagy piaci részesedéssel rendelkezik.	a deține; a ocupa	Această companie deține o cotă mare de piață.	притежавам; заемам	Тази компания притежава голям пазарен дял.	posjedovati; zauzimati	Ova tvrtka ima velik tržišni udio.
5265:章	章	章	kapitola	Prosím, přečtěte si obsah třetí kapitoly.	kapitola	Prosím, prečítajte si obsah tretej kapitoly.	fejezet	Kérlek, olvasd el a harmadik fejezet tartalmát.	capitol	Vă rog să citiți conținutul capitolului trei.	глава	Моля, прочетете съдържанието на трета глава.	poglavlje	Molim vas, pročitajte sadržaj trećeg poglavlja.
5268:账单	账单	账单	účet	Číšník položil účet na stůl.	účet	Čašník položil účet na stôl.	számla	A pincér letette a számlát az asztalra.	notă de plată; factură	Chelnerul a pus nota de plată pe masă.	сметка	Сервитьорът сложи сметката на масата.	račun	Konobar je stavio račun na stol.
5269:招	招	招	nabírat; přijímat	Firma nabírá nové zaměstnance.	naberať; prijímať	Firma prijíma nových zamestnancov.	toborozni; felvenni	A vállalat új alkalmazottakat toboroz.	a recruta; a angaja	Compania recrutează angajați noi.	набирам; назначавам	Компанията набира нови служители.	regrutirati; zapošljavati	Tvrtka zapošljava nove zaposlenike.
5271:招生	招生	招生	nábor studentů; přijímání žáků	Tato škola letos plánuje přijmout pět set studentů.	nábor študentov; prijímanie žiakov	Táto škola plánuje tento rok prijať päťsto študentov.	diákfelvétel	Az iskola idén ötszáz diák felvételét tervezi.	înscriere de elevi; admitere	Școala aceasta intenționează să înscrie cinci sute de elevi anul acesta.	прием на ученици	Това училище планира да приеме петстотин ученици тази година.	upis učenika	Ova škola ove godine planira upisati petsto učenika.
5272:招手	招手	招手	mávat; pokynout	Na nádraží nám mávala.	mávať; zakývať	Na stanici nám kývala.	inteni; integetni	Az állomáson integetett nekünk.	a face cu mâna	Ne-a făcut cu mâna la gară.	махам с ръка	Тя ни махна с ръка на гарата.	mahnuti; domahnuti	Mahnula nam je na stanici.
5274:照明	照明	照明	osvětlení	Osvětlení v této místnosti je velmi dobré.	osvetlenie	Osvetlenie v tejto miestnosti je veľmi dobré.	világítás	Ennek a szobának nagyon jó a világítása.	iluminat	Iluminatul din această cameră este foarte bun.	осветление	Осветлението в тази стая е много добро.	rasvjeta	Rasvjeta u ovoj sobi vrlo je dobra.
5276:针	针	针	jehla; injekce	Zdravotní sestra dala pacientovi injekci.	ihla; injekcia	Zdravotná sestra dala pacientovi injekciu.	tű; injekció	A nővér injekciót adott a betegnek.	ac; injecție	Asistenta i-a făcut pacientului o injecție.	игла; инжекция	Медицинската сестра постави инжекция на пациента.	igla; injekcija	Medicinska sestra dala je pacijentu injekciju.
5280:镇	镇	镇	městečko; obec	Toto městečko leží blízko moře.	mestečko; obec	Toto mestečko leží blízko mora.	kisváros; település	Ez a kisváros a tenger közelében van.	orășel; localitate	Acest orășel este aproape de mare.	градче; селище	Това градче е близо до морето.	gradić; naselje	Ovaj je gradić blizu mora.
5281:阵雨	阵雨	阵雨	přeháňka; krátký déšť	Odpoledne se mohou objevit přeháňky.	preprška; krátky dážď	Popoludní sa môžu objaviť prehánky.	zápor; futó eső	Délután záporok lehetnek.	aversă	După-amiază pot apărea averse.	краткотраен дъжд; преваляване	Следобед може да има превалявания.	pljusak; kratkotrajna kiša	Poslijepodne može biti pljuskova.
5283:争吵	争吵	争吵	hádat se; spor	Začali se hádat kvůli maličkosti.	hádať sa; spor	Začali sa hádať pre maličkosť.	veszekedni; vita	Egy apróság miatt veszekedni kezdtek.	a se certa; ceartă	Au început să se certe din cauza unui lucru mărunt.	карам се; спор	Те започнаха да се карат за дреболия.	svađati se; svađa	Počeli su se svađati zbog sitnice.
5290:正面	正面	正面	přední strana; líc	Prosím, položte fotografii přední stranou nahoru.	predná strana; líc	Prosím, položte fotografiu prednou stranou nahor.	elülső oldal; szín	Kérlek, helyezd a fénykép elülső oldalát felfelé.	față; partea din față	Vă rog să așezați fotografia cu fața în sus.	лицева страна	Моля, поставете снимката с лицевата страна нагоре.	prednja strana; lice	Molim vas, stavite fotografiju prednjom stranom prema gore.
5299:之所以	之所以	之所以	důvod, proč	Důvod, proč přišel pozdě, byl dopravní zácpa na cestě.	dôvod, prečo	Dôvod, prečo meškal, bola zápcha na ceste.	az ok, amiért	Azért késett, mert útközben dugó volt.	motivul pentru care	Motivul pentru care a întârziat a fost traficul de pe drum.	причината, поради която	Причината да закъснее беше задръстването по пътя.	razlog zašto	Razlog zašto je kasnio bila je gužva na putu.
5303:职员	职员	职员	zaměstnanec; pracovník	Všichni zaměstnanci firmy se zúčastnili školení.	zamestnanec; pracovník	Všetci zamestnanci firmy sa zúčastnili školenia.	alkalmazott; dolgozó	A vállalat minden alkalmazottja részt vett a képzésen.	angajat; funcționar	Toți angajații companiei au participat la instruire.	служител	Всички служители на компанията участваха в обучението.	zaposlenik; službenik	Svi zaposlenici tvrtke sudjelovali su u obuci.
5304:职责	职责	职责	povinnost; odpovědnost	Povinností lékaře je chránit zdraví pacientů.	povinnosť; zodpovednosť	Povinnosťou lekára je chrániť zdravie pacientov.	kötelesség; felelősség	Az orvos kötelessége a betegek egészségének védelme.	responsabilitate; îndatorire	Responsabilitatea unui medic este să protejeze sănătatea pacienților.	задължение; отговорност	Задължението на лекаря е да пази здравето на пациентите.	dužnost; odgovornost	Dužnost liječnika je štititi zdravlje pacijenata.
