simplified	KN	example_KN
发射	ಉಡಾಯಿಸುವುದು	ರಾಕೆಟ್ ಸಂಜೆ ಉಡಾಯಿಸಲಾಗುತ್ತದೆ.
发誓	ಪ್ರಮಾಣ ಮಾಡುವುದು	ಅವನು ಮತ್ತೆ ಎಂದಿಗೂ ಸುಳ್ಳು ಹೇಳುವುದಿಲ್ಲ ಎಂದು ಪ್ರಮಾಣ ಮಾಡಿದ.
发行	ಪ್ರಕಟಿಸುವುದು	ಈ ಚಲನಚಿತ್ರವನ್ನು ಮುಂದಿನ ತಿಂಗಳು ಬಿಡುಗಡೆ ಮಾಡಲಾಗುತ್ತದೆ.
发炎	ಉರಿಯೂತವಾಗುವುದು	ಗಾಯಕ್ಕೆ ಸ್ವಲ್ಪ ಉರಿಯೂತವಾಗಿದೆ.
发扬	ಮುಂದುವರಿಸಿ ಬೆಳೆಸುವುದು	ನಾವು ತಂಡಸಹಕಾರದ ಮನೋಭಾವವನ್ನು ಮುಂದುವರಿಸಿ ಬೆಳೆಸಬೇಕು.
发育	ಬೆಳವಣಿಗೆ	ಮಕ್ಕಳ ದೈಹಿಕ ಬೆಳವಣಿಗೆಗೆ ಸಾಕಷ್ಟು ಪೋಷಣೆಯ ಅಗತ್ಯವಿದೆ.
法人	ಕಾನೂನು ವ್ಯಕ್ತಿ	ಈ ಕಂಪನಿ ಸ್ವತಂತ್ರ ಕಾನೂನು ವ್ಯಕ್ತಿ.
番	ಮಾತಿನ ಅಥವಾ ಘಟನೆಯ ಸಾರಿ	ಈ ಮಾತುಗಳು ನನಗೆ ಬಹಳ ಪ್ರೇರಣೆ ನೀಡಿದವು.
凡是	ಯಾವುದೇ ಆಗಿರಲಿ	ನೋಂದಾಯಿಸಿದ ಯಾರೇ ಆಗಿರಲಿ ತರಬೇತಿಯಲ್ಲಿ ಭಾಗವಹಿಸಬೇಕು.
繁华	ಗದ್ದಲಗದ್ದಲದ ಸಮೃದ್ಧ	ಈ ಬೀದಿ ಹಿಂದೊಮ್ಮೆ ತುಂಬಾ ಗದ್ದಲಗದ್ದಲದ ಸಮೃದ್ಧವಾಗಿತ್ತು.
繁忙	ತುಂಬಾ ಬ್ಯಸ್ತ	ರಜಾದಿನಗಳಲ್ಲಿ ವಿಮಾನ ನಿಲ್ದಾಣ ತುಂಬಾ ಬ್ಯಸ್ತವಾಗಿರುತ್ತದೆ.
繁体字	ಪಾರಂಪರಿಕ ಚೀನೀ ಅಕ್ಷರ	ತೈವಾನ್ ಪ್ರದೇಶದಲ್ಲಿ ಪಾರಂಪರಿಕ ಚೀನೀ ಅಕ್ಷರಗಳನ್ನು ಸಾಮಾನ್ಯವಾಗಿ ಬಳಸುತ್ತಾರೆ.
繁殖	ಸಂತಾನೋತ್ಪತ್ತಿ ಮಾಡುವುದು	ಈ ಸಸ್ಯವು ಸುಲಭವಾಗಿ ಸಂತಾನೋತ್ಪತ್ತಿ ಮಾಡುತ್ತದೆ.
反驳	ಖಂಡಿಸುವುದು	ಅವನು ಅಂಕಿಅಂಶಗಳಿಂದ ಈ ಅಭಿಪ್ರಾಯವನ್ನು ಖಂಡಿಸಿದ.
反常	ಅಸಾಮಾನ್ಯ	ಇಂದಿನ ಹವಾಮಾನ ಸ್ವಲ್ಪ ಅಸಾಮಾನ್ಯವಾಗಿದೆ.
反感	ಅಸಹ್ಯ ಭಾವ	ಈ ರೀತಿಯ ಜಾಹೀರಾತಿನ ಬಗ್ಗೆ ನನಗೆ ಅಸಹ್ಯ ಭಾವ ಇದೆ.
反抗	ಪ್ರತಿಬಂಧಿಸುವುದು	ಜನರು ಅನ್ಯಾಯವಾದ ನಿಯಮವನ್ನು ಪ್ರತಿಬಂಧಿಸಲು ಆರಂಭಿಸಿದರು.
反馈	ಪ್ರತಿಕ್ರಿಯೆ	ಗ್ರಾಹಕರ ಪ್ರತಿಕ್ರಿಯೆಯಂತೆ ವ್ಯವಸ್ಥೆ ಬಹಳ ಸ್ಥಿರವಾಗಿದೆ.
反面	ಹಿಂಭಾಗ	ದಯವಿಟ್ಟು ಕಾಗದವನ್ನು ಹಿಂಭಾಗಕ್ಕೆ ತಿರುಗಿಸಿ.
反射	ಪ್ರತಿಫಲಿಸುವುದು	ಕನ್ನಡಿ ಬೆಳಕನ್ನು ಪ್ರತಿಫಲಿಸುತ್ತದೆ.
反思	ಪರಿಶೀಲಿಸಿ ಯೋಚಿಸುವುದು	ವಿಫಲವಾದ ನಂತರ ಅವನು ಕಾರಣಗಳನ್ನು ಗಂಭೀರವಾಗಿ ಪರಿಶೀಲಿಸಿ ಯೋಚಿಸಿದ.
反问	ಪ್ರತಿಯಾಗಿ ಪ್ರಶ್ನಿಸುವುದು	ಅವನು ಉತ್ತರಿಸದೆ ನನಗೆ ಪ್ರತಿಯಾಗಿ ಒಂದು ಪ್ರಶ್ನೆ ಕೇಳಿದ.
反之	ಇದಕ್ಕೆ ವಿರುದ್ಧವಾಗಿ	ಬೆಲೆ ತುಂಬಾ ಹೆಚ್ಚಾದರೆ ಬೇಡಿಕೆ ಕಡಿಮೆಯಾಗುತ್ತದೆ, ಇದಕ್ಕೆ ವಿರುದ್ಧವಾದುದೂ ಹಾಗೆಯೇ.
泛滥	ಉಕ್ಕಿ ಹರಿಯುವುದು	ಭಾರೀ ಮಳೆಯು ನದಿನೀರನ್ನು ಉಕ್ಕಿ ಹರಿಯುವಂತೆ ಮಾಡಿತು.
范畴	ವರ್ಗ	ಈ ಸಮಸ್ಯೆ ಕಾನೂನು ವರ್ಗಕ್ಕೆ ಸೇರುತ್ತದೆ.
贩卖	ಮಾರಾಟ ಮಾಡುವುದು	ಕಾನೂನು ನಕಲಿ ಔಷಧಿ ಮಾರಾಟವನ್ನು ನಿಷೇಧಿಸುತ್ತದೆ.
方位	ದಿಕ್ಕು	ನಕ್ಷೆಯಲ್ಲಿ ನಿಖರ ದಿಕ್ಕು ಗುರುತಿಸಲಾಗಿದೆ.
方言	ಪ್ರಾದೇಶಿಕ ಭಾಷೆ	ಅವನು ಸ್ಥಳೀಯ ಪ್ರಾದೇಶಿಕ ಭಾಷೆಯನ್ನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳಬಲ್ಲನು.
方圆	ಸುತ್ತಮುತ್ತಲಿನ ವ್ಯಾಪ್ತಿ	ಸುತ್ತಮುತ್ತ ಹತ್ತು ಕಿಲೋಮೀಟರ್ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಆಸ್ಪತ್ರೆ ಇಲ್ಲ.
方针	ನೀತಿ ಮಾರ್ಗದರ್ಶಿ	ಕಂಪನಿಯು ಹೊಸ ಅಭಿವೃದ್ಧಿ ನೀತಿ ಮಾರ್ಗದರ್ಶಿಯನ್ನು ರೂಪಿಸಿತು.
防守	ರಕ್ಷಣಾತ್ಮಕ ಆಟ	ಈ ತಂಡದ ರಕ್ಷಣಾತ್ಮಕ ಆಟ ತುಂಬಾ ಸ್ಥಿರವಾಗಿದೆ.
防御	ರಕ್ಷಣೆ	ನಗರಗೋಡೆಯನ್ನು ಹಿಂದೆ ಶತ್ರುಗಳ ವಿರುದ್ಧ ರಕ್ಷಣೆಗೆ ಬಳಸಲಾಗುತ್ತಿತ್ತು.
防止	ತಡೆಗಟ್ಟುವುದು	ಗಾಯವಾಗದಂತೆ ದಯವಿಟ್ಟು ಸುರಕ್ಷತಾ ಪಟ್ಟಿಯನ್ನು ಕಟ್ಟಿಕೊಳ್ಳಿ.
防治	ತಡೆ ಮತ್ತು ಚಿಕಿತ್ಸೆ	ವೈದ್ಯರು ರೋಗದ ತಡೆ ಮತ್ತು ಚಿಕಿತ್ಸೆಯ ವಿಧಾನಗಳನ್ನು ವಿವರಿಸಿದರು.
纺织	ನೂಲು ಮತ್ತು ನೆಯ್ಗೆ	ಈ ನಗರವು ನೂಲು ಮತ್ತು ನೆಯ್ಗೆ ಉದ್ಯಮಕ್ಕೆ ಪ್ರಸಿದ್ಧ.
访问	ಭೇಟಿ ನೀಡುವುದು	ವರದಿಗಾರನು ನಾಳೆ ಈ ಲೇಖಕರನ್ನು ಭೇಟಿ ಮಾಡುತ್ತಾನೆ.
放大	ದೊಡ್ಡದಾಗಿಸುವುದು	ದಯವಿಟ್ಟು ಚಿತ್ರವನ್ನು ಸ್ವಲ್ಪ ದೊಡ್ಡದಾಗಿಸಿ.
放射	ಕಿರಣ ಹೊರಹಾಕುವುದು	ಈ ವಸ್ತು ಉಷ್ಣತೆಯನ್ನು ಕಿರಣವಾಗಿ ಹೊರಹಾಕುತ್ತದೆ.
非法	ಕಾನೂನುಬಾಹಿರ	ಕಾನೂನುಬಾಹಿರ ವಹಿವಾಟಿಗೆ ಶಿಕ್ಷೆ ವಿಧಿಸಲಾಗುತ್ತದೆ.
飞禽走兽	ಹಕ್ಕಿಗಳು ಮತ್ತು ಕಾಡುಪ್ರಾಣಿಗಳು	ಕಾಡಿನಲ್ಲಿ ವಿವಿಧ ಹಕ್ಕಿಗಳು ಮತ್ತು ಕಾಡುಪ್ರಾಣಿಗಳು ವಾಸಿಸುತ್ತವೆ.
飞翔	ಹಾರಾಡುವುದು	ಸಮುದ್ರಗಂಗಗಳು ಸಮುದ್ರದ ಮೇಲೆ ಹಾರಾಡುತ್ತಿವೆ.
飞跃	ದೊಡ್ಡ ಜಿಗಿತ	ತಂತ್ರಜ್ಞಾನ ಅಭಿವೃದ್ಧಿಯು ದೊಡ್ಡ ಜಿಗಿತ ಸಾಧಿಸಿತು.
肥沃	ಸಾರವತ್ತಾದ	ಈ ಭೂಮಿ ತುಂಬಾ ಸಾರವತ್ತಾಗಿದೆ.
诽谤	ನಿಂದನೆ ಮಾಡುವುದು	ಇತರರನ್ನು ನಿಂದಿಸಿದರೆ ಕಾನೂನು ಜವಾಬ್ದಾರಿ ಹೊರುವಬೇಕು.
废除	ರದ್ದುಪಡಿಸುವುದು	ಈ ಹಳೆಯ ನಿಯಮವನ್ನು ಈಗಾಗಲೇ ರದ್ದುಪಡಿಸಲಾಗಿದೆ.
废寝忘食	ನಿದ್ರೆ ಊಟವನ್ನೂ ಮರೆತು ತೊಡಗುವುದು	ಅವನು ಸಂಶೋಧನೆಯಲ್ಲಿ ನಿದ್ರೆ ಊಟವನ್ನೂ ಮರೆತು ತೊಡಗಿದ್ದ.
废墟	ಅವಶೇಷ	ಭೂಕಂಪದ ನಂತರ ಆ ಸ್ಥಳ ಅವಶೇಷವಾಯಿತು.
沸腾	ಕುದಿಯುವುದು	ನೀರು ಈಗಾಗಲೇ ಕುದಿದಿದೆ.
肺	ಶ್ವಾಸಕೋಶ	ಧೂಮಪಾನ ಶ್ವಾಸಕೋಶಕ್ಕೆ ಹಾನಿ ಮಾಡುತ್ತದೆ.
分辨	ಭೇದಿಸುವುದು	ಈ ಎರಡು ಬಣ್ಣಗಳನ್ನು ಭೇದಿಸುವುದು ನನಗೆ ಕಷ್ಟ.
分寸	ಮಿತಿ ಜ್ಞಾನ	ವಿನೋದ ಮಾಡಿದರೂ ಮಿತಿ ಜ್ಞಾನ ಇರಬೇಕು.
分红	ಲಾಭಾಂಶ	ಷೇರುದಾರರು ವರ್ಷದ ಕೊನೆಯಲ್ಲಿ ಲಾಭಾಂಶ ಪಡೆಯಬಹುದು.
分解	ವಿಭಜಿಸುವುದು	ಶಿಕ್ಷಕರು ಸಂಕೀರ್ಣ ಸಮಸ್ಯೆಯನ್ನು ಕೆಲವು ಹಂತಗಳಾಗಿ ವಿಭಜಿಸಿದರು.
分裂	ವಿಭಜನೆ	ಆಂತರಿಕ ವಿರೋಧಾಭಾಸಗಳು ಸಂಘಟನೆಯ ವಿಭಜನೆಯನ್ನುಂಟುಮಾಡಿದವು.
分泌	ಸ್ರವಿಸುವುದು	ಈ ರೀತಿಯ ಗ್ರಂಥಿ ಹಾರ್ಮೋನುಗಳನ್ನು ಸ್ರವಿಸುತ್ತದೆ.
分明	ಸ್ಪಷ್ಟ	ವಾಸ್ತವಗಳು ಈಗಾಗಲೇ ಬಹಳ ಸ್ಪಷ್ಟವಾಗಿವೆ.
分歧	ಭಿನ್ನಾಭಿಪ್ರಾಯ	ಎರಡು ಪಕ್ಷಗಳ ನಡುವೆ ಬೆಲೆಯಲ್ಲಿ ಭಿನ್ನಾಭಿಪ್ರಾಯ ಇದೆ.
分散	ಚದುರಿಸುವುದು	ದಯವಿಟ್ಟು ಅಪಾಯವನ್ನು ಬೇರೆ ಬೇರೆ ಯೋಜನೆಗಳಲ್ಲಿ ಚದುರಿಸಿ.
吩咐	ಆಜ್ಞಾಪಿಸುವುದು	ಬಾಸ್ ನನಗೆ ದಾಖಲೆಗಳನ್ನು ಸರಿಪಡಿಸಲು ಆಜ್ಞಾಪಿಸಿದರು.
坟墓	ಸಮಾಧಿ	ಬೆಟ್ಟದ ಇಳಿಜಾರಿನಲ್ಲಿ ಒಂದು ಹಳೆಯ ಸಮಾಧಿಯಿದೆ.
粉末	ಪುಡಿ	ದಯವಿಟ್ಟು ಮಾತ್ರೆಗಳನ್ನು ಪುಡಿಯಾಗಿ ರುಬ್ಬಿ.
粉色	ಗುಲಾಬಿ ಬಣ್ಣ	ಅವಳು ಒಂದು ಗುಲಾಬಿ ಬಣ್ಣದ ಸ್ಕಾರ್ಫ್ ಖರೀದಿಸಿದಳು.
粉碎	ಚೂರುಚೂರು ಮಾಡುವುದು	ಪೊಲೀಸರು ಈ ಅಪರಾಧ ಗುಂಪನ್ನು ಚೂರುಚೂರು ಮಾಡಿದರು.
分量	ತೂಕ	ಈ ವಾಕ್ಯಕ್ಕೆ ಬಹಳ ತೂಕವಿದೆ.
愤怒	ಕೋಪ	ಅವನ ಧ್ವನಿಯಲ್ಲಿ ಕೋಪ ತುಂಬಿತ್ತು.
丰满	ಪೂರ್ಣ	ಈ ಲೇಖನದ ವಿಷಯ ಇನ್ನೂ ಸಾಕಷ್ಟು ಪೂರ್ಣವಾಗಿಲ್ಲ.
丰盛	ಸಮೃದ್ಧ	ಅವರು ಸಮೃದ್ಧ ರಾತ್ರಿಭೋಜನ ಸಿದ್ಧಪಡಿಸಿದರು.
丰收	ಸಮೃದ್ಧ ಬೆಳೆ	ಈ ವರ್ಷ ರೈತರಿಗೆ ಸಮೃದ್ಧ ಬೆಳೆ ದೊರಕಿತು.
封闭	ಮುಚ್ಚುವುದು	ನಿರ್ಮಾಣ ಸಮಯದಲ್ಲಿ ಈ ರಸ್ತೆ ಮುಚ್ಚಲಾಗುತ್ತದೆ.
封建	ಜಮೀನ್ದಾರಿ	ಈ ಜಮೀನ್ದಾರಿ ಚಿಂತನೆ ಬಹಳ ಹಿಂದೆಯೇ ಬದಲಾಗಬೇಕಿತ್ತು.
封锁	ಮುಚ್ಚುವರಿಸುವುದು	ಪೊಲೀಸರು ಅಪಘಾತ ಸ್ಥಳವನ್ನು ಮುಚ್ಚುವರಿಸಿದರು.
锋利	ತೀಕ್ಷ್ಣ	ಈ ಚಾಕು ಬಹಳ ತೀಕ್ಷ್ಣವಾಗಿದೆ.
风暴	ಚಂಡಮಾರುತ	ಸಮುದ್ರದಲ್ಲಿ ಅಕಸ್ಮಾತ್ ಚಂಡಮಾರುತ ಕಾಣಿಸಿಕೊಂಡಿತು.
风度	ಮರ್ಯಾದಿತ ನಡತೆ	ವೇದಿಕೆಯಲ್ಲಿ ಅವನು ಬಹಳ ಮರ್ಯಾದಿತ ನಡತೆಯವನಾಗಿ ಕಂಡನು.
风光	ದೃಶ್ಯಸೌಂದರ್ಯ	ಇಲ್ಲಿನ ಪ್ರಕೃತಿ ದೃಶ್ಯಸೌಂದರ್ಯ ಬಹಳ ಚೆನ್ನಾಗಿದೆ.
风气	ಸಾಮಾನ್ಯ ವಾತಾವರಣ	ಶಾಲೆಯಲ್ಲಿ ಉತ್ತಮ ಕಲಿಕೆಯ ವಾತಾವರಣ ಬೆಳೆದಿದೆ.
风趣	ಹಾಸ್ಯಮಯ	ಅವನ ಮಾತು ಬಹಳ ಹಾಸ್ಯಮಯವಾಗಿದೆ.
风土人情	ಸ್ಥಳೀಯ ಪರಿಸ್ಥಿತಿ ಮತ್ತು ಆಚರಣೆಗಳು	ಪ್ರಯಾಣದಿಂದ ಸ್ಥಳೀಯ ಪರಿಸ್ಥಿತಿ ಮತ್ತು ಆಚರಣೆಗಳನ್ನು ತಿಳಿಯಬಹುದು.
风味	ವಿಶಿಷ್ಟ ರುಚಿ	ಈ ಅಂಗಡಿಗೆ ಗಟ್ಟಿಯಾದ ಸ್ಥಳೀಯ ವಿಶಿಷ್ಟ ರುಚಿಯಿದೆ.
逢	ಪ್ರತಿ ಬಾರಿ ಎದುರಾಗುವುದು	ಪ್ರತಿ ವಾರಾಂತ್ಯ ಬಂದಾಗ ಉದ್ಯಾನ ತುಂಬಾ ಚೈತನ್ಯವಾಗಿರುತ್ತದೆ.
奉献	ಸಮರ್ಪಿಸುವುದು	ವೈದ್ಯರು ರೋಗಿಗಳಿಗೆ ಬಹಳ ಸಮಯ ಸಮರ್ಪಿಸಿದರು.
否决	ತಿರಸ್ಕರಿಸುವುದು	ಮಂಡಳಿಯು ಈ ಪ್ರಸ್ತಾವವನ್ನು ತಿರಸ್ಕರಿಸಿತು.
夫妇	ದಂಪತಿ	ಈ ದಂಪತಿ ಒಂದು ಚಿಕ್ಕ ಅಂಗಡಿಯನ್ನು ನಡೆಸುತ್ತಾರೆ.
夫人	ಪತ್ನಿ	ವಾಂಗ್ ಸರ್ ಮತ್ತು ಅವರ ಪತ್ನಿ ಒಟ್ಟಿಗೆ ಭೋಜನ ಸಮಾರಂಭಕ್ಕೆ ಹಾಜರಾದರು.
敷衍	ಮೇಲ್ಮೈಯಾಗಿ ನಿರ್ವಹಿಸುವುದು	ಅವನು ಕೇವಲ ಮೇಲ್ಮೈಯಾಗಿ ಕೆಲವು ಮಾತುಗಳಿಂದ ಉತ್ತರಿಸಿದ.
俘虏	ಬಂಧಿ	ಯುದ್ಧ ಮುಗಿದ ನಂತರ ಬಂಧಿಗಳನ್ನು ಬಿಡುಗಡೆ ಮಾಡಲಾಯಿತು.
幅度	ಪ್ರಮಾಣ	ಈ ಬಾರಿ ಬೆಲೆ ಇಳಿಕೆಯ ಪ್ರಮಾಣ ದೊಡ್ಡದು.
服从	ವಿಧೇಯರಾಗುವುದು	ಸೈನಿಕರು ಆದೇಶಕ್ಕೆ ವಿಧೇಯರಾಗಬೇಕು.
服气	ಒಪ್ಪಿಕೊಳ್ಳುವುದು	ಅವನು ಪಂದ್ಯ ಸೋತರೂ ಮನಸ್ಸಿನಲ್ಲಿ ಒಪ್ಪಿಕೊಳ್ಳಲಿಲ್ಲ.
福利	ಸೌಲಭ್ಯ	ನೌಕರರು ಕಂಪನಿಯ ಸೌಲಭ್ಯಗಳಿಗೆ ಬಹಳ ಮಹತ್ವ ಕೊಡುತ್ತಾರೆ.
福气	ಅದೃಷ್ಟ	ಒಳ್ಳೆಯ ಶಿಕ್ಷಕರನ್ನು ಭೇಟಿಯಾಗುವುದು ಅವನ ಅದೃಷ್ಟ.
符号	ಚಿಹ್ನೆ	ಈ ಚಿಹ್ನೆ ಅಪಾಯವನ್ನು ಸೂಚಿಸುತ್ತದೆ.
辐射	ಕಿರಣೋತ್ಸರ್ಗ	ವೈದ್ಯರು ಅವನಿಗೆ ಬಲವಾದ ಕಿರಣೋತ್ಸರ್ಗದಿಂದ ದೂರವಿರಲು ನೆನಪಿಸಿದರು.
俯视	ಮೇಲಿನಿಂದ ನೋಡುವುದು	ಬೆಟ್ಟದ ಶಿಖರದಿಂದ ಇಡೀ ನಗರವನ್ನು ಮೇಲಿನಿಂದ ನೋಡಬಹುದು.
抚摸	ಮೃದುವಾಗಿ ತಾಕುವುದು	ಅವಳು ಮಗುವಿನ ತಲೆಯನ್ನು ಮೃದುವಾಗಿ ತಾಕಿದಳು.
抚养	ಬೆಳೆಸುವುದು	ಅಜ್ಜ ಅಜ್ಜಿ ಮಗುವನ್ನು ಬೆಳೆಸಲು ಸಹಾಯ ಮಾಡಿದರು.
腐败	ಭ್ರಷ್ಟಾಚಾರ	ಸರ್ಕಾರ ಭ್ರಷ್ಟಾಚಾರದ ವಿರುದ್ಧ ಹೋರಾಡುತ್ತಿದೆ.
腐烂	ಕುಳೆಯುವುದು	ಹಣ್ಣು ತುಂಬಾ ಹೊತ್ತು ಇಟ್ಟರೆ ಕುಳೆಯುತ್ತದೆ.
腐蚀	ಕ್ಷಯಗೊಳಿಸುವುದು	ಆಮ್ಲವು ಲೋಹದ ಮೇಲ್ಮೈಯನ್ನು ಕ್ಷಯಗೊಳಿಸಬಹುದು.
腐朽	ಕುಟ್ಟಿದ	ಅವರು ಕುಟ್ಟಿದ ವ್ಯವಸ್ಥೆಯನ್ನು ಟೀಕಿಸಿದರು.
辅助	ಸಹಾಯ ಮಾಡುವುದು	ಈ ಸಾಧನ ಬೋಧನೆಗೆ ಸಹಾಯ ಮಾಡಬಹುದು.
副	ಉಪ	ಅವಳನ್ನು ಉಪ ವ್ಯವಸ್ಥಾಪಕಿಯಾಗಿ ನೇಮಿಸಲಾಯಿತು.
复活	ಮತ್ತೆ ಜೀವಂತಗೊಳ್ಳುವುದು	ಈ ಪಾರಂಪರಿಕ ಹಬ್ಬ ಮತ್ತೆ ಜೀವಂತಗೊಳ್ಳುತ್ತಿದೆ.
复兴	ಪುನರುಜ್ಜೀವನ	ಸಾಂಸ್ಕೃತಿಕ ಪುನರುಜ್ಜೀವನಕ್ಕೆ ದೀರ್ಘಕಾಲದ ಪ್ರಯತ್ನ ಬೇಕು.
富裕	ಸಮೃದ್ಧ	ಈ ಗ್ರಾಮ ಈಗ ಹೆಚ್ಚು ಹೆಚ್ಚು ಸಮೃದ್ಧವಾಗುತ್ತಿದೆ.
腹泻	ಅತಿಸಾರ	ಅವನಿಗೆ ತೀವ್ರ ಅತಿಸಾರವಾಗಿದೆ, ವೈದ್ಯರನ್ನು ನೋಡಬೇಕು.
覆盖	ಮುಚ್ಚುವುದು	ಭಾರೀ ಹಿಮವು ಇಡೀ ಕಣಿವೆಯನ್ನು ಮುಚ್ಚಿತು.
负担	ಭಾರ	ಮನೆಬಾಡಿಗೆ ಅವನ ಮುಖ್ಯ ಭಾರವಾಯಿತು.
赋予	ನೀಡುವುದು	ಕಾನೂನು ನಾಗರಿಕರಿಗೆ ಮೂಲಭೂತ ಹಕ್ಕುಗಳನ್ನು ನೀಡುತ್ತದೆ.
附和	ಇತರರ ಮಾತಿಗೆ ತಲೆಯಾಟುವುದು	ಅವನಿಗೆ ಸ್ವತಂತ್ರ ಅಭಿಪ್ರಾಯವಿಲ್ಲ, ಇತರರ ಮಾತಿಗೆ ಮಾತ್ರ ತಲೆಯಾಡಿಸುತ್ತಾನೆ.
附件	ಲಗತ್ತು	ದಯವಿಟ್ಟು ಇಮೇಲ್‌ನಲ್ಲಿರುವ ಲಗತ್ತನ್ನು ಪರಿಶೀಲಿಸಿ.
附属	ಸಂಬಂಧಿತ	ಈ ಆಸ್ಪತ್ರೆ ವಿಶ್ವವಿದ್ಯಾಲಯಕ್ಕೆ ಸಂಬಂಧಿತ ಆಸ್ಪತ್ರೆ.
改良	ಸುಧಾರಿಸುವುದು	ತಜ್ಞರು ಈ ಅಕ್ಕಿಧಾನ್ಯದ ಜಾತಿಯನ್ನು ಸುಧಾರಿಸುತ್ತಿದ್ದಾರೆ.
盖章	ಮುದ್ರೆ ಹಾಕುವುದು	ಒಪ್ಪಂದಕ್ಕೆ ಸಹಿ ಮಾಡಿದ ನಂತರ ಮುದ್ರೆ ಹಾಕಬೇಕು.
钙	ಕ್ಯಾಲ್ಸಿಯಂ	ಹಾಲಿನಲ್ಲಿ ಸಾಕಷ್ಟು ಕ್ಯಾಲ್ಸಿಯಂ ಇದೆ.
尴尬	ಅಸಹಜ ನಾಚಿಕೆಯ	ಸಭೆಯಲ್ಲಿ ಅಸಹಜ ಮೌನ ಉಂಟಾಯಿತು.
干旱	ಬರ	ದೀರ್ಘಕಾಲದ ಬರ ಬೆಳೆಗಳ ಮೇಲೆ ಪರಿಣಾಮ ಬೀರಿತು.
干扰	ಅಡ್ಡಿಪಡಿಸುವುದು	ಶಬ್ದ ನನ್ನ ಕೆಲಸಕ್ಕೆ ಅಡ್ಡಿಪಡಿಸುತ್ತದೆ.
干涉	ಹಸ್ತಕ್ಷೇಪ ಮಾಡುವುದು	ಪೋಷಕರು ಮಕ್ಕಳ ಆಯ್ಕೆಗಳಲ್ಲಿ ಹೆಚ್ಚು ಹಸ್ತಕ್ಷೇಪ ಮಾಡಬಾರದು.
干预	ಮಧ್ಯಪ್ರವೇಶಿಸುವುದು	ಸರ್ಕಾರ ಮಾರುಕಟ್ಟೆ ಅಪಾಯದಲ್ಲಿ ಸಮಯಕ್ಕೆ ಮಧ್ಯಪ್ರವೇಶಿಸಿತು.
感慨	ಆಳವಾಗಿ ಭಾವುಕರಾಗುವುದು	ಹಳೆಯ ಫೋಟೋಗಳನ್ನು ನೋಡಿ ಅವನು ಬಹಳ ಭಾವುಕನಾದ.
感染	ಸೋಂಕು ತಗುಲಿಸುವುದು	ಈ ವೈರಸ್ ಮಕ್ಕಳಿಗೆ ಸುಲಭವಾಗಿ ಸೋಂಕು ತಗುಲಿಸುತ್ತದೆ.
干劲	ಉತ್ಸಾಹ	ಎಲ್ಲರೂ ಕೆಲಸ ಮಾಡುವಾಗ ಬಹಳ ಉತ್ಸಾಹ ಹೊಂದಿದ್ದಾರೆ.
扛	ಎತ್ತಿಕೊಂಡು ಹೊರುವುದು	ಕಥೆಯ ಪ್ರಕಾರ ಅವನು ಭಾರವಾದ ಪಾತ್ರೆಯನ್ನೂ ಎತ್ತಿಕೊಂಡು ಹೊರುವಷ್ಟು ಬಲಿಷ್ಠನಾಗಿದ್ದ.
纲领	ಕಾರ್ಯಕ್ರಮ ಮಾರ್ಗಸೂಚಿ	ಸಭೆಯು ಹೊಸ ಕಾರ್ಯಯೋಜನಾ ಮಾರ್ಗಸೂಚಿಯನ್ನು ಅಂಗೀಕರಿಸಿತು.
岗位	ಹುದ್ದೆ	ಅವಳು ಬೇಗನೇ ಹೊಸ ಹುದ್ದೆಗೆ ಹೊಂದಿಕೊಂಡಳು.
港口	ಬಂದರು	ಸರಕು ಹಡಗು ಬಂದರಿನಲ್ಲಿ ನಿಂತಿತು.
港湾	ಉಪಸಾಗರ ಬಂದರು	ಚಿಕ್ಕ ದೋಣಿ ಶಾಂತ ಉಪಸಾಗರ ಬಂದರಿಗೆ ಪ್ರವೇಶಿಸಿತು.
杠杆	ಲಿವರ್	ಈ ಹೂಡಿಕೆಯಲ್ಲಿ ಹೆಚ್ಚಿನ ಹಣಕಾಸು ಲಿವರ್ ಬಳಸಲಾಯಿತು.
高超	ಅತ್ಯುತ್ತಮ	ಅವನ ಕಾರು ದುರಸ್ತಿ ಕೌಶಲ್ಯ ಅತ್ಯುತ್ತಮವಾಗಿದೆ.
高潮	ಪರಾಕಾಷ್ಠೆ	ಪಂದ್ಯ ಕೊನೆಯ ಹತ್ತು ನಿಮಿಷಗಳಲ್ಲಿ ಪರಾಕಾಷ್ಠೆಗೆ ತಲುಪಿತು.
高峰	ಶಿಖರ ಸಮಯ	ಬೆಳಿಗ್ಗೆ ಎಂಟು ಗಂಟೆ ಸಂಚಾರದ ಶಿಖರ ಸಮಯ.
高明	ಅತ್ಯಂತ ಚತುರ	ಈ ವಿಧಾನ ನಿಜವಾಗಿಯೂ ಅತ್ಯಂತ ಚತುರವಾಗಿದೆ.
高尚	ಉನ್ನತ	ವೈದ್ಯರ ವೃತ್ತಿಪರ ಮನೋಭಾವ ಉನ್ನತವಾಗಿದೆ.
