simplified	BN	example_BN
当前	বর্তমান	বর্তমানে সবচেয়ে গুরুত্বপূর্ণ হলো নিরাপত্তা নিশ্চিত করা।
当事人	সংশ্লিষ্ট ব্যক্তি	পুলিশ সংশ্লিষ্ট ব্যক্তিকে জিজ্ঞাসাবাদ করছে।
当务之急	তাৎক্ষণিক অগ্রাধিকার	বাসস্থান সমস্যা সমাধান করা তাৎক্ষণিক অগ্রাধিকার।
当选	নির্বাচিত হওয়া	সে সহজেই সভাপতি নির্বাচিত হয়েছে।
党	দল	এই দল নতুন নীতি প্রস্তাব করেছে।
档案	নথি	স্কুল ছাত্রদের নথি সংরক্ষণ করেছে।
档次	মানের স্তর	এই হোটেলের মানের স্তর খুব উঁচু।
倒闭	বন্ধ হয়ে যাওয়া	ওই ছোট দোকানটি গত বছর বন্ধ হয়ে গেছে।
导弹	ক্ষেপণাস্ত্র	খবরে ক্ষেপণাস্ত্র পরীক্ষার কথা বলা হয়েছে।
导航	নেভিগেশন	দয়া করে ফোনের নেভিগেশন চালু করুন।
导向	দিকনির্দেশ	শিক্ষা নীতি ন্যায়কে দিকনির্দেশ হিসেবে নেওয়া উচিত।
捣乱	গোলমাল করা	দয়া করে শ্রেণিকক্ষে গোলমাল করো না।
盗窃	চুরি	শপিং মল চুরি ঠেকাতে ব্যবস্থা জোরদার করেছে।
稻谷	ধান	কৃষকেরা ধান কাটছেন।
得不偿失	লাভের চেয়ে ক্ষতি বেশি	টাকা বাঁচাতে নিম্নমানের উপকরণ কেনা লাভের চেয়ে ক্ষতি বেশি।
得力	কার্যকর	সে ম্যানেজারের কার্যকর সহকারী।
得天独厚	স্বভাবতই অনুকূল	এই শহরের স্বভাবতই অনুকূল ভৌগোলিক সুবিধা আছে।
得罪	অসন্তুষ্ট করা	আমি ছোট বিষয়ে সহকর্মীকে অসন্তুষ্ট করতে চাই না।
灯笼	লণ্ঠন	বসন্ত উৎসবে দরজায় লাল লণ্ঠন ঝুলছে।
登录	লগইন করা	আগে তোমার অ্যাকাউন্টে লগইন করো।
登陆	তীরে আঘাত করা	আজ রাতে ঘূর্ণিঝড় উপকূলীয় এলাকায় তীরে আঘাত করতে পারে।
蹬	পা দিয়ে ঠেলা	সে জোরে পা দিয়ে ঠেলতেই সাইকেল চলতে শুরু করল।
等候	অপেক্ষা করা	যাত্রীরা হলঘরে বিমানে ওঠার জন্য অপেক্ষা করছে।
等级	স্তর	এই সফটওয়্যারে বিভিন্ন সদস্যতার স্তর আছে।
瞪	চোখ বড় করে তাকানো	সে রাগ করে আমার দিকে চোখ বড় করে তাকাল।
堤坝	বাঁধ	ভারী বৃষ্টির পর বাঁধ ভালো করে পরীক্ষা করা দরকার।
敌视	শত্রুভাবাপন্ন হওয়া	আমাদের ভিন্ন মতের প্রতি শত্রুভাবাপন্ন হওয়া উচিত নয়।
抵达	পৌঁছানো	বিমান সময়মতো বেইজিংয়ে পৌঁছেছে।
抵抗	প্রতিরোধ করা	গ্রামবাসীরা একসঙ্গে বন্যা প্রতিরোধ করছে।
抵制	বয়কট করা	ভোক্তারা নিম্নমানের পণ্য বয়কট করতে শুরু করেছে।
地步	অবস্থা	বিষয়টি এখনও এত গুরুতর অবস্থায় পৌঁছায়নি।
地势	ভূপ্রকৃতির উচ্চতা	এখানকার ভূমি উঁচু, তাই সহজে পানি জমে না।
地质	ভূতত্ত্ব	বিশেষজ্ঞরা স্থানীয় ভূতাত্ত্বিক অবস্থা তদন্ত করছেন।
递增	ক্রমে বৃদ্ধি পাওয়া	বিক্রির পরিমাণ টানা তিন মাস ক্রমে বৃদ্ধি পেয়েছে।
颠簸	ঝাঁকুনিপূর্ণ	পাহাড়ি রাস্তা খুব ঝাঁকুনিপূর্ণ, গাড়ি সাবধানে চালাতে হবে।
颠倒	উল্টে দেওয়া	তুমি দুই সংখ্যার ক্রম উল্টে দিয়েছ।
典礼	অনুষ্ঠান	স্নাতক অনুষ্ঠানটি অডিটোরিয়ামে অনুষ্ঠিত হবে।
典型	আদর্শ উদাহরণ	এটি একটি আদর্শ সফল উদাহরণ।
点缀	সজ্জিত করা	কয়েকটি ছোট ফুল খাবার টেবিল সাজিয়ে দিয়েছে।
垫	নিচে রাখা	দয়া করে কাগজটি কাপের নিচে রাখো।
奠定	ভিত গড়ে দেওয়া	এই সহযোগিতা দীর্ঘমেয়াদি সম্পর্কের ভিত্তি গড়ে দিয়েছে।
惦记	মনে পড়ে চিন্তা করা	মা দূরের সন্তানের কথা সব সময় মনে করে চিন্তা করেন।
电源	বিদ্যুৎ সংযোগ	বেরোনোর আগে বিদ্যুৎ সংযোগ বন্ধ করুন।
叼	মুখে কামড়ে ধরা	ওই কুকুরটি মুখে একটি হাড় কামড়ে ধরে আছে।
雕刻	খোদাই করা	সে কাঠে নকশা খোদাই করতে পছন্দ করে।
雕塑	ভাস্কর্য	চত্বরের মাঝখানে একটি ভাস্কর্য আছে।
吊	উঠিয়ে ঝুলিয়ে ধরা	শ্রমিক যন্ত্র দিয়ে ইস্পাতের বিম উঠিয়ে ধরছে।
调动	বদলি করা	কোম্পানি তাকে সাংহাইয়ে কাজের জন্য বদলি করেছে।
跌	পড়ে যাওয়া	আজ শেয়ারের দাম আবার পড়ে গেছে।
丁	ছোট কিউব	রেসিপিতে আলু ছোট কিউব করে কাটতে বলা হয়েছে।
叮嘱	বারবার সাবধান করে বলা	শিক্ষক আমাদের নিরাপত্তার দিকে খেয়াল রাখতে বারবার সাবধান করে বললেন।
盯	একদৃষ্টে তাকিয়ে থাকা	দয়া করে অন্যের দিকে একদৃষ্টে তাকিয়ে থেকো না।
定期	নিয়মিত	ডাক্তার তাকে নিয়মিত স্বাস্থ্য পরীক্ষা করতে বলেছেন।
定义	সংজ্ঞা	আগে এই ধারণার সংজ্ঞা ব্যাখ্যা করো।
丢人	লজ্জাজনক	সবার সামনে মিথ্যা বলা সত্যিই লজ্জাজনক।
丢三落四	ভুলে যাওয়ার অভ্যাস	তার সব সময় কিছু না কিছু ভুলে যাওয়ার অভ্যাস আছে।
东道主	আয়োজক	আয়োজক হিসেবে আমাদের অতিথিদের ভালোভাবে দেখাশোনা করতে হবে।
东张西望	এদিক-ওদিক তাকানো	ক্লাসে এদিক-ওদিক তাকিয়ো না।
董事长	পরিচালনা পর্ষদের চেয়ারম্যান	পরিচালনা পর্ষদের চেয়ারম্যান আজ সভায় উপস্থিত ছিলেন।
冻结	স্থগিত করা	ব্যাংক সাময়িকভাবে এই অ্যাকাউন্ট স্থগিত করেছে।
动荡	অস্থিরতা	যুদ্ধ এই অঞ্চলে দীর্ঘমেয়াদি অস্থিরতা সৃষ্টি করেছে।
动机	উদ্দেশ্য	পুলিশ তার উদ্দেশ্য তদন্ত করছে।
动静	শব্দচিহ্ন	ঘরের ভেতর কোনো শব্দচিহ্ন নেই।
动力	প্রেরণা	আগ্রহ শেখার প্রেরণা।
动脉	ধমনী	ডাক্তার তার ধমনী পরীক্ষা করেছেন।
动身	রওনা হওয়া	আমরা কাল ভোরে বিমানবন্দরের উদ্দেশে রওনা হব।
动手	হাত লাগানো	ঘটনা পরিষ্কার না হওয়া পর্যন্ত কেউ হাত লাগাবে না।
动态	সাম্প্রতিক অবস্থা	দয়া করে প্রকল্পের সাম্প্রতিক অবস্থা নজরে রাখুন।
动员	উদ্বুদ্ধ করা	স্কুল ছাত্রদের স্বেচ্ছাসেবী কাজে অংশ নিতে উদ্বুদ্ধ করেছে।
栋	ভবনের গণনাশব্দ	এই ভবনটির বিশ তলা।
兜	পকেট	সে চাবি কোটের পকেটে রাখল।
陡峭	খাড়া	এই পাহাড়ি পথ খুব খাড়া।
斗争	সংগ্রাম করা	তারা পরিবেশ রক্ষার জন্য সংগ্রাম করছে।
督促	তাগিদ দেওয়া	ম্যানেজার সবাইকে সময়মতো কাজ শেষ করতে তাগিদ দেন।
毒品	মাদকদ্রব্য	শুল্ক বিভাগ এক চালান মাদকদ্রব্য জব্দ করেছে।
独裁	স্বৈরশাসন	মানুষ স্বৈরশাসনের বিরোধিতা করে।
堵塞	বন্ধ করে দেওয়া	আবর্জনা নর্দমা বন্ধ করে দিয়েছে।
赌博	জুয়া	জুয়া গুরুতর পরিণতি ডেকে আনে।
杜绝	পুরোপুরি বন্ধ করা	কোম্পানি অপচয় পুরোপুরি বন্ধ করতে বলেছে।
端	হাতে করে আনা	সে এক কাপ গরম চা হাতে করে ভেতরে এল।
端午节	ড্রাগন নৌকা উৎসব	ড্রাগন নৌকা উৎসবে আমরা জোংজি খাই।
端正	সঠিক করা	ছাত্রদের পড়াশোনার মনোভাব সঠিক করা উচিত।
短促	সংক্ষিপ্ত	সে একটি সংক্ষিপ্ত দীর্ঘশ্বাস ফেলল।
断定	নিশ্চিত সিদ্ধান্ত নেওয়া	এখনই কে ঠিক কে ভুল তা নিশ্চিত সিদ্ধান্ত নেওয়া যায় না।
断绝	সম্পর্ক বিচ্ছিন্ন করা	দুর্ঘটনার পর গ্রামটির বাইরের জগতের সঙ্গে যোগাযোগ বিচ্ছিন্ন হয়ে যায়।
堆积	জমে থাকা	রাস্তার ধারে বরফ জমে উঠেছে।
兑现	বাস্তবায়ন করা	সে অবশেষে নিজের প্রতিশ্রুতি বাস্তবায়ন করেছে।
对策	প্রতিকারমূলক ব্যবস্থা	ঝুঁকির মুখে আমাদের প্রতিকারমূলক ব্যবস্থা দরকার।
对称	সমমিত	এই ভবনের দুই পাশ খুব সমমিত।
对付	মোকাবিলা করা	এই সমস্যা মোকাবিলা করা সহজ নয়।
对抗	প্রতিদ্বন্দ্বিতা করা	দুই দল ফাইনালে প্রতিদ্বন্দ্বিতা করবে।
对立	বিরোধী	দুই পক্ষের অবস্থান সম্পূর্ণ বিরোধী।
对联	দরজার জোড়া শুভলেখা	বসন্ত উৎসবে তারা দরজায় জোড়া শুভলেখা লাগায়।
对应	মিল থাকা	প্রতিটি নম্বরের সঙ্গে একটি আসনের মিল আছে।
对照	তুলনা করে দেখা	দয়া করে মূল লেখার সঙ্গে অনুবাদ তুলনা করে দেখুন।
队伍	দলবদ্ধ সারি	মিছিলের দলবদ্ধ সারি ধীরে ধীরে সামনে এগোচ্ছে।
顿时	তৎক্ষণাৎ	খবরটি শুনে সে তৎক্ষণাৎ হতবাক হয়ে গেল।
哆嗦	কাঁপা	আবহাওয়া খুব ঠান্ডা, সে সারাক্ষণ কাঁপছে।
多元化	বহুমুখীকরণ	কোম্পানি ব্যবসার বহুমুখীকরণ এগিয়ে নিচ্ছে।
堕落	অবক্ষয়ে পড়া	সে নিজেকে আর অবক্ষয়ে পড়তে দিতে চায় না।
额外	অতিরিক্ত	এই সেবার জন্য অতিরিক্ত ফি লাগে।
恶心	বমি বমি ভাব	ওই গন্ধ পেয়ে আমার একটু বমি বমি লাগল।
恶化	অবনতি হওয়া	চিকিৎসা না করলে রোগের অবস্থা অবনতি হতে পারে।
遏制	দমন করা	সরকার দূষণ দমন করতে ব্যবস্থা নিয়েছে।
恩怨	পুরোনো বিরোধ	দুই কোম্পানির পুরোনো বিরোধ অনেক দিনের।
而已	মাত্র	আমি শুধু এমনি বলেছিলাম মাত্র।
二氧化碳	কার্বন ডাই-অক্সাইড	গাছপালা কার্বন ডাই-অক্সাইড শোষণ করে।
发布	প্রকাশ করা	কোম্পানি কাল নতুন পণ্য প্রকাশ করবে।
发财	ধনী হওয়া	সে পরিশ্রম করে ধনী হতে চায়।
发呆	চুপচাপ অন্যমনস্ক থাকা	সে জানালার পাশে বসে চুপচাপ অন্যমনস্ক ছিল।
发动	সক্রিয়ভাবে সংগঠিত করা	স্বেচ্ছাসেবীরা বাসিন্দাদের রাস্তা পরিষ্কার করতে সংগঠিত করেছে।
发觉	টের পাওয়া	আমি টের পেলাম সে আজ একটু উদ্বিগ্ন।
发射	উৎক্ষেপণ করা	রকেটটি রাতে উৎক্ষেপণ করা হবে।
发誓	শপথ করা	সে শপথ করল আর কখনও মিথ্যা বলবে না।
发行	প্রকাশ্যে মুক্তি দেওয়া	এই চলচ্চিত্রটি আগামী মাসে মুক্তি পাবে।
发炎	প্রদাহ হওয়া	ক্ষতটিতে একটু প্রদাহ হয়েছে।
发扬	বিকশিত করে তোলা	আমাদের দলগত সহযোগিতার চেতনা বিকশিত করে তুলতে হবে।
发育	বিকাশ	শিশুর শরীরের বিকাশের জন্য যথেষ্ট পুষ্টি দরকার।
法人	আইনি ব্যক্তি	এই কোম্পানি একটি স্বাধীন আইনি ব্যক্তি।
番	কথার পর্ব	এই কথার পর্ব আমাকে অনেক অনুপ্রাণিত করেছে।
凡是	যে-ই হোক	যে-ই নিবন্ধন করেছে, সবাইকে প্রশিক্ষণে অংশ নিতে হবে।
繁华	সমৃদ্ধ ও ব্যস্ত	এই রাস্তা আগে খুব সমৃদ্ধ ও ব্যস্ত ছিল।
繁忙	ব্যস্ত	ছুটির সময় বিমানবন্দর বিশেষভাবে ব্যস্ত থাকে।
繁体字	প্রচলিত জটিল চীনা অক্ষর	তাইওয়ান অঞ্চলে প্রায়ই জটিল চীনা অক্ষর ব্যবহৃত হয়।
繁殖	বংশবৃদ্ধি করা	এই গাছটি সহজে বংশবৃদ্ধি করে।
反驳	খণ্ডন করা	সে তথ্য দিয়ে এই মতামত খণ্ডন করেছে।
反常	অস্বাভাবিক	আজকের আবহাওয়া কিছুটা অস্বাভাবিক।
反感	বিরক্তি	এই ধরনের বিজ্ঞাপনে আমার খুব বিরক্তি লাগে।
反抗	প্রতিরোধ করা	মানুষ অন্যায্য নিয়মের বিরুদ্ধে প্রতিরোধ শুরু করেছে।
反馈	প্রতিক্রিয়া	গ্রাহকের প্রতিক্রিয়া বলছে সিস্টেমটি খুব স্থিতিশীল।
反面	উল্টো পিঠ	দয়া করে কাগজটি উল্টো পিঠে ফিরিয়ে দাও।
反射	প্রতিফলিত করা	আয়না আলো প্রতিফলিত করে।
反思	আত্মসমালোচনা করা	ব্যর্থতার পর সে কারণগুলো নিয়ে গভীরভাবে আত্মসমালোচনা করেছে।
反问	পাল্টা প্রশ্ন করা	সে উত্তর না দিয়ে আমাকে একটি পাল্টা প্রশ্ন করল।
反之	উল্টো হলে	দাম বেশি হলে চাহিদা কমে, উল্টো হলেও একই।
泛滥	উপচে ছড়িয়ে পড়া	ভারী বৃষ্টিতে নদীর পানি উপচে ছড়িয়ে পড়েছে।
范畴	পরিসর	এই সমস্যা আইনের পরিসরের অন্তর্ভুক্ত।
贩卖	বেআইনি বিক্রি করা	আইন নকল ওষুধ বিক্রি করা নিষিদ্ধ করে।
方位	দিকনির্দেশিত অবস্থান	মানচিত্রে সঠিক অবস্থান চিহ্নিত করা আছে।
方言	উপভাষা	সে স্থানীয় উপভাষা বুঝতে পারে।
方圆	চারপাশের এলাকা	দশ কিলোমিটারের মধ্যে কোনো হাসপাতাল নেই।
方针	নীতি	কোম্পানি নতুন উন্নয়ন নীতি নির্ধারণ করেছে।
防守	রক্ষণভাগ	এই দলের রক্ষণভাগ খুব স্থির।
防御	প্রতিরক্ষা	শহরপ্রাচীর এক সময় শত্রুর বিরুদ্ধে প্রতিরক্ষায় ব্যবহৃত হতো।
防止	রোধ করা	আঘাত রোধ করতে দয়া করে সিটবেল্ট বাঁধুন।
防治	প্রতিরোধ ও চিকিৎসা	ডাক্তার রোগের প্রতিরোধ ও চিকিৎসা পদ্ধতি ব্যাখ্যা করলেন।
纺织	বস্ত্রশিল্প	এই শহর বস্ত্রশিল্পের জন্য বিখ্যাত।
访问	সাক্ষাৎকার নেওয়া	সাংবাদিক কাল এই লেখকের সাক্ষাৎকার নেবেন।
放大	বড় করা	দয়া করে ছবিটা একটু বড় করো।
放射	বিকিরণ করা	এই উপাদান তাপ বিকিরণ করে।
非法	অবৈধ	অবৈধ লেনদেন শাস্তির মুখে পড়বে।
飞禽走兽	পাখি ও পশু	বনে নানা ধরনের পাখি ও পশু বাস করে।
飞翔	উড়ে বেড়ানো	সীগাল সমুদ্রের ওপর উড়ে বেড়াচ্ছে।
飞跃	বড় অগ্রগতি	বিজ্ঞান ও প্রযুক্তির উন্নয়নে বিশাল অগ্রগতি হয়েছে।
肥沃	উর্বর	এই জমি খুব উর্বর।
诽谤	মানহানি করা	অন্যের মানহানি করলে আইনি দায় নিতে হবে।
废除	বাতিল করা	এই পুরোনো বিধান ইতিমধ্যে বাতিল করা হয়েছে।
废寝忘食	খাওয়া-ঘুম ভুলে যাওয়া	সে গবেষণার জন্য খাওয়া-ঘুম ভুলে গেছে।
废墟	ধ্বংসাবশেষ	ভূমিকম্পের পর জায়গাটি ধ্বংসাবশেষে পরিণত হয়েছে।
沸腾	ফুটতে থাকা	পানি ইতিমধ্যে ফুটছে।
肺	ফুসফুস	ধূমপান ফুসফুসের ক্ষতি করে।
分辨	পার্থক্য বোঝা	এই দুই রংয়ের পার্থক্য বোঝা আমার জন্য কঠিন।
分寸	মাত্রাজ্ঞান	রসিকতা করলেও মাত্রাজ্ঞান রাখা দরকার।
分红	লাভাংশ ভাগ করা	শেয়ারহোল্ডাররা বছরের শেষে লাভাংশ পেতে পারেন।
分解	ভেঙে ব্যাখ্যা করা	শিক্ষক জটিল সমস্যাটিকে কয়েক ধাপে ভেঙে ব্যাখ্যা করলেন।
分裂	বিভক্ত হওয়া	অভ্যন্তরীণ দ্বন্দ্বে সংগঠনটি বিভক্ত হয়ে গেল।
分泌	নিঃসরণ করা	এই গ্রন্থি হরমোন নিঃসরণ করে।
分明	স্পষ্ট	সত্যটি ইতিমধ্যে খুব স্পষ্ট।
分歧	মতভেদ	দুই পক্ষের দামের বিষয়ে মতভেদ আছে।
分散	ছড়িয়ে দেওয়া	ঝুঁকি বিভিন্ন প্রকল্পে ছড়িয়ে দিন।
吩咐	নির্দেশ দেওয়া	মালিক আমাকে নথি গোছাতে নির্দেশ দিলেন।
坟墓	কবর	পাহাড়ের ঢালে একটি প্রাচীন কবর আছে।
粉末	গুঁড়া	দয়া করে বড়িটা গুঁড়া করে নিন।
粉色	গোলাপি	সে একটি গোলাপি স্কার্ফ কিনেছে।
粉碎	চূর্ণ করা	পুলিশ এই অপরাধী চক্রকে চূর্ণ করেছে।
分量	ওজনদার গুরুত্ব	এই কথাটির ওজনদার গুরুত্ব আছে।
愤怒	ক্রোধ	তার কণ্ঠে ক্রোধ ভরা ছিল।
丰满	সমৃদ্ধ	এই প্রবন্ধের বিষয়বস্তু এখনও যথেষ্ট সমৃদ্ধ নয়।
丰盛	প্রচুর ও সমৃদ্ধ	তারা প্রচুর ও সমৃদ্ধ রাতের খাবার প্রস্তুত করেছে।
丰收	ভালো ফসল	এ বছর কৃষকেরা ভালো ফসল পেয়েছেন।
封闭	বন্ধ করা	নির্মাণকাজ চলাকালে এই রাস্তা বন্ধ থাকবে।
封建	সামন্ততান্ত্রিক	এই সামন্ততান্ত্রিক চিন্তা অনেক আগেই বদলানো উচিত ছিল।
封锁	ঘিরে বন্ধ করা	পুলিশ দুর্ঘটনাস্থল ঘিরে বন্ধ করেছে।
锋利	ধারালো	এই ছুরিটি খুব ধারালো।
风暴	ঝড়	সমুদ্রে হঠাৎ ঝড় দেখা দিল।
风度	মার্জিত ভঙ্গি	মঞ্চে তাকে খুব মার্জিত ভঙ্গির মনে হচ্ছিল।
风光	প্রাকৃতিক দৃশ্য	এখানকার প্রাকৃতিক দৃশ্য খুব সুন্দর।
风气	সামাজিক পরিবেশ	স্কুলে ভালো পড়াশোনার পরিবেশ গড়ে উঠেছে।
风趣	রসিক	তার কথা বলার ভঙ্গি খুব রসিক।
风土人情	স্থানীয় রীতি ও জীবনধারা	ভ্রমণে স্থানীয় রীতি ও জীবনধারা জানা যায়।
风味	স্বাদধারা	এই দোকানে ঘন স্থানীয় স্বাদধারা আছে।
逢	যখনই আসে	প্রতি সপ্তাহান্ত এলেই পার্ক খুব প্রাণবন্ত হয়।
奉献	নিবেদন করা	ডাক্তার রোগীদের জন্য অনেক সময় নিবেদন করেছেন।
否决	প্রত্যাখ্যান করা	পরিচালনা পর্ষদ এই প্রস্তাব প্রত্যাখ্যান করেছে।
夫妇	দম্পতি	এই দম্পতি একটি ছোট দোকান চালান।
夫人	স্ত্রী	ওয়াং সাহেব ও তাঁর স্ত্রী একসঙ্গে নৈশভোজে উপস্থিত ছিলেন।
敷衍	দায়সারা করা	সে শুধু দায়সারা ভাবে কয়েকটি উত্তর দিল।
俘虏	বন্দি সৈনিক	যুদ্ধ শেষ হওয়ার পর বন্দি সৈনিকদের মুক্তি দেওয়া হয়।
幅度	মাত্রা	এইবার দাম কমার মাত্রা বড়।
服从	মান্য করা	সৈনিকদের আদেশ মান্য করতেই হয়।
服气	মেনে নেওয়া	সে ম্যাচ হেরেছে, কিন্তু মনে মনে তা মেনে নিতে পারেনি।
福利	কল্যাণসুবিধা	কর্মীরা কোম্পানির কল্যাণসুবিধাকে গুরুত্ব দেন।
福气	সৌভাগ্য	ভালো শিক্ষক পাওয়া তার সৌভাগ্য।
符号	চিহ্ন	এই চিহ্ন বিপদ বোঝায়।
辐射	বিকিরণ	ডাক্তার তাকে শক্তিশালী বিকিরণ থেকে দূরে থাকতে বললেন।
俯视	উপর থেকে দেখা	পাহাড়ের চূড়া থেকে পুরো শহর উপর থেকে দেখা যায়।
抚摸	আলতো করে ছোঁয়া	সে শিশুর মাথা আলতো করে ছুঁল।
抚养	লালনপালন করা	দাদা-দাদি শিশুটিকে লালনপালনে সাহায্য করেন।
腐败	দুর্নীতি	সরকার দুর্নীতির বিরুদ্ধে ব্যবস্থা নিচ্ছে।
腐烂	পচে যাওয়া	ফল বেশি দিন রাখলে পচে যায়।
腐蚀	ক্ষয় করা	অম্ল ধাতুর পৃষ্ঠ ক্ষয় করে।
腐朽	জীর্ণ ও পচা	তারা জীর্ণ ব্যবস্থার সমালোচনা করেছে।
辅助	সহায়তা করা	এই সরঞ্জাম পাঠদানে সহায়তা করতে পারে।
副	সহকারী	তাকে সহকারী ম্যানেজার হিসেবে নিয়োগ করা হয়েছে।
复活	পুনরুজ্জীবিত হওয়া	এই ঐতিহ্যবাহী উৎসব আবার পুনরুজ্জীবিত হচ্ছে।
复兴	পুনর্জাগরণ	সাংস্কৃতিক পুনর্জাগরণের জন্য দীর্ঘমেয়াদি প্রচেষ্টা দরকার।
富裕	সচ্ছল	এই গ্রাম এখন ক্রমেই সচ্ছল হচ্ছে।
腹泻	ডায়রিয়া	তার ডায়রিয়া গুরুতর, ডাক্তার দেখানো দরকার।
覆盖	ঢেকে দেওয়া	ভারী তুষার পুরো উপত্যকা ঢেকে দিয়েছে।
负担	বোঝা	বাড়িভাড়া তার প্রধান বোঝা হয়ে গেছে।
赋予	প্রদান করা	আইন নাগরিকদের মৌলিক অধিকার প্রদান করে।
附和	সায় দেওয়া	তার নিজস্ব মত নেই, শুধু অন্যদের সায় দেয়।
附件	সংযুক্তি	দয়া করে ইমেলের সংযুক্তিটি দেখুন।
附属	সংযুক্ত	এই হাসপাতালটি বিশ্ববিদ্যালয়ের সংযুক্ত হাসপাতাল।
改良	উন্নত করা	বিশেষজ্ঞরা এই ধানের জাত উন্নত করছেন।
盖章	সিল মারা	চুক্তিতে স্বাক্ষর শেষ হলে সিল মারতে হবে।
钙	ক্যালসিয়াম	দুধে প্রচুর ক্যালসিয়াম থাকে।
尴尬	বিব্রতকর	সভায় বিব্রতকর নীরবতা দেখা দিল।
干旱	খরা	দীর্ঘ খরা ফসলের ওপর প্রভাব ফেলেছে।
干扰	বাধা দেওয়া	শব্দ আমার কাজে বাধা দেয়।
干涉	হস্তক্ষেপ করা	বাবা-মায়ের সন্তানের পছন্দে বেশি হস্তক্ষেপ করা উচিত নয়।
干预	হস্তক্ষেপ করা	সরকার সময়মতো বাজারের ঝুঁকিতে হস্তক্ষেপ করেছে।
感慨	আবেগে দীর্ঘশ্বাস ফেলা	পুরোনো ছবি দেখে সে খুব আবেগপ্রবণ হয়ে পড়ল।
感染	সংক্রমিত করা	এই ভাইরাস শিশুদের সহজে সংক্রমিত করে।
干劲	কাজের উদ্যম	সবাই কাজ করতে খুব উদ্যমী।
扛	কাঁধে বহন করা	কথিত আছে, তার শক্তি এত বেশি যে ভারী পাত্রও কাঁধে বহন করতে পারে।
纲领	কর্মসূচি	সভায় নতুন কর্মসূচি পাস হয়েছে।
岗位	কর্মপদ	সে দ্রুত নতুন কর্মপদে মানিয়ে নিয়েছে।
港口	বন্দর	মালবাহী জাহাজটি বন্দরে নোঙর করেছে।
港湾	উপসাগরীয় আশ্রয়	ছোট নৌকাটি শান্ত উপসাগরীয় আশ্রয়ে ঢুকল।
杠杆	লিভারেজ	এই বিনিয়োগে উচ্চ লিভারেজ ব্যবহার করা হয়েছে।
高超	অতুলনীয় দক্ষ	তার গাড়ি মেরামতের দক্ষতা খুব অতুলনীয়।
高潮	চূড়ান্ত উত্তেজনা	শেষ দশ মিনিটে ম্যাচটি চূড়ান্ত উত্তেজনায় পৌঁছায়।
高峰	চূড়ান্ত ব্যস্ত সময়	সকাল আটটা যানজটের চূড়ান্ত ব্যস্ত সময়।
高明	চতুর ও কার্যকর	এই পদ্ধতি সত্যিই চতুর ও কার্যকর।
高尚	উচ্চ নৈতিক	ডাক্তারের পেশাগত মনোভাব খুব উচ্চ নৈতিক।
高涨	ক্রমে তীব্র হওয়া	দর্শকদের উৎসাহ ক্রমে তীব্র হচ্ছিল।
稿件	পাণ্ডুলিপি	সম্পাদক পাণ্ডুলিপি সংশোধন করছেন।
告辞	বিদায় নেওয়া	অনেক রাত হয়েছে, আমরা আগে বিদায় নিচ্ছি।
告诫	সতর্ক করে বলা	শিক্ষক ছাত্রদের নকল না করতে সতর্ক করে বললেন।
割	কাটা	সে অসাবধানে আঙুল কেটে ফেলেছে।
搁	রাখা	দয়া করে নথিগুলো টেবিলে রাখুন।
歌颂	প্রশংসা করে গাওয়া	এই কবিতা শ্রমিকদের প্রশংসা করে।
疙瘩	গুটি	তার বাহুতে একটি গুটি উঠেছে।
鸽子	কবুতর	চত্বরে অনেক কবুতর আছে।
格局	বিন্যাস	এই ফ্ল্যাটের বিন্যাস খুব যুক্তিসঙ্গত।
格式	ফরম্যাট	দয়া করে নির্ধারিত ফরম্যাটে ফর্ম পূরণ করুন।
隔阂	দূরত্ব	ভুল বোঝাবুঝি তাদের মধ্যকার দূরত্ব বাড়িয়েছে।
隔离	আলাদা রাখা	রোগীকে সাময়িকভাবে আলাদা রাখতে হবে।
革命	বিপ্লব	এই বিপ্লব দেশের ভাগ্য বদলে দিয়েছে।
个体	ব্যক্তিসত্তা	প্রতিটি ব্যক্তিসত্তার আলাদা চাহিদা আছে।
各抒己见	নিজ নিজ মত প্রকাশ করা	সভায় সবাই নিজ নিজ মত প্রকাশ করেছে।
根深蒂固	গভীরভাবে প্রোথিত	এই ধারণা ইতিমধ্যেই গভীরভাবে প্রোথিত।
根源	মূল কারণ	দারিদ্র্যের মূল কারণ খুব জটিল।
跟前	সামনে	শিশুটি মায়ের সামনে দৌড়ে গেল।
跟随	অনুসরণ করা	সাংবাদিক দলটিকে অনুসরণ করে পাহাড়ি এলাকায় ঢুকলেন।
跟踪	অনুসরণ করে নজরদারি করা	পুলিশ সন্দেহভাজনের চলাফেরা অনুসরণ করে নজরদারি করছে।
更新	হালনাগাদ করা	সিস্টেম আজ রাতে নিজে থেকেই হালনাগাদ হবে।
更正	সংশোধন করা	পত্রিকা পরদিন ভুলটি সংশোধন করেছে।
耕地	জমি চাষ করা	কৃষকেরা বসন্তে জমি চাষ করছেন।
供不应求	চাহিদার তুলনায় সরবরাহ কম	এই ওষুধের বর্তমানে চাহিদার তুলনায় সরবরাহ কম।
供给	সরবরাহ	শহরের স্থিতিশীল পানি ও বিদ্যুৎ সরবরাহ দরকার।
