simplified	SL	example_SL
栋	stavba; števnik za stavbe	Ta stavba ima dvajset nadstropij.
兜	žep	Ključe je dal v žep plašča.
陡峭	strm	Ta planinska cesta je zelo strma.
斗争	boj	Borijo se za varstvo okolja.
督促	spodbujati; priganjati	Vodja je vse priganjal, naj nalogo končajo pravočasno.
毒品	droge; narkotiki	Carina je zasegla pošiljko narkotikov.
独裁	diktatura	Ljudje nasprotujejo diktaturi.
堵塞	zamašiti; blokada	Smeti so zamašile kanalizacijo.
赌博	hazardirati	Hazardiranje lahko prinese resne posledice.
杜绝	odpraviti; narediti konec	Podjetje zahteva, da se naredi konec zapravljanju.
端	nesti; konec	Vstopil je s skodelico vročega čaja v rokah.
端午节	Praznik zmajevih čolnov	Med Praznikom zmajevih čolnov jemo zongzi.
端正	popraviti; pravilen	Učenci bi morali popraviti svoj odnos do učenja.
短促	kratek	Izpustil je kratek vzdih.
断定	ugotoviti; presoditi	Za zdaj še ni mogoče ugotoviti, kdo ima prav.
断绝	pretrgati; prekiniti	Po nesreči je vas izgubila stik z zunanjim svetom.
堆积	kopičiti se	Sneg se je nakopičil ob cesti.
兑现	izpolniti obljubo	Končno je izpolnil svojo obljubo.
对策	protiukrep; rešitev	Ob soočenju s tveganji potrebujemo rešitve.
对称	simetričen	Leva in desna stran te stavbe sta zelo simetrični.
对付	spoprijeti se s	S tem problemom se ni lahko spoprijeti.
对抗	suprotstaviti se; pomeriti se	Obe ekipi se bosta pomerili v finalu.
对立	nasproten; v nasprotju	Stališči obeh strani sta popolnoma nasprotni.
对联	praznični dvostih	Med Pomladnim praznikom na vrata nalepijo praznične dvostihe.
对应	ustrezati	Vsaka številka ustreza enemu sedežu.
对照	primerjati	Prosimo, primerjajte prevod z izvirnikom.
队伍	povorka; vrsta	Povorka se je počasi premikala naprej.
顿时	takoj	Ko je slišal novico, je takoj otrpnil.
哆嗦	tresti se	Bilo je tako mrzlo, da se je ves čas tresel.
多元化	diverzifikacija	Podjetje spodbuja diverzifikacijo poslovanja.
堕落	moralno propadati	Noče si dovoliti, da bi še naprej moralno propadal.
额外	dodaten	Ta storitev zahteva dodatno plačilo.
恶心	slabost; slabo mi je	Ko sem zavohal tisti vonj, mi je postalo malo slabo.
恶化	poslabšati se	Če bolezni ne zdravimo, se lahko poslabša.
遏制	zajeziti; omejiti	Vlada je sprejela ukrepe za zajezitev onesnaževanja.
恩怨	zamera; spor	Zamera med tema dvema podjetjema traja že dolgo.
而已	samo to	To sem rekel kar tako, nič več.
二氧化碳	ogljikov dioksid	Rastline absorbirajo ogljikov dioksid.
发布	objaviti	Podjetje bo jutri objavilo nov izdelek.
发财	obogateti	Upa, da bo z marljivim delom obogatel.
发呆	zatopljeno strmeti	Sedela je ob oknu in zatopljeno strmela.
发动	sprožiti; mobilizirati	Prostovoljci so mobilizirali prebivalce, da očistijo ulico.
发觉	opaziti	Opazil sem, da je danes nekoliko živčen.
发射	izstreliti	Raketa bo izstreljena zvečer.
发誓	priseči	Prisegel je, da ne bo nikoli več lagal.
发行	izdati; dati v distribucijo	Ta film bo izšel naslednji mesec.
发炎	vneti se	Rana je nekoliko vneta.
发扬	razvijati; negovati	Moramo negovati duh timskega sodelovanja.
发育	razvoj; razvijati se	Telesni razvoj otrok potrebuje dovolj hranil.
法人	pravna oseba	To podjetje je samostojna pravna oseba.
番	besede; izjava	Te besede so me zelo navdihnile.
凡是	vsak; vse	Vsak, ki se prijavi, se mora udeležiti usposabljanja.
繁华	živahen; cvetoč	Ta ulica je bila nekoč zelo živahna.
繁忙	zaseden; prometen	Letališče je med prazniki posebej zasedeno.
繁体字	tradicionalna kitajska pismenka	Na Tajvanu pogosto pišejo s tradicionalnimi kitajskimi pismenkami.
繁殖	razmnoževati se	Ta vrsta rastline se zlahka razmnožuje.
反驳	ovreči	S podatki je ovrgel to stališče.
反常	nenavaden	Današnje vreme je nekoliko nenavadno.
反感	odpor; ne marati	Do takega oglasa imam močan odpor.
反抗	upirati se	Ljudje so se začeli upirati nepravičnemu pravilu.
反馈	povratna informacija	Stranke so v povratnih informacijah povedale, da je sistem zelo stabilen.
反面	hrbtna stran; nasprotna stran	Prosimo, obrnite papir na hrbtno stran.
反射	odsevati; odboj	Ogledalo odseva svetlobo.
反思	premisliti; razmisliti za nazaj	Po neuspehu je resno premislil razloge.
反问	odvrniti z vprašanjem	Ni odgovoril, ampak mi je odvrnil z vprašanjem.
反之	nasprotno	Previsoke cene zmanjšujejo povpraševanje, nasprotno pa velja enako.
泛滥	preliti se; poplaviti	Močan dež je povzročil, da se je reka razlila.
范畴	kategorija	To vprašanje spada v pravno kategorijo.
贩卖	prodajati; preprodajati	Zakon prepoveduje prodajo ponarejenih zdravil.
方位	smer	Na zemljevidu je označena natančna smer.
方言	narečje	Razume krajevno narečje.
方圆	v krogu	V krogu desetih kilometrov ni bolnišnice.
方针	politika; smernice	Podjetje je oblikovalo novo razvojno politiko.
防守	obramba	Obramba te ekipe je zelo stabilna.
防御	obramba	Mestno obzidje je nekoč služilo za obrambo pred sovražniki.
防止	preprečiti	Prosimo, pripnite varnostni pas, da preprečite poškodbe.
防治	preprečevanje in zdravljenje	Zdravnik je razložil metode preprečevanja in zdravljenja bolezni.
纺织	tekstil; tkanje	To mesto je znano po tekstilni industriji.
访问	obiskati; intervjuvati	Novinar bo jutri obiskal tega pisatelja.
放大	povečati	Prosimo, malo povečajte sliko.
放射	sevati	Ta material seva toploto.
非法	nezakonit	Nezakonite transakcije bodo kaznovane.
飞禽走兽	ptice in živali	V gozdu živijo različne ptice in živali.
飞翔	leteti	Galebi letijo nad morjem.
飞跃	velik skok	Tehnološki razvoj je dosegel velik skok.
肥沃	rodoviten	Ta zemlja je zelo rodovitna.
诽谤	obrekovati; obrekovanje	Za obrekovanje drugih je treba nositi pravno odgovornost.
废除	odpraviti; razveljaviti	To staro pravilo je že odpravljeno.
废寝忘食	pozabiti na spanje in hrano	Zaradi raziskovanja je pozabil na spanje in hrano.
废墟	ruševine	Po potresu se je tisti kraj spremenil v ruševine.
沸腾	vreti	Voda že vre.
肺	pljuča	Kajenje lahko poškoduje pljuča.
分辨	razločiti; razlikovati	Težko razločim ti dve barvi.
分寸	mera; primernost	Tudi pri šali je treba paziti na mero.
分红	dividenda	Delničarji lahko ob koncu leta prejmejo dividende.
分解	razčleniti; razgraditi	Učitelj je zapleten problem razčlenil na več korakov.
分裂	razcepiti se; razdeliti se	Notranja nasprotja so povzročila razcep organizacije.
分泌	izločati	Ta vrsta žleze izloča hormone.
分明	jasen	Dejstva so že zelo jasna.
分歧	nesoglasje	Obe strani imata nesoglasja glede cene.
分散	razpršiti; porazdeliti	Prosimo, porazdelite tveganje med različne projekte.
吩咐	naročiti; ukazati	Šef mi je naročil, naj uredim dokumente.
坟墓	grob	Na pobočju je star grob.
粉末	prah	Prosimo, zmeljite tablete v prah.
粉色	rožnat	Kupila je rožnat šal.
粉碎	razbiti; zdrobiti	Policija je razbila to kriminalno združbo.
分量	teža; pomen	Ta stavek ima veliko težo.
愤怒	jeza	Njegov ton je bil poln jeze.
丰满	bogat; poln	Vsebina tega članka še ni dovolj bogata.
丰盛	obilen; razkošen	Pripravili so obilno večerjo.
丰收	dobra letina	Kmetje so imeli letos dobro letino.
封闭	zapreti	Ta cesta bo med gradnjo zaprta.
封建	fevdalen	Tak fevdalen način razmišljanja bi se moral že zdavnaj spremeniti.
封锁	zapreti; blokirati	Policija je zaprla kraj nesreče.
锋利	oster	Ta nož je zelo oster.
风暴	nevihta; vihar	Na morju se je nenadoma pojavila nevihta.
风度	eleganca; dostojanstvena drža	Na odru je deloval zelo elegantno.
风光	pokrajina; razgled	Tukajšnja naravna pokrajina je zelo lepa.
风气	ozračje; navada	Šola je ustvarila dobro učno ozračje.
风趣	duhovitost	Govori zelo duhovito.
风土人情	krajevni običaji	Potovanje pomaga spoznati krajevne običaje.
风味	lokalni okus; krajevni slog	Ta lokal ima izrazit lokalni okus.
逢	vsakič ko	Vsak konec tedna je park živahen.
奉献	posvetiti; prispevati	Zdravnik je bolnikom posvetil veliko časa.
否决	zavrniti; vložiti veto	Upravni odbor je zavrnil ta predlog.
夫妇	zakonski par	Ta zakonski par vodi majhno trgovino.
夫人	žena; gospa	Gospod Wang in njegova žena sta se skupaj udeležila večerje.
敷衍	površen; odpraviti na hitro	Odgovoril je le z nekaj površnimi stavki.
俘虏	ujetnik	Po koncu vojne so ujetnike izpustili.
幅度	obseg	Obseg tega znižanja cen je velik.
服从	ubogati; pokoravati se	Vojaki morajo ubogati ukaze.
服气	biti prepričan; sprejeti poraz	Izgubil je tekmo, vendar poraza v sebi ni sprejel.
福利	ugodnosti	Zaposleni veliko pozornosti namenjajo ugodnostim podjetja.
福气	sreča	Srečati dobrega učitelja je njegova sreča.
符号	simbol	Ta simbol predstavlja nevarnost.
辐射	sevanje	Zdravnik ga je opomnil, naj se izogiba močnemu sevanju.
俯视	gledati od zgoraj	Z vrha gore je mogoče gledati na celo mesto od zgoraj.
抚摸	božati	Nežno je pobožala otroka po glavi.
抚养	vzgajati	Stari starši so pomagali vzgajati otroka.
腐败	korupcija	Vlada se bori proti korupciji.
腐烂	gniti	Sadje bo zgnilo, če predolgo stoji.
腐蚀	razjedati; korodirati	Kislina lahko razjeda kovinsko površino.
腐朽	preperel; propadel	Kritizirali so propadli sistem.
辅助	pomagati; pomožen	To orodje lahko pomaga pri poučevanju.
副	namestnik; pomožen	Imenovana je bila za namestnico vodje.
复活	oživiti	Ta tradicionalni praznik se znova oživlja.
复兴	obnova; preporod	Kulturna obnova zahteva dolgotrajen trud.
富裕	premožen; bogat	Ta vas je zdaj vse bolj premožna.
腹泻	driska	Ima hudo drisko in mora k zdravniku.
覆盖	pokriti	Močan sneg je pokril celo dolino.
负担	breme	Najemnina je postala njegovo glavno breme.
赋予	podeliti; dati	Zakon državljanom podeljuje temeljne pravice.
附和	pritrjevati	Nima lastnega mnenja in drugim samo pritrjuje.
附件	priloga	Prosimo, preverite prilogo v e-pošti.
附属	pridružen; pomožen	Ta bolnišnica je pridružena univerzi.
改良	izboljšati	Strokovnjaki izboljšujejo to vrsto riža.
盖章	opečatiti	Po podpisu je treba pogodbo opečatiti.
钙	kalcij	Mleko vsebuje veliko kalcija.
尴尬	neprijeten; neroden	Na sestanku je nastala neprijetna tišina.
干旱	suša	Dolgotrajna suša je vplivala na pridelke.
干扰	motiti	Hrup me moti pri delu.
干涉	vmešavati se	Starši se ne bi smeli preveč vmešavati v izbire otrok.
干预	posredovati; intervenirati	Vlada je pravočasno posredovala zaradi tržnega tveganja.
感慨	biti ganjen	Ko je videl stare fotografije, je bil zelo ganjen.
感染	okužiti	Ta virus zlahka okuži otroke.
干劲	delovni zagon	Vsi delajo z velikim zagonom.
扛	dvigniti; nositi	Legenda pravi, da je bil dovolj močan, da je dvignil težek kotel.
纲领	program	Sestanek je sprejel nov akcijski program.
岗位	delovno mesto	Hitro se je prilagodila novemu delovnemu mestu.
港口	pristanišče	Tovorna ladja je pristala v pristanišču.
港湾	zaliv; pristaniški zaliv	Majhen čoln je zaplul v miren zaliv.
杠杆	vzvod; finančni vzvod	Ta naložba je uporabila visok finančni vzvod.
高超	odličen; vrhunski	Njegova spretnost pri popravljanju avtomobilov je odlična.
高潮	vrhunec	Tekma je dosegla vrhunec v zadnjih desetih minutah.
高峰	vrh; konica	Ob osmih zjutraj je prometna konica.
高明	domišljen; izvrsten	Ta metoda je res domišljena.
高尚	plemenit	Poklicni duh zdravnika je plemenit.
高涨	naraščati	Navdušenje občinstva je nenehno naraščalo.
稿件	rokopis	Urednik popravlja rokopis.
告辞	posloviti se	Pozno je že, zato se bomo najprej poslovili.
告诫	opozoriti	Učitelj je opozoril učence, naj ne goljufajo.
割	porezati se	Neprevidno si je porezal prst.
搁	položiti; odložiti	Prosimo, položite dokumente na mizo.
歌颂	hvaliti; opevati	Ta pesem opeva delavce.
疙瘩	bulka; zatrdlina	Na roki se mu je pojavila bulka.
鸽子	golob	Na trgu je veliko golobov.
格局	razpored; postavitev	Razpored tega stanovanja je zelo razumen.
格式	format	Prosimo, izpolnite obrazec v predpisanem formatu.
隔阂	odtujenost	Nesporazum je poglobil odtujenost med njima.
隔离	izolirati	Bolnika je treba začasno izolirati.
革命	revolucija	Ta revolucija je spremenila usodo države.
个体	posameznik	Vsak posameznik ima različne potrebe.
各抒己见	vsak izrazi svoje mnenje	Na sestanku je vsak izrazil svoje mnenje.
根深蒂固	globoko zakoreninjen	Ta predstava je že globoko zakoreninjena.
根源	koren; izvor	Koreni revščine so zelo zapleteni.
跟前	pred; blizu	Otrok je stekel k materi.
跟随	slediti	Novinar je sledil ekipi v gorsko območje.
跟踪	slediti; spremljati	Policija spremlja gibanje osumljenca.
更新	posodobiti	Sistem se bo nocoj samodejno posodobil.
更正	popraviti	Časopis je naslednji dan popravil napako.
耕地	obdelovalna zemlja; orati	Kmetje spomladi orjejo polja.
供不应求	povpraševanje presega ponudbo	To zdravilo je trenutno v pomanjkanju.
供给	oskrba	Mesto potrebuje stabilno oskrbo z vodo in elektriko.
公安局	urad javne varnosti	Šel je na urad javne varnosti prijavit primer.
公道	pravičnost; pravičen	Vsi upajo na pravično obravnavo.
公告	obvestilo	Šola je objavila obvestilo o prekinitvi pouka.
公关	odnosi z javnostmi	Podjetje je najelo profesionalno ekipo za odnose z javnostmi.
公民	državljan	Vsak državljan bi moral spoštovati zakon.
公然	odkrito	Odkrito je kršil pravila tekmovanja.
公认	splošno priznan	Splošno je priznana kot odlična učiteljica.
公式	formula	Prosimo, zapišite to matematično formulo.
公务	uradna zadeva	Zaradi uradne zadeve je odšel na tridnevno službeno pot.
公正	pravičen	Sodnik mora ostati pravičen.
公证	notarska overitev	Ta dokument potrebuje notarsko overitev.
功劳	zasluga	Za ta uspeh imajo zasluge vsi.
功效	učinkovitost	Učinkovitost tega zdravila je treba še preveriti.
宫殿	palača	Turisti so obiskali starodavno palačo.
工艺品	rokodelski izdelek	Ta rokodelski izdelek je narejen ročno.
恭敬	spoštljiv	Spoštljivo je pozdravil starejšo osebo.
攻击	napasti	Hekerji so napadli spletno stran podjetja.
攻克	premagati; rešiti	Raziskovalna ekipa je premagala tehnično težavo.
巩固	utrditi	Ponavljanje lahko utrdi naučeno znanje.
共和国	republika	Ta republika je bila ustanovljena v prejšnjem stoletju.
共计	skupaj; znašati	Ta pošiljka skupaj obsega tristo škatel.
共鸣	odziv; resonanca	Ta pesem je naletela na odziv pri mnogih ljudeh.
勾结	spajdašiti se	Spajdašili so se z zunanjimi ljudmi, da bi z goljufijo prišli do denarja.
钩子	kavelj	Na steni visi več kavljev.
构思	snovati; oblikovati zamisel	Pisatelj snuje nov roman.
姑且	za zdaj	Za zdaj preizkusimo ta načrt en teden.
孤独	osamljen	Po selitvi v novo mesto se je počutil osamljenega.
孤立	izoliran	Na ta problem ne glej izolirano.
辜负	razočarati	Ne želim razočarati pričakovanj svojih staršev.
古董	starina	Dedek je zbral nekaj starin.
古怪	čuden	Njegova zamisel je nekoliko čudna.
股东	delničar	Skupščina delničarjev bo potekala naslednji teden.
股份	delež; delnice	Ima delež v podjetju.
骨干	opora; jedro	Ti inženirji so opora ekipe.
鼓动	spodbujati; hujskati	Nekdo je hujskal množico k protestu.
固然	resda	Ta metoda je resda preprosta, vendar tveganje ni majhno.
固体	trdna snov	Led je trdna oblika vode.
固有	lasten; prirojen	Vsaka kultura ima svoje lastne značilnosti.
固执	trmast	Preveč je trmast in noče poslušati nasvetov.
故乡	rojstni kraj; domači kraj	Po mnogih letih se je vrnil v domači kraj.
故障	okvara	Dvigalo se je pokvarilo in je začasno izven uporabe.
雇佣	zaposliti	Podjetje se je odločilo zaposliti več tehničnega osebja.
顾虑	pomislek; skrb	Če imaš kakšne pomisleke, jih lahko poveš neposredno.
顾问	svetovalec	Najeli smo pravnega svetovalca.
拐杖	sprehajalna palica	Starejši moški pogosto vzame sprehajalno palico, ko gre ven.
关怀	skrb; pozornost	Učitelj je učencem namenil veliko skrbi.
关照	paziti na; poskrbeti za	Prosim, na poti pazi na otroka.
官方	uraden	Uradna novica bo objavljena jutri.
观光	ogled znamenitosti	Turisti so se z ladjo odpravili na ogled znamenitosti.
管辖	imeti pristojnost	To območje je pod pristojnostjo mestne uprave.
惯例	ustaljena praksa	Pred začetkom sestanka je ustaljena praksa najprej predstaviti goste.
灌溉	namakati	Kmetje z rečno vodo namakajo polja.
罐	pločevinka; kozarec	Na mizi je kozarec čajnih listov.
贯彻	izvajati; uresničiti	Podjetje mora izvajati nove varnostne standarde.
光彩	sijaj	Ta obleka ji je dala poseben sijaj.
光辉	slaven; bleščeč	Njegovi dosežki so pustili slavno stran v zgodovini.
光芒	žarki	Sončni žarki so osvetlili dolino.
光荣	časten	Služiti državi je častno.
广阔	prostran	Travnata ravnica se razteza brez konca in je zelo prostrana.
归根到底	v končni analizi	V končni analizi je težava v upravljanju.
归还	vrniti	Prosim, pravočasno vrni knjige.
规范	norma; standard	Šola je določila standarde za upravljanje laboratorija.
规格	specifikacija	Specifikacije te serije delov niso enotne.
规划	načrtovanje	Urbanistično načrtovanje mora upoštevati promet.
规章	pravilo; predpis	Zaposleni morajo upoštevati pravila podjetja.
轨道	tir; orbita	Vlak se premika po tirih.
贵族	plemstvo	Ta posest je nekoč pripadala plemstvu.
跪	poklekniti	Pokleknil je pred kipom.
棍棒	palica	Policija je na kraju dogodka zasegla palice.
国防	nacionalna obramba	Gradnja nacionalne obrambe zahteva dolgoročne naložbe.
国务院	Državni svet	Državni svet je izdal novo obvestilo.
果断	odločen	Vodja je odločno sprejel odločitev.
过度	pretiran	Pretirana uporaba telefona lahko vpliva na spanec.
过渡	prehod	Podjetje je v prehodni fazi preobrazbe.
过奖	preveč hvaliti	Preveč me hvališ, še vedno se moram učiti.
过滤	filtrirati	Ta naprava lahko filtrira nečistoče.
过失	napaka	To nesrečo je povzročila človeška napaka.
过问	vmešavati se; ukvarjati se	Vodja se redko vmešava v take malenkosti.
过瘾	zelo zadovoljiv	Gledanje te tekme je bilo res zelo zadovoljivo.
过于	preveč	Ta načrt je preveč zapleten.
嗨	hej	Hej, kako to, da si prišel tudi ti?
海拔	nadmorska višina	Ta vas leži na visoki nadmorski višini.
海滨	morska obala	Vikend so preživeli na morski obali.
含糊	nejasen	Njegov odgovor je bil zelo nejasen.
含义	pomen	Ta beseda ima poseben pomen.
寒暄	izmenjati vljudnostne pozdrave	Po srečanju so si najprej izmenjali nekaj vljudnostnih pozdravov.
罕见	redek	Ta bolezen je zelo redka.
捍卫	braniti; varovati	Odvetnik si je prizadeval braniti pravice stranke.
航空	letalstvo	Letalska družba je odpovedala let.
航天	vesoljski poleti; astronavtika	Kitajska astronavtika se hitro razvija.
航行	pluti	Ladja pluje po morju.
行列	vrste; skupina	Pridružila se je vrstam prostovoljcev.
毫米	milimeter	Ta kos stekla je debel pet milimetrov.
毫无	povsem brez	Njegova razlaga je povsem brez podlage.
豪迈	junaški; drzen	Njegovo petje je bilo drzno in močno.
号召	pozvati	Vlada je pozvala vse, naj varčujejo z vodo.
耗费	porabiti	Ta projekt je porabil veliko sredstev.
呵	zavpiti	Oče je zavpil in otrok se je takoj ustavil.
合并	združiti se	Podjetji se nameravata prihodnje leto združiti.
合成	sintetizirati	Ta material je mogoče umetno sintetizirati.
合伙	skupaj ustanoviti	Skupaj so odprli restavracijo.
合算	izplačati se	Vožnja z avtobusom se bolj izplača kot taksi.
和蔼	prijazen; ljubezniv	Ta zdravnik govori zelo prijazno.
和解	poravnava; sprava	Obe strani sta na koncu dosegli poravnavo.
和睦	harmoničen	Sosedje se med seboj razumejo zelo harmonično.
和气	prijazen	Šef z ljudmi ravna zelo prijazno.
和谐	skladen; harmoničen	Glasba je vzdušje naredila bolj harmonično.
嘿	hej	Hej, si slišal?
痕迹	sled	Na tleh so ostale sledi koles.
狠心	brezsrčen; krut	Kruto je zavrnil prijateljevo prošnjo.
恨不得	najraje bi	Najraje bi takoj odšel domov počivat.
哼	prhniti	Nezadovoljno je prhnil.
横	vodoraven	Prosim, na papir nariši vodoravno črto.
哄	bruhniti v smeh	Vsi so naenkrat bruhnili v smeh.
烘	peči	Kruh se peče v pečici.
轰动	senzacija	Ta novica je povzročila senzacijo po vsej državi.
宏观	makro; celosten	Gospodarstvo moramo analizirati z makro vidika.
宏伟	veličasten	Zasnova tega mostu je zelo veličastna.
洪水	poplava	Poplava je uničila več mostov.
喉咙	grlo	Preveč je govoril in malo ga boli grlo.
吼	rjoveti; kričati	Glasno je kričal proti daljavi.
候选	kandidat	Letos je kandidatka za predstavnico.
后代	prihodnje generacije	Okolje moramo varovati za prihodnje generacije.
后顾之忧	skrbi za prihodnost	Stalen dohodek ga je rešil skrbi za prihodnost.
后勤	logistika	Logistični oddelek je odgovoren za oskrbo z materiali.
呼唤	klicati	Mati je pri vratih klicala otroka.
呼啸	zavijati	Mrzel veter je zavijal za oknom.
呼吁	pozvati; apelirati	Strokovnjaki so pozvali vse, naj zmanjšajo zapravljanje.
忽略	prezreti; zanemariti	Prosim, ne prezri te podrobnosti.
湖泊	jezero	Na tem območju je veliko naravnih jezer.
胡乱	naključno; nemarno	Ne odlagaj stvari naključno na tla.
胡须	brada	Njegova brada je že posivela.
花瓣	cvetni list	Po dežju so cvetni listi ležali po vseh tleh.
花蕾	cvetni popek	Spomladi na vejah zrastejo cvetni popki.
华丽	razkošen	Kostumi na odru so bili zelo razkošni.
华侨	čezmorski Kitajec	Mnogi čezmorski Kitajci so se vrnili domov vlagat.
划分	razdeliti	Učitelj je učence razdelil v štiri skupine.
化肥	kemično gnojilo	Kmetje so na pridelke nanesli kemično gnojilo.
化石	fosil	Muzej je razstavil fosile dinozavrov.
化验	laboratorijska preiskava	Zdravnik ga je poslal na krvno preiskavo.
化妆	ličiti se	Pred nastopom na odru se je ličila.
画蛇添足	po nepotrebnem pretiravati	Dodati še razlago bi bilo po nepotrebnem pretiravanje.
话筒	mikrofon	Voditelj je mikrofon podal občinstvu.
欢乐	veselje; radost	Praznični trg je bil poln veselja.
环节	del; faza	Vsak del usposabljanja je zelo pomemben.
还原	obnoviti	Prosim, obnovi nastavitve na privzeto stanje.
缓和	ublažiti se	Odnosi med stranema so se postopoma ublažili.
患者	pacient	Zdravnik sprašuje o stanju pacienta.
荒凉	pust; opustel	Ta pokrajina je videti zelo pusta.
荒谬	absurden	Ta razlaga zveni absurdno.
荒唐	nesmiseln	Njegova odločitev je bila preveč nesmiselna.
皇帝	cesar	Cesar je živel v veličastni palači.
皇后	cesarica	Cesarica se je udeležila slovesnosti.
黄昏	somrak	Ob somraku so se prižgale ulične luči.
恍然大悟	nenadoma razumeti	Ko je slišal razlago, je nenadoma razumel.
晃	zamajati se; švigniti	Za trenutek mu je švignilo pred očmi in ni ga bilo več.
挥霍	zapravljati	Ne bi smel zapravljati denarja svojih staršev.
辉煌	slaven; veličasten	To mesto ima slavno zgodovino.
回报	nagrada; povračilo	Trdo delo bo na koncu prineslo nagrado.
回避	izogibati se	Ves čas se je izogibal temu vprašanju.
回顾	pregledati; ozreti se	Na koncu so na sestanku pregledali delo za vse leto.
回收	reciklirati; zbirati	Soseska je začela zbirati stare baterije za recikliranje.
悔恨	kesanje; obžalovanje	Obžaloval je svoje pretekle napake.
毁灭	uničiti	Vojna je skoraj uničila to mesto.
会晤	srečati se	Voditelja obeh držav se bosta srečala jutri.
汇报	poročati	Vodji je poročal o napredku.
贿赂	podkupnina; podkupiti	Uradnika so preiskovali zaradi podkupovanja.
昏迷	koma; nezavest	Pacient je še vedno v komi.
荤	mesna jed	Ta jed vsebuje meso in ni primerna za vegetarijance.
浑身	celo telo	Po teku je bil ves prepoten.
混合	zmešati	Prosim, enakomerno zmešaj oba materiala.
混乱	zmeda; kaos	Na kraju dogodka je nekaj časa vladal velik kaos.
混淆	zamenjevati; pomešati	Ne zamenjuj teh dveh pojmov.
混浊	moten; kalen	Po dežju je rečna voda postala kalna.
活该	zaslužiti si	Ni poslušal nasvetov, zato si je neuspeh zaslužil.
活力	vitalnost	To mesto je polno vitalnosti.
火箭	raketa	Raketa je uspešno vstopila v načrtovano orbito.
火焰	plamen	Veter je plamene dvignil še višje.
火药	smodnik	Smodnik je spremenil starodavno vojskovanje.
货币	valuta	Denarna politika vpliva na gospodarski razvoj.
基地	baza; oporišče	Tu je bila nekoč pomembna vadbena baza.
基金	sklad	Šola je ustanovila štipendijski sklad.
基因	gen	Znanstveniki preučujejo ta gen.
机动	mobilen; gibljiv	Ta ekipa ohranja visoko mobilnost.
机构	ustanova; organizacija	Ta ustanova je odgovorna za preverjanje kakovosti.
机灵	bister; iznajdljiv	Ta otrok je zelo bister.
机密	zaupen; tajen	Ti materiali so zaupni.
机械	stroji; mehanizacija	Tovarna je uvedla nove stroje.
机遇	priložnost	Mladi morajo izkoristiti priložnosti.
机智	duhovit; iznajdljiv	Njegov odgovor je bil zelo iznajdljiv.
激发	spodbuditi	Učitelj je spodbudil zanimanje učencev.
激励	motivirati; spodbuditi	Ta uspeh je spodbudil celotno ekipo.
激情	strast	Med govorom je bil poln strasti.
讥笑	posmehovati se	Ne posmehuj se napakam drugih ljudi.
饥饿	lakota	Dolgotrajna lakota lahko vpliva na zdravje.
即便	tudi če	Tudi če bo deževalo, bomo odšli pravočasno.
即将	kmalu; tik pred	Sestanek se bo kmalu začel.
及早	čim prej	Težave je treba rešiti čim prej.
吉祥	srečen; ugoden	Rdeča barva na Kitajskem pogosto simbolizira srečo.
嫉妒	zavidati	Ne bi smel zavidati uspeha sodelavcu.
急功近利	iskati hitro korist	Raziskovanja ne smemo voditi z željo po hitri koristi.
急剧	nagel; strm	Prodaja je naglo padla.
急切	nestrpen; zaskrbljen	Nestrpno je čakala na novice.
急于求成	hiteti k hitrim rezultatom	Pri učenju jezika ne smeš hiteti k hitrim rezultatom.
急躁	nestrpen	Ob težavah ne bodi nestrpen.
极端	skrajen; ekstremen	Takšno ekstremno vreme je vse pogostejše.
极限	meja	Ta trening je preizkusil njegove meje.
疾病	bolezen	Dobre navade lahko preprečijo bolezni.
籍贯	kraj izvora	V obrazec je treba vpisati kraj izvora.
级别	raven	Tekmovanje je razdeljeno na tri ravni.
集团	skupina; korporacija	Ta skupina ima podružnice v tujini.
给予	dati; zagotoviti	Šola daje pomoč revnim učencem.
季军	tretje mesto	Na tekmovanju je osvojil tretje mesto.
季度	četrtletje	Podjetje vsako četrtletje objavi finančno poročilo.
寂静	tišina; tih	Nočna dolina je še posebej tiha.
寄托	položiti; zaupati	Svoje upe je položila v otroka.
忌讳	tabu	Domačini imajo pogovor o tem pri mizi za tabu.
技巧	spretnost; tehnika	Obvladovanje tehnik lahko poveča učinkovitost.
纪要	zapisnik	Tajnica je uredila zapisnik sestanka.
继承	podedovati; nadaljevati	Podedoval je očetovo delo.
计较	pretirano se ukvarjati	Ne ukvarjaj se pretirano s tako majhno stvarjo.
记性	spomin	Ima zelo dober spomin.
记载	zabeležiti	Zgodovinske knjige so zabeležile to vojno.
迹象	znak	Trenutno ni znakov izboljšanja.
佳肴	poslastica	Miza je bila polna okusnih poslastic.
加工	obdelati	Te surovine je treba dodatno obdelati.
加剧	zaostriti se	Konflikt se zaostruje.
夹杂	mešati se	V zvok dežja se je mešalo grmenje.
家常	domač	Rad jem domače jedi.
家伙	tip	Tisti tip vedno zamuja.
家属	družinski član	Zdravnik je obvestil družinske člane pacienta.
家喻户晓	splošno znan	Ta zgodba je splošno znana.
坚定	trden	Njen odnos je zelo trden.
坚固	trden	Ta most je zelo trden.
坚韧	vzdržljiv; žilav	Ima zelo vzdržljiv značaj.
坚实	trden; soliden	Ta raziskava ima trdno osnovo.
坚硬	trd	Ta kamen je zelo trd.
