simplified	IT	example_IT
条件	la condizione; il criterio	Lei soddisfa molto bene i nostri criteri di assunzione.
停	fermarsi; parcheggiare	L'auto si è fermata.
挺	abbastanza; raddrizzare	Questo libro è abbastanza buono.
通过	passare; tramite	Ho superato l'esame.
通知	avvisare; la notifica	Per favore, avvisa tutti di venire alla riunione.
同情	provare compassione; la compassione	Provo molta compassione per lui.
同时	allo stesso tempo	Lui ascolta musica mentre fa i compiti.
推	spingere	La mia auto è rotta, potresti aiutarmi a spingerla?
推迟	rimandare; posticipare	L'orario di partenza dell'aereo è stato ritardato di venti minuti.
脱	togliersi; togliere	La stanza è molto calda. Togliti il cappotto.
袜子	i calzini	Ho lavato i miei calzini.
完全	completamente; totale	Il tuo giudizio è completamente corretto.
往往	spesso; di solito	La domenica lui va spesso a fare una passeggiata nel parco.
网球	il tennis	Ho iniziato da poco a imparare a giocare a tennis.
网站	il sito web	Su questo sito ci sono molti materiali di cinese.
危险	il pericolo; pericoloso	Scalare una montagna da soli di notte è pericoloso.
卫生间	il bagno; la toilette	Mi scusi, dov'è il bagno?
味道	il sapore; l'odore	I baozi di questo ristorante sono molto buoni.
温度	la temperatura	In inverno la temperatura si abbassa sempre di più.
文章	l'articolo; il saggio	La parte più importante dell'articolo è il terzo paragrafo.
污染	l'inquinamento	L'inquinamento ambientale sta diventando sempre più grave.
无	non avere; senza	Le sue parole non hanno fondamento.
无聊	noioso; la noia	Questo programma è un po' noioso.
无论	non importa; qualunque	Non importa come lo spieghi, lui non capisce.
误会	fraintendere; il malinteso	Scusa, ti ho frainteso.
吸引	attirare	Questo film è molto attraente.
西红柿	il pomodoro	Ho comprato dei pomodori.
咸	salato	C'è troppo sale, il piatto è un po' salato.
现金	il contante	Non porto molto contante, ma il negozio accetta carte.
羡慕	invidiare; ammirare	Lo invidio perché ha un buon lavoro.
相反	opposto; al contrario	Quello che hai detto è il contrario di quello che capisco io.
相同	uguale; identico	La tua bicicletta è esattamente uguale alla mia.
香	profumato; delizioso	I piatti che cucini sono davvero deliziosi!
详细	dettagliato; in dettaglio	Il piano che ha fatto lei è molto dettagliato.
响	suonare; fare rumore	Ascolta, ha suonato il telefono?
橡皮	la gomma da cancellare	Puoi prestarmi la gomma da cancellare?
消息	la notizia; il messaggio	Questa notizia è davvero emozionante.
小吃	lo spuntino; lo street food	Quando vieni a Pechino, devi provare gli spuntini di Pechino.
小伙子	il giovane; il ragazzo	Quel giovane è molto cordiale.
小说	il romanzo	Sto leggendo questo romanzo.
效果	l'effetto; il risultato	Questa medicina per il raffreddore funziona molto bene.
笑话	la barzelletta; lo scherzo	Per favore, non prendere in giro gli altri.
心情	l'umore	Il suo umore è migliorato.
辛苦	duro; faticoso	Il lavoro di papà è molto duro.
信封	la busta	Lui ha messo la lettera scritta nella busta.
信息	l'informazione; il messaggio	Per favore, mandami i tuoi dati di contatto.
信心	la fiducia	Abbiamo molta fiducia in te, puoi farcela.
兴奋	emozionato; l'emozione	I bambini sono saltati emozionati quando hanno sentito che sarebbero andati in gita primaverile.
行	andare bene; funzionare	Così va bene?
醒	svegliarsi; essere sveglio	Mi sono svegliato alle sei del mattino.
幸福	la felicità; felice	I soldi non possono comprare la felicità.
性别	il sesso; il genere	Per favore, scrivi il sesso nella seconda riga del modulo.
性格	il carattere; la personalità	Mia moglie ha un ottimo carattere e non perde mai la calma.
修理	riparare; aggiustare	Dopo la riparazione, il mio computer funziona di nuovo normalmente.
许多	molti; molto	Per strada ci sono molti cestini.
学期	il semestre; il periodo scolastico	Questo semestre ho seguito molti corsi, tra cui arte, storia ed economia.
呀	particella che esprime sorpresa o dubbio	Ah, sta nevicando!
压力	la pressione	Ultimamente ha molta pressione al lavoro.
牙膏	il dentifricio	Ho finito il dentifricio, compriamolo domani.
亚洲	l'Asia; asiatico	La Cina è un paese asiatico.
严格	severo; rigoroso	L'insegnante è molto severo con noi.
严重	serio; grave	La sua malattia è grave.
盐	il sale	C'è troppo sale, il piatto è un po' salato.
研究	la ricerca; studiare	Lui sta studiando questo problema.
演出	lo spettacolo; esibirsi	Era nervoso per la prima esibizione.
演员	l'attore; l'attrice	Lui è un attore famoso.
眼镜	gli occhiali	Lui porta questi occhiali neri.
阳光	la luce del sole	La luce del sole è entrata nella stanza dalla finestra.
养成	formare; sviluppare un'abitudine	Ho sviluppato questa abitudine fin da piccolo.
样子	l'aspetto; il modo	Questo vestito sembra molto bello.
邀请	invitare; l'invito	Lui ha rifiutato l'invito di tutti.
要是	se	Se arrivi prima tu, aspettami.
钥匙	la chiave	Oggi ho dimenticato di portare la chiave.
也许	forse; probabilmente	Forse non verrà.
叶子	la foglia	È arrivata la primavera e i giovani alberi hanno nuove foglie.
页	la pagina	Per favore, vai a pagina dieci.
一切	tutto	La mamma è responsabile di tutto in famiglia.
以	prendere come; secondo	Per favore, prendi questa frase come esempio.
以为	pensare; credere	Pensavo che fossi andato via.
意见	l'opinione; il suggerimento	Accetto tutte le tue opinioni.
艺术	l'arte	Sono molto interessato all'arte.
因此	perciò; di conseguenza	Era malato, quindi non è venuto a lezione.
引起	causare; provocare	Questa cosa ha reso tutti scontenti.
印象	l'impressione	Lui mi ha fatto un'ottima impressione.
赢	vincere	Chi ha vinto la partita di calcio ieri?
应聘	candidarsi per un lavoro	Lei vuole candidarsi per questo lavoro.
勇敢	coraggioso	Mio fratello è una persona molto coraggiosa.
永远	per sempre; mai	Non dimenticherò mai il tuo aiuto.
优点	il pregio; il punto forte	Non bisogna confrontare i propri difetti con i pregi degli altri.
优秀	eccellente; ottimo	Lui è un ottimo medico.
幽默	l'umorismo; spiritoso	Il professor Li parla in modo molto spiritoso.
尤其	soprattutto; specialmente	Gli piace dipingere, soprattutto la pittura cinese.
由	da; essere organizzato da	Questo evento è organizzato da noi.
由于	a causa di; dovuto a	A causa della pioggia, la partita è stata rimandata.
邮局	l'ufficio postale	L'ufficio postale apre alle nove del mattino.
友好	amichevole; cordiale	Il mio padrone di casa è molto gentile e mi aiuta spesso.
友谊	l'amicizia	Tra noi c'è una profonda amicizia.
有趣	interessante; divertente	Questo è davvero un sogno interessante!
于是	allora; quindi	Volevo chiedergli una cosa, quindi l'ho chiamato.
愉快	piacevole; felice	Buon fine settimana!
与	con; e	Lui è molto sicuro di sé e gli piace competere con gli altri.
羽毛球	il badminton	Giochi spesso a badminton?
语法	la grammatica	Ho imparato alcune conoscenze di grammatica di base.
语言	la lingua	Imparare una lingua richiede una certa comprensione della sua grammatica.
预习	preparare la lezione	Per favore, prepara bene il testo in anticipo.
原来	originario; di prima	Vivo ancora nello stesso posto di prima.
原谅	perdonare	Per favore, perdona quello che ho appena detto.
原因	la causa; il motivo	Lui ha spiegato molto chiaramente il motivo.
约会	l'appuntamento; uscire insieme	Lei ha iniziato a uscire con Xiao Li.
阅读	leggere; la lettura	Sto leggendo questo romanzo.
云	la nuvola	Ci sono sempre più nuvole nel cielo.
允许	permettere; consentire	Per favore, permettetemi di presentarmi.
杂志	la rivista	Gli articoli di questa rivista sono scritti molto bene.
咱们	noi	Quanto sono le nostre spese di vita questo mese?
暂时	temporaneamente; per ora	Ha parcheggiato temporaneamente l'auto sul lato della strada.
脏	sporco	Ho sporcato i vestiti per sbaglio.
责任	la responsabilità	Siamo tutti responsabili di questa questione.
增加	aumentare	Il numero degli studenti è aumentato quest'anno.
占线	occupato; linea occupata	Ho chiamato diverse volte di fila, ma la linea era occupata.
招聘	assumere; il reclutamento	L'azienda sta assumendo nuovi dipendenti.
照	secondo; seguire	Segui questo piano.
真正	vero; autentico	Un vero amico ti aiuta quando incontri difficoltà.
整理	riordinare; sistemare	Per favore, riordina i libri sul tavolo.
正常	normale; regolare	Dopo la riparazione, il mio computer funziona di nuovo normalmente.
正好	proprio giusto; proprio in tempo	Quello che hai detto è il contrario di quello che capisco io.
正确	corretto; giusto	Il tuo giudizio è completamente corretto.
正式	formale; ufficiale	Ora la partita inizia ufficialmente.
证明	provare; la prova	I fatti dimostrano che lui ha ragione.
之	particella letteraria; di; uno di	Questa è una parte della cultura cinese.
支持	sostenere; appoggiare	Noi due dobbiamo sostenerci a vicenda.
知识	la conoscenza	Ho acquisito molte conoscenze leggendo.
值得	valere la pena	Questo romanzo vale la pena di essere letto.
植物	la pianta	Questo tipo di pianta ha bisogno di molta luce solare.
直接	diretto; direttamente	Dopo il lavoro, è andato direttamente a casa.
职业	la professione; il lavoro	Qual è la tua carriera ideale?
只好	non avere altra scelta che	La pioggia era così forte che abbiamo dovuto restare a casa.
只要	purché; a condizione che	Purché ti impegni, riuscirai a farlo bene.
指	il dito; indicare	Grazie per avermi fatto notare il mio errore.
至少	almeno	Questo edificio è alto almeno cento metri.
质量	la qualità; la massa	La qualità di queste scarpe è molto buona.
重	pesante; serio	Questa scatola è molto pesante.
重点	il punto principale; la priorità	Quello che ha appena detto è il punto principale del problema.
重视	dare importanza a; apprezzare	I genitori danno molta importanza all'educazione dei figli.
周围	i dintorni; intorno	Intorno alla scuola ci sono molti negozi.
主意	l'idea; il piano	Hai qualche buona idea? Facci sentire.
祝贺	congratularsi; congratulazioni	Congratulazioni per i tuoi buoni risultati.
著名	famoso; noto	Lui è un attore famoso.
专门	appositamente; specializzato	Sono venuto appositamente a trovarti.
专业	la specializzazione; la materia principale	All'università studio diritto.
转	girare; cambiare direzione	Gira a sinistra al primo incrocio davanti e vedrai l'ospedale.
赚	guadagnare; fare profitto	Ha guadagnato molti soldi facendo affari.
准确	accurato; preciso	La tua risposta è molto precisa.
准时	in orario; puntuale	La riunione è iniziata in orario.
仔细	attento; con attenzione	Lei fa le cose con molta attenzione.
自然	naturale; la natura	Dobbiamo proteggere l'ambiente naturale.
自信	la fiducia in sé; sicuro di sé	Lui è molto sicuro di sé e gli piace competere con gli altri.
总结	riassumere; il riepilogo	Per favore, riassumi per noi la tua esperienza di successo.
租	affittare	Ho affittato una casa vicino all'azienda.
最好	il migliore; sarebbe meglio	Lei è la mia migliore amica.
尊重	rispettare; il rispetto	Le persone oneste meritano il nostro rispetto.
左右	circa; sinistra e destra	Sembra avere circa quarant'anni.
作家	lo scrittore; la scrittrice	Hai letto il romanzo di questo scrittore?
作用	l'effetto; la funzione	Questa medicina per il raffreddore non ha effetto su di me.
作者	l'autore; l'autrice	L'autore di questo libro è molto famoso.
座	il sedile; classificatore per strutture	C'è un piccolo ponte sul fiume.
座位	il posto a sedere	Lui ha ceduto il posto a un anziano.
