source_headword	SI	example_SI
globe	පෘථිවිය	පෘථිවි ගෝලය සෑම මහාද්වීපයක්ම පෙන්වයි.
golden	රන්වන්	හිරු බැස යෑම රන්වන් පැහැයට හැරුණි.
goodness	යහපත්කම	ඇය මිනිසුන්ගේ යහපත්කම විශ්වාස කරයි.
gorgeous	අලංකාර	වත්ත ඉතා අලංකාරව පෙනුණි.
governor	ආණ්ඩුකාරවරයා	ආණ්ඩුකාරවරයා පනතට අත්සන් කළේය.
graphic	ග්‍රැෆික්	චිත්‍රක රූපය නරඹන්නන් කම්පනයට පත් කළේය.
graphics	ග්‍රැෆික්ස්	ක්‍රීඩාවේ සරල ග්‍රැෆික්ස් ඇත.
greatly	බෙහෙවින්	ඔබගේ උපදෙස් විශාල වශයෙන් උපකාරී විය.
greenhouse	හරිතාගාරය	තක්කාලි හරිතාගාරය තුළ වර්ධනය වේ.
grocery	සිල්ලර කඩය	ඇය වැඩ නිම වී සිල්ලර බඩු මිලදී ගත්තාය.
guideline	මාර්ගෝපදේශය	මාර්ගෝපදේශය මගින් ආරක්ෂිත පුරුදු විස්තර කරයි.
habitat	වාසස්ථානය	වනාන්තරය කුරුල්ලන්ගේ වාසස්ථානයකි.
harbour	වරාය	බෝට්ටුව වරායට ඇතුළු විය.
headquarters	මූලස්ථානය	සමාගමේ මූලස්ථානය නගරයට ගෙන යන ලදී.
