simplified	MY	example_MY
姑娘	မိန်းကလေး; အမျိုးသမီးငယ်	အဲဒီမိန်းကလေးက အလွန်စိတ်ရင်းကောင်းသည်။
古代	ရှေးခေတ်	ရှေးခေတ်တွင် မိုဘိုင်းဖုန်း မရှိခဲ့ပါ။
古典	ဂန္ထဝင်	ကျွန်တော် ဂန္ထဝင်ဂီတကို ကြိုက်သည်။
股票	ရှယ်ယာ	သူသည် ရှယ်ယာအချို့ ဝယ်ခဲ့သည်။
骨头	အရိုး	ဒီအရိုးက အလွန်မာသည်။
鼓舞	အားတက်စေသည်	ဒီသတင်းက လူကို အလွန်အားတက်စေသည်။
鼓掌	လက်ခုပ်တီးသည်	ပရိသတ်များက သရုပ်ဆောင်များအတွက် လက်ခုပ်တီးခဲ့ကြသည်။
固定	ပုံသေသော; ချည်နှောင်သည်	ကျွန်တော့်မှာ ပုံသေအလုပ်ချိန် ရှိသည်။
挂号	ဆေးရုံစာရင်းသွင်းသည်	ဆရာဝန်နှင့်မတွေ့ခင် အရင်စာရင်းသွင်းရမည်။
乖	လိမ္မာသော	ဒီကလေးက အလွန်လိမ္မာသည်။
拐弯	ကွေ့သည်	ရှေ့လမ်းဆုံတွင် ညာဘက်ကွေ့ပါ။
怪不得	အံ့ဩစရာမရှိပါ; ဒါကြောင့်	ဒါကြောင့် မင်း အရမ်းပင်ပန်းနေတာကိုး။
关闭	ပိတ်သည်	ထွက်မသွားခင် ကွန်ပျူတာကို ပိတ်ပါ။
官	အရာရှိ	သူသည် ငယ်ရွယ်သော အရာရှိတစ်ဦး ဖြစ်သည်။
观察	စောင့်ကြည့်သည်	ဆရာဝန်သည် လူနာ၏ အခြေအနေကို စောင့်ကြည့်နေသည်။
观点	အမြင်; ရှုထောင့်	ကျွန်တော် သင့်အမြင်ကို သဘောတူသည်။
观念	အယူအဆ; အတွေးအမြင်	လူငယ်များ၏ အယူအဆများ ပြောင်းလဲနေသည်။
管子	ပိုက်	ဒီပိုက်က ရေယိုနေသည်။
冠军	ချန်ပီယံ; ပထမဆုရှင်	သူမသည် ပြိုင်ပွဲတွင် ချန်ပီယံဆု ရရှိခဲ့သည်။
光滑	ချောမွေ့သော	ဒီစားပွဲ၏ မျက်နှာပြင်က အလွန်ချောမွေ့သည်။
光临	လာရောက်သည်; ကြွရောက်သည်	နောက်တစ်ကြိမ် ထပ်မံလာရောက်ရန် ကြိုဆိုပါသည်။
光明	တောက်ပသော; အလင်းရောင်	အနာဂတ်သည် တောက်ပနေသည်။
光盘	စီဒီပြား	ကျေးဇူးပြု၍ အချက်အလက်များကို စီဒီပြားထဲ သိမ်းပါ။
广场	ရင်ပြင်	ရင်ပြင်ပေါ်တွင် လူများစွာ ရှိသည်။
广大	ကျယ်ပြန့်သော; အများအပြားသော	ဒီသတင်းကို ကျောင်းသားအများအပြားက ကြိုဆိုခဲ့ကြသည်။
广泛	ကျယ်ပြန့်သော	ဒီစာအုပ်၏ သက်ရောက်မှုက ကျယ်ပြန့်သည်။
归纳	အနှစ်ချုပ်သည်	ဆရာက ကျွန်ုပ်တို့ကို အရေးကြီးအချက်များ အနှစ်ချုပ်ပေးခဲ့သည်။
规矩	စည်းကမ်း; ထုံးစံ	ကလေးများသည် စည်းကမ်းကို နားလည်သင့်သည်။
规律	စည်းချက်; ပုံမှန်စနစ်	ဘဝမှာ ပုံမှန်စည်းချက် ရှိသင့်သည်။
规模	အရွယ်အစား; အတိုင်းအတာ	ဒီကုမ္ပဏီ၏ အရွယ်အစားက အလွန်ကြီးသည်။
规则	စည်းမျဉ်း	ပြိုင်ပွဲစည်းမျဉ်းများက အလွန်ရှင်းလင်းသည်။
柜台	ကောင်တာ	ကျေးဇူးပြု၍ ကောင်တာတွင် ငွေရှင်းပါ။
滚	ဆူသည်; လှိမ့်သည်	ရေက ဆူပြီးပြီ။
锅	အိုး; ဒယ်အိုး	အိုးထဲမှာ ဟင်းရည်ပူ ရှိသည်။
国庆节	အမျိုးသားနေ့	အမျိုးသားနေ့တွင် ကျွန်ုပ်တို့ အားလပ်ရက် ရသည်။
国王	ဘုရင်	ဘုရင်သည် နန်းတော်တွင် နေထိုင်သည်။
果然	တကယ်ပင်; မျှော်လင့်သလို	သူ မျှော်လင့်သလို အချိန်မှန် ရောက်လာခဲ့သည်။
果实	အသီး; ရလဒ်	သစ်ပင်ပေါ်တွင် အသီးများ ပြည့်နေသည်။
过分	လွန်ကဲသော	သူ၏ တောင်းဆိုချက်က နည်းနည်းလွန်ကဲသည်။
过敏	ဓာတ်မတည့်သော	ကျွန်တော် ပန်းမှုန်နှင့် ဓာတ်မတည့်ပါ။
过期	သက်တမ်းကုန်သည်	ဒီနို့ပုလင်းက သက်တမ်းကုန်ပြီးပြီ။
哈	ဟား	ဟား၊ နောက်ဆုံးတော့ ကျွန်တော် နားလည်ပြီ။
海关	အကောက်ခွန်	ကျွန်ုပ်တို့ အကောက်ခွန်တွင် စစ်ဆေးရန် တန်းစီခဲ့ကြသည်။
海鲜	ပင်လယ်စာ	ဒီစားသောက်ဆိုင်၏ ပင်လယ်စာက အလွန်လတ်ဆတ်သည်။
喊	အော်သည်	စာသင်ခန်းထဲမှာ ကျယ်ကျယ် မအော်ပါနှင့်။
行业	လုပ်ငန်းနယ်ပယ်	ခရီးသွားလုပ်ငန်းနယ်ပယ်သည် လျင်မြန်စွာ ဖွံ့ဖြိုးနေသည်။
豪华	အဆင့်မြင့်ဇိမ်ခံသော	သူတို့သည် အဆင့်မြင့်ဇိမ်ခံဟိုတယ်တစ်ခုတွင် နေထိုင်နေကြသည်။
好客	ဧည့်ဝတ်ကျေသော	ဒေသခံလူများသည် အလွန်ဧည့်ဝတ်ကျေကြသည်။
好奇	စူးစမ်းလိုသော	ကလေးများသည် ကမ္ဘာကြီးအကြောင်း အလွန်စူးစမ်းလိုကြသည်။
何必	ဘာလို့လိုသလဲ; မလိုပါ	ကိစ္စသေးသေးလေးအတွက် ဘာလို့ဒေါသထွက်ရမလဲ။
何况	ထို့အပြင်; မဆိုထားနှင့်	ဒီနေ့ အေးတယ်၊ ထို့အပြင် မိုးလည်းရွာနေသည်။
合法	တရားဝင်သော	ဒီစာချုပ်သည် တရားဝင်သည်။
合理	သင့်လျော်သော; ကျိုးကြောင်းဆီလျော်သော	ဒီစျေးနှုန်းက သင့်လျော်သည်။
合同	စာချုပ်	သူတို့သည် စာချုပ်တစ်စောင် လက်မှတ်ရေးထိုးခဲ့ကြသည်။
合影	အုပ်စုပုံ; အတူဓာတ်ပုံရိုက်သည်	ဘွဲ့ယူချိန်တွင် ကျွန်ုပ်တို့ အုပ်စုပုံ ရိုက်ခဲ့ကြသည်။
合作	ပူးပေါင်းဆောင်ရွက်သည်	ကျွန်ုပ်တို့ ပူးပေါင်းဆောင်ရွက်ပြီး စီမံကိန်းကို ပြီးစီးခဲ့သည်။
和平	ငြိမ်းချမ်းရေး; ငြိမ်းချမ်းသော	လူတိုင်း ငြိမ်းချမ်းရေးကို မျှော်လင့်ကြသည်။
核心	အဓိက; နှလုံးသား	ယုံကြည်မှုသည် ပူးပေါင်းဆောင်ရွက်မှု၏ အဓိကဖြစ်သည်။
恨	မုန်းသည်; နောင်တရသည်	သူ စောစော မကြိုးစားခဲ့မိတာကို နောင်တရသည်။
猴子	မျောက်	တိရစ္ဆာန်ရုံထဲမှာ မျောက်အချို့ ရှိသည်။
后背	ကျောပြင်	သူ့ကျောပြင် နည်းနည်းနာနေသည်။
后果	အကျိုးဆက်	သင် အကျိုးဆက်ကို စဉ်းစားရမည်။
呼吸	အသက်ရှူသည်	ကျေးဇူးပြု၍ အသက်ပြင်းပြင်းရှူပါ။
忽然	ရုတ်တရက်	မိုးကောင်းကင် ရုတ်တရက် မှောင်လာသည်။
忽视	လျစ်လျူရှုသည်	ဒီပြဿနာကို မလျစ်လျူရှုပါနှင့်။
壶	အိုး; လက်ဖက်ရည်အိုး	စားပွဲပေါ်တွင် လက်ဖက်ရည်တစ်အိုး ရှိသည်။
糊涂	ရှုပ်ထွေးနေသော; မရှင်းလင်းသော	ယနေ့ ကျွန်တော် နည်းနည်းရှုပ်ထွေးနေသည်။
胡说	အဓိပ္ပာယ်မရှိပြောသည်	အဓိပ္ပာယ်မရှိ မပြောပါနှင့်၊ ဒါ မမှန်ပါ။
胡同	လမ်းကျဉ်း; ရှေးလမ်းကြား	ပေကျင်းတွင် ရှေးလမ်းကြားများစွာ ရှိသည်။
蝴蝶	လိပ်ပြာ	ဥယျာဉ်ထဲမှာ လိပ်ပြာတစ်ကောင် ရှိသည်။
花生	မြေပဲ	သူ မြေပဲစားရတာ ကြိုက်သည်။
华裔	တရုတ်နွယ်ဖွား	သူမသည် တရုတ်နွယ်ဖွား စာရေးဆရာမတစ်ဦး ဖြစ်သည်။
滑	ချော်သော; လျှောသည်	ကြမ်းပြင်က ချော်သည်၊ သတိထားပါ။
划	လှော်သည်	လှေစီးသောအခါ သူ လှေလှော်ရန် တာဝန်ယူသည်။
化学	ဓာတုဗေဒ	သူမ တက္ကသိုလ်တွင် ဓာတုဗေဒကို သင်ယူခဲ့သည်။
话题	ခေါင်းစဉ်	ဒီခေါင်းစဉ်က အလွန်စိတ်ဝင်စားစရာကောင်းသည်။
怀念	လွမ်းဆွတ်သည်	ကျွန်တော် တက္ကသိုလ်ဘဝကို အလွန်လွမ်းဆွတ်သည်။
怀孕	ကိုယ်ဝန်ရှိသည်	သူမ ကိုယ်ဝန်သုံးလ ရှိပြီ။
缓解	သက်သာစေသည်	အနားယူခြင်းသည် ဖိအားကို သက်သာစေနိုင်သည်။
幻想	စိတ်ကူးယဉ်သည်; စိတ်ကူးယဉ်မှု	သူ မကြာခဏ အာကာသခရီးသွားရန် စိတ်ကူးယဉ်သည်။
慌张	ထိတ်လန့်သော; အလောတကြီးဖြစ်သော	ပြဿနာကြုံလျှင် မထိတ်လန့်ပါနှင့်။
黄金	ရွှေ	ရွှေစျေး ထပ်တက်သွားသည်။
恢复	ပြန်လည်ကောင်းမွန်သည်; ပြန်လည်ထူထောင်သည်	သူ့ခန္ဓာကိုယ် ပြန်လည်ကောင်းမွန်လာနေသည်။
挥	ဝှေ့ယမ်းသည်	သူမ လက်ကို ဝှေ့ယမ်းခဲ့သည်။
灰	မီးခိုးရောင်; ပြာ	မိုးကောင်းကင်က မီးခိုးရောင် ဖြစ်နေသည်။
灰尘	ဖုန်မှုန့်	စားပွဲပေါ်တွင် ဖုန်မှုန့်များစွာ ရှိသည်။
灰心	စိတ်ဓာတ်ကျသည်	ရှုံးနိမ့်လည်း စိတ်ဓာတ်မကျပါနှင့်။
汇率	ငွေလဲနှုန်း	ယနေ့ ငွေလဲနှုန်း ဘယ်လောက်လဲ။
婚礼	မင်္ဂလာဆောင်	သူတို့၏ မင်္ဂလာဆောင်က အလွန်ရိုးရှင်းသည်။
婚姻	အိမ်ထောင်ရေး	အိမ်ထောင်ရေးတွင် အချင်းချင်း နားလည်မှု လိုအပ်သည်။
活跃	တက်ကြွသော	သူသည် အတန်းထဲတွင် အလွန်တက်ကြွသည်။
伙伴	အဖော်; မိတ်ဖက်	သူသည် ကျွန်တော့် အကောင်းဆုံးအဖော် ဖြစ်သည်။
火柴	မီးခြစ်ဆံ	ဘူးထဲတွင် မီးခြစ်ဆံတစ်ချောင်းသာ ကျန်သည်။
或许	ဖြစ်ကောင်းဖြစ်မည်	မနက်ဖြန် မိုးရွာဖြစ်ကောင်းဖြစ်မည်။
基本	အခြေခံသော	ဒါတွေက အခြေခံလိုအပ်ချက်များ ဖြစ်သည်။
机器	စက်	ဒီစက် ပျက်သွားသည်။
激烈	ပြင်းထန်သော	ပြိုင်ပွဲက အလွန်ပြင်းထန်ခဲ့သည်။
肌肉	ကြွက်သား	အားကစားလုပ်ပြီးနောက် ကြွက်သားတွေ နည်းနည်းနာသည်။
及格	အောင်သည်; စံမီသည်	ဒီစာမေးပွဲကို သူ အောင်ခဲ့သည်။
急忙	အလျင်အမြန်	သူ အတန်းခန်းထဲမှ အလျင်အမြန် ပြေးထွက်သွားသည်။
急诊	အရေးပေါ်ဌာန	လူနာကို အရေးပေါ်ဌာနသို့ ပို့ဆောင်ခဲ့သည်။
极其	အလွန်အမင်း	ဒီပြဿနာက အလွန်အမင်း အရေးကြီးသည်။
集合	စုဝေးသည်	ကျေးဇူးပြု၍ အားလုံး ရှစ်နာရီတွင် ဝင်ပေါက်မှာ စုဝေးပါ။
集体	အုပ်စု; စုပေါင်း	ဒါက စုပေါင်းလှုပ်ရှားမှုတစ်ခု ဖြစ်သည်။
集中	အာရုံစိုက်သည်; စုစည်းသည်	အတန်းတက်ချိန်တွင် အာရုံစိုက်ရမည်။
寂寞	အထီးကျန်သော	တစ်ယောက်တည်းနေခြင်းက တစ်ခါတစ်ရံ အထီးကျန်စေနိုင်သည်။
系领带	နက်ကတိုင်စည်းသည်	သူ နေ့တိုင်း အလုပ်မသွားခင် နက်ကတိုင်စည်းသည်။
纪录	မှတ်တမ်း	သူသည် ကျောင်းမှတ်တမ်းကို ချိုးခဲ့သည်။
纪律	စည်းကမ်း	အတန်းစည်းကမ်းသည် အလွန်အရေးကြီးသည်။
纪念	အမှတ်တရပြုသည်; အမှတ်တရ	ကျွန်ုပ်တို့ ဒီနေ့ကို အမှတ်တရအဖြစ် ဓာတ်ပုံရိုက်ခဲ့သည်။
计算	တွက်ချက်သည်	ကျေးဇူးပြု၍ စုစုပေါင်းကုန်ကျစရိတ်ကို တွက်ချက်ပါ။
记录	မှတ်တမ်းတင်သည်; မှတ်တမ်း	ကျေးဇူးပြု၍ အစည်းအဝေးအကြောင်းအရာကို မှတ်တမ်းတင်ပါ။
记忆	မှတ်ဉာဏ်; အမှတ်တရ	ဒီအမှတ်တရက အလွန်တန်ဖိုးရှိသည်။
嘉宾	ဂုဏ်သရေရှိဧည့်သည်	ယနေ့ဧည့်သည်သည် စာရေးဆရာတစ်ဦး ဖြစ်သည်။
夹子	ညှပ်	ကျေးဇူးပြု၍ စာရွက်စာတမ်းများကို ညှပ်ဖြင့် ညှပ်ထားပါ။
家庭	မိသားစု	မိသားစုသည် ကလေးများအတွက် အလွန်အရေးကြီးသည်။
家务	အိမ်မှုကိစ္စ	စနေ၊ တနင်္ဂနွေတွင် ကျွန်တော် အိမ်မှုကိစ္စ လုပ်ရမည်။
家乡	မွေးရပ်မြေ	ကျွန်တော် မွေးရပ်မြေကို အလွန်လွမ်းသည်။
假如	အကယ်၍	အကယ်၍ မနက်ဖြန် မိုးရွာလျှင် ကျွန်ုပ်တို့ မသွားတော့ပါ။
假设	ယူဆသည်; ယူဆချက်	အကယ်၍ သင် ဆရာဖြစ်ခဲ့လျှင် ဘယ်လိုလုပ်မလဲ။
假装	ဟန်ဆောင်သည်	သူ မကြားသလို ဟန်ဆောင်ခဲ့သည်။
甲	ပထမပါတီ; အက္ခရာပထမ	ပထမပါတီသည် အချိန်မီ ငွေပေးချေရမည်။
价值	တန်ဖိုး	ဒီစာအုပ်က အလွန်တန်ဖိုးရှိသည်။
嫁	လက်ထပ်သည်	သူမ နောက်နှစ်တွင် ချစ်သူနှင့် လက်ထပ်မည်။
驾驶	မောင်းနှင်သည်	ကားမောင်းရာတွင် သတိထားပြီး မောင်းနှင်ရမည်။
兼职	အချိန်ပိုင်းအလုပ်	သူ ညဘက်တွင် အချိန်ပိုင်းအလုပ်လုပ်သည်။
坚决	ပြတ်သားသော; ခိုင်မာသော	သူသည် ဒီဆုံးဖြတ်ချက်ကို ပြတ်ပြတ်သားသား သဘောမတူပါ။
坚强	သန်မာသော; စိတ်ခိုင်သော	သူမသည် စိတ်ခိုင်သောလူတစ်ဦး ဖြစ်သည်။
肩膀	ပခုံး	သူ့ပခုံး ဒဏ်ရာရသွားသည်။
艰巨	ခက်ခဲကြီးမားသော	ဒါက ခက်ခဲကြီးမားသော တာဝန်တစ်ခု ဖြစ်သည်။
艰苦	ခက်ခဲကြမ်းတမ်းသော	သူတို့ ခက်ခဲကြမ်းတမ်းသော ဘဝကို ဖြတ်သန်းခဲ့ကြသည်။
剪刀	ကတ်ကြေး	ကျေးဇူးပြု၍ ကတ်ကြေးကို ကျွန်တော့်ထံ ပေးပါ။
捡	ကောက်သည်	သူ မြေပေါ်ရှိ ပိုက်ဆံအိတ်ကို ကောက်ယူခဲ့သည်။
简历	ကိုယ်ရေးအကျဉ်း	အလုပ်လျှောက်မီ ကိုယ်ရေးအကျဉ်း ပြင်ဆင်ရမည်။
简直	တကယ်ပင်; လုံးဝ	ဒီသတင်းက တကယ်ပင် အံ့ဩစရာကောင်းသည်။
健身	ကိုယ်လက်လှုပ်ရှားသည်; ကျန်းမာရေးလေ့ကျင့်သည်	သူ တစ်ပတ်လျှင် သုံးကြိမ် ကိုယ်လက်လှုပ်ရှားလေ့ရှိသည်။
建立	တည်ဆောက်သည်; တည်ထောင်သည်	ကျွန်ုပ်တို့ ဆက်ဆံရေးအသစ်ကို တည်ဆောက်ခဲ့သည်။
建设	တည်ဆောက်ရေး; တည်ဆောက်သည်	မြို့ပြတည်ဆောက်ရေးသည် လျင်မြန်စွာ ဖွံ့ဖြိုးနေသည်။
建筑	အဆောက်အအုံ; ဆောက်လုပ်သည်	ဒီအဆောက်အအုံမှာ ထူးခြားချက်များ ရှိသည်။
键盘	ကီးဘုတ်	ကျွန်တော့် ကီးဘုတ်ကို သန့်ရှင်းရေးလုပ်ရန် လိုသည်။
讲究	အလေးထားသည်; သပ်ရပ်သော	တရုတ်လူမျိုးများသည် အစားအစာကို အလွန်အလေးထားကြသည်။
讲座	ဟောပြောပွဲ	ဒီည တရုတ်စာဟောပြောပွဲတစ်ခု ရှိသည်။
酱油	ပဲငံပြာရည်	ဟင်းထဲသို့ ပဲငံပြာရည် နည်းနည်းထည့်ပါ။
交换	လဲလှယ်သည်	ကျွန်ုပ်တို့ ဖုန်းနံပါတ်များကို လဲလှယ်ခဲ့ကြသည်။
交际	ဆက်ဆံရေး; လူမှုဆက်ဆံမှု	ဘာသာစကားသင်ရာတွင် ဆက်ဆံပြောဆိုမှုကိုလည်း လေ့ကျင့်ရမည်။
交往	ချစ်သူဖြစ်သည်; ဆက်ဆံသည်	သူတို့ ချစ်သူဖြစ်လာတာ နှစ်နှစ်ရှိပြီ။
浇	ရေလောင်းသည်	ကျေးဇူးပြု၍ ပန်းများကို နေ့တိုင်း ရေလောင်းပါ။
胶水	ကော်	ဓာတ်ပုံကို ကပ်ရန် ကျွန်တော် ကော်သုံးခဲ့သည်။
狡猾	လိမ္မာပါးနပ်သော; ကျစ်လျစ်သော	အဲဒီမြေခွေးက အလွန်လိမ္မာပါးနပ်သည်။
角度	ထောင့်; ရှုထောင့်	ပြဿနာကို ရှုထောင့်တစ်ခု ပြောင်းပြီး ကြည့်ကြစို့။
教材	သင်ရိုးစာအုပ်; သင်ကြားရေးပစ္စည်း	ဒီသင်ရိုးစာအုပ်က အလွန်အသုံးဝင်သည်။
教练	နည်းပြ	နည်းပြက ကျွန်ုပ်တို့ အချိန်မှန်ရောက်ရန် တောင်းဆိုသည်။
教训	သင်ခန်းစာ	ဒီရှုံးနိမ့်မှုသည် သင်ခန်းစာတစ်ခု ဖြစ်သည်။
接触	ထိတွေ့သည်; ဆက်သွယ်သည်	ဒါက ကျွန်တော် တရုတ်ယဉ်ကျေးမှုနှင့် ပထမဆုံးထိတွေ့ခြင်း ဖြစ်သည်။
接待	ဧည့်ခံသည်	ကုမ္ပဏီက ဧည့်သည်များကို ဧည့်ခံရန် သီးသန့်လူတစ်ဦး စီစဉ်ထားသည်။
接近	နီးကပ်လာသည်	နွေဦးပွဲတော် ပိုပိုနီးကပ်လာပြီ။
结实	ခိုင်ခံ့သော	ဒီသေတ္တာက အလွန်ခိုင်ခံ့သည်။
阶段	အဆင့်; ကာလ	သင်ယူမှုကို အဆင့်သုံးဆင့် ခွဲထားသည်။
结构	ဖွဲ့စည်းပုံ	ဒီဆောင်းပါး၏ ဖွဲ့စည်းပုံက ရှင်းလင်းသည်။
结合	ပေါင်းစပ်သည်	သင်ယူမှုကို လက်တွေ့နှင့် ပေါင်းစပ်သင့်သည်။
结论	နိဂုံးချုပ်ချက်	သူ၏ နိဂုံးချုပ်ချက်က အလွန်ယုံကြည်စရာကောင်းသည်။
结账	ငွေရှင်းသည်	ထမင်းစားပြီးနောက် ကျွန်ုပ်တို့ ငွေရှင်းရန် သွားခဲ့သည်။
节省	ချွေတာသည်	မြေအောက်ရထားစီးခြင်းက အချိန်ကို ချွေတာနိုင်သည်။
借口	ဆင်ခြေ	ဆင်ခြေ ထပ်မရှာတော့ပါနှင့်။
届	ကြိမ်မြောက်	ဒါက တတိယကြိမ်မြောက် ပြိုင်ပွဲဖြစ်သည်။
戒	ဖြတ်သည်; ရှောင်ကြဉ်သည်	ဆရာဝန်က သူ့ကို ဆေးလိပ်ဖြတ်ရန် အကြံပေးခဲ့သည်။
戒指	လက်စွပ်	သူမ လက်စွပ်တစ်ကွင်း ဝတ်ထားသည်။
金属	သတ္တု	သံသည် သတ္တုတစ်မျိုး ဖြစ်သည်။
尽快	အမြန်ဆုံး	ကျေးဇူးပြု၍ အီးမေးလ်ကို အမြန်ဆုံး ပြန်ဖြေပါ။
紧急	အရေးပေါ်သော	ဒါက အရေးပေါ်အခြေအနေတစ်ခု ဖြစ်သည်။
谨慎	သတိကြီးသော	ရင်းနှီးမြှုပ်နှံမှုမပြုမီ သတိကြီးရမည်။
尽力	အတတ်နိုင်ဆုံး ကြိုးစားသည်	ကျွန်တော် သင့်ကို ကူညီရန် အတတ်နိုင်ဆုံး ကြိုးစားမည်။
尽量	တတ်နိုင်သမျှ	ကျေးဇူးပြု၍ တတ်နိုင်သမျှ စောစောရောက်အောင် ကြိုးစားပါ။
近代	ခေတ်သစ်အစောပိုင်း	ခေတ်သစ်အစောပိုင်း တရုတ်နိုင်ငံတွင် ပြောင်းလဲမှုများစွာ ဖြစ်ပေါ်ခဲ့သည်။
进步	တိုးတက်မှု; တိုးတက်သည်	သူ၏ တရုတ်စာ တိုးတက်မှု အလွန်မြန်သည်။
进口	တင်သွင်းသော; တင်သွင်းသည်	ဒီကားသည် တင်သွင်းထားသော ကားဖြစ်သည်။
精力	အားအင်	ကလေးများတွင် အားအင် အလွန်ပြည့်ဝသည်။
精神	စိတ်ဓာတ်; စိတ်အခြေအနေ	သူ ယနေ့ စိတ်အခြေအနေ အလွန်ကောင်းသည်။
经典	ဂန္ထဝင်သော; ဂန္ထဝင်လက်ရာ	ဒါက ဂန္ထဝင်ရုပ်ရှင်တစ်ကား ဖြစ်သည်။
经商	စီးပွားရေးလုပ်သည်	သူ့အဖေသည် နိုင်ငံခြားတွင် စီးပွားရေးလုပ်သည်။
经营	လုပ်ကိုင်သည်; စီမံခန့်ခွဲသည်	သူမသည် ဆိုင်ငယ်တစ်ဆိုင်ကို လုပ်ကိုင်သည်။
酒吧	အရက်ဘား	ညဘက်တွင် သူတို့ အရက်ဘားသို့ သွားခဲ့ကြသည်။
救	ကယ်တင်သည်	ဆရာဝန်က သူ၏ အသက်ကို ကယ်တင်ခဲ့သည်။
救护车	လူနာတင်ယာဉ်	လူနာတင်ယာဉ် အလွန်မြန်မြန် ရောက်လာသည်။
舅舅	မိခင်ဘက်ဦးလေး	ကျွန်တော့် မိခင်ဘက်ဦးလေးသည် နန်ကျင်းတွင် နေထိုင်သည်။
居然	မထင်မှတ်ဘဲ; တကယ်ပဲ	သူ မိမိမွေးနေ့ကို မထင်မှတ်ဘဲ မေ့သွားခဲ့သည်။
桔子	လိမ္မော်သီး	စားပွဲပေါ်တွင် လိမ္မော်သီးအချို့ ရှိသည်။
俱乐部	ကလပ်အသင်း	သူမ ရေကူးကလပ်အသင်းသို့ ဝင်ခဲ့သည်။
具备	ပိုင်ဆိုင်သည်; ရှိသည်	သူတွင် စီမံခန့်ခွဲမှုအတွေ့အကြုံ ရှိသည်။
具体	တိကျသော	ကျေးဇူးပြု၍ နည်းနည်းပိုတိကျအောင် ပြောပါ။
巨大	ကြီးမားသော	ဒီစီမံကိန်းသည် ကြီးမားသော ရင်းနှီးမြှုပ်နှံမှု လိုအပ်သည်။
据说	ပြောကြသလို; ဆိုကြသည်မှာ	ဆိုကြသည်မှာ သူ နိုင်ငံသို့ ပြန်ရောက်ပြီးပြီ။
捐	လှူဒါန်းသည်	လူတိုင်း ငွေလှူဒါန်းရန် ဆန္ဒရှိကြသည်။
决赛	ဗိုလ်လုပွဲ	မနက်ဖြန် ဘောလုံးဗိုလ်လုပွဲ ဖြစ်သည်။
决心	ဆုံးဖြတ်ချက်; စိတ်ပိုင်းဖြတ်မှု	သူ တရုတ်စာကို ကောင်းကောင်းသင်ရန် စိတ်ပိုင်းဖြတ်ခဲ့သည်။
绝对	လုံးဝ; အပြည့်အဝ	ဒီကိစ္စကို လုံးဝ မမေ့ရပါ။
角色	ဇာတ်ကောင်; အခန်းကဏ္ဍ	သူမသည် ရုပ်ရှင်ထဲတွင် အရေးကြီးသော အခန်းကဏ္ဍ ပါဝင်သည်။
军事	စစ်ရေး; စစ်ဘက်ဆိုင်ရာ	သူသည် စစ်ရေးသမိုင်းကို အလွန်စိတ်ဝင်စားသည်။
均匀	ညီညာသော	ကျေးဇူးပြု၍ အရောင်ကို ညီညီညာညာ သုတ်ပါ။
卡车	ကုန်ကား	ကုန်ကားတစ်စီး ဝင်ပေါက်မှာ ရပ်ထားသည်။
开发	ဖွံ့ဖြိုးတိုးတက်အောင်လုပ်သည်; ထုတ်လုပ်ဖော်ဆောင်သည်	ကုမ္ပဏီက ထုတ်ကုန်အသစ်ကို ဖော်ဆောင်နေသည်။
开放	ဖွင့်လှစ်သည်; ပွင့်လင်းသော	ပန်းခြံသည် နေ့တိုင်း မနက်ခြောက်နာရီတွင် ဖွင့်သည်။
开幕式	ဖွင့်ပွဲအခမ်းအနား	ဖွင့်ပွဲအခမ်းအနားကို မနက်ဖြန်ညတွင် ကျင်းပမည်။
开水	ရေနွေးပူ	ကျေးဇူးပြု၍ ရေနွေးပူတစ်ခွက် ပေးပါ။
砍	ခုတ်သည်	အလုပ်သမားက သစ်ကိုင်းများကို ခုတ်နေသည်။
看不起	အထင်သေးသည်	ဘယ်သူ့ကိုမှ အထင်မသေးပါနှင့်။
看望	သွားရောက်တွေ့ဆုံသည်	စနေ၊ တနင်္ဂနွေတွင် အဘိုးအဘွားကို သွားတွေ့မည်။
靠	မှီသည်; အားကိုးသည်	သူ နံရံဘေးကို မှီပြီး အနားယူနေသည်။
颗	လုံး; ပွင့်	ညကောင်းကင်တွင် ကြယ်တစ်လုံး ရှိသည်။
可见	ထင်ရှားသည်	ဒီနည်းလမ်းက အလွန်ထိရောက်ကြောင်း ထင်ရှားသည်။
可靠	ယုံကြည်စိတ်ချရသော	သူသည် ယုံကြည်စိတ်ချရသော သူငယ်ချင်းတစ်ဦး ဖြစ်သည်။
可怕	ကြောက်စရာကောင်းသော	ဒီအိပ်မက်က အလွန်ကြောက်စရာကောင်းသည်။
克	ဂရမ်	ကျေးဇူးပြု၍ ဆား နှစ်ဂရမ် ထည့်ပါ။
克服	ကျော်လွှားသည်	ကျွန်ုပ်တို့ အခက်အခဲများကို ကျော်လွှားရမည်။
刻苦	ကြိုးစားသော	သူသည် အလွန်ကြိုးစားစွာ စာသင်သည်။
客观	ဓမ္မဓိဋ္ဌာန်ကျသော	ကျေးဇူးပြု၍ ပြဿနာကို ဓမ္မဓိဋ္ဌာန်ကျကျ ခွဲခြမ်းစိတ်ဖြာပါ။
课程	သင်တန်း; ဘာသာရပ်	ဒီဘာသာရပ်က အလွန်အသုံးဝင်သည်။
空间	နေရာလွတ်; အာကာသ	ဒီအခန်းတွင် နေရာလွတ် အလွန်များသည်။
