simplified	MS	example_MS
交换	bertukar	Kami bertukar nombor telefon.
交际	pergaulan; komunikasi	Apabila belajar bahasa, kamu juga perlu berlatih komunikasi.
交往	berhubung; bercinta	Mereka sudah bercinta selama dua tahun.
浇	menyiram	Sila siram bunga setiap hari.
胶水	gam	Saya menggunakan gam untuk menampal foto.
狡猾	licik	Rubah itu sangat licik.
角度	sudut	Marilah kita melihat masalah dari sudut lain.
教材	bahan pengajaran	Buku teks ini sangat praktikal.
教练	jurulatih	Jurulatih meminta kami tiba tepat pada waktunya.
教训	pengajaran	Kegagalan ini satu pengajaran.
接触	berhubung; bersentuhan	Ini kali pertama saya berhubung dengan budaya Cina.
接待	menyambut	Syarikat mengatur seseorang untuk menyambut tetamu.
接近	menghampiri	Tahun Baharu Cina semakin hampir.
结实	kukuh	Beg pakaian ini sangat kukuh.
阶段	tahap; fasa	Kajian ini dibahagikan kepada tiga tahap.
结构	struktur	Artikel ini mempunyai struktur yang jelas.
结合	menggabungkan	Pembelajaran patut digabungkan dengan amalan.
结论	kesimpulan	Kesimpulannya sangat meyakinkan.
结账	membayar bil	Selepas makan, kami pergi membayar bil.
节省	menjimatkan	Menaiki kereta api bawah tanah boleh menjimatkan masa.
借口	alasan	Berhenti mencari alasan.
届	edisi; kali	Ini pertandingan edisi ketiga.
戒	berhenti; menasihati	Doktor menasihatinya supaya berhenti merokok.
戒指	cincin	Dia memakai sebentuk cincin.
金属	logam	Besi ialah sejenis logam.
尽快	secepat mungkin	Sila balas e-mel secepat mungkin.
紧急	kecemasan; mendesak	Ini keadaan kecemasan.
谨慎	berhati-hati	Berhati-hati sebelum melabur.
尽力	berusaha sedaya upaya	Saya akan berusaha sedaya upaya untuk membantu anda.
尽量	seboleh mungkin	Sila cuba tiba seawal mungkin.
近代	zaman moden	China zaman moden mengalami banyak perubahan.
进步	kemajuan; bertambah baik	Bahasa Cinanya bertambah baik dengan cepat.
进口	import; diimport	Kereta ini diimport.
精力	tenaga	Kanak-kanak mempunyai banyak tenaga.
精神	semangat	Hari ini semangatnya baik.
经典	klasik	Ini filem klasik.
经商	berniaga	Ayahnya berniaga di luar negara.
经营	mengurus; menjalankan	Dia mengurus sebuah kedai kecil.
酒吧	bar	Pada waktu malam mereka pergi ke bar.
救	menyelamatkan	Doktor menyelamatkan nyawanya.
救护车	ambulans	Ambulans tiba dengan cepat.
舅舅	pakcik sebelah ibu	Pakcik sebelah ibu saya tinggal di Nanjing.
居然	tanpa disangka-sangka	Dia tanpa disangka-sangka terlupa hari lahirnya sendiri.
桔子	limau mandarin	Di atas meja ada beberapa biji limau mandarin.
俱乐部	kelab	Dia menyertai kelab renang.
具备	memiliki; mempunyai	Dia mempunyai pengalaman pengurusan.
具体	khusus; terperinci	Sila jelaskan dengan lebih khusus.
巨大	besar; amat besar	Projek ini memerlukan pelaburan yang besar.
据说	dikatakan	Dikatakan bahawa dia sudah pulang ke negaranya.
捐	menderma	Semua orang sanggup menderma wang.
决赛	perlawanan akhir	Esok ialah perlawanan akhir bola sepak.
决心	tekad	Dia bertekad untuk belajar bahasa Cina dengan baik.
绝对	mutlak; sama sekali	Perkara ini sama sekali tidak boleh dilupakan.
角色	watak; peranan	Dia memainkan peranan penting dalam filem itu.
军事	ketenteraan	Dia sangat berminat dengan sejarah ketenteraan.
均匀	sekata	Sila sapukan warna dengan sekata.
卡车	lori	Sebuah lori diletakkan di pintu masuk.
开发	membangunkan	Syarikat sedang membangunkan produk baharu.
开放	dibuka	Taman dibuka pada pukul enam setiap pagi.
开幕式	majlis perasmian	Majlis perasmian akan diadakan esok malam.
开水	air masak	Sila berikan saya secawan air masak.
砍	menebang; memotong	Pekerja sedang memotong dahan.
看不起	memandang rendah	Jangan pandang rendah sesiapa pun.
看望	melawat	Hujung minggu ini saya akan melawat datuk dan nenek.
靠	bersandar	Dia bersandar pada dinding untuk berehat.
颗	penjodoh bilangan untuk benda kecil	Di langit malam ada sebutir bintang.
可见	jelas kelihatan	Jelas kelihatan bahawa kaedah ini berkesan.
可靠	boleh dipercayai	Dia kawan yang boleh dipercayai.
可怕	menakutkan	Mimpi ini terlalu menakutkan.
克	gram	Sila tambah dua gram garam.
克服	mengatasi	Kita perlu mengatasi kesukaran.
刻苦	rajin; gigih	Dia belajar dengan sangat gigih.
客观	objektif	Sila analisis masalah secara objektif.
课程	kursus	Kursus ini sangat berguna.
空间	ruang	Bilik ini mempunyai banyak ruang.
控制	mengawal	Pemandu mengawal kelajuan kereta.
空闲	masa lapang	Adakah kamu ada masa lapang petang esok?
口味	selera	Seleranya agak ringan.
夸	memuji; membesar-besarkan	Guru memujinya kerana membuat kemajuan besar.
夸张	berlebihan	Ekspresinya agak berlebihan.
会计	akauntan	Dia bekerja sebagai akauntan di syarikat.
宽	lebar	Jalan ini sangat lebar.
昆虫	serangga	Kanak-kanak sedang memerhati serangga.
扩大	meluaskan	Sekolah merancang untuk meluaskan perpustakaan.
辣椒	cili	Banyak cili ditambahkan ke dalam hidangan.
拦	menahan; menghalang	Polis menahan sebuah kereta.
烂	busuk	Epal ini sudah busuk.
朗读	membaca dengan kuat	Sila baca teks dengan kuat.
劳动	kerja fizikal	Kerja membuat orang berasa bermakna.
劳驾	tumpang tanya	Tumpang tanya, di mana stesen kereta api bawah tanah?
姥姥	nenek sebelah ibu	Nenek sebelah ibu saya sangat pandai memasak.
老百姓	rakyat biasa	Rakyat biasa mengambil berat tentang kos sara hidup.
老板	bos	Hari ini bos tiada di pejabat.
老婆	isteri	Dia membeli bunga untuk isterinya.
老实	jujur	Dia seorang yang jujur.
老鼠	tikus	Ada tikus di dapur.
乐观	optimis	Dia optimis tentang masa depan.
雷	guruh	Guruh malam tadi sangat kuat.
类型	jenis	Filem seperti ini termasuk dalam jenis apa?
冷淡	dingin	Sikapnya agak dingin.
厘米	sentimeter	Pen ini panjangnya lima belas sentimeter.
梨	pir	Saya membeli beberapa biji pir.
离婚	bercerai	Mereka bercerai tahun lalu.
理论	teori	Teori ini sangat kompleks.
理由	sebab	Apakah sebab kamu lewat?
利润	keuntungan	Keuntungan syarikat meningkat tahun ini.
利息	faedah bank	Faedah bank tidak tinggi.
利益	kepentingan	Kita perlu melindungi kepentingan semua orang.
利用	menggunakan	Dia menggunakan hujung minggu untuk belajar bahasa Cina.
力量	kekuatan	Perpaduan ialah kekuatan.
立即	segera	Sila tinggalkan tempat ini segera.
立刻	serta-merta	Selepas mendengar berita itu, dia bertolak serta-merta.
联合	bersama; bergabung	Dua syarikat itu bersama-sama membangunkan satu produk.
连忙	cepat-cepat	Mendengar telefon berbunyi, dia cepat-cepat mengangkatnya.
连续	berturut-turut	Dia bekerja selama sepuluh jam berturut-turut.
恋爱	bercinta	Mereka sedang bercinta.
粮食	bijirin; bahan makanan	Hasil bijirin tahun ini meningkat.
良好	baik	Dia mempunyai tabiat belajar yang baik.
亮	terang	Lampu di bilik sangat terang.
了不起	hebat; luar biasa	Dia mencapai keputusan yang luar biasa.
列车	kereta api	Kereta api hampir berlepas.
临时	sementara	Ini keputusan sementara.
灵活	fleksibel	Kaedah belajar patut fleksibel.
铃	loceng	Loceng kelas berbunyi.
零件	komponen	Mesin itu kekurangan satu komponen.
零食	snek	Kanak-kanak suka makan snek.
领导	pemimpin	Pemimpin itu sedang bermesyuarat.
领域	bidang	Dia bekerja dalam bidang pendidikan.
流传	tersebar; diwarisi	Cerita ini telah diwarisi sejak lama.
流泪	menangis; menitiskan air mata	Selepas mendengar berita ini, dia menitiskan air mata.
浏览	melayari; meninjau	Saya akan melayari laman web itu dahulu.
龙	naga	Dalam budaya Cina terdapat naga.
漏	bocor	Bumbung bocor ketika hujan.
录取	diterima masuk	Dia diterima masuk oleh universiti.
录音	merakam suara	Sila mula merakam.
陆地	daratan	Penyu laut naik ke daratan.
陆续	berturut-turut	Para tetamu tiba berturut-turut.
轮流	bergilir-gilir	Kami bergilir-gilir membersihkan bilik darjah.
论文	tesis; kertas akademik	Dia sedang menulis tesis tamat pengajian.
逻辑	logik	Logiknya sangat jelas.
落后	ketinggalan	Kita tidak boleh ketinggalan di belakang orang lain.
骂	memarahi	Sila jangan marahi kanak-kanak itu.
麦克风	mikrofon	Sila berikan mikrofon kepadanya.
馒头	roti kukus	Saya makan roti kukus untuk sarapan.
满足	memenuhi; memuaskan	Jawapan ini tidak memenuhi keperluan.
毛病	masalah; kerosakan	Komputer ini ada sedikit masalah.
矛盾	percanggahan; konflik	Terdapat sedikit konflik antara mereka.
冒险	mengambil risiko	Pergi ke sana seorang diri terlalu berisiko.
贸易	perdagangan	Perdagangan antarabangsa berkembang dengan cepat.
媒体	media	Media melaporkan perkara ini.
煤炭	arang batu	Kawasan ini menghasilkan arang batu.
眉毛	kening	Keningnya tebal.
美术	seni	Adik perempuan saya suka seni.
魅力	daya tarikan	Bandar ini mempunyai banyak daya tarikan.
梦想	impian	Impiannya ialah menjadi doktor.
密切	rapat	Kami mengekalkan hubungan yang rapat.
秘密	rahsia	Ini rahsia kami.
秘书	setiausaha	Setiausaha mengatur masa mesyuarat.
蜜蜂	lebah	Terdapat banyak lebah di antara bunga.
面对	menghadapi	Kita patut menghadapi kesukaran dengan berani.
面积	keluasan	Keluasan bilik ini tidak besar.
面临	menghadapi	Syarikat menghadapi cabaran baharu.
描写	menggambarkan	Penulis menggambarkan kehidupan desa.
苗条	langsing	Dia mempunyai bentuk badan yang langsing.
敏感	sensitif	Topik ini agak sensitif.
名牌	jenama terkenal	Dia membeli jam tangan jenama terkenal.
名片	kad nama	Sila berikan saya kad nama.
名胜古迹	tempat bersejarah dan indah	Beijing mempunyai banyak tempat bersejarah dan indah.
明确	jelas	Guru menerangkan keperluan dengan jelas.
明显	jelas; ketara	Kemajuannya sangat ketara.
明星	bintang; selebriti	Dia mahu menjadi bintang filem.
命令	arahan	Askar mesti mematuhi arahan.
命运	takdir	Dia percaya takdir boleh diubah.
摸	menyentuh	Sila jangan sentuh lukisan ini.
摩托车	motosikal	Dia menunggang motosikal ke tempat kerja.
模仿	meniru	Kanak-kanak suka meniru percakapan orang dewasa.
模糊	kabur	Foto ini agak kabur.
模特	model fesyen	Dia seorang model fesyen.
陌生	asing; tidak biasa	Bandar ini sangat asing bagi saya.
某	tertentu; seseorang	Seorang guru tertentu menelefon saya.
木头	kayu	Meja ini diperbuat daripada kayu.
目标	matlamat	Matlamat saya ialah lulus peperiksaan.
目录	isi kandungan	Sila lihat isi kandungan di depan buku dahulu.
目前	pada masa ini	Pada masa ini keadaan agak stabil.
哪怕	walaupun	Walaupun dia sibuk, dia terus belajar.
难怪	patutlah	Patutlah kamu begitu gembira hari ini.
难免	sukar dielakkan	Kali pertama melakukannya, kesilapan sukar dielakkan.
脑袋	kepala	Kepalanya sakit sedikit.
内部	dalaman	Ini bahan dalaman syarikat.
内科	perubatan dalaman	Hari ini dia pergi berjumpa doktor perubatan dalaman.
嫩	lembut	Daging ini sangat lembut.
能干	berkebolehan	Dia seorang yang sangat berkebolehan.
能源	tenaga	Tenaga suria ialah sejenis tenaga bersih.
嗯	mm-hm	Mm-hm, saya faham.
年代	era; dekad	Foto ini diambil pada era 1980-an.
年纪	usia	Dia tidak begitu tua, tetapi sangat berpengalaman.
念	membaca kuat; merindui	Sila baca teks sekali dengan kuat.
宁可	lebih rela	Saya lebih rela berjalan kaki daripada menunggu bas.
牛仔裤	seluar jeans	Dia memakai sepasang seluar jeans.
农村	kawasan desa	Dia membesar di kawasan desa.
农民	petani	Para petani sedang bekerja di ladang.
农业	pertanian	Pertanian sangat penting bagi kawasan ini.
浓	pekat	Kopi secawan ini terlalu pekat.
女士	puan; wanita	Puan itu sedang menunggu bas.
欧洲	Eropah	Bulan depan dia akan melancong ke Eropah.
偶然	kebetulan	Saya kebetulan bertemu rakan sekelas lama.
拍	mengambil gambar	Sila bantu saya mengambil satu gambar.
派	menghantar	Syarikat menghantarnya ke Shanghai untuk urusan kerja.
盼望	menantikan; berharap	Saya menantikan untuk berjumpa dengan anda tidak lama lagi.
培训	latihan	Pekerja baharu perlu menghadiri latihan.
培养	memupuk; melatih	Sekolah menghargai usaha memupuk kebolehan pelajar.
赔偿	membayar pampasan	Syarikat bersetuju membayar pampasan atas kerugian.
佩服	mengagumi	Saya sangat mengagumi keberaniannya.
配合	bekerjasama	Sila bekerjasama dengan susunan guru.
盆	pasu; besen	Di balkoni ada sepasu bunga.
碰	menyentuh; terlanggar	Berhati-hati, jangan sentuh air panas.
批	kumpulan; kelompok	Kumpulan barang ini tiba hari ini.
批准	meluluskan	Pengurus meluluskan rancangan ini.
披	menyarung; menyelubungkan	Dia menyarung sehelai kot di bahunya.
疲劳	keletihan	Bekerja terlalu lama boleh membuat orang berasa letih.
匹	penjodoh bilangan untuk kuda	Di padang rumput ada seekor kuda.
片	keping; hiris	Sila berikan saya sekeping roti.
片面	sepihak; tidak menyeluruh	Pandangan ini terlalu sepihak.
飘	terapung; melayang	Kepingan salji melayang di udara.
拼音	pinyin	Sila tulis pinyin di sebelah aksara Cina.
频道	saluran	Sila tukar ke saluran berita.
凭	berdasarkan; dengan	Kamu boleh masuk dengan tiket.
平均	purata; secara purata	Secara purata, setiap orang membelanjakan sepuluh yuan.
平	rata	Jalan ini sangat rata.
平安	selamat	Saya doakan perjalanan anda selamat.
平常	biasa; biasanya	Biasanya dia jarang datang lewat.
平等	sama rata; kesaksamaan	Setiap orang patut dilayan sama rata.
平方	persegi	Bilik ini berkeluasan dua puluh meter persegi.
平衡	keseimbangan	Kerja dan kehidupan memerlukan keseimbangan.
平静	tenang	Permukaan tasik sangat tenang.
评价	menilai; penilaian	Guru memberikan penilaian yang sangat tinggi.
破产	bankrap	Syarikat itu bankrap tahun lalu.
破坏	merosakkan	Sila jangan rosakkan harta awam.
迫切	mendesak	Kami sangat memerlukan lebih ramai doktor.
期待	menantikan	Saya sangat menantikan perjalanan ini.
期间	semasa; tempoh	Sila matikan telefon semasa mesyuarat.
其余	selebihnya	Isu selebihnya akan dibincangkan esok.
奇迹	keajaiban	Doktor berkata ini satu keajaiban.
企业	perusahaan; syarikat	Perusahaan ini berkembang dengan cepat.
启发	inspirasi; memberi ilham	Buku ini memberi saya banyak inspirasi.
气氛	suasana	Suasana di bilik darjah sangat santai.
汽油	petrol	Kereta memerlukan petrol.
签	menandatangani	Sila tandatangan nama anda di sini.
谦虚	rendah hati	Dia sangat cemerlang dan juga sangat rendah hati.
前途	masa depan; prospek	Jurusan ini mempunyai prospek yang baik.
浅	cetek	Sungai ini sangat cetek.
欠	berhutang	Dia masih berhutang dua puluh yuan kepada saya.
枪	senjata api	Polis itu memegang senjata api.
墙	dinding	Ada sebuah lukisan tergantung di dinding.
强调	menekankan	Guru menekankan isu keselamatan.
强烈	kuat; mendalam	Dia mempunyai rasa tanggungjawab yang kuat.
抢	berebut	Jangan berebut tempat duduk dengan orang lain.
悄悄	senyap-senyap	Dia masuk ke bilik dengan senyap-senyap.
瞧	lihat	Lihat, di luar sedang turun salji.
巧妙	bijak; licik	Kaedah ini sangat bijak.
切	memotong	Sila potong buah menjadi kepingan kecil.
亲爱	yang dikasihi	Kawan yang dikasihi, terima kasih.
亲切	mesra	Guru bercakap dengan sangat mesra.
亲自	sendiri	Pengurus sendiri menyambut tetamu.
勤奋	rajin	Orang yang rajin lebih mudah berjaya.
清淡	ringan; tidak berminyak	Saya suka makan hidangan yang ringan.
轻视	memandang ringan	Jangan pandang ringan masalah kecil ini.
轻易	dengan mudah	Dia tidak akan berputus asa dengan mudah.
青	hijau kebiruan	Pakaian ini berwarna hijau kebiruan.
青春	masa muda	Masa muda sangat berharga.
青少年	remaja	Remaja memerlukan tidur yang cukup.
情景	adegan; keadaan	Adegan dalam filem itu sangat menyentuh hati.
情绪	emosi	Emosinya tidak begitu stabil.
请求	permintaan	Dia mengemukakan satu permintaan.
庆祝	meraikan	Kami meraikan hari lahirnya.
球迷	peminat sukan; peminat bola	Ramai peminat datang menonton perlawanan.
趋势	trend	Trend ini semakin jelas.
取消	membatalkan	Acara itu dibatalkan kerana hujan.
娶	mengahwini	Dia merancang untuk mengahwininya tahun depan.
去世	meninggal dunia	Datuknya meninggal dunia tahun lalu.
圈	bulatan	Sila bulatkan jawapan yang betul.
全面	menyeluruh	Kita perlu memahami keadaan secara menyeluruh.
权利	hak	Setiap orang mempunyai hak untuk menerima pendidikan.
权力	kuasa	Kuasa patut diawasi.
劝	menasihati	Kawan menasihati saya supaya berehat lebih awal.
缺乏	kekurangan	Kawasan ini kekurangan air bersih.
确定	menentukan	Saya masih tidak dapat menentukan masa.
确认	mengesahkan	Sila sahkan alamat anda.
群	kumpulan	Sekumpulan kanak-kanak sedang bermain di padang.
燃烧	terbakar	Kayu sedang terbakar.
绕	mengelilingi	Kami berjalan satu pusingan mengelilingi tasik.
热爱	sangat mencintai	Dia sangat mencintai kerjanya.
热烈	hangat	Semua orang menyambut tetamu dengan hangat.
热心	bersemangat; baik hati	Jiran-jiran semuanya sangat baik hati.
人才	bakat; orang berbakat	Syarikat memerlukan lebih ramai orang berbakat.
人口	penduduk	Bandar ini mempunyai ramai penduduk.
人类	umat manusia	Umat manusia perlu melindungi bumi.
人民币	renminbi	Saya menukar sedikit renminbi.
人生	kehidupan manusia	Kehidupan mempunyai banyak pilihan.
人事	sumber manusia	Dia bekerja di jabatan sumber manusia.
人物	watak; tokoh	Watak dalam novel itu terasa sangat nyata.
人员	kakitangan	Kakitangan semuanya sudah tiba.
忍不住	tidak dapat menahan diri	Selepas mendengar jenaka itu, dia tidak dapat menahan ketawa.
日常	harian	Ini kerja harian saya.
日程	jadual	Jadual hari ini sangat padat.
日历	kalendar	Ada kalendar tergantung di dinding.
日期	tarikh	Sila tulis tarikh dengan jelas.
日用品	barangan harian	Pasar raya menjual banyak barangan harian.
日子	hari-hari; tempoh ini	Tempoh ini dia sangat sibuk.
如何	bagaimana	Bagaimana kita harus menyelesaikan masalah ini?
如今	kini	Kini pengangkutan jauh lebih mudah.
软	lembut	Katil ini sangat lembut.
软件	perisian	Perisian ini mudah digunakan.
弱	lemah	Badan dia agak lemah.
洒	menumpahkan; merenjis	Dia tidak sengaja menumpahkan air.
嗓子	tekak; suara	Tekak saya sakit sedikit.
色彩	warna	Warna lukisan ini sangat kaya.
杀	membunuh; adegan pembunuhan	Filem ini tidak ada adegan pembunuhan.
沙漠	padang pasir	Air di padang pasir sangat berharga.
沙滩	pantai berpasir	Kanak-kanak sedang bermain di pantai.
傻	bodoh; kurang bijak	Jangan buat perkara bodoh.
晒	menjemur; berjemur	Pakaian sedang dijemur di balkoni.
删除	memadam; menghapuskan	Sila padam e-mel ini.
闪电	kilat	Kilat muncul pada waktu malam.
善良	baik hati	Dia seorang yang baik hati.
善于	mahir; pandai	Dia pandai menyelesaikan masalah.
扇子	kipas tangan	Saya sering menggunakan kipas tangan pada musim panas.
伤害	menyakiti; mencederakan	Jangan sakiti perasaan orang lain.
商品	barangan; komoditi	Kedai ini mempunyai banyak barangan.
商务	urusan perniagaan	Dia akan menghadiri mesyuarat perniagaan esok.
商业	perdagangan; perniagaan	Perdagangan di kawasan ini sangat maju.
上当	tertipu	Dia hampir tertipu.
蛇	ular	Ada ular di dalam rumput.
舍不得	berat hati untuk berpisah; tidak sampai hati meninggalkan	Saya berat hati untuk meninggalkan tempat ini.
射击	menembak; sukan menembak	Dia sedang berlatih menembak.
摄影	fotografi; mengambil gambar	Dia sangat berminat dalam fotografi.
设备	peralatan; kemudahan	Peralatan di makmal itu sangat maju.
设计	reka bentuk; mereka bentuk	Reka bentuk ini sangat kreatif.
设施	kemudahan	Kemudahan sukan sekolah ini baik.
伸	menghulurkan; meregangkan	Sila hulurkan tangan.
深刻	mendalam	Pengalaman ini meninggalkan kesan yang mendalam kepada saya.
身材	bentuk badan; susuk tubuh	Dia mempunyai bentuk badan yang sihat.
身份	identiti; status	Sila tunjukkan bukti identiti.
神话	mitos; cerita mitologi	Kanak-kanak suka mendengar cerita mitologi.
神秘	misteri; misterius	Kota purba ini sangat misteri.
升	naik; menaikkan	Harga minyak naik sedikit bagi setiap liter.
声调	nada	Bahasa Mandarin mempunyai empat nada asas.
生产	menghasilkan; mengeluarkan	Kilang ini menghasilkan telefon bimbit.
生动	hidup; menarik	Guru itu menerangkan dengan sangat hidup.
生长	tumbuh	Tumbuhan jenis ini tumbuh dengan cepat.
绳子	tali	Sila ikat kotak itu dengan tali.
省略	menggugurkan; menghilangkan	Satu aksara boleh digugurkan di sini.
胜利	kemenangan	Akhirnya mereka memperoleh kemenangan.
失眠	insomnia; susah tidur	Belakangan ini dia sering susah tidur.
失去	kehilangan	Jangan kehilangan keyakinan.
失业	pengangguran; hilang pekerjaan	Selepas kehilangan kerja, dia mula belajar kemahiran baharu.
湿润	lembap	Udara selepas hujan sangat lembap.
狮子	singa	Ada dua ekor singa di zoo.
诗	puisi; sajak	Dia menulis sebuah puisi.
实话	kata-kata benar; perkara sebenar	Sila beritahu perkara sebenar.
实践	amalan; mempraktikkan	Teori perlu diuji melalui amalan.
实习	latihan amali; menjalani latihan	Dia akan menjalani latihan amali di hospital semasa cuti musim panas.
实现	merealisasikan; mencapai	Akhirnya dia merealisasikan impiannya.
实验	eksperimen	Para pelajar sedang menjalankan eksperimen.
实用	praktikal	Alat ini sangat praktikal.
时差	perbezaan masa	Dia masih belum menyesuaikan diri dengan perbezaan masa.
时代	zaman; era	Kita hidup dalam zaman maklumat.
时刻	saat; detik	Sila ingat detik penting ini.
时髦	bergaya; mengikut fesyen	Pakaian ini sangat bergaya.
时期	tempoh; zaman	Tempoh dia di universiti memberi pengaruh besar kepadanya.
时尚	fesyen	Dia sangat berminat dalam fesyen.
石头	batu	Ada seketul batu di tepi jalan.
食物	makanan	Sila masukkan makanan ke dalam peti sejuk.
使劲儿	menggunakan tenaga; berusaha kuat	Anda perlu menggunakan sedikit tenaga untuk membuka botol ini.
始终	sentiasa; dari awal hingga akhir	Dia sentiasa percaya bahawa dia boleh berjaya.
事实	fakta	Fakta membuktikan bahawa dia betul.
事物	perkara; benda	Kanak-kanak sangat ingin tahu tentang perkara baharu.
事先	terlebih dahulu	Sila beritahu saya waktunya terlebih dahulu.
似的	seperti; seolah-olah	Dia kelihatan sangat letih, seolah-olah tidak mahu berkata sepatah pun.
士兵	askar	Askar-askar itu sedang berlatih.
市场	pasar; pasaran	Pasar ini sangat meriah.
试卷	kertas peperiksaan	Guru sedang menyemak kertas peperiksaan.
收获	hasil; perolehan	Saya memperoleh banyak manfaat daripada perjalanan ini.
收据	resit	Sila simpan resit selepas membuat bayaran.
手工	buatan tangan	Hadiah ini dibuat dengan tangan.
手术	pembedahan	Doktor akan melakukan pembedahan ke atasnya esok.
手套	sarung tangan	Pakai sarung tangan apabila keluar pada musim sejuk.
手续	prosedur; urusan formal	Anda memerlukan kad pengenalan untuk mengurus prosedur ini.
手指	jari	Jarinya cedera.
首	penjodoh bilangan untuk lagu	Dia menyanyikan sebuah lagu.
受伤	cedera	Dia cedera semasa pertandingan.
寿命	jangka hayat	Mesin jenis ini mempunyai jangka hayat yang panjang.
书架	rak buku	Rak buku itu penuh dengan buku.
梳子	sikat	Dia menyikat rambut dengan sikat.
舒适	selesa	Bilik ini sangat selesa.
蔬菜	sayur-sayuran	Makan lebih banyak sayur-sayuran baik untuk kesihatan.
输入	memasukkan; input	Sila masukkan kata laluan ke dalam komputer.
熟练	mahir	Dia boleh menggunakan komputer dengan mahir.
属于	milik; tergolong dalam	Buku ini milik perpustakaan.
数	mengira	Sila kira ada berapa orang.
鼠标	tetikus	Tetikus komputer saya rosak.
数据	data	Data ini sangat penting.
数码	digital	Dia membeli sebuah kamera digital.
摔倒	terjatuh	Dia terjatuh di jalan.
甩	mengibas; mengayun	Dia mengibas air dari tangannya.
双方	kedua-dua pihak	Kedua-dua pihak bersetuju dengan rancangan ini.
税	cukai	Anda perlu membayar cukai ketika membeli barang.
说不定	mungkin; belum tentu	Mungkin esok akan turun salji.
说服	memujuk; meyakinkan	Akhirnya dia berjaya memujuk ibu bapanya.
丝绸	sutera	Selendang ini dibuat daripada sutera.
丝毫	sedikit pun	Dia tidak mengubah fikirannya sedikit pun.
思考	berfikir; merenung	Sila fikirkan masalah ini dengan teliti.
思想	pemikiran; idea	Pemikirannya sangat terbuka.
撕	mengoyak	Sila jangan koyakkan kertas ini.
私人	peribadi	Ini ruang peribadi saya.
似乎	nampaknya; seolah-olah	Dia nampaknya tidak begitu gembira.
搜索	mencari; membuat carian	Saya mencari bahan di internet.
宿舍	asrama	Para pelajar tinggal di asrama sekolah.
随身	dibawa bersama; pada diri	Sila bawa pasport bersama anda.
随时	pada bila-bila masa	Anda boleh menelefon saya pada bila-bila masa.
随手	sambil lalu; dengan mudah	Sila tutup pintu ketika keluar.
碎	pecah; hancur	Cawan itu jatuh ke lantai dan pecah.
损失	kerugian; kehilangan	Kemalangan ini menyebabkan kerugian besar.
缩短	memendekkan	Laluan baharu itu memendekkan perjalanan.
所	penjodoh bilangan untuk institusi	Sekolah ini sangat terkenal.
锁	mengunci	Sila kunci pintu sebelum keluar.
台阶	tangga; anak tangga	Orang tua itu perlahan-lahan menaiki tangga.
太极拳	taici; tai chi	Ada orang sedang berlatih taici di taman.
太太	puan; isteri	Puan Wang sedang memasak.
谈判	berunding; rundingan	Kedua-dua pihak sedang berunding.
坦率	terus terang	Dia menyatakan fikirannya dengan terus terang.
烫	panas; melecur	Teh ini sangat panas.
桃	pic	Banyak buah pic tumbuh di atas pokok itu.
淘气	nakal	Kanak-kanak ini agak nakal.
逃	melarikan diri	Anak anjing itu melarikan diri dari halaman.
逃避	mengelak; menghindari	Jangan mengelak daripada tanggungjawab.
讨价还价	tawar-menawar	Dia suka tawar-menawar ketika membeli-belah.
套	set; pasang	Dia membeli satu set pakaian baharu.
特色	ciri khas	Restoran ini mempunyai ciri khas tempatan.
特殊	istimewa; khusus	Hari ini hari yang istimewa.
特征	ciri; tanda khusus	Haiwan jenis ini mempunyai ciri yang jelas.
疼爱	sangat menyayangi	Datuk dan nenek sangat menyayangi kanak-kanak itu.
提倡	menggalakkan; menganjurkan	Sekolah menggalakkan penjimatan air.
提纲	rangka; garis besar	Buat rangka sebelum menulis karangan.
提问	bertanya; mengajukan soalan	Pelajar boleh bertanya pada bila-bila masa.
题目	tajuk; soalan	Soalan ini tidak begitu sukar.
体会	pengalaman; memahami melalui pengalaman	Melalui perjalanan, saya mendapat pemahaman baharu.
体贴	bertimbang rasa	Dia sangat bertimbang rasa terhadap keluarganya.
体现	mencerminkan; memperlihatkan	Perkara ini mencerminkan semangat berpasukan.
体验	mengalami sendiri	Saya mahu mengalami sendiri kehidupan tempatan.
天空	langit	Langit hari ini sangat biru.
天真	naif; polos	Idea kanak-kanak itu sangat polos.
调皮	nakal; suka mengusik	Kucing itu sangat nakal.
调整	menyesuaikan; melaraskan	Kita perlu menyesuaikan rancangan.
挑战	cabaran	Ini satu cabaran besar.
通常	biasanya	Dia biasanya bangun pada pukul tujuh.
统一	menyatukan; menyelaraskan	Pendapat semua orang perlu diselaraskan.
痛苦	kesakitan; penderitaan	Kehilangan kawannya membuat dia sangat sedih.
痛快	sangat seronok; puas hati	Kami sangat seronok hari ini.
偷	mencuri	Jangan mencuri barang orang lain.
投入	menumpukan diri; melaburkan	Dia bekerja dengan sangat fokus.
投资	melabur; pelaburan	Mereka melabur dalam projek baharu.
透明	lutsinar; telus	Cawan ini lutsinar.
突出	menonjol; ketara	Kelebihannya sangat menonjol.
土地	tanah	Tanah ini sangat subur.
土豆	kentang	Saya membeli beberapa biji kentang.
兔子	arnab	Kanak-kanak itu memelihara seekor arnab.
吐	muntah	Dia berasa tidak sihat dan mahu muntah.
团	kumpulan; rombongan	Kami menyertai rombongan pelancongan.
