simplified	ES-419	example_ES-419
干预	intervenir; intervención	El gobierno intervino a tiempo ante el riesgo del mercado.
感慨	emoción; suspirar con nostalgia	Al ver las fotos antiguas, se llenó de emoción.
感染	infectar; infección	Este virus infecta fácilmente a los niños.
干劲	entusiasmo; energía para trabajar	Todos trabajan con mucho entusiasmo.
扛	levantar con las manos	La leyenda dice que era tan fuerte que podía levantar un caldero pesado.
纲领	programa; principio rector	La reunión aprobó un nuevo programa de acción.
岗位	puesto; cargo	Ella se adaptó rápidamente al nuevo puesto.
港口	puerto	El carguero atracó en el puerto.
港湾	bahía; puerto natural	La pequeña barca entró en la bahía tranquila.
杠杆	palanca; apalancamiento	Esta inversión usó mucho apalancamiento.
高超	excelente; sobresaliente	Su técnica para reparar autos es excelente.
高潮	clímax; punto culminante	El partido llegó a su clímax en los últimos diez minutos.
高峰	pico; hora punta	Las ocho de la mañana son la hora punta del tráfico.
高明	brillante; ingenioso	Este método es realmente brillante.
高尚	noble; elevado	El espíritu profesional del médico es noble.
高涨	aumentar; intensificarse	El entusiasmo del público siguió aumentando.
稿件	manuscrito; borrador	El editor está revisando el manuscrito.
告辞	despedirse	Ya es tarde, así que nos despedimos primero.
告诫	advertir; amonestar	El profesor advirtió a los estudiantes que no hicieran trampa.
割	cortar	Se cortó accidentalmente el dedo.
搁	poner; dejar	Por favor, deja los documentos sobre la mesa.
歌颂	elogiar; cantar alabanzas	Este poema elogia a los trabajadores.
疙瘩	bulto; grano	Le salió un bulto en el brazo.
鸽子	paloma	En la plaza hay muchas palomas.
格局	distribución; estructura	La distribución de este apartamento es muy razonable.
格式	formato	Por favor, rellena el formulario según el formato requerido.
隔阂	distanciamiento; barrera	El malentendido profundizó la distancia entre ellos.
隔离	aislar	El paciente necesita ser aislado temporalmente.
革命	revolución	Esta revolución cambió el destino del país.
个体	individuo	Cada individuo tiene necesidades diferentes.
各抒己见	expresar cada uno su opinión	En la reunión, todos expresaron su opinión.
根深蒂固	profundamente arraigado	Esta idea ya está profundamente arraigada.
根源	raíz; origen	Las raíces de la pobreza son complejas.
跟前	delante de; junto a	El niño corrió junto a su madre.
跟随	seguir	El periodista siguió al equipo hasta la zona montañosa.
跟踪	rastrear; seguir	La policía está rastreando los movimientos del sospechoso.
更新	actualizar; renovar	El sistema se actualizará automáticamente esta noche.
更正	corregir; rectificar	El periódico corrigió el error al día siguiente.
耕地	tierra cultivable; arar	Los agricultores están arando los campos en primavera.
供不应求	la demanda supera la oferta	Este medicamento actualmente escasea.
供给	suministro; proporcionar	La ciudad necesita un suministro estable de agua y electricidad.
公安局	oficina de seguridad pública	Fue a la oficina de seguridad pública a denunciar el caso.
公道	justicia; justo	Todos esperan recibir un trato justo.
公告	anuncio; aviso	La escuela publicó un aviso de suspensión de clases.
公关	relaciones públicas	La empresa contrató a un equipo profesional de relaciones públicas.
公民	ciudadano	Todo ciudadano debe cumplir la ley.
公然	abiertamente; públicamente	Él violó abiertamente las reglas de la competición.
公认	reconocido; aceptado públicamente	Ella es reconocida como una excelente profesora.
公式	fórmula	Por favor, anota esta fórmula matemática.
公务	asuntos oficiales	Viajó tres días por asuntos oficiales.
公正	justo; imparcial	Un juez debe mantenerse imparcial.
公证	notarización; certificar ante notario	Este documento necesita certificación notarial.
功劳	mérito; contribución	Todos tienen mérito en este éxito.
功效	eficacia	La eficacia de este medicamento aún necesita verificación.
宫殿	palacio	Los turistas visitaron el palacio antiguo.
工艺品	artesanía	Esta artesanía fue hecha a mano.
恭敬	respetuoso	Él saludó respetuosamente al anciano.
攻击	atacar	Los hackers atacaron el sitio web de la empresa.
攻克	superar; conquistar	El equipo de investigación superó el problema técnico.
巩固	consolidar; fortalecer	Repasar puede consolidar lo aprendido.
共和国	república	Esta república se fundó en el siglo pasado.
共计	totalizar; sumar	Este lote de mercancías suma trescientas cajas.
共鸣	resonancia; empatía	Esta canción generó resonancia en muchas personas.
勾结	confabularse; coludirse	Ellos se confabularon con personas externas para obtener fondos mediante fraude.
钩子	gancho	En la pared cuelgan varios ganchos.
构思	concebir; planear	El escritor está planeando una nueva novela.
姑且	por ahora; provisionalmente	Probemos este plan durante una semana por ahora.
孤独	solitario; solo	Después de mudarse a una nueva ciudad, se sintió solo.
孤立	aislar; aislado	No mires este problema de forma aislada.
辜负	defraudar; no estar a la altura	No quiero defraudar las expectativas de mis padres.
古董	antigüedad	El abuelo coleccionó varias antigüedades.
古怪	extraño; excéntrico	Su idea es un poco extraña.
股东	accionista	La junta de accionistas se celebrará la semana que viene.
股份	acciones; participación	Él posee acciones de la empresa.
骨干	columna vertebral; pieza clave	Estos ingenieros son la columna vertebral del equipo.
鼓动	incitar; agitar	Alguien incitó a la multitud a protestar.
固然	ciertamente; es verdad que	Este método ciertamente es sencillo, pero el riesgo no es pequeño.
固体	sólido	El hielo es la forma sólida del agua.
固有	inherente; propio	Cada cultura tiene características inherentes.
固执	terco; obstinado	Es demasiado terco y se niega a escuchar consejos.
故乡	pueblo natal; tierra natal	Muchos años después, volvió a su pueblo natal.
故障	avería; fallo	El ascensor tuvo una avería y está temporalmente fuera de servicio.
雇佣	contratar; emplear	La empresa decidió contratar más personal técnico.
顾虑	preocupación; reserva	Puedes decir directamente cualquier preocupación que tengas.
顾问	asesor; consultor	Contratamos a un asesor legal.
拐杖	bastón; muleta	El anciano suele llevar bastón cuando sale.
关怀	cuidado; atención	El profesor dio mucha atención a los estudiantes.
关照	cuidar; estar pendiente	Por favor, cuida al niño durante el camino.
官方	oficial; gubernamental	La noticia oficial se anunciará mañana.
观光	turismo; hacer turismo	Los turistas hicieron turismo en barco.
管辖	tener jurisdicción; administrar	Esta zona está bajo la jurisdicción del gobierno municipal.
惯例	costumbre; práctica habitual	Presentar a los invitados antes de empezar la reunión es una práctica habitual.
灌溉	regar; irrigar	Los agricultores usan agua del río para regar los campos.
罐	lata; tarro	En la mesa hay un tarro de hojas de té.
贯彻	implementar; llevar a cabo	La empresa debe implementar las nuevas normas de seguridad.
光彩	brillo; resplandor	Esta ropa la hizo verse radiante.
光辉	brillo; gloria	Sus logros dejaron una página gloriosa.
光芒	rayos de luz; resplandor	Los rayos del sol iluminaron el valle.
光荣	honroso; glorioso	Servir al país es honroso.
广阔	vasto; amplio	La pradera se extiende sin fin y es muy vasta.
归根到底	en última instancia	En última instancia, el problema está en la gestión.
归还	devolver	Por favor, devuelve los libros a tiempo.
规范	norma; estándar	La escuela estableció normas para gestionar el laboratorio.
规格	especificación; estándar	Las especificaciones de este lote de piezas no coinciden.
规划	planificación; plan	La planificación urbana debe considerar el transporte.
规章	reglamento; norma	Los empleados deben cumplir el reglamento de la empresa.
轨道	vía; órbita	El tren avanza por la vía.
贵族	nobleza; aristócrata	Esta finca perteneció antes a la nobleza.
跪	arrodillarse	Él se arrodilló ante la estatua.
棍棒	palo; garrote	La policía confiscó los palos en el lugar.
国防	defensa nacional	La construcción de la defensa nacional requiere inversión a largo plazo.
国务院	Consejo de Estado	El Consejo de Estado emitió un nuevo aviso.
果断	decisivo; resuelto	El líder tomó una decisión decisiva.
过度	excesivo	El uso excesivo del teléfono puede afectar el sueño.
过渡	transición	La empresa está en una etapa de transición de transformación.
过奖	halagar demasiado	Me halagas; todavía necesito aprender.
过滤	filtrar	Este dispositivo puede filtrar impurezas.
过失	error; falta	Este accidente fue causado por un error humano.
过问	intervenir; interesarse	El gerente rara vez interviene en estos asuntos pequeños.
过瘾	satisfactorio; saciar un gusto	Ver este partido fue realmente satisfactorio.
过于	demasiado; excesivamente	Este plan es demasiado complicado.
嗨	hola; oye	¡Oye, tú también viniste?
海拔	altitud	Este pueblo está a gran altitud.
海滨	costa; orilla del mar	Ellos pasaron el fin de semana en la costa.
含糊	vago; ambiguo	Su respuesta fue muy vaga.
含义	significado; sentido	Esta palabra tiene un significado especial.
寒暄	intercambiar saludos	Después de encontrarse, primero intercambiaron unas palabras de saludo.
罕见	raro; poco común	Esta enfermedad es muy rara.
捍卫	defender; salvaguardar	El abogado se esforzó por defender los derechos del cliente.
航空	aviación	La aerolínea canceló el vuelo.
航天	astronáutica; vuelo espacial	El programa espacial de China se desarrolla rápidamente.
航行	navegar	El barco navega en el mar.
行列	filas; grupo	Ella se unió a las filas de los voluntarios.
毫米	milímetro	Este vidrio tiene cinco milímetros de grosor.
毫无	en absoluto; sin nada	Su explicación no tiene ninguna base.
豪迈	audaz; heroico	Su canto era audaz y poderoso.
号召	llamar; convocar	El gobierno llamó a todos a ahorrar agua.
耗费	consumir; gastar	Este proyecto consumió una gran cantidad de fondos.
呵	gritar; reprender	El padre gritó una vez y el niño se detuvo enseguida.
合并	fusionar; unir	Las dos empresas planean fusionarse el año que viene.
合成	sintetizar; componer	Este material se puede sintetizar artificialmente.
合伙	asociarse; formar sociedad	Ellos abrieron un restaurante en sociedad.
合算	convenir; salir rentable	Tomar el autobús sale más rentable que tomar un taxi.
和蔼	amable; afable	Este médico habla de forma muy amable.
和解	reconciliarse; acuerdo	Las dos partes finalmente alcanzaron un acuerdo.
和睦	armonioso	Los vecinos se llevan de forma armoniosa.
和气	amable; cordial	El jefe trata a la gente de forma cordial.
和谐	armonioso	La música hizo que el ambiente fuera más armonioso.
嘿	oye; eh	Oye, ¿lo oíste?
痕迹	rastro; huella	Quedaron huellas de ruedas en el suelo.
狠心	cruel; despiadado	Él rechazó cruelmente la petición de su amigo.
恨不得	desear poder	Me gustaría poder volver a casa a descansar de inmediato.
哼	resoplar; tararear	Él soltó un resoplido de disgusto.
横	horizontal	Por favor, dibuja una línea horizontal en el papel.
哄	estallar en ruido; carcajada	Todos estallaron en risas.
烘	hornear; calentar	El pan se está horneando en el horno.
轰动	causar sensación	Esta noticia causó sensación en todo el país.
宏观	macro; global	Necesitamos analizar la economía desde una perspectiva macro.
宏伟	grandioso; imponente	El diseño de este puente es muy grandioso.
洪水	inundación	La inundación destruyó varios puentes.
喉咙	garganta	Habló demasiado y le duele un poco la garganta.
吼	rugir; gritar	Él gritó fuerte hacia la distancia.
候选	candidato	Ella es representante candidata este año.
后代	generaciones futuras; descendencia	Debemos proteger el medio ambiente para las generaciones futuras.
后顾之忧	preocupación futura; inquietud posterior	Un ingreso estable lo dejó sin preocupaciones futuras.
后勤	logística; apoyo logístico	El departamento de logística se encarga del suministro de materiales.
呼唤	llamar; llamar a gritos	La madre llamó al niño desde la puerta.
呼啸	silbar; rugir	El viento frío rugía fuera de la ventana.
呼吁	llamar a; apelar a	Los expertos llamaron a todos a reducir el desperdicio.
忽略	pasar por alto; ignorar	Por favor, no pases por alto este detalle.
湖泊	lago; lagos	En esta zona hay muchos lagos naturales.
胡乱	al azar; de forma descuidada	No dejes las cosas tiradas al azar en el suelo.
胡须	barba	Su barba ya se ha vuelto blanca.
花瓣	pétalo; pétalos	Después de la lluvia, los pétalos cayeron por todo el suelo.
花蕾	capullo; botón floral	En primavera aparecen capullos en las ramas.
华丽	lujoso; espléndido	El vestuario del escenario era muy lujoso.
华侨	chino de ultramar; comunidad china en el extranjero	Muchos chinos de ultramar volvieron a su tierra para invertir.
划分	dividir; clasificar	El profesor dividió a los estudiantes en cuatro grupos.
化肥	fertilizante químico	Los agricultores aplicaron fertilizante químico a los cultivos.
化石	fósil	El museo exhibió fósiles de dinosaurios.
化验	análisis de laboratorio; prueba química	El médico le pidió que se hiciera un análisis de sangre.
化妆	maquillarse	Ella se estaba maquillando antes de subir al escenario.
画蛇添足	añadir algo innecesario; estropear por exceso	Añadir más explicación sería innecesario.
话筒	micrófono	El presentador le pasó el micrófono al público.
欢乐	alegría; júbilo	La plaza del festival estaba llena de alegría.
环节	parte; etapa	Cada parte de la capacitación es importante.
还原	restaurar; devolver al estado original	Por favor, restaura la configuración predeterminada.
缓和	aliviar; suavizar	La relación entre ambas partes se alivió gradualmente.
患者	paciente	El médico está preguntando por el estado del paciente.
荒凉	desolado; árido	Esta tierra parece muy desolada.
荒谬	absurdo; ridículo	Esta explicación suena absurda.
荒唐	absurdo; disparatado	Su decisión fue demasiado disparatada.
皇帝	emperador	El emperador vivía en un palacio imponente.
皇后	emperatriz	La emperatriz asistió a la celebración.
黄昏	atardecer; crepúsculo	Al atardecer se encendieron las farolas.
恍然大悟	comprender de repente; caer en la cuenta	Después de escuchar la explicación, lo comprendió de repente.
晃	moverse; balancearse; pasar fugazmente	En un instante, desapareció de su vista.
挥霍	derrochar; malgastar	No debería derrochar el dinero de sus padres.
辉煌	brillante; glorioso	Esta ciudad tiene una historia gloriosa.
回报	recompensa; retorno	El trabajo duro al final trae recompensa.
回避	evitar; eludir	Él ha estado evitando este problema.
回顾	repasar; mirar atrás	Al final de la reunión, repasaron el trabajo de todo el año.
回收	reciclar; recuperar	La comunidad empezó a reciclar pilas usadas.
悔恨	remordimiento; arrepentimiento	Él sentía remordimiento por sus errores pasados.
毁灭	destruir; arrasar	La guerra casi destruyó esta ciudad.
会晤	reunirse; encuentro	Los líderes de los dos países se reunirán mañana.
汇报	informar; presentar un informe	Él informó al gerente sobre el avance.
贿赂	sobornar; soborno	El funcionario fue investigado por soborno.
昏迷	perder el conocimiento; estar en coma	El paciente todavía está en coma.
荤	comida con carne; no vegetariano	Este plato lleva carne y no es apto para vegetarianos.
浑身	todo el cuerpo; de pies a cabeza	Después de correr, estaba sudando por todo el cuerpo.
混合	mezclar; combinar	Por favor, mezcla bien los dos materiales.
混乱	caos; desorden	La escena estuvo muy caótica por un momento.
混淆	confundir; mezclar	No confundas estos dos conceptos.
混浊	turbio; fangoso	Después de la lluvia, el agua del río se volvió turbia.
活该	merecerlo; tenerlo merecido	No escuchó los consejos, así que merecía fracasar.
活力	energía; vitalidad	Esta ciudad está llena de vitalidad.
火箭	cohete	El cohete entró con éxito en la órbita prevista.
火焰	llama; llamas	El viento hizo que las llamas subieran más.
火药	pólvora	La pólvora cambió la forma de las guerras antiguas.
货币	moneda; divisa	La política monetaria afecta el desarrollo económico.
基地	base; instalación	Este lugar fue una importante base de entrenamiento.
基金	fondo	La escuela creó un fondo de becas.
基因	gen	Los científicos están estudiando este gen.
机动	móvil; motorizado	Este equipo mantiene una alta movilidad.
机构	organización; institución	Esta institución se encarga de la inspección de calidad.
机灵	listo; avispado	Este niño es muy avispado.
机密	confidencial; secreto	Estos materiales son confidenciales.
机械	maquinaria; mecánico	La fábrica incorporó maquinaria nueva.
机遇	oportunidad; ocasión favorable	Los jóvenes deben aprovechar las oportunidades.
机智	ingenioso; rápido de reflejos	Su respuesta fue muy ingeniosa.
激发	estimular; despertar	El profesor despertó el interés de los estudiantes.
激励	animar; motivar	Este éxito motivó a todo el equipo.
激情	pasión; entusiasmo	Estaba lleno de entusiasmo mientras daba el discurso.
讥笑	burlarse de; ridiculizar	No te burles de los errores de otras personas.
饥饿	hambre; inanición	El hambre prolongada puede afectar la salud.
即便	incluso si; aunque	Incluso si llueve, saldremos a tiempo.
即将	estar a punto de; inminente	La reunión está a punto de empezar.
及早	cuanto antes; lo antes posible	Los problemas deben tratarse cuanto antes.
吉祥	auspicioso; de buena suerte	En China, el rojo suele simbolizar buena suerte.
嫉妒	envidiar; tener celos	No debería envidiar el éxito de su compañero.
急功近利	buscar beneficios inmediatos; ser cortoplacista	La investigación no debe hacerse con una búsqueda cortoplacista de beneficios rápidos.
急剧	brusco; rápido	Las ventas cayeron bruscamente.
急切	ansioso; impaciente	Ella esperaba las noticias con ansiedad.
急于求成	querer resultados rápidos; apresurarse	No se puede querer resultados rápidos al aprender un idioma.
急躁	impaciente; irritable	No te impacientes cuando encuentres dificultades.
极端	extremo	Este tipo de clima extremo es cada vez más común.
极限	límite	Este entrenamiento puso a prueba sus límites.
疾病	enfermedad	Los buenos hábitos pueden prevenir enfermedades.
籍贯	lugar de origen familiar; lugar ancestral	En el formulario hay que indicar el lugar de origen familiar.
级别	nivel; categoría	Esta competición se divide en tres niveles.
集团	grupo; corporación	Este grupo tiene sucursales en el extranjero.
给予	dar; conceder	La escuela da ayuda a los estudiantes pobres.
季军	tercer puesto; medallista de bronce	Él obtuvo el tercer puesto en la competición.
季度	trimestre	La empresa publica informes financieros cada trimestre.
寂静	silencioso; tranquilo	El valle de noche estaba especialmente silencioso.
寄托	depositar; confiar	Ella depositó sus esperanzas en su hijo.
忌讳	tabú; evitar por tabú	La gente local considera tabú hablar de esto en la mesa.
技巧	técnica; habilidad	Dominar las técnicas puede mejorar la eficiencia.
纪要	acta; resumen de reunión	El secretario organizó el acta de la reunión.
继承	heredar; continuar	Él heredó la carrera de su padre.
计较	discutir; darle demasiada importancia	No le des tanta importancia a un asunto tan pequeño.
记性	memoria	Tiene muy buena memoria.
记载	registrar; constancia escrita	Los libros de historia registraron esta guerra.
迹象	señal; indicio	Por ahora no hay señales de mejora.
佳肴	manjar; platos deliciosos	La mesa estaba llena de platos deliciosos.
加工	procesar; elaboración	Estas materias primas necesitan más procesamiento.
加剧	intensificar; agravar	El conflicto se está intensificando.
夹杂	mezclarse con; estar mezclado con	El sonido de la lluvia se mezclaba con los truenos.
家常	casero; cotidiano	Me gusta comer platos caseros.
家伙	tipo; sujeto	Ese tipo siempre llega tarde.
家属	familiares	El médico avisó a los familiares del paciente.
家喻户晓	conocido por todos; muy famoso	Esta historia es conocida por todos.
坚定	firme; decidido	Su actitud era muy firme.
坚固	sólido; resistente	Este puente es muy resistente.
坚韧	tenaz; resistente	Él tiene un carácter tenaz.
坚实	sólido; firme	Esta investigación tiene una base sólida.
坚硬	duro; sólido	Esta piedra es muy dura.
尖端	vanguardia; punta	La empresa invierte en tecnología de vanguardia.
尖锐	agudo; punzante	Este problema es muy agudo.
煎	freír a la sartén	El cocinero está friendo pescado.
监督	supervisar; controlar	La supervisión pública ayuda a mejorar el trabajo.
监视	vigilar; monitorear	La policía está vigilando al sospechoso.
监狱	prisión	Él cumple condena en prisión.
艰难	difícil; duro	La etapa inicial de emprender fue muy difícil.
剪彩	cortar la cinta	El alcalde cortó la cinta de la nueva biblioteca.
拣	escoger; seleccionar	Ella escogió algunas manzanas de la cesta.
检讨	revisar; hacer autocrítica	Él revisó seriamente sus propios errores.
检验	comprobar; examinar	El experimento puede comprobar esta hipótesis.
简化	simplificar	Por favor, simplifica aún más el proceso.
简陋	sencillo y rudimentario	Ellos vivían en una cabaña sencilla y rudimentaria.
简体字	caracteres chinos simplificados	Este libro de texto usa caracteres chinos simplificados.
简要	breve; conciso	Por favor, explica brevemente tu punto de vista.
健全	perfeccionar; sólido	La empresa necesita perfeccionar su sistema de gestión.
剑	espada	Había una espada antigua colgada en la pared.
溅	salpicarse; salpicar	El agua de lluvia le salpicó los pantalones.
舰艇	buque de guerra; nave naval	Varios buques de guerra participaron en el ejercicio.
见多识广	experimentado y culto	Este anciano es experimentado y culto.
见解	opinión; punto de vista	Él tiene una opinión original sobre este tema.
见闻	conocimientos y experiencias	Los viajes ampliaron sus conocimientos y experiencias.
见义勇为	actuar con valentía por justicia	Él recibió elogios por actuar con valentía por justicia.
践踏	pisotear	No pises el pasto.
鉴别	distinguir; identificar	Los expertos pueden identificar si esta pintura es auténtica.
鉴定	evaluar; identificar	La policía está examinando las huellas dactilares.
鉴于	en vista de; considerando	En vista del mal tiempo, el evento fue aplazado.
间谍	espía	Esta película cuenta una historia de espías.
间隔	intervalo; separación	Las dos reuniones tienen una semana de intervalo.
间接	indirecto	Esta política tendrá un impacto indirecto.
僵硬	rígido; tieso	Su sonrisa parecía muy rígida.
将军	general	El general dio la orden.
将近	casi; cerca de	Este proyecto duró casi dos años.
将就	apañarse; conformarse	Las condiciones son malas, así que solo podemos apañarnos.
奖励	premiar; recompensa	La escuela premió a los estudiantes destacados.
奖赏	recompensa; premio	El rey dio una generosa recompensa al guerrero.
桨	remo	El barquero usó el remo para llevar la barca hacia la orilla.
降临	caer; llegar	La noche cayó poco a poco sobre la ciudad.
交叉	cruzarse; intersectarse	Las dos carreteras se cruzan aquí.
交代	explicar; aclarar	Por favor, explica claramente la tarea.
交涉	negociar	Las dos partes están negociando la compensación.
交易	transacción; trato	Esta transacción ya se completó.
娇气	delicateza excesiva; delicado	No seas tan delicado; no hace frío.
焦点	foco; punto central	El empleo se convirtió en el foco de la discusión.
焦急	ansiedad; ansioso	La madre esperaba ansiosamente el regreso de su hijo.
侥幸	por suerte; de casualidad	Él escapó del desastre por suerte.
搅拌	remover; mezclar	Por favor, remueve la masa de manera uniforme.
缴纳	pagar	Los residentes deben pagar la factura del agua a tiempo.
角落	rincón; esquina	El gato se escondió en un rincón de la habitación.
教养	educación; crianza	La buena educación se refleja en los detalles.
较量	competir; medirse	Dos equipos fuertes están a punto de competir.
接连	sucesivamente; seguido	Él recibió tres correos seguidos.
揭露	revelar; denunciar	El periodista reveló un problema de seguridad alimentaria.
皆	todos; cada uno	Estas normas son conocidas por todos.
阶层	clase social; estrato	Distintas clases sociales tienen distintas necesidades.
截止	cerrar; terminar	La inscripción cierra mañana por la tarde.
截至	hasta; a fecha de	Hasta hoy, doscientas personas se han inscrito.
杰出	destacado; sobresaliente	Ella es una científica destacada.
竭尽全力	hacer todo lo posible	Haremos todo lo posible para completar la tarea.
结晶	cristalización; fruto	Este logro es el fruto de años de esfuerzo.
结局	final; desenlace	El final de la historia fue inesperado.
结算	liquidar; cerrar cuentas	El cliente pidió liquidar los gastos a fin de mes.
节制	moderación; controlar	Hay que tener moderación al comer y beber.
节奏	ritmo	El ritmo de esta canción es rápido.
解除	levantar; eliminar	La empresa levantó la alerta de seguridad.
解放	liberar; emancipar	La reforma liberó las fuerzas productivas.
解雇	despedir	El jefe decidió despedir a ese empleado.
解剖	anatomía; diseccionar	Los estudiantes de medicina están estudiando anatomía.
解散	disolverse; dispersarse	Después de la reunión, el grupo se dispersó.
解体	desintegrarse; derrumbarse	Esa alianza finalmente se desintegró.
借鉴	aprender de; tomar como referencia	Podemos aprender de la experiencia extranjera.
借助	con ayuda de; apoyarse en	Él encontró la ruta con ayuda de un mapa.
戒备	estar en alerta; tomar precauciones	La zona fronteriza se mantiene en alta alerta.
界限	límite; frontera	El trabajo y la vida necesitan límites claros.
津津有味	con mucho interés	Los niños escucharon el cuento con mucho interés.
金融	finanzas; financiero	El mercado financiero fluctuó mucho hoy.
紧迫	urgente; apremiante	El tiempo apremia y debemos actuar de inmediato.
锦上添花	poner la guinda; mejorar algo ya bueno	Este regalo fue realmente la guinda del pastel.
晋升	ascender; promover	El año pasado ascendió a gerente de departamento.
浸泡	remojar; sumergir	Los frijoles necesitan remojarse toda la noche.
近来	recientemente; últimamente	Últimamente el tiempo ha cambiado mucho.
进而	luego; a continuación	Primero hay que entender las necesidades y luego formular un plan.
进攻	atacar; ofensiva	El equipo reforzó el ataque en la segunda mitad.
进化	evolución; evolucionar	Los organismos evolucionan con el entorno.
进展	avanzar; progreso	El proyecto avanza bien por ahora.
兢兢业业	diligente y concienzudo	Él trabajó diligentemente durante treinta años.
惊动	alarmar; perturbar	El fuerte ruido alarmó a los vecinos cercanos.
惊奇	asombrado; sorprendido	Los niños miraban el espectáculo de magia con asombro.
惊讶	sorprendido; asombrado	Su respuesta me sorprendió mucho.
精打细算	administrar con cuidado; calcular al detalle	Ella siempre administra con cuidado los gastos del hogar.
精华	esencia; lo mejor	Este artículo resume la esencia de la teoría.
精简	simplificar; reducir	La empresa decidió simplificar la estructura directiva.
精密	preciso; de alta precisión	Este instrumento es muy preciso.
精确	exacto; preciso	Los datos deben ser exactos hasta dos decimales.
精通	dominar; ser experto en	Él domina tres idiomas extranjeros.
精心	cuidadosamente; con esmero	La madre preparó la cena con esmero.
精益求精	buscar siempre la perfección	Los artesanos excelentes siempre buscan la perfección.
精致	exquisito; fino	Este regalo está envuelto de forma muy exquisita.
经费	fondos; presupuesto	Los fondos de investigación ya fueron aprobados.
经纬	longitud y latitud; puntos principales	El mapa marca las líneas de longitud y latitud.
茎	tallo	El tallo de la planta sostiene las hojas.
井	pozo	En la entrada del pueblo hay un pozo antiguo.
警告	advertir; aviso	El profesor advirtió a los estudiantes que no hicieran trampa.
警惕	estar alerta; vigilancia	Debemos estar alerta ante el fraude en internet.
颈椎	vértebras cervicales	Mirar hacia abajo durante mucho tiempo puede dañar las vértebras cervicales.
境界	nivel; ámbito	Su pintura alcanzó un nuevo nivel.
敬礼	saludar militarmente; saludo	El soldado saludó la bandera nacional.
敬业	dedicado al trabajo	Ella trabaja con seriedad y está muy dedicada a su trabajo.
竞赛	competición; concurso	La escuela organizó una competición de matemáticas.
竞选	presentarse a elecciones	Él se está preparando para presentarse a alcalde.
镜头	lente; plano	El fotógrafo ajustó la lente.
纠纷	disputa; conflicto	Las dos partes resolvieron la disputa mediante mediación.
纠正	corregir	El profesor corrigió a tiempo el error de pronunciación.
酒精	alcohol	El médico desinfectó la herida con alcohol.
就近	cercano; en las cercanías	Los estudiantes pueden matricularse en una escuela cercana.
就业	empleo; conseguir trabajo	El gobierno introdujo políticas para promover el empleo.
就职	asumir el cargo	El nuevo gerente asumirá oficialmente el cargo la próxima semana.
救济	auxilio; ayuda de emergencia	Las víctimas del desastre recibieron ayuda a tiempo.
居民	residente; habitante	Los residentes cercanos se oponen a la contaminación acústica.
居住	residir; vivir	Ellos han vivido aquí durante diez años.
拘留	detener; mantener bajo custodia	La policía detuvo al sospechoso conforme a la ley.
拘束	cohibido; restringir	No hace falta sentirse cohibido delante de amigos.
鞠躬	inclinarse; hacer una reverencia	El actor hizo una reverencia al público en señal de agradecimiento.
局部	local; parcial	El médico solo aplicó anestesia local.
局面	situación; estado	La negociación mejoró la situación tensa.
局势	situación; estado de cosas	La situación internacional sigue siendo compleja.
局限	limitación; límite	Este método tiene limitaciones evidentes.
举动	acto; acción	Su acción conmovió a todos.
举世瞩目	atraer la atención mundial	Este proyecto logró atraer la atención mundial.
举足轻重	decisivo; de gran peso	Esta empresa tiene un peso decisivo en el sector.
咀嚼	masticar	Hay que masticar despacio al comer.
沮丧	desanimado; frustrado	Después de perder el partido, se sintió muy frustrado.
剧本	guion	El director está revisando el guion.
剧烈	intenso; violento	El suelo tembló violentamente.
据悉	según se informa	Según se informa, la reunión se aplazará hasta la próxima semana.
聚精会神	concentrarse por completo	Los niños escuchaban la clase completamente concentrados.
卷	enrollar	Él enrolló el mapa y lo metió en la bolsa.
倔强	obstinado; terco	Este niño tiene un carácter terco.
决策	decisión; toma de decisiones	La dirección está discutiendo una decisión importante.
绝望	desesperación; desesperado	Después del fracaso, llegó a sentirse desesperado.
觉悟	conciencia; toma de conciencia	Esta experiencia elevó su conciencia.
觉醒	despertar; tomar conciencia	La conciencia ambiental pública está despertando.
军队	ejército	El ejército llegó rápidamente a la zona del desastre.
君子	caballero; persona noble	Un caballero debe actuar de acuerdo con sus palabras.
卡通	dibujos animados	Al niño le gusta ver películas de dibujos animados.
开采	extraer; explotar	Esta empresa se encarga de extraer minerales.
开除	expulsar	La escuela decidió expulsar al estudiante que hizo trampa.
开阔	amplio; abierto	Desde la cima de la montaña, la vista es muy amplia.
开朗	alegre; extrovertido	Ella tiene un carácter alegre y muchos amigos.
开明	abierto; de mentalidad abierta	Los padres tienen una actitud muy abierta.
开辟	abrir; crear	La ciudad abrió una nueva ruta de autobús.
开拓	desarrollar; abrir nuevos mercados	La empresa planea desarrollar mercados extranjeros.
开展	desarrollar; llevar a cabo	La escuela llevó a cabo una actividad de educación en seguridad.
开支	gastos	Los gastos mensuales de la familia aumentaron.
刊登	publicar	El periódico publicó su artículo.
刊物	publicación	Esta publicación sale una vez al mes.
勘探	exploración; prospección	El equipo de ingeniería está explorando fuentes de agua subterránea.
侃侃而谈	hablar con seguridad	Él habló con seguridad y amplitud en la reunión.
砍伐	talar	Está prohibido talar bosques sin permiso.
看待	considerar; ver	Debemos considerar este problema de forma objetiva.
慷慨	generoso	Él donó generosamente el dinero del premio.
