source_headword	MY	example_MY
notably	အထူးသဖြင့်	အထူးသဖြင့် မေလတွင် ကုန်ကျစရိတ်များ ကျဆင်းခဲ့သည်။
notify	အကြောင်းကြားသည်	မထွက်ခွာမီ ဝန်ထမ်းများကို ကျေးဇူးပြု၍ အကြောင်းကြားပါ။
notorious	နာမည်ဆိုးဖြင့် ကျော်ကြားသော	လမ်းသည် ယာဉ်တိုက်မှုများအတွက် နာမည်ဆိုးဖြင့် ကျော်ကြားသည်။
novel	ဆန်းသစ်သော	၎င်းတို့က ဆန်းသစ်သော ဖြေရှင်းနည်းတစ်ခုကို အဆိုပြုခဲ့ကြသည်။
nursery	ကလေးထိန်းကျောင်း	ကလေးထိန်းကျောင်းသည် မွေးကင်းစကလေးများကို စောင့်ရှောက်ပေးသည်။
objection	ကန့်ကွက်ခြင်း	ရှေ့နေက ကန့်ကွက်ကြောင်း တင်ပြခဲ့သည်။
oblige	ဖိအားပေးသည်	စည်းကမ်းများက ယာဉ်မောင်းများကို ရပ်တန့်စေသည်။
obsess	စွဲလမ်းသည်	အမှားအသေးအမွှားများကို အလွန်အမင်း စွဲလမ်းမနေပါနှင့်။
obsession	စွဲလမ်းမှု	သူ၏ စွဲလမ်းမှုက သူ၏ အလုပ်ကို ထိခိုက်စေခဲ့သည်။
occasional	တစ်ခါတစ်ရံ	တစ်ခါတစ်ရံ နှောင့်နှေးမှုများကို မျှော်လင့်ရသည်။
occurrence	ဖြစ်ရပ်	ထိုကဲ့သို့သော ဖြစ်ရပ်မျိုးသည် ရှားပါးသည်။
odds	အခွင့်အလမ်း	အောင်မြင်ရန် အခွင့်အလမ်းများ တိုးတက်လာခဲ့သည်။
offering	ကမ်းလှမ်းမှု	တက္ကသိုလ်က ၎င်း၏ ကမ်းလှမ်းမှုများကို တိုးချဲ့ခဲ့သည်။
offspring	သားပေါက်	မြေခွေးသည် ၎င်း၏ သားပေါက်များကို ကာကွယ်ခဲ့သည်။
operational	လည်ပတ်နေသော	စနစ်သစ်သည် ယခု လည်ပတ်နေပြီဖြစ်သည်။
opt	ရွေးချယ်သည်	ကျောင်းသားအများအပြားသည် အွန်လိုင်းအတန်းများကို ရွေးချယ်ကြသည်။
optical	အမြင်ဆိုင်ရာ	အမြင်ဆိုင်ရာ မှန်ဘီလူးကို သန့်ရှင်းရေးလုပ်ရန် လိုအပ်သည်။
optimism	အကောင်းမြင်ဝါဒ	ကြေညာပြီးနောက် အကောင်းမြင်စိတ်များ ပြန်လည်ရရှိလာသည်။
oral	နှုတ်ဖြေ	နှုတ်ဖြေစာမေးပွဲကို မနက်ဖြန် စတင်မည်။
organizational	အဖွဲ့အစည်းဆိုင်ရာ	အဖွဲ့အစည်းဆိုင်ရာ ပြောင်းလဲမှုများကို ချက်ချင်းစတင်ခဲ့သည်။
orientation	မိတ်ဆက်သင်တန်း	အလုပ်ရုံဆွေးနွေးပွဲတွင် ဝန်ထမ်းများအတွက် မိတ်ဆက်သင်တန်း ပါဝင်သည်။
originate	စတင်သည်	အစဉ်အလာများစွာသည် ကျေးလက်ရွာများမှ စတင်သည်။
outbreak	ရုတ်တရက်ဖြစ်ပွားမှု	ရုတ်တရက်ဖြစ်ပွားမှုသည် မြို့အနှံ့ ကူးစက်သွားသည်။
outing	အပြင်ထွက်လည်ပတ်ခြင်း	အတန်းသည် ပြတိုက်သို့ အပြင်ထွက်လည်ပတ်ခြင်းကို ပျော်ရွှင်စွာ ပြုလုပ်ခဲ့သည်။
outlet	အရောင်းဆိုင်	အရောင်းဆိုင်သည် လျှော့စျေးဖြင့် အဝတ်အစားများကို ရောင်းချသည်။
outlook	အလားအလာ	စီးပွားရေး အလားအလာသည် မသေချာသေးပါ။
outrage	ဒေါသထွက်မှု	ဆုံးဖြတ်ချက်က လူထု၏ ဒေါသကို ဖြစ်စေခဲ့သည်။
outsider	ပြင်ပလူ	ပြင်ပလူတစ်ဦးအနေဖြင့် သူသည် ပြဿနာများကို သတိပြုမိခဲ့သည်။
overlook	လျစ်လျူရှုသည်	အသေးအမွှား အချက်အလက်များကို လျစ်လျူမရှုပါနှင့်။
overly	အလွန်အမင်း	ညွှန်ကြားချက်များသည် အလွန်အမင်း ရှုပ်ထွေးနေခဲ့သည်။
oversee	ကြီးကြပ်သည်	သူမသည် ပရောဂျက်ကို ကြီးကြပ်မည်ဖြစ်သည်။
overturn	ပယ်ဖျက်သည်	တရားရုံးက ဆုံးဖြတ်ချက်ကို ပယ်ဖျက်နိုင်သည်။
overwhelm	ဖိစီးသွားစေသည်	သတင်းအချက်အလက် အများအပြားက သင်ယူသူများကို ဖိစီးသွားစေနိုင်သည်။
overwhelming	အလွန်များပြားသော	သက်သေအထောက်အထားများမှာ အလွန်များပြားခဲ့သည်။
pad	အကာ	ဒူးများကို ကာကွယ်ရန် အကာကို အသုံးပြုပါ။
parameter	ကန့်သတ်ချက်	တစ်ကြိမ်လျှင် ကန့်သတ်ချက် တစ်ခုကိုသာ ချိန်ညှိပါ။
parental	မိဘဆိုင်ရာ	မိဘများ၏ ပံ့ပိုးမှုက တက်ရောက်မှုကို တိုးတက်စေခဲ့သည်။
parish	သာသနာနယ်	သာသနာနယ်သည် ပရဟိတ ညစာစားပွဲကို စီစဉ်ခဲ့သည်။
parliamentary	လွှတ်တော်ဆိုင်ရာ	လွှတ်တော်တွင်း အခြေအတင် ဆွေးနွေးမှုသည် နာရီပေါင်းများစွာ ကြာမြင့်ခဲ့သည်။
partial	တစ်စိတ်တစ်ပိုင်း	အစီရင်ခံစာသည် တစ်စိတ်တစ်ပိုင်း အဖြေကိုသာ ပေးခဲ့သည်။
partially	တစ်စိတ်တစ်ပိုင်းအားဖြင့်	ပြတင်းပေါက်ကို တစ်စိတ်တစ်ပိုင်းအားဖြင့် ဖွင့်ထားသည်။
passing	ကွယ်လွန်ခြင်း	သူမ၏ ကွယ်လွန်ခြင်းသည် ရုတ်တရက်ဖြစ်ခဲ့သည်။
passive	တက်ကြွမှုမရှိသော	တက်ကြွမှုမရှိသော ရင်းနှီးမြှုပ်နှံသူများသည် တည်ငြိမ်သော အကျိုးအမြတ်ကို လက်ခံခဲ့ကြသည်။
pastor	သင်းအုပ်ဆရာ	သင်းအုပ်ဆရာသည် မိသားစုထံသို့ အလည်အပတ်သွားခဲ့သည်။
patch	အဖာအထေး	အကျီသည် အဖာအထေးငယ်တစ်ခု လိုအပ်နေသည်။
patent	မူပိုင်ခွင့်	ကုမ္ပဏီသည် မူပိုင်ခွင့်တစ်ခု တင်သွင်းခဲ့သည်။
pathway	လမ်းကြောင်း	ဤလမ်းကြောင်းသည် အသိအမှတ်ပြုလက်မှတ်ရရှိရန် ဦးတည်စေသည်။
patrol	ကင်းလှည့်သည်	ရဲများသည် ညဘက်တွင် ဧရိယာကို ကင်းလှည့်ကြသည်။
patron	နာယက	ပြတိုက်သည် ၎င်း၏ နာယကကို ကျေးဇူးတင်ရှိခဲ့သည်။
peak	အထွတ်အထိပ်	ဝယ်လိုအားသည် ဆောင်းရာသီတွင် အထွတ်အထိပ်သို့ ရောက်ရှိခဲ့သည်။
peasant	တောင်သူလယ်သမား	တောင်သူလယ်သမားတွင် မြေအနည်းငယ်သာ ပိုင်ဆိုင်သည်။
peculiar	ထူးဆန်းသော	အခန်းထဲတွင် ထူးဆန်းသော အနံ့တစ်ခု ရှိနေသည်။
persist	ဆက်လက်ဖြစ်ပေါ်သည်	ရောဂါလက္ခဏာများသည် ရက်အနည်းငယ် ဆက်လက်ဖြစ်ပေါ်နိုင်သည်။
persistent	မပြတ်ဖြစ်နေသော	မပြတ်ဖြစ်နေသော ချောင်းဆိုးခြင်းကို ဂရုစိုက်ရန် လိုအပ်သည်။
personnel	ဝန်ထမ်း	ဝန်ထမ်း မှတ်တမ်းများသည် လျှို့ဝှက်ချက်များဖြစ်သည်။
petition	တောင်းဆိုလွှာ	တောင်းဆိုလွှာသည် လက်မှတ်ထောင်ပေါင်းများစွာကို စုဆောင်းရရှိခဲ့သည်။
philosopher	ဒဿနိကဗေဒပညာရှင်	ဒဿနိကဗေဒပညာရှင်သည် သာမန် ယူဆချက်များကို မေးခွန်းထုတ်ခဲ့သည်။
philosophical	ဒဿနိကဗေဒဆိုင်ရာ	ဆွေးနွေးမှုသည် ဒဿနိကဗေဒဆိုင်ရာ ဖြစ်လာခဲ့သည်။
physician	ဆရာဝန်	ဆရာဝန်သည် သွေးစစ်ရန် ညွှန်ကြားခဲ့သည်။
pioneer	ရှေ့ဆောင်	သူမသည် ဆေးပညာတွင် ရှေ့ဆောင်တစ်ဦး ဖြစ်လာခဲ့သည်။
pipeline	ပိုက်လိုင်း	ပိုက်လိုင်းသည် မြေအောက်မှ ဓာတ်ငွေ့များကို သယ်ယူပေးသည်။
pirate	ပင်လယ်ဓားပြ	ပင်လယ်ဓားပြသင်္ဘောသည် ကမ်းလွန်တွင် ပေါ်လာခဲ့သည်။
pit	တွင်း	အလုပ်သမားများသည် နက်ရှိုင်းသော တွင်းတစ်တွင်းကို တူးခဲ့ကြသည်။
plea	မေတ္တာရပ်ခံချက်	သူ၏ အကူအညီတောင်းခံမှုကို လျစ်လျူရှုခဲ့သည်။
plead	အသနားခံသည်	သံသယရှိသူသည် အပြစ်ရှိကြောင်း ဝန်ခံလိမ့်မည်။
pledge	ကတိပြုသည်	၎င်းတို့က ပြုပြင်ပြောင်းလဲမှုများကို ထောက်ခံမည်ဟု ကတိပြုကြသည်။
plug	ပလပ်ထိုးသည်	ကေဘယ်ကို ပလပ်ပေါက်ထဲသို့ ထိုးထည့်ပါ။
plunge	ထိုးကျသည်	အရှုပ်တော်ပုံအပြီးတွင် စျေးနှုန်းများ ထိုးကျသွားနိုင်သည်။
pole	တိုင်	အလံသည် တိုင်တစ်ခုမှ တွဲလောင်းကျနေသည်။
poll	စစ်တမ်း	စစ်တမ်းက ပြောင်းလဲနေသော အမြင်များကို ပြသခဲ့သည်။
pond	ရေကန်	ဘဲများသည် အေးခဲနေသော ရေကန်ကို ဖြတ်ကူးခဲ့ကြသည်။
pop	ပေါက်ကွဲသည်	ချွန်ထက်သော အရာဝတ္ထုများအနီးတွင် ပူဖောင်းများ ပေါက်သွားသည်။
portfolio	ရင်းနှီးမြှုပ်နှံမှု အစုအဝေး	သူမ၏ ရင်းနှီးမြှုပ်နှံမှု အစုအဝေးတွင် စတက်အပ်လုပ်ငန်းများစွာ ပါဝင်သည်။
portray	ပုံဖော်သည်	ရုပ်ရှင်သည် ကျေးလက်ဘဝကို ပုံဖော်မည်ဖြစ်သည်။
postpone	ရွှေ့ဆိုင်းသည်	၎င်းတို့က ကြားနာမှုကို ရွှေ့ဆိုင်းခဲ့ကြသည်။
post-war	စစ်ပြီးခေတ်	စစ်ပြီးခေတ် အိမ်ရာများကို အရေးတကြီး လိုအပ်ခဲ့သည်။
practitioner	လက်တွေ့လုပ်ဆောင်သူ	လက်တွေ့လုပ်ဆောင်သူသည် ကုသမှုအကြောင်းကို ရှင်းပြခဲ့သည်။
preach	တရားဟောသည်	တရားဟောဆရာသည် တနင်္ဂနွေနေ့တွင် တရားဟောမည်ဖြစ်သည်။
precedent	စီရင်ထုံး	တရားရုံးဆုံးဖြတ်ချက်သည် အရေးကြီးသော စီရင်ထုံးတစ်ခုကို သတ်မှတ်ပေးခဲ့သည်။
precision	တိကျမှု	စက်သည် တိကျမှုဖြင့် ဖြတ်တောက်သည်။
predator	သားရဲ	သားရဲသည် မြစ်အနီးတွင် စောင့်ဆိုင်းနေခဲ့သည်။
predecessor	ရှေ့ကလူ	သူမ၏ ရှေ့ကလူသည် အသေးစိတ် မှတ်စုများကို ချန်ထားခဲ့သည်။
predominantly	အများအားဖြင့်	ထိုဒေသသည် အများအားဖြင့် လူနေရပ်ကွက်ဖြစ်သည်။
pregnancy	ကိုယ်ဝန်ဆောင်ခြင်း	ကိုယ်ဝန်ဆောင်ခြင်းသည် ပုံမှန် ဆေးကုသမှု ခံယူရန် လိုအပ်သည်။
prejudice	ခွဲခြားဆက်ဆံမှု	လှုံ့ဆော်မှုက လူမျိုးရေး ခွဲခြားမှုကို စိန်ခေါ်ခဲ့သည်။
preliminary	ပဏာမ	ပဏာမ ရလဒ်များသည် ကောင်းမွန်မည့်ပုံပေါ်သည်။
premier	ဝန်ကြီးချုပ်	ဝန်ကြီးချုပ်သည် ယနေ့ လွှတ်တော်တွင် မိန့်ခွန်းပြောကြားခဲ့သည်။
premise	အခြေခံအချက်	အငြင်းပွားမှုသည် မှားယွင်းသော အခြေခံအချက်ပေါ်တွင် ရပ်တည်နေသည်။
premium	ပရီမီယံ	ဖောက်သည်များသည် မြန်ဆန်မှုအတွက် ပရီမီယံကြေး ပေးခဲ့ရသည်။
prescribe	ဆေးညွှန်းရေးပေးသည်	ဆရာဝန်များသည် ပဋိဇီဝဆေးများကို ဂရုတစိုက် ဆေးညွှန်းရေးပေးကြသည်။
prescription	ဆေးစာ	ဆေးစာသည် နောက်လတွင် သက်တမ်းကုန်မည်ဖြစ်သည်။
presently	လောလောဆယ်	သူမသည် လောလောဆယ် မအားလပ်ပါ။
preservation	ထိန်းသိမ်းခြင်း	ထိန်းသိမ်းခြင်းသည် သမိုင်းဝင် အဆောက်အအုံများကို ကာကွယ်ပေးသည်။
preside	ကြီးမှူးသည်	တရားသူကြီးသည် တရားခွင်ကို ကြီးမှူးမည်ဖြစ်သည်။
presidency	သမ္မတသက်တမ်း	သူ၏ သမ္မတသက်တမ်းသည် ရှစ်နှစ်ကြာမြင့်ခဲ့သည်။
presidential	သမ္မတဆိုင်ရာ	သမ္မတရွေးကောက်ပွဲသည် အာရုံစိုက်မှုကို ဆွဲဆောင်နိုင်ခဲ့သည်။
prestigious	ဂုဏ်သိက္ခာရှိသော	သူမသည် ဂုဏ်သိက္ခာရှိသော ပညာသင်ဆုတစ်ခု ရရှိခဲ့သည်။
presumably	ဖြစ်နိုင်ခြေရှိသည်မှာ	ရုံးသည် ယနေ့ ပိတ်ထားမည်ဟု ယူဆရသည်။
presume	မှတ်ယူသည်	စာရွက်စာတမ်းများသည် အစစ်အမှန်ဖြစ်သည်ဟု ကျွန်ုပ်တို့ မှတ်ယူပါသည်။
prevail	လွှမ်းမိုးသည်	အများလက်ခံနိုင်သော အသိဉာဏ်သည် လွှမ်းမိုးသင့်သည်။
prevalence	ပျံ့နှံ့မှု	ပန်းနာရင်ကျပ်ရောဂါ ပျံ့နှံ့မှုသည် တိုးလာခဲ့သည်။
prevention	ကြိုတင်ကာကွယ်ခြင်း	ကြိုတင်ကာကွယ်ခြင်းသည် ပြုပြင်ခြင်းထက် ပိုသက်သာသည်။
