simplified	BG	example_BG
反常	необичаен	Днешното време е малко необичайно.
反感	неприязън	Имам силна неприязън към този вид реклама.
反抗	съпротивлявам се	Хората започнаха да се съпротивляват на несправедливото правило.
反馈	обратна връзка	Клиентите дадоха обратна връзка, че системата е много стабилна.
反面	обратна страна	Моля, обърни листа на обратната страна.
反射	отразявам	Огледалото отразява светлината.
反思	размишлявам върху	След провала той сериозно размишлява върху причините.
反问	задавам насрещен въпрос	Той не отговори, а ми зададе насрещен въпрос.
反之	обратно	Прекалено високите цени намаляват търсенето, и обратното също е вярно.
泛滥	преливам	Проливният дъжд причини преливане на реката.
范畴	категория	Този въпрос попада в правната категория.
贩卖	продавам незаконно	Законът забранява продажбата на фалшиви лекарства.
方位	посока	На картата е отбелязана точната посока.
方言	диалект	Той разбира местния диалект.
方圆	в радиус	В радиус от десет километра няма болница.
方针	насока; политика	Компанията изработи нова политика за развитие.
防守	защита	Защитата на този отбор е много стабилна.
防御	отбрана	Градската стена някога е служила за отбрана срещу врагове.
防止	предотвратявам	Моля, закопчайте колана, за да предотвратите нараняване.
防治	профилактика и лечение	Лекарят обясни методи за профилактика и лечение на болести.
纺织	текстилно производство	Този град е известен с текстилната си индустрия.
访问	посещавам; интервюирам	Репортерът утре ще посети този писател.
放大	увеличавам	Моля, увеличи малко изображението.
放射	излъчвам	Този материал излъчва топлина.
非法	незаконен	Незаконните сделки ще бъдат наказани.
飞禽走兽	птици и зверове	В гората живеят всякакви птици и зверове.
飞翔	летя	Чайките летят над морето.
飞跃	скок	Развитието на технологиите постигна огромен скок.
肥沃	плодороден	Тази земя е много плодородна.
诽谤	клевета	Клеветата срещу други хора носи правна отговорност.
废除	отменям	Това старо правило вече е отменено.
废寝忘食	забравям сън и храна	Заради изследването той забравяше сън и храна.
废墟	руини	След земетресението онова място се превърна в руини.
沸腾	кипя	Водата вече кипи.
肺	бял дроб	Пушенето може да увреди белите дробове.
分辨	различавам	Трудно ми е да различа тези два цвята.
分寸	мярка	И при шега трябва да се спазва мярка.
分红	дивидент	Акционерите могат да получат дивиденти в края на годината.
分解	разлагам; разбивам	Учителят разби сложния проблем на няколко стъпки.
分裂	разцепвам се	Вътрешните противоречия доведоха до разцепване на организацията.
分泌	отделям	Този вид жлеза отделя хормони.
分明	ясен	Фактите вече са напълно ясни.
分歧	разногласие	Двете страни имат разногласия относно цената.
分散	разпределям	Моля, разпределете риска между различни проекти.
吩咐	нареждам	Шефът ми нареди да подредя документите.
坟墓	гробница	На склона има стара гробница.
粉末	прах	Моля, смелете таблетките на прах.
粉色	розов	Тя купи розов шал.
粉碎	разбивам	Полицията разби тази престъпна група.
分量	тежест	Това изречение има голяма тежест.
愤怒	гняв	Тонът му беше изпълнен с гняв.
丰满	богат; плътен	Съдържанието на тази статия още не е достатъчно богато.
丰盛	богат; изобилен	Те приготвиха богата вечеря.
丰收	богата реколта	Тази година земеделците получиха богата реколта.
封闭	затварям	По време на строителството този път ще бъде затворен.
封建	феодален	Този феодален начин на мислене отдавна трябваше да се промени.
封锁	блокирам	Полицията блокира мястото на инцидента.
锋利	остър	Този нож е много остър.
风暴	буря	В морето внезапно се появи буря.
风度	изящество	На сцената той изглеждаше много изящен.
风光	пейзаж	Природният пейзаж тук е много красив.
风气	атмосфера; нрави	В училището се формира добра учебна атмосфера.
风趣	остроумен	Той говори много остроумно.
风土人情	местни обичаи	Пътуването помага да опознаеш местните обичаи.
风味	местен вкус	Този магазин има силен местен вкус.
逢	всеки път когато	Всеки уикенд паркът е оживен.
奉献	посвещавам	Лекарят посвети много време на пациентите.
否决	отхвърлям	Бордът отхвърли това предложение.
夫妇	съпружеска двойка	Тази съпружеска двойка управлява малък магазин.
夫人	съпруга; госпожа	Господин Уан и съпругата му присъстваха заедно на вечерята.
敷衍	отговарям формално	Той само формално отговори с няколко думи.
俘虏	пленник	След края на войната пленниците бяха освободени.
幅度	мащаб	Мащабът на това намаление на цените е голям.
服从	подчинявам се	Войниците трябва да се подчиняват на заповеди.
服气	приемам поражение	Той загуби мача, но вътрешно не прие поражението.
福利	социални придобивки	Служителите много ценят придобивките на компанията.
福气	щастие; късмет	Да срещне добър учител е негов късмет.
符号	символ	Този символ означава опасност.
辐射	радиация	Лекарят му напомни да стои далеч от силна радиация.
俯视	гледам отвисоко	От върха на планината може да се види целият град отвисоко.
抚摸	галя	Тя леко погали главата на детето.
抚养	отглеждам	Бабата и дядото помагаха да се отглежда детето.
腐败	корупция	Правителството се бори с корупцията.
腐烂	гния	Плодовете ще изгният, ако стоят твърде дълго.
腐蚀	корозирам	Киселината може да корозира металната повърхност.
腐朽	прогнил	Те критикуваха прогнилата система.
辅助	помагам	Този инструмент може да помага в преподаването.
副	заместник	Тя беше назначена за заместник-мениджър.
复活	възраждам се	Този традиционен празник се възражда.
复兴	възраждане	Културното възраждане изисква дългосрочни усилия.
富裕	заможен	Това село сега става все по-заможно.
腹泻	диария	Той има силна диария и трябва да отиде на лекар.
覆盖	покривам	Обилният сняг покри цялата долина.
负担	тежест	Наемът се превърна в основната му тежест.
赋予	давам; предоставям	Законът предоставя на гражданите основни права.
附和	повтарям чуждо мнение	Той няма собствено мнение и само повтаря чуждите думи.
附件	прикачен файл	Моля, виж прикачения файл в имейла.
附属	подчинен; свързан	Тази болница е свързана с университета.
改良	подобрявам	Специалистите подобряват този сорт ориз.
盖章	поставям печат	След подписването договорът трябва да бъде подпечатан.
钙	калций	Млякото съдържа много калций.
尴尬	неловък	На срещата настъпи неловко мълчание.
干旱	суша	Продължителната суша засегна посевите.
干扰	преча	Шумът пречи на работата ми.
干涉	намесвам се	Родителите не бива прекалено да се намесват в избора на децата.
干预	вмешателство; намесвам се	Правителството навреме се намеси в пазарния риск.
感慨	вълнение; размисъл	Като видя старите снимки, той се изпълни с вълнение.
感染	заразявам	Този вирус лесно заразява деца.
干劲	ентусиазъм за работа	Всички работят с голям ентусиазъм.
扛	вдигам с ръце	Според легендата той бил толкова силен, че можел да вдигне тежък котел.
纲领	програма; водещ принцип	Събранието прие нова програма за действие.
岗位	длъжност	Тя бързо се приспособи към новата длъжност.
港口	пристанище	Товарният кораб спря на пристанището.
港湾	залив; пристан	Малката лодка навлезе в тихия залив.
杠杆	лост; финансов ливъридж	Тази инвестиция използва висок финансов ливъридж.
高超	превъзходен	Уменията му за ремонт на автомобили са превъзходни.
高潮	кулминация	Мачът достигна кулминацията си през последните десет минути.
高峰	връх; пиков час	Осем сутринта е пикът на движението.
高明	умен; блестящ	Този метод наистина е много умен.
高尚	благороден	Професионалният дух на лекаря е благороден.
高涨	нараствам	Ентусиазмът на публиката непрекъснато нарастваше.
稿件	ръкопис	Редакторът преработва ръкописа.
告辞	сбогувам се	Вече е късно, затова първо ще се сбогуваме.
告诫	предупреждавам	Учителят предупреди учениците да не преписват.
割	режа	Той неволно си поряза пръста.
搁	поставям; оставям настрана	Моля, сложи документите на масата.
歌颂	възхвалявам	Това стихотворение възхвалява трудещите се.
疙瘩	бучка; пъпка	На ръката му се появи бучка.
鸽子	гълъб	На площада има много гълъби.
格局	разположение; структура	Разположението на този апартамент е много разумно.
格式	формат	Моля, попълнете формуляра според изисквания формат.
隔阂	отчуждение	Недоразумението задълбочи отчуждението между тях.
隔离	изолирам	Пациентът трябва временно да бъде изолиран.
革命	революция	Тази революция промени съдбата на страната.
个体	индивид	Всеки индивид има различни нужди.
各抒己见	всеки изразява мнението си	На събранието всички изразиха собственото си мнение.
根深蒂固	дълбоко вкоренен	Тази представа вече е дълбоко вкоренена.
根源	корен; източник	Корените на бедността са сложни.
跟前	наблизо; пред	Детето изтича при майка си.
跟随	следвам	Репортерът последва екипа в планинския район.
跟踪	проследявам	Полицията проследява движенията на заподозрения.
更新	обновявам	Системата ще се обнови автоматично тази вечер.
更正	поправям	На следващия ден вестникът поправи грешката.
耕地	обработваема земя; ора	Земеделците орат нивите през пролетта.
供不应求	търсенето надвишава предлагането	В момента това лекарство не достига за търсенето.
供给	снабдяване	Градът се нуждае от стабилно снабдяване с вода и електричество.
公安局	управление за обществена сигурност	Той отиде в управлението за обществена сигурност, за да подаде сигнал.
公道	справедливост	Всички се надяват на справедливо разглеждане.
公告	обявление	Училището публикува обявление за спиране на занятията.
公关	връзки с обществеността	Компанията нае професионален екип за връзки с обществеността.
公民	гражданин	Всеки гражданин трябва да спазва закона.
公然	открито	Той открито наруши правилата на състезанието.
公认	общопризнат	Тя е общопризната като отлична учителка.
公式	формула	Моля, запишете тази математическа формула.
公务	служебна работа	Той замина в командировка за три дни по служебна работа.
公正	справедлив	Съдията трябва да остане справедлив.
公证	нотариална заверка	Този документ се нуждае от нотариална заверка.
功劳	заслуга	Всички имат заслуга за този успех.
功效	ефективност	Ефективността на това лекарство още трябва да бъде проверена.
宫殿	дворец	Туристите разгледаха стария дворец.
工艺品	занаятчийско изделие	Това занаятчийско изделие е направено на ръка.
恭敬	почтителен	Той почтително поздрави възрастния човек.
攻击	нападам	Хакери нападнаха сайта на компанията.
攻克	преодолявам	Изследователският екип преодоля техническата трудност.
巩固	затвърждавам	Преговорът може да затвърди наученото.
共和国	република	Тази република е основана през миналия век.
共计	общо възлизам на	Тази пратка общо възлиза на триста кашона.
共鸣	отзвук; съпричастност	Тази песен намери отзвук у много хора.
勾结	сговарям се	Те се сговориха с външни хора, за да измамят за средства.
钩子	кука	На стената висят няколко куки.
构思	замислям	Писателят замисля нов роман.
姑且	засега	Нека засега пробваме този план за една седмица.
孤独	самотен	След като се премести в нов град, той се почувства самотен.
孤立	изолиран; изолирам	Не разглеждай този проблем изолирано.
辜负	разочаровам; не оправдавам	Не искам да разочаровам очакванията на родителите си.
古董	антика	Дядо събра няколко антики.
古怪	странен	Идеята му е малко странна.
股东	акционер	Събранието на акционерите ще се проведе следващата седмица.
股份	дял; акции	Той притежава дялове в компанията.
骨干	гръбнак; основен кадър	Тези инженери са гръбнакът на екипа.
鼓动	подбуждам	Някой подбуди хората към протест.
固然	наистина; безспорно	Този метод наистина е прост, но рискът не е малък.
固体	твърдо тяло	Ледът е твърдото състояние на водата.
固有	присъщ	Всяка култура има свои присъщи особености.
固执	упорит; инатлив	Той е твърде инатлив и не иска да слуша съвети.
故乡	роден край	След много години той се върна в родния си край.
故障	повреда	Асансьорът получи повреда и временно не работи.
雇佣	наемам	Компанията реши да наеме повече технически служители.
顾虑	опасение	Ако имаш някакви опасения, можеш да ги кажеш направо.
顾问	консултант	Наехме правен консултант.
拐杖	бастун	Възрастният човек често носи бастун, когато излиза.
关怀	грижа	Учителят даде на учениците много грижа и внимание.
关照	наглеждам; грижа се	Моля, по пътя се грижи повече за детето.
官方	официален	Официалната новина ще бъде обявена утре.
观光	разглеждам забележителности	Туристите разглеждаха забележителности с лодка.
管辖	имам юрисдикция	Този район е под юрисдикцията на градската управа.
惯例	обичайна практика	Да се представят гостите преди началото на срещата е обичайна практика.
灌溉	напоявам	Земеделците използват речна вода, за да напояват нивите.
罐	буркан; кутия	На масата има буркан с чай.
贯彻	прилагам	Компанията трябва да приложи новите стандарти за безопасност.
光彩	блясък	Тази дреха я накара да изглежда сияйна.
光辉	слава; сияние	Постиженията му оставиха славна страница.
光芒	лъч светлина	Слънчевите лъчи осветиха долината.
光荣	чест; славен	Да служиш на страната е чест.
广阔	обширен	Степта се простира докъдето поглед стига и е много обширна.
归根到底	в крайна сметка	В крайна сметка проблемът е в управлението.
归还	връщам	Моля, върнете книгите навреме.
规范	норма; стандарт	Училището създаде стандарти за управление на лабораторията.
规格	спецификация	Спецификациите на тази партида части не са еднакви.
规划	планиране	Градското планиране трябва да отчита транспорта.
规章	правила	Служителите трябва да спазват правилата на компанията.
轨道	релса; орбита	Влакът се движи по релсите.
贵族	аристокрация	Това имение някога е принадлежало на аристокрацията.
跪	коленича	Той коленичи пред статуята.
棍棒	тояга	Полицията иззе тоягите от мястото.
国防	национална отбрана	Изграждането на национална отбрана изисква дългосрочни инвестиции.
国务院	държавен съвет	Държавният съвет публикува ново уведомление.
果断	решителен	Ръководителят взе решително решение.
过度	прекомерен	Прекомерното използване на телефон може да повлияе на съня.
过渡	преход	Компанията е в преходен етап на преобразуване.
过奖	прекалено ме хвалиш	Прекалено ме хвалиш, още трябва да уча.
过滤	филтрирам	Това устройство може да филтрира примеси.
过失	грешка; вина	Тази злополука беше причинена от човешка грешка.
过问	занимавам се с	Мениджърът рядко се занимава с тези дребни неща.
过瘾	нося удовлетворение	Този мач беше наистина удовлетворяващ за гледане.
过于	прекалено	Този план е прекалено сложен.
嗨	хей	Хей, и ти ли дойде?
海拔	надморска височина	Това село е на голяма надморска височина.
海滨	морски бряг	Те прекараха уикенда на морския бряг.
含糊	неясен	Отговорът му беше много неясен.
含义	значение	Тази дума има специално значение.
寒暄	разменям любезности	След като се срещнаха, те първо размениха няколко любезности.
罕见	рядък	Тази болест е много рядка.
捍卫	защитавам	Адвокатът усилено защитаваше правата на клиента.
航空	авиация	Авиокомпанията отмени полета.
航天	космонавтика	Космическата програма на Китай се развива бързо.
航行	плавам; навигирам	Корабът плава в морето.
行列	редици	Тя се присъедини към редиците на доброволците.
毫米	милиметър	Това стъкло е дебело пет милиметра.
毫无	напълно без	Обяснението му е напълно без основание.
豪迈	смел; величав	Пеенето му беше смело и силно.
号召	призовавам	Правителството призова всички да пестят вода.
耗费	изразходвам	Този проект изразходва много средства.
呵	извиквам строго	Бащата извика строго и детето веднага спря.
合并	сливам	Двете компании планират да се слеят догодина.
合成	синтезирам	Този материал може да се синтезира изкуствено.
合伙	влизам в съдружие	Те отвориха ресторант в съдружие.
合算	изгоден	Да вземеш автобус е по-изгодно от такси.
和蔼	любезен	Този лекар говори много любезно.
和解	помирение	Двете страни накрая постигнаха помирение.
和睦	хармоничен	Съседите живеят много хармонично.
和气	дружелюбен	Шефът се държи много дружелюбно с хората.
和谐	хармоничен	Музиката направи атмосферата по-хармонична.
嘿	хей	Хей, чу ли?
痕迹	следа	На земята останаха следи от колела.
狠心	безсърдечен	Той безсърдечно отказа молбата на приятеля си.
恨不得	иска ми се веднага	Иска ми се веднага да се прибера и да си почина.
哼	изсумтявам	Той недоволно изсумтя.
横	хоризонтален	Моля, нарисувай хоризонтална линия на хартията.
哄	избухвам в смях	Всички избухнаха в смях.
烘	пека; суша на топлина	Хлябът се пече във фурната.
轰动	предизвиквам сензация	Тази новина предизвика сензация в цялата страна.
宏观	макро; цялостен	Трябва да анализираме икономиката от макро гледна точка.
宏伟	величествен	Проектът на този мост е много величествен.
洪水	наводнение	Наводнението разруши няколко моста.
喉咙	гърло	Той говори твърде много и гърлото го боли малко.
吼	рева; крещя	Той извика силно към далечината.
候选	кандидат	Тя е кандидат-представител тази година.
后代	потомци	Трябва да пазим околната среда за бъдещите поколения.
后顾之忧	бъдещи тревоги	Стабилният доход го остави без бъдещи тревоги.
后勤	логистика	Логистичният отдел отговаря за снабдяването с материали.
呼唤	викам	Майката викаше детето на вратата.
呼啸	свистя; вия	Студеният вятър виеше отвън пред прозореца.
呼吁	призовавам	Специалистите призоваха всички да намалят разхищението.
忽略	пренебрегвам	Моля, не пренебрегвай тази подробност.
湖泊	езеро	В този район има много естествени езера.
胡乱	безразборно	Не оставяй нещата безразборно на земята.
胡须	брада	Брадата му вече е побеляла.
花瓣	венчелистче	След дъжда венчелистчета паднаха навсякъде по земята.
花蕾	цветна пъпка	През пролетта по клоните се появяват цветни пъпки.
华丽	разкошен	Костюмите на сцената бяха много разкошни.
华侨	китаец в чужбина	Много китайци от чужбина се върнаха в родния край, за да инвестират.
划分	разделям	Учителят раздели учениците на четири групи.
化肥	изкуствен тор	Земеделците наториха посевите с изкуствен тор.
化石	вкаменелост	Музеят изложи вкаменелости от динозаври.
化验	лабораторно изследване	Лекарят го изпрати на кръвно изследване.
化妆	гримирам се	Тя се гримираше преди да излезе на сцената.
画蛇添足	прекалявам с излишно добавяне	Ако добавим още обяснения, само ще прекалим излишно.
话筒	микрофон	Водещият подаде микрофона на публиката.
欢乐	радост	Празничният площад беше изпълнен с радост.
环节	етап; звено	Всеки етап от обучението е важен.
还原	възстановявам	Моля, възстановете настройките до стандартното състояние.
缓和	смекчавам се	Отношенията между двете страни постепенно се смекчиха.
患者	пациент	Лекарят разпитва пациента за състоянието му.
荒凉	пустинен; запустял	Тази земя изглежда много запустяла.
荒谬	абсурден	Това обяснение звучи абсурдно.
荒唐	нелеп	Решението му беше твърде нелепо.
皇帝	император	Императорът живееше във величествен дворец.
皇后	императрица	Императрицата присъства на тържеството.
黄昏	здрач	На здрач уличните лампи светнаха.
恍然大悟	изведнъж разбирам	След като чу обяснението, той изведнъж разбра.
晃	люлея се; мяркам се	Пред очите му нещо се мярна и той изчезна.
挥霍	пилея	Той не бива да пилее парите на родителите си.
辉煌	славен; блестящ	Този град има славна история.
回报	отплата; възвръщаемост	Усилената работа в крайна сметка носи отплата.
回避	избягвам	Той постоянно избягва този въпрос.
回顾	правя преглед	В края на срещата направиха преглед на работата за годината.
回收	рециклирам	Жилищният комплекс започна да рециклира стари батерии.
悔恨	разкаяние	Той изпита разкаяние за миналите си грешки.
毁灭	унищожавам	Войната почти унищожи този град.
会晤	срещам се	Лидерите на двете страни ще се срещнат утре.
汇报	докладвам	Той докладва напредъка на мениджъра.
贿赂	подкуп	Чиновникът беше разследван за подкуп.
昏迷	кома	Пациентът все още е в кома.
荤	месен; неместен за вегетарианци	Това ястие е месно и не е подходящо за вегетарианци.
浑身	цялото тяло	След тичането цялото му тяло беше в пот.
混合	смесвам	Моля, смесете равномерно двата материала.
混乱	хаос	На мястото за известно време беше пълен хаос.
混淆	обърквам	Не обърквай тези две понятия.
混浊	мътен	След дъжда речната вода стана мътна.
活该	заслужено му е	Той не послуша съвета, така че провалът му е заслужен.
活力	жизненост	Този град е изпълнен с жизненост.
火箭	ракета	Ракетата успешно навлезе в планираната орбита.
火焰	пламък	Вятърът направи пламъците по-високи.
火药	барут	Барутът промени древния начин на водене на война.
货币	валута	Валутната политика влияе върху икономическото развитие.
基地	база	Тук някога е имало важна тренировъчна база.
基金	фонд	Училището създаде стипендиантски фонд.
基因	ген	Учените изследват този ген.
机动	подвижен	Този отряд поддържа висока подвижност.
机构	институция	Тази институция отговаря за проверката на качеството.
机灵	пъргав; схватлив	Това дете е много схватливо.
机密	секретен	Тези материали са секретни.
机械	машини; механичен	Фабриката въведе нови машини.
机遇	възможност	Младите хора трябва да улавят възможностите.
机智	остроумен; съобразителен	Отговорът му беше много съобразителен.
激发	стимулирам	Учителят стимулира интереса на учениците.
激励	насърчавам	Този успех насърчи целия екип.
激情	страст	Той беше изпълнен със страст, докато говореше.
讥笑	присмивам се	Не се присмивай на чуждите грешки.
饥饿	глад	Продължителният глад може да навреди на здравето.
即便	дори ако	Дори ако вали, ще тръгнем навреме.
即将	скоро ще	Срещата скоро ще започне.
及早	възможно най-рано	Когато се открие проблем, трябва да се реши възможно най-рано.
吉祥	благоприятен; късметлийски	Червеното в Китай често символизира благополучие.
嫉妒	завиждам	Той не бива да завижда на успеха на колегата си.
急功近利	търся бърза изгода	В научната работа не бива да се търси бърза изгода.
急剧	рязък	Продажбите рязко спаднаха.
急切	нетърпелив	Тя нетърпеливо чакаше новини.
急于求成	бързам за резултат	При ученето на език не може да се бърза за резултат.
急躁	припрян	Когато срещнеш трудности, не бъди припрян.
极端	краен	Този вид крайно време става все по-често.
极限	предел	Тази тренировка постави на изпитание пределите му.
疾病	болест	Добрите навици могат да предотвратят болести.
籍贯	родно място на рода	Във формуляра трябва да се попълни родното място на рода.
级别	ниво; ранг	Това състезание е разделено на три нива.
集团	група; корпорация	Тази група има клонове в чужбина.
给予	давам; предоставям	Училището предоставя помощ на бедни ученици.
季军	трето място	Той спечели трето място в състезанието.
季度	тримесечие	Компанията публикува финансов отчет всяко тримесечие.
寂静	тих	Нощната долина беше особено тиха.
寄托	възлагам надежди	Тя възложи надеждите си на детето.
忌讳	табу	Местните хора смятат за табу да се говори за това на масата.
技巧	умение; техника	Овладяването на техники може да повиши ефективността.
纪要	протокол	Секретарят подреди протокола от срещата.
继承	наследявам	Той наследи делото на баща си.
计较	дребнаво споря	Не спори дребнаво за такава малка работа.
记性	памет	Той има много добра памет.
记载	записвам	Историческите книги са записали тази война.
迹象	признак	В момента няма признаци на подобрение.
佳肴	изискани ястия	Масата беше пълна с вкусни ястия.
加工	обработвам	Тези суровини трябва да бъдат обработени допълнително.
加剧	задълбочавам се	Противоречието се задълбочава.
夹杂	смесвам се	В шума на дъжда се смесваха гръмотевици.
家常	домашен; всекидневен	Обичам да ям домашни ястия.
家伙	тип; човек	Този тип винаги закъснява.
家属	член на семейството	Лекарят уведоми близките на пациента.
家喻户晓	известен на всички	Тази история е известна на всички.
坚定	твърд	Нейната позиция беше много твърда.
坚固	здрав	Този мост е много здрав.
坚韧	издръжлив; устойчив	Той има устойчив характер.
坚实	солиден	Това изследване има солидна основа.
坚硬	твърд	Този камък е много твърд.
尖端	върхов; най-съвременен	Компанията инвестира във върхови технологии.
尖锐	остър	Този въпрос е много остър.
煎	пържа на тиган	Готвачът пържи риба на тиган.
监督	надзиравам	Общественият надзор помага за подобряване на работата.
监视	наблюдавам	Полицията наблюдава заподозрения.
监狱	затвор	Той излежава присъда в затвора.
艰难	труден	Началният етап на предприемачеството е много труден.
剪彩	прерязвам лентата	Кметът преряза лентата на новата библиотека.
拣	избирам; подбирам	Тя избра няколко ябълки от кошницата.
检讨	преглеждам; самокритика	Той сериозно прегледа собствените си грешки.
检验	проверявам; изпитвам	Експериментът може да провери тази хипотеза.
简化	опростявам	Моля, опростете процеса още повече.
简陋	прост и груб	Те живееха в проста и бедна колиба.
简体字	опростен китайски йероглиф	Този учебник използва опростени китайски йероглифи.
简要	кратък	Моля, обясни накратко гледната си точка.
健全	усъвършенствам; стабилен	Компанията трябва да усъвършенства системата си за управление.
剑	меч	На стената виси древен меч.
溅	пръскам	Дъждовната вода напръска панталоните му.
舰艇	военен кораб	Няколко военни кораба участваха в учението.
见多识广	видял много и знаещ	Този възрастен човек е видял много и знае много.
见解	възглед; мнение	Той има оригинален възглед по този въпрос.
见闻	видяно и чуто; опит	Пътуването разшири неговия опит.
见义勇为	постъпвам смело за справедливост	Той беше похвален за смелата си справедлива постъпка.
践踏	тъпча	Не тъпчете тревната площ.
鉴别	различавам	Експертите могат да различат дали тази картина е истинска.
鉴定	оценявам; установявам	Полицията установява отпечатъците.
鉴于	с оглед на	С оглед на лошото време събитието беше отложено.
间谍	шпионин	Този филм разказва история за шпионин.
间隔	интервал	Между двете срещи има интервал от една седмица.
间接	косвен	Тази политика ще има косвено влияние.
僵硬	скован	Усмивката му изглеждаше скована.
将军	генерал	Генералът издаде заповед.
将近	почти	Този проект продължи почти две години.
将就	карам някак	Условията са лоши, затова можем само да караме някак.
奖励	награждавам	Училището награди отличните ученици.
