simplified	TL	example_TL
幻想	mangarap; magpantasiya	Madalas niyang pinapangarap na maglakbay sa kalawakan.
慌张	mataranta	Huwag mataranta kapag may problema.
黄金	ginto	Tumaas na naman ang presyo ng ginto.
恢复	gumaling; bumalik sa dati	Gumagaling na ang katawan niya.
挥	kumaway	Kumaway siya.
灰	abo; kulay-abo	Kulay-abo ang langit.
灰尘	alikabok	Maraming alikabok sa mesa.
灰心	panghinaan ng loob	Huwag panghinaan ng loob kahit mabigo ka.
汇率	palitan ng pera	Magkano ang palitan ng pera ngayon?
婚礼	kasal	Simple lang ang kasal nila.
婚姻	pag-aasawa	Kailangan ng pag-aasawa ang pag-uunawaan.
活跃	aktibo	Aktibo siya sa klase.
伙伴	kasama; kapareha	Siya ang pinakamatalik kong kasama.
火柴	posporo	Isang posporo na lang ang natira sa kahon.
或许	marahil	Marahil uulan bukas.
基本	batayan; pangunahing	Ito ang mga pangunahing hinihingi.
机器	makina	Sira ang makinang ito.
激烈	matindi	Matindi ang takbo ng paligsahan.
肌肉	kalamnan	Medyo masakit ang mga kalamnan ko pagkatapos mag-ehersisyo.
及格	pumasa	Pumasa siya sa pagsusulit na ito.
急忙	nagmamadali	Nagmamadali siyang tumakbo palabas ng silid-aralan.
急诊	agarang gamutan	Dinala ang pasyente sa agarang gamutan.
极其	lubhang; napaka	Lubhang mahalaga ang isyung ito.
集合	magtipon	Mangyaring magtipon ang lahat sa pasukan nang alas otso.
集体	panggrupo; kolektibo	Isang panggrupong gawain ito.
集中	ituon; magpokus	Dapat mong ituon ang pansin sa klase.
寂寞	malungkot; nag-iisa	Minsan malungkot ang mamuhay mag-isa.
系领带	magtali ng kurbata	Nagtatali siya ng kurbata bago pumasok sa trabaho araw-araw.
纪录	rekord	Nabasag niya ang rekord ng paaralan.
纪律	disiplina	Mahalaga ang disiplina sa silid-aralan.
纪念	gunitain; alalahanin	Nagkuha kami ng litrato para gunitain ang araw na ito.
计算	kalkulahin; bilangin	Pakikalkula ang kabuuang gastos.
记录	itala; irekord	Pakitala ang nilalaman ng pulong.
记忆	alaala	Napakahalaga ng alaalang ito.
嘉宾	panauhing pandangal	Isang manunulat ang panauhing pandangal ngayon.
夹子	clip; ipit	Pakipit ang mga dokumento gamit ang clip.
家庭	pamilya	Mahalaga ang pamilya sa mga bata.
家务	gawaing-bahay	Kailangan kong gumawa ng gawaing-bahay sa katapusan ng linggo.
家乡	bayan; lupang sinilangan	Miss na miss ko ang aking bayan.
假如	kung	Kung uulan bukas, hindi na kami pupunta.
假设	ipagpalagay	Ipagpalagay na ikaw ang guro, ano ang gagawin mo?
假装	magkunwari	Nagkunwari siyang hindi narinig.
甲	Panig A	Kailangang magbayad sa oras ang Panig A.
价值	halaga	May malaking halaga ang aklat na ito.
嫁	magpakasal	Magpapakasal siya sa kasintahan niya sa susunod na taon.
驾驶	magmaneho	Magmaneho nang maingat kapag nagmamaneho ng kotse.
兼职	trabahong hindi buong oras	May trabaho siyang hindi buong oras sa gabi.
坚决	matibay; determinado	Matibay niyang tinutulan ang desisyong ito.
坚强	matapang; matatag	Isang matatag na tao siya.
肩膀	balikat	Nasugatan ang balikat niya.
艰巨	mahirap; mabigat	Isang mabigat na gawain ito.
艰苦	mahirap; mapait	Dumaan sila sa mahirap na buhay.
剪刀	gunting	Pakiabot sa akin ang gunting.
捡	pulutin	Pinulot niya ang pitaka sa lupa.
简历	talambuhay pangtrabaho	Kailangang maghanda ng talambuhay pangtrabaho bago mag-apply ng trabaho.
简直	talaga; halos	Talagang nakakagulat ang balitang ito.
健身	mag-ehersisyo	Nag-eehersisyo siya tatlong beses bawat linggo.
建立	magtatag; bumuo	Bumuo kami ng bagong relasyon.
建设	konstruksyon; pagtatayo	Mabilis ang pag-unlad ng konstruksyon sa lungsod.
建筑	gusali; arkitektura	May sariling katangian ang gusaling ito.
键盘	teklado	Kailangang linisin ang teklado ko.
讲究	maingat sa detalye; mapili	Mapili ang mga Tsino pagdating sa pagkain.
讲座	lektura	May lektura sa wikang Tsino ngayong gabi.
酱油	toyo	Lagyan ng kaunting toyo ang ulam.
交换	magpalitan	Nagpalitan kami ng mga numero ng telepono.
交际	pakikisalamuha; komunikasyon	Sa pag-aaral ng wika, kailangan ding sanayin ang pakikisalamuha.
交往	makipagrelasyon; makisalamuha	Dalawang taon na silang magkarelasyon.
浇	diligan	Pakidiligan ang mga bulaklak araw-araw.
胶水	pandikit	Gumamit ako ng pandikit para idikit ang litrato.
狡猾	tuso	Tuso ang sorong iyon.
角度	anggulo; pananaw	Tingnan natin ang problema mula sa ibang anggulo.
教材	kagamitang panturo; aklat-aralin	Praktikal ang aklat-araling ito.
教练	tagapagsanay	Hinihingi ng tagapagsanay na dumating kami sa oras.
教训	aral	Isang aral ang kabiguang ito.
接触	makaugnay; makaranas	Unang beses kong makaranas ng kulturang Tsino.
接待	tumanggap ng bisita	Nagtalaga ang kumpanya ng tao para tumanggap ng mga bisita.
接近	papalapit	Papalapit nang papalapit ang Piyesta ng Tagsibol.
结实	matibay	Matibay ang maletang ito.
阶段	yugto	Nahahati sa tatlong yugto ang pag-aaral.
结构	estruktura	Malinaw ang estruktura ng artikulong ito.
结合	pagsamahin	Dapat pagsamahin ang pag-aaral at praktika.
结论	konklusyon	Mapanghikayat ang konklusyon niya.
结账	magbayad ng bayarin	Pagkatapos kumain, pumunta kami para magbayad.
节省	makatipid	Makakatipid ng oras ang pagsakay sa subway.
借口	dahilan; palusot	Huwag ka nang maghanap ng palusot.
届	edisyon; ika-	Ikatlong edisyon ito ng paligsahan.
戒	ihinto; talikuran	Iminungkahi ng doktor na ihinto niya ang paninigarilyo.
戒指	singsing	May suot siyang singsing.
金属	metal	Isang uri ng metal ang bakal.
尽快	sa lalong madaling panahon	Pakibalik ang sagot sa email sa lalong madaling panahon.
紧急	kagyat; apurahan	Isang apurahang sitwasyon ito.
谨慎	maingat	Maging maingat bago mamuhunan.
尽力	gawin ang makakaya	Gagawin ko ang makakaya ko para tulungan ka.
尽量	subukan hangga't maaari	Subukan mong dumating nang mas maaga hangga't maaari.
近代	modernong panahon	Maraming pagbabago ang nangyari sa modernong Tsina.
进步	pag-unlad; umunlad	Mabilis ang pag-unlad ng wikang Tsino niya.
进口	angkat	Angkat ang kotseng ito.
精力	lakas; enerhiya	Punong-puno ng enerhiya ang mga bata.
精神	sigla; diwa	Maganda ang sigla niya ngayon.
经典	klasiko	Isang klasikong pelikula ito.
经商	magnegosyo	Nagne-negosyo sa ibang bansa ang ama niya.
经营	patakbuhin; mamahala	Nagpapatakbo siya ng maliit na tindahan.
酒吧	bar	Pumunta sila sa bar noong gabi.
救	iligtas	Iniligtas ng doktor ang buhay niya.
救护车	ambulansya	Mabilis na dumating ang ambulansya.
舅舅	tiyuhin sa ina	Nakatira sa Nanjing ang tiyuhin ko sa ina.
居然	hindi inaasahan; talaga	Hindi inaasahang nakalimutan niya ang sarili niyang kaarawan.
桔子	dalandan	May ilang dalandan sa mesa.
俱乐部	klub	Sumali siya sa klub sa paglangoy.
具备	mayroon; taglay	Mayroon siyang karanasan sa pamamahala.
具体	partikular; tiyak	Pakisabi nang mas partikular.
巨大	napakalaki	Kailangan ng napakalaking puhunan ang proyektong ito.
据说	balita raw; sinasabing	Balita raw ay nakabalik na siya sa bansa niya.
捐	magbigay; mag-ambag	Handang mag-ambag ng pera ang lahat.
决赛	pangwakas na laban	Bukas ang pangwakas na laban sa futbol.
决心	desisyon; determinasyon	Buong-buo ang pasya niyang pagbutihin ang pag-aaral ng wikang Tsino.
绝对	ganap; talagang	Talagang hindi maaaring kalimutan ang bagay na ito.
角色	papel; karakter	Gumaganap siya ng mahalagang papel sa pelikula.
军事	militar; pangmilitar	Interesado siya sa kasaysayang pangmilitar.
均匀	pantay	Pakikulayan ito nang pantay.
卡车	trak	May nakaparadang trak sa pasukan.
开发	paunlarin; bumuo	Gumagawa ang kumpanya ng bagong produkto.
开放	bukas; buksan	Bukas ang parke araw-araw nang alas sais ng umaga.
开幕式	seremonya ng pagbubukas	Gaganapin bukas ng gabi ang seremonya ng pagbubukas.
开水	pinakuluang tubig	Pahingi ako ng isang baso ng pinakuluang tubig.
砍	putulin; tagain	Pinuputol ng manggagawa ang mga sanga.
看不起	hamakin; maliitin	Huwag hamakin ang kahit sino.
看望	dalawin	Dadalawin ko ang mga lolo't lola ko ngayong katapusan ng linggo.
靠	sumandal	Sumandal siya sa pader para magpahinga.
颗	piraso; pantukoy sa maliliit na bilog	May isang bituin sa langit sa gabi.
可见	malinaw na	Malinaw na epektibo ang paraang ito.
可靠	maaasahan	Isa siyang maaasahang kaibigan.
可怕	nakakatakot	Nakakatakot masyado ang panaginip na ito.
克	gramo	Pakidagdagan ng dalawang gramo ng asin.
克服	mapagtagumpayan	Kailangan nating mapagtagumpayan ang mga hirap.
刻苦	masipag; pursigido	Napakasipag niyang mag-aral.
客观	obhetibo	Pakisuri ang problema nang obhetibo.
课程	kurso	Kapaki-pakinabang ang kursong ito.
空间	espasyo	Malaki ang espasyo ng kuwartong ito.
控制	kontrolin	Nakontrol ng drayber ang bilis ng kotse.
空闲	libreng oras	May libreng oras ka ba bukas ng hapon?
口味	panlasa	Medyo magaan ang panlasa niya.
夸	purihin	Pinuri siya ng guro dahil malaki ang pag-unlad niya.
夸张	eksaherado	Medyo eksaherado ang ekspresyon niya.
会计	tagatuos; accountant	Nagtatrabaho siyang tagatuos sa kumpanya.
宽	malapad	Malapad ang kalsadang ito.
昆虫	insekto	Inoobserbahan ng mga bata ang mga insekto.
扩大	palakihin; palawakin	Plano ng paaralan na palawakin ang aklatan.
辣椒	sili	Maraming sili ang inilagay sa ulam.
拦	harangin	Hinarang ng pulis ang isang kotse.
烂	bulok	Bulok na ang mansanas na ito.
朗读	basahin nang malakas	Pakibasahin nang malakas ang teksto.
劳动	paggawa; trabaho	Nagbibigay ng pakiramdam ng kabuluhan ang paggawa.
劳驾	paumanhin	Paumanhin, nasaan ang istasyon ng subway?
姥姥	lola sa ina	Masarap magluto ang lola ko sa ina.
老百姓	ordinaryong tao	Mahalaga sa ordinaryong tao ang gastos sa pamumuhay.
老板	boss; amo	Wala sa opisina ang boss ngayon.
老婆	asawa; misis	Binilhan niya ng bulaklak ang asawa niya.
老实	tapat	Isa siyang tapat na tao.
老鼠	daga	May isang daga sa kusina.
乐观	optimistiko	Optimistiko siya tungkol sa hinaharap.
雷	kulog	Malakas ang kulog kagabi.
类型	uri; kategorya	Anong uri ng pelikula ito?
冷淡	malamig; walang sigla	Medyo malamig ang saloobin niya.
厘米	sentimetro	Labinlimang sentimetro ang haba ng panulat na ito.
梨	peras	Bumili ako ng ilang peras.
离婚	maghiwalay; magdiborsiyo	Naghiwalay sila noong nakaraang taon.
理论	teorya	Komplikado ang teoryang ito.
理由	dahilan	Ano ang dahilan mo sa pagiging huli?
利润	tubo; kita	Tumaas ang kita ng kumpanya ngayong taon.
利息	interes	Mababa ang interes sa bangko.
利益	kapakinabangan; interes	Kailangan nating protektahan ang kapakinabangan ng lahat.
利用	gamitin; samantalahin	Ginagamit niya ang katapusan ng linggo para mag-aral ng wikang Tsino.
力量	lakas	Ang pagkakaisa ay lakas.
立即	kaagad	Mangyaring umalis kaagad dito.
立刻	agad	Agad siyang umalis pagkabalita niya.
联合	magsanib; magtulungan	Nagtulungan ang dalawang kumpanya sa pagbuo ng produkto.
连忙	kaagad; dali-dali	Nang marinig niya ang telepono, dali-dali niya itong sinagot.
连续	tuluy-tuloy; sunod-sunod	Sampung oras siyang tuluy-tuloy na nagtrabaho.
恋爱	relasyong romantiko; pag-ibig	Nasa relasyong romantiko sila ngayon.
粮食	butil; pagkaing-butil	Tumaas ang ani ng butil ngayong taon.
良好	mabuti; maayos	May mabuti siyang gawi sa pag-aaral.
亮	maliwanag	Maliwanag ang ilaw sa kuwarto.
了不起	kahanga-hanga	Nakamit niya ang kahanga-hangang resulta.
列车	tren	Aalis na agad ang tren.
临时	pansamantala	Isang pansamantalang desisyon ito.
灵活	malikhain; madaling iakma	Dapat madaling iakma ang paraan ng pag-aaral.
铃	kampana; tunog ng klase	Tumunog na ang kampana para sa klase.
零件	piyesa	Kulang ng isang piyesa ang makina.
零食	meryenda	Mahilig kumain ng meryenda ang mga bata.
领导	pinuno; pamunuan	Nagpupulong ang pinuno.
领域	larangan	Nagtatrabaho siya sa larangan ng edukasyon.
流传	maipasa; kumalat	Matagal nang naipapasa ang kuwentong ito.
流泪	lumuha	Nang marinig niya ang balitang ito, lumuha siya.
浏览	mag-browse; sumulyap	Susulyapan ko muna ang pahina sa web.
龙	dragon; mitikong dragon	May dragon sa kulturang Tsino.
漏	tumulo; may tagas	Tumutulo ang bubong kapag umuulan.
录取	matanggap	Natanggap siya sa unibersidad.
录音	magrekord ng tunog	Pakisumulan ang pagrekord.
陆地	lupa; kalupaan	Umakyat ang pawikan sa lupa.
陆续	sunod-sunod	Sunod-sunod na dumating ang mga bisita.
轮流	magsalitan	Nagsasalitan kaming maglinis ng silid-aralan.
论文	tesis; papel	Isinusulat niya ang tesis sa pagtatapos.
逻辑	lohika	Malinaw ang lohika niya.
落后	mahuli; mapag-iwanan	Hindi tayo maaaring mapag-iwanan ng iba.
骂	pagalitan	Huwag pagalitan ang bata.
麦克风	mikropono	Pakiabot sa kanya ang mikropono.
馒头	mantou; tinapay na pinasingawan	Kumain ako ng isang mantou sa almusal.
满足	matugunan; masiyahan	Hindi natutugunan ng sagot na ito ang hinihingi.
毛病	problema; sira	May kaunting problema ang kompyuter na ito.
矛盾	salungatan; kontradiksiyon	May ilang salungatan sa pagitan nila.
冒险	makipagsapalaran; mapanganib	Masyadong mapanganib pumunta roon nang mag-isa.
贸易	kalakalan	Mabilis ang pag-unlad ng internasyonal na kalakalan.
媒体	media	Iniulat ng media ang pangyayaring ito.
煤炭	uling	Gumagawa ng uling ang rehiyong ito.
眉毛	kilay	Makapal ang kilay niya.
美术	sining	Mahilig sa sining ang nakababata kong kapatid na babae.
魅力	halina; dating	May malaking halina ang lungsod na ito.
梦想	pangarap	Pangarap niyang maging doktor.
密切	malapit	Pinananatili namin ang malapit na ugnayan.
秘密	lihim	Lihim natin ito.
秘书	sekretarya	Inayos ng sekretarya ang oras ng pulong.
蜜蜂	bubuyog	Maraming bubuyog sa mga bulaklak.
面对	harapin	Dapat nating harapin nang matapang ang mga hirap.
面积	lawak	Hindi malaki ang lawak ng kuwartong ito.
面临	maharap sa	Nahaharap ang kumpanya sa bagong hamon.
描写	ilarawan	Inilarawan ng may-akda ang buhay sa nayon.
苗条	payat; balingkinitan	Balingkinitan ang katawan niya.
敏感	sensitibo	Medyo sensitibo ang paksang ito.
名牌	sikat na tatak	Bumili siya ng relos na sikat ang tatak.
名片	tarheta sa negosyo	Pakibigyan ako ng isang tarheta sa negosyo.
名胜古迹	tanyag na tanawin at makasaysayang pook	Maraming tanyag na tanawin at makasaysayang pook sa Beijing.
明确	malinaw; linawin	Malinaw na ipinaliwanag ng guro ang mga hinihingi.
明显	halata; malinaw	Halata ang pag-unlad niya.
明星	bituin; artista	Gusto niyang maging artista sa pelikula.
命令	utos	Dapat sumunod sa utos ang mga sundalo.
命运	tadhana	Naniniwala siyang maaaring magbago ang tadhana.
摸	hipuin	Huwag hipuin ang kuwadro na ito.
摩托车	motorsiklo	Nagmomotorsiklo siya papasok sa trabaho.
模仿	gayahin	Mahilig gumaya ang mga bata sa pagsasalita ng matatanda.
模糊	malabo	Medyo malabo ang litratong ito.
模特	modelo	Isa siyang modelo ng damit.
陌生	di-pamilyar	Di-pamilyar sa akin ang lungsod na ito.
某	isang tiyak; isang	Isang guro ang tumawag sa akin.
木头	kahoy	Gawa sa kahoy ang mesang ito.
目标	layunin	Layunin kong pumasa sa pagsusulit.
目录	talaan ng nilalaman	Pakitingnan muna ang talaan ng nilalaman sa unahan ng aklat.
目前	sa kasalukuyan	Sa kasalukuyan, medyo matatag ang kalagayan.
哪怕	kahit	Kahit abala siya, patuloy pa rin siyang nag-aaral.
难怪	kaya pala	Kaya pala napakasaya mo ngayon.
难免	di-maiiwasan	Di-maiiwasang magkamali sa unang paggawa.
脑袋	ulo	Medyo masakit ang ulo niya.
内部	panloob	Panloob na materyal ito ng kumpanya.
内科	pangloob na medisina	Pupunta siya ngayon sa pangloob na medisina.
嫩	malambot; mura	Malambot ang pirasong karne na ito.
能干	may kakayahan	Isa siyang taong may malaking kakayahan.
能源	enerhiya	Isang malinis na enerhiya ang enerhiyang solar.
嗯	mm-hm	Mm-hm, alam ko na.
年代	dekada; panahon	Kinuha ang litratong ito noong dekada otsenta.
年纪	edad	Hindi siya matanda, pero marami siyang karanasan.
念	basahin nang malakas	Pakibasahin mo nang isang beses ang teksto.
宁可	mas pipiliin	Mas pipiliin kong maglakad kaysa maghintay ng bus.
牛仔裤	maong	Nakasuot siya ng isang pares ng maong.
农村	kanayunan	Lumaki siya sa kanayunan.
农民	magsasaka	Nagtatrabaho ang mga magsasaka sa bukid.
农业	agrikultura	Mahalaga ang agrikultura sa rehiyong ito.
浓	matapang; malapot	Masyadong matapang ang koping ito.
女士	ginang; babae	Naghihintay ng bus ang ginang na iyon.
欧洲	Europa	Maglalakbay siya sa Europa sa susunod na buwan.
偶然	nagkataon	Nagkataon na nakasalubong ko ang dati kong kaklase.
拍	kumuha ng litrato	Pakikuhaan ako ng isang litrato.
派	ipadala	Ipinadala siya ng kumpanya sa Shanghai para sa biyahe sa trabaho.
盼望	umasa; sabik	Sabik akong makita ka sa lalong madaling panahon.
培训	pagsasanay	Kailangang dumalo sa pagsasanay ang mga bagong empleyado.
培养	linangin; hubugin	Binibigyang-halaga ng paaralan ang paglinang sa kakayahan ng mga estudyante.
赔偿	magbayad-pinsala	Pumayag ang kumpanya na magbayad-pinsala para sa nawala.
佩服	humanga	Hangang-hanga ako sa tapang niya.
配合	makipagtulungan	Makipagtulungan po ang lahat sa ayos ng guro.
盆	paso; palanggana	May isang paso ng bulaklak sa balkonahe.
碰	hawakan; mabangga	Mag-ingat, huwag hawakan ang mainit na tubig.
批	bugso; pangkat	Dumating ngayon ang pangkat ng mga panindang ito.
批准	aprubahan	Inaprubahan ng manager ang planong ito.
披	isuot sa balikat; ipatong	Nakapatong sa balikat niya ang isang amerikana.
疲劳	pagod	Nakakapagod ang matagal na trabaho.
匹	pantukoy sa kabayo	May isang kabayo sa damuhan.
片	hiwa; piraso	Pakibigyan ako ng isang hiwa ng tinapay.
片面	makitid; isang panig lang	Masyadong makitid ang pananaw na ito.
飘	lumutang; lumipad-lipad	Lumulutang sa hangin ang mga tipak ng niyebe.
拼音	pinyin	Pakisulat ang pinyin sa tabi ng mga karakter na Tsino.
频道	channel; istasyon	Pakilipat sa channel ng balita.
凭	batay sa; gamit	Maaaring pumasok gamit ang tiket.
平均	karaniwan; katamtaman	Karaniwan, gumastos ang bawat tao ng sampung yuan.
平	patag	Patag ang kalsadang ito.
平安	ligtas	Nawa'y ligtas ang iyong biyahe.
平常	karaniwan	Karaniwan, bihira siyang mahuli.
平等	pantay	Dapat tratuhin nang pantay ang bawat tao.
平方	parisukat	Dalawampung metro kuwadrado ang kuwartong ito.
平衡	balanse	Kailangan ng balanse ang trabaho at buhay.
平静	kalmado; payapa	Payapang-payapa ang ibabaw ng lawa.
评价	suri; pagtasa	Nagbigay ang guro ng napakataas na pagtasa.
破产	mabangkrap; malugi	Nabangkrap ang kumpanyang iyon noong nakaraang taon.
破坏	sirain; pinsalain	Huwag sirain ang pampublikong ari-arian.
迫切	apurahan; kagyat	Apurahan naming kailangan ng mas maraming doktor.
期待	asahan; pananabikan	Sabik ako sa biyaheng ito.
期间	habang; panahon	Pakipatay ang telepono habang nagpupulong.
其余	natitira	Bukas pag-uusapan ang mga natitirang problema.
奇迹	himala	Sabi ng doktor, isang himala ito.
企业	empresa; kumpanya	Mabilis ang pag-unlad ng kumpanyang ito.
启发	inspirasyon; magbigay-liwanag	Maraming inspirasyong ibinigay sa akin ng aklat na ito.
气氛	atmospera; pakiramdam	Magaan ang pakiramdam sa silid-aralan.
汽油	gasolina	Kailangang lagyan ng gasolina ang kotse.
签	pumirma	Pumirma ka rito.
谦虚	mapagpakumbaba	Magaling siya at mapagpakumbaba rin.
前途	kinabukasan; pag-asa	Maganda ang kinabukasan ng kursong ito.
浅	mababaw	Mababaw ang ilog na ito.
欠	may utang; kulang	May utang pa siyang dalawampung yuan sa akin.
枪	baril	May hawak na baril ang pulis.
墙	pader	May nakasabit na kuwadro sa pader.
强调	bigyang-diin	Binigyang-diin ng guro ang usapin sa kaligtasan.
强烈	malakas; matindi	May matindi siyang pakiramdam ng pananagutan.
抢	agawan; makipag-unahan	Huwag makipag-agawan ng upuan sa iba.
悄悄	tahimik; palihim	Tahimik siyang pumasok sa kuwarto.
瞧	tumingin	Tingnan mo, umuulan ng niyebe sa labas.
巧妙	matalino; mahusay ang pagkakagawa	Napakahusay ng paraang ito.
切	hiwain	Pakihiwa-hiwain ang prutas sa maliliit na piraso.
亲爱	minamahal	Minamahal kong kaibigan, salamat.
亲切	magiliw; mabait	Magiliw magsalita ang guro.
亲自	personal	Personal na tinanggap ng manager ang mga bisita.
勤奋	masipag; masigasig	Mas madaling magtagumpay ang masisipag na tao.
清淡	magaan ang lasa; hindi mamantika	Gusto ko ng pagkaing magaan ang lasa.
轻视	maliitin	Huwag maliitin ang maliit na problemang ito.
轻易	madali; basta-basta	Hindi siya basta-basta susuko.
青	berdeng-bughaw	Berdeng-bughaw ang damit na ito.
青春	kabataan	Mahalaga ang kabataan.
青少年	kabataan; tinedyer	Kailangan ng sapat na tulog ang kabataan.
情景	eksena; kalagayan	Nakakaantig ang eksena sa pelikula.
情绪	damdamin; emosyon	Hindi masyadong matatag ang emosyon niya.
请求	kahilingan; humiling	Naghain siya ng isang kahilingan.
庆祝	ipagdiwang	Ipinagdiwang namin ang kaarawan niya.
球迷	tagahanga ng bola	Maraming tagahanga ang dumating para manood ng laban.
趋势	takbo; uso	Lalong nagiging malinaw ang takbong ito.
取消	kanselahin	Nakansela ang gawain dahil umulan.
娶	mag-asawa; pakasalan	Balak niyang pakasalan siya sa susunod na taon.
去世	pumanaw	Pumanaw ang lolo niya noong nakaraang taon.
圈	bilog	Pakibilugan ang tamang sagot.
全面	komprehensibo; buo	Kailangan nating maunawaan nang buo ang kalagayan.
权利	karapatan	May karapatan sa edukasyon ang bawat tao.
权力	kapangyarihan	Dapat bantayan ang kapangyarihan.
劝	payuhan	Pinayuhan ako ng kaibigan kong magpahinga nang mas maaga.
缺乏	kakulangan; kulang	Kulang sa malinis na tubig ang lugar na ito.
确定	tiyakin; sigurado	Hindi ko pa matiyak ang oras.
确认	kumpirmahin	Pakikumpirma ang address mo.
群	pangkat; grupo	Isang pangkat ng mga bata ang naglalaro sa palaruan.
燃烧	masunog; magliyab	Nagliliyab ang kahoy.
绕	umikot; palibutan	Umikot kami nang isang beses sa lawa.
热爱	mahalin nang lubos	Mahal na mahal niya ang trabaho niya.
热烈	mainit; masigla	Masiglang sinalubong ng lahat ang mga bisita.
热心	matulungin; masigasig	Matutulungin ang mga kapitbahay.
人才	talentadong tao; tauhan	Kailangan ng kumpanya ng mas maraming talentadong tao.
人口	populasyon	Marami ang populasyon ng lungsod na ito.
人类	sangkatauhan	Kailangang protektahan ng sangkatauhan ang Daigdig.
人民币	renminbi	Nagpapalit ako ng kaunting renminbi.
人生	buhay	Maraming pagpipilian sa buhay.
人事	tauhan; pangangasiwa ng kawani	Nagtatrabaho siya sa departamento ng tauhan.
人物	tauhan; karakter	Parang tunay ang mga tauhan sa nobela.
人员	kawani; tauhan	Dumating na ang lahat ng kawani.
忍不住	hindi mapigilan	Nang marinig niya ang biro, hindi niya napigilang tumawa.
日常	araw-araw	Araw-araw ko itong trabaho.
日程	iskedyul	Punong-puno ang iskedyul ngayon.
日历	kalendaryo	May nakasabit na kalendaryo sa pader.
日期	petsa	Pakisulat nang malinaw ang petsa.
日用品	pang-araw-araw na gamit	Maraming pang-araw-araw na gamit ang ibinebenta sa supermarket.
日子	mga araw; panahon	Abala siya nitong mga araw.
如何	paano	Paano natin dapat lutasin ang problemang ito?
如今	ngayon; sa ngayon	Ngayon, mas maginhawa na ang transportasyon.
软	malambot	Malambot ang kama na ito.
软件	programa	Madaling gamitin ang programang ito.
弱	mahina	Medyo mahina ang katawan niya.
洒	matapon; magwisik	Di-sinasadyang natapon niya ang tubig.
嗓子	lalamunan; boses	Medyo masakit ang lalamunan ko.
色彩	kulay	May mayamang kulay ang kuwadro na ito.
杀	pumatay	Walang eksena ng pagpatay sa pelikulang ito.
沙漠	disyerto	Napakahalaga ng tubig sa disyerto.
沙滩	dalampasigan	Naglalaro ang mga bata sa dalampasigan.
傻	tanga; hangal	Huwag gumawa ng hangal na bagay.
晒	ibilad sa araw	Nakabilad sa araw ang mga damit sa balkonahe.
删除	burahin	Pakiburahin ang email na ito.
闪电	kidlat	May kidlat noong gabi.
善良	mabait; busilak	Mabait siyang tao.
善于	magaling sa	Magaling siyang lumutas ng problema.
扇子	pamaypay	Madalas akong gumamit ng pamaypay sa tag-init.
伤害	saktan	Huwag saktan ang damdamin ng iba.
商品	kalakal; produkto	Maraming produkto ang tindahang ito.
商务	negosyo; pangnegosyo	Dadalo siya bukas sa pulong pangnegosyo.
商业	komersiyo; negosyo	Maunlad ang komersiyo sa lugar na ito.
上当	maloko; malinlang	Halos maloko siya.
蛇	ahas	May isang ahas sa damuhan.
舍不得	manghinayang; ayaw mawalay	Ayokong umalis dito.
射击	pagbaril	Nagsasanay siya sa pagbaril.
摄影	potograpiya; pagkuha ng litrato	Interesado siya sa potograpiya.
设备	kagamitan	Makabago ang kagamitan sa laboratoryo.
设计	disenyo; magdisenyo	Malikhain ang disenyong ito.
设施	pasilidad	Maganda ang pasilidad sa palakasan ng paaralan.
伸	iunat	Pakiunat ang kamay mo.
深刻	malalim; tumatak	Malalim ang impresyong iniwan sa akin ng karanasang ito.
身材	pangangatawan	Malusog ang pangangatawan niya.
身份	pagkakakilanlan	Pakipakita ang patunay ng pagkakakilanlan.
神话	mitolohiya; mito	Mahilig makinig sa kuwentong mitolohiko ang mga bata.
神秘	misteryoso	Misteryoso ang sinaunang lungsod na ito.
升	litro; tumaas	Tumaas nang kaunti ang presyo ng langis kada litro.
声调	tono	May apat na pangunahing tono ang wikang Tsino.
生产	gumawa; produksiyon	Gumagawa ng telepono ang pabrikang ito.
生动	buhay na buhay; malinaw	Buhay na buhay magpaliwanag ang guro.
生长	tumubo; lumaki	Mabilis tumubo ang halamang ito.
绳子	lubid	Pakitalian nang maayos ang kahon gamit ang lubid.
省略	alisin; laktawan	Maaaring alisin ang isang karakter dito.
胜利	tagumpay	Sa wakas, nakamit nila ang tagumpay.
失眠	hindi makatulog	Madalas siyang hindi makatulog kamakailan.
失去	mawala	Huwag mawalan ng tiwala.
失业	mawalan ng trabaho	Matapos mawalan ng trabaho, nagsimula siyang matuto ng bagong kasanayan.
湿润	basa-basa; mamasa-masa	Mamasa-masa ang hangin pagkatapos ng ulan.
狮子	leon	May dalawang leon sa zoo.
诗	tula	Sumulat siya ng isang tula.
实话	totoo; katotohanan	Pakisabi ang totoo.
实践	praktika; isagawa	Kailangang subukin ang teorya sa praktika.
实习	magsanay sa trabaho	Magsasanay siya sa trabaho sa ospital sa bakasyon sa tag-init.
实现	matupad; maisakatuparan	Sa wakas, natupad niya ang pangarap niya.
实验	eksperimento	Gumagawa ng eksperimento ang mga estudyante.
实用	praktikal	Praktikal ang kasangkapang ito.
时差	pagkakaiba ng oras	Hindi pa siya sanay sa pagkakaiba ng oras.
时代	panahon; era	Nabubuhay tayo sa panahon ng impormasyon.
时刻	sandali; oras	Pakialala ang mahalagang sandaling ito.
