hsk_key	source_word	simplified	PL	example_PL	NL	example_NL	SV	example_SV	NO	example_NO	DA	example_DA	FI	example_FI
693:季	季	季	pora roku; sezon	W roku są cztery pory roku.	seizoen; kwartaal	Een jaar heeft vier seizoenen.	årstid; säsong	Det finns fyra årstider på ett år.	årstid; sesong	Det er fire årstider i et år.	årstid; sæson	Der er fire årstider på et år.	vuodenaika; kausi	Vuodessa on neljä vuodenaikaa.
695:加	加	加	dodawać	Proszę, dodaj mi trochę wody.	toevoegen	Doe er alsjeblieft wat water voor me bij.	lägga till; tillsätta	Tillsätt lite vatten åt mig, är du snäll.	legge til; tilsette	Vær så snill å tilsette litt vann for meg.	tilføje	Tilsæt venligst lidt vand for mig.	lisätä	Lisää minulle vähän vettä, ole hyvä.
696:假期	假期	假期	wakacje; urlop	Chcę odpocząć podczas wakacji.	vakantie; verlof	Ik wil uitrusten tijdens de vakantie.	ledighet; semester	Jag vill vila under semestern.	ferie; fridager	Jeg vil hvile i ferien.	ferie; fridage	Jeg vil gerne hvile mig i ferien.	loma; lomakausi	Haluan levätä lomalla.
700:检票	检票	检票	sprawdzać bilety	Przed wejściem na stację trzeba sprawdzić bilety.	kaartjes controleren	Voor je het station binnengaat, moeten de kaartjes worden gecontroleerd.	kontrollera biljetter	Biljetterna måste kontrolleras innan man går in på stationen.	kontrollere billetter	Billettene må kontrolleres før man går inn på stasjonen.	kontrollere billetter	Billetterne skal kontrolleres, før man går ind på stationen.	tarkastaa liput	Liput täytyy tarkastaa ennen asemalle menoa.
707:街	街	街	ulica	Ta ulica jest bardzo ruchliwa.	straat	Deze straat is erg levendig.	gata	Den här gatan är mycket livlig.	gate	Denne gaten er veldig livlig.	gade	Denne gade er meget livlig.	katu	Tämä katu on hyvin vilkas.
714:姐妹	姐妹	姐妹	siostry	One są siostrami.	zussen	Zij zijn zussen.	systrar	De är systrar.	søstre	De er søstre.	søstre	De er søstre.	sisarukset; siskot	He ovat siskoksia.
716:斤	斤	斤	jin; jednostka pół kilograma	Kupiłem około kilograma jabłek.	jin; halvekilomaat	Ik heb ongeveer een kilo appels gekocht.	jin; halvkiloenhet	Jag köpte ungefär ett kilo äpplen.	jin; halvkiloenhet	Jeg kjøpte omtrent ett kilo epler.	jin; halvkilo-enhed	Jeg købte cirka et kilo æbler.	jin; puolen kilon yksikkö	Ostin noin kilon omenoita.
720:酒	酒	酒	alkohol; trunek	Tata wieczorem nie pije alkoholu.	alcohol; sterke drank	Papa drinkt 's avonds geen alcohol.	alkohol; sprit	Pappa dricker inte alkohol på kvällen.	alkohol; brennevin	Pappa drikker ikke alkohol om kvelden.	alkohol; spiritus	Far drikker ikke alkohol om aftenen.	alkoholi; viina	Isä ei juo alkoholia illalla.
722:句	句	句	zdanie; klasyfikator zdań	Proszę, powiedz jeszcze jedno zdanie.	zin; telwoord voor zinnen	Zeg nog een zin, alsjeblieft.	mening; måttsord för meningar	Säg en mening till, är du snäll.	setning; telleord for setninger	Si en setning til, vær så snill.	sætning; måleord for sætninger	Sig venligst en sætning mere.	lause; lauseiden lukusana	Sano vielä yksi lause, ole hyvä.
725:卡	卡	卡	karta; kartka	Moja karta jest w torbie.	kaart; pasje	Mijn pasje zit in mijn tas.	kort; plastkort	Mitt kort ligger i väskan.	kort; kortbrikke	Kortet mitt ligger i vesken.	kort; betalingskort	Mit kort ligger i tasken.	kortti; korttimuotoinen lupa	Korttini on laukussa.
726:开花	开花	开花	kwitnąć	Wiosną wszystkie drzewa kwitną.	bloeien	In de lente staan alle bomen in bloei.	blomma	På våren blommar alla träd.	blomstre	Om våren blomstrer alle trærne.	blomstre	Om foråret blomstrer alle træerne.	kukkia	Keväällä kaikki puut kukkivat.
727:开会	开会	开会	mieć zebranie; obradować	Mam zebranie o trzeciej po południu.	vergaderen; een vergadering hebben	Ik heb om drie uur 's middags een vergadering.	ha möte	Jag har möte klockan tre på eftermiddagen.	ha møte	Jeg har møte klokken tre på ettermiddagen.	holde møde; have møde	Jeg har møde klokken tre om eftermiddagen.	pitää kokous; olla kokouksessa	Minulla on kokous kolmelta iltapäivällä.
728:开机	开机	开机	włączać; uruchamiać	Komputer uruchamia się bardzo wolno.	opstarten; aanzetten	De computer start erg langzaam op.	starta; slå på	Datorn startar mycket långsamt.	starte; slå på	Datamaskinen starter veldig sakte.	tænde; starte op	Computeren starter meget langsomt.	käynnistää; laittaa päälle	Tietokone käynnistyy hyvin hitaasti.
730:看来	看来	看来	wygląda na to; wydaje się	Wygląda na to, że dziś będzie padać.	het lijkt; blijkbaar	Het lijkt erop dat het vandaag gaat regenen.	det verkar; tydligen	Det verkar som att det ska regna idag.	det ser ut til; tydeligvis	Det ser ut til at det skal regne i dag.	det ser ud til; åbenbart	Det ser ud til, at det vil regne i dag.	näyttää siltä; ilmeisesti	Näyttää siltä, että tänään sataa.
731:可	可	可	naprawdę; bardzo	On jest naprawdę szczęśliwy.	echt; heel	Hij is echt blij.	verkligen; mycket	Han är verkligen glad.	virkelig; veldig	Han er virkelig glad.	virkelig; meget	Han er virkelig glad.	todella; hyvin	Hän on todella iloinen.
736:课本	课本	课本	podręcznik	Proszę, otwórz podręcznik.	lesboek; leerboek	Doe het lesboek open, alsjeblieft.	lärobok	Öppna läroboken, är du snäll.	lærebok	Vær så snill å åpne læreboken.	lærebog	Åbn venligst lærebogen.	oppikirja	Avaa oppikirja, ole hyvä.
738:课文	课文	课文	tekst lekcji	Ten tekst lekcji nie jest trudny.	lestekst; tekst van de les	Deze lestekst is niet moeilijk.	lektionstext	Den här lektionstexten är inte svår.	leksjonstekst	Denne leksjonsteksten er ikke vanskelig.	lektietekst; tekststykke	Denne tekst er ikke svær.	oppiteksti; kappaleteksti	Tämä oppiteksti ei ole vaikea.
746:老人	老人	老人	osoba starsza	Ta osoba starsza potrzebuje pomocy.	oudere; bejaarde	Deze oudere heeft hulp nodig.	äldre person	Den här äldre personen behöver hjälp.	eldre person	Denne eldre personen trenger hjelp.	ældre person	Denne ældre person har brug for hjælp.	vanhus; iäkäs henkilö	Tämä iäkäs henkilö tarvitsee apua.
751:练	练	练	ćwiczyć; trenować	Codziennie ćwiczę chiński.	oefenen	Ik oefen elke dag Chinees.	öva; träna	Jag övar kinesiska varje dag.	øve; trene	Jeg øver kinesisk hver dag.	øve; træne	Jeg øver kinesisk hver dag.	harjoitella	Harjoittelen kiinaa joka päivä.
755:聊	聊	聊	rozmawiać; pogawędzić	Chcę z tobą porozmawiać.	kletsen; praten	Ik wil met je praten.	prata; småprata	Jag vill prata med dig.	prate; småprate	Jeg vil prate med deg.	snakke; småsnakke	Jeg vil gerne snakke med dig.	jutella; keskustella	Haluan jutella kanssasi.
756:聊天儿	聊天儿	聊天儿	czatować; rozmawiać	Wieczorem rozmawiamy razem.	kletsen; chatten	We kletsen 's avonds samen.	chatta; prata	Vi pratar tillsammans på kvällen.	chatte; prate sammen	Vi prater sammen om kvelden.	chatte; snakke sammen	Vi snakker sammen om aftenen.	jutella; chattailla	Juttelemme yhdessä illalla.
760:留学生	留学生	留学生	student zagraniczny	On jest studentem zagranicznym z Japonii.	internationale student; buitenlandse student	Hij is een buitenlandse student uit Japan.	internationell student; utbytesstudent	Han är en internationell student från Japan.	internasjonal student; utenlandsk student	Han er en utenlandsk student fra Japan.	international studerende; udenlandsk studerende	Han er international studerende fra Japan.	kansainvälinen opiskelija; ulkomaalainen opiskelija	Hän on Japanista tullut ulkomaalainen opiskelija.
761:楼梯	楼梯	楼梯	schody	Proszę, wejdź schodami.	trap	Neem de trap naar boven, alsjeblieft.	trappa; trappor	Ta trappan upp, är du snäll.	trapp; trapper	Vennligst ta trappen opp.	trappe; trapper	Tag venligst trappen op.	portaat	Mene ylös portaita pitkin, ole hyvä.
762:路边	路边	路边	pobocze; skraj drogi	Zaparkował samochód przy drodze.	berm; kant van de weg	Hij parkeerde de auto langs de weg.	vägkant	Han parkerade bilen vid vägkanten.	veikant; veikanten	Han parkerte bilen ved veikanten.	vejside; vejkant	Han parkerede bilen i vejkanten.	tienreuna	Hän pysäköi auton tien reunaan.
763:路口	路口	路口	skrzyżowanie	Czekam na ciebie na skrzyżowaniu.	kruispunt	Ik wacht op je bij het kruispunt.	korsning	Jag väntar på dig vid korsningen.	veikryss; kryss	Jeg venter på deg ved veikrysset.	vejkryds	Jeg venter på dig ved vejkrydset.	risteys	Odotan sinua risteyksessä.
765:马路	马路	马路	droga; ulica	Uważaj, gdy przechodzisz przez ulicę.	weg; straat	Wees voorzichtig als je de weg oversteekt.	väg; gata	Var försiktig när du går över vägen.	vei; gate	Vær forsiktig når du krysser veien.	vej; gade	Vær forsigtig, når du går over vejen.	tie; katu	Ole varovainen, kun ylität tien.
770:面前	面前	面前	przed; przed kimś	Nauczyciel stoi przed uczniami.	voor; vooraan	De leraar staat voor de leerlingen.	framför	Läraren står framför eleverna.	foran	Læreren står foran elevene.	foran	Læreren står foran eleverne.	edessä; jonkun edessä	Opettaja seisoo oppilaiden edessä.
772:名单	名单	名单	lista nazwisk; lista imion	Proszę, wpisz swoje imię na listę.	namenlijst	Schrijf je naam op de lijst, alsjeblieft.	namnlista	Skriv ditt namn på listan, är du snäll.	navneliste	Vær så snill å skriv navnet ditt på listen.	navneliste	Skriv venligst dit navn på listen.	nimilista	Kirjoita nimesi listaan, ole hyvä.
773:名人	名人	名人	znana osoba; celebryta	W tym mieście mieszka wielu znanych ludzi.	beroemd persoon; bekendheid	Deze stad heeft veel beroemde mensen.	känd person; kändis	Det finns många kända personer i den här staden.	kjent person; kjendis	Det er mange kjente personer i denne byen.	kendt person; berømthed	Der er mange kendte personer i denne by.	kuuluisa henkilö; julkkis	Tässä kaupungissa on paljon kuuluisia ihmisiä.
776:南方	南方	南方	południe; region południowy	Zimy na południu nie są bardzo zimne.	zuiden; zuidelijke regio	De winters in het zuiden zijn niet erg koud.	söder; sydlig region	Vintrarna i söder är inte särskilt kalla.	sør; sørlig region	Vintrene i sør er ikke særlig kalde.	syd; sydlig region	Vintrene i syd er ikke særlig kolde.	etelä; eteläinen alue	Talvet etelässä eivät ole kovin kylmiä.
778:难看	难看	难看	brzydki; nieładny	To ubranie jest trochę brzydkie.	lelijk; onaangenaam om te zien	Dit kledingstuk is een beetje lelijk.	ful; obehaglig att se på	Det här plagget är lite fult.	stygg; ufin å se på	Dette plagget er litt stygt.	grim; ikke pæn	Dette stykke tøj er lidt grimt.	ruma; epämiellyttävän näköinen	Tämä vaate on vähän ruma.
780:男生	男生	男生	uczeń; chłopak	Ten chłopak gra właśnie w koszykówkę.	mannelijke leerling; jongen	Die jongen is aan het basketballen.	manlig elev; pojke	Den där pojken spelar basket.	mannlig elev; gutt	Den gutten spiller basketball.	mandlig elev; dreng	Den dreng spiller basketball.	miesopiskelija; poika	Tuo poika pelaa koripalloa.
781:难题	难题	难题	trudne zadanie; problem	Nie umiem rozwiązać tego trudnego zadania.	moeilijk probleem; lastige opgave	Ik kan dit moeilijke probleem niet oplossen.	svårt problem; svår uppgift	Jag kan inte lösa den här svåra uppgiften.	vanskelig problem; vanskelig oppgave	Jeg kan ikke løse denne vanskelige oppgaven.	svært problem; vanskelig opgave	Jeg kan ikke løse denne svære opgave.	vaikea ongelma; vaikea tehtävä	En osaa ratkaista tätä vaikeaa tehtävää.
782:难听	难听	难听	nieprzyjemny dla ucha	Ten dźwięk jest nieprzyjemny.	onaangenaam om te horen	Dit geluid is onaangenaam om te horen.	obehaglig att höra	Det här ljudet är obehagligt att höra.	ubehagelig å høre	Denne lyden er ubehagelig å høre.	ubehagelig at høre	Denne lyd er ubehagelig at høre.	epämiellyttävä kuulla	Tämä ääni kuulostaa epämiellyttävältä.
785:牛	牛	牛	krowa; wół	Ta krowa jest bardzo duża.	koe; os	Deze koe is erg groot.	ko; oxe	Den här kon är mycket stor.	ku; okse	Denne kua er veldig stor.	ko; okse	Denne ko er meget stor.	lehmä; härkä	Tämä lehmä on hyvin suuri.
788:女生	女生	女生	uczennica; dziewczyna	Ta dziewczyna bardzo ładnie śpiewa.	vrouwelijke leerling; meisje	Dit meisje zingt erg mooi.	kvinnlig elev; flicka	Den här flickan sjunger mycket bra.	kvinnelig elev; jente	Denne jenta synger veldig fint.	kvindelig elev; pige	Denne pige synger meget godt.	naisopiskelija; tyttö	Tämä tyttö laulaa hyvin.
789:爬	爬	爬	wspinać się; wdrapywać się	Dziecko wspina się po schodach.	klimmen	Het kind klimt de trap op.	klättra	Barnet klättrar uppför trappan.	klatre	Barnet klatrer opp trappen.	klatre	Barnet klatrer op ad trappen.	kiivetä	Lapsi kiipeää portaita.
790:怕	怕	怕	bać się	Boję się ciemności.	bang zijn; vrezen	Ik ben bang voor het donker.	vara rädd	Jag är rädd för mörkret.	være redd	Jeg er redd for mørket.	være bange	Jeg er bange for mørket.	pelätä	Pelkään pimeää.
791:拍照	拍照	拍照	robić zdjęcia; fotografować	Robią zdjęcia w parku.	foto's maken; fotograferen	Ze maken foto's in het park.	fotografera; ta bilder	De tar bilder i parken.	fotografere; ta bilder	De tar bilder i parken.	fotografere; tage billeder	De tager billeder i parken.	ottaa valokuvia; kuvata	He ottavat valokuvia puistossa.
801:起	起	起	wstawać; podnosić się	Proszę, wstań trochę wcześniej.	opstaan; omhoogkomen	Sta alsjeblieft iets eerder op.	gå upp; resa sig	Gå upp lite tidigare, är du snäll.	stå opp; reise seg	Vær så snill å stå opp litt tidligere.	stå op; rejse sig	Stå venligst lidt tidligere op.	nousta; herätä	Nouse vähän aikaisemmin, ole hyvä.
803:汽车	汽车	汽车	samochód; auto	Ten samochód jest bardzo nowy.	auto; wagen	Deze auto is erg nieuw.	bil; automobil	Den här bilen är mycket ny.	bil; automobil	Denne bilen er veldig ny.	bil; automobil	Denne bil er meget ny.	auto; henkilöauto	Tämä auto on hyvin uusi.
804:铅笔	铅笔	铅笔	ołówek	Piszę ołówkiem.	potlood	Ik schrijf met een potlood.	penna; blyertspenna	Jag skriver med blyertspenna.	blyant	Jeg skriver med blyant.	blyant	Jeg skriver med blyant.	lyijykynä	Kirjoitan lyijykynällä.
805:前年	前年	前年	przed dwoma laty; przedostatni rok	Przed dwoma laty byłem w Kantonie.	twee jaar geleden; het jaar voor vorig jaar	Twee jaar geleden ben ik in Guangzhou geweest.	förrförra året	Förrförra året var jag i Guangzhou.	forfjor	Forfjor var jeg i Guangzhou.	forrige år igen; for to år siden	For to år siden var jeg i Guangzhou.	toissa vuonna	Kävin Guangzhoussa toissa vuonna.
806:前天	前天	前天	przedwczoraj	Przedwczoraj go widziałem.	eergisteren	Ik heb hem eergisteren gezien.	i förrgår	Jag såg honom i förrgår.	i forigårs	Jeg så ham i forigårs.	i forgårs	Jeg så ham i forgårs.	toissapäivänä	Näin hänet toissapäivänä.
809:请客	请客	请客	stawiać; zapraszać na swój koszt	Dzisiaj ja stawiam.	trakteren; uitnodigen	Vandaag trakteer ik.	bjuda; stå för notan	I dag bjuder jag.	spandere; invitere	I dag spanderer jeg.	give; invitere	I dag giver jeg.	tarjota; kestitä	Tänään minä tarjoan.
810:秋天	秋天	秋天	jesień	Jesienią pogoda jest przyjemna.	herfst; najaar	Het weer in de herfst is aangenaam.	höst	Vädret på hösten är behagligt.	høst	Været om høsten er behagelig.	efterår	Vejret om efteråret er behageligt.	syksy	Syksyllä sää on miellyttävä.
811:球场	球场	球场	boisko sportowe; kort	Na boisku jest wielu uczniów.	sportveld; balveld	Er zijn veel leerlingen op het sportveld.	idrottsplan; bollplan	Det finns många elever på idrottsplanen.	idrettsbane; ballbane	Det er mange elever på idrettsbanen.	sportsplads; boldbane	Der er mange elever på sportspladsen.	urheilukenttä; pallokenttä	Urheilukentällä on paljon oppilaita.
815:认得	认得	认得	rozpoznawać	Rozpoznaję tego nauczyciela.	herkennen	Ik herken deze leraar.	känna igen	Jag känner igen den här läraren.	kjenne igjen	Jeg kjenner igjen denne læreren.	genkende	Jeg genkender denne lærer.	tunnistaa	Tunnistan tämän opettajan.
821:扫	扫	扫	zamiatać	Proszę, zamieć podłogę do czysta.	vegen	Veeg de vloer schoon, alsjeblieft.	sopa	Sopa golvet rent, är du snäll.	feie	Vær så snill å feie gulvet rent.	feje	Fej venligst gulvet rent.	lakaista	Lakaise lattia puhtaaksi, ole hyvä.
823:山	山	山	góra	Ta góra jest bardzo wysoka.	berg	Deze berg is erg hoog.	berg	Det här berget är mycket högt.	fjell	Dette fjellet er veldig høyt.	bjerg	Dette bjerg er meget højt.	vuori	Tämä vuori on hyvin korkea.
824:上衣	上衣	上衣	górna część ubrania; bluzka	Ta bluzka jest nowa.	bovenkleding; bovenstuk	Dit bovenstuk is nieuw.	överdel; tröja	Den här överdelen är ny.	overdel; trøye	Denne overdelen er ny.	overdel; bluse	Denne overdel er ny.	yläosa; paita	Tämä yläosa on uusi.
826:身边	身边	身边	przy boku; wokół siebie	Wokół mnie jest wielu przyjaciół.	aan je zijde; om je heen	Ik heb veel vrienden om me heen.	vid ens sida; omkring en	Jag har många vänner omkring mig.	ved ens side; rundt en	Jeg har mange venner rundt meg.	ved ens side; omkring en	Jeg har mange venner omkring mig.	vierellä; ympärillä	Minulla on paljon ystäviä ympärilläni.
827:身高	身高	身高	wzrost	Jego wzrost to metr osiemdziesiąt.	lengte; lichaamslengte	Zijn lengte is 1,80 meter.	kroppslängd; längd	Hans längd är en meter åttio.	høyde; kroppshøyde	Høyden hans er én meter åtti.	højde; kropshøjde	Hans højde er en meter og firs.	pituus; kehon pituus	Hänen pituutensa on 1,80 metriä.
828:声	声	声	dźwięk; klasyfikator dźwięków	Usłyszałem jeden dzwonek telefonu.	geluid; telwoord voor geluiden	Ik hoorde de telefoon een keer overgaan.	ljud; måttsord för ljud	Jag hörde telefonen ringa en gång.	lyd; telleord for lyder	Jeg hørte telefonen ringe én gang.	lyd; måleord for lyde	Jeg hørte telefonen ringe én gang.	ääni; äänten lukusana	Kuulin puhelimen soivan kerran.
832:市	市	市	miasto; gmina	On mieszka w mieście Pekin.	stad; gemeente	Hij woont in de gemeente Beijing.	stad; kommun	Han bor i Pekings kommun.	by; kommune	Han bor i Beijing kommune.	by; kommune	Han bor i Beijing Kommune.	kaupunki; kunta	Hän asuu Pekingin kaupungissa.
834:室	室	室	pokój; pomieszczenie	Nauczyciel jest w biurze.	kamer; ruimte	De leraar is op kantoor.	rum	Läraren är på kontoret.	rom	Læreren er på kontoret.	rum; lokale	Læreren er på kontoret.	huone; tila	Opettaja on toimistossa.
837:收到	收到	收到	otrzymywać; dostać	Otrzymałem twój e-mail.	ontvangen	Ik heb je e-mail ontvangen.	få; ta emot	Jag fick ditt mejl.	motta; få	Jeg mottok e-posten din.	modtage; få	Jeg modtog din e-mail.	saada; vastaanottaa	Sain sähköpostisi.
838:受	受	受	cierpieć; otrzymywać	Odniósł niewielką ranę.	lijden; ondergaan	Hij raakte licht gewond.	lida; få	Han blev lite skadad.	lide; få	Han ble litt skadet.	lide; få	Han kom lidt til skade.	kärsiä; saada	Hän loukkaantui hieman.
844:刷	刷	刷	szczotkować; czyścić	Rano myje zęby.	borstelen	Hij poetst 's ochtends zijn tanden.	borsta	Han borstar tänderna på morgonen.	børste	Han pusser tennene om morgenen.	børste	Han børster tænder om morgenen.	harjata	Hän harjaa hampaansa aamulla.
848:四季	四季	四季	cztery pory roku	Tutaj wszystkie cztery pory roku są piękne.	vier seizoenen	De vier seizoenen zijn hier allemaal mooi.	fyra årstider	Alla fyra årstider är vackra här.	fire årstider	Alle fire årstidene er vakre her.	fire årstider	Alle fire årstider er smukke her.	neljä vuodenaikaa	Kaikki neljä vuodenaikaa ovat täällä kauniita.
854:体育馆	体育馆	体育馆	hala sportowa; sala gimnastyczna	Zawody odbywają się w hali sportowej.	sporthal; gymzaal	De wedstrijd wordt in de sporthal gehouden.	idrottshall; sporthall	Matchen hålls i idrottshallen.	idrettshall; sportshall	Kampen holdes i idrettshallen.	sportshal; idrætshal	Kampen holdes i sportshallen.	liikuntahalli; urheiluhalli	Ottelu pidetään liikuntahallissa.
856:跳	跳	跳	skakać	On skacze bardzo wysoko.	springen	Hij springt erg hoog.	hoppa	Han hoppar mycket högt.	hoppe	Han hopper veldig høyt.	hoppe	Han hopper meget højt.	hypätä	Hän hyppää hyvin korkealle.
857:听说	听说	听说	słyszeć; dowiedzieć się	Słyszałem, że on wróci jutro.	horen zeggen; vernemen	Ik heb gehoord dat hij morgen terugkomt.	höra; få höra	Jag hörde att han kommer tillbaka i morgon.	høre; få høre	Jeg hørte at han kommer tilbake i morgen.	høre; få at vide	Jeg hørte, at han kommer tilbage i morgen.	kuulla; saada kuulla	Kuulin, että hän palaa huomenna.
865:外地	外地	外地	inne miejsce; spoza miasta	Przyjechał z innego miasta do pracy w Pekinie.	andere plaats; van buiten de stad	Hij kwam van buiten de stad naar Beijing om te werken.	annan ort; utifrån	Han kom från en annan ort till Peking för att arbeta.	annet sted; utenbys	Han kom utenbysfra til Beijing for å jobbe.	andet sted; udefra	Han kom udefra til Beijing for at arbejde.	muu paikkakunta; kaupungin ulkopuolelta	Hän tuli muualta Pekingiin töihin.
866:外卖	外卖	外卖	jedzenie na wynos; dostawa jedzenia	Dzisiaj w południe zamówiłem jedzenie na wynos.	afhaalmaaltijd; maaltijdbezorging	Vandaag rond het middaguur heb ik eten laten bezorgen.	hämtmat; matleverans	I dag vid lunchtid beställde jag hämtmat.	takeaway; matlevering	I dag ved lunsjtid bestilte jeg matlevering.	takeaway; madlevering	I dag ved middagstid bestilte jeg takeaway.	noutoruoka; ruoan toimitus	Tilasin tänään päivällä ruokaa kotiin.
867:外语	外语	外语	język obcy	Ona zna dwa języki obce.	vreemde taal	Zij kan twee vreemde talen spreken.	främmande språk	Hon kan tala två främmande språk.	fremmedspråk	Hun kan snakke to fremmedspråk.	fremmedsprog	Hun kan tale to fremmedsprog.	vieras kieli	Hän osaa puhua kahta vierasta kieltä.
870:晚点	晚点	晚点	spóźniać się; opóźniać	Pociąg spóźnił się dziesięć minut.	vertraging hebben; te laat zijn	De trein had tien minuten vertraging.	vara försenad	Tåget var tio minuter försenat.	være forsinket	Toget var ti minutter forsinket.	være forsinket	Toget var ti minutter forsinket.	olla myöhässä; viivästyä	Juna oli kymmenen minuuttia myöhässä.
871:晚会	晚会	晚会	wieczorne spotkanie; przyjęcie	Wieczorem w szkole jest przyjęcie.	avondfeest; bijeenkomst	Vanavond is er een feest op school.	kvällsfest; aftonprogram	Det är fest i skolan i kväll.	kveldsfest; kveldssamling	Det er fest på skolen i kveld.	aftenfest; aftenarrangement	Der er fest på skolen i aften.	iltajuhla; iltatilaisuus	Koululla on juhla tänä iltana.
881:西北	西北	西北	północny zachód	Mój dom jest w północno-zachodniej części miasta.	noordwesten	Mijn huis ligt in het noordwesten van de stad.	nordväst	Mitt hem ligger i stadens nordväst.	nordvest	Hjemmet mitt ligger nordvest i byen.	nordvest	Mit hjem ligger i byens nordvest.	luode	Kotini on kaupungin luoteisosassa.
882:西方	西方	西方	zachód; świat zachodni	Słońce zachodzi na zachodzie.	westen; het Westen	De zon gaat onder in het westen.	väster; västvärlden	Solen går ner i väster.	vest; Vesten	Solen går ned i vest.	vest; Vesten	Solen går ned i vest.	länsi; länsimaat	Aurinko laskee lännessä.
884:西南	西南	西南	południowy zachód	Park jest na południowy zachód od szkoły.	zuidwesten	Het park ligt ten zuidwesten van de school.	sydväst	Parken ligger sydväst om skolan.	sørvest	Parken ligger sørvest for skolen.	sydvest	Parken ligger sydvest for skolen.	lounas	Puisto on koulusta lounaaseen.
886:喜爱	喜爱	喜爱	lubić; kochać	Dziadek bardzo lubi operę pekińską.	erg houden van; graag mogen	Opa houdt erg van Pekingopera.	tycka mycket om; älska	Farfar tycker mycket om Pekingopera.	være glad i; elske	Bestefar er veldig glad i pekingopera.	holde meget af; elske	Bedstefar holder meget af pekingopera.	pitää paljon; rakastaa	Isoisä pitää paljon Peking-oopperasta.
887:洗衣机	洗衣机	洗衣机	pralka	Pralka się zepsuła.	wasmachine	De wasmachine is kapot.	tvättmaskin	Tvättmaskinen är trasig.	vaskemaskin	Vaskemaskinen er ødelagt.	vaskemaskine	Vaskemaskinen er gået i stykker.	pesukone	Pesukone on rikki.
889:夏天	夏天	夏天	lato	Latem lubię pływać.	zomer	Ik zwem graag in de zomer.	sommar	Jag tycker om att simma på sommaren.	sommer	Jeg liker å svømme om sommeren.	sommer	Jeg kan godt lide at svømme om sommeren.	kesä	Tykkään uida kesällä.
893:箱子	箱子	箱子	pudło; walizka	W pudle jest dużo książek.	doos; koffer	Er zitten veel boeken in de doos.	låda; resväska	Det finns många böcker i lådan.	eske; koffert	Det er mange bøker i esken.	kasse; kuffert	Der er mange bøger i kassen.	laatikko; matkalaukku	Laatikossa on paljon kirjoja.
896:相机	相机	相机	aparat fotograficzny	Ten aparat jest bardzo lekki.	camera; fototoestel	Deze fotocamera is erg licht.	kamera; fotoapparat	Den här kameran är mycket lätt.	kamera; fotoapparat	Dette kameraet er veldig lett.	kamera; fotoapparat	Dette kamera er meget let.	kamera; valokuvauskone	Tämä kamera on hyvin kevyt.
897:小区	小区	小区	osiedle; kompleks mieszkalny	Mieszkam na tym osiedlu.	woonwijk; wooncomplex	Ik woon in dit wooncomplex.	bostadsområde	Jag bor i det här bostadsområdet.	boligområde	Jeg bor i dette boligområdet.	boligområde; beboelseskompleks	Jeg bor i dette boligområde.	asuinalue; taloyhtiö	Asun tällä asuinalueella.
899:校园	校园	校园	kampus; teren szkoły	Na terenie szkoły jest dużo drzew.	campus; schoolterrein	Er staan veel bomen op het schoolterrein.	campus; skolområde	Det finns många träd på skolområdet.	campus; skoleområde	Det er mange trær på skoleområdet.	campus; skoleområde	Der er mange træer på skoleområdet.	kampus; koulun alue	Koulun alueella on paljon puita.
901:鞋	鞋	鞋	but; obuwie	Ta para butów jest wygodna.	schoen; schoeisel	Dit paar schoenen zit comfortabel.	sko	Det här paret skor är bekvämt.	sko; fottøy	Dette paret sko er behagelig.	sko; fodtøj	Dette par sko er behageligt.	kenkä; jalkine	Tämä kenkäpari on mukava.
902:心里	心里	心里	w sercu; w myślach	W środku czuję się bardzo szczęśliwy.	in het hart; in gedachten	Ik voel me vanbinnen erg blij.	i hjärtat; inom sig	Jag känner mig mycket glad inombords.	i hjertet; inni seg	Jeg føler meg veldig glad inni meg.	i hjertet; indeni	Jeg føler mig meget glad indeni.	sydämessä; mielessä	Tunnen itseni sisälläni hyvin iloiseksi.
903:新年	新年	新年	Nowy Rok	Szczęśliwego Nowego Roku!	Nieuwjaar	Gelukkig nieuwjaar!	nyår	Gott nytt år!	nyttår	Godt nytt år!	nytår	Godt nytår!	uusivuosi	Hyvää uutta vuotta!
906:信	信	信	list	Napisałem list do przyjaciela.	brief	Ik heb een brief aan een vriend geschreven.	brev	Jag skrev ett brev till en vän.	brev	Jeg skrev et brev til en venn.	brev	Jeg skrev et brev til en ven.	kirje	Kirjoitin kirjeen ystävälle.
909:行李	行李	行李	bagaż	Mój bagaż jest ciężki.	bagage	Mijn bagage is zwaar.	bagage; resgods	Mitt bagage är tungt.	bagasje	Bagasjen min er tung.	bagage	Min bagage er tung.	matkatavarat	Matkatavarani ovat painavat.
910:兴趣	兴趣	兴趣	zainteresowanie; pasja	On interesuje się muzyką.	interesse; belangstelling	Hij heeft belangstelling voor muziek.	intresse; nyfikenhet	Han är intresserad av musik.	interesse; nysgjerrighet	Han er interessert i musikk.	interesse; lyst	Han er interesseret i musik.	kiinnostus	Hän on kiinnostunut musiikista.
