simplified	SI	example_SI	TA	example_TA	TE	example_TE	KN	example_KN	ML	example_ML	KK	example_KK	KA	example_KA	HY	example_HY
那里	එතන; එහි	ගුරුවරයා එතන ඉන්නවා.	அங்கே	ஆசிரியர் அங்கே இருக்கிறார்.	అక్కడ	ఉపాధ్యాయుడు అక్కడ ఉన్నారు.	ಅಲ್ಲಿ	ಶಿಕ್ಷಕರು ಅಲ್ಲಿ ಇದ್ದಾರೆ.	അവിടെ	അധ്യാപകൻ അവിടെയാണ്.	сонда	Мұғалім сонда.	იქ	მასწავლებელი იქ არის.	այնտեղ	Ուսուցիչը այնտեղ է։
那儿	එතන; එහි	මගේ යාළුවා එතන ඉන්නවා.	அங்கே	என் நண்பன் அங்கே இருக்கிறான்.	అక్కడ	నా స్నేహితుడు అక్కడ ఉన్నాడు.	ಅಲ್ಲಿ	ನನ್ನ ಸ್ನೇಹಿತ ಅಲ್ಲಿ ಇದ್ದಾನೆ.	അവിടെ	എന്റെ സുഹൃത്ത് അവിടെയാണ്.	сонда	Досым сонда.	იქ	ჩემი მეგობარი იქ არის.	այնտեղ	Իմ ընկերը այնտեղ է։
那些	ඒවා; අරවා	ඒ ඇපල් නැවුම්.	அவை; அந்தவை	அந்த ஆப்பிள்கள் பசுமையாக உள்ளன.	అవి; ఆవి	ఆ ఆపిల్లు తాజా ఉన్నాయి.	ಅವು; ಆವು	ಆ ಸೇಬುಗಳು ತಾಜಾ.	അവ; അവിടെ ഉള്ളവ	ആ ആപ്പിളുകൾ പുതുതാണ്.	аналар; солар	Сол алмалар жаңа.	ისინი; ის ნივთები	ის ვაშლები ახალია.	դրանք; այն բաները	Այդ խնձորները թարմ են։
男	පිරිමි; පුරුෂ	මේ ළමයා පිරිමි ළමයෙක්.	ஆண்; ஆண்பால்	இந்த குழந்தை ஆண் குழந்தை.	పురుష; అబ్బాయి	ఈ పిల్లవాడు అబ్బాయి.	ಪುರುಷ; ಗಂಡು	ಈ ಮಗು ಹುಡುಗ.	പുരുഷൻ; ആൺ	ഈ കുട്ടി ആണ്‍കുട്ടിയാണ്.	ер; еркек	Бұл бала ұл.	კაცი; მამრობითი	ეს ბავშვი ბიჭია.	արական; տղամարդ	Այս երեխան տղա է։
男朋友	පෙම්වතා	ඇගේ පෙම්වතාට කාර් ධාවනය කරන්න පුළුවන්.	காதலன்	அவளுடைய காதலன் கார் ஓட்டத் தெரியும்.	ప్రియుడు	ఆమె ప్రియుడికి కారు నడపడం తెలుసు.	ಪ್ರಿಯಕರ	ಅವಳ ಪ್ರಿಯಕರಿಗೆ ಕಾರು ಓಡಿಸಲು ಬರುತ್ತದೆ.	കാമുകൻ	അവളുടെ കാമുകന് കാർ ഓടിക്കാൻ അറിയാം.	жігіт; сүйікті жігіт	Оның жігіті көлік жүргізе алады.	შეყვარებული ბიჭი	მის შეყვარებულს მანქანის ტარება შეუძლია.	ընկեր; սիրեցյալ տղա	Նրա ընկերը մեքենա վարել գիտի։
你好	හෙලෝ; ආයුබෝවන්	හෙලෝ, මගේ නම Xiao Li.	வணக்கம்	வணக்கம், என் பெயர் Xiao Li.	హలో; నమస్కారం	హలో, నా పేరు Xiao Li.	ನಮಸ್ಕಾರ	ನಮಸ್ಕಾರ, ನನ್ನ ಹೆಸರು Xiao Li.	നമസ്കാരം	നമസ്കാരം, എന്റെ പേര് Xiao Li.	сәлем	Сәлем, менің атым Xiao Li.	გამარჯობა	გამარჯობა, მე Xiao Li მქვია.	բարև	Բարև, իմ անունը Xiao Li է։
你们	ඔයාලා; ඔබලා	අද ඔයාලට පන්තියක් තියෙනවාද?	நீங்கள்; நீங்கள் எல்லோரும்	இன்று உங்களுக்கு வகுப்பு உள்ளதா?	మీరు; మీరు అందరూ	ఈరోజు మీకు తరగతి ఉందా?	ನೀವು; ನೀವು ಎಲ್ಲರೂ	ಇಂದು ನಿಮಗೆ ತರಗತಿ ಇದೆಯಾ?	നിങ്ങൾ	ഇന്ന് നിങ്ങൾക്ക് ക്ലാസ് ഉണ്ടോ?	сендер; сіздер	Бүгін сендерде сабақ бар ма?	თქვენ	დღეს გაკვეთილი გაქვთ?	դուք	Այսօր դաս ունե՞ք։
女	කාන්තා; ගැහැණු	ඇය වෛද්‍යවරියක්.	பெண்; பெண்பால்	அவள் மருத்துவர்.	స్త్రీ; ఆడ	ఆమె వైద్యురాలు.	ಮಹಿಳೆ; ಹೆಣ್ಣು	ಅವಳು ವೈದ್ಯೆ.	സ്ത്രീ; പെൺ	അവൾ ഡോക്ടറാണ്.	әйел; қыз	Ол дәрігер әйел.	ქალი; მდედრობითი	ის ექიმი ქალია.	իգական; կին	Նա բժշկուհի է։
女朋友	පෙම්වතිය	ඔහුගේ පෙම්වතිය සංගීතයට කැමතියි.	காதலி	அவனுடைய காதலி இசையை விரும்புகிறாள்.	ప్రియురాలు	అతని ప్రియురాలు సంగీతాన్ని ఇష్టపడుతుంది.	ಪ್ರಿಯತಮೆ	ಅವನ ಪ್ರಿಯತಮೆಗೆ ಸಂಗೀತ ಇಷ್ಟ.	കാമുകി	അവന്റെ കാമുകിക്ക് സംഗീതം ഇഷ്ടമാണ്.	қыз; сүйікті қыз	Оның қызы музыканы ұнатады.	შეყვარებული გოგო	მის შეყვარებულ გოგოს მუსიკა უყვარს.	ընկերուհի; սիրեցյալ աղջիկ	Նրա ընկերուհին երաժշտություն է սիրում։
前	ඉදිරිය; පෙර	පාසල ඉදිරියේ පොත් කඩයක් තියෙනවා.	முன்; முன்னால்	பள்ளியின் முன்னால் புத்தகக் கடை உள்ளது.	ముందు; ముందుగా	పాఠశాల ముందు పుస్తక దుకాణం ఉంది.	ಮುಂದು; ಮೊದಲು	ಶಾಲೆಯ ಮುಂದೆ ಪುಸ್ತಕ ಅಂಗಡಿ ಇದೆ.	മുൻപിൽ; മുമ്പ്	സ്കൂളിന്റെ മുൻപിൽ പുസ്തകക്കടയുണ്ട്.	алды; бұрын	Мектептің алдында кітап дүкені бар.	წინ; ადრე	სკოლის წინ წიგნის მაღაზიაა.	առջև; առաջ	Դպրոցի առաջ գրախանութ կա։
请问	සමාවෙන්න, අහන්න පුළුවන්ද	සමාවෙන්න, වැසිකිළිය කොහේද?	மன்னிக்கவும், கேட்கலாமா	மன்னிக்கவும், கழிப்பறை எங்கே?	క్షమించండి, అడగవచ్చా	క్షమించండి, మరుగుదొడ్డి ఎక్కడ?	ಕ್ಷಮಿಸಿ, ಕೇಳಬಹುದೇ	ಕ್ಷಮಿಸಿ, ಶೌಚಾಲಯ ಎಲ್ಲಿದೆ?	ക്ഷമിക്കണം, ചോദിക്കാമോ	ക്ഷമിക്കണം, ശൗചാലയം എവിടെയാണ്?	кешіріңіз, сұрасам бола ма	Кешіріңіз, дәретхана қайда?	უკაცრავად, შეიძლება გკითხოთ	უკაცრავად, საპირფარეშო სად არის?	կներեք, կարելի՞ է հարցնել	Կներեք, զուգարանը որտե՞ղ է։
上课	පන්තියට යාම; පන්තිය ආරම්භ වීම	අපේ පන්තිය අටට තියෙනවා.	வகுப்பிற்கு செல்லுதல்; வகுப்பு தொடங்குதல்	எங்களுக்கு எட்டு மணிக்கு வகுப்பு உள்ளது.	తరగతికి హాజరు కావడం; తరగతి ప్రారంభం	మాకు ఎనిమిది గంటలకు తరగతి ఉంది.	ತರಗತಿಗೆ ಹೋಗುವುದು; ತರಗತಿ ಆರಂಭ	ನಮಗೆ ಎಂಟು ಗಂಟೆಗೆ ತರಗತಿ ಇದೆ.	ക്ലാസിൽ പോകുക; ക്ലാസ് തുടങ്ങുക	ഞങ്ങൾക്ക് എട്ടിന് ക്ലാസ് ഉണ്ട്.	сабаққа кіру; сабақ басталу	Біздің сабақ сағат сегізде.	გაკვეთილზე შესვლა; გაკვეთილის დაწყება	რვა საათზე გაკვეთილი გვაქვს.	դասի գնալ; դասը սկսվել	Մեր դասը ժամը ութին է։
上学	පාසලට යාම	ළමයි දිනපතා පාසලට යනවා.	பள்ளிக்கு செல்வது	குழந்தைகள் தினமும் பள்ளிக்கு செல்கிறார்கள்.	పాఠశాలకు వెళ్లడం	పిల్లలు ప్రతిరోజూ పాఠశాలకు వెళ్తారు.	ಶಾಲೆಗೆ ಹೋಗುವುದು	ಮಕ್ಕಳು ಪ್ರತಿದಿನ ಶಾಲೆಗೆ ಹೋಗುತ್ತಾರೆ.	സ്കൂളിൽ പോകുക	കുട്ടികൾ ദിവസവും സ്കൂളിൽ പോകുന്നു.	мектепке бару	Балалар күн сайын мектепке барады.	სკოლაში სიარული	ბავშვები ყოველდღე სკოლაში დადიან.	դպրոց գնալ	Երեխաները ամեն օր դպրոց են գնում։
事	කාරණය; වැඩ	අද මට කරන්න වැඩ ගොඩක් තියෙනවා.	விஷயம்; வேலை	இன்று எனக்கு செய்ய வேலைகள் நிறைய உள்ளன.	విషయం; పని	నాకు ఈరోజు చేయాల్సిన పనులు చాలా ఉన్నాయి.	ವಿಷಯ; ಕೆಲಸ	ಇಂದು ನನಗೆ ಬಹಳ ಕೆಲಸಗಳಿವೆ.	കാര്യം; ജോലി	ഇന്ന് എനിക്ക് ചെയ്യാൻ പല കാര്യങ്ങളും ഉണ്ട്.	іс; шаруа	Бүгін істейтін жұмысым көп.	საქმე; ამბავი	დღეს ბევრი საქმე მაქვს.	գործ; բան	Այսօր շատ գործ ունեմ։
书店	පොත් කඩය	පොත් කඩය සිනමාහල අසල තියෙනවා.	புத்தகக் கடை	புத்தகக் கடை திரையரங்கத்தின் அருகில் இருக்கிறது.	పుస్తక దుకాణం	పుస్తక దుకాణం సినిమా థియేటర్ పక్కన ఉంది.	ಪುಸ್ತಕ ಅಂಗಡಿ	ಪುಸ್ತಕ ಅಂಗಡಿ ಚಿತ್ರಮಂದಿರದ ಪಕ್ಕದಲ್ಲಿದೆ.	പുസ്തകക്കട	പുസ്തകക്കട സിനിമാ തീയേറ്ററിന്റെ അരികിലാണ്.	кітап дүкені	Кітап дүкені кинотеатрдың жанында.	წიგნის მაღაზია	წიგნის მაღაზია კინოთეატრის გვერდითაა.	գրախանութ	Գրախանութը կինոթատրոնի կողքին է։
睡	නිදා ගැනීම	ළමයා දැනටමත් නිදාගෙන.	தூங்குதல்	குழந்தை ஏற்கனவே தூங்குகிறது.	నిద్రపోవడం	పిల్లవాడు ఇప్పటికే నిద్రపోతున్నాడు.	ನಿದ್ರೆ ಮಾಡುವುದು	ಮಗು ಈಗಾಗಲೇ ನಿದ್ರೆ ಮಾಡುತ್ತಿದೆ.	ഉറങ്ങുക	കുഞ്ഞ് ഇതിനകം ഉറങ്ങുന്നു.	ұйықтау	Бала ұйықтап жатыр.	ძილი	ბავშვს უკვე სძინავს.	քնել	Երեխան արդեն քնած է։
说	කථා කිරීම; කියීම	ඔහු චීන භාෂාව ඉතා හොඳින් කථා කරනවා.	பேசுதல்; சொல்லுதல்	அவர் சீன மொழி மிகவும் நன்றாக பேசுகிறார்.	మాట్లాడడం; చెప్పడం	అతను చైనీస్ చాలా బాగా మాట్లాడతాడు.	ಮಾತನಾಡುವುದು; ಹೇಳುವುದು	ಅವನು ಚೀನೀ ತುಂಬಾ ಚೆನ್ನಾಗಿ ಮಾತನಾಡುತ್ತಾನೆ.	സംസാരിക്കുക; പറയുക	അവൻ ചൈനീസ് വളരെ നന്നായി സംസാരിക്കുന്നു.	сөйлеу; айту	Ол қытай тілінде өте жақсы сөйлейді.	ლაპარაკი; თქმა	ის ჩინურად ძალიან კარგად ლაპარაკობს.	խոսել; ասել	Նա շատ լավ է խոսում չինարեն։
他们	ඔවුන්	ඔවුන් පන්ති කාමරයේ ඉන්නවා.	அவர்கள்	அவர்கள் வகுப்பறையில் உள்ளனர்.	వాళ్లు	వాళ్లు తరగతి గదిలో ఉన్నారు.	ಅವರು	ಅವರು ತರಗತಿಯಲ್ಲಿ ಇದ್ದಾರೆ.	അവർ	അവർ ക്ലാസ് മുറിയിലാണ്.	олар	Олар сыныпта.	ისინი	ისინი საკლასო ოთახში არიან.	նրանք	Նրանք դասարանում են։
它们	වස්තු හෝ සතුන් සඳහා ඔවුන්	මේ පූස් පැටවු කුඩායි; ඒවා ආදරණීයයි.	அவை பொருட்கள் அல்லது விலங்குகளுக்கு	இந்த பூனைகள் சிறியவை; அவை அழகானவை.	వస్తువులు లేదా జంతువులకు అవి	ఈ పిల్లులు చిన్నవి; అవి అందంగా ఉన్నాయి.	ವಸ್ತುಗಳು ಅಥವಾ ಪ್ರಾಣಿಗಳಿಗೆ ಅವು	ಈ ಬೆಕ್ಕುಗಳು ಚಿಕ್ಕವು; ಅವು ಮುದ್ದಾಗಿವೆ.	വസ്തുക്കൾക്കും മൃഗങ്ങൾക്കും അവ	ഈ പൂച്ചകൾ ചെറുതാണ്; അവ മധുരമാണ്.	заттар немесе жануарлар үшін олар	Бұл мысықтар кішкентай; олар сүйкімді.	ისინი ნივთებისთვის ან ცხოველებისთვის	ეს კატები პატარები არიან; ისინი საყვარლებია.	դրանք առարկաների կամ կենդանիների համար	Այս կատուները փոքր են և սիրուն։
她们	කාන්තාවන් සඳහා ඔවුන්	ඔවුන් සියලු දෙනා විශ්වවිද්‍යාල ශිෂ්‍යාවෝ.	அவர்கள் பெண்களுக்கு	அவர்கள் எல்லோரும் பல்கலைக்கழக மாணவிகள்.	మహిళల కోసం వారు	వాళ్లంతా విశ్వవిద్యాలయ విద్యార్థినులు.	ಮಹಿಳೆಯರಿಗೆ ಅವರು	ಅವರೆಲ್ಲರೂ ವಿಶ್ವವಿದ್ಯಾಲಯ ವಿದ್ಯಾರ್ಥಿನಿಯರು.	സ്ത്രീകൾക്കുള്ള അവർ	അവർ എല്ലാവരും സർവകലാശാല വിദ്യാർത്ഥിനികളാണ്.	әйелдер туралы олар	Олардың бәрі университет студенттері.	ისინი ქალებზე	ისინი ყველანი უნივერსიტეტის სტუდენტები არიან.	նրանք կանանց համար	Նրանք բոլորը համալսարանի ուսանողուհիներ են։
天	දවස; අහස	අද ඉරිදා.	நாள்; வானம்	இன்று ஞாயிறு.	రోజు; ఆకాశం	ఈరోజు ఆదివారం.	ದಿನ; ಆಕಾಶ	ಇಂದು ಭಾನುವಾರ.	ദിവസം; ആകാശം	ഇന്ന് ഞായറാഴ്ചയാണ്.	күн; аспан	Бүгін жексенбі.	დღე; ცა	დღეს კვირაა.	օր; երկինք	Այսօր կիրակի է։
听见	ඇසීම	මම ඔයාගේ දුරකථනය ඇහුණා.	கேட்பது	உன் தொலைபேசியை நான் கேட்டேன்.	వినడం	నేను నీ ఫోన్ శబ్దం విన్నాను.	ಕೇಳುವುದು	ನಿನ್ನ ಫೋನ್ ಕೇಳಿಸಿತು.	കേൾക്കുക	നിന്റെ ഫോൺ ഞാൻ കേട്ടു.	есту	Телефоныңды естідім.	გაგონება	შენი ტელეფონი გავიგონე.	լսել	Ես քո հեռախոսը լսեցի։
外边	පිටත	පිටත වැස්ස වැටෙනවා.	வெளியில்	வெளியில் மழை பெய்கிறது.	బయట	బయట వర్షం పడుతోంది.	ಹೊರಗೆ	ಹೊರಗೆ ಮಳೆ ಬರುತ್ತಿದೆ.	പുറത്ത്	പുറത്ത് മഴ പെയ്യുന്നു.	сыртта	Сыртта жаңбыр жауып тұр.	გარეთ	გარეთ წვიმს.	դրսում	Դրսում անձրև է գալիս։
晚	ප්‍රමාද; සවස	දැන් ඉතා ප්‍රමාදයි.	தாமதம்; மாலை	இப்போது மிகவும் தாமதமாகிவிட்டது.	ఆలస్యం; సాయంత్రం	ఇప్పుడు చాలా ఆలస్యం అయింది.	ತಡ; ಸಂಜೆ	ಈಗ ತುಂಬಾ ತಡವಾಗಿದೆ.	വൈകി; വൈകുന്നേരം	ഇപ്പോൾ വളരെ വൈകി.	кеш; кешкі уақыт	Қазір өте кеш.	გვიან; საღამო	ახლა ძალიან გვიანია.	ուշ; երեկո	Հիմա շատ ուշ է։
晚饭	රාත්‍රී ආහාරය	රාත්‍රී ආහාරයට මට බත් කන්න ඕන.	இரவு உணவு	இரவு உணவுக்கு எனக்கு சாதம் சாப்பிட வேண்டும்.	రాత్రి భోజనం	రాత్రి భోజనానికి నేను అన్నం తినాలనుకుంటున్నాను.	ರಾತ್ರಿ ಊಟ	ರಾತ್ರಿ ಊಟಕ್ಕೆ ನನಗೆ ಅನ್ನ ತಿನ್ನಬೇಕು.	രാത്രി ഭക്ഷണം	രാത്രി ഭക്ഷണത്തിന് എനിക്ക് ചോറ് കഴിക്കണം.	кешкі ас	Кешкі асқа күріш жегім келеді.	ვახშამი	ვახშმად ბრინჯის ჭამა მინდა.	ընթրիք	Ընթրիքին բրինձ եմ ուզում ուտել։
午饭	දහවල් ආහාරය	දවල් ආහාරයට අපි නූඩ්ල්ස් කනවා.	மதிய உணவு	மதிய உணவில் நாங்கள் நூடுல்ஸ் சாப்பிடுகிறோம்.	మధ్యాహ్న భోజనం	మధ్యాహ్న భోజనానికి మేము నూడుల్స్ తింటాము.	ಮಧ್ಯಾಹ್ನದ ಊಟ	ಮಧ್ಯಾಹ್ನ ನಾವು ನೂಡಲ್ಸ್ ತಿನ್ನುತ್ತೇವೆ.	ഉച്ചഭക്ഷണം	ഉച്ചഭക്ഷണത്തിന് ഞങ്ങൾ നൂഡിൽസ് കഴിക്കുന്നു.	түскі ас	Түскі асқа кеспе жейміз.	სადილი	სადილად ლაფშას ვჭამთ.	ճաշ	Ճաշին լապշա ենք ուտում։
下班	වැඩ අවසන් කිරීම	අම්මා පස්ට වැඩ අවසන් කරනවා.	வேலை முடித்தல்	அம்மா ஐந்து மணிக்கு வேலை முடிக்கிறார்.	పని ముగించడం	అమ్మ ఐదు గంటలకు పని ముగిస్తుంది.	ಕೆಲಸ ಮುಗಿಸುವುದು	ಅಮ್ಮ ಐದು ಗಂಟೆಗೆ ಕೆಲಸ ಮುಗಿಸುತ್ತಾರೆ.	ജോലി അവസാനിപ്പിക്കുക	അമ്മ അഞ്ചിന് ജോലി തീർക്കുന്നു.	жұмыстан шығу	Анам сағат бесте жұмыстан шығады.	სამსახურის დასრულება	დედა ხუთ საათზე სამსახურს ამთავრებს.	աշխատանքից դուրս գալ	Մայրիկս ժամը հինգին աշխատանքից դուրս է գալիս։
下课	පන්තිය අවසන් වීම; පන්තියෙන් පසු	පන්තියෙන් පසු මම පොත් කඩයට යනවා.	வகுப்பு முடிதல்; வகுப்புக்குப் பிறகு	வகுப்புக்குப் பிறகு நான் புத்தகக் கடைக்கு செல்கிறேன்.	తరగతి ముగియడం; తరగతి తర్వాత	తరగతి తర్వాత నేను పుస్తక దుకాణానికి వెళ్తాను.	ತರಗತಿ ಮುಗಿಯುವುದು; ತರಗತಿಯ ನಂತರ	ತರಗತಿಯ ನಂತರ ನಾನು ಪುಸ್ತಕ ಅಂಗಡಿಗೆ ಹೋಗುತ್ತೇನೆ.	ക്ലാസ് അവസാനിക്കുക; ക്ലാസിന് ശേഷം	ക്ലാസിന് ശേഷം ഞാൻ പുസ്തകക്കടയിലേക്ക് പോകുന്നു.	сабақ біту; сабақтан кейін	Сабақтан кейін кітап дүкеніне барамын.	გაკვეთილის დასრულება; გაკვეთილის შემდეგ	გაკვეთილის შემდეგ წიგნის მაღაზიაში მივდივარ.	դասը ավարտվել; դասից հետո	Դասից հետո գրախանութ եմ գնում։
小朋友	ළමයා	ළමයි උද්‍යානයේ සෙල්ලම් කරනවා.	குழந்தை	குழந்தைகள் பூங்காவில் விளையாடுகிறார்கள்.	చిన్న పిల్లవాడు	పిల్లలు పార్కులో ఆడుతున్నారు.	ಮಗು; ಚಿಕ್ಕ ಸ್ನೇಹಿತ	ಮಕ್ಕಳು ಉದ್ಯಾನದಲ್ಲಿ ಆಡುತ್ತಿದ್ದಾರೆ.	കുഞ്ഞ്; കുട്ടി	കുട്ടികൾ പാർക്കിൽ കളിക്കുന്നു.	балақай; бала	Балалар саябақта ойнап жүр.	ბავშვი	ბავშვები პარკში თამაშობენ.	երեխա	Երեխաները այգում խաղում են։
小学	ප්‍රාථමික පාසල	මගේ නංගි ප්‍රාථමික පාසලට යනවා.	தொடக்கப் பள்ளி	என் தங்கை தொடக்கப் பள்ளிக்கு செல்கிறாள்.	ప్రాథమిక పాఠశాల	నా చెల్లి ప్రాథమిక పాఠశాలకు వెళ్తుంది.	ಪ್ರಾಥಮಿಕ ಶಾಲೆ	ನನ್ನ ತಂಗಿ ಪ್ರಾಥಮಿಕ ಶಾಲೆಗೆ ಹೋಗುತ್ತಾಳೆ.	പ്രാഥമിക സ്കൂൾ	എന്റെ ചെറുസഹോദരി പ്രാഥമിക സ്കൂളിൽ പോകുന്നു.	бастауыш мектеп	Қарындасым бастауыш мектепке барады.	დაწყებითი სკოლა	ჩემი უმცროსი და დაწყებით სკოლაში დადის.	տարրական դպրոց	Քույրս տարրական դպրոց է գնում։
小学生	ප්‍රාථමික ශිෂ්‍යයා	ඔහු ප්‍රාථමික පාසල් ශිෂ්‍යයෙක්.	தொடக்கப் பள்ளி மாணவர்	அவன் தொடக்கப் பள்ளி மாணவன்.	ప్రాథమిక పాఠశాల విద్యార్థి	అతను ప్రాథమిక పాఠశాల విద్యార్థి.	ಪ್ರಾಥಮಿಕ ಶಾಲಾ ವಿದ್ಯಾರ್ಥಿ	ಅವನು ಪ್ರಾಥಮಿಕ ಶಾಲಾ ವಿದ್ಯಾರ್ಥಿ.	പ്രാഥമിക സ്കൂൾ വിദ്യാർത്ഥി	അവൻ പ്രാഥമിക സ്കൂൾ വിദ്യാർത്ഥിയാണ്.	бастауыш мектеп оқушысы	Ол бастауыш мектеп оқушысы.	დაწყებითი სკოლის მოსწავლე	ის დაწყებითი სკოლის მოსწავლეა.	տարրական դպրոցի աշակերտ	Նա տարրական դպրոցի աշակերտ է։
星期日	ඉරිදා	ඉරිදා මට පන්තියක් නැහැ.	ஞாயிற்றுக்கிழமை	ஞாயிற்றுக்கிழமை எனக்கு வகுப்பு இல்லை.	ఆదివారం	ఆదివారం నాకు తరగతి లేదు.	ಭಾನುವಾರ	ಭಾನುವಾರ ನನಗೆ ತರಗತಿ ಇಲ್ಲ.	ഞായറാഴ്ച	ഞായറാഴ്ച എനിക്ക് ക്ലാസ് ഇല്ല.	жексенбі	Жексенбіде сабағым жоқ.	კვირა	კვირას გაკვეთილი არ მაქვს.	կիրակի	Կիրակի օրը դաս չունեմ։
星期天	ඉරිදා	ඉරිදා මම චිත්‍රපටයක් බලන්න යනවා.	ஞாயிற்றுக்கிழமை	ஞாயிற்றுக்கிழமை நான் படம் பார்க்க செல்கிறேன்.	ఆదివారం	ఆదివారం నేను సినిమా చూడడానికి వెళ్తాను.	ಭಾನುವಾರ	ಭಾನುವಾರ ನಾನು ಸಿನಿಮಾ ನೋಡಲು ಹೋಗುತ್ತೇನೆ.	ഞായറാഴ്ച	ഞായറാഴ്ച ഞാൻ സിനിമ കാണാൻ പോകുന്നു.	жексенбі	Жексенбіде кино көруге барамын.	კვირა	კვირას ფილმის სანახავად მივდივარ.	կիրակի	Կիրակի օրը ֆիլմ դիտելու եմ գնում։
学	ඉගෙනීම	මම චීන භාෂාව ඉගෙන ගන්නවා.	கற்பது; படித்தல்	நான் சீனம் கற்கிறேன்.	నేర్చుకోవడం; చదవడం	నేను చైనీస్ నేర్చుకుంటున్నాను.	ಕಲಿಯುವುದು; ಓದುವುದು	ನಾನು ಚೀನೀ ಕಲಿಯುತ್ತಿದ್ದೇನೆ.	പഠിക്കുക	ഞാൻ ചൈനീസ് പഠിക്കുന്നു.	үйрену; оқу	Мен қытай тілін үйреніп жүрмін.	სწავლა	ჩინურს ვსწავლობ.	սովորել	Ես չինարեն եմ սովորում։
一半	අඩක්	මම බත් අඩක් කෑවා.	பாதி	நான் சாதத்தின் பாதியை சாப்பிட்டேன்.	సగం	నేను అన్నం సగం తిన్నాను.	ಅರ್ಧ	ನಾನು ಅನ್ನದ ಅರ್ಧ ತಿಂದೆ.	പകുതി	ഞാൻ ചോറിന്റെ പകുതി കഴിച്ചു.	жарты	Күріштің жартысын жедім.	ნახევარი	ბრინჯის ნახევარი შევჭამე.	կես	Բրնձի կեսը կերա։
一下	ටිකක්; වරක්	කරුණාකර ටිකක් ඉන්න.	சிறிது நேரம்; ஒருமுறை	தயவு செய்து சிறிது நேரம் காத்திரு.	కొద్దిసేపు; ఒకసారి	దయచేసి కొద్దిసేపు వేచి ఉండు.	ಸ್ವಲ್ಪ ಹೊತ್ತು; ಒಮ್ಮೆ	ದಯವಿಟ್ಟು ಸ್ವಲ್ಪ ಕಾಯು.	ഒരു നിമിഷം; ഒരിക്കൽ	ദയവായി കുറച്ച് കാത്തിരിക്കുക.	сәл; бір рет	Өтінемін, сәл күте тұр.	ცოტა ხნით; ერთხელ	გთხოვ, ცოტა ხნით მოიცადე.	մի քիչ; մեկ անգամ	Խնդրում եմ, մի քիչ սպասիր։
一点儿	ටිකක්	මට ටිකක් මහන්සියි.	சிறிது	எனக்கு சிறிது சோர்வு.	కొంచెం	నాకు కొంచెం అలసటగా ఉంది.	ಸ್ವಲ್ಪ	ನನಗೆ ಸ್ವಲ್ಪ ದಣಿವು.	കുറച്ച്	എനിക്ക് കുറച്ച് ക്ഷീണം.	аздап	Мен аздап шаршадым.	ცოტა	ცოტა დაღლილი ვარ.	մի քիչ	Մի քիչ հոգնած եմ։
一些	කිහිපයක්; ටිකක්	මම ඇපල් කිහිපයක් මිලදී ගත්තා.	சில; கொஞ்சம்	நான் சில ஆப்பிள்கள் வாங்கினேன்.	కొన్ని; కొంచెం	నేను కొన్ని ఆపిల్లు కొనుగోలు చేశాను.	ಕೆಲವು; ಸ್ವಲ್ಪ	ನಾನು ಕೆಲವು ಸೇಬುಗಳನ್ನು ಕೊಂಡೆ.	ചില; കുറച്ച്	ഞാൻ ചില ആപ്പിളുകൾ വാങ്ങി.	бірнеше; аздап	Бірнеше алма сатып алдым.	რამდენიმე; ცოტა	რამდენიმე ვაშლი ვიყიდე.	մի քանի; մի քիչ	Մի քանի խնձոր գնեցի։
有的	සමහරක්	සමහර ශිෂ්‍යයෝ ගායනා කරන්න කැමතියි.	சிலர்; சிலவை	சில மாணவர்கள் பாட விரும்புகிறார்கள்.	కొంతమంది; కొన్ని	కొంతమంది విద్యార్థులు పాడడం ఇష్టపడతారు.	ಕೆಲವರು; ಕೆಲವು	ಕೆಲವರು ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಹಾಡುವುದು ಇಷ್ಟ.	ചിലർ; ചിലത്	ചില വിദ്യാർത്ഥികൾ പാടാൻ ഇഷ്ടപ്പെടുന്നു.	кейбір; кейбіреуі	Кейбір оқушылар ән айтқанды ұнатады.	ზოგი	ზოგ სტუდენტს სიმღერა უყვარს.	որոշ; մի քանիսը	Որոշ աշակերտներ սիրում են երգել։
有点儿	ටිකක්; සුළු වශයෙන්	අද ටිකක් සීතලයි.	சிறிது; கொஞ்சம்	இன்று கொஞ்சம் குளிராக உள்ளது.	కొంచెం	ఈరోజు కొంచెం చలి ఉంది.	ಸ್ವಲ್ಪ	ಇಂದು ಸ್ವಲ್ಪ ಚಳಿ ಇದೆ.	കുറച്ച്	ഇന്ന് കുറച്ച് തണുപ്പ്.	сәл; аздап	Бүгін сәл суық.	ცოტა	დღეს ცოტა ცივა.	մի քիչ	Այսօր մի քիչ ցուրտ է։
