simplified	MY	example_MY	KM	example_KM	LO	example_LO	NE	example_NE
一些	အချို့; နည်းနည်း	ပန်းသီးအချို့ ဝယ်ခဲ့တယ်။	ខ្លះ; បន្តិច	ខ្ញុំបានទិញផ្លែប៉ោមខ្លះ។	ບາງຢ່າງ; ໜ້ອຍໜຶ່ງ	ຂ້ອຍຊື້ໝາກແອັບເປິ້ນບາງອັນ.	केही; अलिकति	मैले केही स्याउ किनेँ।
有的	တချို့	တချို့ကျောင်းသားတွေ သီချင်းဆိုတာ ကြိုက်တယ်။	ខ្លះ	សិស្សខ្លះចូលចិត្តច្រៀង។	ບາງຄົນ; ບາງອັນ	ນັກຮຽນບາງຄົນມັກຮ້ອງເພງ.	केही; कतिपय	केही विद्यार्थी गाउन मन पराउँछन्।
有点儿	နည်းနည်း; အနည်းငယ်	ဒီနေ့ နည်းနည်း အေးတယ်။	បន្តិច; ខ្លះៗ	ថ្ងៃនេះត្រជាក់បន្តិច។	ໜ້ອຍໜຶ່ງ	ມື້ນີ້ໜາວໜ້ອຍໜຶ່ງ.	अलिकति; केही	आज अलिकति चिसो छ।
有些	တချို့; အချို့	တချို့စာအုပ်တွေက ဆရာ့ဆီမှာ ရှိတယ်။	ខ្លះ	សៀវភៅខ្លះនៅជាមួយគ្រូ។	ບາງອັນ; ບາງສ່ວນ	ປຶ້ມບາງອັນຢູ່ນຳຄູ.	केही; कतिपय	केही किताब शिक्षकसँग छन्।
雨	မိုး	ဒီနေ့ မိုးရွာနေတယ်။	ភ្លៀង	ថ្ងៃនេះភ្លៀងធ្លាក់។	ຝົນ	ມື້ນີ້ຝົນຕົກ.	वर्षा; पानी	आज पानी परिरहेको छ।
早	စော; မနက်	သူက မနက်တိုင်း အရမ်းစောစော ထတယ်။	ព្រឹក; ឆាប់	គាត់ក្រោកឆាប់ណាស់រៀងរាល់ព្រឹក។	ເຊົ້າ; ໄວ	ລາວຕື່ນເຊົ້າຫຼາຍທຸກເຊົ້າ.	चाँडो; बिहान	ऊ हरेक बिहान धेरै चाँडो उठ्छ।
早饭	မနက်စာ	မနက်စာမှာ နို့သောက်တယ်။	អាហារពេលព្រឹក	ពេលព្រឹកខ្ញុំផឹកទឹកដោះគោ។	ອາຫານເຊົ້າ	ອາຫານເຊົ້າຂ້ອຍດື່ມນົມ.	नास्ता; बिहानको खाना	नास्तामा म दूध पिउँछु।
怎么	ဘယ်လို	မင်း ကျောင်းကို ဘယ်လို သွားလဲ။	យ៉ាងដូចម្តេច	អ្នកទៅសាលាយ៉ាងដូចម្តេច?	ແນວໃດ	ເຈົ້າໄປໂຮງຮຽນແນວໃດ?	कसरी	तिमी विद्यालय कसरी जान्छौ?
这边	ဒီဘက်; ဒီနေရာ	ကျေးဇူးပြုပြီး ဒီဘက်ကို လာပါ။	ខាងនេះ; មកទីនេះ	សូមមកខាងនេះ។	ທາງນີ້; ທີ່ນີ້	ກະລຸນາມາທາງນີ້.	यता; यो छेउ	कृपया यता आऊ।
这个	ဒီဟာ; ဤဟာ	ဒီ baozi က အရမ်းအရသာရှိတယ်။	នេះ	baozi នេះឆ្ងាញ់ណាស់។	ອັນນີ້	baozi ອັນນີ້ແຊບຫຼາຍ.	यो	यो baozi धेरै स्वादिलो छ।
这里	ဒီမှာ	ဒီမှာ ကျွန်တော့်ကျောင်း ရှိတယ်။	នៅទីនេះ	សាលារបស់ខ្ញុំនៅទីនេះ។	ຢູ່ທີ່ນີ້	ໂຮງຮຽນຂອງຂ້ອຍຢູ່ທີ່ນີ້.	यहाँ	मेरो विद्यालय यहाँ छ।
这儿	ဒီမှာ	ဒီမှာ စားသောက်ဆိုင် ရှိတယ်။	នៅទីនេះ	នៅទីនេះមានភោជនីយដ្ឋាន។	ຢູ່ທີ່ນີ້	ຢູ່ທີ່ນີ້ມີຮ້ານອາຫານ.	यहाँ	यहाँ एउटा रेस्टुरेन्ट छ।
这些	ဒီဟာတွေ	ဒီတရုတ်အက္ခရာတွေက ရေးရတာ လွယ်တယ်။	ទាំងនេះ	អក្សរចិនទាំងនេះសរសេរងាយ។	ພວກນີ້	ຕົວອັກສອນຈີນພວກນີ້ຂຽນງ່າຍ.	यी	यी चिनियाँ अक्षरहरू लेख्न सजिला छन्।
只	တိရစ္ဆာန် သို့မဟုတ် အတွဲတစ်ဖက်အတွက် ရေတွက်စကားလုံး	စားပွဲအောက်မှာ ကြောင်တစ်ကောင် ရှိတယ်။	ពាក្យរាប់សម្រាប់សត្វឬរបស់មួយក្នុងគូ	ក្រោមតុមានឆ្មាមួយក្បាល។	ຄຳລັກສະນະນາມສຳລັບສັດຫຼືຂອງໃນຄູ່	ມີແມວໂຕໜຶ່ງຢູ່ໃຕ້ໂຕະ.	जनावर वा जोडीको एउटा वस्तुका लागि गणना शब्द	टेबलमुनि एउटा बिरालो छ।
中学	အလယ်တန်းကျောင်း; အထက်တန်းကျောင်း	အစ်ကိုက အလယ်တန်းကျောင်းမှာ တက်နေတယ်။	អនុវិទ្យាល័យ; វិទ្យាល័យ	បងប្រុសខ្ញុំរៀននៅសាលាមធ្យម។	ໂຮງຮຽນມັດທະຍົມ	ອ້າຍຂອງຂ້ອຍຮຽນຢູ່ໂຮງຮຽນມັດທະຍົມ.	माध्यमिक विद्यालय	मेरो दाइ माध्यमिक विद्यालयमा पढ्छ।
中学生	အလယ်တန်းကျောင်းသား	သူက အလယ်တန်းကျောင်းသူပါ။	សិស្សមធ្យមសិក្សា	នាងជាសិស្សមធ្យមសិក្សា។	ນັກຮຽນມັດທະຍົມ	ນາງເປັນນັກຮຽນມັດທະຍົມ.	माध्यमिक विद्यार्थी	उनी माध्यमिक विद्यालयकी विद्यार्थी हुन्।
字	စာလုံး; လက်ရေး	သူ့လက်ရေးက အရမ်းလှတယ်။	អក្សរ; អក្សរសរសេរ	អក្សរសរសេររបស់គាត់ស្អាតណាស់។	ຕົວອັກສອນ; ລາຍມື	ລາຍມືຂອງລາວງາມຫຼາຍ.	अक्षर; हस्तलेखन	उसको हस्तलेखन धेरै राम्रो छ।
做饭	ချက်ပြုတ်သည်	အဖေက မီးဖိုချောင်မှာ ချက်ပြုတ်နေတယ်။	ចម្អិនម្ហូប	ឪពុកកំពុងចម្អិនម្ហូបក្នុងផ្ទះបាយ។	ເຮັດອາຫານ; ແຕ່ງກິນ	ພໍ່ກຳລັງເຮັດອາຫານຢູ່ໃນຄົວ.	खाना पकाउनु	बुबा भान्सामा खाना पकाउँदै हुनुहुन्छ।
