simplified	HI	example_HI
杠杆	लेवरेज	इस निवेश में ऊँचा लेवरेज इस्तेमाल हुआ।
高超	उत्कृष्ट	उसकी कार मरम्मत की तकनीक उत्कृष्ट है।
高潮	चरम बिंदु	मैच आख़िरी दस मिनट में चरम बिंदु पर पहुँचा।
高峰	चरम समय	सुबह आठ बजे यातायात का चरम समय होता है।
高明	बुद्धिमान	यह उपाय सचमुच बहुत बुद्धिमान है।
高尚	उच्च	डॉक्टर की पेशेवर भावना बहुत उच्च है।
高涨	बढ़ना	दर्शकों का उत्साह लगातार बढ़ता गया।
稿件	पांडुलिपि	संपादक पांडुलिपि संशोधित कर रहा है।
告辞	विदा लेना	रात हो गई है, हम पहले विदा लेते हैं।
告诫	चेतावनी देना	शिक्षक ने छात्रों को नकल न करने की चेतावनी दी।
割	काटना	उसने गलती से अपनी उंगली काट ली।
搁	रखना	कृपया दस्तावेज़ मेज़ पर रख दें।
歌颂	प्रशंसा करना	इस कविता ने मज़दूरों की प्रशंसा की।
疙瘩	गाँठ	उसकी बाँह पर एक गाँठ निकल आई।
鸽子	कबूतर	चौक में बहुत कबूतर हैं।
格局	ढाँचा	इस फ़्लैट का ढाँचा बहुत व्यावहारिक है।
格式	प्रारूप	कृपया निर्धारित प्रारूप में फ़ॉर्म भरें।
隔阂	दूरी	गलतफ़हमी ने उनके बीच की दूरी बढ़ा दी।
隔离	अलग रखना	रोगी को अस्थायी रूप से अलग रखना होगा।
革命	क्रांति	इस क्रांति ने देश का भाग्य बदल दिया।
个体	व्यक्ति	हर व्यक्ति की अलग ज़रूरतें होती हैं।
各抒己见	अपनी-अपनी राय रखना	बैठक में सबने अपनी-अपनी राय रखी।
根深蒂固	गहराई से जड़ा हुआ	यह विचार पहले ही गहराई से जड़ चुका है।
根源	मूल कारण	गरीबी के मूल कारण बहुत जटिल हैं।
跟前	सामने	बच्चा दौड़कर माँ के सामने आ गया।
跟随	पीछे चलना	पत्रकार दल के पीछे पहाड़ी क्षेत्र में गया।
跟踪	नज़र रखना	पुलिस संदिग्ध की गतिविधियों पर नज़र रख रही है।
更新	अपडेट करना	प्रणाली आज रात अपने आप अपडेट होगी।
更正	सुधारना	अख़बार ने अगले दिन गलती सुधारी।
耕地	खेत जोतना	किसान वसंत में खेत जोत रहे हैं।
供不应求	माँग से कम आपूर्ति	यह दवा अभी माँग से कम उपलब्ध है।
供给	आपूर्ति	शहर को पानी और बिजली की स्थिर आपूर्ति चाहिए।
公安局	लोक सुरक्षा ब्यूरो	वह मामला दर्ज कराने लोक सुरक्षा ब्यूरो गया।
公道	न्यायपूर्ण	सब लोग न्यायपूर्ण व्यवहार की आशा करते हैं।
公告	सूचना	विद्यालय ने कक्षाएँ बंद करने की सूचना जारी की।
公关	जनसंपर्क	कंपनी ने पेशेवर जनसंपर्क टीम रखी।
公民	नागरिक	हर नागरिक को कानून का पालन करना चाहिए।
公然	खुलेआम	उसने खुलेआम प्रतियोगिता के नियम तोड़े।
公认	सर्वमान्य	वह सर्वमान्य रूप से उत्कृष्ट शिक्षक है।
公式	सूत्र	कृपया यह गणितीय सूत्र लिख लें।
公务	सरकारी काम	वह सरकारी काम से तीन दिन की यात्रा पर गया।
公正	निष्पक्ष	न्यायाधीश को निष्पक्ष रहना चाहिए।
公证	नोटरी प्रमाणन	इस दस्तावेज़ को नोटरी प्रमाणन चाहिए।
功劳	योगदान	इस सफलता में सबका योगदान है।
功效	प्रभावकारिता	इस दवा की प्रभावकारिता अभी जाँची जानी है।
宫殿	महल	पर्यटकों ने पुराने महल का दौरा किया।
工艺品	हस्तशिल्प	यह हस्तशिल्प हाथ से बनाया गया है।
恭敬	सम्मानपूर्वक	उसने बुज़ुर्ग को सम्मानपूर्वक नमस्कार किया।
攻击	हमला करना	हैकरों ने कंपनी की वेबसाइट पर हमला किया।
攻克	हल कर लेना	शोध दल ने तकनीकी कठिनाई हल कर ली।
巩固	मज़बूत करना	दोहराई सीखे हुए ज्ञान को मज़बूत कर सकती है।
共和国	गणराज्य	यह गणराज्य पिछली सदी में स्थापित हुआ।
共计	कुल मिलाकर	इस माल की खेप कुल मिलाकर तीन सौ डिब्बों की है।
共鸣	अनुनाद	इस गीत ने बहुत लोगों में अनुनाद पैदा किया।
勾结	मिलीभगत करना	उन्होंने बाहरी लोगों से मिलीभगत कर धन ठगा।
钩子	हुक	दीवार पर कई हुक लगे हैं।
构思	रूपरेखा बनाना	लेखक नए उपन्यास की रूपरेखा बना रहा है।
姑且	फ़िलहाल	फ़िलहाल इस योजना को एक सप्ताह आज़माते हैं।
孤独	अकेलापन	नए शहर में आने के बाद उसे अकेलापन महसूस हुआ।
孤立	अलग-थलग	इस समस्या को अलग-थलग करके मत देखो।
辜负	निराश करना	मैं माता-पिता की उम्मीदों को निराश नहीं करना चाहता।
古董	पुरातन वस्तु	दादा ने कुछ पुरातन वस्तुएँ जमा कीं।
古怪	अजीब	उसका विचार थोड़ा अजीब है।
股东	शेयरधारक	शेयरधारकों की बैठक अगले सप्ताह होगी।
股份	शेयर	उसके पास कंपनी के शेयर हैं।
骨干	मुख्य आधार	ये इंजीनियर टीम के मुख्य आधार हैं।
鼓动	उकसाना	किसी ने भीड़ को विरोध के लिए उकसाया।
固然	मानता हूँ	यह तरीका मानता हूँ सरल है, लेकिन जोखिम कम नहीं।
固体	ठोस	बर्फ़ पानी का ठोस रूप है।
固有	अंतर्निहित	हर संस्कृति की अपनी अंतर्निहित विशेषताएँ होती हैं।
固执	ज़िद्दी	वह बहुत ज़िद्दी है और सलाह सुनने को तैयार नहीं।
故乡	जन्मभूमि	कई साल बाद वह अपनी जन्मभूमि लौटा।
故障	खराबी	लिफ़्ट में खराबी आ गई और वह अस्थायी रूप से बंद है।
雇佣	नियुक्त करना	कंपनी ने अधिक तकनीकी कर्मचारियों को नियुक्त करने का फैसला किया।
顾虑	चिंता	तुम्हें जो भी चिंता हो, सीधे कह सकते हो।
顾问	सलाहकार	हमने एक कानूनी सलाहकार रखा।
拐杖	छड़ी	बुज़ुर्ग आदमी बाहर जाते समय अक्सर छड़ी साथ ले जाता है।
关怀	देखभाल	शिक्षक ने छात्रों को बहुत देखभाल दी।
关照	ध्यान रखना	कृपया रास्ते में बच्चे का ज़्यादा ध्यान रखना।
官方	आधिकारिक	आधिकारिक समाचार कल घोषित होगा।
观光	दर्शनीय यात्रा	पर्यटकों ने नाव से दर्शनीय यात्रा की।
管辖	अधिकार क्षेत्र में होना	यह क्षेत्र नगर सरकार के अधिकार क्षेत्र में है।
惯例	रिवाज	बैठक शुरू होने से पहले अतिथियों का परिचय देना रिवाज है।
灌溉	सिंचाई करना	किसान नदी के पानी से खेतों की सिंचाई करते हैं।
罐	डिब्बा	मेज़ पर चायपत्ती का एक डिब्बा रखा है।
贯彻	लागू करना	कंपनी को नए सुरक्षा मानक लागू करने होंगे।
光彩	चमक	इस पोशाक से वह बहुत चमकदार दिखी।
光辉	गौरवशाली	उसकी उपलब्धियों ने एक गौरवशाली पन्ना छोड़ा।
光芒	किरणें	सूरज की किरणों ने घाटी को रोशन कर दिया।
光荣	सम्मानजनक	देश की सेवा करना सम्मानजनक है।
广阔	विशाल	घास का मैदान अंतहीन फैला है और बहुत विशाल है।
归根到底	अंततः	अंततः समस्या प्रबंधन में है।
归还	लौटाना	कृपया पुस्तकें समय पर लौटाएँ।
规范	मानक	विद्यालय ने प्रयोगशाला प्रबंधन के लिए मानक बनाए।
规格	विशेषता	इस खेप के पुर्जों की विशेषताएँ एक जैसी नहीं हैं।
规划	योजना	शहरी योजना में यातायात पर विचार करना चाहिए।
规章	नियम	कर्मचारियों को कंपनी के नियमों का पालन करना होगा।
轨道	पटरी	ट्रेन पटरी पर आगे बढ़ती है।
贵族	कुलीन वर्ग	यह जागीर कभी कुलीन वर्ग की थी।
跪	घुटने टेकना	वह प्रतिमा के सामने घुटने टेककर बैठ गया।
棍棒	लाठी	पुलिस ने घटनास्थल की लाठियाँ ज़ब्त कर लीं।
国防	राष्ट्रीय रक्षा	राष्ट्रीय रक्षा निर्माण के लिए दीर्घकालिक निवेश चाहिए।
国务院	राज्य परिषद	राज्य परिषद ने नया नोटिस जारी किया।
果断	निर्णायक	नेता ने निर्णायक फैसला किया।
过度	अत्यधिक	मोबाइल का अत्यधिक उपयोग नींद को प्रभावित कर सकता है।
过渡	संक्रमण	कंपनी रूपांतरण के संक्रमण चरण में है।
过奖	अत्यधिक प्रशंसा	आप मेरी अत्यधिक प्रशंसा कर रहे हैं, मुझे अभी और सीखना है।
过滤	छानना	यह उपकरण अशुद्धियों को छान सकता है।
过失	गलती	यह दुर्घटना मानवीय गलती से हुई।
过问	दखल देना	प्रबंधक इन छोटी बातों में कम ही दखल देता है।
过瘾	मज़ा आना	यह मैच देखकर सचमुच मज़ा आ गया।
过于	बहुत अधिक	यह योजना बहुत अधिक जटिल है।
嗨	अरे	अरे, तुम भी यहाँ आ गए।
海拔	ऊँचाई	इस गाँव की समुद्र तल से ऊँचाई बहुत अधिक है।
海滨	समुद्र तट	उन्होंने सप्ताहांत समुद्र तट पर बिताया।
含糊	अस्पष्ट	उसका जवाब बहुत अस्पष्ट था।
含义	अर्थ	इस शब्द का विशेष अर्थ है।
寒暄	औपचारिक अभिवादन करना	मिलने के बाद उन्होंने पहले कुछ औपचारिक अभिवादन किए।
罕见	दुर्लभ	यह बीमारी बहुत दुर्लभ है।
捍卫	रक्षा करना	वकील ने पक्षकार के अधिकारों की रक्षा करने की कोशिश की।
航空	विमानन	विमानन कंपनी ने उड़ान रद्द कर दी।
航天	अंतरिक्ष उड़ान	चीन का अंतरिक्ष कार्यक्रम तेज़ी से विकसित हो रहा है।
航行	समुद्री यात्रा करना	जहाज़ समुद्र में यात्रा कर रहा है।
行列	पंक्ति	वह स्वयंसेवकों की पंक्ति में शामिल हुई।
毫米	मिलीमीटर	इस काँच की मोटाई पाँच मिलीमीटर है।
毫无	बिल्कुल नहीं	उसकी व्याख्या का बिल्कुल कोई आधार नहीं है।
豪迈	जोशीला	उसकी गायकी जोशीली और ताक़तवर थी।
号召	आह्वान करना	सरकार ने सबको पानी बचाने का आह्वान किया।
耗费	खर्च करना	इस परियोजना ने बहुत धन खर्च किया।
呵	डाँटना	पिता ने ज़ोर से डाँटा और बच्चा तुरंत रुक गया।
合并	विलय करना	दोनों कंपनियाँ अगले साल विलय करने की योजना बना रही हैं।
合成	कृत्रिम रूप से बनाना	यह सामग्री कृत्रिम रूप से बनाई जा सकती है।
合伙	साझेदारी करना	उन्होंने साझेदारी में एक रेस्तराँ खोला।
合算	फ़ायदेमंद	बस लेना टैक्सी से अधिक फ़ायदेमंद है।
和蔼	दयालु	यह डॉक्टर बहुत दयालु ढंग से बोलता है।
和解	समझौता	दोनों पक्षों ने अंततः समझौता कर लिया।
和睦	सौहार्दपूर्ण	पड़ोसी आपस में बहुत सौहार्दपूर्ण रहते हैं।
和气	मिलनसार	मालिक लोगों से बहुत मिलनसार व्यवहार करता है।
和谐	सामंजस्यपूर्ण	संगीत ने वातावरण को और सामंजस्यपूर्ण बना दिया।
嘿	अरे	अरे, तुमने सुन लिया।
痕迹	निशान	ज़मीन पर पहिए के निशान रह गए।
狠心	निर्दयी	उसने निर्दयता से दोस्त का अनुरोध ठुकरा दिया।
恨不得	काश तुरंत कर पाता	काश मैं तुरंत घर जाकर आराम कर पाता।
哼	नाक से आवाज़ निकालना	उसने नाराज़ होकर नाक से आवाज़ निकाली।
横	क्षैतिज	कृपया कागज़ पर एक क्षैतिज रेखा खींचें।
哄	ठहाका लगना	सब लोग एक साथ ठहाका लगाकर हँस पड़े।
烘	सेंकना	रोटी ओवन में सेंकी जा रही है।
轰动	सनसनी मचाना	इस खबर ने पूरे देश में सनसनी मचा दी।
宏观	व्यापक	हमें अर्थव्यवस्था का व्यापक दृष्टिकोण से विश्लेषण करना चाहिए।
宏伟	भव्य	इस पुल का डिज़ाइन बहुत भव्य है।
洪水	बाढ़	बाढ़ ने कई पुल बहा दिए।
喉咙	गला	वह बहुत बोल चुका है, इसलिए उसका गला थोड़ा दुख रहा है।
吼	गरजना	वह दूर की ओर ज़ोर से गरजा।
候选	उम्मीदवार	वह इस साल की उम्मीदवार प्रतिनिधि है।
后代	आने वाली पीढ़ी	हमें आने वाली पीढ़ियों के लिए पर्यावरण की रक्षा करनी चाहिए।
后顾之忧	भविष्य की चिंता	स्थिर आय ने उसकी भविष्य की चिंता दूर कर दी।
后勤	रसद	रसद विभाग सामग्री आपूर्ति के लिए ज़िम्मेदार है।
呼唤	पुकारना	माँ दरवाज़े पर बच्चे को पुकार रही थी।
呼啸	सीटी जैसी आवाज़ करना	ठंडी हवा खिड़की के बाहर सीटी जैसी आवाज़ कर रही थी।
呼吁	अपील करना	विशेषज्ञों ने सबको बर्बादी कम करने की अपील की।
忽略	अनदेखा करना	कृपया इस विवरण को अनदेखा न करें।
湖泊	झील	इस क्षेत्र में कई प्राकृतिक झीलें हैं।
胡乱	बेतरतीब	चीज़ों को ज़मीन पर बेतरतीब मत रखो।
胡须	दाढ़ी	उसकी दाढ़ी अब सफ़ेद हो चुकी है।
花瓣	पंखुड़ी	बारिश के बाद पंखुड़ियाँ पूरी ज़मीन पर गिर गईं।
花蕾	कली	वसंत में शाखाओं पर कलियाँ निकलती हैं।
华丽	भव्य	मंच पर कपड़े बहुत भव्य थे।
华侨	प्रवासी चीनी	कई प्रवासी चीनी निवेश करने अपने गृह क्षेत्र लौटे।
划分	विभाजित करना	शिक्षक ने छात्रों को चार समूहों में विभाजित किया।
化肥	रासायनिक खाद	किसानों ने फ़सलों में रासायनिक खाद डाली।
化石	जीवाश्म	संग्रहालय ने डायनासोर के जीवाश्म प्रदर्शित किए।
化验	प्रयोगशाला जाँच	डॉक्टर ने उसे रक्त की प्रयोगशाला जाँच कराने को कहा।
化妆	श्रृंगार करना	मंच पर जाने से पहले वह श्रृंगार कर रही थी।
画蛇添足	अनावश्यक जोड़ देना	और व्याख्या जोड़ना उल्टा अनावश्यक जोड़ देना होगा।
话筒	माइक्रोफ़ोन	संचालक ने माइक्रोफ़ोन दर्शक को दे दिया।
欢乐	आनंद	त्योहार का चौक आनंद से भरा था।
环节	चरण	प्रशिक्षण का हर चरण बहुत महत्वपूर्ण है।
还原	मूल स्थिति में लौटाना	कृपया सेटिंग्स को डिफ़ॉल्ट स्थिति में लौटा दें।
缓和	नरम पड़ना	दोनों पक्षों के संबंध धीरे-धीरे नरम पड़े।
患者	रोगी	डॉक्टर रोगी की स्थिति पूछ रहा है।
荒凉	वीरान	यह ज़मीन बहुत वीरान दिखती है।
荒谬	बेतुका	यह व्याख्या बहुत बेतुकी लगती है।
荒唐	हास्यास्पद	उसका फैसला बहुत हास्यास्पद था।
皇帝	सम्राट	सम्राट भव्य महल में रहता था।
皇后	महारानी	महारानी समारोह में शामिल हुई।
黄昏	साँझ	साँझ के समय सड़क की बत्तियाँ जल उठीं।
恍然大悟	अचानक समझ जाना	व्याख्या सुनकर वह अचानक समझ गया।
晃	झलकना	एक झलक में वह आँखों के सामने से गायब हो गया।
挥霍	उड़ाना	उसे माता-पिता का पैसा यूँ नहीं उड़ाना चाहिए।
辉煌	गौरवशाली	इस शहर का इतिहास गौरवशाली है।
回报	प्रतिफल	मेहनत का अंततः प्रतिफल मिलेगा।
回避	टालना	वह लगातार इस मुद्दे को टालता रहा।
回顾	समीक्षा करना	बैठक के अंत में पूरे वर्ष के काम की समीक्षा हुई।
回收	रीसायकल करना	आवासीय क्षेत्र ने पुरानी बैटरियाँ रीसायकल करना शुरू किया।
悔恨	पछतावा	उसे पिछली गलतियों पर पछतावा हुआ।
毁灭	नष्ट करना	युद्ध ने इस शहर को लगभग नष्ट कर दिया।
会晤	मुलाक़ात करना	दो देशों के नेता कल मुलाक़ात करेंगे।
汇报	रिपोर्ट देना	उसने प्रबंधक को प्रगति की रिपोर्ट दी।
贿赂	रिश्वत	अधिकारी की रिश्वत के कारण जाँच हुई।
昏迷	कोमा	रोगी अभी भी कोमा की स्थिति में है।
荤	मांसाहारी	यह व्यंजन मांसाहारी है, शाकाहारियों के लिए उपयुक्त नहीं।
浑身	पूरे शरीर पर	दौड़ने के बाद उसके पूरे शरीर पर पसीना था।
混合	मिलाना	कृपया दोनों सामग्रियों को अच्छी तरह मिलाएँ।
混乱	अराजकता	घटनास्थल कुछ समय के लिए बहुत अराजक था।
混淆	गड़बड़ाना	इन दोनों अवधारणाओं को मत गड़बड़ाओ।
混浊	मटमैला	बारिश के बाद नदी का पानी मटमैला हो गया।
活该	ठीक ही हुआ	उसने सलाह नहीं मानी, असफल होना ठीक ही हुआ।
活力	जीवंतता	यह शहर जीवंतता से भरा है।
火箭	रॉकेट	रॉकेट सफलतापूर्वक निर्धारित कक्षा में पहुँच गया।
火焰	लपट	हवा ने लपटों को और ऊँचा कर दिया।
火药	बारूद	बारूद ने प्राचीन युद्ध का तरीका बदल दिया।
货币	मुद्रा	मुद्रा नीति आर्थिक विकास को प्रभावित करती है।
基地	अड्डा	यहाँ कभी महत्वपूर्ण प्रशिक्षण अड्डा था।
基金	कोष	विद्यालय ने छात्रवृत्ति कोष स्थापित किया।
基因	जीन	वैज्ञानिक इस जीन का अध्ययन कर रहे हैं।
机动	गतिशील	यह दल उच्च गतिशीलता बनाए रखता है।
机构	संस्था	यह संस्था गुणवत्ता जाँच की ज़िम्मेदार है।
机灵	चतुर	यह बच्चा बहुत चतुर है।
机密	गोपनीय	ये सामग्री गोपनीय है।
机械	मशीनरी	कारखाने ने नई मशीनरी लाई।
机遇	अवसर	युवाओं को अवसर पकड़ने चाहिए।
机智	हाज़िरजवाब	उसका जवाब बहुत हाज़िरजवाब था।
激发	जगाना	शिक्षक ने छात्रों की रुचि जगाई।
激励	प्रोत्साहित करना	इस सफलता ने पूरी टीम को प्रोत्साहित किया।
激情	जोश	वह भाषण देते समय जोश से भरा था।
讥笑	उपहास करना	दूसरों की गलतियों का उपहास मत करो।
饥饿	भूख	लंबे समय की भूख स्वास्थ्य को प्रभावित कर सकती है।
即便	भले ही	भले ही बारिश हो, हम समय पर निकलेंगे।
即将	जल्द ही	बैठक जल्द ही शुरू होने वाली है।
及早	जल्द से जल्द	समस्या मिले तो जल्द से जल्द निपटाना चाहिए।
吉祥	शुभ	चीन में लाल रंग अक्सर शुभता का प्रतीक है।
嫉妒	ईर्ष्या करना	उसे सहकर्मी की सफलता से ईर्ष्या नहीं करनी चाहिए।
急功近利	तुरंत लाभ चाहना	शोध में तुरंत लाभ चाहने वाली सोच नहीं होनी चाहिए।
急剧	तेज़ी से	बिक्री तेज़ी से गिर गई।
急切	उतावला	वह समाचार की उतावलेपन से प्रतीक्षा कर रही थी।
急于求成	जल्दी सफलता चाहना	भाषा सीखते समय जल्दी सफलता नहीं चाहनी चाहिए।
急躁	अधीर	कठिनाई मिलने पर अधीर मत हो।
极端	चरम	इस तरह का चरम मौसम अधिक सामान्य होता जा रहा है।
极限	सीमा	इस प्रशिक्षण ने उसकी सीमा को चुनौती दी।
疾病	रोग	अच्छी आदतें रोगों को रोक सकती हैं।
籍贯	मूल स्थान	फ़ॉर्म में मूल स्थान भरना आवश्यक है।
级别	स्तर	यह प्रतियोगिता तीन स्तरों में बाँटी गई है।
集团	समूह	इस समूह की विदेश में शाखाएँ हैं।
给予	देना	विद्यालय गरीब छात्रों को सहायता देता है।
季军	तीसरा स्थान	उसने प्रतियोगिता में तीसरा स्थान पाया।
季度	तिमाही	कंपनी हर तिमाही वित्तीय रिपोर्ट जारी करती है।
寂静	शांत	रात में घाटी विशेष रूप से शांत होती है।
寄托	आशा रखना	उसने अपनी आशा बच्चे पर रखी।
忌讳	वर्जित मानना	स्थानीय लोग खाने की मेज़ पर इस बात पर चर्चा को वर्जित मानते हैं।
技巧	तकनीक	तकनीक में महारत दक्षता बढ़ा सकती है।
纪要	बैठक सारांश	सचिव ने बैठक सारांश तैयार किया।
继承	विरासत में लेना	उसने पिता का व्यवसाय विरासत में लिया।
计较	छोटी बात पर उलझना	इतनी छोटी बात पर मत उलझो।
记性	याददाश्त	उसकी याददाश्त बहुत अच्छी है।
记载	दर्ज करना	इतिहास की पुस्तकों में इस युद्ध को दर्ज किया गया है।
迹象	संकेत	इस समय सुधार का कोई संकेत नहीं है।
佳肴	स्वादिष्ट व्यंजन	मेज़ स्वादिष्ट व्यंजनों से भरी थी।
加工	प्रसंस्करण करना	इन कच्चे माल का आगे प्रसंस्करण करना होगा।
加剧	तेज़ होना	विरोधाभास तेज़ हो रहा है।
夹杂	मिला होना	बारिश की आवाज़ में गरज की आवाज़ मिली हुई थी।
家常	घरेलू	मुझे घरेलू खाना पसंद है।
家伙	आदमी	वह आदमी हमेशा देर से आता है।
家属	परिजन	डॉक्टर ने रोगी के परिजनों को सूचित किया।
家喻户晓	घर-घर में प्रसिद्ध	यह कहानी घर-घर में प्रसिद्ध है।
坚定	दृढ़	उसका रवैया बहुत दृढ़ है।
坚固	मज़बूत	यह पुल बहुत मज़बूत है।
坚韧	लचीला और दृढ़	उसका चरित्र लचीला और दृढ़ है।
坚实	ठोस	इस शोध का आधार ठोस है।
坚硬	कठोर	यह पत्थर बहुत कठोर है।
尖端	अग्रणी	कंपनी अग्रणी तकनीक में निवेश करती है।
尖锐	तीखा	यह मुद्दा बहुत तीखा है।
煎	तलना	रसोइया मछली तल रहा है।
监督	निगरानी	जनता की निगरानी काम सुधारने में मदद करती है।
监视	निगरानी करना	पुलिस संदिग्ध की निगरानी कर रही है।
监狱	जेल	वह जेल में सज़ा काट रहा है।
艰难	कठिन	व्यवसाय शुरू करने की शुरुआती अवस्था बहुत कठिन होती है।
剪彩	फीता काटना	महापौर ने नए पुस्तकालय का फीता काटा।
拣	चुनना	उसने टोकरी में से कुछ सेब चुने।
检讨	आत्मसमीक्षा करना	उसने अपनी गलतियों की गंभीर आत्मसमीक्षा की।
检验	जाँचना	प्रयोग इस परिकल्पना को जाँच सकता है।
简化	सरल बनाना	कृपया प्रक्रिया को और सरल बनाएँ।
简陋	सादा और अपर्याप्त	वे एक सादे और अपर्याप्त छोटे घर में रहते थे।
简体字	सरलीकृत चीनी अक्षर	यह पाठ्यपुस्तक सरलीकृत चीनी अक्षरों का उपयोग करती है।
简要	संक्षिप्त	कृपया अपना विचार संक्षेप में बताइए।
健全	सुदृढ़ बनाना	कंपनी को प्रबंधन व्यवस्था सुदृढ़ करनी होगी।
剑	तलवार	दीवार पर एक प्राचीन तलवार टंगी थी।
溅	छींटे पड़ना	बारिश का पानी उसकी पैंट पर छींटे मार गया।
舰艇	नौसैनिक पोत	कई नौसैनिक पोत अभ्यास में शामिल हुए।
见多识广	अनुभवी और ज्ञानवान	यह बुज़ुर्ग बहुत अनुभवी और ज्ञानवान है।
见解	दृष्टिकोण	इस समस्या पर उसका अनूठा दृष्टिकोण है।
见闻	देखा-सुना अनुभव	यात्रा ने उसका देखा-सुना अनुभव बढ़ाया।
见义勇为	न्याय के लिए साहस दिखाना	न्याय के लिए साहस दिखाने पर उसकी प्रशंसा हुई।
践踏	रौंदना	लॉन को मत रौंदो।
鉴别	पहचानना	विशेषज्ञ इस चित्र की असलियत पहचान सकता है।
鉴定	पहचान-पुष्टि करना	पुलिस उँगलियों के निशान की पहचान-पुष्टि कर रही है।
鉴于	को देखते हुए	खराब मौसम को देखते हुए कार्यक्रम स्थगित कर दिया गया।
间谍	जासूस	यह फ़िल्म जासूसों की कहानी बताती है।
间隔	अंतराल	दो बैठकों के बीच एक सप्ताह का अंतराल है।
间接	अप्रत्यक्ष	यह नीति अप्रत्यक्ष प्रभाव पैदा करेगी।
僵硬	अकड़ा हुआ	उसकी मुस्कान बहुत अकड़ी हुई लगी।
将军	जनरल	जनरल ने आदेश दिया।
将近	लगभग	यह परियोजना लगभग दो वर्ष चली।
将就	काम चला लेना	स्थितियाँ अच्छी नहीं हैं, हमें थोड़ा काम चला लेना होगा।
奖励	पुरस्कृत करना	विद्यालय ने उत्कृष्ट छात्रों को पुरस्कृत किया।
奖赏	इनाम	राजा ने योद्धा को बड़ा इनाम दिया।
桨	चप्पू	नाविक ने चप्पू से नाव को किनारे की ओर बढ़ाया।
降临	उतरना	रात धीरे-धीरे शहर पर उतर आई।
交叉	कटना	दो सड़कें यहाँ एक-दूसरे को काटती हैं।
交代	स्पष्ट सौंपना	कृपया कार्य स्पष्ट रूप से सौंपें।
交涉	बातचीत करना	दोनों पक्ष मुआवज़े के मुद्दे पर बातचीत कर रहे हैं।
交易	लेन-देन	यह लेन-देन पूरा हो चुका है।
娇气	नाज़ुकमिज़ाज	इतने नाज़ुकमिज़ाज मत बनो, मौसम ठंडा नहीं है।
焦点	केंद्रबिंदु	रोज़गार का मुद्दा चर्चा का केंद्रबिंदु बन गया।
焦急	चिंतित	माँ बच्चे के लौटने का चिंतित होकर इंतज़ार कर रही थी।
侥幸	किस्मत से बचना	वह किस्मत से बड़ी मुसीबत से बच गया।
搅拌	मिलाना	कृपया घोल को समान रूप से मिलाएँ।
缴纳	भुगतान करना	निवासियों को पानी का शुल्क समय पर भुगतान करना होगा।
角落	कोना	बिल्ली कमरे के कोने में छिपी थी।
教养	संस्कार	अच्छे संस्कार विवरणों में दिखते हैं।
较量	मुकाबला करना	दो मज़बूत टीमें जल्द मुकाबला करेंगी।
接连	लगातार	उसे लगातार तीन ईमेल मिले।
揭露	उजागर करना	पत्रकार ने खाद्य सुरक्षा की समस्या उजागर की।
皆	सभी	ये नियम सभी को पता हैं।
阶层	वर्ग	अलग-अलग वर्गों की अलग-अलग ज़रूरतें होती हैं।
截止	समाप्त होना	पंजीकरण कल दोपहर समाप्त होगा।
截至	तक	आज तक दो सौ लोग पंजीकरण कर चुके हैं।
杰出	उत्कृष्ट	वह एक उत्कृष्ट वैज्ञानिक है।
竭尽全力	पूरी कोशिश करना	हम कार्य पूरा करने की पूरी कोशिश करेंगे।
结晶	सार-फल	यह उपलब्धि वर्षों की मेहनत का सार-फल है।
结局	अंत	कहानी का अंत अप्रत्याशित था।
结算	हिसाब चुकाना	ग्राहक ने महीने के अंत में खर्चों का हिसाब चुकाने को कहा।
节制	संयम	भोजन में संयम रखना चाहिए।
节奏	लय	इस गीत की लय बहुत तेज़ है।
解除	हटा देना	कंपनी ने सुरक्षा चेतावनी हटा दी।
解放	मुक्त करना	सुधारों ने उत्पादकता को मुक्त किया।
解雇	नौकरी से निकालना	मालिक ने उस कर्मचारी को नौकरी से निकालने का निर्णय लिया।
解剖	शरीर-विच्छेदन	चिकित्सा छात्र शरीर-विच्छेदन सीख रहे हैं।
解散	भंग होना	बैठक समाप्त होने के बाद दल भंग हो गया।
解体	विघटित होना	वह गठबंधन अंततः विघटित हो गया।
借鉴	सीख लेकर अपनाना	हम विदेशी अनुभव से सीख लेकर अपना सकते हैं।
