simplified	PL	example_PL	NL	example_NL	SV	example_SV	NO	example_NO
放弃	zrezygnować; porzucić	Zrezygnowałem z okazji studiowania za granicą.	opgeven; afzien van	Ik heb de kans om in het buitenland te studeren opgegeven.	ge upp; avstå från	Jag gav upp möjligheten att studera utomlands.	gi opp; avstå fra	Jeg ga opp muligheten til å studere i utlandet.
放暑假	mieć wakacje letnie	Od jutra zaczynają się wakacje letnie.	zomervakantie hebben	De zomervakantie begint morgen.	ha sommarlov	Sommarlovet börjar i morgon.	ha sommerferie	Sommerferien begynner i morgen.
放松	zrelaksować się; rozluźnić	Egzamin się skończył, musimy się zrelaksować.	ontspannen	Het examen is voorbij, we moeten ontspannen.	slappna av	Provet är över, vi behöver slappna av.	slappe av	Eksamen er over, vi må slappe av.
份	część; porcja	Proszę wyślij mi faks.	het deel; de portie	Stuur me alstublieft een fax.	en del; en portion	Skicka mig en fax, tack.	en del; en porsjon	Vennligst send meg en faks.
丰富	bogaty; obfity	Czytanie może wzbogacić nasze życie.	rijk; overvloedig	Lezen kan ons leven verrijken.	rik; riklig	Läsning kan berika våra liv.	rik; rikelig	Lesing kan berike livet vårt.
否则	w przeciwnym razie	Chodźmy teraz, w przeciwnym razie się spóźnimy.	anders; zo niet	Laten we nu gaan, anders komen we te laat.	annars	Vi går nu, annars kommer vi för sent.	ellers	La oss gå nå, ellers kommer vi for sent.
符合	odpowiadać; być zgodnym z	Ona bardzo dobrze spełnia nasze kryteria rekrutacji.	voldoen aan; overeenkomen met	Zij voldoet heel goed aan onze wervingscriteria.	stämma överens med; uppfylla	Hon uppfyller våra rekryteringskriterier mycket väl.	oppfylle; stemme overens med	Hun oppfyller rekrutteringskriteriene våre veldig godt.
付款	płacić; płatność	Za zakupy można zapłacić online.	betalen; de betaling	Winkelen kan online worden betaald.	betala; en betalning	Shopping kan betalas online.	betale; en betaling	Shopping kan betales på nettet.
复印	kserować; kopiować dokument	Proszę zrobić dwie kopie tego materiału.	fotokopiëren; kopiëren	Maak alstublieft twee kopieën van dit materiaal.	kopiera; fotokopiera	Kopiera det här materialet i två exemplar, tack.	kopiere; ta kopi	Vennligst ta to kopier av dette materialet.
复杂	skomplikowany; złożony	To skomplikowany problem techniczny.	ingewikkeld; complex	Dit is een ingewikkeld technisch probleem.	komplicerad; komplex	Det här är ett komplicerat tekniskt problem.	komplisert; kompleks	Dette er et komplisert teknisk problem.
富	bogaty	Życie ludzi staje się coraz bogatsze.	rijk	Het leven van mensen wordt steeds rijker.	rik	Människors liv blir allt rikare.	rik	Folks liv blir stadig rikere.
父亲	ojciec	Mój ojciec ma w tym roku osiemdziesiąt trzy lata.	de vader	Mijn vader is dit jaar drieëntachtig jaar oud.	en far	Min far är åttiotre år i år.	en far	Faren min er åttitre år i år.
负责	odpowiedzialny; odpowiadać za	Xiao Li jest bardzo odpowiedzialny.	verantwoordelijk zijn; verantwoordelijk	Xiao Li is erg verantwoordelijk.	ansvara för; ansvarig	Xiao Li är mycket ansvarsfull.	være ansvarlig; ansvarlig	Xiao Li er veldig ansvarlig.
改变	zmieniać; zmiana	Zmieniłem swój plan.	veranderen; de verandering	Ik heb mijn plan veranderd.	förändra; ändra	Jag har ändrat min plan.	endre; forandre	Jeg har endret planen min.
干杯	na zdrowie; wznieść toast	Wesołych świąt wszystkim, na zdrowie!	proost; een toost uitbrengen	Fijne feestdagen allemaal, proost!	skål; utbringa en skål	Trevlig helg allihop, skål!	skål; utbringe en skål	God høytid alle sammen, skål!
感动	wzruszyć; wzruszający	Jego słowa bardzo mnie wzruszyły.	ontroeren; ontroerd	Zijn woorden ontroerden me erg.	röra; beröra känslomässigt	Hans ord rörde mig mycket.	røre; bevege	Hans ord rørte meg veldig.
感觉	czuć; odczucie	Dzisiaj czuję trochę zimna.	voelen; het gevoel	Ik heb het vandaag een beetje koud.	känna; en känsla	Jag känner mig lite kall i dag.	føle; en følelse	Jeg føler meg litt kald i dag.
感情	uczucie; emocje	Relacja między nimi jest bardzo dobra.	het gevoel; de emotie	De relatie tussen hen is erg goed.	en känsla; en relation	Relationen mellan dem är mycket god.	en følelse; et forhold	Forholdet mellom dem er veldig godt.
感谢	dziękować; być wdzięcznym	Dziękuję za twoją pomoc.	bedanken; dankbaar zijn	Bedankt voor je hulp.	tacka; vara tacksam	Tack för din hjälp.	takke; være takknemlig	Takk for hjelpen.
敢	odważyć się	Nie odważę się iść sam.	durven	Ik durf niet alleen te gaan.	våga	Jag vågar inte gå ensam.	tørre	Jeg tør ikke gå alene.
赶	zdążyć; pośpieszyć się	Dziękuję, że zdążyłeś przyjść mi pomóc.	haasten; op tijd komen	Bedankt dat je op tijd kwam om me te helpen.	hinna; skynda sig	Tack för att du hann komma och hjälpa mig.	rekke; skynde seg	Takk for at du rakk å komme og hjelpe meg.
干	robić; pracować	Co robisz?	doen; werken	Wat ben je aan het doen?	göra; arbeta	Vad gör du?	gjøre; jobbe	Hva gjør du?
刚	właśnie; dopiero	Proszę wybacz to, co właśnie powiedziałem.	net; zojuist	Vergeef me alstublieft wat ik zojuist zei.	just; nyss	Förlåt mig för det jag just sa.	akkurat; nettopp	Vennligst tilgi det jeg nettopp sa.
高速公路	autostrada; droga ekspresowa	Zbudowano tu nową autostradę.	de snelweg	Hier is een nieuwe snelweg aangelegd.	en motorväg	En ny motorväg har byggts här.	en motorvei	Det er bygget en ny motorvei her.
胳膊	ramię; ręka	Jego ramię trochę boli.	de arm	Zijn arm doet een beetje pijn.	en arm	Han har lite ont i armen.	en arm	Armen hans gjør litt vondt.
各	każdy; poszczególny	W supermarkecie są różne owoce.	ieder; elk	Er zijn allerlei soorten fruit in de supermarkt.	varje; olika	Det finns olika sorters frukt i snabbköpet.	hver; ulike	Det finnes ulike frukter i supermarkedet.
公里	kilometr	Odległość między tymi dwoma miastami wynosi trzysta kilometrów.	de kilometer	De afstand tussen de twee steden is driehonderd kilometer.	en kilometer	Avståndet mellan de två städerna är trehundra kilometer.	en kilometer	Avstanden mellom de to byene er tre hundre kilometer.
功夫	umiejętność; kung-fu	Ostatnio uczę się chińskiego kung-fu.	de vaardigheid; kungfu	Ik leer de laatste tijd Chinese kungfu.	en skicklighet; kung fu	Jag lär mig kinesisk kung fu på sistone.	ferdighet; kung fu	Jeg lærer kinesisk kung fu for tiden.
工资	pensja; płaca	Jego nowa praca jest dobrze płatna.	het loon; het salaris	Zijn nieuwe baan betaalt goed.	en lön	Hans nya jobb är välbetalt.	en lønn	Den nye jobben hans er godt betalt.
共同	wspólny; razem	Mamy wspólny cel.	gemeenschappelijk; gezamenlijk	We hebben een gemeenschappelijk doel.	gemensam; gemensamt	Vi har ett gemensamt mål.	felles; sammen	Vi har et felles mål.
够	wystarczać; wystarczająco	Dzisiaj jest wystarczająco zimno.	genoeg zijn; genoeg	Het is vandaag koud genoeg.	räcka; tillräckligt	Det är tillräckligt kallt i dag.	være nok; nok	Det er kaldt nok i dag.
购物	zakupy	Za zakupy można zapłacić online.	het winkelen; boodschappen doen	Winkelen kan online worden betaald.	shopping; att handla	Shopping kan betalas online.	shopping; å handle	Shopping kan betales på nettet.
估计	szacować; przypuszczać	Przypuszczam, że dotarli już na lotnisko.	schatten; vermoeden	Ik denk dat ze al op de luchthaven zijn aangekomen.	uppskatta; gissa	Jag antar att de har kommit fram till flygplatsen.	anslå; anta	Jeg antar at de har kommet fram til flyplassen.
鼓励	zachęcać; dodawać otuchy	Rodzice powinni dawać dzieciom więcej zachęty.	aanmoedigen	Ouders moeten hun kinderen meer aanmoediging geven.	uppmuntra	Föräldrar bör ge sina barn mer uppmuntran.	oppmuntre	Foreldre bør gi barna mer oppmuntring.
故意	celowo; umyślnie	Przepraszam, nie zrobiłem tego celowo.	opzettelijk; expres	Sorry, ik deed het niet expres.	avsiktligt; med flit	Förlåt, jag gjorde det inte med flit.	med vilje; bevisst	Beklager, jeg gjorde det ikke med vilje.
顾客	klient	Liczba klientów zmniejszyła się o jedną trzecią.	de klant	Het aantal klanten is met een derde afgenomen.	en kund	Antalet kunder har minskat med en tredjedel.	en kunde	Antallet kunder har gått ned med en tredjedel.
挂	wieszać; rozłączyć się	Proszę jeszcze się nie rozłączać.	ophangen; neerleggen	Hang alstublieft nog niet op.	hänga; lägga på	Lägg inte på än, tack.	henge; legge på	Ikke legg på ennå.
关键	kluczowy punkt; sedno	To nie jest sedno problemu.	de kern; het sleutelpunt	Dit is niet de kern van het probleem.	en nyckelpunkt; kärnan	Det här är inte problemets kärna.	et nøkkelpunkt; kjernen	Dette er ikke kjernen i problemet.
观众	publiczność	Witajcie, przyjaciele przed telewizorami.	het publiek	Hallo, vrienden voor de televisie.	en publik	Hej, vänner framför tv:n.	et publikum	Hei, venner foran TV-en.
管理	zarządzać; administrować	Kto teraz zarządza tym domem?	beheren; managen	Wie beheert dit huis nu?	hantera; förvalta	Vem sköter det här huset nu?	administrere; styre	Hvem administrerer dette huset nå?
光	światło; blask	Dzisiaj światło słoneczne jest mocne.	het licht; de helderheid	Het zonlicht is vandaag sterk.	ljus; sken	Solljuset är starkt i dag.	lys; klarhet	Sollyset er sterkt i dag.
广播	radio; audycja	Dziadek słucha radia.	de radio; de uitzending	Opa luistert naar de radio.	en radio; en sändning	Farfar lyssnar på radio.	en radio; en sending	Bestefar hører på radio.
广告	reklama	Zobaczyłem waszą reklamę w gazecie.	de advertentie; de reclame	Ik zag jullie advertentie in de krant.	en annons; reklam	Jag såg er annons i tidningen.	en annonse; reklame	Jeg så annonsen deres i avisen.
逛	spacerować; chodzić po sklepach	W ten weekend chodźmy pochodzić po centrum handlowym.	rondlopen; winkelen	Laten we dit weekend in het winkelcentrum rondkijken.	strosa; gå runt	Vi går och tittar runt i köpcentret i helgen.	spasere rundt; gå på shopping	La oss gå rundt på kjøpesenteret denne helgen.
规定	przepis; ustalać	Szkoła ma własne zasady.	de regel; bepalen	De school heeft haar eigen regels.	en regel; föreskriva	Skolan har sina egna regler.	en regel; fastsette	Skolen har sine egne regler.
国籍	obywatelstwo; narodowość	Proszę wpisać swoje obywatelstwo w formularzu.	de nationaliteit	Vul alstublieft uw nationaliteit in op het formulier.	en nationalitet	Fyll i din nationalitet på blanketten.	en nasjonalitet	Vennligst fyll inn nasjonaliteten din i skjemaet.
国际	międzynarodowy	To jest międzynarodowe spotkanie.	internationaal	Dit is een internationale bijeenkomst.	internationell	Det här är ett internationellt möte.	internasjonal	Dette er et internasjonalt møte.
果汁	sok owocowy	Chciałbym wypić szklankę soku.	het vruchtensap	Ik wil graag een glas sap drinken.	en fruktjuice	Jag skulle vilja dricka ett glas juice.	en fruktjuice	Jeg vil gjerne drikke et glass juice.
过程	proces; przebieg	Proces uczenia się jest ważny.	het proces; het verloop	Het leerproces is belangrijk.	en process	Lärprocessen är viktig.	en prosess	Læringsprosessen er viktig.
海洋	ocean	Większość powierzchni Ziemi to ocean.	de oceaan	Het grootste deel van het aardoppervlak is oceaan.	ett hav; ocean	Större delen av jordens yta är hav.	et hav; osean	Det meste av jordens overflate er hav.
害羞	nieśmiały; zawstydzony	Była trochę nieśmiała, gdy pierwszy raz weszła na scenę.	verlegen; blozen	Ze was een beetje verlegen toen ze voor het eerst op het podium stond.	blyg; rodna	Hon var lite blyg första gången hon stod på scen.	sjenert; rødme	Hun var litt sjenert første gang hun sto på scenen.
寒假	ferie zimowe	Chcę podróżować na południe podczas ferii zimowych.	de wintervakantie	Ik wil tijdens de wintervakantie naar het zuiden reizen.	ett vinterlov	Jag vill resa söderut under vinterlovet.	en vinterferie	Jeg vil reise sørover i vinterferien.
汗	pot	Jest gorąco, więc wytrzyj pot ręcznikiem.	het zweet	Het is warm, dus veeg je zweet af met een handdoek.	svett	Det är varmt, så torka bort svetten med en handduk.	svette	Det er varmt, så tørk av svetten med et håndkle.
航班	lot; numer lotu	Witamy na tym locie.	de vlucht; het vluchtnummer	Welkom op deze vlucht.	en flygning; ett flightnummer	Välkommen ombord på den här flygningen.	en flygning; et flynummer	Velkommen om bord på denne flygningen.
好处	korzyść; zaleta	Dużo czytania ma wiele korzyści.	het voordeel	Veel lezen heeft veel voordelen.	en fördel	Att läsa mycket har många fördelar.	en fordel	Å lese mye har mange fordeler.
好像	jakby; wydaje się	Wydaje się, że między nami jest nieporozumienie.	lijken; alsof	Er lijkt een misverstand tussen ons te zijn.	verka; som om	Det verkar finnas ett missförstånd mellan oss.	virke som; som om	Det ser ut til å være en misforståelse mellom oss.
号码	numer	Proszę podaj mi swój numer telefonu.	het nummer	Geef me alstublieft uw telefoonnummer.	ett nummer	Ge mig ditt telefonnummer, tack.	et nummer	Vennligst gi meg telefonnummeret ditt.
合格	kwalifikowany; zgodny z normą	Ten produkt spełnia normy jakości.	gekwalificeerd; voldoen aan de norm	Dit product voldoet aan de kwaliteitsnorm.	kvalificerad; godkänd	Den här produkten uppfyller kvalitetsstandarden.	kvalifisert; godkjent	Dette produktet oppfyller kvalitetsstandarden.
合适	odpowiedni; pasujący	Ta para butów dobrze pasuje.	geschikt; passend	Dit paar schoenen past goed.	lämplig; passande	Det här paret skor passar bra.	passende; egnet	Dette paret sko passer godt.
盒子	pudełko	Pudełko jest puste i nic w nim nie ma.	de doos	De doos is leeg, er zit niets in.	en låda	Lådan är tom och det finns ingenting i den.	en eske	Boksen er tom, og det er ingenting i den.
厚	gruby	Ta książka jest gruba.	dik	Dit boek is dik.	tjock	Den här boken är tjock.	tykk	Denne boken er tykk.
后悔	żałować	Żałuję, że nie powiedziałem ci wcześniej.	spijt hebben	Ik heb er spijt van dat ik het je niet eerder heb verteld.	ångra	Jag ångrar att jag inte berättade det för dig tidigare.	angre	Jeg angrer på at jeg ikke fortalte deg det tidligere.
互联网	Internet	Internet przyniósł ludziom wiele wygody.	het internet	Het internet heeft veel gemak in het leven van mensen gebracht.	internet	Internet har gett människors liv mycket bekvämlighet.	internett	Internett har gjort livet mye mer praktisk for folk.
互相	wzajemnie; nawzajem	My dwoje musimy wspierać się nawzajem.	elkaar; wederzijds	Wij tweeën moeten elkaar steunen.	varandra; ömsesidigt	Vi två måste stödja varandra.	hverandre; gjensidig	Vi to må støtte hverandre.
护士	pielęgniarka	Pielęgniarka robi pacjentowi zastrzyk.	de verpleegkundige	De verpleegkundige geeft de patiënt een injectie.	en sjuksköterska	Sjuksköterskan ger patienten en spruta.	en sykepleier	Sykepleieren gir pasienten en sprøyte.
怀疑	podejrzewać; wątpić	Podejrzewam, że zapomniał, że dzisiaj jest spotkanie.	vermoeden; twijfelen	Ik vermoed dat hij vergeten is dat er vandaag een vergadering is.	misstänka; tvivla	Jag misstänker att han glömde att det är möte i dag.	mistenke; tvile	Jeg mistenker at han glemte at det er møte i dag.
回忆	wspominać; wspomnienie	Często wspominamy rzeczy z dzieciństwa.	herinneren; de herinnering	We halen vaak herinneringen uit onze kindertijd op.	minnas; ett minne	Vi minns ofta saker från vår barndom.	minnes; et minne	Vi minnes ofte ting fra barndommen.
活动	ruch; aktywność; działać	Poszedłem do parku trochę się poruszać.	de activiteit; bewegen	Ik ging naar het park om wat te bewegen.	en aktivitet; röra på sig	Jag gick till parken för att röra på mig.	en aktivitet; bevege seg	Jeg gikk til parken for å bevege meg litt.
活泼	żywy; pełen energii	To dziecko jest bardzo żywe.	levendig	Dit kind is erg levendig.	livlig	Det här barnet är mycket livligt.	livlig	Dette barnet er veldig livlig.
火	ogień	Ogień jest niebezpieczny, proszę uważać.	het vuur	Vuur is gevaarlijk, wees voorzichtig.	eld	Eld är farlig, var försiktig.	ild	Ild er farlig, vær forsiktig.
获得	otrzymać; zdobyć	Nie można być zbyt dumnym z odniesionego sukcesu.	verkrijgen; behalen	Je mag niet te trots zijn op behaald succes.	få; erhålla	Man får inte bli för stolt över framgång.	få; oppnå	Man kan ikke være for stolt over å ha oppnådd suksess.
基础	podstawa; fundament	Proszę wprowadzić zmianę na pierwotnej podstawie.	de basis; het fundament	Breng alstublieft een wijziging aan op de oorspronkelijke basis.	en grund; en bas	Gör en ändring utifrån den ursprungliga grunden.	et grunnlag; en basis	Vennligst gjør en endring på det opprinnelige grunnlaget.
激动	podekscytowany; wzruszony	Ta wiadomość jest naprawdę ekscytująca.	opgewonden; ontroerd	Dit nieuws is echt opwindend.	upphetsad; rörd	Den här nyheten är verkligen spännande.	opprømt; rørt	Denne nyheten er virkelig spennende.
积极	aktywny; energiczny	On aktywnie uczy się chińskiego.	actief; energiek	Hij studeert actief Chinees.	aktiv; energisk	Han studerar kinesiska aktivt.	aktiv; energisk	Han studerer kinesisk aktivt.
积累	gromadzić; akumulacja	On zgromadził dużo doświadczenia w pracy.	opbouwen; verzamelen	Hij heeft veel ervaring opgebouwd in zijn werk.	samla; ackumulera	Han har samlat mycket erfarenhet i sitt arbete.	samle opp; akkumulere	Han har samlet mye erfaring i arbeidet sitt.
即使	nawet jeśli	Nie poddawaj się, nawet jeśli napotkasz trudności.	zelfs als	Zelfs als je moeilijkheden tegenkomt, geef niet op.	även om	Ge inte upp även om du stöter på svårigheter.	selv om	Ikke gi opp selv om du møter vanskeligheter.
及时	na czas; w porę	Ten deszcz przyszedł w samą porę.	op tijd; tijdig	Deze regen kwam precies op tijd.	i tid; i rätt tid	Det här regnet kom precis i rätt tid.	i tide; tidsnok	Dette regnet kom akkurat i tide.
寄	wysłać pocztą	Twój list został doręczony.	opsturen; verzenden	Je brief is bezorgd.	skicka; posta	Ditt brev har levererats.	sende; poste	Brevet ditt er levert.
技术	technologia; technika; umiejętność	To skomplikowany problem techniczny.	de technologie; de techniek	Dit is een ingewikkeld technisch probleem.	teknik; teknologi	Det här är ett komplicerat tekniskt problem.	teknologi; teknikk	Dette er et komplisert teknisk problem.
既然	skoro	Skoro już jesteś, zjedzmy razem.	aangezien; nu	Aangezien je hier bent, laten we samen eten.	eftersom; nu när	Eftersom du är här, låt oss äta tillsammans.	siden; ettersom	Siden du er her, la oss spise sammen.
继续	kontynuować	On wyraził chęć dalszej pracy w firmie.	doorgaan; voortzetten	Hij gaf aan dat hij in het bedrijf wil blijven werken.	fortsätta	Han uttryckte att han ville fortsätta arbeta på företaget.	fortsette	Han uttrykte at han ville fortsette å jobbe i selskapet.
计划	plan; projekt	Zmieniłem swój plan.	het plan; het project	Ik heb mijn plan veranderd.	en plan; ett projekt	Jag har ändrat min plan.	en plan; et prosjekt	Jeg har endret planen min.
记者	reporter; dziennikarz	Reporter przeprowadza wywiad z dyrektorem.	de journalist; de verslaggever	De journalist interviewt de directeur.	en reporter; en journalist	Reportern intervjuar rektorn.	en reporter; en journalist	Reporteren intervjuer rektoren.
加班	pracować po godzinach	W tym tygodniu pracowaliśmy po godzinach prawie codziennie.	overwerken	Deze week hebben we bijna elke dag overgewerkt.	arbeta övertid	Den här veckan arbetade vi övertid nästan varje dag.	jobbe overtid	Denne uken jobbet vi overtid nesten hver dag.
加油站	stacja benzynowa	Czy w pobliżu twojego domu jest stacja benzynowa?	het tankstation	Is er een tankstation in de buurt van je huis?	en bensinstation	Finns det en bensinstation nära ditt hem?	en bensinstasjon	Finnes det en bensinstasjon i nærheten av hjemmet ditt?
家具	meble	Po przeprowadzce wymieniliśmy meble na nowe.	het meubilair; de meubels	Na de verhuizing hebben we nieuwe meubels genomen.	möbler	Vi bytte till nya möbler efter flytten.	møbler	Vi byttet til nye møbler etter flyttingen.
假	fałszywy; sztuczny	Ten bilet jest fałszywy.	nep; vals	Dit kaartje is nep.	falsk	Den här biljetten är falsk.	falsk	Denne billetten er falsk.
价格	cena	Od zeszłego roku ceny samochodów spadają.	de prijs	Sinds vorig jaar dalen de autoprijzen.	ett pris	Sedan förra året har bilpriserna sjunkit.	en pris	Siden i fjor har bilprisene gått ned.
坚持	trwać przy; upierać się	On zawsze obstawał przy swoim zdaniu.	volhouden; vasthouden aan	Hij heeft altijd aan zijn mening vastgehouden.	hålla fast vid; insistera	Han har alltid hållit fast vid sin åsikt.	holde fast ved; insistere	Han har alltid holdt fast ved meningen sin.
减肥	odchudzać się; tracić na wadze	Biegam codziennie, żeby schudnąć.	afvallen	Ik hardloop elke dag om af te vallen.	gå ner i vikt	Jag springer varje dag för att gå ner i vikt.	gå ned i vekt	Jeg løper hver dag for å gå ned i vekt.
减少	zmniejszać się; redukować	Liczba klientów zmniejszyła się o jedną trzecią.	verminderen; afnemen	Het aantal klanten is met een derde afgenomen.	minska	Antalet kunder har minskat med en tredjedel.	redusere; minske	Antallet kunder har gått ned med en tredjedel.
建议	sugerować; propozycja	Proponuję jutro zrobić dzień wolny.	voorstellen; het advies	Ik stel voor om morgen een dag vrij te nemen.	föreslå; ett förslag	Jag föreslår att vi tar ledigt i morgon.	foreslå; et forslag	Jeg foreslår at vi tar fri i morgen.
将来	przyszłość; w przyszłości	Jaką pracę planujesz wykonywać w przyszłości?	de toekomst; in de toekomst	Wat voor werk ben je van plan in de toekomst te doen?	framtid; i framtiden	Vilket jobb planerar du att göra i framtiden?	fremtid; i fremtiden	Hvilken jobb planlegger du å gjøre i fremtiden?
奖金	premia; nagroda pieniężna	Na koniec roku wypłaciliśmy premię.	de bonus; het prijzengeld	Aan het einde van het jaar hebben we een bonus uitbetaald.	en bonus; prispengar	Vi betalade ut en bonus i slutet av året.	en bonus; prispenger	Vi utbetalte en bonus ved slutten av året.
降低	obniżać; zmniejszać	Nadeszła jesień i temperatura zaczyna spadać.	verlagen; dalen	De herfst is gekomen en de temperatuur begint te dalen.	sänka; minska	Hösten är här och temperaturen börjar sjunka.	senke; redusere	Høsten er her, og temperaturen begynner å falle.
降落	lądować; opadać	Samolot wkrótce wyląduje.	landen; dalen	Het vliegtuig zal zo landen.	landa; sjunka	Flygplanet landar snart.	lande; gå ned	Flyet lander snart.
交	przekazać; zapłacić; zaprzyjaźnić się	Zaprzyjaźniłem się z wieloma Chińczykami.	overhandigen; betalen; vrienden maken	Ik heb veel Chinese vrienden gemaakt.	lämna över; betala; skaffa vänner	Jag har fått många kinesiska vänner.	levere; betale; få venner	Jeg har fått mange kinesiske venner.
交流	wymiana; wymieniać się	Wymiana kulturalna między krajami staje się coraz bogatsza.	de uitwisseling; uitwisselen	Culturele uitwisselingen tussen landen worden steeds rijker.	ett utbyte; utbyta	Kulturutbyten mellan länder blir allt rikare.	en utveksling; utveksle	Kulturutvekslingen mellom land blir stadig rikere.
交通	transport; ruch drogowy	Transport tutaj jest wygodny.	het verkeer; het vervoer	Het vervoer hier is handig.	trafik; transport	Transporten här är bekväm.	trafikk; transport	Transporten her er praktisk.
郊区	przedmieścia	On mieszka na przedmieściach miasta.	de buitenwijk; de voorstad	Hij woont in de buitenwijken van de stad.	en förort	Han bor i stadens förorter.	en forstad; utkanten	Han bor i utkanten av byen.
骄傲	dumny; zarozumiały	Nie można być zbyt dumnym z odniesionego sukcesu.	trots; arrogant	Je mag niet te trots zijn op behaald succes.	stolt; arrogant	Man får inte bli för stolt över framgång.	stolt; arrogant	Man kan ikke være for stolt over å ha oppnådd suksess.
饺子	pierożek; jiaozi	Chińczycy jedzą pierożki podczas Święta Wiosny.	de dumpling; de jiaozi	Chinezen eten dumplings tijdens het Lentefeest.	en dumpling; jiaozi	Kineser äter dumplings under vårfesten.	en dumpling; jiaozi	Kinesere spiser dumplings under vårfesten.
教授	profesor; wykładać	On jest profesorem uniwersyteckim.	de professor; lesgeven	Hij is universiteitsprofessor.	en professor; undervisa	Han är universitetsprofessor.	en professor; undervise	Han er universitetsprofessor.
教育	edukacja; edukować	Przy edukowaniu dzieci potrzeba cierpliwości.	de opvoeding; het onderwijs	Je hebt geduld nodig bij het opvoeden van kinderen.	utbildning; uppfostra	Man behöver tålamod när man uppfostrar barn.	utdanning; oppdra	Man trenger tålmodighet når man oppdrar barn.
接受	akceptować; przyjmować	Akceptuję wszystkie twoje opinie.	accepteren; ontvangen	Ik accepteer al je meningen.	acceptera; ta emot	Jag accepterar alla dina åsikter.	akseptere; motta	Jeg aksepterer alle meningene dine.
接着	kontynuować; następnie	On pomyślał przez chwilę, a potem napisał.	doorgaan; daarna	Hij dacht even na en schreef toen verder.	fortsätta; sedan	Han tänkte en stund och skrev sedan vidare.	fortsette; deretter	Han tenkte en stund og skrev deretter videre.
结果	wynik; rezultat	Oglądałeś mecz? Jaki był wynik?	het resultaat; de uitslag	Heb je de wedstrijd gezien, en wat was de uitslag?	ett resultat	Såg du matchen, och vad blev resultatet?	et resultat	Så du kampen, og hva ble resultatet?
节	święto; odcinek; węzeł	Jakie dziś jest święto?	het feest; de feestdag	Welke feestdag is het vandaag?	en högtid; en helgdag	Vilken högtid är det i dag?	en høytid; en helligdag	Hvilken høytid er det i dag?
节约	oszczędzać; nie marnować	Proszę oszczędzać wodę.	besparen; zuinig omgaan met	Bespaar alstublieft water.	spara; hushålla med	Spara vatten, tack.	spare; økonomisere	Vennligst spar på vannet.
解释	wyjaśniać; wyjaśnienie	On bardzo jasno wyjaśnił powód.	uitleggen; de uitleg	Hij legde de reden heel duidelijk uit.	förklara; en förklaring	Han förklarade orsaken mycket tydligt.	forklare; en forklaring	Han forklarte årsaken veldig tydelig.
尽管	chociaż; mimo że	Chociaż znam go od dawna, nie rozumiem go.	hoewel; ondanks	Hoewel ik hem al lang ken, begrijp ik hem niet.	trots att; även om	Trots att jag har känt honom länge förstår jag honom inte.	selv om; til tross for	Selv om jeg har kjent ham lenge, forstår jeg ham ikke.
紧张	zdenerwowany; napięty	Był zdenerwowany przed pierwszym występem.	nerveus; gespannen	Hij was nerveus voor de eerste voorstelling.	nervös; spänd	Han var nervös inför första föreställningen.	nervøs; anspent	Han var nervøs før den første forestillingen.
禁止	zabraniać; zakaz	Palenie jest tutaj zabronione.	verbieden; het verbod	Roken is hier verboden.	förbjuda; förbud	Rökning är förbjuden här.	forby; forbud	Røyking er forbudt her.
进行	prowadzić; odbywać się	Mecz nadal trwa.	voeren; bezig zijn	De wedstrijd is nog bezig.	genomföra; pågå	Matchen pågår fortfarande.	gjennomføre; pågå	Kampen pågår fortsatt.
京剧	opera pekińska	Ona jest słynną aktorką opery pekińskiej.	de Pekingopera	Zij is een beroemde Pekingopera-actrice.	Pekingopera	Hon är en berömd Pekingopera-skådespelare.	Pekingopera	Hun er en berømt Pekingopera-skuespiller.
精彩	wspaniały; znakomity	Dzisiejszy występ był niesamowity!	geweldig; schitterend	De voorstelling van vandaag was geweldig!	strålande; fantastisk	Dagens föreställning var fantastisk!	flott; strålende	Dagens forestilling var fantastisk!
经济	gospodarka; ekonomiczny	W tych latach gospodarka rozwija się bardzo szybko.	de economie; economisch	De economie heeft zich de afgelopen jaren snel ontwikkeld.	ekonomi; ekonomisk	Ekonomin har utvecklats snabbt de senaste åren.	økonomi; økonomisk	Økonomien har utviklet seg raskt de siste årene.
经历	doświadczenie; doświadczać	Ona napisała artykuł o swoim doświadczeniu z podróży.	de ervaring; meemaken	Ze schreef een artikel over haar reiservaring.	en erfarenhet; uppleva	Hon skrev en artikel om sin reseupplevelse.	en erfaring; oppleve	Hun skrev en artikkel om reiseopplevelsen sin.
经验	doświadczenie	On jest doświadczonym nauczycielem.	de ervaring	Hij is een ervaren leraar.	en erfarenhet	Han är en erfaren lärare.	en erfaring	Han er en erfaren lærer.
景色	krajobraz; widok	O zachodzie słońca nadmorski krajobraz jest piękny.	het landschap; het uitzicht	Bij zonsondergang is het landschap aan zee prachtig.	ett landskap; en utsikt	Vid solnedgången är havslandskapet vackert.	et landskap; en utsikt	Ved solnedgang er landskapet ved sjøen vakkert.
警察	policja; policjant	Policja prowadzi dochodzenie.	de politie; de agent	De politie is een onderzoek aan het doen.	polis; en polis	Polisen håller på att utreda.	politi; en politimann	Politiet etterforsker.
