simplified	ID	example_ID
断定	menentukan	Sekarang belum bisa menentukan siapa benar dan siapa salah
断绝	memutus	Setelah kecelakaan, desa itu terputus kontak dengan dunia luar
堆积	menumpuk	Salju menumpuk di tepi jalan
兑现	menepati	Dia akhirnya menepati janjinya
对策	langkah penanganan	Menghadapi risiko, kita membutuhkan langkah penanganan
对称	simetris	Sisi kiri dan kanan bangunan ini sangat simetris
对付	menangani	Masalah ini tidak mudah ditangani
对抗	berhadapan	Kedua tim akan berhadapan di final
对立	bertentangan	Posisi kedua pihak sepenuhnya bertentangan
对联	kuplet	Tanggal Tahun Baru Imlek mereka menempel kuplet di pintu
对应	sesuai	Setiap nomor sesuai dengan satu kursi
对照	membandingkan	Silakan membandingkan terjemahan dengan teks asli
队伍	barisan	Barisan parade perlahan bergerak maju
顿时	seketika	Mendengar kabar itu dia seketika tertegun
哆嗦	menggigil	Cuaca terlalu dingin, dia terus menggigil
多元化	diversifikasi	Perusahaan sedang mendorong diversifikasi bisnis
堕落	merosot	Dia tidak ingin membiarkan dirinya terus merosot
额外	tambahan	Layanan ini memerlukan biaya tambahan
恶心	mual	Mencium bau itu, saya merasa agak mual
恶化	memburuk	Jika tidak diobati, kondisi penyakit mungkin memburuk
遏制	mengendalikan	Pemerintah mengambil langkah untuk mengendalikan polusi
恩怨	dendam	Dendam antara kedua perusahaan sudah berlangsung lama
而已	saja	Saya hanya berbicara santai saja
二氧化碳	karbon dioksida	Tumbuhan menyerap karbon dioksida
发布	merilis	Perusahaan akan merilis produk baru besok
发财	menjadi kaya	Dia berharap menjadi kaya melalui kerja keras
发呆	melamun	Dia duduk di dekat jendela sambil melamun
发动	menggerakkan	Para relawan menggerakkan warga untuk membersihkan jalan
发觉	menyadari	Saya menyadari dia agak tegang hari ini
发射	meluncurkan	Roket akan diluncurkan pada malam hari
发誓	bersumpah	Dia bersumpah tidak akan berbohong lagi
发行	menerbitkan	Film ini akan dirilis bulan depan
发炎	meradang	Lukanya agak meradang
发扬	mengembangkan	Kita harus mengembangkan semangat kerja sama tim
发育	pertumbuhan	Pertumbuhan fisik anak membutuhkan gizi yang cukup
法人	badan hukum	Perusahaan ini adalah badan hukum independen
番	ucapan	Ucapan ini memberi saya banyak inspirasi
凡是	setiap	Setiap orang yang mendaftar harus mengikuti pelatihan
繁华	ramai	Jalan ini dulu sangat ramai
繁忙	sibuk	Bandara sangat sibuk pada masa liburan
繁体字	aksara tradisional	Wilayah Taiwan sering menggunakan aksara tradisional
繁殖	berkembang biak	Jenis tanaman ini mudah berkembang biak
反驳	membantah	Dia membantah pandangan ini dengan data
反常	tidak biasa	Cuaca hari ini agak tidak biasa
反感	tidak suka	Saya sangat tidak suka iklan seperti ini
反抗	melawan	Orang-orang mulai melawan aturan yang tidak adil
反馈	umpan balik	Pelanggan memberi umpan balik bahwa sistem sangat stabil
反面	sisi belakang	Tolong balik kertas ke sisi belakang
反射	memantulkan	Cermin memantulkan cahaya
反思	merenungkan	Setelah gagal dia sungguh-sungguh merenungkan alasannya
反问	bertanya balik	Dia tidak menjawab dan malah bertanya balik kepada saya
反之	sebaliknya	Harga yang terlalu tinggi mengurangi permintaan, sebaliknya juga sama
泛滥	meluap	Hujan lebat menyebabkan air sungai meluap
范畴	kategori	Masalah ini termasuk dalam kategori hukum
贩卖	menjual	Hukum melarang penjualan obat palsu
方位	arah	Peta menandai arah yang tepat
方言	dialek	Dia bisa memahami dialek setempat
方圆	radius	Tidak ada rumah sakit dalam radius sepuluh kilometer
方针	kebijakan	Perusahaan menetapkan kebijakan pengembangan baru
防守	pertahanan	Pertahanan tim ini sangat stabil
防御	pertahanan	Tembok kota dulu digunakan untuk pertahanan terhadap musuh
防止	mencegah	Tolong pasang sabuk pengaman untuk mencegah cedera
防治	pencegahan dan pengobatan	Dokter menjelaskan metode pencegahan dan pengobatan penyakit
纺织	tekstil	Kota ini terkenal dengan industri tekstil
访问	mengunjungi	Wartawan akan mengunjungi penulis ini besok
放大	memperbesar	Tolong perbesar gambar sedikit
放射	memancarkan	Bahan ini memancarkan panas
非法	ilegal	Transaksi ilegal akan dihukum
飞禽走兽	burung dan binatang	Berbagai burung dan binatang hidup di hutan
飞翔	terbang	Burung camar terbang di atas laut
飞跃	lompatan	Perkembangan teknologi mencapai lompatan besar
肥沃	subur	Tanah ini sangat subur
诽谤	pencemaran nama baik	Mencemarkan nama baik orang lain harus menanggung tanggung jawab hukum
废除	menghapuskan	Aturan lama ini sudah dihapuskan
废寝忘食	lupa tidur dan makan	Demi penelitian dia sampai lupa tidur dan makan
废墟	puing-puing	Setelah gempa tempat itu menjadi puing-puing
沸腾	mendidih	Air sudah mendidih
肺	paru-paru	Merokok dapat merusak paru-paru
分辨	membedakan	Sulit bagi saya membedakan dua warna ini
分寸	batas yang pantas	Bercanda pun harus memperhatikan batas yang pantas
分红	dividen	Pemegang saham dapat menerima dividen pada akhir tahun
分解	menguraikan	Guru menguraikan masalah rumit menjadi beberapa langkah
分裂	terpecah	Konflik internal menyebabkan organisasi terpecah
分泌	mengeluarkan	Kelenjar jenis ini mengeluarkan hormon
分明	jelas	Fakta sudah sangat jelas
分歧	perbedaan	Kedua pihak memiliki perbedaan dalam soal harga
分散	menyebarkan	Tolong sebarkan risiko ke berbagai proyek
吩咐	memerintahkan	Bos memerintahkan saya merapikan dokumen
坟墓	makam	Ada sebuah makam tua di lereng bukit
粉末	bubuk	Tolong giling tablet obat menjadi bubuk
粉色	merah muda	Dia membeli syal berwarna merah muda
粉碎	menghancurkan	Polisi menghancurkan kelompok kriminal ini
分量	bobot	Kalimat ini memiliki bobot besar
愤怒	marah	Nadanya penuh kemarahan
丰满	kaya	Isi artikel ini masih belum cukup kaya
丰盛	mewah	Mereka menyiapkan makan malam yang mewah
丰收	panen raya	Para petani mendapat panen raya tahun ini
封闭	ditutup	Jalan ini akan ditutup selama konstruksi
封建	feodal	Pemikiran feodal seperti ini seharusnya sudah berubah sejak lama
封锁	menutup	Polisi menutup lokasi kecelakaan
锋利	tajam	Pisau ini sangat tajam
风暴	badai	Tiba-tiba muncul badai di laut
风度	anggun	Dia tampak sangat anggun di panggung
风光	pemandangan	Pemandangan alam di sini sangat indah
风气	suasana	Sekolah telah membentuk suasana belajar yang baik
风趣	humoris	Cara bicaranya sangat humoris
风土人情	adat setempat	Perjalanan membantu memahami adat setempat
风味	cita rasa lokal	Toko ini memiliki cita rasa lokal yang kuat
逢	setiap kali	Setiap akhir pekan taman itu ramai
奉献	mengabdikan	Dokter mengabdikan banyak waktu untuk pasien
否决	menolak	Dewan direksi menolak usulan ini
夫妇	pasangan suami istri	Pasangan suami istri ini mengelola sebuah toko kecil
夫人	istri	Tuan Wang dan istrinya menghadiri jamuan malam bersama
敷衍	asal-asalan	Dia hanya menjawab beberapa kalimat secara asal-asalan
俘虏	tawanan	Setelah perang berakhir, para tawanan dibebaskan
幅度	besaran	Besaran penurunan harga kali ini sangat besar
服从	mematuhi	Prajurit harus mematuhi perintah
服气	menerima	Dia kalah dalam pertandingan, tetapi dalam hati belum bisa menerima
福利	tunjangan	Karyawan sangat memperhatikan tunjangan perusahaan
福气	keberuntungan	Bisa bertemu guru yang baik adalah keberuntungannya
符号	simbol	Simbol ini menunjukkan bahaya
辐射	radiasi	Dokter mengingatkannya agar menjauhi radiasi kuat
俯视	memandang dari atas	Dari puncak gunung dapat memandang seluruh kota dari atas
抚摸	mengelus	Dia mengelus kepala anak itu dengan lembut
抚养	membesarkan	Kakek nenek membantu membesarkan anak
腐败	korupsi	Pemerintah sedang memberantas korupsi
腐烂	membusuk	Buah akan membusuk jika dibiarkan terlalu lama
腐蚀	mengikis	Asam dapat mengikis permukaan logam
腐朽	busuk	Mereka mengkritik sistem yang busuk
辅助	membantu	Alat ini dapat membantu pengajaran
副	wakil	Dia diangkat menjadi wakil manajer
复活	hidup kembali	Festival tradisional ini sedang hidup kembali
复兴	kebangkitan	Kebangkitan budaya membutuhkan usaha jangka panjang
富裕	makmur	Desa ini sekarang semakin makmur
腹泻	diare	Dia mengalami diare parah dan perlu menemui dokter
覆盖	menutupi	Salju lebat menutupi seluruh lembah
负担	beban	Sewa rumah menjadi beban utamanya
赋予	memberi	Hukum memberi warga hak-hak dasar
附和	ikut-ikutan	Dia tidak punya pendirian dan hanya ikut-ikutan orang lain
附件	lampiran	Silakan periksa lampiran di email
附属	afiliasi	Rumah sakit ini adalah rumah sakit afiliasi universitas
改良	memperbaiki	Para ahli sedang memperbaiki jenis padi ini
盖章	membubuhkan cap	Setelah kontrak ditandatangani, perlu dibubuhi cap
钙	kalsium	Susu mengandung banyak kalsium
尴尬	canggung	Muncul keheningan canggung dalam rapat
干旱	kekeringan	Kekeringan panjang memengaruhi tanaman
干扰	mengganggu	Kebisingan mengganggu pekerjaan saya
干涉	mencampuri	Orang tua tidak seharusnya terlalu mencampuri pilihan anak
干预	campur tangan	Pemerintah tepat waktu campur tangan terhadap risiko pasar
感慨	terharu	Melihat foto lama itu dia sangat terharu
感染	infeksi	Virus ini mudah menginfeksi anak-anak
干劲	semangat kerja	Semua orang bekerja dengan penuh semangat kerja
扛	mengangkat	Legenda mengatakan dia sangat kuat hingga bisa mengangkat kuali besar
纲领	pedoman	Rapat mengesahkan pedoman tindakan baru
岗位	posisi	Dia cepat beradaptasi dengan posisi baru
港口	pelabuhan	Kapal kargo berlabuh di pelabuhan
港湾	teluk	Kapal kecil berlayar masuk ke teluk yang tenang
杠杆	leverage	Investasi ini menggunakan leverage tinggi
高超	hebat	Keahliannya memperbaiki mobil sangat hebat
高潮	puncak	Pertandingan mencapai puncak pada sepuluh menit terakhir
高峰	puncak	Jam delapan pagi adalah puncak lalu lintas
高明	brilian	Cara ini memang sangat brilian
高尚	mulia	Semangat profesi dokter sangat mulia
高涨	meningkat	Semangat penonton terus meningkat
稿件	naskah	Editor sedang merevisi naskah
告辞	pamit	Hari sudah larut, kami pamit dulu
告诫	memperingatkan	Guru memperingatkan siswa agar tidak menyontek
割	memotong	Dia tidak sengaja memotong jarinya
搁	meletakkan	Tolong letakkan dokumen di atas meja
歌颂	memuji	Puisi ini memuji para pekerja
疙瘩	benjolan	Muncul sebuah benjolan di lengannya
鸽子	merpati	Ada banyak merpati di alun-alun
格局	tata ruang	Tata ruang apartemen ini sangat masuk akal
格式	format	Silakan isi formulir sesuai format yang ditentukan
隔阂	jarak batin	Kesalahpahaman memperdalam jarak batin di antara mereka
隔离	mengisolasi	Pasien perlu diisolasi sementara
革命	revolusi	Revolusi ini mengubah nasib negara
个体	individu	Setiap individu memiliki kebutuhan berbeda
各抒己见	menyampaikan pendapat masing-masing	Dalam rapat semua orang menyampaikan pendapat masing-masing
根深蒂固	mengakar	Pandangan ini sudah mengakar kuat
根源	akar penyebab	Akar penyebab kemiskinan sangat rumit
跟前	dekat	Anak itu berlari ke dekat ibunya
跟随	mengikuti	Wartawan mengikuti rombongan masuk ke daerah pegunungan
跟踪	melacak	Polisi sedang melacak pergerakan tersangka
更新	memperbarui	Sistem akan memperbarui secara otomatis malam ini
更正	mengoreksi	Koran itu mengoreksi kesalahan pada hari berikutnya
耕地	membajak sawah	Petani sedang membajak sawah pada musim semi
供不应求	pasokan tidak memenuhi permintaan	Obat ini saat ini pasokannya tidak memenuhi permintaan
供给	pasokan	Kota membutuhkan pasokan air dan listrik yang stabil
公安局	Biro Keamanan Publik	Dia pergi ke Biro Keamanan Publik untuk melapor
公道	adil	Semua orang berharap mendapat penanganan yang adil
公告	pengumuman	Sekolah mengeluarkan pengumuman penghentian kelas
公关	hubungan masyarakat	Perusahaan mempekerjakan tim hubungan masyarakat profesional
公民	warga negara	Setiap warga negara harus mematuhi hukum
公然	secara terbuka	Dia secara terbuka melanggar aturan pertandingan
公认	diakui	Dia diakui sebagai guru yang sangat baik
公式	rumus	Tolong catat rumus matematika ini
公务	urusan dinas	Dia melakukan perjalanan tiga hari karena urusan dinas
公正	adil	Hakim harus tetap adil
公证	notaris	Dokumen ini perlu dinotariskan
功劳	jasa	Keberhasilan kali ini adalah jasa semua orang
功效	khasiat	Khasiat obat ini masih perlu diverifikasi
宫殿	istana	Para wisatawan mengunjungi istana kuno
工艺品	kerajinan tangan	Kerajinan tangan ini dibuat secara manual
恭敬	dengan hormat	Dia menyapa orang tua itu dengan hormat
攻击	menyerang	Peretas menyerang situs web perusahaan
攻克	mengatasi	Tim penelitian mengatasi masalah teknis
巩固	memperkuat	Mengulang pelajaran dapat memperkuat pengetahuan yang dipelajari
共和国	republik	Republik ini didirikan pada abad lalu
共计	total	Barang gelombang ini totalnya tiga ratus kotak
共鸣	resonansi	Lagu ini menimbulkan resonansi pada banyak orang
勾结	berkolusi	Mereka berkolusi dengan orang luar untuk menipu dana
钩子	kait	Beberapa kait tergantung di dinding
构思	merancang	Penulis sedang merancang novel baru
姑且	untuk sementara	Rencana ini kita coba dulu selama satu minggu untuk sementara
孤独	kesepian	Setelah pindah ke kota baru dia merasa kesepian
孤立	terpisah	Jangan melihat masalah ini secara terpisah
辜负	mengecewakan	Saya tidak ingin mengecewakan harapan orang tua
古董	barang antik	Kakek mengoleksi beberapa barang antik
古怪	aneh	Pikirannya agak aneh
股东	pemegang saham	Rapat pemegang saham akan diadakan minggu depan
股份	saham	Dia memegang saham perusahaan
骨干	tulang punggung	Para insinyur ini adalah tulang punggung tim
鼓动	menghasut	Ada orang yang menghasut massa untuk protes
固然	memang	Cara ini memang sederhana, tetapi risikonya tidak kecil
固体	padat	Es adalah bentuk padat air
固有	bawaan	Setiap budaya memiliki ciri bawaan
固执	keras kepala	Dia terlalu keras kepala dan tidak mau mendengarkan saran
故乡	kampung halaman	Bertahun-tahun kemudian dia kembali ke kampung halaman
故障	kerusakan	Lift mengalami kerusakan dan sementara tidak digunakan
雇佣	mempekerjakan	Perusahaan memutuskan mempekerjakan lebih banyak staf teknis
顾虑	kekhawatiran	Kamu bisa langsung mengatakan kekhawatiran apa pun yang kamu punya
顾问	konsultan	Kami menyewa seorang konsultan hukum
拐杖	tongkat	Orang tua itu sering membawa tongkat saat keluar rumah
关怀	kepedulian	Guru memberi siswa banyak kepedulian
关照	menjaga	Tolong jaga anak itu selama di jalan
官方	resmi	Berita resmi akan diumumkan besok
观光	wisata	Para wisatawan naik perahu untuk berwisata
管辖	berwenang atas	Daerah ini berada di bawah wewenang pemerintah kota
惯例	kebiasaan	Memperkenalkan tamu sebelum rapat dimulai adalah kebiasaan
灌溉	mengairi	Petani menggunakan air sungai untuk mengairi lahan pertanian
罐	toples	Di atas meja ada satu toples daun teh
贯彻	menerapkan	Perusahaan harus menerapkan standar keselamatan baru
光彩	pesona	Pakaian ini membuatnya tampak penuh pesona
光辉	gemilang	Prestasinya meninggalkan halaman yang gemilang
光芒	sinar	Sinar matahari menerangi lembah
光荣	terhormat	Melayani negara adalah hal yang terhormat
广阔	luas	Padang rumput itu membentang tanpa batas dan sangat luas
归根到底	pada akhirnya	Pada akhirnya masalahnya terletak pada manajemen
归还	mengembalikan	Tolong kembalikan buku tepat waktu
规范	standar	Sekolah menetapkan standar untuk mengelola laboratorium
规格	spesifikasi	Spesifikasi suku cadang dalam batch ini tidak konsisten
规划	perencanaan	Perencanaan kota perlu mempertimbangkan transportasi
规章	peraturan	Karyawan harus mematuhi peraturan perusahaan
轨道	rel	Kereta bergerak di sepanjang rel
贵族	bangsawan	Perkebunan ini dulu milik bangsawan
跪	berlutut	Dia berlutut di depan patung
棍棒	tongkat pemukul	Polisi menyita tongkat pemukul di lokasi
国防	pertahanan nasional	Pembangunan pertahanan nasional membutuhkan investasi jangka panjang
国务院	Dewan Negara	Dewan Negara mengeluarkan pemberitahuan baru
果断	tegas	Pemimpin itu membuat keputusan yang tegas
过度	berlebihan	Penggunaan ponsel yang berlebihan dapat memengaruhi tidur
过渡	transisi	Perusahaan sedang berada dalam tahap transisi perubahan
过奖	terlalu memuji	Anda terlalu memuji saya, saya masih perlu belajar
过滤	menyaring	Perangkat ini dapat menyaring kotoran
过失	kesalahan	Kecelakaan ini disebabkan oleh kesalahan manusia
过问	ikut campur	Manajer jarang ikut campur dalam urusan kecil seperti ini
过瘾	memuaskan	Menonton pertandingan ini benar-benar memuaskan
过于	terlalu	Rencana ini terlalu rumit
嗨	hai	Hai, kenapa kamu juga datang
海拔	ketinggian	Desa ini berada di ketinggian yang tinggi
海滨	tepi laut	Mereka menghabiskan akhir pekan di tepi laut
含糊	samar	Jawabannya sangat samar
含义	makna	Kata ini memiliki makna khusus
寒暄	berbasa-basi	Setelah bertemu, mereka lebih dulu berbasa-basi sebentar
罕见	langka	Penyakit ini sangat langka
捍卫	membela	Pengacara itu berusaha membela hak kliennya
航空	penerbangan	Maskapai penerbangan membatalkan penerbangan itu
航天	antariksa	Program antariksa China berkembang dengan cepat
航行	berlayar	Kapal itu sedang berlayar di laut
行列	barisan	Dia bergabung dalam barisan relawan
毫米	milimeter	Kaca ini tebalnya lima milimeter
毫无	sama sekali tidak	Penjelasannya sama sekali tidak memiliki dasar
豪迈	gagah	Suara nyanyiannya gagah dan kuat
号召	menyerukan	Pemerintah menyerukan semua orang untuk menghemat air
耗费	menghabiskan	Proyek ini menghabiskan dana dalam jumlah besar
呵	membentak	Ayah itu sekali membentak, dan anak itu langsung berhenti
合并	bergabung	Kedua perusahaan itu berencana bergabung tahun depan
合成	mensintesis	Bahan ini dapat disintesis secara buatan
合伙	bermitra	Mereka bermitra membuka sebuah restoran
合算	hemat	Naik bus lebih hemat daripada naik taksi
和蔼	ramah	Dokter ini berbicara dengan sangat ramah
和解	berdamai	Kedua pihak akhirnya berdamai
和睦	rukun	Para tetangga hidup rukun
和气	ramah	Atasan itu memperlakukan orang dengan ramah
和谐	harmonis	Musik itu membuat suasana lebih harmonis
嘿	hei	Hei, apakah kamu mendengar itu
痕迹	jejak	Jejak roda tertinggal di tanah
狠心	kejam	Dia dengan kejam menolak permintaan temannya
恨不得	ingin sekali	Saya ingin sekali segera pulang dan beristirahat
哼	mendengus	Dia mendengus dengan tidak senang
横	horizontal	Tolong gambar satu garis horizontal di kertas
哄	tertawa riuh	Semua orang tertawa riuh
烘	memanggang	Roti sedang dipanggang di oven
轰动	menggemparkan	Berita ini menggemparkan seluruh negeri
宏观	makro	Kita perlu menganalisis ekonomi dari perspektif makro
宏伟	megah	Desain jembatan ini sangat megah
洪水	banjir	Banjir merusak beberapa jembatan
喉咙	tenggorokan	Dia terlalu banyak berbicara, sehingga tenggorokannya agak sakit
吼	meraung	Dia meraung keras ke arah kejauhan
候选	kandidat	Dia adalah kandidat perwakilan tahun ini
后代	generasi mendatang	Kita harus melindungi lingkungan untuk generasi mendatang
后顾之忧	kekhawatiran masa depan	Penghasilan yang stabil membuatnya tidak memiliki kekhawatiran masa depan
后勤	logistik	Departemen logistik bertanggung jawab memasok bahan
呼唤	memanggil	Ibu memanggil anak itu di pintu
呼啸	menderu	Angin dingin menderu di luar jendela
呼吁	menyerukan	Para ahli menyerukan semua orang untuk mengurangi limbah
忽略	mengabaikan	Tolong jangan mengabaikan detail ini
湖泊	danau	Daerah ini memiliki banyak danau alami
胡乱	sembarangan	Jangan meletakkan barang sembarangan di lantai
胡须	janggut	Janggutnya sudah memutih
花瓣	kelopak	Setelah hujan, kelopak bunga jatuh memenuhi tanah
花蕾	kuncup bunga	Pada musim semi, kuncup bunga tumbuh di dahan
华丽	mewah	Kostum di atas panggung sangat mewah
华侨	Tionghoa perantauan	Banyak Tionghoa perantauan kembali ke tanah air untuk berinvestasi
划分	membagi	Guru membagi siswa menjadi empat kelompok
化肥	pupuk kimia	Petani memberi pupuk kimia pada tanaman
化石	fosil	Museum memamerkan fosil dinosaurus
化验	tes laboratorium	Dokter meminta dia menjalani tes darah di laboratorium
化妆	berdandan	Dia sedang berdandan sebelum naik panggung
画蛇添足	menambah yang tidak perlu	Menambahkan penjelasan lagi justru menjadi hal yang tidak perlu
话筒	mikrofon	Pembawa acara menyerahkan mikrofon kepada penonton
欢乐	kegembiraan	Alun-alun festival penuh dengan kegembiraan
环节	tahap	Setiap tahap pelatihan sangat penting
还原	mengembalikan	Tolong kembalikan pengaturan ke kondisi bawaan
缓和	mereda	Hubungan antara kedua pihak berangsur-angsur mereda
患者	pasien	Dokter sedang menanyakan kondisi pasien
荒凉	tandus	Tanah ini tampak sangat tandus
荒谬	absurd	Penjelasan ini terdengar sangat absurd
荒唐	tidak masuk akal	Keputusannya terlalu tidak masuk akal
皇帝	kaisar	Kaisar tinggal di istana yang megah
皇后	permaisuri	Permaisuri menghadiri perayaan itu
黄昏	senja	Pada senja hari, lampu jalan mulai menyala
恍然大悟	tiba-tiba mengerti	Setelah mendengar penjelasan itu, dia tiba-tiba mengerti
晃	sekilas	Dalam sekejap, dia menghilang dari pandangan
挥霍	menghamburkan	Dia tidak seharusnya menghamburkan uang orang tuanya
辉煌	gemilang	Kota ini memiliki sejarah yang gemilang
回报	imbalan	Kerja keras pada akhirnya akan membawa imbalan
回避	menghindari	Dia terus menghindari masalah ini
回顾	meninjau kembali	Pada akhir rapat, mereka meninjau kembali pekerjaan tahun ini
回收	mendaur ulang	Komunitas perumahan mulai mendaur ulang baterai bekas
悔恨	penyesalan	Dia merasa menyesal atas kesalahan masa lalunya
毁灭	menghancurkan	Perang hampir menghancurkan kota ini
会晤	bertemu	Para pemimpin kedua negara akan bertemu besok
汇报	melaporkan	Dia melaporkan kemajuan pekerjaan kepada manajer
贿赂	suap	Pejabat itu diselidiki karena suap
昏迷	koma	Pasien itu masih dalam kondisi koma
荤	nonvegetarian	Hidangan ini mengandung daging dan tidak cocok untuk vegetarian
浑身	sekujur tubuh	Setelah berlari, sekujur tubuhnya penuh keringat
混合	mencampur	Tolong campur kedua bahan itu secara merata
混乱	kacau	Situasi di lokasi sempat sangat kacau
混淆	mencampuradukkan	Jangan mencampuradukkan kedua konsep ini
混浊	keruh	Setelah hujan, air sungai menjadi keruh
活该	pantas	Dia mengabaikan nasihat, jadi pantas saja gagal
活力	vitalitas	Kota ini penuh vitalitas
火箭	roket	Roket itu berhasil memasuki orbit yang direncanakan
火焰	api	Angin membuat api naik lebih tinggi
火药	bubuk mesiu	Bubuk mesiu mengubah perang pada zaman kuno
货币	moneter	Kebijakan moneter memengaruhi perkembangan ekonomi
基地	pangkalan	Tempat ini dulu merupakan pangkalan pelatihan penting
基金	dana	Sekolah membentuk dana beasiswa
基因	gen	Para ilmuwan sedang meneliti gen ini
机动	mobilitas	Tim ini mempertahankan mobilitas yang tinggi
机构	lembaga	Lembaga ini bertanggung jawab atas pemeriksaan kualitas
机灵	cerdik	Anak ini sangat cerdik
机密	rahasia	Bahan-bahan ini bersifat rahasia
机械	mesin	Pabrik memperkenalkan mesin baru
机遇	peluang	Anak muda harus menangkap peluang
机智	cekatan	Jawabannya sangat cekatan
激发	membangkitkan	Guru membangkitkan minat siswa
激励	mendorong	Keberhasilan ini mendorong seluruh tim
激情	semangat	Dia penuh semangat saat berbicara
讥笑	mengejek	Jangan mengejek kesalahan orang lain
饥饿	kelaparan	Kelaparan jangka panjang dapat memengaruhi kesehatan
即便	sekalipun	Sekalipun hujan, kami akan berangkat tepat waktu
即将	segera	Rapat segera dimulai
及早	secepat mungkin	Masalah harus ditangani secepat mungkin
吉祥	keberuntungan	Warna merah sering melambangkan keberuntungan di China
嫉妒	iri	Dia tidak seharusnya iri pada keberhasilan rekan kerjanya
急功近利	mengejar hasil cepat	Penelitian tidak boleh dilakukan dengan mengejar hasil cepat
急剧	tajam	Penjualan turun tajam
急切	cemas	Dia menunggu kabar dengan cemas
急于求成	terburu-buru ingin berhasil	Belajar bahasa tidak bisa terburu-buru ingin berhasil
急躁	tidak sabar	Jangan tidak sabar saat menghadapi kesulitan
极端	ekstrem	Cuaca ekstrem seperti ini makin sering terjadi
极限	batas	Latihan ini menantang batas kemampuannya
疾病	penyakit	Kebiasaan baik dapat mencegah penyakit
籍贯	daerah asal	Formulir itu meminta pengisian daerah asal
级别	tingkat	Kompetisi ini dibagi menjadi tiga tingkat
集团	grup	Grup ini memiliki cabang di luar negeri
给予	memberikan	Sekolah memberikan bantuan kepada siswa miskin
季军	juara ketiga	Dia meraih juara ketiga dalam kompetisi itu
季度	kuartal	Perusahaan menerbitkan laporan keuangan setiap kuartal
寂静	sunyi	Lembah itu sangat sunyi pada malam hari
寄托	menaruh	Dia menaruh harapan pada anaknya
忌讳	pantangan	Orang setempat menganggap membicarakan hal ini di meja makan sebagai pantangan
技巧	teknik	Menguasai teknik dapat meningkatkan efisiensi
纪要	notulen	Sekretaris menyusun notulen rapat
继承	mewarisi	Dia mewarisi karier ayahnya
计较	mempermasalahkan	Jangan mempermasalahkan hal sekecil ini
记性	daya ingat	Daya ingatnya sangat baik
记载	mencatat	Buku sejarah mencatat perang ini
迹象	tanda	Saat ini belum ada tanda perbaikan
佳肴	hidangan lezat	Meja itu penuh dengan hidangan lezat
加工	mengolah	Bahan mentah ini perlu diolah lebih lanjut
加剧	memperparah	Konflik itu sedang makin parah
夹杂	bercampur	Suara hujan bercampur dengan guntur
家常	rumahan	Saya suka makan masakan rumahan
家伙	orang itu	Orang itu selalu terlambat
家属	anggota keluarga	Dokter memberi tahu anggota keluarga pasien
家喻户晓	dikenal luas	Cerita ini dikenal luas oleh setiap keluarga
坚定	teguh	Sikapnya sangat teguh
坚固	kokoh	Jembatan ini sangat kokoh
坚韧	tangguh	Dia memiliki karakter yang tangguh
坚实	kukuh	Penelitian ini memiliki dasar yang kukuh
坚硬	keras	Batu ini sangat keras
尖端	terdepan	Perusahaan berinvestasi dalam teknologi terdepan
尖锐	tajam	Masalah ini sangat tajam
煎	menggoreng	Koki sedang menggoreng ikan
监督	pengawasan	Pengawasan publik membantu memperbaiki pekerjaan
监视	memantau	Polisi sedang memantau tersangka
监狱	penjara	Dia sedang menjalani hukuman di penjara
艰难	sulit	Tahap awal memulai bisnis sangat sulit
剪彩	memotong pita	Wali kota memotong pita untuk perpustakaan baru
拣	memilih	Dia memilih beberapa apel dari keranjang
检讨	meninjau kesalahan	Dia dengan serius meninjau kesalahannya sendiri
检验	menguji	Eksperimen dapat menguji hipotesis ini
简化	menyederhanakan	Tolong sederhanakan proses ini lagi
简陋	sederhana	Mereka tinggal di gubuk yang sangat sederhana
简体字	aksara sederhana	Buku pelajaran ini menggunakan aksara Tionghoa sederhana
简要	singkat	Tolong jelaskan pandanganmu secara singkat
健全	menyempurnakan	Perusahaan perlu menyempurnakan sistem manajemennya
剑	pedang	Sebuah pedang kuno tergantung di dinding
溅	memercik	Air hujan memercik ke celananya
舰艇	kapal perang	Beberapa kapal perang ikut serta dalam latihan
见多识广	berpengalaman dan berwawasan	Orang tua ini berpengalaman dan berwawasan luas
见解	pandangan	Dia memiliki pandangan unik tentang masalah ini
见闻	wawasan	Perjalanan memperluas wawasan dan pengalamannya
见义勇为	bertindak berani demi kebenaran	Dia dipuji karena bertindak berani demi kebenaran
践踏	menginjak	Jangan menginjak rumput
鉴别	membedakan	Para ahli dapat membedakan apakah lukisan ini asli
鉴定	memeriksa	Polisi sedang memeriksa sidik jari
鉴于	mengingat	Mengingat cuaca buruk, acara itu ditunda
间谍	mata-mata	Film ini menceritakan kisah mata-mata
间隔	jarak	Kedua rapat itu berjarak satu minggu
间接	tidak langsung	Kebijakan ini akan membawa dampak tidak langsung
僵硬	kaku	Senyumnya terlihat kaku
将军	jenderal	Jenderal itu mengeluarkan perintah
将近	hampir	Proyek ini berlangsung hampir dua tahun
将就	menerima seadanya	Kondisinya buruk, jadi kami hanya bisa menerima seadanya
奖励	memberi penghargaan	Sekolah memberi penghargaan kepada siswa berprestasi
奖赏	hadiah	Raja memberi prajurit itu hadiah yang besar
桨	dayung	Tukang perahu memakai dayung untuk mengayuh perahu ke tepi
