simplified	PT	example_PT
结实	resistente; sólido	Esta mala é muito resistente.
阶段	a fase; a etapa	O estudo está dividido em três fases.
结构	a estrutura	Este artigo tem uma estrutura clara.
结合	combinar; integrar	O estudo deve ser combinado com a prática.
结论	a conclusão	A conclusão dele é muito convincente.
结账	pagar a conta	Depois de comer, fomos pagar a conta.
节省	poupar	Ir de metro pode poupar tempo.
借口	a desculpa	Para de arranjar desculpas.
届	edição; sessão	Esta é a terceira edição da competição.
戒	deixar; abandonar	O médico aconselhou-o a deixar de fumar.
戒指	o anel	Ela está a usar um anel.
金属	o metal	O ferro é um tipo de metal.
尽快	o mais depressa possível	Por favor, responde à mensagem o mais depressa possível.
紧急	urgente; emergência	Isto é uma emergência.
谨慎	cauteloso; prudente	É preciso ter cautela antes de investir.
尽力	fazer o melhor possível; esforçar-se	Vou fazer o meu melhor para te ajudar.
尽量	tentar; tanto quanto possível	Por favor, tenta chegar o mais cedo possível.
近代	a época moderna	A China moderna passou por muitas mudanças.
进步	o progresso; progredir	O chinês dele está a progredir rapidamente.
进口	importado; importar	Este carro é importado.
精力	a energia	As crianças têm muita energia.
精神	o ânimo; o espírito	Hoje ele está com muito bom ânimo.
经典	clássico	Este é um filme clássico.
经商	fazer negócios; dedicar-se ao comércio	O pai dele faz negócios no estrangeiro.
经营	gerir; explorar	Ela gere uma pequena loja.
酒吧	o bar	À noite eles foram ao bar.
救	salvar; socorrer	O médico salvou-lhe a vida.
救护车	a ambulância	A ambulância chegou rapidamente.
舅舅	o tio materno	O meu tio materno mora em Nanquim.
居然	inesperadamente; afinal	Ele até se esqueceu do próprio aniversário.
桔子	a tangerina	Há algumas tangerinas em cima da mesa.
俱乐部	o clube	Ela entrou no clube de natação.
具备	possuir; ter	Ele tem experiência de gestão.
具体	concreto; específico	Por favor, sê um pouco mais específico.
巨大	enorme; imenso	Este projeto exige um investimento enorme.
据说	diz-se que; segundo consta	Diz-se que ele já regressou ao país.
捐	doar; contribuir	Todos estão dispostos a doar dinheiro.
决赛	a final	Amanhã é a final de futebol.
决心	a determinação; decidir	Ele decidiu aprender bem chinês.
绝对	absolutamente	Este assunto não pode ser esquecido de modo nenhum.
角色	o papel; a personagem	Ela desempenha um papel importante no filme.
军事	militar; assuntos militares	Ele interessa-se muito por história militar.
均匀	uniforme; de forma uniforme	Por favor, pinta a cor de forma uniforme.
卡车	o camião	Há um camião estacionado à entrada.
开发	desenvolver; explorar	A empresa está a desenvolver um novo produto.
开放	abrir; estar aberto	O parque abre todos os dias às seis da manhã.
开幕式	a cerimónia de abertura	A cerimónia de abertura realiza-se amanhã à noite.
开水	a água fervida; a água quente	Por favor, dá-me um copo de água quente.
砍	cortar; abater	O trabalhador está a cortar ramos.
看不起	desprezar; olhar de cima	Não desprezes ninguém.
看望	visitar	No fim de semana vou visitar os meus avós.
靠	encostar-se; apoiar-se	Ele encostou-se à parede para descansar.
颗	classificador para objetos pequenos e redondos	Há uma estrela no céu noturno.
可见	vê-se que; é evidente	Vê-se que este método é muito eficaz.
可靠	fiável	Ele é um amigo fiável.
可怕	assustador; terrível	Este sonho foi demasiado assustador.
克	o grama	Por favor, acrescenta dois gramas de sal.
克服	superar	Temos de superar as dificuldades.
刻苦	aplicado; esforçado	Ele estuda com muito empenho.
客观	objetivo	Por favor, analisa o problema de forma objetiva.
课程	o curso; a disciplina	Este curso é muito útil.
空间	o espaço	Este quarto tem muito espaço.
控制	controlar	O condutor controlou a velocidade do carro.
空闲	o tempo livre	Tens tempo livre amanhã à tarde?
口味	o gosto; o paladar	O gosto dele é relativamente suave.
夸	elogiar; gabar	O professor elogiou-o pelo grande progresso.
夸张	exagerado; exagerar	A expressão dele é um pouco exagerada.
会计	o contabilista; a contabilidade	Ela trabalha como contabilista na empresa.
宽	largo	Esta estrada é muito larga.
昆虫	o inseto	As crianças estão a observar insetos.
扩大	expandir; ampliar	A escola planeia ampliar a biblioteca.
辣椒	a malagueta; o pimento picante	Puseram muitas malaguetas no prato.
拦	parar; bloquear	A polícia mandou parar um carro.
烂	podre; estragado	Esta maçã já está podre.
朗读	ler em voz alta	Por favor, lê o texto em voz alta.
劳动	o trabalho; o trabalho manual	O trabalho faz as pessoas sentirem-se realizadas.
劳驾	com licença	Com licença, onde fica a estação de metro?
姥姥	a avó materna	A minha avó materna cozinha muito bem.
老百姓	as pessoas comuns	As pessoas comuns preocupam-se com o custo de vida.
老板	o chefe; o patrão	O chefe hoje não está no escritório.
老婆	a esposa; a mulher	Ele comprou flores para a esposa.
老实	honesto; sincero	Ele é uma pessoa honesta.
老鼠	o rato	Há um rato na cozinha.
乐观	otimista	Ela está otimista em relação ao futuro.
雷	o trovão	O trovão de ontem à noite foi muito forte.
类型	o tipo; a categoria	A que tipo pertence este género de filme?
冷淡	frio; indiferente	A atitude dele é um pouco fria.
厘米	o centímetro	Esta caneta tem quinze centímetros de comprimento.
梨	a pera	Comprei algumas peras.
离婚	divorciar-se	Eles divorciaram-se no ano passado.
理论	a teoria	Esta teoria é muito complexa.
理由	a razão; o motivo	Que razão tens para chegar atrasado?
利润	o lucro	O lucro da empresa aumentou este ano.
利息	o juro	Os juros do banco não são altos.
利益	o interesse; o benefício	Temos de proteger os interesses de todos.
利用	usar; aproveitar	Ele aproveita o fim de semana para estudar chinês.
力量	a força	A união faz a força.
立即	imediatamente	Por favor, sai daqui imediatamente.
立刻	imediatamente	Depois de ouvir a notícia, ele partiu imediatamente.
联合	unir; em conjunto	As duas empresas desenvolveram o produto em conjunto.
连忙	de imediato; rapidamente	Ao ouvir o telefone tocar, ele atendeu rapidamente.
连续	contínuo; seguido	Ele trabalhou dez horas seguidas.
恋爱	namorar; relação amorosa	Eles estão a namorar.
粮食	os cereais; os alimentos	A produção de cereais deste ano aumentou.
良好	bom; favorável	Ele tem bons hábitos de estudo.
亮	claro; brilhante	A luz no quarto está muito forte.
了不起	extraordinário; impressionante	Ela alcançou resultados impressionantes.
列车	o comboio	O comboio está prestes a partir.
临时	temporário	Esta é uma decisão temporária.
灵活	flexível	Os métodos de estudo devem ser flexíveis.
铃	a campainha	A campainha da aula tocou.
零件	a peça; o componente	Falta uma peça à máquina.
零食	o snack; o petisco	As crianças gostam de comer snacks.
领导	o líder; a liderança	O líder está numa reunião.
领域	a área; o campo	Ela trabalha na área da educação.
流传	transmitir-se; circular	Esta história foi transmitida durante muito tempo.
流泪	chorar; derramar lágrimas	Ao ouvir esta notícia, ela chorou.
浏览	navegar; consultar primeiro	Vou primeiro consultar a página web.
龙	o dragão	Há dragões na cultura chinesa.
漏	ter uma fuga; deixar passar	O telhado está a deixar entrar chuva.
录取	admitir; aceitar	Ele foi admitido na universidade.
录音	gravar áudio	Por favor, começa a gravação.
陆地	a terra firme	A tartaruga-marinha subiu para terra firme.
陆续	um após outro	Os convidados chegaram um após outro.
轮流	alternar; fazer à vez	Limpamos a sala de aula à vez.
论文	a tese; o trabalho académico	Ela está a escrever a tese de fim de curso.
逻辑	a lógica	A lógica dele é muito clara.
落后	ficar para trás	Não podemos ficar para trás dos outros.
骂	repreender; ralhar	Por favor, não ralhes com a criança.
麦克风	o microfone	Por favor, passa-lhe o microfone.
馒头	o pão cozido a vapor	Ao pequeno-almoço comi um pão cozido a vapor.
满足	satisfazer; cumprir	Esta resposta não cumpre os requisitos.
毛病	o problema; o defeito	Este computador tem um pequeno problema.
矛盾	a contradição; o conflito	Há alguns conflitos entre eles.
冒险	arriscar; aventurar-se	Ir lá sozinho é demasiado arriscado.
贸易	o comércio	O comércio internacional está a desenvolver-se rapidamente.
媒体	os meios de comunicação	Os meios de comunicação noticiaram este assunto.
煤炭	o carvão	Esta região produz carvão.
眉毛	a sobrancelha	As sobrancelhas dela são espessas.
美术	as artes plásticas; a arte	A minha irmã mais nova gosta de artes plásticas.
魅力	o encanto	Esta cidade tem muito encanto.
梦想	o sonho	O sonho dele é ser médico.
密切	próximo; estreito	Mantemos contacto próximo.
秘密	o segredo	Este é o nosso segredo.
秘书	o secretário; a secretária	A secretária marcou a hora da reunião.
蜜蜂	a abelha	Há muitas abelhas entre as flores.
面对	enfrentar	Devemos enfrentar as dificuldades com coragem.
面积	a área	A área deste quarto não é grande.
面临	enfrentar; estar perante	A empresa enfrenta novos desafios.
描写	descrever; retratar	O autor descreveu a vida rural.
苗条	esbelto; magro	Ela tem uma figura esbelta.
敏感	sensível	Este tema é relativamente sensível.
名牌	a marca famosa	Ele comprou um relógio de uma marca famosa.
名片	o cartão de visita	Por favor, dá-me um cartão de visita.
名胜古迹	locais históricos e pontos turísticos	Pequim tem muitos locais históricos e pontos turísticos.
明确	claro; esclarecer	O professor explicou claramente os requisitos.
明显	óbvio; evidente	O progresso dele é evidente.
明星	a estrela; a celebridade	Ela quer tornar-se uma estrela de cinema.
命令	a ordem; o comando	Os soldados devem obedecer às ordens.
命运	o destino	Ele acredita que o destino pode mudar.
摸	tocar	Por favor, não toques neste quadro.
摩托车	a mota; o motociclo	Ele vai de mota para o trabalho.
模仿	imitar	As crianças gostam de imitar a fala dos adultos.
模糊	desfocado; vago	Esta fotografia está um pouco desfocada.
模特	o modelo; a modelo	Ela é modelo de moda.
陌生	desconhecido; pouco familiar	Esta cidade é-me muito pouco familiar.
某	um certo; determinado	Um certo professor telefonou-me.
木头	a madeira	Esta mesa é feita de madeira.
目标	o objetivo; a meta	O meu objetivo é passar no exame.
目录	o índice; o catálogo	Por favor, olha primeiro para o índice no início do livro.
目前	atualmente; neste momento	Atualmente a situação está relativamente estável.
哪怕	mesmo que	Mesmo que esteja muito ocupado, ele continua a estudar.
难怪	não admira	Não admira que hoje estejas tão contente.
难免	ser difícil evitar; inevitável	Na primeira vez, é difícil evitar erros.
脑袋	a cabeça	A cabeça dele dói um pouco.
内部	interno; o interior	Estes são materiais internos da empresa.
内科	a medicina interna; consulta de medicina interna	Hoje ele vai a uma consulta de medicina interna.
嫩	tenro; macio	Esta carne é muito tenra.
能干	competente; capaz	Ela é uma pessoa muito competente.
能源	a energia; a fonte de energia	A energia solar é uma energia limpa.
嗯	hum; sim	Hum, já percebi.
年代	a década; a época	Esta fotografia foi tirada nos anos oitenta.
年纪	a idade	Ele não é muito velho, mas tem muita experiência.
念	ler em voz alta; estudar	Por favor, lê o texto em voz alta uma vez.
宁可	preferir; antes	Preferia ir a pé a esperar pelo autocarro.
牛仔裤	as calças de ganga	Ele está a usar umas calças de ganga.
农村	o campo; a zona rural	Ela cresceu no campo.
农民	o agricultor	Os agricultores estão a trabalhar nos campos.
农业	a agricultura	A agricultura é muito importante para esta região.
浓	forte; concentrado	Este café está demasiado forte.
女士	a senhora	Aquela senhora está à espera do autocarro.
欧洲	a Europa	Ele vai viajar pela Europa no próximo mês.
偶然	por acaso	Encontrei por acaso um antigo colega.
拍	tirar; bater palmas	Por favor, tira-me uma fotografia.
派	enviar; mandar	A empresa enviou-o a Xangai em viagem de trabalho.
盼望	esperar ansiosamente; aguardar com expectativa	Estou ansioso por te ver em breve.
培训	a formação; formar	Os novos funcionários têm de participar numa formação.
培养	cultivar; desenvolver	A escola dá importância ao desenvolvimento das capacidades dos alunos.
赔偿	indemnizar; compensar	A empresa aceitou indemnizar as perdas.
佩服	admirar	Admiro muito a coragem dele.
配合	cooperar; colaborar	Por favor, colaborem com a organização do professor.
盆	o vaso; a bacia	Há um vaso de flores na varanda.
碰	tocar; bater	Cuidado, não toques na água quente.
批	o lote; classificador para lotes	Este lote de mercadorias chegou hoje.
批准	aprovar	O gerente aprovou este plano.
披	ter sobre os ombros; cobrir	Ela tinha um casaco sobre os ombros.
疲劳	o cansaço; cansado	Trabalhar durante muito tempo pode causar cansaço.
匹	classificador para cavalos	Há um cavalo na relva.
片	a fatia; a lasca	Por favor, dá-me uma fatia de pão.
片面	unilateral; parcial	Esta opinião é demasiado parcial.
飘	flutuar; pairar	Os flocos de neve pairam no ar.
拼音	o pinyin	Por favor, escreve o pinyin ao lado dos caracteres chineses.
频道	o canal	Por favor, muda para o canal de notícias.
凭	com base em; mediante	Podes entrar mediante apresentação de bilhete.
平均	a média; em média	Em média, cada pessoa gastou dez yuan.
平	plano; nivelado	Esta estrada é muito plana.
平安	seguro; são e salvo	Desejo-te uma boa viagem.
平常	normalmente; comum	Normalmente ele raramente chega atrasado.
平等	igual; igualdade	Todos devem ser tratados de forma igual.
平方	quadrado	Este quarto tem vinte metros quadrados.
平衡	o equilíbrio	O trabalho e a vida precisam de equilíbrio.
平静	calmo; tranquilo	A superfície do lago está muito calma.
评价	avaliar; a avaliação	O professor fez uma avaliação muito positiva.
破产	ir à falência; a falência	Aquela empresa foi à falência no ano passado.
破坏	danificar; destruir	Por favor, não danifiques propriedade pública.
迫切	urgente	Precisamos urgentemente de mais médicos.
期待	aguardar com expectativa	Estou muito ansioso por esta viagem.
期间	durante; o período	Por favor, desliga o telemóvel durante a reunião.
其余	o restante; os outros	As questões restantes serão discutidas amanhã.
奇迹	o milagre	O médico disse que isto era um milagre.
企业	a empresa	Esta empresa está a desenvolver-se rapidamente.
启发	inspirar; a inspiração	Este livro deu-me muita inspiração.
气氛	o ambiente; a atmosfera	O ambiente na sala de aula é muito descontraído.
汽油	a gasolina	O carro precisa de gasolina.
签	assinar	Por favor, assina o teu nome aqui.
谦虚	modesto	Ele é excelente e também muito modesto.
前途	as perspetivas; o futuro	Esta área de estudo tem boas perspetivas.
浅	raso; superficial	Este rio é muito raso.
欠	dever; faltar	Ele ainda me deve vinte yuan.
枪	a arma; a pistola	O polícia tem uma arma na mão.
墙	a parede	Há um quadro pendurado na parede.
强调	enfatizar; salientar	O professor salientou a questão da segurança.
强烈	forte; intenso	Ele tem um forte sentido de responsabilidade.
抢	disputar; arrancar	Não disputes lugares com os outros.
悄悄	silenciosamente; às escondidas	Ela entrou silenciosamente no quarto.
瞧	olhar; ver	Olha, está a nevar lá fora.
巧妙	engenhoso; inteligente	Este método é muito engenhoso.
切	cortar	Por favor, corta a fruta em pedaços pequenos.
亲爱	querido	Querido amigo, obrigado.
亲切	amável; afável	O professor fala de forma muito amável.
亲自	pessoalmente	O gerente recebeu pessoalmente os convidados.
勤奋	diligente; trabalhador	As pessoas diligentes têm mais facilidade em ter sucesso.
清淡	leve; pouco condimentado	Gosto de comer pratos leves.
轻视	subestimar; desprezar	Não subestimes este pequeno problema.
轻易	facilmente; de ânimo leve	Ele não vai desistir facilmente.
青	azul-esverdeado; verde-azulado	Esta peça de roupa é azul-esverdeada.
青春	a juventude	A juventude é preciosa.
青少年	o adolescente	Os adolescentes precisam de dormir o suficiente.
情景	a cena; a situação	A cena do filme é muito comovente.
情绪	a emoção; o estado emocional	As emoções dele não estão muito estáveis.
请求	o pedido; pedir	Ele apresentou um pedido.
庆祝	celebrar	Celebrámos o aniversário dele.
球迷	o adepto	Muitos adeptos vieram ver o jogo.
趋势	a tendência	Esta tendência está a tornar-se cada vez mais evidente.
取消	cancelar	A atividade foi cancelada por causa da chuva.
娶	casar com; tomar como esposa	Ele tenciona casar com ela no próximo ano.
去世	falecer; morrer	O avô dele faleceu no ano passado.
圈	o círculo; circular	Por favor, faz um círculo à volta da resposta correta.
全面	completo; abrangente	Precisamos de compreender a situação de forma abrangente.
权利	o direito	Todos têm direito à educação.
权力	o poder; a autoridade	O poder deve ser supervisionado.
劝	aconselhar; persuadir	O meu amigo aconselhou-me a descansar mais cedo.
缺乏	faltar; carecer	Esta região carece de água limpa.
确定	determinar; ter a certeza	Ainda não consigo determinar a hora.
确认	confirmar	Por favor, confirma a tua morada.
群	o grupo	Um grupo de crianças está a brincar no recreio.
燃烧	arder; queimar	A madeira está a arder.
绕	contornar; dar a volta	Demos uma volta ao lago.
热爱	amar profundamente; gostar muito	Ele ama o seu trabalho.
热烈	caloroso; entusiástico	Todos deram uma receção calorosa aos convidados.
热心	prestável; entusiástico	Os vizinhos são todos muito prestáveis.
人才	o talento; a pessoa talentosa	A empresa precisa de mais pessoas talentosas.
人口	a população	Esta cidade tem uma população grande.
人类	a humanidade	A humanidade precisa de proteger a Terra.
人民币	o renminbi; o yuan chinês	Troquei algum renminbi.
人生	a vida	A vida tem muitas escolhas.
人事	os recursos humanos	Ela trabalha no departamento de recursos humanos.
人物	a personagem; a figura	As personagens do romance parecem muito reais.
人员	o pessoal; os funcionários	O pessoal já chegou todo.
忍不住	não conseguir evitar; não se conter	Ao ouvir a piada, ele não conseguiu evitar rir.
日常	diário; quotidiano	Este é o meu trabalho diário.
日程	a agenda; o programa	A agenda de hoje está muito cheia.
日历	o calendário	Há um calendário pendurado na parede.
日期	a data	Por favor, escreve a data de forma clara.
日用品	os artigos de uso diário	O supermercado vende muitos artigos de uso diário.
日子	os dias; o tempo	Ele tem estado muito ocupado nestes dias.
如何	como	Como devemos resolver este problema?
如今	hoje em dia	Hoje em dia, os transportes são muito mais convenientes.
软	macio; mole	Esta cama é muito macia.
软件	o programa informático	Este programa informático é fácil de usar.
弱	fraco	O corpo dele é relativamente fraco.
洒	derramar; salpicar	Ele derramou a água sem querer.
嗓子	a garganta	A minha garganta dói um pouco.
色彩	a cor; o colorido	Este quadro tem cores muito ricas.
杀	matar	Neste filme não há cenas de assassinato.
沙漠	o deserto	A água no deserto é muito preciosa.
沙滩	a praia	As crianças estão a brincar na praia.
傻	tolo; parvo	Não faças disparates.
晒	secar ao sol; apanhar sol	A roupa está a secar ao sol na varanda.
删除	apagar; eliminar	Por favor, apaga esta mensagem de correio eletrónico.
闪电	o relâmpago	À noite apareceu um relâmpago.
善良	bondoso; de bom coração	Ela é uma pessoa bondosa.
善于	ser bom em; ter jeito para	Ele é bom a resolver problemas.
扇子	o leque	No verão uso muitas vezes um leque.
伤害	magoar; prejudicar	Não magoes os sentimentos dos outros.
商品	o produto; a mercadoria	Esta loja tem muitos produtos.
商务	negócios; comercial	Amanhã ele vai participar numa reunião de negócios.
商业	o comércio	O comércio está muito desenvolvido nesta região.
上当	ser enganado; cair numa armadilha	Ele quase foi enganado.
蛇	a cobra	Há uma cobra na erva.
舍不得	custar separar-se; não querer deixar	Custa-me deixar este lugar.
射击	o tiro; disparar	Ele está a treinar tiro.
摄影	a fotografia	Ela interessa-se muito por fotografia.
设备	o equipamento	O equipamento do laboratório é muito avançado.
设计	o design; desenhar	Este design é muito criativo.
设施	as instalações	As instalações desportivas da escola são boas.
伸	estender	Por favor, estende a mão.
深刻	profundo; marcante	Esta experiência deixou-me uma impressão profunda.
身材	a constituição física; a figura	Ela tem uma constituição física saudável.
身份	a identidade	Por favor, apresenta um comprovativo de identidade.
神话	o mito; a mitologia	As crianças gostam de ouvir mitos.
神秘	misterioso	Esta cidade antiga é muito misteriosa.
升	o litro; subir	O preço do combustível subiu um pouco por litro.
声调	o tom	O chinês tem quatro tons básicos.
生产	produzir	Esta fábrica produz telemóveis.
生动	vivo; expressivo	O professor explica de forma muito expressiva.
生长	crescer	Este tipo de planta cresce rapidamente.
绳子	a corda	Por favor, ata a caixa com uma corda.
省略	omitir; a omissão	Aqui pode omitir-se um carácter.
胜利	a vitória	Finalmente alcançaram a vitória.
失眠	a insónia; sofrer de insónia	Ultimamente ele sofre frequentemente de insónia.
失去	perder	Não percas a confiança.
失业	ficar desempregado; o desemprego	Depois de ficar desempregado, começou a aprender novas competências.
湿润	húmido	O ar depois da chuva está muito húmido.
狮子	o leão	Há dois leões no jardim zoológico.
诗	o poema; a poesia	Ele escreveu um poema.
实话	a verdade	Por favor, diz a verdade.
实践	a prática; pôr em prática	A teoria precisa de ser testada pela prática.
实习	fazer estágio	Ela vai fazer estágio num hospital durante as férias de verão.
实现	realizar; concretizar	Ele finalmente realizou o seu sonho.
实验	a experiência; fazer uma experiência	Os alunos estão a fazer uma experiência.
实用	prático	Esta ferramenta é muito prática.
时差	a diferença horária	Ele ainda não se habituou à diferença horária.
时代	a era; a época	Vivemos na era da informação.
时刻	o momento	Por favor, lembra-te deste momento importante.
时髦	na moda	Esta peça de roupa está muito na moda.
时期	o período	O período universitário teve grande influência nele.
时尚	a moda	Ela interessa-se muito por moda.
石头	a pedra	Há uma pedra junto à estrada.
食物	a comida; o alimento	Por favor, põe a comida no frigorífico.
使劲儿	fazer força	É preciso fazer força para abrir esta garrafa.
始终	sempre; do princípio ao fim	Ele sempre acreditou que conseguiria ter sucesso.
事实	o facto	Os factos provam que ele tinha razão.
事物	a coisa; o objeto	As crianças têm muita curiosidade por coisas novas.
事先	antecipadamente; de antemão	Por favor, diz-me a hora com antecedência.
似的	como se	Ele parecia tão cansado que nem queria dizer uma palavra.
士兵	o soldado	Os soldados estão a treinar.
市场	o mercado	Este mercado é muito animado.
试卷	a prova; o teste	O professor está a corrigir as provas.
收获	o ganho; colher	Esta viagem deu-me muitos ganhos.
收据	o recibo	Por favor, guarda o recibo depois de pagar.
手工	feito à mão; manual	Este presente foi feito à mão.
手术	a cirurgia; a operação	O médico vai operá-lo amanhã.
手套	a luva	Usa luvas quando saíres no inverno.
手续	os procedimentos; as formalidades	Para tratar dos procedimentos é preciso cartão de identificação.
手指	o dedo	O dedo dele ficou ferido.
首	classificador para canções e poemas	Ela cantou uma canção.
受伤	ficar ferido	Ele ficou ferido durante o jogo.
寿命	a vida útil; a esperança de vida	Este tipo de máquina tem uma vida útil longa.
书架	a estante	A estante está cheia de livros.
梳子	o pente	Ela penteia o cabelo com um pente.
舒适	confortável	Este quarto é muito confortável.
蔬菜	os legumes; os vegetais	Comer mais legumes faz bem à saúde.
输入	introduzir; inserir	Por favor, introduz a palavra-passe no computador.
熟练	proficiente; habilidoso	Ele sabe usar o computador com destreza.
属于	pertencer a	Este livro pertence à biblioteca.
数	contar	Por favor, conta quantas pessoas há.
鼠标	o rato do computador	O meu rato do computador avariou-se.
数据	os dados	Estes dados são muito importantes.
数码	digital	Ele comprou uma máquina fotográfica digital.
摔倒	cair	Ela caiu na estrada.
甩	sacudir	Ele sacudiu a água das mãos.
双方	ambas as partes	Ambas as partes concordaram com este plano.
税	o imposto	É preciso pagar imposto ao comprar coisas.
说不定	talvez; não se sabe ao certo	Talvez amanhã neve.
说服	convencer	Ele finalmente convenceu os pais.
丝绸	a seda	Este lenço é feito de seda.
丝毫	nem um pouco; o mínimo	Ele não mudou de ideias nem um pouco.
思考	pensar; refletir	Por favor, pensa seriamente neste problema.
思想	o pensamento; a ideia	O pensamento dele é muito aberto.
撕	rasgar	Por favor, não rasgues esta folha de papel.
私人	privado	Este é o meu espaço privado.
似乎	parecer	Parece que ele não está muito contente.
搜索	pesquisar; procurar	Pesquisei materiais na Internet.
宿舍	a residência estudantil; o dormitório	Os alunos vivem na residência estudantil da escola.
随身	consigo; junto de si	Por favor, mantém o passaporte contigo.
随时	a qualquer momento	Podes telefonar-me a qualquer momento.
随手	ao sair; de passagem	Por favor, fecha a porta ao saíres.
碎	partir-se; em pedaços	O copo caiu ao chão e partiu-se.
损失	a perda; o prejuízo	Este acidente causou grandes prejuízos.
缩短	encurtar	A nova rota encurtou o percurso.
所	classificador para instituições	Esta escola é muito famosa.
锁	trancar; a fechadura	Por favor, tranca a porta antes de sair.
台阶	o degrau; os degraus	O idoso subiu lentamente os degraus.
太极拳	o taijiquan; tai chi	Há pessoas a praticar tai chi no parque.
太太	a senhora; a esposa	A senhora Wang está a cozinhar.
谈判	negociar; a negociação	As duas partes estão a negociar.
坦率	franco; aberto	Ele expressou francamente as suas ideias.
烫	muito quente; queimar	Esta chávena de chá está muito quente.
桃	o pêssego	A árvore deu muitos pêssegos.
淘气	traquina	Esta criança é um pouco traquina.
逃	fugir	O cachorrinho fugiu do quintal.
逃避	evitar; fugir a	Não fujas à responsabilidade.
讨价还价	regatear	Ele gosta de regatear quando faz compras.
套	o conjunto; classificador para conjuntos	Ele comprou um conjunto de roupa nova.
特色	a característica; a especialidade	Este restaurante tem características locais.
特殊	especial; particular	Hoje é um dia especial.
特征	a característica	Este animal tem características evidentes.
疼爱	amar muito; mimar	Os avós gostam muito da criança.
提倡	promover; defender	A escola promove a poupança de água.
提纲	o esboço; o plano	Faz primeiro um esboço antes de escrever o artigo.
提问	fazer perguntas	Os alunos podem fazer perguntas a qualquer momento.
题目	o tema; a pergunta	Esta pergunta não é muito difícil.
体会	a compreensão; perceber por experiência	Através da viagem, ganhei uma nova compreensão.
体贴	atencioso	Ele é muito atencioso com a família.
体现	refletir; demonstrar	Este assunto reflete o espírito de equipa.
体验	experimentar; viver	Quero experimentar a vida local.
天空	o céu	O céu hoje está muito azul.
天真	inocente; ingénuo	A ideia da criança é muito inocente.
调皮	traquina; maroto	Aquele gato é muito traquina.
调整	ajustar; o ajuste	Precisamos de ajustar o plano.
挑战	o desafio	Este é um grande desafio.
通常	normalmente; habitualmente	Ele normalmente levanta-se às sete.
统一	unificar; harmonizar	As opiniões de todos precisam de ser harmonizadas.
痛苦	a dor; o sofrimento	Perder o amigo deixou-o muito triste.
痛快	muito satisfeito; à vontade	Hoje divertimo-nos mesmo muito.
偷	roubar	Não roubes as coisas dos outros.
投入	dedicado; investir-se	Ele trabalha com muita dedicação.
投资	investir; o investimento	Eles investiram num novo projeto.
透明	transparente	Este copo é transparente.
突出	destacado; evidente	As qualidades dele são muito evidentes.
土地	a terra; o terreno	Este terreno é muito fértil.
土豆	a batata	Comprei algumas batatas.
兔子	o coelho	A criança tem um coelho.
吐	vomitar	Ele não se sente bem e quer vomitar.
团	o grupo; a excursão	Participámos numa excursão.
推辞	recusar; declinar	Ele recusou o convite do amigo.
推广	promover; divulgar	A empresa está a promover um novo produto.
推荐	recomendar	O professor recomendou este livro.
退	recuar	Por favor, recua um passo.
退步	regredir; piorar	Se não praticares, o teu nível vai piorar.
退休	reformar-se	Ele vai reformar-se no próximo ano.
歪	torto	Este quadro está pendurado torto.
外公	o avô materno	O meu avô materno faz oitenta anos este ano.
外交	a diplomacia; as relações externas	Ele estuda relações internacionais e diplomacia.
完美	perfeito; a perfeição	Este plano não é perfeito.
完善	aperfeiçoar; melhorar	Precisamos de melhorar o processo de serviço.
完整	completo; inteiro	Por favor, dá-me um relatório completo.
玩具	o brinquedo	A criança pôs os brinquedos dentro da caixa.
万一	caso; se por acaso	Se por acaso chover, vamos noutro dia.
王子	o príncipe	O príncipe da história é muito corajoso.
往返	ida e volta	Este bilhete permite ida e volta no mesmo dia.
网络	a Internet; a rede	A ligação à Internet aqui é muito estável.
危害	prejudicar; pôr em perigo	Fumar prejudica a saúde.
威胁	ameaçar	A poluição ameaça o rio.
微笑	sorrir; o sorriso	Ela sorriu para mim.
唯一	único	Esta é a única solução.
围巾	o cachecol	No inverno ele usa cachecol.
围绕	girar em torno de; centrar-se em	A discussão centrou-se nesta questão.
维修	reparar; manutenção	O elevador está em reparação.
违反	violar; infringir	Fazer isto viola as regras.
伟大	grande; grandioso	Esta é uma grande descoberta.
委屈	sentir-se injustiçado	Ela sentiu-se muito injustiçada.
尾巴	a cauda	O cachorrinho abanava a cauda.
位于	situar-se	A escola situa-se no centro da cidade.
位置	o lugar; a posição	Este lugar é muito sossegado.
未必	não necessariamente	O que ele disse não é necessariamente verdade.
未来	o futuro	Temos de nos preparar para o futuro.
胃	o estômago	O meu estômago está um pouco desconfortável.
胃口	o apetite	Hoje ele tem bom apetite.
温暖	morno; quente	O sol da primavera é muito quente.
温柔	suave; delicado	Ela fala de forma muito suave.
文件	o documento; o ficheiro	Por favor, envia-me o documento.
文具	o material escolar; a papelaria	Há muito material escolar na mochila.
文明	civilizado; a civilização	Fazer fila é um comportamento civilizado.
文学	a literatura	Ela gosta de literatura chinesa.
文字	a escrita; os caracteres	Estes caracteres são difíceis de ler.
闻	cheirar; ouvir notícias	Senti um aroma de flores.
吻	beijar; o beijo	A mãe beijou o rosto da criança.
稳定	estável	Os preços mantêm-se estáveis.
