simplified	SV	example_SV
决赛	en final	Imorgon är det fotbollsfinal.
决心	beslutsamhet	Han bestämde sig för att lära sig kinesiska väl.
绝对	absolut	Den här saken får absolut inte glömmas.
角色	en roll	Hon spelar en viktig roll i filmen.
军事	militär	Han är mycket intresserad av militärhistoria.
均匀	jämn	Måla färgen jämnt.
卡车	en lastbil	En lastbil står parkerad vid ingången.
开发	utveckla	Företaget utvecklar en ny produkt.
开放	öppna	Parken öppnar klockan sex varje morgon.
开幕式	en öppningsceremoni	Öppningsceremonin hålls imorgon kväll.
开水	kokt vatten	Ge mig ett glas kokt vatten.
砍	hugga	Arbetaren hugger av grenar.
看不起	se ner på	Se inte ner på någon.
看望	besöka	Jag ska besöka mina morföräldrar i helgen.
靠	luta sig mot	Han lutade sig mot väggen och vilade.
颗	räkneord för små runda saker	Det finns en stjärna på natthimlen.
可见	det är tydligt	Det är tydligt att den här metoden är effektiv.
可靠	pålitlig	Han är en pålitlig vän.
可怕	hemsk	Den här drömmen var för hemsk.
克	gram	Tillsätt två gram salt.
克服	övervinna	Vi måste övervinna svårigheter.
刻苦	flitig	Han studerar mycket flitigt.
客观	objektiv	Analysera problemet objektivt.
课程	en kurs	Den här kursen är mycket användbar.
空间	utrymme	Det här rummet har mycket utrymme.
控制	kontrollera	Föraren kontrollerade bilens hastighet.
空闲	ledig tid	Har du ledig tid imorgon eftermiddag?
口味	en smak	Hans smak är ganska mild.
夸	berömma	Läraren berömde honom för stora framsteg.
夸张	överdriven	Hans ansiktsuttryck är lite överdrivet.
会计	en revisor; bokföring	Hon arbetar som revisor på företaget.
宽	bred	Den här vägen är mycket bred.
昆虫	en insekt	Barnen observerar insekter.
扩大	utvidga	Skolan planerar att utvidga biblioteket.
辣椒	chili	Det lades mycket chili i rätten.
拦	stoppa	Polisen stoppade en bil.
烂	rutten	Det här äpplet har redan ruttnat.
朗读	läsa högt	Läs texten högt.
劳动	arbete	Arbete får människor att känna sig tillfredsställda.
劳驾	ursäkta	Ursäkta, var ligger tunnelbanestationen?
姥姥	mormor	Min mormor lagar mycket god mat.
老百姓	vanligt folk	Vanligt folk bryr sig om levnadskostnaderna.
老板	en chef	Chefen är inte på kontoret idag.
老婆	en fru	Han köpte blommor till sin fru.
老实	ärlig	Han är en ärlig person.
老鼠	en mus	Det finns en mus i köket.
乐观	optimistisk	Hon är optimistisk inför framtiden.
雷	åska	Åskan i går kväll var mycket hög.
类型	en typ	Vilken typ hör den här sortens film till?
冷淡	kylig	Hans attityd är lite kylig.
厘米	en centimeter	Den här pennan är femton centimeter lång.
梨	ett päron	Jag köpte flera päron.
离婚	skilja sig	De skilde sig förra året.
理论	en teori	Den här teorin är mycket komplicerad.
理由	en anledning	Vilken anledning har du att komma sent?
利润	vinst	Företagets vinst ökade i år.
利息	ränta	Bankräntan är inte hög.
利益	intresse; nytta	Vi måste skydda allas intressen.
利用	använda	Han använder helgen för att studera kinesiska.
力量	kraft	Enighet är styrka.
立即	omedelbart	Lämna den här platsen omedelbart.
立刻	genast	Efter att ha hört nyheten gav han sig genast av.
联合	gemensamt; förena	Två företag utvecklade produkten gemensamt.
连忙	snabbt; genast	När han hörde telefonen ringa tog han snabbt upp den.
连续	i rad; oavbruten	Han arbetade tio timmar i rad.
恋爱	ett kärleksförhållande	De är i ett kärleksförhållande.
粮食	livsmedel; spannmål	Årets spannmålsproduktion ökade.
良好	god	Han har goda studievanor.
亮	ljus	Lampan i rummet är mycket ljus.
了不起	fantastisk	Hon uppnådde fantastiska resultat.
列车	ett tåg	Tåget ska strax avgå.
临时	tillfällig	Det här är ett tillfälligt beslut.
灵活	flexibel	Studiemetoder bör vara flexibla.
铃	en klocka	Skolklockan ringde.
零件	en del; komponent	Maskinen saknar en del.
零食	ett mellanmål; snacks	Barn tycker om att äta snacks.
领导	en ledare	Ledaren sitter i möte.
领域	ett område	Hon arbetar inom utbildningsområdet.
流传	spridas; föras vidare	Den här berättelsen har förts vidare länge.
流泪	fälla tårar	Efter att ha hört nyheten fällde hon tårar.
浏览	bläddra; surfa	Jag ska först bläddra igenom webbsidan.
龙	en drake	Det finns drakar i kinesisk kultur.
漏	läcka	Taket läcker in regn.
录取	anta; bli antagen	Han blev antagen till universitetet.
录音	spela in	Starta inspelningen.
陆地	land	Havssköldpaddan kröp upp på land.
陆续	en efter en	Gästerna kom en efter en.
轮流	turas om	Vi turas om att städa klassrummet.
论文	en uppsats; avhandling	Hon skriver sin examensuppsats.
逻辑	logik	Hans logik är mycket tydlig.
落后	hamna efter	Vi får inte hamna efter andra.
骂	skälla ut	Skäll inte på barnet.
麦克风	en mikrofon	Ge mikrofonen till honom.
馒头	en ångad bulle	Jag åt en ångad bulle till frukost.
满足	uppfylla; tillfredsställa	Det här svaret uppfyller inte kraven.
毛病	ett problem; fel	Den här datorn har ett litet problem.
矛盾	en motsättning; konflikt	Det finns några konflikter mellan dem.
冒险	ta risker	Att åka dit ensam är för riskabelt.
贸易	handel	Internationell handel utvecklas snabbt.
媒体	medier	Medierna rapporterade om saken.
煤炭	kol	Den här regionen producerar kol.
眉毛	ett ögonbryn	Hennes ögonbryn är tjocka.
美术	konst	Min lillasyster tycker om konst.
魅力	charm	Den här staden har mycket charm.
梦想	en dröm	Hans dröm är att bli läkare.
密切	nära	Vi håller nära kontakt.
秘密	en hemlighet	Det här är vår hemlighet.
秘书	en sekreterare	Sekreteraren ordnade mötestiden.
蜜蜂	ett bi	Det finns många bin bland blommorna.
面对	möta	Vi bör möta svårigheter modigt.
面积	en yta	Ytan på det här rummet är inte stor.
面临	stå inför	Företaget står inför nya utmaningar.
描写	beskriva	Författaren beskrev livet på landsbygden.
苗条	smal; slank	Hon har en slank figur.
敏感	känslig	Det här ämnet är ganska känsligt.
名牌	ett känt märke	Han köpte en klocka av ett känt märke.
名片	ett visitkort	Ge mig ett visitkort.
名胜古迹	sevärdheter och historiska platser	Beijing har många sevärdheter och historiska platser.
明确	tydlig	Läraren förklarade kraven tydligt.
明显	uppenbar	Hans framsteg är uppenbara.
明星	en stjärna; kändis	Hon vill bli filmstjärna.
命令	en order	Soldater måste lyda order.
命运	ett öde	Han tror att ödet kan förändras.
摸	röra vid	Rör inte den här tavlan.
摩托车	en motorcykel	Han kör motorcykel till jobbet.
模仿	härma	Barn tycker om att härma vuxnas tal.
模糊	suddig	Det här fotot är lite suddigt.
模特	en modell	Hon är fotomodell.
陌生	främmande	Den här staden känns mycket främmande för mig.
某	en viss	En viss lärare ringde mig.
木头	trä	Det här bordet är gjort av trä.
目标	ett mål	Mitt mål är att klara provet.
目录	en innehållsförteckning	Titta först på innehållsförteckningen längst fram i boken.
目前	för närvarande	För närvarande är situationen ganska stabil.
哪怕	även om	Även om han är upptagen fortsätter han att studera.
难怪	inte konstigt	Inte konstigt att du är så glad idag.
难免	svårt att undvika	Det är svårt att undvika misstag första gången.
脑袋	ett huvud	Han har lite ont i huvudet.
内部	intern	Det här är internt företagsmaterial.
内科	internmedicin	Han ska till internmedicin idag.
嫩	mör; mjuk	Den här köttbiten är mycket mör.
能干	duktig; kompetent	Hon är en mycket kompetent person.
能源	energi	Solenergi är en sorts ren energi.
嗯	mm; ja	Mm, jag förstår.
年代	ett årtionde; en period	Det här fotot togs på 1980-talet.
年纪	ålder	Han är inte särskilt gammal, men har mycket erfarenhet.
念	läsa högt	Läs texten högt en gång.
宁可	hellre	Jag går hellre än väntar på bussen.
牛仔裤	jeans	Han har ett par jeans på sig.
农村	landsbygden	Hon växte upp på landsbygden.
农民	en bonde	Bönderna arbetar på fälten.
农业	jordbruk	Jordbruk är mycket viktigt för den här regionen.
浓	stark; koncentrerad	Det här kaffet är för starkt.
女士	en dam	Den där damen väntar på bussen.
欧洲	Europa	Han reser till Europa nästa månad.
偶然	av en slump	Jag träffade en gammal klasskamrat av en slump.
拍	ta ett foto	Hjälp mig att ta ett foto.
派	skicka	Företaget skickade honom till Shanghai på tjänsteresa.
盼望	se fram emot	Jag ser fram emot att träffa dig snart.
培训	en utbildning; träning	Nya anställda måste delta i utbildning.
培养	utveckla; utbilda	Skolan lägger vikt vid att utveckla elevernas förmågor.
赔偿	ersätta	Företaget gick med på att ersätta förlusten.
佩服	beundra	Jag beundrar verkligen hans mod.
配合	samarbeta	Samarbeta med lärarens arrangemang.
盆	en kruka; balja	Det står en kruka blommor på balkongen.
碰	röra vid; stöta till	Var försiktig, rör inte det heta vattnet.
批	en omgång; parti	Det här varupartiet kom idag.
批准	godkänna	Chefen godkände den här planen.
披	bära över axlarna	Hon har en rock över axlarna.
疲劳	trötthet	Långvarigt arbete kan göra en trött.
匹	räkneord för hästar	Det står en häst på gräset.
片	en skiva; bit	Ge mig en skiva bröd.
片面	ensidig	Den här uppfattningen är alltför ensidig.
飘	sväva	Snöflingor svävar i luften.
拼音	pinyin	Skriv pinyin bredvid de kinesiska tecknen.
频道	en kanal	Byt till nyhetskanalen.
凭	med hjälp av; på grundval av	Man kan komma in med biljett.
平均	i genomsnitt	I genomsnitt spenderade varje person tio yuan.
平	platt; jämn	Den här vägen är mycket jämn.
平安	säker; välbehållen	Jag önskar dig en säker resa.
平常	vanligen; vardaglig	Han kommer sällan sent i vanliga fall.
平等	jämlikhet; jämlik	Alla bör behandlas jämlikt.
平方	kvadrat	Det här rummet är tjugo kvadratmeter.
平衡	balans	Arbete och liv behöver balans.
平静	lugn	Sjöytan är mycket lugn.
评价	utvärdera; bedömning	Läraren gav en mycket hög bedömning.
破产	gå i konkurs	Det där företaget gick i konkurs förra året.
破坏	förstöra; skada	Förstör inte offentlig egendom.
迫切	akut; brådskande	Vi behöver akut fler läkare.
期待	se fram emot	Jag ser mycket fram emot den här resan.
期间	under; period	Stäng av mobilen under mötet.
其余	resten	Resten av frågorna diskuteras imorgon.
奇迹	ett mirakel	Läkaren sade att det var ett mirakel.
企业	ett företag	Det här företaget utvecklas snabbt.
启发	inspiration	Den här boken gav mig mycket inspiration.
气氛	en stämning	Stämningen i klassrummet är mycket avslappnad.
汽油	bensin	Bilen behöver tankas med bensin.
签	skriva under	Skriv under här.
谦虚	ödmjuk	Han är duktig och också mycket ödmjuk.
前途	framtidsutsikter	Det här huvudämnet har goda framtidsutsikter.
浅	grund	Den här floden är mycket grund.
欠	vara skyldig	Han är fortfarande skyldig mig tjugo yuan.
枪	ett gevär; vapen	Polisen håller ett vapen i handen.
墙	en vägg	Det hänger en tavla på väggen.
强调	betona	Läraren betonade säkerhetsfrågorna.
强烈	stark	Han har en stark ansvarskänsla.
抢	bråka om; ta	Bråka inte med andra om sittplatser.
悄悄	tyst; i smyg	Hon gick tyst in i rummet.
瞧	titta	Titta, det snöar ute.
巧妙	smart; fyndig	Den här metoden är mycket smart.
切	skära	Skär frukten i små bitar.
亲爱	kär; kära	Kära vän, tack.
亲切	vänlig	Läraren talar mycket vänligt.
亲自	personligen	Chefen tog personligen emot gästerna.
勤奋	flitig	Flitiga människor lyckas lättare.
清淡	lätt; mild	Jag tycker om att äta mild mat.
轻视	underskatta	Underskatta inte det här lilla problemet.
轻易	lätt; utan vidare	Han ger inte upp lätt.
青	blågrön	Det här klädesplagget är blågrönt.
青春	ungdom	Ungdomen är värdefull.
青少年	tonåringar	Tonåringar behöver tillräckligt med sömn.
情景	en scen; situation	Scenen i filmen är mycket rörande.
情绪	humör; känslor	Hans humör är inte särskilt stabilt.
请求	en begäran	Han framförde en begäran.
庆祝	fira	Vi firade hans födelsedag.
球迷	en sportfantast	Många fans kom för att se matchen.
趋势	en trend	Den här trenden blir allt tydligare.
取消	ställa in	Aktiviteten ställdes in på grund av regnet.
娶	gifta sig med en kvinna	Han planerar att gifta sig med henne nästa år.
去世	gå bort	Hans farfar gick bort förra året.
圈	en cirkel; ringa in	Ringa in rätt svar.
全面	heltäckande	Vi behöver förstå situationen heltäckande.
权利	en rättighet	Alla har rätt till utbildning.
权力	makt	Makt bör övervakas.
劝	råda; övertala	Min vän rådde mig att vila tidigare.
缺乏	sakna; brist	Det här området saknar rent vatten.
确定	bestämma; säker	Jag kan ännu inte bestämma tiden.
确认	bekräfta	Bekräfta din adress.
群	en grupp	En grupp barn leker på skolgården.
燃烧	brinna	Veden brinner.
绕	gå runt	Vi gick ett varv runt sjön.
热爱	älska	Han älskar sitt arbete.
热烈	varm; entusiastisk	Alla välkomnade gästerna varmt.
热心	hjälpsam; engagerad	Grannarna är alla mycket hjälpsamma.
人才	talang; begåvade personer	Företaget behöver fler begåvade personer.
人口	befolkning	Den här staden har stor befolkning.
人类	mänskligheten	Mänskligheten behöver skydda jorden.
人民币	renminbi	Jag växlade lite renminbi.
人生	livet	Livet har många val.
人事	personalavdelning	Hon arbetar på personalavdelningen.
人物	en person; karaktär	Karaktärerna i romanen känns mycket verkliga.
人员	personal	Personalen har redan kommit.
忍不住	inte kunna låta bli	Efter att ha hört skämtet kunde han inte låta bli att skratta.
日常	daglig	Det här är mitt dagliga arbete.
日程	ett schema	Dagens schema är fullt.
日历	en kalender	Det hänger en kalender på väggen.
日期	ett datum	Skriv datumet tydligt.
日用品	dagliga förnödenheter	Supermarknaden säljer många dagliga förnödenheter.
日子	dagar; tid	Han har varit mycket upptagen de senaste dagarna.
如何	hur	Hur ska vi lösa det här problemet?
如今	numera	Numera är trafiken mycket bekvämare.
软	mjuk	Den här sängen är mycket mjuk.
软件	programvara	Den här programvaran är lätt att använda.
弱	svag	Hans kropp är ganska svag.
洒	spilla	Han råkade spilla vattnet.
嗓子	hals; röst	Jag har lite ont i halsen.
色彩	färger	Den här målningen har rika färger.
杀	döda	Det finns inga mordscener i den här filmen.
沙漠	en öken	Vatten i öknen är mycket värdefullt.
沙滩	en strand	Barnen leker på stranden.
傻	dum	Gör inga dumma saker.
晒	torka i solen	Kläderna torkar i solen på balkongen.
删除	radera	Radera det här mejlet.
闪电	blixt	Det kom blixtar på natten.
善良	godhjärtad	Hon är en godhjärtad person.
善于	vara bra på	Han är bra på att lösa problem.
扇子	en solfjäder	Jag använder ofta en solfjäder på sommaren.
伤害	såra; skada	Såra inte andras känslor.
商品	en vara	Den här butiken har många varor.
商务	affärs-	Han ska delta i ett affärsmöte imorgon.
商业	handel; näringsliv	Handeln i det här området är välutvecklad.
上当	bli lurad	Han blev nästan lurad.
蛇	en orm	Det finns en orm i gräset.
舍不得	ha svårt att lämna	Jag har svårt att lämna den här platsen.
射击	skjuta	Han tränar skytte.
摄影	fotografi	Hon är mycket intresserad av fotografi.
设备	utrustning	Utrustningen i laboratoriet är mycket avancerad.
设计	en design; designa	Den här designen är mycket kreativ.
设施	anläggningar	Skolans idrottsanläggningar är bra.
伸	sträcka ut	Sträck ut handen.
深刻	djup	Den här erfarenheten gjorde ett djupt intryck på mig.
身材	kroppsbyggnad	Hon har en hälsosam kroppsbyggnad.
身份	identitet; status	Visa identitetshandling.
神话	en myt	Barn tycker om att lyssna på myter.
神秘	mystisk	Den här gamla staden är mycket mystisk.
升	stiga; liter	Oljepriset steg lite per liter.
声调	en ton	Kinesiskan har fyra grundtoner.
生产	producera	Den här fabriken producerar mobiltelefoner.
生动	levande	Läraren förklarar mycket levande.
生长	växa	Den här växtarten växer snabbt.
绳子	ett rep	Bind lådan med ett rep.
省略	utelämna	Ett tecken kan utelämnas här.
胜利	en seger	De vann till slut segern.
失眠	ha sömnlöshet	Han har ofta haft sömnproblem på sistone.
失去	förlora	Förlora inte självförtroendet.
失业	bli arbetslös	Efter att han blev arbetslös började han lära sig nya färdigheter.
湿润	fuktig	Luften efter regnet är mycket fuktig.
狮子	ett lejon	Det finns två lejon på zoo.
诗	en dikt	Han skrev en dikt.
实话	sanningen	Säg sanningen.
实践	praktik; tillämpa	Teori behöver prövas genom praktik.
实习	praktisera	Hon praktiserar på sjukhus under sommarlovet.
实现	förverkliga	Han förverkligade till slut sin dröm.
实验	ett experiment	Studenterna gör ett experiment.
实用	praktisk	Det här verktyget är mycket praktiskt.
时差	tidsskillnad; jetlag	Han har ännu inte vant sig vid tidsskillnaden.
时代	en tidsålder	Vi lever i informationsåldern.
时刻	ett ögonblick	Kom ihåg detta viktiga ögonblick.
时髦	modern	Det här klädesplagget är mycket modernt.
时期	en period	Hans universitetstid påverkade honom mycket.
时尚	mode	Hon är mycket intresserad av mode.
石头	en sten	Det ligger en sten vid vägen.
食物	mat	Lägg maten i kylskåpet.
使劲儿	anstränga sig	Man behöver ta i för att öppna den här flaskan.
始终	alltid; hela tiden	Han trodde alltid att han kunde lyckas.
事实	ett faktum	Fakta visar att han hade rätt.
事物	en sak	Barn är mycket nyfikna på nya saker.
事先	i förväg	Berätta tiden för mig i förväg.
似的	som om	Han verkade så trött att han inte ville säga ett ord.
士兵	en soldat	Soldaterna tränar.
市场	en marknad	Den här marknaden är mycket livlig.
试卷	ett provpapper	Läraren rättar provpapper.
收获	en skörd; vinning	Den här resan gav mig mycket.
收据	ett kvitto	Spara kvittot efter betalningen.
手工	handarbete; handgjord	Den här presenten är handgjord.
手术	en operation	Läkaren ska operera honom imorgon.
手套	en handske	Ha på dig handskar när du går ut på vintern.
手续	formaliteter; procedur	Man behöver ID-kort för att ordna formaliteterna.
手指	ett finger	Hans finger är skadat.
首	räkneord för sånger och dikter	Hon sjöng en sång.
受伤	bli skadad	Han skadades under matchen.
寿命	livslängd	Den här typen av maskin har lång livslängd.
书架	en bokhylla	Bokhyllan är full av böcker.
梳子	en kam	Hon kammar håret med en kam.
舒适	bekväm	Det här rummet är mycket bekvämt.
蔬菜	grönsaker	Att äta mer grönsaker är bra för hälsan.
输入	mata in	Mata in lösenordet i datorn.
熟练	skicklig	Han kan använda datorn skickligt.
属于	tillhöra	Den här boken tillhör biblioteket.
数	räkna	Räkna hur många personer det finns.
鼠标	en mus	Min datormus är trasig.
数据	data; uppgifter	De här uppgifterna är mycket viktiga.
数码	digital	Han köpte en digitalkamera.
摔倒	falla	Hon föll på vägen.
甩	skaka av	Han skakade av vattnet från händerna.
双方	båda parter	Båda parter gick med på planen.
税	skatt	Man måste betala skatt när man köper saker.
说不定	kanske	Kanske snöar det imorgon.
说服	övertala	Han övertalade till slut sina föräldrar.
丝绸	siden	Den här halsduken är gjord av siden.
丝毫	inte alls	Han ändrade sig inte alls.
思考	tänka över	Tänk noggrant över det här problemet.
思想	tanke; tänkande	Hans tänkande är mycket öppet.
撕	riva	Riv inte sönder det här papperet.
私人	privat	Det här är mitt privata utrymme.
似乎	verka	Han verkar inte särskilt glad.
搜索	söka	Jag sökte efter material på nätet.
宿舍	en sovsal; studentbostad	Studenterna bor i skolans sovsal.
随身	ha med sig	Ha passet med dig.
随时	när som helst	Du kan ringa mig när som helst.
随手	i förbifarten; direkt	Stäng dörren efter dig när du går.
碎	gå sönder	Koppen föll på marken och gick sönder.
损失	en förlust	Olyckan orsakade en stor förlust.
缩短	förkorta	Den nya vägen förkortade resan.
所	räkneord för skolor och institutioner	Den här skolan är mycket berömd.
锁	låsa	Lås dörren innan du går ut.
台阶	ett trappsteg	Den äldre personen gick långsamt uppför trappstegen.
太极拳	tai chi	Några personer tränar tai chi i parken.
太太	fru; dam	Fru Wang lagar mat.
谈判	förhandla	Båda parter förhandlar.
坦率	ärlig; öppen	Han uttryckte sina tankar ärligt.
烫	het	Den här koppen te är mycket het.
桃	en persika	Det växte många persikor på trädet.
淘气	busig	Det här barnet är lite busigt.
逃	fly; rymma	Valpen rymde från gården.
逃避	undvika	Undvik inte ansvar.
讨价还价	pruta	Han tycker om att pruta när han handlar.
套	ett set	Han köpte ett nytt set kläder.
特色	ett särdrag	Den här restaurangen har lokala särdrag.
特殊	speciell	Idag är en speciell dag.
特征	ett kännetecken	Den här sortens djur har tydliga kännetecken.
疼爱	älska ömt	Farfar och farmor älskar barnet mycket.
提倡	främja; förespråka	Skolan förespråkar att spara vatten.
提纲	en disposition	Gör först en disposition innan du skriver en artikel.
提问	ställa en fråga	Studenterna kan ställa frågor när som helst.
题目	en fråga; titel	Den här frågan är inte särskilt svår.
体会	en insikt	Genom resan fick jag en ny insikt.
体贴	omtänksam	Han är mycket omtänksam mot sin familj.
体现	återspegla	Den här saken återspeglar laganda.
体验	uppleva	Jag vill uppleva det lokala livet.
天空	himlen	Himlen är mycket blå idag.
天真	naiv; oskuldsfull	Barnets idé är mycket oskuldsfull.
调皮	busig	Den där katten är mycket busig.
调整	justera	Vi behöver justera planen.
挑战	en utmaning	Det här är en stor utmaning.
通常	vanligen	Han går vanligen upp klockan sju.
统一	samordna; förena	Allas åsikter behöver samordnas.
痛苦	smärtfull; ledsen	Att förlora vännen gjorde honom mycket ledsen.
痛快	härlig; nöjd	Vi hade verkligen roligt idag.
偷	stjäla	Stjäl inte andras saker.
投入	engagerad; investera	Han arbetar mycket engagerat.
投资	investera; en investering	De investerade i ett nytt projekt.
透明	genomskinlig	Den här koppen är genomskinlig.
突出	framträdande	Hans styrkor är mycket framträdande.
土地	mark	Den här marken är mycket bördig.
土豆	en potatis	Jag köpte flera potatisar.
兔子	en kanin	Barnet har en kanin.
吐	kräkas	Han mår dåligt och vill kräkas.
团	en grupp	Vi gick med i en resegrupp.
推辞	avböja	Han avböjde sin väns inbjudan.
推广	främja; marknadsföra	Företaget marknadsför en ny produkt.
推荐	rekommendera	Läraren rekommenderade den här boken.
退	backa	Backa ett steg.
退步	gå tillbaka	Om du inte övar går din nivå tillbaka.
退休	gå i pension	Han ska gå i pension nästa år.
歪	sned	Den här tavlan hänger snett.
外公	morfar	Min morfar är åttio år i år.
外交	diplomati	Han studerar internationella relationer och diplomati.
完美	perfekt	Den här planen är inte perfekt.
完善	förbättra	Vi behöver förbättra serviceprocessen.
完整	fullständig	Ge mig en fullständig rapport.
玩具	en leksak	Barnet lade leksakerna i lådan.
万一	om; för säkerhets skull	Om det regnar går vi en annan dag.
王子	en prins	Prinsen i berättelsen är mycket modig.
往返	tur och retur	Den här biljetten gäller för tur och retur samma dag.
网络	internet; nätverk	Internetanslutningen här är mycket stabil.
危害	skada	Rökning skadar hälsan.
威胁	hota	Föroreningar hotar floden.
微笑	le	Hon log mot mig.
唯一	den enda	Det här är den enda metoden.
围巾	en halsduk	Han bär halsduk på vintern.
围绕	kretsa kring	Diskussionen kretsade kring den här frågan.
维修	reparation; underhåll	Hissen är under reparation.
违反	bryta mot	Att göra så bryter mot reglerna.
伟大	storartad	Det här är en storartad upptäckt.
委屈	känna sig orättvist behandlad	Hon kände sig mycket orättvist behandlad.
尾巴	en svans	Valpen viftade på svansen.
位于	ligga	Skolan ligger i stadens centrum.
位置	en plats; position	Den här platsen är mycket lugn.
未必	inte nödvändigtvis	Det han sade är inte nödvändigtvis sant.
未来	framtiden	Vi behöver förbereda oss för framtiden.
胃	en mage	Min mage känns lite obekväm.
胃口	aptit	Han har god aptit idag.
温暖	varm	Vårsolen är mycket varm.
温柔	mild; öm	Hon talar mycket milt.
文件	ett dokument; fil	Skicka dokumentet till mig.
文具	skrivmaterial	Det finns mycket skrivmaterial i skolväskan.
文明	civiliserad; civilisation	Att köa är ett civiliserat beteende.
文学	litteratur	Hon tycker om kinesisk litteratur.
文字	skrift; text	Den här texten är svår att läsa.
闻	lukta; höra	Jag kände en blomdoft.
吻	kyssa	Mamman kysste barnet på kinden.
稳定	stabil	Priserna förblir stabila.
问候	hälsa	Framför mina hälsningar till din familj.
卧室	ett sovrum	Det står en stor säng i sovrummet.
握手	skaka hand	De skakade hand när de träffades.
屋子	ett rum; hus	Det är varmt i rummet.
无奈	hjälplös	Han skakade hjälplöst på huvudet.
无数	otaliga	Det finns otaliga stjärnor på natthimlen.
无所谓	det spelar ingen roll	Det spelar ingen roll vad du vill äta.
武术	kampsport	Han har tränat kampsport sedan barndomen.
勿	gör inte	Rök inte här.
物理	fysik	Fysiklektionen är mycket intressant.
物质	ett ämne; materia	Vatten är ett viktigt ämne.
雾	dimma	Det var tät dimma på morgonen.
吸取	dra lärdom av	Vi bör dra lärdom av detta.
吸收	absorbera	Växter absorberar vatten.
戏剧	drama; teater	Han tycker om att se traditionell teater.
系	en institution; fakultet	Hon studerar vid institutionen för kinesiska.
系统	ett system	Det här systemet fungerar stabilt.
细节	en detalj	Var uppmärksam på dessa detaljer.
瞎	blint; dumt	Gissa inte blint, titta först på materialet.
下载	ladda ner	Jag laddade ner den här programvaran.
吓	skrämma	Det plötsliga ljudet skrämde mig.
夏令营	ett sommarläger	Barnet deltog i ett kinesiskt sommarläger.
鲜艳	klar; färgstark	Färgen på den här kjolen är mycket klar.
显得	verka; få att se ut	Det här plagget får honom att se ung ut.
显然	uppenbarligen	Uppenbarligen känner han redan till resultatet.
显示	visa	Skärmen visar fel tid.
县	ett härad; distrikt	Det här distriktet har många teodlingar.
现代	modern	Modernt liv kan inte vara utan internet.
现实	verkligheten	Vi måste möta verkligheten.
现象	ett fenomen	Det här fenomenet är mycket vanligt.
限制	begränsa	Fordonstrafik är begränsad här.
相处	komma överens	De kommer mycket bra överens.
相当	ganska	Den här boken är ganska intressant.
相对	relativt	Priserna här är relativt låga.
相关	relevant	Ge relevant material.
相似	likna; liknande	Betydelserna hos dessa två tecken är mycket lika.
香肠	en korv	Till frukost finns ägg och korv.
享受	njuta av	De njuter av semestern.
想念	sakna	Jag saknar min familj mycket.
想象	föreställa sig	Jag kan inte föreställa mig ett sådant liv.
象棋	kinesiskt schack	Farfar tycker om att spela kinesiskt schack.
象征	symbolisera	Vitt symboliserar ofta renhet.
项	ett objekt; punkt	Den här uppgiften är mycket viktig.
项链	ett halsband	Hon bär ett silverhalsband.
项目	ett projekt	Det här projektet kräver tre månader.
消费	konsumera; konsumtion	Konsumtionen ökade under högtiden.
消化	smälta; matsmältning	Att promenera efter maten hjälper matsmältningen.
消极	negativ; passiv	Se inte på problem med en negativ inställning.
消失	försvinna	Solen försvann långsamt bakom berget.
销售	sälja	Det här företaget säljer elektronikprodukter.
小麦	vete	Det odlas mycket vete i norr.
小气	snål	Var inte så snål.
孝顺	respektfull mot föräldrar	Han är mycket omtänksam mot sina föräldrar.
效率	effektivitet	Att göra så kan höja effektiviteten.
歇	vila	Låt oss vila en stund först.
斜	sned	Den här vägen lutar lite.
写作	skrivande	Skrivande kräver långvarig övning.
心理	psykologisk; mental	Före provet behöver man justera sitt mentala tillstånd.
心脏	ett hjärta	Hjärthälsa är mycket viktig.
欣赏	beundra; uppskatta	Vi beundrade det vackra landskapet.
信号	en signal	Mobilsignalen är dålig här.
信任	förtroende	Vänner behöver förtroende mellan sig.
形成	bildas	Goda vanor behöver bildas gradvis.
形容	beskriva	Jag vet inte hur jag ska beskriva den här känslan.
形势	situation	Den nuvarande situationen är ganska komplicerad.
形式	en form	Mötet kan hållas i digital form.
形象	en framtoning	Hans offentliga framtoning är god.
形状	en form	Formen på den här lådan är mycket speciell.
行动	agera	Vi måste agera genast.
行人	en fotgängare	Var uppmärksam på fotgängare när du går över vägen.
行为	ett beteende	Den här typen av beteende är oartigt.
幸亏	som tur var	Som tur var påminde du mig.
幸运	tur; lycklig	Han hade tur och hittade ett jobb.
性质	natur; karaktär	Det här problemets natur är mycket allvarlig.
兄弟	bröder	De två bröderna har en god relation.
胸	bröst	Han känner lite tryck över bröstet.
休闲	fritid; avkoppling	Helgen är en bra tid för avkoppling.
修改	revidera; ändra	Revidera den här artikeln.
虚心	ödmjuk; mottaglig	Vi bör ödmjukt lyssna på åsikter.
叙述	berätta	Han berättade tydligt vad som hade hänt.
宣布	meddela	Skolan meddelade de nya reglerna.
宣传	informera om; främja	De informerar om miljöskydd.
学历	utbildningsnivå	Det här jobbet kräver en kandidatexamen.
学术	akademisk	Det här mötet diskuterar akademiska frågor.
学问	kunskap; lärdom	Han har mycket kunskap.
血	blod	Hans hand blödde lite.
寻找	söka	Vi söker en ny metod.
询问	fråga; höra sig för	Han frågade läraren om provtiden.
