simplified	JA	example_JA	KO	example_KO	VI	example_VI	TH	example_TH	MS	example_MS	ID	example_ID
喜欢	好き; 好む	私はお茶を飲むのが好きです。	좋아하다	저는 차 마시는 것을 좋아해요.	thích	Tôi thích uống trà.	ชอบ	ฉันชอบดื่มชา	suka	Saya suka minum teh.	suka	Saya suka minum teh.
下	下; 次	本は机の下にあります。	아래; 밑; 다음	책은 책상 아래에 있어요.	dưới; tiếp theo	Sách ở dưới bàn.	ล่าง; ใต้; ถัดไป	หนังสืออยู่ใต้โต๊ะ	bawah; seterusnya	Buku di bawah meja.	bawah; berikutnya	Buku ada di bawah meja.
下午	午後	午後、私は店へ行きます。	오후	오후에 저는 가게에 가요.	buổi chiều	Buổi chiều tôi đi cửa hàng.	ตอนบ่าย	ตอนบ่ายฉันไปร้านค้า	petang; selepas tengah hari	Pada waktu petang, saya pergi ke kedai.	sore; siang menjelang sore	Pada sore hari, saya pergi ke toko.
下雨	雨が降る	今日は雨が降っています。	비가 오다	오늘 비가 와요.	mưa	Hôm nay trời mưa.	ฝนตก	วันนี้ฝนตก	hujan	Hari ini hujan.	hujan	Hari ini hujan.
先生	さん; お客様; 夫	こんにちは、お客様。	씨; 선생님; 남편	안녕하세요, 선생님.	ông; ngài; chồng	Xin chào, ông.	คุณ; นาย; สามี	สวัสดีครับคุณผู้ชาย	tuan; encik; suami	Helo, tuan.	tuan; bapak; suami	Halo, Pak.
现在	今; 現在	今、私は学校にいます。	지금; 현재	저는 지금 학교에 있어요.	bây giờ; hiện tại	Bây giờ tôi đang ở trường.	ตอนนี้	ตอนนี้ฉันอยู่ที่โรงเรียน	sekarang	Sekarang saya di sekolah.	sekarang	Sekarang saya ada di sekolah.
想	〜したい; 思う; 恋しい	私は水を飲みたいです。	원하다; 생각하다; 그리워하다	저는 물을 마시고 싶어요.	muốn; nghĩ; nhớ	Tôi muốn uống nước.	อยาก; คิด; คิดถึง	ฉันอยากดื่มน้ำ	mahu; fikir; rindu	Saya mahu minum air.	ingin; berpikir; rindu	Saya ingin minum air.
小	小さい	このカップは小さいです。	작다	이 컵은 작아요.	nhỏ	Cái cốc này nhỏ.	เล็ก	แก้วใบนี้เล็ก	kecil	Cawan ini kecil.	kecil	Cangkir ini kecil.
小姐	お嬢さん; ミス	お嬢さん、こんにちは。	아가씨; 미스	아가씨, 안녕하세요.	cô; tiểu thư	Chào cô.	คุณผู้หญิง; นางสาว	สวัสดีค่ะ คุณผู้หญิง	cik; wanita muda	Helo, cik.	nona; mbak	Halo, Mbak.
些	いくつか; 少し	私は本を何冊か持っています。	몇; 조금	저는 책이 몇 권 있어요.	một vài; một ít	Tôi có vài quyển sách.	บาง; เล็กน้อย	ฉันมีหนังสืออยู่บ้าง	beberapa; sedikit	Saya ada beberapa buku.	beberapa; sedikit	Saya punya beberapa buku.
写	書く	私は字を書きます。	쓰다	저는 글자를 써요.	viết	Tôi viết chữ.	เขียน	ฉันเขียนตัวอักษร	menulis	Saya menulis aksara.	menulis	Saya menulis karakter.
谢谢	ありがとう; 感謝する	ありがとうございます。	고마워요; 감사합니다	고마워요.	cảm ơn	Cảm ơn bạn.	ขอบคุณ	ขอบคุณ	terima kasih	Terima kasih.	terima kasih	Terima kasih.
星期	週; 曜日	今日は月曜日です。	주; 요일	오늘은 월요일이에요.	tuần; thứ	Hôm nay là thứ Hai.	สัปดาห์; วันในสัปดาห์	วันนี้วันจันทร์	minggu; hari dalam minggu	Hari ini hari Isnin.	minggu; hari dalam seminggu	Hari ini hari Senin.
学生	学生; 生徒	私は学生です。	학생	저는 학생이에요.	học sinh; sinh viên	Tôi là học sinh.	นักเรียน; นักศึกษา	ฉันเป็นนักเรียน	pelajar; murid	Saya pelajar.	siswa; pelajar	Saya siswa.
学习	勉強する; 学ぶ	私は中国語を勉強します。	공부하다; 배우다	저는 중국어를 공부해요.	học	Tôi học tiếng Trung.	เรียน	ฉันเรียนภาษาจีน	belajar	Saya belajar bahasa Cina.	belajar	Saya belajar bahasa Mandarin.
学校	学校	学校は大きいです。	학교	학교는 커요.	trường học	Trường học lớn.	โรงเรียน	โรงเรียนใหญ่	sekolah	Sekolah itu besar.	sekolah	Sekolah itu besar.
一	一	私はカップを一つ持っています。	하나; 일	저는 컵이 한 개 있어요.	một	Tôi có một cái cốc.	หนึ่ง	ฉันมีแก้วหนึ่งใบ	satu	Saya ada satu cawan.	satu	Saya punya satu cangkir.
衣服	服	私は服を買います。	옷	저는 옷을 사요.	quần áo	Tôi mua quần áo.	เสื้อผ้า	ฉันซื้อเสื้อผ้า	pakaian	Saya membeli pakaian.	pakaian	Saya membeli pakaian.
医生	医者	彼女は医者です。	의사	그녀는 의사예요.	bác sĩ	Cô ấy là bác sĩ.	หมอ; แพทย์	เธอเป็นหมอ	doktor	Dia doktor.	dokter	Dia dokter.
医院	病院	病院は学校の前にあります。	병원	병원은 학교 앞에 있어요.	bệnh viện	Bệnh viện ở trước trường.	โรงพยาบาล	โรงพยาบาลอยู่หน้าโรงเรียน	hospital	Hospital di hadapan sekolah.	rumah sakit	Rumah sakit ada di depan sekolah.
椅子	椅子	椅子は机の後ろにあります。	의자	의자는 책상 뒤에 있어요.	ghế	Cái ghế ở phía sau bàn.	เก้าอี้	เก้าอี้อยู่หลังโต๊ะ	kerusi	Kerusi di belakang meja.	kursi	Kursi ada di belakang meja.
有	ある; 持っている	私には友達がいます。	있다; 가지다	저는 친구가 있어요.	có	Tôi có bạn.	มี	ฉันมีเพื่อน	ada; mempunyai	Saya ada kawan.	ada; punya	Saya punya teman.
月	月; か月	今日は五月四日です。	달; 월	오늘은 5월 4일이에요.	tháng; mặt trăng	Hôm nay là ngày mùng bốn tháng Năm.	เดือน; พระจันทร์	วันนี้วันที่สี่พฤษภาคม	bulan	Hari ini empat Mei.	bulan	Hari ini tanggal empat Mei.
再见	さようなら; またね	先生、さようなら。	안녕히 가세요; 안녕	선생님, 안녕히 계세요.	tạm biệt	Tạm biệt, thầy.	ลาก่อน; พบกันใหม่	ลาก่อนครับคุณครู	selamat tinggal; jumpa lagi	Jumpa lagi, cikgu.	selamat tinggal; sampai jumpa	Sampai jumpa, guru.
在	〜にいる; 〜にある; 〜で	私は家にいます。	~에 있다; ~에서	저는 집에 있어요.	ở; tại	Tôi ở nhà.	อยู่; ที่	ฉันอยู่บ้าน	di; berada	Saya di rumah.	di; berada	Saya di rumah.
怎么	どう; どのように	この字はどう読みますか。	어떻게	이 글자는 어떻게 읽어요?	thế nào; sao	Chữ này đọc thế nào?	อย่างไร; ยังไง	ตัวอักษรนี้อ่านอย่างไร	bagaimana	Bagaimana cara membaca aksara ini?	bagaimana	Bagaimana cara membaca karakter ini?
怎么样	どう; どうですか	今日は調子はどうですか。	어때요; 어떻다	오늘 어때요?	thế nào; ra sao	Hôm nay bạn thế nào?	เป็นอย่างไร	วันนี้คุณเป็นอย่างไร	bagaimana	Apa khabar hari ini?	bagaimana	Bagaimana kabarmu hari ini?
这	これ; この	これは私の本です。	이; 이것	이것은 제 책이에요.	đây; này	Đây là sách của tôi.	นี่; นี้	นี่คือหนังสือของฉัน	ini	Ini buku saya.	ini	Ini buku saya.
中国	中国	私は中国へ行きます。	중국	저는 중국에 가요.	Trung Quốc	Tôi đi Trung Quốc.	ประเทศจีน	ฉันไปประเทศจีน	China	Saya pergi ke China.	Tiongkok; China	Saya pergi ke Tiongkok.
中午	正午; 昼	昼に私はご飯を食べます。	정오; 점심때	정오에 저는 밥을 먹어요.	buổi trưa; trưa	Buổi trưa tôi ăn cơm.	เที่ยง	ตอนเที่ยงฉันกินข้าว	tengah hari	Pada tengah hari, saya makan nasi.	tengah hari	Pada tengah hari, saya makan nasi.
住	住む; 泊まる	私は北京に住んでいます。	살다; 머물다	저는 베이징에 살아요.	sống; ở	Tôi sống ở Bắc Kinh.	อาศัย; พัก	ฉันอาศัยอยู่ที่ปักกิ่ง	tinggal	Saya tinggal di Beijing.	tinggal	Saya tinggal di Beijing.
桌子	机; テーブル	本は机の上にあります。	책상; 탁자	책은 책상 위에 있어요.	bàn	Sách ở trên bàn.	โต๊ะ	หนังสืออยู่บนโต๊ะ	meja	Buku di atas meja.	meja	Buku ada di atas meja.
字	字; 文字	この字は小さいです。	글자; 문자	이 글자는 작아요.	chữ; ký tự	Chữ này nhỏ.	ตัวอักษร; คำ	ตัวอักษรนี้เล็ก	aksara; huruf	Aksara ini kecil.	karakter; huruf	Karakter ini kecil.
昨天	昨日	昨日、私は映画を見ました。	어제	어제 저는 영화를 봤어요.	hôm qua	Hôm qua tôi xem phim.	เมื่อวาน	เมื่อวานฉันดูหนัง	semalam	Semalam saya menonton filem.	kemarin	Kemarin saya menonton film.
坐	座る; 乗る	私は飛行機で北京へ行きます。	앉다; 타다	저는 비행기를 타고 베이징에 가요.	ngồi; đi bằng	Tôi đi máy bay đến Bắc Kinh.	นั่ง; ขึ้น	ฉันนั่งเครื่องบินไปปักกิ่ง	duduk; menaiki	Saya naik kapal terbang ke Beijing.	duduk; naik	Saya naik pesawat ke Beijing.
做	する; 作る	私は料理をします。	하다; 만들다	저는 요리해요.	làm; nấu	Tôi nấu ăn.	ทำ; ทำอาหาร	ฉันทำอาหาร	membuat; melakukan	Saya memasak.	membuat; melakukan	Saya memasak.
