simplified	ML	example_ML
格式	രൂപരീതി	ദയവായി ലേഖനം നിശ്ചിത രൂപരീതിയിൽ സമർപ്പിക്കുക.
隔阂	അകലം	സംവാദത്തിന്റെ അഭാവം രണ്ടുപേർക്കിടയിൽ അകലം സൃഷ്ടിച്ചു.
隔离	ഒറ്റപ്പെടുത്തുക	രോഗിയെ താൽക്കാലികമായി ഒറ്റപ്പെടുത്തണം.
革命	വിപ്ലവം	വ്യവസായ വിപ്ലവം സമൂഹത്തെ മാറ്റിമറിച്ചു.
个体	വ്യക്തി	ഓരോ വ്യക്തിയുടെയും ആവശ്യങ്ങൾ വ്യത്യസ്തമാണ്.
各抒己见	സ്വന്തം അഭിപ്രായം പറയുക	യോഗത്തിൽ എല്ലാവരും സ്വന്തം അഭിപ്രായം പറഞ്ഞു.
根深蒂固	വേരൂന്നിയ	ഈ തെറ്റിദ്ധാരണ ജനങ്ങളുടെ മനസ്സിൽ ആഴത്തിൽ വേരൂന്നിയതാണ്.
根源	മൂലകാരണം	പ്രശ്നത്തിന്റെ മൂലകാരണം കണ്ടെത്തണം.
跟前	മുന്നിൽ	അവൻ അധ്യാപകന്റെ മുന്നിൽ നിന്നു.
跟随	പിന്തുടരുക	കുട്ടികൾ ഗൈഡിനെ പിന്തുടർന്ന് മ്യൂസിയത്തിൽ കയറി.
跟踪	പിന്തുടർന്ന് നിരീക്ഷിക്കുക	ഗവേഷകർ രോഗിയുടെ നില പിന്തുടർന്ന് നിരീക്ഷിക്കും.
更新	പുതുക്കുക	ദയവായി സോഫ്റ്റ്‌വെയർ ഏറ്റവും പുതിയ പതിപ്പിലേക്ക് പുതുക്കൂ.
更正	തിരുത്തുക	വാർത്തയിലെ പിശക് പത്രം ഉടൻ തിരുത്തി.
耕地	കൃഷിയിടം	ഈ പ്രദേശത്ത് കൃഷിയിടം കുറയുകയാണ്.
供不应求	വിതരണം ആവശ്യത്തിന് കുറവാകുക	ഈ മരുന്നിന് വിതരണം ആവശ്യത്തിന് കുറവായി.
供给	വിതരണം ചെയ്യുക	കമ്പനി ദൂരെയുള്ള ഗ്രാമങ്ങൾക്ക് ശുദ്ധജലം വിതരണം ചെയ്യുന്നു.
公安局	പൊതു സുരക്ഷാ വകുപ്പ്	അവൻ പരാതി നൽകാൻ പൊതു സുരക്ഷാ വകുപ്പിലേക്കുപോയി.
公道	നീതി	ഈ കാര്യത്തിൽ എല്ലാവർക്കും നീതി ലഭിക്കണം.
公告	അറിയിപ്പ്	സ്കൂൾ വാതിലിൽ പുതിയ അറിയിപ്പ് ഒട്ടിച്ചു.
公关	പൊതുജനബന്ധം	കമ്പനിയുടെ പൊതുജനബന്ധ വിഭാഗം മാധ്യമങ്ങളോട് മറുപടി നൽകി.
公民	പൗരൻ	ഓരോ പൗരനും നിയമം പാലിക്കണം.
公然	തുറന്നുവെച്ച്	അവൻ യോഗത്തിൽ തുറന്നുവെച്ച് എതിർപ്പ് പ്രകടിപ്പിച്ചു.
公认	പൊതുവെ അംഗീകരിക്കപ്പെട്ട	അവൾ ഈ മേഖലയിലെ പൊതുവെ അംഗീകരിക്കപ്പെട്ട വിദഗ്ധയാണ്.
公式	സൂത്രവാക്യം	ഈ സൂത്രവാക്യം പരീക്ഷയിൽ പലപ്പോഴും ഉപയോഗിക്കും.
公务	ഔദ്യോഗിക ജോലി	അവൻ ഔദ്യോഗിക ജോലിക്കായി വിദേശത്തേക്കുപോയി.
公正	നീതിയുള്ള	വിധി നീതിയുള്ളതായിരിക്കണം.
公证	നോട്ടറി സാക്ഷ്യപ്പെടുത്തൽ	ഈ കരാറിന് നോട്ടറി സാക്ഷ്യപ്പെടുത്തൽ വേണം.
功劳	സംഭാവന	വിജയത്തിൽ എല്ലാവർക്കും സംഭാവനയുണ്ട്.
功效	ഫലപ്രാപ്തി	ഈ മരുന്നിന്റെ ഫലപ്രാപ്തി ഇനിയും പരിശോധിക്കണം.
宫殿	കൊട്ടാരം	പഴയ കൊട്ടാരം വിനോദസഞ്ചാരികൾക്ക് തുറന്നിരിക്കുന്നു.
工艺品	കൈത്തൊഴിൽ വസ്തു	അവൾ വിപണിയിൽ ഒരു കൈത്തൊഴിൽ വസ്തു വാങ്ങി.
恭敬	ബഹുമാനമുള്ള	വിദ്യാർത്ഥികൾ മുതിർന്ന അധ്യാപകനോട് ബഹുമാനമുള്ള സമീപനം പുലർത്തി.
攻击	ആക്രമിക്കുക	ആ വാർത്ത എതിരാളിയെ കഠിനമായി ആക്രമിച്ചു.
攻克	കീഴടക്കുക	ശാസ്ത്രജ്ഞർ ഒടുവിൽ ഈ സാങ്കേതിക പ്രശ്നം കീഴടക്കി.
巩固	ഉറപ്പിക്കുക	അവൻ അഭ്യാസം വഴി അടിസ്ഥാന അറിവ് ഉറപ്പിച്ചു.
共和国	റിപ്പബ്ലിക്	ഈ രാജ്യം ഒരു റിപ്പബ്ലിക്കാണ്.
共计	മൊത്തം	യോഗത്തിൽ മൊത്തം അമ്പത് പേർ പങ്കെടുത്തു.
共鸣	അനുരണം	ഈ കഥ പല വായനക്കാരിലും അനുരണം ഉണ്ടാക്കി.
勾结	കൂട്ടുകെട്ടുണ്ടാക്കുക	അധികാരിയുമായി കൂട്ടുകെട്ടുണ്ടാക്കി പണം തട്ടാൻ അവർ ശ്രമിച്ചു.
钩子	കൊക്ക്	ഭിത്തിയിലെ കൊക്കിൽ അവൻ തൊപ്പി തൂക്കി.
构思	രൂപകൽപ്പന ചെയ്യുക	എഴുത്തുകാരൻ പുതിയ നോവലിന്റെ കഥ രൂപകൽപ്പന ചെയ്യുന്നു.
姑且	താൽക്കാലികമായി	ഈ വിശദീകരണം താൽക്കാലികമായി അംഗീകരിക്കാം.
孤独	ഏകാന്തം	വലിയ നഗരത്തിൽ അവൾക്ക് പലപ്പോഴും ഏകാന്തം തോന്നി.
孤立	ഒറ്റപ്പെട്ട	ആ ഗ്രാമം മലകളാൽ ഒറ്റപ്പെട്ടിരിക്കുന്നു.
辜负	പ്രതീക്ഷ തകർക്കുക	മാതാപിതാക്കളുടെ പ്രതീക്ഷ തകർക്കാൻ അവൻ ആഗ്രഹിക്കുന്നില്ല.
古董	പുരാവസ്തു	ഈ കടയിൽ വിലയേറിയ പുരാവസ്തുക്കൾ വിൽക്കുന്നു.
古怪	വിചിത്രമായ	അവന്റെ പെരുമാറ്റം അല്പം വിചിത്രമാണ്.
股东	ഓഹരിയുടമ	ഓഹരിയുടമകൾ ലാഭവിഹിതത്തെ കുറിച്ച് ചർച്ച ചെയ്തു.
股份	ഓഹരി	അവൾ കമ്പനിയിലെ ചില ഓഹരികൾ വാങ്ങി.
骨干	മുഖ്യശക്തി	അവൻ ടീമിന്റെ മുഖ്യശക്തിയാണ്.
鼓动	പ്രേരിപ്പിക്കുക	അവർ തൊഴിലാളികളെ സമരത്തിൽ പങ്കെടുക്കാൻ പ്രേരിപ്പിച്ചു.
固然	സമ്മതിച്ചാലും	ഈ രീതി എളുപ്പമാണെന്ന് സമ്മതിച്ചാലും അപകടസാധ്യതയുണ്ട്.
固体	ഘനം	മഞ്ഞ് വെള്ളത്തിന്റെ ഘനാവസ്ഥയാണ്.
固有	സ്വഭാവസിദ്ധമായ	ഇത് ആ ഭാഷയുടെ സ്വഭാവസിദ്ധമായ സവിശേഷതയാണ്.
固执	പിടിവാശിയായ	അവൻ വളരെ പിടിവാശിയുള്ളവനാണ്, മറ്റുള്ളവരുടെ ഉപദേശം കേൾക്കാറില്ല.
故乡	ജന്മനാട്	അവധി ദിവസങ്ങളിൽ അവൻ ജന്മനാട്ടിലേക്ക് മടങ്ങും.
故障	തകരാർ	യന്ത്രത്തിൽ തകരാർ ഉണ്ടായതിനാൽ ഉത്പാദനം നിർത്തി.
雇佣	നിയമിക്കുക	കമ്പനി പുതിയ എൻജിനീയറെ നിയമിച്ചു.
顾虑	ആശങ്ക	അവന് ഈ പദ്ധതിയെ കുറിച്ച് ചില ആശങ്കകളുണ്ട്.
顾问	ഉപദേഷ്ടാവ്	കമ്പനി നിയമ ഉപദേഷ്ടാവിനെ ക്ഷണിച്ചു.
拐杖	നടവടി	മുത്തച്ഛൻ നടവടി പിടിച്ച് പതുക്കെ നടന്നു.
关怀	കരുതൽ	സമൂഹം വയോധികർക്കു കൂടുതൽ കരുതൽ നൽകണം.
关照	നോക്കിക്കൊള്ളുക	ദയവായി ഈ കുട്ടിയെ കുറച്ച് നേരം നോക്കിക്കൊള്ളൂ.
官方	ഔദ്യോഗിക	ഔദ്യോഗിക പ്രഖ്യാപനം നാളെ പുറത്തുവരും.
观光	വിനോദസഞ്ചാരം	അവർ നഗരത്തിൽ ഒരു ദിവസം വിനോദസഞ്ചാരം നടത്തി.
管辖	അധികാരപരിധിയിൽ നിയന്ത്രിക്കുക	ഈ പ്രദേശം നഗരസർക്കാരിന്റെ അധികാരപരിധിയിൽ നിയന്ത്രിക്കപ്പെടുന്നു.
惯例	പതിവ് രീതി	യോഗത്തിന് മുമ്പ് റിപ്പോർട്ട് അയയ്ക്കുന്നത് നമ്മുടെ പതിവ് രീതിയാണ്.
灌溉	ജലസേചനം നടത്തുക	കർഷകർ വയലുകളിൽ ജലസേചനം നടത്തുന്നു.
罐	പാത്രം	മേശപ്പുറത്ത് ഒരു ചായപ്പാത്രമുണ്ട്.
贯彻	നടപ്പാക്കുക	സ്കൂൾ പുതിയ സുരക്ഷാ നിയമങ്ങൾ നടപ്പാക്കി.
光彩	തിളക്കം	വിജയത്തിനു ശേഷം അവന്റെ മുഖത്ത് തിളക്കം നിറഞ്ഞു.
光辉	പ്രഭ	പ്രഭാത സൂര്യന്റെ പ്രഭ മുറിയിലേക്കു വീണു.
光芒	പ്രകാശകിരണം	മേഘങ്ങൾക്ക് ഇടയിൽ നിന്ന് പ്രകാശകിരണം പുറത്തുവന്നു.
光荣	മഹത്വം	രാജ്യത്തിനായി സേവിക്കുന്നത് മഹത്വമാണ്.
广阔	വിശാലമായ	കുട്ടികൾക്ക് വിശാലമായ വളർച്ചാ അവസരങ്ങൾ വേണം.
归根到底	ഒടുവിൽ നോക്കുമ്പോൾ	ഒടുവിൽ നോക്കുമ്പോൾ ഗുണമേന്മയാണ് ഏറ്റവും പ്രധാനമായത്.
归还	തിരിച്ചുനൽകുക	ദയവായി പുസ്തകം ലൈബ്രറിയിൽ തിരിച്ചുനൽകൂ.
规范	മാനദണ്ഡം	ഈ വ്യവസായത്തിന് വ്യക്തമായ മാനദണ്ഡം വേണം.
规格	സവിശേഷത	ഈ യന്ത്രത്തിന്റെ സവിശേഷതകൾ കരാറിൽ എഴുതിയിട്ടുണ്ട്.
规划	പദ്ധതി രൂപപ്പെടുത്തുക	സർക്കാർ പുതിയ നഗരവികസന പദ്ധതി രൂപപ്പെടുത്തി.
规章	ചട്ടം	ജീവനക്കാർ കമ്പനിയുടെ ചട്ടങ്ങൾ പാലിക്കണം.
轨道	പാത	ട്രെയിൻ ശരിയായ പാതയിൽ നിൽക്കുന്നു.
贵族	അഭിജാതവർഗം	ഈ കൊട്ടാരം ഒരിക്കൽ അഭിജാതവർഗത്തിന്റെ വസതിയായിരുന്നു.
跪	മുട്ടുകുത്തുക	അവൻ പരിക്കേറ്റവനെ സഹായിക്കാൻ മുട്ടുകുത്തി.
棍棒	വടി	സുരക്ഷാ ജീവനക്കാരന്റെ കൈയിൽ ഒരു വടി ഉണ്ടായിരുന്നു.
国防	ദേശീയ പ്രതിരോധം	ദേശീയ പ്രതിരോധം രാജ്യത്തിന്റെ സുരക്ഷയുമായി ബന്ധപ്പെട്ടതാണ്.
国务院	സ്റ്റേറ്റ് കൗൺസിൽ	സ്റ്റേറ്റ് കൗൺസിൽ പുതിയ നയം പ്രഖ്യാപിച്ചു.
果断	ദൃഢനിശ്ചയമുള്ള	അപകടസമയത്ത് അവൾ ദൃഢനിശ്ചയമുള്ള തീരുമാനം എടുത്തു.
过度	അതിരുകടന്ന	അതിരുകടന്ന ജോലി ആരോഗ്യത്തെ ബാധിക്കും.
过渡	ഇടക്കാല മാറ്റം	പഴയ സംവിധാനത്തിൽ നിന്ന് പുതിയതിലേക്കുള്ള ഇടക്കാല മാറ്റം സുതാര്യമായിരിക്കണം.
过奖	അതിയായി പ്രശംസിക്കുക	നിങ്ങൾ എന്നെ അതിയായി പ്രശംസിക്കുന്നു, ഞാൻ ഇനിയും പഠിക്കണം.
过滤	ഫിൽട്ടർ ചെയ്യുക	ഈ ഉപകരണം വെള്ളം ഫിൽട്ടർ ചെയ്യാൻ കഴിയും.
过失	പിഴവ്	ഈ അപകടം അവന്റെ ചെറിയ പിഴവിനാലാണ് ഉണ്ടായത്.
过问	ഇടപെടുക	ഈ കാര്യത്തിൽ അവൻ ഇനി ഇടപെടാൻ ആഗ്രഹിക്കുന്നില്ല.
过瘾	തൃപ്തികരമായ	ഈ സിനിമ കാണുന്നത് വളരെ തൃപ്തികരമായിരുന്നു.
过于	അതിയായി	ഈ പ്രശ്നത്തെ അതിയായി ലളിതമാക്കരുത്.
嗨	ഹേയ്	ഹേയ്, നീ എവിടേക്കാണ് പോകുന്നത്.
海拔	സമുദ്രനിരപ്പിൽ നിന്നുള്ള ഉയരം	ഈ നഗരത്തിന്റെ സമുദ്രനിരപ്പിൽ നിന്നുള്ള ഉയരം രണ്ടായിരം മീറ്ററാണ്.
海滨	കടൽത്തീരം	അവധി ദിവസങ്ങളിൽ അവർ കടൽത്തീര നഗരത്തിലേക്ക് പോയി.
含糊	അസ്പഷ്ടമായ	അവന്റെ മറുപടി വളരെ അസ്പഷ്ടമായിരുന്നു.
含义	അർത്ഥസൂചന	ഈ വാക്കിന്റെ ആഴത്തിലുള്ള അർത്ഥസൂചന മനസ്സിലാക്കണം.
寒暄	അഭിവാദ്യം കൈമാറുക	യോഗത്തിന് മുമ്പ് അവർ കുറച്ച് സമയം അഭിവാദ്യം കൈമാറി.
罕见	അപൂർവമായ	ഇത് ഒരു അപൂർവമായ രോഗമാണ്.
捍卫	സംരക്ഷിക്കുക	അവർ രാജ്യത്തിന്റെ സ്വാതന്ത്ര്യം സംരക്ഷിക്കാൻ പോരാടി.
航空	വ്യോമയാനം	അവൻ വ്യോമയാന എഞ്ചിനീയറിംഗ് പഠിക്കുന്നു.
航天	ബഹിരാകാശയാനം	ബഹിരാകാശയാനം ദേശീയ സാങ്കേതിക ശക്തി കാണിക്കുന്നു.
航行	സഞ്ചരിക്കുക	കപ്പൽ കടലിൽ സുരക്ഷിതമായി സഞ്ചരിക്കുന്നു.
行列	നിര	അവൻ ഗവേഷകരുടെ നിരയിൽ ചേർന്നു.
毫米	മില്ലിമീറ്റർ	ഈ ഭാഗത്തിന്റെ കനം അഞ്ച് മില്ലിമീറ്ററാണ്.
毫无	ഒട്ടും ഇല്ലാത്ത	അവന്റെ വാക്കുകളിൽ ഒട്ടും സത്യവുമില്ല.
豪迈	വീരമായ	അവന്റെ പ്രസംഗം വീരമായ ആത്മാവിൽ നിറഞ്ഞിരുന്നു.
号召	ആഹ്വാനം ചെയ്യുക	സംഘടനം ജനങ്ങളെ രക്തദാനത്തിന് ആഹ്വാനം ചെയ്തു.
耗费	ചെലവഴിക്കുക	ഈ പദ്ധതി ഏറെ സമയവും പണവും ചെലവഴിച്ചു.
呵	അഹ് എന്ന് പറയുക	അവൻ ചിരിച്ച് അഹ് എന്ന് പറഞ്ഞു.
合并	ലയിപ്പിക്കുക	രണ്ട് വകുപ്പുകൾ അടുത്ത മാസം ലയിപ്പിക്കും.
合成	സംയോജിപ്പിക്കുക	ശാസ്ത്രജ്ഞർ പുതിയ വസ്തു സംയോജിപ്പിച്ചു.
合伙	പങ്കാളിത്തം സ്ഥാപിക്കുക	രണ്ട് സുഹൃത്തുകൾ ചേർന്ന് ഒരു കട തുടങ്ങാൻ പങ്കാളിത്തം സ്ഥാപിച്ചു.
合算	ലാഭകരമായ	ഇപ്പോൾ വാങ്ങുന്നത് കൂടുതൽ ലാഭകരമാണ്.
和蔼	സ്നേഹസൗമ്യമായ	ഈ അധ്യാപകൻ വളരെ സ്നേഹസൗമ്യനാണ്.
和解	ഒത്തുതീർപ്പാക്കുക	ദീർഘസംവാദത്തിന് ശേഷം ഇരുപക്ഷവും ഒത്തുതീർപ്പാക്കി.
和睦	സൗഹൃദപരമായ	അവരുടെ കുടുംബം വളരെ സൗഹൃദപരമായി ജീവിക്കുന്നു.
和气	സൗമ്യമായ	അവൾ എപ്പോഴും സൗമ്യമായി സംസാരിക്കുന്നു.
和谐	സമരസമായ	സമരസമായ സമൂഹം നിർമ്മിക്കാൻ എല്ലാവരും ശ്രമിക്കണം.
嘿	ഹേയ്	ഹേയ്, ആ വഴി പോകരുത്.
痕迹	അടയാളം	മഴയ്ക്ക് ശേഷം നിലത്ത് ചക്രത്തിന്റെ അടയാളം ബാക്കി നിന്നു.
狠心	കരുണയില്ലാത്ത	അവൻ ഇങ്ങനെ കരുണയില്ലാത്ത തീരുമാനമെടുക്കുമെന്ന് ആരും കരുതിയില്ല.
恨不得	വല്ലാതെ ആഗ്രഹിക്കുക	വാർത്ത കേട്ടപ്പോൾ അവൻ ഉടൻ വീട്ടിലെത്താൻ വല്ലാതെ ആഗ്രഹിച്ചു.
哼	മൂളുക	കുഞ്ഞ് പാട്ട് മെല്ലെ മൂളി.
横	കുറുകെയുള്ള	മേശപ്പുറത്ത് ഒരു കുറുകെയുള്ള വര വരച്ചു.
哄	കലഹശബ്ദം ഉണ്ടാക്കുക	കുട്ടികൾ ഒരുമിച്ച് ചിരിച്ചപ്പോൾ മുറിയിൽ കലഹശബ്ദം ഉണ്ടായി.
烘	ചൂടിൽ ഉണക്കുക	അമ്മ നനഞ്ഞ ചെരുപ്പുകൾ തീക്കരികിൽ ചൂടിൽ ഉണക്കി.
轰动	വലിയ ചലനം സൃഷ്ടിക്കുക	ഈ വാർത്ത നഗരത്തിൽ വലിയ ചലനം സൃഷ്ടിച്ചു.
宏观	സമഗ്രമായ	ഈ റിപ്പോർട്ട് സമ്പദ്‌വ്യവസ്ഥയെ സമഗ്രമായ കാഴ്ചപ്പാടിൽ വിശകലനം ചെയ്യുന്നു.
宏伟	ഭവ്യമായ	പർവ്വതത്തിന് മുകളിൽ ഭവ്യമായ ക്ഷേത്രമുണ്ട്.
洪水	വെള്ളപ്പൊക്കം	കനത്ത മഴ വെള്ളപ്പൊക്കം ഉണ്ടാക്കി.
喉咙	തൊണ്ട	അവന് തൊണ്ട വേദനയുണ്ട്.
吼	ഗർജ്ജിക്കുക	കാട്ടിൽ കടുവ ഗർജ്ജിക്കുന്ന ശബ്ദം കേട്ടു.
候选	സ്ഥാനാർത്ഥിയായ	സ്ഥാനാർത്ഥിയായ അംഗങ്ങളുടെ പട്ടിക ഇന്ന് പ്രസിദ്ധീകരിച്ചു.
后代	സന്തതി	നമുക്ക് സന്തതികൾക്കായി നല്ല പരിസ്ഥിതി വിടണം.
后顾之忧	പിന്നാമ്പുറ ആശങ്ക	കുടുംബത്തിന്റെ പിന്തുണയോടെ അവന് പിന്നാമ്പുറ ആശങ്ക ഇല്ലാതായി.
后勤	ലജിസ്റ്റിക് പിന്തുണ	ഈ പരിപാടിക്ക് ശക്തമായ ലജിസ്റ്റിക് പിന്തുണ വേണം.
呼唤	വിളിച്ചു വിളിക്കുക	അമ്മ മകന്റെ പേര് വിളിച്ചു വിളിച്ചു.
呼啸	കൂകിപ്പായുക	കാറ്റ് ജനലിന് പുറത്തുകൂടി കൂകിപ്പായുന്നു.
呼吁	ആഹ്വാനം ചെയ്യുക	ഡോക്ടർമാർ ജനങ്ങളോട് ആരോഗ്യകരമായ ജീവിതത്തിനായി ആഹ്വാനം ചെയ്തു.
忽略	അവഗണിക്കുക	ചെറിയ വിശദാംശങ്ങൾ അവഗണിക്കരുത്.
湖泊	തടാകം	ഈ പ്രദേശത്ത് നിരവധി പ്രകൃതിദത്ത തടാകങ്ങളുണ്ട്.
胡乱	അലക്ഷ്യമായി	അവൻ രേഖകൾ അലക്ഷ്യമായി ബാഗിൽ ഇട്ടു.
胡须	താടി	അവന്റെ താടി വളരെ നീളമാണ്.
花瓣	പൂവിതൾ	കാറ്റിൽ പൂവിതൾ നിലത്തേക്ക് വീണു.
花蕾	പൂമൊട്ട്	വസന്തത്തിൽ പൂമൊട്ടുകൾ തുറക്കാൻ തുടങ്ങുന്നു.
华丽	അലങ്കാരപ്രധാനമായ	നടിയുടെ വസ്ത്രം വളരെ അലങ്കാരപ്രധാനമായിരുന്നു.
华侨	വിദേശചൈനക്കാരൻ	ഈ നഗരത്തിൽ പല വിദേശചൈനക്കാരും താമസിക്കുന്നു.
划分	വിഭജിക്കുക	അധ്യാപകൻ വിദ്യാർത്ഥികളെ മൂന്ന് ഗ്രൂപ്പുകളാക്കി വിഭജിച്ചു.
化肥	രാസവളം	അമിതമായി രാസവളം ഉപയോഗിക്കുന്നത് മണ്ണിനെ ബാധിക്കും.
化石	ജീവാശ്മം	മ്യൂസിയത്തിൽ ഒരു ഡൈനോസർ ജീവാശ്മം പ്രദർശിപ്പിച്ചിട്ടുണ്ട്.
化验	ലാബ് പരിശോധന നടത്തുക	ഡോക്ടർ രക്തത്തിന് ലാബ് പരിശോധന നടത്താൻ പറഞ്ഞു.
化妆	മേക്കപ്പ് ഇടുക	വേദിയിലേക്ക് പോകുന്നതിനുമുമ്പ് അവൾ മേക്കപ്പ് ഇടുന്നു.
画蛇添足	അനാവശ്യമായി കൂട്ടിച്ചേർക്കുക	ഈ ലളിതമായ രൂപകൽപ്പനയിൽ ഇനി അലങ്കാരം ചേർക്കുന്നത് അനാവശ്യമായി കൂട്ടിച്ചേർക്കുന്നതാകും.
话筒	മൈക്രോഫോൺ	പ്രസംഗിക്കുന്നതിന് മുമ്പ് അവൻ മൈക്രോഫോൺ പരിശോധിച്ചു.
欢乐	ആനന്ദം	ഉത്സവചത്വരം ആനന്ദം നിറഞ്ഞിരുന്നു.
环节	ഘട്ടം	പരിശീലനത്തിലെ ഓരോ ഘട്ടവും വളരെ പ്രധാനമാണ്.
还原	മൂലസ്ഥിതിയിലാക്കുക	ഈ ചിത്രം കമ്പ്യൂട്ടർ ഉപയോഗിച്ച് മൂലസ്ഥിതിയിലാക്കാം.
缓和	ലഘൂകരിക്കുക	ഇരുപക്ഷത്തിന്റെയും സംഘർഷം ലഘൂകരിക്കാൻ മധ്യസ്ഥൻ ശ്രമിച്ചു.
患者	രോഗി	ഡോക്ടർ രോഗിയുടെ നില സൂക്ഷ്മമായി നിരീക്ഷിച്ചു.
荒凉	നിർജ്ജനമായ	ഈ പ്രദേശം വരണ്ടതും നിർജ്ജനവുമാണ്.
荒谬	അസംബന്ധമായ	അവന്റെ വാദം പൂർണ്ണമായും അസംബന്ധമാണ്.
荒唐	വിശ്വസിക്കാനാകാത്ത	ഇത്ര പ്രധാന കാര്യം മറക്കുന്നത് വിശ്വസിക്കാനാകാത്തതാണ്.
皇帝	ചക്രവർത്തി	പുരാതനകാലത്ത് ചക്രവർത്തിക്ക് പരമാധികാരം ഉണ്ടായിരുന്നു.
皇后	ചക്രവർത്തിനി	ചക്രവർത്തിനി കൊട്ടാരത്തിലെ ചടങ്ങിൽ പങ്കെടുത്തു.
黄昏	സന്ധ്യ	സന്ധ്യയായപ്പോൾ ഗ്രാമം ശാന്തമായി.
恍然大悟	പെട്ടെന്ന് മനസ്സിലാകുക	അധ്യാപകന്റെ വിശദീകരണം കേട്ടപ്പോൾ എനിക്ക് പെട്ടെന്ന് മനസ്സിലായി.
晃	ആടുക	കാറ്റിൽ വിളക്ക് മെല്ലെ ആടുന്നു.
挥霍	പാഴാക്കി ചെലവഴിക്കുക	അവൻ സമ്പാദിച്ച പണം വേഗത്തിൽ പാഴാക്കി ചെലവഴിച്ചു.
辉煌	പ്രഭാവമുള്ള	അവരുടെ സംഘം പ്രഭാവമുള്ള വിജയം നേടി.
回报	പ്രതിഫലം	കഠിനാധ്വാനത്തിന് ഒടുവിൽ പ്രതിഫലം ലഭിച്ചു.
回避	ഒഴിവാക്കുക	കഠിനമായ ചോദ്യങ്ങളെ അവൻ എല്ലായ്പ്പോഴും ഒഴിവാക്കുന്നു.
回顾	തിരിഞ്ഞുനോക്കുക	വർഷാവസാനത്തിൽ നാം കഴിഞ്ഞ ജോലികളെ തിരിഞ്ഞുനോക്കും.
回收	തിരികെ ശേഖരിക്കുക	കമ്പനി പഴയ ഉപകരണങ്ങൾ തിരികെ ശേഖരിക്കുന്നു.
悔恨	പശ്ചാത്താപം	തെറ്റായ തീരുമാനം ഓർത്തപ്പോൾ അവന് ആഴത്തിലുള്ള പശ്ചാത്താപം തോന്നി.
毁灭	നശിപ്പിക്കുക	യുദ്ധം നിരവധി നഗരങ്ങളെ നശിപ്പിച്ചു.
会晤	കൂടിക്കാഴ്ച നടത്തുക	രണ്ടു നേതാക്കളും ഇന്ന് രാവിലെ കൂടിക്കാഴ്ച നടത്തി.
汇报	റിപ്പോർട്ട് ചെയ്യുക	അവൾ പദ്ധതിയുടെ പുരോഗതി മേലധികാരിക്ക് റിപ്പോർട്ട് ചെയ്തു.
贿赂	കൈക്കൂലി	കൈക്കൂലി സ്വീകരിച്ചതിന് ആ ഉദ്യോഗസ്ഥനെ ശിക്ഷിച്ചു.
昏迷	ബോധരഹിതാവസ്ഥ	അപകടത്തിന് ശേഷം രോഗി ബോധരഹിതാവസ്ഥയിൽ തുടരുന്നു.
荤	മാംസാഹാരം	അവൻ ഇന്ന് മാംസാഹാരം കഴിക്കില്ല.
浑身	മുഴുവൻ ശരീരം	മഴയിൽ നനഞ്ഞതുകൊണ്ട് അവന്റെ മുഴുവൻ ശരീരം വിറച്ചു.
混合	കലർത്തുക	പാചകക്കാരൻ മസാലയും എണ്ണയും കലർത്തി.
混乱	കുഴപ്പം	വൈദ്യുതി പോയതോടെ മുറിയിൽ കുഴപ്പം ഉണ്ടായി.
混淆	കുഴച്ചുപിഴയ്ക്കുക	ദയവായി ഈ രണ്ട് ആശയങ്ങൾ കുഴച്ചുപിഴയ്ക്കരുത്.
混浊	കലങ്ങിയ	മഴയ്ക്ക് ശേഷം നദിയിലെ വെള്ളം കലങ്ങി.
活该	അർഹിച്ചതാണ്	നിയമം ലംഘിച്ചതിന് ശിക്ഷ കിട്ടിയത് അവന് അർഹിച്ചതാണ്.
活力	ജീവശക്തി	ഈ നഗരം യുവജനങ്ങളുടെ ജീവശക്തിയാൽ നിറഞ്ഞിരിക്കുന്നു.
火箭	റോക്കറ്റ്	റോക്കറ്റ് വിജയകരമായി വിക്ഷേപിച്ചു.
火焰	ജ്വാല	കാറ്റിൽ ജ്വാല കൂടുതൽ ഉയർന്നു.
火药	വെടിമരുന്ന്	വെടിമരുന്ന് സൂക്ഷിക്കുമ്പോൾ വലിയ ജാഗ്രത വേണം.
货币	നാണയം	ഓരോ രാജ്യത്തിനും സ്വന്തം നാണയം ഉണ്ട്.
基地	അടിസ്ഥാനം	ഈ ദ്വീപിൽ ഒരു ശാസ്ത്രീയ ഗവേഷണ അടിസ്ഥാനം സ്ഥാപിച്ചു.
基金	നിധി	ഈ നിധി ദരിദ്ര വിദ്യാർത്ഥികളെ സഹായിക്കുന്നു.
基因	ജനിതകം	ചില രോഗങ്ങൾ ജനിതകവുമായി ബന്ധപ്പെട്ടിരിക്കുന്നു.
机动	ഇളവുള്ള	പദ്ധതിയിൽ ഇളവുള്ള സമയം വേണം.
机构	സ്ഥാപനം	ഈ സ്ഥാപനം വിദ്യാഭ്യാസ ഗവേഷണം നടത്തുന്നു.
机灵	ചടുലബുദ്ധിയുള്ള	ആ കുട്ടി വളരെ ചടുലബുദ്ധിയുള്ളവനാണ്.
机密	രഹസ്യമായ	ഇത് രഹസ്യമായ രേഖയാണ്.
