simplified	NE	example_NE
大体	समग्रमा	योजनामा समग्रमा समस्या छैन।
大意	मुख्य आशय	कृपया पहिले यो लेखको मुख्य आशय भन।
大致	करिब	मैले घटनाको क्रम करिब बुझेँ।
歹徒	अपराधी	प्रहरीले अपराधीलाई छिट्टै पक्राउ गर्‍यो।
代价	मूल्य	सफलताका लागि प्रायः मूल्य चुकाउनुपर्छ।
代理	कार्यवाहक रूपमा सम्हाल्नु	उसले अस्थायी रूपमा प्रबन्धकको काम कार्यवाहक रूपमा सम्हाल्छ।
带领	नेतृत्व गरेर लैजानु	शिक्षकले विद्यार्थीहरूलाई संग्रहालय घुमाउन नेतृत्व गरेर लगे।
怠慢	बेवास्ता गर्नु	हामी पाहुनालाई बेवास्ता गर्न सक्दैनौँ।
逮捕	पक्राउ गर्नु	प्रहरीले मुख्य शंकास्पद व्यक्तिलाई पक्राउ गर्‍यो।
担保	जमानत दिनु	बैंकले कसैले जमानत दिनुपर्ने माग गर्‍यो।
胆怯	डरपोक	पहिलो भाषण गर्दा ऊ अलि डरपोक भयो।
淡季	मन्द मौसम	पर्यटनको मन्द मौसममा हवाई टिकट सस्तो हुन्छ।
淡水	मिठो पानी	यो माछा केवल मिठो पानीमा मात्र बाँच्न सक्छ।
蛋白质	प्रोटिन	अण्डामा प्रशस्त प्रोटिन हुन्छ।
诞辰	जन्मजयन्ती	आज ती लेखकको जन्मजयन्ती हो।
诞生	जन्मिनु	यो विचार छलफलका क्रममा जन्मियो।
当场	त्यही ठाउँमा	उसले त्यही ठाउँमा गल्ती स्वीकार गर्‍यो।
当初	त्यतिबेला	त्यतिबेला हामी सबैले यो निर्णय समर्थन गरेका थियौँ।
当代	समकालीन	समकालीन समाज छिटो परिवर्तन हुन्छ।
当面	मुखामुख	समस्या भए मुखामुख स्पष्ट भन्नु राम्रो हुन्छ।
当前	हालको	हालको सबैभन्दा महत्वपूर्ण कुरा सुरक्षा सुनिश्चित गर्नु हो।
当事人	सम्बन्धित व्यक्ति	प्रहरीले सम्बन्धित व्यक्तिलाई सोधपुछ गरिरहेको छ।
当务之急	अत्यावश्यक प्राथमिकता	आवास समस्या समाधान गर्नु अत्यावश्यक प्राथमिकता हो।
当选	निर्वाचित हुनु	उनी सजिलै अध्यक्ष निर्वाचित भइन्।
党	दल	यो दलले नयाँ नीति प्रस्ताव गर्‍यो।
档案	अभिलेख	विद्यालयले विद्यार्थीहरूको अभिलेख सुरक्षित राखेको छ।
档次	स्तर	यो होटलको स्तर धेरै उच्च छ।
倒闭	बन्द भएर टाट पल्टनु	त्यो सानो पसल गत वर्ष बन्द भएर टाट पल्टियो।
导弹	मिसाइल	समाचारले मिसाइल परीक्षणबारे रिपोर्ट गर्‍यो।
导航	नेभिगेसन	कृपया मोबाइल नेभिगेसन खोल्नुहोस्।
导向	उन्मुखता	शिक्षा नीति न्यायमा उन्मुख हुनुपर्छ।
捣乱	उपद्रो गर्नु	कृपया कक्षामा उपद्रो नगर्नुहोस्।
盗窃	चोरी	व्यापारिक केन्द्रले चोरी रोक्न उपाय कडा पार्‍यो।
稻谷	धान	किसानहरू धान काटिरहेका छन्।
得不偿失	नाफाभन्दा घाटा बढी हुनु	पैसा बचाउन कमसल सामग्री किन्नु नाफाभन्दा घाटा बढी हुनु हो।
得力	सक्षम	ऊ प्रबन्धकको छेउमा रहेको सक्षम सहायक हो।
得天独厚	स्वाभाविक विशेष लाभ भएको	यो सहरसँग स्वाभाविक विशेष भौगोलिक लाभ छ।
得罪	रिस उठाउनु	म सानो कुराले सहकर्मीको रिस उठाउन चाहन्नँ।
灯笼	लालटिन	वसन्त चाडमा ढोकामा रातो लालटिन झुन्ड्याइएको छ।
登录	लगइन गर्नु	कृपया पहिले आफ्नो खातामा लगइन गर्नुहोस्।
登陆	किनारामा अवतरण गर्नु	आँधी आज राति समुद्री किनारामा अवतरण गर्न सक्छ।
蹬	खुट्टाले धकेल्नु	उसले बलले खुट्टाले धकेल्यो र साइकल चल्यो।
等候	प्रतीक्षा गर्नु	यात्रुहरू हलमा विमान चढ्ने प्रतीक्षा गरिरहेका छन्।
等级	स्तर	यो सफ्टवेयरमा फरक सदस्यता स्तर छन्।
瞪	घुर्नु	उसले रिसाएर मलाई एकपटक घुर्‍यो।
堤坝	बाँध	भारी वर्षापछि बाँध सावधानीपूर्वक जाँच्नुपर्छ।
敌视	शत्रुतापूर्ण रूपमा हेर्नु	हामीले फरक विचारलाई शत्रुतापूर्ण रूपमा हेर्नु हुँदैन।
抵达	पुग्नु	विमान समयमै बेइजिङ पुग्यो।
抵抗	प्रतिरोध गर्नु	गाउँलेहरूले सँगै बाढीको प्रतिरोध गरे।
抵制	बहिष्कार गर्नु	उपभोक्ताहरूले कमसल उत्पादन बहिष्कार गर्न थाले।
地步	स्थिति	कुरा अझै त्यो गम्भीर स्थितिसम्म पुगेको छैन।
地势	भू-आकृति	यहाँको भू-आकृति अलि अग्लो छ, पानी जम्न सजिलो छैन।
地质	भूविज्ञान	विशेषज्ञहरू स्थानीय भूविज्ञानको अनुसन्धान गरिरहेका छन्।
递增	क्रमशः बढ्नु	बिक्री रकम लगातार तीन महिना क्रमशः बढ्यो।
颠簸	हल्लिनु	पहाडी बाटो धेरै हल्लिन्छ, गाडी चलाउँदा सावधान हुनुपर्छ।
颠倒	उल्ट्याउनु	तिमीले दुई अंकको क्रम उल्ट्यायौ।
典礼	समारोह	दीक्षान्त समारोह सभाहलमा हुनेछ।
典型	प्रतिनिधि उदाहरण	यो सफलताको एउटा प्रतिनिधि उदाहरण हो।
点缀	सजाउनु	केही साना फूलले भोजन टेबल सजाएका छन्।
垫	ओछ्याउने पाटी	कृपया यो कागज कपको तल ओछ्याउनुहोस्।
奠定	आधार बसाल्नु	यो सहकार्यले दीर्घकालीन सम्बन्धको आधार बसाल्यो।
惦记	चिन्ता गर्दै सम्झनु	आमाले टाढाका बच्चालाई सधैँ चिन्ता गर्दै सम्झिरहनुहुन्छ।
电源	विद्युत् स्रोत	बाहिर निस्कनुअघि कृपया विद्युत् स्रोत बन्द गर्नुहोस्।
叼	मुखमा च्याप्नु	त्यो कुकुरले एउटा हड्डी मुखमा च्यापेको छ।
雕刻	कुँद्नु	उनी काठमा ढाँचा कुँद्न मन पराउँछन्।
雕塑	मूर्ति	चोकको बीचमा एउटा मूर्ति छ।
吊	झुन्ड्याएर उठाउनु	कामदारले मेसिनले इस्पातको बीम झुन्ड्याएर उठायो।
调动	सरुवा गर्नु	कम्पनीले उसलाई शाङ्घाईमा काम गर्न सरुवा गर्‍यो।
跌	घट्नु	सेयर मूल्य आज फेरि घट्यो।
丁	सानो टुक्रा	रेसिपीमा आलुलाई सानो टुक्रा पार्नु भनिएको छ।
叮嘱	बारम्बार सम्झाउनु	शिक्षकले हामीलाई सुरक्षामा ध्यान दिन बारम्बार सम्झाउनुभयो।
盯	एकटक हेर्नु	कृपया अरूलाई सधैँ एकटक नहेर्नुहोस्।
定期	नियमित	डाक्टरले उसलाई नियमित शरीर जाँच गर्न सल्लाह दिए।
定义	परिभाषा	कृपया पहिले यो अवधारणाको परिभाषा व्याख्या गर्नुहोस्।
丢人	बेइज्जती हुनु	सबैका अगाडि झूट बोल्नु साँच्चै बेइज्जती हो।
丢三落四	बिर्सक्कड	ऊ सधैँ बिर्सक्कड छ, बाहिर निस्कँदा प्रायः साँचो बिर्सन्छ।
东道主	आयोजक	आयोजकका रूपमा हामीले पाहुनाको राम्रो हेरचाह गर्नुपर्छ।
东张西望	यताउता हेर्नु	कक्षामा यताउता नहेर्नु।
董事长	सञ्चालक समितिका अध्यक्ष	सञ्चालक समितिका अध्यक्ष आज बैठकमा उपस्थित भए।
冻结	रोक्का गर्नु	बैंकले यो खाता अस्थायी रूपमा रोक्का गर्‍यो।
动荡	अस्थिरता	युद्धले यो क्षेत्र लामो समय अस्थिर बनायो।
动机	उद्देश्य	प्रहरीले उसको उद्देश्यको अनुसन्धान गरिरहेको छ।
动静	हलचल	कोठाभित्र अलिकति पनि हलचल थिएन।
动力	प्रेरणा	रुचि सिकाइको प्रेरणा हो।
动脉	धमनी	डाक्टरले उसको धमनी जाँच गरे।
动身	प्रस्थान गर्नु	हामी भोलि बिहानै विमानस्थलका लागि प्रस्थान गर्नेछौँ।
动手	हात हाल्नु	कुरा स्पष्ट नभएसम्म कसैले पनि हात हाल्नु हुँदैन।
动态	गतिविधिको अवस्था	कृपया परियोजनाको गतिविधिको अवस्था सधैँ ध्यान दिनुहोस्।
动员	परिचालन गर्नु	विद्यालयले विद्यार्थीहरूलाई स्वयंसेवी गतिविधिमा सहभागी हुन परिचालन गर्‍यो।
栋	भवनको गन्ती शब्द	यो भवन बीस तलाको छ।
兜	खल्ती	उसले साँचो कोटको खल्तीमा राख्यो।
陡峭	ठाडो भिरालो	यो पहाडी बाटो धेरै ठाडो भिरालो छ।
斗争	संघर्ष	उनीहरू वातावरण संरक्षणका लागि संघर्ष गर्छन्।
督促	अनुगमन गरेर हौस्याउनु	प्रबन्धकले सबैलाई समयमै काम सक्न अनुगमन गरेर हौस्याए।
毒品	लागुऔषध	भन्सारले लागुऔषधको एक खेप बरामद गर्‍यो।
独裁	तानाशाही	मानिसहरू तानाशाही शासनको विरोध गर्छन्।
堵塞	अवरुद्ध हुनु	फोहोरले ढल अवरुद्ध गर्‍यो।
赌博	जुवा खेल्नु	जुवा खेल्दा गम्भीर परिणाम आउन सक्छ।
杜绝	समाप्त पार्नु	कम्पनीले फजुलखर्ची समाप्त पार्न आग्रह गर्‍यो।
端	समाएर ल्याउनु	उसले एक कप तातो चिया समाएर भित्र आयो।
端午节	ड्रागन बोट चाड	ड्रागन बोट चाडमा हामी जोङ्जी खान्छौँ।
端正	ठीक पार्नु	विद्यार्थीहरूले अध्ययन गर्ने दृष्टिकोण ठीक पार्नुपर्छ।
短促	छोटो	उसले छोटो सुस्केरा निकाल्यो।
断定	निष्कर्ष निकाल्नु	अहिले को ठीक को गलत भनेर निष्कर्ष निकाल्न सकिँदैन।
断绝	सम्बन्ध विच्छेद हुनु	दुर्घटनापछि गाउँको बाहिरी संसारसँग सम्बन्ध विच्छेद भयो।
堆积	थुप्रिनु	हिउँ सडकछेउ थुप्रियो।
兑现	वाचा पूरा गर्नु	उसले अन्ततः आफ्नो वाचा पूरा गर्‍यो।
对策	उपाय	जोखिम सामना गर्न हामीलाई उपाय चाहिन्छ।
对称	सममित	यो भवनको बायाँ र दायाँ भाग धेरै सममित छन्।
对付	सामना गर्नु	यो समस्या सामना गर्न सजिलो छैन।
对抗	प्रतिस्पर्धा गर्नु	दुई टोली फाइनलमा प्रतिस्पर्धा गर्नेछन्।
对立	विपरीत हुनु	दुवै पक्षका अडान पूर्ण रूपमा विपरीत छन्।
对联	द्विपदी लेख	वसन्त चाडमा उनीहरूले ढोकामा द्विपदी लेख टाँसे।
对应	मिल्नु	हरेक नम्बर एउटा सिटसँग मिल्छ।
对照	तुलना गर्नु	कृपया मूल पाठसँग तुलना गरेर अनुवाद जाँच्नुहोस्।
队伍	पंक्ति	जुलुसको पंक्ति बिस्तारै अगाडि बढ्यो।
顿时	तुरुन्तै	यो खबर सुनेपछि ऊ तुरुन्तै स्तब्ध भयो।
哆嗦	थरथर काँप्नु	धेरै चिसो भएकाले ऊ लगातार थरथर काँपिरहेको थियो।
多元化	विविधीकरण	कम्पनीले व्यवसाय विविधीकरण अघि बढाइरहेको छ।
堕落	पतन हुनु	ऊ आफूलाई अझै पतन हुन दिन चाहँदैन।
额外	अतिरिक्त	यो सेवाका लागि अतिरिक्त शुल्क लाग्छ।
恶心	वाकवाकी लाग्नु	त्यो गन्ध आएपछि मलाई अलि वाकवाकी लाग्यो।
恶化	झन् बिग्रिनु	उपचार नगरे अवस्था झन् बिग्रिन सक्छ।
遏制	नियन्त्रण गर्नु	सरकारले प्रदूषण नियन्त्रण गर्न उपाय अपनायो।
恩怨	पुरानो रिसइबी	दुई कम्पनीबीचको पुरानो रिसइबी लामो समयदेखि छ।
而已	मात्र	मैले त यत्तिकै भनेको मात्र हो।
二氧化碳	कार्बन डाइअक्साइड	बिरुवाले कार्बन डाइअक्साइड सोस्छ।
发布	जारी गर्नु	कम्पनीले भोलि नयाँ उत्पादन जारी गर्नेछ।
发财	धनी हुनु	ऊ मेहनत गरेर धनी हुन चाहन्छ।
发呆	टोलाउनु	उनी झ्यालछेउ बसेर टोलाइन्।
发动	सुरु गराउनु	स्वयंसेवकहरूले बासिन्दालाई सडक सफा गर्न सुरु गराए।
发觉	पत्ता लगाउनु	मैले आज ऊ अलि तनावमा छ भन्ने पत्ता लगाए।
发射	प्रक्षेपण गर्नु	रकेट राति प्रक्षेपण हुनेछ।
发誓	कसम खानु	उसले अब कहिल्यै झूट नबोल्ने कसम खायो।
发行	रिलिज गर्नु	यो चलचित्र अर्को महिना रिलिज हुनेछ।
发炎	सुन्निनु	घाउ अलि सुन्निएको छ।
发扬	पूर्ण रूपमा अघि बढाउनु	हामीले टोली सहकार्यको भावना पूर्ण रूपमा अघि बढाउनुपर्छ।
发育	विकास हुनु	बालबालिकाको शरीर विकासका लागि पर्याप्त पोषण चाहिन्छ।
法人	कानुनी व्यक्ति	यो कम्पनी स्वतन्त्र कानुनी व्यक्ति हो।
番	यी कुरा	यी कुराले मलाई धेरै प्रेरणा दियो।
凡是	जो कोही	नाम दर्ता गरेका जो कोहीले पनि प्रशिक्षणमा भाग लिनुपर्छ।
繁华	समृद्ध र चहलपहलपूर्ण	यो सडक पहिले निकै समृद्ध र चहलपहलपूर्ण थियो।
繁忙	व्यस्त	बिदामा विमानस्थल विशेष गरी व्यस्त हुन्छ।
繁体字	परम्परागत चिनियाँ अक्षर	ताइवान क्षेत्रमा परम्परागत चिनियाँ अक्षर प्रायः प्रयोग हुन्छ।
繁殖	प्रजनन गर्नु	यो बिरुवा सजिलै प्रजनन गर्छ।
反驳	खण्डन गर्नु	उसले तथ्याङ्क प्रयोग गरेर यो विचार खण्डन गर्‍यो।
反常	असामान्य	आजको मौसम अलि असामान्य छ।
反感	मन नपराउनु	मलाई यस्तो विज्ञापन मन पर्दैन।
反抗	प्रतिरोध गर्नु	मानिसहरूले अन्यायपूर्ण नियमको प्रतिरोध गर्न थाले।
反馈	प्रतिक्रिया	ग्राहकको प्रतिक्रियाले प्रणाली धेरै स्थिर छ भन्यो।
反面	उल्टो पाटो	कृपया कागज उल्टो पाटोमा फर्काउनुहोस्।
反射	परावर्तन गर्नु	ऐनाले प्रकाश परावर्तन गर्छ।
反思	आत्मचिन्तन गर्नु	असफल भएपछि उसले कारणबारे गम्भीर आत्मचिन्तन गर्‍यो।
反问	प्रतिप्रश्न गर्नु	उसले जवाफ दिएन, बरु मलाई एउटा प्रतिप्रश्न गर्‍यो।
反之	यसको उल्टो	मूल्य धेरै उच्च भए माग घट्छ, यसको उल्टो पनि त्यस्तै हो।
泛滥	बाढी आउनु	भारी वर्षाले नदीमा बाढी आयो।
范畴	क्षेत्र	यो समस्या कानुनी क्षेत्रभित्र पर्छ।
贩卖	बेचबिखन गर्नु	कानुनले नक्कली औषधि बेचबिखन गर्न निषेध गर्छ।
方位	दिशा	नक्सामा सही दिशा चिनाइएको छ।
方言	स्थानीय बोली	उसले स्थानीय बोली बुझ्न सक्छ।
方圆	वरिपरिको क्षेत्र	वरिपरिको दस किलोमिटरभित्र अस्पताल छैन।
方针	नीति	कम्पनीले नयाँ विकास नीति बनायो।
防守	रक्षा	यो टोलीको रक्षा धेरै स्थिर छ।
防御	प्रतिरक्षा	किल्लाको पर्खाल पहिले शत्रुबाट प्रतिरक्षाका लागि प्रयोग हुन्थ्यो।
防止	रोकथाम गर्नु	चोटपटक रोकथाम गर्न कृपया सुरक्षा पेटी बाँध्नुहोस्।
防治	रोकथाम र उपचार	डाक्टरले रोगको रोकथाम र उपचार विधि व्याख्या गरे।
纺织	कपडा बुनाइ	यो सहर कपडा बुनाइ उद्योगका लागि प्रसिद्ध छ।
访问	भेटवार्ता गर्नु	पत्रकारले भोलि ती लेखकसँग भेटवार्ता गर्नेछन्।
放大	ठूलो पार्नु	कृपया तस्वीर अलि ठूलो पार्नुहोस्।
放射	विकिरण गर्नु	यो पदार्थले ताप विकिरण गर्छ।
非法	गैरकानुनी	गैरकानुनी कारोबारमा सजाय हुन्छ।
飞禽走兽	पक्षी र जनावर	जङ्गलमा विभिन्न पक्षी र जनावर बस्छन्।
飞翔	उड्नु	समुद्री चरा समुद्रमाथि उडिरहेका छन्।
飞跃	ठूलो फड्को	प्रविधि विकासले ठूलो फड्को हासिल गर्‍यो।
肥沃	उर्वर	यो जमिन धेरै उर्वर छ।
诽谤	मानहानि	अरूको मानहानि गरे कानुनी जिम्मेवारी वहन गर्नुपर्छ।
废除	खारेज गर्नु	यो पुरानो नियम खारेज भइसकेको छ।
废寝忘食	काममा पूर्ण रूपमा डुब्नु	अनुसन्धानका लागि ऊ काममा पूर्ण रूपमा डुब्यो।
废墟	भग्नावशेष	भूकम्पपछि त्यो ठाउँ भग्नावशेष बन्यो।
沸腾	उम्लनु	पानी उम्लिसकेको छ।
肺	फोक्सो	धूम्रपानले फोक्सोलाई हानि गर्छ।
分辨	छुट्याउनु	मलाई यी दुई रङ छुट्याउन गाह्रो हुन्छ।
分寸	मर्यादा	ठट्टा गर्दा पनि मर्यादामा ध्यान दिनुपर्छ।
分红	नाफा बाँडफाँट	सेयरधनीले वर्षको अन्त्यमा नाफा बाँडफाँट पाउन सक्छन्।
分解	टुक्र्याएर बुझाउनु	शिक्षकले जटिल समस्यालाई केही चरणमा टुक्र्याएर बुझाए।
分裂	विभाजित हुनु	आन्तरिक विरोधाभासले संगठन विभाजित भयो।
分泌	स्राव गर्नु	यो ग्रन्थिले हर्मोन स्राव गर्छ।
分明	स्पष्ट	तथ्यहरू निकै स्पष्ट भइसकेका छन्।
分歧	मतभेद	दुवै पक्षबीच मूल्यमा मतभेद छ।
分散	छरपस्ट पार्नु	कृपया जोखिमलाई फरक परियोजनामा छरपस्ट पार्नुहोस्।
吩咐	निर्देशन दिनु	मालिकले मलाई कागजात मिलाउन निर्देशन दिए।
坟墓	चिहान	पहाडको भिरालोमा एउटा पुरानो चिहान छ।
粉末	धुलो	कृपया गोलीलाई धुलो बनाउनुहोस्।
粉色	हल्का गुलाबी	उनले हल्का गुलाबी स्कार्फ किनिन्।
粉碎	ध्वस्त पार्नु	प्रहरीले यो अपराधी समूह ध्वस्त पार्‍यो।
分量	भार	यो वाक्यको भार धेरै ठूलो छ।
愤怒	क्रोध	उसको स्वर क्रोधले भरिएको थियो।
丰满	समृद्ध	यो लेखको सामग्री अझै पर्याप्त समृद्ध छैन।
丰盛	प्रचुर	उनीहरूले प्रचुर रातिको खाना तयार गरे।
丰收	राम्रो बाली	यस वर्ष किसानहरूले राम्रो बाली पाए।
封闭	बन्द गर्नु	निर्माण अवधिमा यो सडक बन्द हुनेछ।
封建	सामन्ती	यस्तो सामन्ती सोच धेरै अघि नै बदलिनुपर्थ्यो।
封锁	घेरा हाल्नु	प्रहरीले दुर्घटनास्थलमा घेरा हाल्यो।
锋利	धारिलो	यो चक्कु धेरै धारिलो छ।
风暴	आँधी	समुद्रमा अचानक आँधी आयो।
风度	शिष्ट व्यक्तित्व	मञ्चमा ऊ धेरै शिष्ट व्यक्तित्व भएको देखिन्थ्यो।
风光	दृश्य	यहाँको प्राकृतिक दृश्य धेरै सुन्दर छ।
风气	वातावरण	विद्यालयमा राम्रो अध्ययन वातावरण बनेको छ।
风趣	हास्यपूर्ण	ऊ बोल्दा धेरै हास्यपूर्ण हुन्छ।
风土人情	स्थानीय चलन र जीवनशैली	यात्राले स्थानीय चलन र जीवनशैली बुझ्न मद्दत गर्छ।
风味	स्थानीय स्वाद	यो पसलमा गहिरो स्थानीय स्वाद छ।
逢	हरेक पटक पर्दा	हरेक सप्ताहन्त पर्दा पार्क धेरै रमाइलो हुन्छ।
奉献	समर्पण गर्नु	डाक्टरले बिरामीका लागि धेरै समय समर्पण गरे।
否决	अस्वीकार गर्नु	सञ्चालक समितिले यो प्रस्ताव अस्वीकार गर्‍यो।
夫妇	दम्पती	यो दम्पतीले एउटा सानो पसल चलाउँछन्।
夫人	श्रीमती	श्री वाङ र उनकी श्रीमती सँगै रात्रिभोजमा उपस्थित भए।
敷衍	झाराटारुवा	उसले केही वाक्य झाराटारुवा रूपमा जवाफ दियो।
俘虏	कैदी	युद्ध सकिएपछि कैदीहरू रिहा भए।
幅度	मात्रा	यसपटक मूल्य घटेको मात्रा धेरै ठूलो छ।
服从	पालना गर्नु	सैनिकले आदेश पालना गर्नुपर्छ।
服气	मनबाट स्वीकार गर्नु	ऊ खेल हार्‍यो, तर मनबाट स्वीकार गरेन।
福利	कल्याण सुविधा	कर्मचारीहरूले कम्पनीको कल्याण सुविधालाई धेरै महत्त्व दिन्छन्।
福气	भाग्य	राम्रो शिक्षक भेट्नु उसको भाग्य हो।
符号	चिन्ह	यो चिन्हले खतरा जनाउँछ।
辐射	विकिरण	डाक्टरले उसलाई बलियो विकिरणबाट टाढा रहन सम्झाए।
俯视	माथिबाट हेर्नु	पहाडको चुचुरोबाट पूरै सहर माथिबाट हेर्न सकिन्छ।
抚摸	सुम्सुम्याउनु	उनले बच्चाको टाउको बिस्तारै सुम्सुम्याइन्।
抚养	हुर्काउनु	हजुरबुबा हजुरआमाले बच्चा हुर्काउन सहयोग गर्छन्।
腐败	भ्रष्टाचार	सरकारले भ्रष्टाचारविरुद्ध कारबाही गरिरहेको छ।
腐烂	कुहिनु	फल धेरै समय राखे कुहिन्छ।
腐蚀	क्षय गर्नु	अम्लले धातुको सतह क्षय गर्छ।
腐朽	सडेगलेको	उनीहरूले सडेगलेको व्यवस्थाको आलोचना गरे।
辅助	सहयोग गर्नु	यो उपकरणले शिक्षणमा सहयोग गर्न सक्छ।
副	सहायक	उनी सहायक प्रबन्धक नियुक्त भइन्।
复活	पुनर्जीवित हुनु	यो परम्परागत चाड फेरि पुनर्जीवित हुँदैछ।
复兴	पुनरुत्थान	सांस्कृतिक पुनरुत्थानका लागि दीर्घकालीन प्रयास चाहिन्छ।
富裕	समृद्ध	यो गाउँ अहिले झन् झन् समृद्ध हुँदैछ।
腹泻	पखाला	उसलाई गम्भीर पखाला लागेको छ, डाक्टर देखाउनुपर्छ।
覆盖	ढाक्नु	बाक्लो हिउँले पूरा उपत्यका ढाक्यो।
负担	बोझ	भाडा उसको मुख्य बोझ बन्यो।
赋予	प्रदान गर्नु	कानुनले नागरिकलाई आधारभूत अधिकार प्रदान गर्छ।
附和	होमा हो मिलाउनु	उसको आफ्नै विचार छैन, अरूको होमा हो मात्र मिलाउँछ।
附件	संलग्न फाइल	कृपया इमेलमा भएको संलग्न फाइल हेर्नुहोस्।
附属	सम्बद्ध	यो अस्पताल विश्वविद्यालयसँग सम्बद्ध अस्पताल हो।
改良	सुधार गर्नु	विशेषज्ञहरू यो धानको जात सुधारिरहेका छन्।
盖章	छाप लगाउनु	करारमा हस्ताक्षर भएपछि छाप लगाउनुपर्छ।
钙	क्याल्सियम	दूधमा प्रशस्त क्याल्सियम हुन्छ।
尴尬	अप्ठ्यारो	बैठकमा अप्ठ्यारो मौनता छायो।
干旱	सुख्खा	लामो सुख्खाले बालीमा असर गर्‍यो।
干扰	बाधा दिनु	हल्लाले मेरो काममा बाधा दिन्छ।
干涉	हस्तक्षेप गर्नु	अभिभावकले बच्चाको छनोटमा धेरै हस्तक्षेप गर्नु हुँदैन।
干预	हस्तक्षेप गर्नु	सरकारले बजार जोखिममा समयमै हस्तक्षेप गर्‍यो।
感慨	भावुक हुनु	पुराना फोटो देखेर ऊ निकै भावुक भयो।
感染	संक्रमण गर्नु	यो भाइरसले बालबालिकालाई सजिलै संक्रमण गर्छ।
干劲	जोश	सबै जना काम गर्दा धेरै जोशिला छन्।
扛	काँधमा बोक्नु	कथाअनुसार ऊ यति बलियो थियो कि ठूलो भाँडो काँधमा बोक्न सक्थ्यो।
纲领	कार्यदिशा	बैठकले नयाँ कार्यदिशा पारित गर्‍यो।
岗位	पद	उनी छिट्टै नयाँ पदमा अभ्यस्त भइन्।
港口	बन्दरगाह	मालवाहक जहाज बन्दरगाहमा रोकियो।
港湾	खाडी	सानो डुंगा शान्त खाडीमा छिर्‍यो।
杠杆	लिभर	यो लगानीमा उच्च लिभर प्रयोग गरिएको छ।
高超	उत्कृष्ट	उसको गाडी मर्मत गर्ने सीप उत्कृष्ट छ।
高潮	चरमोत्कर्ष	खेल अन्तिम दस मिनेटमा चरमोत्कर्षमा पुग्यो।
高峰	उच्चतम समय	बिहान आठ बजे यातायातको उच्चतम समय हो।
高明	बुद्धिमानी	यो उपाय साँच्चै बुद्धिमानी छ।
高尚	उच्च	डाक्टरको पेशागत भावना धेरै उच्च छ।
高涨	उकालो लाग्नु	दर्शकहरूको उत्साह निरन्तर उकालो लाग्यो।
稿件	पाण्डुलिपि	सम्पादकले पाण्डुलिपि संशोधन गरिरहेका छन्।
告辞	बिदा लिनु	आकाश अँध्यारो भइसकेको छ, हामी पहिले बिदा लिन्छौँ।
告诫	चेतावनी दिनु	शिक्षकले विद्यार्थीलाई नक्कल नगर्न चेतावनी दिनुभयो।
割	काट्नु	उसले असावधानीले औँला काट्यो।
搁	राख्नु	कृपया कागजात टेबलमा राख्नुहोस्।
歌颂	प्रशंसा गर्नु	यो कविताले श्रमिकहरूको प्रशंसा गर्छ।
疙瘩	गाँठो	उसको पाखुरामा एउटा गाँठो निस्कियो।
鸽子	परेवा	चोकमा धेरै परेवा छन्।
格局	बनावट	यो घरको बनावट धेरै व्यवस्थित छ।
格式	ढाँचा	कृपया तोकिएको ढाँचाअनुसार फारम भर्नुहोस्।
隔阂	दूरी	गलतफहमीले उनीहरूबीचको दूरी बढायो।
隔离	अलग राख्नु	बिरामीलाई अस्थायी रूपमा अलग राख्नुपर्छ।
革命	क्रान्ति	यो क्रान्तिले देशको भाग्य बदल्यो।
个体	व्यक्ति	हरेक व्यक्तिका फरक आवश्यकता हुन्छन्।
各抒己见	आफ्नो विचार राख्नु	बैठकमा सबैले आफ्नो विचार राखे।
根深蒂固	गहिरो जरा गाडेको	यो धारणा पहिले नै गहिरो जरा गाडिसकेको छ।
根源	मूल कारण	गरिबीको मूल कारण धेरै जटिल छ।
跟前	अगाडि	बच्चा आमाको अगाडि दौडेर आयो।
跟随	पछ्याउनु	पत्रकार टोलीलाई पछ्याउँदै पहाडी क्षेत्रमा प्रवेश गरे।
跟踪	निगरानी गर्दै पछ्याउनु	प्रहरीले शंकास्पद व्यक्तिको गतिविधि निगरानी गर्दै पछ्याइरहेको छ।
更新	अद्यावधिक गर्नु	प्रणाली आज राति स्वतः अद्यावधिक हुनेछ।
更正	सच्याउनु	पत्रिकाले भोलिपल्ट गल्ती सच्यायो।
耕地	जोत्नु	किसानहरू वसन्त ऋतुमा खेत जोतिरहेका छन्।
供不应求	मागअनुसार आपूर्ति नपुग्नु	यो औषधि अहिले मागअनुसार आपूर्ति नपुग्ने अवस्थामा छ।
供给	आपूर्ति	सहरलाई स्थिर पानी र बिजुली आपूर्ति चाहिन्छ।
公安局	जनसुरक्षा कार्यालय	ऊ उजुरी दिन जनसुरक्षा कार्यालय गयो।
公道	न्याय	सबैलाई न्यायपूर्ण व्यवहार पाउने आशा हुन्छ।
公告	सूचना	विद्यालयले कक्षा बन्द हुने सूचना जारी गर्‍यो।
公关	जनसम्पर्क	कम्पनीले पेशेवर जनसम्पर्क टोली बोलायो।
公民	नागरिक	हरेक नागरिकले कानुन पालना गर्नुपर्छ।
公然	खुल्लमखुल्ला	उसले खुल्लमखुल्ला खेलका नियम उल्लङ्घन गर्‍यो।
