simplified	SK	example_SK
队伍	sprievod	Sprievod sa pomaly pohyboval dopredu
顿时	okamžite	Keď počul tú správu, okamžite stuhol
哆嗦	triasť sa	Bola taká zima, že sa stále triasol
多元化	diverzifikácia	Firma podporuje diverzifikáciu podnikania
堕落	upadať	Nechce dovoliť, aby ďalej morálne upadal
额外	dodatočný	Táto služba si vyžaduje dodatočný poplatok
恶心	nevoľno	Keď som zacítil ten zápach, bolo mi trochu nevoľno
恶化	zhoršiť sa	Ak sa choroba nelieči, môže sa zhoršiť
遏制	obmedziť	Vláda prijala opatrenia na obmedzenie znečistenia
恩怨	nevraživosť	Nevraživosť medzi týmito dvoma firmami siaha ďaleko do minulosti
而已	nič viac	Povedal som to len tak, nič viac
二氧化碳	oxid uhličitý	Rastliny absorbujú oxid uhličitý
发布	uviesť	Firma zajtra uvedie nový produkt
发财	zbohatnúť	Dúfa, že zbohatne tvrdou prácou
发呆	zasnený	Sedela pri okne zasnená
发动	zmobilizovať	Dobrovoľníci zmobilizovali obyvateľov, aby vyčistili ulicu
发觉	všimnúť si	Všimol som si, že je dnes trochu nervózny
发射	vypustiť	Raketa bude vypustená večer
发誓	prisahať	Prisahal, že už nikdy nebude klamať
发行	uviesť	Tento film bude uvedený budúci mesiac
发炎	zapálený	Rana je trochu zapálená
发扬	rozvíjať	Mali by sme rozvíjať ducha tímovej spolupráce
发育	vývoj	Telesný vývoj detí potrebuje dostatok výživy
法人	právnická osoba	Táto firma je samostatná právnická osoba
番	slovo	Tieto slová ma veľmi inšpirovali
凡是	každý	Každý, kto sa prihlási, sa musí zúčastniť školenia
繁华	rušný	Táto ulica bola kedysi veľmi rušná
繁忙	vyťažený	Letisko je počas sviatkov mimoriadne vyťažené
繁体字	tradičný čínsky znak	Na Taiwane sa často používajú tradičné čínske znaky
繁殖	rozmnožovať sa	Táto rastlina sa ľahko rozmnožuje
反驳	vyvrátiť	Údajmi vyvrátil tento názor
反常	nezvyčajný	Dnešné počasie je trochu nezvyčajné
反感	odpor	Mám veľký odpor k tomuto druhu reklamy
反抗	vzdorovať	Ľudia začali vzdorovať nespravodlivému pravidlu
反馈	spätná väzba	Zákazníci v spätnej väzbe uviedli, že systém je veľmi stabilný
反面	rubová strana	Prosím otočte papier na rubovú stranu
反射	odrážať	Zrkadlo odráža svetlo
反思	premýšľať spätne	Po neúspechu vážne premýšľal spätne nad príčinami
反问	opýtať sa na oplátku	Neodpovedal, ale opýtal sa ma na oplátku
反之	naopak	Príliš vysoké ceny znižujú dopyt a naopak
泛滥	pretekať	Prudký dážď spôsobil, že rieka pretiekla
范畴	kategória	Tento problém patrí do právnej kategórie
贩卖	predávať	Zákon zakazuje predávať falošné lieky
方位	smer	Na mape je vyznačený presný smer
方言	dialekt	Rozumie miestnemu dialektu
方圆	okruh	V okruhu desiatich kilometrov nie je nemocnica
方针	politika	Firma stanovila novú politiku rozvoja
防守	obrana	Obrana tohto tímu je veľmi stabilná
防御	obrana	Mestské hradby sa kedysi používali na obranu pred nepriateľmi
防止	predísť	Prosím zapnite si bezpečnostný pás, aby ste predišli zraneniu
防治	prevencia a liečba	Lekár vysvetlil metódy prevencie a liečby chorôb
纺织	textil	Toto mesto je známe textilným priemyslom
访问	navštíviť	Reportér zajtra navštívi tohto spisovateľa
放大	zväčšiť	Prosím trochu zväčšite obrázok
放射	vyžarovať	Tento materiál vyžaruje teplo
非法	nezákonný	Nezákonné transakcie budú potrestané
飞禽走兽	vtáky a zvieratá	V lese žijú rôzne vtáky a zvieratá
飞翔	lietať	Čajky lietajú nad morom
飞跃	skok	Rozvoj technológie dosiahol obrovský skok
肥沃	úrodný	Táto pôda je veľmi úrodná
诽谤	ohovárať	Za ohováranie iných treba niesť právnu zodpovednosť
废除	zrušiť	Toto staré pravidlo už bolo zrušené
废寝忘食	zanedbať spánok a jedlo	Kvôli výskumu zanedbával spánok aj jedlo
废墟	ruiny	Po zemetrasení sa to miesto zmenilo na ruiny
沸腾	vrieť	Voda už vrie
肺	pľúca	Fajčenie môže poškodiť pľúca
分辨	rozlíšiť	Je pre mňa ťažké rozlíšiť tieto dve farby
分寸	miera	Ani pri žartovaní netreba prekročiť správnu mieru
分红	dividenda	Akcionári môžu na konci roka dostať dividendy
分解	rozložiť	Učiteľ rozložil zložitý problém na niekoľko krokov
分裂	rozštiepiť sa	Vnútorné rozpory spôsobili, že sa organizácia rozštiepila
分泌	vylučovať	Táto žľaza vylučuje hormóny
分明	jasný	Fakty sú už veľmi jasné
分歧	rozdiel	Obe strany majú rozdiely v otázke ceny
分散	rozložiť	Prosím rozložte riziko do rôznych projektov
吩咐	prikázať	Šéf mi prikázal usporiadať dokumenty
坟墓	hrob	Na svahu je starý hrob
粉末	prášok	Prosím rozdrvte tablety na prášok
粉色	ružový	Kúpila si ružový šál
粉碎	rozbiť	Polícia rozbila tento zločinecký gang
分量	váha	Táto veta má veľkú váhu
愤怒	hnev	Jeho tón bol plný hnevu
丰满	bohatý	Obsah tohto článku ešte nie je dosť bohatý
丰盛	bohatý	Pripravili bohatú večeru
丰收	dobrá úroda	Roľníci mali tento rok dobrú úrodu
封闭	uzavrieť	Počas stavebných prác bude táto cesta uzavretá
封建	feudálny	Tento feudálny spôsob myslenia sa mal už dávno zmeniť
封锁	uzavrieť	Polícia uzavrela miesto nehody
锋利	ostrý	Tento nôž je veľmi ostrý
风暴	búrka	Na mori sa náhle objavila búrka
风度	elegancia	Na pódiu pôsobil veľmi elegantne
风光	scenéria	Prírodná scenéria je tu veľmi krásna
风气	atmosféra	Škola si vytvorila dobrú atmosféru učenia
风趣	humor	Rozpráva s veľkým humorom
风土人情	miestne zvyky	Cestovanie pomáha spoznať miestne zvyky
风味	miestna chuť	Tento podnik má výraznú miestnu chuť
逢	vždy keď	Vždy keď je víkend, park je rušný
奉献	venovať	Lekár venoval pacientom veľa času
否决	zamietnuť	Predstavenstvo zamietlo tento návrh
夫妇	manželský pár	Tento manželský pár prevádzkuje malý obchod
夫人	manželka	Pán Wang sa spolu s manželkou zúčastnil banketu
敷衍	povrchný	Dal len niekoľko povrchných odpovedí
俘虏	zajatec	Po skončení vojny boli zajatci prepustení
幅度	rozsah	Rozsah tohto zníženia ceny je veľký
服从	poslúchať	Vojaci musia poslúchať rozkazy
服气	byť presvedčený	Prehral zápas, ale vnútorne nebol presvedčený
福利	benefity	Zamestnanci prikladajú veľký význam firemným benefitom
福气	šťastie	Stretnúť dobrého učiteľa je jeho šťastie
符号	symbol	Tento symbol predstavuje nebezpečenstvo
辐射	radiácia	Lekár mu pripomenul, aby sa držal ďalej od silnej radiácie
俯视	hľadieť zhora	Z vrcholu hory možno hľadieť zhora na celé mesto
抚摸	hladkať	Jemne hladkala dieťa po hlave
抚养	vychovávať	Starí rodičia pomáhali vychovávať dieťa
腐败	korupcia	Vláda bojuje proti korupcii
腐烂	hniť	Ovocie bude hniť, ak zostane príliš dlho odložené
腐蚀	korodovať	Kyselina môže korodovať kovový povrch
腐朽	prehnitý	Kritizovali prehnitý systém
辅助	pomáhať	Tento nástroj môže pomáhať pri vyučovaní
副	zástupca	Bola vymenovaná za zástupkyňu manažéra
复活	oživiť	Tento tradičný sviatok sa znova oživuje
复兴	obroda	Kultúrna obroda si vyžaduje dlhodobé úsilie
富裕	majetný	Táto dedina je teraz čoraz majetnejšia
腹泻	hnačka	Má silnú hnačku a potrebuje navštíviť lekára
覆盖	pokryť	Silný sneh pokryl celé údolie
负担	záťaž	Nájomné sa stalo jeho hlavnou záťažou
赋予	udeliť	Zákon udeľuje občanom základné práva
附和	prikyvovať	Nemá vlastný názor a iba prikyvuje ostatným
附件	príloha	Prosím pozrite si prílohu v e-maile
附属	pridružený	Táto nemocnica je pridružená k univerzite
改良	zlepšiť	Odborníci zlepšujú tento druh ryže
盖章	opečiatkovať	Po podpísaní treba zmluvu opečiatkovať
钙	vápnik	Mlieko obsahuje veľa vápnika
尴尬	trápny	Na schôdzi nastalo trápne ticho
干旱	sucho	Dlhodobé sucho ovplyvnilo úrodu
干扰	rušiť	Hluk ruší moju prácu
干涉	zasahovať	Rodičia by nemali príliš zasahovať do rozhodnutí detí
干预	zasiahnuť	Vláda včas zasiahla proti riziku na trhu
感慨	dojatie	Keď videl staré fotografie, bol plný dojatia
感染	infikovať	Tento vírus ľahko infikuje deti
干劲	nadšenie	Všetci pracujú s veľkým nadšením
扛	zdvihnúť	Legenda hovorí, že bol taký silný, že dokázal zdvihnúť ťažký kotol
纲领	program	Schôdza prijala nový akčný program
岗位	pracovné miesto	Rýchlo sa prispôsobila novému pracovnému miestu
港口	prístav	Nákladná loď zakotvila v prístave
港湾	zátoka	Malá loď vplávala do pokojnej zátoky
杠杆	páka	Táto investícia použila vysokú páku
高超	vynikajúci	Jeho zručnosť pri oprave áut je vynikajúca
高潮	vrchol	Zápas dosiahol vrchol v posledných desiatich minútach
高峰	špička	Osem ráno je dopravná špička
高明	dômyselný	Táto metóda je naozaj dômyselná
高尚	ušľachtilý	Profesijný duch lekára je ušľachtilý
高涨	stúpať	Nadšenie publika stále stúpalo
稿件	rukopis	Redaktor upravuje rukopis
告辞	rozlúčiť sa	Je už neskoro, tak sa najprv rozlúčime
告诫	varovať	Učiteľ varoval študentov, aby nepodvádzali
割	porezať	Neopatrne si porezal prst
搁	položiť	Prosím položte dokumenty na stôl
歌颂	ospevovať	Táto báseň ospevuje pracujúcich
疙瘩	hrčka	Na ruke sa mu objavila hrčka
鸽子	holub	Na námestí je veľa holubov
格局	dispozícia	Dispozícia tohto bytu je veľmi rozumná
格式	formát	Prosím vyplňte formulár v predpísanom formáte
隔阂	odcudzenie	Nedorozumenie prehĺbilo odcudzenie medzi nimi
隔离	izolovať	Pacienta treba dočasne izolovať
革命	revolúcia	Táto revolúcia zmenila osud krajiny
个体	jednotlivec	Každý jednotlivec má iné potreby
各抒己见	vyjadriť vlastný názor	Na schôdzi každý vyjadril vlastný názor
根深蒂固	hlboko zakorenený	Tento názor je už hlboko zakorenený
根源	koreň	Korene chudoby sú veľmi zložité
跟前	pred	Dieťa pribehlo pred matku
跟随	nasledovať	Reportér nasledoval tím do horskej oblasti
跟踪	sledovať	Polícia sleduje pohyb podozrivého
更新	aktualizovať	Systém sa dnes večer automaticky aktualizuje
更正	opraviť	Noviny na druhý deň chybu opravili
耕地	orať	Na jar roľníci orú polia
供不应求	nedostatkový	Tento liek je momentálne nedostatkový
供给	dodávka	Mesto potrebuje stabilné dodávky vody a elektriny
公安局	úrad verejnej bezpečnosti	Išiel na úrad verejnej bezpečnosti nahlásiť prípad
公道	spravodlivý	Každý dúfa v spravodlivé zaobchádzanie
公告	oznámenie	Škola vydala oznámenie o zrušení vyučovania
公关	vzťahy s verejnosťou	Firma si najala profesionálny tím pre vzťahy s verejnosťou
公民	občan	Každý občan by mal dodržiavať zákon
公然	otvorene	Otvorene porušil pravidlá súťaže
公认	uznávaný	Je uznávaná ako vynikajúca učiteľka
公式	vzorec	Prosím zapíšte si tento matematický vzorec
公务	úradná záležitosť	Pre úradnú záležitosť odišiel na tri dni na služobnú cestu
公正	spravodlivý	Sudca musí zostať spravodlivý
公证	notárske overenie	Tento dokument potrebuje notárske overenie
功劳	zásluha	Na tomto úspechu majú zásluhu všetci
功效	účinnosť	Účinnosť tohto lieku treba ešte overiť
宫殿	palác	Turisti navštívili starobylý palác
工艺品	remeselný výrobok	Tento remeselný výrobok bol vyrobený ručne
恭敬	úctivo	Úctivo pozdravil staršieho človeka
攻击	zaútočiť	Hackeri zaútočili na webovú stránku firmy
攻克	prekonať	Výskumný tím prekonal technický problém
巩固	upevniť	Opakovanie môže upevniť naučené vedomosti
共和国	republika	Táto republika vznikla v minulom storočí
共计	spolu	Táto zásielka má spolu tristo debien
共鸣	odozva	Táto pieseň vyvolala u mnohých ľudí odozvu
勾结	spolčiť sa	Spolčili sa s ľuďmi zvonka, aby podvodom získali peniaze
钩子	hák	Na stene visí niekoľko hákov
构思	koncipovať	Spisovateľ koncipuje nový román
姑且	zatiaľ	Tento plán zatiaľ skúsme na jeden týždeň
孤独	osamelý	Po presťahovaní do nového mesta sa cítil osamelý
孤立	izolovaný	Nepozerajte sa na tento problém izolovane
辜负	sklamať	Nechcem sklamať očakávania rodičov
古董	starožitnosť	Starý otec zbieral niekoľko starožitností
古怪	čudný	Jeho nápad je trochu čudný
股东	akcionár	Valné zhromaždenie akcionárov sa bude konať budúci týždeň
股份	podiel	Drží podiel vo firme
骨干	opora	Títo inžinieri sú oporou tímu
鼓动	podnecovať	Niekto podnecoval dav k protestu
固然	nepochybne	Táto metóda je nepochybne jednoduchá, ale riziko nie je malé
固体	pevná látka	Ľad je pevná forma vody
固有	vlastný	Každá kultúra má vlastné charakteristiky
固执	tvrdohlavý	Je príliš tvrdohlavý a nechce počúvať rady
故乡	rodisko	Po mnohých rokoch sa vrátil do rodného kraja
故障	porucha	Výťah mal poruchu a je dočasne mimo prevádzky
雇佣	zamestnať	Firma sa rozhodla zamestnať viac technických pracovníkov
顾虑	obava	Ak máte nejaké obavy, môžete ich povedať priamo
顾问	poradca	Najali sme si právneho poradcu
拐杖	palice	Starý muž si pri vychádzaní často berie palicu
关怀	starostlivosť	Učiteľ venoval študentom veľa starostlivosti
关照	postarať sa	Prosím postarajte sa cestou o dieťa
官方	oficiálny	Oficiálne správy budú oznámené zajtra
观光	prehliadka	Turisti išli loďou na prehliadku
管辖	spravovať	Túto oblasť spravuje mestská vláda
惯例	zvyklosť	Pred začiatkom schôdze sa najprv predstavia hostia, to je zvyklosť
灌溉	zavlažovať	Roľníci používajú riečnu vodu na zavlažovanie polí
罐	nádoba	Na stole je nádoba s čajovými lístkami
贯彻	uskutočniť	Firma musí uskutočniť nové bezpečnostné normy
光彩	lesk	Toto oblečenie jej dodalo lesk
光辉	sláva	Jeho úspechy zanechali slávnu stránku
光芒	lúče	Slnko svojimi lúčmi osvetlilo údolie
光荣	čestný	Slúžiť krajine je čestné
广阔	rozľahlý	Trávnatá rovina sa tiahne bez konca a je veľmi rozľahlá
归根到底	v konečnom dôsledku	V konečnom dôsledku problém spočíva v riadení
归还	vrátiť	Prosím vráťte knihy načas
规范	štandard	Škola stanovila štandardy na riadenie laboratória
规格	špecifikácia	Špecifikácie tejto série súčiastok nie sú jednotné
规划	plánovanie	Mestské plánovanie musí brať do úvahy dopravu
规章	pravidlá	Zamestnanci musia dodržiavať firemné pravidlá
轨道	koľaj	Vlak ide po koľaji
贵族	šľachta	Táto usadlosť kedysi patrila šľachte
跪	kľaknúť si	Kľakol si pred sochou
棍棒	obušok	Polícia na mieste zhabala obušky
国防	národná obrana	Budovanie národnej obrany si vyžaduje dlhodobé investície
国务院	Štátna rada	Štátna rada vydala nové oznámenie
果断	rozhodný	Vedúci urobil rozhodné rozhodnutie
过度	nadmerný	Nadmerné používanie telefónu môže ovplyvniť spánok
过渡	prechod	Firma je vo fáze prechodu transformácie
过奖	preháňať s chválou	Preháňate s chválou, ešte sa musím učiť
过滤	filtrovať	Toto zariadenie dokáže filtrovať nečistoty
过失	chyba	Táto nehoda bola spôsobená ľudskou chybou
过问	zaujímať sa	Manažér sa zriedka zaujíma o takéto drobnosti
过瘾	uspokojivý	Pozerať tento zápas bolo naozaj uspokojivé
过于	príliš	Tento plán je príliš zložitý
嗨	hej	Hej, prečo si prišiel aj ty?
海拔	nadmorská výška	Táto dedina má vysokú nadmorskú výšku
海滨	pobrežie	Víkend strávili na pobreží
含糊	nejasný	Jeho odpoveď bola veľmi nejasná
含义	význam	Toto slovo má osobitný význam
寒暄	zdvorilostné pozdravy	Po stretnutí si najprv vymenili pár zdvorilostných pozdravov
罕见	zriedkavý	Táto choroba je veľmi zriedkavá
捍卫	brániť	Právnik sa usiloval brániť práva klienta
航空	letectvo	Letecká spoločnosť zrušila let
航天	kozmonautika	Čínska kozmonautika sa rýchlo rozvíja
航行	plaviť sa	Loď sa plaví po mori
行列	rady	Pridala sa do radov dobrovoľníkov
毫米	milimeter	Toto sklo má hrúbku päť milimetrov
毫无	vôbec žiadny	Jeho vysvetlenie nemá vôbec žiadny základ
豪迈	hrdinský	Jeho spev bol hrdinský a silný
号召	vyzvať	Vláda vyzvala všetkých, aby šetrili vodou
耗费	spotrebovať	Tento projekt spotreboval veľké množstvo financií
呵	okriknúť	Otec ho okríkol a dieťa sa hneď zastavilo
合并	zlúčiť sa	Dve firmy sa plánujú budúci rok zlúčiť
合成	syntetizovať	Tento materiál možno syntetizovať umelo
合伙	spoločne podnikať	Spoločne otvorili reštauráciu
合算	výhodný	Ísť autobusom je výhodnejšie než taxíkom
和蔼	láskavý	Tento lekár hovorí veľmi láskavo
和解	zmier	Obe strany napokon dosiahli zmier
和睦	harmonický	Susedia spolu vychádzajú harmonicky
和气	priateľský	Šéf sa k ľuďom správa priateľsky
和谐	harmonický	Hudba urobila atmosféru harmonickejšou
嘿	hej	Hej, počul si to?
痕迹	stopa	Na zemi zostali stopy kolies
狠心	krutý	Kruto odmietol prosbu priateľa
恨不得	najradšej by som	Najradšej by som sa hneď vrátil domov oddýchnuť si
哼	odfrknúť	Nespokojne si odfrkol
横	vodorovný	Prosím nakreslite na papier vodorovnú čiaru
哄	vybuchnúť smiechom	Všetci naraz vybuchli smiechom
烘	piecť	Chlieb sa pečie v rúre
轰动	senzácia	Táto správa vyvolala senzáciu po celej krajine
宏观	makro	Z ekonomiky potrebujeme urobiť analýzu z makro pohľadu
宏伟	veľkolepý	Dizajn tohto mosta je veľmi veľkolepý
洪水	povodeň	Povodeň zničila niekoľko mostov
喉咙	hrdlo	Príliš veľa rozprával a trochu ho bolí hrdlo
吼	revať	Nahlas reval smerom do diaľky
候选	kandidátka	Je kandidátkou na tohtoročnú zástupkyňu
后代	budúce generácie	Musíme chrániť životné prostredie pre budúce generácie
后顾之忧	obavy do budúcnosti	Stabilný príjem ho zbavil obáv do budúcnosti
后勤	logistika	Logistické oddelenie zodpovedá za dodávky materiálu
呼唤	volať	Matka pri dverách volala dieťa
呼啸	zavýjať	Studený vietor zavýjal za oknom
呼吁	vyzvať	Odborníci vyzvali všetkých, aby znížili plytvanie
忽略	prehliadnuť	Prosím neprehliadnite tento detail
湖泊	jazero	V tejto oblasti je veľa prírodných jazier
胡乱	náhodne	Nedávaj veci náhodne na zem
胡须	brada	Jeho brada už zbelela
花瓣	okvetný lístok	Po daždi ležali okvetné lístky po celej zemi
花蕾	púčik	Na jar vyrastajú na konároch púčiky
华丽	nádherný	Kostýmy na javisku boli veľmi nádherné
华侨	zahraničný Číňan	Mnohí zahraniční Číňania sa vrátili domov investovať
划分	rozdeliť	Učiteľ rozdelil študentov do štyroch skupín
化肥	chemické hnojivo	Roľníci aplikovali na plodiny chemické hnojivo
化石	fosília	Múzeum vystavilo fosílie dinosaurov
化验	laboratórny test	Lekár ho poslal na krvný test
化妆	líčiť sa	Pred vystúpením sa líčila
画蛇添足	zbytočne preháňať	Pridať ďalšie vysvetlenie by bolo zbytočné
话筒	mikrofón	Moderátor podal mikrofón divákovi
欢乐	radosť	Sviatočné námestie bolo plné radosti
环节	časť	Každá časť školenia je dôležitá
还原	obnoviť	Prosím obnovte nastavenia do predvoleného stavu
缓和	zmierniť sa	Vzťahy medzi oboma stranami sa postupne zmiernili
患者	pacient	Lekár sa pýta na stav pacienta
荒凉	opustený	Táto zem vyzerá veľmi opustene
荒谬	absurdný	Toto vysvetlenie znie absurdne
荒唐	nezmyselný	Jeho rozhodnutie bolo príliš nezmyselné
皇帝	cisár	Cisár žil vo veľkolepom paláci
皇后	cisárovná	Cisárovná sa zúčastnila slávnosti
黄昏	súmrak	Za súmraku sa rozsvietili pouličné lampy
恍然大悟	náhle pochopiť	Po vypočutí vysvetlenia to náhle pochopil
晃	mihnúť sa	Pred očami sa mu mihol a zmizol
挥霍	mrhať	Nemal by mrhať peniazmi rodičov
辉煌	slávny	Toto mesto má slávnu históriu
回报	odmena	Tvrdá práca nakoniec prinesie odmenu
回避	vyhýbať sa	Stále sa vyhýbal tejto otázke
回顾	zhodnotiť	Na konci schôdze zhodnotili prácu za celý rok
回收	recyklovať	Sídlisko začalo recyklovať staré batérie
悔恨	výčitky	Svoje minulé chyby ľutoval s výčitkami
毁灭	zničiť	Vojna takmer zničila toto mesto
会晤	stretnúť sa	Lídri oboch krajín sa zajtra stretnú
汇报	hlásiť	Manažérovi hlásil pokrok
贿赂	úplatok	Úradníka vyšetrovali pre úplatkárstvo
昏迷	kóma	Pacient je stále v kóme
荤	mäsitý	Toto jedlo je mäsité a nie je vhodné pre vegetariánov
浑身	celé telo	Po behu bol celý spotený
混合	zmiešať	Prosím rovnomerne zmiešajte tieto dva materiály
混乱	chaos	Na mieste bol istý čas veľký chaos
混淆	mýliť si	Nemýľte si tieto dva pojmy
混浊	zakalený	Po daždi sa riečna voda zakalila
活该	zaslúžiť si	Nepočúval rady, takže si neúspech zaslúžil
活力	vitalita	Toto mesto je plné vitality
火箭	raketa	Raketa úspešne vstúpila na plánovanú obežnú dráhu
火焰	plameň	Vietor vyhnal plamene vyššie
火药	pušný prach	Pušný prach zmenil spôsob starovekých vojen
货币	mena	Menová politika ovplyvňuje hospodársky rozvoj
基地	základňa	Tu kedysi bola dôležitá výcviková základňa
基金	fond	Škola zriadila štipendijný fond
基因	gén	Vedci skúmajú tento gén
机动	mobilný	Tento tím si zachováva vysokú mobilitu
机构	inštitúcia	Táto inštitúcia zodpovedá za kontrolu kvality
机灵	bystrý	Toto dieťa je veľmi bystré
机密	tajný	Tieto materiály sú tajné
机械	stroje	Továreň zaviedla nové stroje
机遇	príležitosť	Mladí ľudia by sa mali chopiť príležitostí
机智	duchaplný	Jeho odpoveď bola veľmi duchaplná
激发	podnecovať	Učiteľ podnietil záujem študentov
激励	povzbudiť	Tento úspech povzbudil celý tím
激情	vášeň	Pri prejave bol plný vášne
讥笑	posmievať sa	Neposmievajte sa chybám iných ľudí
饥饿	hlad	Dlhodobý hlad môže ovplyvniť zdravie
即便	aj keď	Aj keď bude pršať, vyrazíme načas
即将	chystať sa	Schôdza sa chystá začať
及早	čo najskôr	Problémy treba riešiť čo najskôr
吉祥	šťastný	Červená farba v Číne často symbolizuje šťastie
嫉妒	závidieť	Nemal by závidieť úspech kolegu
急功近利	hľadieť len na rýchly zisk	Výskum nemožno robiť tak, že človek hľadí len na rýchly zisk
急剧	prudký	Predaj prudko klesol
急切	netrpezlivý	Netrpezlivo čakala na správy
急于求成	ponáhľať sa za rýchlym výsledkom	Pri učení jazyka sa nemožno ponáhľať za rýchlym výsledkom
急躁	netrpezlivý	Pri ťažkostiach nebuďte netrpezliví
极端	extrémny	Takéto extrémne počasie je čoraz bežnejšie
极限	hranica	Tento tréning preveril jeho hranice
疾病	choroba	Dobré návyky môžu predchádzať chorobám
籍贯	rodisko	Vo formulári treba vyplniť rodisko
级别	úroveň	Táto súťaž je rozdelená na tri úrovne
集团	skupina	Táto skupina má pobočky v zahraničí
给予	poskytnúť	Škola poskytuje pomoc chudobným študentom
季军	tretie miesto	V súťaži získal tretie miesto
季度	štvrťrok	Firma zverejňuje finančné správy každý štvrťrok
寂静	tichý	Nočné údolie je mimoriadne tiché
寄托	vkladať	Svoje nádeje vkladala do dieťaťa
忌讳	tabu	Miestni ľudia považujú diskusiu o tejto veci pri stole za tabu
技巧	technika	Zvládnutie techník môže zvýšiť efektivitu
纪要	zápisnica	Tajomník usporiadal zápisnicu zo schôdze
继承	zdediť	Zdedil otcovu kariéru
计较	hašteriť sa	Nehašterte sa pre takú maličkosť
记性	pamäť	Má veľmi dobrú pamäť
记载	zaznamenať	Historické knihy zaznamenali túto vojnu
迹象	náznak	Momentálne nie sú žiadne náznaky zlepšenia
佳肴	lahôdka	Stôl bol plný chutných lahôdok
加工	spracovať	Tieto suroviny treba ďalej spracovať
加剧	zhoršovať sa	Rozpor sa zhoršuje
夹杂	miešať sa	Do zvuku dažďa sa miešal hrom
家常	domáci	Mám rád domáce jedlá
家伙	chlapík	Ten chlapík vždy mešká
家属	rodinný príslušník	Lekár informoval rodinných príslušníkov pacienta
家喻户晓	všeobecne známy	Tento príbeh je všeobecne známy
坚定	pevný	Jej postoj je veľmi pevný
坚固	pevný	Tento most je veľmi pevný
坚韧	húževnatý	Má húževnatú povahu
坚实	solidný	Tento výskum má solidný základ
坚硬	tvrdý	Tento kameň je veľmi tvrdý
尖端	špičkový	Firma investuje do špičkových technológií
尖锐	ostrý	Tento problém je veľmi ostrý
煎	vysmážať	Kuchár vysmáža rybu
监督	dozor	Verejný dozor pomáha zlepšiť prácu
监视	monitorovať	Polícia monitoruje podozrivého
监狱	väzenie	Vo väzení si odpykáva trest
艰难	ťažký	Počiatočná fáza podnikania je veľmi ťažká
剪彩	prestrihnúť pásku	Primátor prestrihol pásku pre novú knižnicu
拣	vybrať	Z košíka vybrala niekoľko jabĺk
检讨	prehodnotiť	Vážne prehodnotil svoje chyby
检验	otestovať	Experimenty môžu otestovať túto hypotézu
简化	zjednodušiť	Prosím ešte viac zjednodušte postup
简陋	jednoduchý	Bývali v jednoduchej malej chatrči
简体字	zjednodušený čínsky znak	Táto učebnica používa zjednodušené čínske znaky
简要	stručný	Prosím stručne vysvetlite svoj názor
健全	zdokonaliť	Firma potrebuje zdokonaliť systém riadenia
剑	meč	Na stene visí starobylý meč
溅	špliechať	Dažďová voda mu našpliechala na nohavice
舰艇	vojenské plavidlo	Na cvičení sa zúčastnilo niekoľko vojenských plavidiel
见多识广	skúsený	Tento starý muž je skúsený a veľa vie
见解	názor	Má na túto otázku jedinečný názor
见闻	rozhľad	Cestovanie mu rozšírilo rozhľad
见义勇为	statočne konať správne	Bol pochválený za to, že statočne konal správne
践踏	šliapať	Nešliapte po trávniku
鉴别	rozlíšiť	Odborníci vedia rozlíšiť, či je tento obraz pravý
鉴定	preskúmať	Polícia preskúmava odtlačky prstov
鉴于	vzhľadom na	Vzhľadom na zlé počasie bola akcia odložená
间谍	špión	Tento film rozpráva príbeh špióna
间隔	interval	Medzi dvoma schôdzami je interval jedného týždňa
间接	nepriamy	Táto politika bude mať nepriamy vplyv
僵硬	strnulý	Jeho úsmev pôsobil strnulo
将军	generál	Generál vydal rozkaz
将近	takmer	Tento projekt trval takmer dva roky
将就	uspokojiť sa	Podmienky sú zlé, takže sa s tým môžeme len uspokojiť
奖励	odmeniť	Škola odmenila vynikajúcich študentov
奖赏	odmena	Kráľ dal bojovníkovi bohatú odmenu
桨	veslo	Lodník veslom vesloval k brehu
降临	zostúpiť	Nad mestom postupne zostúpila noc
交叉	krížiť sa	Dve cesty sa tu križujú
交代	vysvetliť	Prosím vysvetlite úlohu jasne
交涉	vyjednávať	Obe strany vyjednávajú o odškodnení
交易	transakcia	Táto transakcia už bola dokončená
娇气	precitlivený	Nebuď taký precitlivený, počasie nie je chladné
焦点	ohnisko	Otázka zamestnanosti sa stala ohniskom diskusie
焦急	úzkostný	Matka úzkostlivo čakala, kým sa dieťa vráti
侥幸	šťastnou náhodou	Šťastnou náhodou unikol nešťastiu
搅拌	miešať	Prosím rovnomerne premiešajte cesto
缴纳	zaplatiť	Obyvatelia musia načas zaplatiť účet za vodu
角落	roh	Mačka sa ukryla v rohu izby
教养	výchova	Dobrá výchova sa prejavuje v detailoch
较量	súperiť	Dva silné tímy budú čoskoro súperiť
接连	za sebou	Dostal tri e-maily za sebou
揭露	odhaliť	Reportér odhalil problém bezpečnosti potravín
皆	všetci	Tieto pravidlá poznajú všetci
阶层	vrstva	Rôzne spoločenské vrstvy majú rôzne potreby
截止	uzavrieť	Prihlasovanie sa uzavrie zajtra popoludní
截至	k	Dnes sa už prihlásilo dvesto ľudí
杰出	vynikajúci	Je vynikajúca vedkyňa
竭尽全力	urobiť maximum	Urobíme maximum, aby sme úlohu dokončili
