source_headword	MY	example_MY
firstly	ပထမဆုံး	ပထမဆုံး မေးခွန်းကို ဖတ်ပါ။
fishing	ငါးဖမ်းခြင်း	ဒီမှာ ငါးဖမ်းခြင်းက လူကြိုက်များတယ်။
fit	တော်သည်; ကိုက်ညီသည်	ဒီဖိနပ်တွေက ကောင်းကောင်း တော်တယ်။
fix	ပြင်သည်	ပျက်နေတဲ့ ကုလားထိုင်ကို ပြင်ပါ။
flu	တုပ်ကွေး	ကျွန်တော့်မှာ တုပ်ကွေးရှိတယ်။
flying	ပျံသန်းခြင်း	ပျံသန်းခြင်းက မြန်တယ်။
focus	အာရုံစိုက်သည်	ဒီအလုပ်ကို အာရုံစိုက်ပါ။
following	အောက်ပါ	အောက်ပါ စာကြောင်းကို ဖတ်ပါ။
foreign	နိုင်ငံခြား	သူမ နိုင်ငံခြားဘာသာစကား ပြောတယ်။
forest	သစ်တော	သစ်တောက တိတ်ဆိတ်တယ်။
fork	ခက်ရင်း	ခက်ရင်းကို အသုံးပြုပါ။
formal	တရားဝင်သော	ဒီစာက တရားဝင်တယ်။
fortunately	ကံကောင်းစွာ	ကံကောင်းစွာ ဘယ်သူမှ မထိခိုက်ခဲ့ဘူး။
forward	ရှေ့သို့	ဖြည်းဖြည်း ရှေ့သို့ ရွေ့ပါ။
fresh	လတ်ဆတ်သော	ပေါင်မုန့်က လတ်ဆတ်တယ်။
