simplified	LO	example_LO
诞生	ກໍ່ເກີດ	ຄວາມຄິດນີ້ກໍ່ເກີດຂຶ້ນໃນການອະພິປາຍ.
当场	ທັນທີຢູ່ທີ່ນັ້ນ	ລາວຍອມຮັບຄວາມຜິດທັນທີຢູ່ທີ່ນັ້ນ.
当初	ໃນຕອນແລກ	ໃນຕອນແລກພວກເຮົາລ້ວນແຕ່ສະໜັບສະໜູນການຕັດສິນໃຈນີ້.
当代	ຍຸກປັດຈຸບັນ	ສັງຄົມຍຸກປັດຈຸບັນປ່ຽນແປງໄວຫຼາຍ.
当面	ຕໍ່ໜ້າ	ຖ້າມີບັນຫາ ຄວນເວົ້າໃຫ້ຊັດເຈນຕໍ່ໜ້າດີກວ່າ.
当前	ປັດຈຸບັນນີ້	ສິ່ງສຳຄັນທີ່ສຸດປັດຈຸບັນນີ້ແມ່ນຮັບປະກັນຄວາມປອດໄພ.
当事人	ຜູ້ກ່ຽວຂ້ອງ	ຕຳຫຼວດກຳລັງສອບຖາມຜູ້ກ່ຽວຂ້ອງ.
当务之急	ເລື່ອງດ່ວນທີ່ສຸດ	ການແກ້ບັນຫາທີ່ຢູ່ອາໄສເປັນເລື່ອງດ່ວນທີ່ສຸດ.
当选	ໄດ້ຮັບເລືອກ	ນາງໄດ້ຮັບເລືອກເປັນປະທານຢ່າງລາບລື່ນ.
党	ພັກ	ພັກນີ້ສະເໜີນະໂຍບາຍໃໝ່.
档案	ແຟ້ມປະຫວັດ	ໂຮງຮຽນເກັບຮັກສາແຟ້ມປະຫວັດຂອງນັກຮຽນ.
档次	ລະດັບຄຸນນະພາບ	ໂຮງແຮມນີ້ມີລະດັບຄຸນນະພາບສູງ.
倒闭	ປິດກິດຈະການ	ຮ້ານນ້ອຍນັ້ນປິດກິດຈະການໃນປີກາຍ.
导弹	ຂີປະນາວຸດ	ຂ່າວລາຍງານການທົດລອງຂີປະນາວຸດ.
导航	ນຳທາງ	ກະລຸນາເປີດລະບົບນຳທາງໃນໂທລະສັບ.
导向	ທິດທາງນຳ	ນະໂຍບາຍການສຶກສາຄວນມີຄວາມຍຸດຕິທຳເປັນທິດທາງນຳ.
捣乱	ກໍ່ກວນ	ກະລຸນາຢ່າກໍ່ກວນໃນຫ້ອງຮຽນ.
盗窃	ລັກຂະໂມຍ	ສູນການຄ້າເພີ່ມມາດຕະການເພື່ອປ້ອງກັນການລັກຂະໂມຍ.
稻谷	ເຂົ້າເປືອກ	ຊາວນາກຳລັງເກັບກ່ຽວເຂົ້າເປືອກ.
得不偿失	ໄດ້ບໍ່ຄຸ້ມເສຍ	ຊື້ວັດຖຸດ້ອຍຄຸນນະພາບເພື່ອປະຢັດເງິນຈະໄດ້ບໍ່ຄຸ້ມເສຍ.
得力	ມີຄວາມສາມາດຊ່ວຍໄດ້ດີ	ລາວເປັນຜູ້ຊ່ວຍທີ່ມີຄວາມສາມາດຊ່ວຍໄດ້ດີຂ້າງກາຍຜູ້ຈັດການ.
得天独厚	ມີຂໍ້ໄດ້ປຽບໂດຍທຳມະຊາດ	ເມືອງນີ້ມີຂໍ້ໄດ້ປຽບທາງພູມສາດໂດຍທຳມະຊາດ.
得罪	ລ່ວງເກີນ	ຂ້ອຍບໍ່ຢາກລ່ວງເກີນເພື່ອນຮ່ວມງານເພາະເລື່ອງນ້ອຍ.
灯笼	ໂຄມໄຟ	ໃນຊ່ວງບຸນປີໃໝ່ ປະຕູມີໂຄມໄຟສີແດງແຂວນຢູ່.
登录	ເຂົ້າລະບົບ	ກະລຸນາເຂົ້າລະບົບບັນຊີຂອງເຈົ້າກ່ອນ.
登陆	ຂຶ້ນຝັ່ງ	ພາຍຸໄຕ້ຝຸ່ນອາດຈະຂຶ້ນຝັ່ງເຂດຊາຍຝັ່ງຄືນນີ້.
蹬	ຖີບ	ລາວຖີບແຮງໆ ລົດຖີບກໍເລີ່ມເຄື່ອນ.
等候	ລໍຖ້າ	ຜູ້ໂດຍສານກຳລັງລໍຖ້າຂຶ້ນເຄື່ອງຢູ່ໃນຫ້ອງໂຖງ.
等级	ລະດັບ	ຊອບແວນີ້ມີລະດັບສະມາຊິກຕ່າງກັນ.
瞪	ຈ້ອງຕາໃສ່	ລາວໂມໂຫແລ້ວຈ້ອງຕາໃສ່ຂ້ອຍແວບໜຶ່ງ.
堤坝	ເຂື່ອນກັ້ນນ້ຳ	ຫຼັງຝົນຕົກໜັກ ເຂື່ອນກັ້ນນ້ຳຕ້ອງກວດຢ່າງລະອຽດ.
敌视	ມອງເປັນສັດຕູ	ພວກເຮົາບໍ່ຄວນມອງຄວາມຄິດເຫັນຕ່າງເປັນສັດຕູ.
抵达	ມາຮອດ	ເຄື່ອງບິນມາຮອດປັກກິ່ງຕາມເວລາ.
抵抗	ຕ້ານທານ	ຊາວບ້ານຮ່ວມກັນຕ້ານທານນ້ຳຖ້ວມ.
抵制	ຕໍ່ຕ້ານ	ຜູ້ບໍລິໂພກເລີ່ມຕໍ່ຕ້ານສິນຄ້າດ້ອຍຄຸນນະພາບ.
地步	ຂັ້ນສະພາບ	ເລື່ອງນີ້ຍັງບໍ່ຮ້າຍແຮງເຖິງຂັ້ນນັ້ນ.
地势	ພູມສັນຖານ	ພູມສັນຖານທີ່ນີ້ສູງກວ່າ ຈຶ່ງບໍ່ຄ່ອຍມີນ້ຳຂັງ.
地质	ທໍລະນີວິທະຍາ	ຜູ້ຊ່ຽວຊານກຳລັງສຳຫຼວດສະພາບທໍລະນີວິທະຍາທ້ອງຖິ່ນ.
递增	ເພີ່ມຂຶ້ນຕາມລຳດັບ	ຍອດຂາຍເພີ່ມຂຶ້ນຕາມລຳດັບສາມເດືອນຕິດຕໍ່ກັນ.
颠簸	ສັ່ນສະເທືອນ	ທາງພູເຂົາສັ່ນສະເທືອນຫຼາຍ ຂັບລົດຕ້ອງລະວັງ.
颠倒	ກັບຫົວກັບຫາງ	ເຈົ້າກັບລຳດັບຕົວເລກສອງຕົວນັ້ນຜິດ.
典礼	ພິທີ	ພິທີຮັບປະລິນຍາຈະຈັດຢູ່ຫໍປະຊຸມ.
典型	ແບບຢ່າງຊັດເຈນ	ນີ້ແມ່ນກໍລະນີສຳເລັດທີ່ເປັນແບບຢ່າງຊັດເຈນ.
点缀	ປະດັບເສີມ	ດອກໄມ້ນ້ອຍສອງສາມດອກປະດັບເສີມໂຕະອາຫານ.
垫	ຮອງ	ກະລຸນາເອົາເຈ້ຍແຜ່ນນີ້ຮອງໃຕ້ຈອກ.
奠定	ວາງພື້ນຖານ	ການຮ່ວມມືຄັ້ງນີ້ວາງພື້ນຖານໃຫ້ຄວາມສຳພັນລະຍະຍາວ.
惦记	ຄິດຮອດເປັນຫ່ວງ	ແມ່ຄິດຮອດເປັນຫ່ວງລູກທີ່ຢູ່ໄກຕະຫຼອດ.
电源	ແຫຼ່ງໄຟຟ້າ	ກ່ອນອອກຈາກເຮືອນ ກະລຸນາປິດແຫຼ່ງໄຟຟ້າ.
叼	ຄາບ	ໝາໂຕນັ້ນຄາບກະດູກອັນໜຶ່ງ.
雕刻	ແກະສະຫຼັກ	ລາວມັກແກະສະຫຼັກລວດລາຍໃນໄມ້.
雕塑	ປະຕິມາກຳ	ກາງຈະຕຸລັດມີປະຕິມາກຳອັນໜຶ່ງ.
吊	ຍົກແຂວນ	ຄົນງານໃຊ້ເຄື່ອງຍົກແຂວນຄານເຫຼັກຂຶ້ນ.
调动	ຍ້າຍປັບຕຳແໜ່ງ	ບໍລິສັດຍ້າຍລາວໄປເຮັດວຽກທີ່ຊຽງໄຮ.
跌	ຕົກລົງ	ລາຄາຫຸ້ນມື້ນີ້ຕົກລົງອີກແລ້ວ.
丁	ຕ່ອນນ້ອຍ	ໃນສູດອາຫານຂຽນໃຫ້ຫັ່ນມັນຝຣັ່ງເປັນຕ່ອນນ້ອຍ.
叮嘱	ກຳຊັບ	ຄູກຳຊັບພວກເຮົາຊ້ຳໆໃຫ້ລະວັງຄວາມປອດໄພ.
盯	ຈ້ອງເບິ່ງ	ກະລຸນາຢ່າຈ້ອງເບິ່ງຄົນອື່ນຕະຫຼອດ.
定期	ເປັນປະຈຳຕາມກຳນົດ	ໝໍແນະນຳໃຫ້ລາວກວດສຸຂະພາບເປັນປະຈຳຕາມກຳນົດ.
定义	ຄຳນິຍາມ	ກະລຸນາອະທິບາຍຄຳນິຍາມຂອງແນວຄິດນີ້ກ່ອນ.
丢人	ຂາຍໜ້າ	ການຕົວະຕໍ່ໜ້າຄົນຫຼາຍແມ່ນຂາຍໜ້າຫຼາຍ.
丢三落四	ຂີ້ລືມລືມນັ້ນລືມນີ້	ລາວຂີ້ລືມລືມນັ້ນລືມນີ້ສະເໝີ ອອກບ້ານມັກລືມກະແຈ.
东道主	ເຈົ້າພາບ	ໃນຖານະເຈົ້າພາບ ພວກເຮົາຕ້ອງດູແລແຂກໃຫ້ດີ.
东张西望	ຫັນເບິ່ງຊ້າຍຂວາ	ໃນເວລາຮຽນຢ່າຫັນເບິ່ງຊ້າຍຂວາ.
董事长	ປະທານຄະນະກຳມະການ	ປະທານຄະນະກຳມະການເຂົ້າຮ່ວມປະຊຸມມື້ນີ້.
冻结	ແຊ່ແຂງລະງັບ	ທະນາຄານລະງັບບັນຊີນີ້ຊົ່ວຄາວ.
动荡	ປັ່ນປ່ວນ	ສົງຄາມເຮັດໃຫ້ເຂດນີ້ປັ່ນປ່ວນຍາວນານ.
动机	ແຮງຈູງໃຈ	ຕຳຫຼວດກຳລັງສືບສວນແຮງຈູງໃຈຂອງລາວ.
动静	ສຽງຫຼືຄວາມເຄື່ອນໄຫວ	ໃນຫ້ອງບໍ່ມີສຽງຫຼືຄວາມເຄື່ອນໄຫວເລີຍ.
动力	ແຮງຜັກດັນ	ຄວາມສົນໃຈແມ່ນແຮງຜັກດັນໃນການຮຽນ.
动脉	ເສັ້ນເລືອດແດງ	ໝໍກວດເສັ້ນເລືອດແດງຂອງລາວ.
动身	ອອກເດີນທາງ	ພວກເຮົາຈະອອກເດີນທາງໄປສະໜາມບິນແຕ່ເຊົ້າມື້ອື່ນ.
动手	ລົງມື	ເລື່ອງຍັງເວົ້າບໍ່ຊັດ ໃຜກໍຢ່າລົງມື.
动态	ຄວາມເຄື່ອນໄຫວ	ກະລຸນາຕິດຕາມຄວາມເຄື່ອນໄຫວຂອງໂຄງການຕະຫຼອດ.
动员	ລະດົມ	ໂຮງຮຽນລະດົມນັກຮຽນເຂົ້າຮ່ວມກິດຈະກຳອາສາ.
栋	ຫຼັງ	ອາຄານຫຼັງນີ້ມີຊາວຊັ້ນ.
兜	ຖົງເສື້ອ	ລາວໃສ່ກະແຈໄວ້ໃນຖົງເສື້ອຄຸມ.
陡峭	ຊັນຫຼາຍ	ທາງພູເຂົາເສັ້ນນີ້ຊັນຫຼາຍ.
斗争	ຕໍ່ສູ້	ພວກເຂົາຕໍ່ສູ້ເພື່ອປົກປ້ອງສິ່ງແວດລ້ອມ.
督促	ກະຕຸ້ນເລັ່ງລັດ	ຜູ້ຈັດການກະຕຸ້ນໃຫ້ທຸກຄົນເຮັດວຽກໃຫ້ສຳເລັດຕາມເວລາ.
毒品	ຢາເສບຕິດ	ດ່ານພາສີກວດຈັບຢາເສບຕິດໄດ້ຊຸດໜຶ່ງ.
独裁	ຜະເດັດການ	ປະຊາຊົນຕໍ່ຕ້ານການປົກຄອງແບບຜະເດັດການ.
堵塞	ອຸດຕັນ	ຂີ້ເຫຍື້ອອຸດຕັນທໍ່ນ້ຳເສຍ.
赌博	ພະນັນ	ການພະນັນຈະນຳຜົນຮ້າຍແຮງມາໃຫ້.
杜绝	ກຳຈັດໃຫ້ໝົດ	ບໍລິສັດຮຽກຮ້ອງໃຫ້ກຳຈັດປະກົດການຟຸ່ມເຟືອຍໃຫ້ໝົດ.
端	ຍົກຖື	ລາວຍົກຖືຊາຮ້ອນຈອກໜຶ່ງເຂົ້າມາ.
端午节	ບຸນຕວນອູ່	ໃນບຸນຕວນອູ່ ພວກເຮົາກິນເຂົ້າຕົ້ມຫໍ່.
端正	ປັບໃຫ້ຖືກຕ້ອງ	ນັກຮຽນຄວນປັບທ່າທີການຮຽນໃຫ້ຖືກຕ້ອງ.
短促	ສັ້ນໆຮີບໆ	ລາວຖອນຫາຍໃຈສັ້ນໆຄັ້ງໜຶ່ງ.
断定	ຕັດສິນຢືນຢັນ	ຕອນນີ້ຍັງຕັດສິນຢືນຢັນບໍ່ໄດ້ວ່າໃຜຖືກໃຜຜິດ.
断绝	ຕັດຂາດ	ຫຼັງອຸບັດເຫດ ບ້ານນັ້ນຖືກຕັດຂາດການຕິດຕໍ່ກັບໂລກພາຍນອກ.
堆积	ກອງສະສົມ	ຫິມະກອງສະສົມຢູ່ຂ້າງທາງ.
兑现	ປະຕິບັດຕາມສັນຍາ	ສຸດທ້າຍລາວປະຕິບັດຕາມສັນຍາແລ້ວ.
对策	ມາດຕະການຮັບມື	ເມື່ອເຜີຍໜ້າກັບຄວາມສ່ຽງ ພວກເຮົາຕ້ອງມີມາດຕະການຮັບມື.
对称	ສົມມາດ	ສອງຂ້າງຊ້າຍຂວາຂອງອາຄານນີ້ສົມມາດຫຼາຍ.
对付	ຮັບມື	ບັນຫານີ້ຮັບມືບໍ່ງ່າຍ.
对抗	ປະຈັນຫນ້າຕໍ່ຕ້ານ	ທີມສອງທີມຈະປະຈັນຫນ້າກັນໃນຮອບຊິງ.
对立	ກົງກັນຂ້າມ	ຈຸດຢືນຂອງສອງຝ່າຍກົງກັນຂ້າມຢ່າງສິ້ນເຊີງ.
对联	ຄູ່ຄຳອວຍພອນ	ໃນຊ່ວງບຸນປີໃໝ່ ພວກເຂົາຕິດຄູ່ຄຳອວຍພອນຢູ່ປະຕູ.
对应	ສອດຄ່ອງກັນ	ໝາຍເລກແຕ່ລະອັນສອດຄ່ອງກັບບ່ອນນັ່ງໜຶ່ງບ່ອນ.
对照	ທຽບກວດ	ກະລຸນາທຽບກວດຄຳແປກັບຕົ້ນສະບັບ.
队伍	ຂະບວນແຖວ	ຂະບວນແຖວເດີນຊ້າໆໄປຂ້າງໜ້າ.
顿时	ທັນທີ	ໄດ້ຍິນຂ່າວນີ້ ລາວກໍອຶ້ງໄປທັນທີ.
哆嗦	ສັ່ນງັນງົກ	ອາກາດໜາວເກີນໄປ ລາວສັ່ນງັນງົກຕະຫຼອດ.
多元化	ຫຼາກຫຼາຍຮູບແບບ	ບໍລິສັດກຳລັງຜັກດັນທຸລະກິດໃຫ້ຫຼາກຫຼາຍຮູບແບບ.
堕落	ຕົກຕ່ຳເສື່ອມໂຊມ	ລາວບໍ່ຢາກໃຫ້ຕົນເອງຕົກຕ່ຳເສື່ອມໂຊມຕໍ່ໄປ.
额外	ເພີ່ມເຕີມ	ບໍລິການນີ້ຕ້ອງເສຍຄ່າເພີ່ມເຕີມ.
恶心	ຄືນໄສ້	ໄດ້ກິ່ນນັ້ນແລ້ວ ຂ້ອຍຄືນໄສ້ນິດໜ່ອຍ.
恶化	ຊຸດໂຊມລົງ	ຖ້າບໍ່ຮັກສາ ອາການປ່ວຍອາດຈະຊຸດໂຊມລົງ.
遏制	ສະກັດກັ້ນ	ລັດຖະບານໃຊ້ມາດຕະການສະກັດກັ້ນມົນລະພິດ.
恩怨	ບຸນຄຸນແລະຄວາມແຄ້ນ	ບຸນຄຸນແລະຄວາມແຄ້ນລະຫວ່າງບໍລິສັດສອງແຫ່ງນີ້ມີມານານແລ້ວ.
而已	ເທົ່ານັ້ນ	ຂ້ອຍພຽງແຕ່ເວົ້າຫຼິ້ນໆເທົ່ານັ້ນ.
二氧化碳	ກາກບອນໄດອອກໄຊ	ພືດຈະດູດຊຶມກາກບອນໄດອອກໄຊ.
发布	ເຜີຍແຜ່ປະກາດ	ບໍລິສັດຈະເຜີຍແຜ່ປະກາດຜະລິດຕະພັນໃໝ່ມື້ອື່ນ.
发财	ຮັ່ງມີ	ລາວຫວັງຈະຮັ່ງມີດ້ວຍຄວາມພະຍາຍາມ.
发呆	ເຫມ່ອລອຍ	ນາງນັ່ງເຫມ່ອລອຍຢູ່ຂ້າງປ່ອງຢ້ຽມ.
发动	ລະດົມເລີ່ມການ	ອາສາສະໝັກລະດົມຊາວບ້ານໃຫ້ກວາດຖະໜົນ.
发觉	ສັງເກດຮູ້	ຂ້ອຍສັງເກດຮູ້ວ່າມື້ນີ້ລາວເຄັ່ງຕຶງນິດໜ່ອຍ.
发射	ຍິງສົ່ງ	ຈະຍິງສົ່ງຈະຫຼວດໃນຕອນກາງຄືນ.
发誓	ສາບານ	ລາວສາບານວ່າຈະບໍ່ຕົວະອີກ.
发行	ອອກຈຳໜ່າຍ	ຮູບເງົາເລື່ອງນີ້ຈະອອກຈຳໜ່າຍເດືອນໜ້າ.
发炎	ອັກເສບ	ບາດແຜອັກເສບນິດໜ່ອຍ.
发扬	ສືບສານສົ່ງເສີມ	ພວກເຮົາຕ້ອງສືບສານສົ່ງເສີມຈິດໃຈຮ່ວມມືເປັນທີມ.
发育	ເຕີບໂຕພັດທະນາ	ການເຕີບໂຕຂອງຮ່າງກາຍເດັກຕ້ອງການສານອາຫານພຽງພໍ.
法人	ນິຕິບຸກຄົນ	ບໍລິສັດນີ້ເປັນນິຕິບຸກຄົນອິດສະຫຼະ.
番	ຊຸດຄຳເວົ້າ	ຄຳເວົ້າຊຸດນີ້ເຮັດໃຫ້ຂ້ອຍໄດ້ແຮງບັນດານໃຈຫຼາຍ.
凡是	ທຸກຄົນທີ່	ທຸກຄົນທີ່ລົງທະບຽນຕ້ອງເຂົ້າຮ່ວມການຝຶກອົບຮົມ.
繁华	ຄຶກຄັກຈະເລີນ	ຖະໜົນເສັ້ນນີ້ເມື່ອກ່ອນຄຶກຄັກຈະເລີນຫຼາຍ.
繁忙	ຫຍຸ້ງຫຼາຍ	ສະໜາມບິນໃນຊ່ວງວັນພັກຫຍຸ້ງຫຼາຍເປັນພິເສດ.
繁体字	ອັກສອນຈີນແບບເກົ່າ	ເຂດໄຕ້ຫວັນມັກໃຊ້ອັກສອນຈີນແບບເກົ່າ.
繁殖	ສືບພັນ	ພືດຊະນິດນີ້ສືບພັນໄດ້ງ່າຍຫຼາຍ.
反驳	ໂຕ້ແຍ້ງ	ລາວໃຊ້ຂໍ້ມູນໂຕ້ແຍ້ງທັດສະນະນີ້.
反常	ຜິດປົກກະຕິ	ອາກາດມື້ນີ້ຜິດປົກກະຕິນິດໜ່ອຍ.
反感	ບໍ່ພໍໃຈລັງກຽດ	ຂ້ອຍບໍ່ພໍໃຈກັບໂຄສະນາແບບນີ້ຫຼາຍ.
反抗	ຕໍ່ຕ້ານ	ຜູ້ຄົນເລີ່ມຕໍ່ຕ້ານກົດລະບຽບທີ່ບໍ່ຍຸດຕິທຳ.
反馈	ຄຳຕິຊົມຕອບກັບ	ລູກຄ້າຕອບກັບວ່າລະບົບມີຄວາມສະຖຽນຫຼາຍ.
反面	ດ້ານຫຼັງ	ກະລຸນາກັບເຈ້ຍໄປດ້ານຫຼັງ.
反射	ສະທ້ອນ	ແວ່ນສາມາດສະທ້ອນແສງ.
反思	ທົບທວນຄິດຄືນ	ຫຼັງລົ້ມເຫຼວ ລາວທົບທວນຄິດຄືນເຫດຜົນຢ່າງຈິງຈັງ.
反问	ຖາມກັບ	ລາວບໍ່ຕອບ ແຕ່ຖາມຂ້ອຍກັບຄືນປະໂຫຍກໜຶ່ງ.
反之	ກົງກັນຂ້າມກໍເຊັ່ນກັນ	ລາຄາສູງເກີນໄປຈະຫຼຸດຄວາມຕ້ອງການ ກົງກັນຂ້າມກໍເຊັ່ນກັນ.
泛滥	ລົ້ນຖ້ວມ	ຝົນຕົກໜັກເຮັດໃຫ້ນ້ຳແມ່ນ້ຳລົ້ນຖ້ວມ.
范畴	ຂອບເຂດ	ບັນຫານີ້ຢູ່ໃນຂອບເຂດກົດໝາຍ.
贩卖	ຄ້າຂາຍຜິດກົດໝາຍ	ກົດໝາຍຫ້າມຄ້າຂາຍຢາປອມ.
方位	ຕຳແໜ່ງທິດທາງ	ໃນແຜນທີ່ລະບຸຕຳແໜ່ງທິດທາງທີ່ແນ່ນອນ.
方言	ພາສາຖິ່ນ	ລາວຟັງພາສາຖິ່ນທ້ອງຖິ່ນເຂົ້າໃຈ.
方圆	ລະບອບບໍລິເວນ	ໃນລະບອບບໍລິເວນສິບກິໂລແມັດບໍ່ມີໂຮງໝໍ.
方针	ແນວທາງນະໂຍບາຍ	ບໍລິສັດກຳນົດແນວທາງພັດທະນາໃໝ່.
防守	ປ້ອງກັນ	ການປ້ອງກັນຂອງທີມນີ້ໝັ້ນຄົງຫຼາຍ.
防御	ປ້ອງກັນຕ້ານທານ	ກຳແພງເມືອງເຄີຍໃຊ້ປ້ອງກັນສັດຕູ.
防止	ປ້ອງກັນບໍ່ໃຫ້	ກະລຸນາຄາດສາຍນິລະໄພໃຫ້ດີ ເພື່ອປ້ອງກັນບາດເຈັບ.
防治	ປ້ອງກັນແລະຮັກສາ	ໝໍອະທິບາຍວິທີປ້ອງກັນແລະຮັກສາພະຍາດ.
纺织	ທໍຜ້າ	ເມືອງນີ້ມີຊື່ສຽງດ້ານອຸດສາຫະກຳທໍຜ້າ.
访问	ສຳພາດເຂົ້າຢ້ຽມ	ນັກຂ່າວຈະສຳພາດນັກຂຽນຄົນນີ້ມື້ອື່ນ.
放大	ຂະຫຍາຍໃຫຍ່	ກະລຸນາຂະຫຍາຍຮູບໃຫ້ໃຫຍ່ຂຶ້ນນິດໜ່ອຍ.
放射	ປ່ອຍອອກແຜ່ລັງສີ	ວັດຖຸຊະນິດນີ້ຈະປ່ອຍຄວາມຮ້ອນອອກມາ.
非法	ຜິດກົດໝາຍ	ການຊື້ຂາຍຜິດກົດໝາຍຈະຖືກລົງໂທດ.
飞禽走兽	ນົກແລະສັດປ່າ	ໃນປ່າມີນົກແລະສັດປ່າຫຼາຍຊະນິດອາໄສຢູ່.
飞翔	ບິນລ່ອງ	ນົກນາງນວນບິນລ່ອງຢູ່ເທິງຜິວທະເລ.
飞跃	ກ້າວກະໂດດ	ການພັດທະນາເຕັກໂນໂລຊີບັນລຸການກ້າວກະໂດດໃຫຍ່.
肥沃	ອຸດົມສົມບູນ	ດິນຜືນນີ້ອຸດົມສົມບູນຫຼາຍ.
诽谤	ໃສ່ຮ້າຍປ້າຍສີ	ການໃສ່ຮ້າຍຄົນອື່ນຕ້ອງຮັບຜິດຊອບທາງກົດໝາຍ.
废除	ຍົກເລີກຖອນອອກ	ກົດລະບຽບເກົ່ານີ້ຖືກຍົກເລີກແລ້ວ.
废寝忘食	ລືມນອນລືມກິນ	ລາວລືມນອນລືມກິນເພື່ອການວິຈັຍ.
废墟	ຊາກພັງ	ຫຼັງແຜ່ນດິນໄຫວ ທີ່ນັ້ນກາຍເປັນຊາກພັງ.
沸腾	ເດືອດ	ນ້ຳເດືອດແລ້ວ.
肺	ປອດ	ການສູບຢາຈະທຳຮ້າຍປອດ.
分辨	ແຍກແຍະ	ຂ້ອຍແຍກແຍະສອງສີນີ້ຍາກຫຼາຍ.
分寸	ຂອບເຂດພໍດີ	ເຖິງຈະລໍ້ຫຼິ້ນ ກໍຕ້ອງຮູ້ຂອບເຂດພໍດີ.
分红	ແບ່ງປັນຜົນກຳໄລ	ຜູ້ຖືຫຸ້ນສາມາດໄດ້ຮັບສ່ວນແບ່ງຜົນກຳໄລທ້າຍປີ.
分解	ແຍກອອກເປັນສ່ວນ	ຄູແຍກບັນຫາສັບຊ້ອນອອກເປັນຫຼາຍຂັ້ນ.
分裂	ແຕກແຍກ	ຄວາມຂັດແຍ້ງພາຍໃນເຮັດໃຫ້ອົງການແຕກແຍກ.
分泌	ຫຼັ່ງ	ຕ່ອມຊະນິດນີ້ຈະຫຼັ່ງຮໍໂມນ.
分明	ຊັດເຈນ	ຂໍ້ເທັດຈິງຊັດເຈນຫຼາຍແລ້ວ.
分歧	ຄວາມເຫັນແຕກຕ່າງ	ທັງສອງຝ່າຍມີຄວາມເຫັນແຕກຕ່າງເລື່ອງລາຄາ.
分散	ກະຈາຍ	ກະລຸນາກະຈາຍຄວາມສ່ຽງໄປຫາໂຄງການຕ່າງໆ.
吩咐	ສັ່ງກຳຊັບ	ເຈົ້ານາຍສັ່ງກຳຊັບໃຫ້ຂ້ອຍຈັດເອກະສານ.
坟墓	ຫຼຸມສົບ	ເທິງເນີນພູມີຫຼຸມສົບເກົ່າຫຼຸມໜຶ່ງ.
粉末	ຜົງ	ກະລຸນາບົດເມັດຢາໃຫ້ເປັນຜົງ.
粉色	ສີບົວອ່ອນ	ນາງຊື້ຜ້າພັນຄໍສີບົວອ່ອນຜືນໜຶ່ງ.
粉碎	ທຳລາຍໃຫ້ແຕກສະລາຍ	ຕຳຫຼວດທຳລາຍແກ໊ງອາຊະຍາກຳນີ້ໄດ້.
分量	ນ້ຳໜັກຄວາມສຳຄັນ	ປະໂຫຍກນີ້ມີນ້ຳໜັກຄວາມສຳຄັນຫຼາຍ.
愤怒	ຄວາມໂກດແຄ້ນ	ນ້ຳສຽງຂອງລາວເຕັມໄປດ້ວຍຄວາມໂກດແຄ້ນ.
丰满	ເຕັມອີ່ມສົມບູນ	ເນື້ອຫາຂອງບົດຄວາມນີ້ຍັງບໍ່ເຕັມອີ່ມພໍ.
丰盛	ອຸດົມຫຼາຍຢ່າງ	ພວກເຂົາກຽມອາຫານແລງອຸດົມຫຼາຍຢ່າງເຕັມໂຕະ.
丰收	ເກັບກ່ຽວໄດ້ຜົນດີ	ປີນີ້ຊາວນາໄດ້ຕ້ອນຮັບການເກັບກ່ຽວໄດ້ຜົນດີ.
封闭	ປິດກັ້ນ	ໃນຊ່ວງກໍ່ສ້າງ ຖະໜົນເສັ້ນນີ້ຈະຖືກປິດກັ້ນ.
封建	ສັກດິນາ	ຄວາມຄິດສັກດິນາແບບນີ້ຄວນປ່ຽນມານານແລ້ວ.
封锁	ປິດລ້ອມ	ຕຳຫຼວດປິດລ້ອມສະຖານທີ່ເກີດເຫດ.
锋利	ຄົມ	ມີດເຫຼັ້ມນີ້ຄົມຫຼາຍ.
风暴	ພາຍຸ	ທະເລປາກົດພາຍຸຂຶ້ນກະທັນຫັນ.
风度	ບຸກຄະລິກສະຫງ່າ	ລາວຢູ່ເທິງເວທີເບິ່ງມີບຸກຄະລິກສະຫງ່າຫຼາຍ.
风光	ທິວທັດ	ທິວທັດທຳມະຊາດທີ່ນີ້ງາມຫຼາຍ.
风气	ບັນຍາກາດນິຍົມ	ໂຮງຮຽນສ້າງບັນຍາກາດການຮຽນທີ່ດີ.
风趣	ມີອາລົມຂັນ	ລາວເວົ້າຈາມີອາລົມຂັນຫຼາຍ.
风土人情	ວິຖີຊີວິດແລະປະເພນີທ້ອງຖິ່ນ	ການເດີນທາງຊ່ວຍໃຫ້ຮູ້ຈັກວິຖີຊີວິດແລະປະເພນີທ້ອງຖິ່ນ.
风味	ລົດຊາດເອກະລັກ	ຮ້ານນີ້ມີລົດຊາດເອກະລັກທ້ອງຖິ່ນເຂັ້ມຂົ້ນ.
逢	ເມື່ອພົບທຸກຄັ້ງ	ທຸກໆທ້າຍອາທິດ ສວນສາທາລະນະຄຶກຄື້ນຫຼາຍ.
奉献	ອຸທິດຕົນ	ໝໍອຸທິດເວລາຫຼາຍໃຫ້ຄົນເຈັບ.
否决	ປະຕິເສດລົງມະຕິ	ຄະນະກຳມະການບໍລິຫານລົງມະຕິປະຕິເສດຂໍ້ສະເໜີນີ້.
夫妇	ຄູ່ຜົວເມຍ	ຄູ່ຜົວເມຍນີ້ດຳເນີນຮ້ານນ້ອຍໜຶ່ງ.
