simplified	NE	example_NE
过分	अत्यधिक	उनको माग अलि अत्यधिक छ।
过敏	एलर्जी हुनु	मलाई परागसँग एलर्जी हुन्छ।
过期	म्याद सकिनु	यो दूधको बोतलको म्याद सकिसकेको छ।
哈	हा	हा, अब बल्ल मैले बुझें।
海关	भन्सार	हामी भन्सारमा जाँचका लागि लाइन लाग्यौं।
海鲜	समुद्री खाना	यो रेस्टुरेन्टको समुद्री खाना धेरै ताजा छ।
喊	चिच्याउनु	कक्षाकोठामा ठूलो स्वरले नचिच्याऊ।
行业	क्षेत्र	पर्यटन क्षेत्र छिटो विकास भइरहेको छ।
豪华	विलासी	उनीहरू विलासी होटलमा बसेका छन्।
好客	अतिथि-सत्कार गर्ने	स्थानीय मानिसहरू धेरै अतिथि-सत्कार गर्ने छन्।
好奇	जिज्ञासु	बालबालिका संसारबारे धेरै जिज्ञासु हुन्छन्।
何必	किन चाहियो	सानो कुरामा रिसाउन किन चाहियो?
何况	त्यसमाथि	आज चिसो छ, त्यसमाथि पानी पनि परिरहेको छ।
合法	कानुनी	यो सम्झौता कानुनी छ।
合理	उचित	यो मूल्य उचित छ।
合同	सम्झौता	उनीहरूले सम्झौतामा हस्ताक्षर गरे।
合影	समूह फोटो	स्नातक हुँदा हामीले समूह फोटो खिच्यौं।
合作	सहकार्य	हामीले सहकार्य गरेर परियोजना पूरा गर्यौं।
和平	शान्ति	सबैले शान्तिको आशा गर्छन्।
核心	मुख्य कुरा	विश्वास सहकार्यको मुख्य कुरा हो।
恨	पछुताउनु	पहिले मेहनत नगरेकोमा उनी पछुताउँछन्।
猴子	बाँदर	चिडियाखानामा केही बाँदर छन्।
后背	पिठ्युँ	उनको पिठ्युँ अलि दुख्छ।
后果	परिणाम	तिमीले परिणामबारे सोच्नुपर्छ।
呼吸	सास फेर्नु	कृपया गहिरो सास फेर।
忽然	अचानक	आकाश अचानक अँध्यारो भयो।
忽视	बेवास्ता गर्नु	यो समस्यालाई बेवास्ता नगर।
壶	केतली	टेबलमा चियाको केतली छ।
糊涂	अलमल	आज म अलि अलमलमा छु।
胡说	बकवास गर्नु	बकवास नगर, यो सत्य होइन।
胡同	गल्ली	बेइजिङमा धेरै पुराना गल्लीहरू छन्।
蝴蝶	पुतली	बगैंचामा एउटा पुतली छ।
花生	बदाम	उनी बदाम खान मन पराउँछन्।
华裔	चिनियाँ मूलकी	उनी चिनियाँ मूलकी लेखिका हुन्।
滑	चिप्लो	भुइँ चिप्लो छ, होसियार होऊ।
划	डुंगा खियाउनु	डुंगा चढ्दा उनी डुंगा खियाउने जिम्मामा छन्।
化学	रसायनशास्त्र	उनले विश्वविद्यालयमा रसायनशास्त्र पढिन्।
话题	विषय	यो विषय धेरै रोचक छ।
怀念	सम्झनु	म विश्वविद्यालय जीवन धेरै सम्झन्छु।
怀孕	गर्भवती हुनु	उनी तीन महिनाकी गर्भवती छिन्।
缓解	कम गर्नु	आरामले तनाव कम गर्न सक्छ।
幻想	कल्पना गर्नु	उनी प्रायः अन्तरिक्ष यात्रा गर्ने कल्पना गर्छन्।
慌张	आत्तिनु	समस्या पर्दा आत्तिनु हुँदैन।
黄金	सुन	सुनको मूल्य फेरि बढेको छ।
恢复	निको हुनु	उनको शरीर निको हुँदैछ।
挥	हल्लाउनु	उनले हात हल्लाइन्।
灰	खैरो	आकाश खैरो छ।
灰尘	धुलो	टेबलमा धेरै धुलो छ।
灰心	निराश हुनु	असफल भए पनि निराश नहोऊ।
汇率	विनिमय दर	आजको विनिमय दर कति छ?
婚礼	विवाह समारोह	उनीहरूको विवाह समारोह धेरै सरल थियो।
婚姻	वैवाहिक सम्बन्ध	वैवाहिक सम्बन्धमा आपसी समझदारी चाहिन्छ।
活跃	सक्रिय	उनी कक्षामा धेरै सक्रिय छन्।
伙伴	साथी	उनी मेरो सबैभन्दा राम्रो साथी हुन्।
火柴	सलाई	डब्बामा एउटा मात्र सलाई बाँकी छ।
或许	सायद	सायद भोलि पानी पर्छ।
基本	आधारभूत	यी आधारभूत आवश्यकताहरू हुन्।
机器	मेसिन	यो मेसिन बिग्रिएको छ।
激烈	तीव्र	प्रतियोगिता धेरै तीव्र थियो।
肌肉	मांसपेशी	व्यायामपछि मेरो मांसपेशी अलि दुखेको छ।
及格	उत्तीर्ण हुनु	उनी यो परीक्षामा उत्तीर्ण भए।
急忙	हतारहतार	उनी हतारहतार कक्षाबाट बाहिर दौडे।
急诊	आकस्मिक विभाग	बिरामीलाई आकस्मिक विभागमा पठाइयो।
极其	अत्यन्त	यो विषय अत्यन्त महत्वपूर्ण छ।
集合	भेला हुनु	कृपया आठ बजे प्रवेशद्वारमा भेला होऊ।
集体	सामूहिक	यो सामूहिक गतिविधि हो।
集中	ध्यान केन्द्रित गर्नु	तिमीले कक्षामा ध्यान केन्द्रित गर्नुपर्छ।
寂寞	एक्लो	एक्लै बस्दा कहिलेकाहीँ एक्लो महसुस हुन्छ।
系领带	टाई बाँध्नु	उनी हरेक दिन कामअघि टाई बाँध्छन्।
纪录	रेकर्ड	उनले विद्यालयको रेकर्ड तोडे।
纪律	अनुशासन	कक्षाको अनुशासन धेरै महत्वपूर्ण छ।
纪念	स्मरण गर्नु	यो दिन स्मरण गर्न हामीले फोटो खिच्यौं।
计算	हिसाब गर्नु	कृपया कुल खर्चको हिसाब गर।
记录	रेकर्ड गर्नु	कृपया बैठकको सामग्री रेकर्ड गर।
记忆	स्मृति	यो स्मृति धेरै बहुमूल्य छ।
嘉宾	अतिथि	आजका अतिथि एक लेखक हुन्।
夹子	क्लिप	कृपया कागजातहरू क्लिपले समात।
家庭	परिवार	बालबालिकाका लागि परिवार धेरै महत्वपूर्ण हुन्छ।
家务	घरको काम	सप्ताहन्तमा मैले घरको काम गर्नुपर्छ।
家乡	जन्मथलो	म आफ्नो जन्मथलो धेरै सम्झन्छु।
假如	यदि	यदि भोलि पानी पर्यो भने हामी जाँदैनौं।
假设	मानौं	मानौं तिमी शिक्षक हौ भने के गर्थ्यौ?
假装	नाटक गर्नु	उनले नसुनेको नाटक गरे।
甲	पहिलो पक्ष	पहिलो पक्षले समयमै पैसा तिर्नुपर्छ।
价值	मूल्य	यो किताब धेरै मूल्यवान छ।
嫁	विवाह गर्नु	उनी अर्को वर्ष आफ्नो प्रेमीसँग विवाह गर्नेछिन्।
驾驶	चलाउनु	गाडी चलाउँदा सावधानीपूर्वक चलाऊ।
兼职	अंशकालीन काम	उनी साँझ अंशकालीन काम गर्छन्।
坚决	दृढ	उनी यो निर्णयसँग दृढ रूपमा असहमत छन्।
坚强	बलियो	उनी बलियो व्यक्ति हुन्।
肩膀	काँध	उनको काँधमा चोट लागेको छ।
艰巨	कठिन	यो कठिन काम हो।
艰苦	कष्टकर	उनीहरूले कष्टकर जीवन बिताए।
剪刀	कैंची	कृपया मलाई कैंची देऊ।
捡	टिप्नु	उनले भुइँबाट पर्स टिपे।
简历	बायोडाटा	जागिरका लागि आवेदन दिनुअघि बायोडाटा तयार गर।
简直	साँच्चै	यो समाचार साँच्चै स्तब्ध पार्ने छ।
健身	व्यायाम गर्नु	उनी हप्तामा तीन पटक व्यायाम गर्न जान्छन्।
建立	स्थापना गर्नु	हामीले नयाँ सम्बन्ध स्थापना गर्यौं।
建设	निर्माण	शहरी निर्माण छिटो विकास भइरहेको छ।
建筑	भवन	यो भवनको विशेषता फरक छ।
键盘	किबोर्ड	मेरो किबोर्ड सफा गर्नुपर्छ।
讲究	ध्यान दिनु	चिनियाँहरू खानामा धेरै ध्यान दिन्छन्।
讲座	व्याख्यान	आज राति चिनियाँ भाषाको व्याख्यान छ।
酱油	सोया सस	परिकारमा अलिकति सोया सस हाल।
交换	आदानप्रदान गर्नु	हामीले फोन नम्बर आदानप्रदान गर्यौं।
交际	सामाजिक सम्पर्क	भाषा सिक्दा सामाजिक सम्पर्क पनि अभ्यास गर्नुपर्छ।
交往	सम्बन्ध राख्नु	उनीहरू दुई वर्षदेखि सम्बन्धमा छन्।
浇	पानी हाल्नु	कृपया हरेक दिन फूलमा पानी हाल।
胶水	गोंद	मैले फोटो टाँस्न गोंद प्रयोग गरें।
狡猾	चतुर	त्यो फ्याउरो धेरै चतुर छ।
角度	कोण	आऊ, समस्यालाई अर्को कोणबाट हेरौं।
教材	पाठ्य सामग्री	यो पाठ्य सामग्री धेरै उपयोगी छ।
教练	प्रशिक्षक	प्रशिक्षकले हामीलाई समयमै पुग्न भन्छन्।
教训	पाठ	यो असफलता एउटा पाठ हो।
接触	सम्पर्क	यो चिनियाँ संस्कृतिसँग मेरो पहिलो सम्पर्क हो।
接待	स्वागत गर्नु	कम्पनीले पाहुनालाई स्वागत गर्न मानिस मिलायो।
接近	नजिकिनु	वसन्त चाड नजिकिँदैछ।
结实	बलियो	यो सुटकेस धेरै बलियो छ।
阶段	चरण	अध्ययन तीन चरणमा बाँडिएको छ।
结构	संरचना	यो लेखको संरचना स्पष्ट छ।
结合	जोड्नु	अध्ययनलाई अभ्याससँग जोड्नुपर्छ।
结论	निष्कर्ष	उनको निष्कर्ष धेरै विश्वसनीय छ।
结账	बिल तिर्नु	खाना खाएपछि हामी बिल तिर्न गयौं।
节省	बचत गर्नु	मेट्रो चढ्दा समय बचत गर्न सकिन्छ।
借口	बहाना	अब बहाना बनाउन छोड।
届	पटक	यो तेस्रो पटकको प्रतियोगिता हो।
戒	छोड्नु	डाक्टरले उनलाई धूम्रपान छोड्न सल्लाह दिए।
戒指	औंठी	उनले औंठी लगाएकी छिन्।
金属	धातु	फलाम एक प्रकारको धातु हो।
尽快	जति सक्दो छिटो	कृपया इमेलको जवाफ जति सक्दो छिटो देऊ।
紧急	आपतकालीन	यो आपतकालीन अवस्था हो।
谨慎	सावधान	लगानी गर्नुअघि सावधान होऊ।
尽力	पूरा प्रयास गर्नु	म तिमीलाई मद्दत गर्न पूरा प्रयास गर्नेछु।
尽量	सकेसम्म	कृपया सकेसम्म चाँडो आइपुग्ने प्रयास गर।
近代	आधुनिक काल	आधुनिक कालको चीनमा धेरै परिवर्तन भए।
进步	प्रगति	उनको चिनियाँ भाषा छिटो प्रगति हुँदैछ।
进口	आयातित	यो गाडी आयातित हो।
精力	ऊर्जा	बालबालिकामा धेरै ऊर्जा हुन्छ।
精神	मानसिक अवस्था	आज उनको मानसिक अवस्था राम्रो छ।
经典	क्लासिक	यो क्लासिक चलचित्र हो।
经商	व्यापार गर्नु	उनका बुबा विदेशमा व्यापार गर्छन्।
经营	चलाउनु	उनी एउटा सानो पसल चलाउँछिन्।
酒吧	बार	उनीहरू साँझ बार गए।
救	बचाउनु	डाक्टरले उनको ज्यान बचाए।
救护车	एम्बुलेन्स	एम्बुलेन्स छिटो आइपुग्यो।
舅舅	मामा	मेरो मामा नानजिङमा बस्नुहुन्छ।
居然	अचम्मै	अचम्मै, उनले आफ्नै जन्मदिन बिर्से।
桔子	सुन्तला	टेबलमा केही सुन्तला छन्।
俱乐部	क्लब	उनी पौडी क्लबमा भर्ना भइन्।
具备	हुनु	उनीसँग व्यवस्थापन अनुभव छ।
具体	ठोस	कृपया अलि बढी ठोस रूपमा भन।
巨大	विशाल	यो परियोजनालाई विशाल लगानी चाहिन्छ।
据说	भनिन्छ	भनिन्छ, उनी पहिले नै आफ्नो देश फर्किसके।
捐	दान गर्नु	सबैजना पैसा दान गर्न तयार छन्।
决赛	फाइनल	भोलि फुटबलको फाइनल छ।
决心	संकल्प	उनले चिनियाँ राम्रोसँग सिक्ने संकल्प गरे।
绝对	निश्चयै	यो कुरा निश्चयै बिर्सनु हुँदैन।
角色	भूमिका	उनले चलचित्रमा महत्वपूर्ण भूमिका खेल्छिन्।
军事	सैन्य	उनी सैन्य इतिहासमा धेरै रुचि राख्छन्।
均匀	समान रूपमा	कृपया रंग समान रूपमा लगाऊ।
卡车	ट्रक	प्रवेशद्वारमा एउटा ट्रक रोकिएको छ।
开发	विकास गर्नु	कम्पनीले नयाँ उत्पादन विकास गर्दैछ।
开放	खुल्नु	उद्यान हरेक बिहान छ बजे खुल्छ।
开幕式	उद्घाटन समारोह	उद्घाटन समारोह भोलि साँझ हुनेछ।
开水	उमालेको पानी	कृपया मलाई एक कप उमालेको पानी देऊ।
砍	काट्नु	कामदारले हाँगा काट्दैछ।
看不起	हेला गर्नु	कसैलाई पनि हेला नगर।
看望	भेट्न जानु	म यो सप्ताहन्तमा हजुरबा हजुरआमालाई भेट्न जान्छु।
靠	अडिनु	उनी आराम गर्न भित्तामा अडिए।
颗	दाना	रातको आकाशमा एउटा तारा छ।
可见	स्पष्ट हुन्छ	यसबाट यो तरिका प्रभावकारी छ भन्ने स्पष्ट हुन्छ।
可靠	भरपर्दो	उनी भरपर्दो साथी हुन्।
可怕	डरलाग्दो	यो सपना धेरै डरलाग्दो थियो।
克	ग्राम	कृपया दुई ग्राम नुन हाल।
克服	पार गर्नु	हामीले कठिनाइहरू पार गर्नुपर्छ।
刻苦	मेहनती	उनी धेरै मेहनत गरेर पढ्छन्।
客观	निष्पक्ष	कृपया समस्यालाई निष्पक्ष रूपमा विश्लेषण गर।
课程	पाठ्यक्रम	यो पाठ्यक्रम धेरै उपयोगी छ।
空间	ठाउँ	यो कोठामा धेरै ठाउँ छ।
控制	नियन्त्रण गर्नु	चालकले गाडीको गति नियन्त्रण गर्यो।
空闲	फुर्सद	भोलि दिउँसो तिमीलाई फुर्सद छ?
口味	स्वाद	उनको स्वाद तुलनात्मक रूपमा हल्का छ।
夸	प्रशंसा गर्नु	शिक्षकले उनको ठूलो प्रगतिको प्रशंसा गरे।
夸张	अतिशयोक्तिपूर्ण	उनको अभिव्यक्ति अलि अतिशयोक्तिपूर्ण छ।
会计	लेखापाल	उनी कम्पनीमा लेखापालको रूपमा काम गर्छिन्।
宽	फराकिलो	यो सडक धेरै फराकिलो छ।
昆虫	कीरा	बालबालिका कीरा अवलोकन गरिरहेका छन्।
扩大	विस्तार गर्नु	विद्यालयले पुस्तकालय विस्तार गर्ने योजना बनाएको छ।
辣椒	खुर्सानी	परिकारमा धेरै खुर्सानी हालिएको थियो।
拦	रोक्नु	प्रहरीले एउटा गाडी रोक्यो।
烂	कुहिएको	यो स्याउ पहिले नै कुहिएको छ।
朗读	ठूलो स्वरले पढ्नु	कृपया पाठ ठूलो स्वरले पढ।
劳动	श्रम	श्रमले मानिसलाई उपलब्धिको भावना दिन्छ।
劳驾	माफ गर्नुहोस्	माफ गर्नुहोस्, मेट्रो स्टेशन कहाँ छ?
姥姥	हजुरआमा	मेरी हजुरआमाले धेरै राम्रो खाना पकाउनुहुन्छ।
老百姓	सामान्य जनता	सामान्य जनता जीवन खर्चबारे चिन्ता गर्छन्।
老板	मालिक	मालिक आज कार्यालयमा छैनन्।
老婆	श्रीमती	उनले आफ्नी श्रीमतीका लागि फूल किने।
老实	इमानदार	उनी इमानदार व्यक्ति हुन्।
老鼠	मुसा	भान्सामा एउटा मुसा छ।
乐观	आशावादी	उनी भविष्यप्रति आशावादी छिन्।
雷	मेघगर्जन	हिजो रातिको मेघगर्जन धेरै ठूलो थियो।
类型	प्रकार	यो किसिमको चलचित्र कुन प्रकारमा पर्छ?
冷淡	चिसो व्यवहार	उनको व्यवहार अलि चिसो छ।
厘米	सेन्टिमिटर	यो कलम पन्ध्र सेन्टिमिटर लामो छ।
梨	नासपाती	मैले केही नासपाती किनेँ।
离婚	सम्बन्धविच्छेद गर्नु	उनीहरूले गत वर्ष सम्बन्धविच्छेद गरे।
理论	सिद्धान्त	यो सिद्धान्त धेरै जटिल छ।
理由	कारण	ढिलो हुनुको तिमीसँग के कारण छ?
利润	नाफा	यस वर्ष कम्पनीको नाफा बढ्यो।
利息	ब्याज	बैंकको ब्याज धेरै छैन।
利益	हित	हामीले सबैको हित जोगाउनुपर्छ।
利用	सदुपयोग गर्नु	उनी सप्ताहन्तको सदुपयोग गरेर चिनियाँ पढ्छन्।
力量	शक्ति	एकता नै शक्ति हो।
立即	तुरुन्तै	कृपया यहाँबाट तुरुन्तै निस्क।
立刻	तुरुन्त	समाचार सुनेपछि उनी तुरुन्त निस्किए।
联合	संयुक्त रूपमा	दुई कम्पनीले संयुक्त रूपमा उत्पादन विकास गरे।
连忙	हतारहतार	फोन बजेको सुनेर उनले हतारहतार उठाए।
连续	लगातार	उनले लगातार दस घण्टा काम गरे।
恋爱	प्रेम सम्बन्ध	उनीहरू प्रेम सम्बन्धमा छन्।
粮食	अन्न	यस वर्ष अन्न उत्पादन बढ्यो।
良好	राम्रो	उनका पढाइका बानीहरू राम्रो छन्।
亮	उज्यालो	कोठाको बत्ती धेरै उज्यालो छ।
了不起	असाधारण	उनले असाधारण नतिजा हासिल गरिन्।
列车	रेल	रेल छुट्न लागेको छ।
临时	अस्थायी	यो अस्थायी निर्णय हो।
灵活	लचिलो	पढ्ने तरिका लचिलो हुनुपर्छ।
铃	घण्टी	कक्षाको घण्टी बज्यो।
零件	पुर्जा	मेसिनमा एउटा पुर्जा छैन।
零食	खाजा	बालबालिका खाजा खान मन पराउँछन्।
领导	नेता	नेता बैठकमा छन्।
领域	क्षेत्र	उनी शिक्षा क्षेत्रमा काम गर्छिन्।
流传	प्रचलित हुनु	यो कथा लामो समयदेखि प्रचलित छ।
流泪	आँसु झार्नु	यो खबर सुनेपछि उनले आँसु झारिन्।
浏览	ब्राउज गर्नु	म पहिला वेबपेज ब्राउज गर्छु।
龙	ड्र्यागन	चिनियाँ संस्कृतिमा ड्र्यागन हुन्छ।
漏	चुहिनु	छानोबाट पानी चुहिरहेको छ।
录取	भर्ना हुनु	उनी विश्वविद्यालयमा भर्ना भए।
录音	रेकर्ड गर्नु	कृपया रेकर्ड गर्न सुरु गर।
陆地	जमिन	समुद्री कछुवा जमिनमा चढ्यो।
陆续	एकपछि अर्को	अतिथिहरू एकपछि अर्को आइपुगे।
轮流	पालैपालो	हामी पालैपालो कक्षाकोठा सफा गर्छौं।
论文	शोधपत्र	उनी स्नातक शोधपत्र लेख्दैछिन्।
逻辑	तर्कशास्त्र	उनको तर्कशास्त्र धेरै स्पष्ट छ।
落后	पछाडि पर्नु	हामी अरूभन्दा पछाडि पर्न सक्दैनौं।
骂	गाली गर्नु	कृपया बच्चालाई गाली नगर।
麦克风	माइक्रोफोन	कृपया माइक्रोफोन उनलाई देऊ।
馒头	बाफमा पकाएको रोटी	मैले बिहानको खाजामा बाफमा पकाएको रोटी खाएँ।
满足	पूरा गर्नु	यो जवाफले आवश्यकता पूरा गर्दैन।
毛病	समस्या	यो कम्प्युटरमा सानो समस्या छ।
矛盾	विरोधाभास	उनीहरूबीच केही विरोधाभास छन्।
冒险	जोखिम लिनु	एक्लै त्यहाँ जानु धेरै जोखिमपूर्ण छ।
贸易	व्यापार	अन्तर्राष्ट्रिय व्यापार छिटो विकास भइरहेको छ।
媒体	मिडिया	मिडियाले यो कुरा रिपोर्ट गर्यो।
煤炭	कोइला	यो क्षेत्रमा कोइला उत्पादन हुन्छ।
眉毛	भौं	उनका भौं बाक्ला छन्।
美术	कला	मेरी बहिनीलाई कला मन पर्छ।
魅力	आकर्षण	यो शहरमा धेरै आकर्षण छ।
梦想	सपना	उनको सपना डाक्टर बन्नु हो।
密切	नजिकको	हामी नजिकको सम्पर्क राख्छौं।
秘密	गोप्य कुरा	यो हाम्रो गोप्य कुरा हो।
秘书	सचिव	सचिवले बैठकको समय मिलाए।
蜜蜂	मौरी	फूलहरूबीच धेरै मौरी छन्।
面对	सामना गर्नु	हामीले कठिनाइको साहसपूर्वक सामना गर्नुपर्छ।
面积	क्षेत्रफल	यो कोठाको क्षेत्रफल ठूलो छैन।
面临	सामना गर्नु	कम्पनीले नयाँ चुनौतीको सामना गरिरहेको छ।
描写	वर्णन गर्नु	लेखकले ग्रामीण जीवन वर्णन गरे।
苗条	स्लिम	उनको शरीर स्लिम छ।
敏感	संवेदनशील	यो विषय तुलनात्मक रूपमा संवेदनशील छ।
名牌	प्रसिद्ध ब्रान्ड	उनले प्रसिद्ध ब्रान्डको घडी किने।
名片	व्यापार कार्ड	कृपया मलाई एउटा व्यापार कार्ड देऊ।
名胜古迹	ऐतिहासिक र रमणीय स्थल	बेइजिङमा धेरै ऐतिहासिक र रमणीय स्थल छन्।
明确	स्पष्ट पार्नु	शिक्षकले आवश्यकताहरू स्पष्ट पार्नुभयो।
明显	स्पष्ट	उनको प्रगति स्पष्ट छ।
明星	तारा कलाकार	उनी चलचित्र तारा कलाकार बन्न चाहन्छिन्।
命令	आदेश	सैनिकहरूले आदेश पालना गर्नुपर्छ।
命运	भाग्य	उनी भाग्य परिवर्तन गर्न सकिन्छ भन्ने विश्वास गर्छन्।
摸	छुनु	कृपया यो चित्र नछोऊ।
摩托车	मोटरसाइकल	उनी काममा मोटरसाइकल चढेर जान्छन्।
模仿	नक्कल गर्नु	बालबालिका वयस्कहरूको बोली नक्कल गर्न मन पराउँछन्।
模糊	धमिलो	यो फोटो अलि धमिलो छ।
模特	मोडेल	उनी फेसन मोडेल हुन्।
陌生	अपरिचित	यो शहर मलाई धेरै अपरिचित छ।
某	कुनै	कुनै शिक्षकले मलाई फोन गर्नुभयो।
木头	काठ	यो टेबल काठबाट बनेको हो।
目标	लक्ष्य	मेरो लक्ष्य परीक्षा पास गर्नु हो।
目录	विषयसूची	कृपया पहिले किताबको अगाडिको विषयसूची हेर।
目前	हाल	हाल अवस्था तुलनात्मक रूपमा स्थिर छ।
哪怕	भए पनि	उनी व्यस्त भए पनि पढाइ जारी राख्छन्।
难怪	त्यसैले रहेछ	त्यसैले रहेछ, तिमी आज यति खुसी छौ।
难免	टार्न गाह्रो	पहिलो पटक गर्दा गल्ती टार्न गाह्रो हुन्छ।
脑袋	टाउको	उनको टाउको अलि दुख्छ।
内部	आन्तरिक	यो कम्पनीको आन्तरिक सामग्री हो।
内科	आन्तरिक चिकित्सा विभाग	उनी आज आन्तरिक चिकित्सा विभागमा जाँदैछन्।
嫩	नरम	यो मासुको टुक्रा धेरै नरम छ।
能干	योग्य	उनी धेरै योग्य व्यक्ति हुन्।
能源	ऊर्जा स्रोत	सौर्य ऊर्जा सफा ऊर्जा स्रोत हो।
嗯	हुँ	हुँ, मैले बुझें।
年代	दशक	यो फोटो सन् १९८० को दशकमा खिचिएको हो।
年纪	उमेर	उनको उमेर धेरै छैन, तर अनुभव धेरै छ।
念	पढ्नु	कृपया पाठ एक पटक ठूलो स्वरले पढ।
宁可	बरु	म बस कुर्नुभन्दा बरु हिँड्न चाहन्छु।
牛仔裤	जिन्स पाइन्ट	उनले जिन्स पाइन्ट लगाएका छन्।
农村	गाउँ	उनी गाउँमा हुर्किइन्।
农民	किसान	किसानहरू खेतमा काम गरिरहेका छन्।
农业	कृषि	यो क्षेत्रमा कृषि धेरै महत्वपूर्ण छ।
浓	गाढा	यो कफी धेरै गाढा छ।
女士	महिला	ती महिला बस कुरिरहेकी छिन्।
欧洲	युरोप	उनी अर्को महिना युरोप यात्रा गर्दैछन्।
偶然	संयोगवश	मैले संयोगवश पुरानो सहपाठी भेटें।
拍	फोटो खिच्नु	कृपया मेरो फोटो खिच्न मद्दत गर।
派	पठाउनु	कम्पनीले उनलाई व्यापार यात्रामा शाङ्घाई पठायो।
盼望	प्रतिक्षा गर्नु	म तिमीलाई छिट्टै भेट्ने प्रतिक्षा गर्दैछु।
培训	तालिम	नयाँ कर्मचारीहरूले तालिममा भाग लिनुपर्छ।
培养	विकास गर्नु	विद्यालयले विद्यार्थीहरूको क्षमता विकासलाई महत्व दिन्छ।
赔偿	क्षतिपूर्ति दिनु	कम्पनीले नोक्सानीको क्षतिपूर्ति दिन सहमति जनायो।
佩服	प्रशंसा गर्नु	म उनको साहसको साँच्चै प्रशंसा गर्छु।
配合	सहयोग गर्नु	कृपया शिक्षकको व्यवस्थासँग सहयोग गर।
盆	गमला	बाल्कनीमा फूलको एउटा गमला छ।
碰	छुनु	होसियार, तातो पानी नछोऊ।
批	खेप	यो सामानको खेप आज आइपुग्यो।
批准	स्वीकृत गर्नु	प्रबन्धकले यो योजना स्वीकृत गरे।
披	ओढ्नु	उनले काँधमा कोट ओढेकी छिन्।
疲劳	थकान	लामो समय काम गर्दा थकान महसुस हुन्छ।
匹	घोडा	घाँसमा एउटा घोडा छ।
片	टुक्रा	कृपया मलाई रोटीको एउटा टुक्रा देऊ।
片面	एकपक्षीय	यो विचार धेरै एकपक्षीय छ।
飘	उड्नु	हिउँका फुलहरू हावामा उडिरहेका छन्।
拼音	पिनयिन	कृपया चिनियाँ अक्षरको छेउमा पिनयिन लेख।
频道	च्यानल	कृपया समाचार च्यानलमा फेर।
凭	आधारमा	तिमी टिकटको आधारमा भित्र जान सक्छौ।
平均	औसत	औसतमा प्रत्येक व्यक्तिले दस युआन खर्च गर्यो।
平	समतल	यो सडक धेरै समतल छ।
平安	सुरक्षित	तिम्रो यात्रा सुरक्षित होस्।
平常	सामान्यतया	उनी सामान्यतया ढिलो आइपुग्दैनन्।
平等	समान	सबैलाई समान व्यवहार गर्नुपर्छ।
平方	वर्ग मिटर	यो कोठा बीस वर्ग मिटरको छ।
平衡	सन्तुलन	काम र जीवनमा सन्तुलन चाहिन्छ।
平静	शान्त	तालको सतह धेरै शान्त छ।
评价	मूल्याङ्कन	शिक्षकले धेरै उच्च मूल्याङ्कन दिनुभयो।
破产	दिवालिया हुनु	त्यो कम्पनी गत वर्ष दिवालिया भयो।
破坏	क्षति पुर्याउनु	कृपया सार्वजनिक सम्पत्तिमा क्षति नपुर्याऊ।
迫切	तत्काल	हामीलाई तत्काल थप डाक्टर चाहिन्छ।
期待	प्रतिक्षा गर्नु	म यो यात्राको प्रतिक्षा गरिरहेको छु।
期间	अवधि	बैठकको अवधिमा फोन बन्द गर।
其余	बाँकी	बाँकी समस्याहरू भोलि छलफल गरिनेछन्।
奇迹	चमत्कार	डाक्टरले यो चमत्कार हो भने।
企业	उद्यम	यो उद्यम छिटो विकास भइरहेको छ।
启发	प्रेरणा दिनु	यो किताबले मलाई धेरै प्रेरणा दियो।
气氛	वातावरण	कक्षाको वातावरण धेरै आरामदायी छ।
汽油	पेट्रोल	गाडीलाई पेट्रोल चाहिन्छ।
签	हस्ताक्षर गर्नु	कृपया यहाँ आफ्नो नाम हस्ताक्षर गर।
谦虚	विनम्र	उनी उत्कृष्ट छन् र धेरै विनम्र पनि छन्।
前途	भविष्य	यो विषयको भविष्य राम्रो छ।
浅	उथलो	यो नदी धेरै उथलो छ।
欠	ऋणी हुनु	उनी अझै मलाई बीस युआन ऋणी छन्।
枪	बन्दुक	प्रहरी अधिकारीले बन्दुक समातेका छन्।
墙	भित्ता	भित्तामा एउटा चित्र झुन्डिएको छ।
强调	जोड दिनु	शिक्षकले सुरक्षा विषयमा जोड दिनुभयो।
强烈	बलियो	उनमा जिम्मेवारीको बलियो भावना छ।
抢	खोसाखोस गर्नु	सिटका लागि अरूसँग खोसाखोस नगर।
悄悄	चुपचाप	उनी चुपचाप कोठामा पसिन्।
瞧	हेर	हेर, बाहिर हिउँ परिरहेको छ।
巧妙	चलाख	यो तरिका धेरै चलाख छ।
切	काट्नु	कृपया फल साना टुक्रामा काट।
亲爱	प्रिय	प्रिय साथी, धन्यवाद।
亲切	मायालु	शिक्षक धेरै मायालु रूपमा बोल्नुहुन्छ।
亲自	स्वयं	प्रबन्धकले स्वयं पाहुनालाई स्वागत गरे।
勤奋	मेहनती	मेहनती मानिसहरू सफल हुने सम्भावना बढी हुन्छ।
清淡	हल्का	म हल्का परिकार खान मन पराउँछु।
轻视	कम आँक्नु	यो सानो समस्यालाई कम नआँक।
轻易	सजिलै	उनी सजिलै हार मान्दैनन्।
青	निलोहरियो	यो कपडा निलोहरियो छ।
青春	युवावस्था	युवावस्था बहुमूल्य हुन्छ।
