simplified	HY	example_HY
防止	կանխել; զգուշանալ	Խնդրում եմ ամրացրու անվտանգության գոտին՝ վնասվածքը կանխելու համար։
防治	կանխարգելում և բուժում	Բժիշկը բացատրեց հիվանդությունների կանխարգելման և բուժման մեթոդները։
纺织	մանածագործություն; հյուսվածք արտադրել	Այս քաղաքը հայտնի է մանածագործական արդյունաբերությամբ։
访问	այցելել; հարցազրույց վերցնել	Լրագրողը վաղը կայցելի այս գրողին։
放大	մեծացնել	Խնդրում եմ նկարը մի քիչ մեծացրու։
放射	ճառագայթել; արձակել	Այս նյութը ջերմություն է ճառագայթում։
非法	ապօրինի	Ապօրինի գործարքները կպատժվեն։
飞禽走兽	թռչուններ և գազաններ	Անտառում ապրում են ամեն տեսակ թռչուններ և գազաններ։
飞翔	թռչել; ճախրել	Ճայերը ճախրում են ծովի վրա։
飞跃	մեծ թռիչք; ցատկ	Տեխնոլոգիական զարգացումը մեծ թռիչք իրականացրեց։
肥沃	բերրի	Այս հողը շատ բերրի է։
诽谤	զրպարտություն; զրպարտել	Ուրիշներին զրպարտելու համար պետք է իրավական պատասխանատվություն կրել։
废除	վերացնել; չեղարկել	Այս հին կանոնը արդեն վերացվել է։
废寝忘食	աշխատանքով այնքան տարվել, որ քունն ու ուտելը մոռանալ	Նա հետազոտությամբ այնքան էր տարվել, որ մոռացել էր քունն ու ուտելը։
废墟	ավերակներ	Երկրաշարժից հետո այդ վայրը վերածվեց ավերակների։
沸腾	եռալ; եռացող	Ջուրը արդեն եռացել է։
肺	թոք	Ծխելը կարող է վնասել թոքերը։
分辨	տարբերակել; զանազանել	Ինձ համար դժվար է տարբերակել այս երկու գույները։
分寸	չափ ու սահման; պատշաճ սահման	Կատակելիս էլ պետք է չափը իմանալ։
分红	շահաբաժին; բոնուս բաժանել	Բաժնետերերը տարեվերջին կարող են շահաբաժին ստանալ։
分解	բաժանել մասերի; քայքայել	Ուսուցիչը բարդ խնդիրը բաժանեց մի քանի քայլի։
分裂	պառակտվել; բաժանվել	Ներքին հակասությունները կազմակերպության պառակտման պատճառ դարձան։
分泌	արտազատել	Այս գեղձը հորմոններ է արտազատում։
分明	հստակ; ակնհայտ	Փաստերը արդեն շատ հստակ են։
分歧	տարաձայնություն; տարբերություն	Երկու կողմերի միջև գնի հարցում տարաձայնություն կա։
分散	ցրել; բաշխել; տարածել	Խնդրում եմ ռիսկը բաշխիր տարբեր նախագծերի վրա։
吩咐	հրահանգել; հանձնարարել	Շեֆը ինձ հանձնարարեց դասավորել փաստաթղթերը։
坟墓	գերեզման; դամբարան	Լանջին մի հին գերեզման կա։
粉末	փոշի; մանր փոշի	Խնդրում եմ հաբերը մանր փոշու վերածիր։
粉色	վարդագույն	Նա մի վարդագույն շարֆ գնեց։
粉碎	ջախջախել; փշրել	Ոստիկանությունը ջախջախեց այս հանցավոր խմբավորումը։
分量	կշիռ; նշանակություն	Այս նախադասությունը մեծ կշիռ ունի։
愤怒	բարկություն; զայրացած	Նրա ձայնի մեջ զայրույթ կար։
丰满	լի; հարուստ; փարթամ	Այս հոդվածի բովանդակությունը դեռ բավականաչափ հարուստ չէ։
丰盛	առատ; ճոխ	Նրանք ճոխ ընթրիք պատրաստեցին։
丰收	առատ բերք	Այս տարի գյուղացիները առատ բերք ունեցան։
封闭	փակել; մեկուսացնել	Շինարարության ընթացքում այս ճանապարհը փակ կլինի։
封建	ֆեոդալական; հին կարգերի	Այս ֆեոդալական մտածողությունը վաղուց պետք է փոխվեր։
封锁	շրջափակել; փակել	Ոստիկանությունը փակեց վթարի վայրը։
锋利	սուր; կտրուկ	Այս դանակը շատ սուր է։
风暴	փոթորիկ; ճգնաժամ	Ծովում հանկարծ փոթորիկ առաջացավ։
风度	վայելչություն; արժանապատիվ պահվածք	Նա բեմի վրա շատ վայելուչ էր երևում։
风光	տեսարան; բնապատկեր	Այստեղի բնական տեսարանները շատ գեղեցիկ են։
风气	մթնոլորտ; սովորույթ; ընդհանուր ոգի	Դպրոցում ձևավորվել է ուսման լավ մթնոլորտ։
风趣	հումոր; սրամտություն; սրամիտ	Նա շատ սրամիտ է խոսում։
风土人情	տեղական սովորույթներ և կենցաղ	Ճամփորդությունը օգնում է հասկանալ տեղական սովորույթներն ու կենցաղը։
风味	տեղական համ; յուրահատուկ ոճ	Այս խանութը տեղական ուժեղ համ ունի։
逢	հանդիպել; ամեն անգամ, երբ	Ամեն շաբաթավերջ այգին աշխույժ է լինում։
奉献	նվիրվել; նվիրաբերել	Բժիշկը հիվանդներին շատ ժամանակ նվիրեց։
否决	մերժել; վետո դնել	Խորհուրդը մերժեց այս առաջարկը։
夫妇	ամուսիններ; ամուսնական զույգ	Այս ամուսինները փոքր խանութ են վարում։
夫人	տիկին; կին	Պարոն Վանը կնոջ հետ մասնակցեց ընթրիքին։
敷衍	մակերեսորեն վերաբերվել; ձևական պատասխան տալ	Նա միայն մի քանի ձևական պատասխան տվեց։
俘虏	գերի	Պատերազմի ավարտից հետո գերիները ազատ արձակվեցին։
幅度	չափ; տիրույթ; աստիճան	Այս անգամ գնի իջեցման չափը մեծ է։
服从	հնազանդվել; ենթարկվել	Զինվորները պետք է ենթարկվեն հրամաններին։
服气	համոզված լինել; ընդունել պարտությունը	Նա պարտվեց մրցույթում, բայց հոգով չէր ընդունում պարտությունը։
福利	սոցիալական արտոնություններ; բարեկեցություն	Աշխատակիցները մեծ կարևորություն են տալիս ընկերության արտոնություններին։
福气	բախտ; բարեբախտություն	Լավ ուսուցչի հանդիպելը նրա բախտն է։
符号	խորհրդանիշ; նշան	Այս նշանը վտանգ է նշանակում։
辐射	ճառագայթում	Բժիշկը նրան հիշեցրեց հեռու մնալ ուժեղ ճառագայթումից։
俯视	վերևից նայել; հայացքով ընդգրկել	Լեռան գագաթից կարելի է վերևից տեսնել ամբողջ քաղաքը։
抚摸	շոյել; փաղաքշել	Նա մեղմորեն շոյեց երեխայի գլուխը։
抚养	մեծացնել; խնամել	Պապն ու տատը օգնեցին երեխային մեծացնել։
腐败	կոռուպցիա; կոռումպացված; փտած	Կառավարությունը պայքարում է կոռուպցիայի դեմ։
腐烂	փտել	Մրգերը երկար մնալու դեպքում կփտեն։
腐蚀	քայքայել; կոռոզիայի ենթարկել	Թթուն կարող է քայքայել մետաղի մակերեսը։
腐朽	փտած; քայքայված; անկում ապրած	Նրանք քննադատեցին քայքայված համակարգը։
辅助	օգնել; օժանդակ	Այս գործիքը կարող է օժանդակել ուսուցմանը։
副	փոխտեղակալ; երկրորդական; օժանդակ	Նրան նշանակեցին փոխմենեջեր։
复活	վերակենդանանալ; վերածնվել	Այս ավանդական տոնը վերածնվում է։
复兴	վերածնունդ; վերածնել	Մշակութային վերածնունդը երկարաժամկետ ջանք է պահանջում։
富裕	հարուստ; բարեկեցիկ; ապահովված	Այս գյուղը ավելի ու ավելի բարեկեցիկ է դառնում։
腹泻	լուծ; փորլուծություն	Նա ուժեղ փորլուծություն ունի և պետք է բժշկի դիմի։
覆盖	ծածկել; ընդգրկել	Առատ ձյունը ծածկեց ամբողջ հովիտը։
负担	բեռ; ծանրություն; բեռ կրել	Վարձը դարձավ նրա հիմնական բեռը։
赋予	շնորհել; տալ; օժտել	Օրենքը քաղաքացիներին հիմնական իրավունքներ է շնորհում։
附和	ձայնակցել; կրկնել ուրիշի կարծիքը	Նա անկախ տեսակետ չունի և միայն ձայնակցում է ուրիշներին։
附件	կցորդ; հավելված	Խնդրում եմ ստուգիր նամակի կցորդը։
附属	կից; ենթակա; օժանդակ	Այս հիվանդանոցը կից է համալսարանին։
改良	բարելավել; կատարելագործել	Մասնագետները բարելավում են այս տեսակի բրինձը։
盖章	կնիք դնել; կնքել	Պայմանագիրը ստորագրելուց հետո պետք է կնիք դնել։
钙	կալցիում	Կաթը շատ կալցիում է պարունակում։
尴尬	անհարմար; շփոթված	Ժողովում անհարմար լռություն առաջացավ։
干旱	երաշտ; չորային	Երկարատև երաշտը ազդեց բերքի վրա։
干扰	խանգարել; միջամտություն	Աղմուկը խանգարում է իմ աշխատանքին։
干涉	միջամտել; խառնվել	Ծնողները չպետք է չափազանց շատ միջամտեն երեխաների ընտրությանը։
干预	միջամտել; միջամտություն	Կառավարությունը ժամանակին միջամտեց շուկայի ռիսկին։
感慨	հուզմունք; ափսոսանքով խորհել	Հին լուսանկարները տեսնելով՝ նա շատ հուզվեց։
感染	վարակ; վարակել; ազդել	Այս վիրուսը հեշտությամբ վարակում է երեխաներին։
干劲	եռանդ; աշխատանքի ոգևորություն	Բոլորը մեծ եռանդով են աշխատում։
扛	ուսին կրել; վեր բարձրացնել	Ավանդության համաձայն՝ նա այնքան ուժեղ էր, որ կարող էր ծանր կաթսան բարձրացնել։
纲领	ծրագիր; ղեկավար սկզբունք	Ժողովը ընդունեց գործողությունների նոր ծրագիր։
岗位	պաշտոն; աշխատանքի տեղ	Նա արագ հարմարվեց նոր պաշտոնին։
港口	նավահանգիստ	Բեռնատար նավը կանգնեց նավահանգստում։
港湾	ծովախորշ; նավահանգիստ	Փոքր նավակը մտավ խաղաղ ծովախորշը։
杠杆	լծակ; ֆինանսական լծակ	Այս ներդրումը օգտագործեց բարձր ֆինանսական լծակ։
高超	գերազանց; բարձր վարպետության	Նրա մեքենաներ վերանորոգելու հմտությունը գերազանց է։
高潮	գագաթնակետ; բարձրակետ	Խաղը վերջին տասը րոպեին հասավ գագաթնակետին։
高峰	գագաթ; պիկ; գագաթնաժամ	Առավոտյան ժամը ութը երթևեկության գագաթնաժամն է։
高明	փայլուն; խելամիտ; բարձրարվեստ	Այս մեթոդը իսկապես փայլուն է։
高尚	վեհ; ազնիվ	Բժշկի մասնագիտական ոգին վեհ է։
高涨	բարձրանալ; ուժեղանալ	Հանդիսատեսի ոգևորությունը շարունակ բարձրանում էր։
稿件	ձեռագիր; հոդվածի նյութ	Խմբագիրը վերանայում է ձեռագիրը։
告辞	հրաժեշտ տալ; հեռանալ	Արդեն ուշ է, ուստի մենք նախ հրաժեշտ կտանք։
告诫	զգուշացնել; խրատել	Ուսուցիչը աշակերտներին զգուշացրեց չխաբել։
割	կտրել; բաժանել	Նա պատահաբար կտրեց մատը։
搁	դնել; մի կողմ դնել	Խնդրում եմ փաստաթղթերը դիր սեղանի վրա։
歌颂	գովերգել; փառաբանել	Այս բանաստեղծությունը գովերգում է աշխատավորներին։
疙瘩	ուռուցք; պզուկ; հանգույց	Նրա թևի վրա մի ուռուցք հայտնվեց։
鸽子	աղավնի	Հրապարակում շատ աղավնիներ կան։
格局	կառուցվածք; դասավորություն; պատկեր	Այս բնակարանի դասավորությունը շատ խելամիտ է։
格式	ձևաչափ; ձև; կարգ	Խնդրում եմ ձևաթուղթը լրացրու պահանջված ձևաչափով։
隔阂	օտարացում; անջրպետ	Թյուրիմացությունը խորացրեց նրանց միջև օտարացումը։
隔离	մեկուսացնել; առանձնացնել	Հիվանդին պետք է ժամանակավորապես մեկուսացնել։
革命	հեղափոխություն; հեղափոխական	Այս հեղափոխությունը փոխեց երկրի ճակատագիրը։
个体	անհատ; առանձին միավոր	Յուրաքանչյուր անհատ տարբեր կարիքներ ունի։
各抒己见	յուրաքանչյուրը իր կարծիքը արտահայտել	Ժողովում բոլորը արտահայտեցին իրենց կարծիքները։
根深蒂固	խոր արմատներ ունեցող	Այս գաղափարը արդեն խոր արմատներ ունի։
根源	արմատ; սկզբնաղբյուր	Աղքատության արմատական պատճառները բարդ են։
跟前	մոտ; առաջ	Երեխան վազեց մոր մոտ։
跟随	հետևել; ուղեկցել	Լրագրողը թիմին հետևեց լեռնային շրջան։
跟踪	հետքերով հետևել; գաղտնի հետևել	Ոստիկանությունը հետևում է կասկածյալի շարժումներին։
更新	թարմացնել; նորացնել	Համակարգը այսօր գիշերը ինքնաբերաբար կթարմացվի։
更正	ուղղել; ուղղում կատարել	Թերթը հաջորդ օրը ուղղեց սխալը։
耕地	վարելահող; հողը վարել	Գարնանը գյուղացիները դաշտերն են վարում։
供不应求	առաջարկը պահանջարկին չբավարարել	Այս դեղը հիմա պակաս է շուկայում։
供给	մատակարարել; ապահովել; մատակարարում	Քաղաքին ջրի և էլեկտրականության կայուն մատակարարում է պետք։
公安局	հանրային անվտանգության վարչություն; ոստիկանություն	Նա գործի մասին հաղորդում տալու համար գնաց հանրային անվտանգության վարչություն։
公道	արդարություն; արդար	Բոլորը հույս ունեն արդար վերաբերմունք ստանալ։
公告	հայտարարություն; ծանուցում	Դպրոցը հրապարակեց դասերի դադարեցման ծանուցում։
公关	հանրային կապեր	Ընկերությունը վարձեց հանրային կապերի մասնագիտական թիմ։
公民	քաղաքացի	Յուրաքանչյուր քաղաքացի պետք է պահպանի օրենքը։
公然	բացահայտ; հրապարակավ	Նա բացահայտ խախտեց մրցույթի կանոնները։
公认	հանրորեն ճանաչված; ընդունված	Նա ճանաչված է որպես գերազանց ուսուցիչ։
公式	բանաձև	Խնդրում եմ գրի առ այս մաթեմատիկական բանաձևը։
公务	պաշտոնական գործ; ծառայողական պարտականություն	Նա պաշտոնական գործերով երեք օրով գործուղվեց։
公正	արդար; անկողմնակալ	Դատավորը պետք է արդար մնա։
公证	նոտարական վավերացում; նոտարով հաստատել	Այս փաստաթուղթը նոտարական վավերացման կարիք ունի։
功劳	վաստակ; ավանդ; ծառայություն	Այս հաջողության մեջ բոլորը ավանդ ունեն։
功效	արդյունավետություն; ազդեցություն	Այս դեղի արդյունավետությունը դեռ պետք է ստուգել։
宫殿	պալատ	Զբոսաշրջիկները այցելեցին հին պալատը։
工艺品	արհեստագործական իր; ձեռագործ իր	Այս արհեստագործական իրը ձեռքով է պատրաստվել։
恭敬	հարգալից; ակնածանքով	Նա հարգալից բարևեց տարեց մարդուն։
攻击	հարձակվել; մեղադրել	Հաքերները հարձակվեցին ընկերության կայքի վրա։
攻克	հաղթահարել; գրավել	Հետազոտական թիմը հաղթահարեց տեխնիկական խնդիրը։
巩固	ամրապնդել	Կրկնությունը կարող է ամրապնդել սովորածը։
共和国	հանրապետություն	Այս հանրապետությունը հիմնվել է անցյալ դարում։
共计	ընդհանուր առմամբ; կազմել	Այս ապրանքների խմբաքանակը ընդհանուր առմամբ երեք հարյուր արկղ է կազմում։
共鸣	արձագանք; համահնչունություն	Այս երգը արձագանք գտավ շատ մարդկանց մեջ։
勾结	հանցակցել; դավադրաբար միավորվել	Նրանք հանցակցեցին դրսի մարդկանց հետ և խաբեությամբ գումար ստացան։
钩子	կեռիկ	Պատին մի քանի կեռիկ է կախված։
构思	մտահղանալ; նախնական պլան կազմել	Գրողը մտահղանում է նոր վեպ։
姑且	առայժմ; ժամանակավորապես	Առայժմ փորձենք այս ծրագիրը մեկ շաբաթ։
孤独	միայնակ; մենակություն	Նոր քաղաք տեղափոխվելուց հետո նա իրեն միայնակ զգաց։
孤立	մեկուսացնել; մեկուսացած	Մի նայիր այս խնդրին մեկուսացված ձևով։
辜负	չարդարացնել; հուսախաբ անել	Ես չեմ ուզում հուսախաբ անել ծնողներիս սպասումները։
古董	հնաոճ իր; անտիկ իր	Պապիկը մի քանի հնաոճ իր էր հավաքել։
古怪	տարօրինակ; արտասովոր	Նրա գաղափարը մի քիչ տարօրինակ է։
股东	բաժնետեր	Բաժնետերերի ժողովը կանցկացվի հաջորդ շաբաթ։
股份	բաժնեմաս; բաժնետոմս	Նա ընկերությունում բաժնեմաս ունի։
骨干	հիմնական ուժ; ողնաշար	Այս ինժեներները թիմի հիմնական ուժն են։
鼓动	հրահրել; գրգռել	Ինչ-որ մեկը ամբոխին հրահրեց բողոքել։
固然	իհարկե; անկասկած	Այս մեթոդը, իհարկե, պարզ է, բայց ռիսկը փոքր չէ։
固体	պինդ մարմին	Սառույցը ջրի պինդ վիճակն է։
固有	ներհատուկ; բնորոշ	Յուրաքանչյուր մշակույթ ունի իր ներհատուկ առանձնահատկությունները։
固执	համառ; կամակոր	Նա չափազանց համառ է և չի ուզում խորհուրդ լսել։
故乡	հայրենի վայր; ծննդավայր	Շատ տարիներ անց նա վերադարձավ իր ծննդավայր։
故障	անսարքություն; խափանում	Վերելակը խափանվել է և ժամանակավորապես չի աշխատում։
雇佣	վարձել; աշխատանքի ընդունել	Ընկերությունը որոշեց ավելի շատ տեխնիկական աշխատակիցներ ընդունել աշխատանքի։
顾虑	մտահոգություն; մտավախություն	Ինչ մտահոգություն էլ ունենաս, կարող ես ուղիղ ասել։
顾问	խորհրդատու	Մենք վարձեցինք իրավաբանական խորհրդատու։
拐杖	ձեռնափայտ; հենակ	Տարեց տղամարդը դուրս գալիս հաճախ ձեռնափայտ է վերցնում։
关怀	հոգատարություն; հոգ տանել	Ուսուցիչը աշակերտների նկատմամբ մեծ հոգատարություն ցուցաբերեց։
关照	հոգ տանել; աչք պահել	Խնդրում եմ ճանապարհին երեխային աչք պահիր։
官方	պաշտոնական; պետական	Պաշտոնական լուրը կհայտարարվի վաղը։
观光	տեսարժան վայրեր դիտել; զբոսաշրջություն	Զբոսաշրջիկները նավակով տեսարժան վայրեր դիտեցին։
管辖	իրավասություն ունենալ; կառավարել	Այս տարածքը քաղաքի կառավարության իրավասության տակ է։
惯例	ընդունված կարգ; սովորույթ	Ժողովը սկսելուց առաջ հյուրերին ներկայացնելը ընդունված կարգ է։
灌溉	ոռոգել	Գյուղացիները գետի ջրով ոռոգում են դաշտերը։
罐	բանկա; սափոր	Սեղանի վրա թեյի տերևների մի բանկա կա։
贯彻	իրականացնել; կյանքի կոչել	Ընկերությունը պետք է իրականացնի անվտանգության նոր չափանիշները։
光彩	փայլ; շքեղություն	Այս հագուստը նրան շատ փայլուն տեսք տվեց։
光辉	փառք; պայծառ փայլ	Նրա նվաճումները փառավոր էջ թողեցին։
光芒	լույսի շող; ճառագայթ	Արևի շողերը լուսավորեցին հովիտը։
光荣	փառք; պատվավոր	Երկրին ծառայելը պատվավոր է։
广阔	լայն; ընդարձակ	Մարգագետինը անվերջ ձգվում է և շատ ընդարձակ է։
归根到底	ի վերջո; ըստ էության	Ի վերջո, խնդիրը կառավարման մեջ է։
归还	վերադարձնել	Խնդրում եմ գրքերը ժամանակին վերադարձրու։
规范	նորմ; չափանիշ; կարգավորել	Դպրոցը լաբորատորիան կառավարելու համար չափանիշներ սահմանեց։
规格	չափորոշիչ; բնութագիր	Այս խմբաքանակի մասերի չափորոշիչները տարբեր են։
规划	պլանավորում; ծրագիր	Քաղաքային պլանավորումը պետք է հաշվի առնի տրանսպորտը։
规章	կանոնակարգ; կանոններ	Աշխատակիցները պետք է հետևեն ընկերության կանոններին։
轨道	ռելսուղի; ուղեծիր; ընթացք	Գնացքը շարժվում է ռելսերի վրայով։
贵族	ազնվականություն; ազնվական	Այս կալվածքը երբեմն պատկանել է ազնվականությանը։
跪	ծնկի գալ	Նա ծնկի իջավ արձանի առաջ։
棍棒	մահակ; փայտ	Ոստիկանությունը դեպքի վայրում առգրավեց մահակները։
国防	ազգային պաշտպանություն	Ազգային պաշտպանության կառուցումը երկարաժամկետ ներդրում է պահանջում։
国务院	Պետական խորհուրդ	Պետական խորհուրդը նոր ծանուցում հրապարակեց։
果断	վճռական	Ղեկավարը վճռական որոշում կայացրեց։
过度	չափազանց; ավելորդ	Հեռախոսը չափազանց օգտագործելը կարող է ազդել քնի վրա։
过渡	անցում; անցումային	Ընկերությունը վերափոխման անցումային փուլում է։
过奖	չափազանց գովել; շողոքորթել	Չափազանցնում եք, ես դեռ պետք է սովորեմ։
过滤	զտել; ֆիլտրել	Այս սարքը կարող է զտել խառնուրդները։
过失	սխալ; մեղք	Այս վթարի պատճառը մարդկային սխալն էր։
过问	միջամտել; հետաքրքրվել	Մենեջերը հազվադեպ է միջամտում այս փոքր հարցերին։
过瘾	մեծ հաճույք պատճառել; փափագը բավարարել	Այս խաղը դիտելը իսկապես մեծ հաճույք էր։
过于	չափազանց	Այս ծրագիրը չափազանց բարդ է։
嗨	հե՜յ; այ	Հե՜յ, դու էլ ինչո՞ւ եկար։
海拔	բարձրություն ծովի մակարդակից	Այս գյուղը ծովի մակարդակից բարձր է գտնվում։
海滨	ծովափ; ծովափնյա շրջան	Նրանք շաբաթավերջը անցկացրին ծովափին։
含糊	անորոշ; երկիմաստ	Նրա պատասխանը շատ անորոշ էր։
含义	իմաստ; ենթիմաստ	Այս բառը հատուկ իմաստ ունի։
寒暄	բարևներ փոխանակել; սովորական զրույց վարել	Հանդիպելուց հետո նրանք նախ մի քանի բարև փոխանակեցին։
罕见	հազվադեպ; հազվադեպ հանդիպող	Այս հիվանդությունը շատ հազվադեպ է։
捍卫	պաշտպանել; պահպանել	Փաստաբանը ջանք գործադրեց հաճախորդի իրավունքները պաշտպանելու համար։
航空	ավիացիա; օդային փոխադրում	Ավիաընկերությունը չեղարկեց թռիչքը։
航天	տիեզերագնացություն; տիեզերական թռիչք	Չինաստանի տիեզերագնացության ծրագիրը արագ զարգանում է։
航行	նավարկել; օդով կամ ջրով ընթանալ	Նավը նավարկում է ծովում։
行列	շարք; շարքեր	Նա միացավ կամավորների շարքերին։
毫米	միլիմետր	Այս ապակու կտորը հինգ միլիմետր հաստություն ունի։
毫无	բոլորովին չունենալ; ոչ մի	Նրա բացատրությունը բոլորովին հիմք չունի։
豪迈	խիզախ; լայնասիրտ; հերոսական	Նրա երգը խիզախ և հզոր էր։
号召	կոչ անել	Կառավարությունը բոլորին կոչ արեց ջուր խնայել։
耗费	ծախսել; սպառել	Այս նախագիծը մեծ քանակությամբ միջոցներ ծախսեց։
呵	բարձրաձայն հանդիմանել; գոռալ	Հայրը մեկ անգամ գոռաց, և երեխան անմիջապես կանգ առավ։
合并	միավորել; միաձուլել	Երկու ընկերությունները նախատեսում են հաջորդ տարի միավորվել։
合成	սինթեզել; կազմել	Այս նյութը կարելի է արհեստականորեն սինթեզել։
合伙	գործընկերությամբ գործել; համատեղ ձեռնարկել	Նրանք գործընկերությամբ ռեստորան բացեցին։
合算	ձեռնտու; շահավետ	Ավտոբուս նստելը տաքսիից ավելի ձեռնտու է։
和蔼	բարեհամբույր; սիրալիր	Այս բժիշկը շատ բարեհամբույր է խոսում։
和解	հաշտվել; հաշտություն	Երկու կողմերը վերջապես հաշտության հասան։
和睦	համերաշխ; խաղաղ	Հարևանները համերաշխ են ապրում։
和气	սիրալիր; բարեհաճ	Շեֆը մարդկանց հետ սիրալիր է վարվում։
和谐	ներդաշնակ	Երաժշտությունը մթնոլորտը ավելի ներդաշնակ դարձրեց։
嘿	հե՜յ	Հե՜յ, դու լսեցի՞ր այդ մասին։
痕迹	հետք; նշան	Գետնի վրա անիվների հետքեր մնացին։
狠心	անսիրտ; դաժան	Նա դաժանորեն մերժեց ընկերոջ խնդրանքը։
恨不得	անհամբեր ցանկանալ; երանի կարողանալ	Կուզենայի հենց հիմա տուն գնալ և հանգստանալ։
哼	փնթփնթալ; քրթմնջալ; քթի տակ ձայն հանել	Նա դժգոհ քրթմնջաց։
横	հորիզոնական; լայնակի	Խնդրում եմ թղթի վրա հորիզոնական գիծ գծիր։
哄	աղմուկ բարձրացնել; ծիծաղի պոռթկում	Բոլորը միանգամից բարձր ծիծաղեցին։
烘	թխել; կրակով չորացնել	Հացը թխվում է վառարանում։
轰动	մեծ աղմուկ հանել; սենսացիա առաջացնել	Այս լուրը ամբողջ երկրում մեծ աղմուկ բարձրացրեց։
宏观	մակրո; ընդհանուր դիտանկյունից	Մենք պետք է տնտեսությունը վերլուծենք ընդհանուր դիտանկյունից։
宏伟	վեհաշուք; հոյակապ	Այս կամրջի նախագիծը շատ վեհաշուք է։
洪水	ջրհեղեղ	Ջրհեղեղը քանդեց մի քանի կամուրջ։
喉咙	կոկորդ	Նա շատ խոսեց, և կոկորդը մի քիչ ցավում է։
吼	գոռալ; մռնչալ	Նա բարձրաձայն գոռաց հեռուն։
候选	թեկնածու; թեկնածուական	Նա այս տարի թեկնածու ներկայացուցիչ է։
后代	սերունդներ; հետնորդներ	Մենք պետք է շրջակա միջավայրը պաշտպանենք ապագա սերունդների համար։
后顾之忧	հետագա հոգսեր; ապագայի մտահոգություն	Կայուն եկամուտը նրան ազատեց ապագայի մտահոգությունից։
后勤	նյութատեխնիկական ապահովում	Նյութատեխնիկական բաժինը պատասխանատու է նյութերի մատակարարման համար։
呼唤	կանչել; ձայն տալ	Մայրը դռան մոտ երեխային կանչեց։
呼啸	ոռնալ; սուլել	Սառը քամին պատուհանից դուրս ոռնում էր։
呼吁	կոչ անել; դիմում	Մասնագետները բոլորին կոչ արեցին նվազեցնել վատնումը։
忽略	անտեսել; աչքաթող անել	Խնդրում եմ մի անտեսիր այս մանրուքը։
湖泊	լիճ; լճեր	Այս շրջանում շատ բնական լճեր կան։
胡乱	անկանոն; անփույթ; պատահականորեն	Մի դիր իրերը գետնին պատահականորեն։
胡须	մորուք; բեղ	Նրա մորուքը արդեն սպիտակել է։
花瓣	ծաղկաթերթ	Անձրևից հետո ծաղկաթերթերը թափվեցին գետնին։
花蕾	բողբոջ; ծաղկաբողբոջ	Գարնանը ճյուղերի վրա բողբոջներ են աճում։
华丽	շքեղ; ճոխ	Բեմի վրա հագուստները շատ շքեղ էին։
华侨	արտերկրում ապրող չինացի	Շատ արտերկրում ապրող չինացիներ վերադարձան հայրենիք ներդրում անելու։
划分	բաժանել; սահմանազատել	Ուսուցիչը աշակերտներին բաժանեց չորս խմբի։
化肥	քիմիական պարարտանյութ	Գյուղացիները դաշտերին քիմիական պարարտանյութ տվեցին։
化石	բրածո	Թանգարանում ցուցադրված էին դինոզավրի բրածոներ։
化验	լաբորատոր հետազոտություն; քիմիական փորձաքննություն	Բժիշկը նրան խնդրեց արյան հետազոտություն անցնել։
化妆	դիմահարդարվել	Նա բեմ դուրս գալուց առաջ դիմահարդարվում էր։
画蛇添足	ավելորդ բան ավելացնելով գործը փչացնել	Ավելի շատ բացատրություն ավելացնելը ավելորդ կլիներ։
话筒	խոսափող	Հաղորդավարը խոսափողը տվեց հանդիսատեսին։
欢乐	ուրախություն; ցնծություն	Տոնական հրապարակը լի էր ուրախությամբ։
环节	օղակ; փուլ; մաս	Վերապատրաստման յուրաքանչյուր փուլ կարևոր է։
还原	վերականգնել սկզբնական վիճակը; վերականգնում	Խնդրում եմ կարգավորումները վերականգնիր նախնական վիճակին։
缓和	մեղմացնել; մեղմանալ	Երկու կողմերի հարաբերությունները աստիճանաբար մեղմացան։
患者	հիվանդ; բուժառու	Բժիշկը հարցնում է հիվանդի վիճակի մասին։
荒凉	ամայի; անապատային	Այս հողատարածքը շատ ամայի է թվում։
荒谬	անհեթեթ; ծիծաղելի	Այս բացատրությունը անհեթեթ է հնչում։
荒唐	անհեթեթ; անհավատալի	Նրա որոշումը չափազանց անհեթեթ էր։
皇帝	կայսր	Կայսրը ապրում էր շքեղ պալատում։
皇后	կայսրուհի	Կայսրուհին մասնակցեց տոնակատարությանը։
黄昏	մթնշաղ; երեկո	Մթնշաղին փողոցային լույսերը վառվեցին։
恍然大悟	հանկարծ հասկանալ; աչքերը բացվել	Բացատրությունը լսելուց հետո նա հանկարծ ամեն ինչ հասկացավ։
晃	օրորվել; ցնցվել; թափառել	Աղոտության մեջ նա անհետացավ տեսադաշտից։
挥霍	շռայլել; վատնել փողը	Նա չպետք է շռայլի ծնողների փողը։
辉煌	փառահեղ; փայլուն	Այս քաղաքը փառահեղ պատմություն ունի։
回报	հատուցում; վերադարձ; արդյունք	Քրտնաջան աշխատանքը վերջում արդյունք կտա։
回避	խուսափել; շրջանցել	Նա շարունակ խուսափում էր այս հարցից։
回顾	հետ նայել; վերանայել	Վերջում ժողովը վերանայեց տարվա աշխատանքը։
回收	վերամշակել; հետ հավաքել	Թաղամասը սկսեց հին մարտկոցների վերամշակումը։
悔恨	զղջում; խղճի խայթ	Նա զղջում էր իր անցյալի սխալների համար։
