simplified	HU	example_HU
接近	közeledni	Közeledik a tavaszünnep.
结实	erős; strapabíró	Ez a bőrönd nagyon strapabíró.
阶段	szakasz	A tanulás három szakaszra oszlik.
结构	szerkezet	Ennek a cikknek világos a szerkezete.
结合	összekapcsolni	A tanulást össze kell kapcsolni a gyakorlattal.
结论	következtetés	A következtetése nagyon meggyőző.
结账	fizetni	Evés után elmentünk fizetni.
节省	megtakarítani	A metróval időt lehet megtakarítani.
借口	kifogás	Ne keress több kifogást.
届	alkalom; rendezvény számlálószava	Ez a harmadik verseny.
戒	leszokni; megtiltani	Az orvos azt tanácsolta neki, hogy szokjon le a dohányzásról.
戒指	gyűrű	Gyűrűt visel.
金属	fém	A vas egyfajta fém.
尽快	minél hamarabb	Kérlek, minél hamarabb válaszolj az e-mailre.
紧急	sürgős	Ez sürgős ügy.
谨慎	óvatos	Befektetés előtt légy óvatos.
尽力	mindent megtenni	Mindent megteszek, hogy segítsek neked.
尽量	amennyire lehet	Kérlek, próbálj minél korábban megérkezni.
近代	újkori; modern kori	Az újkori Kína sok változáson ment keresztül.
进步	fejlődés; fejlődni	A kínai tudása gyorsan fejlődik.
进口	importált	Ez az autó importált.
精力	energia	A gyerekeknek sok energiájuk van.
精神	lelkiállapot; szellem	Ma jó lelkiállapotban van.
经典	klasszikus	Ez egy klasszikus film.
经商	üzlettel foglalkozni	Az apja külföldön üzletel.
经营	vezetni; működtetni	Egy kis boltot vezet.
酒吧	bár	Este elmentek egy bárba.
救	megmenteni	Az orvos megmentette az életét.
救护车	mentőautó	A mentőautó gyorsan megérkezett.
舅舅	anyai nagybácsi	Az anyai nagybátyám Nanjingban él.
居然	váratlanul; tényleg	Elképesztő, még a saját születésnapját is elfelejtette.
桔子	mandarin	Az asztalon több mandarin van.
俱乐部	klub	Belépett az úszóklubba.
具备	rendelkezni valamivel	Vezetői tapasztalattal rendelkezik.
具体	konkrét	Kérlek, legyél egy kicsit konkrétabb.
巨大	óriási	Ez a projekt óriási beruházást igényel.
据说	állítólag	Állítólag már visszatért a hazájába.
捐	adományozni	Mindenki szívesen adományoz pénzt.
决赛	döntő	Holnap lesz a futballdöntő.
决心	elhatározás	Elhatározta, hogy jól megtanul kínaiul.
绝对	abszolút; feltétlenül	Ezt az ügyet feltétlenül nem szabad elfelejteni.
角色	szerep	Fontos szerepet játszik a filmben.
军事	katonai	Nagyon érdekli a katonai történelem.
均匀	egyenletes	Kérlek, egyenletesen vidd fel a színt.
卡车	teherautó	Egy teherautó áll a bejáratnál.
开发	fejleszteni	A cég új terméket fejleszt.
开放	nyitva lenni; megnyitni	A park minden reggel hatkor nyit.
开幕式	megnyitó ünnepség	A megnyitó ünnepséget holnap este tartják.
开水	forralt víz	Kérek egy pohár forralt vizet.
砍	vágni	A munkás ágakat vág.
看不起	lenézni	Ne nézz le senkit.
看望	meglátogatni	A hétvégén meglátogatom a nagyszüleimet.
靠	nekidőlni	A falnak dőlve pihent.
颗	kis kerek dolgok számlálószava	Az éjszakai égbolton van egy csillag.
可见	látható; ebből látszik	Ebből látszik, hogy ez a módszer hatékony.
可靠	megbízható	Megbízható barát.
可怕	félelmetes	Ez az álom túl félelmetes volt.
克	gramm	Kérlek, adj hozzá két gramm sót.
克服	leküzdeni	Le kell küzdenünk a nehézségeket.
刻苦	szorgalmas	Nagyon szorgalmasan tanul.
客观	objektív	Kérlek, objektíven elemezd a problémát.
课程	tanfolyam; kurzus	Ez a kurzus nagyon hasznos.
空间	tér	Ebben a szobában sok hely van.
控制	irányítani; szabályozni	A sofőr szabályozta az autó sebességét.
空闲	szabadidő	Holnap délután van szabadidőd?
口味	ízlés; ízvilág	Az ízlése inkább könnyedebb.
夸	dicsérni	A tanár megdicsérte, mert sokat fejlődött.
夸张	túlzó	Az arckifejezése egy kicsit túlzó.
会计	könyvelő	A cégnél könyvelőként dolgozik.
宽	széles	Ez az út nagyon széles.
昆虫	rovar	A gyerekek rovarokat figyelnek meg.
扩大	bővíteni	Az iskola bővíteni tervezi a könyvtárat.
辣椒	csili; erős paprika	Sok csilit tettek az ételbe.
拦	megállítani	A rendőrség megállított egy autót.
烂	rohadt	Ez az alma már megrohadt.
朗读	felolvasni	Kérlek, olvasd fel hangosan a szöveget.
劳动	munka	A munka elégedettséggel tölti el az embert.
劳驾	elnézést	Elnézést, merre van a metróállomás?
姥姥	anyai nagymama	Az anyai nagymamám nagyon jól főz.
老百姓	átlagemberek	Az átlagembereket érdekli a megélhetés költsége.
老板	főnök	A főnök ma nincs az irodában.
老婆	feleség	Virágot vett a feleségének.
老实	őszinte; becsületes	Becsületes ember.
老鼠	egér; patkány	Van egy egér a konyhában.
乐观	optimista	Optimistán tekint a jövőre.
雷	mennydörgés	Tegnap éjjel nagyon hangos volt a mennydörgés.
类型	típus	Milyen típusba tartozik ez a film?
冷淡	hideg; közömbös	A hozzáállása egy kicsit hideg.
厘米	centiméter	Ez a toll tizenöt centiméter hosszú.
梨	körte	Vettem néhány körtét.
离婚	elválni	Tavaly elváltak.
理论	elmélet	Ez az elmélet nagyon bonyolult.
理由	ok	Mi az oka annak, hogy elkéstél?
利润	nyereség	A cég nyeresége idén nőtt.
利息	kamat	A banki kamat nem magas.
利益	érdek; haszon	Meg kell védenünk mindenki érdekeit.
利用	felhasználni	A hétvégét kínai tanulásra használja.
力量	erő	Az egység erő.
立即	azonnal	Kérlek, azonnal hagyd el ezt a helyet.
立刻	azonnal	A hír hallatán azonnal elindult.
联合	közösen; egyesíteni	A két cég közösen fejlesztett ki egy terméket.
连忙	gyorsan; sietve	Amikor meghallotta a telefont, gyorsan felvette.
连续	folyamatosan; egymás után	Tíz órán át dolgozott egyfolytában.
恋爱	szerelmi kapcsolat	Szerelmi kapcsolatban vannak.
粮食	gabona; élelmiszer	Az idei gabonatermés nőtt.
良好	jó	Jó tanulási szokásai vannak.
亮	világos; fényes	A szobában nagyon világos a lámpa.
了不起	nagyszerű; figyelemre méltó	Figyelemre méltó eredményeket ért el.
列车	vonat	A vonat mindjárt indul.
临时	ideiglenes	Ez ideiglenes döntés.
灵活	rugalmas	A tanulási módszereknek rugalmasnak kell lenniük.
铃	csengő	Megszólalt az órai csengő.
零件	alkatrész	Hiányzik egy alkatrész a gépből.
零食	nasi; harapnivaló	A gyerekek szeretnek nasit enni.
领导	vezető	A vezető értekezleten van.
领域	terület	Az oktatás területén dolgozik.
流传	terjedni; fennmaradni	Ez a történet régóta fennmaradt.
流泪	könnyezni	A hír hallatán könnyekre fakadt.
浏览	böngészni	Először átböngészem a weboldalt.
龙	sárkány	A kínai kultúrában vannak sárkányok.
漏	szivárogni	A tető beázik.
录取	felvenni	Felvették az egyetemre.
录音	hangfelvételt készíteni	Kérlek, indítsd el a felvételt.
陆地	szárazföld	A tengeri teknős felmászott a szárazföldre.
陆续	egymás után	A vendégek egymás után érkeztek.
轮流	felváltva	Felváltva takarítjuk az osztálytermet.
论文	szakdolgozat; tanulmány	Éppen a diplomamunkáját írja.
逻辑	logika	A logikája nagyon világos.
落后	lemaradni	Nem maradhatunk le másoktól.
骂	szidni	Kérlek, ne szidd a gyereket.
麦克风	mikrofon	Kérlek, add oda neki a mikrofont.
馒头	gőzgombóc; párolt zsemle	Reggelire egy gőzgombócot ettem.
满足	megfelelni; elégedettnek lenni	Ez a válasz nem felel meg a követelményeknek.
毛病	hiba; probléma	Ennek a számítógépnek van egy kis hibája.
矛盾	ellentmondás; konfliktus	Van köztük néhány konfliktus.
冒险	kockáztatni	Egyedül odamenni túl kockázatos.
贸易	kereskedelem	A nemzetközi kereskedelem gyorsan fejlődik.
媒体	média	A média beszámolt erről az ügyről.
煤炭	szén	Ez a térség szenet termel.
眉毛	szemöldök	Vastag a szemöldöke.
美术	képzőművészet; rajz	A húgom szereti a képzőművészetet.
魅力	vonzereje van	Ennek a városnak nagy vonzereje van.
梦想	álom; álmodni	Az az álma, hogy orvos legyen.
密切	szoros	Szoros kapcsolatot tartunk.
秘密	titok	Ez a mi titkunk.
秘书	titkár	A titkár megszervezte az értekezlet idejét.
蜜蜂	méh	A virágok között sok méh van.
面对	szembenézni	Bátran szembe kell néznünk a nehézségekkel.
面积	terület	Ennek a szobának nem nagy a területe.
面临	szembesülni	A vállalat új kihívásokkal szembesül.
描写	leírni	Az író a vidéki életet írta le.
苗条	karcsú	Karcsú alakja van.
敏感	érzékeny	Ez a téma viszonylag érzékeny.
名牌	híres márka	Híres márkájú órát vett.
名片	névjegykártya	Kérlek, adj egy névjegykártyát.
名胜古迹	nevezetességek és történelmi emlékek	Pekingben sok nevezetesség és történelmi emlék van.
明确	világos; egyértelmű	A tanár világosan elmagyarázta a követelményeket.
明显	nyilvánvaló	A fejlődése nyilvánvaló.
明星	sztár	Filmsztár szeretne lenni.
命令	parancs	A katonáknak engedelmeskedniük kell a parancsoknak.
命运	sors	Hiszi, hogy a sors megváltoztatható.
摸	megérinteni	Kérlek, ne érintsd meg ezt a festményt.
摩托车	motorkerékpár	Motorkerékpárral jár dolgozni.
模仿	utánozni	A gyerekek szeretik utánozni a felnőttek beszédét.
模糊	homályos	Ez a fénykép egy kicsit homályos.
模特	modell	Divatmodell.
陌生	ismeretlen	Ez a város számomra nagyon ismeretlen.
某	egy bizonyos	Egy bizonyos tanár felhívott.
木头	fa; fadarab	Ez az asztal fából készült.
目标	cél	A célom, hogy átmenjek a vizsgán.
目录	tartalomjegyzék	Kérlek, először nézd meg a könyv elején a tartalomjegyzéket.
目前	jelenleg	Jelenleg a helyzet viszonylag stabil.
哪怕	még ha	Még ha elfoglalt is, folytatja a tanulást.
难怪	nem csoda	Nem csoda, hogy ma ilyen boldog vagy.
难免	nehezen elkerülhető	Amikor először csinálod, nehéz elkerülni a hibákat.
脑袋	fej	Kicsit fáj a feje.
内部	belső	Ez a cég belső anyaga.
内科	belgyógyászat	Ma belgyógyászatra megy.
嫩	puha; zsenge	Ez a hús nagyon puha.
能干	rátermett	Nagyon rátermett ember.
能源	energia	A napenergia tiszta energiaforrás.
嗯	ühüm	Ühüm, értem.
年代	évtized; korszak	Ez a fénykép az 1980-as években készült.
年纪	életkor	Nem túl idős, de sok tapasztalata van.
念	felolvasni; tanulni	Kérlek, olvasd fel egyszer a szöveget.
宁可	inkább	Inkább gyalog megyek, mint hogy a buszra várjak.
牛仔裤	farmer	Farmert visel.
农村	vidék; falu	Vidéken nőtt fel.
农民	gazda; paraszt	A gazdák a földeken dolgoznak.
农业	mezőgazdaság	A mezőgazdaság nagyon fontos ennek a térségnek.
浓	erős; sűrű	Ez a kávé túl erős.
女士	hölgy	Az a hölgy a buszra vár.
欧洲	Európa	Jövő hónapban Európába utazik.
偶然	véletlenül	Véletlenül találkoztam egy régi osztálytársammal.
拍	fényképezni	Kérlek, segíts lefényképezni.
派	küldeni	A cég Sanghajba küldte üzleti útra.
盼望	várni; remélni	Várom, hogy hamarosan lássalak.
培训	képzés	Az új alkalmazottaknak részt kell venniük a képzésen.
培养	fejleszteni; nevelni	Az iskola fontosnak tartja a diákok képességeinek fejlesztését.
赔偿	kártérítést fizetni	A cég beleegyezett a veszteség megtérítésébe.
佩服	csodálni	Nagyon csodálom a bátorságát.
配合	együttműködni	Kérlek, működj együtt a tanár szervezésével.
盆	cserép; lavór	Az erkélyen van egy cserép virág.
碰	megérinteni; nekiütközni	Vigyázz, ne érj a forró vízhez.
批	tétel; adag	Ez az áruadag ma érkezett meg.
批准	jóváhagyni	A vezető jóváhagyta ezt a tervet.
披	vállra teríteni	Kabátot terített a vállára.
疲劳	fáradtság	A hosszú munka fáradttá teheti az embert.
匹	lovak számlálószava	Van egy ló a füvön.
片	szelet; darab	Kérlek, adj egy szelet kenyeret.
片面	egyoldalú	Ez a nézet túl egyoldalú.
飘	szállingózni; lebegni	Hópelyhek szállingóznak a levegőben.
拼音	pinyin	Kérlek, írd a pinyint a kínai írásjegyek mellé.
频道	csatorna	Kérlek, válts a hírcsatornára.
凭	valami alapján; valamivel	Beléphetsz jeggyel.
平均	átlagos; átlagosan	Átlagosan mindenki tíz jüant költött.
平	lapos; egyenletes	Ez az út nagyon sík.
平安	biztonságos; épségben	Jó utat kívánok.
平常	általában; hétköznapi	Általában ritkán késik.
平等	egyenlő	Mindenkivel egyenlően kell bánni.
平方	négyzet	Ez a szoba húsz négyzetméter.
平衡	egyensúly	A munkának és az életnek egyensúlyra van szüksége.
平静	nyugodt	A tó felszíne nagyon nyugodt.
评价	értékelni; értékelés	A tanár nagyon magas értékelést adott.
破产	csődbe menni	Az a vállalat tavaly csődbe ment.
破坏	kárt tenni; rombolni	Kérlek, ne rongáld a közvagyont.
迫切	sürgető	Sürgősen több orvosra van szükségünk.
期待	várakozni; várni valamit	Nagyon várom ezt az utazást.
期间	időszak; alatt	Kérjük, az értekezlet alatt kapcsolja ki a telefonját.
其余	többi	A fennmaradó kérdéseket holnap vitatjuk meg.
奇迹	csoda	Az orvos azt mondta, ez csoda.
企业	vállalat	Ez a vállalat gyorsan fejlődik.
启发	inspirációt adni	Ez a könyv sok inspirációt adott nekem.
气氛	légkör	Az osztályteremben nagyon oldott a légkör.
汽油	benzin	Az autónak benzinre van szüksége.
签	aláírni	Kérjük, írja alá itt a nevét.
谦虚	szerény	Kiváló, és mégis nagyon szerény.
前途	jövőbeli kilátás	Ennek a szaknak jók a kilátásai.
浅	sekély; világos	Ez a folyó nagyon sekély.
欠	tartozni	Még tartozik nekem húsz jüannal.
枪	pisztoly; fegyver	A rendőr fegyvert tart a kezében.
墙	fal	A falon egy kép lóg.
强调	hangsúlyozni	A tanár hangsúlyozta a biztonsági kérdéseket.
强烈	erős	Erős felelősségérzete van.
抢	versengeni; elkapkodni	Ne versengj másokkal az ülőhelyekért.
悄悄	csendben	Csendben besétált a szobába.
瞧	nézni	Nézd, odakint havazik.
巧妙	ügyes; ötletes	Ez a módszer nagyon ötletes.
切	vágni	Kérlek, vágd a gyümölcsöt kis darabokra.
亲爱	kedves	Kedves barátom, köszönöm.
亲切	kedves; barátságos	A tanár nagyon kedvesen beszél.
亲自	személyesen	A vezető személyesen fogadta a vendégeket.
勤奋	szorgalmas	A szorgalmas emberek könnyebben sikeresek.
清淡	könnyű; enyhe	Szeretem a könnyű ételeket.
轻视	lebecsülni	Ne becsüld le ezt a kis problémát.
轻易	könnyen	Nem adja fel könnyen.
青	kékeszöld	Ez a ruha kékeszöld.
青春	ifjúság	Az ifjúság értékes.
青少年	tinédzser; fiatal	A tinédzsereknek elegendő alvásra van szükségük.
情景	jelenet	A film jelenete nagyon megható.
情绪	érzelmi állapot	Az érzelmei nem túl stabilak.
请求	kérés	Kérést terjesztett elő.
庆祝	ünnepelni	Megünnepeltük a születésnapját.
球迷	szurkoló	Sok szurkoló jött megnézni a meccset.
趋势	trend	Ez a trend egyre nyilvánvalóbb.
取消	lemondani	Az eseményt az eső miatt lemondták.
娶	feleségül venni	Jövőre tervezi feleségül venni őt.
去世	elhunyni	A nagyapja tavaly hunyt el.
圈	bekarikázni; kör	Kérlek, karikázd be a helyes választ.
全面	átfogó	Átfogóan kell megértenünk a helyzetet.
权利	jog	Mindenkinek joga van oktatásban részesülni.
权力	hatalom	A hatalmat ellenőrizni kell.
劝	tanácsolni	A barátom azt tanácsolta, hogy pihenjek korábban.
缺乏	hiányozni valamiből	Ezen a területen hiányzik a tiszta víz.
确定	meghatározni; biztos	Még nem tudom meghatározni az időpontot.
确认	megerősíteni	Kérjük, erősítse meg a címét.
群	csoport	Egy csoport gyerek játszik a sportpályán.
燃烧	égni	A fa ég.
绕	megkerülni	Egyszer körbesétáltuk a tavat.
热爱	szenvedélyesen szeretni	Szereti a munkáját.
热烈	meleg; lelkes	Mindenki melegen üdvözölte a vendégeket.
热心	lelkes; segítőkész	A szomszédok mind nagyon segítőkészek.
人才	tehetséges ember	A vállalatnak több tehetséges emberre van szüksége.
人口	népesség	Ennek a városnak nagy a népessége.
人类	emberiség	Az emberiségnek meg kell védenie a Földet.
人民币	renminbi; kínai jüan	Váltottam néhány jüant.
人生	élet	Az életben sok választás van.
人事	emberi erőforrások	Az emberi erőforrások osztályán dolgozik.
人物	szereplő; személy	A regény szereplői nagyon valóságosnak tűnnek.
人员	személyzet	A személyzet már mind megérkezett.
忍不住	nem tudja megállni	A vicc hallatán nem tudta megállni, hogy ne nevessen.
日常	mindennapi	Ez a mindennapi munkám.
日程	napirend; program	A mai program nagyon zsúfolt.
日历	naptár	A falon naptár lóg.
日期	dátum	Kérjük, írja le világosan a dátumot.
日用品	napi használati cikkek	A szupermarket sok napi használati cikket árul.
日子	napok; időszak	Mostanában nagyon elfoglalt.
如何	hogyan	Hogyan oldjuk meg ezt a problémát?
如今	manapság	Manapság a közlekedés sokkal kényelmesebb.
软	puha	Ez az ágy nagyon puha.
软件	szoftver	Ez a szoftver könnyen használható.
弱	gyenge	A teste viszonylag gyenge.
洒	kilocsolni	Véletlenül kilocsolta a vizet.
嗓子	torok	Kicsit fáj a torkom.
色彩	színek	Ennek a festménynek gazdagok a színei.
杀	ölni	Ebben a filmben nincsenek gyilkossági jelenetek.
沙漠	sivatag	A víz a sivatagban nagyon értékes.
沙滩	tengerpart; homokos part	A gyerekek a tengerparton játszanak.
傻	buta	Ne csinálj butaságot.
晒	napon szárítani	A ruhák az erkélyen száradnak a napon.
删除	törölni	Kérlek, töröld ezt az e-mailt.
闪电	villám	Éjjel villám jelent meg.
善良	jószívű	Jószívű ember.
善于	jó valamiben	Jó a problémák megoldásában.
扇子	legyező	Nyáron gyakran használok legyezőt.
伤害	megbántani; ártani	Ne bántsd meg mások érzéseit.
商品	áru	Ebben a boltban sok áru van.
商务	üzleti	Holnap üzleti értekezleten vesz részt.
商业	kereskedelem	Ezen a területen fejlett a kereskedelem.
上当	bedőlni; becsapódni	Majdnem becsapták.
蛇	kígyó	Van egy kígyó a fűben.
舍不得	nem szívesen válik meg valamitől	Nem szívesen hagyom el ezt a helyet.
射击	lövészet	Lövészetet gyakorol.
摄影	fotózás	Nagyon érdekli a fotózás.
设备	berendezés	A laboratórium berendezése nagyon fejlett.
设计	tervezni; dizájn	Ez a dizájn nagyon kreatív.
设施	létesítmény	Az iskola sportlétesítményei jók.
伸	kinyújtani	Kérlek, nyújtsd ki a kezed.
深刻	mély	Ez az élmény mély benyomást tett rám.
身材	testalkat	Egészséges testalkata van.
身份	személyazonosság	Kérjük, mutassa be a személyazonosságát igazoló okmányt.
神话	mítosz	A gyerekek szeretnek mítoszokat hallgatni.
神秘	titokzatos	Ez az ősi város nagyon titokzatos.
升	emelkedni; liter	Az olaj ára literenként kicsit emelkedett.
声调	tónus	A kínaiban négy alapvető tónus van.
生产	gyártani	Ez a gyár mobiltelefonokat gyárt.
生动	élénk	A tanár nagyon élénken magyaráz.
生长	nőni	Ez a növény gyorsan nő.
绳子	kötél	Kérlek, kösd át a dobozt kötéllel.
省略	kihagyni	Itt egy írásjegyet ki lehet hagyni.
胜利	győzelem	Végül győzelmet arattak.
失眠	álmatlanságban szenvedni	Mostanában gyakran álmatlanságban szenved.
失去	elveszíteni	Ne veszítsd el az önbizalmadat.
失业	munkanélkülivé válni	Miután munkanélkülivé vált, új készségeket kezdett tanulni.
湿润	nedves	Az eső utáni levegő nagyon nedves.
狮子	oroszlán	Az állatkertben két oroszlán van.
诗	vers	Írt egy verset.
实话	igazság	Kérlek, mondd meg az igazat.
实践	gyakorlat	Az elméletet gyakorlatban kell ellenőrizni.
实习	gyakornokoskodni	A nyári szünetben kórházban fog gyakornokoskodni.
实现	megvalósítani	Végül megvalósította az álmát.
实验	kísérlet	A diákok kísérletet végeznek.
实用	praktikus	Ez az eszköz nagyon praktikus.
时差	időkülönbség	Még nem szokott hozzá az időkülönbséghez.
时代	korszak	Az információ korszakában élünk.
时刻	pillanat	Kérlek, emlékezz erre a fontos pillanatra.
时髦	divatos	Ez a ruha nagyon divatos.
时期	időszak	Az egyetemi időszaka nagy hatással volt rá.
时尚	divat	Nagyon érdekli a divat.
石头	kő	Az út mellett van egy kő.
食物	étel	Kérlek, tedd az ételt a hűtőbe.
使劲儿	erőt kifejteni	Egy kis erőt kell kifejteni, hogy kinyisd ezt az üveget.
始终	mindvégig	Mindvégig hitt abban, hogy sikerülhet neki.
事实	tény	A tények bizonyítják, hogy igaza volt.
事物	dolog	A gyerekek nagyon kíváncsiak az új dolgokra.
事先	előre	Kérlek, előre mondd meg az időpontot.
似的	mintha	Olyan fáradtnak tűnt, mintha egy szót sem akarna szólni.
士兵	katona	A katonák gyakorlatoznak.
市场	piac	Ez a piac nagyon élénk.
试卷	vizsgalap	A tanár javítja a vizsgalapokat.
收获	nyereség; eredmény	Sokat nyertem ebből az utazásból.
收据	nyugta	Fizetés után kérjük, őrizze meg a nyugtát.
手工	kézzel készült	Ez az ajándék kézzel készült.
手术	műtét	Az orvos holnap megműti.
手套	kesztyű	Télen vegyél fel kesztyűt, amikor kimész.
手续	ügyintézés; formalitás	Az ügyintézéshez személyi igazolvány kell.
手指	ujj	Megsérült az ujja.
首	dalok számlálószava	Elénekelt egy dalt.
受伤	megsérülni	A mérkőzés közben megsérült.
寿命	élettartam	Ennek a gépnek hosszú az élettartama.
书架	könyvespolc	A könyvespolc tele van könyvekkel.
梳子	fésű	Fésűvel fésüli a haját.
舒适	kényelmes	Ez a szoba nagyon kényelmes.
蔬菜	zöldség	Több zöldséget enni jót tesz az egészségnek.
输入	beírni	Kérlek, írd be a jelszót a számítógépbe.
熟练	gyakorlott; ügyes	Ügyesen tudja használni a számítógépet.
属于	tartozik valahová	Ez a könyv a könyvtárhoz tartozik.
数	megszámolni	Kérlek, számold meg, hány ember van.
鼠标	egér	A számítógépes egerem elromlott.
数据	adat	Ezek az adatok nagyon fontosak.
数码	digitális	Digitális fényképezőgépet vett.
摔倒	elesni	Elesett az úton.
甩	lerázni	Lerázta a vizet a kezéről.
双方	mindkét fél	Mindkét fél elfogadta ezt a tervet.
税	adó	Vásárláskor adót kell fizetni.
说不定	talán	Talán holnap havazni fog.
说服	meggyőzni	Végül meggyőzte a szüleit.
丝绸	selyem	Ez a sál selyemből készült.
丝毫	egyáltalán	Nem változtatta meg egyáltalán a véleményét.
思考	gondolkodni	Kérlek, gondold át alaposan ezt a problémát.
思想	gondolkodás; eszme	A gondolkodása nagyon nyitott.
撕	tépni	Kérlek, ne tépd el ezt a papírt.
私人	magán	Ez az én magánterem.
似乎	úgy tűnik	Úgy tűnik, nem túl boldog.
搜索	keresni	Az interneten kerestem anyagokat.
宿舍	kollégium	A diákok az iskolai kollégiumban laknak.
随身	magánál tartani	Kérjük, tartsa magánál az útlevelét.
随时	bármikor	Bármikor felhívhatsz.
随手	mellesleg; közben	Kérlek, távozáskor csukd be magad után az ajtót.
碎	eltörni; törött	A pohár leesett a földre és eltört.
损失	veszteség	Ez a baleset nagy veszteséget okozott.
缩短	lerövidíteni	Az új útvonal lerövidítette az utat.
所	intézmények számlálószava	Ez az iskola nagyon híres.
锁	bezárni; zár	Kérlek, indulás előtt zárd be az ajtót.
台阶	lépcsőfok	Az idős ember lassan felment a lépcsőn.
太极拳	tajcsi	Néhányan tajcsit gyakorolnak a parkban.
太太	asszony; feleség	Wang asszony főz.
谈判	tárgyalni	Mindkét fél tárgyal.
坦率	őszinte; nyílt	Őszintén kifejezte a gondolatait.
烫	forró	Ez a csésze tea nagyon forró.
桃	őszibarack	Sok őszibarack termett a fán.
淘气	csintalan	Ez a gyerek egy kicsit csintalan.
逃	elszökni	A kiskutya elszökött az udvarról.
逃避	elkerülni	Ne kerüld el a felelősséget.
讨价还价	alkudozni	Vásárláskor szeret alkudozni.
套	garnitúra; készlet	Új ruhaszettet vett.
特色	jellegzetesség	Ennek az étteremnek helyi jellegzetességei vannak.
特殊	különleges	Ma különleges nap van.
特征	jellemző	Ennek az állatnak nyilvánvaló jellemzői vannak.
疼爱	nagyon szeretni	A nagyszülők nagyon szeretik a gyereket.
提倡	szorgalmazni	Az iskola a víztakarékosságot szorgalmazza.
提纲	vázlat	Cikkírás előtt készíts vázlatot.
提问	kérdezni	A diákok bármikor kérdezhetnek.
题目	feladat; cím	Ez a feladat nem túl nehéz.
体会	tapasztalat; felismerés	Az utazás során új felismerésre jutottam.
体贴	figyelmes	Nagyon figyelmes a családjával.
体现	tükrözni	Ez az ügy a csapatszellemet tükrözi.
体验	megtapasztalni	Szeretném megtapasztalni a helyi életet.
天空	ég	Ma nagyon kék az ég.
天真	ártatlan	A gyerek gondolata nagyon ártatlan.
调皮	csintalan	Az a macska nagyon csintalan.
调整	módosítani	Módosítanunk kell a tervet.
挑战	kihívás	Ez nagy kihívás.
通常	általában	Általában hétkor kel.
统一	egységesíteni	Mindenki véleményét egységesíteni kell.
痛苦	fájdalom; szenvedés	A barátja elvesztése nagyon elszomorította.
痛快	nagyszerű; felszabadult	Ma igazán jól éreztük magunkat.
偷	lopni	Ne lopd el mások dolgait.
投入	elmélyült; belevetni magát	Nagyon elmélyülten dolgozik.
投资	befektetés; befektetni	Új projektbe fektettek be.
透明	átlátszó	Ez a pohár átlátszó.
突出	kiemelkedő	Az erősségei nagyon kiemelkedők.
土地	föld	Ez a föld nagyon termékeny.
土豆	burgonya	Vettem néhány burgonyát.
兔子	nyúl	A gyerek nyulat tart.
吐	hányni	Rosszul érzi magát, és hányni szeretne.
团	csoport	Csatlakoztunk egy turistacsoporthoz.
推辞	visszautasítani	Visszautasította a barátja meghívását.
推广	népszerűsíteni	A cég új terméket népszerűsít.
推荐	ajánlani	A tanár ezt a könyvet ajánlotta.
退	hátralépni	Kérlek, lépj hátra egy lépést.
退步	visszaesni	Ha nem gyakorolsz, vissza fog esni a szinted.
退休	nyugdíjba menni	Jövőre nyugdíjba megy.
歪	ferde	Ez a kép ferdén lóg.
外公	anyai nagyapa	Az anyai nagyapám idén nyolcvanéves.
外交	diplomácia	Nemzetközi kapcsolatokat és diplomáciát tanul.
完美	tökéletes	Ez a terv nem tökéletes.
完善	tökéletesíteni; javítani	Javítanunk kell a szolgáltatási folyamatot.
完整	teljes	Kérlek, adj nekem egy teljes jelentést.
玩具	játék	A gyerek betette a játékokat a dobozba.
万一	ha esetleg	Ha esetleg esik, másik nap megyünk.
王子	herceg	A történetben szereplő herceg nagyon bátor.
往返	oda-vissza	Ezzel a jeggyel ugyanazon a napon oda-vissza lehet utazni.
网络	internet; hálózat	Az internetkapcsolat itt nagyon stabil.
危害	ártani	A dohányzás árthat az egészségnek.
威胁	fenyegetni	A szennyezés fenyegeti a folyót.
微笑	mosoly; mosolyogni	Rám mosolygott.
唯一	egyetlen	Ez az egyetlen módszer.
围巾	sál	Télen sálat visel.
围绕	köré szerveződni	A vita e körül a kérdés körül forgott.
维修	javítás; karbantartás	A lift javítás alatt áll.
违反	megsérteni	Ezt tenni megsérti a szabályokat.
伟大	nagy; nagyszerű	Ez nagy felfedezés.
委屈	megbántottnak érezni magát	Nagyon megbántottnak érezte magát.
尾巴	farok	A kiskutya csóválta a farkát.
位于	elhelyezkedik	Az iskola a városközpontban található.
位置	hely; pozíció	Ez a hely nagyon csendes.
未必	nem feltétlenül	Amit mondott, nem feltétlenül igaz.
未来	jövő	Fel kell készülnünk a jövőre.
胃	gyomor	Kicsit kellemetlenül érzem a gyomrom.
胃口	étvágy	Ma jó étvágya van.
温暖	meleg	A tavaszi napsütés nagyon meleg.
温柔	gyengéd	Nagyon gyengéden beszél.
文件	dokumentum; fájl	Kérlek, küldd el nekem a dokumentumot.
文具	írószer	Sok írószer van az iskolatáskában.
文明	civilizált	A sorban állás civilizált viselkedés.
文学	irodalom	Szereti a kínai irodalmat.
文字	írás; írott jelek	Ezeket az írásjegyeket nehéz elolvasni.
闻	szagolni	Virágillatot éreztem.
吻	csók; megcsókolni	Az anya megcsókolta a gyerek arcát.
