simplified	KA	example_KA
登录	შესვლა	გთხოვთ, ჯერ თქვენს ანგარიშში შეხვიდეთ.
登陆	ნაპირზე გამოსვლა	ტაიფუნი ამაღამ სანაპირო რაიონში შეიძლება შევიდეს.
蹬	ფეხის დაჭერა	მან ფეხი ძლიერად დააჭირა და ველოსიპედი დაიძრა.
等候	ლოდინი	მგზავრები დარბაზში ჩასხდომას ელოდებიან.
等级	დონე	ამ პროგრამას წევრობის სხვადასხვა დონე აქვს.
瞪	დაცქერა	მან გაბრაზებულმა შემომხედა.
堤坝	კაშხალი	ძლიერი წვიმის შემდეგ კაშხალი ყურადღებით უნდა შემოწმდეს.
敌视	მტრულად განწყობა	განსხვავებული აზრის მიმართ მტრულად არ უნდა ვიყოთ.
抵达	მიღწევა	თვითმფრინავი პეკინში დროულად ჩავიდა.
抵抗	წინააღმდეგობა	სოფლელებმა ერთად გაუწიეს წყალდიდობას წინააღმდეგობა.
抵制	ბოიკოტი	მომხმარებლებმა უხარისხო პროდუქტის ბოიკოტი დაიწყეს.
地步	მდგომარეობა	საქმე ჯერ იმ მდგომარეობამდე არ მისულა.
地势	რელიეფი	აქ რელიეფი მაღალია და წყალი ადვილად არ გროვდება.
地质	გეოლოგია	ექსპერტები ადგილობრივ გეოლოგიურ მდგომარეობას იკვლევენ.
递增	თანდათან ზრდა	გაყიდვები სამი თვის განმავლობაში თანდათან იზრდებოდა.
颠簸	ჯაყჯაყი	მთის გზა ძალიან ჯაყჯაყაა, ფრთხილად უნდა მართო.
颠倒	შებრუნება	შენ ორი რიცხვის თანმიმდევრობა შეაბრუნე.
典礼	ცერემონია	გამოსაშვები ცერემონია დარბაზში გაიმართება.
典型	ტიპური	ეს წარმატების ტიპური მაგალითია.
点缀	მორთვა	რამდენიმე პატარა ყვავილმა სასადილო მაგიდა მორთო.
垫	საფენი	გთხოვთ, ეს ქაღალდი ჭიქის ქვეშ დაუფინოთ.
奠定	საფუძვლის ჩაყრა	ამ თანამშრომლობამ ხანგრძლივ ურთიერთობას საფუძველი ჩაუყარა.
惦记	წუხილი	დედა შორს მყოფ შვილზე სულ წუხს.
电源	დენის წყარო	გასვლამდე დენის წყარო გამორთეთ.
叼	პირში ჭერა	იმ ძაღლს პირში ძვალი უჭირავს.
雕刻	კვეთა	მას ხეზე ნიმუშების კვეთა უყვარს.
雕塑	ქანდაკება	მოედნის შუაში ქანდაკება დგას.
吊	აწევა	მუშებმა მანქანით ფოლადის კოჭი ასწიეს.
调动	გადაყვანა	კომპანიამ ის შანხაიში სამუშაოდ გადაიყვანა.
跌	დაცემა	აქციების ფასი დღეს ისევ დაეცა.
丁	კუბიკი	რეცეპტში წერია, რომ კარტოფილი კუბიკებად უნდა დაჭრა.
叮嘱	შეხსენება	მასწავლებელმა უსაფრთხოების დაცვა არაერთხელ შეგვახსენა.
盯	მიშტერება	გთხოვთ, სხვებს გამუდმებით ნუ მიაშტერდებით.
定期	რეგულარული	ექიმმა მას სხეულის რეგულარული შემოწმება ურჩია.
定义	განმარტება	გთხოვთ, ჯერ ამ ცნების განმარტება ახსენით.
丢人	სირცხვილი	საჯაროდ ტყუილი ნამდვილად სირცხვილია.
丢三落四	გულმავიწყი	ის მუდამ გულმავიწყია და სახლიდან გასვლისას გასაღებს ხშირად ივიწყებს.
东道主	მასპინძელი	როგორც მასპინძლებმა, სტუმრებს კარგად უნდა მივხედოთ.
东张西望	აქეთ იქით ყურება	გაკვეთილზე აქეთ იქით ყურებას ნუ დაიწყებ.
董事长	საბჭოს თავმჯდომარე	საბჭოს თავმჯდომარე დღეს შეხვედრას დაესწრო.
冻结	გაყინვა	ბანკმა ეს ანგარიში დროებით გაყინა.
动荡	არასტაბილურობა	ომმა ეს რეგიონი დიდხანს არასტაბილური დატოვა.
动机	მოტივი	პოლიცია მის მოტივს იკვლევს.
动静	ხმაური	ოთახში სულ მცირე ხმაურიც არ ისმოდა.
动力	მამოძრავებელი ძალა	ინტერესი სწავლის მამოძრავებელი ძალაა.
动脉	არტერია	ექიმმა მისი არტერია შეამოწმა.
动身	გამგზავრება	ხვალ დილით ადრე აეროპორტისკენ გავემგზავრებით.
动手	ხელის აღმართვა	სანამ საქმე არ გაირკვევა, ხელი არავინ აღმართოს.
动态	მიმდინარეობა	გთხოვთ, პროექტის მიმდინარეობას ყოველთვის დააკვირდეთ.
动员	მობილიზება	სკოლამ მოსწავლეები მოხალისეობრივ საქმიანობაში მონაწილეობისკენ მოაბილიზა.
栋	შენობა	ამ შენობას ოცი სართული აქვს.
兜	ჯიბე	მან გასაღები ქურთუკის ჯიბეში ჩაიდო.
陡峭	ციცაბო	ეს მთის გზა ძალიან ციცაბოა.
斗争	ბრძოლა	ისინი გარემოს დასაცავად იბრძვიან.
督促	დაჩქარება	მენეჯერმა ყველას დავალების დროულად დასრულება მოსთხოვა.
毒品	ნარკოტიკი	საბაჟომ ნარკოტიკების პარტია ამოიღო.
独裁	დიქტატურა	ხალხი დიქტატურულ მმართველობას ეწინააღმდეგება.
堵塞	დახშობა	ნაგავმა კანალიზაცია დახშო.
赌博	აზარტული თამაში	აზარტულ თამაშს მძიმე შედეგები მოჰყვება.
杜绝	აღმოფხვრა	კომპანია ნარჩენების სრულად აღმოფხვრას მოითხოვს.
端	ჭერა	ის ცხელი ჩაის ჭიქით შემოვიდა.
端午节	დრაკონის ნავების დღესასწაული	დრაკონის ნავების დღესასწაულზე ბრინჯის ღვეზელს ვჭამთ.
端正	გამოსწორება	მოსწავლეებმა სწავლისადმი დამოკიდებულება უნდა გამოასწორონ.
短促	მოკლე	მან მოკლე ოხვრა ამოუშვა.
断定	დადგენა	ახლა ჯერ ვერ დავადგენთ, ვინ არის მართალი.
断绝	გაწყვეტა	ავარიის შემდეგ სოფელს გარე სამყაროსთან კავშირი გაუწყდა.
堆积	დაგროვება	თოვლი გზის პირას დაგროვდა.
兑现	შესრულება	მან ბოლოს თავისი დაპირება შეასრულა.
对策	საპასუხო ზომა	რისკების წინაშე საპასუხო ზომები გვჭირდება.
对称	სიმეტრიული	ამ შენობის მარცხენა და მარჯვენა მხარე სიმეტრიულია.
对付	გამკლავება	ამ პრობლემასთან გამკლავება ადვილი არ არის.
对抗	დაპირისპირება	ორი გუნდი ფინალში ერთმანეთს დაუპირისპირდება.
对立	წინააღმდეგობა	ორივე მხარის პოზიცია სრულიად საწინააღმდეგოა.
对联	საახალწლო წარწერა	გაზაფხულის დღესასწაულზე მათ კართან წყვილი წარწერა გააკრეს.
对应	შესაბამისობა	ყოველ ნომერს ერთი ადგილი შეესაბამება.
对照	შედარება	გთხოვთ, თარგმანი ორიგინალს შეადაროთ.
队伍	მსვლელობა	სადღესასწაულო მსვლელობა ნელა მიიწევდა წინ.
顿时	მაშინვე	ამ ამბის გაგონებაზე ის მაშინვე გაშეშდა.
哆嗦	კანკალი	ძალიან ციოდა და ის სულ კანკალებდა.
多元化	მრავალფეროვნება	კომპანია საქმიანობის მრავალფეროვნებას უწყობს ხელს.
堕落	დაცემულობა	მას არ სურს, კიდევ უფრო დაეცეს.
额外	დამატებითი	ამ მომსახურებისთვის დამატებითი საფასურია საჭირო.
恶心	გულისრევა	იმ სუნის შეგრძნებაზე ცოტა გულისრევა დამეწყო.
恶化	გაუარესება	თუ არ იმკურნალებს, მდგომარეობა შეიძლება გაუარესდეს.
遏制	შეკავება	მთავრობამ დაბინძურების შესაკავებლად ზომები მიიღო.
恩怨	წყენა	ამ ორ კომპანიას შორის ძველი წყენაა.
而已	მხოლოდ	მე ეს მხოლოდ შემთხვევით ვთქვი.
二氧化碳	ნახშირორჟანგი	მცენარეები ნახშირორჟანგს შთანთქავენ.
发布	გამოცხადება	კომპანია ხვალ ახალ პროდუქტს გამოაცხადებს.
发财	გამდიდრება	მას შრომით გამდიდრება სურს.
发呆	გარინდება	ის ფანჯარასთან იჯდა და გარინდებული იყო.
发动	ამოქმედება	მოხალისეებმა მოსახლეობა ქუჩის დასასუფთავებლად აამოქმედეს.
发觉	შემჩნევა	შევამჩნიე, რომ დღეს ის ცოტა დაძაბულია.
发射	გაშვება	რაკეტა საღამოს გაეშვება.
发誓	ფიცი	მან დაიფიცა, რომ აღარასოდეს მოიტყუებდა.
发行	გამოშვება	ეს ფილმი მომავალ თვეში გამოვა.
发炎	ანთება	ჭრილობა ცოტა ანთებულია.
发扬	განვითარება	ჩვენ გუნდური თანამშრომლობის სულისკვეთება უნდა განვავითაროთ.
发育	განვითარება	ბავშვის სხეულის განვითარებას საკმარისი კვება სჭირდება.
法人	იურიდიული პირი	ეს კომპანია დამოუკიდებელი იურიდიული პირია.
番	ნათქვამი	ამ ნათქვამმა ძალიან დამაფიქრა.
凡是	ყველა	ყველა, ვინც დარეგისტრირდა, ტრენინგს უნდა დაესწროს.
繁华	ხალხმრავალი	ეს ქუჩა ადრე ძალიან ხალხმრავალი იყო.
繁忙	დატვირთული	აეროპორტი დღესასწაულებზე განსაკუთრებით დატვირთულია.
繁体字	ტრადიციული იეროგლიფი	ტაივანში ხშირად ტრადიციულ იეროგლიფებს იყენებენ.
繁殖	გამრავლება	ეს მცენარე ადვილად მრავლდება.
反驳	უარყოფა	მან ეს მოსაზრება მონაცემებით უარყო.
反常	უჩვეულო	დღევანდელი ამინდი ცოტა უჩვეულოა.
反感	ანტიპათია	ასეთი რეკლამის მიმართ ძლიერი ანტიპათია მაქვს.
反抗	წინააღმდეგობა	ხალხმა უსამართლო წესის წინააღმდეგობა დაიწყო.
反馈	უკუკავშირი	მომხმარებლებმა თქვეს, რომ სისტემა ძალიან სტაბილურია.
反面	უკანა მხარე	გთხოვთ, ქაღალდი უკანა მხარეს გადააბრუნოთ.
反射	არეკვლა	სარკე სინათლეს ირეკლავს.
反思	გააზრება	მარცხის შემდეგ მან მიზეზები სერიოზულად გაიაზრა.
反问	შეკითხვის დაბრუნება	მან არ უპასუხა და კითხვა უკან დამიბრუნა.
反之	პირიქით	ძალიან მაღალი ფასი მოთხოვნას ამცირებს, პირიქითაც ასეა.
泛滥	ადიდება	ძლიერმა წვიმამ მდინარის ადიდება გამოიწვია.
范畴	კატეგორია	ეს საკითხი სამართლის კატეგორიას ეკუთვნის.
贩卖	გაყიდვა	კანონი ყალბი წამლების გაყიდვას კრძალავს.
方位	მიმართულება	რუკაზე ზუსტი მიმართულება აღნიშნულია.
方言	დიალექტი	მას ადგილობრივი დიალექტის გაგება შეუძლია.
方圆	მიმდებარე არე	ათი კილომეტრის მიმდებარე არეში საავადმყოფო არ არის.
方针	კურსი	კომპანიამ განვითარების ახალი კურსი განსაზღვრა.
防守	დაცვა	ამ გუნდის დაცვა ძალიან მყარია.
防御	თავდაცვა	ქალაქის კედელს ოდესღაც მტრისგან თავდაცვისთვის იყენებდნენ.
防止	თავიდან აცილება	ტრავმის თავიდან ასაცილებლად უსაფრთხოების ღვედი შეიკარით.
防治	პრევენცია და მკურნალობა	ექიმმა დაავადების პრევენციისა და მკურნალობის მეთოდები ახსნა.
纺织	ქსოვილის წარმოება	ეს ქალაქი ქსოვილის წარმოებით არის ცნობილი.
访问	ვიზიტი	ჟურნალისტი ხვალ ამ მწერალს ეწვევა.
放大	გადიდება	გთხოვთ, სურათი ცოტათი გაადიდოთ.
放射	გამოსხივება	ეს მასალა სითბოს ასხივებს.
非法	უკანონო	უკანონო გარიგება დასჯადია.
飞禽走兽	ფრინველები და ცხოველები	ტყეში სხვადასხვა ფრინველი და ცხოველი ცხოვრობს.
飞翔	ფრენა	თოლიები ზღვის თავზე დაფრინავენ.
飞跃	ნახტომი	ტექნოლოგიურმა განვითარებამ დიდი ნახტომი გააკეთა.
肥沃	ნაყოფიერი	ეს მიწა ძალიან ნაყოფიერია.
诽谤	ცილისწამება	სხვისი ცილისწამება სამართლებრივ პასუხისმგებლობას იწვევს.
废除	გაუქმება	ეს ძველი წესი უკვე გაუქმებულია.
废寝忘食	თავდავიწყებით მუშაობა	კვლევისთვის ის თავდავიწყებით მუშაობდა.
废墟	ნანგრევები	მიწისძვრის შემდეგ ის ადგილი ნანგრევებად იქცა.
沸腾	დუღილი	წყალი უკვე დუღს.
肺	ფილტვი	მოწევა ფილტვს აზიანებს.
分辨	გარჩევა	ამ ორი ფერის გარჩევა მიჭირს.
分寸	ზომიერება	ხუმრობის დროსაც ზომიერება უნდა დაიცვა.
分红	დივიდენდი	აქციონერებს წლის ბოლოს დივიდენდის მიღება შეუძლიათ.
分解	დაშლა	მასწავლებელმა რთული პრობლემა რამდენიმე ნაბიჯად დაშალა.
分裂	გახლეჩა	შიდა წინააღმდეგობამ ორგანიზაციის გახლეჩა გამოიწვია.
分泌	გამოყოფა	ასეთი ჯირკვალი ჰორმონებს გამოყოფს.
分明	ნათელი	ფაქტები უკვე ძალიან ნათელია.
分歧	უთანხმოება	ორ მხარეს ფასზე უთანხმოება აქვს.
分散	გაფანტვა	გთხოვთ, რისკი სხვადასხვა პროექტზე გაანაწილოთ.
吩咐	დავალება	უფროსმა ფაილების მოწესრიგება დამავალა.
坟墓	სამარხი	ფერდობზე ძველი სამარხი დგას.
粉末	ფხვნილი	გთხოვთ, აბები ფხვნილად დაფქვათ.
粉色	ვარდისფერი	მან ვარდისფერი შარფი იყიდა.
粉碎	განადგურება	პოლიციამ ეს დანაშაულებრივი ჯგუფი გაანადგურა.
分量	წონა	ამ სიტყვებს დიდი წონა აქვს.
愤怒	მრისხანება	მისი ტონი მრისხანებით იყო სავსე.
丰满	სავსე	ამ სტატიის შინაარსი ჯერ საკმარისად სავსე არ არის.
丰盛	უხვი	მათ უხვი ვახშამი მოამზადეს.
丰收	უხვი მოსავალი	წელს ფერმერებს უხვი მოსავალი შეხვდათ.
封闭	დახურვა	სამუშაოების დროს ეს გზა დაიხურება.
封建	ფეოდალური	ასეთი ფეოდალური აზროვნება დიდი ხანია უნდა შეცვლილიყო.
封锁	ბლოკირება	პოლიციამ შემთხვევის ადგილი დაბლოკა.
锋利	ბასრი	ეს დანა ძალიან ბასრია.
风暴	ქარიშხალი	ზღვაზე მოულოდნელად ქარიშხალი გაჩნდა.
风度	ღირსეული მანერა	სცენაზე ის ძალიან ღირსეული მანერით ჩანდა.
风光	პეიზაჟი	აქ ბუნებრივი პეიზაჟი ძალიან ლამაზია.
风气	ატმოსფერო	სკოლაში სწავლის კარგი ატმოსფერო ჩამოყალიბდა.
风趣	იუმორი	ის ძალიან იუმორიანად ლაპარაკობს.
风土人情	ადგილობრივი წესჩვეულებები	მოგზაურობა ადგილობრივი წესჩვეულებების გაცნობაში გეხმარება.
风味	ადგილობრივი გემო	ამ მაღაზიას ძლიერი ადგილობრივი გემო აქვს.
逢	ყოველ ჯერზე შეხვედრა	ყოველ შაბათ კვირას პარკი ძალიან ცოცხალია.
奉献	თავდადება	ექიმმა პაციენტებს ბევრი დრო მიუძღვნა.
否决	უარყოფა	საბჭომ ეს წინადადება უარყო.
夫妇	ცოლქმარი	ეს ცოლქმარი პატარა მაღაზიას მართავს.
夫人	მეუღლე	ბატონი ვანი მეუღლესთან ერთად ვახშამს დაესწრო.
敷衍	ზერელე პასუხი	მან მხოლოდ რამდენიმე ზერელე პასუხი გასცა.
俘虏	ტყვე	ომის დასრულების შემდეგ ტყვეები გაათავისუფლეს.
幅度	მასშტაბი	ამჯერად ფასდაკლების მასშტაბი დიდია.
服从	დამორჩილება	ჯარისკაცები ბრძანებებს უნდა დაემორჩილონ.
服气	დარწმუნება	მან მატჩი წააგო, მაგრამ გულში მაინც არ იყო დარწმუნებული.
福利	კეთილდღეობა	თანამშრომლები კომპანიის კეთილდღეობის პაკეტს დიდ მნიშვნელობას ანიჭებენ.
福气	ბედნიერება	კარგ მასწავლებელთან შეხვედრა მისთვის დიდი ბედნიერებაა.
符号	სიმბოლო	ეს სიმბოლო საფრთხეს აღნიშნავს.
辐射	რადიაცია	ექიმმა მას ძლიერი რადიაციისგან შორს ყოფნა შეახსენა.
俯视	ზემოდან ყურება	მთის მწვერვალიდან მთელ ქალაქს ზემოდან უყურებ.
抚摸	მოფერება	მან ბავშვს თავზე ნაზად მოეფერა.
抚养	აღზრდა	ბებია და ბაბუა ბავშვის აღზრდაში ეხმარებოდნენ.
腐败	კორუფცია	მთავრობა კორუფციას ებრძვის.
腐烂	ლპობა	ხილი დიდხანს დატოვებისას ლპება.
腐蚀	კოროზია	მჟავა ლითონის ზედაპირს კოროზიას უჩენს.
腐朽	დამპალი	მათ დამპალი სისტემა გააკრიტიკეს.
辅助	დახმარება	ეს ინსტრუმენტი სწავლებას დაეხმარება.
副	მოადგილე	ის მოადგილე მენეჯერად დანიშნეს.
复活	აღორძინება	ეს ტრადიციული დღესასწაული კვლავ აღორძინდება.
复兴	რენესანსი	კულტურულ რენესანსს ხანგრძლივი ძალისხმევა სჭირდება.
富裕	შეძლებული	ეს სოფელი ახლა სულ უფრო შეძლებული ხდება.
腹泻	ფაღარათი	მას ძლიერი ფაღარათი აქვს და ექიმთან მისვლა სჭირდება.
覆盖	დაფარვა	დიდმა თოვლმა მთელი ხეობა დაფარა.
负担	ტვირთი	ქირა მის მთავარ ტვირთად იქცა.
赋予	მინიჭება	კანონი მოქალაქეებს ძირითად უფლებებს ანიჭებს.
附和	აყოლა	მას საკუთარი აზრი არ აქვს და მხოლოდ სხვებს აჰყვება.
附件	დანართი	გთხოვთ, ელფოსტაში დანართი ნახოთ.
附属	დაქვემდებარებული	ეს საავადმყოფო უნივერსიტეტთან არის დაკავშირებული.
改良	გაუმჯობესება	ექსპერტები ამ ბრინჯის ჯიშს აუმჯობესებენ.
盖章	ბეჭდის დასმა	ხელშეკრულების ხელმოწერის შემდეგ ბეჭდის დასმაა საჭირო.
钙	კალციუმი	რძე კალციუმით მდიდარია.
尴尬	უხერხული	შეხვედრაზე უხერხული სიჩუმე ჩამოვარდა.
干旱	გვალვა	ხანგრძლივმა გვალვამ ნათესები დააზიანა.
干扰	შეფერხება	ხმაური ჩემს მუშაობას აფერხებს.
干涉	ჩარევა	მშობლები ბავშვების არჩევანში ზედმეტად არ უნდა ჩაერიონ.
干预	ჩარევა	მთავრობა ბაზრის რისკებში დროულად ჩაერია.
感慨	ემოციური განცდა	ძველი ფოტოების ნახვისას ის ძალიან ემოციურად განეწყო.
感染	ინფექცია	ეს ვირუსი ბავშვებს ადვილად აინფიცირებს.
干劲	ენთუზიაზმი	ყველა დიდი ენთუზიაზმით მუშაობს.
扛	აწევა	ლეგენდის მიხედვით, ის იმდენად ძლიერი იყო, რომ მძიმე ქვაბის აწევა შეეძლო.
纲领	პროგრამა	შეხვედრამ ახალი მოქმედების პროგრამა მიიღო.
岗位	თანამდებობა	ის ახალ თანამდებობას სწრაფად შეეგუა.
港口	ნავსადგური	სატვირთო გემი ნავსადგურში გაჩერდა.
港湾	ყურე	პატარა ნავი მშვიდ ყურეში შევიდა.
杠杆	ბერკეტი	ამ ინვესტიციაში მაღალი ბერკეტი გამოიყენეს.
高超	ოსტატური	მისი მანქანის შეკეთების ტექნიკა ძალიან ოსტატურია.
高潮	კულმინაცია	თამაში ბოლო ათ წუთში კულმინაციას მიაღწია.
高峰	პიკი	დილის რვა საათი მოძრაობის პიკია.
高明	გონივრული	ეს მეთოდი მართლაც გონივრულია.
高尚	კეთილშობილი	ექიმის პროფესიული სული კეთილშობილია.
高涨	მატება	მაყურებლების ენთუზიაზმი მუდმივად იზრდებოდა.
稿件	ხელნაწერი	რედაქტორი ხელნაწერს ასწორებს.
告辞	გამომშვიდობება	უკვე გვიანია, ამიტომ ჯერ ჩვენ დავემშვიდობებით.
告诫	გაფრთხილება	მასწავლებელმა მოსწავლეები გააფრთხილა, რომ არ მოეტყუებინათ.
割	გაჭრა	მან თითი შემთხვევით გაიჭრა.
搁	დადება	გთხოვთ, საბუთები მაგიდაზე დადეთ.
歌颂	ქება	ეს ლექსი მშრომელებს აქებს.
疙瘩	კოპი	მის მკლავზე კოპი გაჩნდა.
鸽子	მტრედი	მოედანზე ბევრი მტრედია.
格局	განლაგება	ამ ბინის განლაგება ძალიან გონივრულია.
格式	ფორმატი	გთხოვთ, ფორმა მითითებული ფორმატით შეავსოთ.
隔阂	გაუცხოება	გაუგებრობამ მათ შორის გაუცხოება გააღრმავა.
隔离	იზოლაცია	პაციენტს დროებით იზოლაცია სჭირდება.
革命	რევოლუცია	ამ რევოლუციამ ქვეყნის ბედი შეცვალა.
个体	ინდივიდი	ყოველ ინდივიდს განსხვავებული საჭიროებები აქვს.
各抒己见	საკუთარი აზრის გამოთქმა	შეხვედრაზე ყველამ საკუთარი აზრი გამოთქვა.
根深蒂固	ღრმად ფესვგადგმული	ეს შეხედულება უკვე ღრმად ფესვგადგმულია.
根源	ფესვი	სიღარიბის ფესვები ძალიან რთულია.
跟前	წინ	ბავშვი დედის წინ მიირბინა.
跟随	მიყოლა	ჟურნალისტი ჯგუფს მთიან რაიონში მიჰყვა.
跟踪	თვალთვალი	პოლიცია ეჭვმიტანილის მოძრაობას უთვალთვალებს.
更新	განახლება	სისტემა ამაღამ ავტომატურად განახლდება.
更正	შესწორება	გაზეთმა მეორე დღეს შეცდომა შეასწორა.
耕地	მიწის ხვნა	ფერმერები გაზაფხულზე მიწას ხნავენ.
供不应求	დეფიციტური	ეს წამალი ამჟამად დეფიციტურია.
供给	მომარაგება	ქალაქს წყლისა და ელექტროენერგიის სტაბილური მომარაგება სჭირდება.
公安局	საზოგადოებრივი უსაფრთხოების ბიურო	ის საზოგადოებრივი უსაფრთხოების ბიუროში საქმის შესატყობინებლად წავიდა.
公道	სამართლიანობა	ყველას სამართლიანი მოპყრობა სურს.
公告	განცხადება	სკოლამ გაკვეთილების შეჩერების შესახებ განცხადება გამოაქვეყნა.
公关	საზოგადოებასთან ურთიერთობა	კომპანიამ პროფესიონალი საზოგადოებასთან ურთიერთობის გუნდი დაიქირავა.
公民	მოქალაქე	ყოველი მოქალაქე კანონს უნდა დაემორჩილოს.
公然	ღიად	მან შეჯიბრის წესები ღიად დაარღვია.
公认	საყოველთაოდ აღიარებული	ის საყოველთაოდ აღიარებული კარგი მასწავლებელია.
公式	ფორმულა	გთხოვთ, ეს მათემატიკური ფორმულა ჩაიწეროთ.
公务	სამსახურებრივი საქმე	ის სამსახურებრივი საქმის გამო სამი დღით მივლინებაში წავიდა.
公正	სამართლიანი	მოსამართლე სამართლიანი უნდა დარჩეს.
公证	ნოტარიული დამოწმება	ამ დოკუმენტს ნოტარიული დამოწმება სჭირდება.
功劳	დამსახურება	ამ წარმატებაში ყველას თავისი დამსახურება აქვს.
功效	ეფექტურობა	ამ წამლის ეფექტურობა ჯერ კიდევ დასამტკიცებელია.
宫殿	სასახლე	ტურისტებმა ძველი სასახლე დაათვალიერეს.
工艺品	ხელნაკეთი ნივთი	ეს ხელნაკეთი ნივთი ხელით არის დამზადებული.
恭敬	პატივისცემით	მან მოხუცს პატივისცემით მიესალმა.
攻击	თავდასხმა	ჰაკერებმა კომპანიის საიტზე თავდასხმა განახორციელეს.
攻克	დაძლევა	კვლევის ჯგუფმა ტექნიკური სირთულე დაძლია.
巩固	განმტკიცება	გამეორება ნასწავლ ცოდნას ამტკიცებს.
共和国	რესპუბლიკა	ეს რესპუბლიკა გასულ საუკუნეში დაარსდა.
共计	სულ	ამ საქონლის პარტია სულ სამასი ყუთია.
共鸣	თანაგრძნობა	ამ სიმღერამ ბევრ ადამიანში თანაგრძნობა გამოიწვია.
勾结	შეთქმულება	ისინი გარეშებთან შეითქვნენ და ფული თაღლითობით მიიღეს.
钩子	კაუჭი	კედელზე რამდენიმე კაუჭი ჰკიდია.
构思	ჩაფიქრება	მწერალი ახალ რომანს ფიქრობს.
姑且	დროებით	ეს გეგმა ჯერ ერთი კვირით ვცადოთ.
孤独	მარტოსული	ახალ ქალაქში გადასვლის შემდეგ ის მარტოსულად გრძნობდა თავს.
孤立	იზოლირებული	ამ პრობლემას იზოლირებულად ნუ შეხედავ.
辜负	იმედის გაცრუება	არ მინდა, მშობლების მოლოდინი გავუცრუო.
古董	ანტიკვარიატი	ბაბუამ რამდენიმე ანტიკვარული ნივთი შეაგროვა.
古怪	უცნაური	მისი აზრი ცოტა უცნაურია.
股东	აქციონერი	აქციონერთა კრება მომავალ კვირას გაიმართება.
股份	წილი	მას კომპანიის წილი აქვს.
骨干	ბირთვი	ეს ინჟინრები გუნდის ბირთვს წარმოადგენენ.
鼓动	წაქეზება	ვიღაცამ ხალხი პროტესტისკენ წააქეზა.
固然	მართალია	ეს მეთოდი მართალია მარტივია, მაგრამ რისკიც მცირე არ არის.
固体	მყარი სხეული	ყინული წყლის მყარი ფორმაა.
固有	თანდაყოლილი	ყოველ კულტურას თავისი თანდაყოლილი ნიშნები აქვს.
固执	ჯიუტი	ის ძალიან ჯიუტია და რჩევას არ უსმენს.
故乡	მშობლიური ადგილი	მრავალი წლის შემდეგ ის მშობლიურ ადგილს დაუბრუნდა.
故障	გაუმართაობა	ლიფტს გაუმართაობა ჰქონდა და დროებით შეჩერდა.
雇佣	დაქირავება	კომპანიამ მეტი ტექნიკური თანამშრომლის დაქირავება გადაწყვიტა.
顾虑	შეშფოთება	თუ რაიმე შეშფოთება გაქვს, პირდაპირ თქვი.
顾问	მრჩეველი	ჩვენ იურიდიული მრჩეველი დავიქირავეთ.
拐杖	ყავარჯენი	მოხუცს გარეთ გასვლისას ხშირად ყავარჯენი მიაქვს.
关怀	ზრუნვა	მასწავლებელმა მოსწავლეებს დიდი ზრუნვა გამოუჩინა.
关照	მიხედვა	გთხოვ, გზაში ბავშვს კარგად მიხედო.
官方	ოფიციალური	ოფიციალური ინფორმაცია ხვალ გამოცხადდება.
观光	ღირსშესანიშნაობების დათვალიერება	ტურისტებმა ნავით ღირსშესანიშნაობები დაათვალიერეს.
管辖	იურისდიქცია	ეს რაიონი ქალაქის მთავრობის იურისდიქციაშია.
惯例	ჩვეულება	შეხვედრის დაწყებამდე სტუმრების წარდგენა ჩვეულებაა.
