hsk_key	source_word	simplified	SI	example_SI	TA	example_TA	TE	example_TE	KN	example_KN	ML	example_ML	KK	example_KK	KA	example_KA	HY	example_HY
390:里面	里面	里面	ඇතුළේ	පොත පාසල් බෑගය ඇතුළේ තියෙනවා.	உள்ளே	புத்தகம் பள்ளிப்பையின் உள்ளே உள்ளது.	లోపల	పుస్తకం పాఠశాల సంచిలో ఉంది.	ಒಳಗೆ	ಪುಸ್ತಕ ಶಾಲೆಚೀಲದ ಒಳಗೆ ಇದೆ.	അകത്ത്	പുസ്തകം സ്കൂൾബാഗിന്റെ അകത്ത് ഉണ്ട്.	ішінде	Кітап сөмкенің ішінде.	შიგნით	წიგნი ჩანთის შიგნით არის.	ներսում	Գիրքը դպրոցական պայուսակի մեջ է։
393:路上	路上	路上	මාර්ගයේ; යන ගමන්	මම දැන් යන ගමන්.	வழியில்	நான் வழியில் இருக்கிறேன்.	దారిలో	నేను దారిలో ఉన్నాను.	ದಾರಿಯಲ್ಲಿ	ನಾನು ದಾರಿಯಲ್ಲಿದ್ದೇನೆ.	വഴിയിൽ	ഞാൻ വഴിയിലാണ്.	жолда	Мен жолдамын.	გზაში	მე გზაში ვარ.	ճանապարհին	Ես ճանապարհին եմ։
395:绿茶	绿茶	绿茶	හරිත තේ	තාත්තා හරිත තේ බොන්න කැමතියි.	பச்சை தேநீர்	அப்பாவுக்கு பச்சை தேநீர் குடிக்கப் பிடிக்கும்.	గ్రీన్ టీ	నాన్నకు గ్రీన్ టీ తాగడం ఇష్టం.	ಹಸಿರು ಚಹಾ	ಅಪ್ಪನಿಗೆ ಹಸಿರು ಚಹಾ ಕುಡಿಯುವುದು ಇಷ್ಟ.	ഗ്രീൻ ടീ	അച്ഛന് ഗ്രീൻ ടീ കുടിക്കാൻ ഇഷ്ടമാണ്.	көк шай	Әкем көк шай ішкенді ұнатады.	მწვანე ჩაი	მამას მწვანე ჩაის დალევა უყვარს.	կանաչ թեյ	Հայրիկը սիրում է կանաչ թեյ խմել։
396:绿色	绿色	绿色	කොළ පාට	මේ කෝප්පය කොළ පාටයි.	பச்சை நிறம்	இந்த கோப்பை பச்சை நிறம்.	ఆకుపచ్చ రంగు	ఈ కప్పు ఆకుపచ్చగా ఉంది.	ಹಸಿರು ಬಣ್ಣ	ಈ ಕಪ್ ಹಸಿರು ಬಣ್ಣದಾಗಿದೆ.	പച്ച നിറം	ഈ കപ്പ് പച്ച നിറമാണ്.	жасыл түс	Бұл кесе жасыл түсті.	მწვანე ფერი	ეს ჭიქა მწვანეა.	կանաչ գույն	Այս բաժակը կանաչ է։
398:没意思	没意思	没意思	අරමුණක් නැති; කම්මැලි	මේ චිත්‍රපටය කම්මැලියි.	சுவாரஸ்யமில்லை; சலிப்பு	இந்த படம் சலிப்பாக உள்ளது.	ఆసక్తికరం కాదు; బోరింగ్	ఈ సినిమా బోరింగ్‌గా ఉంది.	ಆಸಕ್ತಿಕರ ಅಲ್ಲ; ಬೇಸರದ	ಈ ಸಿನಿಮಾ ಬೇಸರವಾಗಿದೆ.	രസകരമല്ല; ബോറാണ്	ഈ സിനിമ ബോറാണ്.	қызық емес	Бұл фильм қызық емес.	საინტერესო არ არის	ეს ფილმი საინტერესო არ არის.	անհետաքրքիր; ձանձրալի	Այս ֆիլմը ձանձրալի է։
401:门口	门口	门口	දොරකඩ; පිවිසුම	මම පාසල් දොරකඩ ඔබව බලා ඉන්නවා.	வாசல்; நுழைவிடம்	நான் பள்ளி வாசலில் உன்னை காத்திருக்கிறேன்.	ద్వారం; ప్రవేశం	నేను పాఠశాల గేటు వద్ద నీ కోసం వేచి ఉన్నాను.	ಬಾಗಿಲು ಬಳಿ; ಪ್ರವೇಶದ್ವಾರ	ನಾನು ಶಾಲೆಯ ಗೇಟ್ ಬಳಿ ನಿನ್ನನ್ನು ಕಾಯುತ್ತೇನೆ.	വാതിൽക്കൽ; പ്രവേശനം	ഞാൻ സ്കൂൾ വാതിൽക്കൽ നിന്നെ കാത്തിരിക്കുന്നു.	есік алды; кіреберіс	Мен сені мектеп қақпасының алдында күтіп тұрмын.	შესასვლელი; კარის წინ	სკოლის შესასვლელთან გელოდები.	մուտք; դռան մոտ	Ես քեզ դպրոցի մուտքի մոտ եմ սպասում։
402:门票	门票	门票	ප්‍රවේශ ටිකට්පත	ප්‍රවේශ ටිකට්පත මිල අධික නැහැ.	நுழைவுச்சீட்டு	நுழைவுச்சீட்டு விலை அதிகமில்லை.	ప్రవేశ టికెట్	ప్రవేశ టికెట్ ఖరీదుగా లేదు.	ಪ್ರವೇಶ ಟಿಕೆಟ್	ಪ್ರವೇಶ ಟಿಕೆಟ್ ದುಬಾರಿ ಅಲ್ಲ.	പ്രവേശന ടിക്കറ്റ്	പ്രവേശന ടിക്കറ്റ് വിലയേറിയതല്ല.	кіру билеті	Кіру билеті қымбат емес.	შესასვლელი ბილეთი	შესასვლელი ბილეთი ძვირი არ არის.	մուտքի տոմս	Մուտքի տոմսը թանկ չէ։
403:面1	面1	面	පැත්ත; මතුපිට; ස්ථාන පද අගය	පිටත වැස්සක් වැටෙනවා.	பக்கம்; மேற்பரப்பு; இடச்சொல் இறுதி	வெளியில் மழை பெய்கிறது.	వైపు; ఉపరితలం; స్థల పదాంతం	బయట వర్షం పడుతోంది.	ಬದಿ; ಮೇಲ್ಮೈ; ಸ್ಥಳ ಸೂಚಕ ಅಂತ್ಯ	ಹೊರಗೆ ಮಳೆ ಬರುತ್ತಿದೆ.	വശം; ഉപരിതലം; സ്ഥാനസൂചക അവസാനം	പുറത്ത് മഴ പെയ്യുന്നു.	жақ; бет; орын жұрнағы	Сыртта жаңбыр жауып тұр.	მხარე; ზედაპირი; ადგილის ბოლოსართი	გარეთ წვიმს.	կողմ; մակերես; տեղ ցույց տվող վերջածանց	Դրսում անձրև է գալիս։
404:名	名	名	මිනිසුන් සඳහා ගණන් වචනය	මෙය ගුරුවරයෙක්.	மனிதர்களுக்கான அளவுச்சொல்	இவர் ஒரு ஆசிரியர்.	మనుషులకు వాడే పరిమాణ పదం	ఇతను ఒక ఉపాధ్యాయుడు.	ಜನರಿಗೆ ಎಣಿಕೆ ಪದ	ಇವರು ಒಬ್ಬ ಶಿಕ್ಷಕ.	മനുഷ്യർക്കുള്ള എണ്ണുപദം	ഇത് ഒരു അധ്യാപകനാണ്.	адамға арналған есептік сөз	Бұл бір мұғалім.	ადამიანებისთვის სათვლელი სიტყვა	ეს ერთი მასწავლებელია.	մարդկանց համար հաշվիչ բառ	Սա մեկ ուսուցիչ է։
406:那么	那么	那么	එතරම්; එසේ	ඔහු එතරම් කාර්යබහුල නැහැ.	அவ்வளவு; அப்படி	அவர் அவ்வளவு பிஸியாக இல்லை.	అంత; అలా	అతను అంత బిజీగా లేడు.	ಅಷ್ಟು; ಹಾಗೆ	ಅವನು ಅಷ್ಟು ಬ್ಯುಸಿಯಾಗಿಲ್ಲ.	അത്ര; അങ്ങനെ	അവൻ അത്ര തിരക്കിലല്ല.	сонша; солай	Ол сонша бос емес.	ამდენად; ასე	ის იმდენად დაკავებული არ არის.	այդքան; այդպես	Նա այդքան զբաղված չէ։
407:那样	那样	那样	එහෙම; ඒ ආකාරයට	එහෙම කියන්න එපා.	அப்படியாக; அந்த விதமாக	அப்படி சொல்லாதே.	అలా; ఆ విధంగా	అలా చెప్పొద్దు.	ಹಾಗೆ; ಆ ರೀತಿಯಾಗಿ	ಹಾಗೆ ಹೇಳಬೇಡ.	അങ്ങനെ; ആ രീതിയിൽ	അങ്ങനെ പറയരുത്.	солай; сондай	Олай айтпа.	ასე; იმგვარად	ასე ნუ იტყვი.	այդպես; այդ ձևով	Այդպես մի ասա։
408:奶茶	奶茶	奶茶	කිරි තේ	මට කිරි තේ බොන්න ඕන.	பால் தேநீர்	எனக்கு பால் தேநீர் குடிக்க வேண்டும்.	పాల టీ	నాకు పాల టీ తాగాలని ఉంది.	ಹಾಲು ಚಹಾ	ನನಗೆ ಹಾಲು ಚಹಾ ಕುಡಿಯಬೇಕು.	പാൽ ചായ	എനിക്ക് പാൽ ചായ കുടിക്കണം.	сүтті шай	Мен сүтті шай ішкім келеді.	რძიანი ჩაი	რძიანი ჩაის დალევა მინდა.	կաթով թեյ	Ես ուզում եմ կաթով թեյ խմել։
410:男孩儿	男孩儿	男孩儿	පිරිමි ළමයා	ඒ පිරිමි ළමයා දුවනවා.	சிறுவன்	அந்த சிறுவன் ஓடுகிறான்.	అబ్బాయి	ఆ అబ్బాయి పరుగెడుతున్నాడు.	ಹುಡುಗ	ಆ ಹುಡುಗ ಓಡುತ್ತಿದ್ದಾನೆ.	ആൺകുട്ടി	ആ ആൺകുട്ടി ഓടുന്നു.	ұл бала	Ана бала жүгіріп жүр.	ბიჭი	ის ბიჭი დარბის.	տղա	Այդ տղան վազում է։
412:女孩儿	女孩儿	女孩儿	ගැහැණු ළමයා	ඒ ගැහැණු ළමයා නටන්න කැමතියි.	சிறுமி	அந்த சிறுமிக்கு நடனம் ஆடப் பிடிக்கும்.	అమ్మాయి	ఆ అమ్మాయికి నాట్యం చేయడం ఇష్టం.	ಹುಡುಗಿ	ಆ ಹುಡುಗಿಗೆ ನೃತ್ಯ ಮಾಡುವುದು ಇಷ್ಟ.	പെൺകുട്ടി	ആ പെൺകുട്ടിക്ക് നൃത്തം ചെയ്യാൻ ഇഷ്ടമാണ്.	қыз бала	Ана қыз билегенді ұнатады.	გოგო	იმ გოგოს ცეკვა უყვარს.	աղջիկ	Այդ աղջիկը սիրում է պարել։
414:跑	跑	跑	දුවීම	ඔහු ඉතා වේගයෙන් දුවනවා.	ஓடுதல்	அவர் மிகவும் வேகமாக ஓடுகிறார்.	పరుగెత్తడం	అతను చాలా వేగంగా పరుగెడతాడు.	ಓಡು	ಅವನು ತುಂಬಾ ವೇಗವಾಗಿ ಓಡುತ್ತಾನೆ.	ഓടുക	അവൻ വളരെ വേഗത്തിൽ ഓടുന്നു.	жүгіру	Ол өте жылдам жүгіреді.	სირბილი	ის ძალიან სწრაფად დარბის.	վազել	Նա շատ արագ է վազում։
421:球	球	球	බෝලය	මේ බෝලය රතු පාටයි.	பந்து	இந்த பந்து சிவப்பு.	బంతి	ఈ బంతి ఎరుపు రంగులో ఉంది.	ಚೆಂಡು	ಈ ಚೆಂಡು ಕೆಂಪಾಗಿದೆ.	പന്ത്	ഈ പന്ത് ചുവപ്പാണ്.	доп	Бұл доп қызыл.	ბურთი	ეს ბურთი წითელია.	գնդակ	Այս գնդակը կարմիր է։
423:肉	肉	肉	මස්	මම මස් කන්නේ නැහැ.	இறைச்சி	நான் இறைச்சி சாப்பிட மாட்டேன்.	మాంసం	నేను మాంసం తినను.	ಮಾಂಸ	ನಾನು ಮಾಂಸ ತಿನ್ನುವುದಿಲ್ಲ.	ഇറച്ചി	ഞാൻ ഇറച്ചി കഴിക്കില്ല.	ет	Мен ет жемеймін.	ხორცი	მე ხორცს არ ვჭამ.	միս	Ես միս չեմ ուտում։
424:商场	商场	商场	සාප්පු මධ්‍යස්ථානය	සාප්පු මධ්‍යස්ථානයේ මිනිස්සු ගොඩක් ඉන්නවා.	வணிக வளாகம்	வணிக வளாகத்தில் பலர் உள்ளனர்.	షాపింగ్ మాల్	షాపింగ్ మాల్‌లో చాలా మంది ఉన్నారు.	ಶಾಪಿಂಗ್ ಮಾಲ್	ಶಾಪಿಂಗ್ ಮಾಲ್‌ನಲ್ಲಿ ಬಹಳಷ್ಟು ಜನರಿದ್ದಾರೆ.	ഷോപ്പിംഗ് മാൾ	ഷോപ്പിംഗ് മാളിൽ നിരവധി ആളുകൾ ഉണ്ട്.	сауда орталығы	Сауда орталығында адам көп.	სავაჭრო ცენტრი	სავაჭრო ცენტრში ბევრი ადამიანია.	առևտրի կենտրոն	Առևտրի կենտրոնում շատ մարդ կա։
425:上来	上来	上来	ඉහළට පැමිණීම	කරුණාකර ඉහළට එන්න.	மேலே வருதல்	தயவுசெய்து மேலே வாருங்கள்.	పైకి రావడం	దయచేసి పైకి రండి.	ಮೇಲಕ್ಕೆ ಬಾ	ದಯವಿಟ್ಟು ಮೇಲಕ್ಕೆ ಬನ್ನಿ.	മുകളിലേക്ക് വരുക	ദയവായി മുകളിലേക്ക് വരൂ.	жоғары келу	Жоғары көтеріліңізші.	ზემოთ ამოსვლა	ზემოთ ამოდით, გთხოვთ.	վերև գալ	Խնդրում եմ վերև եկեք։
426:上面	上面	上面	ඉහළ; උඩ	පොත මේසය උඩ තියෙනවා.	மேல்; மேலே	புத்தகம் மேசையின் மேல் உள்ளது.	పై; మీద	పుస్తకం బల్ల మీద ఉంది.	ಮೇಲೆ	ಪುಸ್ತಕ ಮೇಜಿನ ಮೇಲೆ ಇದೆ.	മുകളിൽ	പുസ്തകം മേശയുടെ മുകളിൽ ഉണ്ട്.	үсті; жоғары	Кітап үстелдің үстінде.	ზემოთ; ზედაპირზე	წიგნი მაგიდაზე დევს.	վերև; վրա	Գիրքը սեղանի վրա է։
427:上去	上去	上去	ඉහළට යාම	අපි ඉහළට ගිහින් බලමු.	மேலே செல்லுதல்	நாம் மேலே சென்று பார்ப்போம்.	పైకి వెళ్లడం	మనం పైకి వెళ్లి చూద్దాం.	ಮೇಲಕ್ಕೆ ಹೋಗು	ನಾವು ಮೇಲಕ್ಕೆ ಹೋಗಿ ನೋಡೋಣ.	മുകളിലേക്ക് പോകുക	നമുക്ക് മുകളിലേക്ക് പോയി നോക്കാം.	жоғары шығу	Жоғары шығып көрейік.	ზემოთ ასვლა	ზემოთ ავიდეთ და ვნახოთ.	վերև գնալ	Եկեք վերև գնանք ու տեսնենք։
431:时	时	时	වේලාව; කාලය	ඒ වෙලාවේ මම පාසලේ හිටියා.	நேரம்; போது	அந்த நேரத்தில் நான் பள்ளியில் இருந்தேன்.	సమయం; అప్పుడు	ఆ సమయంలో నేను పాఠశాలలో ఉన్నాను.	ಸಮಯ; ಆಗ	ಆ ಸಮಯದಲ್ಲಿ ನಾನು ಶಾಲೆಯಲ್ಲಿ ಇದ್ದೆ.	സമയം; അപ്പോൾ	ആ സമയത്ത് ഞാൻ സ്കൂളിലായിരുന്നു.	уақыт; кезде	Сол кезде мен мектепте едім.	დრო; როდესაც	იმ დროს სკოლაში ვიყავი.	ժամանակ; երբ	Այդ ժամանակ ես դպրոցում էի։
433:手	手	手	අත	මගේ අත් ඉතා සීතලයි.	கை	என் கைகள் மிகவும் குளிராக உள்ளன.	చేయి	నా చేతులు చాలా చల్లగా ఉన్నాయి.	ಕೈ	ನನ್ನ ಕೈಗಳು ತುಂಬಾ ಚಳಿಯಾಗಿವೆ.	കൈ	എന്റെ കൈകൾ വളരെ തണുപ്പാണ്.	қол	Қолдарым өте суық.	ხელი	ხელები ძალიან მცივა.	ձեռք	Ձեռքերս շատ սառն են։
435:书包	书包	书包	පාසල් බෑගය	මගේ පාසල් බෑගය ලොකුයි.	பள்ளிப்பை	என் பள்ளிப்பை பெரியது.	పాఠశాల సంచి	నా పాఠశాల సంచి పెద్దది.	ಶಾಲೆಚೀಲ	ನನ್ನ ಶಾಲೆಚೀಲ ದೊಡ್ಡದು.	സ്കൂൾബാഗ്	എന്റെ സ്കൂൾബാഗ് വലുതാണ്.	мектеп сөмкесі	Менің мектеп сөмкем үлкен.	სკოლის ჩანთა	ჩემი სკოლის ჩანთა დიდია.	դպրոցական պայուսակ	Իմ դպրոցական պայուսակը մեծ է։
438:虽然	虽然	虽然	යদিও	වැස්ස වැටුණත් මට තවමත් පිටතට යන්න ඕන.	என்றாலும்	மழை பெய்தாலும், நான் இன்னும் வெளியே செல்ல வேண்டும்.	అయినా; అయినప్పటికీ	వర్షం పడుతున్నా, నాకు ఇంకా బయటికి వెళ్లాలి.	ಆದರೂ	ಮಳೆ ಬರುತ್ತಿದ್ದರೂ, ನನಗೆ ಇನ್ನೂ ಹೊರಗೆ ಹೋಗಬೇಕು.	എങ്കിലും	മഴ പെയ്യുന്നുവെങ്കിലും എനിക്ക് ഇപ്പോഴും പുറത്തേക്ക് പോകണം.	дегенмен; болса да	Жаңбыр жауса да, мен сыртқа шығуым керек.	მიუხედავად იმისა, რომ	წვიმს, მაგრამ მაინც გარეთ გასვლა მჭირდება.	չնայած	Չնայած անձրև է գալիս, ես դեռ պետք է դուրս գնամ։
441:踢	踢	踢	පා පහර දීම; පාපන්දු ක්‍රීඩා කිරීම	ඔහු පාපන්දු ක්‍රීඩා කිරීමට කැමතියි.	உதைத்தல்	அவருக்கு கால்பந்து விளையாடப் பிடிக்கும்.	తన్నడం	అతనికి ఫుట్‌బాల్ ఆడడం ఇష్టం.	ಒದೆ; ಕಾಲಿನಿಂದ ಹೊಡೆ	ಅವನಿಗೆ ಫುಟ್ಬಾಲ್ ಆಡುವುದು ಇಷ್ಟ.	കാൽ കൊണ്ട് അടിക്കുക	അവന് ഫുട്ബോൾ കളിക്കാൻ ഇഷ്ടമാണ്.	тебу	Ол футбол ойнағанды ұнатады.	დარტყმა ფეხით	მას ფეხბურთის თამაში უყვარს.	ոտքով հարվածել	Նա սիրում է ֆուտբոլ խաղալ։
445:头	头	头	හිස	මට හිසේ වේදනාවක් තියෙනවා.	தலை	எனக்கு தலைவலி.	తల	నాకు తలనొప్పి ఉంది.	ತಲೆ	ನನಗೆ ತಲೆ ನೋವು ಇದೆ.	തല	എനിക്ക് തലവേദനയുണ്ട്.	бас	Менің басым ауырады.	თავი	თავი მტკივა.	գլուխ	Գլուխս ցավում է։
446:外国	外国	外国	විදේශ රට	ඔහු විදේශ රටක වැඩ කරනවා.	வெளிநாடு	அவர் வெளிநாட்டில் வேலை செய்கிறார்.	విదేశీ దేశం	అతను విదేశంలో పని చేస్తున్నాడు.	ವಿದೇಶಿ ದೇಶ	ಅವನು ವಿದೇಶದಲ್ಲಿ ಕೆಲಸ ಮಾಡುತ್ತಾನೆ.	വിദേശരാജ്യം	അവൻ വിദേശത്ത് ജോലി ചെയ്യുന്നു.	шетел	Ол шетелде жұмыс істейді.	უცხო ქვეყანა	ის უცხო ქვეყანაში მუშაობს.	արտասահմանյան երկիր	Նա արտասահմանում է աշխատում։
447:外面	外面	外面	පිටත	පිටත ඉතා සීතලයි.	வெளியே	வெளியே மிகவும் குளிராக உள்ளது.	బయట	బయట చాలా చల్లగా ఉంది.	ಹೊರಗೆ	ಹೊರಗೆ ತುಂಬಾ ಚಳಿ ಇದೆ.	പുറത്ത്	പുറത്ത് വളരെ തണുപ്പാണ്.	сырт	Сыртта өте суық.	გარეთ	გარეთ ძალიან ცივა.	դրսում	Դրսում շատ ցուրտ է։
450:往	往	往	දෙසට	කරුණාකර ඉදිරියට යන්න.	நோக்கி	தயவுசெய்து முன்னே செல்லுங்கள்.	వైపు	దయచేసి ముందుకు నడవండి.	ಕಡೆಗೆ	ದಯವಿಟ್ಟು ಮುಂದೆ ನಡೆದು ಹೋಗಿ.	ദിശയിലേക്ക്	ദയവായി മുന്നോട്ട് നടക്കൂ.	қарай	Алға қарай жүріңізші.	მიმართულებით	წინ იარეთ, გთხოვთ.	դեպի	Խնդրում եմ առաջ գնացեք։
451:网上	网上	网上	අන්තර්ජාලයේ; ඔන්ලයින්	මම අන්තර්ජාලයෙන් පොත් මිලදී ගන්නවා.	இணையத்தில்; ஆன்லைனில்	நான் இணையத்தில் புத்தகங்கள் வாங்குகிறேன்.	ఆన్‌లైన్‌లో; ఇంటర్నెట్‌లో	నేను ఆన్‌లైన్‌లో పుస్తకాలు కొనుగోలు చేస్తాను.	ಆನ್‌ಲೈನ್‌ನಲ್ಲಿ; ಇಂಟರ್ನೆಟ್‌ನಲ್ಲಿ	ನಾನು ಆನ್‌ಲೈನ್‌ನಲ್ಲಿ ಪುಸ್ತಕಗಳನ್ನು ಖರೀದಿಸುತ್ತೇನೆ.	ഓൺലൈനിൽ; ഇന്റർനെറ്റിൽ	ഞാൻ ഓൺലൈനിൽ പുസ്തകങ്ങൾ വാങ്ങുന്നു.	онлайн; интернетте	Мен онлайн кітап сатып аламын.	ონლაინ; ინტერნეტში	წიგნებს ონლაინ ვყიდულობ.	առցանց; ինտերնետում	Ես գրքեր եմ առցանց գնում։
452:忘	忘	忘	අමතක කිරීම	මට ඔහුගේ නම අමතක වුණා.	மறத்தல்	நான் அவருடைய பெயரை மறந்துவிட்டேன்.	మర్చిపోవడం	నేను అతని పేరు మర్చిపోయాను.	ಮರೆತುಹೋಗು	ನಾನು ಅವನ ಹೆಸರನ್ನು ಮರೆತಿದ್ದೇನೆ.	മറക്കുക	ഞാൻ അവന്റെ പേര് മറന്നു.	ұмыту	Мен оның атын ұмытып қалдым.	დავიწყება	მისი სახელი დამავიწყდა.	մոռանալ	Ես մոռացա նրա անունը։
458:下来	下来	下来	පහළට පැමිණීම	කරුණාකර පහළට එන්න.	கீழே வருதல்	தயவுசெய்து கீழே வாருங்கள்.	కిందికి రావడం	దయచేసి కిందికి రండి.	ಕೆಳಗೆ ಬಾ	ದಯವಿಟ್ಟು ಕೆಳಗೆ ಬನ್ನಿ.	താഴേക്ക് വരുക	ദയവായി താഴേക്ക് വരൂ.	төмен түсу; төмен келу	Төмен түсіңізші.	ქვემოთ ჩამოსვლა	ქვემოთ ჩამოდით, გთხოვთ.	ներքև գալ	Խնդրում եմ ներքև եկեք։
459:下面	下面	下面	පහළ; යට	බළලා මේසය යට ඉන්නවා.	கீழே; அடியில்	பூனை மேசையின் அடியில் உள்ளது.	కింద; క్రింద	పిల్లి బల్ల కింద ఉంది.	ಕೆಳಗೆ; ಅಡಿಯಲ್ಲಿ	ಬೆಕ್ಕು ಮೇಜಿನ ಕೆಳಗೆ ಇದೆ.	താഴെ; അടിയിൽ	പൂച്ച മേശയുടെ അടിയിലാണ്.	асты; төмен	Мысық үстелдің астында.	ქვემოთ; ქვეშ	კატა მაგიდის ქვეშ არის.	ներքև; տակ	Կատուն սեղանի տակ է։
460:下去	下去	下去	පහළට යාම	අපි පහළට යමු.	கீழே செல்லுதல்	நாம் கீழே செல்லலாம்.	కిందికి వెళ్లడం	మనం కిందికి వెళ్దాం.	ಕೆಳಗೆ ಹೋಗು	ನಾವು ಕೆಳಗೆ ಹೋಗೋಣ.	താഴേക്ക് പോകുക	നമുക്ക് താഴേക്ക് പോകാം.	төмен түсу; төмен бару	Төмен түсейік.	ქვემოთ ჩასვლა	ქვემოთ ჩავიდეთ.	ներքև գնալ	Եկեք ներքև գնանք։
461:小孩儿	小孩儿	小孩儿	දරුවා	දරුවා බෝලයක් එක්ක සෙල්ලම් කරනවා.	குழந்தை	குழந்தை பந்துடன் விளையாடுகிறது.	పిల్లవాడు; పిల్ల	పిల్లవాడు బంతితో ఆడుతున్నాడు.	ಮಗು	ಮಗು ಚೆಂಡಿನಿಂದ ಆಡುತ್ತಿದೆ.	കുട്ടി	കുട്ടി പന്തുമായി കളിക്കുന്നു.	бала	Бала доппен ойнап жүр.	ბავშვი	ბავშვი ბურთით თამაშობს.	երեխա	Երեխան գնդակով է խաղում։
462:小时候	小时候	小时候	කුඩා කාලයේදී	මම කුඩා කාලයේදී බෙයිජිංහි ජීවත් වුණා.	சிறுவயதில்	நான் சிறுவயதில் பெய்ஜிங்கில் வாழ்ந்தேன்.	చిన్నప్పుడు	నేను చిన్నప్పుడు బీజింగ్‌లో ఉండేవాడిని.	ಚಿಕ್ಕವನಾಗಿದ್ದಾಗ	ನಾನು ಚಿಕ್ಕವನಾಗಿದ್ದಾಗ ಬೀಜಿಂಗ್‌ನಲ್ಲಿ ವಾಸಿಸಿದ್ದೆ.	കുട്ടിയായിരുന്നപ്പോൾ	ഞാൻ കുട്ടിയായിരുന്നപ്പോൾ ബെയ്ജിംഗിൽ താമസിച്ചിരുന്നു.	бала кезде	Мен бала кезімде Бейжіңде тұрдым.	ბავშვობაში	ბავშვობაში პეკინში ვცხოვრობდი.	փոքր ժամանակ	Փոքր ժամանակ ես Պեկինում էի ապրում։
465:姓名	姓名	姓名	සම්පූර්ණ නම	කරුණාකර ඔබේ සම්පූර්ණ නම ලියන්න.	முழுப் பெயர்	தயவுசெய்து உங்கள் முழுப் பெயரை எழுதுங்கள்.	పూర్తి పేరు	దయచేసి మీ పూర్తి పేరు రాయండి.	ಪೂರ್ಣ ಹೆಸರು	ದಯವಿಟ್ಟು ನಿಮ್ಮ ಪೂರ್ಣ ಹೆಸರನ್ನು ಬರೆಯಿರಿ.	പൂർണ്ണ പേര്	ദയവായി നിങ്ങളുടെ പൂർണ്ണ പേര് എഴുതുക.	толық аты-жөні	Толық аты-жөніңізді жазыңызшы.	სრული სახელი	თქვენი სრული სახელი დაწერეთ, გთხოვთ.	լրիվ անուն	Խնդրում եմ գրեք ձեր լրիվ անունը։
469:药店	药店	药店	ඖෂධහල	ඖෂධහල රෝහල ළඟ තියෙනවා.	மருந்தகம்	மருந்தகம் மருத்துவமனைக்கு அருகில் உள்ளது.	మందుల దుకాణం	మందుల దుకాణం ఆసుపత్రి పక్కన ఉంది.	ಔಷಧಿ ಅಂಗಡಿ	ಔಷಧಿ ಅಂಗಡಿ ಆಸ್ಪತ್ರೆಯ ಪಕ್ಕದಲ್ಲಿದೆ.	മരുന്നുകട	മരുന്നുകട ആശുപത്രിയുടെ അടുത്താണ്.	дәріхана	Дәріхана аурухананың жанында.	აფთიაქი	აფთიაქი საავადმყოფოს გვერდითაა.	դեղատուն	Դեղատունը հիվանդանոցի կողքին է։
477:游	游	游	පිහිනීම	මාළු ජලයේ පිහිනනවා.	நீந்துதல்	மீன் தண்ணீரில் நீந்துகிறது.	ఈత కొట్టడం	చేప నీటిలో ఈదుతోంది.	ಈಜು	ಮೀನು ನೀರಿನಲ್ಲಿ ಈಜುತ್ತಿದೆ.	നീന്തുക	മീൻ വെള്ളത്തിൽ നീന്തുന്നു.	жүзу	Балық суда жүзіп жүр.	ცურვა	თევზი წყალში ცურავს.	լողալ	Ձուկը ջրում է լողում։
479:有意思	有意思	有意思	රසවත්; සිත්ගන්නා	මේ පොත ඉතා සිත්ගන්නාසුළුයි.	சுவாரஸ்யமானது	இந்த புத்தகம் மிகவும் சுவாரஸ்யமானது.	ఆసక్తికరం	ఈ పుస్తకం చాలా ఆసక్తికరంగా ఉంది.	ಆಸಕ್ತಿಕರ	ಈ ಪುಸ್ತಕ ತುಂಬಾ ಆಸಕ್ತಿಕರವಾಗಿದೆ.	രസകരം	ഈ പുസ്തകം വളരെ രസകരമാണ്.	қызық	Бұл кітап өте қызық.	საინტერესო	ეს წიგნი ძალიან საინტერესოა.	հետաքրքիր	Այս գիրքը շատ հետաքրքիր է։
480:有时	有时	有时	සමහර වෙලාවට	මම සමහර වෙලාවට බස් රථයෙන් පාසලට යනවා.	சில சமயம்	நான் சில சமயம் பேருந்தில் பள்ளிக்குச் செல்கிறேன்.	కొన్నిసార్లు	నేను కొన్నిసార్లు బస్సులో పాఠశాలకు వెళ్తాను.	ಕೆಲವೊಮ್ಮೆ	ನಾನು ಕೆಲವೊಮ್ಮೆ ಬಸ್ಸಿನಲ್ಲಿ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ.	ചിലപ്പോൾ	ഞാൻ ചിലപ്പോൾ ബസിൽ സ്കൂളിലേക്ക് പോകുന്നു.	кейде	Мен кейде мектепке автобуспен барамын.	ზოგჯერ	სკოლაში ზოგჯერ ავტობუსით მივდივარ.	երբեմն	Ես երբեմն դպրոց ավտոբուսով եմ գնում։
