simplified	AZ	example_AZ
划	avar çəkmək	Qayıqda olanda avar çəkmək onun vəzifəsidir.
化学	kimya	O, universitetdə kimya oxuyub.
话题	mövzu	Bu mövzu çox maraqlıdır.
怀念	darıxmaq; həsrətlə xatırlamaq	Mən universitet həyatım üçün çox darıxıram.
怀孕	hamilə olmaq	O, üç aylıq hamilədir.
缓解	yüngülləşdirmək	İstirahət stressi yüngülləşdirə bilər.
幻想	xəyal etmək	O, tez-tez kosmosa səyahət etməyi xəyal edir.
慌张	təşvişə düşmək	Problem olanda təşvişə düşmə.
黄金	qızıl	Qızılın qiyməti yenə qalxdı.
恢复	bərpa olmaq	Onun sağlamlığı bərpa olunur.
挥	əl yelləmək	O, əlini yellədi.
灰	boz	Göy boz rəngdədir.
灰尘	toz	Stolun üstündə çox toz var.
灰心	ruhdan düşmək	Uğursuz olsan da, ruhdan düşmə.
汇率	məzənnə	Bu günkü məzənnə nə qədərdir?
婚礼	toy	Onların toyu çox sadə oldu.
婚姻	nikah; evlilik	Evlilik qarşılıqlı anlayış tələb edir.
活跃	fəal	O, dərsdə çox fəaldır.
伙伴	tərəfdaş; yoldaş	O, mənim ən yaxşı yoldaşımdır.
火柴	kibrit	Qutuda yalnız bir kibrit qalıb.
或许	bəlkə	Bəlkə sabah yağış yağacaq.
基本	əsas	Bunlar əsas tələblərdir.
机器	maşın; qurğu	Bu qurğu xarabdır.
激烈	gərgin; şiddətli	Yarış çox gərgin keçdi.
肌肉	əzələ	İdmandan sonra əzələlərim bir az ağrıyır.
及格	imtahandan keçmək	O, bu imtahandan keçdi.
急忙	tələsik	O, tələsik sinifdən qaçıb çıxdı.
急诊	təcili yardım şöbəsi	Xəstə təcili yardım şöbəsinə aparıldı.
极其	son dərəcə	Bu məsələ son dərəcə vacibdir.
集合	toplaşmaq	Zəhmət olmasa, saat səkkizdə girişdə toplaşın.
集体	kollektiv; qrup	Bu, qrup fəaliyyətidir.
集中	cəmləşdirmək	Dərsdə diqqəti cəmləşdirmək lazımdır.
寂寞	tənha	Tək yaşamaq bəzən insanı tənha edir.
系领带	qalstuk taxmaq	O, hər gün işə getməzdən əvvəl qalstuk taxır.
纪录	rekord	O, məktəbin rekordunu qırdı.
纪律	intizam	Sinif intizamı çox vacibdir.
纪念	xatırlamaq; yadigar saxlamaq	Bu günü xatırlamaq üçün şəkil çəkdirdik.
计算	hesablamaq	Zəhmət olmasa, ümumi xərci hesablayın.
记录	qeyd etmək	Zəhmət olmasa, iclasın məzmununu qeyd edin.
记忆	xatirə; yaddaş	Bu xatirə çox dəyərlidir.
嘉宾	fəxri qonaq	Bu günkü qonaq bir yazıçıdır.
夹子	sıxac	Zəhmət olmasa, sənədləri sıxacla tutun.
家庭	ailə	Ailə uşaqlar üçün çox vacibdir.
家务	ev işi	Həftəsonu ev işləri görməliyəm.
家乡	doğma yer	Mən doğma yerim üçün çox darıxıram.
假如	əgər	Əgər sabah yağış yağsa, getməyəcəyik.
假设	fərz etmək	Fərz et ki, müəllimsən, nə edərdin?
假装	özünü elə göstərmək	O, eşitməmiş kimi davrandı.
甲	A tərəfi	A tərəfi vaxtında ödəniş etməlidir.
价值	dəyər	Bu kitab çox dəyərlidir.
嫁	ərə getmək	O, gələn il sevgilisinə ərə gedəcək.
驾驶	sürmək	Maşın sürərkən ehtiyatlı sür.
兼职	əlavə iş; yarımştat iş	O, axşamlar əlavə iş görür.
坚决	qəti	O, bu qərarla qətiyyən razı deyil.
坚强	güclü; möhkəm	O, güclü insandır.
肩膀	çiyin	Onun çiyini zədələnib.
艰巨	çətin; ağır	Bu, çox çətin tapşırıqdır.
艰苦	ağır; məşəqqətli	Onlar ağır həyat yaşayıblar.
剪刀	qayçı	Zəhmət olmasa, qayçını mənə uzat.
捡	götürmək	O, yerdəki pul kisəsini götürdü.
简历	tərcümeyi-hal	İşə müraciət etməzdən əvvəl tərcümeyi-hal hazırlamaq lazımdır.
简直	sadəcə; lap	Bu xəbər adamı lap təəccübləndirir.
健身	idman etmək	O, həftədə üç dəfə idman edir.
建立	qurmaq; yaratmaq	Biz yeni münasibət qurduq.
建设	quruculuq; tikinti	Şəhər quruculuğu sürətlə inkişaf edir.
建筑	bina	Bu binanın özünəməxsus xüsusiyyəti var.
键盘	klaviatura	Mənim klaviaturamı təmizləmək lazımdır.
讲究	diqqət yetirmək	Çinlilər yeməyə çox diqqət yetirirlər.
讲座	mühazirə	Bu axşam Çin dili üzrə mühazirə var.
酱油	soya sousu	Yeməyə bir az soya sousu əlavə et.
交换	mübadilə etmək	Biz telefon nömrələrimizi mübadilə etdik.
交际	ünsiyyət	Dil öyrənəndə ünsiyyəti də məşq etmək lazımdır.
交往	münasibətdə olmaq; görüşmək	Onlar iki ildir görüşürlər.
浇	sulamaq	Zəhmət olmasa, gülləri hər gün sula.
胶水	yapışqan	Mən şəkli yapışdırmaq üçün yapışqan istifadə etdim.
狡猾	hiyləgər	O tülkü çox hiyləgərdir.
角度	bucaq; baxış nöqtəsi	Gəlin problemə başqa bucaqdan baxaq.
教材	dərslik	Bu dərslik çox praktikdir.
教练	məşqçi	Məşqçi bizdən vaxtında gəlməyi tələb edir.
教训	dərs; ibrət	Bu uğursuzluq bir dərsdir.
接触	təmas; tanışlıq	Bu, Çin mədəniyyəti ilə ilk tanışlığımdır.
接待	qəbul etmək	Şirkət qonaqları qəbul etmək üçün xüsusi adam ayırdı.
接近	yaxınlaşmaq	Yaz bayramı getdikcə yaxınlaşır.
结实	möhkəm	Bu çamadan çox möhkəmdir.
阶段	mərhələ	Təhsil üç mərhələyə bölünür.
结构	quruluş	Bu məqalənin quruluşu aydındır.
结合	birləşdirmək; əlaqələndirmək	Öyrənməni təcrübə ilə birləşdirmək lazımdır.
结论	nəticə; yekun	Onun nəticəsi çox inandırıcıdır.
结账	hesabı ödəmək	Yeməkdən sonra hesabı ödəməyə getdik.
节省	qənaət etmək	Metroya minmək vaxta qənaət edə bilər.
借口	bəhanə	Daha bəhanə axtarma.
届	dəfə; buraxılış	Bu, üçüncü yarışdır.
戒	tərgitmək; xəbərdar etmək	Həkim ona siqareti tərgitməyi məsləhət gördü.
戒指	üzük	O, bir üzük taxıb.
金属	metal	Dəmir bir metal növüdür.
尽快	mümkün qədər tez	Zəhmət olmasa, məktuba mümkün qədər tez cavab verin.
紧急	təcili	Bu, təcili vəziyyətdir.
谨慎	ehtiyatlı	İnvestisiya etməzdən əvvəl ehtiyatlı olmaq lazımdır.
尽力	əlindən gələni etmək	Mən sənə kömək etmək üçün əlimdən gələni edəcəyəm.
尽量	mümkün qədər	Zəhmət olmasa, mümkün qədər tez gəl.
近代	yaxın dövr; yeni dövr	Yeni dövr Çində çox dəyişiklik baş verdi.
进步	irəliləyiş; yaxşılaşmaq	Onun Çin dili sürətlə yaxşılaşır.
进口	idxal edilmiş	Bu maşın idxal edilib.
精力	enerji	Uşaqların enerjisi çoxdur.
精神	ruh; əhval	O, bu gün yaxşı əhvaldadır.
经典	klassik	Bu, klassik filmdir.
经商	ticarətlə məşğul olmaq	Onun atası xaricdə ticarətlə məşğuldur.
经营	idarə etmək; işlətmək	O, kiçik bir mağaza işlədir.
酒吧	bar; meyxana	Axşam onlar bara getdilər.
救	xilas etmək	Həkim onun həyatını xilas etdi.
救护车	təcili yardım maşını	Təcili yardım maşını tez gəldi.
舅舅	dayı	Dayım Nankində yaşayır.
居然	gözlənilmədən; hətta	O, hətta öz ad gününü unutdu.
桔子	naringi	Stolun üstündə bir neçə naringi var.
俱乐部	klub	O, üzgüçülük klubuna qoşuldu.
具备	malik olmaq	Onun idarəetmə təcrübəsi var.
具体	konkret	Zəhmət olmasa, bir az daha konkret danış.
巨大	nəhəng	Bu layihə nəhəng sərmayə tələb edir.
据说	deyilənə görə	Deyilənə görə, o artıq ölkəsinə qayıdıb.
捐	ianə vermək	Hamı pul ianə verməyə hazırdır.
决赛	final	Sabah futbol finalıdır.
决心	qətiyyət	O, Çin dilini yaxşı öyrənməyə qəti qərar verdi.
绝对	mütləq	Bu məsələni mütləq unutmaq olmaz.
角色	rol	O, filmdə mühüm rol oynayır.
军事	hərbi	O, hərbi tarixlə çox maraqlanır.
均匀	bərabər; bircür	Zəhmət olmasa, rəngi bərabər çəkin.
卡车	yük maşını	Girişdə bir yük maşını dayanıb.
开发	inkişaf etdirmək; hazırlamaq	Şirkət yeni məhsul hazırlayır.
开放	açılmaq; açıq olmaq	Park hər səhər saat altıda açılır.
开幕式	açılış mərasimi	Açılış mərasimi sabah axşam keçiriləcək.
开水	qaynanmış su	Zəhmət olmasa, mənə bir stəkan qaynanmış su ver.
砍	kəsmək	Fəhlə budaqları kəsir.
看不起	yuxarıdan baxmaq	Heç kimə yuxarıdan baxma.
看望	yoluxmaq; baş çəkmək	Həftəsonu nənə-babama baş çəkməyə gedəcəyəm.
靠	söykənmək	O, dincəlmək üçün divara söykəndi.
颗	kiçik dənə üçün say sözü	Gecə səmasında bir ulduz var.
可见	görünür; aydındır	Görünür, bu üsul çox təsirlidir.
可靠	etibarlı	O, etibarlı dostdur.
可怕	qorxulu	Bu yuxu çox qorxulu idi.
克	qram	Zəhmət olmasa, iki qram duz əlavə edin.
克服	öhdəsindən gəlmək	Biz çətinliklərin öhdəsindən gəlməliyik.
刻苦	çalışqan	O, çox çalışqan oxuyur.
客观	obyektiv	Zəhmət olmasa, problemi obyektiv təhlil edin.
课程	kurs; dərs	Bu kurs çox faydalıdır.
空间	məkan; yer	Bu otaqda çox yer var.
控制	nəzarət etmək	Sürücü maşının sürətinə nəzarət etdi.
空闲	boş vaxt	Sabah günortadan sonra boş vaxtın var?
口味	dad; zövq	Onun dadı nisbətən yüngüldür.
夸	tərifləmək	Müəllim onu böyük irəliləyişinə görə təriflədi.
夸张	şişirtmək; şişirdilmiş	Onun üz ifadəsi bir az şişirdilmişdir.
会计	mühasib	O, şirkətdə mühasib işləyir.
宽	geniş	Bu yol çox genişdir.
昆虫	həşərat	Uşaqlar həşəratları müşahidə edirlər.
扩大	genişləndirmək	Məktəb kitabxananı genişləndirməyi planlaşdırır.
辣椒	acı bibər	Yeməyə çox acı bibər əlavə olunub.
拦	saxlamaq; qarşısını kəsmək	Polis bir maşını saxladı.
烂	çürümək; əzilmiş	Bu alma artıq çürüyüb.
朗读	ucadan oxumaq	Zəhmət olmasa, mətni ucadan oxu.
劳动	əmək	Əmək insana dolğunluq hissi verir.
劳驾	bağışlayın	Bağışlayın, metro stansiyası haradadır?
姥姥	ana nənə	Ana nənəm çox dadlı yemək bişirir.
老百姓	sadə xalq	Sadə xalq yaşayış xərclərinə önəm verir.
老板	müdir	Müdir bu gün ofisdə deyil.
老婆	arvad	O, arvadına gül aldı.
老实	dürüst; səmimi	O, dürüst adamdır.
老鼠	siçan	Mətbəxdə bir siçan var.
乐观	nikbin	O, gələcəyə nikbin baxır.
雷	göy gurultusu	Dünən gecə göy gurultusu çox güclü idi.
类型	növ; janr	Bu cür film hansı janra aiddir?
冷淡	soyuq; laqeyd	Onun münasibəti bir az soyuqdur.
厘米	santimetr	Bu qələm on beş santimetr uzunluğundadır.
梨	armud	Mən bir neçə armud aldım.
离婚	boşanmaq	Onlar keçən il boşandılar.
理论	nəzəriyyə	Bu nəzəriyyə çox mürəkkəbdir.
理由	səbəb	Gecikməyin üçün nə səbəb var?
利润	mənfəət	Bu il şirkətin mənfəəti artdı.
利息	faiz	Bank faizi yüksək deyil.
利益	mənafe; fayda	Biz hamının mənafeyini qorumalıyıq.
利用	istifadə etmək	O, həftəsonundan Çin dili öyrənmək üçün istifadə edir.
力量	güc	Birlik gücdür.
立即	dərhal	Zəhmət olmasa, buradan dərhal çıxın.
立刻	dərhal	Xəbəri eşidəndən sonra o, dərhal yola düşdü.
联合	birləşmək; birlikdə	İki şirkət məhsulu birlikdə hazırladı.
连忙	tez; dərhal	Telefonun səsini eşidib dərhal götürdü.
连续	ardıcıl	O, ardıcıl on saat işləyib.
恋爱	sevgi münasibəti	Onlar sevgi münasibətindədirlər.
粮食	taxıl; ərzaq	Bu il taxıl istehsalı artdı.
良好	yaxşı; əlverişli	Onun yaxşı oxuma vərdişləri var.
亮	parlaq	Otaqdakı işıq çox parlaqdır.
了不起	möhtəşəm; əla	O, möhtəşəm nəticələr əldə etdi.
列车	qatar	Qatar indi yola düşəcək.
临时	müvəqqəti	Bu, müvəqqəti qərardır.
灵活	çevik; elastik	Öyrənmə üsulu çevik olmalıdır.
铃	zəng	Dərs zəngi çaldı.
零件	hissə; detal	Maşında bir detal çatışmır.
零食	qəlyanaltı	Uşaqlar qəlyanaltı yeməyi sevirlər.
领导	rəhbər	Rəhbər iclasdadır.
领域	sahə	O, təhsil sahəsində işləyir.
流传	yayılmaq; nəsildən-nəslə keçmək	Bu hekayə uzun müddətdir yayılıb.
流泪	ağlamaq; göz yaşı tökmək	Bu xəbəri eşidəndə o ağladı.
浏览	gözdən keçirmək	Əvvəlcə veb-səhifəni gözdən keçirəcəyəm.
龙	əjdaha	Çin mədəniyyətində əjdaha var.
漏	sızmaq; axmaq	Damdan yağış suyu axır.
录取	qəbul etmək; qəbul olunmaq	O, universitetə qəbul olundu.
录音	səs yazmaq	Zəhmət olmasa, səs yazmağa başlayın.
陆地	quru; quru torpaq	Dəniz tısbağası quruya çıxdı.
陆续	ard-arda; bir-bir	Qonaqlar ard-arda gəldilər.
轮流	növbə ilə	Biz sinfi növbə ilə təmizləyirik.
论文	dissertasiya; elmi iş	O, buraxılış işini yazır.
逻辑	məntiq	Onun məntiqi çox aydındır.
落后	geri qalmaq	Biz başqalarından geri qalmamalıyıq.
骂	danlamaq	Zəhmət olmasa, uşağı danlama.
麦克风	mikrofon	Zəhmət olmasa, mikrofonu ona uzat.
馒头	buxarda bişmiş çörək	Səhər yeməyində bir buxarda bişmiş çörək yedim.
满足	qane etmək; tələbi ödəmək	Bu cavab tələbləri ödəmir.
毛病	problem; nasazlıq	Bu kompüterdə bir az nasazlıq var.
矛盾	ziddiyyət	Onların arasında bəzi ziddiyyətlər var.
冒险	risk etmək	Oraya tək getmək çox risklidir.
贸易	ticarət	Beynəlxalq ticarət sürətlə inkişaf edir.
媒体	kütləvi informasiya vasitələri	Kütləvi informasiya vasitələri bu hadisəni xəbər verdi.
煤炭	kömür	Bu bölgədə kömür istehsal olunur.
眉毛	qaş	Onun qaşları qalındır.
美术	təsviri incəsənət	Bacım təsviri incəsənəti sevir.
魅力	cazibə	Bu şəhərin çox cazibəsi var.
梦想	arzu	Onun arzusu həkim olmaqdır.
密切	yaxın	Biz yaxın əlaqə saxlayırıq.
秘密	sirr	Bu bizim sirrimizdir.
秘书	katib	Katib iclas vaxtını təyin etdi.
蜜蜂	arı	Çiçəklərin arasında çox arı var.
面对	üzləşmək	Biz çətinliklərlə cəsarətlə üzləşməliyik.
面积	sahə	Bu otağın sahəsi böyük deyil.
面临	qarşılaşmaq	Şirkət yeni çətinliklərlə qarşılaşır.
描写	təsvir etmək	Müəllif kənd həyatını təsvir etdi.
苗条	zərif; incə	Onun bədəni çox zərifdir.
敏感	həssas	Bu mövzu nisbətən həssasdır.
名牌	məşhur marka	O, məşhur marka saat aldı.
名片	vizit kartı	Zəhmət olmasa, mənə bir vizit kartı ver.
名胜古迹	tarixi və görməli yerlər	Pekində çoxlu tarixi və görməli yerlər var.
明确	aydın etmək; dəqiq	Müəllim tələbləri aydın izah etdi.
明显	aşkar; aydın	Onun irəliləyişi aşkar görünür.
明星	ulduz; məşhur	O, kino ulduzu olmaq istəyir.
命令	əmr	Əsgərlər əmrlərə tabe olmalıdırlar.
命运	tale	O, taleyi dəyişdirməyin mümkün olduğuna inanır.
摸	toxunmaq	Zəhmət olmasa, bu rəsmə toxunma.
摩托车	motosiklet	O, işə motosikletlə gedir.
模仿	təqlid etmək	Uşaqlar böyüklərin danışığını təqlid etməyi sevirlər.
模糊	bulanıq	Bu şəkil bir az bulanıqdır.
模特	model	O, geyim modelidir.
陌生	yad; tanış olmayan	Bu şəhər mənə çox yaddır.
某	müəyyən bir	Mənə müəyyən bir müəllim zəng etdi.
木头	ağac; taxta	Bu stol taxtadan hazırlanıb.
目标	məqsəd	Məqsədim imtahandan keçməkdir.
目录	mündəricat	Zəhmət olmasa, əvvəl kitabın əvvəlindəki mündəricata bax.
目前	hazırda	Hazırda vəziyyət nisbətən sabitdir.
哪怕	hətta	Hətta çox məşğul olsa da, o oxumağa davam edir.
难怪	təəccüblü deyil	Təəccüblü deyil ki, bu gün çox sevinclisən.
难免	qaçılmazdır	İlk dəfə edəndə səhv etmək qaçılmazdır.
脑袋	baş	Onun başı bir az ağrıyır.
内部	daxili	Bu, şirkətin daxili sənədidir.
内科	daxili xəstəliklər şöbəsi	O, bu gün daxili xəstəliklər şöbəsinə gedir.
嫩	yumşaq; zərif	Bu ət parçası çox yumşaqdır.
能干	bacarıqlı	O, çox bacarıqlı insandır.
能源	enerji mənbəyi	Günəş enerjisi təmiz enerji mənbəyidir.
嗯	hə; hm	Hə, başa düşdüm.
年代	dövr; illər	Bu şəkil səksəninci illərdə çəkilib.
年纪	yaş	O çox yaşlı deyil, amma təcrübəsi çoxdur.
念	ucadan oxumaq	Zəhmət olmasa, mətni bir dəfə ucadan oxu.
宁可	üstün tutmaq	Avtobus gözləməkdənsə, piyada getməyi üstün tuturam.
牛仔裤	cins şalvar	O, cins şalvar geyinib.
农村	kənd	O, kənddə böyüyüb.
农民	fermer; kəndli	Fermerlər tarlada işləyirlər.
农业	kənd təsərrüfatı	Kənd təsərrüfatı bu bölgə üçün çox vacibdir.
浓	tünd; qatı	Bu qəhvə çox tünddür.
女士	xanım	O xanım avtobus gözləyir.
欧洲	Avropa	O, gələn ay Avropaya səyahət edəcək.
偶然	təsadüfən	Mən köhnə sinif yoldaşımla təsadüfən rastlaşdım.
拍	şəkil çəkmək	Zəhmət olmasa, mənim bir şəklimi çək.
派	göndərmək	Şirkət onu Şanxaya ezamiyyətə göndərdi.
盼望	səbirsizliklə gözləmək	Səni tezliklə görməyi səbirsizliklə gözləyirəm.
培训	təlim	Yeni işçilər təlimdə iştirak etməlidirlər.
培养	yetişdirmək; inkişaf etdirmək	Məktəb şagirdlərin bacarıqlarını inkişaf etdirməyə önəm verir.
赔偿	kompensasiya ödəmək	Şirkət zərəri kompensasiya etməyə razılaşdı.
佩服	heyran olmaq	Mən onun cəsarətinə çox heyranam.
配合	əməkdaşlıq etmək	Zəhmət olmasa, hamı müəllimin planı ilə əməkdaşlıq etsin.
盆	gül qabı	Balkonda bir gül qabı var.
碰	toxunmaq; dəymək	Ehtiyatlı ol, isti suya toxunma.
批	partiya	Bu mal partiyası bu gün gəldi.
批准	təsdiq etmək	Menecer bu planı təsdiq etdi.
披	çiyninə salmaq	O, çiyninə palto salıb.
疲劳	yorğunluq	Uzun müddət işləmək yorğunluq yaradır.
匹	baş	Çəmənlikdə bir at var.
片	dilim	Xahiş edirəm, mənə bir dilim çörək verin.
片面	birtərəfli	Bu baxış çox birtərəflidir.
飘	süzülmək	Qar dənələri havada süzülür.
拼音	pinyin	Xahiş edirəm, Çin iyerogliflərinin yanında pinyin yazın.
频道	kanal	Xahiş edirəm, xəbər kanalına keçin.
凭	əsasında; ilə	Biletlə içəri girmək olar.
平均	orta hesabla	Orta hesabla hər kəs on yuan xərclədi.
平	düz	Bu yol çox düzdür.
平安	salamatlıq	Sənə salamat yol arzulayıram.
平常	adətən	O, adətən çox az gecikir.
平等	bərabər	Hər kəsə bərabər münasibət göstərilməlidir.
平方	kvadrat	Bu otaq iyirmi kvadrat metrdir.
平衡	tarazlıq	İş və həyat arasında tarazlıq lazımdır.
平静	sakit	Gölün səthi çox sakitdir.
评价	qiymətləndirmə	Müəllim çox yüksək qiymətləndirmə verdi.
破产	müflis olmaq	O şirkət keçən il müflis oldu.
破坏	zərər vurmaq	Xahiş edirəm, ictimai əmlaka zərər vurmayın.
迫切	təcili	Bizim təcili olaraq daha çox həkimə ehtiyacımız var.
期待	səbirsizliklə gözləmək	Mən bu səfəri səbirsizliklə gözləyirəm.
期间	müddət	İclas zamanı telefonunuzu söndürün.
其余	qalan	Qalan məsələlər sabah müzakirə olunacaq.
奇迹	möcüzə	Həkim bunun möcüzə olduğunu dedi.
企业	müəssisə	Bu müəssisə sürətlə inkişaf edir.
启发	ilham	Bu kitab mənə çox ilham verdi.
气氛	ab-hava	Sinifdə ab-hava çox rahatdır.
汽油	benzin	Avtomobilə benzin lazımdır.
签	imza atmaq	Xahiş edirəm, burada imza atın.
谦虚	təvazökar	O, çox bacarıqlıdır və həm də təvazökardır.
前途	perspektiv	Bu ixtisasın yaxşı perspektivi var.
浅	dayaz	Bu çay çox dayazdır.
欠	borclu olmaq	O mənə hələ iyirmi yuan borcludur.
枪	silah	Polis əməkdaşının əlində silah var.
墙	divar	Divarda bir rəsm asılıb.
强调	vurğulamaq	Müəllim təhlükəsizlik məsələsini vurğuladı.
强烈	güclü	Onun güclü məsuliyyət hissi var.
抢	üstündə dalaşmaq	Başqaları ilə yer üstündə dalaşmayın.
悄悄	sakitcə	O, otağa sakitcə girdi.
瞧	baxmaq	Bax, çöldə qar yağır.
巧妙	ağıllı	Bu üsul çox ağıllıdır.
切	doğramaq	Xahiş edirəm, meyvəni kiçik tikələrə doğrayın.
亲爱	əziz	Əziz dostum, təşəkkür edirəm.
亲切	mehriban	Müəllim çox mehriban danışır.
亲自	şəxsən	Menecer qonaqları şəxsən qarşıladı.
勤奋	zəhmətkeş	Zəhmətkeş insanlar daha asan uğur qazanırlar.
清淡	yüngül	Mən yüngül yeməkləri xoşlayıram.
轻视	əhəmiyyətsiz saymaq	Bu kiçik problemi əhəmiyyətsiz saymayın.
轻易	asanlıqla	O, asanlıqla təslim olmayacaq.
青	göyümtül	Bu paltar göyümtül rəngdədir.
青春	gənclik	Gənclik qiymətlidir.
青少年	yeniyetmə	Yeniyetmələrin kifayət qədər yuxuya ehtiyacı var.
情景	səhnə	Filmdəki səhnə çox təsirlidir.
情绪	əhval-ruhiyyə	Onun əhval-ruhiyyəsi çox sabit deyil.
请求	xahiş	O, bir xahiş etdi.
庆祝	qeyd etmək	Biz onun ad gününü qeyd etdik.
球迷	azarkeş	Bir çox azarkeş oyunu izləməyə gəldi.
趋势	tendensiya	Bu tendensiya getdikcə daha aydın olur.
取消	ləğv etmək	Yağışa görə tədbir ləğv edildi.
娶	evlənmək	O, gələn il onunla evlənməyi planlaşdırır.
去世	vəfat etmək	Onun babası keçən il vəfat etdi.
圈	dairə	Xahiş edirəm, düzgün cavabı dairəyə alın.
全面	hərtərəfli	Biz vəziyyəti hərtərəfli başa düşməliyik.
权利	hüquq	Hər kəsin təhsil almaq hüququ var.
权力	hakimiyyət	Hakimiyyət nəzarət altında olmalıdır.
劝	məsləhət vermək	Dostum mənə daha tez dincəlməyi məsləhət gördü.
缺乏	çatışmamaq	Bu bölgədə təmiz su çatışmır.
确定	müəyyən etmək	Mən vaxtı hələ müəyyən edə bilmirəm.
确认	təsdiqləmək	Xahiş edirəm, ünvanınızı təsdiqləyin.
群	qrup	Bir qrup uşaq meydançada oynayır.
燃烧	yanmaq	Odun yanır.
绕	dolanmaq	Biz gölün ətrafında bir dövrə gəzdik.
热爱	çox sevmək	O, öz işini çox sevir.
热烈	hərarətli	Hamı qonaqları hərarətlə qarşıladı.
热心	qayğıkeş	Qonşuların hamısı çox qayğıkeşdir.
人才	istedadlı kadr	Şirkətə daha çox istedadlı kadr lazımdır.
人口	əhali	Bu şəhərin əhalisi çox böyükdür.
人类	bəşəriyyət	Bəşəriyyət Yer kürəsini qorumalıdır.
人民币	Çin yuanı	Mən bir qədər Çin yuanına pul dəyişdim.
人生	həyat	Həyatda çox seçim var.
人事	kadrlar şöbəsi	O, kadrlar şöbəsində işləyir.
人物	obraz	Romandakı obrazlar çox real görünür.
人员	işçi heyəti	İşçi heyəti artıq tam gəlib.
忍不住	özünü saxlaya bilməmək	Lətifəni eşidəndə özünü saxlamayıb güldü.
日常	gündəlik	Bu mənim gündəlik işimdir.
日程	cədvəl	Bugünkü cədvəl çox doludur.
日历	təqvim	Divarda bir təqvim asılıb.
日期	tarix	Xahiş edirəm, tarixi aydın yazın.
日用品	gündəlik əşyalar	Supermarketdə çoxlu gündəlik əşyalar satılır.
日子	günlər	Bu günlərdə o çox məşğuldur.
如何	necə	Bu problemi necə həll etməliyik?
如今	indi	İndi nəqliyyat xeyli rahatlaşıb.
软	yumşaq	Bu çarpayı çox yumşaqdır.
软件	proqram təminatı	Bu proqram təminatından istifadə etmək asandır.
弱	zəif	Onun bədəni nisbətən zəifdir.
洒	tökmək	O, ehtiyatsızlıqdan suyu tökdü.
嗓子	boğaz	Boğazım bir az ağrıyır.
色彩	rənglər	Bu rəsmin rəngləri çox zəngindir.
杀	öldürmək	Bu filmdə adam öldürmə səhnələri yoxdur.
沙漠	səhra	Səhrada su çox qiymətlidir.
沙滩	çimərlik	Uşaqlar çimərlikdə oynayırlar.
傻	axmaq	Axmaq iş görmə.
晒	günəşdə qurutmaq	Paltarlar balkonda günəşdə quruyur.
删除	silmək	Xahiş edirəm, bu elektron məktubu silin.
闪电	şimşək	Gecə şimşək çaxdı.
善良	xeyirxah	O xeyirxah insandır.
善于	bacarmaq	O problemləri həll etməyi yaxşı bacarır.
扇子	yelpik	Yayda tez-tez yelpikdən istifadə edirəm.
伤害	incitmək	Başqalarının hisslərini incitməyin.
商品	mal	Bu mağazada çoxlu mal var.
商务	işgüzar	O sabah işgüzar görüşdə iştirak edəcək.
商业	ticarət	Bu bölgədə ticarət çox inkişaf edib.
上当	aldanmaq	O az qala aldanacaqdı.
蛇	ilan	Otların arasında bir ilan var.
舍不得	ayrılmaq istəməmək	Mən buradan ayrılmaq istəmirəm.
射击	atıcılıq	O atıcılıq məşqi edir.
摄影	fotoqrafiya	O fotoqrafiyaya çox maraq göstərir.
设备	avadanlıq	Laboratoriyadakı avadanlıq çox müasirdir.
设计	dizayn	Bu dizayn çox yaradıcıdır.
设施	obyektlər	Məktəbin idman obyektləri yaxşıdır.
伸	uzatmaq	Xahiş edirəm, əlinizi uzadın.
深刻	dərin	Bu təcrübə məndə dərin təəssürat qoydu.
身材	bədən quruluşu	Onun bədən quruluşu sağlamdır.
身份	şəxsiyyət	Xahiş edirəm, şəxsiyyəti təsdiq edən sənəd göstərin.
神话	mif	Uşaqlar mifləri dinləməyi xoşlayırlar.
神秘	sirli	Bu qədim şəhər çox sirlidir.
升	qalxmaq; litr	Yanacağın qiyməti hər litrə bir az qalxdı.
声调	ton	Çin dilində dörd əsas ton var.
生产	istehsal etmək	Bu zavod mobil telefon istehsal edir.
生动	canlı	Müəllim çox canlı izah edir.
生长	böyümək	Bu bitki növü tez böyüyür.
绳子	kəndir	Xahiş edirəm, qutunu kəndirlə yaxşı bağlayın.
省略	buraxmaq	Burada bir heroqlifi buraxmaq olar.
胜利	qələbə	Onlar nəhayət qələbə qazandılar.
失眠	yuxusuzluq	O son vaxtlar tez-tez yuxusuzluq çəkir.
失去	itirmək	İnamını itirmə.
失业	işsiz qalmaq	O işsiz qalandan sonra yeni bacarıqlar öyrənməyə başladı.
湿润	nəm	Yağışdan sonra hava nəmdir.
狮子	şir	Zooparkda iki şir var.
诗	şeir	O bir şeir yazdı.
实话	həqiqət	Xahiş edirəm, həqiqəti de.
实践	təcrübə	Nəzəriyyə təcrübə ilə yoxlanmalıdır.
实习	təcrübə keçmək	O yay tətilində xəstəxanada təcrübə keçəcək.
实现	həyata keçirmək	O nəhayət arzusunu həyata keçirdi.
实验	təcrübə	Tələbələr təcrübə aparırlar.
实用	praktik	Bu alət çox praktikdir.
时差	vaxt fərqi	O hələ vaxt fərqinə uyğunlaşmayıb.
时代	dövr	Biz informasiya dövründə yaşayırıq.
