source_headword	KN	example_KN
set-up	ವ್ಯವಸ್ಥೆ / ಸ್ಥಾಪನೆ	ವ್ಯವಸ್ಥೆ ಮಾಡಲು ಬೆಳಿಗ್ಗೆಯೆಲ್ಲಾ ಹಿಡಿಯಿತು.
sexuality	ಲೈಂಗಿಕತೆ	ಕೋರ್ಸ್ ಗುರುತು ಮತ್ತು ಲೈಂಗಿಕತೆಯನ್ನು ಚರ್ಚಿಸುತ್ತದೆ.
shareholder	ಷೇರುದಾರ	ಷೇರುದಾರರೊಬ್ಬರು ಮಂಡಳಿಯನ್ನು ಪ್ರಶ್ನಿಸಿದರು.
shatter	ಛಿದ್ರಮಾಡು	ಆ ಸುದ್ದಿಯು ಅವನ ಆತ್ಮವಿಶ್ವಾಸವನ್ನು ಛಿದ್ರಗೊಳಿಸಿತು.
shed	ಕಳೆದುಕೊ	ಕಂಪನಿಯು ಉದ್ಯೋಗಗಳನ್ನು ಕಡಿತಗೊಳಿಸಲಿದೆ.
sheer	ಶುದ್ಧ	ಅದರ ಗಾತ್ರವು ಎಲ್ಲರನ್ನೂ ಅಚ್ಚರಿಗೊಳಿಸಿತು.
shipping	ಸಾಗಣೆ	ಸಾಗಣೆ ವೆಚ್ಚಗಳು ಹೆಚ್ಚಾಗಿವೆ.
shoot	ಚಿತ್ರೀಕರಣ	ಫೋಟೋ ಚಿತ್ರೀಕರಣವು ಬೇಗನೆ ಮುಗಿಯಿತು.
shrink	ಕುಗ್ಗಿಸು	ಶರ್ಟ್ ಕುಗ್ಗಬಹುದು.
shrug	ಭುಜ ಹಾರಿಸು	ಅವಳು ಲಘುವಾಗಿ ಭುಜ ಹಾರಿಸಿದಳು.
sigh	ನಿಟ್ಟುಸಿರು	ಅವನು ನಿರಾಳತೆಯಿಂದ ನಿಟ್ಟುಸಿರು ಬಿಟ್ಟನು.
simulate	ಅನುಕರಿಸು	ಸಾಫ್ಟ್‌ವೇರ್ ಟ್ರಾಫಿಕ್ ಅನ್ನು ಅನುಕರಿಸಬಲ್ಲದು.
simulation	ಅನುಕರಣೆ	ಅನುಕರಣೆಯು ಪ್ರವಾಹವನ್ನು ಮುನ್ಸೂಚಿಸಿತು.
simultaneously	ಏಕಕಾಲದಲ್ಲಿ	ಎರಡು ಅಲಾರಮ್‌ಗಳು ಏಕಕಾಲದಲ್ಲಿ ಮೊಳಗಿದವು.
sin	ಪಾಪ	ಅಹಂಕಾರವನ್ನು ಪಾಪವೆಂದು ಪರಿಗಣಿಸಲಾಗುತ್ತದೆ.
situated	ನೆಲೆಗೊಂಡಿರುವ	ಹೋಟೆಲ್ ನಗರದ ಮಧ್ಯಭಾಗದಲ್ಲಿ ನೆಲೆಗೊಂಡಿದೆ.
sketch	ರೇಖಾಚಿತ್ರ	ಅವಳು ವೇಗವಾಗಿ ರೇಖಾಚಿತ್ರವನ್ನು ಬಿಡಿಸಿದಳು.
skip	ಬಿಟ್ಟುಬಿಡು	ಉಪಹಾರವನ್ನು ಬಿಟ್ಟುಬಿಡಬೇಡಿ.
slam	ಬಡಿಯುವಂತೆ ಮುಚ್ಚು	ಅವನು ಬಾಗಿಲನ್ನು ಬಡಿಯುವಂತೆ ಮುಚ್ಚಬಲ್ಲನು.
slap	ಚಪ್ಪಾಳೆ ಹೊಡೆ	ಟೇಬಲ್ ಮೇಲೆ ಬಡಿಯಬೇಡಿ.
slavery	ಗುಲಾಮಗಿರಿ	ಗುಲಾಮಗಿರಿಯು ಈ ಪ್ರದೇಶದ ಇತಿಹಾಸವನ್ನು ರೂಪಿಸಿತು.
slot	ಸ್ಲಾಟ್	ಆನ್‌ಲೈನ್‌ನಲ್ಲಿ ಟೈಮ್ ಸ್ಲಾಟ್ ಬುಕ್ ಮಾಡಿ.
smash	ಒಡೆದುಹಾಕು	ಗ್ಲಾಸ್ ನೆಲದ ಮೇಲೆ ಒಡೆದುಹೋಯಿತು.
snap	ಮುರಿ	ಗಾಳಿಗೆ ಕೊಂಬೆಯು ಮುರಿಯಿತು.
soak	ನೆನೆಸು	ಬೀನ್ಸ್ ಅನ್ನು ರಾತ್ರಿಯಿಡೀ ನೆನೆಸಿಡಿ.
soar	ಮೇಲೇರು	ಇಂಧನ ಬೆಲೆಗಳು ಗಗನಕ್ಕೇರಬಹುದು.
socialist	ಸಮಾಜವಾದಿ	ಪಕ್ಷವು ಸಮಾಜವಾದಿ ನೀತಿಗಳನ್ನು ಬೆಂಬಲಿಸುತ್ತದೆ.
sole	ಏಕೈಕ	ಬದುಕುಳಿದ ಏಕೈಕ ವ್ಯಕ್ತಿ ಅವನೇ ಆಗಿದ್ದನು.
solely	ಕೇವಲ	ಆ ನಿರ್ಧಾರ ಕೇವಲ ಅವನದ್ದಾಗಿತ್ತು.
solicitor	ವಕೀಲ	ವಕೀಲರು ಒಪ್ಪಂದವನ್ನು ಸಿದ್ಧಪಡಿಸಿದರು.
solidarity	ಒಗ್ಗಟ್ಟು	ಕಾರ್ಮಿಕರು ಒಗ್ಗಟ್ಟು ವ್ಯಕ್ತಪಡಿಸಿದರು.
solo	ಒಂಟಿ	ಅವಳು ಸೋಲೋ ಆಲ್ಬಂ ಬಿಡುಗಡೆ ಮಾಡಿದಳು.
sound	ಭದ್ರವಾದ	ಯೋಜನೆಯು ಸರಿಯಾಗಿದೆ ಮತ್ತು ಪ್ರಾಯೋಗಿಕವಾಗಿದೆ.
sovereignty	ಸಾರ್ವಭೌಮತ್ವ	ಈ ಒಪ್ಪಂದವು ರಾಷ್ಟ್ರೀಯ ಸಾರ್ವಭೌಮತ್ವವನ್ನು ರಕ್ಷಿಸಿತು.
spam	ಸ್ಪ್ಯಾಮ್	ಇನ್‌ಬಾಕ್ಸ್ ಸ್ಪ್ಯಾಮ್‌ನಿಂದ ತುಂಬಿತ್ತು.
span	ವ್ಯಾಪಿಸಿರು	ಸೇತುವೆಯು ನದಿಗೆ ಅಡ್ಡಲಾಗಿ ವ್ಯಾಪಿಸಿದೆ.
spark	ಪ್ರಚೋದಿಸು	ಸಣ್ಣ ಟೀಕೆಯು ಚರ್ಚೆಯನ್ನು ಪ್ರಚೋದಿಸಿತು.
specialized	ವಿಶೇಷವಾದ	ಕ್ಲಿನಿಕ್ ವಿಶೇಷ ಆರೈಕೆಯನ್ನು ಒದಗಿಸುತ್ತದೆ.
specification	ನಿರ್ದಿಷ್ಟ ವಿವರಣೆ	ವಿನ್ಯಾಸವು ಪ್ರತಿಯೊಂದು ನಿರ್ದಿಷ್ಟ ವಿವರಣೆಯನ್ನು ಪೂರೈಸುತ್ತದೆ.
specimen	ಮಾದರಿ	ಮಾದರಿಯನ್ನು ಸುರಕ್ಷಿತವಾಗಿ ಸಂಗ್ರಹಿಸಲಾಗಿದೆ.
spectacle	ದೃಶ್ಯ	ಮೆರವಣಿಗೆಯು ಒಂದು ರೋಮಾಂಚಕ ದೃಶ್ಯವಾಗಿತ್ತು.
spectrum	ಶ್ರೇಣಿ	ಅಭಿಪ್ರಾಯಗಳು ವ್ಯಾಪಕ ಶ್ರೇಣಿಯನ್ನು ಒಳಗೊಂಡಿವೆ.
spell	ಅವಧಿ	ಒಣ ಹವೆಯ ಅವಧಿಯು ವಾರಗಳವರೆಗೆ ಇತ್ತು.
sphere	ಕ್ಷೇತ್ರ	ರಾಜಕೀಯವು ಸಾಂಸ್ಕೃತಿಕ ಕ್ಷೇತ್ರವನ್ನು ಪ್ರವೇಶಿಸಿತು.
spin	ತಿರುಗು	ಚಕ್ರಗಳು ತಿರುಗಲು ಪ್ರಾರಂಭಿಸಿದವು.
spine	ಬೆನ್ನುಮೂಳೆ	ಗಾಯವು ಅವನ ಬೆನ್ನುಮೂಳೆಯ ಮೇಲೆ ಪರಿಣಾಮ ಬೀರಿತು.
spotlight	ಗಮನದ ಕೇಂದ್ರ	ಹಗರಣವು ಅವನನ್ನು ಗಮನದ ಕೇಂದ್ರವನ್ನಾಗಿಸಿತು.
spouse	ಸಂಗಾತಿ	ಅವಳ ಸಂಗಾತಿಯು ಸಮಾರಂಭಕ್ಕೆ ಹಾಜರಾಗಿದ್ದರು.
spy	ಗೂಢಚಾರಿ	ಗೂಢಚಾರಿಯು ಗುಪ್ತ ಸಂದೇಶಗಳನ್ನು ಕಳುಹಿಸಿದನು.
squad	ತಂಡ	ರಕ್ಷಣಾ ತಂಡವು ವೇಗವಾಗಿ ಆಗಮಿಸಿತು.
squeeze	ಹಿಸುಕು	ಹ್ಯಾಂಡಲ್ ಅನ್ನು ಮೃದುವಾಗಿ ಹಿಸುಕಿ.
stab	ಇರಿ	ವರದಿಯು ಚಾಕುವಿನಿಂದ ಇರಿದ ಗಾಯವನ್ನು ವಿವರಿಸಿದೆ.
stability	ಸ್ಥಿರತೆ	ನೀತಿಯು ಸ್ಥಿರತೆಯನ್ನು ತಂದಿತು.
stabilize	ಸ್ಥಿರಗೊಳಿಸು	ಔಷಧಿಯು ಅವನನ್ನು ಸ್ಥಿರಗೊಳಿಸಲು ಸಹಾಯ ಮಾಡಿತು.
stake	ಪಾಲು	ಇಲ್ಲಿ ಹೂಡಿಕೆದಾರರು ಪಾಲನ್ನು ಹೊಂದಿದ್ದಾರೆ.
standing	ಸ್ಥಾನ	ಪಕ್ಷದಲ್ಲಿ ಅವಳ ಸ್ಥಾನಮಾನವು ಏರಿತು.
stark	ಸ್ಪಷ್ಟವಾದ	ಫಲಿತಾಂಶಗಳು ಸ್ಪಷ್ಟವಾದ ವ್ಯತ್ಯಾಸವನ್ನು ತೋರಿಸಿದವು.
statistical	ಸಂಖ್ಯಾಶಾಸ್ತ್ರೀಯ	ಅಧ್ಯಯನವು ಸಂಖ್ಯಾಶಾಸ್ತ್ರೀಯ ವಿಧಾನಗಳನ್ನು ಬಳಸಿತು.
steer	ನಿಯಂತ್ರಿಸು	ಅವನು ಚರ್ಚೆಯನ್ನು ಮುನ್ನಡೆಸಲು ಪ್ರಯತ್ನಿಸಿದನು.
stem	ಕಾಂಡ	ಬಿರುಗಾಳಿಯಲ್ಲಿ ಕಾಂಡವು ಮುರಿಯಿತು.
stereotype	ಮೂಸೆಯಂತಹ ಕಲ್ಪನೆ	ಈ ಚಿತ್ರವು ಮೂಸೆಯಂತಹ ಕಲ್ಪನೆಯನ್ನು ಸವಾಲು ಮಾಡಿತು.
stimulus	ಪ್ರಚೋದನೆ	ಪ್ಯಾಕೇಜ್ ಆರ್ಥಿಕ ಪ್ರಚೋದನೆಯನ್ನು ಒದಗಿಸಿತು.
stir	ಕಲಕು	ಸಾಸ್ ಅನ್ನು ನಿಧಾನವಾಗಿ ಕಲಕಿ.
storage	ಶೇಖರಣೆ	ಈ ಸೌಲಭ್ಯವು ಸುರಕ್ಷಿತ ಶೇಖರಣೆಯನ್ನು ಒದಗಿಸುತ್ತದೆ.
straightforward	ನೇರವಾದ	ಸೂಚನೆಗಳು ನೇರವಾಗಿದ್ದವು.
strain	ಒತ್ತಡ	ದೀರ್ಘ ವಿಳಂಬವು ಒತ್ತಡವನ್ನು ಉಂಟುಮಾಡಿತು.
strand	ಎಳೆ	ಕೂದಲಿನ ಎಳೆಯೊಂದು ಬಿತ್ತು.
strategic	ಕಾರ್ಯತಂತ್ರದ	ಕಂಪನಿಯು ಕಾರ್ಯತಂತ್ರದ ಹೂಡಿಕೆಯನ್ನು ಮಾಡಿತು.
strip (long narrow piece)	ಪಟ್ಟಿ	ಕಾಗದದ ಕಿರಿದಾದ ಪಟ್ಟಿಯನ್ನು ಕತ್ತರಿಸಿ.
strip (remove clothes/a layer)	ತೆಗೆದುಹಾಕು	ಹಳೆಯ ಬಣ್ಣವನ್ನು ಎಚ್ಚರಿಕೆಯಿಂದ ತೆಗೆದುಹಾಕಿ.
strive	ಶ್ರಮಿಸು	ಅವರು ಶ್ರೇಷ್ಠತೆಗಾಗಿ ಶ್ರಮಿಸುತ್ತಾರೆ.
structural	ರಚನಾತ್ಮಕ	ಸೇತುವೆಯು ರಚನಾತ್ಮಕ ಹಾನಿಯನ್ನು ಹೊಂದಿದೆ.
stumble	ಎಡವು	ಅವನು ಮೆಟ್ಟಿಲುಗಳ ಮೇಲೆ ಎಡವಿದನು.
stun	ದಿಗ್ಭ್ರಮೆಗೊಳಿಸು	ಈ ಸುದ್ದಿಯು ಜನರನ್ನು ದಿಗ್ಭ್ರಮೆಗೊಳಿಸಬಹುದು.
submission	ಸಲ್ಲಿಕೆ	ಸಲ್ಲಿಕೆಯ ಗಡುವು ಮುಗಿಯಿತು.
subscriber	ಚಂದಾದಾರ	ಪ್ರತಿಯೊಬ್ಬ ಚಂದಾದಾರರು ನವೀಕರಣಗಳನ್ನು ಪಡೆಯುತ್ತಾರೆ.
subscription	ಚಂದಾದಾರಿಕೆ	ಚಂದಾದಾರಿಕೆಯು ಸ್ವಯಂಚಾಲಿತವಾಗಿ ನವೀಕರಣಗೊಳ್ಳುತ್ತದೆ.
subsidy	ಸಹಾಯಧನ	ಸಹಾಯಧನವು ಇಂಧನ ವೆಚ್ಚವನ್ನು ಕಡಿಮೆ ಮಾಡಿತು.
substantial	ಗಣನೀಯವಾದ	ಯೋಜನೆಗೆ ಗಣನೀಯವಾದ ಅನುದಾನದ ಅಗತ್ಯವಿದೆ.
substantially	ಗಣನೀಯವಾಗಿ	ಬೆಲೆಯು ಗಣನೀಯವಾಗಿ ಏರಿತು.
substitute	ಪರ್ಯಾಯ	ಹಾಲನ್ನು ಪರ್ಯಾಯವಾಗಿ ಬಳಸಿ.
substitution	ಬದಲಾವಣೆ	ಬದಲಾವಣೆಯು ಪಾಕವಿಧಾನವನ್ನು ಬದಲಾಯಿಸಿತು.
subtle	ಸೂಕ್ಷ್ಮವಾದ	ಪೇಂಟಿಂಗ್ ಸೂಕ್ಷ್ಮ ವಿವರಗಳನ್ನು ಹೊಂದಿದೆ.
suburban	ಉಪನಗರದ	ಅವರು ಉಪನಗರ ಪ್ರದೇಶಕ್ಕೆ ಸ್ಥಳಾಂತರಗೊಂಡರು.
succession	ಸರಣಿ	ಸತತ ವೈಫಲ್ಯಗಳ ನಂತರ ಬಿಕ್ಕಟ್ಟು ಎದುರಾಯಿತು.
successive	ಸತತ	ಸತತ ಸರ್ಕಾರಗಳು ಈ ಸಮಸ್ಯೆಯನ್ನು ನಿರ್ಲಕ್ಷಿಸಿದವು.
successor	ಉತ್ತರಾಧಿಕಾರಿ	ಉತ್ತರಾಧಿಕಾರಿಯು ಸೋಮವಾರ ಕೆಲಸ ಪ್ರಾರಂಭಿಸುತ್ತಾರೆ.
suck	ಹೀರು	ಯಂತ್ರವು ಧೂಳನ್ನು ಹೀರಬಲ್ಲದು.
sue	ಮೊಕದ್ದಮೆ ಹೂಡು	ಅವಳು ಕಂಪನಿಯ ಮೇಲೆ ಮೊಕದ್ದಮೆ ಹೂಡಲು ನಿರ್ಧರಿಸಿದಳು.
suicide	ಆತ್ಮಹತ್ಯೆ	ಆತ್ಮಹತ್ಯೆ ತಡೆಗಟ್ಟುವಿಕೆಗೆ ನಿರಂತರ ಅನುದಾನದ ಅಗತ್ಯವಿದೆ.
suite	ಸೂಟ್	ಹೋಟೆಲ್ ಸೂಟ್‌ನಿಂದ ನದಿಯ ನೋಟವಿತ್ತು.
summit	ಶೃಂಗಸಭೆ	ನಾಯಕರು ಶೃಂಗಸಭೆಯಲ್ಲಿ ಭೇಟಿಯಾದರು.
superb	ಅದ್ಭುತವಾದ	ಪ್ರದರ್ಶನವು ಅದ್ಭುತವಾಗಿತ್ತು.
superior	ಉನ್ನತವಾದ	ಹೊಸ ಮಾದರಿಯು ಉತ್ತಮವಾಗಿದೆ.
supervise	ಮೇಲ್ವಿಚಾರಣೆ ಮಾಡು	ಅವಳು ತರಬೇತಿದಾರರನ್ನು ಮೇಲ್ವಿಚಾರಣೆ ಮಾಡುತ್ತಾಳೆ.
supervision	ಮೇಲ್ವಿಚಾರಣೆ	ಮಕ್ಕಳಿಗೆ ವಯಸ್ಕರ ಮೇಲ್ವಿಚಾರಣೆಯ ಅಗತ್ಯವಿದೆ.
supervisor	ಮೇಲ್ವಿಚಾರಕ	ಮೊದಲು ನಿಮ್ಮ ಮೇಲ್ವಿಚಾರಕರನ್ನು ಕೇಳಿ.
supplement	ಪೂರಕ	ವರದಿಯು ಪೂರಕವನ್ನು ಒಳಗೊಂಡಿದೆ.
supportive	ಬೆಂಬಲ ನೀಡುವ	ಅವಳ ಕುಟುಂಬವು ಬೆಂಬಲ ನೀಡುವಂತಿತ್ತು.
supposedly	ಕಲ್ಪಿತವಾಗಿ	ಫೈಲ್ ಅನ್ನು ಪ್ರಾಯಶಃ ಅಳಿಸಲಾಗಿದೆ.
suppress	ಹತ್ತಿಕ್ಕು	ಆಡಳಿತವು ಪ್ರತಿಭಟನೆಗಳನ್ನು ಹತ್ತಿಕ್ಕಲು ಪ್ರಯತ್ನಿಸಿತು.
supreme	ಸರ್ವೋಚ್ಚ	ಸರ್ವೋಚ್ಚ ನ್ಯಾಯಾಲಯವು ಪ್ರಕರಣವನ್ನು ಆಲಿಸಿತು.
surge	ತೀವ್ರ ಏರಿಕೆ	ಹಠಾತ್ ತೀವ್ರ ಏರಿಕೆಯು ಉಪಕರಣವನ್ನು ಹಾನಿಗೊಳಿಸಿತು.
surgical	ಶಸ್ತ್ರಚಿಕಿತ್ಸೆಯ	ರೋಗಿಗೆ ಶಸ್ತ್ರಚಿಕಿತ್ಸೆಯ ಅಗತ್ಯವಿದೆ.
surplus	ಹೆಚ್ಚುವರಿ	ಗೋದಾಮಿನಲ್ಲಿ ಹೆಚ್ಚುವರಿ ಇದೆ.
surrender	ಶರಣಾಗು	ಸೈನಿಕರು ಶರಣಾಗಲು ಒಪ್ಪಿದರು.
surveillance	ಕಣ್ಗಾವಲು	ಕಣ್ಗಾವಲು ಕ್ಯಾಮೆರಾಗಳು ಪ್ರವೇಶದ್ವಾರವನ್ನು ದಾಖಲಿಸಿದವು.
suspension	ಅಮಾನತು	ಅಮಾನತು ಎರಡು ವಾರಗಳವರೆಗೆ ಇತ್ತು.
suspicion	ಅನುಮಾನ	ಅವನ ನಡವಳಿಕೆಯು ಅನುಮಾನವನ್ನು ಹುಟ್ಟುಹಾಕಿತು.
suspicious	ಅನುಮಾನಾಸ್ಪದ	ಪ್ಯಾಕೇಜ್ ಅನುಮಾನಾಸ್ಪದವಾಗಿ ಕಾಣುತ್ತಿತ್ತು.
sustain	ಉಳಿಸಿಕೊಳ್ಳು	ಯೋಜನೆಯು ಸ್ಥಳೀಯ ಉದ್ಯೋಗಗಳನ್ನು ಉಳಿಸಿಕೊಳ್ಳಬಲ್ಲದು.
swing	ತೂಗು	ಬಾಗಿಲು ತೂಗಾಡಲು ಪ್ರಾರಂಭಿಸಿತು.
sword	ಕತ್ತಿ	ಕತ್ತಿಯು ಗೋಡೆಯ ಮೇಲೆ ನೇತಾಡುತ್ತಿತ್ತು.
symbolic	ಸಾಂಕೇತಿಕ	ಈ ಕಾರ್ಯವು ಸಾಂಕೇತಿಕವಾಗಿತ್ತು.
syndrome	ಸಿಂಡ್ರೋಮ್	ಈ ಸಿಂಡ್ರೋಮ್ ಸ್ಮರಣೆಯ ಮೇಲೆ ಪರಿಣಾಮ ಬೀರುತ್ತದೆ.
synthesis	ಸಂಶ್ಲೇಷಣೆ	ಈ ಅಧ್ಯಾಯವು ಸಂಶ್ಲೇಷಣೆಯನ್ನು ನೀಡುತ್ತದೆ.
systematic	ವ್ಯವಸ್ಥಿತ	ವಿಮರ್ಶೆಯು ವ್ಯವಸ್ಥಿತವಾಗಿತ್ತು.
tactic	ತಂತ್ರ	ತಂತ್ರವು ಬೇಗನೆ ವಿಫಲವಾಯಿತು.
tactical	ತಂತ್ರಗಾರಿಕೆಯ	ತಂಡವು ತಂತ್ರಗಾರಿಕೆಯ ಬದಲಾವಣೆಯನ್ನು ಮಾಡಿತು.
taxpayer	ತೆರಿಗೆದಾರ	ತೆರಿಗೆದಾರರ ಹಣದಿಂದ ಸೇತುವೆಯನ್ನು ನಿರ್ಮಿಸಲಾಗಿದೆ.
tempt	ಪ್ರಲೋಭಿಸು	ಈ ಪ್ರಸ್ತಾಪವು ಹೂಡಿಕೆದಾರರನ್ನು ಪ್ರಲೋಭಿಸಬಹುದು.
tenant	ಬಾಡಿಗೆದಾರ	ಬಾಡಿಗೆದಾರನು ಮುಂಚಿತವಾಗಿ ಬಾಡಿಗೆಯನ್ನು ಪಾವತಿಸಿದನು.
tender	ಮೃದುವಾದ	ಅವಳು ಮೃದುವಾದ ನಗು ಬೀರಿದಳು.
tenure	ಅಧಿಕಾರಾವಧಿ	ಅವನ ಅಧಿಕಾರಾವಧಿಯು ಆರು ವರ್ಷಗಳವರೆಗೆ ಇತ್ತು.
terminal	ಮಾರಣಾಂತಿಕ	ರೋಗಿಯು ಮಾರಣಾಂತಿಕ ಕಾಯಿಲೆಯನ್ನು ಹೊಂದಿದ್ದನು.
terminate	ರದ್ದುಗೊಳಿಸು	ಕಂಪನಿಯು ಒಪ್ಪಂದವನ್ನು ಕೊನೆಗೊಳಿಸಬಹುದು.
terrain	ಭೂಪ್ರದೇಶ	ಆ ಭೂಪ್ರದೇಶವು ಕಠಿಣವಾಗಿತ್ತು.
terrific	ಅದ್ಭುತವಾದ	ನೋಟವು ಅದ್ಭುತವಾಗಿತ್ತು.
testify	ಸಾಕ್ಷ್ಯ ನುಡಿ	ಅವಳು ಸಾಕ್ಷ್ಯ ನುಡಿಯಲು ಒಪ್ಪಿದಳು.
testimony	ಸಾಕ್ಷ್ಯ	ಅವನ ಸಾಕ್ಷ್ಯವು ವಿವರವಾಗಿತ್ತು.
texture	ವಿನ್ಯಾಸ	ಬಟ್ಟೆಯು ಒರಟಾದ ವಿನ್ಯಾಸವನ್ನು ಹೊಂದಿದೆ.
thankfully	ಅದೃಷ್ಟವಶಾತ್	ಅದೃಷ್ಟವಶಾತ್, ಯಾರಿಗೂ ಗಾಯವಾಗಲಿಲ್ಲ.
theatrical	ನಾಟಕೀಯ	ಭಾಷಣವು ನಾಟಕೀಯವಾಗಿತ್ತು.
theology	ದೇವತಾಶಾಸ್ತ್ರ	ಅವನು ವಿಶ್ವವಿದ್ಯಾಲಯದಲ್ಲಿ ದೇವತಾಶಾಸ್ತ್ರವನ್ನು ಓದಿದನು.
theoretical	ಸೈದ್ಧಾಂತಿಕ	ಈ ಮಾದರಿಯು ಸಂಪೂರ್ಣವಾಗಿ ಸೈದ್ಧಾಂತಿಕವಾಗಿದೆ.
thereafter	ಆನಂತರ	ಆನಂತರ, ನಿಯಮಗಳು ಬದಲಾದವು.
thereby	ಆ ಮೂಲಕ	ಈ ಬದಲಾವಣೆಯು ವೆಚ್ಚವನ್ನು ಕಡಿಮೆ ಮಾಡಿತು, ಆ ಮೂಲಕ ಉದ್ಯೋಗಗಳನ್ನು ಉಳಿಸಿತು.
thoughtful	ಚಿಂತನಶೀಲ	ಅವಳ ಪ್ರತಿಕ್ರಿಯೆಯು ಚಿಂತನಶೀಲವಾಗಿತ್ತು.
thought-provoking	ಚಿಂತನೆಗೆ ಹಚ್ಚುವ	ಲೇಖನವು ಚಿಂತನೆಗೆ ಹಚ್ಚುವಂತಿತ್ತು.
thread	ದಾರ	ದಾರವು ಸುಲಭವಾಗಿ ತುಂಡಾಯಿತು.
threshold	ಮಿತಿ	ಮತಗಳು ಮಿತಿಯನ್ನು ದಾಟಿದವು.
thrilled	ರೋಮಾಂಚನಗೊಂಡ	ಆ ಸುದ್ದಿಯಿಂದ ಅವಳು ರೋಮಾಂಚನಗೊಂಡಳು.
thrive	ಅಭಿವೃದ್ಧಿಹೊಂದು	ಸಣ್ಣ ವ್ಯಾಪಾರಗಳು ಇಲ್ಲಿ ಅಭಿವೃದ್ಧಿಹೊಂದಬಹುದು.
tide	ಉಬ್ಬರವಿಳಿತ	ಅಲೆಯು ವೇಗವಾಗಿ ಏರಿತು.
tighten	ಬಿಗಿಗೊಳಿಸು	ಮುಚ್ಚಳವನ್ನು ಭದ್ರವಾಗಿ ಬಿಗಿಗೊಳಿಸಿ.
timber	ಮರಮಟ್ಟು	ಮನೆಯು ಸ್ಥಳೀಯ ಮರವನ್ನು ಬಳಸುತ್ತದೆ.
timely	ಸಕಾಲಿಕ	ಎಚ್ಚರಿಕೆಯು ಸಕಾಲಿಕವಾಗಿತ್ತು.
tobacco	ತಂಬಾಕು	ತಂಬಾಕು ಮಾರಾಟವು ಕುಸಿಯಿತು.
tolerance	ಸಹಿಷ್ಣುತೆ	ನೀತಿಯು ಸಹಿಷ್ಣುತೆಯನ್ನು ಪ್ರೋತ್ಸಾಹಿಸುತ್ತದೆ.
tolerate	ಸಹಿಸು	ನಾವು ನಿಂದನೆಯನ್ನು ಸಹಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ.
toll	ಹಾನಿ	ಬಿರುಗಾಳಿಯು ಭಾರಿ ಹಾನಿಯನ್ನುಂಟುಮಾಡಿತು.
top	ಮೀರಿಸು	ಮಾರಾಟವು ಕಳೆದ ವರ್ಷದ ದಾಖಲೆಯನ್ನು ಮೀರಿಸಬಹುದು.
torture	ಚಿತ್ರಹಿಂಸೆ	ಒಪ್ಪಂದವು ಚಿತ್ರಹಿಂಸೆಯನ್ನು ಸಂಪೂರ್ಣವಾಗಿ ನಿಷೇಧಿಸುತ್ತದೆ.
