source_headword	TE	example_TE
correspondence	ఉత్తరప్రత్యుత్తరాలు	వారి ఉత్తరప్రత్యుత్తరాలు ఏళ్ల తరబడి కొనసాగాయి.
correspondent	విలేకరి	విలేకరి కైరో నుండి నివేదించారు.
corresponding	దానికి సంబంధించిన	ప్రతి బటన్‌కు సంబంధించిన లైట్ ఉంటుంది.
corrupt	అవినీతి	అవినీతి అధికారి డబ్బు తీసుకున్నాడు.
corruption	అవినీతి	అవినీతి ప్రజల నమ్మకాన్ని బలహీనపరిచింది.
costly	ఖరీదైన	ఈ లోపం జట్టుకు భారీ నష్టాన్ని కలిగించింది.
councillor	కౌన్సిలర్	కౌన్సిలర్ నివాసితుల ప్రశ్నలకు సమాధానమిచ్చారు.
counselling	కౌన్సెలింగ్	ప్రమాదం తర్వాత ఆమె కౌన్సెలింగ్ తీసుకుంది.
counsellor	కౌన్సెలర్	కౌన్సెలర్ కొత్త విద్యార్థులకు సహాయం చేశారు.
counter (argue against)	తిప్పికొట్టడం	ఆమె అతని వాదనను తిప్పికొట్టడానికి ప్రయత్నించింది.
counterpart	ప్రతిరూపం	అతను తన జపనీస్ ప్రతినిధిని కలిశాడు.
countless	లెక్కలేనన్ని	లెక్కలేనంత మంది వాలంటీర్లు అన్వేషణలో చేరారు.
coup	తిరుగుబాటు	ఈ తిరుగుబాటు అధ్యక్షుడిని తొలగించింది.
courtesy	మర్యాద	ఆమె వారి మర్యాదకు కృతజ్ఞతలు తెలిపింది.
