hsk_key	source_word	simplified	SI	example_SI	TA	example_TA
3940:多元	多元	多元	බහුවිධ; විවිධාකාර	පාසල බහුවිධ සංස්කෘතික හුවමාරුව දිරිමත් කරයි.	பன்முக; பல்வகை	பள்ளி பன்முக பண்பாட்டு பரிமாற்றத்தை ஊக்குவிக்கிறது.
3941:夺	夺	夺	පැහැර ගනී; බලෙන් අල්ලා ගනී	අවසන් තත්පරයේදී ඔහු පන්දුව අල්ලා ගත්තේය.	பறி; கைப்பற்று	கடைசி வினாடியில் அவர் பந்தை கைப்பற்றினார்.
3942:夺取	夺取	夺取	දිනා ගනී; අත්පත් කර ගනී	ක්‍රීඩකයා ශූරතාව දිනා ගැනීමට මහන්සි විය.	கைப்பற்று; வென்று பெறு	வீரர் சாம்பியன் பட்டத்தை வெல்ல கடுமையாக முயன்றார்.
3943:躲避	躲避	躲避	මඟ හරියි; වැළකී සිටී	පදචාරීන් හදිසියේ ආ මහ වැස්සෙන් වැළකී සිටියහ.	தவிர்த்து ஒதுங்கு; விலகு	நடந்து சென்றவர்கள் திடீரென வந்த கனமழையிலிருந்து ஒதுங்கினர்.
3946:儿科	儿科	儿科	ළමා වෛද්‍ය අංශය	මෙම රෝහලේ ළමා වෛද්‍ය අංශය ප්‍රසිද්ධය.	குழந்தை மருத்துவம்	இந்த மருத்துவமனையின் குழந்தை மருத்துவப் பிரிவு புகழ்பெற்றது.
3949:发病	发病	发病	රෝගය හටගනී; රෝගය පටන් ගනී	මෙම රෝගය සාමාන්‍යයෙන් වසන්ත කාලයේ හටගනී.	நோய் தொடங்கு; நோய் வெளிப்படு	இந்த நோய் பொதுவாக வசந்த காலத்தில் தொடங்குகிறது.
3951:发电	发电	发电	විදුලිය නිපදවයි	සුළං චක්‍ර විදුලිය නිපදවීමට භාවිත කළ හැකිය.	மின்சாரம் உற்பத்தி செய்	காற்றாலை மின்சாரம் உற்பத்தி செய்ய பயன்படலாம்.
3953:发放	发放	发放	බෙදා දෙයි; නිකුත් කරයි	පාසල හෙට නව පාඩම් පොත් බෙදා දෙයි.	வழங்கு; விநியோகம் செய்	பள்ளி நாளை புதிய பாடநூல்களை வழங்கும்.
3954:发光	发光	发光	ආලෝකය විහිදුවයි	මෙම කුඩා කෘමීන් රාත්‍රියේ ආලෝකය විහිදුවති.	ஒளி விடு	இந்த சிறிய பூச்சிகள் இரவில் ஒளி விடும்.
3959:法定	法定	法定	නීතිමය; නීතියෙන් නියමිත	නීතිමය නිවාඩු දිනවල සියලු දෙනාට විවේක ගත හැකිය.	சட்டபூர்வமான; சட்டப்படி நிர்ணயிக்கப்பட்ட	சட்டபூர்வமான விடுமுறை நாட்களில் அனைவரும் ஓய்வெடுக்கலாம்.
3960:法官	法官	法官	විනිසුරු	විනිසුරුවරයා තීන්දුව ප්‍රකාශ කළේය.	நீதிபதி	நீதிபதி தீர்ப்பை அறிவித்தார்.
3961:法规	法规	法规	නීති රෙගුලාසි	ව්‍යාපාර පරිසර ආරක්ෂණ නීති රෙගුලාසි අනුගමනය කළ යුතුය.	சட்ட விதிமுறைகள்	நிறுவனங்கள் சுற்றுச்சூழல் பாதுகாப்பு சட்ட விதிமுறைகளை கடைப்பிடிக்க வேண்டும்.
3968:犯	犯	犯	සිදු කරයි; උල්ලංඝනය කරයි	ඔහු බරපතල වැරැද්දක් කළේය.	செய்; மீறு	அவர் ஒரு கடுமையான தவறு செய்தார்.
3969:方方面面	方方面面	方方面面	සියලු අංශ	මෙම ප්‍රතිසංස්කරණය සමාජයේ සියලු අංශවලට බලපායි.	எல்லா அம்சங்களும்	இந்த சீர்திருத்தம் சமூகத்தின் எல்லா அம்சங்களையும் பாதிக்கிறது.
3973:房价	房价	房价	නිවාස මිල	මෙම නගරයේ නිවාස මිල ඉහළය.	வீட்டு விலை	இந்த நகரத்தில் வீட்டு விலை அதிகம்.
3975:访谈	访谈	访谈	සම්මුඛ සාකච්ඡාව; සම්මුඛ සාකච්ඡා කරයි	වාර්තාකරු ලේඛකයා සමඟ සම්මුඛ සාකච්ඡාවක් කරමින් සිටී.	நேர்காணல்; நேர்காணல் செய்	செய்தியாளர் எழுத்தாளருடன் நேர்காணல் செய்து கொண்டிருக்கிறார்.
3977:放飞	放飞	放飞	ඉහළට යවයි; නිදහස් කරයි	දරුවන් තණබිමේ සරුංගල් ඉහළට යවති.	பறக்க விடு; விடுவி	குழந்தைகள் புல்வெளியில் பட்டங்களை பறக்க விடுகிறார்கள்.
3978:飞速	飞速	飞速	ඉතා වේගයෙන්; අධි වේගයෙන්	තාක්ෂණය ඉතා වේගයෙන් වර්ධනය වෙමින් පවතී.	அதிவேகமாக; மிக விரைவாக	தொழில்நுட்பம் அதிவேகமாக வளர்ந்து வருகிறது.
3979:肥	肥	肥	තරබාරු; සාරවත්	මෙම ඉඩම ඉතා සාරවත් බැවින් එළවළු වගාවට සුදුසුය.	கொழுத்த; வளமான	இந்த நிலம் மிகவும் வளமானது; காய்கறி வளர்க்க ஏற்றது.
3980:肥胖	肥胖	肥胖	තරබාරුකම; අධික තරබාරු	තරබාරුකම සෞඛ්‍ය අවදානම වැඩි කරයි.	உடல் பருமன்; பருமனான	உடல் பருமன் ஆரோக்கிய ஆபத்தை அதிகரிக்கிறது.
3983:肺炎	肺炎	肺炎	නියුමෝනියාව	වෛද්‍යවරයා ඔහුට නියුමෝනියාව ඇති බව කීවේය.	நிமோனியா	மருத்துவர் அவருக்கு நிமோனியா உள்ளது என்றார்.
3984:分工	分工	分工	කාර්ය බෙදීම	කණ්ඩායම් සාමාජිකයන්ගේ කාර්ය බෙදීම ඉතා පැහැදිලිය.	பணி பிரிவு	குழு உறுப்பினர்களின் பணி பிரிவு மிகவும் தெளிவாக உள்ளது.
3985:分级	分级	分级	මට්ටම් අනුව වර්ග කරයි	මෙම ද්‍රව්‍ය අපහසුතාව අනුව මට්ටම් කළ යුතුය.	நிலைப்படி வகைப்படுத்து	இந்த பொருட்களை கடினத்தன்மை அடிப்படையில் நிலைப்படி வகைப்படுத்த வேண்டும்.
3986:分期	分期	分期	වාරික ලෙස; අදියරෙන් අදියර	ඔහු වාරික වශයෙන් ගෙවීමට තෝරා ගත්තේය.	தவணையாக; கட்டங்களாக	அவர் தவணையாக பணம் செலுத்த தேர்வு செய்தார்.
3988:氛围	氛围	氛围	වාතාවරණය	කාර්යාලයේ වාතාවරණය සැහැල්ලුය.	சூழல்; மனநிலை	அலுவலகத்தின் சூழல் இலகுவாக உள்ளது.
3989:粉	粉	粉	කුඩු; පිටි; රෝස පැහැය	මෙම පිටි වර්ගයෙන් කේක් සෑදිය හැකිය.	தூள்; மாவு; இளஞ்சிவப்பு	இந்த மாவு வகையால் கேக் செய்யலாம்.
3993:风力	风力	风力	සුළං බලය; සුළඟේ ශක්තිය	අද මුහුදු වෙරළ අසල සුළං බලය ඉතා වැඩිය.	காற்று வலிமை; காற்றாற்றல்	இன்று கடற்கரையில் காற்றின் வலிமை அதிகமாக உள்ளது.
3995:风雨	风雨	风雨	සුළං වැසි; දුෂ්කරතා	සුළං වැසි කොතරම් දැඩි වුවත් ඔහු නියමිත වේලාවට පැමිණියේය.	காற்றும் மழையும்; கஷ்டங்கள்	காற்றும் மழையும் எவ்வளவு கடுமையாக இருந்தாலும் அவர் நேரத்திற்கு வந்தார்.
3998:服	服	服	පිළිගනී; යටත් වේ	සියලු දෙනා ඔහුගේ හැකියාව පිළිගනිති.	ஏற்றுக்கொள்; அடங்கு	அவரின் திறனை அனைவரும் ஏற்றுக்கொள்கிறார்கள்.
3999:浮	浮	浮	පාවෙයි	කොළ ජල මතුපිට පාවෙයි.	மித	இலைகள் நீர்மேல் மிதக்கின்றன.
4004:服用	服用	服用	ඖෂධ ගනී	කරුණාකර උපදෙස් අනුව ඖෂධ ගන්න.	மருந்து உட்கொள்	தயவுசெய்து வழிமுறைகளின்படி மருந்தை உட்கொள்ளுங்கள்.
4010:负面	负面	负面	අයහපත්; විරුද්ධාත්මක	මෙම පුවත අයහපත් බලපෑමක් ඇති කළේය.	எதிர்மறை	இந்த செய்தி எதிர்மறை தாக்கத்தை ஏற்படுத்தியது.
4013:该2	该2	该	එම; කියන ලද	එම ව්‍යාපෘතිය දැනටමත් අවසන් වී ඇත.	அந்த; குறிப்பிட்ட	அந்த திட்டம் ஏற்கனவே முடிந்துவிட்டது.
4014:改编	改编	改编	අනුවර්තනය කරයි; නැවත ලියයි	මෙම චිත්‍රපටය නවකතාවකින් අනුවර්තනය කර ඇත.	தழுவி மாற்று; மறுஎழுது	இந்த திரைப்படம் நாவலைத் தழுவி உருவாக்கப்பட்டது.
4015:改造	改造	改造	පරිවර්තනය කරයි; අලුත්වැඩියා කරයි	පැරණි කර්මාන්තශාලාව පුස්තකාලයක් බවට පරිවර්තනය විය.	மாற்றியமை; புதுப்பி	பழைய தொழிற்சாலை நூலகமாக மாற்றப்பட்டது.
4016:概率	概率	概率	සම්භාවිතාව	සාර්ථක වීමේ සම්භාවිතාව ඉහළ නැත.	நிகழ்தகவு	வெற்றியின் நிகழ்தகவு அதிகமாக இல்லை.
4017:肝	肝	肝	අක්මාව	අධික ලෙස මත්පැන් පානය කිරීම අක්මාවට හානි කළ හැකිය.	கல்லீரல்	அதிகமாக மதுபானம் குடிப்பது கல்லீரலை சேதப்படுத்தலாம்.
4024:赶忙	赶忙	赶忙	ඉක්මනින්; හදිසියේ	සීනුව ඇසුණු විට ඔහු ඉක්මනින් පිටතට දිව ගියේය.	அவசரமாக; உடனே	மணி ஒலி கேட்டதும் அவர் அவசரமாக வெளியே ஓடினார்.
4027:钢笔	钢笔	钢笔	ෆවුන්ටන් පෑන	ඔහු ෆවුන්ටන් පෑනකින් ලිපි ලියයි.	நீர்ப்பேனா	அவர் நீர்ப்பேனாவால் கடிதம் எழுதுகிறார்.
4030:高层	高层	高层	ඉහළ කළමනාකරණය; උස් මහල	සමාගමේ ඉහළ කළමනාකරණය නව උපාය මාර්ගය සාකච්ඡා කරමින් සිටී.	உயர் நிலை; உயர்மாடி	நிறுவனத்தின் உயர் நிர்வாகம் புதிய மூலோபாயத்தை விவாதிக்கிறது.
4032:高等	高等	高等	උසස්; ඉහළ මට්ටමේ	ඔහු උසස් අධ්‍යාපනය ලබමින් සිටී.	உயர்; மேம்பட்ட	அவர் உயர் கல்வி பெற்று வருகிறார்.
4033:高端	高端	高端	උසස් මට්ටමේ; ඉහළ පෙළේ	මෙම වෙළඳසැල ප්‍රධාන වශයෙන් උසස් මට්ටමේ ජංගම දුරකථන විකුණයි.	உயர்தர; மேம்பட்ட	இந்த கடை பெரும்பாலும் உயர்தர கைபேசிகளை விற்கிறது.
4036:高手	高手	高手	දක්ෂයා; විශේෂඥයා	ඔහු චෙස් ක්‍රීඩාවේ දක්ෂයෙකි.	திறமையாளர்; நிபுணர்	அவர் சதுரங்கத்தில் திறமையாளர்.
4037:高新技术	高新技术	高新技术	උසස් නව තාක්ෂණය	මෙම සමාගම උසස් නව තාක්ෂණය විශේෂයෙන් අධ්‍යයනය කරයි.	உயர் புதிய தொழில்நுட்பம்	இந்த நிறுவனம் உயர் புதிய தொழில்நுட்பத்தை சிறப்பாக ஆராய்கிறது.
4038:高原	高原	高原	උස්බිම; උස් තැනිතලාව	චින්හායි-ටිබෙට් උස්බිමේ වාතය තරමක් දුර්ලභය.	மேட்டுநிலம்	சிங்காய்-திபெத் மேட்டுநிலத்தில் காற்று ஒப்பீட்டளவில் மெல்லியது.
4040:稿子	稿子	稿子	කෙටුම්පත; අත්පිටපත	කරුණාකර අත්පිටපත සංස්කාරකට යවන්න.	வரைவு; கைப்பிரதி	தயவுசெய்து கைப்பிரதியை ஆசிரியருக்கு அனுப்புங்கள்.
4042:歌唱	歌唱	歌唱	ගායනා කරයි	දරුවන් වේදිකාවේ ගායනා කරමින් සිටිති.	பாடு	குழந்தைகள் மேடையில் பாடுகிறார்கள்.
4050:公	公	公	පොදු; සාමූහික	ආහාර ගන්නා විට කරුණාකර පොදු සේවා කූරු භාවිත කරන්න.	பொது; கூட்டு	சாப்பிடும்போது தயவுசெய்து பொது பரிமாறும் குச்சிகளை பயன்படுத்துங்கள்.
4051:宫	宫	宫	මාලිගාව	මෙම මාලිගාව හොඳින් සංරක්ෂණය කර ඇත.	அரண்மனை	இந்த அரண்மனை நன்றாக பாதுகாக்கப்பட்டுள்ளது.
4052:公安	公安	公安	මහජන ආරක්ෂාව; පොලිසිය	මහජන ආරක්ෂක නිලධාරීන් ඉක්මනින් සිද්ධි ස්ථානයට පැමිණියහ.	பொது பாதுகாப்பு; காவல் துறை	பொது பாதுகாப்பு அதிகாரிகள் விரைவாக சம்பவ இடத்துக்கு வந்தனர்.
4053:工地	工地	工地	ඉදිකිරීම් භූමිය	ඉදිකිරීම් භූමිය අසල ඉතා ශබ්දය.	கட்டுமான தளம்	கட்டுமான தளத்தின் அருகில் மிகவும் சத்தமாக உள்ளது.
4054:工夫	工夫	工夫	කාලය; උත්සාහය	අකුරු කලාව හොඳින් ඉගෙන ගැනීමට උත්සාහය අවශ්‍යය.	நேரம்; முயற்சி	எழுத்தழகை நன்றாக கற்க முயற்சி தேவை.
4062:工序	工序	工序	වැඩ ක්‍රියාවලිය; ක්‍රම පියවර	මෙම වැඩ ක්‍රියාවලිය යන්ත්‍රයකින් සම්පූර්ණ කළ යුතුය.	பணி நடைமுறை; செயல்முறை	இந்த பணி நடைமுறையை இயந்திரம் மூலம் முடிக்க வேண்டும்.
4063:公益	公益	公益	මහජන සුබසාධනය	ඔහු නිතර මහජන සුබසාධන ක්‍රියාකාරකම්වලට සහභාගි වේ.	பொது நலன்	அவர் அடிக்கடி பொது நலன் செயல்பாடுகளில் பங்கேற்கிறார்.
4064:供应	供应	供应	සපයයි	මෙම සමාගම නැවුම් එළවළු සපයයි.	வழங்கு; வழங்கல் செய்	இந்த நிறுவனம் புதிய காய்கறிகளை வழங்குகிறது.
4067:公众	公众	公众	මහජනයා	මෙම පුවත ඉක්මනින් මහජන අවධානයට ලක් විය.	பொதுமக்கள்	இந்த செய்தி விரைவாக பொதுமக்களின் கவனத்தை ஈர்த்தது.
4071:沟	沟	沟	කාණුව; ඇළ	වැසි ජලය පාර අසල කාණුවට ගලා ගියේය.	வாய்க்கால்; பள்ளம்	மழைநீர் சாலையோர வாய்க்காலில் ஓடியது.
4072:构造	构造	构造	ව්‍යුහය; ඉදිකරයි	ගුරුවරයා මෙම පාලමේ ව්‍යුහය පැහැදිලි කළේය.	அமைப்பு; கட்டமை	ஆசிரியர் இந்த பாலத்தின் அமைப்பை விளக்கினார்.
4076:古迹	古迹	古迹	පුරාවිද්‍යාත්මක ස්ථානය; ඓතිහාසික ස්ථානය	සංචාරකයෝ දේශීය ඓතිහාසික ස්ථාන නැරඹූහ.	வரலாற்றுச் சின்னம்; பழமையான இடம்	சுற்றுலாப் பயணிகள் உள்ளூர் வரலாற்றுச் சின்னங்களை பார்த்தனர்.
4078:古人	古人	古人	පැරණි මිනිසුන්	පැරණි මිනිසුන් ඉතා මුල් කාලයේම තරු පිරි අහස නිරීක්ෂණය කළහ.	பழங்கால மக்கள்	பழங்கால மக்கள் மிகவும் முன்பே விண்மீன் வானத்தை கவனித்தனர்.
4079:股市	股市	股市	කොටස් වෙළඳපොළ	අද කොටස් වෙළඳපොළ බොහෝ ලෙස ඉහළ පහළ ගියේය.	பங்கு சந்தை	இன்று பங்கு சந்தை பெரிதாக ஏற்றத்தாழ்வு கண்டது.
4082:顾	顾	顾	බලා ගනී; සලකයි	ඔහු වැඩෙන් ඉතා කාර්යබහුල නිසා විවේකය ගැන සිතීමටවත් බැරි විය.	கவனிக்க; கருத	அவர் வேலை அதிகமாக இருப்பதால் ஓய்வைப் பற்றி கவனிக்க முடியவில்லை.
4086:拐	拐	拐	හැරෙයි; පැහැරගෙන යයි	ඉදිරි හන්දියේ දකුණට හැරෙන්න.	திருப்பு; கடத்திச் செல்	முன்னுள்ள சந்திப்பில் வலப்புறம் திரும்புங்கள்.
4089:关爱	关爱	关爱	ආදරයෙන් සලකයි; සැලකිල්ල දක්වයි	සමාජය වැඩිහිටියන්ට ආදරයෙන් සැලකිය යුතුය.	அக்கறையுடன் பராமரி; பரிவு காட்டு	சமூகம் முதியவர்களை அக்கறையுடன் பராமரிக்க வேண்டும்.
4093:关联	关联	关联	සම්බන්ධ වේ; සම්බන්ධය	මෙම ගැටලු දෙක එකිනෙකට සම්බන්ධය.	தொடர்பு; தொடர்புடையது	இந்த இரண்டு பிரச்சினைகளும் ஒன்றுடன் ஒன்று தொடர்புடையவை.
4094:观赏	观赏	观赏	නරඹයි; රසවිඳිමින් බලයි	සංචාරකයෝ වැව අසල හිරු බැස යෑම නරඹූහ.	ரசித்து பார்; கண்டு மகிழ்	சுற்றுலாப் பயணிகள் ஏரிக்கரையில் சூரிய அஸ்தமனத்தை ரசித்துப் பார்த்தனர்.
4095:官员	官员	官员	නිලධාරියා	මෙම නිලධාරියා වාර්තාකරුගේ ප්‍රශ්නවලට පිළිතුරු දුන්නේය.	அதிகாரி	இந்த அதிகாரி செய்தியாளரின் கேள்விகளுக்கு பதிலளித்தார்.
4096:管道	管道	管道	නල මාර්ගය; නළය	කම්කරුවන් භූගත නල මාර්ගය පරීක්ෂා කරමින් සිටිති.	குழாய்; குழாய் பாதை	தொழிலாளர்கள் நிலத்தடி குழாய் பாதையை ஆய்வு செய்கிறார்கள்.
4099:归	归	归	අයත් වේ; ආපසු යයි	මෙම පොත පුස්තකාලයට අයත් වේ.	சேர்ந்தது; திரும்பு	இந்த புத்தகம் நூலகத்துக்குச் சேர்ந்தது.
4106:贵重	贵重	贵重	වටිනා; අගනා	කරුණාකර වටිනා භාණ්ඩ ආරක්ෂක පෙට්ටියට දමන්න.	மதிப்புமிக்க; விலை உயர்ந்த	தயவுசெய்து மதிப்புமிக்க பொருட்களை பாதுகாப்புப் பெட்டியில் வையுங்கள்.
4107:棍	棍	棍	දණ්ඩ; කෝටුව	ඔහු දණ්ඩකින් කූඩාරමට ආධාර දුන්නේය.	கம்பு; தடி	அவர் ஒரு கம்பால் கூடாரத்தை தாங்கினார்.
4108:国宝	国宝	国宝	ජාතික නිධානය	බොහෝ දෙනා පැන්ඩා ජාතික නිධානයක් ලෙස සලකති.	தேசிய செல்வம்	பலர் பாண்டாவை தேசிய செல்வமாக கருதுகிறார்கள்.
4109:国产	国产	国产	දේශීයව නිෂ්පාදිත	මෙම මෝටර් රථය දේශීයව නිෂ්පාදිත වෙළඳ නාමයකි.	உள்நாட்டு தயாரிப்பு	இந்த கார் உள்நாட்டு தயாரிப்பு பிராண்டாகும்.
4110:国歌	国歌	国歌	ජාතික ගීය	තරගයට පෙර සියලු දෙනා එක්ව ජාතික ගීය ගායනා කළහ.	தேசிய கீதம்	போட்டிக்கு முன் அனைவரும் சேர்ந்து தேசிய கீதம் பாடினர்.
4111:国旗	国旗	国旗	ජාතික කොඩිය	පාසල් දොරටුවේ ජාතික කොඩිය එල්ලා ඇත.	தேசியக் கொடி	பள்ளி வாயிலில் தேசியக் கொடி தொங்குகிறது.
4112:国情	国情	国情	ජාතික තත්ත්වය; රටේ තත්ත්වය	ප්‍රතිපත්ති සකස් කිරීමේදී රටේ තත්ත්වය සලකා බැලිය යුතුය.	நாட்டின் நிலைமைகள்	கொள்கை வகுக்கும் போது நாட்டின் நிலைமைகளை கருத்தில் கொள்ள வேண்டும்.
4115:过后	过后	过后	පසුව; ඉන්පසු	වැස්සෙන් පසු වාතය ඉතා නැවුම් විය.	பிறகு; பின்னர்	மழைக்குப் பிறகு காற்று மிகவும் பசுமையாக இருந்தது.
4116:过时	过时	过时	කල් ඉකුත් වූ; යල් පැන ගිය	මෙම සැලසුම දැනටමත් යල් පැන ගොස් ඇත.	பழையதாகிவிட்ட; காலாவதியான	இந்த வடிவமைப்பு ஏற்கனவே பழையதாகிவிட்டது.
4117:海内外	海内外	海内外	රට තුළ හා විදේශයන්හි	මෙම විශ්වවිද්‍යාලය රට තුළ හා විදේශයන්හි සිසුන් ආකර්ෂණය කරයි.	உள்நாட்டிலும் வெளிநாட்டிலும்	இந்த பல்கலைக்கழகம் உள்நாட்டிலும் வெளிநாட்டிலும் இருந்து மாணவர்களை ஈர்க்கிறது.
4118:海岸	海岸	海岸	මුහුදු වෙරළ; වෙරළ තීරය	අපි මුහුදු වෙරළ දිගේ ඇවිද්දෙමු.	கடற்கரை; கரை	நாங்கள் கடற்கரையோரம் நடந்தோம்.
4120:海面	海面	海面	මුහුදු මතුපිට	සවස හිරු එළිය මුහුදු මතුපිටට වැටුණි.	கடல் மேற்பரப்பு	மாலைச் சூரியன் கடல் மேற்பரப்பில் ஒளிர்ந்தது.
4121:海域	海域	海域	මුහුදු කලාපය; ජල ප්‍රදේශය	මෙම මුහුදු කලාපය මාළු ඇල්ලීමට සුදුසුය.	கடல் பகுதி; நீர்ப்பரப்பு	இந்த கடல் பகுதி மீன்பிடிக்க ஏற்றது.
4122:害	害	害	හානි කරයි; අනර්ථය	දුම්පානය ශරීරයට හානි කරයි.	கேடு செய்; தீங்கு	புகைப்பிடித்தல் உடலுக்கு கேடு செய்கிறது.
4123:寒冬	寒冬	寒冬	තද ශීත කාලය	තද ශීත කාලයේ වීදියේ පදචාරීන් ඉතා අඩුය.	கடும் குளிர்காலம்	கடும் குளிர்காலத்தில் தெருவில் நடந்து செல்லுபவர்கள் மிகவும் குறைவு.
4126:旱灾	旱灾	旱灾	නියඟ ආපදාව	නියඟ ආපදාව දේශීය කෘෂිකර්මාන්තයට බලපෑවේය.	வறட்சி பேரழிவு	வறட்சி பேரழிவு உள்ளூர் வேளாண்மையை பாதித்தது.
4128:毫不	毫不	毫不	කිසිසේත්ම නැත	දුෂ්කරතා හමුවේ ඔහු කිසිසේත්ම පසුබැසියේ නැත.	சிறிதும் இல்லை	சிரமங்களை எதிர்கொண்டபோது அவர் சிறிதும் பின்வாங்கவில்லை.
4131:毫升	毫升	毫升	මිලිලීටරය	මෙම ඖෂධය එක් වරකට මිලිලීටර් දහයක් ගන්න.	மில்லிலிட்டர்	இந்த மருந்தை ஒவ்வொரு முறையும் பத்து மில்லிலிட்டர் உட்கொள்ளுங்கள்.
4132:好不	好不	好不	ඉතා; බෙහෙවින්	උත්සව දිනයේ වීදිය ඉතා සජීවී විය.	மிகவும்; மிகுந்த	திருநாள் நாளில் தெரு மிகவும் பரபரப்பாக இருந்தது.
4133:好感	好感	好感	හොඳ හැඟීම; සතුටුදායක අදහස	පළමු හමුවීමෙන්ම ඔහුට ඇය ගැන හොඳ හැඟීමක් ඇති විය.	நல்ல அபிப்ராயம்; நல்ல உணர்வு	முதல் சந்திப்பிலேயே அவள்மீது அவருக்கு நல்ல அபிப்ராயம் ஏற்பட்டது.
4134:好容易	好容易	好容易	මහත් අසීරුවෙන්	ඔහු මහත් අසීරුවෙන් ටිකට් පතක් මිලදී ගත්තේය.	மிகுந்த சிரமத்துடன்	அவர் மிகுந்த சிரமத்துடன் தான் டிக்கெட் வாங்கினார்.
4136:好学	好学	好学	ඉගෙනීමට කැමති; ඉගෙනීමට උනන්දු	මෙම සිසුවා බුද්ධිමත් හා ඉගෙනීමට උනන්දුය.	கற்க ஆர்வமுள்ள	இந்த மாணவன் புத்திசாலியும் கற்க ஆர்வமுள்ளவரும் ஆவான்.
4144:黑暗	黑暗	黑暗	අඳුරු; අඳුර	විදුලිය බිඳ වැටීමෙන් පසු කාමරය මුළුමනින්ම අඳුරු විය.	இருள்; இருண்ட	மின்சாரம் துண்டிக்கப்பட்ட பிறகு அறை முழுவதும் இருளாக இருந்தது.
4146:狠	狠	狠	කුරිරු; දැඩි	ඔහු කතා කරන ආකාරය ටිකක් දැඩිය.	கடுமையான; இரக்கமற்ற	அவர் பேசும் விதம் கொஞ்சம் கடுமையாக உள்ளது.
4149:衡量	衡量	衡量	මැන බලයි; තක්සේරු කරයි	සිසුවෙකු ලකුණු වලින් පමණක් මැන බැලිය නොහැක.	அளவிடு; மதிப்பிடு	ஒரு மாணவரை மதிப்பெண்களால் மட்டும் மதிப்பிட முடியாது.
4150:宏大	宏大	宏大	විශාල; උදාර	මෙම සැලැස්මේ ඉලක්ක ඉතා විශාලය.	பிரமாண்டமான; விரிவான	இந்த திட்டத்தின் இலக்குகள் பிரமாண்டமானவை.
4153:后期	后期	后期	පසු අදියර	ව්‍යාපෘතියේ පසු අදියරට වැඩි මුදල් අවශ්‍යය.	பிந்தைய கட்டம்	திட்டத்தின் பிந்தைய கட்டத்திற்கு மேலும் நிதி தேவை.
4154:后人	后人	后人	පසු පරම්පරාව; වංශජයන්	මෙම පොත පසු පරම්පරාවන් බොහෝ දෙනෙකුට බලපෑවේය.	பிந்தைய தலைமுறைகள்; சந்ததியினர்	இந்த புத்தகம் பல பிந்தைய தலைமுறைகளுக்கு தாக்கம் ஏற்படுத்தியது.
4155:后退	后退	后退	පසුපසට යයි; පසුබසී	අනතුරු ඇඟවීම ඇසුණු විට සියලු දෙනා වහාම පසුපසට ගියහ.	பின்னோக்கி நகரு; பின்வாங்கு	எச்சரிக்கை ஒலி கேட்டதும் அனைவரும் உடனே பின்னோக்கி நகர்ந்தனர்.
4156:后者	后者	后者	පසුව සඳහන් දෙය	යෝජනා දෙකම හොඳය, නමුත් පසුව සඳහන් දෙය වඩා ලාභය.	பின்னையது	இரண்டு திட்டங்களும் நல்லவை, ஆனால் பின்னையது மலிவானது.
4159:胡子	胡子	胡子	රැවුල; උඩු රැවුල	ඔහුගේ රැවුල දැනටමත් සුදු වී ඇත.	தாடி; மீசை	அவரின் தாடி ஏற்கனவே வெள்ளையாகிவிட்டது.
4160:户	户	户	ගෘහ ඒකකය; නිවස	මෙම ගම්මානයේ ගෘහ ඒකක තුන්සියයක් ඇත.	குடும்ப அலகு; வீடு	இந்த கிராமத்தில் மூன்றுநூறு குடும்பங்கள் உள்ளன.
4161:互助	互助	互助	එකිනෙකාට උදව් කරයි	අසල්වැසියන් එකිනෙකාට උදව් කළ යුතුය.	ஒருவருக்கொருவர் உதவி செய்	அயலவர்கள் ஒருவருக்கொருவர் உதவி செய்ய வேண்டும்.
4162:花朵	花朵	花朵	මල; මල් පොකුර	වසන්තයේ මල් උද්‍යානය පුරා පිපේ.	மலர்; பூ	வசந்தத்தில் பூங்கா முழுவதும் மலர்கள் மலர்கின்றன.
4164:滑冰	滑冰	滑冰	අයිස් මත ලිස්සා ක්‍රීඩා කරයි	ඇය කුඩා කාලයේ සිට අයිස් මත ලිස්සා ක්‍රීඩා කිරීම ඉගෙන ගත්තාය.	பனியில் சறுக்கு	அவள் சிறு வயதிலிருந்தே பனியில் சறுக்க கற்றுக் கொண்டாள்.
4165:滑行	滑行	滑行	ලිස්සා ගමන් කරයි	ගුවන් යානය ධාවන පථය මත සෙමින් ලිස්සා ගමන් කළේය.	சறுக்கிச் செல்; மெதுவாக நகரு	விமானம் ஓடுதளத்தில் மெதுவாக சறுக்கிச் சென்றது.
4166:滑雪	滑雪	滑雪	හිම මත ලිස්සා ක්‍රීඩා කරයි	ශීත කාලයේ අපි උතුරට ගොස් හිම මත ලිස්සා ක්‍රීඩා කරමු.	பனிச்சறுக்கு செய்	குளிர்காலத்தில் நாங்கள் வடக்கே சென்று பனிச்சறுக்கு செய்கிறோம்.
4172:怀	怀	怀	තුරුල; සිතේ තබා ගනී	ඇය තුරුලේ කුඩා පූස් පැටියෙකු රඳවාගෙන සිටියාය.	மடி; மனதில் வைத்திரு	அவள் மடியில் ஒரு குட்டிப் பூனையை தழுவிக் கொண்டிருந்தாள்.
4176:环	环	环	වළල්ල; චක්‍රය	යතුර ලෝහ වළල්ලක එල්ලා ඇත.	வளையம்; சுற்று	சாவி ஒரு உலோக வளையத்தில் தொங்குகிறது.
