simplified	JA	example_JA
附件	添付ファイル	メールの添付ファイルを確認してください。
附属	付属する	この病院は大学の付属病院です。
改良	改良する	専門家はこの品種の米を改良しています。
盖章	押印する	契約書に署名した後、押印が必要です。
钙	カルシウム	牛乳には豊富なカルシウムが含まれています。
尴尬	気まずい	会議で気まずい沈黙が生じました。
干旱	干ばつ	長期の干ばつが作物に影響しました。
干扰	妨げる	騒音は私の仕事を妨げます。
干涉	干渉する	親は子どもの選択に過度に干渉すべきではありません。
干预	介入する	政府は市場リスクにすぐ介入しました。
感慨	感慨	古い写真を見て、彼は深い感慨を覚えました。
感染	感染する	このウイルスは子どもに感染しやすいです。
干劲	やる気	みんなは仕事にとてもやる気があります。
扛	持ち上げる	伝説では、彼は力が強く、重い鼎を持ち上げられたそうです。
纲领	綱領	会議は新しい行動綱領を採択しました。
岗位	職位	彼女はすぐに新しい職位に慣れました。
港口	港	貨物船は港に停泊しました。
港湾	港湾	小舟は静かな港湾へ入りました。
杠杆	レバレッジ	この投資は高いレバレッジを使いました。
高超	優れた	彼の車修理の技術はとても優れています。
高潮	クライマックス	試合は最後の十分間でクライマックスに達しました。
高峰	ピーク	朝八時は交通のピークです。
高明	巧妙な	この方法は確かに巧妙です。
高尚	高尚な	医者の職業精神はとても高尚です。
高涨	高まる	観客の熱意は絶えず高まりました。
稿件	原稿	編集者は原稿を修正しています。
告辞	辞去する	もう遅いので、私たちは先に辞去します。
告诫	戒める	先生は学生にカンニングしないよう戒めました。
割	切る	彼はうっかり指を切りました。
搁	置く	書類を机の上に置いてください。
歌颂	たたえる	この詩は労働者をたたえています。
疙瘩	しこり	彼の腕にしこりができました。
鸽子	ハト	広場にはたくさんのハトがいます。
格局	間取り	このマンションの間取りはとても合理的です。
格式	形式	指定された形式に従って表に記入してください。
隔阂	隔たり	誤解が彼らの間の隔たりを深めました。
隔离	隔離する	患者は一時的に隔離される必要があります。
革命	革命	この革命は国の運命を変えました。
个体	個体	それぞれの個体には異なる需要があります。
各抒己见	各自が意見を述べる	会議で皆が各自の意見を述べました。
根深蒂固	根深い	この考え方はすでに根深くなっています。
根源	根源	貧困の根源は複雑です。
跟前	そば	子どもは母親のそばへ走って行きました。
跟随	ついて行く	記者は隊列について山間部へ入りました。
跟踪	追跡する	警察は容疑者の行動を追跡しています。
更新	更新する	システムは今夜自動で更新されます。
更正	訂正する	新聞は翌日、誤りを訂正しました。
耕地	耕す	農民は春に畑を耕しています。
供不应求	供給不足	この薬は現在、供給不足です。
供给	供給	都市には安定した水道と電力の供給が必要です。
公安局	公安局	彼は公安局へ事件を届け出に行きました。
公道	公正	皆は公正な処理を望んでいます。
公告	公告	学校は休校の公告を出しました。
公关	広報	会社は専門の広報チームを雇いました。
公民	公民	すべての公民は法律を守るべきです。
公然	公然と	彼は公然と試合の規則に違反しました。
公认	公認の	彼女は公認の優秀な教師です。
公式	公式	この数学公式を書き留めてください。
公务	公務	彼は公務で三日間出張しました。
公正	公正な	裁判官は公正でなければなりません。
公证	公証	この書類には公証が必要です。
功劳	功績	今回の成功には皆の功績があります。
功效	効能	この薬の効能はまだ検証が必要です。
宫殿	宮殿	観光客は古い宮殿を見学しました。
工艺品	工芸品	この工芸品は手作業で作られました。
恭敬	うやうやしい	彼は老人にうやうやしく挨拶しました。
攻击	攻撃する	ハッカーが会社のウェブサイトを攻撃しました。
攻克	克服する	研究チームは技術的難題を克服しました。
巩固	固める	復習は学んだ知識を固めることができます。
共和国	共和国	この共和国は前世紀に成立しました。
共计	合計する	この貨物は合計三百箱です。
共鸣	共感	この歌は多くの人の共感を呼びました。
勾结	結託する	彼らは外部の人間と結託して資金をだまし取りました。
钩子	フック	壁にいくつかのフックが掛かっています。
构思	構想する	作家は新しい小説を構想しています。
姑且	ひとまず	この案はひとまず一週間試してみましょう。
孤独	孤独	新しい都市に引っ越した後、彼は孤独を感じました。
孤立	孤立した	この問題を孤立したものとして見てはいけません。
辜负	裏切る	私は両親の期待を裏切りたくありません。
古董	骨董品	祖父はいくつかの骨董品を収集しました。
古怪	変わった	彼の考えは少し変わっています。
股东	株主	株主総会は来週開かれます。
股份	株式	彼は会社の株式を保有しています。
骨干	中核	これらの技術者はチームの中核です。
鼓动	扇動する	誰かが群衆を扇動して抗議させました。
固然	確かに	この方法は確かに簡単ですが、リスクも小さくありません。
固体	固体	氷は水の固体の形です。
固有	固有の	どの文化にも固有の特徴があります。
固执	頑固な	彼はあまりに頑固で、助言を聞こうとしません。
故乡	故郷	何年も後、彼は故郷に戻りました。
故障	故障	エレベーターが故障し、一時的に使用停止になりました。
雇佣	雇用する	会社はより多くの技術者を雇用することにしました。
顾虑	懸念	何か懸念があれば直接言ってください。
顾问	顧問	私たちは法律顧問を一人招きました。
拐杖	杖	老人は外出するとき、よく杖を持って行きます。
关怀	思いやり	先生は学生に多くの思いやりを示しました。
关照	世話する	道中、子どもをよく世話してください。
官方	公式の	公式発表は明日公表されます。
观光	観光する	観光客は船に乗って観光しました。
管辖	管轄する	この地域は市政府が管轄しています。
惯例	慣例	会議の開始前に来賓を紹介するのは慣例です。
灌溉	灌漑する	農民は川の水で農地を灌漑しています。
罐	缶	机の上に茶葉の缶が置いてあります。
贯彻	徹底する	会社は新しい安全基準を徹底しなければなりません。
光彩	輝き	この服は彼女をとても輝いて見せました。
光辉	光栄	彼の業績は光栄ある一ページを残しました。
光芒	光	太陽の光が谷を照らしました。
光荣	光栄な	国に奉仕することは光栄です。
广阔	広大な	草原は果てしなく続き、とても広大です。
归根到底	結局のところ	結局のところ、問題は管理にあります。
归还	返却する	本を期限どおりに返却してください。
规范	基準	学校は実験室を管理するための基準を定めました。
规格	規格	この部品のロットは規格が一致していません。
规划	計画	都市計画では交通を考慮する必要があります。
规章	規則	従業員は会社の規則を守らなければなりません。
轨道	軌道	列車は軌道に沿って進みます。
贵族	貴族	この荘園はかつて貴族のものでした。
跪	ひざまずく	彼は像の前でひざまずきました。
棍棒	こん棒	警察は現場のこん棒を押収しました。
国防	国防	国防建設には長期的な投資が必要です。
国务院	国務院	国務院は新しい通知を発表しました。
果断	果断な	指導者は果断に決定を下しました。
过度	過度な	携帯電話の過度な使用は睡眠に影響します。
过渡	移行	会社は変革の移行段階にあります。
过奖	褒めすぎる	褒めすぎです、私はまだ学ぶ必要があります。
过滤	ろ過する	この装置は不純物をろ過できます。
过失	過失	今回の事故は人為的な過失によるものです。
过问	口を出す	マネージャーはこうした小さなことにはめったに口を出しません。
过瘾	満足する	この試合は見ていて本当に満足できました。
过于	あまりに	この計画はあまりに複雑です。
嗨	やあ	やあ、君もどうして来たのですか。
海拔	標高	この村は標高が高いです。
海滨	海辺	彼らは海辺で週末を過ごしました。
含糊	曖昧な	彼の答えはとても曖昧でした。
含义	意味	この言葉には特別な意味があります。
寒暄	挨拶を交わす	会った後、彼らはまず少し挨拶を交わしました。
罕见	まれな	この病気は非常にまれです。
捍卫	守る	弁護士は依頼人の権利を守るために努力しました。
航空	航空	航空会社は便をキャンセルしました。
航天	宇宙開発	中国の宇宙開発事業は急速に発展しています。
航行	航行する	船は海上を航行しています。
行列	隊列	彼女はボランティアの隊列に加わりました。
毫米	ミリメートル	このガラスは厚さ五ミリメートルです。
毫无	まったくない	彼の説明にはまったく根拠がありません。
豪迈	豪快な	彼の歌声は豪快で力強いです。
号召	呼びかける	政府は皆に節水を呼びかけました。
耗费	費やす	このプロジェクトは大量の資金を費やしました。
呵	叱る	父親が一声叱ると、子どもはすぐに止まりました。
合并	合併する	二つの会社は来年合併する予定です。
合成	合成する	この材料は人工的に合成できます。
合伙	共同で行う	彼らは共同でレストランを開きました。
合算	割に合う	バスに乗るほうがタクシーより割に合います。
和蔼	穏やかな	この医者は話し方がとても穏やかです。
和解	和解する	双方は最終的に和解に達しました。
和睦	仲が良い	近所の人たちは仲良く付き合っています。
和气	親切な	社長は人にとても親切です。
和谐	調和した	音楽が雰囲気をさらに調和したものにしました。
嘿	おい	おい、聞こえましたか。
痕迹	跡	地面に車輪の跡が残りました。
狠心	冷酷な	彼は冷酷にも友人の頼みを断りました。
恨不得	今すぐしたい	私は今すぐ家に帰って休みたいです。
哼	鼻を鳴らす	彼は不機嫌そうに鼻を鳴らしました。
横	横の	紙に横線を一本引いてください。
哄	どっと笑う	皆はどっと笑い出しました。
烘	焼く	パンは炉の中で焼かれています。
轰动	大きな反響を呼ぶ	このニュースは全国で大きな反響を呼びました。
宏观	マクロの	私たちはマクロの角度から経済を分析する必要があります。
宏伟	壮大な	この橋の設計は非常に壮大です。
洪水	洪水	洪水はいくつかの橋を押し流しました。
喉咙	喉	彼は話しすぎて、喉が少し痛くなりました。
吼	大声で叫ぶ	彼は遠くに向かって大声で叫びました。
候选	候補	彼女は今年の代表候補です。
后代	後代	私たちは後代のために環境を守らなければなりません。
后顾之忧	後顧の憂い	安定した収入のおかげで、彼には後顧の憂いがありません。
后勤	後方支援	後方支援部門は物資供給を担当しています。
呼唤	呼ぶ	母親は入口で子どもを呼びました。
呼啸	うなる	寒風が窓の外でうなっていました。
呼吁	呼びかける	専門家は皆に浪費を減らすよう呼びかけました。
忽略	見落とす	この細部を見落とさないでください。
湖泊	湖	この地域には多くの天然の湖があります。
胡乱	むやみに	物をむやみに地面に置かないでください。
胡须	ひげ	彼のひげはすでに白くなっています。
花瓣	花びら	雨の後、花びらが地面一面に落ちました。
花蕾	つぼみ	春になると枝につぼみが出ます。
华丽	華やかな	舞台上の衣装は非常に華やかでした。
华侨	華僑	多くの華僑が故郷に戻って投資しました。
划分	分ける	先生は学生を四つのグループに分けました。
化肥	化学肥料	農民は作物に化学肥料を施しました。
化石	化石	博物館には恐竜の化石が展示されていました。
化验	検査	医者は彼に血液検査を受けるよう言いました。
化妆	化粧する	彼女は舞台に上がる前に化粧していました。
画蛇添足	余計なことをする	さらに説明を加えると、かえって余計なことになります。
话筒	マイク	司会者は観客にマイクを渡しました。
欢乐	喜び	祭りの広場は喜びに満ちていました。
环节	段階	研修の各段階はどれも重要です。
还原	元に戻す	設定をデフォルト状態に戻してください。
缓和	和らぐ	双方の関係は次第に和らぎました。
患者	患者	医者は患者の状況を尋ねています。
荒凉	荒涼とした	この土地はとても荒涼として見えます。
荒谬	ばかげた	この説明はとてもばかげて聞こえます。
荒唐	でたらめな	彼の決定はあまりにでたらめです。
皇帝	皇帝	皇帝は壮大な宮殿に住んでいました。
皇后	皇后	皇后は祝典に参加しました。
黄昏	黄昏	黄昏時、街灯がともりました。
恍然大悟	はっと悟る	説明を聞き終えると、彼ははっと悟りました。
晃	揺れる	目の前がふっと揺れ、彼は見えなくなりました。
挥霍	浪費する	彼は両親のお金を浪費すべきではありません。
辉煌	輝かしい	この都市には輝かしい歴史があります。
回报	報い	努力して働けば、最終的に報いがあります。
回避	避ける	彼はずっとこの問題を避けています。
回顾	振り返る	会議の最後に一年間の仕事を振り返りました。
回收	回収する	団地では古い電池の回収が始まりました。
悔恨	後悔	彼は過去の過ちを後悔しています。
毁灭	破壊する	戦争はこの都市をほとんど破壊しました。
会晤	会談する	両国の指導者は明日会談します。
汇报	報告する	彼はマネージャーに進捗を報告しました。
贿赂	賄賂	その役人は賄賂のため調査されました。
昏迷	昏睡	患者はまだ昏睡状態にあります。
荤	肉料理	この料理は肉料理なので、菜食者には向きません。
浑身	全身	走り終えた後、彼は全身汗だくでした。
混合	混ぜる	二種類の材料を均一に混ぜてください。
混乱	混乱	現場は一時とても混乱しました。
混淆	混同する	この二つの概念を混同しないでください。
混浊	濁った	雨の後、川の水は濁りました。
活该	当然だ	彼は忠告を聞かなかったので、失敗しても当然です。
活力	活力	この都市は活力に満ちています。
火箭	ロケット	ロケットは予定の軌道に無事入りました。
火焰	炎	風が炎をさらに高くしました。
火药	火薬	火薬は古代の戦争の方式を変えました。
货币	通貨	通貨政策は経済発展に影響します。
基地	基地	ここはかつて重要な訓練基地でした。
基金	基金	学校は奨学基金を設立しました。
基因	遺伝子	科学者はこの遺伝子を研究しています。
机动	機動的な	この隊は高い機動性を保っています。
机构	機関	この機関は品質検査を担当しています。
机灵	利口な	この子どもはとても利口です。
机密	機密	これらの資料は機密に属します。
机械	機械	工場は新しい機械を導入しました。
机遇	機会	若者は機会をつかむべきです。
机智	機知に富んだ	彼の答えは非常に機知に富んでいました。
激发	引き出す	先生は学生の興味を引き出しました。
激励	励ます	今回の成功はチーム全体を励ましました。
激情	情熱	彼は演説のとき情熱に満ちていました。
讥笑	あざ笑う	他人の間違いをあざ笑ってはいけません。
饥饿	飢え	長期間の飢えは健康に影響します。
即便	たとえ	たとえ雨が降っても、私たちは時間どおり出発します。
即将	まもなく	会議はまもなく始まります。
及早	早めに	問題を見つけたら早めに処理すべきです。
吉祥	縁起がよい	赤色は中国でよく縁起のよさを象徴します。
嫉妒	嫉妬する	彼は同僚の成功に嫉妬すべきではありません。
急功近利	目先の利益を急ぐ	研究では目先の利益を急いではいけません。
急剧	急激な	売上は急激に下がりました。
急切	切実な	彼女は切実に知らせを待っていました。
急于求成	成果を急ぐ	言語学習では成果を急いではいけません。
急躁	せっかちな	困難に出会ってもせっかちになってはいけません。
极端	極端な	このような極端な天気はますます一般的になっています。
极限	限界	今回の訓練は彼の限界に挑みました。
疾病	疾病	良い習慣は疾病を予防できます。
籍贯	本籍地	表には本籍地を記入する必要があります。
级别	レベル	この大会は三つのレベルに分かれています。
集团	グループ	このグループは海外に支社があります。
给予	与える	学校は貧しい学生に支援を与えています。
季军	三位	彼は試合で三位を獲得しました。
季度	四半期	会社は各四半期に財務報告を発表します。
寂静	静かな	夜の谷は格別に静かです。
寄托	託す	彼女は希望を子どもに託しました。
忌讳	タブー	地元の人は食卓でこの件を話すことをタブーとします。
技巧	技巧	技巧を身につけると効率を高められます。
纪要	議事要旨	秘書は会議の議事要旨を整理しました。
继承	継承する	彼は父の事業を継承しました。
计较	こだわる	こんな小さなことでこだわらないでください。
记性	記憶力	彼は記憶力がとても良いです。
记载	記載する	史書にはこの戦争が記載されています。
迹象	兆し	現在、好転の兆しはありません。
佳肴	ごちそう	テーブルにはおいしいごちそうが並んでいました。
加工	加工する	これらの原料はさらに加工する必要があります。
加剧	激化する	矛盾は激化しています。
夹杂	混じる	雨音の中に雷の音が混じっていました。
家常	家庭的な	私は家庭料理を食べるのが好きです。
家伙	やつ	あのやつはいつも遅刻します。
家属	家族	医者は患者の家族に知らせました。
家喻户晓	誰もが知っている	この物語は誰もが知っています。
坚定	断固とした	彼女の態度は非常に断固としています。
坚固	頑丈な	この橋はとても頑丈です。
坚韧	粘り強い	彼は粘り強い性格を持っています。
坚实	堅実な	この研究には堅実な基礎があります。
坚硬	硬い	この石は非常に硬いです。
尖端	最先端	会社は最先端技術に投資しています。
尖锐	鋭い	この問題は非常に鋭いです。
煎	焼く	料理人は魚を焼いています。
监督	監督する	公衆の監督は仕事の改善に役立ちます。
监视	監視する	警察は容疑者を監視しています。
监狱	刑務所	彼は刑務所で服役しています。
艰难	困難な	起業初期は非常に困難です。
剪彩	テープカットをする	市長は新しい図書館のためにテープカットをしました。
拣	選び出す	彼女はかごの中からリンゴをいくつか選び出しました。
检讨	反省する	彼は自分の過ちを真剣に反省しました。
检验	検証する	実験はこの仮説を検証できます。
简化	簡略化する	手順をさらに簡略化してください。
简陋	粗末な	彼らは粗末な小屋に住んでいました。
简体字	簡体字	この教材は簡体字を使用しています。
简要	簡潔な	あなたの見解を簡潔に説明してください。
健全	健全にする	会社は管理制度を健全にする必要があります。
剑	剣	壁には古い剣が一本掛かっています。
溅	はねる	雨水が彼のズボンにはねました。
舰艇	艦艇	複数の艦艇が演習に参加しました。
见多识广	見識が広い	この老人は見識が広いです。
见解	見解	彼はこの問題について独自の見解を持っています。
见闻	見聞	旅行は彼の見聞を広げました。
见义勇为	義を見て勇敢に行動する	彼は義を見て勇敢に行動したため表彰されました。
践踏	踏みにじる	芝生を踏みにじってはいけません。
鉴别	見分ける	専門家はこの絵の真偽を見分けられます。
鉴定	鑑定する	警察は指紋を鑑定しています。
鉴于	考慮して	悪天候を考慮して、活動は延期されました。
间谍	スパイ	この映画はスパイの物語を描いています。
间隔	間隔	二回の会議の間隔は一週間です。
间接	間接的な	この政策は間接的な影響を生みます。
僵硬	こわばった	彼の笑顔はとてもこわばって見えました。
将军	将軍	将軍は命令を下しました。
将近	ほぼ	この工事はほぼ二年間続きました。
将就	我慢する	条件が悪いので、私たちは少し我慢するしかありません。
奖励	奨励する	学校は優秀な学生を奨励しました。
奖赏	褒美	王は勇士に手厚い褒美を与えました。
桨	櫂	船頭は櫂で船を岸へこぎました。
降临	訪れる	夜の帳が次第に都市の上空に訪れました。
交叉	交差する	二本の道はここで交差します。
交代	説明する	任務をはっきり説明してください。
交涉	交渉する	双方は賠償問題について交渉しています。
交易	取引	この取引はすでに完了しました。
娇气	ひ弱な	そんなにひ弱にならないで、天気は寒くありません。
焦点	焦点	就業問題が議論の焦点になりました。
焦急	焦る	母親は子どもの帰りを焦りながら待っていました。
侥幸	運よく	彼は運よく災難を逃れました。
搅拌	かき混ぜる	生地を均一にかき混ぜてください。
缴纳	納める	住民は水道料金を期限どおり納める必要があります。
角落	隅	猫は部屋の隅に隠れました。
教养	教養	良い教養は細部に表れます。
较量	競う	二つの強いチームがまもなく競います。
接连	続けて	彼は続けて三通のメールを受け取りました。
揭露	暴く	記者は食品安全の問題を暴きました。
皆	皆	これらの規定は皆が知っています。
阶层	階層	異なる階層には異なる需要があります。
截止	締め切る	申し込みは明日の午後に締め切られます。
截至	時点で	今日の時点で、すでに二百人が申し込みました。
杰出	傑出した	彼女は傑出した科学者です。
竭尽全力	全力を尽くす	私たちは任務を完了するために全力を尽くします。
结晶	結晶	この成果は長年の努力の結晶です。
结局	結末	物語の結末は意外でした。
结算	精算する	顧客は月末に費用を精算するよう求めました。
节制	節制	飲食には節制が必要です。
节奏	リズム	この歌のリズムは速いです。
解除	解除する	会社は安全警報を解除しました。
解放	解放する	改革は生産力を解放しました。
解雇	解雇する	社長はその従業員を解雇することにしました。
解剖	解剖	医学生は解剖を学んでいます。
解散	解散する	会議が終わった後、隊列は解散しました。
解体	解体する	その連盟は最終的に解体しました。
借鉴	参考にする	私たちは外国の経験を参考にできます。
借助	借りる	彼は地図の助けを借りて道を見つけました。
戒备	警戒	国境地域は高度な警戒を保っています。
界限	境界	仕事と生活には明確な境界が必要です。
津津有味	興味深そうに	子どもたちは興味深そうに物語を聞いていました。
金融	金融	金融市場は今日大きく変動しました。
紧迫	差し迫った	時間が差し迫っているので、私たちはすぐ行動しなければなりません。
锦上添花	さらに花を添える	この贈り物は本当にさらに花を添えるものでした。
晋升	昇進する	彼は昨年、部門マネージャーに昇進しました。
浸泡	浸す	豆は一晩浸す必要があります。
近来	最近	最近、天気の変化が大きいです。
进而	さらに	まず需要を理解し、さらに方案を制定します。
进攻	攻撃	チームは後半に攻撃を強めました。
进化	進化	生物は環境とともに進化します。
进展	進展する	プロジェクトは現在順調に進展しています。
兢兢业业	こつこつと	彼は三十年間こつこつと働きました。
惊动	驚かせる	大きな音が近くの住民を驚かせました。
惊奇	驚く	子どもたちは驚いて手品の演技を見ていました。
惊讶	驚く	彼の答えは私をとても驚かせました。
精打细算	細かく計算する	彼女は暮らしの中でいつも細かく計算しています。
精华	精華	この文章は理論の精華を要約しています。
精简	簡素化する	会社は管理層を簡素化することにしました。
精密	精密な	この機器は非常に精密です。
精确	正確な	データは小数点以下二桁まで正確でなければなりません。
精通	精通する	彼は三つの外国語に精通しています。
精心	念入りに	母は夕食を念入りに準備しました。
精益求精	さらに高みを求める	優れた職人はいつもさらに高みを求めます。
精致	精巧な	この贈り物はとても精巧に包装されています。
经费	経費	研究経費はすでに承認されました。
经纬	経緯	地図には経線と緯線が示されています。
茎	茎	植物の茎は葉を支えています。
井	井戸	村の入口には古い井戸があります。
警告	警告する	先生は学生にカンニングしないよう警告しました。
警惕	警戒する	私たちはネット詐欺に警戒すべきです。
颈椎	頸椎	長時間うつむくと頸椎を傷めます。
境界	境地	彼の絵画は新しい境地に達しました。
敬礼	敬礼	兵士は国旗に敬礼しました。
敬业	仕事熱心な	彼女は真面目に働き、とても仕事熱心です。
竞赛	競技	学校は数学競技を開催しました。
竞选	立候補する	彼は市長に立候補する準備をしています。
镜头	レンズ	撮影者はレンズを調整しました。
纠纷	紛争	双方は調停を通じて紛争を解決しました。
纠正	訂正する	先生は発音の間違いをすぐに訂正しました。
酒精	アルコール	医者はアルコールで傷口を消毒しました。
就近	近くで	学生は近くの学校に入学できます。
就业	就業	政府は就業を促進する政策を打ち出しました。
就职	就任する	新しいマネージャーは来週正式に就任します。
救济	救済	被災者は速やかな救済を受けました。
居民	住民	近くの住民は騒音公害に反対しています。
居住	居住する	彼らはここに十年間居住しています。
拘留	拘留する	警察は法律に従って容疑者を拘留しました。
拘束	遠慮する	友人の前では遠慮する必要はありません。
鞠躬	お辞儀する	俳優は観客にお辞儀して感謝しました。
局部	局部	医者は局部麻酔だけを行いました。
局面	局面	交渉は緊張した局面を改善しました。
局势	情勢	国際情勢は依然として複雑です。
局限	限界	この方法には明らかな限界があります。
举动	行動	彼の行動は皆をとても感動させました。
举世瞩目	世界の注目を集める	このプロジェクトは世界の注目を集める成果を上げました。
举足轻重	重要な役割を果たす	この会社は業界で重要な役割を果たしています。
咀嚼	かむ	食事のときはゆっくりかむべきです。
沮丧	落ち込む	試合に負けた後、彼はとても落ち込みました。
剧本	脚本	監督は脚本を修正しています。
剧烈	激しい	地面が激しく揺れました。
据悉	伝えられるところでは	伝えられるところでは、会議は来週に延期されます。
聚精会神	集中する	子どもたちは集中して授業を聞いていました。
卷	巻く	彼は地図を巻いてかばんに入れました。
倔强	頑固な	この子どもは性格がとても頑固です。
决策	意思決定	経営陣は重要な意思決定について議論しています。
绝望	絶望	失敗した後、彼は一時絶望を感じました。
觉悟	自覚	今回の経験は彼の自覚を高めました。
觉醒	目覚める	大衆の環境保護意識は目覚めつつあります。
军队	軍隊	軍隊はすぐに被災地へ到着しました。
君子	君子	君子は言行一致であるべきです。
卡通	アニメ	子どもはアニメ映画を見るのが好きです。
开采	採掘する	この会社は鉱産物の採掘を担当しています。
开除	退学にする	学校はカンニングした学生を退学にすることにしました。
开阔	広い	山頂に立つと視野がとても広いです。
开朗	明るい	彼女は性格が明るく、友達が多いです。
开明	開明的な	両親の態度はとても開明的です。
开辟	切り開く	都市は新しいバス路線を切り開きました。
开拓	開拓する	会社は海外市場を開拓する計画です。
开展	展開する	学校は安全教育活動を展開しました。
开支	支出	家庭の毎月の支出が増えました。
刊登	掲載する	新聞は彼の記事を掲載しました。
刊物	刊行物	この刊行物は毎月一回出版されます。
勘探	探査	作業隊は地下水源を探査しています。
侃侃而谈	堂々と話す	彼は会議で堂々と話しました。
砍伐	伐採する	森林をむやみに伐採することは禁止されています。
看待	見る	私たちはこの問題を客観的に見るべきです。
慷慨	気前よく	彼は賞金を気前よく寄付しました。
抗议	抗議する	住民は新しい工場の建設に抗議しました。
考察	視察する	専門家は現場へ環境を視察しに行きました。
考古	考古学	考古学チームは古代の墓を発見しました。
考核	評価する	会社は毎年従業員の業績を評価します。
考验	試す	今回の危機はチームの能力を試しました。
靠拢	近寄る	隊員たちは中央へ近寄りました。
磕	ぶつける	彼はうっかり机の角にぶつけました。
科目	科目	数学は彼が一番好きな科目です。
可观	かなりの	この投資はかなりの収益をもたらしました。
可口	おいしい	このレストランの料理はおいしいです。
可恶	憎らしい	このような詐欺行為は本当に憎らしいです。
可行	実行可能な	この案は基本的に実行可能です。
渴望	切望する	子どもたちはより多くの機会を切望しています。
克制	抑える	議論のときは感情を抑えるべきです。
刻不容缓	一刻の猶予もない	水源を守ることは一刻の猶予もありません。
客户	顧客	顧客はサービスにとても満足しています。
课题	課題	この課題は深く研究する価値があります。
啃	かじる	子どもはトウモロコシを一本かじっています。
恳切	心からの	彼は心から皆に助けを求めました。
坑	穴	道端に深い穴があります。
空洞	中身のない	この報告は内容が中身のないものです。
空前绝后	空前絶後の	この公演は空前絶後と言えます。
空想	空想	空想だけでは問題を解決できません。
空虚	虚しい	忙しさが過ぎた後、彼は虚しさを感じました。
孔	穴	壁に小さな穴があります。
恐怖	恐ろしい	あの映画の雰囲気はとても恐ろしいです。
恐吓	脅す	相手は脅迫で証人を脅しました。
恐惧	恐怖	暗闇は子どもに恐怖を感じさせました。
空白	空白	空白のところに署名してください。
空隙	隙間	ドアと床の間に隙間があります。
口气	口調	彼の話す口調はとても強硬でした。
口腔	口腔	医者は彼の口腔を検査しました。
口头	口頭の	彼らには口頭の合意しかありません。
口音	なまり	彼の普通話には少しなまりがあります。
扣	締める	シートベルトをしっかり締めてください。
哭泣	泣く	女の子は隅に隠れて泣いていました。
枯萎	しおれる	水不足で花がしおれました。
枯燥	退屈な	この仕事は少し退屈です。
苦尽甘来	苦労の後に幸せが来る	何年も耐え続けた後、ついに苦労の後に幸せが来ました。
苦涩	苦い	この薬草茶は苦い味がします。
挎	腕に掛ける	彼女は布のバッグを腕に掛けて出かけました。
跨	またぐ	彼は溝をまたいで前へ進みました。
快活	楽しい	子どもたちは草地で楽しく遊んでいました。
宽敞	広々とした	この教室は明るく広々としています。
宽容	寛容	社会にはもっと理解と寛容が必要です。
款待	もてなす	主人は客を温かくもてなしました。
款式	デザイン	この服のデザインはとても新しいです。
筐	かご	彼はリンゴ一かごを背負って家に帰りました。
况且	そのうえ	道は遠く、そのうえ空も暗くなりかけています。
旷课	授業をさぼる	学生が理由なく授業をさぼると記録されます。
框架	枠組み	報告書はまず枠組みを決める必要があります。
矿产	鉱産物	この地域は鉱産資源が豊富です。
亏待	不当に扱う	会社は真面目に働く従業員を不当に扱いません。
亏损	損失	工場は今年深刻な損失を出しました。
捆绑	縛る	これらの箱をしっかり縛ってください。
扩充	拡充する	学校は図書館の蔵書を拡充する計画です。
扩散	広がる	うわさはすぐにネット上で広がりました。
扩张	拡張する	会社は慎重に事業を拡張しています。
啦	よ	心配しないでよ、すべてよくなります。
喇叭	クラクション	車のクラクションが突然鳴りました。
蜡烛	ろうそく	誕生日ケーキにろうそくが立てられていました。
来历	由来	この文化財の由来は不明です。
来源	出所	ニュースは情報の出所を明記しなければなりません。
栏目	コーナー	このコーナーは毎週一回放送されます。
懒惰	怠惰	怠惰は学習効果に影響します。
狼狈	みじめな	雨の後、彼は全身ずぶぬれでとてもみじめでした。
狼吞虎咽	がつがつ食べる	彼は腹ぺこで、がつがつ食事をしました。
捞	すくい上げる	漁師は川から網を一枚すくい上げました。
唠叨	くどくど言う	母はいつも小さなことでくどくど言います。
牢固	しっかりした	この橋の構造はとてもしっかりしています。
牢骚	不満	彼は不満だらけですが、変えようとはしません。
乐趣	楽しみ	読書は彼女に多くの楽しみをもたらします。
乐意	喜んでする	私は喜んであなたの履歴書修正を手伝います。
雷达	レーダー	レーダーは遠くの飛行機を発見しました。
类似	類似した	類似した問題は以前にも現れました。
冷酷	冷酷な	彼の口調は非常に冷酷に聞こえました。
冷落	冷遇する	新入社員は自分が冷遇されていると感じました。
冷却	冷却する	機械は修理前にまず冷却する必要があります。
愣	ぽかんとする	その知らせを聞いて、彼はぽかんとしました。
黎明	夜明け	夜明けのころ、都市は次第に目覚めました。
理睬	相手にする	彼は怒って、誰も相手にしません。
理所当然	当然のこと	他人の助けを当然のことと思ってはいけません。
理直气壮	筋が通って堂々としている	証拠が十分なので、彼は筋が通って堂々と話しました。
理智	理性	衝突に直面したときは理性を保つべきです。
礼节	礼儀	文化が違えば礼儀も違います。
礼尚往来	礼には礼を返す	隣人同士は礼には礼を返すことを重んじます。
里程碑	節目	今回の成功はプロジェクトの節目です。
例外	例外	全員が参加しなければならず、例外はありません。
利害	利害	これは双方の利害関係に関わります。
