simplified	NL	example_NL
短促	kort	Hij slaakte een korte zucht
断定	vaststellen	Nu kunnen we nog niet vaststellen wie gelijk heeft
断绝	afbreken	Na het ongeluk verloor het dorp het contact met de buitenwereld
堆积	ophopen	De sneeuw hoopte zich op langs de weg
兑现	nakomen	Hij kwam uiteindelijk zijn belofte na
对策	de tegenmaatregel	Tegenover risico's hebben we tegenmaatregelen nodig
对称	symmetrisch	De linker- en rechterkant van dit gebouw zijn symmetrisch
对付	aanpakken	Dit probleem is niet makkelijk aan te pakken
对抗	tegenover elkaar staan	De twee teams staan in de finale tegenover elkaar
对立	tegenovergesteld	De standpunten van beide kanten zijn volledig tegenovergesteld
对联	de nieuwjaarscoupletten	Tijdens het Lentefeest plakken ze nieuwjaarscoupletten bij de deur
对应	overeenkomen	Elk nummer komt overeen met een zitplaats
对照	vergelijken	Vergelijk de vertaling alstublieft met de oorspronkelijke tekst
队伍	de stoet	De stoet liep langzaam vooruit
顿时	meteen	Toen hij dit nieuws hoorde, verstijfde hij meteen
哆嗦	rillen	Het was zo koud dat hij de hele tijd rilde
多元化	diversificatie	Het bedrijf stimuleert diversificatie van zijn activiteiten
堕落	moreel achteruitgaan	Hij wil zichzelf niet verder moreel laten achteruitgaan
额外	extra	Voor deze dienst moet extra worden betaald
恶心	misselijk	Toen ik die geur rook, werd ik een beetje misselijk
恶化	verslechteren	Als het niet wordt behandeld, kan de ziekte verslechteren
遏制	indammen	De regering nam maatregelen om vervuiling in te dammen
恩怨	de oude wrok	De oude wrok tussen de twee bedrijven bestaat al lang
而已	meer niet	Ik zei het zomaar, meer niet
二氧化碳	kooldioxide	Planten nemen kooldioxide op
发布	bekendmaken	Het bedrijf maakt morgen een nieuw product bekend
发财	rijk worden	Hij hoopt door hard werken rijk te worden
发呆	voor zich uit staren	Ze zat bij het raam voor zich uit te staren
发动	op gang brengen	Vrijwilligers brachten bewoners op gang om de straat schoon te maken
发觉	merken	Ik merkte dat hij vandaag een beetje gespannen was
发射	lanceren	De raket wordt 's avonds gelanceerd
发誓	zweren	Hij zwoer nooit meer te liegen
发行	uitbrengen	Deze film wordt volgende maand uitgebracht
发炎	ontstoken	De wond is een beetje ontstoken
发扬	verder ontwikkelen	We moeten de geest van teamwork verder ontwikkelen
发育	de ontwikkeling	De lichamelijke ontwikkeling van kinderen heeft genoeg voeding nodig
法人	de rechtspersoon	Dit bedrijf is een zelfstandige rechtspersoon
番	deze woorden	Deze woorden inspireerden mij sterk
凡是	iedereen die	Iedereen die zich inschrijft moet aan de training deelnemen
繁华	levendig	Deze straat was vroeger erg levendig
繁忙	druk	Het vliegveld is tijdens vakanties bijzonder druk
繁体字	traditionele Chinese karakters	In Taiwan gebruikt men vaak traditionele Chinese karakters
繁殖	zich voortplanten	Deze plant plant zich gemakkelijk voort
反驳	weerleggen	Hij weerlegde dit standpunt met gegevens
反常	ongewoon	Het weer is vandaag een beetje ongewoon
反感	een afkeer hebben van	Ik heb een sterke afkeer van dit soort reclame
反抗	zich verzetten	Mensen begonnen zich tegen de oneerlijke regel te verzetten
反馈	terugkoppeling	Klanten gaven als terugkoppeling dat het systeem erg stabiel is
反面	de achterkant	Draai het papier alstublieft naar de achterkant
反射	weerkaatsen	Een spiegel weerkaatst licht
反思	nadenken over	Na de mislukking dacht hij serieus na over de redenen
反问	terugvragen	Hij antwoordde niet, maar stelde mij een vraag terug
反之	omgekeerd	Te hoge prijzen verminderen de vraag, en omgekeerd geldt hetzelfde
泛滥	overstromen	De hevige regen liet de rivier overstromen
范畴	de categorie	Dit probleem valt binnen de juridische categorie
贩卖	verhandelen	De wet verbiedt het verhandelen van nepmedicijnen
方位	de richting	Op de kaart staat de exacte richting aangegeven
方言	het dialect	Hij kan het plaatselijke dialect verstaan
方圆	binnen een straal	Binnen een straal van tien kilometer is er geen ziekenhuis
方针	het beleid	Het bedrijf stelde nieuw ontwikkelingsbeleid vast
防守	de verdediging	De verdediging van dit team is erg stabiel
防御	verdediging	De stadsmuur werd vroeger gebruikt voor verdediging tegen vijanden
防止	voorkomen	Doe alstublieft uw veiligheidsgordel om om letsel te voorkomen
防治	preventie en behandeling	De arts legde methoden voor ziektepreventie en behandeling uit
纺织	textielproductie	Deze stad staat bekend om haar textielindustrie
访问	bezoeken	De journalist bezoekt morgen deze schrijver
放大	vergroten	Vergroot de afbeelding alstublieft een beetje
放射	uitstralen	Dit materiaal straalt warmte uit
非法	illegaal	Illegale transacties worden bestraft
飞禽走兽	vogels en dieren	In het bos leven allerlei vogels en dieren
飞翔	vliegen	Meeuwen vliegen boven de zee
飞跃	de sprong	De ontwikkeling van technologie maakte een enorme sprong
肥沃	vruchtbaar	Deze grond is erg vruchtbaar
诽谤	laster	Wie anderen belastert moet juridische verantwoordelijkheid dragen
废除	afschaffen	Deze oude regel is al afgeschaft
废寝忘食	helemaal opgaan in	Zij gingen helemaal op in het onderzoek en vergaten rust en eten
废墟	de ruine	Na de aardbeving werd die plek een ruine
沸腾	koken	Het water kookt al
肺	de long	Roken kan de longen beschadigen
分辨	onderscheiden	Ik kan deze twee kleuren moeilijk onderscheiden
分寸	de maat	Zelfs bij grappen moet je de juiste maat kennen
分红	dividend	Aandeelhouders kunnen aan het einde van het jaar dividend ontvangen
分解	opsplitsen	De docent splitste het ingewikkelde probleem op in enkele stappen
分裂	splitsen	Interne tegenstellingen deden de organisatie splitsen
分泌	afscheiden	Dit soort klier scheidt hormonen af
分明	duidelijk	De feiten zijn al heel duidelijk
分歧	het meningsverschil	Beide partijen hebben een meningsverschil over de prijs
分散	spreiden	Spreid het risico alstublieft over verschillende projecten
吩咐	opdragen	De baas droeg mij op de documenten te ordenen
坟墓	het graf	Op de helling staat een oud graf
粉末	het poeder	Maal de tabletten alstublieft tot poeder
粉色	roze	Zij kocht een roze sjaal
粉碎	ontmantelen	De politie ontmantelde deze criminele bende
分量	het gewicht	Deze zin heeft veel gewicht
愤怒	de woede	Zijn toon zat vol woede
丰满	volledig	De inhoud van dit artikel is nog niet volledig genoeg
丰盛	overvloedig	Zij bereidden een overvloedig diner
丰收	de goede oogst	De boeren kregen dit jaar een goede oogst
封闭	afsluiten	Tijdens de werkzaamheden wordt deze weg afgesloten
封建	feodaal	Deze feodale manier van denken had allang moeten veranderen
封锁	afzetten	De politie zette de plaats van het ongeval af
锋利	scherp	Dit mes is erg scherp
风暴	de storm	Op zee verscheen plotseling een storm
风度	de uitstraling	Op het podium had hij een elegante uitstraling
风光	het landschap	Het natuurlijke landschap hier is erg mooi
风气	de sfeer	De school heeft een goede leersfeer ontwikkeld
风趣	geestig	Hij spreekt erg geestig
风土人情	lokale gewoonten	Reizen helpt om lokale gewoonten te begrijpen
风味	de lokale smaak	Dit restaurant heeft een sterke lokale smaak
逢	telkens wanneer	Telkens wanneer het weekend is, is het park levendig
奉献	wijden	De arts wijdde veel tijd aan patienten
否决	verwerpen	Het bestuur verwierp dit voorstel
夫妇	het echtpaar	Dit echtpaar runt een kleine winkel
夫人	de echtgenote	Meneer Wang en zijn echtgenote woonden samen het diner bij
敷衍	plichtmatig	Hij gaf slechts een paar plichtmatige antwoorden
俘虏	de gevangenen	Na het einde van de oorlog werden de gevangenen vrijgelaten
幅度	de omvang	De omvang van deze prijsverlaging is groot
服从	gehoorzamen	Soldaten moeten bevelen gehoorzamen
服气	overtuigd zijn	Hij verloor de wedstrijd, maar was innerlijk niet overtuigd
福利	de arbeidsvoorwaarden	Werknemers hechten veel waarde aan de arbeidsvoorwaarden van het bedrijf
福气	het geluk	Een goede leraar ontmoeten is zijn geluk
符号	het symbool	Dit symbool staat voor gevaar
辐射	de straling	De arts herinnerde hem eraan uit de buurt van sterke straling te blijven
俯视	neerkijken op	Vanaf de bergtop kun je op de hele stad neerkijken
抚摸	aaien	Ze aaide zachtjes het hoofd van het kind
抚养	opvoeden	De grootouders hielpen het kind op te voeden
腐败	de corruptie	De regering bestrijdt corruptie
腐烂	rotten	Fruit gaat rotten als het te lang blijft liggen
腐蚀	corroderen	Zuur kan een metalen oppervlak corroderen
腐朽	verrot	Zij bekritiseerden het verrotte systeem
辅助	ondersteunen	Dit hulpmiddel kan het onderwijs ondersteunen
副	plaatsvervangend	Zij werd benoemd tot plaatsvervangend manager
复活	herleven	Dit traditionele festival is aan het herleven
复兴	de heropleving	Culturele heropleving vraagt langdurige inspanning
富裕	welvarend	Dit dorp wordt nu steeds welvarender
腹泻	diarree	Hij heeft ernstige diarree en moet naar de dokter
覆盖	bedekken	Zware sneeuw bedekte de hele vallei
负担	de last	De huur werd zijn belangrijkste last
赋予	toekennen	De wet kent burgers basisrechten toe
附和	napraten	Hij heeft geen eigen mening en praat alleen anderen na
附件	de bijlage	Bekijk alstublieft de bijlage in de e-mail
附属	verbonden aan	Dit ziekenhuis is verbonden aan de universiteit
改良	verbeteren	Deskundigen verbeteren deze rijstsoort
盖章	afstempelen	Nadat het contract is ondertekend, moet het worden afgestempeld
钙	het mineraal calcium	Melk bevat veel calcium
尴尬	ongemakkelijk	Er viel een ongemakkelijke stilte tijdens de vergadering
干旱	de droogte	De langdurige droogte had invloed op de gewassen
干扰	storen	Lawaai stoort mijn werk
干涉	zich bemoeien met	Ouders moeten zich niet te veel bemoeien met de keuzes van hun kinderen
干预	ingrijpen	De regering greep tijdig in bij het marktrisico
感慨	ontroerd zijn	Bij het zien van oude foto's was hij erg ontroerd
感染	besmetten	Dit virus besmet kinderen gemakkelijk
干劲	werklust	Iedereen werkt met veel werklust
扛	omhoog tillen	Volgens de legende was hij sterk genoeg om een zware ketel omhoog te tillen
纲领	het actieprogramma	De vergadering nam een nieuw actieprogramma aan
岗位	de functie	Zij paste zich snel aan haar nieuwe functie aan
港口	de haven	Het vrachtschip meerde aan in de haven
港湾	de baai	De kleine boot voer de stille baai binnen
杠杆	de hefboom	Deze investering gebruikte veel hefboomwerking
高超	uitstekend	Zijn techniek voor autoreparatie is uitstekend
高潮	het hoogtepunt	De wedstrijd bereikte in de laatste tien minuten het hoogtepunt
高峰	de piek	Acht uur 's ochtends is de verkeerspiek
高明	briljant	Deze methode is inderdaad briljant
高尚	nobel	De beroepsgeest van de arts is nobel
高涨	toenemen	Het enthousiasme van het publiek bleef toenemen
稿件	het manuscript	De redacteur herziet het manuscript
告辞	afscheid nemen	Het is al laat, dus wij nemen eerst afscheid
告诫	waarschuwen	De docent waarschuwde de studenten niet te spieken
割	snijden	Hij sneed per ongeluk in zijn vinger
搁	neerleggen	Leg de documenten alstublieft op tafel
歌颂	bezingen	Dit gedicht bezingt de arbeiders
疙瘩	het bultje	Er verscheen een bultje op zijn arm
鸽子	de duif	Op het plein zijn veel duiven
格局	de indeling	De indeling van dit appartement is heel redelijk
格式	het formaat	Vul het formulier alstublieft in volgens het vereiste formaat
隔阂	de vervreemding	Het misverstand vergrootte de vervreemding tussen hen
隔离	isoleren	De patient moet tijdelijk worden geisoleerd
革命	de revolutie	Deze revolutie veranderde het lot van het land
个体	het individu	Elk individu heeft verschillende behoeften
各抒己见	ieder zijn mening geven	Tijdens de vergadering gaf iedereen zijn eigen mening
根深蒂固	diepgeworteld	Dit idee is al diepgeworteld
根源	de oorzaak	De oorzaken van armoede zijn ingewikkeld
跟前	voor	Het kind rende naar zijn moeder toe
跟随	volgen	De journalist volgde het team het berggebied in
跟踪	volgen	De politie volgt de bewegingen van de verdachte
更新	bijwerken	Het systeem wordt vannacht automatisch bijgewerkt
更正	corrigeren	De krant corrigeerde de fout de volgende dag
耕地	het land bewerken	De boeren bewerken in het voorjaar het land
供不应求	schaars	Dit medicijn is momenteel schaars
供给	de voorziening	Een stad heeft een stabiele water- en stroomvoorziening nodig
公安局	het politiebureau	Hij ging naar het politiebureau om aangifte te doen
公道	eerlijk	Iedereen hoopt op een eerlijke behandeling
公告	de aankondiging	De school publiceerde een aankondiging dat de lessen uitvallen
公关	pr	Het bedrijf huurde een professioneel pr-team in
公民	de burger	Elke burger moet zich aan de wet houden
公然	openlijk	Hij overtrad openlijk de wedstrijdregels
公认	algemeen erkend	Zij is algemeen erkend als een uitstekende docent
公式	de formule	Schrijf deze wiskundige formule alstublieft op
公务	officiele zaken	Hij ging drie dagen op dienstreis voor officiele zaken
公正	rechtvaardig	Een rechter moet rechtvaardig blijven
公证	de notariele bekrachtiging	Dit document moet notarieel worden bekrachtigd
功劳	de verdienste	Aan dit succes heeft iedereen verdienste
功效	de werking	De werking van dit medicijn moet nog worden geverifieerd
宫殿	het paleis	Toeristen bezochten het oude paleis
工艺品	het handwerk	Dit handwerk is met de hand gemaakt
恭敬	respectvol	Hij begroette de oudere man respectvol
攻击	aanvallen	Hackers vielen de website van het bedrijf aan
攻克	overwinnen	Het onderzoeksteam overwon het technische probleem
巩固	versterken	Herhaling kan de geleerde kennis versterken
共和国	de republiek	Deze republiek werd in de vorige eeuw opgericht
共计	in totaal	Deze partij goederen telt in totaal driehonderd dozen
共鸣	weerklank vinden	Dit lied vond weerklank bij veel mensen
勾结	samenspannen	Zij spanden samen met buitenstaanders om geld af te troggelen
钩子	de haak	Aan de muur hangen enkele haken
构思	uitdenken	De schrijver denkt een nieuwe roman uit
姑且	voorlopig	Laten we dit plan voorlopig een week proberen
孤独	eenzaam	Na zijn verhuizing naar een nieuwe stad voelde hij zich eenzaam
孤立	geisoleerd	Bekijk dit probleem niet geisoleerd
辜负	teleurstellen	Ik wil de verwachtingen van mijn ouders niet teleurstellen
古董	het antiek	Opa verzamelde enkele antieke voorwerpen
古怪	vreemd	Zijn idee is een beetje vreemd
股东	de aandeelhouder	De aandeelhoudersvergadering wordt volgende week gehouden
股份	de aandelen	Hij bezit aandelen in het bedrijf
骨干	de kern	Deze ingenieurs vormen de kern van het team
鼓动	aanzetten	Iemand zette de menigte aan tot protest
固然	weliswaar	Deze methode is weliswaar eenvoudig, maar het risico is niet klein
固体	de vaste stof	IJs is de vaste vorm van water
固有	inherent	Elke cultuur heeft inherente kenmerken
固执	koppig	Hij is te koppig en weigert naar advies te luisteren
故乡	de geboorteplaats	Jaren later keerde hij terug naar zijn geboorteplaats
故障	de storing	De lift had een storing en is tijdelijk buiten gebruik
雇佣	in dienst nemen	Het bedrijf besloot meer technisch personeel in dienst te nemen
顾虑	de zorg	Als je zorgen hebt, kun je die rechtstreeks uitspreken
顾问	de adviseur	Wij hebben een juridisch adviseur ingehuurd
拐杖	de wandelstok	De oude man neemt vaak een wandelstok mee als hij naar buiten gaat
关怀	de zorg	De docent gaf de studenten veel zorg en aandacht
关照	zorgen voor	Zorg onderweg alstublieft goed voor het kind
官方	officieel	Het officiele nieuws wordt morgen bekendgemaakt
观光	bezienswaardigheden bekijken	Toeristen bekeken de bezienswaardigheden per boot
管辖	onder bestuur staan	Dit gebied staat onder bestuur van de stadsregering
惯例	de gewoonte	Voor het begin van de vergadering eerst de gasten voorstellen is de gewoonte
灌溉	irrigeren	Boeren gebruiken rivierwater om de akkers te irrigeren
罐	de pot	Op tafel staat een pot theebladeren
贯彻	uitvoeren	Het bedrijf moet de nieuwe veiligheidsnormen uitvoeren
光彩	de glans	Deze kleding gaf haar extra glans
光辉	glorieus	Zijn prestaties schreven een glorieus hoofdstuk
光芒	de lichtstralen	De lichtstralen van de zon verlichtten de vallei
光荣	eervol	Het land dienen is eervol
广阔	uitgestrekt	De grasvlakte strekt zich eindeloos uit en is erg uitgestrekt
归根到底	uiteindelijk	Uiteindelijk ligt het probleem bij het beheer
归还	terugbrengen	Breng de boeken alstublieft op tijd terug
规范	de norm	De school stelde normen op om het laboratorium te beheren
规格	de specificatie	De specificaties van deze partij onderdelen zijn niet gelijk
规划	de planning	Stadsplanning moet rekening houden met verkeer
规章	de regels	Werknemers moeten de bedrijfsregels volgen
轨道	het spoor	De trein rijdt over het spoor
贵族	de adel	Dit landgoed behoorde ooit toe aan de adel
跪	knielen	Hij knielde voor het beeld
棍棒	de knuppel	De politie nam de knuppels op de plaats in beslag
国防	de landsverdediging	Opbouw van landsverdediging vraagt langdurige investeringen
国务院	de Staatsraad	De Staatsraad gaf een nieuwe mededeling uit
果断	doortastend	De leider nam doortastend een besluit
过度	overmatig	Overmatig telefoongebruik kan de slaap beinvloeden
过渡	de overgang	Het bedrijf bevindt zich in een overgangsfase van transformatie
过奖	te veel lof geven	U geeft mij te veel lof, ik moet nog leren
过滤	filteren	Dit apparaat kan onzuiverheden filteren
过失	de fout	Dit ongeval werd veroorzaakt door een menselijke fout
过问	zich ermee bemoeien	De manager bemoeit zich zelden met zulke kleine zaken
过瘾	bevredigend	Deze wedstrijd bekijken was echt bevredigend
过于	te	Deze planning is te ingewikkeld
嗨	hee	Hee, waarom ben jij ook gekomen
海拔	de hoogte	Het dorp ligt op grote hoogte
海滨	de kust	Zij brachten het weekend aan de kust door
含糊	vaag	Zijn antwoord was erg vaag
含义	de betekenis	Dit woord heeft een speciale betekenis
寒暄	beleefdheden uitwisselen	Na de ontmoeting wisselden ze eerst een paar beleefdheden uit
罕见	zeldzaam	Deze ziekte is zeer zeldzaam
捍卫	verdedigen	De advocaat deed zijn best om de rechten van de betrokkene te verdedigen
航空	de luchtvaart	De luchtvaartmaatschappij annuleerde de vlucht
航天	de ruimtevaart	De Chinese ruimtevaart ontwikkelt zich snel
航行	varen	Het schip vaart op zee
行列	de gelederen	Zij sloot zich aan bij de gelederen van vrijwilligers
毫米	de millimeter	Dit stuk glas is vijf millimeter dik
毫无	helemaal geen	Zijn uitleg heeft helemaal geen basis
豪迈	krachtig	Zijn zang was krachtig en vol moed
号召	oproepen	De regering riep iedereen op water te besparen
耗费	verbruiken	Dit project verbruikte veel geld
呵	snauwen	De vader snauwde een keer en het kind stopte meteen
合并	fuseren	De twee bedrijven zijn van plan volgend jaar te fuseren
合成	synthetiseren	Dit materiaal kan kunstmatig worden gesynthetiseerd
合伙	samenwerken	Zij openden samen een restaurant
合算	voordelig	De bus nemen is voordeliger dan een taxi nemen
和蔼	vriendelijk	Deze arts spreekt erg vriendelijk
和解	de schikking	Beide partijen bereikten uiteindelijk een schikking
和睦	harmonisch	De buren gaan harmonisch met elkaar om
和气	attent	De baas behandelt mensen heel attent
和谐	harmonieus	De muziek maakte de sfeer harmonieuzer
嘿	hee	Hee, heb je dat gehoord
痕迹	het spoor	Op de grond bleven bandensporen achter
狠心	harteloos	Hij wees het verzoek van zijn vriend harteloos af
恨不得	het liefst meteen	Ik zou het liefst meteen naar huis gaan om uit te rusten
哼	snuiven	Hij snoof ontevreden
横	horizontaal	Teken alstublieft een horizontale lijn op het papier
哄	in lachen uitbarsten	Iedereen barstte plotseling in lachen uit
烘	bakken	Het brood wordt in de oven gebakken
轰动	opschudding veroorzaken	Dit nieuws veroorzaakte landelijk opschudding
宏观	vanuit breed perspectief	We moeten de economie vanuit een breed perspectief analyseren
宏伟	groots	Het ontwerp van deze brug is zeer groots
洪水	de overstroming	De overstroming vernietigde enkele bruggen
喉咙	de keel	Hij sprak te veel en zijn keel doet een beetje pijn
吼	brullen	Hij brulde luid naar de verte
候选	kandidaat	Zij is dit jaar kandidaat-vertegenwoordiger
后代	toekomstige generaties	We moeten het milieu beschermen voor toekomstige generaties
后顾之忧	zorgen achteraf	Een stabiel inkomen gaf hem geen zorgen achteraf
后勤	de logistiek	De logistieke afdeling is verantwoordelijk voor de materiaalvoorziening
呼唤	roepen	De moeder riep het kind bij de deur
呼啸	gieren	De koude wind gierde buiten het raam
呼吁	oproepen	Deskundigen riepen iedereen op minder te verspillen
忽略	over het hoofd zien	Zie dit detail alstublieft niet over het hoofd
湖泊	het meer	Dit gebied heeft veel natuurlijke meren
胡乱	willekeurig	Leg spullen niet willekeurig op de grond
胡须	de baard	Zijn baard is al wit geworden
花瓣	het bloemblaadje	Na de regen lagen overal bloemblaadjes op de grond
花蕾	de bloemknop	In de lente groeien bloemknoppen aan de takken
华丽	prachtig	De kostuums op het podium waren zeer prachtig
华侨	overzeese Chinezen	Veel overzeese Chinezen keerden terug om in hun geboorteplaats te investeren
划分	indelen	De docent deelde de studenten in vier groepen in
化肥	de kunstmest	Boeren strooiden kunstmest op de gewassen
化石	het fossiel	Het museum stelde dinosaurusfossielen tentoon
化验	het laboratoriumonderzoek	De arts vroeg hem bloedonderzoek te laten doen
化妆	make-up aanbrengen	Zij bracht make-up aan voordat ze het podium opging
画蛇添足	overbodig toevoegen	Meer uitleg toevoegen zou juist overbodig zijn
话筒	de microfoon	De presentator gaf de microfoon aan het publiek
欢乐	de vreugde	Het feestplein was vol vreugde
环节	het onderdeel	Elk onderdeel van de training is belangrijk
还原	herstellen	Zet de instellingen alstublieft terug naar de standaardstand
缓和	verzachten	De relaties tussen beide partijen werden geleidelijk zachter
患者	de patient	De arts vraagt naar de toestand van de patient
荒凉	verlaten	Dit stuk land ziet er erg verlaten uit
荒谬	absurd	Deze uitleg klinkt absurd
荒唐	belachelijk	Zijn beslissing was veel te belachelijk
皇帝	de keizer	De keizer woonde in een groots paleis
皇后	de keizerin	De keizerin nam deel aan de viering
黄昏	de schemering	In de schemering gingen de straatlantaarns aan
恍然大悟	plotseling begrijpen	Na de uitleg begreep hij het plotseling
晃	voorbijflitsen	In een flits was hij uit het zicht verdwenen
挥霍	verkwisten	Hij zou het geld van zijn ouders niet moeten verkwisten
辉煌	glorieus	Deze stad heeft een glorieus verleden
回报	de beloning	Hard werken levert uiteindelijk beloning op
回避	vermijden	Hij blijft deze kwestie vermijden
回顾	terugblikken	Aan het einde blikte de vergadering terug op het werk van het hele jaar
回收	recyclen	De woonwijk begon oude batterijen te recyclen
悔恨	berouw	Hij voelde berouw over zijn fouten uit het verleden
毁灭	vernietigen	De oorlog verwoestte deze stad bijna
会晤	ontmoeten	De leiders van de twee landen ontmoeten elkaar morgen
汇报	rapporteren	Hij rapporteerde de voortgang aan de manager
贿赂	omkoping	De functionaris werd onderzocht wegens omkoping
昏迷	in coma	De patient ligt nog steeds in coma
荤	met vlees	Dit gerecht is met vlees en is niet geschikt voor vegetariers
浑身	helemaal	Na het hardlopen zat hij helemaal onder het zweet
混合	mengen	Meng de twee materialen alstublieft gelijkmatig
混乱	chaos	De situatie ter plekke was een tijdlang erg chaotisch
混淆	verwarren	Verwar deze twee begrippen niet
混浊	troebel	Na de regen werd het rivierwater troebel
活该	verdiend	Hij luisterde niet naar advies, dus zijn mislukking was verdiend
活力	de levendigheid	Deze stad is vol levendigheid
火箭	de raket	De raket bereikte succesvol zijn geplande baan
火焰	de vlam	De wind blies de vlammen hoger op
火药	buskruit	Buskruit veranderde de oorlogvoering in de oudheid
货币	de munt	Monetair beleid beinvloedt de economische ontwikkeling
基地	de basis	Dit was ooit een belangrijke trainingsbasis
基金	het fonds	De school richtte een studiebeursfonds op
基因	het gen	Wetenschappers onderzoeken dit gen
机动	mobiel	Deze eenheid blijft zeer mobiel
机构	de instelling	Deze instelling is verantwoordelijk voor kwaliteitscontrole
机灵	slim	Dit kind is erg slim
机密	vertrouwelijk	Deze materialen zijn vertrouwelijk
机械	de machines	De fabriek introduceerde nieuwe machines
机遇	de kans	Jonge mensen moeten kansen grijpen
机智	gevat	Zijn antwoord was zeer gevat
激发	opwekken	De docent wekte de interesse van de studenten op
激励	aanmoedigen	Dit succes moedigde het hele team aan
激情	de passie	Hij sprak vol passie
讥笑	bespotten	Bespot de fouten van anderen niet
饥饿	de honger	Langdurige honger kan de gezondheid beinvloeden
即便	zelfs als	Zelfs als het regent, vertrekken we op tijd
即将	binnenkort	De vergadering begint binnenkort
及早	zo vroeg mogelijk	Problemen moeten zo vroeg mogelijk worden aangepakt
吉祥	voorspoed	Rood symboliseert in China vaak voorspoed
嫉妒	benijden	Hij zou het succes van zijn collega niet moeten benijden
急功近利	alleen snel voordeel zoeken	Bij onderzoek mag je niet alleen snel voordeel zoeken
急剧	scherp	De omzet daalde scherp
急切	ongeduldig	Zij wachtte ongeduldig op nieuws
急于求成	snel resultaat willen	Bij het leren van een taal moet je niet te snel resultaat willen
急躁	ongeduldig	Raak niet ongeduldig als je problemen tegenkomt
极端	extreem	Dit soort extreem weer komt steeds vaker voor
极限	de grens	Deze training stelde zijn grenzen op de proef
疾病	de ziekte	Goede gewoonten kunnen ziekte voorkomen
籍贯	de geboorteplaats	Op het formulier moet de geboorteplaats van de familie worden ingevuld
级别	het niveau	Deze wedstrijd is verdeeld in drie niveaus
集团	de groep	Deze groep heeft filialen in het buitenland
给予	geven	De school geeft hulp aan arme studenten
季军	de derde plaats	Hij behaalde de derde plaats in de wedstrijd
季度	het kwartaal	Het bedrijf publiceert elk kwartaal financiele rapporten
寂静	stil	De vallei was 's nachts bijzonder stil
寄托	vestigen op	Zij vestigde haar hoop op haar kind
忌讳	het taboe	Plaatselijke mensen vinden het taboe om dit aan tafel te bespreken
技巧	de techniek	Technieken beheersen kan de efficientie verhogen
纪要	de notulen	De secretaris ordende de notulen van de vergadering
继承	erven	Hij erfde het werk van zijn vader
计较	zich druk maken	Maak je niet druk om zo'n kleine zaak
记性	het geheugen	Hij heeft een heel goed geheugen
记载	vastleggen	Historische boeken legden deze oorlog vast
迹象	het teken	Op dit moment zijn er geen tekenen van verbetering
佳肴	de lekkernijen	De tafel stond vol heerlijke gerechten
加工	verwerken	Deze grondstoffen moeten verder worden verwerkt
加剧	verergeren	Het conflict verergert
夹杂	vermengd zijn met	Het geluid van regen was vermengd met donder
家常	huiselijk	Ik eet graag huiselijke gerechten
家伙	die kerel	Die kerel komt altijd te laat
家属	de familieleden	De arts bracht de familieleden van de patient op de hoogte
家喻户晓	algemeen bekend	Dit verhaal is algemeen bekend
坚定	vastberaden	Haar houding is zeer vastberaden
坚固	stevig	Deze brug is erg stevig
坚韧	veerkrachtig	Hij heeft een veerkrachtig karakter
坚实	solide	Dit onderzoek heeft een solide basis
坚硬	hard	Deze steen is zeer hard
尖端	toonaangevend	Het bedrijf investeert in toonaangevende technologie
尖锐	scherp	Dit probleem is zeer scherp
煎	bakken	De kok bakt vis in de pan
监督	toezicht houden	Publiek toezicht helpt het werk te verbeteren
监视	in de gaten houden	De politie houdt de verdachte in de gaten
监狱	de gevangenis	Hij zit zijn straf uit in de gevangenis
艰难	moeilijk	De beginfase van ondernemerschap is erg moeilijk
剪彩	het lint doorknippen	De burgemeester knipte het lint door voor de nieuwe bibliotheek
拣	uitkiezen	Zij koos een paar appels uit de mand
检讨	zelfkritisch bekijken	Hij bekeek zijn eigen fouten serieus
检验	toetsen	Experimenten kunnen deze hypothese toetsen
简化	vereenvoudigen	Vereenvoudig het proces alstublieft verder
简陋	eenvoudig en primitief	Zij woonden in een eenvoudig en primitief hutje
简体字	vereenvoudigde Chinese karakters	Dit lesboek gebruikt vereenvoudigde Chinese karakters
简要	kort	Licht uw standpunt alstublieft kort toe
健全	verbeteren	Het bedrijf moet zijn beheersysteem verbeteren
剑	het zwaard	Aan de muur hangt een oud zwaard
溅	spatten	Regenwater spatte op zijn broek
舰艇	het marineschip	Enkele marineschepen namen deel aan de oefening
见多识广	veel gezien en geleerd hebben	Deze oude man heeft veel gezien en geleerd
见解	het inzicht	Hij heeft een eigen inzicht in dit probleem
见闻	ervaring en kennis	Reizen vergrootte zijn ervaring en kennis
见义勇为	dapper doen wat juist is	Hij werd geprezen omdat hij dapper deed wat juist was
践踏	vertrappen	Vertrap het gras niet
鉴别	onderscheiden	Deskundigen kunnen onderscheiden of dit schilderij echt is
鉴定	onderzoeken	De politie onderzoekt de vingerafdrukken
鉴于	gezien	Gezien het slechte weer is het evenement uitgesteld
间谍	de spion	Deze film vertelt een spionageverhaal
间隔	de tussenruimte	Er zit een week tussen de twee vergaderingen
间接	onrechtstreeks	Dit beleid zal een onrechtstreekse invloed hebben
僵硬	stijf	Zijn glimlach leek stijf
将军	de generaal	De generaal gaf een bevel
将近	bijna	Dit project duurde bijna twee jaar
