simplified	AZ	example_AZ
得天独厚	əlverişli üstünlüyə malik	Bu şəhər çox əlverişli coğrafi üstünlüyə malikdir.
得罪	incitmək	Xırda məsələ üstündə həmkarımı incitmək istəmirəm.
灯笼	fənər	Çin Yeni ili zamanı qapıda qırmızı fənərlər asılır.
登录	daxil olmaq	Zəhmət olmasa, əvvəlcə hesabına daxil ol.
登陆	sahilə çıxmaq	Tayfun bu axşam sahil bölgəsinə çıxa bilər.
蹬	ayaqla itələmək	O, ayağı ilə bərk itələdi və velosiped hərəkət etdi.
等候	gözləmək	Sərnişinlər salonda təyyarəyə minməyi gözləyirlər.
等级	səviyyə	Bu proqramda müxtəlif üzvlük səviyyələri var.
瞪	zilləmək	O, qəzəblə mənə baxışını zillədi.
堤坝	bənd	Güclü yağışdan sonra bənd diqqətlə yoxlanmalıdır.
敌视	düşmən münasibət göstərmək	Fərqli fikirlərə düşmən münasibət göstərməməliyik.
抵达	çatmaq	Təyyarə vaxtında Pekinə çatdı.
抵抗	müqavimət göstərmək	Kəndlilər birlikdə daşqına müqavimət göstərdilər.
抵制	boykot etmək	İstehlakçılar keyfiyyətsiz məhsulları boykot etməyə başladılar.
地步	hədd	Məsələ hələ o həddə çatmayıb.
地势	relyef	Buranın relyefi yüksəkdir, ona görə su asan yığılmır.
地质	geologiya	Mütəxəssislər yerli geoloji vəziyyəti araşdırırlar.
递增	ardıcıl artmaq	Satış üç ay ardıcıl artdı.
颠簸	kələ-kötür	Dağ yolu çox kələ-kötürdür, ehtiyatla sürmək lazımdır.
颠倒	tərsinə çevirmək	Sən iki rəqəmin sırasını tərsinə çevirmisən.
典礼	mərasim	Məzuniyyət mərasimi akt zalında keçiriləcək.
典型	tipik	Bu tipik uğur nümunəsidir.
点缀	bəzəmək	Bir neçə kiçik gül yemək masasını bəzəyirdi.
垫	altlıq	Zəhmət olmasa, bu kağızı fincanın altına qoy.
奠定	təməl qoymaq	Bu əməkdaşlıq uzunmüddətli əlaqənin təməlini qoydu.
惦记	narahat olmaq	Ana uzaqdakı uşağı üçün həmişə narahat olur.
电源	elektrik mənbəyi	Evdən çıxmazdan əvvəl elektrik mənbəyini söndürün.
叼	ağzında tutmaq	O it ağzında bir sümük tutub.
雕刻	oymaq	O, ağacın üstündə naxış oymağı sevir.
雕塑	heykəl	Meydanın ortasında bir heykəl var.
吊	qaldırmaq	Fəhlələr maşınla polad tiri qaldırdılar.
调动	köçürmək	Şirkət onu işləmək üçün Şanxaya köçürdü.
跌	düşmək	Səhmin qiyməti bu gün yenə düşdü.
丁	kubik	Reseptdə kartofu kubik doğramaq yazılıb.
叮嘱	təkrar-təkrar tapşırmaq	Müəllim bizə təhlükəsizliyə diqqət etməyi təkrar-təkrar tapşırdı.
盯	zillənmək	Zəhmət olmasa, başqalarına dayanmadan zillənmə.
定期	müntəzəm	Həkim ona müntəzəm sağlamlıq yoxlaması tövsiyə etdi.
定义	tərif	Zəhmət olmasa, əvvəlcə bu anlayışın tərifini izah edin.
丢人	utancverici olmaq	İctimai yerdə yalan danışmaq doğrudan da utancvericidir.
丢三落四	unutqan	O, həmişə unutqandır və evdən çıxanda tez-tez açarını unudur.
东道主	ev sahibi	Ev sahibi kimi qonaqlara yaxşı baxmalıyıq.
东张西望	ətrafa baxınmaq	Dərs zamanı ətrafa baxınma.
董事长	idarə heyətinin sədri	İdarə heyətinin sədri bu gün iclasda iştirak etdi.
冻结	dondurmaq	Bank bu hesabı müvəqqəti dondurdu.
动荡	sabit olmayan	Müharibə bu bölgəni uzun müddət sabit olmayan vəziyyətdə saxladı.
动机	motiv	Polis onun motivini araşdırır.
动静	səs-səda	Otaqda heç bir səs-səda yox idi.
动力	hərəkətverici qüvvə	Maraq öyrənmənin hərəkətverici qüvvəsidir.
动脉	arteriya	Həkim onun arteriyasını yoxladı.
动身	yola düşmək	Sabah səhər tezdən hava limanına yola düşəcəyik.
动手	əl qaldırmaq	Məsələ hələ aydın deyil, heç kim əl qaldırmasın.
动态	gedişat	Zəhmət olmasa, layihənin gedişatını daim izləyin.
动员	səfərbər etmək	Məktəb şagirdləri könüllü fəaliyyətə səfərbər etdi.
栋	bina	Bu binanın iyirmi mərtəbəsi var.
兜	cib	O, açarları paltosunun cibinə qoydu.
陡峭	sıldırım	Bu dağ yolu çox sıldırımdır.
斗争	mübarizə	Onlar ətraf mühiti qorumaq üçün mübarizə aparırlar.
督促	tələsdirmək	Menecer hamını tapşırığı vaxtında bitirməyə tələsdirdi.
毒品	narkotik	Gömrük bir partiya narkotik ələ keçirdi.
独裁	diktatura	İnsanlar diktatura idarəçiliyinə qarşı çıxırlar.
堵塞	tıxamaq	Zibil kanalizasiyanı tıxadı.
赌博	qumar oynamaq	Qumar oynamaq ciddi nəticələr doğura bilər.
杜绝	kökünü kəsmək	Şirkət israfçılığın kökünü kəsməyi tələb edir.
端	tutmaq	O, bir fincan isti çay tutub içəri girdi.
端午节	Əjdaha qayıqları bayramı	Əjdaha qayıqları bayramında biz düyü bağlaması yeyirik.
端正	düzəltmək	Şagirdlər öyrənməyə münasibətlərini düzəltməlidirlər.
短促	qısa	O, qısa bir ah çəkdi.
断定	müəyyən etmək	İndi kimin haqlı, kimin haqsız olduğunu müəyyən etmək olmur.
断绝	kəsmək	Qəzadan sonra kəndin xarici dünya ilə əlaqəsi kəsildi.
堆积	yığılmaq	Qar yol kənarında yığıldı.
兑现	yerinə yetirmək	O, nəhayət vədini yerinə yetirdi.
对策	qarşı tədbir	Risklə üzləşəndə qarşı tədbir lazımdır.
对称	simmetrik	Bu binanın sağ və sol tərəfi çox simmetrikdir.
对付	öhdəsindən gəlmək	Bu problemin öhdəsindən gəlmək asan deyil.
对抗	qarşılaşmaq	İki komanda finalda qarşılaşacaq.
对立	zidd	İki tərəfin mövqeyi tamamilə ziddir.
对联	cüt yazı	Çin Yeni ili zamanı onlar qapıya cüt yazı yapışdırırlar.
对应	uyğun gəlmək	Hər nömrə bir yerə uyğun gəlir.
对照	müqayisə etmək	Zəhmət olmasa, tərcüməni orijinal mətnlə müqayisə edin.
队伍	dəstə	Yürüş dəstəsi yavaş-yavaş irəli gedirdi.
顿时	dərhal	Xəbəri eşidəndə o, dərhal donub qaldı.
哆嗦	titrəmək	Hava çox soyuq idi, o dayanmadan titrəyirdi.
多元化	şaxələndirmə	Şirkət biznesin şaxələndirilməsini irəli aparır.
堕落	mənən tənəzzül etmək	O, özünün daha da mənən tənəzzül etməsinə yol vermək istəmir.
额外	əlavə	Bu xidmət üçün əlavə ödəniş tələb olunur.
恶心	ürəyi bulanmaq	O qoxunu duyanda ürəyim bir az bulandı.
恶化	pisləşmək	Müalicə olunmasa, xəstəlik pisləşə bilər.
遏制	cilovlamaq	Hökumət çirklənməni cilovlamaq üçün tədbirlər gördü.
恩怨	ədavət	İki şirkət arasındakı ədavətin tarixi uzundur.
而已	sadəcə	Mən bunu sadəcə təsadüfən dedim.
二氧化碳	karbon qazı	Bitkilər karbon qazını udur.
发布	elan etmək	Şirkət sabah yeni məhsul elan edəcək.
发财	varlanmaq	O, zəhməti ilə varlanmaq istəyir.
发呆	xəyala dalmaq	O, pəncərənin yanında xəyala dalmışdı.
发动	səfərbər etmək	Könüllülər sakinləri küçəni təmizləməyə səfərbər etdilər.
发觉	sezmək	Mən onun bu gün bir az həyəcanlı olduğunu sezdim.
发射	buraxmaq	Raket axşam buraxılacaq.
发誓	and içmək	O, bir daha yalan danışmayacağına and içdi.
发行	buraxmaq	Bu film gələn ay buraxılacaq.
发炎	iltihablanmaq	Yara bir az iltihablanıb.
发扬	inkişaf etdirmək	Biz komanda əməkdaşlığı ruhunu inkişaf etdirməliyik.
发育	inkişaf	Uşaqların fiziki inkişafı üçün kifayət qədər qida lazımdır.
法人	hüquqi şəxs	Bu şirkət müstəqil hüquqi şəxsdir.
番	bu sözlər	Bu sözlər məni çox ilhamlandırdı.
凡是	hamı	Qeydiyyatdan keçən hamı təlimdə iştirak etməlidir.
繁华	canlı	Bu küçə əvvəllər çox canlı idi.
繁忙	məşğul	Hava limanı bayram günlərində xüsusilə məşğul olur.
繁体字	ənənəvi Çin yazısı	Tayvanda insanlar çox vaxt ənənəvi Çin yazısından istifadə edirlər.
繁殖	çoxalmaq	Bu bitki asan çoxalır.
反驳	təkzib etmək	O, bu fikri məlumatlarla təkzib etdi.
反常	qeyri-adi	Bugünkü hava bir az qeyri-adidir.
反感	xoşlanmamaq	Mən bu cür reklamdan heç xoşlanmıram.
反抗	müqavimət göstərmək	İnsanlar ədalətsiz qaydaya müqavimət göstərməyə başladılar.
反馈	rəy	Müştərilər sistemin sabit olduğunu rəy olaraq bildirdilər.
反面	əks tərəf	Zəhmət olmasa, kağızı əks tərəfinə çevirin.
反射	əks etdirmək	Güzgü işığı əks etdirir.
反思	düşünüb nəticə çıxarmaq	Uğursuzluqdan sonra o, səbəblər barədə ciddi düşünüb nəticə çıxardı.
反问	qarşı sual vermək	O, cavab vermədi, mənə qarşı sual verdi.
反之	əksinə	Qiymət çox yüksək olsa, tələb azalır, əksinə də belədir.
泛滥	daşmaq	Güclü yağış çayın daşmasına səbəb oldu.
范畴	kateqoriya	Bu məsələ hüquq kateqoriyasına daxildir.
贩卖	satmaq	Qanun saxta dərman satmağı qadağan edir.
方位	istiqamət	Xəritədə dəqiq istiqamət göstərilib.
方言	ləhcə	O, yerli ləhcəni başa düşür.
方圆	ətraf ərazi	On kilometrlik ərazidə xəstəxana yoxdur.
方针	siyasət	Şirkət yeni inkişaf siyasəti müəyyən etdi.
防守	müdafiə	Bu komandanın müdafiəsi çox sabitdir.
防御	müdafiə	Şəhər divarı bir vaxtlar düşməndən müdafiə üçün istifadə olunurdu.
防止	qarşısını almaq	Zədə almamaq üçün təhlükəsizlik kəmərini bağlayın.
防治	profilaktika və müalicə	Həkim xəstəliyin profilaktika və müalicə üsullarını izah etdi.
纺织	toxuculuq	Bu şəhər toxuculuq sənayesi ilə məşhurdur.
访问	ziyarət etmək	Jurnalist sabah bu yazıçını ziyarət edəcək.
放大	böyütmək	Zəhmət olmasa, şəkli bir az böyüdün.
放射	şüalandırmaq	Bu material istilik şüalandırır.
非法	qanunsuz	Qanunsuz ticarət cəzalandırılacaq.
飞禽走兽	quşlar və heyvanlar	Meşədə müxtəlif quşlar və heyvanlar yaşayır.
飞翔	uçmaq	Qağayılar dənizin üstündə uçur.
飞跃	sıçrayış	Texnologiyanın inkişafında böyük sıçrayış əldə edildi.
肥沃	münbit	Bu torpaq çox münbitdir.
诽谤	böhtan	Başqasına böhtan atmaq hüquqi məsuliyyət yaradır.
废除	ləğv etmək	Bu köhnə qayda artıq ləğv olunub.
废寝忘食	yuxunu və yeməyi unutmaq	O, araşdırmaya elə qapılmışdı ki, yuxunu və yeməyi unutdu.
废墟	xarabalıq	Zəlzələdən sonra həmin yer xarabalığa çevrildi.
沸腾	qaynamaq	Su artıq qaynayıb.
肺	ağciyər	Siqaret ağciyərə zərər verə bilər.
分辨	ayırd etmək	Mən bu iki rəngi çətin ayırd edirəm.
分寸	hədd	Zarafat edəndə də həddi bilmək lazımdır.
分红	dividend	Səhmdarlar ilin sonunda dividend ala bilərlər.
分解	parçalamaq	Müəllim mürəkkəb problemi bir neçə mərhələyə parçaladı.
分裂	parçalanmaq	Daxili ziddiyyətlər təşkilatın parçalanmasına səbəb oldu.
分泌	ifraz etmək	Bu vəzi hormon ifraz edir.
分明	aydın	Faktlar artıq çox aydındır.
分歧	fikir ayrılığı	İki tərəf arasında qiymət məsələsində fikir ayrılığı var.
分散	yaymaq	Zəhmət olmasa, riski müxtəlif layihələrə yayın.
吩咐	tapşırmaq	Müdir mənə sənədləri səliqəyə salmağı tapşırdı.
坟墓	məzar	Təpənin yamacında qədim məzar var.
粉末	toz	Zəhmət olmasa, həbləri toz halına salın.
粉色	çəhrayı	O, çəhrayı şərf aldı.
粉碎	dağıtmaq	Polis bu cinayətkar dəstəni dağıtdı.
分量	çəkisi olmaq	Bu sözün çox böyük çəkisi var.
愤怒	qəzəb	Onun səsi qəzəblə dolu idi.
丰满	dolğun	Bu məqalənin məzmunu hələ kifayət qədər dolğun deyil.
丰盛	bol	Onlar bol şam yeməyi hazırladılar.
丰收	bol məhsul	Bu il fermerlər bol məhsul əldə etdilər.
封闭	bağlamaq	Tikinti zamanı bu yol bağlanacaq.
封建	feodal	Bu feodal düşüncə çoxdan dəyişməli idi.
封锁	mühasirəyə almaq	Polis qəza yerini mühasirəyə aldı.
锋利	iti	Bu bıçaq çox itidir.
风暴	fırtına	Dənizdə qəfildən fırtına yarandı.
风度	ədəb-ərkan	O, səhnədə çox ədəb-ərkanlı görünürdü.
风光	mənzərə	Buranın təbii mənzərəsi çox gözəldir.
风气	mühit	Məktəbdə yaxşı öyrənmə mühiti formalaşıb.
风趣	yumor	O, çox yumorla danışır.
风土人情	yerli adət-ənənə	Səyahət yerli adət-ənənəni başa düşməyə kömək edir.
风味	yerli ləzzət	Bu dükanın yeməklərində güclü yerli ləzzət var.
逢	hər dəfə	Hər həftəsonu park çox canlı olur.
奉献	həsr etmək	Həkim xəstələrə çox vaxt həsr etdi.
否决	rədd etmək	İdarə heyəti bu təklifi rədd etdi.
夫妇	ər-arvad	Bu ər-arvad kiçik mağaza işlədir.
夫人	xanım	Cənab Vanq və xanımı birlikdə ziyafətdə iştirak etdilər.
敷衍	başısoyuq	O, yalnız bir neçə başısoyuq cavab verdi.
俘虏	əsir	Müharibə bitəndən sonra əsirlər azad edildi.
幅度	miqyas	Bu dəfə qiymət endiriminin miqyası böyükdür.
服从	tabe olmaq	Əsgərlər əmrlərə tabe olmalıdır.
服气	qəbul etmək	O, yarışı uduzdu, amma bunu qəbul edə bilmədi.
福利	imtiyaz	İşçilər şirkətin imtiyazlarına böyük əhəmiyyət verirlər.
福气	bəxt	Yaxşı müəllimlə qarşılaşmaq onun bəxtidir.
符号	simvol	Bu simvol təhlükəni bildirir.
辐射	radiasiya	Həkim ona güclü radiasiyadan uzaq durmağı xatırlatdı.
俯视	yuxarıdan baxmaq	Dağın başından bütün şəhərə yuxarıdan baxmaq olur.
抚摸	sığallamaq	O, uşağın başını yavaşca sığalladı.
抚养	böyütmək	Nənə və baba uşağı böyütməyə kömək etdilər.
腐败	korrupsiya	Hökumət korrupsiya ilə mübarizə aparır.
腐烂	çürümək	Meyvə uzun müddət qalsa, çürüyər.
腐蚀	aşındırmaq	Turşu metal səthi aşındıra bilər.
腐朽	çürümüş	Onlar çürümüş sistemi tənqid etdilər.
辅助	kömək etmək	Bu alət tədrisə kömək edə bilər.
副	müavin	O, müdir müavini təyin edildi.
复活	dirçəlmək	Bu ənənəvi bayram yenidən dirçəlir.
复兴	dirçəliş	Mədəni dirçəliş uzunmüddətli zəhmət tələb edir.
富裕	varlı	Bu kənd indi getdikcə daha varlı olur.
腹泻	ishal	Onun ishalı şiddətlidir və həkimə getməlidir.
覆盖	örtmək	Güclü qar bütün vadini örtdü.
负担	yük	Kirayə onun əsas yükünə çevrildi.
赋予	vermək	Qanun vətəndaşlara əsas hüquqlar verir.
附和	kor-koranə qoşulmaq	Onun müstəqil fikri yoxdur, yalnız başqalarına kor-koranə qoşulur.
附件	əlavə	Zəhmət olmasa, e-poçtdakı əlavəyə baxın.
附属	bağlı	Bu xəstəxana universitetə bağlı xəstəxanadır.
改良	təkmilləşdirmək	Mütəxəssislər bu düyü növünü təkmilləşdirirlər.
盖章	möhür vurmaq	Müqavilə imzalandıqdan sonra ona möhür vurmaq lazımdır.
钙	kalsium	Süddə bol kalsium var.
尴尬	yöndəmsiz	İclasda yöndəmsiz bir sükut yarandı.
干旱	quraqlıq	Uzunmüddətli quraqlıq əkinlərə təsir etdi.
干扰	mane olmaq	Səs-küy işimə mane olur.
干涉	müdaxilə etmək	Valideynlər uşaqlarının seçimlərinə həddindən artıq müdaxilə etməməlidir.
干预	müdaxilə etmək	Hökumət bazar riskinə vaxtında müdaxilə etdi.
感慨	kövrəlmək	Köhnə fotoları görəndə o, çox kövrəldi.
感染	yoluxdurmaq	Bu virus uşaqları asanlıqla yoluxdurur.
干劲	həvəs	Hamı işə böyük həvəslə girişir.
扛	qaldırmaq	Rəvayətə görə, o, çox güclü idi və böyük qazanı qaldıra bilirdi.
纲领	fəaliyyət proqramı	İclas yeni fəaliyyət proqramını qəbul etdi.
岗位	vəzifə	O, yeni vəzifəsinə tez uyğunlaşdı.
港口	liman	Yük gəmisi limanda dayandı.
港湾	körfəz	Kiçik qayıq sakit körfəzə girdi.
杠杆	maliyyə qolu	Bu investisiyada yüksək maliyyə qolu istifadə olundu.
高超	mahir	O, maşın təmirində çox mahirdir.
高潮	kulminasiya	Oyun son on dəqiqədə kulminasiya nöqtəsinə çatdı.
高峰	pik vaxt	Səhər saat səkkiz nəqliyyatın pik vaxtıdır.
高明	ağıllı	Bu üsul həqiqətən çox ağıllıdır.
高尚	nəcib	Həkimin peşə ruhu çox nəcibdir.
高涨	yüksəlmək	Tamaşaçıların həvəsi durmadan yüksəldi.
稿件	əlyazma	Redaktor əlyazmanı düzəldir.
告辞	vidalaşmaq	Artıq gecdir, biz əvvəlcə vidalaşırıq.
告诫	xəbərdarlıq etmək	Müəllim şagirdləri köçürməmək barədə xəbərdar etdi.
割	kəsmək	O, təsadüfən barmağını kəsdi.
搁	qoymaq	Zəhmət olmasa, sənədləri masanın üstünə qoyun.
歌颂	tərifləmək	Bu şeir zəhmətkeşləri tərifləyir.
疙瘩	şiş	Onun qolunda bir şiş çıxdı.
鸽子	göyərçin	Meydanda çox göyərçin var.
格局	plan	Bu mənzilin planı çox məntiqlidir.
格式	format	Zəhmət olmasa, formanı tələb olunan formatda doldurun.
隔阂	soyuqluq	Anlaşılmazlıq onların arasındakı soyuqluğu dərinləşdirdi.
隔离	təcrid etmək	Xəstəni müvəqqəti təcrid etmək lazımdır.
革命	inqilab	Bu inqilab ölkənin taleyini dəyişdi.
个体	fərd	Hər fərdin fərqli ehtiyacları var.
各抒己见	hər kəs öz fikrini bildirmək	İclasda hamı öz fikrini bildirdi.
根深蒂固	kök salmış	Bu fikir artıq kök salıb.
根源	kök səbəb	Yoxsulluğun kök səbəbləri çox mürəkkəbdir.
跟前	yanına	Uşaq anasının yanına qaçdı.
跟随	ardınca getmək	Jurnalist dəstənin ardınca dağlıq bölgəyə girdi.
跟踪	izləmək	Polis şübhəlinin hərəkətlərini izləyir.
更新	yeniləmək	Sistem bu axşam avtomatik yenilənəcək.
更正	düzəltmək	Qəzet ertəsi gün səhvi düzəltdi.
耕地	şumlamaq	Fermerlər yazda tarlaları şumlayırlar.
供不应求	tələbatı ödəməmək	Bu dərman hazırda tələbatı ödəmir.
供给	təminat	Şəhərə sabit su və elektrik təminatı lazımdır.
公安局	polis idarəsi	O, hadisə barədə məlumat vermək üçün polis idarəsinə getdi.
公道	ədalət	Hamı ədalətli həll istəyir.
公告	bildiriş	Məktəb dərslərin dayandırılması barədə bildiriş yayımladı.
公关	ictimaiyyətlə əlaqələr	Şirkət peşəkar ictimaiyyətlə əlaqələr komandası tutdu.
公民	vətəndaş	Hər vətəndaş qanuna əməl etməlidir.
公然	açıq-aşkar	O, yarış qaydalarını açıq-aşkar pozdu.
公认	hamı tərəfindən tanınan	O, hamı tərəfindən yaxşı müəllim kimi tanınır.
公式	düstur	Zəhmət olmasa, bu riyazi düsturu yazın.
公务	rəsmi iş	O, rəsmi işlə üç günlük ezamiyyətə getdi.
公正	ədalətli	Hakim ədalətli qalmalıdır.
公证	notarial təsdiq	Bu sənədin notarial təsdiqə ehtiyacı var.
功劳	pay	Bu uğurda hamının payı var.
功效	təsir	Bu dərmanın təsiri hələ yoxlanmalıdır.
宫殿	saray	Turistlər qədim sarayı gəzdilər.
工艺品	əl işi	Bu əl işi əllə hazırlanıb.
恭敬	hörmətlə	O, qocanı hörmətlə salamladı.
攻击	hücum etmək	Hakerlər şirkətin saytına hücum etdilər.
攻克	öhdəsindən gəlmək	Araşdırma qrupu texniki çətinliyin öhdəsindən gəldi.
巩固	möhkəmləndirmək	Təkrar öyrənilən bilikləri möhkəmləndirə bilər.
共和国	respublika	Bu respublika ötən əsrdə qurulub.
共计	cəmi	Bu mal partiyası cəmi üç yüz qutudur.
共鸣	əks-səda	Bu mahnı çox insanda əks-səda doğurdu.
勾结	əlbir olmaq	Onlar kənar adamlarla əlbir olub pul aldılar.
钩子	qarmaq	Divarda bir neçə qarmaq asılıb.
构思	planlaşdırmaq	Yazıçı yeni romanını planlaşdırır.
姑且	hələlik	Bu planı hələlik bir həftə sınayaq.
孤独	tənha	Yeni şəhərə köçəndən sonra o özünü tənha hiss etdi.
孤立	təcrid olunmuş	Bu məsələyə təcrid olunmuş şəkildə baxmayın.
辜负	ümidi doğrultmamaq	Mən valideynlərimin ümidini doğrultmamaq istəmirəm.
古董	antik əşya	Babam bir neçə antik əşya toplayıb.
古怪	qəribə	Onun fikri bir az qəribədir.
股东	səhmdar	Səhmdarların yığıncağı gələn həftə keçiriləcək.
股份	səhm	O, şirkətin səhmlərinə sahibdir.
骨干	əsas dayaq	Bu mühəndislər komandanın əsas dayağıdır.
鼓动	təhrik etmək	Kimsə insanları etiraza təhrik etdi.
固然	əlbəttə	Bu üsul əlbəttə sadədir, amma riski az deyil.
固体	bərk cisim	Buz suyun bərk cisim halıdır.
固有	özünəməxsus	Hər mədəniyyətin özünəməxsus xüsusiyyətləri var.
固执	inadkar	O, çox inadkardır və məsləhətə qulaq asmır.
故乡	doğma yurd	İllər sonra o, doğma yurduna qayıtdı.
故障	nasazlıq	Liftdə nasazlıq yarandı və müvəqqəti dayandırıldı.
雇佣	işə götürmək	Şirkət daha çox texniki işçi götürməyə qərar verdi.
顾虑	narahatlıq	Narahatlığın varsa, birbaşa deyə bilərsən.
顾问	məsləhətçi	Biz bir hüquq məsləhətçisi tutduq.
拐杖	əsa	Yaşlı adam evdən çıxanda tez-tez əsa götürür.
关怀	qayğı	Müəllim şagirdlərə çox qayğı göstərdi.
关照	baxmaq	Zəhmət olmasa, yolda uşağa yaxşı bax.
官方	rəsmi	Rəsmi xəbər sabah açıqlanacaq.
观光	görməli yerləri gəzmək	Turistlər gəmi ilə görməli yerləri gəzdilər.
管辖	idarə etmək	Bu ərazi şəhər hökuməti tərəfindən idarə olunur.
惯例	adət	İclas başlamazdan əvvəl qonaqları tanıtmaq adətdir.
灌溉	suvarmaq	Fermerlər çay suyu ilə tarlaları suvarırlar.
罐	kavanoz	Masanın üstündə bir kavanoz çay yarpağı var.
贯彻	həyata keçirmək	Şirkət yeni təhlükəsizlik standartlarını həyata keçirməlidir.
光彩	parıltı	Bu paltar ona xüsusi parıltı verdi.
光辉	şanlı	Onun nailiyyətləri şanlı bir səhifə qoydu.
光芒	şüa	Günəşin şüaları vadini işıqlandırdı.
光荣	şərəfli	Ölkəyə xidmət etmək şərəflidir.
广阔	geniş	Çöl ucsuz-bucaqsız uzanır və çox genişdir.
归根到底	nəticə etibarilə	Nəticə etibarilə, problem idarəetmədədir.
归还	qaytarmaq	Zəhmət olmasa, kitabları vaxtında qaytarın.
规范	standart	Məktəb laboratoriyanı idarə etmək üçün standartlar müəyyən etdi.
规格	spesifikasiya	Bu hissələrin spesifikasiyaları uyğun gəlmir.
规划	planlaşdırma	Şəhər planlaşdırması nəqliyyatı nəzərə almalıdır.
规章	qayda	İşçilər şirkət qaydalarına əməl etməlidirlər.
轨道	rels	Qatar relslər boyunca irəliləyir.
贵族	zadəgan	Bu malikanə bir vaxtlar zadəganlara məxsus idi.
跪	diz çökmək	O, heykəlin qarşısında diz çökdü.
棍棒	dəyənək	Polis hadisə yerindəki dəyənəkləri müsadirə etdi.
国防	milli müdafiə	Milli müdafiə quruculuğu uzunmüddətli sərmayə tələb edir.
国务院	Dövlət Şurası	Dövlət Şurası yeni bildiriş yayımladı.
果断	qətiyyətli	Rəhbər qətiyyətli qərar verdi.
过度	həddindən artıq	Telefondan həddindən artıq istifadə yuxuya təsir edə bilər.
过渡	keçid	Şirkət dəyişiklik prosesinin keçid mərhələsindədir.
过奖	çox tərifləmək	Siz məni çox təriflədiniz, mən hələ öyrənməliyəm.
过滤	süzmək	Bu cihaz çirkləri süzə bilər.
过失	xəta	Bu qəza insan xətası üzündən baş verdi.
过问	qarışmaq	Menecer bu xırda işlərə nadir hallarda qarışır.
过瘾	zövq almaq	Bu oyuna baxmaq həqiqətən zövqlü idi.
过于	həddindən artıq	Bu plan həddindən artıq mürəkkəbdir.
嗨	salam	Salam, sən də niyə gəldin?
海拔	yüksəklik	Bu kəndin dəniz səviyyəsindən yüksəkliyi çoxdur.
海滨	dəniz sahili	Onlar həftəsonunu dəniz sahilində keçirdilər.
含糊	qeyri-müəyyən	Onun cavabı çox qeyri-müəyyən idi.
含义	məna	Bu sözün xüsusi mənası var.
寒暄	hal-əhval tutmaq	Görüşəndən sonra onlar əvvəlcə bir neçə kəlmə hal-əhval tutdular.
罕见	nadir	Bu xəstəlik çox nadirdir.
捍卫	müdafiə etmək	Vəkil müştərinin hüquqlarını müdafiə etməyə çalışdı.
航空	aviasiya	Aviasiya şirkəti reysi ləğv etdi.
航天	kosmonavtika	Çinin kosmonavtika sahəsi sürətlə inkişaf edir.
航行	üzmək	Gəmi dənizdə üzür.
行列	sıra	O, könüllülər sırasına qoşuldu.
毫米	millimetr	Bu şüşə beş millimetr qalınlığındadır.
毫无	heç bir	Onun izahının heç bir əsası yoxdur.
豪迈	coşqun	Onun mahnı səsi coşqun və güclü idi.
号召	çağırmaq	Hökumət hamını suya qənaət etməyə çağırdı.
耗费	sərf etmək	Bu layihə böyük miqdarda vəsait sərf etdi.
呵	qışqırmaq	Ata bir dəfə qışqırdı və uşaq dərhal dayandı.
合并	birləşmək	İki şirkət gələn il birləşməyi planlaşdırır.
合成	sintez etmək	Bu material süni şəkildə sintez edilə bilər.
合伙	ortaqlıq etmək	Onlar ortaqlıq edib bir restoran açdılar.
合算	sərfəli	Avtobusa minmək taksidən daha sərfəlidir.
和蔼	mehriban	Bu həkim çox mehriban danışır.
和解	barışıq	İki tərəf sonda barışığa gəldi.
和睦	mehriban	Qonşular bir-biri ilə mehriban yaşayırlar.
和气	gülərüz	Müdir insanlarla çox gülərüz davranır.
和谐	ahəngdar	Musiqi atmosferi daha ahəngdar etdi.
嘿	ey	Ey, bunu eşitdin?
痕迹	iz	Yerdə təkər izləri qalmışdı.
狠心	mərhəmətsiz	O, dostunun xahişini mərhəmətsizcə rədd etdi.
恨不得	can atmaq	Mən elə indi evə gedib dincəlməyə can atıram.
哼	mızıldanmaq	O, narazı halda bir dəfə mızıldandı.
横	üfüqi	Zəhmət olmasa, kağızın üstündə bir üfüqi xətt çəkin.
哄	birdən gülmək	Hamı birdən gülməyə başladı.
烘	sobada bişirmək	Çörək sobada bişir.
轰动	sensasiya yaratmaq	Bu xəbər bütün ölkədə sensasiya yaratdı.
宏观	makro	Biz iqtisadiyyatı makro baxımdan təhlil etməliyik.
宏伟	möhtəşəm	Bu körpünün dizaynı çox möhtəşəmdir.
洪水	daşqın	Daşqın bir neçə körpünü dağıtdı.
喉咙	boğaz	O, çox danışdı və boğazı bir az ağrıyır.
吼	bağırmaq	O, uzağa tərəf ucadan bağırdı.
候选	namizəd	O, bu ilin namizəd nümayəndəsidir.
后代	gələcək nəsillər	Biz gələcək nəsillər üçün ətraf mühiti qorumalıyıq.
后顾之忧	gələcək qayğısı	Sabit gəlir onu gələcək qayğılarından azad etdi.
后勤	logistika	Logistika şöbəsi material təminatına cavabdehdir.
呼唤	səsləmək	Ana qapının ağzında uşağı səslədi.
呼啸	uğuldamaq	Soyuq külək pəncərənin çölündə uğuldayırdı.
呼吁	çağırış etmək	Mütəxəssislər hamını israfı azaltmağa çağırdı.
