simplified	MY	example_MY
放射	ထုတ်လွှတ်သည်; ရောင်ခြည်ထုတ်သည်	ဤပစ္စည်းသည် အပူကို ထုတ်လွှတ်သည်။
非法	တရားမဝင်သော	တရားမဝင် အရောင်းအဝယ်သည် အပြစ်ပေးခံရမည်။
飞禽走兽	ငှက်များနှင့် တိရစ္ဆာန်များ	တောထဲတွင် ငှက်များနှင့် တိရစ္ဆာန်အမျိုးမျိုး နေထိုင်ကြသည်။
飞翔	ပျံသန်းသည်	ပင်လယ်ငှက်များသည် ပင်လယ်မျက်နှာပြင်ပေါ်တွင် ပျံသန်းနေကြသည်။
飞跃	ကြီးမားစွာ တိုးတက်ခုန်တက်သည်	နည်းပညာဖွံ့ဖြိုးမှုသည် ကြီးမားသော တိုးတက်ခုန်တက်မှုကို ရရှိခဲ့သည်။
肥沃	မြေဆီဩဇာကောင်းသော	ဤမြေသည် အလွန်မြေဆီဩဇာကောင်းသည်။
诽谤	အသရေဖျက်ပြောဆိုသည်; အသရေဖျက်မှု	အခြားသူများကို အသရေဖျက်ပြောဆိုလျှင် ဥပဒေရေးရာတာဝန် ယူရမည်။
废除	ဖျက်သိမ်းသည်; ပယ်ဖျက်သည်	ဤစည်းမျဉ်းဟောင်းကို ဖျက်သိမ်းပြီးပြီ။
废寝忘食	အလုပ်တွင်နစ်မြုပ်၍ အိပ်စားမေ့သည်	သူသည် သုတေသနအတွက် အိပ်စားမေ့လောက်အောင် နစ်မြုပ်ခဲ့သည်။
废墟	အပျက်အစီးများ	ငလျင်ပြီးနောက် ထိုနေရာသည် အပျက်အစီးများ ဖြစ်သွားသည်။
沸腾	ဆူပွက်သည်	ရေသည် ဆူပွက်ပြီးပြီ။
肺	အဆုတ်	ဆေးလိပ်သောက်ခြင်းသည် အဆုတ်ကို ထိခိုက်စေနိုင်သည်။
分辨	ခွဲခြားသည်; ခွဲခြားသိမြင်သည်	ဤအရောင်နှစ်မျိုးကို ခွဲခြားရန် ကျွန်တော်အတွက် ခက်သည်။
分寸	သင့်တော်သောအတိုင်းအတာ; အပြောအဆိုအတိုင်းအတာ	ဟာသပြောရာတွင်လည်း သင့်တော်သောအတိုင်းအတာကို ဂရုစိုက်ရမည်။
分红	အမြတ်ဝေစု; အမြတ်ခွဲပေးသည်	ရှယ်ယာရှင်များသည် နှစ်ကုန်တွင် အမြတ်ဝေစု ရနိုင်သည်။
分解	ခွဲခြမ်းစိတ်ဖြာသည်; ခွဲထုတ်သည်	ဆရာသည် ရှုပ်ထွေးသော ပြဿနာကို အဆင့်အနည်းငယ်အဖြစ် ခွဲခြမ်းစိတ်ဖြာခဲ့သည်။
分裂	ခွဲခြားပြိုကွဲသည်; ကွဲပြားသွားသည်	အတွင်းပိုင်းပဋိပက္ခများကြောင့် အဖွဲ့အစည်း ပြိုကွဲသွားသည်။
分泌	စိမ့်ထုတ်သည်	ဤဂလန်းမျိုးသည် ဟော်မုန်းများကို စိမ့်ထုတ်သည်။
分明	ရှင်းလင်းသော; ထင်ရှားသော	အချက်အလက်များသည် အလွန်ရှင်းလင်းနေပြီ။
分歧	သဘောထားကွဲလွဲမှု	နှစ်ဘက်သည် စျေးနှုန်းအပေါ် သဘောထားကွဲလွဲမှု ရှိသည်။
分散	ဖြန့်ခွဲသည်; ပျံ့နှံ့စေသည်	ကျေးဇူးပြု၍ အန္တရာယ်ကို စီမံကိန်းအမျိုးမျိုးသို့ ဖြန့်ခွဲပါ။
吩咐	ညွှန်ကြားသည်; မှာကြားသည်	သူဌေးသည် ကျွန်တော့်ကို စာရွက်စာတမ်းများ စီရန် ညွှန်ကြားခဲ့သည်။
坟墓	သင်္ချိုင်းဂူ	တောင်စောင်းပေါ်တွင် ရှေးဟောင်းသင်္ချိုင်းဂူတစ်ခု ရှိသည်။
粉末	အမှုန့်	ကျေးဇူးပြု၍ ဆေးပြားများကို အမှုန့်ဖြစ်အောင် ကြိတ်ပါ။
粉色	ပန်းရောင်ဖျော့	သူမသည် ပန်းရောင်ဖျော့ လည်ပင်းပတ်တစ်ထည် ဝယ်ခဲ့သည်။
粉碎	ချေမှုန်းဖျက်ဆီးသည်; အမှုန့်ဖြစ်စေသည်	ရဲများသည် ဤရာဇဝတ်ဂိုဏ်းကို ချေမှုန်းဖျက်ဆီးခဲ့သည်။
分量	အလေးချိန်; အရေးပါမှု	ဤစကား၏ အရေးပါမှုသည် အလွန်ကြီးသည်။
愤怒	ဒေါသထွက်သော; အမျက်ဒေါသ	သူ၏အသံအနေအထားတွင် ဒေါသအပြည့် ပါနေသည်။
丰满	ပြည့်စုံသော; ကြွယ်ဝသော	ဤဆောင်းပါး၏ အကြောင်းအရာသည် မပြည့်စုံသေးပါ။
丰盛	ကြွယ်ဝပြည့်စုံသော	သူတို့သည် ကြွယ်ဝပြည့်စုံသော ညစာတစ်စားပွဲ ပြင်ဆင်ခဲ့သည်။
丰收	သီးနှံအထွက်ကောင်းခြင်း	ယခုနှစ်တွင် လယ်သမားများ သီးနှံအထွက်ကောင်းခြင်းကို ကြုံတွေ့ခဲ့ကြသည်။
封闭	ပိတ်ထားသည်; တံဆိပ်ခတ်သည်	ဆောက်လုပ်နေစဉ် ဤလမ်းကို ပိတ်ထားမည်။
封建	ဖျူဒယ်စနစ်ဆိုင်သော; ရှေးဟောင်းအုပ်ချုပ်ရေးဆန်သော	ဤဖျူဒယ်အတွေးအခေါ်မျိုးသည် ကြာပြီကတည်းက ပြောင်းလဲသင့်သည်။
封锁	ပိတ်ဆို့ထားသည်	ရဲများသည် မတော်တဆမှုဖြစ်ရာနေရာကို ပိတ်ဆို့ထားခဲ့သည်။
锋利	ထက်သော	ဤဓားသည် အလွန်ထက်သည်။
风暴	မုန်တိုင်း; အကြီးအကျယ်လှုပ်ခတ်မှု	ပင်လယ်ပေါ်တွင် မုန်တိုင်း ရုတ်တရက် ပေါ်လာသည်။
风度	ဟန်ပန်ကျက်သရေ; တည်ငြိမ်လှပသောအမူအရာ	သူသည် စင်မြင့်ပေါ်တွင် ဟန်ပန်ကျက်သရေ အလွန်ရှိပုံရသည်။
风光	ရှုခင်း; သဘာဝအလှ	ဤနေရာ၏ သဘာဝရှုခင်းသည် အလွန်လှသည်။
风气	အလေ့အထ; ပတ်ဝန်းကျင်စိတ်ဓာတ်	ကျောင်းတွင် ကောင်းသော သင်ယူမှုအလေ့အထ ပေါ်ပေါက်လာခဲ့သည်။
风趣	ဟာသဉာဏ်ရှိသော; ရယ်စရာကောင်းသော	သူ၏ပြောပုံတွင် ဟာသဉာဏ် အလွန်ရှိသည်။
风土人情	ဒေသခံဓလေ့ထုံးစံနှင့် လူမှုဘဝ	ခရီးသွားခြင်းက ဒေသခံဓလေ့ထုံးစံနှင့် လူမှုဘဝကို နားလည်စေသည်။
风味	ဒေသခံအရသာ; ထူးခြားသောအရသာ	ဤဆိုင်တွင် ဒေသခံအရသာ အလွန်ထင်ရှားသည်။
逢	ကြုံတိုင်း; တွေ့ကြုံသည်	စနေ၊ တနင်္ဂနွေ ကြုံတိုင်း ပန်းခြံသည် စည်ကားသည်။
奉献	အပ်နှံသည်; ဆက်ကပ်သည်	ဆရာဝန်သည် လူနာများအတွက် အချိန်များစွာ အပ်နှံခဲ့သည်။
否决	ပယ်ချသည်; ဗီတိုအာဏာသုံးသည်	ဒါရိုက်တာဘုတ်အဖွဲ့သည် ဤအဆိုပြုချက်ကို ပယ်ချခဲ့သည်။
夫妇	ဇနီးမောင်နှံ	ဤဇနီးမောင်နှံသည် ဆိုင်ငယ်တစ်ဆိုင် လုပ်ကိုင်ကြသည်။
夫人	မိန်းမကြီး; ဇနီး	ဝမ်ဆရာနှင့် ဇနီးသည် ညစာစားပွဲကို အတူတက်ရောက်ခဲ့သည်။
敷衍	အပေါ်ယံသာလုပ်သည်; မလေးမနက်ဖြေသည်	သူသည် စကားအနည်းငယ်ကိုသာ အပေါ်ယံဖြေခဲ့သည်။
俘虏	စစ်သုံ့ပန်း; ဖမ်းဆီးခံရသူ	စစ်ပွဲပြီးဆုံးပြီးနောက် စစ်သုံ့ပန်းများကို လွှတ်ပေးခဲ့သည်။
幅度	အတိုင်းအတာ; ပမာဏအရွယ်	ဤတစ်ကြိမ် စျေးလျှော့အတိုင်းအတာသည် အလွန်ကြီးသည်။
服从	လိုက်နာသည်; အမိန့်နာခံသည်	စစ်သားများသည် အမိန့်ကို လိုက်နာရမည်။
服气	လက်ခံယုံကြည်သည်; ကျေနပ်လက်ခံသည်	သူသည် ပြိုင်ပွဲတွင် ရှုံးခဲ့သော်လည်း စိတ်ထဲတွင် လက်မခံနိုင်သေးပါ။
福利	အကျိုးခံစားခွင့်; သက်သာချောင်ချိရေး	ဝန်ထမ်းများသည် ကုမ္ပဏီ၏ အကျိုးခံစားခွင့်များကို အလွန်အရေးထားကြသည်။
福气	ကံကောင်းမှု; ကောင်းချီး	ဆရာကောင်းနှင့် တွေ့ရခြင်းသည် သူ၏ ကံကောင်းမှု ဖြစ်သည်။
符号	သင်္ကေတ; အမှတ်အသား	ဤသင်္ကေတသည် အန္တရာယ်ကို ကိုယ်စားပြုသည်။
辐射	ရောင်ခြည်ဖြာထွက်မှု	ဆရာဝန်သည် သူ့ကို ပြင်းထန်သော ရောင်ခြည်ဖြာထွက်မှုမှ ဝေးဝေးနေရန် သတိပေးခဲ့သည်။
俯视	အပေါ်မှငုံ့ကြည့်သည်	တောင်ထိပ်မှ မြို့တစ်မြို့လုံးကို အပေါ်မှငုံ့ကြည့်နိုင်သည်။
抚摸	ညင်သာစွာ ပွတ်သပ်သည်	သူမသည် ကလေး၏ခေါင်းကို ညင်သာစွာ ပွတ်သပ်ခဲ့သည်။
抚养	ပြုစုပျိုးထောင်သည်	အဘိုးအဘွားများသည် ကလေးကို ပြုစုပျိုးထောင်ရာတွင် ကူညီခဲ့ကြသည်။
腐败	အကျင့်ပျက်ခြစားမှု; အကျင့်ပျက်သော	အစိုးရသည် အကျင့်ပျက်ခြစားမှုကို တိုက်ဖျက်နေသည်။
腐烂	ပုပ်သွားသည်	အသီးကို ကြာကြာထားလျှင် ပုပ်သွားမည်။
腐蚀	စားပျက်စေသည်; ဓာတ်ကြောင့်ပျက်စေသည်	အက်စစ်သည် သတ္တုမျက်နှာပြင်ကို စားပျက်စေနိုင်သည်။
腐朽	ပုပ်ပျက်သော; ယိုယွင်းပျက်စီးသော	သူတို့သည် ယိုယွင်းပျက်စီးသော စနစ်ကို ဝေဖန်ခဲ့ကြသည်။
辅助	အကူအညီပေးသည်; အထောက်အကူဖြစ်သော	ဤကိရိယာသည် သင်ကြားရေးကို အကူအညီပေးနိုင်သည်။
副	ဒုတိယ; လက်ထောက်	သူမကို ဒုမန်နေဂျာအဖြစ် ခန့်အပ်ခဲ့သည်။
复活	ပြန်လည်ရှင်သန်သည်; ပြန်လည်ထမြောက်သည်	ဤရိုးရာပွဲတော်သည် ပြန်လည်ရှင်သန်လာနေသည်။
复兴	ပြန်လည်ဖွံ့ဖြိုးထွန်းကားသည်	ယဉ်ကျေးမှုပြန်လည်ဖွံ့ဖြိုးထွန်းကားရေးအတွက် ရေရှည်ကြိုးစားမှု လိုအပ်သည်။
富裕	ချမ်းသာကြွယ်ဝသော	ဤရွာသည် ယခု ပိုပိုချမ်းသာကြွယ်ဝလာနေသည်။
腹泻	ဝမ်းလျှောခြင်း	သူသည် ဝမ်းလျှောခြင်း အလွန်ပြင်းထန်၍ ဆရာဝန်ပြရန် လိုသည်။
覆盖	ဖုံးလွှမ်းသည်	နှင်းကြီးသည် တောင်ကြားတစ်ခုလုံးကို ဖုံးလွှမ်းထားသည်။
负担	ဝန်ထုပ်ဝန်ပိုး; တာဝန်ယူရသောဝန်	အိမ်ငှားခသည် သူ၏ အဓိကဝန်ထုပ်ဝန်ပိုး ဖြစ်လာသည်။
赋予	ပေးအပ်သည်; အပ်နှင်းသည်	ဥပဒေသည် နိုင်ငံသားများအား အခြေခံအခွင့်အရေးများ ပေးအပ်သည်။
附和	လိုက်လံထောက်ခံပြောဆိုသည်	သူတွင် ကိုယ်ပိုင်အမြင်မရှိဘဲ အခြားသူများကိုသာ လိုက်လံထောက်ခံပြောဆိုတတ်သည်။
附件	ပူးတွဲဖိုင်; ပူးတွဲစာရွက်	ကျေးဇူးပြု၍ အီးမေးလ်ထဲရှိ ပူးတွဲဖိုင်ကို ကြည့်ပါ။
附属	လက်အောက်ခံ; တွဲဖက်သော	ဤဆေးရုံသည် တက္ကသိုလ်နှင့် တွဲဖက်သော ဆေးရုံ ဖြစ်သည်။
改良	တိုးတက်အောင်ပြုပြင်သည်	ကျွမ်းကျင်သူများသည် ဤဆန်မျိုးကို တိုးတက်အောင်ပြုပြင်နေကြသည်။
盖章	တံဆိပ်တုံးထုသည်	စာချုပ်ကို လက်မှတ်ထိုးပြီးနောက် တံဆိပ်တုံးထုရန် လိုသည်။
钙	ကယ်လ်စီယမ်	နို့တွင် ကယ်လ်စီယမ် ကြွယ်ဝစွာ ပါဝင်သည်။
尴尬	အနေခက်သော; ရှက်ကိုးရှက်ကန်းဖြစ်သော	အစည်းအဝေးတွင် အနေခက်သော တိတ်ဆိတ်မှု ဖြစ်ပေါ်ခဲ့သည်။
干旱	မိုးခေါင်ခြင်း; ခြောက်သွေ့ခြင်း	ရေရှည်မိုးခေါင်ခြင်းက သီးနှံများကို ထိခိုက်စေခဲ့သည်။
干扰	အနှောင့်အယှက်ပေးသည်	ဆူညံသံသည် ကျွန်တော်၏အလုပ်ကို အနှောင့်အယှက်ပေးသည်။
干涉	ဝင်ရောက်စွက်ဖက်သည်	မိဘများသည် ကလေးများ၏ ရွေးချယ်မှုများကို အလွန်အကျူး ဝင်ရောက်မစွက်ဖက်သင့်ပါ။
干预	ဝင်ရောက်ထိန်းညှိသည်	အစိုးရသည် စျေးကွက်အန္တရာယ်ကို အချိန်မီ ဝင်ရောက်ထိန်းညှိခဲ့သည်။
感慨	စိတ်လှုပ်ရှားခံစားမှု; အတိတ်ကိုခံစားသတိရခြင်း	ဓာတ်ပုံဟောင်းများကို မြင်သောအခါ သူသည် အလွန်ခံစားသတိရခဲ့သည်။
感染	ကူးစက်သည်; ကူးစက်မှု	ဤဗိုင်းရပ်စ်သည် ကလေးများကို လွယ်ကူစွာ ကူးစက်နိုင်သည်။
干劲	လုပ်အားထက်သန်မှု	လူတိုင်း အလုပ်လုပ်ရာတွင် အလွန်လုပ်အားထက်သန်ကြသည်။
扛	အားဖြင့်မတင်သည်; ပခုံးထမ်းသည်	ဒဏ္ဍာရီအရ သူသည် အလွန်အားကြီးပြီး အိုးကြီးကို မတင်နိုင်သည်။
纲领	လှုပ်ရှားမှုမူဝါဒ; လမ်းညွှန်အစီအစဉ်	အစည်းအဝေးသည် လှုပ်ရှားမှုမူဝါဒအသစ်ကို အတည်ပြုခဲ့သည်။
岗位	ရာထူးနေရာ; အလုပ်နေရာ	သူမသည် အလုပ်နေရာအသစ်နှင့် မကြာမီ လိုက်လျောညီထွေဖြစ်ခဲ့သည်။
港口	ဆိပ်ကမ်း	ကုန်တင်သင်္ဘောသည် ဆိပ်ကမ်းတွင် ရပ်နားခဲ့သည်။
港湾	ပင်လယ်အော်ဆိပ်ကမ်း	လှေငယ်သည် တိတ်ဆိတ်သော ပင်လယ်အော်ဆိပ်ကမ်းထဲသို့ မောင်းဝင်ခဲ့သည်။
杠杆	လီဗာ; ငွေရေးကြေးရေးလီဗာ	ဤရင်းနှီးမြှုပ်နှံမှုတွင် မြင့်မားသော ငွေရေးကြေးရေးလီဗာကို အသုံးပြုခဲ့သည်။
高超	အလွန်ကျွမ်းကျင်သော; ထူးချွန်သော	သူ၏ ကားပြင်နည်းပညာသည် အလွန်ကျွမ်းကျင်သည်။
高潮	အမြင့်ဆုံးအပိုင်း; အထွတ်အထိပ်	ပြိုင်ပွဲသည် နောက်ဆုံးဆယ်မိနစ်တွင် အထွတ်အထိပ်သို့ ရောက်ခဲ့သည်။
高峰	အထွတ်အထိပ်; အများဆုံးအချိန်	မနက်ရှစ်နာရီသည် ယာဉ်ကြောအများဆုံးအချိန် ဖြစ်သည်။
高明	ဉာဏ်ကောင်းသော; ထူးချွန်သော	ဤနည်းလမ်းသည် တကယ်ပင် ဉာဏ်ကောင်းသည်။
高尚	မြင့်မြတ်သော	ဆရာဝန်၏ အသက်မွေးဝမ်းကျောင်းစိတ်ဓာတ်သည် မြင့်မြတ်သည်။
高涨	မြင့်တက်လာသည်; ပိုမိုပြင်းထန်လာသည်	ပရိသတ်၏ စိတ်အားထက်သန်မှုသည် ဆက်တိုက်မြင့်တက်လာသည်။
稿件	မူကြမ်းစာ; စာမူ	တည်းဖြတ်သူသည် စာမူကို ပြင်ဆင်နေသည်။
告辞	နှုတ်ဆက်ခွင့်တောင်းသည်	အချိန်နှောင်းနေပြီဖြစ်သောကြောင့် ကျွန်ုပ်တို့ အရင်နှုတ်ဆက်ခွင့်တောင်းပါသည်။
告诫	သတိပေးဆုံးမသည်	ဆရာသည် ကျောင်းသားများကို စာမေးပွဲမလိမ်ရန် သတိပေးဆုံးမခဲ့သည်။
割	လှီးဖြတ်သည်; ဖြတ်သည်	သူသည် မတော်တဆ လက်ချောင်းကို လှီးမိခဲ့သည်။
搁	တင်ထားသည်; ချထားသည်	ကျေးဇူးပြု၍ စာရွက်စာတမ်းများကို စားပွဲပေါ်တွင် တင်ထားပါ။
歌颂	ချီးကျူးဂုဏ်ပြုသည်; သီဆိုချီးမွမ်းသည်	ဤကဗျာသည် အလုပ်သမားများကို ချီးကျူးဂုဏ်ပြုထားသည်။
疙瘩	အဖု; စိတ်ကသိကအောက်ဖြစ်စေသောကိစ္စ	သူ၏လက်မောင်းပေါ်တွင် အဖုတစ်ခု ထွက်လာသည်။
鸽子	ချိုးငှက်	ရင်ပြင်ပေါ်တွင် ချိုးငှက်များစွာ ရှိသည်။
格局	ဖွဲ့စည်းပုံ; အပြင်အဆင်	ဤတိုက်ခန်း၏ အပြင်အဆင်သည် အလွန်သင့်လျော်သည်။
格式	ပုံစံ; သတ်မှတ်ဖော်မတ်	ကျေးဇူးပြု၍ သတ်မှတ်ထားသော ပုံစံအတိုင်း ဖောင်ဖြည့်ပါ။
隔阂	စိတ်ကွာဟမှု; ဆက်ဆံရေးကွာဟမှု	နားလည်မှုလွဲခြင်းက သူတို့ကြားရှိ စိတ်ကွာဟမှုကို ပိုနက်ရှိုင်းစေခဲ့သည်။
隔离	ခွဲထားသည်; သီးခြားထားသည်	လူနာကို ယာယီ သီးခြားထားရန် လိုသည်။
革命	တော်လှန်ရေး	ဤတော်လှန်ရေးသည် နိုင်ငံ၏ ကံကြမ္မာကို ပြောင်းလဲခဲ့သည်။
个体	တစ်ဦးချင်း; သီးခြားပုဂ္ဂိုလ်	တစ်ဦးချင်းတိုင်းတွင် လိုအပ်ချက် မတူကြသည်။
各抒己见	လူတိုင်း မိမိအမြင်ကို ဖော်ပြသည်	အစည်းအဝေးတွင် လူတိုင်း မိမိအမြင်ကို ဖော်ပြခဲ့ကြသည်။
根深蒂固	အမြစ်တွယ်နေသော	ဤအယူအဆသည် အလွန်အမြစ်တွယ်နေပြီ။
根源	အမြစ်အကြောင်းရင်း; မူလရင်းမြစ်	ဆင်းရဲနွမ်းပါးမှု၏ အမြစ်အကြောင်းရင်းများသည် ရှုပ်ထွေးသည်။
跟前	ရှေ့နား; အနီး	ကလေးသည် မိခင်ရှေ့နားသို့ ပြေးလာသည်။
跟随	လိုက်ပါသည်; နောက်လိုက်သည်	သတင်းထောက်သည် အဖွဲ့ကို လိုက်ပါပြီး တောင်တန်းဒေသထဲသို့ ဝင်ခဲ့သည်။
跟踪	ခြေရာခံသည်; နောက်ယောင်ခံလိုက်သည်	ရဲများသည် သံသယရှိသူ၏ လှုပ်ရှားမှုကို ခြေရာခံနေကြသည်။
更新	အပ်ဒိတ်လုပ်သည်; အသစ်ပြောင်းသည်	စနစ်သည် ယနေ့ည အလိုအလျောက် အပ်ဒိတ်လုပ်မည်။
更正	ပြင်ဆင်သည်; အမှားပြင်သည်	သတင်းစာသည် နောက်တစ်နေ့တွင် အမှားကို ပြင်ဆင်ခဲ့သည်။
耕地	ထွန်ယက်သည်; စိုက်ပျိုးမြေ	လယ်သမားများသည် နွေဦးတွင် လယ်ကို ထွန်ယက်နေကြသည်။
供不应求	ပေးဝေမှုက လိုအပ်ချက်ကို မမီသော	ဤဆေးသည် လက်ရှိတွင် ပေးဝေမှုက လိုအပ်ချက်ကို မမီသေးပါ။
供给	ပေးဝေသည်; ထောက်ပံ့မှု	မြို့တစ်မြို့သည် ရေနှင့်လျှပ်စစ်ကို တည်ငြိမ်စွာ ပေးဝေရန် လိုအပ်သည်။
公安局	ပြည်သူ့လုံခြုံရေးဌာန	သူသည် အမှုတိုင်ကြားရန် ပြည်သူ့လုံခြုံရေးဌာနသို့ သွားခဲ့သည်။
公道	တရားမျှတမှု; မျှတသော	လူတိုင်း တရားမျှတသော ကိုင်တွယ်ဖြေရှင်းမှုကို ရလိုကြသည်။
公告	ကြေညာချက်	ကျောင်းသည် အတန်းရပ်နားကြောင်း ကြေညာချက် ထုတ်ပြန်ခဲ့သည်။
公关	အများပြည်သူဆက်ဆံရေး	ကုမ္ပဏီသည် အထူးကျွမ်းကျင်သော အများပြည်သူဆက်ဆံရေးအဖွဲ့ကို ငှားခဲ့သည်။
公民	နိုင်ငံသား	နိုင်ငံသားတိုင်း ဥပဒေကို လိုက်နာသင့်သည်။
公然	လူသိရှင်ကြား; ပွင့်ပွင့်လင်းလင်း	သူသည် ပြိုင်ပွဲစည်းမျဉ်းများကို လူသိရှင်ကြား ချိုးဖောက်ခဲ့သည်။
公认	အများက အသိအမှတ်ပြုသော	သူမသည် အများက အသိအမှတ်ပြုသော ထူးချွန်ဆရာ ဖြစ်သည်။
公式	ဖော်မြူလာ; သင်္ချာပုံသေ	ကျေးဇူးပြု၍ ဤသင်္ချာဖော်မြူလာကို ရေးမှတ်ပါ။
公务	တရားဝင်တာဝန်; ရုံးလုပ်ငန်း	သူသည် တရားဝင်တာဝန်ကြောင့် သုံးရက် ခရီးထွက်ခဲ့သည်။
公正	တရားမျှတသော	တရားသူကြီးသည် တရားမျှတမှုကို ထိန်းသိမ်းရမည်။
公证	နိုထရီအတည်ပြုခြင်း; တရားဝင်အတည်ပြုခြင်း	ဤစာရွက်စာတမ်းကို နိုထရီအတည်ပြုရန် လိုသည်။
功劳	အကျိုးပြုလုပ်ဆောင်မှု; ကောင်းမှုအခန်းကဏ္ဍ	ဤအောင်မြင်မှုတွင် လူတိုင်း၏ အကျိုးပြုလုပ်ဆောင်မှု ပါဝင်သည်။
功效	ထိရောက်မှု; အကျိုးသက်ရောက်မှု	ဤဆေး၏ ထိရောက်မှုကို ဆက်လက် အတည်ပြုရန် လိုသည်။
宫殿	နန်းတော်	ခရီးသွားများသည် ရှေးဟောင်းနန်းတော်ကို လည်ပတ်ခဲ့ကြသည်။
工艺品	လက်မှုပစ္စည်း	ဤလက်မှုပစ္စည်းကို လက်ဖြင့်ပြုလုပ်ထားသည်။
恭敬	ရိုသေလေးစားသော	သူသည် အဘိုးအိုကို ရိုသေလေးစားစွာ နှုတ်ဆက်ခဲ့သည်။
攻击	တိုက်ခိုက်သည်; စွပ်စွဲတိုက်ခိုက်သည်	ဟက်ကာများသည် ကုမ္ပဏီဝက်ဘ်ဆိုက်ကို တိုက်ခိုက်ခဲ့ကြသည်။
攻克	ကျော်လွှားအောင်မြင်သည်; သိမ်းပိုက်သည်	သုတေသနအဖွဲ့သည် နည်းပညာခက်ခဲချက်ကို ကျော်လွှားအောင်မြင်ခဲ့သည်။
巩固	ခိုင်မာစေသည်; တည်မြဲစေသည်	ပြန်လည်လေ့လာခြင်းသည် သင်ယူထားသော အသိပညာကို ခိုင်မာစေနိုင်သည်။
共和国	သမ္မတနိုင်ငံ	ဤသမ္မတနိုင်ငံကို ပြီးခဲ့သောရာစုတွင် တည်ထောင်ခဲ့သည်။
共计	စုစုပေါင်းဖြစ်သည်	ဤကုန်ပစ္စည်းအစုသည် စုစုပေါင်း သေတ္တာသုံးရာ ဖြစ်သည်။
共鸣	စိတ်ချင်းထပ်တူခံစားမှု; ပြန်လည်တုန်ခါမှု	ဤသီချင်းသည် လူများစွာ၏ စိတ်ချင်းထပ်တူခံစားမှုကို ဖြစ်စေခဲ့သည်။
勾结	ပူးပေါင်းကြံစည်သည်	သူတို့သည် ပြင်ပလူများနှင့် ပူးပေါင်းကြံစည်ပြီး ငွေကို လိမ်ယူခဲ့ကြသည်။
钩子	ချိတ်	နံရံပေါ်တွင် ချိတ်အချို့ ချိတ်ထားသည်။
构思	စိတ်ကူးဖန်တီးသည်; အကြမ်းစီစဉ်သည်	စာရေးဆရာသည် ဝတ္ထုအသစ်ကို စိတ်ကူးဖန်တီးနေသည်။
姑且	ယာယီအားဖြင့်; လောလောဆယ်	ဤအစီအစဉ်ကို လောလောဆယ် တစ်ပတ် စမ်းကြည့်ကြစို့။
孤独	အထီးကျန်သော	မြို့အသစ်သို့ ပြောင်းရွှေ့ပြီးနောက် သူသည် အထီးကျန်သည်ဟု ခံစားခဲ့သည်။
孤立	သီးခြားဖြစ်သော; သီးခြားထားသည်	ဤပြဿနာကို သီးခြားတစ်ခုအဖြစ် မကြည့်ပါနှင့်။
辜负	မျှော်လင့်ချက်ပျက်စေသည်; စိတ်ပျက်စေသည်	ကျွန်တော်သည် မိဘများ၏ မျှော်လင့်ချက်ကို မပျက်စေလိုပါ။
古董	ရှေးဟောင်းပစ္စည်း	အဘိုးသည် ရှေးဟောင်းပစ္စည်းအချို့ စုဆောင်းထားသည်။
古怪	ထူးဆန်းသော	သူ၏အတွေးအခေါ်သည် နည်းနည်း ထူးဆန်းသည်။
股东	ရှယ်ယာရှင်	ရှယ်ယာရှင်အစည်းအဝေးကို နောက်အပတ်တွင် ကျင်းပမည်။
股份	ရှယ်ယာ; အစုရှယ်ယာ	သူသည် ကုမ္ပဏီ၏ ရှယ်ယာများကို ကိုင်ဆောင်ထားသည်။
骨干	အဓိကအင်အား; ကျောရိုးအဖွဲ့ဝင်	ဤအင်ဂျင်နီယာများသည် အဖွဲ့၏ အဓိကအင်အား ဖြစ်သည်။
鼓动	လှုံ့ဆော်သည်; နှိုးဆော်သည်	တစ်စုံတစ်ယောက်သည် လူအုပ်ကို ဆန္ဒပြရန် လှုံ့ဆော်ခဲ့သည်။
固然	အမှန်တကယ်တော့; ဝန်ခံရမည်မှာ	ဤနည်းလမ်းသည် အမှန်တကယ်တော့ ရိုးရှင်းသော်လည်း အန္တရာယ် မနည်းပါ။
固体	အစိုင်အခဲ	ရေခဲသည် ရေ၏ အစိုင်အခဲပုံစံ ဖြစ်သည်။
固有	မူလပါဝင်သော; သဘာဝအရရှိသော	ယဉ်ကျေးမှုတိုင်းတွင် မူလပါဝင်သော လက္ခဏာများ ရှိသည်။
固执	ခေါင်းမာသော	သူသည် အလွန်ခေါင်းမာပြီး အကြံပြုချက်ကို မနားထောင်ပါ။
故乡	မွေးရပ်မြေ; ဇာတိမြေ	နှစ်များစွာကြာပြီးနောက် သူသည် မွေးရပ်မြေသို့ ပြန်လာခဲ့သည်။
故障	ချို့ယွင်းမှု; ပျက်ကွက်မှု	ဓာတ်လှေကားတွင် ချို့ယွင်းမှု ဖြစ်ပေါ်၍ ယာယီအသုံးမပြုနိုင်ပါ။
雇佣	ငှားရမ်းခန့်အပ်သည်	ကုမ္ပဏီသည် နည်းပညာဝန်ထမ်းများ ပိုမိုငှားရမ်းရန် ဆုံးဖြတ်ခဲ့သည်။
