simplified	NE	example_NE	SI	example_SI	TA	example_TA
张	समतल वस्तुको मापक शब्द	मैले एउटा टिकट किनेँ।	සමතල දේවල් සඳහා මිනුම් පදය	මම ටිකට්පතක් මිලදී ගත්තා.	தட்டையான பொருட்களுக்கான அளவுச்சொல்	நான் ஒரு சீட்டு வாங்கினேன்.
丈夫	श्रीमान्; पति	उनका श्रीमान् डाक्टर हुनुहुन्छ।	ස්වාමිපුරුෂයා	ඇගේ ස්වාමිපුරුෂයා වෛද්‍යවරයෙක්.	கணவர்	அவளின் கணவர் ஒரு மருத்துவர்.
找	खोज्नु	म एक जना साथी खोजिरहेको छु।	සොයනවා	මම මිතුරෙක් සොයමින් ඉන්නවා.	தேடுதல்	நான் ஒரு நண்பரைத் தேடிக்கொண்டிருக்கிறேன்.
着	निरन्तर अवस्था सूचक कण	ढोका खुला छ।	දිගටම පවතින තත්ත්ව පදය	දොර ඇරලා තියෙනවා.	தொடர்நிலைத் துகள்	கதவு திறந்திருக்கிறது.
真	साँच्चै; वास्तविक	यो किताब साँच्चै राम्रो छ।	ඇත්තටම; සැබෑ	මේ පොත ඇත්තටම හොඳයි.	உண்மையாக; மெய்	இந்த புத்தகம் உண்மையாக நல்லது.
正在	अहिले गरिरहेको	ऊ टिभी हेर्दै छ।	කරමින් ඉන්නවා	ඔහු රූපවාහිනිය බලමින් ඉන්නවා.	செய்துகொண்டிருக்கிறது	அவர் தொலைக்காட்சி பார்த்துக்கொண்டிருக்கிறார்.
知道	थाहा पाउनु; जान्नु	मलाई थाहा छैन।	දන්නවා	මම දන්නේ නැහැ.	தெரிந்திருத்தல்	எனக்கு தெரியாது.
准备	तयारी गर्नु; तयारी	म परीक्षाको तयारी गर्दै छु।	සූදානම් කරනවා; සූදානම	මම විභාගයට සූදානම් වෙනවා.	தயார் செய்தல்; தயாரிப்பு	நான் தேர்வுக்குத் தயாராகிக்கொண்டிருக்கிறேன்.
自行车	साइकल	मेरो साइकल नयाँ छ।	බයිසිකලය	මගේ බයිසිකලය අලුත්.	மிதிவண்டி	என் மிதிவண்டி புதியது.
走	हिँड्नु; जानु	म हिँडेर घर जान्छु।	ඇවිදිනවා; යනවා	මම ඇවිදගෙන ගෙදර යනවා.	நடத்தல்; செல்லுதல்	நான் நடந்து வீட்டுக்குச் செல்கிறேன்.
最	सबैभन्दा; सबैभन्दा धेरै	ऊ सबैभन्दा अग्लो छ।	වැඩියෙන්ම; වඩාත්ම	ඔහු හැමෝටම වඩා උසයි.	மிகவும்; மிக அதிகம்	அவர் எல்லாரிலும் உயரமானவர்.
左边	बायाँपट्टि	स्कूल बायाँपट्टि छ।	වම් පැත්ත	පාසල වම් පැත්තේ තියෙනවා.	இடது பக்கம்	பள்ளி இடது பக்கத்தில் உள்ளது.
