simplified	SW	example_SW
大体	kwa jumla; takribani	Mpango huu kwa jumla uko sawa.
大意	wazo kuu; maana ya jumla	Tafadhali eleza kwanza wazo kuu la makala hii.
大致	takribani; kwa kiasi fulani	Ninaelewa takribani kilichotokea.
歹徒	mhalifu	Polisi walimkamata mhalifu haraka.
代价	gharama; fidia	Mafanikio mara nyingi huhitaji kulipa gharama.
代理	kumwakilisha; kuwa wakala	Anamwakilisha meneja kwa muda.
带领	kuongoza	Mwalimu aliwaongoza wanafunzi kutembelea makumbusho.
怠慢	kupuuzia; kutomheshimu	Hatupaswi kuwapuuza wageni.
逮捕	kukamata	Polisi walimkamata mshukiwa mkuu.
担保	dhamana; kudhamini	Benki inahitaji mtu atoe dhamana.
胆怯	mwoga; mwenye woga	Alikuwa na woga kidogo katika hotuba yake ya kwanza.
淡季	msimu wa utulivu; msimu usio na biashara nyingi	Tiketi za ndege ni nafuu zaidi katika msimu wa utalii wa chini.
淡水	maji safi; maji yasiyo ya chumvi	Samaki wa aina hii wanaweza kuishi tu kwenye maji safi.
蛋白质	protini	Mayai yana protini nyingi.
诞辰	kumbukumbu ya kuzaliwa	Leo ni kumbukumbu ya kuzaliwa kwa mwandishi huyu.
诞生	kuzaliwa; kuibuka	Wazo hili liliibuka wakati wa majadiliano.
当场	papo hapo	Alikiri kosa lake papo hapo.
当初	mwanzoni; wakati ule	Mwanzoni sisi sote tuliunga mkono uamuzi huu.
当代	kisasa; enzi ya sasa	Jamii ya kisasa hubadilika haraka sana.
当面	ana kwa ana	Ni bora kueleza matatizo waziwazi ana kwa ana.
当前	kwa sasa; wa sasa	Jambo muhimu zaidi kwa sasa ni kuhakikisha usalama.
当事人	mhusika	Polisi wanamhoji mhusika.
当务之急	jambo la haraka zaidi; kipaumbele	Kutatua tatizo la makazi ndicho kipaumbele.
当选	kuchaguliwa	Alichaguliwa kwa mafanikio kuwa mwenyekiti.
党	chama	Chama hiki kilipendekeza sera mpya.
档案	faili; kumbukumbu	Shule ilihifadhi kumbukumbu za wanafunzi.
档次	daraja; kiwango	Hoteli hii iko katika daraja la juu.
倒闭	kufungwa kwa biashara; kufilisika	Duka dogo lile lilifungwa mwaka jana.
导弹	kombora	Habari ziliripoti jaribio la kombora.
导航	urambazaji	Tafadhali washa urambazaji kwenye simu.
导向	mwelekeo; kuelekezwa	Sera ya elimu inapaswa kuelekezwa kwenye haki.
捣乱	kusababisha fujo; kuvuruga	Tafadhali usilete fujo darasani.
盗窃	wizi; kuiba	Duka kubwa liliimarisha hatua za kuzuia wizi.
稻谷	mpunga	Wakulima wanavuna mpunga.
得不偿失	hasara kuzidi faida	Kununua vifaa vibovu ili kuokoa pesa hakutalipa.
得力	mwenye uwezo; hodari	Yeye ni msaidizi hodari wa meneja.
得天独厚	kuwa na faida za kipekee	Mji huu una faida za kipekee za kijiografia.
得罪	kumkosea; kumchukiza	Sitaki kuwachukiza wenzangu kwa jambo dogo.
灯笼	taa ya karatasi; taa ya sherehe	Wakati wa Sikukuu ya Majira ya Chipukizi, taa nyekundu hutundikwa mlangoni.
登录	kuingia kwenye akaunti	Tafadhali ingia kwenye akaunti yako kwanza.
登陆	kutua; kufika pwani	Kimbunga kinaweza kutua maeneo ya pwani usiku wa leo.
蹬	kukanyaga kwa nguvu	Alikanyaga kwa nguvu, na baiskeli ikasonga.
等候	kusubiri	Abiria wanasubiri ukumbini kupanda ndege.
等级	kiwango; daraja	Programu hii ina viwango tofauti vya uanachama.
瞪	kukodolea macho; kutazama kwa hasira	Alinikodolea macho kwa hasira.
堤坝	bwawa; tuta la kuzuia maji	Baada ya mvua kubwa, bwawa linahitaji kukaguliwa kwa makini.
敌视	uadui; kuwa na uadui	Hatupaswi kuwa na uadui dhidi ya maoni tofauti.
抵达	kufika	Ndege ilifika Beijing kwa wakati.
抵抗	kupinga; kustahimili	Wanakijiji walikabiliana na mafuriko pamoja.
抵制	kususia; kupinga	Watumiaji walianza kususia bidhaa duni.
地步	hali; hatua	Jambo hilo bado halijafikia hali mbaya hivyo.
地势	mwinuko wa ardhi; umbo la ardhi	Ardhi hapa iko juu, kwa hiyo maji hayakusanyiki kirahisi.
地质	jiolojia	Wataalamu wanachunguza hali ya jiolojia ya eneo hili.
递增	kuongezeka hatua kwa hatua	Mauzo yaliongezeka kwa miezi mitatu mfululizo.
颠簸	kutikisika; kuwa na mitikisiko	Barabara ya mlima ina mitikisiko mingi, kwa hiyo endesha kwa makini.
颠倒	kupindua; kubadilisha mpangilio	Umebadilisha mpangilio wa namba hizo mbili.
典礼	sherehe rasmi	Sherehe ya kuhitimu itafanyika kwenye ukumbi.
典型	mfano wa kawaida; ya kawaida	Huu ni mfano wa kawaida wa mafanikio.
点缀	kupamba; mapambo	Maua madogo machache yalipamba meza ya chakula.
垫	kikeka; pedi; kitu cha kuweka chini	Tafadhali weka karatasi hii chini ya kikombe.
奠定	kuweka msingi	Ushirikiano huu uliweka msingi wa uhusiano wa muda mrefu.
惦记	kumkumbuka kwa wasiwasi	Mama daima humwazia mtoto wake aliye mbali.
电源	chanzo cha umeme	Tafadhali zima umeme kabla ya kuondoka.
叼	kushika mdomoni	Mbwa yule ameshika mfupa mdomoni.
雕刻	kuchonga	Anapenda kuchonga michoro kwenye mbao.
雕塑	sanamu; uchongaji	Katikati ya uwanja kuna sanamu.
吊	kuning'iniza; kunyanyua	Wafanyakazi walitumia mashine kunyanyua boriti ya chuma.
调动	kuhamisha; kupanga upya	Kampuni ilimhamishia Shanghai kufanya kazi.
跌	kuanguka; kushuka	Bei ya hisa imeshuka tena leo.
丁	kibonge kidogo; kipande cha umbo la mchemraba	Mapishi yanasema ukate viazi vipande vya mchemraba.
叮嘱	kukumbusha tena na tena	Mwalimu alitukumbusha mara kwa mara kuzingatia usalama.
盯	kutazama kwa makini	Tafadhali usiendelee kuwatazama wengine kwa makini.
定期	mara kwa mara; kwa ratiba	Daktari alimshauri apimwe afya mara kwa mara.
定义	ufafanuzi	Tafadhali eleza kwanza ufafanuzi wa dhana hii.
丢人	aibu; kupoteza heshima	Kusema uongo hadharani ni aibu kweli.
丢三落四	msahaulifu; asiye na mpangilio	Yeye ni msahaulifu kila wakati na mara nyingi husahau funguo anapotoka.
东道主	mwenyeji	Kama wenyeji, tunapaswa kuwatunza wageni vizuri.
东张西望	kutazama huku na kule	Usitazame huku na kule wakati wa darasa.
董事长	mwenyekiti wa bodi	Mwenyekiti wa bodi alihudhuria mkutano leo.
冻结	kufungia; kuganda	Benki ilifungia akaunti hii kwa muda.
动荡	msukosuko; ukosefu wa utulivu	Vita vilifanya eneo hili lisitulie kwa muda mrefu.
动机	nia; sababu ya ndani	Polisi wanachunguza nia yake.
动静	sauti au harakati	Chumbani hakukuwa na sauti wala harakati hata kidogo.
动力	motisha; nguvu	Hamu ni motisha ya kujifunza.
动脉	mshipa wa ateri	Daktari alichunguza ateri yake.
动身	kuondoka; kuanza safari	Tutaondoka kwenda uwanja wa ndege mapema kesho asubuhi.
动手	kuanza kupigana; kuanza kufanya kazi	Jambo bado haliko wazi, kwa hiyo hakuna anayepaswa kuanza kupigana.
动态	maendeleo; mwenendo	Tafadhali fuatilia maendeleo ya mradi.
动员	kuhamasisha	Shule ilihamasisha wanafunzi kushiriki shughuli za kujitolea.
栋	jengo; kipimo cha majengo	Jengo hili lina ghorofa ishirini.
兜	mfuko wa nguo; kuweka mfukoni	Aliweka funguo kwenye mfuko wa koti.
陡峭	mwinuko mkali	Barabara hii ya mlima ina mwinuko mkali sana.
斗争	mapambano	Wanapambana kulinda mazingira.
督促	kuhimiza; kusukuma mtu amalize kazi	Meneja aliwahimiza wote kumaliza kazi kwa wakati.
毒品	dawa za kulevya; sumu	Forodha ilikamata kundi la dawa za kulevya.
独裁	udikteta	Watu wanapinga udikteta.
堵塞	kuziba; kizuizi	Takataka ziliziba mfereji wa maji taka.
赌博	kamari; kucheza kamari	Kamari inaweza kuleta matokeo mabaya.
杜绝	kukomesha	Kampuni inahitaji kukomesha ubadhirifu.
端	ncha; kushika	Aliingia akiwa ameshika kikombe cha chai moto.
端午节	Sikukuu ya Duanwu; Tamasha la Mashua za Joka	Tunakula zongzi wakati wa Sikukuu ya Duanwu.
端正	kusahihisha; kuwa sawa	Wanafunzi wanapaswa kusahihisha mtazamo wao wa kujifunza.
短促	fupi; ya muda mfupi	Alitoa mguno mfupi.
断定	kuamua; kuhitimisha	Bado haiwezekani kuamua nani yuko sahihi na nani amekosea.
断绝	kukatiza; kuvunja	Baada ya ajali, kijiji kilikatiza mawasiliano na dunia ya nje.
堆积	kurundikana	Theluji ilirundikana kando ya barabara.
兑现	kutimiza ahadi; kulipa pesa	Hatimaye alitimiza ahadi yake.
对策	mbinu ya kukabiliana na hali	Tunapokabili hatari, tunahitaji mbinu za kukabiliana nazo.
对称	ulinganifu; yenye ulinganifu	Pande za kushoto na kulia za jengo hili zina ulinganifu mkubwa.
对付	kushughulikia; kukabiliana	Tatizo hili si rahisi kushughulikia.
对抗	kukabiliana; kupambana	Timu hizo mbili zitakabiliana katika fainali.
对立	kupingana	Misimamo ya pande hizo mbili inapingana kabisa.
对联	beti za mlangoni; mistari ya sherehe	Wakati wa Sikukuu ya Majira ya Chipukizi, waliweka beti mlangoni.
对应	kulingana; kuendana	Kila namba inalingana na kiti.
对照	kulinganisha; kuweka kando kwa kando	Tafadhali linganisha tafsiri na maandishi ya asili.
队伍	msafara; kikosi	Msafara wa gwaride ulisonga mbele polepole.
顿时	mara moja; papo hapo	Aliposikia habari, aliganda mara moja.
哆嗦	kutetemeka	Baridi ilikuwa kali sana kiasi kwamba aliendelea kutetemeka.
多元化	mseto; kuwa na aina nyingi	Kampuni inakuza mseto wa biashara.
堕落	kuporomoka kimaadili	Hataki kujiacha aendelee kuporomoka kimaadili.
额外	ziada; ya kuongeza	Huduma hii inahitaji ada ya ziada.
恶心	kichefuchefu; kuchukiza	Niliposikia harufu ile, nilihisi kichefuchefu kidogo.
恶化	kuzidi kuwa mbaya	Ikiwa haitatibiwa, ugonjwa unaweza kuzidi kuwa mbaya.
遏制	kudhibiti; kuzuia	Serikali ilichukua hatua kudhibiti uchafuzi.
恩怨	kinyongo; uhasama	Kinyongo kati ya kampuni hizo mbili kimekuwepo kwa muda mrefu.
而已	tu; basi tu	Nilisema tu kwa kawaida, basi tu.
二氧化碳	kaboni dioksidi	Mimea hufyonza kaboni dioksidi.
发布	kutangaza; kutoa	Kampuni itatoa bidhaa mpya kesho.
发财	kutajirika	Anatumaini kutajirika kwa kufanya kazi kwa bidii.
发呆	kuzubaa; kupotea mawazoni	Alikaa kando ya dirisha akiwa amezubaa.
发动	kuanzisha; kuhamasisha	Wajitoleaji waliwahamasisha wakazi kusafisha mtaa.
发觉	kugundua	Niligundua kuwa alikuwa na wasiwasi kidogo leo.
发射	kurusha; kuzindua	Roketi itazinduliwa jioni.
发誓	kuapa	Aliapa kwamba hatasema uongo tena.
发行	kutoa; kuchapisha; kuzindua	Filamu hii itatolewa mwezi ujao.
发炎	kuvimba kwa maambukizi; kupata uvimbe	Jeraha limevimba kidogo.
发扬	kuendeleza; kutumia vizuri	Tunapaswa kuendeleza roho ya kazi ya pamoja.
发育	kukua; maendeleo ya mwili	Ukuaji wa mwili wa watoto unahitaji lishe ya kutosha.
法人	taasisi ya kisheria	Kampuni hii ni taasisi huru ya kisheria.
番	mara; maneno ya kuchochea	Maneno haya yalinipa msukumo mkubwa.
凡是	kila; wote	Kila anayejisajili lazima ahudhurie mafunzo.
繁华	yenye shughuli nyingi; iliyostawi	Mtaa huu zamani ulikuwa na shughuli nyingi sana.
繁忙	yenye shughuli nyingi	Uwanja wa ndege huwa na shughuli nyingi hasa wakati wa sikukuu.
繁体字	herufi za Kichina za jadi	Watu wa Taiwan mara nyingi huandika kwa herufi za jadi.
繁殖	kuzaliana; kueneza	Mmea wa aina hii huzaliana kwa urahisi.
反驳	kupinga hoja; kukanusha	Alikanusha mtazamo huu kwa kutumia data.
反常	isiyo ya kawaida	Hali ya hewa ya leo si ya kawaida kidogo.
反感	kuchukia; kutopenda	Ninachukia sana tangazo la aina hii.
反抗	kupinga; kuasi	Watu walianza kupinga utawala usio wa haki.
反馈	maoni ya mrejesho	Wateja waliripoti kuwa mfumo ni thabiti sana.
反面	upande wa nyuma; upande mwingine	Tafadhali geuza karatasi upande wa nyuma.
反射	kuakisi; mwitiko wa mwili	Kioo huakisi mwanga.
反思	kutafakari upya	Baada ya kushindwa, alitafakari kwa umakini sababu zake.
反问	kujibu kwa swali	Hakujibu, bali aliniuliza swali kwa kujibu.
反之	kinyume chake	Bei ikiwa juu sana hupunguza mahitaji, na kinyume chake pia ni kweli.
泛滥	kufurika	Mvua kubwa ilisababisha mto kufurika.
范畴	kategoria; wigo	Suala hili liko ndani ya wigo wa sheria.
贩卖	kuuza kwa magendo; kuuza	Sheria inakataza kuuza dawa bandia.
方位	mwelekeo	Ramani inaonyesha mwelekeo halisi.
方言	lahaja	Anaweza kuelewa lahaja ya eneo hilo.
方圆	eneo la karibu; mzunguko	Ndani ya kilomita kumi hakuna hospitali.
方针	sera; mwongozo	Kampuni iliweka sera mpya ya maendeleo.
防守	ulinzi; kujilinda	Ulinzi wa timu hii ni thabiti sana.
防御	ulinzi	Ukuta wa mji zamani ulitumika kujilinda dhidi ya maadui.
防止	kuzuia	Tafadhali funga mkanda wa usalama ili kuzuia majeraha.
防治	kuzuia na kutibu	Daktari alieleza njia za kuzuia na kutibu magonjwa.
纺织	ufumaji wa nguo; tasnia ya nguo	Mji huu unajulikana kwa tasnia yake ya nguo.
访问	kutembelea; kuhoji	Mwandishi wa habari atamtembelea mwandishi huyu kesho.
放大	kukuza	Tafadhali ikuza picha kidogo.
放射	kutoa miale; kutoa joto	Nyenzo hii hutoa joto.
非法	haramu	Miamala haramu itaadhibiwa.
飞禽走兽	ndege na wanyama	Aina mbalimbali za ndege na wanyama wanaishi msituni.
飞翔	kuruka	Shakwe huruka juu ya bahari.
飞跃	mruko mkubwa; maendeleo makubwa	Maendeleo ya teknolojia yalipata mruko mkubwa.
肥沃	yenye rutuba	Ardhi hii ina rutuba sana.
诽谤	kashfa; kumchafua mtu	Kumchafua mtu mwingine kunahitaji kubeba wajibu wa kisheria.
废除	kufuta; kubatilisha	Kanuni hii ya zamani tayari imefutwa.
废寝忘食	kuzama kazini hadi kusahau kula na kulala	Alizama sana katika utafiti hadi akasahau kula na kulala.
废墟	magofu	Baada ya tetemeko, mahali hapo paligeuka kuwa magofu.
沸腾	kuchemka	Maji tayari yamechemka.
肺	pafu	Uvutaji sigara unaweza kuharibu mapafu.
分辨	kutofautisha	Ni vigumu kwangu kutofautisha rangi hizi mbili.
分寸	kiasi kinachofaa; mipaka inayofaa	Hata unapofanya mzaha, unapaswa kujua mipaka inayofaa.
分红	gawio	Wanahisa wanaweza kupata gawio mwishoni mwa mwaka.
分解	kugawanya; kuchambua	Mwalimu aligawanya tatizo tata katika hatua kadhaa.
分裂	kugawanyika	Migogoro ya ndani ilisababisha shirika kugawanyika.
分泌	kutoa majimaji; kutoa homoni	Tezi ya aina hii hutoa homoni.
分明	wazi kabisa	Ukweli tayari uko wazi kabisa.
分歧	tofauti ya maoni	Pande hizo mbili zina tofauti kuhusu bei.
分散	kutawanya; kusambaza	Tafadhali sambaza hatari katika miradi tofauti.
吩咐	kuagiza; kuelekeza	Bosi aliniagiza kupanga nyaraka.
坟墓	kaburi	Kwenye mteremko wa mlima kuna kaburi la zamani.
粉末	unga laini	Tafadhali saga vidonge viwe unga.
粉色	rangi ya waridi hafifu	Alinunua skafu ya rangi ya waridi hafifu.
粉碎	kuvunja vipande; kusambaratisha	Polisi walisambaratisha genge hili la uhalifu.
分量	uzito; nguvu ya maana	Sentensi hii ina uzito mkubwa.
愤怒	hasira; ghadhabu	Sauti yake ilikuwa imejaa hasira.
丰满	kutosha; tajiri; nono	Maudhui ya makala hii bado hayajatosha.
丰盛	tele; ya fahari	Waliandaa chakula cha jioni cha fahari.
丰收	mavuno mazuri	Wakulima walipata mavuno mazuri mwaka huu.
封闭	kufunga; kuziba	Barabara hii itafungwa wakati wa ujenzi.
封建	kimwinyi; fikra za zamani	Fikra hii ya kimwinyi ilipaswa kubadilika zamani.
封锁	kuzingira; kufunga	Polisi walifunga eneo la ajali.
锋利	kali; yenye makali	Kisu hiki kina makali sana.
风暴	dhoruba	Dhoruba ilitokea ghafla baharini.
风度	haiba; mwonekano wa kifahari	Alionekana mwenye haiba sana jukwaani.
风光	mandhari	Mandhari ya asili hapa ni nzuri.
风气	mazingira ya kijamii; mwenendo	Shule imejenga mazingira mazuri ya kujifunza.
风趣	ucheshi; mwenye ucheshi	Anazungumza kwa ucheshi mwingi.
风土人情	desturi na maisha ya wenyeji	Kusafiri hukusaidia kuelewa desturi za wenyeji.
风味	ladha ya kienyeji; mtindo wa eneo	Duka hili lina ladha kali ya kienyeji.
逢	kila inapofika; kukutana kwa bahati	Kila wikendi, bustani huwa na uchangamfu.
奉献	kujitoa; kutoa mchango	Daktari alijitoa muda mwingi kwa wagonjwa.
否决	kukataa rasmi; kura ya turufu	Bodi ilikataa pendekezo hili.
夫妇	wanandoa	Wanandoa hawa wanaendesha duka dogo.
夫人	mke; bibi	Bwana Wang na mke wake walihudhuria karamu pamoja.
敷衍	kufanya juu juu; kujibu bila umakini	Alitoa majibu machache ya juu juu tu.
俘虏	mfungwa wa vita	Baada ya vita kumalizika, wafungwa wa vita waliachiliwa.
幅度	kiwango; upeo	Kiwango cha punguzo la bei safari hii ni kikubwa.
服从	kutii	Wanajeshi lazima watii amri.
服气	kukubali kwa moyo; kuridhika	Alipoteza mechi, lakini hakuridhika.
福利	maslahi; ustawi	Wafanyakazi huthamini sana maslahi ya kampuni.
福气	bahati njema	Ni bahati yake njema kukutana na mwalimu mzuri.
符号	alama	Alama hii inawakilisha hatari.
辐射	mionzi	Daktari alimkumbusha akae mbali na mionzi mikali.
俯视	kutazama kutoka juu	Kutoka kilele cha mlima, unaweza kuutazama mji mzima kutoka juu.
抚摸	kupapasa kwa upole	Alikipapasa kichwa cha mtoto kwa upole.
抚养	kulea	Babu na bibi walisaidia kumlea mtoto.
腐败	ufisadi; kuoza	Serikali inapambana na ufisadi.
腐烂	kuoza	Matunda yataoza yakiachwa muda mrefu.
腐蚀	kutu; kumomonyoa	Asidi inaweza kumomonyoa uso wa chuma.
腐朽	iliyooza; iliyopitwa na wakati	Waliukosoa mfumo uliopitwa na wakati.
辅助	kusaidia; nyongeza	Zana hii inaweza kusaidia ufundishaji.
副	naibu; msaidizi	Aliteuliwa kuwa naibu meneja.
复活	kufufua; kuhuisha	Tamasha hili la jadi linafufuliwa.
复兴	ufufuo; kuhuisha	Ufufuo wa utamaduni unahitaji juhudi za muda mrefu.
富裕	tajiri; yenye uwezo	Kijiji hiki kinazidi kuwa na uwezo.
腹泻	kuharisha	Ana kuharisha sana na anahitaji kumwona daktari.
覆盖	kufunika	Theluji nzito ilifunika bonde lote.
负担	mzigo; gharama	Kodi ya nyumba ikawa mzigo wake mkuu.
赋予	kutoa; kumpa	Sheria huwapa raia haki za msingi.
附和	kufuata maneno ya wengine; kuunga mkono bila msimamo	Hana mtazamo wa kujitegemea, huwa anarudia tu ya wengine.
附件	kiambatisho	Tafadhali angalia kiambatisho kwenye barua pepe.
附属	iliyoshirikishwa; tanzu	Hospitali hii inashirikiana na chuo kikuu.
改良	kuboresha	Wataalamu wanaboresha aina hii ya mpunga.
盖章	kupiga muhuri	Baada ya mkataba kusainiwa, unahitaji kupigwa muhuri.
钙	kalsiamu	Maziwa yana kalsiamu nyingi.
尴尬	aibu; hali ya kutatanisha	Ukimya wa aibu ulitokea mkutanoni.
干旱	ukame	Ukame wa muda mrefu uliathiri mazao.
干扰	kuingilia; kuvuruga	Kelele zinavuruga kazi yangu.
干涉	kuingilia mambo	Wazazi hawapaswi kuingilia sana uchaguzi wa watoto wao.
干预	kuingilia kati	Serikali iliingilia hatari ya soko kwa wakati.
感慨	hisia nyingi; kuguswa moyoni	Alipoona picha za zamani, alijawa na hisia.
感染	maambukizi; kuambukiza	Virusi hivi huwaambukiza watoto kwa urahisi.
干劲	morali; ari ya kazi	Kila mtu anafanya kazi kwa ari kubwa.
扛	kunyanyua juu	Simulizi zinasema alikuwa na nguvu za kunyanyua sufuria nzito.
纲领	mpango mkuu; kanuni elekezi	Mkutano ulipitisha mpango mpya wa utekelezaji.
岗位	nafasi ya kazi	Alizoea haraka nafasi mpya ya kazi.
港口	bandari	Meli ya mizigo ilitia nanga bandarini.
港湾	ghuba; bandari tulivu	Mashua ndogo iliingia kwenye bandari tulivu.
杠杆	mkono wa kuinulia; nguvu ya mkopo	Uwekezaji huu ulitumia nguvu kubwa ya mkopo.
高超	bora sana; hodari	Ustadi wake wa kutengeneza magari ni wa hali ya juu.
高潮	kilele; upeo	Mechi ilifikia kilele chake katika dakika kumi za mwisho.
高峰	kilele; muda wa msongamano	Saa mbili asubuhi ni kilele cha msongamano wa magari.
高明	busara; mbinu bora	Mbinu hii kwa kweli ni bora sana.
高尚	tukufu; ya heshima	Roho ya kikazi ya daktari ni tukufu.
高涨	kuongezeka; kupanda	Hamasa ya hadhira iliendelea kuongezeka.
稿件	muswada; makala	Mhariri anasahihisha muswada.
告辞	kuaga	Tayari ni usiku, kwa hiyo tutaaga kwanza.
告诫	kuonya	Mwalimu aliwaonya wanafunzi wasidanganye.
割	kukata	Alijikata kidole bila kukusudia.
搁	kuweka; kuahirisha	Tafadhali weka nyaraka mezani.
歌颂	kusifu; kutukuza	Shairi hili linawasifu wafanyakazi.
疙瘩	uvimbe mdogo; fundo	Uvimbe mdogo ulitokea kwenye mkono wake.
鸽子	njiwa	Kuna njiwa wengi uwanjani.
格局	mpangilio; muundo	Mpangilio wa ghorofa hii ni mzuri sana.
格式	muundo; fomati	Tafadhali jaza fomu kwa muundo unaotakiwa.
隔阂	utengano wa kihisia; kutoelewana	Kutoelewana kuliongeza utengano kati yao.
隔离	kutenga; kuweka karantini	Mgonjwa anahitaji kutengwa kwa muda.
革命	mapinduzi	Mapinduzi haya yalibadilisha hatima ya nchi.
个体	mtu binafsi; kiumbe binafsi	Kila mtu binafsi ana mahitaji tofauti.
各抒己见	kila mtu kutoa maoni yake	Kwenye mkutano, kila mtu alitoa maoni yake.
根深蒂固	iliyokita mizizi	Wazo hili tayari limekita mizizi.
根源	chanzo; mzizi	Chanzo cha umaskini ni changamano.
跟前	karibu; mbele ya	Mtoto alikimbia kwa mama yake.
跟随	kufuata	Mwandishi wa habari aliifuata timu hadi eneo la milimani.
跟踪	kufuatilia	Polisi wanafuatilia mienendo ya mshukiwa.
更新	kusasisha; kufanya upya	Mfumo utajisasisha kiotomatiki usiku wa leo.
更正	kusahihisha	Gazeti lilisahihisha kosa siku iliyofuata.
耕地	kulima ardhi; ardhi ya kilimo	Wakulima wanalima mashamba wakati wa masika.
供不应求	mahitaji kuzidi usambazaji	Dawa hii kwa sasa haitoshi kukidhi mahitaji.
供给	usambazaji; kutoa	Jiji linahitaji usambazaji thabiti wa maji na umeme.
公安局	Ofisi ya Usalama wa Umma	Alienda Ofisi ya Usalama wa Umma kuripoti kesi.
公道	haki; usawa	Kila mtu anatumaini kupata matibabu ya haki.
公告	tangazo rasmi	Shule ilitoa tangazo la kusimamisha masomo.
公关	mahusiano ya umma	Kampuni iliajiri timu ya kitaalamu ya mahusiano ya umma.
公民	raia	Kila raia anapaswa kutii sheria.
公然	hadharani; waziwazi	Alikiuka waziwazi sheria za mashindano.
公认	kutambuliwa na wengi	Anatambuliwa kuwa mwalimu bora.
公式	fomula	Tafadhali andika fomula hii ya hisabati.
公务	kazi rasmi	Alisafiri kwa kazi rasmi kwa siku tatu.
公正	haki; bila upendeleo	Jaji lazima abaki bila upendeleo.
公证	uthibitisho wa kisheria	Hati hii inahitaji uthibitisho wa kisheria.
功劳	mchango; sifa	Kila mtu ana mchango katika mafanikio haya.
功效	ufanisi; athari nzuri	Ufanisi wa dawa hii bado unahitaji kuthibitishwa.
宫殿	kasri	Watalii walitembelea kasri la kale.
工艺品	kazi ya mikono; sanaa ya mikono	Kazi hii ya mikono ilitengenezwa kwa mkono.
恭敬	kwa heshima; mwenye heshima	Alimsalimia mzee kwa heshima.
攻击	kushambulia; kulaumu	Wadukuzi walishambulia tovuti ya kampuni.
攻克	kushinda; kutatua	Timu ya utafiti ilitatua tatizo la kiufundi.
巩固	kuimarisha	Kurudia masomo kunaweza kuimarisha kilichojifunzwa.
共和国	jamhuri	Jamhuri hii ilianzishwa katika karne iliyopita.
共计	jumla; kwa pamoja	Kundi hili la bidhaa lina jumla ya masanduku mia tatu.
共鸣	mwitikio wa hisia; mwangwi	Wimbo huu uliwagusa watu wengi.
勾结	kula njama	Walikula njama na watu wa nje kupata fedha kwa ulaghai.
钩子	kulabu	Kulabu kadhaa zinaning'inia ukutani.
构思	kupanga wazo; kubuni muhtasari	Mwandishi anapanga riwaya mpya.
姑且	kwa sasa; kwa muda	Tujaribu mpango huu kwa wiki moja kwa sasa.
孤独	upweke; peke yake	Baada ya kuhamia mji mpya, alihisi upweke.
孤立	kutenga; kwa kujitenga	Usilitazame tatizo hili kwa kujitenga.
辜负	kukatisha tamaa; kutotimiza matarajio	Sitaki kukatisha tamaa matarajio ya wazazi wangu.
古董	kitu cha kale; antiki	Babu alikusanya vitu kadhaa vya kale.
古怪	ajabu; isiyo ya kawaida	Wazo lake ni la ajabu kidogo.
股东	mwanahisa	Mkutano wa wanahisa utafanyika wiki ijayo.
股份	hisa	Anamiliki hisa katika kampuni.
骨干	mhimili; nguzo kuu	Wahandisi hawa ni nguzo kuu ya timu.
鼓动	kuchochea; kuhamasisha vibaya	Mtu fulani alichochea umati kuandamana.
固然	ni kweli kwamba; bila shaka	Ni kweli mbinu hii ni rahisi, lakini hatari si ndogo.
固体	kitu kigumu	Barafu ni hali ngumu ya maji.
固有	ya asili; iliyomo ndani	Kila utamaduni una sifa zake za asili.
固执	mkaidi	Ni mkaidi sana na anakataa kusikiliza ushauri.
故乡	mji wa nyumbani	Baada ya miaka mingi, alirudi katika mji wake wa nyumbani.
故障	hitilafu; kuharibika	Lifti imepata hitilafu na haitumiki kwa muda.
雇佣	kuajiri	Kampuni iliamua kuajiri wafanyakazi zaidi wa kiufundi.
顾虑	wasiwasi; hofu	Kama una wasiwasi wowote, unaweza kusema moja kwa moja.
顾问	mshauri	Tuliajiri mshauri wa kisheria.
拐杖	fimbo ya kutembelea	Mzee huyo mara nyingi hutoka akiwa na fimbo.
关怀	utunzaji; kujali	Mwalimu aliwapa wanafunzi uangalizi mkubwa.
关照	kutunza; kuangalia	Tafadhali mtunze mtoto njiani.
官方	rasmi; ya serikali	Habari rasmi itatangazwa kesho.
观光	kutalii; utalii	Watalii walipanda mashua kwa ajili ya kutalii.
管辖	kuwa na mamlaka juu ya	Eneo hili liko chini ya mamlaka ya serikali ya jiji.
惯例	desturi; jambo la kawaida	Ni desturi kuwatambulisha wageni kabla ya mkutano kuanza.
灌溉	kumwagilia	Wakulima hutumia maji ya mto kumwagilia mashamba.
罐	chupa; kopo; mtungi	Kuna mtungi wa majani ya chai mezani.
贯彻	kutekeleza	Kampuni lazima itekeleze viwango vipya vya usalama.
光彩	mng'ao; nuru	Mavazi haya yalimfanya ang'ae.
光辉	utukufu; mwanga	Mafanikio yake yaliacha ukurasa wa utukufu.
光芒	miale ya mwanga	Miale ya jua iliangaza bonde.
光荣	heshima; utukufu	Kuitumikia nchi ni jambo la heshima.
广阔	pana; kubwa	Nyanda za majani zinaenea bila mwisho na ni pana sana.
归根到底	kwa jumla; hatimaye	Kwa jumla, tatizo liko kwenye usimamizi.
