simplified	SR	example_SR	SL	example_SL	LT	example_LT	LV	example_LV
方向	правац; смер	Да ли је ово прави правац? Мислим да смо се изгубили.	smer	Je to prava smer? Mislim, da smo se izgubili.	kryptis	Ar tai ši kryptis? Man atrodo, kad pasiklydome.	virziens	Vai tas ir šis virziens? Man šķiet, ka esam apmaldījušies.
房东	станодавац	Мој станодавац је веома љубазан и често ми помаже.	najemodajalec	Moj najemodajalec je zelo prijazen in mi pogosto pomaga.	nuomotojas	Mano nuomotojas labai draugiškas ir dažnai man padeda.	izīrētājs	Mans izīrētājs ir ļoti draudzīgs un bieži man palīdz.
放弃	одустати; напустити	Одустао сам од прилике да студирам у иностранству.	odreči se; opustiti	Odpovedal sem se priložnosti za študij v tujini.	atsisakyti; mesti	Atsisakiau galimybės studijuoti užsienyje.	atteikties; pamest	Es atteicos no iespējas studēt ārzemēs.
放暑假	отићи на летњи распуст	Сутра већ почиње летњи распуст.	imeti poletne počitnice	Jutri se že začnejo poletne počitnice.	išeiti vasaros atostogų	Rytoj jau prasidės vasaros atostogos.	doties vasaras brīvdienās	Rīt jau sāksies vasaras brīvlaiks.
放松	опустити се	Испит је завршен, треба да се мало опустимо.	sprostiti se	Izpit je končan, malo se moramo sprostiti.	atsipalaiduoti	Egzaminas baigėsi, mums reikia šiek tiek atsipalaiduoti.	atslābināties; atpūsties	Eksāmens ir beidzies, mums vajag mazliet atpūsties.
份	бројна реч за документе, послове и порције	Молим вас, пошаљите ми један факс.	števec za dokumente, službe in porcije	Prosim, pošljite mi faks.	klasifikatorius dokumentams, darbams ir porcijoms	Prašau išsiųsti man faksą.	skaitītājvārds dokumentiem, darbiem un porcijām	Lūdzu, atsūtiet man faksu.
丰富	богат; обилан	Читање може да обогати наш живот.	bogat; obilen	Branje lahko obogati naše življenje.	turtingas; gausus	Skaitymas gali praturtinti mūsų gyvenimą.	bagāts; plašs	Lasīšana var bagātināt mūsu dzīvi.
否则	иначе; у супротном	Кренимо сада, иначе ћемо закаснити.	sicer; drugače	Pojdimo zdaj, sicer bomo zamudili.	kitaip; priešingu atveju	Eikime dabar, kitaip pavėluosime.	citādi; pretējā gadījumā	Dosimies tagad, citādi nokavēsim.
符合	одговарати; испуњавати	Она веома добро испуњава наше услове за запошљавање.	ustrezati; izpolnjevati	Zelo dobro ustreza našim pogojem za zaposlitev.	atitikti; tenkinti	Ji labai atitinka mūsų įdarbinimo sąlygas.	atbilst; izpildīt	Viņa ļoti labi atbilst mūsu pieņemšanas nosacījumiem.
付款	платити; плаћање	За куповину се може платити преко интернета.	plačati; plačilo	Nakup je mogoče plačati na spletu.	mokėti; mokėjimas	Už pirkinius galima sumokėti internetu.	maksāt; maksājums	Par pirkumiem var samaksāt internetā.
复印	фотокопирати; умножити документ	Молим вас, фотокопирајте још два примерка овог материјала.	fotokopirati; kopirati dokument	Prosimo, naredite še dve kopiji tega gradiva.	kopijuoti; daryti dokumento kopiją	Prašome padaryti dar dvi šios medžiagos kopijas.	kopēt; pavairot dokumentu	Lūdzu, nokopējiet vēl divus šī materiāla eksemplārus.
复杂	сложен; компликован	Ово је сложен технички проблем.	zapleten; kompleksen	To je zapleteno tehnično vprašanje.	sudėtingas; kompleksinis	Tai sudėtinga techninė problema.	sarežģīts; komplekss	Šī ir sarežģīta tehniska problēma.
富	богат	Живот људи постаје све богатији.	bogat	Življenje ljudi postaja vse bogatejše.	turtingas	Žmonių gyvenimas darosi vis turtingesnis.	bagāts	Cilvēku dzīve kļūst arvien turīgāka.
父亲	отац	Мој отац ове године има осамдесет три године.	oče	Moj oče je letos star triinosemdeset let.	tėvas	Mano tėvui šiemet aštuoniasdešimt treji metai.	tēvs	Manam tēvam šogad ir astoņdesmit trīs gadi.
负责	одговоран; бити задужен	Мали Ли је веома одговоран у послу.	odgovoren; biti zadolžen	Xiao Li je pri delu zelo odgovoren.	atsakingas; būti atsakingam	Xiao Li dirba labai atsakingai.	atbildīgs; būt atbildīgam	Sjao Li darbā ir ļoti atbildīgs.
改变	променити; изменити	Већ сам променио план.	spremeniti; preoblikovati	Načrt sem že spremenil.	pakeisti; keisti	Aš jau pakeičiau planą.	mainīt; izmainīt	Es jau mainīju plānu.
干杯	живели; наздравити	Срећан празник свима, живели!	na zdravje; nazdraviti	Vesele praznike vsem, na zdravje!	į sveikatą; kelti tostą	Linksmų švenčių visiems, į sveikatą!	priekā; uzsaukt tostu	Priecīgus svētkus visiem, priekā!
感动	ганути; дирнути	Његове речи су ме веома гануле.	ganiti; čustveno se dotakniti	Njegove besede so me zelo ganile.	sujaudinti; jaudinti	Jo žodžiai mane labai sujaudino.	aizkustināt; saviļņot	Viņa vārdi mani ļoti aizkustināja.
感觉	осећати; осећај	Осећам да је данас помало хладно.	čutiti; občutek	Zdi se mi, da je danes nekoliko hladno.	jausti; jausmas	Jaučiu, kad šiandien truputį šalta.	just; sajūta	Man šķiet, ka šodien ir mazliet auksti.
感情	осећање; однос	Однос између њих је веома добар.	čustvo; odnos	Odnos med njima je zelo dober.	jausmas; santykiai	Jų tarpusavio santykiai labai geri.	jūtas; attiecības	Viņu savstarpējās attiecības ir ļoti labas.
感谢	захвалити; бити захвалан	Хвала вам на помоћи.	zahvaliti se; biti hvaležen	Hvala vam za vašo pomoč.	dėkoti; būti dėkingam	Ačiū jums už pagalbą.	pateikties; būt pateicīgam	Paldies jums par palīdzību.
敢	усудити се	Не усуђујем се да идем сам.	drzniti si	Ne upam si iti sam.	drįsti	Nedrįstu eiti vienas.	uzdrīkstēties	Es neuzdrošinos iet viens.
赶	журити; похитати	Хвала ти што си на време пожурио да ми помогнеш.	hiteti; pohiteti	Hvala, ker si pravočasno prišel pomagat.	skubėti; suspėti	Ačiū, kad laiku atskubėjai man padėti.	steigties; paspēt	Paldies, ka laikus atsteidzies man palīdzēt.
干	радити; обављати	Шта радиш?	delati; opravljati	Kaj delaš?	dirbti; daryti	Ką tu darai?	darīt; strādāt	Ko tu dari?
刚	управо; тек	Молим те, опрости ми оно што сам малочас рекао.	ravno; pravkar	Prosim, oprosti mi to, kar sem pravkar rekel.	ką tik; vos	Prašau atleisti už tai, ką ką tik pasakiau.	tikko; nupat	Lūdzu, piedod man to, ko tikko teicu.
高速公路	ауто-пут	Овде је недавно изграђен један ауто-пут.	avtocesta	Tukaj so na novo zgradili avtocesto.	greitkelis; automagistralė	Čia naujai nutiestas greitkelis.	ātrgaitas šoseja; automaģistrāle	Šeit ir uzbūvēta jauna automaģistrāle.
胳膊	рука	Мало га боли рука.	roka	Roka ga malo boli.	ranka	Jam šiek tiek skauda ranką.	roka	Viņam mazliet sāp roka.
各	сваки; разни	У супермаркету има разног воћа.	vsak; razni	V supermarketu je različno sadje.	kiekvienas; įvairūs	Prekybos centre yra įvairių vaisių.	katrs; dažādi	Lielveikalā ir dažādi augļi.
公里	километар	Удаљеност између ова два града је триста километара.	kilometer	Razdalja med tema mestoma je tristo kilometrov.	kilometras	Atstumas tarp šių dviejų miestų yra trys šimtai kilometrų.	kilometrs	Attālums starp šīm divām pilsētām ir trīs simti kilometru.
功夫	кунгфу; вештина	У последње време учим кинески кунгфу.	kung fu; spretnost	Zadnje čase se učim kitajski kung fu.	kungfu; įgūdis	Pastaruoju metu mokausi kinų kungfu.	kungfu; prasme	Pēdējā laikā mācos ķīniešu kungfu.
工资	плата; зарада	Његов нови посао је добро плаћен.	plača; zaslužek	Njegova nova služba je dobro plačana.	alga; atlyginimas	Jo naujas darbas gerai apmokamas.	alga; atalgojums	Viņa jaunais darbs ir labi apmaksāts.
共同	заједнички	Имамо заједнички циљ.	skupen	Imamo skupen cilj.	bendras	Turime bendrą tikslą.	kopīgs	Mums ir kopīgs mērķis.
够	довољно; прилично	Данас је прилично хладно.	dovolj; precej	Danes je precej hladno.	pakankamai; gana	Šiandien gana šalta.	pietiekami; diezgan	Šodien ir diezgan auksti.
购物	куповина	За куповину се може платити преко интернета.	nakupovanje	Nakup je mogoče plačati na spletu.	apsipirkimas	Už pirkinius galima sumokėti internetu.	iepirkšanās	Par pirkumiem var samaksāt internetā.
估计	проценити; претпоставити	Претпостављам да су већ стигли на аеродром.	oceniti; domnevati	Domnevam, da so že prispeli na letališče.	vertinti; manyti	Manau, kad jie jau atvyko į oro uostą.	novērtēt; domāt	Es domāju, ka viņi jau ir ieradušies lidostā.
鼓励	охрабрити; подстицај	Родитељи треба да дају деци више охрабрења.	spodbujati; spodbuda	Starši bi morali otrokom dati več spodbude.	drąsinti; paskatinimas	Tėvai turėtų vaikams suteikti daugiau paskatinimo.	iedrošināt; iedrošinājums	Vecākiem vajadzētu bērniem dot vairāk iedrošinājuma.
故意	намерно	Извини, нисам намерно.	namerno	Oprosti, nisem namerno.	tyčia	Atsiprašau, aš ne tyčia.	tīšām	Atvainojiet, es to nedarīju tīšām.
顾客	купац; муштерија	Број купаца се смањио за трећину.	stranka; kupec	Število strank se je zmanjšalo za tretjino.	klientas; pirkėjas	Klientų sumažėjo trečdaliu.	klients; pircējs	Klientu skaits ir samazinājies par trešdaļu.
挂	прекинути везу; окачити	Молим те, немој још да спустиш слушалицу.	odložiti slušalko; obesiti	Prosim, še ne odloži slušalke.	padėti ragelį; pakabinti	Prašau, dar nepadėk ragelio.	nolikt klausuli; pakārt	Lūdzu, vēl nenoliec klausuli.
关键	кључна ствар; суштина	То није суштина проблема.	ključno; bistvo	To ni bistvo problema.	esminis dalykas; raktas	Tai nėra problemos esmė.	galvenais; būtība	Tā nav problēmas būtība.
观众	публика; гледаоци	Поздрав свима, пријатељи гледаоци испред телевизора.	občinstvo; gledalci	Pozdravljeni, prijatelji gledalci pred televizorji.	žiūrovai; auditorija	Sveiki, draugai žiūrovai prie televizorių.	skatītāji; auditorija	Sveiki, draugi skatītāji pie televizoriem.
管理	управљати; надзирати	Ко сада управља овом кућом?	upravljati; nadzorovati	Kdo zdaj upravlja to hišo?	valdyti; administruoti	Kas dabar valdo šį namą?	pārvaldīt; vadīt	Kas tagad pārvalda šo māju?
光	светлост; сјај	Сунчева светлост је данас јака.	svetloba; sijaj	Danes je sončna svetloba močna.	šviesa; spindesys	Šiandien saulės šviesa stipri.	gaisma; spožums	Šodien saules gaisma ir spēcīga.
广播	радио; емисија	Деда слуша радио.	radio; oddaja	Dedek posluša radio.	radijas; transliacija	Senelis klausosi radijo.	radio; pārraide	Vectēvs klausās radio.
广告	реклама; оглас	Видео сам вашу рекламу у новинама.	oglas; reklama	V časopisu sem videl vaš oglas.	reklama; skelbimas	Laikraštyje pamačiau jūsų reklamą.	reklāma; sludinājums	Avīzē redzēju jūsu reklāmu.
逛	шетати; разгледати	Хајде да за викенд прошетамо по тржном центру.	sprehajati se; ogledovati si	Pojdimo se ta konec tedna sprehodit po nakupovalnem središču.	vaikštinėti; apžiūrinėti	Savaitgalį eikime pasivaikščioti po prekybos centrą.	pastaigāties; apskatīt	Nedēļas nogalē aiziesim pastaigāties pa tirdzniecības centru.
规定	правило; пропис	Школа има своја правила.	pravilo; predpis	Šola ima svoja pravila.	taisyklė; reglamentas	Mokykla turi savo taisykles.	noteikums; regula	Skolai ir savi noteikumi.
国籍	држављанство; националност	Молимо вас, упишите држављанство у образац.	državljanstvo; narodnost	Prosimo, v obrazec vpišite državljanstvo.	pilietybė; tautybė	Prašome formoje įrašyti pilietybę.	pilsonība; tautība	Lūdzu, veidlapā ierakstiet pilsonību.
国际	међународни	Ово је међународни састанак.	mednaroden	To je mednarodno srečanje.	tarptautinis	Tai tarptautinis susitikimas.	starptautisks	Šī ir starptautiska sanāksme.
果汁	воћни сок	Желео бих да попијем чашу сока.	sadni sok	Rad bi spil kozarec soka.	vaisių sultys	Norėčiau išgerti stiklinę sulčių.	augļu sula	Es gribētu izdzert glāzi sulas.
过程	процес	Процес учења је веома важан.	proces	Proces učenja je zelo pomemben.	procesas	Mokymosi procesas yra svarbus.	process	Mācīšanās process ir svarīgs.
海洋	океан	Већи део површине Земље је океан.	ocean	Večji del Zemljine površine je ocean.	vandenynas	Didžiąją Žemės paviršiaus dalį sudaro vandenynas.	okeāns	Lielāko daļu Zemes virsmas klāj okeāns.
害羞	стидљив	Била је мало стидљива када је први пут изашла на сцену.	sramežljiv	Ko je prvič stopila na oder, je bila nekoliko sramežljiva.	drovus	Pirmą kartą užlipusi ant scenos ji buvo šiek tiek drovi.	kautrīgs	Pirmo reizi kāpjot uz skatuves, viņa bija mazliet kautrīga.
寒假	зимски распуст	За зимски распуст желим да путујем на југ.	zimske počitnice	Med zimskimi počitnicami želim potovati na jug.	žiemos atostogos	Per žiemos atostogas noriu keliauti į pietus.	ziemas brīvlaiks	Ziemas brīvlaikā gribu ceļot uz dienvidiem.
汗	зној	Вруће је, обриши зној пешкиром.	znoj	Vroče je, obriši si znoj z brisačo.	prakaitas	Karšta, nusišluostyk prakaitą rankšluosčiu.	sviedri	Ir karsti, noslauki sviedrus ar dvieli.
航班	лет	Добро дошли на овај лет.	let	Dobrodošli na tem letu.	skrydis	Sveiki atvykę į šį skrydį.	reiss	Laipni lūdzam šajā reisā.
好处	корист; предност	Више читања има много користи.	korist; prednost	Več branja ima veliko koristi.	nauda; privalumas	Daugiau skaityti yra labai naudinga.	labums; priekšrocība	Lasīšanai ir daudz labumu.
好像	као да; изгледа	Изгледа да међу нама постоји неспоразум.	kot da; zdeti se	Zdi se, da je med nami nesporazum.	atrodyti; tarsi	Atrodo, kad tarp mūsų yra nesusipratimas.	šķist; it kā	Šķiet, ka starp mums ir pārpratums.
号码	број	Молим те, дај ми свој број телефона.	številka	Prosim, daj mi svojo telefonsko številko.	numeris	Prašau duok man savo telefono numerį.	numurs	Lūdzu, iedod man savu tālruņa numuru.
合格	квалификован; у складу са стандардом	Квалитет овог производа задовољава стандард.	usposobljen; skladen s standardom	Kakovost tega izdelka ustreza standardu.	tinkamas; atitinkantis standartą	Šio gaminio kokybė atitinka standartą.	kvalificēts; atbilstošs standartam	Šī produkta kvalitāte atbilst standartam.
合适	погодан; одговарајући	Овај пар ципела добро одговара.	primeren; ustrezen	Ta par čevljev se dobro prilega.	tinkamas; deramas	Ši batų pora gerai tinka.	piemērots; atbilstošs	Šis apavu pāris labi der.
盒子	кутија	Кутија је празна, у њој нема ничега.	škatla	Škatla je prazna, v njej ni ničesar.	dėžė	Dėžė tuščia, joje nieko nėra.	kaste	Kaste ir tukša, tajā nekā nav.
厚	дебео; густ	Ова књига је дебела.	debel; gost	Ta knjiga je debela.	storas; tankus	Ši knyga stora.	biezs	Šī grāmata ir bieza.
后悔	кајати се	Кајем се што ти нисам раније рекао.	obžalovati	Obžalujem, da ti nisem povedal prej.	gailėtis	Gailiuosi, kad tau nepasakiau anksčiau.	nožēlot	Es nožēloju, ka nepateicu tev agrāk.
互联网	интернет	Интернет је људима донео много погодности у животу.	internet	Internet je ljudem prinesel veliko udobja v življenje.	internetas	Internetas žmonių gyvenimui suteikė daug patogumų.	internets	Internets cilvēku dzīvē ir ienesis daudz ērtību.
互相	међусобно; једно друго	Нас двоје треба да подржавамо једно друго.	medsebojno; drug drugega	Midva se morava medsebojno podpirati.	vienas kitą; abipusiai	Mes dviese turime vienas kitą palaikyti.	savstarpēji; viens otru	Mums abiem jāatbalsta vienam otrs.
护士	медицинска сестра; медицински техничар	Медицинска сестра даје пацијенту ињекцију.	medicinska sestra	Zdravstvena delavka daje bolniku injekcijo.	slaugytojas; slaugytoja	Slaugytoja leidžia pacientui injekciją.	medmāsa; medicīnas māsa	Medmāsa dod pacientam injekciju.
怀疑	сумњати; сумња	Сумњам да је заборавио да данас има састанак.	sumiti; dvomiti	Sumim, da je pozabil, da je danes sestanek.	įtarti; abejoti	Įtariu, kad jis pamiršo, jog šiandien yra susitikimas.	turēt aizdomās; šaubīties	Man ir aizdomas, ka viņš aizmirsa, ka šodien ir sanāksme.
回忆	сећати се; успомена	Често се сећамо ствари из детињства.	spominjati se; spomin	Pogosto se spominjamo stvari iz otroštva.	prisiminti; prisiminimas	Dažnai prisimename vaikystės dalykus.	atcerēties; atmiņa	Mēs bieži atceramies bērnības notikumus.
活动	кретати се; активност	Отишао сам у парк да се мало размрдам.	razgibati se; dejavnost	Šel sem v park, da sem se malo razgibal.	pajudėti; veikla	Nuėjau į parką šiek tiek pajudėti.	izkustēties; aktivitāte	Es aizgāju uz parku mazliet izkustēties.
活泼	живахан; ведар	Ово дете је веома живахно.	živahen	Ta otrok je zelo živahen.	gyvas; judrus	Šis vaikas labai judrus.	rosīgs; dzīvespriecīgs	Šis bērns ir ļoti dzīvespriecīgs.
火	ватра	Ватра је опасна, молим вас, будите опрезни.	ogenj	Ogenj je nevaren, prosimo, bodite previdni.	ugnis	Ugnis pavojinga, prašome būti atsargiems.	uguns	Uguns ir bīstama, lūdzu, esiet uzmanīgi.
获得	добити; стећи	Ни када постигнеш успех, не смеш бити превише поносан.	dobiti; pridobiti	Tudi če dosežeš uspeh, ne smeš biti preveč ponosen.	gauti; įgyti	Net pasiekus sėkmę, negalima pernelyg didžiuotis.	iegūt; saņemt	Pat gūstot panākumus, nedrīkst kļūt pārāk lepns.
基础	основа; темељ	Молим вас, измените још мало на првобитној основи.	osnova; temelj	Prosimo, na prvotni osnovi še malo spremenite.	pagrindas; pamatas	Prašome dar šiek tiek pakeisti remiantis pirminiu pagrindu.	pamats; bāze	Lūdzu, vēl mazliet pārveidojiet uz sākotnējā pamata.
激动	узбудљив; дирљив	Ова вест је заиста узбудљива.	vznemirljiv; ganjen	Ta novica je res vznemirljiva.	jaudinantis; susijaudinęs	Ši žinia tikrai jaudinanti.	aizraujošs; aizkustināts	Šī ziņa ir patiešām saviļņojoša.
积极	активан; позитиван	Веома је активан у учењу кинеског.	aktiven; pozitiven	Pri učenju kitajščine je zelo aktiven.	aktyvus; teigiamas	Jis labai aktyviai mokosi kinų kalbos.	aktīvs; pozitīvs	Viņš ļoti aktīvi mācās ķīniešu valodu.
积累	нагомилати; стицати	У послу је стекао много искуства.	kopičiti; pridobivati	Pri delu si je nabral veliko izkušenj.	kaupti; kaupimas	Darbe jis sukaupė daug patirties.	uzkrāt; uzkrājums	Darbā viņš ir uzkrājis daudz pieredzes.
即使	чак и ако; иако	Не одустај чак и ако наиђеш на тешкоће.	tudi če; čeprav	Ne obupaj, tudi če naletiš na težave.	net jei; nors	Neatsisakyk net ir susidūręs su sunkumais.	pat ja; kaut arī	Nepadodies, pat ja sastopies ar grūtībām.
及时	на време; благовремено	Ова киша је дошла баш на време.	pravočasno	Ta dež je prišel ravno pravi čas.	laiku; savalaikis	Šis lietus atėjo pačiu laiku.	laikus; savlaicīgi	Šis lietus atnāca tieši laikā.
寄	послати поштом; послати	Твоје писмо је већ стигло.	poslati; odposlati	Tvoje pismo je že prispelo.	siųsti paštu; išsiųsti	Tavo laiškas jau pristatytas.	nosūtīt; sūtīt	Tava vēstule jau ir piegādāta.
技术	технологија; техника; вештина	Ово је сложен технички проблем.	tehnologija; tehnika; spretnost	To je zapleteno tehnično vprašanje.	technologija; technika; įgūdis	Tai sudėtinga techninė problema.	tehnoloģija; tehnika; prasme	Šī ir sarežģīta tehniska problēma.
既然	пошто; с обзиром на то да	Пошто си дошао, хајде да једемо заједно.	ker; glede na to da	Ker si prišel, jejmo skupaj.	kadangi; jei jau	Kadangi atėjai, valgykime kartu.	tā kā; reiz	Tā kā esi atnācis, ēdīsim kopā.
继续	наставити	Изразио је спремност да настави да ради у компанији.	nadaljevati	Izrazil je pripravljenost, da še naprej dela v podjetju.	tęsti	Jis pareiškė norą toliau dirbti įmonėje.	turpināt	Viņš pauda gatavību turpināt strādāt uzņēmumā.
计划	план; пројекат	Већ сам променио план.	načrt; projekt	Načrt sem že spremenil.	planas; projektas	Aš jau pakeičiau planą.	plāns; projekts	Es jau mainīju plānu.
记者	новинар; репортер	Новинар интервјуише директора школе.	novinar; poročevalec	Novinar intervjuva ravnatelja.	žurnalistas; reporteris	Žurnalistas ima interviu su direktoriumi.	žurnālists; reportieris	Žurnālists intervē skolas direktoru.
加班	радити прековремено	Ове недеље смо скоро сваки дан радили прековремено.	delati nadure	Ta teden smo skoraj vsak dan delali nadure.	dirbti viršvalandžius	Šią savaitę beveik kasdien dirbome viršvalandžius.	strādāt virsstundas	Šonedēļ mēs gandrīz katru dienu strādājām virsstundas.
加油站	бензинска пумпа	Има ли бензинске пумпе близу твоје куће?	bencinska črpalka	Ali je blizu tvojega doma bencinska črpalka?	degalinė	Ar netoli tavo namų yra degalinė?	degvielas uzpildes stacija	Vai pie tavām mājām ir degvielas uzpildes stacija?
家具	намештај	После селидбе смо заменили намештај новим.	pohištvo	Po selitvi smo zamenjali pohištvo z novim.	baldai	Po persikraustymo įsigijome naujus baldus.	mēbeles	Pēc pārcelšanās mēs nomainījām mēbeles pret jaunām.
假	лажан; вештачки	Ова карта је лажна.	lažen; umeten	Ta vstopnica je lažna.	netikras; dirbtinis	Šis bilietas netikras.	viltots; mākslīgs	Šī biļete ir viltota.
价格	цена	Од прошле године цена аутомобила пада.	cena	Od lani se cena avtomobilov znižuje.	kaina	Nuo praėjusių metų automobilių kainos mažėja.	cena	Kopš pagājušā gada automašīnu cenas samazinās.
坚持	истрајавати; инсистирати	Увек је истрајавао у свом мишљењу.	vztrajati; držati se	Vedno je vztrajal pri svojem mnenju.	laikytis; atkakliai tęsti	Jis visada laikėsi savo nuomonės.	uzstāt; turēties pie	Viņš vienmēr ir turējies pie sava viedokļa.
减肥	мршавити	Сваког дана трчим да бих смршао.	hujšati	Vsak dan tečem, da bi shujšal.	lieknėti; mesti svorį	Kasdien bėgioju, kad sulieknėčiau.	tievēt	Es katru dienu skrienu, lai notievētu.
减少	смањити се; смањити	Број купаца се смањио за трећину.	zmanjšati; zmanjšati se	Število strank se je zmanjšalo za tretjino.	mažinti; sumažėti	Klientų sumažėjo trečdaliu.	samazināt; samazināties	Klientu skaits ir samazinājies par trešdaļu.
建议	предложити; савет	Предлажем да сутра узмемо један дан одмора.	predlagati; predlog	Predlagam, da si jutri vzamemo prost dan.	siūlyti; pasiūlymas	Siūlau rytoj vieną dieną pailsėti.	ieteikt; ieteikums	Es iesaku rīt vienu dienu atpūsties.
将来	будућност; у будућности	Којим послом планираш да се бавиш у будућности?	prihodnost; v prihodnosti	Katero delo nameravaš opravljati v prihodnosti?	ateitis; ateityje	Kokį darbą planuoji dirbti ateityje?	nākotne; nākotnē	Kādu darbu tu plāno darīt nākotnē?
奖金	бонус; награда у новцу	На крају године исплатили смо бонус.	nagrada; bonus	Ob koncu leta smo izplačali bonus.	premija; piniginis apdovanojimas	Metų pabaigoje išmokėjome premiją.	prēmija; naudas balva	Gada beigās mēs izmaksājām prēmiju.
降低	смањити; снизити	Дошла је јесен и температура је почела да пада.	znižati; zmanjšati	Prišla je jesen in temperatura se je začela zniževati.	mažinti; nuleisti	Atėjo ruduo ir temperatūra pradėjo kristi.	pazemināt; samazināt	Iestājās rudens, un temperatūra sāka kristies.
降落	слетети; спустити се	Авион ће ускоро слетети.	pristati; spustiti se	Letalo bo kmalu pristalo.	nusileisti	Lėktuvas tuoj nusileis.	nolaisties	Lidmašīna drīz nolaidīsies.
交	стицати пријатеље; предати	Стекао сам много кинеских пријатеља.	sklepati prijateljstva; oddati	Sklenil sem veliko kitajskih prijateljstev.	susirasti draugų; įteikti	Susiradau daug kinų draugų.	iegūt draugus; nodot	Esmu ieguvis daudz ķīniešu draugu.
交流	размена; комуникација	Културна размена међу државама постаје све богатија.	izmenjava; komunikacija	Kulturna izmenjava med državami postaja vse bogatejša.	mainai; bendravimas	Kultūriniai mainai tarp šalių tampa vis turtingesni.	apmaiņa; saziņa	Kultūras apmaiņa starp valstīm kļūst arvien bagātāka.
交通	саобраћај; превоз	Овде је превоз веома згодан.	promet; prevoz	Promet tukaj je zelo priročen.	transportas; eismas	Transportas čia labai patogus.	satiksme; transports	Transports šeit ir ērts.
郊区	предграђе	Живи у предграђу града.	predmestje	Živi v predmestju mesta.	priemiestis	Jis gyvena miesto priemiestyje.	priekšpilsēta	Viņš dzīvo pilsētas priekšpilsētā.
骄傲	уображен; превише поносан	Ни када постигнеш успех, не смеш бити превише поносан.	ošaben; preveč ponosen	Tudi če dosežeš uspeh, ne smeš biti preveč ponosen.	išdidus; pasipūtęs	Net pasiekus sėkmę, negalima pernelyg didžiuotis.	iedomīgs; lepns	Pat gūstot panākumus, nedrīkst kļūt pārāk lepns.
饺子	кнедле; кинеске кнедле	Кинези за Пролећни фестивал једу кнедле.	cmoki; kitajski žlikrofi	Kitajci med pomladnim praznikom jedo žlikrofe.	kiniški virtinukai	Kinai per Pavasario šventę valgo virtinukus.	ķīniešu pelmeņi	Ķīnieši Pavasara svētkos ēd pelmeņus.
教授	професор	Он је универзитетски професор.	profesor	Je univerzitetni profesor.	profesorius	Jis yra universiteto profesorius.	profesors	Viņš ir universitātes profesors.
教育	образовати; образовање	За васпитавање деце потребно је стрпљење.	izobraževati; vzgajati; izobrazba	Pri vzgoji otrok je potrebna potrpežljivost.	ugdyti; mokyti; švietimas	Ugdant vaikus reikia kantrybės.	izglītot; audzināt; izglītība	Audzinot bērnus, vajadzīga pacietība.
接受	прихватити	Прихватам сва твоја мишљења.	sprejeti	Sprejmem vsa tvoja mnenja.	priimti	Priimu visas tavo nuomones.	pieņemt	Es pieņemu visus tavus viedokļus.
接着	затим; наставити	Размишљао је неко време, а затим наставио да пише.	nato; nadaljevati	Nekaj časa je razmišljal, nato pa nadaljeval s pisanjem.	tada; tęsti	Jis kurį laiką pagalvojo, tada toliau rašė.	tad; turpināt	Viņš kādu brīdi padomāja un tad turpināja rakstīt.
结果	резултат; исход	Јеси ли гледао утакмицу, какав је био резултат?	rezultat; izid	Si gledal tekmo, kakšen je bil rezultat?	rezultatas; pasekmė	Ar žiūrėjai varžybas, koks buvo rezultatas?	rezultāts; iznākums	Vai skatījies spēli, kāds bija rezultāts?
节	празник; фестивал	Који је данас празник?	praznik; festival	Kateri praznik je danes?	šventė; festivalis	Kokia šiandien šventė?	svētki; festivāls	Kādi šodien ir svētki?
节约	штедети; чувати	Молимо вас, штедите воду.	varčevati; ohranjati	Prosimo, varčujte z vodo.	taupyti; tausoti	Prašome taupyti vandenį.	taupīt; saudzēt	Lūdzu, taupiet ūdeni.
解释	објашњење; објаснити	Веома јасно је објаснио разлог.	razlaga; pojasniti	Razlog je zelo jasno pojasnil.	paaiškinimas; paaiškinti	Jis labai aiškiai paaiškino priežastį.	skaidrojums; paskaidrot	Viņš ļoti skaidri paskaidroja iemeslu.
尽管	иако; упркос	Иако га познајем већ дуго, ипак га не разумем добро.	čeprav; kljub	Čeprav ga poznam že dolgo, ga pravzaprav ne razumem.	nors; nepaisant	Nors jį pažįstu jau seniai, jo gerai nesuprantu.	lai gan; neskatoties uz	Lai gan es viņu pazīstu jau sen, tomēr viņu īsti nesaprotu.
紧张	нервозан; напет	На првом наступу био је веома нервозан.	živčen; napet	Na prvem nastopu je bil zelo živčen.	nervingas; įtemptas	Per pirmą pasirodymą jis labai jaudinosi.	nervozs; saspringts	Pirmajā uzstāšanās reizē viņš bija ļoti nervozs.
禁止	забранити	Овде је пушење забрањено.	prepovedati	Tukaj je kajenje prepovedano.	drausti	Čia rūkyti draudžiama.	aizliegt	Šeit smēķēt ir aizliegts.
进行	одвијати се; спроводити	Утакмица још траје.	potekati; izvajati se	Tekma še poteka.	vykti; vykdyti	Varžybos dar vyksta.	notikt; īstenot	Spēle vēl turpinās.
京剧	пекиншка опера	Она је позната глумица пекиншке опере.	pekinška opera	Je znana igralka pekinške opere.	Pekino opera	Ji yra garsi Pekino operos aktorė.	Pekinas opera	Viņa ir slavena Pekinas operas aktrise.
