source_headword	KM	example_KM
conscience	មនសិការ	មនសិការរបស់គាត់មិនអនុញ្ញាតឱ្យមានការកុហកទេ។
consciousness	ស្មារតី	គ្រោះថ្នាក់នេះបានប៉ះពាល់ដល់ស្មារតីរបស់គាត់។
consecutive	ជាប់ៗគ្នា	នាងបានឈ្នះបីប្រកួតជាប់ៗគ្នា។
consensus	ឯកច្ឆន្ទ	គណៈកម្មាធិការបានឈានដល់ការឯកច្ឆន្ទយ៉ាងឆាប់រហ័ស។
consent	ការយល់ព្រម	ការយល់ព្រមជាលាយលក្ខណ៍អក្សរត្រូវបានទាមទារ។
conserve	អភិរក្ស	យើងសន្សំសំចៃទឹកនៅរដូវរាំងស្ងួត។
consistency	ភាពស៊ីចង្វាក់គ្នា	ភាពស៊ីចង្វាក់គ្នាមានសារៈសំខាន់ក្នុងការសិក្សាភាសា។
consolidate	បញ្ចូលគ្នា	ក្រុមហ៊ុននឹងបញ្ចូលការិយាល័យពីរចូលគ្នា។
constituency	មណ្ឌលបោះឆ្នោត	បេក្ខជនបានចុះទៅសួរសុខទុក្ខគ្រប់មណ្ឌលបោះឆ្នោត។
constitute	បង្កើតជា	ស្ត្រីបង្កើតបានពាក់កណ្តាលនៃគណៈកម្មាធិការ។
constitution	រដ្ឋធម្មនុញ្ញ	រដ្ឋធម្មនុញ្ញធានានូវសិទ្ធិបញ្ចេញមតិដោយសេរី។
constitutional	តាមរដ្ឋធម្មនុញ្ញ	តុលាការបានពិនិត្យមើលសិទ្ធិតាមរដ្ឋធម្មនុញ្ញ។
constraint	ការរឹតត្បិត	ការរឹតត្បិតថវិកាបានកំណត់គម្រោងនេះ។
consultation	ការពិគ្រោះយោបល់	ការពិគ្រោះយោបល់មានរយៈពេលពីរសប្តាហ៍។
contemplate	ពិចារណា	នាងបានផ្អាកដើម្បីពិចារណាលើការផ្តល់ជូននេះ។
contempt	ការមើលងាយ	គាត់បានបង្ហាញការមើលងាយចំពោះច្បាប់។
contend	ប្រកួតប្រជែង	ក្រុមហ៊ុនមួយចំនួនប្រកួតប្រជែងដណ្តើមកិច្ចសន្យា។
contender	បេក្ខជនប្រកួតប្រជែង	នាងគឺជាអ្នកប្រកួតប្រជែងដ៏ខ្លាំងម្នាក់។
content2	ស្កប់ស្កល់	គាត់មានអារម្មណ៍ស្កប់ស្កល់នឹងលទ្ធផល។
contention	ភាពចម្រូងចម្រាស	ភាពចម្រូងចម្រាសចម្បងគឺទាក់ទងនឹងការផ្តល់មូលនិធិ។
continually	ជាបន្តបន្ទាប់	ប្រព័ន្ធនេះពិនិត្យរកមើលកំហុសជាបន្តបន្ទាប់។
contractor	អ្នកម៉ៅការ	អ្នកម៉ៅការបានជួសជុលដំបូល។
contradiction	ភាពផ្ទុយគ្នា	សេចក្តីថ្លែងការណ៍របស់គាត់មានភាពផ្ទុយគ្នា។
contrary	ផ្ទុយពីនេះ	ភស្តុតាងផ្ទុយពីនេះបានផ្លាស់ប្តូរសំណុំរឿង។
contributor	អ្នកចូលរួមចំណែក	នាងគឺជាអ្នកចូលរួមចំណែកជាប្រចាំ។
conversion	ការបម្លែង	ការបម្លែងនេះបានប្តូរប្រាក់ដុល្លារទៅជាប្រាក់អឺរ៉ូ។
convict	ផ្តន្ទាទោស	គណៈវិនិច្ឆ័យអាចផ្តន្ទាទោសជនសង្ស័យ។
conviction	ការកាត់ទោស	ការកាត់ទោសរបស់គាត់បានធ្វើឱ្យសាធារណជនភ្ញាក់ផ្អើល។
cooperate	សហការ	សូមចូលរួមសហការជាមួយការស៊ើបអង្កេត។
cooperative	ដែលសហការ	បុគ្គលិកមានការសហការនិងស្ងប់ស្ងាត់។
coordinate	សម្របសម្រួល	ពួកគេសម្របសម្រួលការដឹកជញ្ជូនរៀងរាល់ព្រឹក។
coordination	ការសម្របសម្រួល	ការសម្របសម្រួលល្អបានចំណេញពេលវេលា។
coordinator	អ្នកសម្របសម្រួល	អ្នកសម្របសម្រួលបានចាត់ចែងកិច្ចការនីមួយៗ។
cop	ប៉ូលីស	ប៉ូលីសម្នាក់ឈរនៅខាងក្រៅស្ថានីយ៍។
copper	ទង់ដែង	បំពង់នេះធ្វើពីទង់ដែង។
copyright	រក្សាសិទ្ធិ	រូបភាពនេះត្រូវបានការពារដោយការរក្សាសិទ្ធិ។
correction	ការកែតម្រូវ	គ្រូបានធ្វើការកែតម្រូវមួយ។
correlate	ទាក់ទងគ្នា	ភាពតានតឹងខ្លាំងអាចទាក់ទងនឹងជំងឺ។
correlation	ទំនាក់ទំនង	ការសិក្សាបានរកឃើញទំនាក់ទំនងយ៉ាងរឹងមាំ។
correspond	ស្របគ្នា	លេខទាំងនេះស្របគ្នានឹងស្លាកសញ្ញា។
correspondence	ការឆ្លើយឆ្លង	ការឆ្លើយឆ្លងរបស់ពួកគេមានរយៈពេលជាច្រើនឆ្នាំ។
correspondent	អ្នកឆ្លើយឆ្លងព័ត៌មាន	អ្នកឆ្លើយឆ្លងព័ត៌មានបានរាយការណ៍ពីទីក្រុងគែរ។
corresponding	ដែលត្រូវគ្នា	ប៊ូតុងនីមួយៗមានពន្លឺដែលត្រូវគ្នា។
corrupt	ពុករលួយ	មន្ត្រីពុករលួយបានទទួលលុយ។
corruption	អំពើពុករលួយ	អំពើពុករលួយបានធ្វើឱ្យភាពជឿជាក់របស់សាធារណជនចុះខ្សោយ។
costly	ដែលចំណាយច្រើន	កំហុសនេះមានតម្លៃថ្លៃសម្រាប់ក្រុម។
councillor	សមាជិកក្រុមប្រឹក្សា	សមាជិកក្រុមប្រឹក្សាបានឆ្លើយសំណួររបស់អ្នកស្រុក។
counselling	ការប្រឹក្សាយោបល់	នាងទទួលបានការប្រឹក្សាយោបល់បន្ទាប់ពីគ្រោះថ្នាក់នេះ។
counsellor	អ្នកប្រឹក្សាយោបល់	អ្នកប្រឹក្សាយោបល់បានជួយសិស្សថ្មី។
counter (argue against)	តបត	នាងបានព្យាយាមតបតនឹងអំណះអំណាងរបស់គាត់។
counterpart	ភាគីម្ខាងទៀត	គាត់បានជួបជាមួយភាគីម្ខាងទៀតជាជនជាតិជប៉ុន។
countless	រាប់មិនអស់	អ្នកស្ម័គ្រចិត្តរាប់មិនអស់បានចូលរួមក្នុងការស្វែងរកនេះ។
coup	រដ្ឋប្រហារ	រដ្ឋប្រហារនេះបានដកប្រធានាធិបតីចេញ។
courtesy	សុជីវធម៌	នាងបានថ្លែងអំណរគុណចំពោះសុជីវធម៌របស់ពួកគេ។
