simplified	VI	example_VI
灯笼	đèn lồng	Dịp Tết, trước cửa treo đèn lồng đỏ.
登录	đăng nhập	Xin hãy đăng nhập vào tài khoản của bạn trước.
登陆	đổ bộ	Cơn bão có thể đổ bộ vào vùng ven biển tối nay.
蹬	đạp	Anh ấy đạp mạnh một cái, xe đạp liền chuyển động.
等候	chờ đợi	Hành khách đang chờ lên máy bay trong sảnh.
等级	cấp bậc	Phần mềm này có các cấp hội viên khác nhau.
瞪	trừng mắt	Anh ấy tức giận trừng mắt nhìn tôi.
堤坝	đê đập	Sau mưa lớn, đê đập cần được kiểm tra kỹ.
敌视	thù địch	Chúng ta không nên thù địch với ý kiến khác.
抵达	đến	Máy bay đến Bắc Kinh đúng giờ.
抵抗	chống lại	Dân làng cùng nhau chống lại lũ lụt.
抵制	tẩy chay	Người tiêu dùng bắt đầu tẩy chay sản phẩm kém chất lượng.
地步	mức độ	Sự việc vẫn chưa nghiêm trọng đến mức đó.
地势	địa thế	Địa thế ở đây khá cao nên không dễ bị ngập nước.
地质	địa chất	Chuyên gia đang khảo sát tình hình địa chất địa phương.
递增	tăng dần	Doanh số tăng dần trong ba tháng liên tiếp.
颠簸	xóc nảy	Đường núi rất xóc nảy, lái xe phải cẩn thận.
颠倒	đảo ngược	Bạn đã đảo ngược thứ tự của hai con số.
典礼	lễ	Bộ lễ tốt nghiệp sẽ được tổ chức trong hội trường.
典型	điển hình	Đây là một trường hợp thành công điển hình.
点缀	trang trí	Vài bông hoa nhỏ trang trí bàn ăn.
垫	lót	Xin hãy lót tờ giấy này dưới cái cốc.
奠定	đặt nền móng	Sự hợp tác này đặt nền móng cho quan hệ lâu dài.
惦记	lo nhớ	Mẹ luôn lo nhớ đứa con ở xa.
电源	nguồn điện	Xin hãy tắt nguồn điện trước khi ra ngoài.
叼	ngậm	Con chó kia ngậm một khúc xương.
雕刻	chạm khắc	Anh ấy thích chạm khắc hoa văn trên gỗ.
雕塑	tượng	Ở trung tâm quảng trường có một bức tượng.
吊	treo lên	Công nhân dùng máy nâng dầm thép lên.
调动	điều chuyển	Công ty điều chuyển anh ấy đến Thượng Hải làm việc.
跌	giảm	Giá cổ phiếu hôm nay lại giảm.
丁	hạt lựu	Công thức ghi là cắt khoai tây thành hạt lựu.
叮嘱	dặn dò	Thầy giáo nhiều lần dặn dò chúng tôi chú ý an toàn.
盯	nhìn chằm chằm	Xin đừng cứ nhìn chằm chằm vào người khác.
定期	định kỳ	Bác sĩ khuyên anh ấy kiểm tra sức khỏe định kỳ.
定义	định nghĩa	Xin hãy giải thích định nghĩa của khái niệm này trước.
丢人	mất mặt	Nói dối trước đám đông thật mất mặt.
丢三落四	hay quên	Anh ấy luôn hay quên và thường quên chìa khóa khi ra ngoài.
东道主	chủ nhà	Là chủ nhà, chúng ta phải chăm sóc khách chu đáo.
东张西望	nhìn quanh	Trong giờ học đừng nhìn quanh.
董事长	chủ tịch hội đồng quản trị	Chủ tịch hội đồng quản trị đã tham dự cuộc họp hôm nay.
冻结	đóng băng	Ngân hàng tạm thời đóng băng tài khoản này.
动荡	bất ổn	Chiến tranh khiến khu vực này bất ổn lâu dài.
动机	động cơ	Cảnh sát đang điều tra động cơ của anh ấy.
动静	động tĩnh	Trong phòng không có chút động tĩnh nào.
动力	động lực	Hứng thú là động lực học tập.
动脉	động mạch	Bác sĩ kiểm tra động mạch của anh ấy.
动身	lên đường	Sáng sớm mai chúng tôi lên đường ra sân bay.
动手	ra tay	Sự việc chưa nói rõ, ai cũng không được ra tay.
动态	tiến triển	Xin hãy luôn chú ý đến tiến triển của dự án.
动员	huy động	Trường huy động học sinh tham gia hoạt động tình nguyện.
栋	tòa	Tòa nhà này có hai mươi tầng.
兜	túi	Anh ấy bỏ chìa khóa vào túi áo khoác.
陡峭	dốc đứng	Con đường núi này rất dốc đứng.
斗争	đấu tranh	Họ đấu tranh để bảo vệ môi trường.
督促	đôn đốc	Giám đốc đôn đốc mọi người hoàn thành nhiệm vụ đúng hạn.
毒品	ma túy	Hải quan đã thu giữ một lô ma túy.
独裁	độc tài	Mọi người phản đối chế độ độc tài.
堵塞	tắc nghẽn	Rác làm tắc nghẽn cống thoát nước.
赌博	cờ bạc	Cờ bạc có thể gây hậu quả nghiêm trọng.
杜绝	chấm dứt	Công ty yêu cầu chấm dứt hiện tượng lãng phí.
端	bưng	Anh ấy bưng một tách trà nóng đi vào.
端午节	Tết Đoan Ngọ	Tết Đoan Ngọ chúng tôi ăn bánh ú.
端正	chấn chỉnh	Học sinh nên chấn chỉnh thái độ học tập.
短促	ngắn ngủi	Anh ấy thở dài một tiếng ngắn ngủi.
断定	kết luận	Hiện giờ vẫn chưa thể kết luận ai đúng ai sai.
断绝	cắt đứt	Sau tai nạn, ngôi làng bị cắt đứt liên lạc với bên ngoài.
堆积	chất đống	Tuyết chất đống bên lề đường.
兑现	thực hiện	Cuối cùng anh ấy đã thực hiện lời hứa.
对策	đối sách	Đối mặt với rủi ro, chúng ta cần đối sách.
对称	đối xứng	Hai bên trái phải của tòa nhà này rất đối xứng.
对付	đối phó	Vấn đề này không dễ đối phó.
对抗	đối đầu	Hai đội sẽ đối đầu trong trận chung kết.
对立	đối lập	Lập trường của hai bên hoàn toàn đối lập.
对联	câu đối	Dịp Tết họ dán câu đối trước cửa.
对应	tương ứng	Mỗi số đều tương ứng với một chỗ ngồi.
对照	đối chiếu	Xin hãy đối chiếu bản dịch với nguyên văn.
队伍	đoàn	Đoàn diễu hành từ từ tiến về phía trước.
顿时	lập tức	Nghe tin này, anh ấy lập tức sững người.
哆嗦	run cầm cập	Trời quá lạnh, anh ấy cứ run cầm cập.
多元化	đa dạng hóa	Công ty đang thúc đẩy đa dạng hóa kinh doanh.
堕落	sa đọa	Anh ấy không muốn để mình tiếp tục sa đọa.
额外	bổ sung	Dịch vụ này cần thu phí bổ sung.
恶心	buồn nôn	Ngửi thấy mùi đó, tôi hơi buồn nôn.
恶化	xấu đi	Nếu không điều trị, bệnh tình có thể xấu đi.
遏制	kiềm chế	Chính phủ áp dụng biện pháp kiềm chế ô nhiễm.
恩怨	ân oán	Ân oán giữa hai công ty đã có từ lâu.
而已	mà thôi	Tôi chỉ nói tùy tiện vậy thôi.
二氧化碳	carbon dioxide	Cây cối hấp thụ carbon dioxide.
发布	công bố	Công ty sẽ công bố sản phẩm mới vào ngày mai.
发财	làm giàu	Anh ấy hy vọng làm giàu bằng nỗ lực.
发呆	thẫn thờ	Cô ấy ngồi bên cửa sổ thẫn thờ.
发动	phát động	Tình nguyện viên phát động cư dân dọn dẹp đường phố.
发觉	phát hiện	Tôi phát hiện hôm nay anh ấy hơi căng thẳng.
发射	phóng	Tên lửa sẽ được phóng vào buổi tối.
发誓	thề	Anh ấy thề sẽ không bao giờ nói dối nữa.
发行	phát hành	Bộ phim này sẽ được phát hành vào tháng sau.
发炎	viêm	Vết thương hơi bị viêm.
发扬	phát huy	Chúng ta phải phát huy tinh thần hợp tác nhóm.
发育	phát triển	Sự phát triển cơ thể của trẻ em cần đủ dinh dưỡng.
法人	pháp nhân	Công ty này là một pháp nhân độc lập.
番	lời nói	Những lời này khiến tôi được gợi mở rất nhiều.
凡是	bất cứ ai	Bất cứ ai đăng ký đều phải tham gia đào tạo.
繁华	phồn hoa	Con phố này trước đây rất phồn hoa.
繁忙	bận rộn	Sân bay đặc biệt bận rộn vào kỳ nghỉ.
繁体字	chữ Hán phồn thể	Khu vực Đài Loan thường dùng chữ Hán phồn thể.
繁殖	sinh sản	Loài cây này rất dễ sinh sản.
反驳	phản bác	Anh ấy dùng dữ liệu phản bác quan điểm này.
反常	bất thường	Thời tiết hôm nay hơi bất thường.
反感	ghét	Tôi rất ghét loại quảng cáo này.
反抗	chống lại	Mọi người bắt đầu chống lại quy định bất công.
反馈	phản hồi	Khách hàng phản hồi rằng hệ thống rất ổn định.
反面	mặt sau	Xin hãy lật giấy sang mặt sau.
反射	phản chiếu	Gương sẽ phản chiếu ánh sáng.
反思	suy ngẫm	Sau thất bại, anh ấy nghiêm túc suy ngẫm nguyên nhân.
反问	hỏi ngược lại	Anh ấy không trả lời mà hỏi ngược lại tôi một câu.
反之	ngược lại	Giá quá cao sẽ làm giảm nhu cầu, ngược lại cũng vậy.
泛滥	tràn bờ	Mưa lớn khiến nước sông tràn bờ.
范畴	phạm trù	Vấn đề này thuộc phạm trù pháp luật.
贩卖	buôn bán	Pháp luật cấm buôn bán thuốc giả.
方位	phương hướng	Bản đồ đã đánh dấu phương hướng chính xác.
方言	phương ngữ	Anh ấy hiểu được phương ngữ địa phương.
方圆	phạm vi	Trong phạm vi mười cây số không có bệnh viện.
方针	phương châm	Công ty đã lập phương châm phát triển mới.
防守	phòng thủ	Hàng phòng thủ của đội bóng này rất vững.
防御	phòng ngự	Tường thành từng được dùng để phòng ngự kẻ thù.
防止	ngăn ngừa	Xin hãy thắt dây an toàn để ngăn ngừa bị thương.
防治	phòng trị	Bác sĩ giải thích phương pháp phòng trị bệnh.
纺织	dệt may	Thành phố này nổi tiếng về ngành dệt may.
访问	phỏng vấn	Phóng viên ngày mai sẽ phỏng vấn nhà văn này.
放大	phóng to	Xin hãy phóng to bức ảnh thêm một chút.
放射	tỏa ra	Loại vật liệu này sẽ tỏa ra nhiệt.
非法	bất hợp pháp	Giao dịch bất hợp pháp sẽ bị xử phạt.
飞禽走兽	chim muông thú rừng	Trong rừng có đủ loại chim muông thú rừng.
飞翔	bay lượn	Hải âu bay lượn trên mặt biển.
飞跃	bước nhảy vọt	Sự phát triển khoa học kỹ thuật đã đạt bước nhảy vọt lớn.
肥沃	màu mỡ	Mảnh đất này rất màu mỡ.
诽谤	phỉ báng	Phỉ báng người khác phải chịu trách nhiệm pháp lý.
废除	bãi bỏ	Quy định cũ này đã được bãi bỏ.
废寝忘食	quên ăn quên ngủ	Anh ấy vì nghiên cứu mà quên ăn quên ngủ.
废墟	đống đổ nát	Sau động đất, nơi đó biến thành đống đổ nát.
沸腾	sôi	Nước đã sôi rồi.
肺	phổi	Hút thuốc có thể làm hại phổi.
分辨	phân biệt	Tôi rất khó phân biệt hai màu này.
分寸	chừng mực	Đùa cũng phải chú ý chừng mực.
分红	chia cổ tức	Cổ đông có thể được chia cổ tức vào cuối năm.
分解	phân tách	Thầy giáo phân tách vấn đề phức tạp thành vài bước.
分裂	chia rẽ	Mâu thuẫn nội bộ khiến tổ chức chia rẽ.
分泌	tiết	Loại tuyến này sẽ tiết hormone.
分明	rõ ràng	Sự thật đã rất rõ ràng.
分歧	bất đồng	Hai bên có bất đồng về giá cả.
分散	phân tán	Xin hãy phân tán rủi ro vào các dự án khác nhau.
吩咐	dặn	Ông chủ dặn tôi sắp xếp tài liệu.
坟墓	ngôi mộ	Trên sườn núi có một ngôi mộ cổ.
粉末	bột mịn	Xin hãy nghiền viên thuốc thành bột mịn.
粉色	màu hồng	Cô ấy mua một chiếc khăn quàng màu hồng.
粉碎	đập tan	Cảnh sát đã đập tan băng nhóm tội phạm này.
分量	trọng lượng	Câu nói này có trọng lượng rất lớn.
愤怒	phẫn nộ	Giọng điệu của anh ấy đầy phẫn nộ.
丰满	phong phú	Nội dung bài viết này vẫn chưa đủ phong phú.
丰盛	thịnh soạn	Họ chuẩn bị một bàn bữa tối thịnh soạn.
丰收	mùa bội thu	Năm nay nông dân đón mùa bội thu.
封闭	đóng kín	Trong thời gian thi công, con đường này sẽ bị đóng.
封建	phong kiến	Tư tưởng phong kiến này đáng lẽ phải thay đổi từ lâu.
封锁	phong tỏa	Cảnh sát đã phong tỏa hiện trường vụ tai nạn.
锋利	sắc bén	Con dao này rất sắc bén.
风暴	bão	Trên biển đột nhiên xuất hiện bão.
风度	phong độ	Anh ấy trên sân khấu trông rất có phong độ.
风光	phong cảnh	Phong cảnh thiên nhiên ở đây rất đẹp.
风气	bầu không khí	Trường đã hình thành bầu không khí học tập tốt.
风趣	hóm hỉnh	Anh ấy nói chuyện rất hóm hỉnh.
风土人情	phong tục địa phương	Du lịch giúp hiểu phong tục địa phương.
风味	hương vị địa phương	Cửa hàng này có hương vị địa phương rất đậm.
逢	mỗi khi	Mỗi khi cuối tuần, công viên đều rất nhộn nhịp.
奉献	cống hiến	Bác sĩ đã cống hiến rất nhiều thời gian cho bệnh nhân.
否决	bác bỏ	Hội đồng quản trị bác bỏ đề xuất này.
夫妇	vợ chồng	Cặp vợ chồng này kinh doanh một cửa hàng nhỏ.
夫人	phu nhân	Ông Vương và phu nhân cùng dự tiệc tối.
敷衍	qua loa	Anh ấy chỉ trả lời qua loa vài câu.
俘虏	tù binh	Sau khi chiến tranh kết thúc, tù binh được thả.
幅度	mức độ	Mức giảm giá lần này rất lớn.
服从	phục tùng	Quân nhân phải phục tùng mệnh lệnh.
服气	tâm phục	Anh ấy thua trận đấu nhưng trong lòng không phục.
福利	phúc lợi	Nhân viên rất coi trọng phúc lợi của công ty.
福气	phúc	Được gặp thầy tốt là phúc của anh ấy.
符号	ký hiệu	Ký hiệu này đại diện cho nguy hiểm.
辐射	bức xạ	Bác sĩ nhắc anh ấy tránh xa bức xạ mạnh.
俯视	nhìn xuống	Từ đỉnh núi có thể nhìn xuống toàn thành phố.
抚摸	vuốt ve	Cô ấy nhẹ nhàng vuốt ve đầu đứa trẻ.
抚养	nuôi dưỡng	Ông bà giúp nuôi dưỡng đứa trẻ.
腐败	tham nhũng	Chính phủ đang chống tham nhũng.
腐烂	thối rữa	Trái cây để quá lâu sẽ thối rữa.
腐蚀	ăn mòn	Axit có thể ăn mòn bề mặt kim loại.
腐朽	mục nát	Họ phê phán chế độ mục nát.
辅助	hỗ trợ	Công cụ này có thể hỗ trợ giảng dạy.
副	phó	Cô ấy được bổ nhiệm làm phó giám đốc.
复活	hồi sinh	Lễ hội truyền thống này đang hồi sinh.
复兴	phục hưng	Phục hưng văn hóa cần nỗ lực lâu dài.
富裕	giàu có	Ngôi làng này bây giờ ngày càng giàu có.
腹泻	tiêu chảy	Anh ấy bị tiêu chảy nặng và cần đi khám.
覆盖	bao phủ	Tuyết lớn bao phủ cả thung lũng.
负担	gánh nặng	Tiền thuê nhà trở thành gánh nặng chính của anh ấy.
赋予	ban cho	Pháp luật ban cho công dân các quyền cơ bản.
附和	hùa theo	Anh ấy không có chính kiến, chỉ biết hùa theo người khác.
附件	tệp đính kèm	Vui lòng xem tệp đính kèm trong email.
附属	trực thuộc	Bệnh viện này là bệnh viện trực thuộc trường đại học.
改良	cải tiến	Các chuyên gia đang cải tiến giống lúa này.
盖章	đóng dấu	Sau khi ký xong hợp đồng, cần đóng dấu.
钙	canxi	Sữa chứa nhiều canxi.
尴尬	ngượng ngùng	Trong cuộc họp xuất hiện một khoảng im lặng ngượng ngùng.
干旱	hạn hán	Hạn hán kéo dài đã ảnh hưởng đến mùa màng.
干扰	quấy rầy	Tiếng ồn quấy rầy công việc của tôi.
干涉	can thiệp	Cha mẹ không nên can thiệp quá nhiều vào lựa chọn của con cái.
干预	can thiệp	Chính phủ đã kịp thời can thiệp vào rủi ro thị trường.
感慨	xúc động	Khi nhìn thấy những bức ảnh cũ, anh ấy rất xúc động.
感染	nhiễm	Loại vi rút này dễ nhiễm ở trẻ em.
干劲	nhiệt huyết	Mọi người làm việc rất có nhiệt huyết.
扛	nâng lên	Truyền thuyết nói rằng ông ấy khỏe đến mức có thể nâng một chiếc đỉnh đồng lớn.
纲领	cương lĩnh	Cuộc họp đã thông qua cương lĩnh hành động mới.
岗位	vị trí công việc	Cô ấy nhanh chóng thích nghi với vị trí công việc mới.
港口	cảng	Tàu chở hàng cập cảng.
港湾	vịnh cảng	Con thuyền nhỏ đi vào vịnh cảng yên tĩnh.
杠杆	đòn bẩy	Khoản đầu tư này sử dụng đòn bẩy cao.
高超	xuất sắc	Kỹ thuật sửa xe của anh ấy rất xuất sắc.
高潮	cao trào	Trận đấu đạt đến cao trào trong mười phút cuối.
高峰	giờ cao điểm	Tám giờ sáng là giờ cao điểm giao thông.
高明	tài tình	Cách làm này quả thật rất tài tình.
高尚	cao thượng	Tinh thần nghề nghiệp của bác sĩ rất cao thượng.
高涨	dâng cao	Nhiệt tình của khán giả không ngừng dâng cao.
稿件	bản thảo	Biên tập viên đang sửa bản thảo.
告辞	cáo từ	Trời đã muộn, chúng tôi xin cáo từ trước.
告诫	cảnh cáo	Giáo viên cảnh cáo học sinh không được gian lận.
割	cắt	Anh ấy vô ý cắt vào ngón tay.
搁	đặt	Hãy đặt tài liệu lên bàn.
歌颂	ca ngợi	Bài thơ này ca ngợi người lao động.
疙瘩	cục u	Trên cánh tay anh ấy nổi một cục u.
鸽子	chim bồ câu	Trên quảng trường có rất nhiều chim bồ câu.
格局	bố cục	Bố cục của căn hộ này rất hợp lý.
格式	định dạng	Vui lòng điền biểu mẫu theo định dạng quy định.
隔阂	khoảng cách	Sự hiểu lầm làm sâu thêm khoảng cách giữa họ.
隔离	cách ly	Bệnh nhân cần tạm thời cách ly.
革命	cách mạng	Cuộc cách mạng này đã thay đổi vận mệnh đất nước.
个体	cá thể	Mỗi cá thể đều có nhu cầu khác nhau.
各抒己见	mỗi người phát biểu ý kiến	Trong cuộc họp, mọi người đều phát biểu ý kiến của mình.
根深蒂固	ăn sâu bén rễ	Quan niệm này đã ăn sâu bén rễ.
根源	căn nguyên	Căn nguyên của nghèo đói rất phức tạp.
跟前	trước mặt	Đứa trẻ chạy đến trước mặt mẹ.
跟随	đi theo	Phóng viên đi theo đội vào vùng núi.
跟踪	theo dõi	Cảnh sát đang theo dõi hành tung của nghi phạm.
更新	cập nhật	Hệ thống sẽ tự động cập nhật tối nay.
更正	sửa lại	Ngày hôm sau, tờ báo đã sửa lại lỗi.
耕地	cày ruộng	Nông dân đang cày ruộng vào mùa xuân.
供不应求	cung không đủ cầu	Loại thuốc này hiện đang cung không đủ cầu.
供给	cung ứng	Thành phố cần nguồn cung ứng nước và điện ổn định.
公安局	cục công an	Anh ấy đến cục công an để trình báo vụ việc.
公道	công bằng	Mọi người đều mong được xử lý công bằng.
公告	thông báo	Trường đã phát thông báo nghỉ học.
公关	quan hệ công chúng	Công ty đã thuê một đội quan hệ công chúng chuyên nghiệp.
公民	công dân	Mỗi công dân đều nên tuân thủ pháp luật.
公然	công khai	Anh ấy công khai vi phạm luật thi đấu.
公认	được công nhận	Cô ấy là giáo viên xuất sắc được công nhận rộng rãi.
公式	công thức	Hãy ghi lại công thức toán học này.
公务	công vụ	Anh ấy đi công tác ba ngày vì công vụ.
公正	công chính	Thẩm phán phải giữ sự công chính.
公证	công chứng	Tài liệu này cần công chứng.
功劳	công lao	Thành công lần này có công lao của mọi người.
功效	công hiệu	Công hiệu của loại thuốc này vẫn cần được kiểm chứng.
宫殿	cung điện	Du khách tham quan cung điện cổ.
工艺品	đồ thủ công mỹ nghệ	Món đồ thủ công mỹ nghệ này được làm bằng tay.
恭敬	cung kính	Anh ấy cung kính chào hỏi người cao tuổi.
攻击	tấn công	Tin tặc đã tấn công trang web của công ty.
攻克	khắc phục	Nhóm nghiên cứu đã khắc phục vấn đề kỹ thuật khó.
巩固	củng cố	Ôn tập có thể củng cố kiến thức đã học.
共和国	nước cộng hòa	Nước cộng hòa này được thành lập vào thế kỷ trước.
共计	tổng cộng	Lô hàng này tổng cộng có ba trăm thùng.
共鸣	sự đồng cảm	Bài hát này gợi lên sự đồng cảm của nhiều người.
勾结	cấu kết	Họ cấu kết với người ngoài để lừa lấy tiền.
钩子	móc	Trên tường treo vài cái móc.
构思	lên ý tưởng	Nhà văn đang lên ý tưởng cho tiểu thuyết mới.
姑且	tạm thời	Phương án này tạm thời thử trong một tuần trước.
孤独	cô đơn	Sau khi chuyển đến thành phố mới, anh ấy cảm thấy cô đơn.
孤立	cô lập	Đừng nhìn vấn đề này một cách cô lập.
辜负	phụ lòng	Tôi không muốn phụ lòng kỳ vọng của cha mẹ.
古董	đồ cổ	Ông nội sưu tầm vài món đồ cổ.
古怪	kỳ quặc	Suy nghĩ của anh ấy hơi kỳ quặc.
股东	cổ đông	Đại hội cổ đông sẽ được tổ chức vào tuần tới.
股份	cổ phần	Anh ấy nắm giữ cổ phần của công ty.
骨干	nòng cốt	Những kỹ sư này là nòng cốt của đội.
鼓动	kích động	Có người kích động quần chúng biểu tình.
固然	đành rằng	Cách này đành rằng đơn giản, nhưng rủi ro không nhỏ.
固体	chất rắn	Băng là dạng chất rắn của nước.
固有	vốn có	Mỗi nền văn hóa đều có đặc điểm vốn có.
固执	cố chấp	Anh ấy quá cố chấp, không chịu nghe lời khuyên.
故乡	quê hương	Nhiều năm sau, anh ấy trở về quê hương.
故障	sự cố	Thang máy gặp sự cố nên tạm thời ngừng sử dụng.
雇佣	thuê	Công ty quyết định thuê thêm nhân viên kỹ thuật.
顾虑	lo ngại	Bạn có lo ngại gì thì có thể nói thẳng.
顾问	cố vấn	Chúng tôi đã mời một cố vấn pháp lý.
拐杖	gậy chống	Người cao tuổi thường mang gậy chống khi ra ngoài.
关怀	quan tâm	Giáo viên đã dành nhiều sự quan tâm cho học sinh.
关照	chăm nom	Nhờ bạn chăm nom đứa trẻ trên đường.
官方	chính thức	Tin tức chính thức sẽ được công bố vào ngày mai.
观光	tham quan	Du khách đi thuyền tham quan.
管辖	quản lý	Khu vực này do chính quyền thành phố quản lý.
惯例	thông lệ	Giới thiệu khách mời trước khi cuộc họp bắt đầu là thông lệ.
灌溉	tưới tiêu	Nông dân dùng nước sông để tưới tiêu ruộng đồng.
罐	lọ	Trên bàn đặt một lọ trà.
贯彻	thực hiện	Công ty phải thực hiện tiêu chuẩn an toàn mới.
光彩	rạng rỡ	Bộ quần áo này làm cô ấy trông rất rạng rỡ.
光辉	vẻ vang	Thành tựu của ông ấy đã để lại một trang vẻ vang.
光芒	tia sáng	Tia sáng mặt trời chiếu sáng thung lũng.
光荣	vinh dự	Phục vụ đất nước là điều vinh dự.
广阔	rộng lớn	Thảo nguyên trải dài bất tận, vô cùng rộng lớn.
归根到底	xét cho cùng	Xét cho cùng, vấn đề nằm ở quản lý.
归还	trả lại	Vui lòng trả lại sách đúng hạn.
规范	quy chuẩn	Trường học đặt ra quy chuẩn để quản lý phòng thí nghiệm.
规格	quy cách	Quy cách của lô linh kiện này không đồng nhất.
规划	quy hoạch	Quy hoạch đô thị cần cân nhắc giao thông.
规章	quy định	Nhân viên phải tuân thủ quy định của công ty.
轨道	đường ray	Tàu hỏa chạy dọc theo đường ray.
贵族	quý tộc	Trang viên này từng thuộc về giới quý tộc.
跪	quỳ	Anh ấy quỳ xuống trước tượng thần.
棍棒	gậy gộc	Cảnh sát tịch thu gậy gộc tại hiện trường.
国防	quốc phòng	Xây dựng quốc phòng cần đầu tư lâu dài.
国务院	Quốc vụ viện	Quốc vụ viện đã ban hành thông báo mới.
果断	quyết đoán	Lãnh đạo đã đưa ra quyết định một cách quyết đoán.
过度	quá mức	Sử dụng điện thoại quá mức có thể ảnh hưởng đến giấc ngủ.
过渡	chuyển tiếp	Công ty đang ở giai đoạn chuyển tiếp của quá trình chuyển đổi.
过奖	khen quá lời	Bạn khen quá lời rồi, tôi vẫn cần học thêm.
过滤	lọc	Thiết bị này có thể lọc tạp chất.
过失	lỗi	Tai nạn lần này do lỗi của con người gây ra.
过问	can dự	Giám đốc hiếm khi can dự vào những việc nhỏ này.
过瘾	thỏa mãn	Xem trận đấu này thật sự rất thỏa mãn.
过于	quá	Kế hoạch này quá phức tạp.
嗨	chào	Chào, sao bạn cũng đến đây?
海拔	độ cao	Ngôi làng này nằm ở độ cao lớn.
海滨	bờ biển	Họ đã trải qua cuối tuần ở bờ biển.
含糊	mơ hồ	Câu trả lời của anh ấy rất mơ hồ.
含义	hàm ý	Từ này có hàm ý đặc biệt.
寒暄	chào hỏi xã giao	Sau khi gặp nhau, họ chào hỏi xã giao vài câu trước.
罕见	hiếm gặp	Căn bệnh này rất hiếm gặp.
捍卫	bảo vệ	Luật sư cố gắng bảo vệ quyền lợi của thân chủ.
航空	hàng không	Hãng hàng không đã hủy chuyến bay.
航天	hàng không vũ trụ	Ngành hàng không vũ trụ của Trung Quốc phát triển rất nhanh.
航行	hàng hải	Con tàu đang hàng hải trên biển.
行列	hàng ngũ	Cô ấy gia nhập hàng ngũ tình nguyện viên.
毫米	milimét	Tấm kính này dày năm milimét.
毫无	hoàn toàn không	Lời giải thích của anh ấy hoàn toàn không có căn cứ.
豪迈	hào sảng	Giọng hát của anh ấy hào sảng và mạnh mẽ.
号召	kêu gọi	Chính phủ kêu gọi mọi người tiết kiệm nước.
耗费	tiêu tốn	Dự án này tiêu tốn rất nhiều vốn.
呵	quát	Người cha quát một tiếng, đứa trẻ lập tức dừng lại.
合并	sáp nhập	Hai công ty dự định sáp nhập vào năm sau.
合成	tổng hợp	Vật liệu này có thể được tổng hợp nhân tạo.
合伙	hợp tác	Họ hợp tác mở một nhà hàng.
合算	đáng tiền	Đi xe buýt đáng tiền hơn đi taxi.
和蔼	hiền hòa	Vị bác sĩ này nói chuyện rất hiền hòa.
和解	hòa giải	Hai bên cuối cùng đã đạt được hòa giải.
和睦	hòa thuận	Hàng xóm sống với nhau rất hòa thuận.
和气	thân thiện	Ông chủ đối xử với mọi người rất thân thiện.
和谐	hài hòa	Âm nhạc làm bầu không khí hài hòa hơn.
嘿	này	Này, bạn nghe thấy không?
痕迹	dấu vết	Trên mặt đất để lại dấu vết bánh xe.
狠心	nhẫn tâm	Anh ấy nhẫn tâm từ chối lời nhờ vả của bạn.
恨不得	chỉ muốn	Tôi chỉ muốn về nhà nghỉ ngơi ngay lập tức.
哼	hừ	Anh ấy hừ một tiếng đầy không vui.
横	ngang	Hãy vẽ một đường ngang trên giấy.
哄	ồ lên	Mọi người ồ lên cười.
烘	nướng	Bánh mì đang được nướng trong lò.
轰动	gây chấn động	Tin này gây chấn động cả nước.
宏观	vĩ mô	Chúng ta cần phân tích kinh tế từ góc độ vĩ mô.
宏伟	hùng vĩ	Thiết kế của cây cầu này rất hùng vĩ.
洪水	lũ lụt	Lũ lụt đã cuốn trôi vài cây cầu.
喉咙	cổ họng	Anh ấy nói quá nhiều nên cổ họng hơi đau.
吼	gào	Anh ấy gào to về phía xa.
候选	ứng cử	Cô ấy là đại biểu ứng cử năm nay.
后代	thế hệ sau	Chúng ta phải bảo vệ môi trường cho thế hệ sau.
后顾之忧	nỗi lo về sau	Thu nhập ổn định khiến anh ấy không còn nỗi lo về sau.
后勤	hậu cần	Bộ phận hậu cần phụ trách cung cấp vật tư.
呼唤	gọi	Người mẹ gọi đứa trẻ ở cửa.
呼啸	rít	Gió lạnh rít bên ngoài cửa sổ.
呼吁	kêu gọi	Chuyên gia kêu gọi mọi người giảm lãng phí.
忽略	bỏ qua	Xin đừng bỏ qua chi tiết này.
湖泊	hồ	Khu vực này có nhiều hồ tự nhiên.
胡乱	bừa bãi	Đừng đặt đồ bừa bãi trên mặt đất.
胡须	râu	Râu của anh ấy đã bạc.
花瓣	cánh hoa	Sau cơn mưa, cánh hoa rơi đầy mặt đất.
花蕾	nụ hoa	Mùa xuân, nụ hoa mọc trên cành cây.
华丽	lộng lẫy	Trang phục trên sân khấu rất lộng lẫy.
华侨	hoa kiều	Nhiều hoa kiều về quê đầu tư.
划分	chia	Giáo viên chia học sinh thành bốn nhóm.
化肥	phân hóa học	Nông dân bón phân hóa học cho cây trồng.
化石	hóa thạch	Bảo tàng trưng bày hóa thạch khủng long.
化验	xét nghiệm	Bác sĩ bảo anh ấy đi xét nghiệm máu.
化妆	trang điểm	Cô ấy đang trang điểm trước khi lên sân khấu.
画蛇添足	thừa thãi	Thêm lời giải thích nữa lại thành thừa thãi.
话筒	micro	Người dẫn chương trình đưa micro cho khán giả.
欢乐	niềm vui	Quảng trường ngày lễ tràn đầy niềm vui.
