hsk_key	source_word	simplified	TE	example_TE	KN	example_KN
5164:一帆风顺	一帆风顺	一帆风顺	అన్నీ సాఫీగా జరగడం; అడ్డంకిలేకుండా విజయం	నీ కొత్త పని అడ్డంకులేకుండా సాఫీగా సాగాలని కోరుకుంటున్నాను.	ಎಲ್ಲವೂ ಸುಗಮವಾಗಿ ನಡೆಯುವುದು; ಅಡೆತಡೆಯಿಲ್ಲದ ಯಶಸ್ಸು	ನಿನ್ನ ಹೊಸ ಕೆಲಸ ಅಡೆತಡೆ ಇಲ್ಲದೆ ಯಶಸ್ವಿಯಾಗಲಿ ಎಂದು ಹಾರೈಸುತ್ತೇನೆ.
5165:一口气	一口气	一口气	ఒక్క ఊపిరితో; ఆగకుండా	అతను ఒక్క ఊపిరితో కొండ శిఖరానికి పరుగెత్తాడు.	ಒಂದೇ ಉಸಿರಿನಲ್ಲಿ; ನಿಲ್ಲದೆ	ಅವನು ಒಂದೇ ಉಸಿರಿನಲ್ಲಿ ಬೆಟ್ಟದ ತುದಿಗೆ ಓಡಿದನು.
5167:一模一样	一模一样	一模一样	అచ్చం ఒకేలా; పూర్తిగా సమానం	ఈ రెండు ఫోటోలు అచ్చం ఒకేలా కనిపిస్తున్నాయి.	ಅಚ್ಚುಕಟ್ಟಾಗಿ ಒಂದೇ ರೀತಿಯ; ಸಂಪೂರ್ಣ ಒಂದೇ	ಈ ಎರಡು ಚಿತ್ರಗಳು ಅಚ್ಚುಕಟ್ಟಾಗಿ ಒಂದೇ ರೀತಿಯಾಗಿ ಕಾಣುತ್ತವೆ.
5168:艺人	艺人	艺人	కళాకారుడు; ప్రదర్శకుడు	ఈ కళాకారుడు వేదికపై చాలా ఆత్మవిశ్వాసంగా ఉంటాడు.	ಕಲಾವಿದ; ಪ್ರದರ್ಶಕ	ಈ ಕಲಾವಿದ ವೇದಿಕೆಯಲ್ಲಿ ತುಂಬ ಆತ್ಮವಿಶ್ವಾಸದಿಂದಿರುತ್ತಾನೆ.
5169:一身	一身	一身	మొత్తం శరీరం; పూర్తి దుస్తులు	అతను పూర్తి నలుపు రంగు దుస్తులు ధరించాడు.	ಸಂಪೂರ್ಣ ದೇಹ; ಸಂಪೂರ್ಣ ಉಡುಪು	ಅವನು ಸಂಪೂರ್ಣ ಕಪ್ಪು ಬಣ್ಣದ ಉಡುಪು ಧರಿಸಿದ್ದನು.
5170:一时	一时	一时	కొద్దిసేపు; ఆ సమయంలో	ఆ సమయంలో నాకు అతని పేరు గుర్తుకు రాలేదు.	ಸ್ವಲ್ಪ ಹೊತ್ತು; ಆ ಕ್ಷಣದಲ್ಲಿ	ಆ ಕ್ಷಣದಲ್ಲಿ ನನಗೆ ಅವನ ಹೆಸರು ನೆನಪಿಗೆ ಬರಲಿಲ್ಲ.
5171:一同	一同	一同	కలిసి; ఒకటిగా	మేము ఈ ప్రాజెక్టును కలిసి పూర్తి చేశాము.	ಒಟ್ಟಿಗೆ; ಜೊತೆಯಲ್ಲಿ	ನಾವು ಈ ಯೋಜನೆಯನ್ನು ಒಟ್ಟಿಗೆ ಪೂರ್ಣಗೊಳಿಸಿದ್ದೇವೆ.
5172:易于	易于	易于	సులభంగా; చేయడానికి సులభమైన	ఈ సాఫ్ట్‌వేర్ ఉపయోగించడానికి సులభం.	ಸುಲಭವಾಗಿ; ಮಾಡಲು ಸುಲಭ	ಈ ಸಾಫ್ಟ್‌ವೇರ್ ಬಳಸಲು ಸುಲಭವಾಗಿದೆ.
5173:抑制	抑制	抑制	అణచివేయడం; నియంత్రించడం	ఈ ఔషధం నొప్పిని అణచివేయగలదు.	ಅಣಗಿಸುವುದು; ನಿಯಂತ್ರಿಸುವುದು	ಈ ಔಷಧಿ ನೋವನ್ನು ಅಣಗಿಸಬಹುದು.
5174:因	因	因	కారణంగా; వల్ల	భారీ వర్షం కారణంగా సమావేశం వాయిదా పడింది.	ಕಾರಣದಿಂದ; ಏಕೆಂದರೆ	ಭಾರಿ ಮಳೆಯ ಕಾರಣದಿಂದ ಸಭೆ ಮುಂದೂಡಲಾಯಿತು.
5175:音节	音节	音节	అక్షర భాగం; సిలబుల్	ఈ పదంలో మూడు అక్షర భాగాలు ఉన్నాయి.	ಅಕ್ಷರಘಟಕ; ಅಕ್ಷರ ಭಾಗ	ಈ ಪದಕ್ಕೆ ಮೂರು ಅಕ್ಷರಘಟಕಗಳಿವೆ.
5177:银牌	银牌	银牌	వెండి పతకం	ఆమె పోటీలో వెండి పతకం గెలుచుకుంది.	ಬೆಳ್ಳಿ ಪದಕ	ಅವಳು ಸ್ಪರ್ಧೆಯಲ್ಲಿ ಬೆಳ್ಳಿ ಪದಕ ಗೆದ್ದಳು.
5178:引	引	引	ఉటంకించడం; నడిపించడం	గురువు తన అభిప్రాయాన్ని వివరించడానికి పాత కవితలోని ఒక పాదాన్ని ఉటంకించాడు.	ಉಲ್ಲೇಖಿಸುವುದು; ಮುನ್ನಡೆಸುವುದು	ಶಿಕ್ಷಕರು ತಮ್ಮ ಅಭಿಪ್ರಾಯವನ್ನು ವಿವರಿಸಲು ಹಳೆಯ ಕವಿತೆಯ ಒಂದು ಸಾಲನ್ನು ಉಲ್ಲೇಖಿಸಿದರು.
5179:隐藏	隐藏	隐藏	దాచడం; మరుగుపరచడం	ఫైల్ వ్యవస్థ ఫోల్డర్‌లో దాచబడింది.	ಮರೆಮಾಡುವುದು; ಅಡಗಿಸುವುದು	ಕಡತವು ವ್ಯವಸ್ಥೆಯ ಫೋಲ್ಡರಿನಲ್ಲಿ ಮರೆಮಾಡಲ್ಪಟ್ಟಿತ್ತು.
5181:引发	引发	引发	ప్రేరేపించడం; కలిగించడం	ఈ వార్త వేడెక్కిన చర్చను కలిగించింది.	ಪ್ರಚೋದಿಸುವುದು; ಉಂಟುಮಾಡುವುದು	ಈ ಸುದ್ದಿ ಉತ್ಸಾಹಭರಿತ ಚರ್ಚೆಯನ್ನು ಉಂಟುಮಾಡಿತು.
5182:引入	引入	引入	పరిచయం చేయడం; తీసుకురావడం	పాఠశాల కొత్త బోధనా విధానాన్ని పరిచయం చేయాలని యోచిస్తోంది.	ಪರಿಚಯಿಸುವುದು; ತರಿಸುವುದು	ಶಾಲೆ ಹೊಸ ಬೋಧನಾ ವಿಧಾನವನ್ನು ಪರಿಚಯಿಸಲು ಯೋಜಿಸುತ್ತಿದೆ.
5184:饮用水	饮用水	饮用水	తాగునీరు	ఇక్కడి తాగునీరు కఠినమైన పరీక్షలో ఉత్తీర్ణమైంది.	ಕುಡಿಯುವ ನೀರು	ಇಲ್ಲಿನ ಕುಡಿಯುವ ನೀರು ಕಠಿಣ ಪರೀಕ್ಷೆಯನ್ನು ದಾಟಿದೆ.
5185:印	印	印	ముద్రించడం; ముద్ర వేయడం	దయచేసి ఇక్కడ కంపెనీ గుర్తును ముద్రించండి.	ಮುದ್ರಿಸುವುದು; ಮುದ್ರೆ ಹಾಕುವುದು	ದಯವಿಟ್ಟು ಇಲ್ಲಿ ಕಂಪನಿಯ ಚಿಹ್ನೆಯನ್ನು ಮುದ್ರಿಸಿ.
5192:用餐	用餐	用餐	భోజనం చేయడం	అతిథులు రెస్టారెంట్‌లో భోజనం చేస్తున్నారు.	ಊಟ ಮಾಡುವುದು	ಅತಿಥಿಗಳು ಉಪಹಾರ ಗೃಹದಲ್ಲಿ ಊಟ ಮಾಡುತ್ತಿದ್ದಾರೆ.
5193:用处	用处	用处	ఉపయోగం; ప్రయోజనం	ఈ చిన్న కత్తికి చాలా ఉపయోగాలు ఉన్నాయి.	ಬಳಕೆ; ಉಪಯೋಗ	ಈ ಚಿಕ್ಕ ಚಾಕುವಿಗೆ ಅನೇಕ ಉಪಯೋಗಗಳಿವೆ.
5195:用人	用人	用人	మనుషులను నియమించడం; ఉద్యోగంలో పెట్టడం	ఈ కంపెనీ ఉద్యోగులను నియమించేటప్పుడు చాలా జాగ్రత్తగా ఉంటుంది.	ಜನರನ್ನು ನೇಮಿಸುವುದು	ಈ ಕಂಪನಿ ಜನರನ್ನು ನೇಮಿಸುವಾಗ ತುಂಬ ಜಾಗರೂಕರಾಗಿರುತ್ತದೆ.
5196:用心	用心	用心	శ్రద్ధతో; జాగ్రత్తగా	ఈ బహుమతికి చాలా శ్రద్ధ పెట్టినట్టు తెలుస్తోంది.	ಅಕ್ಕರೆಯಿಂದ; ಗಮನದಿಂದ	ಈ ಉಡುಗೊರೆಗೆ ಬಹಳ ಅಕ್ಕರೆ ಹಾಕಲಾಗಿದೆ ಎಂದು ಕಾಣುತ್ತದೆ.
5197:优化	优化	优化	మెరుగుపరచడం; ఆప్టిమైజ్ చేయడం	ఇంజనీరు వ్యవస్థ వేగాన్ని మెరుగుపరుస్తున్నాడు.	ಸುಧಾರಿಸುವುದು; ಉತ್ತಮಗೊಳಿಸುವುದು	ಇಂಜಿನಿಯರ್ ವ್ಯವಸ್ಥೆಯ ವೇಗವನ್ನು ಉತ್ತಮಗೊಳಿಸುತ್ತಿದ್ದಾರೆ.
5200:由来	由来	由来	ఆరంభం; మూలం	ఈ ఆచారం యొక్క మూలం చాలా ఆసక్తికరంగా ఉంది.	ಮೂಲ; ಉಗಮ	ಈ ಸಂಪ್ರದಾಯದ ಉಗಮ ತುಂಬ ಆಸಕ್ತಿದಾಯಕವಾಗಿದೆ.
5201:游人	游人	游人	పర్యాటకుడు; సందర్శకుడు	వసంతంలో పార్కులో సందర్శకులు ప్రత్యేకంగా ఎక్కువగా ఉంటారు.	ಪ್ರವಾಸಿಗ; ಸಂದರ್ಶಕ	ವಸಂತಕಾಲದಲ್ಲಿ ಉದ್ಯಾನದಲ್ಲಿ ಸಂದರ್ಶಕರು ವಿಶೇಷವಾಗಿ ಹೆಚ್ಚಿರುತ್ತಾರೆ.
5203:有机	有机	有机	సేంద్రీయ; సహజ పద్ధతిలో పండించిన	ఈ ఫారం సేంద్రీయ కూరగాయలనే మాత్రమే అమ్ముతుంది.	ಸಾವಯವ; ಸ್ವಾಭಾವಿಕವಾಗಿ ಬೆಳೆದ	ಈ ತೋಟವು ಸಾವಯವ ತರಕಾರಿಗಳನ್ನು ಮಾತ್ರ ಮಾರುತ್ತದೆ.
5204:有劲	有劲	有劲	ఆసక్తికరమైన; ఉత్సాహంగా ఉన్న	ఈ సినిమా చూస్తూ చూస్తూ మరింత ఆసక్తికరంగా మారుతుంది.	ರಸದಾಯಕ; ಉತ್ಸಾಹಭರಿತ	ಈ ಸಿನಿಮಾ ನೋಡಿದಷ್ಟು ಇನ್ನಷ್ಟು ರಸದಾಯಕವಾಗುತ್ತದೆ.
5205:有序	有序	有序	క్రమబద్ధమైన; పద్ధతిగా	ప్రేక్షకులు క్రమబద్ధంగా సమావేశ మందిరంలోకి ప్రవేశించారు.	ಕ್ರಮಬದ್ಧ; ಸುವ್ಯವಸ್ಥಿತ	ಪ್ರೇಕ್ಷಕರು ಕ್ರಮಬದ್ಧವಾಗಿ ಸಭಾಂಗಣಕ್ಕೆ ಪ್ರವೇಶಿಸಿದರು.
5206:于	于	于	లో; వద్ద; కు	సమావేశం ఉదయం తొమ్మిది గంటలకు ప్రారంభమవుతుంది.	ನಲ್ಲಿ; ಸಮಯದಲ್ಲಿ; ಕಡೆಗೆ	ಸಭೆ ಬೆಳಿಗ್ಗೆ ಒಂಬತ್ತು ಗಂಟೆಗೆ ಆರಂಭವಾಗುತ್ತದೆ.
5207:余额	余额	余额	మిగులు మొత్తం; బ్యాలెన్స్	దయచేసి ముందుగా బ్యాంకు కార్డు బ్యాలెన్స్‌ను చూడండి.	ಉಳಿಕೆ ಮೊತ್ತ; ಬ್ಯಾಲೆನ್ಸ್	ದಯವಿಟ್ಟು ಮೊದಲು ಬ್ಯಾಂಕ್ ಕಾರ್ಡ್‌ನ ಉಳಿಕೆ ಮೊತ್ತವನ್ನು ಪರಿಶೀಲಿಸಿ.
5210:预定	预定	预定	ముందుగా బుక్ చేయడం; ముందస్తుగా నిర్ణయించడం	నేను రేపు రాత్రి సీట్లను ఇప్పటికే బుక్ చేశాను.	ಮುಂಗಡ ಕಾಯ್ದಿರಿಸುವುದು; ಪೂರ್ವನಿರ್ಧರಿಸುವುದು	ನಾನು ನಾಳೆ ರಾತ್ರಿ ಆಸನಗಳನ್ನು ಈಗಾಗಲೇ ಮುಂಗಡ ಕಾಯ್ದಿರಿಸಿದ್ದೇನೆ.
5213:浴室	浴室	浴室	స్నానగది	స్నానగది నేల కొంచెం జారుగా ఉంది.	ಸ್ನಾನಗೃಹ	ಸ್ನಾನಗೃಹದ ನೆಲ ಸ್ವಲ್ಪ ಜಾರುವಂತಿದೆ.
5215:原本	原本	原本	మొదట; అసలు	నేను మొదట వారాంతంలో బీజింగ్‌కు వెళ్లాలని అనుకున్నాను.	ಮೂಲತಃ; ಮೊದಲಿಗೆ	ನಾನು ಮೂಲತಃ ವಾರಾಂತ್ಯದಲ್ಲಿ ಬೀಜಿಂಗ್‌ಗೆ ಹೋಗಲು ಯೋಜಿಸಿದ್ದೆ.
5216:原材料	原材料	原材料	ముడి పదార్థం	కర్మాగారానికి స్థిరమైన ముడి పదార్థాల సరఫరా అవసరం.	ಮೂಲ ವಸ್ತು; ಕಚ್ಚಾ ಸಾಮಗ್ರಿ	ಕಾರ್ಖಾನೆಗೆ ಸ್ಥಿರ ಮೂಲ ವಸ್ತುಗಳ ಪೂರೈಕೆ ಬೇಕು.
5224:元宵	元宵	元宵	యువాన్‌షియావ్; దీపాల పండుగ తీపి బియ్యపు బంతి	దీపాల పండుగ రోజున మేము యువాన్‌షియావ్ తిన్నాము.	ಯುವಾನ್‌ಶಿಯಾವ್; ದೀಪೋತ್ಸವದ ಸಿಹಿ ಅಕ್ಕಿ ಉಂಡೆ	ದೀಪೋತ್ಸವದ ದಿನ ನಾವು ಯುವಾನ್‌ಶಿಯಾವ್ ತಿಂದೆವು.
5225:源于	源于	源于	నుంచి ఉద్భవించడం; మూలం కావడం	ఈ సంప్రదాయం ప్రాచీన పండుగ నుండి ఉద్భవించింది.	ಉಗಮಿಸುವುದು; ಮೂಲವಾಗಿರುವುದು	ಈ ಸಂಪ್ರದಾಯವು ಪುರಾತನ ಹಬ್ಬದಿಂದ ಉಗಮಿಸಿದೆ.
5226:远程	远程	远程	దూరస్థ; రిమోట్	కంపెనీ దూరస్థ ఇంటర్వ్యూను ఏర్పాటు చేసింది.	ದೂರಸ್ಥ; ರಿಮೋಟ್	ಕಂಪನಿಯು ದೂರಸ್ಥ ಸಂದರ್ಶನವನ್ನು ಏರ್ಪಡಿಸಿದೆ.
5227:远方	远方	远方	దూర ప్రాంతం	అతను దూరంలోని తన కుటుంబాన్ని తరచూ గుర్తు చేసుకుంటాడు.	ದೂರದ ಸ್ಥಳ	ಅವನು ದೂರದಲ್ಲಿರುವ ತನ್ನ ಕುಟುಂಬವನ್ನು ಆಗಾಗ ನೆನಪಿಸಿಕೊಳ್ಳುತ್ತಾನೆ.
5229:月光	月光	月光	చంద్రకాంతి	చంద్రకాంతి నిశ్శబ్ద సరస్సు మీద పడింది.	ಚಂದ್ರಕಾಂತಿ	ಚಂದ್ರಕಾಂತಿ ಶಾಂತ ಸರೋವರದ ಮೇಲೆ ಬಿತ್ತು.
5231:月球	月球	月球	చంద్రుడు; చంద్రగోళం	శాస్త్రవేత్తలు చంద్రుడి ఉపరితలాన్ని అధ్యయనం చేస్తున్నారు.	ಚಂದ್ರ; ಚಂದ್ರಗೋಳ	ವಿಜ್ಞಾನಿಗಳು ಚಂದ್ರನ ಮೇಲ್ಮೈಯನ್ನು ಅಧ್ಯಯನ ಮಾಡುತ್ತಿದ್ದಾರೆ.
5232:乐曲	乐曲	乐曲	సంగీత కృతి; సంగీత భాగం	ఈ సంగీత కృతి చాలా అందంగా వినిపిస్తుంది.	ಸಂಗೀತ ಕೃತಿ; ರಾಗಭಾಗ	ಈ ಸಂಗೀತ ಕೃತಿ ತುಂಬ ಸುಂದರವಾಗಿ ಕೇಳಿಸುತ್ತದೆ.
5234:晕车	晕车	晕车	వాహన ప్రయాణంలో తల తిరగడం	దీర్ఘ బస్సు ప్రయాణాల్లో ఆమెకు సులభంగా వాహన మత్తు వస్తుంది.	ವಾಹನ ಪ್ರಯಾಣದಲ್ಲಿ ಮಲಬಾಧೆ ಬರುವುದು	ದೀರ್ಘ ಬಸ್ ಪ್ರಯಾಣಗಳಲ್ಲಿ ಅವಳಿಗೆ ಸುಲಭವಾಗಿ ವಾಹನ ಮಲಬಾಧೆ ಬರುತ್ತದೆ.
5235:运送	运送	运送	రవాణా చేయడం; పంపించడం	ఈ సరఫరాలను విపత్తు ప్రాంతానికి రవాణా చేస్తారు.	ಸಾಗಿಸುವುದು; ಕಳುಹಿಸುವುದು	ಈ ಸರಕುಗಳನ್ನು ವಿಪತ್ತು ಪ್ರದೇಶಕ್ಕೆ ಸಾಗಿಸಲಾಗುತ್ತದೆ.
5237:运营	运营	运营	నడపడం; నిర్వహించడం	ఈ వేదికను వృత్తిపర బృందం నిర్వహిస్తుంది.	ನಿರ್ವಹಿಸುವುದು; ನಡೆಸುವುದು	ಈ ವೇದಿಕೆಯನ್ನು ವೃತ್ತಿಪರ ತಂಡ ನಡೆಸುತ್ತದೆ.
5238:杂	杂	杂	మిశ్రమమైన; విభిన్నమైన	ఈ డ్రాయర్‌లో ఎన్నో విభిన్న వస్తువులు ఉన్నాయి.	ಮಿಶ್ರ; ಬಗೆಯಬಗೆಯ	ಈ ಡ್ರಾಯರ್‌ನಲ್ಲಿ ಅನೇಕ ಬಗೆಯಬಗೆಯ ವಸ್ತುಗಳಿವೆ.
5239:灾	灾	灾	విపత్తు; అనర్థం	ఈ విపత్తు గ్రామానికి పెద్ద నష్టం కలిగించింది.	ವಿಪತ್ತು; ಅನಾಹುತ	ಈ ವಿಪತ್ತು ಗ್ರಾಮಕ್ಕೆ ದೊಡ್ಡ ನಷ್ಟ ಉಂಟುಮಾಡಿತು.
5242:灾区	灾区	灾区	విపత్తు ప్రాంతం	స్వచ్ఛంద సేవకులు ఆహారాన్ని విపత్తు ప్రాంతానికి తీసుకెళ్లారు.	ವಿಪತ್ತು ಪ್ರದೇಶ	ಸ್ವಯಂಸೇವಕರು ಆಹಾರವನ್ನು ವಿಪತ್ತು ಪ್ರದೇಶಕ್ಕೆ ತೆಗೆದುಕೊಂಡು ಹೋದರು.
5244:再生	再生	再生	పునర్వినియోగం చేయడం; పునరుత్పత్తి	ఈ పదార్థాలను పునర్వినియోగం చేసి మళ్లీ ఉపయోగించవచ్చు.	ಮರುಬಳಕೆ ಮಾಡುವುದು; ಪುನರುತ್ಪಾದನೆ	ಈ ವಸ್ತುಗಳನ್ನು ಮರುಬಳಕೆ ಮಾಡಿ ಮತ್ತೆ ಬಳಸಬಹುದು.
5246:赞赏	赞赏	赞赏	ప్రశంసించడం; మెచ్చుకోవడం	గురువు అతని గంభీరమైన వైఖరిని మెచ్చుకున్నాడు.	ಪ್ರಶಂಸಿಸುವುದು; ಮೆಚ್ಚುವುದು	ಶಿಕ್ಷಕರು ಅವನ ಗಂಭೀರ ಮನೋಭಾವವನ್ನು ಮೆಚ್ಚಿದರು.
5247:赞同	赞同	赞同	అంగీకరించడం; సమ్మతించడం	చాలా మంది సభ్యులు ఈ నిర్ణయాన్ని అంగీకరిస్తున్నారు.	ಒಪ್ಪಿಕೊಳ್ಳುವುದು; ಸಮ್ಮತಿಸುವುದು	ಬಹುತೇಕ ಸದಸ್ಯರು ಈ ನಿರ್ಧಾರವನ್ನು ಒಪ್ಪಿಕೊಳ್ಳುತ್ತಾರೆ.
5248:遭到	遭到	遭到	ఎదుర్కొనడం; గురికావడం	ఈ ప్రణాళిక కొంత వ్యతిరేకతను ఎదుర్కొంది.	ಎದುರಿಸುವುದು; ಒಳಗಾಗುವುದು	ಈ ಯೋಜನೆ ಕೆಲವು ವಿರೋಧವನ್ನು ಎದುರಿಸಿತು.
5251:噪声	噪声	噪声	శబ్దం; గోల	నిర్మాణ శబ్దం సమీప నివాసులను ప్రభావితం చేసింది.	ಶಬ್ದ; ಗದ್ದಲ	ನಿರ್ಮಾಣ ಶಬ್ದವು ಸಮೀಪದ ನಿವಾಸಿಗಳಿಗೆ ಪರಿಣಾಮ ಬೀರಿತು.
5255:炸	炸	炸	పేలడం	పటాకా అకస్మాత్తుగా పేలింది, అందరూ భయపడ్డారు.	ಸಿಡಿಯುವುದು; ಸ್ಫೋಟಗೊಳ್ಳುವುದು	ಪಟಾಕಿ ಅಚಾನಕ್ ಸಿಡಿದಾಗ ಎಲ್ಲರೂ ಬೆಚ್ಚಿಬಿದ್ದರು.
5256:粘	粘	粘	అంటించడం; అతికించడం	గుం కాగితాలను కలిపి అతికించింది.	ಅಂಟಿಸುವುದು; ಅಂಟಿಕೊಳ್ಳಿಸುವುದು	ಗೋಂದವು ಕಾಗದಗಳನ್ನು ಒಂದಕ್ಕೆ ಒಂದು ಅಂಟಿಸಿತು.
5259:占比	占比	占比	నిష్పత్తి; వాటా	ఆన్‌లైన్ అమ్మకాల వాటా ఇప్పటికే సగానికి మించి ఉంది.	ಅನುಪಾತ; ಪಾಲು	ಆನ್‌ಲೈನ್ ಮಾರಾಟದ ಪಾಲು ಈಗಾಗಲೇ ಅರ್ಧಕ್ಕಿಂತ ಹೆಚ್ಚು ಆಗಿದೆ.
5262:战胜	战胜	战胜	జయించడం; అధిగమించడం	వారు చివరకు అన్ని కష్టాలను జయించారు.	ಗೆಲ್ಲುವುದು; ಜಯಿಸುವುದು	ಅವರು ಕೊನೆಗೂ ಎಲ್ಲಾ ಕಷ್ಟಗಳನ್ನು ಜಯಿಸಿದರು.
5263:占有	占有	占有	కలిగి ఉండడం; ఆక్రమించడం	ఈ కంపెనీ పెద్ద మార్కెట్ వాటాను కలిగి ఉంది.	ಹೊಂದಿರುವುದು; ಆಕ್ರಮಿಸುವುದು	ಈ ಕಂಪನಿಯು ದೊಡ್ಡ ಮಾರುಕಟ್ಟೆ ಪಾಲನ್ನು ಹೊಂದಿದೆ.
5265:章	章	章	అధ్యాయం; విభాగం	దయచేసి మూడవ అధ్యాయంలోని విషయాన్ని చదవండి.	ಅಧ್ಯಾಯ; ವಿಭಾಗ	ದಯವಿಟ್ಟು ಮೂರನೇ ಅಧ್ಯಾಯದ ವಿಷಯವನ್ನು ಓದಿ.
5268:账单	账单	账单	బిల్లు; ఖాతా ప్రకటన	సేవకుడు బిల్లును టేబుల్‌పై పెట్టాడు.	ಬಿಲ್; ಖಾತೆ ವಿವರ	ಸೇವಕನು ಬಿಲ್ ಅನ್ನು ಮೇಜಿನ ಮೇಲೆ ಇಟ್ಟನು.
5269:招	招	招	నియమించడం; ఆకర్షించడం	కంపెనీ కొత్త ఉద్యోగులను నియమిస్తోంది.	ನೇಮಕ ಮಾಡುವುದು; ಆಕರ್ಷಿಸುವುದು	ಕಂಪನಿ ಹೊಸ ನೌಕರರನ್ನು ನೇಮಕ ಮಾಡುತ್ತಿದೆ.
5271:招生	招生	招生	విద్యార్థులను చేర్చుకోవడం	ఈ పాఠశాల ఈ సంవత్సరం ఐదు వందల మంది విద్యార్థులను చేర్చుకోవాలని యోచిస్తోంది.	ವಿದ್ಯಾರ್ಥಿ ಪ್ರವೇಶ ಮಾಡುವುದು	ಈ ಶಾಲೆ ಈ ವರ್ಷ ಐದು ನೂರು ವಿದ್ಯಾರ್ಥಿಗಳನ್ನು ಸೇರಿಸಿಕೊಳ್ಳಲು ಯೋಜಿಸಿದೆ.
5272:招手	招手	招手	చేయి ఊపడం	ఆమె స్టేషన్‌లో మాకు చేయి ఊపింది.	ಕೈ ಬೀಸುವುದು	ಅವಳು ನಿಲ್ದಾಣದಲ್ಲಿ ನಮಗೆ ಕೈ ಬೀಸಿದಳು.
5274:照明	照明	照明	లైటింగ్; వెలుతురు ఏర్పాటు	ఈ గదిలో వెలుతురు ఏర్పాటు చాలా బాగుంది.	ಬೆಳಕು ವ್ಯವಸ್ಥೆ; ದೀಪ ವ್ಯವಸ್ಥೆ	ಈ ಕೊಠಡಿಯ ಬೆಳಕು ವ್ಯವಸ್ಥೆ ತುಂಬ ಚೆನ್ನಾಗಿದೆ.
5276:针	针	针	సూది; ఇంజెక్షన్	నర్సు రోగికి ఒక ఇంజెక్షన్ ఇచ్చింది.	ಸೂಜಿ; ಇಂಜೆಕ್ಷನ್	ನರ್ಸ್ ರೋಗಿಗೆ ಒಂದು ಇಂಜೆಕ್ಷನ್ ಕೊಟ್ಟಳು.
5280:镇	镇	镇	చిన్న పట్టణం; శాంతపరచడం	ఈ చిన్న పట్టణం సముద్రానికి దగ్గరగా ఉంది.	ಪಟ್ಟಣ; ಶಾಂತಗೊಳಿಸುವುದು	ಈ ಪಟ್ಟಣ ಸಮುದ್ರದ ಹತ್ತಿರದಲ್ಲಿದೆ.
5281:阵雨	阵雨	阵雨	ఓ దఫా వర్షం; జల్లులు	మధ్యాహ్నం జల్లులు పడే అవకాశం ఉంది.	ಮಳೆ ಜಡಿ; ತಾತ್ಕಾಲಿಕ ಮಳೆ	ಮಧ್ಯಾಹ್ನ ಮಳೆ ಜಡಿ ಬೀಳುವ ಸಾಧ್ಯತೆ ಇದೆ.
5283:争吵	争吵	争吵	తగవు పడడం; వాదించడం	వారు చిన్న విషయం కోసం తగవు పడటం ప్రారంభించారు.	ಜಗಳವಾಡುವುದು; ವಾಗ್ವಾದ ಮಾಡುವುದು	ಅವರು ಚಿಕ್ಕ ವಿಷಯಕ್ಕೆ ಜಗಳವಾಡಲು ಆರಂಭಿಸಿದರು.
5290:正面	正面	正面	ముందు భాగం; సానుకూల వైపు	దయచేసి ఫోటో ముందు భాగం పైకి ఉండేలా పెట్టండి.	ಮುಂಭಾಗ; ಧನಾತ್ಮಕ ಬದಿ	ದಯವಿಟ್ಟು ಫೋಟೋದ ಮುಂಭಾಗವನ್ನು ಮೇಲಕ್ಕೆ ಮುಖವಾಗಿರಿಸಿ.
5299:之所以	之所以	之所以	కారణం ఏమిటంటే	అతను ఆలస్యమైన కారణం మార్గంలో ట్రాఫిక్ ఉండటం.	ಕಾರಣವೇನೆಂದರೆ	ಅವನು ತಡವಾದ ಕಾರಣ ದಾರಿಯಲ್ಲಿ ಸಂಚಾರ ದಟ್ಟಣೆ ಇತ್ತು.
5303:职员	职员	职员	ఉద్యోగి; సిబ్బంది సభ్యుడు	కంపెనీ ఉద్యోగులందరూ శిక్షణలో పాల్గొన్నారు.	ನೌಕರ; ಸಿಬ್ಬಂದಿ ಸದಸ್ಯ	ಕಂಪನಿಯ ಎಲ್ಲಾ ನೌಕರರು ತರಬೇತಿಯಲ್ಲಿ ಭಾಗವಹಿಸಿದರು.
5304:职责	职责	职责	బాధ్యత; కర్తవ్యము	రోగుల ఆరోగ్యాన్ని రక్షించడం వైద్యుని బాధ్యత.	ಜವಾಬ್ದಾರಿ; ಕರ್ತವ್ಯ	ರೋಗಿಗಳ ಆರೋಗ್ಯವನ್ನು ರಕ್ಷಿಸುವುದು ವೈದ್ಯರ ಕರ್ತವ್ಯ.
5306:只得	只得	只得	వేరే మార్గం లేక చేయడం	వర్షం చాలా ఎక్కువగా ఉండడంతో మేము కార్యక్రమాన్ని రద్దు చేయక తప్పలేదు.	ಬೇರೆ ದಾರಿ ಇಲ್ಲದೆ ಮಾಡುವುದು	ಮಳೆ ತುಂಬ ಜೋರಾಗಿದ್ದರಿಂದ ನಾವು ಕಾರ್ಯಕ್ರಮವನ್ನು ರದ್ದುಪಡಿಸಬೇಕಾಯಿತು.
