simplified	LT	example_LT
极其	ypač; nepaprastai	Šis klausimas nepaprastai svarbus.
集合	susirinkti; rinkinys	Prašau susirinkti prie įėjimo aštuntą valandą.
集体	kolektyvas; grupinis	Tai grupinė veikla.
集中	susikaupti; sutelkti	Pamokoje turėtum susikaupti.
寂寞	vienišas	Gyventi vienam kartais būna vieniša.
系领带	rištis kaklaraištį	Prieš darbą jis kasdien rišasi kaklaraištį.
纪录	rekordas; įrašas	Jis pagerino mokyklos rekordą.
纪律	disciplina	Klasės disciplina labai svarbi.
纪念	paminėti; prisiminti	Fotografavomės, kad paminėtume šią dieną.
计算	skaičiuoti	Prašau apskaičiuoti bendrą kainą.
记录	įrašyti; užrašyti	Prašau užrašyti susitikimo turinį.
记忆	atmintis; prisiminimas	Šis prisiminimas labai brangus.
嘉宾	garbingas svečias	Šiandienos svečias yra rašytojas.
夹子	segtukas; spaustukas	Prašau susegti dokumentus segtuku.
家庭	šeima; namų ūkis	Šeima vaikams labai svarbi.
家务	namų ruoša	Savaitgalį turiu atlikti namų ruošos darbus.
家乡	gimtasis kraštas	Labai ilgiuosi savo gimtojo krašto.
假如	jeigu	Jeigu rytoj lis, neisime.
假设	tarkime; prielaida	Tarkime, kad būtum mokytojas, ką darytum?
假装	apsimesti	Jis apsimetė negirdėjęs.
甲	pirmasis; šalis A	Šalis A turi sumokėti laiku.
价值	vertė	Ši knyga labai vertinga.
嫁	ištekėti	Kitais metais ji ištekės už savo vaikino.
驾驶	vairuoti	Vairuodamas automobilį vairuok atsargiai.
兼职	darbas ne visą darbo dieną	Vakarais jis dirba ne visą darbo dieną.
坚决	tvirtas; ryžtingas	Jis tvirtai nesutinka su šiuo sprendimu.
坚强	stiprus	Ji yra stipri asmenybė.
肩膀	petys	Jo petys sužeistas.
艰巨	sunkus; sudėtingas	Tai sunki užduotis.
艰苦	sunkus; vargingas	Jie patyrė sunkų gyvenimą.
剪刀	žirklės	Prašau paduoti man žirkles.
捡	pakelti	Jis pakėlė piniginę nuo žemės.
简历	gyvenimo aprašymas; CV	Prieš kandidatuodamas į darbą paruošk gyvenimo aprašymą.
简直	tiesiog	Ši naujiena tiesiog šokiruoja.
健身	sportuoti; palaikyti formą	Jis sportuoja tris kartus per savaitę.
建立	sukurti; įsteigti	Užmezgėme naują ryšį.
建设	statyti; statyba	Miesto statyba sparčiai vystosi.
建筑	pastatas; architektūra	Šis pastatas turi išskirtinių bruožų.
键盘	klaviatūra	Mano klaviatūrą reikia išvalyti.
讲究	kreipti dėmesį; būti išrankiam	Kinai daug dėmesio skiria maistui.
讲座	paskaita	Šį vakarą yra paskaita apie kinų kalbą.
酱油	sojų padažas	Į patiekalą įpilk šiek tiek sojų padažo.
交换	apsikeisti	Mes apsikeitėme telefono numeriais.
交际	bendravimas; socialiniai ryšiai	Mokantis kalbos reikia lavinti ir bendravimą.
交往	bendrauti; susitikinėti	Jie susitikinėja jau dvejus metus.
浇	laistyti; pilti	Prašau kasdien palaistyti gėles.
胶水	klijai	Nuotrauką priklijavau klijais.
狡猾	gudrus; klastingas	Ta lapė labai gudri.
角度	kampas; požiūris	Pažvelkime į problemą kitu kampu.
教材	mokomoji medžiaga; vadovėlis	Šis vadovėlis labai praktiškas.
教练	treneris	Treneris reikalauja, kad atvyktume laiku.
教训	pamoka; pamokymas	Ši nesėkmė yra pamoka.
接触	kontaktas; susidurti	Tai mano pirmas susidūrimas su kinų kultūra.
接待	priimti svečius; aptarnauti	Įmonė paskyrė žmogų priimti svečius.
接近	artėti; būti arti	Pavasario šventė artėja.
结实	tvirtas	Šis lagaminas labai tvirtas.
阶段	etapas	Mokymasis suskirstytas į tris etapus.
结构	struktūra	Šio straipsnio struktūra aiški.
结合	derinti; sujungti	Mokymąsi reikėtų derinti su praktika.
结论	išvada	Jo išvada labai įtikinama.
结账	apmokėti sąskaitą	Pavalgę nuėjome apmokėti sąskaitos.
节省	taupyti	Važiavimas metro gali sutaupyti laiko.
借口	pasiteisinimas	Nebekurk pasiteisinimų.
届	kartas; renginio laida	Tai trečiosios varžybos.
戒	mesti; įspėti	Gydytojas patarė jam mesti rūkyti.
戒指	žiedas	Ji mūvi žiedą.
金属	metalas	Geležis yra metalas.
尽快	kuo greičiau	Prašau kuo greičiau atsakyti į el. laišką.
紧急	skubus; ekstremalus	Tai skubus atvejis.
谨慎	atsargus; apdairus	Prieš investuodamas būk atsargus.
尽力	stengtis iš visų jėgų	Stengsiuosi tau padėti.
尽量	kiek įmanoma; stengtis	Prašau pasistenkti atvykti kuo anksčiau.
近代	naujieji laikai	Naujųjų laikų Kinija patyrė daug pokyčių.
进步	pažanga; tobulėti	Jo kinų kalba greitai tobulėja.
进口	importuoti; importuotas	Šis automobilis importuotas.
精力	energija	Vaikai turi daug energijos.
精神	dvasia; nusiteikimas	Šiandien jis gerai nusiteikęs.
经典	klasikinis; klasika	Tai klasikinis filmas.
经商	verstis verslu	Jo tėvas verčiasi verslu užsienyje.
经营	valdyti; vykdyti verslą	Ji valdo mažą parduotuvę.
酒吧	baras	Vakare jie nuėjo į barą.
救	gelbėti	Gydytojas išgelbėjo jam gyvybę.
救护车	greitosios pagalbos automobilis	Greitosios pagalbos automobilis atvyko greitai.
舅舅	dėdė iš motinos pusės	Mano dėdė iš motinos pusės gyvena Nandzinge.
居然	netikėtai; iš tikrųjų	Jis iš tikrųjų pamiršo savo gimtadienį.
桔子	mandarinas	Ant stalo yra keli mandarinai.
俱乐部	klubas	Ji įstojo į plaukimo klubą.
具备	turėti; pasižymėti	Jis turi vadybos patirties.
具体	konkretus	Prašau kalbėti šiek tiek konkrečiau.
巨大	didžiulis	Šiam projektui reikia didžiulės investicijos.
据说	sakoma; pranešama	Sakoma, kad jis jau grįžo į savo šalį.
捐	aukoti	Visi nori paaukoti pinigų.
决赛	finalas	Rytoj futbolo finalas.
决心	ryžtas; apsispręsti	Jis pasiryžo gerai išmokti kinų kalbą.
绝对	absoliutus; jokiu būdu	Šio dalyko jokiu būdu negalima pamiršti.
角色	vaidmuo; personažas	Ji filme atlieka svarbų vaidmenį.
军事	karinis; karo reikalai	Jis labai domisi karo istorija.
均匀	tolygus; vienodas	Prašau spalvą tepti tolygiai.
卡车	sunkvežimis	Prie įėjimo stovi sunkvežimis.
开发	kurti; plėtoti	Įmonė kuria naują produktą.
开放	atidaryti; būti atviram	Parkas kas rytą atidaromas šeštą valandą.
开幕式	atidarymo ceremonija	Atidarymo ceremonija vyks rytoj vakare.
开水	virintas vanduo	Prašau duoti man puodelį virinto vandens.
砍	kirsti; kapoti	Darbininkas kerta šakas.
看不起	niekinti; žiūrėti iš aukšto	Nežiūrėk iš aukšto į nieką.
看望	aplankyti	Šį savaitgalį aplankysiu senelius.
靠	remtis; prisišlieti	Jis atsirėmė į sieną pailsėti.
颗	mažų apvalių daiktų skaitiklis	Nakties danguje yra žvaigždė.
可见	aišku; matyti	Akivaizdu, kad šis metodas veiksmingas.
可靠	patikimas	Jis patikimas draugas.
可怕	baisus	Šis sapnas buvo per daug baisus.
克	gramas	Prašau įdėti du gramus druskos.
克服	įveikti	Turime įveikti sunkumus.
刻苦	stropus; atkaklus	Jis labai stropiai mokosi.
客观	objektyvus	Prašau problemą analizuoti objektyviai.
课程	kursas; pamoka	Šis kursas labai naudingas.
空间	erdvė	Šiame kambaryje daug erdvės.
控制	kontroliuoti	Vairuotojas kontroliavo automobilio greitį.
空闲	laisvas laikas	Ar rytoj popiet turi laisvo laiko?
口味	skonis; maisto pomėgiai	Jo skonis gana švelnus.
夸	girti; perdėti	Mokytojas pagyrė jį už didelę pažangą.
夸张	perdėtas; perdėti	Jo išraiška šiek tiek perdėta.
会计	buhalteris; apskaita	Ji įmonėje dirba buhaltere.
宽	platus	Šis kelias labai platus.
昆虫	vabzdys	Vaikai stebi vabzdžius.
扩大	išplėsti; padidinti	Mokykla planuoja išplėsti biblioteką.
辣椒	čili pipiras	Į patiekalą įdėta daug čili pipirų.
拦	sulaikyti; užkirsti kelią	Policija sustabdė automobilį.
烂	supuvęs; pervirtas	Šis obuolys jau supuvo.
朗读	skaityti garsiai	Prašau garsiai perskaityti tekstą.
劳动	darbas; fizinis darbas	Darbas suteikia žmonėms pilnatvės jausmą.
劳驾	atsiprašau; gal galėtumėte	Atsiprašau, kur yra metro stotis?
姥姥	močiutė iš motinos pusės	Mano močiutė iš motinos pusės labai gerai gamina.
老百姓	paprasti žmonės	Paprastiems žmonėms rūpi pragyvenimo išlaidos.
老板	viršininkas; savininkas	Šiandien viršininko nėra biure.
老婆	žmona	Jis nupirko gėlių savo žmonai.
老实	sąžiningas; nuoširdus	Jis sąžiningas žmogus.
老鼠	pelė; žiurkė	Virtuvėje yra pelė.
乐观	optimistiškas	Ji optimistiškai žiūri į ateitį.
雷	griaustinis	Vakar naktį griaustinis buvo labai garsus.
类型	tipas; kategorija	Kokiam tipui priklauso šis filmas?
冷淡	šaltas; abejingas	Jo požiūris šiek tiek šaltas.
厘米	centimetras	Šis rašiklis yra penkiolikos centimetrų ilgio.
梨	kriaušė	Nusipirkau kelias kriaušes.
离婚	išsiskirti; skyrybos	Jie išsiskyrė pernai.
理论	teorija	Ši teorija labai sudėtinga.
理由	priežastis	Kokia tavo vėlavimo priežastis?
利润	pelnas	Šiais metais įmonės pelnas padidėjo.
利息	palūkanos	Banko palūkanos nėra didelės.
利益	interesai; nauda	Turime saugoti visų interesus.
利用	pasinaudoti; naudoti	Jis savaitgalį išnaudoja mokytis kinų kalbos.
力量	jėga	Vienybė yra jėga.
立即	nedelsiant	Prašau nedelsiant išeiti iš čia.
立刻	iškart; tuoj pat	Išgirdęs naujieną jis tuoj pat išvyko.
联合	sujungti; bendras	Dvi įmonės kartu sukūrė produktą.
连忙	skubiai; tuoj pat	Išgirdęs telefono skambutį jis greitai pakėlė ragelį.
连续	iš eilės; nenutrūkstamas	Jis dirbo dešimt valandų iš eilės.
恋爱	romantiniai santykiai; įsimylėti	Jie palaiko romantiškus santykius.
粮食	grūdai; maisto produktai	Šių metų grūdų derlius padidėjo.
良好	geras; palankus	Jis turi gerus mokymosi įpročius.
亮	ryškus; šviesus	Kambaryje šviesa labai ryški.
了不起	nuostabus; nepaprastas	Ji pasiekė įspūdingų rezultatų.
列车	traukinys	Traukinys netrukus išvyks.
临时	laikinas	Tai laikinas sprendimas.
灵活	lankstus	Mokymosi metodai turėtų būti lankstūs.
铃	varpelis; skambutis	Nuskambėjo pamokos skambutis.
零件	detalė; komponentas	Mašinai trūksta detalės.
零食	užkandžiai	Vaikai mėgsta valgyti užkandžius.
领导	vadovas; vadovauti	Vadovas yra susitikime.
领域	sritis	Ji dirba švietimo srityje.
流传	plisti; būti perduodamam	Ši istorija perduodama jau seniai.
流泪	lieti ašaras; verkti	Išgirdusi šią naujieną ji pravirko.
浏览	naršyti; peržvelgti	Pirmiausia peržvelgsiu tinklalapį.
龙	drakonas	Kinų kultūroje yra drakonų.
漏	pratekėti; nutekėti	Stogas praleidžia lietų.
录取	priimti; įstoti	Jis buvo priimtas į universitetą.
录音	įrašyti garsą; garso įrašas	Prašau pradėti įrašymą.
陆地	sausuma	Jūrinis vėžlys užropojo ant sausumos.
陆续	vienas po kito	Svečiai atvyko vienas po kito.
轮流	pakaitomis; paeiliui	Klasę valome pakaitomis.
论文	baigiamasis darbas; straipsnis	Ji rašo baigiamąjį darbą.
逻辑	logika	Jo logika labai aiški.
落后	atsilikti	Negalime atsilikti nuo kitų.
骂	barti; keikti	Prašau nebarti vaiko.
麦克风	mikrofonas	Prašau perduoti jam mikrofoną.
馒头	garinta bandelė	Pusryčiams suvalgiau garintą bandelę.
满足	patenkinti; atitikti	Šis atsakymas neatitinka reikalavimų.
毛病	problema; gedimas	Šis kompiuteris turi nedidelį gedimą.
矛盾	prieštaravimas; konfliktas	Tarp jų yra tam tikrų konfliktų.
冒险	rizikuoti	Eiti ten vienam per daug rizikinga.
贸易	prekyba	Tarptautinė prekyba sparčiai vystosi.
媒体	žiniasklaida	Žiniasklaida pranešė apie šį įvykį.
煤炭	anglis	Šiame regione kasama anglis.
眉毛	antakis	Jos antakiai stori.
美术	dailė; vaizduojamasis menas	Mano jaunesnioji sesuo mėgsta dailę.
魅力	žavesys	Šis miestas turi daug žavesio.
梦想	svajonė; svajoti	Jo svajonė yra tapti gydytoju.
密切	glaudus	Palaikome glaudų ryšį.
秘密	paslaptis	Tai mūsų paslaptis.
秘书	sekretorius; sekretorė	Sekretorė suplanavo susitikimo laiką.
蜜蜂	bitė	Tarp gėlių yra daug bičių.
面对	susidurti; stoti prieš	Turėtume drąsiai susidurti su sunkumais.
面积	plotas	Šio kambario plotas nedidelis.
面临	susidurti su	Įmonė susiduria su naujais iššūkiais.
描写	aprašyti	Autorius aprašė kaimo gyvenimą.
苗条	lieknas	Jos figūra liekna.
敏感	jautrus	Ši tema gana jautri.
名牌	garsus prekės ženklas	Jis nusipirko garsaus prekės ženklo laikrodį.
名片	vizitinė kortelė	Prašau duoti man vizitinę kortelę.
名胜古迹	istorinės ir vaizdingos vietos	Pekine yra daug istorinių ir vaizdingų vietų.
明确	aiškus; paaiškinti	Mokytojas aiškiai paaiškino reikalavimus.
明显	akivaizdus	Jo pažanga akivaizdi.
明星	žvaigždė; garsenybė	Ji nori tapti kino žvaigžde.
命令	įsakymas	Kareiviai turi vykdyti įsakymus.
命运	likimas	Jis tiki, kad likimą galima pakeisti.
摸	liesti; apčiuopti	Prašau neliesti šio paveikslo.
摩托车	motociklas	Jis į darbą važiuoja motociklu.
模仿	mėgdžioti	Vaikai mėgsta mėgdžioti suaugusiųjų kalbą.
模糊	neryškus; neaiškus	Ši nuotrauka šiek tiek neryški.
模特	modelis	Ji yra mados modelis.
陌生	nepažįstamas; svetimas	Šis miestas man labai svetimas.
某	tam tikras; kažkoks	Man paskambino kažkoks mokytojas.
木头	mediena; rąstas	Šis stalas pagamintas iš medienos.
目标	tikslas	Mano tikslas yra išlaikyti egzaminą.
目录	turinys; katalogas	Prašau pirmiausia pažiūrėti knygos pradžioje esantį turinį.
目前	šiuo metu	Šiuo metu padėtis gana stabili.
哪怕	net jei; netgi	Net jei jis užsiėmęs, jis toliau mokosi.
难怪	nenuostabu	Nenuostabu, kad šiandien toks laimingas.
难免	sunku išvengti	Pirmą kartą tai darant sunku išvengti klaidų.
脑袋	galva	Jam šiek tiek skauda galvą.
内部	vidinis	Tai vidinė įmonės medžiaga.
内科	vidaus ligų skyrius	Šiandien jis eina pas vidaus ligų gydytoją.
嫩	minkštas; švelnus	Šis mėsos gabalas labai minkštas.
能干	gebantis; sumanus	Ji labai sumani.
能源	energijos šaltinis; energija	Saulės energija yra švarios energijos rūšis.
嗯	mhm; taip	Mhm, suprantu.
年代	laikotarpis; dešimtmetis	Ši nuotrauka daryta XX a. devintajame dešimtmetyje.
年纪	amžius	Jis nėra labai senas, bet turi daug patirties.
念	skaityti garsiai; mokytis; ilgėtis	Prašau vieną kartą garsiai perskaityti tekstą.
宁可	verčiau; mieliau	Verčiau eisiu pėsčiomis, nei lauksiu autobuso.
牛仔裤	džinsai	Jis dėvi džinsus.
农村	kaimas; kaimo vietovė	Ji užaugo kaime.
农民	ūkininkas; valstietis	Ūkininkai dirba laukuose.
农业	žemės ūkis	Žemės ūkis šiam regionui labai svarbus.
浓	stiprus; tirštas	Ši kava per stipri.
女士	ponia	Ta ponia laukia autobuso.
欧洲	Europa	Kitą mėnesį jis keliaus į Europą.
偶然	atsitiktinai	Atsitiktinai sutikau seną klasės draugą.
拍	fotografuoti; ploti; patapšnoti	Prašau padėti man nufotografuoti.
派	siųsti; paskirti	Įmonė išsiuntė jį į Šanchajų komandiruotės reikalais.
盼望	laukti; tikėtis	Laukiu, kada greitai tave pamatysiu.
培训	mokymai; apmokyti	Nauji darbuotojai turi dalyvauti mokymuose.
培养	ugdyti; lavinti	Mokykla vertina mokinių gebėjimų ugdymą.
赔偿	atlyginti; kompensuoti	Įmonė sutiko atlyginti nuostolius.
佩服	žavėtis	Labai žaviuosi jo drąsa.
配合	bendradarbiauti; derėti	Prašau bendradarbiauti pagal mokytojo nurodymus.
盆	vazonas; dubuo	Balkone yra vazonas gėlių.
碰	liesti; atsitrenkti	Atsargiai, neliesk karšto vandens.
批	partija; kritikuoti	Ši prekių partija atvyko šiandien.
批准	patvirtinti; pritarti	Vadovas patvirtino šį planą.
披	užsimesti; apsigaubti	Ji ant pečių užsimetusi paltą.
疲劳	nuovargis	Ilgas darbas gali varginti.
匹	arklių skaitiklis	Ant žolės yra arklys.
片	gabalėlis; riekė	Prašau duoti man riekę duonos.
片面	vienašališkas	Šis požiūris per daug vienašališkas.
飘	plevėsuoti; sklandyti	Ore sklando snaigės.
拼音	pinyin; kinų romanizacija	Prašau prie kinų rašmenų parašyti pinyin.
频道	kanalas	Prašau perjungti į naujienų kanalą.
凭	remiantis; su	Tu gali įeiti su bilietu.
平均	vidutinis; vidutiniškai	Vidutiniškai kiekvienas žmogus išleido dešimt juanių.
平	lygus; plokščias	Šis kelias labai lygus.
平安	saugus; be nelaimių	Linkiu tau saugios kelionės.
平常	paprastai; įprastas	Paprastai jis retai vėluoja.
平等	lygybė; lygus	Su visais turėtų būti elgiamasi lygiai.
平方	kvadratinis	Šis kambarys yra dvidešimties kvadratinių metrų.
平衡	pusiausvyra	Darbui ir gyvenimui reikia pusiausvyros.
平静	ramus	Ežero paviršius labai ramus.
评价	vertinti; įvertinimas	Mokytojas davė labai aukštą įvertinimą.
破产	bankrutuoti; bankrotas	Ta įmonė pernai bankrutavo.
破坏	gadinti; naikinti	Prašau negadinti viešojo turto.
迫切	skubus; neatidėliotinas	Mums skubiai reikia daugiau gydytojų.
期待	laukti; tikėtis	Labai laukiu šios kelionės.
期间	laikotarpis; metu	Prašau susitikimo metu išjungti telefoną.
其余	likusieji; likusi dalis	Likusieji klausimai bus aptarti rytoj.
奇迹	stebuklas	Gydytojas sakė, kad tai stebuklas.
企业	įmonė	Ši įmonė sparčiai vystosi.
启发	įkvėpti; paskatinti	Ši knyga man suteikė daug įkvėpimo.
气氛	atmosfera	Atmosfera klasėje labai atsipalaidavusi.
汽油	benzinas	Automobiliui reikia benzino.
签	pasirašyti	Prašau čia pasirašyti savo vardą.
谦虚	kuklus	Jis puikus ir kartu labai kuklus.
前途	perspektyva	Ši specialybė turi geras perspektyvas.
浅	seklus; paviršutiniškas	Ši upė labai sekli.
欠	skolingas; trūkti	Jis man dar skolingas dvidešimt juanių.
枪	šautuvas; ginklas	Policininkas laiko ginklą.
墙	siena	Ant sienos kabo paveikslas.
强调	pabrėžti	Mokytojas pabrėžė saugumo klausimus.
强烈	stiprus; intensyvus	Jis turi stiprų atsakomybės jausmą.
抢	griebtis; varžytis	Nesivaržyk su kitais dėl vietų.
悄悄	tyliai; slapta	Ji tyliai įėjo į kambarį.
瞧	žiūrėti	Žiūrėk, lauke sninga.
巧妙	gudrus; sumanus	Šis metodas labai sumanus.
切	pjaustyti	Prašau supjaustyti vaisius mažais gabalėliais.
亲爱	brangus; mielas	Brangus drauge, ačiū.
亲切	malonus; nuoširdus	Mokytojas kalba labai maloniai.
亲自	asmeniškai	Vadovas asmeniškai priėmė svečius.
勤奋	stropus; darbštus	Darbštiems žmonėms lengviau pasisekti.
清淡	lengvas; švelnaus skonio	Man patinka valgyti lengvus patiekalus.
轻视	neįvertinti; niekinti	Nenuvertink šios mažos problemos.
轻易	lengvai; neapgalvotai	Jis lengvai nepasiduos.
青	žalsvai mėlynas	Šis drabužis žalsvai mėlynas.
青春	jaunystė	Jaunystė brangi.
青少年	paauglys	Paaugliams reikia pakankamai miego.
情景	scena; vaizdas	Filmo scena labai jaudinanti.
情绪	nuotaika; emocijos	Jo emocijos nėra labai stabilios.
请求	prašymas; prašyti	Jis pateikė prašymą.
庆祝	švęsti	Šventėme jo gimtadienį.
球迷	sporto aistruolis; sirgalius	Daug sirgalių atėjo žiūrėti rungtynių.
趋势	tendencija	Ši tendencija darosi vis akivaizdesnė.
取消	atšaukti	Renginys buvo atšauktas dėl lietaus.
娶	vesti moterį	Kitais metais jis planuoja ją vesti.
去世	mirti; išeiti iš gyvenimo	Jo senelis mirė pernai.
圈	apskritimas; apibrėžti	Prašau apibrėžti teisingą atsakymą.
全面	visapusiškas; išsamus	Turime visapusiškai suprasti padėtį.
权利	teisė	Kiekvienas turi teisę gauti išsilavinimą.
权力	galia; valdžia	Valdžia turi būti prižiūrima.
劝	patarti; įkalbėti	Draugas patarė man anksčiau ilsėtis.
缺乏	trūkti; stoka	Šiai vietovei trūksta švaraus vandens.
确定	nustatyti; tikras	Vis dar negaliu nustatyti laiko.
确认	patvirtinti	Prašau patvirtinti savo adresą.
群	grupė; būrys	Grupė vaikų žaidžia žaidimų aikštelėje.
燃烧	degti; degimas	Mediena dega.
绕	apeiti; apsukti	Apėjome aplink ežerą vieną kartą.
热爱	labai mylėti; būti atsidavusiam	Jis labai myli savo darbą.
热烈	šiltas; entuziastingas	Visi šiltai sutiko svečius.
热心	entuziastingas; geranoriškas	Kaimynai visi labai geranoriški.
人才	talentas; gabus žmogus	Įmonei reikia daugiau talentingų žmonių.
人口	gyventojai; populiacija	Šis miestas turi daug gyventojų.
人类	žmonija	Žmonija turi saugoti Žemę.
人民币	ženminbi; Kinijos juanis	Išsikeičiau šiek tiek Kinijos juanių.
人生	gyvenimas	Gyvenime yra daug pasirinkimų.
人事	žmogiškieji ištekliai; personalas	Ji dirba žmogiškųjų išteklių skyriuje.
人物	veikėjas; asmuo	Romano veikėjai atrodo labai tikri.
人员	darbuotojai; personalas	Visi darbuotojai jau atvyko.
忍不住	negalėti susilaikyti	Išgirdęs pokštą jis negalėjo susilaikyti nesijuokęs.
日常	kasdienis	Tai mano kasdienis darbas.
日程	darbotvarkė; tvarkaraštis	Šiandienos darbotvarkė labai pilna.
日历	kalendorius	Ant sienos kabo kalendorius.
日期	data	Prašau aiškiai parašyti datą.
日用品	kasdienės prekės	Prekybos centre parduodama daug kasdienių prekių.
日子	dienos; gyvenimo laikas	Pastarosiomis dienomis jis labai užsiėmęs.
如何	kaip	Kaip turėtume išspręsti šią problemą?
如今	šiandien; dabar	Šiandien transportas daug patogesnis.
软	minkštas; lankstus	Ši lova labai minkšta.
软件	programinė įranga	Šia programine įranga lengva naudotis.
弱	silpnas	Jo kūnas gana silpnas.
洒	išlieti; išbarstyti	Jis netyčia išliejo vandenį.
嗓子	gerklė; balsas	Man šiek tiek skauda gerklę.
色彩	spalvos	Šiame paveiksle gausu spalvų.
杀	žudyti	Šiame filme nėra žmogžudystės scenų.
沙漠	dykuma	Dykumoje vanduo labai brangus.
沙滩	paplūdimys	Vaikai žaidžia paplūdimyje.
傻	kvailas	Nedaryk kvailų dalykų.
晒	džiovinti saulėje; degintis	Drabužiai džiūsta saulėje balkone.
删除	ištrinti	Prašau ištrinti šį el. laišką.
闪电	žaibas	Naktį pasirodė žaibas.
善良	geras; geraširdis	Ji geraširdė.
善于	mokėti; gerai sugebėti	Jis gerai moka spręsti problemas.
扇子	vėduoklė	Vasarą dažnai naudoju vėduoklę.
伤害	sužeisti; įskaudinti	Neįskaudink kitų žmonių jausmų.
商品	prekės	Šioje parduotuvėje daug prekių.
商务	verslo; komercinis	Rytoj jis dalyvaus verslo susitikime.
商业	verslas; prekyba	Šioje vietovėje verslas gerai išvystytas.
上当	būti apgautam	Jis vos nebuvo apgautas.
蛇	gyvatė	Žolėje yra gyvatė.
舍不得	nenorėti skirtis; gailėti	Man sunku palikti šią vietą.
射击	šaudyti; šaudymas	Jis treniruojasi šaudyti.
摄影	fotografija; fotografuoti	Ji labai domisi fotografija.
设备	įranga	Laboratorijos įranga labai pažangi.
设计	dizainas; projektuoti	Šis dizainas labai kūrybiškas.
设施	įrenginiai; infrastruktūra	Mokyklos sporto įranga gera.
伸	ištiesti	Prašau ištiesti ranką.
深刻	gilus; įsimintinas	Ši patirtis man paliko gilų įspūdį.
身材	kūno sudėjimas	Jos kūno sudėjimas sveikas.
身份	tapatybė; statusas	Prašau parodyti tapatybės dokumentą.
神话	mitas; mitologija	Vaikai mėgsta klausytis mitų.
神秘	paslaptingas	Šis senovinis miestas labai paslaptingas.
升	pakilti; litras	Naftos kaina už litrą šiek tiek pakilo.
声调	tonas; kinų kalbos tonas	Kinų kalboje yra keturi pagrindiniai tonai.
生产	gaminti	Ši gamykla gamina mobiliuosius telefonus.
生动	gyvas; vaizdingas	Mokytojas aiškina labai vaizdingai.
生长	augti	Šis augalas auga greitai.
绳子	virvė	Prašau pririšti dėžę virve.
省略	praleisti; praleidimas	Čia galima praleisti vieną rašmenį.
胜利	pergalė	Galiausiai jie pasiekė pergalę.
失眠	nemiga	Pastaruoju metu jį dažnai kamuoja nemiga.
失去	prarasti	Neprarask pasitikėjimo.
失业	nedarbas; netekti darbo	Netekęs darbo jis pradėjo mokytis naujų įgūdžių.
湿润	drėgnas	Po lietaus oras labai drėgnas.
狮子	liūtas	Zoologijos sode yra du liūtai.
诗	eilėraštis; poezija	Jis parašė eilėraštį.
实话	tiesa	Prašau sakyti tiesą.
实践	praktika; taikyti praktikoje	Teoriją reikia patikrinti praktikoje.
实习	atlikti praktiką	Vasaros atostogų metu ji atliks praktiką ligoninėje.
实现	įgyvendinti; pasiekti	Galiausiai jis įgyvendino savo svajonę.
实验	eksperimentas; bandymas	Studentai atlieka eksperimentą.
实用	praktiškas	Šis įrankis labai praktiškas.
时差	laiko skirtumas	Jis dar neprisitaikė prie laiko skirtumo.
时代	amžius; epocha	Gyvename informacijos amžiuje.
时刻	akimirka; visada	Prašau prisiminti šią svarbią akimirką.
时髦	madingas	Šis drabužis labai madingas.
时期	laikotarpis	Universiteto laikotarpis jam turėjo didelę įtaką.
时尚	mada	Ji labai domisi mada.
石头	akmuo	Prie kelio yra akmuo.
食物	maistas	Prašau įdėti maistą į šaldytuvą.
使劲儿	panaudoti jėgą	Norint atidaryti šį butelį reikia panaudoti šiek tiek jėgos.
始终	visada; nuo pradžios iki galo	Jis visada tikėjo, kad gali pasisekti.
事实	faktas	Faktai įrodo, kad jis buvo teisus.
事物	daiktas; reiškinys	Vaikai labai smalsūs naujiems dalykams.
事先	iš anksto	Prašau iš anksto pasakyti man laiką.
似的	tarsi; lyg	Atrodė, kad jis toks pavargęs, jog nenorėjo pasakyti nė žodžio.
士兵	kareivis	Kareiviai treniruojasi.
市场	rinka; turgus	Šis turgus labai gyvas.
试卷	egzamino lapas; testas	Mokytojas taiso egzamino darbus.
收获	derlius; laimėjimas	Iš šios kelionės daug gavau.
收据	kvitas	Po apmokėjimo prašau pasilikti kvitą.
手工	rankų darbas	Ši dovana pagaminta rankomis.
手术	operacija	Gydytojas rytoj jį operuos.
手套	pirštinės	Žiemą eidamas į lauką mūvėk pirštines.
手续	formalumai; procedūros	Procedūroms tvarkyti reikia asmens tapatybės kortelės.
手指	pirštas	Jo pirštas sužeistas.
首	dainos skaitiklis; pirmas	Ji padainavo dainą.
受伤	susižeisti; būti sužeistam	Jis susižeidė per rungtynes.
寿命	gyvavimo trukmė; tarnavimo laikas	Šios rūšies mašina turi ilgą tarnavimo laiką.
书架	knygų lentyna	Knygų lentyna pilna knygų.
梳子	šukos	Ji šukuoja plaukus šukomis.
舒适	patogus; komfortiškas	Šis kambarys labai patogus.
蔬菜	daržovės	Valgyti daugiau daržovių naudinga sveikatai.
输入	įvesti	Prašau įvesti slaptažodį į kompiuterį.
熟练	įgudęs; meistriškai	Jis įgudęs naudotis kompiuteriu.
属于	priklausyti	Ši knyga priklauso bibliotekai.
数	skaičiuoti; skaičius	Prašau suskaičiuoti, kiek yra žmonių.
鼠标	pelė; kompiuterio pelė	Mano kompiuterio pelė sugedo.
数据	duomenys	Šie duomenys labai svarbūs.
