hsk_key	source_word	simplified	HI	example_HI	BN	example_BN	TL	example_TL
2298:独自	独自	独自	अकेले	उसने यह काम अकेले पूरा किया।	একাই	সে কাজটি একাই শেষ করেছে।	mag-isa	Tinapos niya ang gawaing ito nang mag-isa.
2299:堵	堵	堵	जाम होना; रोकना	सुबह के व्यस्त समय में यह सड़क अक्सर जाम हो जाती है।	জ্যাম হওয়া; আটকানো	সকালের ভিড়ের সময় এই রাস্তা প্রায়ই জ্যাম হয়।	maharangan; maipit sa trapiko	Madalas maipit sa trapiko ang kalsadang ito sa oras ng rush hour sa umaga.
2300:度	度	度	डिग्री; माप शब्द	आज तापमान केवल दस डिग्री है।	ডিগ্রি; পরিমাপক শব্দ	আজ তাপমাত্রা মাত্র দশ ডিগ্রি।	degree; pantukoy	Sampung degree lang ang temperatura ngayon.
2301:短处	短处	短处	कमज़ोरी; कमी	हर व्यक्ति की अपनी खूबियां और कमज़ोरियां होती हैं।	দুর্বলতা; ত্রুটি	প্রত্যেকেরই নিজের শক্তি আর দুর্বলতা আছে।	kahinaan	May sariling kalakasan at kahinaan ang bawat tao.
2302:短期	短期	短期	अल्पकालिक	अल्पकालिक योजना सरल और स्पष्ट होनी चाहिए।	স্বল্পমেয়াদি	স্বল্পমেয়াদি পরিকল্পনা সহজ ও স্পষ্ট হওয়া উচিত।	panandalian	Dapat simple at malinaw ang panandaliang plano.
2312:躲	躲	躲	छिपना; बचना	बच्चा दरवाज़े के पीछे छिपकर हंस रहा था।	লুকানো; এড়ানো	শিশুটি দরজার পেছনে লুকিয়ে হাসছিল।	magtago	Nagtago sa likod ng pinto ang bata habang tumatawa.
2313:儿女	儿女	儿女	बेटे-बेटियां; संतान	बुज़ुर्ग चाहते हैं कि बच्चे अक्सर घर आकर मिलें।	সন্তান; ছেলে-মেয়ে	বৃদ্ধ মানুষটি চান সন্তানরা প্রায়ই বাড়ি ফিরে আসুক।	mga anak	Inaasahan ng matanda na madalas umuwi ang kanyang mga anak.
2314:二手	二手	二手	सेकंड-हैंड; इस्तेमाल किया हुआ	यह एक इस्तेमाल की हुई साइकिल है।	সেকেন্ড-হ্যান্ড; ব্যবহৃত	এটি একটি ব্যবহৃত সাইকেল।	gamit na; segunda mano	Gamit na bisikleta ito.
2315:二维码	二维码	二维码	क्यूआर कोड	कृपया मेज़ पर रखे क्यूआर कोड को स्कैन करके खाना ऑर्डर करें।	কিউআর কোড	দয়া করে টেবিলের কিউআর কোড স্ক্যান করে খাবার অর্ডার করুন।	kodigo QR	Paki-scan ang kodigo QR sa mesa para umorder ng pagkain.
2321:发起	发起	发起	शुरू करना; आरंभ करना	उन्होंने एक पर्यावरण संरक्षण गतिविधि शुरू की।	শুরু করা; উদ্যোগ নেওয়া	তারা একটি পরিবেশ রক্ষা কার্যক্রম শুরু করেছে।	magsimula; maglunsad	Naglunsad sila ng isang gawaing pangkalikasan.
2323:发音	发音	发音	उच्चारण करना; उच्चारण	उसका चीनी उच्चारण और साफ़ होता जा रहा है।	উচ্চারণ করা; উচ্চারণ	তার চীনা উচ্চারণ ক্রমে আরও পরিষ্কার হচ্ছে।	bigkasin; bigkas	Paunti-unting lumilinaw ang bigkas niya ng Tsino.
2324:罚	罚	罚	दंड देना; जुर्माना करना	चालक को तेज़ गति के कारण दो सौ युआन जुर्माना हुआ।	শাস্তি দেওয়া; জরিমানা করা	গতিসীমা ছাড়ানোর কারণে চালককে দুইশো ইউয়ান জরিমানা করা হয়েছে।	multahan; parusahan	Minultahan ng dalawang daang yuan ang drayber dahil sa pagmamabilis.
2328:番茄	番茄	番茄	टमाटर	मुझे टमाटर से सूप बनाना पसंद है।	টমেটো	আমি টমেটো দিয়ে স্যুপ বানাতে পছন্দ করি।	kamatis	Mahilig akong gumawa ng sopas gamit ang kamatis.
2330:反	反	反	उल्टा; विरोध में	वह उल्टी दिशा में चला, इसलिए दरवाज़ा नहीं मिला।	উল্টো; বিরোধী	সে উল্টো দিকে হাঁটছিল, তাই দরজা খুঁজে পেল না।	kabaligtaran; laban sa	Kabaligtaran ang direksiyong nilakaran niya, kaya hindi niya nahanap ang pinto.
2333:返回	返回	返回	वापस लौटना	पर्यटक दोपहर में होटल लौटकर आराम करेंगे।	ফিরে আসা	পর্যটকেরা বিকেলে হোটেলে ফিরে বিশ্রাম নেবেন।	bumalik	Babalik ang mga turista sa hotel sa hapon para magpahinga.
2340:防	防	防	बचाव करना; रोकना	गर्मी में धूप से बचाव पर ध्यान देना चाहिए।	রোধ করা; সাবধান থাকা	গ্রীষ্মে রোদ থেকে বাঁচার দিকে খেয়াল রাখতে হয়।	iwasan; pigilan	Sa tag-init, dapat mag-ingat upang maiwasan ang araw.
2341:房屋	房屋	房屋	मकान; इमारत	मूसलाधार बारिश के बाद कुछ मकानों की मरम्मत करनी होगी।	বাড়িঘর	মুষলধারে বৃষ্টির পর কিছু বাড়িঘর মেরামত করতে হবে।	bahay; gusali	Pagkatapos ng malakas na ulan, kailangang ayusin ang ilang bahay.
2345:飞行	飞行	飞行	उड़ान	इस उड़ान में लगभग दो घंटे लगेंगे।	উড়ান	এই উড়ানে প্রায় দুই ঘণ্টা লাগবে।	paglipad	Tatagal nang halos dalawang oras ang paglipad na ito.
2346:飞行员	飞行员	飞行员	पायलट	उसका सपना पायलट बनना है।	পাইলট	তার স্বপ্ন পাইলট হওয়া।	piloto	Pangarap niyang maging piloto.
2347:非洲	非洲	非洲	अफ्रीका	वह अफ्रीका के जंगली जानवरों पर शोध कर रही है।	আফ্রিকা	সে আফ্রিকার বন্যপ্রাণী নিয়ে গবেষণা করছে।	Aprika	Nagsasaliksik siya tungkol sa mababangis na hayop sa Aprika.
2351:分类	分类	分类	वर्गीकृत करना; छांटना	पुस्तकालय किताबों को विषय के अनुसार वर्गीकृत करता है।	শ্রেণিবিন্যাস করা	গ্রন্থাগার বইগুলো বিষয় অনুযায়ী শ্রেণিবিন্যাস করে।	uriin	Inuuri ng aklatan ang mga aklat ayon sa paksa.
2352:分离	分离	分离	अलग करना	मशीन पानी और तेल को अलग कर सकती है।	আলাদা করা	যন্ত্রটি পানি আর তেল আলাদা করতে পারে।	paghiwalayin	Kayang paghiwalayin ng makina ang tubig at langis.
2356:分享	分享	分享	साझा करना	वह दोस्तों के साथ अपना अनुभव साझा करना चाहती है।	ভাগ করে নেওয়া	সে বন্ধুদের সঙ্গে অভিজ্ঞতা ভাগ করে নিতে চায়।	ibahagi	Handa siyang ibahagi ang karanasan sa mga kaibigan.
2358:丰富多彩	丰富多彩	丰富多彩	समृद्ध और रंग-बिरंगा	विश्वविद्यालय जीवन समृद्ध और रंग-बिरंगा होता है।	সমৃদ্ধ ও বৈচিত্র্যময়	বিশ্ববিদ্যালয় জীবন সমৃদ্ধ ও বৈচিত্র্যময়।	mayaman at makulay	Mayaman at makulay ang buhay sa unibersidad.
2367:福	福	福	सौभाग्य; आशीर्वाद	वसंत त्योहार पर लोग सौभाग्य का अक्षर चिपकाना पसंद करते हैं।	সৌভাগ্য; আশীর্বাদ	বসন্ত উৎসবে মানুষ সৌভাগ্যের অক্ষর লাগাতে ভালোবাসে।	suwerte; pagpapala	Tuwing Spring Festival, mahilig ang mga tao na magdikit ng titik ng suwerte.
2371:付出	付出	付出	मेहनत लगाना; देना	सफलता के लिए लंबे समय तक मेहनत लगानी पड़ती है।	পরিশ্রম দেওয়া; উৎসর্গ করা	সাফল্যের জন্য দীর্ঘদিন পরিশ্রম দিতে হয়।	maglaan; magsakripisyo	Kailangan ng matagal na pagsisikap upang magtagumpay.
2374:富有	富有	富有	समृद्ध; भरा हुआ	यह लेख भावनाओं से भरा हुआ है।	সমৃদ্ধ; ভরপুর	এই লেখাটি অনুভূতিতে ভরপুর।	mayaman sa; sagana sa	Mayaman sa damdamin ang artikulong ito.
2379:改天	改天	改天	किसी और दिन	आज बहुत व्यस्त हूं, किसी और दिन मिलते हैं।	আরেক দিন	আজ খুব ব্যস্ত, আমরা আরেক দিন দেখা করি।	ibang araw	Abala ako ngayon; magkita tayo sa ibang araw.
2384:敢于	敢于	敢于	हिम्मत करना	वह अपनी राय कहने की हिम्मत रखता है।	সাহস করা	সে নিজের মত বলার সাহস রাখে।	maglakas-loob	Naglakas-loob siyang sabihin ang sariling opinyon.
2385:刚好	刚好	刚好	ठीक उसी समय; बिल्कुल सही	मैं स्टेशन पहुंचा तो गाड़ी ठीक उसी समय आ गई।	ঠিক তখনই; একদম ঠিক	আমি স্টেশনে পৌঁছাতেই গাড়ি ঠিক তখনই এসে গেল।	sakto	Pagdating ko sa istasyon, sakto ring dumating ang sasakyan.
2386:高大	高大	高大	ऊंचा और बड़ा	दरवाज़े पर दो ऊंचे बड़े पेड़ हैं।	লম্বা ও বড়	দরজার সামনে দুটি লম্বা বড় গাছ আছে।	mataas at malaki	May dalawang mataas at malaking puno sa may pasukan.
2388:高度	高度	高度	ऊंचाई; उच्च स्तर	इस इमारत की ऊंचाई सौ मीटर से अधिक है।	উচ্চতা; উচ্চ মাত্রা	এই ভবনের উচ্চতা একশো মিটারের বেশি।	taas	Lampas isang daang metro ang taas ng gusaling ito.
2390:高科技	高科技	高科技	उच्च तकनीक	उच्च तकनीक वाले उत्पाद जीवन को और सुविधाजनक बनाते हैं।	উচ্চ প্রযুক্তি	উচ্চ প্রযুক্তির পণ্য জীবনকে আরও সুবিধাজনক করে।	mataas na teknolohiya	Ginagawang mas maginhawa ng mataas na teknolohiya ang buhay.
2391:高效	高效	高效	कुशल; अधिक प्रभावी	यह तरीका सरल भी है और बहुत प्रभावी भी।	দক্ষ; কার্যকর	এই পদ্ধতি সহজ এবং কার্যকর।	episyente	Simple at episyente ang paraang ito.
2394:歌词	歌词	歌词	गीत के बोल	मुझे इस गाने के बोल बहुत पसंद हैं।	গানের কথা	এই গানের কথা আমার খুব ভালো লাগে।	titik ng awit	Gustong-gusto ko ang mga titik ng awit na ito.
2395:歌曲	歌曲	歌曲	गीत	यह गीत इंटरनेट पर बहुत लोकप्रिय है।	গান	এই গানটি অনলাইনে খুব জনপ্রিয়।	awit	Sikat na sikat online ang awit na ito.
2396:隔	隔	隔	अलग करना; बीच में होना	मेरे घर और स्कूल के बीच एक नदी है।	আলাদা করা; মাঝখানে থাকা	আমার বাড়ি আর স্কুলের মাঝখানে একটি নদী আছে।	nasa pagitan; maghiwalay	May ilog sa pagitan ng bahay ko at paaralan.
2399:各行各业	各行各业	各行各业	हर पेशा और क्षेत्र	हर पेशे में गंभीर और ज़िम्मेदार लोगों की ज़रूरत होती है।	সব পেশা ও ক্ষেত্র	সব পেশাতেই দায়িত্বশীল মানুষের দরকার।	iba't ibang propesyon	Kailangan ng seryoso at responsable na tao sa iba't ibang propesyon.
2405:更换	更换	更换	बदलना	एयर कंडीशनर का फ़िल्टर नियमित रूप से बदलना चाहिए।	বদলানো	এয়ার কন্ডিশনারের ফিল্টার নিয়মিত বদলাতে হয়।	palitan	Kailangang palitan nang regular ang filter ng aircon.
2408:工程	工程	工程	परियोजना; इंजीनियरिंग काम	यह परियोजना अगले साल पूरी होने की योजना है।	প্রকল্প; প্রকৌশল কাজ	এই প্রকল্প আগামী বছর শেষ করার পরিকল্পনা আছে।	proyekto; inhinyeriya	Planong matapos ang proyektong ito sa susunod na taon.
2413:公务员	公务员	公务员	सरकारी कर्मचारी	स्नातक होने के बाद उसने सरकारी कर्मचारी की परीक्षा पास की।	সরকারি কর্মচারী	স্নাতক হওয়ার পর সে সরকারি কর্মচারীর পরীক্ষায় উত্তীর্ণ হয়েছে।	kawani ng gobyerno	Pagkatapos niyang magtapos, nakapasa siya bilang kawani ng gobyerno.
2416:工艺	工艺	工艺	कला-कौशल; तकनीक	यह पारंपरिक कला-कौशल कई वर्षों से चला आ रहा है।	কারুশিল্প; কৌশল	এই ঐতিহ্যবাহী কারুশিল্প বহু বছর ধরে চলে আসছে।	likhang-sining; pamamaraan	Maraming taon nang naipapasa ang tradisyonal na pamamaraang ito.
2419:共享	共享	共享	साझा करना	इस शहर में बहुत सी साझा साइकिलें हैं।	ভাগাভাগি করে ব্যবহার করা	এই শহরে অনেক ভাগাভাগি সাইকেল আছে।	pagbabahagi	Maraming bisikletang pinaghahatian sa lungsod na ito.
2422:古	古	古	प्राचीन; पुराना	इस पुल ने प्राचीन समय का रूप बचाए रखा है।	প্রাচীন; পুরোনো	এই সেতুটি প্রাচীন সময়ের রূপ ধরে রেখেছে।	sinauna; luma	Napanatili ng tulay na ito ang anyo noong sinaunang panahon.
2423:鼓	鼓	鼓	ढोल	बच्चों ने ढोल की आवाज़ सुनी और दौड़कर आ गए।	ঢাক; ড্রাম	শিশুরা ঢাকের শব্দ শুনে দৌড়ে এল।	tambol	Nang marinig ng mga bata ang tunog ng tambol, tumakbo sila palapit.
2425:古老	古老	古老	प्राचीन	यह प्राचीन शहर बहुत से पर्यटकों को आकर्षित करता है।	প্রাচীন	এই প্রাচীন শহর অনেক পর্যটককে আকর্ষণ করে।	sinauna	Maraming turista ang naaakit sa sinaunang lungsod na ito.
2430:怪	怪	怪	अजीब; दोष देना	आज का मौसम थोड़ा अजीब है।	অদ্ভুত; দোষ দেওয়া	আজকের আবহাওয়া একটু অদ্ভুত।	kakaiba; sisihin	Medyo kakaiba ang panahon ngayon.
2438:光线	光线	光线	रोशनी; प्रकाश	कमरे की रोशनी बहुत मंद है, पढ़ने के लिए ठीक नहीं।	আলো; আলোকরশ্মি	ঘরের আলো খুব কম, পড়ার জন্য উপযুক্ত নয়।	liwanag	Masyadong madilim ang liwanag sa kuwarto, hindi bagay sa pagbabasa.
2439:广	广	广	विस्तृत; व्यापक	उसकी रुचियां बहुत व्यापक हैं।	প্রশস্ত; বিস্তৃত	তার আগ্রহ খুব বিস্তৃত।	malawak	Malawak ang kanyang mga interes.
2446:贵姓	贵姓	贵姓	आपका उपनाम क्या है	कृपया बताइए, आपका उपनाम क्या है?	আপনার পদবি কী	মাফ করবেন, আপনার পদবি কী?	ano po ang apelyido ninyo	Maaari ko po bang malaman ang apelyido ninyo?
2447:柜子	柜子	柜子	अलमारी; कैबिनेट	सारे दस्तावेज़ अलमारी में रखे हैं।	আলমারি; ক্যাবিনেট	সব নথি আলমারিতে রাখা আছে।	kabinet; aparador	Nasa kabinet ang lahat ng dokumento.
2450:国画	国画	国画	पारंपरिक चीनी चित्रकला	दादाजी को पारंपरिक चीनी चित्र बनाना पसंद है।	ঐতিহ্যবাহী চীনা চিত্রকলা	দাদু ঐতিহ্যবাহী চীনা ছবি আঁকতে ভালোবাসেন।	tradisyonal na pagpipintang Tsino	Mahilig si Lolo sa tradisyonal na pagpipintang Tsino.
2451:国庆	国庆	国庆	राष्ट्रीय दिवस	राष्ट्रीय दिवस की छुट्टी में हम हांगझोउ गए।	জাতীয় দিবস	জাতীয় দিবসের ছুটিতে আমরা হাংঝৌ গিয়েছিলাম।	pambansang araw	Nagpunta kami sa Hangzhou noong bakasyon ng Pambansang Araw.
2461:海外	海外	海外	विदेश; समुद्र पार	इस कंपनी के विदेशों में बहुत से ग्राहक हैं।	বিদেশ; সমুদ্রপারের	এই কোম্পানির বিদেশে অনেক গ্রাহক আছে।	ibang bansa	Maraming kliyente sa ibang bansa ang kompanyang ito.
2463:含	含	含	शामिल होना; मुंह में रखना	इस बोतल वाले पेय में चीनी की मात्रा बहुत अधिक है।	থাকা; মুখে ধরে রাখা	এই বোতলের পানীয়তে চিনির পরিমাণ খুব বেশি।	maglaman	Mataas ang taglay na asukal ng inuming ito.
2464:含量	含量	含量	मात्रा; सामग्री का अनुपात	इस फल में विटामिन की मात्रा बहुत अधिक है।	উপাদানের পরিমাণ	এই ফলে ভিটামিনের পরিমাণ খুব বেশি।	nilalaman; dami ng sangkap	Mataas ang nilalamang bitamina ng prutas na ito.
2465:含有	含有	含有	समाहित करना	दूध में भरपूर पोषण होता है।	থাকা; ধারণ করা	দুধে প্রচুর পুষ্টি থাকে।	magtaglay	Nagtataglay ng maraming sustansiya ang gatas.
2466:汗水	汗水	汗水	पसीना	खिलाड़ी के पसीने से कपड़े भीग गए।	ঘাম	ক্রীড়াবিদের ঘামে কাপড় ভিজে গেছে।	pawis	Basang-basa ng pawis ang damit ng atleta.
2467:行	行	行	पेशा; क्षेत्र	वह खान-पान के क्षेत्र में दस साल से काम कर रहा है।	পেশা; ক্ষেত্র	সে খাবার-দাবারের এই পেশায় দশ বছর কাজ করেছে।	larangan; propesyon	Sampung taon na siyang nagtatrabaho sa larangan ng pagkain at inumin.
2469:好评	好评	好评	अच्छी समीक्षा; प्रशंसा	इस रेस्टोरेंट को बहुत सी अच्छी समीक्षाएं मिलीं।	ভালো রিভিউ; প্রশংসা	এই রেস্তোরাঁ অনেক ভালো রিভিউ পেয়েছে।	magandang pagsusuri	Maraming magandang pagsusuri ang natanggap ng restawrang ito.
2470:好运	好运	好运	सौभाग्य	परीक्षा में तुम्हें शुभकामनाएं और सौभाग्य।	সৌভাগ্য	পরীক্ষায় তোমার সৌভাগ্য কামনা করি।	suwerte	Suwertehin ka sana sa pagsusulit.
2471:好转	好转	好转	सुधरना	इलाज के बाद उसकी बीमारी की हालत सुधरने लगी।	উন্নতি হওয়া	চিকিৎসার পর তার রোগের অবস্থা উন্নতি হতে শুরু করল।	bumuti	Pagkatapos ng paggamot, nagsimulang bumuti ang kalagayan ng kanyang sakit.
2474:合	合	合	बंद करना; मिलना; फिट होना	कृपया किताब बंद कर दें और मेरी बात सुनें।	বন্ধ করা; মেলানো; মানানসই হওয়া	দয়া করে বই বন্ধ করে আমার কথা শুনুন।	isara; bumagay	Pakisarado ang aklat at makinig sa akin.
2476:盒饭	盒饭	盒饭	डिब्बाबंद भोजन	दोपहर में हमने स्टेशन पर डिब्बाबंद भोजन खरीदा।	বক্সে রাখা খাবার	দুপুরে আমরা স্টেশনে বক্সে রাখা খাবার কিনেছি।	baong pagkain sa kahon	Tanghali, bumili kami ng pagkaing nasa kahon sa istasyon.
2478:河流	河流	河流	नदी	यह नदी तीन शहरों से होकर गुजरती है।	নদী	এই নদী তিনটি শহরের মধ্য দিয়ে গেছে।	ilog	Dumaraan ang ilog na ito sa tatlong lungsod.
2485:厚度	厚度	厚度	मोटाई	इस कांच की मोटाई पांच मिलीमीटर है।	পুরুত্ব	এই কাচের পুরুত্ব পাঁচ মিলিমিটার।	kapal	Limang milimetro ang kapal ng salaming ito.
2489:湖	湖	湖	झील	झील के किनारे बहुत से लोग टहल रहे हैं।	হ্রদ	হ্রদের ধারে অনেক মানুষ হাঁটছে।	lawa	Maraming taong naglalakad sa tabi ng lawa.
2492:互动	互动	互动	आपसी क्रिया; संवाद	कक्षा में संवाद छात्रों को और सक्रिय बनाता है।	পারস্পরিক যোগাযোগ	ক্লাসের পারস্পরিক যোগাযোগ ছাত্রদের আরও সক্রিয় করে।	interaksiyon	Ginagawang mas aktibo ang mga estudyante ng interaksiyon sa klase.
2493:户外	户外	户外	बाहरी; खुले में	सप्ताहांत में हम बाहर पहाड़ चढ़ने जाएंगे।	বাইরের; খোলা জায়গায়	সপ্তাহান্তে আমরা বাইরে পাহাড়ে উঠতে যাব।	panlabas; sa labas	Sa katapusan ng linggo, aakyat kami ng bundok sa labas.
2494:花费	花费	花费	खर्च करना; लागत आना	इस गाड़ी की मरम्मत में काफ़ी पैसा खर्च हुआ।	খরচ করা; খরচ হওয়া	এই গাড়ি মেরামতে বেশ টাকা খরচ হয়েছে।	gumastos; gastusin	Malaki ang nagastos sa pag-aayos ng sasakyang ito.
2497:化	化	化	पिघलना; बदलना	बर्फ धूप में धीरे-धीरे पिघल गई।	গলা; রূপান্তর হওয়া	বরফ রোদে ধীরে ধীরে গলে গেল।	matunaw; magbago	Dahan-dahang natunaw ang yelo sa ilalim ng araw.
2498:话费	话费	话费	फोन खर्च; कॉल बैलेंस	इस महीने मेरा फोन खर्च थोड़ा ज़्यादा है।	ফোন বিল; কল খরচ	এই মাসে আমার ফোন বিল একটু বেশি।	bayad sa telepono	Medyo mataas ang bayad ko sa telepono ngayong buwan.
2499:画面	画面	画面	दृश्य; स्क्रीन चित्र	फिल्म का यह दृश्य बहुत भावुक कर देने वाला है।	দৃশ্য; পর্দার ছবি	চলচ্চিত্রের এই দৃশ্যটি খুব হৃদয়স্পর্শী।	larawan; eksena	Nakaaantig ang eksenang ito sa pelikula.
2504:缓慢	缓慢	缓慢	धीमा	बुज़ुर्ग व्यक्ति अपेक्षाकृत धीरे चलते हैं।	ধীর	বৃদ্ধ মানুষটি তুলনামূলক ধীরে হাঁটেন।	mabagal	Medyo mabagal maglakad ang matanda.
2505:黄瓜	黄瓜	黄瓜	खीरा	ठंडा खीरा सलाद बहुत ताज़गी भरा छोटा व्यंजन है।	শসা	ঠান্ডা শসার সালাদ খুব সতেজ ছোট খাবার।	pipino	Nakapagpapresko ang ensaladang pipino.
2510:灰色	灰色	灰色	स्लेटी रंग	उसने स्लेटी रंग का कोट पहना है।	ধূসর	সে একটি ধূসর কোট পরেছে।	kulay abo	Nakasuot siya ng kulay abong amerikana.
2514:伙	伙	伙	टोली; समूह	युवकों की एक टोली दरवाज़े पर बातें कर रही है।	দল; গোষ্ঠী	কয়েকজন তরুণের একটি দল দরজার সামনে কথা বলছে।	grupo	May isang grupo ng kabataan na nag-uusap sa may pinto.
2516:火锅	火锅	火锅	हॉट पॉट; उबलते बर्तन का खाना	सर्दियों में हॉट पॉट खाना बहुत आरामदायक लगता है।	হট পট	শীতে হট পট খেতে খুব আরাম লাগে।	lutuing hot pot	Masarap kumain ng lutuing hot pot sa taglamig.
2517:或是	或是	或是	या	तुम मेट्रो ले सकते हो या टैक्सी से जा सकते हो।	অথবা	তুমি মেট্রোতে যেতে পারো, অথবা ট্যাক্সি নিতে পারো।	o	Maaari kang sumakay ng subway o mag-taxi.
2518:货物	货物	货物	माल; सामान	गोदाम माल से भरा हुआ है।	মালপত্র; পণ্য	গুদাম পণ্য দিয়ে ভর্তি।	kalakal; kargamento	Puno ng kalakal ang bodega.
2523:机器人	机器人	机器人	रोबोट	यह रोबोट लोगों को खाना पहुंचाने में मदद कर सकता है।	রোবট	এই রোবট মানুষকে খাবার পৌঁছে দিতে পারে।	robot; makinang tumutulong	Kayang tumulong ng robot na ito sa paghahatid ng pagkain.
2525:及	及	及	और; तथा	बैठक में सुरक्षा और सेवा के मुद्दों पर चर्चा हुई।	ও; এবং	সভায় নিরাপত্তা ও সেবার বিষয় আলোচনা হয়েছে।	at	Tinalakay sa pulong ang kaligtasan at serbisyo.
2526:级	级	级	स्तर; कक्षा	वह अब मध्यम स्तर की चीनी जानता है।	স্তর; শ্রেণি	তার এখন মধ্যম স্তরের চীনা দক্ষতা।	antas	Nasa katamtamang antas na siya sa wikang Tsino.
2527:集	集	集	कड़ी; संग्रह	इस डॉक्यूमेंट्री की कुल छह कड़ियां हैं।	পর্ব; সংগ্রহ	এই প্রামাণ্যচিত্রের মোট ছয়টি পর্ব আছে।	yugto; episode	May kabuuang anim na yugto ang dokumentaryong ito.
2535:急需	急需	急需	तुरंत ज़रूरत होना	आपदा क्षेत्र में भोजन और दवाओं की तुरंत ज़रूरत है।	জরুরি প্রয়োজন হওয়া	দুর্যোগ এলাকায় খাবার ও ওষুধের জরুরি প্রয়োজন।	agarang kailangan	Agarang kailangan ng pagkain at gamot sa lugar ng sakuna.
2538:挤	挤	挤	दबना; भीड़ होना	मेट्रो में लोग बहुत ज़्यादा थे, सब एक साथ दब गए।	ঠাসাঠাসি হওয়া; চেপে ধরা	মেট্রোতে মানুষ খুব বেশি ছিল, সবাই ঠাসাঠাসি করছিল।	magsiksikan	Masyadong maraming tao sa tren, kaya nagsiksikan ang lahat.
2539:系	系	系	बांधना; कसना	घर से निकलने से पहले जूते के फीते अच्छी तरह बांध लें।	বাঁধা; গিঁট দেওয়া	বেরোনোর আগে জুতোর ফিতা ভালো করে বাঁধুন।	itali	Bago lumabas, itali nang mabuti ang sintas ng sapatos.
2543:纪录片	纪录片	纪录片	डॉक्यूमेंट्री फिल्म	यह डॉक्यूमेंट्री फिल्म चीनी चाय संस्कृति का परिचय देती है।	প্রামাণ্যচিত্র	এই প্রামাণ্যচিত্রে চীনা চা সংস্কৃতি পরিচয় করানো হয়েছে।	dokumentaryo	Ipinakikilala ng dokumentaryong ito ang kulturang Tsino ng tsaa.
2544:技能	技能	技能	कौशल	नया कौशल सीखने में समय लगता है।	দক্ষতা	নতুন দক্ষতা শিখতে সময় লাগে।	kasanayan	Kailangan ng panahon upang matuto ng bagong kasanayan.
2546:纪念日	纪念日	纪念日	स्मृति दिवस; सालगिरह	आज उनकी शादी की दसवीं सालगिरह है।	বার্ষিকী; স্মরণদিন	আজ তাদের বিয়ের দশম বার্ষিকী।	anibersaryo	Ikasampung anibersaryo ng kasal nila ngayon.
2548:计算机	计算机	计算机	कंप्यूटर	स्कूल ने हाल ही में कंप्यूटरों का एक नया जत्था खरीदा।	কম্পিউটার	স্কুল নতুন করে অনেকগুলো কম্পিউটার কিনেছে।	kompyuter	Bumili ang paaralan ng bagong pangkat ng mga kompyuter.
2552:家电	家电	家电	घरेलू बिजली उपकरण	यह दुकान खास तौर पर घरेलू बिजली उपकरण बेचती है।	গৃহস্থালি বৈদ্যুতিক যন্ত্র	এই দোকান বিশেষভাবে গৃহস্থালি বৈদ্যুতিক যন্ত্র বিক্রি করে।	kagamitang pambahay	Espesyal na nagbebenta ng kagamitang pambahay ang tindahang ito.
2554:加热	加热	加热	गरम करना	खाना ठंडा हो गया है, उसे फिर से गरम करना होगा।	গরম করা	ভাত ঠান্ডা হয়ে গেছে, আবার গরম করতে হবে।	initin	Lumamig na ang pagkain, kailangan itong initin muli.
2555:加深	加深	加深	गहरा करना	इस बातचीत ने हमारी समझ को और गहरा किया।	গভীর করা	এই কথোপকথন আমাদের বোঝাপড়া আরও গভীর করেছে।	palalimin	Pinalalim ng pag-uusap na ito ang aming pag-unawa.
2556:加速	加速	加速	तेज़ करना	नई नीति शहर के विकास को तेज़ करेगी।	ত্বরান্বিত করা	নতুন নীতি শহরের বিকাশ ত্বরান্বিত করবে।	pabilisin	Pabibilisin ng bagong patakaran ang pag-unlad ng lungsod.
2560:架	架	架	ढांचा; शेल्फ; माप शब्द	बुकशेल्फ़ पुरानी किताबों से भरा है।	ফ্রেম; তাক; গণক	বইয়ের তাক পুরোনো বইয়ে ভরা।	istante; pantukoy	Puno ng lumang aklat ang istante.
2562:驾照	驾照	驾照	ड्राइविंग लाइसेंस	उसने पिछले साल ड्राइविंग लाइसेंस लिया।	ড্রাইভিং লাইসেন্স	সে গত বছর ড্রাইভিং লাইসেন্স পেয়েছে।	lisensiya sa pagmamaneho	Nakuha niya ang lisensiya sa pagmamaneho noong nakaraang taon.
2567:剪	剪	剪	कैंची से काटना	उसने कैंची से पैकेट काटकर खोला।	কাঁচি দিয়ে কাটা	সে কাঁচি দিয়ে প্যাকেট কেটে খুলল।	gupitin	Ginupit niya gamit ang gunting ang balot para buksan ito.
2572:建	建	建	बनाना; निर्माण करना	गांव में एक नया स्कूल बनाने की तैयारी है।	নির্মাণ করা	গ্রামে একটি নতুন স্কুল নির্মাণের প্রস্তুতি চলছে।	magtayo	Maghahanda ang nayon na magtayo ng bagong paaralan.
2573:键	键	键	कुंजी; बटन	कंप्यूटर कीबोर्ड की एक कुंजी खराब हो गई है।	কি; বোতাম	কম্পিউটার কিবোর্ডের একটি কি নষ্ট হয়েছে।	key; pindutan	Nasira ang isang key sa keyboard ng kompyuter.
2574:渐渐	渐渐	渐渐	धीरे-धीरे	आसमान धीरे-धीरे अंधेरा हो गया।	ধীরে ধীরে	আকাশ ধীরে ধীরে অন্ধকার হয়ে গেল।	unti-unti	Unti-unting dumilim ang langit.
