simplified	LO	example_LO
翻	ພິກ	ກະລຸນາພິກປຶ້ມໄປໜ້າທີສິບ.
繁荣	ຈະເລີນຮຸ່ງເຮືອງ	ເສດຖະກິດຄ່ອຍໆຈະເລີນຮຸ່ງເຮືອງ.
反而	ກັບກັນ	ລາວບໍ່ໄດ້ໂກດ ກັບກັນລາວຫົວ.
反复	ຊ້ຳໄປຊ້ຳມາ	ປະໂຫຍກນີ້ຕ້ອງຝຶກຊ້ຳໄປຊ້ຳມາ.
反应	ປະຕິກິລິຍາ	ປະຕິກິລິຍາຂອງລາວໄວ.
反映	ສະທ້ອນ	ລາຍງານນີ້ສະທ້ອນສະພາບຈິງ.
反正	ແນວໃດກໍຕາມ	ແນວໃດກໍຕາມ ມື້ອື່ນຂ້ອຍມີເວລາ.
范围	ຂອບເຂດ	ກະລຸນາຢ່າເກີນຂອບເຂດນີ້.
方	ສີ່ຫຼ່ຽມ	ກະລຸນາແຕ້ມຮູບສີ່ຫຼ່ຽມໃນເຈ້ຍ.
方案	ແຜນການ	ແຜນການນີ້ມີເຫດຜົນພໍສົມຄວນ.
方式	ວິທີ	ວິທີຮຽນແບບນີ້ມີປະສິດທິຜົນຫຼາຍ.
妨碍	ຂັດຂວາງ	ກະລຸນາຢ່າຂັດຂວາງວຽກຂອງຄົນອື່ນ.
仿佛	ຄືກັບວ່າ	ລາວຄືກັບວ່າຮູ້ທຸກຢ່າງ.
非	ຕ້ອງ	ເລື່ອງນີ້ຕ້ອງມີເຈົ້າຈຶ່ງເຮັດໄດ້.
肥皂	ສະບູ	ເວລາລ້າງມືໃຫ້ໃຊ້ສະບູ.
废话	ຄຳເວົ້າໄຮ້ສາລະ	ຢຸດຄຳເວົ້າໄຮ້ສາລະ ແລ້ວເລີ່ມໄວໆ.
分别	ແຍກຈາກກັນ	ພວກເຂົາແຍກຈາກກັນທີ່ສະຖານີ.
分布	ກະຈາຍຢູ່	ຮ້ານເຫຼົ່ານີ້ກະຈາຍຢູ່ທົ່ວເມືອງ.
分配	ແຈກຢາຍ	ອາຈານໄດ້ແຈກຢາຍວຽກໃໝ່.
分手	ເລີກກັນ	ພວກເຂົາເລີກກັນປີກາຍ.
分析	ວິເຄາະ	ພວກເຮົາຕ້ອງວິເຄາະເຫດຜົນ.
纷纷	ຕາມໆກັນ	ທຸກຄົນໄດ້ສະແດງວ່າເຫັນດີຕາມໆກັນ.
奋斗	ຕໍ່ສູ້	ຄົນໜຸ່ມຄວນຕໍ່ສູ້ເພື່ອຄວາມຝັນ.
疯狂	ຢ່າງຄຸ້ມຄັ່ງ	ແຟນໆຮ້ອງເຊຍຢ່າງຄຸ້ມຄັ່ງ.
风格	ສະໄຕລ໌	ສະໄຕລ໌ຂອງຮ້ານອາຫານນີ້ເດັ່ນຫຼາຍ.
风景	ທິວທັດ	ທິວທັດເທິງພູສວຍງາມ.
风俗	ປະເພນີ	ແຕ່ລະບ່ອນມີປະເພນີຂອງຕົນເອງ.
风险	ຄວາມສ່ຽງ	ການລົງທຶນມີຄວາມສ່ຽງບາງຢ່າງ.
讽刺	ເສຍດສີ	ບົດຄວາມນີ້ເສຍດສີບັນຫາສັງຄົມ.
否定	ປະຕິເສດຄວາມຖືກຕ້ອງ	ລາວປະຕິເສດຄວາມຖືກຕ້ອງຂອງຄຳກ່າວນີ້.
否认	ປະຕິເສດ	ລາວປະຕິເສດວ່າຕົນເອງເຮັດຜິດ.
幅	ຜືນ	ມີຮູບແຕ້ມໜຶ່ງຜືນແຂວນຢູ່ຝາ.
扶	ພະຍຸງ	ກະລຸນາພະຍຸງຜູ້ເຖົ້າຂ້າມຖະໜົນ.
服装	ເສື້ອຜ້າ	ຮ້ານນີ້ຂາຍເສື້ອຜ້າເດັກນ້ອຍ.
辅导	ຕິວ	ອາຈານຕິວນັກຮຽນຫຼັງເລີກຮຽນ.
复制	ສຳເນົາ	ກະລຸນາສຳເນົາເອກະສານນີ້.
妇女	ຜູ້ຍິງ	ໂຮງໝໍນີ້ໃຫ້ບໍລິການແກ່ຜູ້ຍິງ.
改革	ປະຕິຮູບ	ໂຮງຮຽນກຳລັງດຳເນີນການປະຕິຮູບການສອນ.
改进	ປັບປຸງ	ພວກເຮົາຕ້ອງປັບປຸງຄຸນນະພາບການບໍລິການ.
改善	ເຮັດໃຫ້ດີຂຶ້ນ	ການອອກກຳລັງກາຍສາມາດເຮັດໃຫ້ການນອນດີຂຶ້ນ.
改正	ແກ້ໄຂໃຫ້ຖືກ	ກະລຸນາແກ້ໄຂຄວາມຜິດໃຫ້ຖືກທັນເວລາ.
概括	ສະຫຼຸບ	ກະລຸນາສະຫຼຸບເນື້ອໃນຂອງບົດຄວາມ.
概念	ແນວຄິດ	ແນວຄິດນີ້ບໍ່ຄ່ອຍເຂົ້າໃຈງ່າຍ.
盖	ປິດ	ກະລຸນາປິດຈອກໃຫ້ດີ.
干脆	ເສຍເລີຍ	ມື້ນີ້ເຈົ້າບໍ່ໄປເສຍເລີຍດີກວ່າ.
干燥	ແຫ້ງ	ລະດູໜາວທາງເໜືອແຫ້ງຫຼາຍ.
感激	ຂອບໃຈຢ່າງສຸດຊຶ້ງ	ຂ້ອຍຂອບໃຈຢ່າງສຸດຊຶ້ງຕໍ່ຄວາມຊ່ວຍເຫຼືອຂອງເຈົ້າ.
感受	ຄວາມຮູ້ສຶກ	ຂ້ອຍເຂົ້າໃຈຄວາມຮູ້ສຶກຂອງເຈົ້າ.
感想	ຄວາມຄິດຫຼັງຈາກຮັບຮູ້	ກະລຸນາເວົ້າຄວາມຄິດຫຼັງຈາກຮັບຮູ້ຂອງເຈົ້າ.
赶紧	ຮີບ	ສາຍແລ້ວ ຮີບອອກໄປເຖີດ.
赶快	ໄວໆ	ປິດປະຕູໄວໆ.
干活儿	ເຮັດວຽກ	ລາວກຳລັງເຮັດວຽກຢູ່ໃນເດີ່ນ.
钢铁	ເຫຼັກກ້າ	ຂົວນີ້ເຮັດຈາກເຫຼັກກ້າ.
高档	ຊັ້ນສູງ	ນີ້ແມ່ນໂຮງແຮມຊັ້ນສູງ.
高级	ຂັ້ນສູງ	ນາງເຂົ້າຮຽນຫ້ອງພາສາຈີນຂັ້ນສູງ.
搞	ຈັດ	ເຈົ້າກຳລັງຈັດກິດຈະກຳປະເພດໃດ?
告别	ອຳລາ	ພວກເຮົາອຳລາໝູ່ຢູ່ສະໜາມບິນ.
格外	ເປັນພິເສດ	ມື້ນີ້ທ້ອງຟ້າສີຟ້າເປັນພິເສດ.
隔壁	ຂ້າງຫ້ອງ	ມີອາຈານຄົນໜຶ່ງຢູ່ຂ້າງຫ້ອງ.
个别	ບາງຄົນ	ນັກຮຽນບາງຄົນຍັງບໍ່ສົ່ງວຽກບ້ານ.
个人	ສ່ວນຕົວ	ນີ້ແມ່ນຄວາມເຫັນສ່ວນຕົວຂອງຂ້ອຍ.
个性	ບຸກຄະລິກ	ນາງມີບຸກຄະລິກຫຼາຍ.
各自	ຂອງໃຜລາວ	ທຸກຄົນເຮັດວຽກຂອງໃຜລາວໃຫ້ສຳເລັດ.
根	ເສັ້ນ	ມີສາຍໄຟໜຶ່ງເສັ້ນຢູ່ໃຕ້ໂຕະ.
根本	ໂດຍພື້ນຖານ	ບັນຫານີ້ໂດຍພື້ນຖານບໍ່ຍາກ.
公布	ປະກາດ	ໂຮງຮຽນປະກາດຜົນສອບເສັງ.
公开	ເປີດເຜີຍ	ການປະຊຸມນີ້ເປີດເຜີຍ.
公平	ຍຸດຕິທຳ	ການແຂ່ງຂັນຄວນຍຸດຕິທຳ.
公寓	ອາພາດເມັນ	ນາງເຊົ່າອາພາດເມັນນ້ອຍໜຶ່ງຫ້ອງ.
公元	ຄຣິດສັກກະລາດ	ປີນີ້ແມ່ນປີ 2026 ຄຣິດສັກກະລາດ.
公主	ເຈົ້າຍິງ	ເດັກຍິງນ້ອຍມັກນິທານເຈົ້າຍິງ.
功能	ຟັງຊັນ	ຊອບແວນີ້ມີຟັງຊັນຫຼາຍ.
工厂	ໂຮງງານ	ໂຮງງານນີ້ຜະລິດລົດ.
工程师	ວິສະວະກອນ	ອ້າຍຂອງຂ້ອຍເປັນວິສະວະກອນ.
工具	ເຄື່ອງມື	ການສ້ອມລົດຖີບຕ້ອງໃຊ້ເຄື່ອງມື.
工人	ຄົນງານ	ຄົນງານກຳລັງສ້ອມຖະໜົນ.
工业	ອຸດສາຫະກຳ	ເມືອງນີ້ພຶ່ງພາອຸດສາຫະກຳເປັນຫຼັກ.
恭喜	ຊົມເຊີຍ	ຊົມເຊີຍທີ່ສອບຜ່ານ.
贡献	ການປະກອບສ່ວນ	ລາວໄດ້ມີການປະກອບສ່ວນໃຫ້ບໍລິສັດ.
沟通	ການສື່ສານ	ການສື່ສານທີ່ດີສຳຄັນຫຼາຍ.
构成	ປະກອບເປັນ	ສ່ວນເຫຼົ່ານີ້ປະກອບເປັນສິ່ງລວມອັນໜຶ່ງ.
姑姑	ປ້າ	ທ້າຍອາທິດນີ້ຂ້ອຍຈະໄປຢ້ຽມປ້າ.
姑娘	ສາວນ້ອຍ	ສາວນ້ອຍຄົນນັ້ນມີນ້ຳໃຈຫຼາຍ.
古代	ສະໄໝໂບຮານ	ສະໄໝໂບຮານບໍ່ມີໂທລະສັບມືຖື.
古典	ຄລາສສິກ	ຂ້ອຍມັກດົນຕີຄລາສສິກ.
股票	ຫຸ້ນ	ລາວຊື້ຫຸ້ນຈຳນວນໜຶ່ງ.
骨头	ກະດູກ	ກະດູກນີ້ແຂງຫຼາຍ.
鼓舞	ໃຫ້ກຳລັງໃຈ	ຂ່າວນີ້ໃຫ້ກຳລັງໃຈຫຼາຍ.
鼓掌	ຕົບມື	ຜູ້ຊົມໄດ້ຕົບມືໃຫ້ນັກສະແດງ.
固定	ຄົງທີ່	ຂ້ອຍມີເວລາເຮັດວຽກຄົງທີ່.
挂号	ລົງທະບຽນພົບໝໍ	ກ່ອນພົບໝໍຕ້ອງລົງທະບຽນພົບໝໍ.
乖	ວ່ານອນສອນງ່າຍ	ເດັກຄົນນີ້ວ່ານອນສອນງ່າຍຫຼາຍ.
拐弯	ລ້ຽວ	ທີ່ສີ່ແຍກຂ້າງໜ້າໃຫ້ລ້ຽວຂວາ.
怪不得	ມິນ່າລ່ະ	ມິນ່າລ່ະເຈົ້າຈຶ່ງເມື່ອຍຫຼາຍ.
关闭	ປິດ	ກ່ອນອອກໄປ ກະລຸນາປິດຄອມພິວເຕີ.
官	ເຈົ້າໜ້າທີ່	ລາວເປັນເຈົ້າໜ້າທີ່ໜຸ່ມ.
观察	ສັງເກດ	ທ່ານໝໍກຳລັງສັງເກດອາການຄົນເຈັບ.
观点	ທັດສະນະ	ຂ້ອຍເຫັນດີກັບທັດສະນະຂອງເຈົ້າ.
观念	ແນວຄິດ	ແນວຄິດຂອງຄົນໜຸ່ມກຳລັງປ່ຽນແປງ.
管子	ທໍ່	ທໍ່ນີ້ກຳລັງຮົ່ວນ້ຳ.
冠军	ແຊ້ມ	ນາງໄດ້ແຊ້ມໃນການແຂ່ງຂັນ.
光滑	ລຽບ	ຜິວໜ້າຂອງໂຕະນີ້ລຽບຫຼາຍ.
光临	ມາຢ້ຽມ	ພວກເຮົາຍິນດີຕ້ອນຮັບທ່ານມາຢ້ຽມອີກຄັ້ງ.
光明	ສົດໃສ	ອະນາຄົດສົດໃສ.
光盘	ແຜ່ນດິສ	ກະລຸນາບັນທຶກເອກະສານໃສ່ແຜ່ນດິສ.
广场	ຈະຕຸລັດ	ຢູ່ຈະຕຸລັດມີຄົນຫຼາຍ.
广大	ຈຳນວນຫຼາຍ	ຂ່າວນີ້ໄດ້ຮັບການຕ້ອນຮັບຈາກນັກຮຽນຈຳນວນຫຼາຍ.
广泛	ກວ້າງຂວາງ	ປຶ້ມຫົວນີ້ມີອິດທິພົນກວ້າງຂວາງ.
归纳	ສະຫຼຸບຈັດໝວດ	ອາຈານຊ່ວຍພວກເຮົາສະຫຼຸບຈັດໝວດຈຸດສຳຄັນ.
规矩	ກົດລະບຽບ	ເດັກນ້ອຍຄວນເຂົ້າໃຈກົດລະບຽບ.
规律	ຈັງຫວະສະໝ່ຳສະເໝີ	ຊີວິດຄວນມີຈັງຫວະສະໝ່ຳສະເໝີ.
规模	ຂະໜາດ	ບໍລິສັດນີ້ມີຂະໜາດໃຫຍ່.
规则	ກົດກະຕິກາ	ກົດກະຕິກາການແຂ່ງຂັນຊັດເຈນຫຼາຍ.
柜台	ເຄົາເຕີ	ກະລຸນາຈ່າຍເງິນທີ່ເຄົາເຕີ.
滚	ເດືອດ	ນ້ຳເດືອດແລ້ວ.
锅	ໝໍ້	ໃນໝໍ້ມີຊຸບຮ້ອນ.
国庆节	ວັນຊາດ	ວັນຊາດພວກເຮົາມີວັນພັກ.
国王	ກະສັດ	ກະສັດອາໄສຢູ່ໃນພະລາດຊະວັງ.
果然	ເປັນດັ່ງຄາດ	ລາວມາຮອດຕາມເວລາເປັນດັ່ງຄາດ.
果实	ຜົນໄມ້	ຕົ້ນໄມ້ເຕັມໄປດ້ວຍຜົນໄມ້.
过分	ເກີນໄປ	ຄຳຮ້ອງຂໍຂອງລາວເກີນໄປນິດໜ່ອຍ.
过敏	ແພ້	ຂ້ອຍແພ້ເກສອນດອກໄມ້.
过期	ໝົດອາຍຸ	ນົມຂວດນີ້ໝົດອາຍຸແລ້ວ.
哈	ຮາ	ຮາ ໃນທີ່ສຸດຂ້ອຍກໍເຂົ້າໃຈ.
海关	ດ່ານພາສີ	ພວກເຮົາຕໍ່ແຖວກວດຢູ່ດ່ານພາສີ.
海鲜	ອາຫານທະເລ	ອາຫານທະເລຂອງຮ້ານນີ້ສົດຫຼາຍ.
喊	ຮ້ອງ	ຢ່າຮ້ອງດັງໃນຫ້ອງຮຽນ.
行业	ອຸດສາຫະກຳ	ອຸດສາຫະກຳທ່ອງທ່ຽວກຳລັງພັດທະນາໄວ.
豪华	ຫຼູຫຼາ	ພວກເຂົາພັກຢູ່ໂຮງແຮມຫຼູຫຼາ.
好客	ຮັກແຂກ	ຄົນທ້ອງຖິ່ນຮັກແຂກຫຼາຍ.
好奇	ຢາກຮູ້ຢາກເຫັນ	ເດັກນ້ອຍຢາກຮູ້ຢາກເຫັນໂລກຫຼາຍ.
何必	ຈຳເປັນຫຍັງ	ຈຳເປັນຫຍັງຕ້ອງໂກດເພາະເລື່ອງນ້ອຍ?
何况	ຍິ່ງໄປກວ່ານັ້ນ	ມື້ນີ້ໜາວ ຍິ່ງໄປກວ່ານັ້ນຍັງຝົນຕົກ.
合法	ຖືກກົດໝາຍ	ສັນຍານີ້ຖືກກົດໝາຍ.
合理	ມີເຫດຜົນ	ລາຄານີ້ມີເຫດຜົນ.
合同	ສັນຍາ	ພວກເຂົາໄດ້ເຊັນສັນຍາ.
合影	ຖ່າຍຮູບຮ່ວມກັນ	ຕອນຈົບການສຶກສາ ພວກເຮົາຖ່າຍຮູບຮ່ວມກັນ.
合作	ຮ່ວມມື	ພວກເຮົາເຮັດໂຄງການສຳເລັດຜ່ານການຮ່ວມມື.
和平	ສັນຕິພາບ	ທຸກຄົນຫວັງສັນຕິພາບ.
核心	ແກນກາງ	ຄວາມໄວ້ວາງໃຈແມ່ນແກນກາງຂອງການຮ່ວມມື.
恨	ເສຍໃຈ	ລາວເສຍໃຈທີ່ກ່ອນນີ້ບໍ່ໄດ້ພະຍາຍາມຮຽນ.
猴子	ລີງ	ໃນສວນສັດມີລີງຫຼາຍໂຕ.
后背	ຫຼັງ	ຫຼັງຂອງລາວເຈັບນິດໜ່ອຍ.
后果	ຜົນຕາມມາ	ເຈົ້າຕ້ອງຄິດເຖິງຜົນຕາມມາ.
呼吸	ຫາຍໃຈ	ກະລຸນາຫາຍໃຈເຂົ້າເລິກໆ.
忽然	ທັນໃດນັ້ນ	ທ້ອງຟ້າມືດລົງທັນໃດນັ້ນ.
忽视	ມອງຂ້າມ	ຢ່າມອງຂ້າມບັນຫານີ້.
壶	ກາ	ເທິງໂຕະມີກາຊາໜຶ່ງໃບ.
糊涂	ສັບສົນ	ມື້ນີ້ຂ້ອຍສັບສົນນິດໜ່ອຍ.
胡说	ເວົ້າເຫຼວໄຫຼ	ຢ່າເວົ້າເຫຼວໄຫຼ ນີ້ບໍ່ແມ່ນຄວາມຈິງ.
胡同	ຊອຍເກົ່າ	ປັກກິ່ງມີຊອຍເກົ່າຫຼາຍ.
蝴蝶	ຜີເສື້ອ	ໃນສວນມີຜີເສື້ອໂຕໜຶ່ງ.
花生	ຖົ່ວດິນ	ລາວມັກກິນຖົ່ວດິນ.
华裔	ຄົນເຊື້ອສາຍຈີນ	ນາງເປັນນັກຂຽນເຊື້ອສາຍຈີນ.
滑	ລື່ນ	ພື້ນລື່ນ ລະວັງແດ່.
划	ພາຍ	ເມື່ອນັ່ງເຮືອ ລາວຮັບຜິດຊອບພາຍ.
化学	ເຄມີສາດ	ນາງໄດ້ຮຽນເຄມີສາດຢູ່ມະຫາວິທະຍາໄລ.
话题	ຫົວຂໍ້	ຫົວຂໍ້ນີ້ນ່າສົນໃຈຫຼາຍ.
怀念	ຄິດຮອດ	ຂ້ອຍຄິດຮອດຊີວິດມະຫາວິທະຍາໄລຫຼາຍ.
怀孕	ຖືພາ	ນາງຖືພາສາມເດືອນ.
缓解	ບັນເທົາ	ການພັກຜ່ອນສາມາດບັນເທົາຄວາມກົດດັນ.
幻想	ຈິນຕະນາການ	ລາວມັກຈິນຕະນາການວ່າໄດ້ໄປອະວະກາດ.
慌张	ຕົກໃຈລົນລານ	ເມື່ອພົບບັນຫາ ຢ່າຕົກໃຈລົນລານ.
黄金	ຄຳ	ລາຄາຄຳຂຶ້ນອີກແລ້ວ.
恢复	ຟື້ນຟູ	ຮ່າງກາຍຂອງລາວກຳລັງຟື້ນຟູ.
挥	ໂບກ	ນາງໂບກມື.
灰	ສີເທົາ	ທ້ອງຟ້າສີເທົາ.
灰尘	ຝຸ່ນ	ເທິງໂຕະມີຝຸ່ນຫຼາຍ.
灰心	ທໍ້ໃຈ	ເຖິງຈະລົ້ມເຫຼວກໍຢ່າທໍ້ໃຈ.
汇率	ອັດຕາແລກປ່ຽນ	ອັດຕາແລກປ່ຽນມື້ນີ້ເທົ່າໃດ?
婚礼	ງານແຕ່ງດອງ	ງານແຕ່ງດອງຂອງພວກເຂົາງ່າຍຫຼາຍ.
婚姻	ການແຕ່ງງານ	ການແຕ່ງງານຕ້ອງການຄວາມເຂົ້າໃຈກັນ.
活跃	ກະຕືລືລົ້ນ	ລາວກະຕືລືລົ້ນຫຼາຍໃນຫ້ອງຮຽນ.
伙伴	ຄູ່ຮ່ວມງານ	ລາວເປັນຄູ່ຮ່ວມງານທີ່ດີທີ່ສຸດຂອງຂ້ອຍ.
火柴	ໄມ້ຂີດໄຟ	ໃນກ່ອງເຫຼືອໄມ້ຂີດໄຟພຽງກ້ານດຽວ.
或许	ບາງທີ	ບາງທີມື້ອື່ນຝົນອາດຈະຕົກ.
基本	ພື້ນຖານ	ເຫຼົ່ານີ້ແມ່ນຂໍ້ກຳນົດພື້ນຖານ.
机器	ເຄື່ອງຈັກ	ເຄື່ອງຈັກນີ້ເສຍແລ້ວ.
激烈	ດຸເດືອດ	ການແຂ່ງຂັນດຸເດືອດຫຼາຍ.
肌肉	ກ້າມເນື້ອ	ຫຼັງອອກກຳລັງກາຍ ກ້າມເນື້ອຂອງຂ້ອຍປວດນິດໜ່ອຍ.
及格	ສອບຜ່ານ	ລາວສອບຜ່ານຄັ້ງນີ້.
急忙	ຮີບຮ້ອນ	ລາວຮີບຮ້ອນແລ່ນອອກຈາກຫ້ອງຮຽນ.
急诊	ພະແນກສຸກເສີນ	ຄົນເຈັບຖືກສົ່ງໄປພະແນກສຸກເສີນ.
极其	ຢ່າງຍິ່ງ	ບັນຫານີ້ສຳຄັນຢ່າງຍິ່ງ.
集合	ລວມຕົວ	ກະລຸນາລວມຕົວທີ່ທາງເຂົ້າເວລາແປດໂມງ.
集体	ກຸ່ມ	ນີ້ແມ່ນກິດຈະກຳກຸ່ມ.
集中	ຕັ້ງໃຈ	ໃນຫ້ອງຮຽນເຈົ້າຄວນຕັ້ງໃຈ.
寂寞	ເຫງົາ	ການຢູ່ຄົນດຽວບາງຄັ້ງກໍເຫງົາ.
系领带	ຜູກເນັກໄທ	ກ່ອນໄປເຮັດວຽກ ລາວຜູກເນັກໄທທຸກມື້.
纪录	ສະຖິຕິ	ລາວທຳລາຍສະຖິຕິຂອງໂຮງຮຽນ.
纪律	ວິນັຍ	ວິນັຍໃນຫ້ອງຮຽນສຳຄັນຫຼາຍ.
纪念	ລະນຶກ	ພວກເຮົາຖ່າຍຮູບເພື່ອລະນຶກມື້ນີ້.
计算	ຄຳນວນ	ກະລຸນາຄຳນວນຄ່າໃຊ້ຈ່າຍທັງໝົດ.
记录	ບັນທຶກ	ກະລຸນາບັນທຶກເນື້ອໃນການປະຊຸມ.
记忆	ຄວາມຊົງຈຳ	ຄວາມຊົງຈຳນີ້ມີຄ່າຫຼາຍ.
嘉宾	ແຂກຮັບເຊີນ	ແຂກຮັບເຊີນມື້ນີ້ແມ່ນນັກຂຽນ.
夹子	ຄລິບໜີບ	ກະລຸນາໃຊ້ຄລິບໜີບເອກະສານ.
家庭	ຄອບຄົວ	ຄອບຄົວສຳຄັນຕໍ່ເດັກນ້ອຍຫຼາຍ.
家务	ວຽກບ້ານ	ທ້າຍອາທິດຂ້ອຍຕ້ອງເຮັດວຽກບ້ານ.
家乡	ບ້ານເກີດ	ຂ້ອຍຄິດຮອດບ້ານເກີດຫຼາຍ.
假如	ຖ້າຫາກວ່າ	ຖ້າຫາກວ່າມື້ອື່ນຝົນຕົກ ພວກເຮົາຈະບໍ່ໄປ.
假设	ສົມມຸດວ່າ	ສົມມຸດວ່າເຈົ້າເປັນອາຈານ ເຈົ້າຈະເຮັດແນວໃດ?
假装	ແກ້ງເຮັດເປັນ	ລາວແກ້ງເຮັດເປັນບໍ່ໄດ້ຍິນ.
甲	ຝ່າຍກ	ຝ່າຍກຕ້ອງຈ່າຍເງິນຕາມເວລາ.
价值	ຄຸນຄ່າ	ປຶ້ມຫົວນີ້ມີຄຸນຄ່າຫຼາຍ.
嫁	ແຕ່ງງານກັບ	ນາງຈະແຕ່ງງານກັບແຟນປີໜ້າ.
驾驶	ຂັບຂີ່	ເວລາຂັບຂີ່ລົດ ຕ້ອງລະມັດລະວັງ.
兼职	ວຽກພາດທາມ	ຕອນແລງລາວເຮັດວຽກພາດທາມ.
坚决	ແນ່ວແນ່	ລາວບໍ່ເຫັນດີກັບການຕັດສິນໃຈນີ້ຢ່າງແນ່ວແນ່.
坚强	ເຂັ້ມແຂງ	ນາງເປັນຄົນເຂັ້ມແຂງ.
肩膀	ບ່າ	ບ່າຂອງລາວບາດເຈັບ.
艰巨	ຫນັກໜ່ວງ	ນີ້ແມ່ນພາລະກິດຫນັກໜ່ວງ.
艰苦	ລຳບາກ	ພວກເຂົາໄດ້ຜ່ານຊີວິດລຳບາກ.
剪刀	ກັນໄກ	ກະລຸນາສົ່ງກັນໄກໃຫ້ຂ້ອຍ.
捡	ເກັບ	ລາວເກັບກະເປົາເງິນຈາກພື້ນ.
简历	ຊີວະປະຫວັດ	ກ່ອນສະໝັກວຽກ ຕ້ອງກະກຽມຊີວະປະຫວັດ.
简直	ແທບຈະ	ຂ່າວນີ້ແທບຈະໜ້າຕົກໃຈ.
健身	ອອກກຳລັງກາຍ	ລາວໄປອອກກຳລັງກາຍອາທິດລະສາມເທື່ອ.
建立	ສ້າງຕັ້ງ	ພວກເຮົາສ້າງຕັ້ງຄວາມສຳພັນໃໝ່.
建设	ກໍ່ສ້າງ	ການກໍ່ສ້າງເມືອງກຳລັງພັດທະນາໄວ.
建筑	ອາຄານ	ອາຄານນີ້ມີລັກສະນະເດັ່ນ.
键盘	ແປ້ນພິມ	ແປ້ນພິມຂອງຂ້ອຍຕ້ອງທຳຄວາມສະອາດ.
讲究	ໃສ່ໃຈລະອຽດ	ຄົນຈີນໃສ່ໃຈລະອຽດຫຼາຍເລື່ອງອາຫານ.
讲座	ບັນຍາຍ	ຄືນນີ້ມີການບັນຍາຍພາສາຈີນ.
酱油	ຊີອິ໊ວ	ໃສ່ຊີອິ໊ວນິດໜ່ອຍໃນອາຫານ.
交换	ແລກປ່ຽນ	ພວກເຮົາແລກປ່ຽນເບີໂທລະສັບ.
交际	ການສື່ສານສັງຄົມ	ເວລາຮຽນພາສາ ກໍຕ້ອງຝຶກການສື່ສານສັງຄົມ.
交往	ຄົບຫາ	ພວກເຂົາຄົບຫາກັນມາສອງປີ.
浇	ຫົດ	ກະລຸນາຫົດດອກໄມ້ທຸກມື້.
胶水	ກາວ	ຂ້ອຍໃຊ້ກາວຕິດຮູບ.
狡猾	ເຈົ້າເລ່	ໝາຈອກໂຕນັ້ນເຈົ້າເລ່ຫຼາຍ.
角度	ມຸມມອງ	ພວກເຮົາມາເບິ່ງບັນຫາຈາກອີກມຸມມອງໜຶ່ງ.
教材	ປຶ້ມຮຽນ	ປຶ້ມຮຽນນີ້ໃຊ້ໄດ້ຈິງຫຼາຍ.
教练	ຄູຝຶກ	ຄູຝຶກຕ້ອງການໃຫ້ພວກເຮົາມາຮອດຕາມເວລາ.
教训	ບົດຮຽນ	ຄວາມລົ້ມເຫຼວນີ້ແມ່ນບົດຮຽນ.
接触	ສຳຜັດ	ນີ້ແມ່ນການສຳຜັດວັດທະນະທຳຈີນຄັ້ງທຳອິດຂອງຂ້ອຍ.
接待	ຕ້ອນຮັບ	ບໍລິສັດໄດ້ຈັດຄົນມາຕ້ອນຮັບແຂກ.
接近	ໃກ້ເຂົ້າມາ	ບຸນປີໃໝ່ຈີນໃກ້ເຂົ້າມາແລ້ວ.
结实	ແຂງແຮງ	ກະເປົາເດີນທາງນີ້ແຂງແຮງຫຼາຍ.
阶段	ຂັ້ນຕອນ	ການສຶກສາແບ່ງເປັນສາມຂັ້ນຕອນ.
结构	ໂຄງສ້າງ	ບົດຄວາມນີ້ມີໂຄງສ້າງຊັດເຈນ.
结合	ປະສົມປະສານ	ການຮຽນຄວນປະສົມປະສານກັບການປະຕິບັດ.
结论	ຂໍ້ສະຫຼຸບ	ຂໍ້ສະຫຼຸບຂອງລາວໜ້າເຊື່ອຖືຫຼາຍ.
结账	ຈ່າຍເງິນ	ຫຼັງກິນເຂົ້າແລ້ວ ພວກເຮົາໄປຈ່າຍເງິນ.
节省	ປະຢັດ	ການນັ່ງລົດໄຟໃຕ້ດິນສາມາດປະຢັດເວລາ.
借口	ຂໍ້ອ້າງ	ຢຸດຫາຂໍ້ອ້າງໄດ້ແລ້ວ.
届	ຄັ້ງ	ນີ້ແມ່ນການແຂ່ງຂັນຄັ້ງທີສາມ.
戒	ເຊົາ	ທ່ານໝໍແນະນຳໃຫ້ລາວເຊົາສູບຢາ.
戒指	ແຫວນ	ນາງໃສ່ແຫວນວົງໜຶ່ງ.
金属	ໂລຫະ	ເຫຼັກແມ່ນໂລຫະຊະນິດໜຶ່ງ.
尽快	ໄວທີ່ສຸດ	ກະລຸນາຕອບອີເມວໄວທີ່ສຸດ.
紧急	ສຸກເສີນ	ນີ້ແມ່ນເຫດສຸກເສີນ.
谨慎	ຮອບຄອບ	ກ່ອນລົງທຶນ ຕ້ອງຮອບຄອບ.
尽力	ພະຍາຍາມສຸດກຳລັງ	ຂ້ອຍຈະພະຍາຍາມສຸດກຳລັງເພື່ອຊ່ວຍເຈົ້າ.
尽量	ພະຍາຍາມໃຫ້ໄດ້ຫຼາຍທີ່ສຸດ	ກະລຸນາພະຍາຍາມມາໃຫ້ໄວທີ່ສຸດ.
