simplified	VI	example_VI
滑	trơn	Sàn nhà rất trơn, hãy cẩn thận một chút.
划	chèo; chèo thuyền	Khi đi thuyền, anh ấy phụ trách chèo thuyền.
化学	hóa học	Cô ấy học hóa học ở đại học.
话题	chủ đề	Chủ đề này rất thú vị.
怀念	nhớ; hoài niệm	Tôi rất nhớ cuộc sống đại học.
怀孕	mang thai	Cô ấy mang thai ba tháng rồi.
缓解	giảm bớt; làm dịu	Nghỉ ngơi có thể giảm bớt áp lực.
幻想	tưởng tượng; mơ tưởng	Anh ấy thường mơ tưởng đi du lịch ngoài không gian.
慌张	hoảng hốt; luống cuống	Gặp vấn đề thì đừng hoảng hốt.
黄金	vàng	Giá vàng lại tăng rồi.
恢复	phục hồi; khôi phục	Sức khỏe của anh ấy đang phục hồi.
挥	vẫy; phẩy	Cô ấy vẫy tay.
灰	xám	Bầu trời màu xám.
灰尘	bụi	Trên bàn có rất nhiều bụi.
灰心	nản lòng	Thất bại cũng đừng nản lòng.
汇率	tỷ giá	Tỷ giá hôm nay là bao nhiêu?
婚礼	đám cưới; lễ cưới	Đám cưới của họ rất đơn giản.
婚姻	hôn nhân	Hôn nhân cần sự thấu hiểu lẫn nhau.
活跃	năng động; sôi nổi	Anh ấy rất sôi nổi trong lớp.
伙伴	bạn đồng hành; cộng sự	Anh ấy là người bạn đồng hành tốt nhất của tôi.
火柴	diêm	Trong hộp chỉ còn một que diêm.
或许	có lẽ; có thể	Có lẽ ngày mai trời sẽ mưa.
基本	cơ bản	Đây là những yêu cầu cơ bản.
机器	máy móc; máy	Cái máy này hỏng rồi.
激烈	gay gắt; quyết liệt	Cuộc thi diễn ra rất quyết liệt.
肌肉	cơ bắp	Sau khi tập thể dục, cơ bắp hơi nhức.
及格	đạt; qua kỳ thi	Lần thi này anh ấy đã đạt.
急忙	vội vàng	Anh ấy vội vàng chạy ra khỏi lớp học.
急诊	cấp cứu	Bệnh nhân đã được đưa đến khoa cấp cứu.
极其	cực kỳ	Vấn đề này cực kỳ quan trọng.
集合	tập hợp	Xin mọi người tập hợp ở cổng lúc tám giờ.
集体	tập thể	Đây là một hoạt động tập thể.
集中	tập trung	Khi lên lớp cần tập trung chú ý.
寂寞	cô đơn	Sống một mình đôi khi sẽ cô đơn.
系领带	thắt cà vạt	Anh ấy thắt cà vạt mỗi ngày trước khi đi làm.
纪录	kỷ lục	Anh ấy đã phá kỷ lục của trường.
纪律	kỷ luật	Kỷ luật lớp học rất quan trọng.
纪念	kỷ niệm	Chúng tôi chụp ảnh để kỷ niệm ngày này.
计算	tính toán	Xin hãy tính tổng chi phí.
记录	ghi chép; ghi lại	Xin hãy ghi lại nội dung cuộc họp.
记忆	ký ức; trí nhớ	Ký ức này rất quý giá.
嘉宾	khách mời	Dịp hôm nay, khách mời là một nhà văn.
夹子	kẹp	Xin hãy dùng kẹp kẹp tài liệu lại.
家庭	gia đình	Gia đình rất quan trọng đối với trẻ em.
家务	việc nhà	Cuối tuần tôi phải làm việc nhà.
家乡	quê hương	Tôi rất nhớ quê hương.
假如	nếu như	Nếu ngày mai trời mưa, chúng tôi sẽ không đi.
假设	giả sử; giả thuyết	Giả sử bạn là giáo viên, bạn sẽ làm thế nào?
假装	giả vờ	Anh ấy giả vờ không nghe thấy.
甲	bên A; hạng nhất	Bên A cần thanh toán đúng hạn.
价值	giá trị	Cuốn sách này rất có giá trị.
嫁	lấy chồng; gả	Cô ấy sẽ lấy bạn trai vào năm sau.
驾驶	lái; điều khiển	Khi lái xe phải lái cẩn thận.
兼职	làm thêm; bán thời gian	Buổi tối anh ấy làm thêm.
坚决	kiên quyết	Anh ấy kiên quyết không đồng ý với quyết định này.
坚强	kiên cường; mạnh mẽ	Cô ấy là một người mạnh mẽ.
肩膀	vai	Vai của anh ấy bị thương.
艰巨	gian khổ; khó khăn nặng nề	Đây là một nhiệm vụ rất khó khăn.
艰苦	gian khổ	Họ đã trải qua cuộc sống gian khổ.
剪刀	kéo	Xin hãy đưa kéo cho tôi.
捡	nhặt	Anh ấy nhặt chiếc ví dưới đất lên.
简历	sơ yếu lý lịch; CV	Trước khi xin việc cần chuẩn bị CV.
简直	quả thật; thật là	Tin này thật khiến người ta kinh ngạc.
健身	tập thể hình; rèn luyện sức khỏe	Anh ấy đi tập thể hình ba lần mỗi tuần.
建立	thiết lập; xây dựng	Chúng tôi đã thiết lập mối quan hệ mới.
建设	xây dựng	Việc xây dựng đô thị phát triển rất nhanh.
建筑	công trình kiến trúc; tòa nhà	Công trình này rất có nét đặc sắc.
键盘	bàn phím	Bàn phím của tôi cần được làm sạch.
讲究	chú trọng; kỹ tính	Người Trung Quốc rất chú trọng chuyện ăn uống.
讲座	buổi giảng; bài giảng	Tối nay có một buổi giảng tiếng Trung.
酱油	nước tương; xì dầu	Cho thêm một chút nước tương vào món ăn.
交换	trao đổi	Chúng tôi đã trao đổi số điện thoại.
交际	giao tiếp; giao thiệp	Học ngôn ngữ cũng cần luyện giao tiếp.
交往	qua lại; hẹn hò	Họ đã hẹn hò được hai năm.
浇	tưới; đổ	Xin hãy tưới hoa mỗi ngày.
胶水	keo dán	Tôi dùng keo dán để dán ảnh.
狡猾	xảo quyệt; ranh mãnh	Con cáo kia rất ranh mãnh.
角度	góc độ	Chúng ta hãy nhìn vấn đề từ một góc độ khác.
教材	giáo trình	Tài liệu giảng dạy này rất thiết thực.
教练	huấn luyện viên	Huấn luyện viên yêu cầu chúng tôi đến đúng giờ.
教训	bài học	Thất bại lần này là một bài học.
接触	tiếp xúc	Lần đầu tiên tôi tiếp xúc với văn hóa Trung Quốc.
接待	tiếp đón	Công ty sắp xếp người chuyên trách tiếp đón khách.
接近	đến gần; gần	Tết Nguyên Đán ngày càng đến gần.
结实	chắc chắn; bền	Chiếc vali này rất chắc chắn.
阶段	giai đoạn	Việc học được chia thành ba giai đoạn.
结构	kết cấu; cấu trúc	Bài viết này có cấu trúc rõ ràng.
结合	kết hợp	Việc học nên kết hợp với thực hành.
结论	kết luận	Kết luận của anh ấy rất thuyết phục.
结账	thanh toán	Sau khi ăn xong, chúng tôi đi thanh toán.
节省	tiết kiệm	Đi tàu điện ngầm có thể tiết kiệm thời gian.
借口	cớ; lý do bào chữa	Đừng tìm cớ nữa.
届	kỳ; khóa	Đây là cuộc thi lần thứ ba.
戒	bỏ; cai	Bác sĩ khuyên anh ấy bỏ thuốc lá.
戒指	nhẫn	Cô ấy đeo một chiếc nhẫn.
金属	kim loại	Sắt là một loại kim loại.
尽快	càng sớm càng tốt	Xin hãy trả lời thư điện tử càng sớm càng tốt.
紧急	khẩn cấp	Đây là một tình huống khẩn cấp.
谨慎	thận trọng	Trước khi đầu tư cần thận trọng.
尽力	cố hết sức; tận lực	Tôi sẽ cố hết sức giúp bạn.
尽量	cố gắng hết mức	Xin hãy cố gắng đến sớm một chút.
近代	cận đại	Trung Quốc cận đại đã xảy ra nhiều thay đổi.
进步	tiến bộ	Tiếng Trung của anh ấy tiến bộ rất nhanh.
进口	nhập khẩu	Chiếc xe này là xe nhập khẩu.
精力	sức lực; năng lượng	Bọn trẻ có rất nhiều năng lượng.
精神	tinh thần	Hôm nay tinh thần của anh ấy rất tốt.
经典	kinh điển	Đây là một bộ phim kinh điển.
经商	kinh doanh	Bố anh ấy kinh doanh ở nước ngoài.
经营	kinh doanh; điều hành	Cô ấy điều hành một cửa hàng nhỏ.
酒吧	quán bar	Buổi tối họ đã đến quán bar.
救	cứu	Bác sĩ đã cứu mạng anh ấy.
救护车	xe cứu thương	Xe cứu thương đến rất nhanh.
舅舅	cậu; chú bên mẹ	Cậu tôi sống ở Nam Kinh.
居然	không ngờ; vậy mà	Không ngờ anh ấy quên cả sinh nhật của mình.
桔子	quýt	Trên bàn có mấy quả quýt.
俱乐部	câu lạc bộ	Cô ấy gia nhập câu lạc bộ bơi lội.
具备	có; sở hữu	Anh ấy có kinh nghiệm quản lý.
具体	cụ thể	Xin hãy nói cụ thể hơn một chút.
巨大	khổng lồ; rất lớn	Dự án này cần khoản đầu tư rất lớn.
据说	nghe nói	Nghe nói anh ấy đã về nước rồi.
捐	quyên góp	Mọi người đều sẵn lòng quyên tiền.
决赛	trận chung kết	Ngày mai là trận chung kết bóng đá.
决心	quyết tâm	Anh ấy quyết tâm học tốt tiếng Trung.
绝对	tuyệt đối	Việc này tuyệt đối không được quên.
角色	vai trò; nhân vật	Cô ấy đóng vai quan trọng trong phim.
军事	quân sự	Anh ấy rất quan tâm đến lịch sử quân sự.
均匀	đều	Xin hãy tô màu cho đều.
卡车	xe tải	Một chiếc xe tải đang đỗ ở cửa.
开发	phát triển; khai thác	Công ty đang phát triển sản phẩm mới.
开放	mở cửa; mở cửa cho công chúng	Công viên mở cửa lúc sáu giờ sáng mỗi ngày.
开幕式	lễ khai mạc	Lễ khai mạc sẽ được tổ chức tối mai.
开水	nước đun sôi	Xin cho tôi một cốc nước đun sôi.
砍	chặt; đốn	Công nhân đang chặt cành cây.
看不起	coi thường	Đừng coi thường bất kỳ ai.
看望	thăm	Cuối tuần tôi đi thăm ông bà.
靠	dựa; dựa vào	Anh ấy dựa vào tường nghỉ ngơi.
颗	viên; hạt; ngôi	Trên bầu trời đêm có một ngôi sao.
可见	có thể thấy	Có thể thấy phương pháp này rất hiệu quả.
可靠	đáng tin cậy	Anh ấy là một người bạn đáng tin cậy.
可怕	đáng sợ	Giấc mơ này quá đáng sợ.
克	gam	Xin hãy cho thêm hai gam muối.
克服	khắc phục; vượt qua	Chúng ta cần vượt qua khó khăn.
刻苦	chăm chỉ; cần cù	Anh ấy học rất chăm chỉ.
客观	khách quan	Xin hãy phân tích vấn đề một cách khách quan.
课程	khóa học; môn học	Khóa học này rất hữu ích.
空间	không gian	Căn phòng này có rất nhiều không gian.
控制	kiểm soát	Tài xế đã kiểm soát được tốc độ xe.
空闲	thời gian rảnh	Chiều mai bạn có thời gian rảnh không?
口味	khẩu vị; hương vị	Khẩu vị của anh ấy khá thanh đạm.
夸	khen; khoe	Giáo viên khen anh ấy tiến bộ rất nhiều.
夸张	phóng đại; cường điệu	Biểu cảm của anh ấy hơi cường điệu.
会计	kế toán	Cô ấy làm kế toán ở công ty.
宽	rộng	Con đường này rất rộng.
昆虫	côn trùng	Bọn trẻ đang quan sát côn trùng.
扩大	mở rộng	Nhà trường dự định mở rộng thư viện.
辣椒	ớt	Trong món ăn có cho rất nhiều ớt.
拦	chặn; ngăn	Cảnh sát đã chặn một chiếc xe.
烂	thối; nhũn	Quả táo này đã bị thối rồi.
朗读	đọc to	Xin hãy đọc to bài khóa.
劳动	lao động	Lao động khiến con người cảm thấy đủ đầy.
劳驾	làm phiền; xin hỏi	Làm phiền, xin hỏi ga tàu điện ngầm ở đâu?
姥姥	bà ngoại	Bà ngoại tôi nấu ăn rất ngon.
老百姓	người dân thường	Người dân thường quan tâm đến chi phí sinh hoạt.
老板	ông chủ; sếp	Hôm nay sếp không ở văn phòng.
老婆	vợ	Anh ấy mua hoa cho vợ.
老实	thật thà; trung thực	Anh ấy là một người thật thà.
老鼠	chuột	Trong bếp có một con chuột.
乐观	lạc quan	Cô ấy rất lạc quan về tương lai.
雷	sấm	Tiếng sấm tối qua rất lớn.
类型	loại; thể loại	Bộ phim kiểu này thuộc thể loại gì?
冷淡	lạnh nhạt	Thái độ của anh ấy hơi lạnh nhạt.
厘米	xăng-ti-mét	Cây bút này dài mười lăm xăng-ti-mét.
梨	lê	Tôi mua mấy quả lê.
离婚	ly hôn	Họ ly hôn năm ngoái.
理论	lý thuyết	Lý thuyết này rất phức tạp.
理由	lý do	Bạn có lý do gì để đến muộn?
利润	lợi nhuận	Lợi nhuận của công ty năm nay tăng lên.
利息	lãi suất; tiền lãi	Lãi suất ngân hàng không cao.
利益	lợi ích	Chúng ta cần bảo vệ lợi ích của mọi người.
利用	tận dụng; sử dụng	Anh ấy tận dụng cuối tuần để học tiếng Trung.
力量	sức mạnh	Đoàn kết là sức mạnh.
立即	ngay lập tức	Xin hãy rời khỏi đây ngay lập tức.
立刻	ngay lập tức	Sau khi nghe tin, anh ấy lập tức xuất phát.
联合	liên hợp; cùng nhau	Hai công ty cùng phát triển sản phẩm.
连忙	vội vàng	Nghe tiếng điện thoại, anh ấy vội vàng nhấc máy.
连续	liên tục	Anh ấy làm việc liên tục mười tiếng.
恋爱	yêu đương; đang yêu	Họ đang yêu nhau.
粮食	lương thực	Sản lượng lương thực năm nay tăng lên.
良好	tốt; lành mạnh	Anh ấy có thói quen học tập tốt.
亮	sáng	Đèn trong phòng rất sáng.
了不起	giỏi; đáng nể	Cô ấy đạt được thành tích đáng nể.
列车	tàu hỏa	Chuyến tàu sắp khởi hành rồi.
临时	tạm thời	Đây là một quyết định tạm thời.
灵活	linh hoạt	Phương pháp học cần linh hoạt.
铃	chuông	Chuông vào lớp đã reo.
零件	linh kiện; bộ phận	Máy thiếu một linh kiện.
零食	đồ ăn vặt	Trẻ con thích ăn đồ ăn vặt.
领导	lãnh đạo	Lãnh đạo đang họp.
领域	lĩnh vực	Cô ấy làm việc trong lĩnh vực giáo dục.
流传	lưu truyền	Câu chuyện này đã lưu truyền rất lâu.
流泪	rơi nước mắt	Sau khi nghe tin này, cô ấy đã rơi nước mắt.
浏览	lướt xem; duyệt	Trước tiên tôi sẽ lướt xem trang mạng.
龙	rồng	Trong văn hóa Trung Quốc có rồng.
漏	rò; dột	Mái nhà bị dột rồi.
录取	trúng tuyển; được nhận	Anh ấy được trường đại học nhận rồi.
录音	ghi âm	Xin hãy bắt đầu ghi âm.
陆地	đất liền	Rùa biển bò lên đất liền.
陆续	lần lượt	Khách lần lượt đến.
轮流	luân phiên; thay phiên	Chúng tôi thay phiên nhau dọn lớp học.
论文	luận văn; bài luận	Cô ấy đang viết luận văn tốt nghiệp.
逻辑	lô-gíc	Lô-gíc của anh ấy rất rõ ràng.
落后	tụt hậu; lạc hậu	Chúng ta không thể tụt hậu so với người khác.
骂	mắng; chửi	Xin đừng mắng trẻ con.
麦克风	micrô	Xin hãy đưa micrô cho anh ấy.
馒头	bánh bao hấp; màn thầu	Bữa sáng tôi ăn một cái màn thầu.
满足	đáp ứng; thỏa mãn	Câu trả lời này không đáp ứng yêu cầu.
毛病	lỗi; vấn đề	Máy tính này hơi có vấn đề.
矛盾	mâu thuẫn	Giữa họ có một số mâu thuẫn.
冒险	mạo hiểm	Đi đến đó một mình quá mạo hiểm.
贸易	thương mại	Thương mại quốc tế phát triển rất nhanh.
媒体	truyền thông	Truyền thông đã đưa tin về việc này.
煤炭	than đá	Khu vực này sản xuất than đá.
眉毛	lông mày	Lông mày của cô ấy rất rậm.
美术	mỹ thuật	Em gái tôi thích mỹ thuật.
魅力	sức hấp dẫn	Thành phố này rất có sức hấp dẫn.
梦想	ước mơ	Ước mơ của anh ấy là trở thành bác sĩ.
密切	mật thiết; chặt chẽ	Chúng tôi giữ liên lạc chặt chẽ.
秘密	bí mật	Đây là bí mật của chúng ta.
秘书	thư ký	Thư ký đã sắp xếp thời gian họp.
蜜蜂	ong	Trong bụi hoa có rất nhiều ong.
面对	đối mặt	Chúng ta phải dũng cảm đối mặt với khó khăn.
面积	diện tích	Diện tích căn phòng này không lớn.
面临	đối mặt với	Công ty đang đối mặt với thách thức mới.
描写	miêu tả	Tác giả đã miêu tả cuộc sống nông thôn.
苗条	thon thả	Dáng người cô ấy rất thon thả.
敏感	nhạy cảm	Chủ đề này tương đối nhạy cảm.
名牌	thương hiệu nổi tiếng	Anh ấy mua một chiếc đồng hồ thương hiệu nổi tiếng.
名片	danh thiếp	Xin hãy cho tôi một tấm danh thiếp.
名胜古迹	danh lam thắng cảnh và di tích lịch sử	Bắc Kinh có rất nhiều danh lam thắng cảnh và di tích lịch sử.
明确	rõ ràng; làm rõ	Giáo viên đã giải thích rõ yêu cầu.
明显	rõ ràng; hiển nhiên	Sự tiến bộ của anh ấy rất rõ ràng.
明星	ngôi sao; minh tinh	Cô ấy muốn trở thành ngôi sao điện ảnh.
命令	mệnh lệnh; lệnh	Binh sĩ phải phục tùng mệnh lệnh.
命运	vận mệnh; số phận	Anh ấy tin rằng số phận có thể thay đổi.
摸	sờ; chạm	Xin đừng chạm vào bức tranh này.
摩托车	xe máy; mô tô	Anh ấy đi xe máy đi làm.
模仿	bắt chước	Trẻ con thích bắt chước người lớn nói chuyện.
模糊	mờ; không rõ	Bức ảnh này hơi mờ.
模特	người mẫu	Cô ấy là một người mẫu thời trang.
陌生	xa lạ; lạ lẫm	Thành phố này rất xa lạ với tôi.
某	một; nào đó	Một giáo viên nào đó đã gọi điện cho tôi.
木头	gỗ	Chiếc bàn này làm bằng gỗ.
目标	mục tiêu	Mục tiêu của tôi là vượt qua kỳ thi.
目录	mục lục	Xin hãy xem mục lục ở đầu sách trước.
目前	hiện nay; hiện tại	Tình hình hiện nay tương đối ổn định.
哪怕	dù; cho dù	Dù rất bận, anh ấy vẫn kiên trì học.
难怪	thảo nào	Thảo nào hôm nay bạn vui như vậy.
难免	khó tránh	Lần đầu làm thì khó tránh khỏi sai sót.
脑袋	đầu	Anh ấy hơi đau đầu.
内部	nội bộ	Đây là tài liệu nội bộ của công ty.
内科	khoa nội	Hôm nay anh ấy đi khám khoa nội.
嫩	mềm; non	Miếng thịt này rất mềm.
能干	có năng lực; giỏi giang	Cô ấy là một người rất có năng lực.
能源	năng lượng	Năng lượng mặt trời là một loại năng lượng sạch.
嗯	ừ; ừm	Ừ, tôi biết rồi.
年代	thập niên; thời đại	Bức ảnh này được chụp vào thập niên tám mươi.
年纪	tuổi	Tuổi anh ấy không lớn, nhưng kinh nghiệm lại rất nhiều.
念	đọc; nhớ	Xin bạn đọc bài khóa một lần.
宁可	thà; thà rằng	Tôi thà đi bộ chứ không muốn đợi xe.
牛仔裤	quần jean	Anh ấy đang mặc một chiếc quần jean.
农村	nông thôn	Cô ấy lớn lên ở nông thôn.
农民	nông dân	Nông dân đang làm việc trên đồng.
农业	nông nghiệp	Nông nghiệp rất quan trọng đối với khu vực này.
浓	đậm; đặc	Cốc cà phê này quá đậm.
女士	quý bà; cô	Vị nữ sĩ kia đang đợi xe.
欧洲	châu Âu	Tháng sau anh ấy đi du lịch châu Âu.
偶然	tình cờ	Tôi tình cờ gặp một bạn học cũ.
拍	chụp; vỗ	Xin hãy giúp tôi chụp một bức ảnh.
派	phái; cử	Công ty cử anh ấy đi công tác ở Thượng Hải.
盼望	mong chờ	Tôi mong sớm được gặp bạn.
培训	đào tạo	Nhân viên mới cần tham gia đào tạo.
培养	bồi dưỡng; nuôi dưỡng	Nhà trường coi trọng việc bồi dưỡng năng lực của học sinh.
赔偿	bồi thường	Công ty đồng ý bồi thường thiệt hại.
佩服	khâm phục	Tôi rất khâm phục lòng dũng cảm của anh ấy.
配合	phối hợp	Xin mọi người phối hợp với sự sắp xếp của giáo viên.
盆	chậu; cái chậu	Trên ban công có một chậu hoa.
碰	chạm; đụng	Cẩn thận, đừng chạm vào nước nóng.
批	lô; đợt	Lô hàng này hôm nay đã đến.
批准	phê duyệt; chấp thuận	Giám đốc đã phê duyệt kế hoạch này.
披	khoác	Cô ấy khoác một chiếc áo ngoài.
疲劳	mệt mỏi	Làm việc trong thời gian dài sẽ cảm thấy mệt mỏi.
匹	con; tấm	Trên bãi cỏ có một con ngựa.
片	lát; miếng	Xin cho tôi một lát bánh mì.
片面	phiến diện	Cách nhìn này quá phiến diện.
飘	bay; trôi	Bông tuyết bay trong không trung.
拼音	bính âm; bính âm Hán ngữ	Xin hãy viết bính âm bên cạnh chữ Hán.
频道	kênh	Xin hãy chuyển sang kênh tin tức.
凭	dựa vào; bằng	Dựa vào vé có thể vào cửa.
平均	trung bình	Trung bình mỗi người tiêu mười nhân dân tệ.
平	bằng phẳng	Con đường này rất bằng phẳng.
平安	bình an	Chúc bạn thượng lộ bình an.
平常	bình thường; thường ngày	Bình thường anh ấy rất ít khi đến muộn.
平等	bình đẳng	Mỗi người đều nên được đối xử bình đẳng.
平方	vuông; mét vuông	Căn phòng này rộng hai mươi mét vuông.
平衡	cân bằng	Công việc và cuộc sống cần sự cân bằng.
平静	yên tĩnh; bình lặng	Mặt hồ rất bình lặng.
评价	đánh giá	Giáo viên đã đưa ra đánh giá rất cao.
破产	phá sản	Công ty đó đã phá sản năm ngoái.
破坏	phá hoại; làm hỏng	Xin đừng phá hoại tài sản công cộng.
迫切	cấp bách; khẩn thiết	Chúng tôi đang rất cần thêm bác sĩ.
期待	mong đợi	Tôi rất mong đợi chuyến đi lần này.
期间	trong thời gian; trong lúc	Trong thời gian họp, xin hãy tắt điện thoại.
其余	phần còn lại; những cái khác	Các vấn đề còn lại sẽ thảo luận vào ngày mai.
奇迹	kỳ tích; phép màu	Bác sĩ nói đây là một kỳ tích.
企业	doanh nghiệp	Doanh nghiệp này phát triển rất nhanh.
启发	gợi mở; truyền cảm hứng	Cuốn sách này đã cho tôi rất nhiều gợi mở.
气氛	bầu không khí	Bầu không khí trong lớp học rất thoải mái.
汽油	xăng	Xe cần đổ xăng.
签	ký	Xin hãy ký tên ở đây.
谦虚	khiêm tốn	Anh ấy rất xuất sắc, cũng rất khiêm tốn.
前途	tiền đồ; triển vọng	Chuyên ngành này rất có triển vọng.
浅	nông	Con sông này rất nông.
欠	nợ; thiếu	Anh ấy vẫn còn nợ tôi hai mươi nhân dân tệ.
枪	súng	Cảnh sát đang cầm súng trong tay.
墙	tường	Trên tường treo một bức tranh.
强调	nhấn mạnh	Giáo viên nhấn mạnh vấn đề an toàn.
强烈	mạnh mẽ; mãnh liệt	Anh ấy có tinh thần trách nhiệm rất mạnh.
抢	tranh; giành	Đừng tranh chỗ ngồi với người khác.
悄悄	lặng lẽ; âm thầm	Cô ấy lặng lẽ bước vào phòng.
瞧	nhìn; xem	Bạn xem, bên ngoài đang có tuyết rơi.
巧妙	khéo léo; tinh tế	Cách này rất khéo léo.
切	cắt; thái	Xin hãy cắt trái cây thành miếng nhỏ.
亲爱	thân yêu	Bạn thân yêu, cảm ơn bạn.
亲切	thân thiện; ân cần	Giáo viên nói chuyện rất ân cần.
亲自	đích thân	Giám đốc đích thân tiếp đón khách.
勤奋	chăm chỉ; cần cù	Người chăm chỉ dễ thành công hơn.
清淡	thanh đạm; nhẹ	Tôi thích ăn món thanh đạm.
轻视	xem nhẹ; coi thường	Đừng xem nhẹ vấn đề nhỏ này.
轻易	dễ dàng; tùy tiện	Anh ấy sẽ không dễ dàng bỏ cuộc.
青	xanh lam ngả lục; xanh	Chiếc áo này có màu xanh lam ngả lục.
青春	tuổi trẻ	Tuổi trẻ rất quý giá.
青少年	thanh thiếu niên	Thanh thiếu niên cần ngủ đủ giấc.
情景	cảnh; tình cảnh	Cảnh trong phim rất cảm động.
情绪	cảm xúc	Cảm xúc của anh ấy không ổn định lắm.
请求	yêu cầu; lời thỉnh cầu	Anh ấy đưa ra một yêu cầu.
庆祝	chúc mừng; ăn mừng	Chúng tôi ăn mừng sinh nhật của anh ấy.
球迷	người hâm mộ bóng đá; cổ động viên	Rất nhiều cổ động viên đến xem trận đấu.
趋势	xu hướng	Xu hướng này ngày càng rõ ràng.
取消	hủy	Vì trời mưa nên hoạt động bị hủy.
娶	cưới vợ	Anh ấy dự định cưới cô ấy vào năm sau.
去世	qua đời	Ông nội của anh ấy đã qua đời năm ngoái.
圈	vòng tròn; khoanh tròn	Xin hãy khoanh tròn đáp án đúng.
全面	toàn diện	Chúng ta cần hiểu tình hình một cách toàn diện.
权利	quyền lợi; quyền	Mỗi người đều có quyền được giáo dục.
权力	quyền lực	Quyền lực nên được giám sát.
劝	khuyên	Bạn tôi khuyên tôi nghỉ ngơi sớm hơn.
缺乏	thiếu	Khu vực này thiếu nước sạch.
确定	xác định	Tôi vẫn chưa thể xác định thời gian.
确认	xác nhận	Xin hãy xác nhận địa chỉ của bạn.
群	nhóm; đàn	Một nhóm trẻ em đang chơi trên sân vận động.
燃烧	cháy; đốt	Gỗ đang cháy.
绕	vòng quanh	Chúng tôi đi vòng quanh hồ một vòng.
热爱	yêu tha thiết	Anh ấy yêu công việc của mình.
热烈	nhiệt liệt	Mọi người nhiệt liệt chào đón khách.
热心	nhiệt tình	Hàng xóm đều rất nhiệt tình.
人才	nhân tài; người tài	Công ty cần thêm nhiều nhân tài.
人口	dân số	Thành phố này có dân số đông.
人类	nhân loại	Nhân loại cần bảo vệ Trái Đất.
人民币	nhân dân tệ	Tôi đã đổi một ít nhân dân tệ.
人生	cuộc đời	Cuộc đời có rất nhiều lựa chọn.
人事	nhân sự	Cô ấy làm việc ở bộ phận nhân sự.
人物	nhân vật	Các nhân vật trong tiểu thuyết rất chân thực.
人员	nhân viên; nhân sự	Nhân viên đã đến đủ rồi.
忍不住	không nhịn được	Nghe câu chuyện cười, anh ấy không nhịn được cười.
日常	hằng ngày	Đây là công việc hằng ngày của tôi.
日程	lịch trình	Lịch trình hôm nay rất kín.
日历	lịch	Trên tường treo một cuốn lịch.
日期	ngày tháng	Xin hãy viết rõ ngày tháng.
日用品	đồ dùng hằng ngày	Siêu thị bán rất nhiều đồ dùng hằng ngày.
日子	ngày tháng; thời gian	Những ngày này anh ấy rất bận.
如何	như thế nào	Chúng ta nên giải quyết vấn đề này như thế nào?
如今	ngày nay	Ngày nay giao thông tiện lợi hơn nhiều.
软	mềm	Chiếc giường này rất mềm.
软件	phần mềm	Phần mềm này rất dễ dùng.
弱	yếu	Cơ thể anh ấy tương đối yếu.
洒	làm đổ; rắc	Anh ấy không cẩn thận làm đổ nước.
嗓子	cổ họng; giọng nói	Cổ họng tôi hơi đau.
色彩	màu sắc	Bức tranh này có màu sắc rất phong phú.
杀	giết	Trong bộ phim này không có cảnh giết người.
沙漠	sa mạc	Nước trong sa mạc rất quý giá.
沙滩	bãi biển	Bọn trẻ đang chơi trên bãi biển.
傻	ngốc; dại	Đừng làm chuyện dại dột.
晒	phơi; tắm nắng	Quần áo đang được phơi trên ban công.
删除	xóa	Xin hãy xóa bức thư điện tử này.
闪电	chớp; tia sét	Đêm qua xuất hiện tia sét.
善良	lương thiện; tốt bụng	Cô ấy là một người tốt bụng.
善于	giỏi; khéo về	Anh ấy giỏi giải quyết vấn đề.
扇子	quạt	Mùa hè tôi thường dùng quạt.
伤害	làm tổn thương; gây hại	Đừng làm tổn thương tình cảm của người khác.
商品	hàng hóa	Cửa hàng này có rất nhiều hàng hóa.
商务	thương vụ; kinh doanh	Ngày mai anh ấy đi dự cuộc họp kinh doanh.
商业	thương mại	Thương mại ở khu vực này rất phát triển.
上当	bị lừa	Anh ấy suýt bị lừa.
蛇	rắn	Trong bụi cỏ có một con rắn.
舍不得	không nỡ; tiếc không muốn	Tôi không nỡ rời khỏi nơi này.
射击	bắn súng	Anh ấy đang luyện bắn súng.
摄影	nhiếp ảnh	Cô ấy rất quan tâm đến nhiếp ảnh.
设备	thiết bị	Thiết bị trong phòng thí nghiệm rất tiên tiến.
设计	thiết kế	Thiết kế này rất sáng tạo.
设施	cơ sở vật chất	Cơ sở vật chất thể thao của trường rất tốt.
伸	duỗi; đưa ra	Xin hãy đưa tay ra.
深刻	sâu sắc	Trải nghiệm lần này để lại ấn tượng sâu sắc với tôi.
身材	dáng người; vóc dáng	Cô ấy có vóc dáng khỏe mạnh.
身份	thân phận; danh tính	Xin hãy xuất trình giấy tờ chứng minh danh tính.
神话	thần thoại	Trẻ con thích nghe truyện thần thoại.
神秘	thần bí; bí ẩn	Thành cổ này rất bí ẩn.
升	lít; tăng	Giá dầu tăng một chút mỗi lít.
声调	thanh điệu	Tiếng Hán có bốn thanh điệu cơ bản.
生产	sản xuất	Nhà máy này sản xuất điện thoại di động.
生动	sinh động	Giáo viên giảng rất sinh động.
生长	sinh trưởng; lớn lên	Loại cây này sinh trưởng rất nhanh.
