simplified	DE	example_DE
蛋白质	Eiweiß; Protein	Eier enthalten viel Eiweiß.
诞辰	Geburtstag; Jahrestag der Geburt	Heute ist der Geburtstag dieses Schriftstellers.
诞生	entstehen; geboren werden	Diese Idee entstand in der Diskussion.
当场	an Ort und Stelle	Er gab den Fehler an Ort und Stelle zu.
当初	damals; ursprünglich	Damals unterstützten wir alle diese Entscheidung.
当代	gegenwärtig; zeitgenössisch	Die gegenwärtige Gesellschaft verändert sich sehr schnell.
当面	von Angesicht zu Angesicht	Bei Problemen sollte man sie am besten von Angesicht zu Angesicht klären.
当前	derzeit; gegenwärtig	Derzeit ist es am wichtigsten, die Sicherheit zu gewährleisten.
当事人	betroffene Partei	Die Polizei befragt gerade die betroffene Partei.
当务之急	dringendste Aufgabe	Die Lösung des Wohnungsproblems ist die dringendste Aufgabe.
当选	gewählt werden	Sie wurde reibungslos zur Vorsitzenden gewählt.
党	Partei	Diese Partei stellte eine neue Politik vor.
档案	Akte; Archivunterlagen	Die Schule bewahrt die Akten der Schüler auf.
档次	Niveau; Rang	Dieses Hotel hat ein hohes Niveau.
倒闭	pleitegehen; schließen müssen	Der kleine Laden musste letztes Jahr schließen.
导弹	Lenkflugkörper; Rakete	Die Nachrichten berichteten über einen Raketentest.
导航	Routenführung; Navigation	Bitte öffne die Routenführung auf dem Handy.
导向	Ausrichtung	Die Bildungspolitik sollte auf Fairness ausgerichtet sein.
捣乱	stören; Unruhe stiften	Bitte störe nicht im Unterricht.
盗窃	Diebstahl	Das Einkaufszentrum verstärkte Maßnahmen gegen Diebstahl.
稻谷	Reisgetreide	Die Bauern ernten gerade Reisgetreide.
得不偿失	der Verlust überwiegt den Gewinn	Billige schlechte Materialien zu kaufen, nur um Geld zu sparen, lohnt sich nicht.
得力	fähig; tatkräftig	Er ist ein fähiger Assistent des Managers.
得天独厚	von Natur aus begünstigt	Diese Stadt hat von Natur aus geografische Vorteile.
得罪	beleidigen; es sich verscherzen	Ich möchte meine Kollegen nicht wegen Kleinigkeiten beleidigen.
灯笼	Laterne	Zum Frühlingsfest hängen rote Laternen am Eingang.
登录	sich anmelden	Bitte melde dich zuerst in deinem Konto an.
登陆	an Land gehen; auf Land treffen	Der Taifun könnte heute Abend an der Küste auf Land treffen.
蹬	treten; sich abstoßen	Er trat kräftig in die Pedale, und das Fahrrad setzte sich in Bewegung.
等候	warten	Die Passagiere warten in der Halle auf das Boarding.
等级	Stufe; Rang	Diese Software hat verschiedene Mitgliedsstufen.
瞪	anstarren	Er starrte mich wütend an.
堤坝	Damm; Deich	Nach dem Starkregen muss der Damm sorgfältig geprüft werden.
敌视	feindselig behandeln	Wir sollten andere Meinungen nicht feindselig behandeln.
抵达	ankommen	Das Flugzeug kam pünktlich in Peking an.
抵抗	Widerstand leisten	Die Dorfbewohner leisteten gemeinsam Widerstand gegen die Flut.
抵制	boykottieren	Die Verbraucher begannen, minderwertige Produkte zu boykottieren.
地步	Stadium; Lage	Die Sache ist noch nicht bis zu diesem ernsten Stadium gekommen.
地势	Geländeform; Lage	Das Gelände hier liegt höher und sammelt nicht leicht Wasser.
地质	Geologie	Experten untersuchen gerade die geologischen Verhältnisse vor Ort.
递增	schrittweise zunehmen	Der Umsatz nahm drei Monate in Folge zu.
颠簸	holprig; schaukeln	Die Bergstraße ist sehr holprig, beim Fahren muss man vorsichtig sein.
颠倒	vertauschen; umkehren	Du hast die Reihenfolge der beiden Zahlen vertauscht.
典礼	Zeremonie	Die Abschlusszeremonie findet in der Aula statt.
典型	typisch	Das ist ein typischer Erfolgsfall.
点缀	schmücken; verzieren	Ein paar kleine Blumen schmückten den Esstisch.
垫	unterlegen	Bitte lege dieses Papier unter die Tasse.
奠定	den Grundstein legen	Diese Zusammenarbeit legte die Grundlage für eine langfristige Beziehung.
惦记	an jemanden denken; sich sorgen	Die Mutter denkt ständig an ihr Kind in der Ferne.
电源	Stromversorgung	Bitte schalte vor dem Weggehen die Stromversorgung aus.
叼	im Maul tragen	Der Hund trug einen Knochen im Maul.
雕刻	schnitzen; gravieren	Er schnitzt gern Muster in Holz.
雕塑	Skulptur	In der Mitte des Platzes steht eine Skulptur.
吊	anheben; aufhängen	Die Arbeiter hoben den Stahlträger mit einer Maschine an.
调动	versetzen; mobilisieren	Die Firma versetzte ihn zur Arbeit nach Shanghai.
跌	fallen	Der Aktienkurs ist heute wieder gefallen.
丁	Würfelchen	Im Rezept steht, dass man die Kartoffeln in Würfel schneiden soll.
叮嘱	einschärfen; wiederholt ermahnen	Der Lehrer schärfte uns wiederholt ein, auf Sicherheit zu achten.
盯	anstarren	Bitte starre andere nicht die ganze Zeit an.
定期	regelmäßig	Der Arzt riet ihm, den Körper regelmäßig untersuchen zu lassen.
定义	Definition	Bitte erkläre zuerst die Definition dieses Begriffs.
丢人	peinlich; beschämend	In der Öffentlichkeit zu lügen ist wirklich beschämend.
丢三落四	vergesslich sein	Er ist immer vergesslich und vergisst beim Weggehen oft seine Schlüssel.
东道主	Gastgeber	Als Gastgeber müssen wir gut für die Gäste sorgen.
东张西望	sich überall umsehen	Schau im Unterricht nicht dauernd überall herum.
董事长	Vorstandsvorsitzender	Der Vorstandsvorsitzende nahm heute an der Sitzung teil.
冻结	einfrieren; sperren	Die Bank sperrte dieses Konto vorübergehend.
动荡	unruhig; turbulent	Der Krieg machte diese Region lange Zeit unruhig.
动机	Motiv	Die Polizei untersucht gerade sein Motiv.
动静	Geräusch; Bewegung	Im Zimmer war kein Geräusch zu hören.
动力	Antrieb; Motivation	Interesse ist der Antrieb des Lernens.
动脉	Arterie	Der Arzt untersuchte seine Arterie.
动身	aufbrechen	Wir brechen morgen früh zum Flughafen auf.
动手	handgreiflich werden; anfangen	Solange die Sache nicht geklärt ist, soll niemand handgreiflich werden.
动态	Entwicklung; aktueller Stand	Bitte verfolge jederzeit den aktuellen Stand des Projekts.
动员	mobilisieren	Die Schule mobilisierte die Schüler zur Teilnahme an Freiwilligenarbeit.
栋	Zähleinheitswort für Gebäude	Dieses Gebäude hat zwanzig Stockwerke.
兜	Tasche	Er steckte den Schlüssel in die Jackentasche.
陡峭	steil	Dieser Bergweg ist sehr steil.
斗争	Kampf	Sie kämpfen für den Umweltschutz.
督促	antreiben; mahnen	Der Manager mahnt alle, die Aufgabe pünktlich zu erledigen.
毒品	Drogen	Der Zoll beschlagnahmte eine Ladung Drogen.
独裁	Diktatur; Alleinherrschaft	Die Menschen lehnen diktatorische Herrschaft ab.
堵塞	verstopfen	Abfall verstopfte den Abwasserkanal.
赌博	Glücksspiel	Glücksspiel kann ernste Folgen haben.
杜绝	unterbinden; verhindern	Das Unternehmen verlangt, Verschwendung zu unterbinden.
端	tragen; servieren	Er kam mit einer Tasse heißem Tee herein.
端午节	Drachenbootfest	Zum Drachenbootfest essen wir Zongzi.
端正	korrigieren; aufrichtig	Schüler sollten ihre Lernhaltung korrigieren.
短促	kurz; knapp	Er stieß einen kurzen Seufzer aus.
断定	feststellen; urteilen	Jetzt kann man noch nicht feststellen, wer recht hat.
断绝	abbrechen; abschneiden	Nach dem Unfall war das Dorf von der Außenwelt abgeschnitten.
堆积	sich anhäufen	Der Schnee häufte sich am Straßenrand.
兑现	einlösen; erfüllen	Endlich erfüllte er sein Versprechen.
对策	Gegenmaßnahme; Strategie	Angesichts der Risiken brauchen wir Gegenmaßnahmen.
对称	symmetrisch	Die linke und rechte Seite dieses Gebäudes sind sehr symmetrisch.
对付	bewältigen; umgehen mit	Dieses Problem ist schwer zu bewältigen.
对抗	gegeneinander antreten	Die beiden Mannschaften treten im Finale gegeneinander an.
对立	gegensätzlich; einander gegenüberstehen	Die Positionen beider Seiten sind völlig gegensätzlich.
对联	Neujahrsreimpaar	Zum Frühlingsfest klebten sie Neujahrsreimpaare an die Tür.
对应	entsprechen	Jede Nummer entspricht einem Sitzplatz.
对照	vergleichen	Bitte vergleiche die Übersetzung mit dem Originaltext.
队伍	Truppe; Zug	Der Demonstrationszug bewegte sich langsam vorwärts.
顿时	sofort; augenblicklich	Als er diese Nachricht hörte, erstarrte er sofort.
哆嗦	zittern	Es war zu kalt, und er zitterte die ganze Zeit.
多元化	Diversifizierung	Das Unternehmen treibt die Diversifizierung seiner Geschäfte voran.
堕落	verkommen; absinken	Er wollte sich nicht weiter sinken lassen.
额外	zusätzlich	Für diese Dienstleistung wird eine zusätzliche Gebühr erhoben.
恶心	Übelkeit; ekelhaft	Als ich diesen Geruch roch, wurde mir etwas übel.
恶化	sich verschlechtern	Ohne Behandlung kann sich die Krankheit verschlechtern.
遏制	eindämmen	Die Regierung ergriff Maßnahmen, um die Verschmutzung einzudämmen.
恩怨	Groll; alte Feindschaft	Der Groll zwischen den beiden Firmen besteht schon lange.
而已	nur; weiter nichts	Ich habe es nur beiläufig gesagt, weiter nichts.
二氧化碳	Kohlendioxid	Pflanzen nehmen Kohlendioxid auf.
发布	veröffentlichen; herausgeben	Das Unternehmen veröffentlicht morgen ein neues Produkt.
发财	reich werden	Er hofft, durch harte Arbeit reich zu werden.
发呆	geistesabwesend sein	Sie saß am Fenster und starrte geistesabwesend vor sich hin.
发动	mobilisieren; starten	Freiwillige mobilisierten die Bewohner, die Straße zu reinigen.
发觉	bemerken	Ich bemerkte, dass er heute etwas nervös war.
发射	abschießen; starten	Die Rakete wird am Abend gestartet.
发誓	schwören	Er schwor, nie wieder zu lügen.
发行	veröffentlichen; vertreiben	Dieser Film kommt nächsten Monat heraus.
发炎	sich entzünden	Die Wunde ist etwas entzündet.
发扬	entfalten; weiterführen	Wir müssen den Geist der Teamarbeit weiterführen.
发育	sich entwickeln	Die körperliche Entwicklung von Kindern braucht ausreichend Nährstoffe.
法人	juristische Person	Diese Firma ist eine eigenständige juristische Person.
番	Art; Äußerung	Diese Worte gaben mir viel Anregung.
凡是	alle, die; jedes Mal wenn	Alle, die sich angemeldet haben, müssen an der Schulung teilnehmen.
繁华	wohlhabend; belebt	Diese Straße war früher sehr belebt.
繁忙	geschäftig; stark belastet	Der Flughafen ist in den Ferien besonders stark ausgelastet.
繁体字	traditionelle Schriftzeichen	In Taiwan werden häufig traditionelle Schriftzeichen verwendet.
繁殖	sich vermehren	Diese Pflanze vermehrt sich sehr leicht.
反驳	widerlegen	Er widerlegte diese Ansicht mit Daten.
反常	ungewöhnlich	Das Wetter ist heute etwas ungewöhnlich.
反感	Abneigung	Ich habe gegen diese Art von Werbung eine starke Abneigung.
反抗	sich widersetzen	Die Menschen begannen, sich ungerechten Regeln zu widersetzen.
反馈	Rückmeldung	Die Kunden gaben die Rückmeldung, dass das System sehr stabil sei.
反面	Rückseite	Bitte drehe das Papier auf die Rückseite.
反射	reflektieren	Ein Spiegel reflektiert Licht.
反思	nachdenken; reflektieren	Nach dem Misserfolg dachte er ernsthaft über die Gründe nach.
反问	zurückfragen	Er antwortete nicht, sondern stellte mir eine Gegenfrage.
反之	umgekehrt	Ein zu hoher Preis verringert die Nachfrage, umgekehrt gilt es ebenso.
泛滥	über die Ufer treten; sich ausbreiten	Der Starkregen ließ den Fluss über die Ufer treten.
范畴	Bereich; Kategorie	Diese Frage gehört in den Bereich des Rechts.
贩卖	verkaufen; illegal handeln	Das Gesetz verbietet den Handel mit gefälschten Medikamenten.
方位	Position; Richtung	Auf der Karte ist die genaue Position markiert.
方言	Dialekt	Er kann den lokalen Dialekt verstehen.
方圆	im Umkreis von	Im Umkreis von zehn Kilometern gibt es kein Krankenhaus.
方针	Richtlinie; Leitlinie	Das Unternehmen legte eine neue Entwicklungsleitlinie fest.
防守	Verteidigung	Die Verteidigung dieser Mannschaft ist sehr stabil.
防御	Verteidigung; abwehren	Die Stadtmauer diente früher der Verteidigung gegen Feinde.
防止	verhindern	Bitte schnalle dich an, um Verletzungen zu vermeiden.
防治	Vorbeugung und Behandlung	Der Arzt erklärte Methoden zur Vorbeugung und Behandlung von Krankheiten.
纺织	Textil; weben	Diese Stadt ist für ihre Textilindustrie bekannt.
访问	besuchen; interviewen	Der Reporter interviewt morgen diesen Schriftsteller.
放大	vergrößern	Bitte vergrößere das Bild ein wenig.
放射	ausstrahlen	Dieses Material strahlt Wärme ab.
非法	illegal	Illegale Geschäfte werden bestraft.
飞禽走兽	Vögel und Tiere	Im Wald leben alle möglichen Vögel und Tiere.
飞翔	fliegen	Möwen fliegen über dem Meer.
飞跃	Sprung; Durchbruch	Die Entwicklung der Technologie machte einen großen Sprung.
肥沃	fruchtbar	Dieses Land ist sehr fruchtbar.
诽谤	Verleumdung	Wer andere verleumdet, muss rechtliche Verantwortung tragen.
废除	abschaffen	Diese alte Vorschrift wurde bereits abgeschafft.
废寝忘食	Essen und Schlafen vergessen	Er vergaß wegen seiner Forschung Essen und Schlafen.
废墟	Ruine	Nach dem Erdbeben wurde der Ort zu Ruinen.
沸腾	kochen	Das Wasser kocht schon.
肺	Lunge	Rauchen schadet der Lunge.
分辨	unterscheiden	Es fällt mir schwer, diese beiden Farben zu unterscheiden.
分寸	Maß; Takt	Auch beim Scherzen muss man das richtige Maß beachten.
分红	Dividende; Gewinn ausschütten	Die Aktionäre können am Jahresende eine Dividende erhalten.
分解	zerlegen	Der Lehrer zerlegte das komplizierte Problem in mehrere Schritte.
分裂	Spaltung	Interne Konflikte führten zur Spaltung der Organisation.
分泌	absondern	Diese Drüse sondert Hormone ab.
分明	klar; deutlich	Die Fakten sind bereits sehr klar.
分歧	Meinungsverschiedenheit	Beide Seiten haben beim Preis Meinungsverschiedenheiten.
分散	verteilen; streuen	Bitte verteile das Risiko auf verschiedene Projekte.
吩咐	anweisen; auftragen	Der Chef wies mich an, die Unterlagen zu ordnen.
坟墓	Grab	Am Hang steht ein altes Grab.
粉末	Pulver	Bitte zermahle die Tablette zu Pulver.
粉色	Rosa	Sie kaufte einen rosa Schal.
粉碎	zerschlagen; zerbrechen	Die Polizei zerschlug diese Verbrecherbande.
分量	Gewicht; Bedeutung	Dieser Satz hat großes Gewicht.
愤怒	Wut; wütend	Sein Ton war voller Wut.
丰满	voll; reichhaltig	Der Inhalt dieses Artikels ist noch nicht reichhaltig genug.
丰盛	reichhaltig	Sie bereiteten ein reichhaltiges Abendessen vor.
丰收	reiche Ernte	In diesem Jahr hatten die Bauern eine reiche Ernte.
封闭	sperren; geschlossen	Während der Bauarbeiten wird diese Straße gesperrt.
封建	feudal	Dieses feudale Denken hätte längst verändert werden sollen.
封锁	absperren; blockieren	Die Polizei sperrte den Unfallort ab.
锋利	scharf	Dieses Messer ist sehr scharf.
风暴	Sturm	Auf dem Meer kam plötzlich ein Sturm auf.
风度	Ausstrahlung; Haltung	Auf der Bühne wirkte er sehr würdevoll.
风光	Landschaft	Die Naturlandschaft hier ist sehr schön.
风气	Atmosphäre; Sitte	Die Schule hat eine gute Lernatmosphäre geschaffen.
风趣	humorvoll	Er spricht sehr humorvoll.
风土人情	Landschaft und Bräuche	Durch Reisen kann man die lokalen Bräuche kennenlernen.
风味	Geschmack; lokaler Charakter	Dieses Restaurant hat einen starken lokalen Charakter.
逢	jedes Mal wenn	Jedes Wochenende ist der Park sehr lebhaft.
奉献	beitragen; widmen	Der Arzt widmete den Patienten viel Zeit.
否决	ablehnen; veto einlegen	Der Vorstand lehnte diesen Vorschlag ab.
夫妇	Ehepaar	Dieses Ehepaar betreibt einen kleinen Laden.
夫人	Ehefrau; Frau	Herr Wang nahm mit seiner Frau am Abendessen teil.
敷衍	oberflächlich behandeln	Er antwortete nur mit ein paar oberflächlichen Sätzen.
俘虏	Gefangener	Nach dem Krieg wurden die Gefangenen freigelassen.
幅度	Ausmaß; Spanne	Die Preissenkung fiel diesmal sehr groß aus.
服从	gehorchen	Soldaten müssen Befehlen gehorchen.
服气	überzeugt sein	Er verlor den Wettkampf, war innerlich aber nicht überzeugt.
福利	Wohlfahrt; Sozialleistungen	Die Mitarbeiter legen großen Wert auf die Sozialleistungen des Unternehmens.
福气	Glück; Segen	Einem guten Lehrer zu begegnen ist sein Glück.
符号	Symbol	Dieses Symbol steht für Gefahr.
辐射	Strahlung	Der Arzt erinnerte ihn daran, starke Strahlung zu meiden.
俯视	von oben überblicken	Vom Gipfel kann man die ganze Stadt überblicken.
抚摸	streicheln	Sie streichelte sanft den Kopf des Kindes.
抚养	aufziehen; versorgen	Die Großeltern helfen dabei, die Kinder aufzuziehen.
腐败	Korruption	Die Regierung bekämpft Korruption.
腐烂	verrotten	Obst verrottet, wenn es zu lange liegt.
腐蚀	korrodieren; ätzen	Säure greift die Metalloberfläche an.
腐朽	verfallen; verrottet	Sie kritisierten das verfallene System.
辅助	unterstützen	Dieses Werkzeug kann den Unterricht unterstützen.
副	stellvertretend	Sie wurde zur stellvertretenden Managerin ernannt.
复活	wiederbelebt werden	Dieses traditionelle Fest wird gerade wiederbelebt.
复兴	Wiederbelebung; Renaissance	Kulturelle Wiederbelebung braucht langfristige Anstrengung.
富裕	wohlhabend	Dieses Dorf wird heute immer wohlhabender.
腹泻	Durchfall	Er hat starken Durchfall und muss zum Arzt.
覆盖	bedecken	Starker Schnee bedeckte das ganze Tal.
负担	Last; Belastung	Die Miete wurde zu seiner Hauptbelastung.
赋予	verleihen; geben	Das Gesetz verleiht Bürgern grundlegende Rechte.
附和	nachreden; zustimmen	Er hat keine eigene Meinung und redet anderen nur nach.
附件	Anhang	Bitte sieh dir den Anhang in der E-Mail an.
附属	angegliedert; zugehörig	Dieses Krankenhaus ist ein Universitätsklinikum.
改良	verbessern; veredeln	Experten verbessern gerade diese Reissorte.
盖章	stempeln	Nach der Vertragsunterzeichnung muss gestempelt werden.
钙	Kalzium	Milch enthält viel Kalzium.
尴尬	peinlich; verlegen	In der Sitzung entstand ein peinliches Schweigen.
干旱	Dürre	Lang anhaltende Dürre beeinträchtigte die Ernte.
干扰	stören	Lärm stört meine Arbeit.
干涉	sich einmischen	Eltern sollten sich nicht zu sehr in die Entscheidungen ihrer Kinder einmischen.
干预	eingreifen	Die Regierung griff rechtzeitig in die Marktrisiken ein.
感慨	gerührt seufzen; bewegt sein	Beim Anblick der alten Fotos war er sehr bewegt.
感染	infizieren	Dieses Virus infiziert leicht Kinder.
干劲	Elan; Arbeitseifer	Alle arbeiten mit großem Elan.
扛	tragen; schultern	Der Legende nach war er so stark, dass er einen Kessel tragen konnte.
纲领	Programm; Leitlinie	Die Sitzung verabschiedete ein neues Aktionsprogramm.
岗位	Arbeitsplatz; Posten	Sie gewöhnte sich schnell an den neuen Posten.
港口	Hafen	Das Frachtschiff liegt im Hafen.
港湾	Bucht; Hafenbucht	Das kleine Boot fuhr in die stille Bucht.
杠杆	Hebel; Leverage	Diese Investition nutzte einen hohen Hebel.
高超	hervorragend; meisterhaft	Seine Technik bei der Autoreparatur ist hervorragend.
高潮	Höhepunkt	Das Spiel erreichte in den letzten zehn Minuten seinen Höhepunkt.
高峰	Spitze; Stoßzeit	Acht Uhr morgens ist die Verkehrsspitze.
高明	klug; geschickt	Diese Methode ist wirklich klug.
高尚	edel; nobel	Die Berufsethik eines Arztes ist edel.
高涨	steigen; anwachsen	Die Begeisterung des Publikums stieg ständig.
稿件	Manuskript	Der Redakteur überarbeitet gerade das Manuskript.
告辞	sich verabschieden	Es ist schon spät, wir verabschieden uns zuerst.
告诫	warnen; ermahnen	Der Lehrer warnte die Schüler, nicht zu betrügen.
割	schneiden	Er schnitt sich versehentlich in den Finger.
搁	legen; abstellen	Bitte lege die Unterlagen auf den Tisch.
歌颂	preisen; besingen	Dieses Gedicht preist die Arbeiter.
疙瘩	Beule; Knoten	An seinem Arm entstand eine Beule.
鸽子	Taube	Auf dem Platz gibt es viele Tauben.
格局	Struktur; Aufteilung	Die Aufteilung dieser Wohnung ist sehr vernünftig.
格式	Format	Bitte fülle das Formular im vorgeschriebenen Format aus.
隔阂	Entfremdung; Kluft	Missverständnisse vertieften die Kluft zwischen ihnen.
隔离	Isolation; isolieren	Der Patient muss vorübergehend isoliert werden.
革命	Revolution	Diese Revolution veränderte das Schicksal des Landes.
个体	Individuum	Jedes Individuum hat unterschiedliche Bedürfnisse.
各抒己见	jeder äußert seine Meinung	In der Sitzung äußerten alle ihre eigene Meinung.
根深蒂固	tief verwurzelt	Diese Vorstellung ist bereits tief verwurzelt.
根源	Wurzel; Ursache	Die Ursachen der Armut sind sehr komplex.
跟前	vor jemandem; in der Nähe	Das Kind lief zur Mutter.
跟随	folgen	Der Reporter folgte der Gruppe in die Bergregion.
跟踪	verfolgen; nachverfolgen	Die Polizei verfolgt gerade die Spur des Verdächtigen.
更新	aktualisieren	Das System aktualisiert sich heute Nacht automatisch.
更正	korrigieren	Die Zeitung korrigierte den Fehler am nächsten Tag.
耕地	Ackerland; pflügen	Die Bauern pflügen im Frühling die Felder.
供不应求	Nachfrage übersteigt Angebot	Dieses Medikament ist derzeit knapp.
供给	Versorgung	Die Stadt braucht eine stabile Wasser- und Stromversorgung.
公安局	Büro für öffentliche Sicherheit	Er ging zur Polizeibehörde, um Anzeige zu erstatten.
公道	gerecht; fair	Alle hoffen auf eine faire Behandlung.
公告	Bekanntmachung	Die Schule veröffentlichte eine Bekanntmachung über den Unterrichtsausfall.
公关	Öffentlichkeitsarbeit	Das Unternehmen engagierte ein professionelles PR-Team.
公民	Bürger	Jeder Bürger sollte das Gesetz befolgen.
公然	offen; unverhohlen	Er verstieß offen gegen die Wettkampfregeln.
公认	allgemein anerkannt	Sie ist eine allgemein anerkannte ausgezeichnete Lehrerin.
公式	Formel	Bitte schreibe dir diese mathematische Formel auf.
公务	Dienstangelegenheit	Er war wegen Dienstangelegenheiten drei Tage auf Geschäftsreise.
公正	gerecht; unparteiisch	Ein Richter muss unparteiisch bleiben.
公证	beglaubigen; notarielle Beglaubigung	Dieses Dokument muss notariell beglaubigt werden.
功劳	Verdienst	An diesem Erfolg haben alle ihren Anteil.
功效	Wirkung	Die Wirkung dieses Medikaments muss noch überprüft werden.
宫殿	Palast	Die Touristen besichtigten den alten Palast.
工艺品	Kunsthandwerk	Dieses Kunsthandwerk wurde von Hand hergestellt.
恭敬	respektvoll	Er begrüßte den alten Mann respektvoll.
攻击	angreifen	Hacker griffen die Website des Unternehmens an.
攻克	bewältigen; erobern	Das Forschungsteam bewältigte ein schwieriges technisches Problem.
巩固	festigen	Wiederholung kann das Gelernte festigen.
共和国	Republik	Diese Republik wurde im vergangenen Jahrhundert gegründet.
共计	insgesamt	Diese Waren umfassen insgesamt dreihundert Kisten.
共鸣	Resonanz	Dieses Lied rief bei vielen Menschen Resonanz hervor.
勾结	sich verschwören	Sie verschworen sich mit Außenstehenden, um Geld zu erschleichen.
钩子	Haken	An der Wand hängen mehrere Haken.
构思	konzipieren	Der Schriftsteller konzipiert gerade einen neuen Roman.
姑且	vorläufig; fürs Erste	Diesen Plan probieren wir vorläufig eine Woche lang aus.
孤独	einsam	Nach dem Umzug in eine neue Stadt fühlte er sich einsam.
孤立	isoliert	Betrachte dieses Problem nicht isoliert.
辜负	enttäuschen	Ich möchte die Erwartungen meiner Eltern nicht enttäuschen.
古董	Antiquität	Der Großvater sammelt einige Antiquitäten.
古怪	seltsam	Seine Idee ist etwas seltsam.
股东	Aktionär	Die Aktionärsversammlung findet nächste Woche statt.
股份	Anteil; Aktie	Er hält Anteile an dem Unternehmen.
骨干	Kernkraft; Rückgrat	Diese Ingenieure sind das Rückgrat des Teams.
鼓动	aufwiegeln; anstiften	Jemand stiftete die Menge zum Protest an.
固然	zwar; gewiss	Diese Methode ist zwar einfach, aber das Risiko ist nicht klein.
固体	Feststoff	Eis ist die feste Form von Wasser.
固有	eigen; inhärent	Jede Kultur hat ihre eigenen Merkmale.
固执	stur	Er ist zu stur und will keine Ratschläge hören.
故乡	Heimat	Nach vielen Jahren kehrte er in seine Heimat zurück.
故障	Störung	Der Aufzug hat eine Störung und ist vorübergehend außer Betrieb.
雇佣	einstellen; beschäftigen	Das Unternehmen beschloss, mehr technische Fachkräfte einzustellen.
顾虑	Bedenken	Wenn du Bedenken hast, kannst du sie direkt sagen.
顾问	Berater	Wir haben einen Rechtsberater eingeladen.
拐杖	Gehstock	Der alte Mann nimmt beim Ausgehen oft einen Gehstock mit.
关怀	Fürsorge	Der Lehrer gab den Schülern viel Fürsorge.
关照	sich kümmern um; betreuen	Bitte kümmere dich unterwegs mehr um das Kind.
官方	offiziell	Die offiziellen Nachrichten werden morgen veröffentlicht.
观光	besichtigen; Sightseeing machen	Die Touristen machten eine Bootsfahrt zur Besichtigung.
管辖	verwalten; zuständig sein	Dieses Gebiet untersteht der Stadtregierung.
惯例	Gepflogenheit; übliche Praxis	Vor Sitzungsbeginn die Gäste vorzustellen ist üblich.
灌溉	bewässern	Die Bauern bewässern die Felder mit Flusswasser.
罐	Dose; Gefäß	Auf dem Tisch steht eine Dose Tee.
贯彻	umsetzen; durchführen	Das Unternehmen muss die neuen Sicherheitsstandards umsetzen.
光彩	Glanz; Ausstrahlung	Dieses Kleid lässt sie strahlend aussehen.
光辉	glänzend; ruhmreich	Seine Leistungen hinterließen eine ruhmreiche Seite.
光芒	Lichtstrahl; Glanz	Die Sonnenstrahlen erhellten das Tal.
光荣	ehrenvoll	Dem Land zu dienen ist ehrenvoll.
广阔	weit; ausgedehnt	Die Steppe ist endlos weit.
归根到底	letztlich	Letztlich liegt das Problem im Management.
归还	zurückgeben	Bitte gib die Bücher rechtzeitig zurück.
规范	Norm; standardisieren	Die Schule erließ Regeln zur Verwaltung des Labors.
规格	Spezifikation	Die Spezifikationen dieser Teile sind uneinheitlich.
规划	Planung	Die Stadtplanung muss den Verkehr berücksichtigen.
规章	Regeln; Vorschriften	Die Mitarbeiter müssen die Vorschriften des Unternehmens einhalten.
轨道	Gleis; Bahn	Der Zug fährt entlang der Gleise.
贵族	Adel; Adliger	Dieses Gut gehörte früher dem Adel.
跪	knien	Er kniete vor der Götterstatue nieder.
棍棒	Stock; Knüppel	Die Polizei beschlagnahmte die Knüppel am Tatort.
国防	Landesverteidigung	Der Aufbau der Landesverteidigung erfordert langfristige Investitionen.
国务院	Staatsrat	Der Staatsrat veröffentlichte eine neue Mitteilung.
果断	entschlossen	Die Führung traf entschlossen eine Entscheidung.
过度	übermäßig	Übermäßige Handynutzung kann den Schlaf beeinträchtigen.
过渡	Übergang	Das Unternehmen befindet sich in einer Übergangsphase der Transformation.
过奖	übertrieben loben	Du lobst mich zu sehr, ich muss noch lernen.
过滤	filtern	Dieses Gerät kann Verunreinigungen filtern.
过失	Fehler; Fahrlässigkeit	Dieser Unfall wurde durch menschliches Versagen verursacht.
过问	sich kümmern um; nachfragen	Der Manager kümmert sich selten um solche Kleinigkeiten.
过瘾	befriedigend; richtig Spaß machen	Dieses Spiel anzusehen hat wirklich Spaß gemacht.
过于	zu sehr; übermäßig	Dieser Plan ist zu kompliziert.
嗨	hi; he	Hallo, warum bist du auch gekommen?
海拔	Höhe über dem Meeresspiegel	Dieses Dorf liegt sehr hoch über dem Meeresspiegel.
海滨	Küste; Strand	Sie verbrachten das Wochenende an der Küste.
含糊	vage; unklar	Seine Antwort war sehr vage.
含义	Bedeutung	Dieses Wort hat eine besondere Bedeutung.
寒暄	Smalltalk machen	Nach dem Treffen machten sie zuerst ein wenig Smalltalk.
罕见	selten	Diese Krankheit ist sehr selten.
捍卫	verteidigen	Der Anwalt bemühte sich, die Rechte der Partei zu verteidigen.
航空	Luftfahrt	Die Fluggesellschaft strich den Flug.
航天	Raumfahrt	Chinas Raumfahrt entwickelt sich sehr schnell.
航行	fahren; schiffen	Das Schiff fährt auf dem Meer.
行列	Reihe; Gruppe	Sie trat der Gruppe der Freiwilligen bei.
毫米	Millimeter	Dieses Glas ist fünf Millimeter dick.
毫无	überhaupt kein	Seine Erklärung hat überhaupt keine Grundlage.
豪迈	kühn; kraftvoll	Sein Gesang war kraftvoll und großherzig.
