simplified	HY	example_HY
沟通	հաղորդակցություն; շփվել	Լավ հաղորդակցությունը շատ կարևոր է։
构成	կազմել; ձևավորել	Այս մասերը միասին կազմում են մեկ ամբողջություն։
姑姑	հոր քույր; հորաքույր	Հանգստյան օրերին գնում եմ հորաքրոջս տեսնելու։
姑娘	աղջիկ; օրիորդ	Այդ աղջիկը շատ սրտացավ է։
古代	հին ժամանակներ; հնագույն	Հին ժամանակներում հեռախոսներ չկային։
古典	դասական	Ես սիրում եմ դասական երաժշտություն։
股票	բաժնետոմս	Նա մի քանի բաժնետոմս գնեց։
骨头	ոսկոր	Այս ոսկորը շատ կոշտ է։
鼓舞	ոգեշնչել; խրախուսել	Այս լուրը շատ ոգեշնչող է։
鼓掌	ծափահարել	Հանդիսատեսը ծափահարեց դերասաններին։
固定	ֆիքսված; հաստատուն	Ես ֆիքսված աշխատանքային ժամեր ունեմ։
挂号	հերթագրվել; գրանցվել բժշկի մոտ	Բժշկի գնալուց առաջ պետք է նախ հերթագրվել։
乖	հնազանդ; լավ վարքով	Այս երեխան շատ հնազանդ է։
拐弯	թեքվել; շրջադարձ կատարել	Առջևի խաչմերուկում աջ թեքվիր։
怪不得	զարմանալի չէ; դրա համար էլ	Զարմանալի չէ, որ դու այդքան հոգնած ես։
关闭	փակել; անջատել	Դուրս գալուց առաջ խնդրում եմ անջատեք համակարգիչը։
官	պաշտոնյա	Նա երիտասարդ պաշտոնյա է։
观察	դիտարկել; հետևել	Բժիշկը հետևում է հիվանդի վիճակին։
观点	տեսակետ	Ես համաձայն եմ քո տեսակետի հետ։
观念	պատկերացում; գաղափար	Երիտասարդների պատկերացումները փոխվում են։
管子	խողովակ	Այս խողովակից ջուր է կաթում։
冠军	չեմպիոն	Նա հաղթեց մրցույթում և դարձավ չեմպիոն։
光滑	հարթ; սահուն	Այս սեղանի մակերեսը շատ հարթ է։
光临	այցելել; պատվել ներկայությամբ	Սիրով սպասում ենք ձեր հաջորդ այցելությանը։
光明	լուսավոր; պայծառ	Ապագան պայծառ է։
光盘	սկավառակ; օպտիկական սկավառակ	Խնդրում եմ, նյութերը պահեք սկավառակի վրա։
广场	հրապարակ	Հրապարակում շատ մարդիկ կան։
广大	լայն; մեծաթիվ	Այս լուրը լայն ուսանողական շրջանակներում ընդունվեց։
广泛	լայնորեն տարածված; լայն	Այս գիրքը լայն ազդեցություն ունի։
归纳	ամփոփել; ընդհանրացնել	Ուսուցիչը օգնեց մեզ ամփոփել հիմնական կետերը։
规矩	կանոն; կարգուկանոն	Երեխան պետք է կանոններ իմանա։
规律	օրինաչափություն; կանոնավորություն	Կյանքը պետք է կանոնավոր լինի։
规模	մասշտաբ; չափ	Այս ընկերության մասշտաբը մեծ է։
规则	կանոն	Մրցույթի կանոնները շատ պարզ են։
柜台	վաճառասեղան; սպասարկման սեղան	Խնդրում եմ, վճարեք վաճառասեղանի մոտ։
滚	եռալ; գլորվել	Ջուրը արդեն եռում է։
锅	կաթսա; թավա	Կաթսայի մեջ տաք ապուր կա։
国庆节	ազգային տոն; պետական տոն	Ազգային տոնին մենք արձակուրդ ունենք։
国王	թագավոր	Թագավորը պալատում է ապրում։
果然	իսկապես; ինչպես և սպասվում էր	Նա իսկապես ժամանակին եկավ։
果实	պտուղ; արդյունք	Ծառը լի է պտուղներով։
过分	չափազանց; չափն անցած	Նրա պահանջները մի քիչ չափազանց են։
过敏	ալերգիա ունենալ	Ես ծաղկափոշուց ալերգիա ունեմ։
过期	ժամկետանց լինել	Այս շիշ կաթի ժամկետը արդեն անցել է։
哈	հա; հահա	Հա, ես վերջապես հասկացա։
海关	մաքսատուն	Մենք մաքսատանը հերթ ենք կանգնել ստուգման համար։
海鲜	ծովամթերք	Այս ռեստորանի ծովամթերքը շատ թարմ է։
喊	գոռալ; կանչել	Դասարանում բարձր մի գոռա։
行业	ոլորտ; ճյուղ	Զբոսաշրջության ոլորտը արագ է զարգանում։
豪华	շքեղ	Նրանք ապրում են շքեղ հյուրանոցում։
好客	հյուրասեր	Տեղացիները շատ հյուրասեր են։
好奇	հետաքրքրասեր	Երեխան աշխարհի հանդեպ շատ հետաքրքրասեր է։
何必	ինչու պետք է; արժե՞ արդյոք	Ինչու պետք է փոքր բանի համար բարկանալ։
何况	էլ ուր մնաց; առավել ևս	Այսօր ցուրտ է, առավել ևս՝ անձրև էլ է գալիս։
合法	օրինական	Այս պայմանագիրը օրինական է։
合理	խելամիտ; հիմնավոր	Այս գինը շատ խելամիտ է։
合同	պայմանագիր	Նրանք պայմանագիր ստորագրեցին։
合影	խմբակային լուսանկար	Ավարտելիս մենք խմբակային լուսանկար արեցինք։
合作	համագործակցել; համագործակցություն	Մենք միասին համագործակցելով ավարտեցինք նախագիծը։
和平	խաղաղություն	Յուրաքանչյուր մարդ խաղաղություն է ուզում։
核心	միջուկ; առանցք; հիմնական մասը	Վստահությունը համագործակցության առանցքն է։
恨	ատել	Նա ատում է իրեն, որ ավելի շուտ չի ջանացել։
猴子	կապիկ	Կենդանաբանական այգում մի քանի կապիկ կա։
后背	մեջքի հետևի մաս	Նրա մեջքը մի քիչ ցավում է։
后果	հետևանք	Դու պետք է մտածես հետևանքների մասին։
呼吸	շնչել; շնչառություն	Խնդրում եմ, խորը շնչիր։
忽然	հանկարծ	Երկինքը հանկարծ մթնեց։
忽视	անտեսել	Մի անտեսիր այս խնդիրը։
壶	թեյնիկ; սափոր	Սեղանի վրա մի թեյնիկ թեյ կա։
糊涂	շփոթված; անհասկանալի	Այսօր ես մի քիչ շփոթված եմ։
胡说	անհեթեթություն ասել	Անհեթեթություն մի ասա, սա ճիշտ չէ։
胡同	հին նրբանցք	Պեկինում շատ հին նրբանցքներ կան։
蝴蝶	թիթեռ	Այգում մի թիթեռ կա։
花生	գետնանուշ	Նա սիրում է գետնանուշ ուտել։
华裔	չինական ծագում ունեցող	Նա չինական ծագում ունեցող գրող է։
滑	սայթաքուն; սահել	Հատակը շատ սայթաքուն է, զգույշ եղիր։
划	թիավարել; գծել	Նավակում նա պատասխանատու էր թիավարելու համար։
化学	քիմիա	Համալսարանում նա քիմիա է սովորել։
话题	թեմա	Այս թեման շատ հետաքրքիր է։
怀念	կարոտել; հիշել կարոտով	Ես շատ եմ կարոտում համալսարանական կյանքը։
怀孕	հղի լինել	Նա երեք ամսական հղի է։
缓解	մեղմել; թեթևացնել	Հանգիստը կարող է մեղմել ճնշումը։
幻想	երևակայել; երազել	Նա հաճախ երազում է տիեզերք ճանապարհորդելու մասին։
慌张	խուճապահար; շփոթված	Խնդիր առաջանալիս խուճապի մի մատնվիր։
黄金	ոսկի	Ոսկու գինը նորից բարձրացել է։
恢复	վերականգնվել; վերականգնել	Նրա առողջությունը վերականգնվում է։
挥	թափահարել	Նա ձեռքով թափահարեց։
灰	մոխրագույն; մոխիր	Երկինքը մոխրագույն է։
灰尘	փոշի	Սեղանի վրա շատ փոշի կա։
灰心	հուսահատվել	Ձախողվելուց հետո էլ մի հուսահատվիր։
汇率	փոխարժեք	Այսօրվա փոխարժեքը որքա՞ն է։
婚礼	հարսանիք	Նրանց հարսանիքը շատ պարզ էր։
婚姻	ամուսնություն	Ամուսնությունը փոխադարձ հասկանալ է պահանջում։
活跃	ակտիվ; աշխույժ	Նա դասի ժամանակ շատ ակտիվ է։
伙伴	ընկեր; գործընկեր	Նա իմ լավագույն ընկերն է։
火柴	լուցկի	Տուփի մեջ միայն մեկ լուցկի է մնացել։
或许	գուցե; հնարավոր է	Գուցե վաղը անձրև գա։
基本	հիմնական	Սրանք հիմնական պահանջներն են։
机器	մեքենա; սարք	Այս սարքը փչացել է։
激烈	թեժ; ուժգին	Մրցույթը շատ թեժ էր ընթանում։
肌肉	մկան	Մարզվելուց հետո մկանները մի քիչ ցավում են։
及格	անցողիկ գնահատական ստանալ	Այս քննությունը նա հանձնեց։
急忙	շտապ; շտապել	Նա շտապ դուրս վազեց դասարանից։
急诊	շտապ օգնության բաժանմունք	Հիվանդին տեղափոխեցին շտապ օգնության բաժանմունք։
极其	չափազանց; ծայրաստիճան	Այս խնդիրը չափազանց կարևոր է։
集合	հավաքվել; հավաքել	Խնդրում եմ, բոլորդ ութին հավաքվեք մուտքի մոտ։
集体	կոլեկտիվ; խումբ	Սա կոլեկտիվ միջոցառում է։
集中	կենտրոնացնել; հավաքել	Դասի ժամանակ պետք է կենտրոնացնել ուշադրությունը։
寂寞	միայնակ; տխուր	Մենակ ապրելը երբեմն միայնակության զգացում է առաջացնում։
系领带	փողկապ կապել	Նա ամեն օր աշխատանքի գնալուց առաջ փողկապ է կապում։
纪录	ռեկորդ	Նա կոտրեց դպրոցի ռեկորդը։
纪律	կարգապահություն	Դասարանի կարգապահությունը շատ կարևոր է։
纪念	հիշատակել; հիշատակ	Մենք լուսանկարվեցինք այս օրը հիշատակելու համար։
计算	հաշվել	Խնդրում եմ, հաշվեք ընդհանուր ծախսը։
记录	գրանցել; գրառում	Խնդրում եմ, գրի առեք ժողովի բովանդակությունը։
记忆	հիշողություն	Այս հիշողությունը շատ թանկ է։
嘉宾	հյուր; պատվավոր հյուր	Այսօրվա հյուրը մի գրող է։
夹子	սեղմակ	Խնդրում եմ, փաստաթղթերը սեղմակով ամրացրեք։
家庭	ընտանիք	Ընտանիքը երեխայի համար շատ կարևոր է։
家务	տնային գործեր	Հանգստյան օրերին ես տնային գործեր պետք է անեմ։
家乡	հայրենի քաղաք; ծննդավայր	Ես շատ եմ կարոտում իմ ծննդավայրը։
假如	եթե; ենթադրենք	Եթե վաղը անձրև գա, մենք չենք գնա։
假设	ենթադրել; ենթադրություն	Ենթադրենք դու ուսուցիչ ես, ի՞նչ կանես։
假装	ձևացնել	Նա ձևացրեց, թե չի լսել։
甲	առաջին կողմ; առաջին	Առաջին կողմը պետք է ժամանակին վճարի։
价值	արժեք	Այս գիրքը մեծ արժեք ունի։
嫁	ամուսնանալ; կնության գնալ	Նա հաջորդ տարի ամուսնանալու է իր ընկերոջ հետ։
驾驶	վարել; մեքենա վարել	Մեքենա վարելիս պետք է զգույշ վարել։
兼职	կես դրույքով աշխատանք; համատեղ աշխատել	Նա երեկոյան կես դրույքով է աշխատում։
坚决	վճռական; կտրուկ	Նա վճռականորեն համաձայն չէ այս որոշման հետ։
坚强	ուժեղ; տոկուն	Նա ուժեղ մարդ է։
肩膀	ուս	Նրա ուսը վնասվել է։
艰巨	ծանր; դժվարին	Սա ծանր առաջադրանք է։
艰苦	դժվար; ծանր	Նրանք ծանր կյանք են ապրել։
剪刀	մկրատ	Խնդրում եմ, մկրատը փոխանցիր ինձ։
捡	վերցնել; գետնից վերցնել	Նա վերցրեց գետնին ընկած դրամապանակը։
简历	ինքնակենսագրություն; աշխատանքային կենսագրություն	Աշխատանքի դիմելուց առաջ պետք է ինքնակենսագրություն պատրաստել։
简直	ուղղակի; պարզապես	Այս լուրը ուղղակի զարմացնող է։
健身	մարզվել; առողջական մարզում	Նա շաբաթը երեք անգամ գնում է մարզվելու։
建立	ստեղծել; հիմնել	Մենք նոր հարաբերություններ ստեղծեցինք։
建设	կառուցում; կառուցել	Քաղաքի կառուցապատումը արագ է զարգանում։
建筑	շենք; ճարտարապետական կառույց	Այս շենքը շատ առանձնահատուկ է։
键盘	ստեղնաշար	Իմ ստեղնաշարը մաքրելու կարիք ունի։
讲究	կարևորել; պահանջկոտ լինել	Չինացիները ուտելու հարցում շատ նրբություններ են կարևորում։
讲座	դասախոսություն	Այս երեկո չինարենի դասախոսություն կա։
酱油	սոյայի սոուս	Ուտեստի մեջ մի քիչ սոյայի սոուս ավելացրու։
交换	փոխանակել	Մենք հեռախոսահամարներ փոխանակեցինք։
交际	շփում; հաղորդակցություն	Լեզու սովորելիս պետք է նաև շփում վարժել։
交往	շփվել; հարաբերություն ունենալ	Նրանք երկու տարի հարաբերությունների մեջ էին։
浇	ջրել	Խնդրում եմ, ամեն օր ջրիր ծաղիկները։
胶水	սոսինձ	Ես սոսնձով լուսանկարը կպցրի։
狡猾	խորամանկ	Այդ աղվեսը շատ խորամանկ է։
角度	անկյուն; տեսանկյուն	Եկեք խնդիրը ուրիշ տեսանկյունից նայենք։
教材	ուսումնական նյութ; դասագիրք	Այս դասագիրքը շատ գործնական է։
教练	մարզիչ	Մարզիչը պահանջեց, որ մենք ժամանակին հասնենք։
教训	դաս; խրատ	Այս ձախողումը դաս էր։
接触	շփվել; առնչվել	Ես առաջին անգամ շփվեցի չինական մշակույթի հետ։
接待	ընդունել; հյուրերին սպասարկել	Ընկերությունը հատուկ մարդ նշանակեց հյուրերին ընդունելու համար։
接近	մոտենալ	Գարնան տոնը ավելի ու ավելի է մոտենում։
结实	ամուր; դիմացկուն	Այս ճամպրուկը շատ ամուր է։
阶段	փուլ	Ուսումը բաժանված է երեք փուլի։
结构	կառուցվածք	Այս հոդվածի կառուցվածքը պարզ է։
结合	միավորել; համադրել	Ուսումը պետք է համադրել գործնական աշխատանքի հետ։
结论	եզրակացություն	Նրա եզրակացությունը շատ համոզիչ է։
结账	հաշիվը փակել; վճարել	Ուտելուց հետո մենք գնացինք հաշիվը փակելու։
节省	խնայել	Մետրոյով գնալը կարող է ժամանակ խնայել։
借口	պատրվակ	Այլևս պատրվակներ մի փնտրիր։
届	շրջան; թողարկում; միջոցառման հաշվիչ բառ	Սա երրորդ մրցույթն է։
戒	թողնել; հրաժարվել	Բժիշկը նրան խորհուրդ տվեց թողնել ծխելը։
戒指	մատանի	Նա մի մատանի է կրում։
金属	մետաղ	Երկաթը մետաղի տեսակ է։
尽快	հնարավորինս շուտ	Խնդրում եմ, հնարավորինս շուտ պատասխանեք նամակին։
紧急	շտապ; արտակարգ	Սա արտակարգ իրավիճակ է։
谨慎	զգուշավոր; շրջահայաց	Ներդրում անելուց առաջ պետք է զգուշավոր լինել։
尽力	ջանք գործադրել; հնարավոր ամեն ինչ անել	Ես կփորձեմ հնարավոր ամեն ինչ անել քեզ օգնելու համար։
尽量	հնարավորինս; որքան հնարավոր է	Խնդրում եմ, հնարավորինս շուտ եկեք։
近代	նոր ժամանակներ; ժամանակակից նախորդ շրջան	Նոր ժամանակների Չինաստանում շատ փոփոխություններ եղան։
进步	առաջընթաց	Նրա չինարենը արագ առաջընթաց ունի։
进口	ներմուծել; ներմուծված	Այս մեքենան ներմուծված է։
精力	էներգիա; ուժ	Երեխաները լի են էներգիայով։
精神	առույգ վիճակ; հոգի; ոգի	Այսօր նա շատ առույգ է։
经典	դասական; գլուխգործոց	Սա դասական ֆիլմ է։
经商	առևտրով զբաղվել	Նրա հայրը արտասահմանում առևտրով է զբաղվում։
经营	վարել; կառավարել բիզնես	Նա փոքրիկ խանութ է վարում։
酒吧	բար	Երեկոյան նրանք գնացին բար։
救	փրկել	Բժիշկը փրկեց նրա կյանքը։
救护车	շտապօգնության մեքենա	Շտապօգնության մեքենան արագ հասավ։
舅舅	մոր եղբայր; քեռի	Իմ քեռին Նանջինգում է ապրում։
居然	անսպասելիորեն; նույնիսկ	Նա նույնիսկ իր ծննդյան օրը մոռացավ։
桔子	մանդարին	Սեղանի վրա մի քանի մանդարին կա։
俱乐部	ակումբ	Նա միացավ լողի ակումբին։
具备	ունենալ; օժտված լինել	Նա կառավարման փորձ ունի։
具体	կոնկրետ; մանրամասն	Խնդրում եմ, մի քիչ ավելի կոնկրետ ասեք։
巨大	հսկայական	Այս նախագիծը հսկայական ներդրում է պահանջում։
据说	ասում են; ըստ լուրերի	Ասում են՝ նա արդեն վերադարձել է հայրենիք։
捐	նվիրաբերել	Բոլորը պատրաստ են գումար նվիրաբերել։
决赛	եզրափակիչ	Վաղը ֆուտբոլի եզրափակիչն է։
决心	վճռականություն; որոշում	Նա վճռեց լավ սովորել չինարեն։
绝对	բացարձակապես	Այս գործը բացարձակապես չի կարելի մոռանալ։
角色	դեր; կերպար	Նա ֆիլմում կարևոր դեր է խաղում։
军事	ռազմական գործ; ռազմական	Նրան շատ է հետաքրքրում ռազմական պատմությունը։
均匀	հավասարաչափ	Խնդրում եմ, գույնը հավասարաչափ քսեք։
卡车	բեռնատար	Մի բեռնատար կանգնած է դռան մոտ։
开发	մշակել; զարգացնել	Ընկերությունը նոր արտադրանք է մշակում։
开放	բաց լինել; բացել	Այգին ամեն առավոտ ժամը վեցին բացվում է։
开幕式	բացման արարողություն	Բացման արարողությունը տեղի կունենա վաղը երեկոյան։
开水	եռացրած ջուր	Խնդրում եմ, ինձ մի բաժակ եռացրած ջուր տվեք։
砍	կտրել; հատել	Բանվորները ծառի ճյուղեր են կտրում։
看不起	արհամարհել; վերևից նայել	Ոչ ոքի մի արհամարհիր։
看望	այցելել; տեսության գնալ	Հանգստյան օրերին գնալու եմ պապիկիս ու տատիկիս տեսնելու։
靠	հենվել; ապավինել	Նա հենվել է պատին և հանգստանում է։
颗	հատ; փոքր կլոր բանի հաշվիչ բառ	Գիշերային երկնքում մի աստղ կա։
可见	երևում է; դրանից երևում է	Դրանից երևում է, որ այս մեթոդը շատ արդյունավետ է։
可靠	վստահելի	Նա վստահելի ընկեր է։
可怕	սարսափելի	Այս երազը չափազանց սարսափելի էր։
克	գրամ	Խնդրում եմ, երկու գրամ աղ ավելացրեք։
克服	հաղթահարել	Մենք պետք է հաղթահարենք դժվարությունները։
刻苦	ջանասեր; մեծ ջանքով	Նա շատ ջանասիրաբար է սովորում։
客观	օբյեկտիվ	Խնդրում եմ, խնդիրը օբյեկտիվորեն վերլուծեք։
课程	դասընթաց	Այս դասընթացը շատ օգտակար է։
空间	տարածք	Այս սենյակում տարածքը մեծ է։
控制	վերահսկել; կառավարել	Վարորդը վերահսկեց մեքենայի արագությունը։
空闲	ազատ ժամանակ	Վաղը կեսօրից հետո ազատ ժամանակ ունե՞ս։
口味	ճաշակ; համի նախասիրություն	Նրա ճաշակը համեմատաբար մեղմ է։
夸	գովել	Ուսուցիչը գովեց նրա մեծ առաջընթացը։
夸张	չափազանցված	Նրա դեմքի արտահայտությունը մի քիչ չափազանցված է։
会计	հաշվապահ	Նա ընկերությունում հաշվապահ է աշխատում։
宽	լայն	Այս ճանապարհը շատ լայն է։
昆虫	միջատ	Երեխաները դիտարկում են միջատներին։
扩大	ընդլայնել	Դպրոցը ծրագրում է ընդլայնել գրադարանը։
辣椒	չիլի պղպեղ	Ուտեստի մեջ շատ չիլի պղպեղ են լցրել։
拦	կանգնեցնել; արգելել անցնել	Ոստիկանությունը կանգնեցրեց մի մեքենա։
烂	փտած; փչացած	Այս խնձորը արդեն փչացել է։
朗读	բարձրաձայն կարդալ	Խնդրում եմ, բարձրաձայն կարդացեք տեքստը։
劳动	աշխատանք; ֆիզիկական աշխատանք	Աշխատանքը մարդուն լիարժեքության զգացում է տալիս։
劳驾	ներեցեք; խնդրում եմ	Ներեցեք, մետրոյի կայարանը որտե՞ղ է։
姥姥	մոր մայրը; տատիկ	Իմ տատիկը շատ համեղ է պատրաստում։
老百姓	սովորական ժողովուրդ	Սովորական մարդիկ մտահոգվում են կյանքի ծախսերով։
老板	տնօրեն; գործատեր; սեփականատեր	Տնօրենը այսօր գրասենյակում չէ։
老婆	կին; ամուսինուհի	Նա իր կնոջ համար ծաղիկներ գնեց։
老实	ազնիվ; խելոք; պարզասիրտ	Նա ազնիվ մարդ է։
老鼠	մուկ	Խոհանոցում մի մուկ կա։
乐观	լավատես	Նա ապագայի նկատմամբ շատ լավատես է։
雷	որոտ	Երեկ երեկոյան որոտը շատ բարձր էր։
类型	տեսակ; տիպ	Այսպիսի ֆիլմը ի՞նչ տեսակին է պատկանում։
冷淡	սառը; անտարբեր	Նրա վերաբերմունքը մի քիչ սառն է։
厘米	սանտիմետր	Այս գրիչը տասնհինգ սանտիմետր է։
梨	տանձ	Ես մի քանի տանձ գնեցի։
离婚	ամուսնալուծվել	Նրանք անցյալ տարի ամուսնալուծվեցին։
理论	տեսություն	Այս տեսությունը շատ բարդ է։
理由	պատճառ; հիմնավորում	Ուշանալու ի՞նչ պատճառ ունես։
利润	շահույթ	Այս տարի ընկերության շահույթը աճել է։
利息	տոկոս; տոկոսադրույք	Բանկի տոկոսադրույքը բարձր չէ։
利益	շահ; օգուտ	Մենք պետք է պաշտպանենք բոլորի շահերը։
利用	օգտագործել	Նա հանգստյան օրերն օգտագործում է չինարեն սովորելու համար։
力量	ուժ	Միասնությունը ուժ է։
立即	անմիջապես	Խնդրում եմ, անմիջապես հեռացեք այստեղից։
立刻	անմիջապես; իսկույն	Լուրը լսելուց հետո նա անմիջապես ճանապարհ ընկավ։
联合	միավորվել; համատեղ	Երկու ընկերությունները համատեղ նոր արտադրանք են մշակում։
连忙	շտապ; անմիջապես	Հեռախոսի ձայնը լսելով՝ նա շտապ վերցրեց այն։
连续	անընդմեջ; շարունակական	Նա անընդմեջ տասը ժամ աշխատեց։
恋爱	սիրային հարաբերություն ունենալ	Նրանք սիրային հարաբերությունների մեջ են։
粮食	հացահատիկ; պարեն	Այս տարի հացահատիկի արտադրությունը աճել է։
良好	լավ; բարենպաստ	Նա լավ ուսումնական սովորություններ ունի։
亮	լուսավոր; պայծառ	Սենյակի լույսը շատ պայծառ է։
了不起	հիանալի; արտակարգ	Նա հիանալի արդյունքների հասավ։
列车	գնացք	Գնացքը քիչ անց ճանապարհ կընկնի։
临时	ժամանակավոր	Սա ժամանակավոր որոշում է։
灵活	ճկուն	Ուսման մեթոդները պետք է ճկուն լինեն։
铃	զանգ	Դասի զանգը հնչեց։
零件	մաս; պահեստամաս	Մեքենայից մի պահեստամաս պակասում է։
零食	խորտիկ	Երեխաները սիրում են խորտիկ ուտել։
领导	ղեկավարություն; ղեկավար	Ղեկավարությունը հիմա ժողով է անում։
领域	ոլորտ	Նա աշխատում է կրթության ոլորտում։
流传	տարածվել; փոխանցվել	Այս պատմությունը երկար ժամանակ է փոխանցվում։
流泪	արտասվել; արցունք թափել	Այս լուրը լսելով՝ նա արտասվեց։
浏览	արագ դիտել; զննել	Ես նախ արագ կնայեմ կայքը։
龙	վիշապ	Չինական մշակույթում վիշապ կա։
漏	կաթել; արտահոսել	Տանիքից անձրևաջուր է կաթում։
录取	ընդունել ուսման; ընդունվել	Նրան ընդունեցին համալսարան։
录音	ձայնագրություն; ձայնագրել	Խնդրում եմ, սկսեք ձայնագրությունը։
陆地	ցամաք	Ծովային կրիան բարձրացավ ցամաք։
陆续	մեկը մյուսի հետևից	Հյուրերը մեկը մյուսի հետևից եկան։
轮流	հերթով	Մենք հերթով մաքրում ենք դասարանը։
论文	գիտական աշխատանք; թեզ	Նա գրում է ավարտական աշխատանքը։
逻辑	տրամաբանություն	Նրա տրամաբանությունը շատ պարզ է։
落后	հետ մնալ	Մենք չենք կարող ուրիշներից հետ մնալ։
骂	նախատել; հայհոյել	Խնդրում եմ, երեխաներին մի նախատեք։
麦克风	միկրոֆոն	Խնդրում եմ, միկրոֆոնը փոխանցեք նրան։
馒头	մանթու; շոգեխաշած հացիկ	Նախաճաշին ես մի մանթու կերա։
满足	բավարարել	Այս պատասխանը չի կարող բավարարել պահանջները։
毛病	թերություն; խնդիր	Այս համակարգիչը մի քիչ խնդիր ունի։
矛盾	հակասություն	Նրանց միջև որոշ հակասություններ կան։
冒险	արկածախնդրություն; ռիսկի դիմել	Մենակ այնտեղ գնալը չափազանց ռիսկային է։
贸易	առևտուր	Միջազգային առևտուրը արագ է զարգանում։
媒体	մեդիա; լրատվամիջոց	Լրատվամիջոցները հաղորդեցին այս դեպքի մասին։
煤炭	ածուխ	Այս շրջանում ածուխ են արտադրում։
眉毛	հոնք	Նրա հոնքերը շատ խիտ են։
美术	կերպարվեստ	Իմ կրտսեր քույրը սիրում է կերպարվեստ։
魅力	հմայք	Այս քաղաքը մեծ հմայք ունի։
梦想	երազանք	Նրա երազանքը բժիշկ դառնալն է։
密切	սերտ	Մենք սերտ կապ ենք պահպանում։
秘密	գաղտնիք	Սա մեր գաղտնիքն է։
秘书	քարտուղար	Քարտուղարը նշանակեց ժողովի ժամը։
蜜蜂	մեղու	Ծաղիկների մեջ շատ մեղուներ կան։
面对	առերեսվել; դիմակայել	Մենք պետք է քաջությամբ դիմակայենք դժվարություններին։
面积	տարածք; մակերես	Այս սենյակի մակերեսը մեծ չէ։
面临	բախվել; կանգնել առաջ	Ընկերությունը նոր մարտահրավերի է բախվում։
描写	նկարագրել	Հեղինակը նկարագրել է գյուղական կյանքը։
苗条	սլացիկ	Նրա կազմվածքը շատ սլացիկ է։
敏感	զգայուն	Այս թեման համեմատաբար զգայուն է։
名牌	հայտնի ապրանքանիշ	Նա հայտնի ապրանքանիշի ժամացույց գնեց։
名片	այցեքարտ	Խնդրում եմ, ինձ մի այցեքարտ տվեք։
名胜古迹	տեսարժան և պատմական վայրեր	Պեկինում շատ տեսարժան և պատմական վայրեր կան։
明确	հստակ; պարզ	Ուսուցիչը հստակ բացատրեց պահանջները։
明显	ակնհայտ	Նրա առաջընթացը շատ ակնհայտ է։
明星	աստղ; հայտնի դերասան	Նա ուզում է կինոաստղ դառնալ։
命令	հրաման	Զինվորները պետք է ենթարկվեն հրամաններին։
命运	ճակատագիր	Նա հավատում է, որ ճակատագիրը կարելի է փոխել։
摸	դիպչել; շոշափել	Խնդրում եմ, այս նկարը մի դիպչեք։
摩托车	մոտոցիկլ	Նա մոտոցիկլով է գնում աշխատանքի։
模仿	նմանակել	Երեխաները սիրում են մեծահասակների խոսքը նմանակել։
模糊	անհստակ; մշուշոտ	Այս լուսանկարը մի քիչ անհստակ է։
模特	մոդել	Նա հագուստի մոդել է։
陌生	օտար; անծանոթ	Այս քաղաքը ինձ համար շատ անծանոթ է։
某	ինչ-որ; որոշակի	Ինչ-որ ուսուցիչ ինձ զանգահարեց։
木头	փայտ	Այս սեղանը փայտից է պատրաստված։
目标	նպատակ	Իմ նպատակը քննությունը հանձնելն է։
目录	բովանդակություն; ցուցակ	Խնդրում եմ, նախ նայեք գրքի սկզբի բովանդակությունը։
目前	ներկայումս; այս պահին	Ներկայումս իրավիճակը համեմատաբար կայուն է։
哪怕	նույնիսկ եթե	Նույնիսկ եթե շատ զբաղված է, նա շարունակում է սովորել։
难怪	զարմանալի չէ	Զարմանալի չէ, որ այսօր այդքան ուրախ ես։
难免	անխուսափելի է; բնական է	Առաջին անգամ անելիս սխալվելը բնական է։
脑袋	գլուխ	Նրա գլուխը մի քիչ ցավում է։
内部	ներքին	Սա ընկերության ներքին նյութ է։
内科	ներքին հիվանդությունների բաժին	Նա այսօր գնաց ներքին հիվանդությունների բժշկի մոտ։
嫩	փափուկ; նուրբ	Այս միսը շատ փափուկ է։
能干	կարող; գործնական	Նա շատ կարող մարդ է։
能源	էներգիա; էներգետիկ աղբյուր	Արևային էներգիան մաքուր էներգիայի տեսակ է։
嗯	հըմ; այո	Հըմ, հասկացա։
年代	տասնամյակ; ժամանակաշրջան	Այս լուսանկարը ութսունականներին է արվել։
年纪	տարիք	Նա տարիքով մեծ չէ, բայց շատ փորձ ունի։
念	կարդալ բարձրաձայն; արտասանել	Խնդրում եմ, մեկ անգամ կարդա տեքստը։
宁可	գերադասել	Ես ավելի շուտ կքայլեմ, քան մեքենայի սպասեմ։
牛仔裤	ջինս	Նա մի ջինս է հագել։
农村	գյուղ; գյուղական շրջան	Նա մեծացել է գյուղում։
农民	գյուղացի; ֆերմեր	Գյուղացիները դաշտում աշխատում են։
农业	գյուղատնտեսություն	Գյուղատնտեսությունը այս շրջանի համար շատ կարևոր է։
浓	թունդ; խիտ	Այս սուրճը չափազանց թունդ է։
女士	տիկին	Այդ տիկինը սպասում է մեքենային։
欧洲	Եվրոպա	Նա հաջորդ ամիս Եվրոպա է մեկնելու։
偶然	պատահաբար	Ես պատահաբար հանդիպեցի հին համադասարանցուս։
