hsk_key	source_word	simplified	PT-BR	example_PT-BR	ES-419	example_ES-419
1530:内心	内心	内心	o íntimo; os sentimentos	No íntimo, ele está na verdade muito nervoso.	el interior; los sentimientos	En su interior, en realidad está muy nervioso.
1531:能否	能否	能否	se é possível; se se pode	Desculpe, é possível inscrever-me com antecedência?	si se puede; si es posible	Disculpe, ¿es posible inscribirse con antelación?
1532:能够	能够	能够	poder; ser capaz de	Ele consegue concluir o trabalho de forma independente.	poder; ser capaz de	Él puede completar el trabajo de forma independiente.
1535:年底	年底	年底	o fim do ano	A empresa vai organizar um jantar de grupo no fim do ano.	el final del año	La empresa organizará una cena de grupo a finales de año.
1539:女性	女性	女性	feminino; mulher	Esta loja tem muitas clientes mulheres.	femenino; mujer	Esta tienda tiene muchas clientas.
1543:排	排	排	fazer fila; fila	Todos fazem fila à porta.	formar fila; fila	Todos hacen fila en la entrada.
1544:牌	牌	牌	a placa; o cartão; a marca	A placa à entrada mostra o horário de funcionamento.	el letrero; la tarjeta; la marca	El letrero de la entrada muestra el horario de apertura.
1546:排球	排球	排球	o voleibol	À tarde vamos jogar voleibol.	el voleibol	Esta tarde jugamos al voleibol.
1547:牌子	牌子	牌子	a marca; a placa	As malas desta marca são muito populares.	la marca; el letrero	Los bolsos de esta marca son muy populares.
1560:葡萄酒	葡萄酒	葡萄酒	o vinho	Ao jantar, beberam um pouco de vinho.	el vino	Durante la cena bebieron un poco de vino.
1562:普通	普通	普通	comum; normal	Este é um restaurante comum.	ordinario; común	Este es un restaurante común.
1564:期	期	期	o período; a fase; a edição	Este curso está dividido em três fases.	el período; la fase; el número	Este curso se divide en tres fases.
1565:期末	期末	期末	o fim do período; o fim do semestre	Os exames finais estão a chegar.	el final del semestre; el final del período	Los exámenes finales se acercan.
1566:期中	期中	期中	o meio do período; a prova intermédia	O exame de meio do período é na próxima semana.	la mitad del semestre; el examen parcial	El examen parcial será la semana que viene.
1569:起到	起到	起到	desempenhar um papel; ter efeito	Esta atividade teve um efeito muito bom.	desempeñar; surtir efecto	Esta actividad tuvo un muy buen efecto.
1570:气	气	气	o ar; o gás	O pneu da bicicleta está sem ar.	el aire; el gas	La rueda de la bicicleta no tiene aire.
1572:汽水	汽水	汽水	o refrigerante; a bebida gaseificada	As crianças gostam de beber refrigerante.	el refresco con gas; la soda	A los niños les gusta beber refrescos con gas.
1573:气温	气温	气温	a temperatura do ar	A temperatura de hoje está mais alta do que a de ontem.	la temperatura del aire	La temperatura de hoy es más alta que la de ayer.
1574:千克	千克	千克	o quilograma	Este saco de arroz pesa cinco quilogramas.	el kilogramo	Esta bolsa de arroz pesa cinco kilogramos.
1577:前方	前方	前方	à frente; adiante	Há um cruzamento à frente.	adelante; delante	Hay una intersección adelante.
1578:前后	前后	前后	cerca de; antes e depois	A reunião levou cerca de duas horas ao todo.	alrededor de; antes y después	La reunión duró unas dos horas en total.
1579:强	强	强	forte	Esta equipa é muito forte.	fuerte	Este equipo es muy fuerte.
1582:巧	巧	巧	coincidente; habilidoso	Que coincidência, encontramo-nos de novo!	casual; hábil	¡Qué casualidad, nos encontramos otra vez!
1585:琴	琴	琴	o instrumento musical; o qin	Ela aprende a tocar um instrumento desde criança.	el instrumento musical; el qin	Ella estudia tocar un instrumento desde niña.
1587:青年	青年	青年	o jovem; a juventude	Muitos jovens gostam deste desporto.	el joven; la juventud	A muchos jóvenes les gusta este deporte.
1591:球队	球队	球队	a equipa desportiva	Esta equipa tem muitos membros novos.	el equipo deportivo	Este equipo tiene muchos miembros nuevos.
1593:区	区	区	o distrito; a zona	Este distrito tem muitas escolas.	el distrito; la zona	Este distrito tiene muchas escuelas.
1596:取得	取得	取得	obter; alcançar	Ele obteve bons resultados.	obtener; lograr	Él logró buenos resultados.
1598:全	全	全	todo; inteiro	A turma toda participou na competição.	todo; entero	Toda la clase participó en la competición.
1600:全都	全都	全都	todos; completamente	Todos estes problemas foram resolvidos.	todos; por completo	Todos estos problemas ya se resolvieron.
1601:全球	全球	全球	global; o mundo inteiro	Turistas de todo o mundo gostam deste ponto turístico.	global; todo el mundo	A los turistas de todo el mundo les gusta este lugar turístico.
1602:全身	全身	全身	o corpo todo	Depois de correr, ficou com o corpo todo suado.	todo el cuerpo	Después de correr, tenía todo el cuerpo cubierto de sudor.
1603:缺	缺	缺	faltar; carecer de	Ainda nos falta uma cadeira.	faltar; carecer de	Todavía nos falta una silla.
1611:人数	人数	人数	o número de pessoas	Não há muitas pessoas nesta atividade.	el número de personas	No hay muchas personas en esta actividad.
1616:仍	仍	仍	ainda	Ele ainda está a estudar chinês.	todavía; aún	Él todavía estudia chino.
1622:入	入	入	entrar	Por favor, entre pelo portão sul.	entrar	Por favor, entre por la puerta sur.
1624:入学	入学	入学	entrar na escola; iniciar os estudos	A criança vai entrar na escola em setembro.	empezar la escuela; ingresar en la escuela	El niño empezará la escuela este septiembre.
1625:入住	入住	入住	fazer check-in; instalar-se	Podemos fazer check-in às duas da tarde.	registrarse; alojarse; mudarse	Podemos hacer el registro a las dos de la tarde.
1627:扫码	扫码	扫码	digitalizar um código; ler um código	É preciso ler um código antes de comprar o bilhete.	escanear un código	Hay que escanear un código antes de comprar el billete.
1632:上门	上门	上门	ao domicílio; porta a porta	O médico pode prestar serviço ao domicílio.	ir a domicilio; puerta a puerta	El médico puede ofrecer servicio a domicilio.
1633:稍	稍	稍	um pouco; ligeiramente	Por favor, espere um momento.	un poco; ligeramente	Por favor, espere un momento.
1635:少见	少见	少见	raro; pouco frequente	Este tipo de situação é relativamente raro.	raro; poco frecuente	Este tipo de situación es relativamente raro.
1636:少量	少量	少量	uma pequena quantidade	Por favor, adicione uma pequena quantidade de sal.	una pequeña cantidad	Por favor, añade una pequeña cantidad de sal.
1637:少数	少数	少数	um pequeno número; minoria	Um pequeno número de alunos escolhe ir a pé para a escola.	una minoría; un número pequeño	Un pequeño número de estudiantes va a la escuela caminando.
1638:少年	少年	少年	o adolescente; o jovem	Este adolescente gosta de jogar basquetebol.	el adolescente; el joven	A este adolescente le gusta jugar al baloncesto.
1641:身	身	身	o corpo; conjunto de roupa	Ele vestia um conjunto todo preto.	el cuerpo; conjunto de ropa	Llevaba un conjunto completo de ropa negra.
1643:身份证	身份证	身份证	o documento de identificação; o cartão de cidadão	É necessário um documento de identificação para pedir o cartão.	el documento de identidad	Para solicitar la tarjeta se necesita el documento de identidad.
1646:生1	生1	生	dar à luz; crescer	Ela deu à luz uma filha ontem.	dar a luz; crecer	Ella dio a luz a una hija ayer.
1647:生2	生2	生	cru; não cozinhado	Este pedaço de carne ainda está cru.	crudo; sin cocinar	Este trozo de carne todavía está crudo.
1655:师生	师生	师生	professores e alunos	Todos os professores e alunos da escola participaram na atividade.	profesores y estudiantes	Todos los profesores y estudiantes de la escuela participaron en la actividad.
1659:时间表	时间表	时间表	o horário; o cronograma	Por favor, envie-me o horário.	el horario; el cronograma	Por favor, envíame el horario.
1660:实际上	实际上	实际上	na verdade; de facto	Na verdade, ele já sabia a resposta há muito tempo.	en realidad; de hecho	En realidad, él sabía la respuesta desde hacía mucho.
1661:食品	食品	食品	o alimento; o produto alimentar	Esta loja vende produtos alimentares importados.	el alimento; el producto alimenticio	Esta tienda vende alimentos importados.
1662:食堂	食堂	食堂	a cantina; o refeitório	Ao meio-dia, comemos na cantina.	el comedor; la cafetería	Al mediodía comemos en el comedor.
1665:十字路口	十字路口	十字路口	o cruzamento	Vire à esquerda no cruzamento.	la intersección; el cruce	Gira a la izquierda en la intersección.
1667:使馆	使馆	使馆	a embaixada	Ele foi à embaixada tratar do visto.	la embajada	Él fue a la embajada para tramitar la visa.
1674:市区	市区	市区	a zona urbana; o centro da cidade	O transporte na zona urbana é muito conveniente.	la zona urbana; el centro	El transporte en la zona urbana es muy cómodo.
1675:试题	试题	试题	a questão de exame; a pergunta do teste	Esta questão de exame é um pouco difícil.	la pregunta de examen; el ejercicio de examen	Esta pregunta de examen es un poco difícil.
1677:收费	收费	收费	cobrar uma taxa	Este parque de estacionamento cobra à hora.	cobrar una tarifa	Este estacionamiento cobra por hora.
1680:收听	收听	收听	ouvir uma emissão	Sejam bem-vindos ao programa de hoje.	escuchar una emisión	Bienvenidos al programa de hoy.
1685:售票员	售票员	售票员	o vendedor de bilhetes; o bilheteiro	O bilheteiro disse-nos a hora do último autocarro.	el vendedor de billetes; el taquillero	El taquillero nos dijo la hora del último autobús.
1688:熟	熟	熟	familiar; cozinhado	Conheço muito bem esta estrada.	familiar; cocido	Conozco muy bien este camino.
1690:暑假	暑假	暑假	as férias de verão	Nas férias de verão quero ir à praia.	las vacaciones de verano	Quiero ir a la playa durante las vacaciones de verano.
1693:树林	树林	树林	o bosque; o arvoredo	As crianças brincam junto ao bosque.	el bosque; la arboleda	Los niños juegan al borde del bosque.
1699:说法	说法	说法	a forma de dizer; a explicação	Esta forma de dizer não é muito exata.	la forma de decirlo; la explicación	Esta forma de decirlo no es muy precisa.
1701:说明书	说明书	说明书	o manual de instruções	Por favor, leia primeiro o manual de instruções antes de usar.	el manual de instrucciones	Por favor, lee primero el manual de instrucciones antes de usarlo.
1705:塑料	塑料	塑料	o plástico	Esta caixa é feita de plástico.	el plástico	Esta caja está hecha de plástico.
1707:酸奶	酸奶	酸奶	o iogurte	Ao pequeno-almoço bebi um copo de iogurte.	el yogur	En el desayuno tomé un vaso de yogur.
1708:算	算	算	calcular; contar como	Calculei este problema de forma errada.	calcular; contar como	Calculé mal este problema.
1711:孙女	孙女	孙女	a neta	A avó conta muitas vezes histórias à neta.	la nieta	La abuela a menudo le cuenta historias a su nieta.
1716:抬头	抬头	抬头	levantar a cabeça; olhar para cima	Por favor, levante a cabeça e olhe para o quadro.	levantar la cabeza; mirar hacia arriba	Por favor, levanta la cabeza y mira la pizarra.
1718:弹	弹	弹	tocar um instrumento de cordas ou de teclas	Ela sabe tocar piano.	tocar un instrumento de cuerda o teclado	Ella sabe tocar el piano.
1727:提出	提出	提出	apresentar; levantar	Ele levantou uma nova questão.	plantear; proponer	Él planteó una nueva pregunta.
1728:提到	提到	提到	mencionar	O professor mencionou este livro na aula.	mencionar	El profesor mencionó este libro en clase.
1732:体检	体检	体检	o exame médico; o check-up	A empresa organiza um exame médico uma vez por ano.	el examen médico; la revisión médica	La empresa organiza un examen médico una vez al año.
1733:体温	体温	体温	a temperatura corporal	A enfermeira está a medir a temperatura corporal.	la temperatura corporal	La enfermera está tomando la temperatura.
1734:体重	体重	体重	o peso corporal	O peso dele aumentou dois quilogramas.	el peso corporal	Su peso aumentó dos kilogramos.
1735:填写	填写	填写	preencher	Por favor, preencha este formulário de inscrição.	rellenar; completar	Por favor, rellena este formulario de inscripción.
1737:听力	听力	听力	a compreensão auditiva; a audição	A compreensão oral de chinês dele está a melhorar rapidamente.	la comprensión auditiva; la audición	Su comprensión auditiva en chino progresa muy rápido.
1738:听众	听众	听众	os ouvintes; o público	Há especialmente muitos ouvintes hoje.	el público; los oyentes	Hoy hay muchísimos oyentes.
1740:停车	停车	停车	estacionar; parar	Não é permitido estacionar aqui.	aparcar; estacionar; detenerse	No se permite estacionar aquí.
1741:停车场	停车场	停车场	o parque de estacionamento	Há um parque de estacionamento atrás do centro comercial.	el estacionamiento; el aparcamiento	Hay un estacionamiento detrás del centro comercial.
1742:停止	停止	停止	parar; cessar	Depois de a chuva parar, vamos sair.	detenerse; parar; cesar	Cuando pare la lluvia, saldremos.
1743:通	通	通	estar aberto; passar	Esta estrada já está aberta.	estar abierto; pasar por	Esta carretera ya está abierta.
1746:童年	童年	童年	a infância	Passei a minha infância no campo.	la infancia	Pasé mi infancia en el campo.
1748:同样	同样	同样	igual; o mesmo	Ele também cometeu o mesmo erro.	igual; lo mismo	Él también cometió el mismo error.
1749:桶	桶	桶	o balde; o barril	Há um balde de água à porta.	el cubo; el barril	Hay un cubo de agua junto a la puerta.
1750:痛	痛	痛	doloroso; doer	A minha mão dói um pouco.	doloroso; doler	Me duele un poco la mano.
1751:头痛	头痛	头痛	a dor de cabeça	Ele dormiu pouco ontem à noite e hoje está com dor de cabeça.	el dolor de cabeza	Él durmió poco anoche y hoy tiene dolor de cabeza.
1752:图	图	图	a imagem; o gráfico; o mapa	Por favor, veja a imagem no livro.	la imagen; el gráfico; el mapa	Por favor, mira la imagen del libro.
1753:图片	图片	图片	a imagem; a fotografia	Esta imagem está muito nítida.	la imagen; la foto	Esta imagen es muy clara.
1754:土	土	土	a terra; o solo	A terra do vaso está demasiado seca.	la tierra; el suelo	La tierra de la maceta está demasiado seca.
1757:推出	推出	推出	lançar; introduzir	A empresa lançou um novo produto.	lanzar; presentar	La empresa lanzó un nuevo producto.
1760:外出	外出	外出	sair	Antes de sair no fim de semana, feche bem portas e janelas.	salir	Antes de salir el fin de semana, cierra bien las puertas y ventanas.
1761:外套	外套	外套	o casaco; a jaqueta	Está frio, lembre-se de vestir um casaco.	el abrigo; la chaqueta	Hace frío; recuerda ponerte un abrigo.
1763:晚安	晚安	晚安	boa noite	Antes de dormir, a mãe diz boa noite à criança.	buenas noches	Antes de dormir, la madre le dice buenas noches al niño.
1764:晚餐	晚餐	晚餐	o jantar	O jantar de hoje é muito simples.	la cena	La cena de esta noche es muy sencilla.
1765:网购	网购	网购	comprar online	Ela gosta de comprar roupa online.	comprar en línea	A ella le gusta comprar ropa en línea.
1767:网页	网页	网页	a página web	Esta página web abre muito lentamente.	la página web	Esta página web se abre muy lentamente.
1768:网友	网友	网友	o amigo online; o internauta	Ele conversa com amigos online sobre métodos de estudo.	el amigo en línea; el internauta	Él habla con amigos en línea sobre métodos de estudio.
1769:网址	网址	网址	o endereço web; o URL	Por favor, envie-me o endereço web.	la dirección web; la URL	Por favor, envíame la dirección web.
1772:味	味	味	o sabor; o gosto	Este prato tem um pouco de sabor picante.	el sabor; el gusto	Este plato tiene un poco de sabor picante.
1774:卫生	卫生	卫生	a higiene; sanitário	A higiene no restaurante é muito importante.	la higiene; sanitario	La higiene del restaurante es muy importante.
1782:无法	无法	无法	não poder; não ter maneira de	A chuva está muito forte, por isso não podemos sair.	no poder; no tener manera de	La lluvia es demasiado fuerte, así que no podemos salir.
1785:午餐	午餐	午餐	o almoço	Almoçamos ao meio-dia.	el almuerzo; la comida del mediodía	Almorzamos a las doce.
1787:吸	吸	吸	inalar; sugar	Por favor, não fume aqui.	inhalar; chupar	Por favor, no fume aquí.
1788:西部	西部	西部	a parte ocidental; o oeste	O oeste da China tem muitas montanhas altas.	la parte occidental; el oeste	El oeste de China tiene muchas montañas altas.
1791:细	细	细	fino; delgado	A linha escrita por esta caneta é muito fina.	fino; delgado	La línea que escribe este bolígrafo es muy fina.
1792:细心	细心	细心	cuidadoso; atento	Ela é muito cuidadosa no trabalho.	cuidadoso; atento	Ella es muy cuidadosa en su trabajo.
1793:下降	下降	下降	descer; diminuir	A temperatura vai descer amanhã.	bajar; disminuir	La temperatura bajará mañana.
1794:鲜	鲜	鲜	fresco	Este peixe está muito fresco.	fresco	Este pescado está muy fresco.
1795:鲜花	鲜花	鲜花	as flores frescas	Há um ramo de flores frescas sobre a mesa.	las flores frescas	Hay un ramo de flores frescas sobre la mesa.
1799:线上	线上	线上	online; em linha	Este curso pode ser estudado online.	en línea; online	Este curso se puede estudiar en línea.
1800:线下	线下	线下	offline; presencial	A atividade presencial começa na próxima semana.	fuera de línea; presencial	La actividad presencial empieza la semana que viene.
1801:现有	现有	现有	existente; atual	Vamos usar primeiro o equipamento existente.	existente; actual	Primero usaremos el equipo existente.
1803:相比	相比	相比	comparado com	Comparado com o ano passado, este ano é mais ocupado.	comparado con	Comparado con el año pasado, este año es más ocupado.
1805:相互	相互	相互	mutuamente; uns aos outros	Os colegas devem ajudar-se mutuamente.	mutuamente; entre sí	Los compañeros de clase deben ayudarse mutuamente.
1809:想法	想法	想法	a ideia; a opinião	Quero ouvir as suas ideias.	la idea; la opinión	Quiero escuchar tus ideas.
1815:小组	小组	小组	o pequeno grupo	O nosso grupo tem quatro pessoas.	el grupo pequeño	Nuestro grupo tiene cuatro personas.
1818:血	血	血	o sangue	Há um pouco de sangue no papel.	la sangre	Hay un poco de sangre en el papel.
1819:心	心	心	o coração; a mente	O coração dela bate muito depressa.	el corazón; la mente	Su corazón late muy rápido.
1826:星星	星星	星星	as estrelas	As estrelas estão muito brilhantes esta noite.	las estrellas	Las estrellas están muy brillantes esta noche.
1828:性	性	性	sufixo de natureza ou qualidade	A aprendizagem exige iniciativa.	sufijo de naturaleza o cualidad	El aprendizaje requiere iniciativa.
1833:熊	熊	熊	o urso	Há um urso no jardim zoológico.	el oso	Hay un oso en el zoológico.
1834:修	修	修	reparar; consertar	O técnico está a reparar o ar condicionado.	reparar; arreglar	El técnico está reparando el aire acondicionado.
1837:学费	学费	学费	a propina; as mensalidades	A propina deste semestre já foi paga.	la matrícula; las tasas de estudio	La matrícula de este semestre ya fue pagada.
1838:学院	学院	学院	a faculdade; o instituto	Ela estuda na faculdade de línguas estrangeiras.	la facultad; el instituto	Ella estudia en la facultad de lenguas extranjeras.
1839:压	压	压	premir; segurar	Por favor, segure esta folha de papel com a mão.	presionar; sujetar	Presiona esta hoja de papel con la mano.
1843:烟	烟	烟	o fumo; o cigarro	Há cheiro a fumo no quarto.	el humo; el cigarrillo	Hay olor a humo en la habitación.
1847:研究生	研究生	研究生	o estudante de pós-graduação	Ele é estudante de pós-graduação.	el estudiante de posgrado	Él es estudiante de posgrado.
1849:演	演	演	representar; interpretar	Ele interpreta um médico no filme.	actuar; interpretar	Él interpreta a un médico en la película.
1850:演唱	演唱	演唱	cantar; interpretar uma canção	O cantor vai interpretar uma canção nova esta noite.	cantar; interpretar una canción	El cantante interpretará una nueva canción esta noche.
1853:眼前	眼前	眼前	diante dos olhos; no momento	A oportunidade está mesmo diante dos nossos olhos.	ante los ojos; en este momento	La oportunidad está justo ante nuestros ojos.
1863:夜晚	夜晚	夜晚	a noite	As noites de verão são muito tranquilas.	la noche; la tarde-noche	Las noches de verano son muy tranquilas.
1866:已	已	已	já	O número de inscrições já está completo.	ya	El número de inscripciones ya está completo.
1867:以内	以内	以内	dentro de	Por favor, responda dentro de três dias.	dentro de	Por favor, responde dentro de tres días.
1869:一生	一生	一生	a vida inteira	Ele amou música durante toda a vida.	toda la vida	Él amó la música durante toda su vida.
1875:赢得	赢得	赢得	ganhar; conquistar	A equipa ganhou o jogo.	ganar; conseguir	El equipo ganó el partido.
1879:用来	用来	用来	usar para; servir para	Esta faca é usada para cortar fruta.	usarse para; servir para	Este cuchillo se usa para cortar fruta.
1880:用于	用于	用于	ser usado para; destinar-se a	Este dinheiro é usado para comprar livros.	usarse para; destinarse a	Este dinero se usa para comprar libros.
1885:油	油	油	o óleo; o azeite	Coloque um pouco de óleo na frigideira.	el aceite	Pon un poco de aceite en la sartén.
1887:游玩	游玩	游玩	passear; divertir-se	No fim de semana vamos passear no parque.	pasear; divertirse	El fin de semana iremos al parque a pasear.
1890:友情	友情	友情	a amizade	A amizade deles é muito profunda.	la amistad	Su amistad es muy profunda.
1892:有效	有效	有效	válido; eficaz	Este bilhete ainda é válido hoje.	válido; eficaz	Este billete sigue siendo válido hoy.
1894:有着	有着	有着	ter; possuir	Esta cidade tem uma longa história.	tener; poseer	Esta ciudad tiene una larga historia.
1903:远离	远离	远离	manter-se afastado de	Por favor, mantenha-se afastado da zona perigosa.	mantenerse alejado de	Por favor, mantente alejado de la zona peligrosa.
1904:院长	院长	院长	o diretor; o decano	O diretor participa numa reunião hoje.	el decano; el director	El decano participa en una reunión hoy.
1905:院子	院子	院子	o pátio; o quintal	Há muitas flores plantadas no quintal.	el patio; el jardín	Hay muchas flores plantadas en el patio.
1906:约	约	约	marcar; combinar	Combinei jantar com um amigo.	quedar; concertar una cita	Quedé con un amigo para cenar juntos.
1908:月饼	月饼	月饼	o bolo lunar	Comemos bolos lunares no Festival do Meio do Outono.	el pastel de luna	Comemos pasteles de luna durante la Fiesta del Medio Otoño.
1910:月份	月份	月份	o mês	Em julho o tempo está muito quente.	el mes	En julio hace mucho calor.
1914:再次	再次	再次	novamente; outra vez	Bem-vindo novamente a Pequim.	de nuevo; otra vez	Bienvenido de nuevo a Pekín.
1915:再说	再说	再说	falar disso depois	Vamos falar deste assunto amanhã.	hablar de ello después	Hablemos de este asunto mañana.
1917:暂停	暂停	暂停	pausar; suspender	O jogo foi suspenso por causa da chuva forte.	pausar; suspender	El partido se suspendió por la fuerte lluvia.
1918:早餐	早餐	早餐	o pequeno-almoço	Ao pequeno-almoço comi ovos e pão.	el desayuno	Para el desayuno comí huevos y pan.
1919:早晨	早晨	早晨	a manhã	O ar da manhã é muito fresco.	la mañana	El aire de la mañana es muy fresco.
1922:增长	增长	增长	crescer; aumentar	O rendimento cresceu rapidamente este ano.	crecer; aumentar	Los ingresos crecieron rápidamente este año.
1924:着	着	着	adormecer; acertar	A criança adormeceu rapidamente.	dormirse; acertar; alcanzar	El niño se durmió rápidamente.
1926:者	者	者	sufixo para uma pessoa	O autor apresentou a própria experiência.	sufijo para una persona	El autor presentó su propia experiencia.
1928:整	整	整	inteiro; completo	Durante a aula inteira, ele esteve muito atento.	entero; completo	Durante toda la clase, él estuvo muy atento.
1931:证	证	证	o certificado; a prova	Por favor, mostre o seu cartão de trabalho.	el certificado; la prueba	Por favor, muestra tu identificación de trabajo.
1940:支付	支付	支付	pagar; pagamento	Paguei a tarifa com o telemóvel.	pagar; el pago	Pagué el pasaje con el teléfono.
1941:之后	之后	之后	depois; em seguida	Depois do exame, vamos comer.	después; luego	Después del examen, iremos a comer.
1942:之间	之间	之间	entre	Não há mal-entendido entre eles.	entre	No hay malentendidos entre ellos.
1943:之前	之前	之前	antes	Antes da reunião, leia primeiro os materiais.	antes	Antes de la reunión, lee primero los materiales.
1945:之中	之中	之中	entre; no meio de	Entre estas pessoas, ele é o mais jovem.	entre; en medio de	Entre estas personas, él es el más joven.
1946:值	值	值	valer; valor	Este bilhete vale cem yuans.	valer; valor	Este billete vale cien yuanes.
1952:指出	指出	指出	apontar; indicar	O professor apontou o meu erro.	señalar; indicar	El profesor señaló mi error.
1954:纸巾	纸巾	纸巾	o lenço de papel	Por favor, dê-me um lenço de papel.	el pañuelo de papel	Por favor, dame un pañuelo de papel.
1957:中餐	中餐	中餐	a comida chinesa	A comida chinesa deste restaurante é muito saborosa.	la comida china	La comida china de este restaurante es muy sabrosa.
1958:中年	中年	中年	a meia-idade	Ele já chegou à meia-idade.	la mediana edad	Él ya llegó a la mediana edad.
1965:祝	祝	祝	desejar; felicitar	Desejo-lhe um feliz aniversário!	desear; felicitar	¡Te deseo un feliz cumpleaños!
1971:转发	转发	转发	reenviar; partilhar	Por favor, reenvie o aviso a todos.	reenviar; compartir	Por favor, reenvía el aviso a todos.
1972:转机1	转机1	转机	fazer escala; mudar de avião	Temos de fazer escala em Xangai.	hacer escala; cambiar de avión	Tenemos que hacer escala en Shanghái.
1975:准	准	准	exato; preciso	A resposta dele é muito precisa.	exacto; preciso	Su respuesta es muy precisa.
1980:自	自	自	desde; a partir de	Desde o ano passado, ele vive em Pequim.	desde; a partir de	Desde el año pasado, él vive en Pekín.
1982:自习	自习	自习	o estudo autónomo	Às sete da noite vamos para a sala de aula estudar sozinhos.	el autoestudio; estudiar por cuenta propia	A las siete de la tarde vamos al aula a estudiar por nuestra cuenta.
1984:自学	自学	自学	aprender sozinho; estudar por conta própria	Ele aprende chinês sozinho através de vídeos.	aprender por cuenta propia	Él aprende chino por cuenta propia mediante videos.
1988:最终	最终	最终	finalmente; no fim	No fim, ele decidiu ficar.	finalmente; al final	Al final, él decidió quedarse.
1992:做法	做法	做法	o método; a forma de fazer	Este método é muito simples.	la forma de hacer; el método	Este método es muy sencillo.
1994:做梦	做梦	做梦	sonhar	Ontem à noite sonhei com um amigo.	soñar	Anoche soñé con un amigo.
