simplified	RU	example_RU
信心	уверенность; вера	Мы в тебе очень уверены, у тебя получится.
兴奋	возбужденный; взволнованный; волнение	Дети от радости подпрыгнули, когда услышали, что поедут на весеннюю прогулку.
行	годиться; быть нормально; можно	Так пойдет?
醒	просыпаться; быть бодрствующим	Я проснулся в шесть утра.
幸福	счастье; счастливый	За деньги счастье не купишь.
性别	пол	Пожалуйста, укажите пол во второй строке бланка.
性格	характер	У моей жены очень хороший характер, она никогда не выходит из себя.
修理	ремонтировать; чинить	После ремонта мой компьютер снова может нормально работать.
许多	много; множество	На улице много мусорных урн.
学期	семестр; учебный период	В этом семестре я взял много курсов, включая искусство, историю и экономику.
呀	частица удивления или вопроса	Ах, идет снег!
压力	давление; нагрузка	В последнее время он испытывает сильное давление на работе.
牙膏	зубная паста	У меня закончилась зубная паста, давай завтра купим.
亚洲	Азия; азиатский	Китай - азиатская страна.
严格	строгий	Учитель очень строг с нами.
严重	серьезный; тяжелый	Его болезнь серьезная.
盐	соль	Соли слишком много, блюдо немного соленое.
研究	исследование; изучать	Он изучает эту проблему.
演出	выступление; спектакль; выступать	Перед первым выступлением он нервничал.
演员	актер; актриса	Он известный актер.
眼镜	очки	Он носит эти черные очки.
阳光	солнечный свет	Солнечный свет вошел в комнату через окно.
养成	вырабатывать; формировать привычку	Эта привычка сформировалась у меня с детства.
样子	вид; внешность; манера	Это платье выглядит очень красиво.
邀请	приглашать; приглашение	Он отклонил приглашение всех.
要是	если	Если ты придешь первым, просто подожди меня.
钥匙	ключ	Сегодня я забыл взять ключ.
也许	возможно; может быть	Возможно, он не придет.
叶子	лист; листья	Пришла весна, и на молодых деревьях появились новые листья.
页	страница	Пожалуйста, откройте десятую страницу.
一切	все; всякий	За все домашние дела отвечает мама.
以	считать за; согласно; с помощью	Пожалуйста, возьмите это предложение в качестве примера.
以为	думать; полагать	Я думал, ты уже ушел.
意见	мнение; предложение	Я принимаю все твои мнения.
艺术	искусство	Я очень интересуюсь искусством.
因此	поэтому; вследствие этого	Он заболел, поэтому не пришел на занятия.
引起	вызывать; приводить к	Это дело вызвало у всех недовольство.
印象	впечатление	Он произвел на меня очень хорошее впечатление.
赢	выигрывать; побеждать	Кто выиграл вчерашний футбольный матч?
应聘	откликаться на вакансию; устраиваться на работу	Она хочет откликнуться на эту вакансию.
勇敢	смелый; храбрый	Мой брат очень храбрый человек.
永远	навсегда; вечно	Я никогда не забуду твою помощь.
优点	достоинство; сильная сторона	Нельзя сравнивать свои недостатки с достоинствами других.
优秀	выдающийся; отличный	Он очень хороший врач.
幽默	юмор; юмористический	Профессор Ли говорит очень остроумно.
尤其	особенно	Он любит рисовать, особенно китайскую живопись.
由	от; быть организованным кем-либо	Это мероприятие организуем мы.
由于	из-за; вследствие	Из-за дождя матч перенесли.
邮局	почта; почтовое отделение	Почтовое отделение открывается в девять утра.
友好	дружелюбный	Мой арендодатель очень дружелюбный и часто мне помогает.
友谊	дружба	Между нами глубокая дружба.
有趣	интересный; забавный	Это действительно интересный сон!
于是	поэтому; вслед за этим	Я хотел спросить его кое о чем, поэтому позвонил ему.
愉快	приятный; радостный	Хороших выходных!
与	и; с; вместе с	Он очень уверен в себе и любит конкурировать с другими.
羽毛球	бадминтон	Ты часто играешь в бадминтон?
语法	грамматика	Я выучил немного базовой грамматики.
语言	язык	Чтобы изучать язык, нужно немного понимать его грамматику.
预习	готовиться к уроку заранее	Пожалуйста, хорошо подготовьте текст к уроку.
原来	первоначальный; прежний; оказывается	Я все еще живу на прежнем месте.
原谅	прощать	Пожалуйста, прости то, что я только что сказал.
原因	причина	Он очень ясно объяснил причину.
约会	свидание; встреча	Она начала встречаться с Сяо Ли.
阅读	читать; чтение	Я читаю этот роман.
云	облако	На небе становится все больше облаков.
允许	разрешать; позволять	Пожалуйста, позвольте мне представиться.
杂志	журнал	Статьи в этом журнале написаны хорошо.
咱们	мы с вами; мы	Сколько у нас расходов на жизнь в этом месяце?
暂时	временно; на время	Он временно припарковал машину у дороги.
脏	грязный	Я случайно испачкал одежду.
责任	ответственность; обязанность	Мы все несем ответственность за это дело.
增加	увеличивать; прибавлять	В этом году число студентов увеличилось.
占线	занято; линия занята	Я звонил несколько раз подряд, но его линия была занята.
招聘	набирать сотрудников; прием на работу	Компания набирает новых сотрудников.
照	согласно; следовать	Следуй этому плану.
真正	настоящий; истинный	Настоящий друг поможет тебе, когда ты столкнешься с трудностями.
整理	приводить в порядок; сортировать	Пожалуйста, приведи в порядок книги на столе.
正常	нормальный; обычный	После ремонта мой компьютер снова может нормально работать.
正好	как раз; в самый раз	То, что ты сказал, противоположно тому, как я понимаю.
正确	правильный	Твое суждение совершенно правильное.
正式	официальный	Теперь игра официально начинается.
证明	доказывать; доказательство	Факты доказывают, что он прав.
之	литературная частица; из; один из	Это одна из частей китайской культуры.
支持	поддерживать; поддержка	Мы вдвоем должны поддерживать друг друга.
知识	знание; знания	Благодаря чтению я получил много знаний.
值得	стоить; заслуживать	Этот роман стоит прочитать.
植物	растение	Этому виду растений нужно много солнечного света.
直接	прямой; прямо	После работы он сразу пошел домой.
职业	профессия; занятие	Какая у тебя идеальная профессия?
只好	приходится; ничего не остается кроме	Дождь был таким сильным, что нам пришлось остаться дома.
只要	если только; достаточно чтобы	Если будешь стараться, ты обязательно сможешь хорошо сделать это дело.
指	палец; указывать	Спасибо, что указал на мою ошибку.
至少	по крайней мере; минимум	Высота этого здания не меньше ста метров.
质量	качество	Качество этой пары обуви очень хорошее.
重	тяжелый; серьезный	Эта коробка очень тяжелая.
重点	главный пункт; акцент	То, что он только что сказал, и есть суть проблемы.
重视	придавать значение; ценить	Родители придают большое значение образованию детей.
周围	вокруг; окрестности	Вокруг школы много магазинов.
主意	идея; план	Есть хорошие идеи? Расскажи, послушаем.
祝贺	поздравлять; поздравление	Поздравляю с такими хорошими результатами.
著名	известный; знаменитый	Он известный актер.
专门	специально; специализированный	Я специально пришел тебя навестить.
专业	специальность; профессиональный	В университете я изучаю право.
转	поворачивать; переводить; менять направление	Поверни налево на первом перекрестке впереди, и увидишь больницу.
赚	зарабатывать; получать прибыль	Он заработал немало денег на бизнесе.
准确	точный; верный	Твой ответ очень точный.
准时	вовремя; точно по времени	Собрание началось вовремя.
仔细	внимательный; тщательно	Она делает дела очень внимательно.
自然	природа; естественный	Нам нужно защищать природную среду.
自信	уверенность в себе	Он очень уверен в себе и любит конкурировать с другими.
总结	подводить итог; резюме	Пожалуйста, подведите итог вашему успешному опыту для нас.
租	арендовать; сдавать в аренду	Я снял жилье рядом с компанией.
最好	лучший; лучше бы	Она моя лучшая подруга.
尊重	уважать; уважение	Честные люди заслуживают нашего уважения.
左右	примерно; около; слева и справа	Он выглядит примерно на сорок лет.
作家	писатель	Ты читал роман этого писателя?
作用	эффект; действие; роль	Это лекарство от простуды на меня не действует.
作者	автор	Автор этой книги очень известен.
座	сиденье; счетное слово для сооружений	Над рекой есть маленький мост.
座位	место для сидения	Он уступил место пожилому человеку.
