source_headword	TE	example_TE
theoretical	సైద్ధాంతిక	ఈ నమూనా పూర్తిగా సైద్ధాంతికమైనది.
thereafter	ఆ తరువాత	ఆ తరువాత నిబంధనలు మారాయి.
thereby	తద్వారా	ఈ మార్పు ఖర్చులను తగ్గించింది, తద్వారా ఉద్యోగాలను రక్షించింది.
thoughtful	ఆలోచనాత్మక	ఆమె స్పందన ఆలోచనాత్మకంగా ఉంది.
thought-provoking	ఆలోచింపజేసే	ఈ వ్యాసం ఆలోచింపజేసేలా ఉంది.
thread	దారం	దారం సులభంగా తెగిపోయింది.
threshold	ప్రవేశద్వారం	ఓటు పరిమితిని దాటింది.
thrilled	పులకించిన	ఆమె ఆ వార్తతో పులకించిపోయింది.
thrive	వృద్ధి చెందు	ఇక్కడ చిన్న వ్యాపారాలు వృద్ధి చెందుతాయి.
tide	అల	అల త్వరగా పైకి లేచింది.
tighten	బిగించు	మూతను గట్టిగా బిగించండి.
timber	కలప	ఇల్లు స్థానిక కలపను ఉపయోగిస్తుంది.
timely	సకాలంలో	హెచ్చరిక సకాలంలో ఇవ్వబడింది.
tobacco	పొగాకు	పొగాకు అమ్మకాలు తగ్గాయి.
tolerance	సహనం	ఈ విధానం సహనాన్ని ప్రోత్సహిస్తుంది.
tolerate	సహించు	మేము దుర్వినియోగాన్ని సహించలేము.
toll	నష్టం	తుఫాను భారీ నష్టాన్ని కలిగించింది.
top	అధిగమించు	అమ్మకాలు గత ఏడాది రికార్డును అధిగమించవచ్చు.
torture	చిత్రహింస	ఒప్పందం చిత్రహింసలను పూర్తిగా నిషేధిస్తుంది.
